love 	 recently visit Thistle Westminster part group organise work . cheap due amount people travel cost £ 150 bed breakfast coach travel boyfriend . hotel good 's price . however regardless amount spend , still feel hotel lovely place stay . second time stayed find pleasant last year . upon arrival check tell relevant information ( breakfast time etc ) take luggage room two double bed ! ! ( boyfriend ! ) also sofa facility make tea coffee well need hard day shopping ! admit hotel room warm however extremely cold outside not problem stay there . the bathroom seem bit old tired however clean important thing short time . we walk near tube station ( Victoria ) approx 5 minute hotel . Victoria central station key place would want visit minute tube ( fantastic ! ) .after lovely evening Tiffany ice rink Somerset House , go back hotel tired ready good night sleep . 11:45 woken alarm go . concerned half sound like car alarm half sound like fire alarm . rung reception ask problem , mind put rest deputy manager 15 minute alarm go . 10 minute rung knock door deputy manger come check situation see everything okay ! ( fantastic service lovely man make we feel concern deal appropriately ! ) breakfast fine , much variety good quality staff pleasant . overall hotel great location , lovely staff big room . would definitely return ! 
 Apr 26 2008 	 Staff fabulous ...... room fine 	 move Thistle Westminster disappointing try another 5 star street . reception staff member take phone call , arrange well rate via reservation toll free number make sure quiet room away lift . staff fabulous . busy hotel usually impersonal staff exception . Thistle Westminster could take total 8 day need assist stay nearby Grosvenor Victoria Station ( sister hotel ) . way beyond would expect busy London . room large standard room . stay Room 117 end hall . bathroom tub , window open onto quiet street nice breeze , coffee / tea , safe , ample toiletry . bed comfortable think may need add pillow Americans like . clean clean clean . yes quess may want change decor little . defense Westminster room stay quiet sleep soundly every night . internet cafe lot restaurant around corner Victoria Station . the front reception conceirge staff helpful stay Westminster . 
 Apr 22 2008 	 Nice Room Service Issues 	 stay one night week April 14th . arrive , front desk offer we upgrade 20 GBP . decide take pleasantly surprised spaciousness room . promise free mineral water , bathrobe slipper however find . call front desk , bring small bottle water bathrobe . sure pin upgrade include spend money . daughter 's room soon learn heat space heater bring set room . make reservation Thistle clerk tell Thistle group hotel refurbish Grosvenor next hotel . probably affordable . also never receive request wake call . upgrade room 150 GBP night would probably stay location . 
 Apr 16 2008 	 great location - awful condition sevice ! 	 stay hotel last week visit London . check room , various light room include bathroom function , toilet flush properly bad , bathtub clean filthy . could believe give we room condition . send maintenance housekeeping immediately correct problem . sadly , problem end , final stay book car airport wake - up call . never call we , record request call never come room notify us driver arrive turn away . almost miss flight Heathrow wake . far bad service ever receive . positive note , within walk distance everything , breakfast good size layout room spacious . maybe unfortunate warn , need wake - up call , make arrangement count . 
 Apr 13 2008 	 good location good staff serious weakness 	 stay two night weekend hotel locate Victoria station Buckingham Palace . good reception run pleasant staff spacious , well maintain public space . Breakfast , include , standard buffet fare , ' ve lot bad . however , room ( second floor ) suffer three serious weakness . first one temperature . room like oven entire time . staff concern could advise we turn heat / cool system altogether , since would cool . however bring fan room . even leave room window open night not help much , London street noisy night ! bafflingly , middle particularly cold snap April . shower suffer design fault - probably adjustable one time life , great age completely unpredictable temperature , vary wildy scald cold . finally bed - mattress must year old . spring go wooden structural support evident sat lie . worst experience . thistle sort quality control , surely well . 
 Apr 11 2008 	 great location friendly staff 	 stay hotel short sight see trip family . like reviewer book Superbreak one hotel London could accomodate family 4 ( 5 ) one room . location excellent , round corner Buckingham Palace ( tease child could see queen brushing tooth ! ) 2 minute Victoria train tube station . lot eat place shop nearby walk number major tourist attraction hotel . room clean , pleasant comfortable . staff friendly helpful , ask housekeep extra pillow arrive almost immediately . reception rang check room ok arrange extra hot chocolate child drink . need print London eye ticket reception direct nearby internet cafe rather business centre minimum charge . one drawback hotel heat . public area far warm room much well . state reviews air conditioning work . sleep warm room hotel . otherwise would highly recommend Thistle Westminster , particularly family . 
 Jan 18 2008 	 quite good 	 stay hotel Christmas New Year quite happy . look pretty outside inside warm staff welcome . reason book could get five we one room - probably one Superbreak website room five . room large two double bed double sofa bed perfect , husband three teenage child . location excellent able walk almost everywhere . close Buckingham Palace nice walk St James ' Park Trafalgar Square Regent Street . also walk Houses Parliament thame quite easily . street bit noisy window open . the breakfast quite nice plentiful . problem hot water . bed comfortable . 
 Nov 27 2007 	 Disappointed hotel 	 stay hotel 3 nght disappoint , food good let staff take age not always understand bring something different order , staff reception well , get overcharge explain day still get wrong , charge Dinner , Bed Breakfast charge Dinner night . room ok , want shower evening not expect hot water , time water hot enough first thing morning . would recommend hotel anyone else probably . 
 Nov 26 2007 	 Good Hotel nice staff 	 come back 3 night stay Thistle westminster husband 3 child . main reason book one place could accommodate we one room . room ' Executive Double ' 2 double bed sofa bed - bit cramp sofa extend fine . room fine probably need upgrading , bathroom especially . unlike reviewer problem hot water , lack aircon problem cold outside ! location excellent - walk distance Buckingham Palace , big ben etc . nice buffet breakfast staff lovely really appreciate - would recommend family break etc - perhaps couple want romantic weekend away would better somewhere plusher ! 
 Sep 22 2007 	 desperate need mattress replacement 	 location hotel excellent many individual mention close Buckingham Palace , Victoria Tube Victoria Coach Station . room small expect faced side street ; make quiet . find AC upgrade 80 % room finish . fortunately we get room AC make air room fresher . include breakfast broad delicious . our big drawback condition bed . get two twin bed room mattress could feel coil stick . one picture upload , see bed sink middle mattress . ' m give low score comfort . make difficult sleep four night stay . Most staff friendly , especially concierge . notice early morning evening receptionist seem inexperience great assistance people try check - in long fight . overall , would stay since feel pay much get . 
 Sep 13 2007 	 Pleased Thistle Westminster 	 research alot hotel prepare small room even small bathroom , pleasantly surprise Thistle Westminster . room big enough accomodate family 4 2 twin bed ( like double ) sofa . bathroom fine . everything clean service expect . corner room bite noisy street traffic , expect due location . AC break yet room comfortable . window open . close Buckingham Palace , Victoria Station , bus station plenty place eat . within walking distance . good price good place . 
 Sep 4 2007 	 rest 	 agree everyone else . great location .. would stay . across street buckingham palace . they could give we two room together although request month ago , one room small , one ok . as everyone say do nothing fix cool sysytem hot ( noisy ) room night . english breakfast fine include L99 rate . concierge helpful . give great bus direction . all wonderful trip ( expensive ) 
 Jul 26 2007 	 bad Hotel ever 	 bad Hotel ever displeasure stay at . while body use bath room leave real mess , complain end clean self . the Air con whole building break quite along time room hot air less fammily could sleep . thistle answer put portible air con unit bed room , noisey sleep hot sleep . want 4 STAR LONDON HOTEL , FIT habitation . total DISCRACE , thank THISTLE SPOILING daughters birthday . 
 Jul 24 2007 	 could not fault 	 brilliant hotel - pay £ 99 double room include breakfast . hotel clean , comfortable nicely furnish - room tea make facility , complimentary toiletry iron ironing board ! staff friendly helpful . require meal room quite comprehensive menu available . decide eat hotel restaurant food service good , price may seem little high hotel London ( pay £ 66 two course meal two people bottle wine ) . breakfast superb - never see much food - selection range melon & amp ; grapefruit yogurt cereal full english breakfast . food well present hot food hot ! fault hotel problem air conditioning seem work , room hot stuffy , however , almost soon would get room member hotel staff turn large floor stand fan ! location we could well - London go Buckingham Palace delight find within couple minute walk . also plenty bar restaurant nearby sightseeing purpose ' the Big Bus Company ' stop right outside . all excellent experience one would like repeat . 
 Jul 20 2007 	 bad hotel Great Location air conditioning ! 	 read good bad review decide try hotel since need one night location really good . additionally , Central London price really suprisingly affordable include breakfast . upon arrival , greate really nice staff find reservation problem . trouble started reach second floor step elevator -- -- greet warm blast warm , musty air . walk hall , see housekeeping staff carry fan immediately know warm afternoon evening . inquiry -- tell AC work . guess major complaint kind wish tell check maybe offer another room another close Thistle hotel . know London warm city open window wonder really quite unbearable ....... actually take Sominex able sleep . pillow also really hard . could live outdated 1973 decor , room really clean , staff really nice , could tell try well . think management do something bit guest come room beet red perspiriing ! would suggest call ahead make sure AC function commit Thistle Westminster . 
 Jun 27 2007 	 good 	 disgraceful , stay recently . room joke , hardly toliet roll . shower thermostat either roast hot freezing cold . double bed like single half . chamber maid could read simple sign & quot ; disturb & quot ; wake we 8.30am get 4.30am . air con room stuffy . no drinking water room bottled water supply partner hot drink either . on positive note hotel 2 minute away Victoria without maid , staff fantastic . credit hotel . 
 Jun 20 2007 	 room barely ok ; staff great 	 mother & amp ; stay 4 night May . bed bad thing - obviously sag could feel spring . bathroom mold shower , washcloth several day . rug old . luggage hold break - call request another - never come - keep luggage floor . stuffy hot - cool system dial not work - able turn fan . 70 hot could stand sleep . would never stay 80 . consierge helpful save we miss tour . restaurant staff barely polite - friendly . smoking allow one public area bar tend go lobby . location great . 
 Jun 18 2007 	 great hotel 	 wife London first time . fly Gatwick want hotel easy get near main attraction . Got Gatwick Express train Victoria . hotel less 5 minute walk . read reviews Tripadvisor hotel seem like good choice . disappointed . yes outside bit drab room good size well appoint although air conditioning could well , say , ` find fault . reception lobby nice , breakfast good evening meal good . 5 minute walk Buckingham Palace . plenty restaurant , pub etc vicinity . tour bus stop right outside hotel . would definitely stay . & amp ; Northern Ireland 
 Jun 14 2007 	 fairly good .. 	 wife Hotel early May . convenient location anmentie fairly good ( interesting biscuit coffee ) . morning call timely . however problem access card quite frequently . also minibar .. recept courteous conceirge especially helpful selection tour package . definitely plus . generally still expect value price charging . J & amp ; s_singapore 
 Apr 23 2007 	 Excellent 	 Staff wonderful , friendly helpful . room clean tastefully decorate . complaint mini bar room remove husband marathon hot weekend would handy , not spoil stay . convenient locaton can not go wrong . 
 Apr 19 2007 	 lose 80 	 hotel poor condition , place advertise 4 * hotel think would struggle get 2 * rating . problem room : * hot water tap would turn first room allocate * single bed available * ventilation room open window busy street * Extractor bathroom work * Mould grow bathroom * mini bar remove room . water available room service £ 3.60 per bottle * expose screw head around room appear fixture fitting remove break * Curtains stay closed chair wedge window * bathroom 2 hand towel 2 face cloth , request towel room service * housekeeping knock door 08.00 day check Thistle website call hotel & quot ; modern deluxe hotel & quot ; , look room look like touch since 80 . 
 Mar 29 2007 	 so - so good business travel 	 whilst hotel average & amp ; sure quite fine tourist , etc . , sure go London work , would use hotel . a colleague check ; allocate smoking room . company policy ever book non - smoking room , first problem . many phone call - thing finally resolve . when go room , two twin bed . , company always book we double bedded room . like 6 year old sleep narrow bed . next try set wake call . know alarm mobile , always worry battery go , like back - up plan . try set wake call nightmare . go complex process also set room voicemail ; want set wake call , takes forever get option . robbed 5 minute valuable time could work . may sound petty , next morning call actually come 06:50 , request 07:00 . may sound picky , want get 06:50 , would set wake time . 07:00 mean 07:00 book . althought many light room , still dark . sure - one point put every single light still enough light see . especially bathroom - good lady try apply make - up . early review mention fact one sheet mattress , mattress cover . find creepy , put another sheet ( spare bed ! ) surely mattress cover launder . the voile panel cover window nearly black grime busy street . would not go amiss hotel launder occasionally . bring point street noise . yes hotel busy part town mild amount noise , 23:00 , significantly reduce ( keep mind weekday - might worse weeknight ) .Having say , sure tourist need hotel usual ammenitie good location , could bad . not breakfast - tell fine . within walking distance Buckingham Palace . 
 Mar 8 2007 	 good really 	 number issue right start book . hot water ... well none . room adequate definitely need refurbishment . like London hotel , staff seem put simplist request shame really . range unhelpful completely ignore we positive though . main reception nice restaurant serve one nice breakfast ' ve ever . Head Receptionist extremely helpful ... around seem 101 job ( unsurprisingly ) . hotel lot potential think Thistle need spend time training customer service technique . 
 Feb 25 2007 	 not put exterior 	 exterior hotel attractive not put this . we travel two child age 6 9 room excellent . plenty room two king size bed . the breakfast good staff helpful friendly . location really good , close Buckingham Palace five min walk froim Victoria Tube / train / bus station . would definetely stay . 
 Feb 14 2007 	 ok 	 room ok , location great issue . stay Saturday night night theatre , hotel quite noisy door bang loud tv 's . bad chambermaid knock door 8.30am Sunday morning checkout 12 pm . 
 Jan 6 2007 	 wonderful Courteous Service helped make trip Best ! 	 stay December 28th December 31st 2006 . room neat , clean comfortable . tv nice BBC channel relax night . really enjoy breakfast include stay . food good fantastic variety . concierge absolutely good . consistently help we need direction , get cab , hook tour get airport connection . location second none many London attraction within easy walk distance . anything within walking distance Victoria Station close . 
 Jan 4 2007 	 great location friendly staff 	 hotel great location ( close Victoria Station ) within walk distance sightseeing . staff friendly helpful . concierge service great help book tour , mark route map , hail cab get we three ticket ( fabulous seat ) sell - out & quot ; Mary Poppins & quot ; .The hotel clean maid come room everyday . request extra towel face cloth , deliver without delay . room small , cramp two adult one child . thing disappointing breakfast . eat breakfast hotel , buffet look overly appetizing . service bar area good . I happy property get expect price would stay . 
 Jan 3 2007 	 really disappointing service 	 book Thistle Westminster one night rest flight LAX Eurostar Paris next day . first book confirmation show property wrong street Thistle another property - cab driver confuse . discover mistake cab leave 10 hour flight wander around try find place . arrive . leave bag bottom step confirm right place . several staff stand lugged bag stair - one offer help . lobby nice . exit elevator hallway remind we jail - depress faux brick , narrow dark . room okay - adequate . one point 15 hour card key not work . ask one staff person could help - look we eye , say nothing walk away . another staff person agitate raise voice . moral story one accept less spacious room , travail travel - service people friendly helpful . will not try another Thistle hotel London twice year . 
 Dec 27 2006 	 Excellent hotel 	 spend night hotel Christmas Eve , moment walk hotel staff excellent helpful well courteous party . wre impressed improvement make ground floor area , especially Brasserie refurbish recently stylish colours decor . restaurant menu much improve last visit early year , excellent chef cook good dish , also breakfast buffet large selection hot cold item , many 3 star hotel offer variety . would strongly advise anyone wish stay near Buckingham Palace hotel spacious clean room customer service high priority staff , definely stay hotel Easter 2007 . 
 Nov 26 2006 	 Great Hotel London ! 	 back 3 night Thistle Westminster . realize everyone vary opinion ... seriously idea people talk negative comment hotel . family four two us 5 7 yr old . bill quad room . really large nice overall . location can not beat ... minute walk Victoria station block Buckingham Palace . breakfast buffet good wide variety choice . word advice would booking room pullout couch ( like quad ) make sure be go use kid . way would wanted sleep thing ... be fine little one , would uncomfortable adult . great hotel great location . 
 Nov 20 2006 	 good qulaity good price 	 book hotel one would allow book 3 adult one room stay mum sister . check quick efficient room small clean perfectly adequate one night . two queen size bed put u sofa bed absolutely fine . nice bathroom plenty hot water . drink food reasonably price . hotel 's location great - close Buckingham Palace main tour bus ( Big Bus Tour Original Bus Company ) stop outside . also short walk Victoria coach train station . 
 Oct 29 2006 	 awful 	 hotel give London hotel bad name . want good night 's sleep look somewhere else . book theatre break agent recommend hotel - although admit never stay . rate 4 star really 3 star that s generous ! room small issue . problem beds - small mattress old . bad night 's sleep ever hotel strip bed find mattress date September 1999 . spring come , protective cover mattress thin sheet whatever else might on / in mattress . pillow also shock . old , flat hard , thin pillowcase protect cover . complaint management deal satisfaction take swipe credit card arrival seem little choice without lot aggrevation , get money back . furthermore , find rusty sewing needle carpet desk housekeeping miss . anyway , get picture - previous experience Thistle hotel like , will not choose Thistle - ever . 
 Oct 27 2006 	 Horror 	 arrive Thistle Buckingham september , 3 night stand . bad hotel , awful receptionist . small credit card problem check - in ( room pay problem credit card deposit ) keep two hour lobby , instead solve immediately . tha attitude bad , like thank book hotel ! , horrible hotel room life . number 109 , remember . permanent noise ( 24 24 hrs ) come ceiling something keep awake . conclusion : choose another one ! 
 Sep 18 2006 	 Air cool Air Conditioning ! ! 	 hotel try book full , company book one instead . read review slightly concerned . hotel great location visitor Buckingham Palace . Booked receive advice lift positions/ breakfast etc . room acceptable although information tv channel etc available . on return room meeting , warm uncomfortable ... although early September , hot day . I phone reception ask problem Hotel air conditioning , inform not air condition ' air cool similar ' . ask wish fan room , hour call later deliver . would suggest visit midsummer would particularly unpleasant smallish room . breakfast average good selection hot cold item . overall particularly enjoyable experience . 
 Sep 11 2006 	 hotel ready guest 	 plus side , hotel close Victoria Station . otherwise , reason recommend . 's old hotel hallway smell stale . stay non - smoking room , odor thankfully , long narrow lack good lighting . also , water temperature shower never go beyond warm blow dryer desk , mirror use tv try see hair . one evening call front desk look adapter . tell call back morning talk concierge , would arrive 8 a.m . phone next morning concierge tell adapter 110V , 120V therefore want use one would purchase converter & quot ; really expensive & quot ; . hotel one would think want international business traveler , would think would keep adapter available time . I leave soon could move Holiday Inn Kensington , much well experience . 
 Sep 6 2006 	 Great Stay 	 stay hotel able accomodate 5 people ( 2 adult , 3 teen ) one room . room huge spotlessly clean . front desk staff helpful especially concierge arrange tour breakfast great . would definitely stay . centrally locate everything ( Victoria Station , Buckingham Palace , etc ) . 
 Aug 22 2006 	 not believe bad review 	 Overnight stay Thistle , Westminster pleasant suprise , read dreadful review . fast efficient check check . staff friendly helpful , room spotlessly clean . good breakfast cater different taste . smallish comfortable lounge area downside makeshift bar area . everything could want drink apart anything draft , bit dissapointe see set table cover white tablecloth . hopefully temporary arrangement . otherwise pleasant stay complaint whatsover . excellent location , try Bumbles restaurant round corner . not look anything special outside , try , will not dissapointe . 
 Jul 28 2006 	 good hotel 	 stay hotel one night work . whole experience terrible . first room send hot could barely breath ( air con , window fix open little ) smoking room would specifically ask non - smoking . whole UK heatwave , hotel suppose air condition . go front desk - confirm air conditioning break , claim cool room initially . since whole point stay hotel go early meet London next morning say point stay could not sleep , have useless meeting - sure company would want go home simply miss meeting could not accomodate room habitable - book different hotel . point miraculously find another room . room little cold air come vent still really hot . barely get sleep , wished go home first thing tell upon attend meet ' you look terrible - really tired ' . shocked give fact window not open properly ( metal fixture open crack ) , continue book people hotel . temperature first room high would health hazard anyone medical condition . stay end July - well hot summer - not first day temperature go 30c . have plenty time either fix problem , book guest somewhere else ( simply inform traveller problem could make decision ) .Do stay . well place London less money . 
 Jul 24 2006 	 bad hotel ever stay 	 stay 4 night May . look good initially rapidly become clear place shamble underneath . aircon , decent internet access room , practically impossible get phone outside 9 - 5 , be not good people try contact US , even basic thing like get iron ironing board lottery . also appear somewhat cavaliar attitude charge item credit card - despite pay room advance , almost charge twice . complain place head office do not seem good . would suggest people strongly avoid . 
 Jul 16 2006 	 Great Location - Character ! 	 stay Thistle Westminster 4 night vacation ( middle heat wave ) July . locate fantastic place tourist . right across street Victoria Station take anywhere want go London , two block Buckingham Palace , within walk distance Westminster , London Eye , much . love room lot character barrell round ceiling , couch , two chair , two bed , desk , nice closet in - room safe . down - fall hotel claim air coolin system heat way much really boil room four day night . would even feel circulate air . fortunately , get little airflow night not much , enough low degree two . overall , really like hotel enjoy stay . , GREAT location tourist would definitely stay ! 
 Jul 5 2006 	 tired aircon need good clean 	 Advert state : airconditione , modern 4star deluxe hotel.well , word hotel correct ! aircon - essential rare London heatwave . sadly arrival prove reception describe & quot ; aircoole & quot ; - translate small airvent wall effect room temperature . first room check dirty bath ( mark side ) . second room - end take washcloth clean myself . overall impression somewhat tired furnishing need update . on positive note , room good size London , convenient park run ! will not back ! 
 Jun 5 2006 	 decent hotel 	 stay Thistle westminster hotel along family May 2006.We nice time , hotel room decent compare london room size . hotel room clean housekeeping staff good job . very close victoria station Buckingham Palace . staff friendly helpfull . compare hotel stay across world , hotel seem understaffed , guy manage retaurant also double room service ....... also everytime ask room service charge 2 pound service charge , even empty plate .But overall decent hotel worth staying day tourist well business . 
 Jun 4 2006 	 Hotel need attention . 	 stay 2 night hotel early May though staff friendly room uncomfortable . arrive Heathrow airport decide take bus Victoria Station see city 2 day , realize bus station quite bit walk distance hotel , especially group six luggage tow . reserve 2 - triple room upon arrival ( close 2:00 pm ) , luckily room ready . walk hot , stuffy room stale cigarette odor . tell sorry , unseasonably warm weather ( 75 ) not turn A / c system hotel yet offer room small fan , accept . open window much possible , not much , deal outside noise busy street . bed less comfortable , especially pull everything look drab , like bright airy picture see internet . though nice wall attach iron w / board use . not eat hotel , comment food . eat breakfast & quot ; Panini & quot ; place across street good . walk around hotel 's neighborhood night little uncomfortable , seem safe . probably would not stay & quot ; Thistle & quot ; location without renovate . 
 may 15 2006 	 convenient location choose somewhere else . 	 get deal stay October 2005 Virgin Vacations . hotel decent location two block Victoria Station will find easy access central tube line , bus line , express train Gatwick . also close Buckingham ( ten minute walk ) . general area around train station seem little sketchy time , always safe . however hotel date wear inside . lobby furniture wear threadbare room look though have not update since least late 70 's - early 80 's . mattress bad ' ve ever hotel -- 5 & quot ; thick feel though stuff straw . room overlook street two bus stop right window . nice sound city , good be try sleep . would compare room date worn Motel 6 , except wall brick Motel 6 would comfortable bed . would try stay even though area convenient Victoria station . 
 May 14 2006 	 great location ! 	 think excellent hotel good location - within 2 minute walk Victoria station . area also feel safe always busy - bonus lone female traveller . the room spacious comfortable nice toiletry bathroom along decent power shower ! ! - certainly wake morning ! ! would hesitation stay . buffet breakfast excellent - every single member staff encounter always helpful pleasant . 
 Apr 21 2006 	 Great Location - Helpful Staff - Large room 	 , wife 12 year old daughter vacation London Paris April 2006 spend three night Thistle Westminster . choose hotel base review , location price . dissapointe . I surprise large room . book triple ( real double bed fold couch ) ensuite bath / shower . room much like Radisson Mariott state . large main room desk seat area ( fold - out couch decent sized bathroom everything work ( amazing water pressure , way ! ) . complaint fold comfortable , could feel frame beneath matress - fairly normal fold bed not deal - breaker anything . the location fantastic ! literally less 5 minute walk Victoria station . since fly Gatwick , jump Gatwick Express train ( approx 30 min airport Victoria ) walk hotel . room ready early - secure bag . the proximiity Victoria Station put literally London doorstep hotel , literally , 5 minute walk Buckingham Palace . all staff extremely helpful , one particular - Michael - real gem . help we ticket attraction , neighborhood information , even help we find good indian restaurant REAL English Pub ( opposed & quot ; tourist & quot ; pub surround hotel . I can not speak hotel breakfast room service since not partake . room clean daily fresh towle provide . we pay £ 120 triple londontown.com - good rate find triple , since stay weekend . grant , little intended spending , cheap rate could find exttensive search . would stay place - however next time go London might try different neighborhood ... thistle hotel everywhere 
 Mar 17 2006 	 London Calling 	 hotel one sell alot job travel agent always recommend due great central location . decide put money mouth book trip England last week . definitely say not let . 's pretty typical english hotel deserve four star rating get . room amenity need room service prompt pleasant . front desk helpful always nice . would not let check early , request proir leave state , kind enough hold belonging . breakfast full english breakfast , ok , nothing write home . good part hotel 's location . right Victoria station take tube anywhere mention walk major site . would definitely stay again . Curtis Williams 
 Feb 13 2006 	 bad hotel ' ve 	 partner spend valentine weekend totally let hotel , actually FOUR STAR three ! ! would not believe though : -from outside look like run office block.-when inside hotel obvious Thistle leave hotel 80's.- central heating room , leave we 1x electric heater freeze cold bathroom.- bathroom lack sort 4 * luxury.- breakfast arrive late average standard cutlery salt / pepper / suger . eventually turn upon request food cold.- stay many 3 * put hotel shame ! ! ! 
 Jan 23 2006 	 great value money 	 stop one night January 14 . check early room ready , check quick efficient luggage leave later on . when arrive back afternoon sightseeing pleasantly surprise immaculate room , good size nice bathroom . tea coffee biscuit also available . the corridor lead bedroom also pleasant . the lounge / bar area fine . location good underground bus station require . check good check in . we pay £ 75 one night last Minute . an excellent deal . 
 Jan 12 2006 	 excellent base London 	 pro : -very close Victoria station & amp ; Buckingham Palace - helpful friendly staff ( arrive London around 7:30am allow check - in without problem - complimentary coffee / tea / biscuit - good central heating wintercons : -no fridge - no internet access 
 Jan 10 2006 	 Excellent value 	 great location Central London one minute London Victoria Train Station . little hard find begin visible main street close Train Underground , zip anywhere London city wish . excellent value price pay room staff helpful , especially Mr David concierge desk . 
 Nov 3 2005 	 Great Location 	 stay Thistle Westminster October 2005 two night free part British Airways promotion . location excellent tourist want see sight ... block underground , 2 block Victoria Station walk distance Buckinham Palace . & quot ; Big Bus & quot ; London tour bus stop right front Thistle Westminster . excursion tour bus company pick we right Thistle Westminster . safe area walk around night . concierge excellent - pleased recommendation . room ready we check early arrive 9:00am . 11:30am , room available , upgrade room executive room let we check early charge . executive room roomy , two twin bed , couch , 2 desk , plenty drawer closet space . air conditioning room , expect read review . internet access room dial - up , computer high - speed access lobby , charge . although read hotel need update , not bad . lobby couch little worn arm , overall , fine . along line nice marriot . meet someone stay nearby Rubens , trip advisor reviewer say well stay . ruben look posh , people meet say room tiny could hardly walk around . would definately stay Thistle Westminster . 
 Oct 28 2005 	 good great hotel 	 standard three star London hotel little pretense anything else . London price , seem fairly expensive get . room adequate , twin bed sleep sofa . layout rather long , narrow room , maybe 11 ' 25 ' . room include mini - fridge , iron board build wall unit , several nice touch . overall functional charming , still appealingly tasteful . location excellent , couple block Buckingham Palace Victoria Station . breakfast come room include hot buffet fine . service fine nothing exceptional . nice , good hotel , would not want pay much . get room free part british Air package , well satisfied , choose room scratch , might search something offer bit price . see price internet around $ 200 / night 's much hotel . significantly well kind money . 
 Jul 17 2005 	 stay 	 property neglect long time . pay $ 400.00usd night triple room 1 1/2 day hot water . air conditioning work 4 night stay . garden view full weed appeared ignore . continental breakfast horrible , hot breakfast bad . furniture lobby / sit room wear fade date decor . the good compensation offer negotiate manager complimentary dinner hotel . thank you . $ 400.00 night would give we room Ritz United States property . Thistle Westminster consumer ripoff . book reservation circumstance . 
 Apr 29 2005 	 nice Stay Convenient Location 	 location hotel great ! ! ! easy access anything tube , two street away Victoria Station . room comfortable clean . big Bus Tour pick / up drop right front hotel . many good pub eaterys area . location almost directly behind Buckingham Palace - Royal Mews nearly across street . concierge great ! helpful question . book hotel Virgin Vacations , great stay great price . 
 Apr 23 2005 	 good bargain great location 	 read review Thistle Westminster prior book trip Virgin Vacations , information right . location hotel great -- easy access anything tube ( Victoria Station within easy walk distance ) even well many London 's attraction Westminster area ( London Eye , Westminster Abbey , Parliament , Buckingham Palace ) within walking distance . even walk Trafalgar Square one evening . exterior hotel much look , inside clean room comfortable . downside hotel climate control . far hot sleep could not adjust temperature room . open window option noise street make difficult sleep . uncomfortable first night , call ask move different room hope relief either noise heat , none open . bring we fan , help lot . wish offer call first day ask turn heat . concierge big help , book we London Eye Big Bus Tour . big Bus actually stop right outside hotel ! big disappointment restaurant . continental breakfast include stay , clearly mark restaurant continental fare English breakfast , none wait staff clarify difference . generally speak food less appetizing , & quot ; upgrade & quot ; english breakfast worth extra money . overall good experience would recommend anyone want good bargain . 
 Apr 20 2005 	 Pleasant 2 Night Stay 	 five Seniors Florida spend 2 night Thistle find quite acceptable despite read negative review other . room clean comfortable , bathroom could use update ok . breakfast plentiful good assortment pleasant staff serve . add hot food ( egg , bacon , etc . ) charge additional 6 pound , much choose stay Continental . Front Desk Staff friendly helpful , special thank David helpful information , ticket , luggage handling . Cafe Lunch Dinner price bit high offer Staff work hard please . time , perhaps change menu . thing consider , complaint . 
 Mar 31 2005 	 Great Location Hotel Run 	 stay twelve night December . staff great , knowledgable helpful . hotel obviously nice . really need make . location fabulous . Near Victoria Station , bus , walk distance Westminster Picadilly . restaurant fair , breakfast ok . coffee maker etc room good . ( coffee , tea , even soup nice cookie . ) room good size , bathroom nice , tv station want . , room could need spruce . like area , , would stay Rubens across street next time . 
 Mar 24 2005 	 nice hot 	 something wrong heat . common hallway always hot thankfully window open sleep relative comfort , however become subject city traffic stay fairly constant 3:00 . front desk claim heat time season shut date couple week ahead would switch cool mode . spend 5 day March year , 2005 . brit say unseasonally warm year think tolerance cool weather . everywhere go quite comfortable long sleeve shirt jacket , practically every Brit bundle coat . dwell heat negative find . decide go Jack Ripper tour one night whim go talk concierge information . able book hotel tour operator price within 5 minute . continental breakfast similar get USA staff offer we toast breakfast . able get upon request . wife try hot breakfast dissapointe . magazine shop street sell telephone calling card . definetly use option hotel telephone line , charge room 1 pound time make call . two telephone booth directly front hotel . start 10 pound calling card see go , come home lot unused minute . HSBC bank currency changer Victoria undergound charge commission . many currency conversion center negotiate get good rate . also change currency post office charge . bring lot money prepare charge London expensive city . tube station close convenient site also two doubledecker bus tour operator close . go & quot ; original bus & quot ; also offer free Thames cruise ticket . inclined revisit London soon would reccomend Westminster Thistle friend . 
 Mar 12 2005 	 dump ! 	 stay evening March 5th . would London one evening need close Victoria Station , think would great hotel - especially base previous review . guess realize certainly get pay 77 pound rate London tip ! mold shower , veneer miss chunk door , knob miss light switch heating , 5 channel free tv ( CNN BBC News Channels ) . stain carpeting hall , hair tub ..... list go . bad part leave hotel 6:30am catch Gatwick Express restaurant not open 7:30am departure day . much booking rate include breakfast ! option coffee croissant deliver room 6:15am would 3 pound surcharge . decide spend 3 pound Victoria instead waste money hole wall ! plus hotel three block train . consider stay Kennsington , Circle District Lines operate weekend least not shell cab . 
