crime 	 say room ok , morning car 9 other break staff interested one laugh say 14 broken saturday ! ! ! ! ! ! good thing charge £ 5 secure parking , would well parking street . never stay ever never recommend . 
 Oct 27 2007 	 ok want 	 stay hotel 1 night October school holiday book two room £ 26 want take Nephew Neice see seight London choose Wembly Travelodge do not want go centre London car think ideal tube station quite close arrive quite early morning leave car car park head stright station short walk road spend day city arrive back quite late check quick check staff helpful especially find video camara missing find we number restaurant think we d keft allow we use reception phone find room clean quiet say busy road outside leave quite early follow morning breakfast local asda didnttry bar cafe although food smell good 
 Oct 5 2007 	 nice hotel friendly staff 	 stay travel lodge wembley show wembley arena , hotel nice staff friendly , hotel locate busy road however hotel double glazing 's pretty quiet inside . 's quite walk stonbridge park underground station fit healthy person problem train go wembley central quite walk arena £ 26 room great value good location ! 
 Sep 27 2007 	 Nice Room 	 stay one night need visit one London 's hospital . booked twin bedded room GBP26 breakfast 6.75 compare 7.50 breakfast pre - pay internet . arrive 3.30 . book slow receptionist 's command English reasonable , give we wrong room first , mix we guest pre - booked . give we twice many breakfast voucher pay . decide pay £ 5 secure parking leave follow late afternoon , hotel 's gate fenced car park see previous comment noise North Circular . room first floor front window close noise loud enough stop we get sleep . room spacious , clean comfortable . we evening meal bar cafe . five different panini menu one available . good oman . order mixed starter share , come chilli sour cream dip arrive sour cream dip . query waitress cheerily tell & quot ; finished & quot ; . tired argue / complain . main meal ok . desert . morning & quot ; much eat & quot ; buffet breakfast , clearing room pack car , walk Stonebridge Park tube station buy peak one day travelcard £ 5.70 , could use tube , surface rail bus reach destination London return Stonebridge Park . keep room key card enable we exit car park return . hotel ok one night stay doubt would want stay long . 
 Sep 24 2007 	 great Wembley Stadium ! ! ! 	 Hotel ok , clean tidy , staff helpful pleasant . location however great ! especially look stay go Wembley Stadium . book hotel appear easy get Wembley , ` ! walk 40 minute get Hangar Lane station , get , tube stadium , go London back ! decide walk / catch bus back match , end walk hour , great idea 2 female walk desirable area London ! ! recommend . decide go anymore match / concert Wembley , pay extra cash stay somewhere near . 
 Sep 19 2007 	 Bed Bugs 	 stay two night hotel past weekend find hotel staff friendly approachable however room overall standard hotel appalling . room locate 4th floor pungent smell fry garlic onion , put guest eat take away room strong seem someone cook one room . room dusty patch hole wall . night sleep badly put tiredness wake early . second night decide go bed around 22:30 get sleep midnight wake child run corridor . 1/2 hour partner decide complain adult play chase child reply : & quot ; birthday & quot ; . quiet 1 hour . notice reason sleep well night bed bug ! ! . receptionist sympathetic offer complimentary breakfast want leave hotel never come back ! ! ! ! 
 Aug 22 2007 	 value 	 pay £ 26 night family room - say ! staff helpful polite . bar food extremely reasonable hotel , £ 2.50 pint . furniture little dated room clean bathroom generous . would definitely recommend quick stopover , much area around hotel . 
 Jun 13 2007 	 great value money 	 bad thing say hotel work London live north stay several travelodge include highly rate London City Airport one , really prefer one . as long ask room ' at back ' nice quiet . hotel nice area 10 - 15 min walk Stonebridge Park . yes , see grafitti break glass walk train station would not call dangeous . hotel seem secure , cordene metal fence gate speaker keep riff - raff . the staff always courteous friendly would not hesitate visit hotel . 
 May 19 2007 	 good business stay ... 	 ' ve finish month - long stay Travelodge ( Mon - Fri week ) hope find useful . I sometimes book Travelodges ' m freelance journalist base south coast need stay somewhere reasonably cheap London ' m work day . case work central London . Wembley Travelodge within 15 minute 's walk Stonebridge Park tube station turn leave leave hotel 15 - 20 min Hanger Lane tube station turn right . former Bakerloo line , latter Central . this hotel back onto industrial estate . month - long stay ask room face alternative North circular - busy multi - lane road , day night . room face last summer can not leave window open night cool noise . industrial estate seem reasonably quiet night . the area pretty bleak . let us face , will not stay view . walk tube station every day sometimes return quite late night . not think area be particularly rough ( crime rate ) would probably nervous 'd woman own . now room . first couple week uneventful . large , clean ( ' family ' ) room book Travelodge website week advance £ 26 . see regular rate around £ 80-£90.but 3 am first night third week stay awoke find bed bug , bed wall head board . collect , go reception guy desk confirm identification . move another room different floor next day speak manager refund money rest week ( still receipt ) , pretty shocking experience . big worry would take luggage go take home ! far good . later week someone set fire alarm 4 am , know happen anywhere , not exactly help mood . reason hot water follow morning - apparently connect fire alarm incident . it leave wonder whether stay final week , have book advance could not arrange anything else short notice . event , give room 7th ( top ) floor seem slightly modern furnishing floor ' room . incidentally , think hotel refurb have around two three year ago . despite furnishing show wear tear . shower head particularly bad - fur limescale room in . the bed bug put use Travelodge . still decide stay would recommend ask room 7th floor avoid 2nd floor ( encounter ) . certainly would not pay £ 90 stay though . 
 Jan 7 2007 	 good value - shame area ! 	 book hotel Infotel - although not know area like . the room usual Travelodge - basic clean . drawback noise North Circular 's situated industrial area . the reception staff helpful point we right direction something eat lunchtime waiting room arrive 3 pm . turn right hotel walk 15 minute , via two subway , bar call Hunters - good value money ( drink cheap hotel bar ) food good lot - much not need anything evening ! child friendly environment interesting polish item menu . barman warn we not walk around area use underground late night - taxi well idea . there place eat - indian , fish & amp ; chip / kebab shop etc . overall bad stay - might return . 
 Aug 4 2006 	 Fantastic bargain - area hot ! ! 	 book hotel online get double room GBP 26 . arrive 2.30pm , able check early . ( read complaint mention previous posting able check 3 pm ; book confirmation state clearly ! ! ) anyway , room nice - well usual Travelodge room . shower room spotless brand new . hotel bar busy still relax friendly . breakfast £ 6.50 well worth - full english , cereal drink - eat ! ample parking onsite CCTV price £ 5.00 per day . female parking space lone female traveller park well light space - excellent idea . hotel order we taxi Wembley arena cost £ 6.00 ( go see Madonna ! ) less 10 minute ride away . negative room quite warm A / c . however fan available reception . current heatwave sure issue every hotel . the local area pretty sparse - hotel locate busy main road . sight see pretty view look , perhaps place want . but value money nr Wembley Arena / Stadium , hotel beat ! ! ! ! ! ! ! ! ! ( go back see Kylie Jan ! ) 
 Jul 21 2006 	 good money 	 book room hotel Travelodge website , book advance get saver rate 26 GB pound room night . double room husband work nearby , meet work . I arrive 4 pm decide pay £ 5 use hotel car park . impressed see female parking space right near door hotel . never see think great idea . husband arrive work choose park road outside free . , choice ! ! complaint really one lady front reception wait 15 minute serve . receptionist not apologise wait , , seem bit rude . the room clean functional , bit hot . request room back hotel ( thank tip read ) window open night . could hear sound like refrigerate warehouse night not keep we awake . there little area car ok . drive nearby leisure park restaurant , cinema , bowling etc . we breakfast morning quite good buffet 6.50 consider could eat drink much like . 
 Jul 8 2006 	 favour book elsewhere ... 	 book hotel nearby Wembley Conference Centre group travel already book proximity conference centre . arrive one afternoon not room available three . group arrive night use room get ready function . return book . pay beforehand , bit unusual would get that . my room face noisy North Circular Road . air - con room could help fan room ground floor wish . evening group gather & quot ; bar & quot ; drink . bar man announce bar close ten minute . ase two pint iced water ask room bar . basically would not give glass water bring room . say would drink bar , say not think enough ice leave .... ten people bar close ten minute ! one group go get couple drink tell bar close , five minute state closing time . begin wonder fella look give pound something actually serve we ! follow morning breakfast confront waiter make big deal get receipt breakfast . pay breakfast , get token . proceed give help breakfast . follow look receipt . not give one . bit like much hard work . hotel middle nowhere . ' ve event Wembley , 's tube right beside arena / conference centre . would recommend get tube nice area . insist stay area check one hotel , forget one . 
 Jun 16 2006 	 Nice hotel shame suburb 	 arrive London without book ( always mistake ! ) one hotel vacancy . 's bright , clean modern staff reception friendly efficient . room spacious comfortable . back hotel complaint noise . clean staff courteous thorough . breakfast usual hotel buffet , edible breakfast room clean airy . vend machine alcohol , soft drink snack lobby . the big negative location , dismal industrial area . nothing nearby , even corner store , planning stay one night try find something close . however discover fast frequent train service Stonebridge Park station ( 14 minute walk hotel , unfit 50 - ish female ) , stay extra two night rather brave inner London traffic hire car find somewhere close . station serve Underground surface train able get London quickly , cheaply easily . bad place , need business part London . 
 Apr 10 2006 	 still hanging 	 currently stay Travelodge midsummer 2006 due work reason , Hotel since Feb 06 almost every week night , would say hotel number problem staff attitude time slowly go hill , noise come room face towards north circular road way system , busy highway , way request room back view small industrial estate view Wembley Staduim . also Manager Motel / Hotel never seem around even though say one ? take leave photo room advise customer write compliant , see reply back not think see one either ... 
 Feb 15 2006 	 Amazing Room bad location 	 Travelodge wembley entirely new transform , used , holiday inn express . GOOD= facility new , room big comfortable , washroom / shower huge / clean / well - equip , anonymous out - of - your - face , comfortable bed , CHEAP 26pounds book 7days advance , room impeccably clean , modern furniture , wide hallway good workign elevator . bad = location horrible , 's locate zone 5 Hangar Lane tube station follow 10 min bus ride 10 minute walk , hotel also locate main highway / road ton noise night , public transport bus take tube station poor service schedule we get towards airport ASAP ( walk tube take 30min ) TIP= , book travelodge price online central location ( 26pounds 7 day b4 check ) . 
 Apr 29 2008 	 avuto un'esperienza così brutta ! 
