run 	 arrive 10 am understandably room not available check give card room number . leave luggage day . return , ask key give room 3rd floor . room couple minute ' phone rang . receptionist ask sure have ask correct room key . say different room would ring back . room tired bathroom smell damp . twin bed book double big deal receptionist call back happy suggestion move room give decide could not much bad . well . . . . . . double bed bathroom not smell damp old need urgent renovation . tap brass cover verdigris , ( perhaps feature ) shower head low duck wash hair . ' m tall 5 ft 2inches ! wardrobe door sure feature . look though wardrobe slide door . post site , hand wash baisin bedroom bathroom . fiddle around order get kettle work tv remote take work . order change channel press channel number plus tv button , odd . hairdrier nowhere near mirror least one . bed pillow comfortable duvet cover make Polyester / cotton mix old bit bobbly . ground floor window overlook small quadrangle full scaffolding scaffold plank top light come room morning . continental breakfast not bad spite people site say . 4 different cereal , roll , croissant , toast , preserve , ham , cheese , yoghurt plenty tea coffee well fruit juice . Sunday rain heavily bucket bar area catch rain come . plus side hotel great area 3 tube station close . plenty restaurant couple Tesco metro plus shop shopping centre high street store . Notting Hill 10 minute walk away Kensington Gardens close . time year London hotel expensive place usually stay £ 100 have pay early year suppose get pay . 
 bed bug hell 	 stay one night wake morning find bed bug crawl across duvet help tasty meal sleep . later day scratch trail bite mark along upper leg . make matter bad sleep ruin bathroom extractor fan would turn gargle radiator beside bed . avoid hotel 
 Sep 21 2007 	 Good Location 	 Blakemore Hotel quite nice hotel part . boyfriend stay King executive suite . the hotel staff seem quite friendly sometimes even joke we . seem know everything England well . the room quite spacious although air conditioning room , provide fan find nice little touch . bathroom look bit old fashion , expect old building . like fact put & quot ; disturb & quot ; sign door , clean staff leave we new towel roll toliet paper right outside door . there restuarant bar hotel . bit pricey nice want relax not feel like walk anywhere . food not bad either . restuarant seat quite small . luckily , never really wait table . be one main girl work bar restaurant ( include cooking food ) feel sorry would get quite busy restuarant / bar , would well make everyone happy . last night , another girl come help , not know English well . staff foreign , seem know english exception forementione girl . the location good 's 1 - 2 minute walk bayswater Tube Station , good restuarant close by . the downside hotel one lift throughout whole hotel ... actually , 2 , one staff . lift take age reach , , old building . another downside be smoker , smoke room . become non - smoking since July . boyfriend smoke , always go outside smoke . ashtray well picnic bench outside . if be light sleeper , prepared awoken car go every hour night . not think bad though , ' m light sleeper . thing wake next building construction work do , start 6 . needless say , could not get back sleep . the breakfast alright . not good taste bad tasting . £ 4 person , get full english breakfast room come continental breakfast consist bread cereal juice / coffee . never wait table breakfast , notice queue start form start eat . staff clean table fast people do eat though . overall , hotel bit overprice still nice hotel . 
 Aug 18 2007 	 great location 	 Husband daughter stay Blakemore inJune . 5 week holiday round U.K , France Italy want stay London 4 day . spend many week web look Trip Avdisor web site , try find good affordable accomodation cost arm leg also close heart London . read many horror story pick one bunch . close restaurant , pub shop reasonably price . also seem good safe area night go eat . the room tire good size 3 single bed clean towel linen every day , bed soft . bathroom small hardly room move dodgey toilet shower leeke water floor . always clean daily many complaint . room quiet third floor view front hotel . hotel staff foreign helpfull . value money would stay , side street across road Hyde Park . 
 Jul 25 2007 	 find someplace else- Bedbugs 	 Blakemore reception staff amazingly rude . room tiny even european standard , 15 ' 10 ' . furniture break , mirror break , door break , linoloeum peel inthe bathroom . Carpet threadbare . bedbug room first night change room . second room twin bed instead double room somewhat well , good . breakfast inedible . not bother stand line ( ) . however , bar quite nice locationi excellent . price , well . 
 Jul 13 2007 	 well cheap hotle London ! 	 think hotel great . location fabulous price affordable . decent size elevator concierge service , bar restaurant . stay single bed ensuite bathroom 4 night . small , clean bed comfortable . room also tv , hair dryer , kettle stuff make tea coffee . also find room quiet . stay several cheap hotel London one good , would definately go back . 
 Jun 26 2007 	 Dreadful Hotel would never recommend 	 Hotel outside ok , old building character . reception area bar also ok . book 4 non smoking room director client 2 4 could not stay room apaulle state . smoke room - even though specifically mention smoking room available would need cancel booking , mention thread bare carpet , chip crack tile bathroom , room bad . would recommend . 
 Jun 17 2007 	 Cheep could cheerfull 	 hotel good value £ 50 night . pay extra £ 4 per night full english Breakfast . breakfast supervisor record quite rude . eventually prove pay . apoligy waitress . cooked breakfast cheap poor quality food , tip still contenental generally include . 2nd day , waitress seem indicate follow table reason wandered kitchen . plenty table however . hotel work need do improve staff customer service side thing . receptionist bit impersonal lacked efficiency frendlieness . Barstaff quite good , lounge bar confortable attractive . room quite pleasant . shower bit low work fine . tv work fine . bed comfy . despite near main door , find quiet enough get good night sleep . this hotel fantastic value locate attractive location . despite & quot ; service & quot ; comment , value make good choice . 
 Jun 11 2007 	 nothing wrong Blakemore 	 read review website , bit leary , book Blakemore anyways . turn nothing worry ! blakemore old hotel ( apparent decor ) could mabye benefit facelift , comfortable hotel . bed wonderful room quite large , London standard . room elevator , old quite loud , room away , ' m sure would not problem . locate central part town , easy access tube 10 minute walk Paddington train station . would definately stay Blakemore ! 
 May 9 2007 	 Pleasant need TLC . 	 travel London always enjoyable . ' ve stay several occassion rarely ever stay hotel . due appointment arround Hyde park choose stay Blakemore hotel . locationthe hotel conveniently locate several tube station . bayswater , paddington , queensway Lancaster gate within ten minute walk . Leinster Gardens , street locate , locate Bayswater road . along 's artmarket every sunday . instead advertise , park Hyde Park Kensington Gardens . see basicly part one another not really matter . Hyde Park , Kensington Gardens , Royal Albert Hall V & amp ; museum close by . the hotel : building 's surrounding nice indeed . fact 's close Kensington Gardens Hyde Park big plus . entrance wel lay pub restaurant well take care . entrance however accesable person make use weelchair . hall cosy narrow . well light carpet seem threadbare places.roomI Stayed single room top floor back building . upon enter room seem small . surprise hotel london however . lay efficiently . decor much date , .... London appreciate hotel decor . the bathroom toilet bath . take long time water get warm , would well turn cold tap asap . bathroom small way complimentary soap put wall lacking logic . nothing hold get bath . see old people trouble . extraction fan bathroom noisy , turn side . find could hear fan neighbouring room . room reasonably quiet . wall thick enough . wooden floor however transport sound room . bar creak fan , barely sound come room . get sound come hall door slam shut excptionally hard . my room overlook really open air stretch tube . not mind sound . window double glaze way keep sound . tube stops 's service twelve not start drive till twelve . worry sleep , ask room front building street seem desert traffic.servicei find lady behind counter friendly . man ( honestly , ) seem gruff stand - offish . none staff originally english . flag name badge mark language speak . find polish , spanish , italian , russian , english Indian . girl friendly go way help . room come continental breakfast . consist juice , coffee , tea . several kind bread , jam , honey choice cereal . , well expect . full english breakfast set back 4 pound . come shape buffet 's bargain . all , basic hotel 's great location good place stay intend stay town day . however spend rime hotel , . sincerely hope owner hotel look replace threadbare carpeting generally improve look room . 
 Apr 22 2007 	 never 	 arrive hotel late night show room , tiny . 's ususal London problem . big problem noise come electric machine outside room . window thin could hear everything . complain noise get another room - noise - problem . give single room . room okay , room husband absolutely . early morning tube start go , seem drove room . husband four uncomfortable night hotel - much noise tube less sleep ! friend another single room . arrive city one day wonder door not close - although knock certainly . nothing seem steal wonder door open . the lobby hotel nice , breakfast nothing special , okay . continental , absolutely bad guest write . 
 Mar 10 2007 	 bad ..... 	 well start ? book 3 night outset thing not good ... surprised find & quot ; non smoking & quot ; room request smoky -i mild asthma- ask change , husband tell & quot ; room smoking & quot ; non smoking & quot ; room & quot ; ! ! tell ask breakfast next day change room ( ) room smoky . think smoke come wall something ! door easily bang window open subject hearing noise room ( insulation not good .. ) employee grumpy apart happy concierge jolly leave ! breakfast ok queue long sometimes ... go continental breakfast fill croissant toast . good thing orange juice . ideally situate tube ( ' m trying well find something positive say place ! ) definitely will not go back stay ! give 2/10 orange juice tube access . 
 Mar 4 2007 	 room break stuff steal 	 Wish first read bad review . give basic somewhat dirty room arrive suprise lobby quite nice also spot room getting clean pass much well tell one available . however , worse come , return late night room , discover horror , someone come inside slached open locked suitcase knife something steal stuff . sign force entry 2nd floor room . staff helpful supportive . tell & quot ; insurance cover & quot ; & quot ; London , know & quot ; & quot ; one room poor locking system easily tamper & quot ; . room electronic lock . also amuse look face every time try get help . manager try ignore also almost laughte . police call staff rush room beforehand open window try make look like someone clime high come . disgust upset . refuse compensation one penny take room price . needless say stay awake night even though give different much well room nowhere else go late night . would never recomend place . rotten , lie thief lurk . 
 Feb 4 2007 	 Blakemore 	 ' ve stay Blakemore hotel january 26th one friend not disapointe . we look cheap night London want situate good location without go Youth Hostel . Blakemore exactly look ! great surprise arrival , give we triple room price double honored internet booking price approximately 100 $ usd without ask credit card deposit . the room look bit old plain charming english style . great view Leicester garden street . ( 3rd floor ) staff pleasant speak english well . constant water showergreat neighborhood feel London vibeOldish , clean ' ve see room bit big expect read previous review . ( maybe cause triple bed room though ) good value - perfect budget minded young travelersWe allow eat hot crescent official breakfast time return London night . anyways , great time . not expect 4 star hotel . it be basic enjoyable . Tom 
 Feb 4 2007 	 nice room terrible breakfast 	 book dbl room single room . single room small , one night ok . clean comfortable although spotlight outside single room window light room night keep son awake . dbl room spacious nice surprise , clean cosy . however , hear everything wall . staff friendly enough . read breakfast great , greatly dissapointed . cold , rock hard egg burn sausage .. pay £ 4.00 extra . staying would suggest stick breakfast include price .. croissant , roll , toast , juice etc . would stay . lobby sumptous however suggest behind door i.e hallway etc .. would infact need tlc .... would stick cafe breakfast . 
 Jan 29 2007 	 fine 3 star 	 stay 2 night 1 year old daughter . staff welcome pleasant , advise breakfast include without confirm first , hotel reception nice , clean give ground floor room whch great eventhough notice lift . room clean bathroom fine . small big enough stuff plus buggy bag ! easy walk padddington station close bayswater shopping area . plus within walk distance hyde park , many area . walk marble arch 20 minute . breakfast buffet style continental u coud eat much want ! could pay little extra english breakfast want . would stay daughter . 
 Jan 24 2007 	 value money u do not mind compromsing little comfort 	 ok particularly comfortable cosy . quite basic frill little shabby place . say probably good value money part town u do not mind compromsing little comfort one night sleep job ! 
 Jan 21 2007 	 Wowwww ...... Surprise ! ! ! ! ! 	 move Blakemore Hotel Pembridge Palace ( like Pembridge Prison ) Hotel last 2 day holiday London . stay cousin Greece late October . purchase voucher eBay 55 GBP Twin Share per night . arrival greet professional staff . friendly reception staff really go way make stay enjoyable possible . even information desk reception area . when go inside room trully SHOCKED ! ! ! ! WOWWWW .... SUPRISE ! ! ! ! twin share room HUGE ( bag actually fit inside room time compare previous hole ) . light smoke enjoy freedom smoke inside hotel room . odd thing wash basin actual room bathroom . bathroom well maintain , abit old still serve purpose well . room also free wireless internet provide hotel . Coffee & amp ; tea facility also provide . the full english Breakfast really good . pig could not eat anymore . dining room really nice comfortable . we set final day London . purposely leave & quot ; DISTURB & quot ; sign front door much dirty place 1 night ? well suprise , return 1 am clean towel wait passage way front door . really nice courteos cleaner . location well . close Bayswater restaurant / shop strip . also close 3 tube station . the Bar reception also great place hang . night afew drink . great place pick could not bother night . nice lady enjoy quiet drink . well cousin really enjoy Blakemore would definately stay . GO stay sorry ! ! ! ! POSITIVES : large room , FRIENDLY PROFESSIONAL STAFF , CLEAN ROOMS , free WIRELESS INTERNET , nice ENGLISH breakfast , BAR GREAT ! ! ! negative : mmmmm none really .... do not move earlierPS : check photo take BLAKEMORE 
 Jan 5 2007 	 Loved come 	 go band work three night stay . great location , couple minute walk near tube station , even less Hyde Park . the reception good ( also italian speak ) , kind helpful.3 4 refurbish room , quiet clean . the oly thing not perfect bar service , not anyone serve we . the lobby big good meeting , interview . price / quality rate fantasti . definitely come back January . 
 Nov 17 2006 	 good value money - come 	 stay hotel begin November 2006 . single room ( shower & amp ; wc room - need check make booking , since hotel offer also single room share facility ) good size , clean , furniture bit old not matter , hot water throuout day strong flow - important along walk day London ... staff friendly helpful , breakfast quiet good well . location convinient , quiet pleasant street 5 - 7 minute walk bayswater underground ( circle & amp ; district ) 10 minute walk Paddington . it definitely fancy hotel , nice cozy definitely good value money . come ! 
 Nov 3 2006 	 hate hotel 	 place disgust ignorant people room tiny clean thought get cockroach abroad disabled woudnt call cab make sure read entitle ie breakfast you ll get shock check 
 Oct 25 2006 	 aware 	 feel need make everyone aware hotel worst ever stay disappointed . room tiny end bed nearly touch wall . could swing cat . sink bedroon bathroom awfull . tap plug hole mould old fashioned . wardrobe slide door style one go slide open whole door fall hand . room pit . ask receptionist well room tell . bar staff rude . bar advertise open till 12 yet shut 11.40pm . ask could get drink rudely say . breakfast que nearly 10mins table . please please go hotel ruin stay london . central location would preferred go extra tube ever stay . 
 Oct 25 2006 	 good value location 	 friend stay Blakemore October , 13 -17 , 2006 . room clean , nice big closet shelf , bathroom bite small . overall enjoy stay hotel . staff appear struggle english language , friendly enough . close underground , many pub / restaurant shopping ( souviner ) walk distance . also , sight see place walk distance ( i.e . Kenisington garden & amp ; Palace ) . admit eat hotel , therefore , comment food . many restauarant pub offer cheap price hotel , opt cheap . fairly decent meal . would stay hotel . hotel honour internet pricing book . 
 Oct 10 2006 	 bad place ever see 	 call Standard Room , smart rate 99 UK Pounds thing available HRS Online Booking simply nightmare . dirty , disgaste , unfriendly , simply unusable . certain room go backwards , able turn around in . we stay exactly 15 minute leave immediately , could use fully dressed . Nobbody would dare shower naked use toilet . 
 Sep 19 2006 	 hate blakemore ! ! ! ! ! 	 stay two night friend . hotel clean comfortable staff terrible . never meet many rude people manner disgrace . waitor could job receptionist wrere extremely unhelpful . thay drink bar bottle trhat . could speak good english everthing seem take twice long . would recommend hotel anybody return london definitely stay 
 Aug 11 2006 	 nice surprise ! 	 stay Blakemore 3 night July 2006 . read previous review , prepared ( daughter travel ) budget , youth hostel - style hotel . pleasantly surprise Blakemore ! check - in concierge staff friendly efficient lovely room ground floor . view window big , nicely decorate , clean fresh ! bathroom bath ( appreciate camping trip ! ) fresh towel everyday . amaze guest complain breakfast arrangement ! full english breakfast Continental breakfast serve different side breakfast room . friendly member staff check room number entry - confusion pay ! location hotel perfect - Big London Bus , tube station , regular bus service super shopping mall nearby . affordable price - even expensive rate exchange . doubt stay Blakemore . 
 Jul 29 2006 	 helpful great location ! 	 hotel locate excellent area . two metro station nearby Heathrow airport 25 minute away . lot theatre shop around Blakemore . hotel room air conditioning clean . staff concierge helpful accommodating . make trip go smoothly know staff answer question give suggestion go . enjoy stay hotel . 
 Jun 24 2006 	 good location good money ! 	 love location hotel . quick easy walk park Kensington , near 2 tube station easy access area London . find travel area easy . area not nicest quiet feel safe . addition plenty tourist , well local , shop etc anything may need . would definitely stay area likely hotel . the Blakemore far impressive foyer , rest hotel not quite live . real problem hotel though continental breakfast book room apply tell would pay extra . obviously not bother . room small warm , could ' ve do lick paint replace old bathroom . however , clean , fresh towel clean do day , everything work . want somewhere quick wash sleep hotel fine meet need . would not recommend light sleeper wall thin maid probably wake . also open tube line run nearby noisy go night bother make sure ask room front hotel . enjoy stay London , blakemore good price range . would stay long prive remain competitive . would recommend long look luxury modernity ! 
 Jun 18 2006 	 Hotel average location good 	 hotel room smallest have encounter throughout Europe , manouevre walk around bed . staff fairly rude well not respond email prior arrival . stay , one guest room rob 's secure hotel . also , be next door train station hear train run one . positive location , be great price pay . be locate across road Hyde Park , nearby restaurant , bus tour two different underground station . Great be budget can not afford well hotel . 
 Jun 4 2006 	 cheap ! - get pay . 	 hotel ok night two , 's save grace be cheap . the room old clean , reasonable size . no internet , cheap one road . we walk smoking bar get room , happy that . the breakfast pretty ordinary cheap . not far tube station , 10min . do not expect anything will ok . count money save . 
 Jun 1 2006 	 Clean Convenient 	 stay Blakemore last April find clean convenient Hyde Park several Tube station worth budget rate . travel alone , not mind room small , though feel like stay college dorm room . room clean never go without clean towel , though sometimes go without hot water . room 2nd floor near stair loud night . unseasonably warm London , without AC , room stuffy . hotel staff friendly enough , though never require service check . forget give phone message expect , therefore , miss see old friend . though hotel adequate enough , go back London summer boyfriend , will not stay Blakemore . 
 Apr 25 2006 	 well expect much .... 	 stay hotel 3 night . single room brother , wife son triple room . actually feel guilty end book hotel we . positive point hotel clean bad , sometimes bad side hotel:1 . noisy hotel . hotel old window also old , hear everything outside like people talk , car drive , ... really everything ( 4th floor , imagine brother 2nd floor ) . brother 's room , could hear underground train room 0.30 ( yes undeground also call tube roll stree , imagine ! ! ! ! ) tired morning ; tired ! ! ! ! isolation bad se ... 2 . room ( like mine ) old tv ( date early 80 's ) . brother even want believe come room see ! explain : know small T.V without remote control 10 button screen , get time want change chanel switch ! anyway 5 channel ( english crap one ) . know , know , might say : ' go London watch T.V . ' believe 10 hour walk around London , happy lie bed hour relax watch news ! ! ! ! Carpet room , small air - conditioning good luck summer ; - ) 3 . everything room old ( window . door , toilet , sink , ..... ) would say 70 's . door lock old easy open , point view ! ! ! know goldy round one lock middle , bad . happy time come back room realize everything still ! ! ! ? ? ? 4 . breakfast : room -1 small hotel often queue wait 15 minute get seat . breakfast 7 - 10 arrive 9.30 , patien ; - ) alo continental breakfast include problem 2 side , one continental ( bread , croissant , corn flake , milk . coffee , jam , milk tea ) cheese , ham BEANS . think personaly could add least cheese . side , ENGLISH / AMERICAN breakfast sausage , ham , cheese , bean , egg . bacon , ... ) . watch person watch , adn wou contintental , want eat fod corner , add / pay 4 GBP extra per day . see people sit table employee hotel go ask room number explain work ! ! ! ? ? ? ? find bad course make purpose see compare , tempted.5 . 1 single elevator big hotel ? ? ? ? ? ? patient get busy imagine.6 . small bar serve table , get , order pay bar small choice drink . rather drink outside hotel another bar . I travel lot around world one big shock I . I think find well one price especially area also good safe still find pizza hut , burger king KFC interested.take care . 
 Mar 24 2006 	 Tired Compact 	 competitively price hotel double room big enough get bed one suitcase . room poor repair major fight open window ! breakfast bit scrum basement area staff brusk . lot smoke bar area , make unpleasant place relax . would stay even though cheap rate . 
 Feb 27 2006 	 good rate good location room improvement hotel 	 hotel good location , 10 minute Paddington tube station - also number restaurant shop close vicinity offer good value meal want avoid city centre price . hotel ok - reception bar area make good first impression , though room stay need rennovation . shower / bath / toilet room tiny leak - though hotel staff helpful resolving matter . bed fine use small space well . one frustrating aspect present non - smoking room reality absolutely reeked smoke . appreciate hotel staff monitor situation 24/7 , also unwilling find another room request . would consider stay basis cheap rate good location . 
 Feb 1 2006 	 affordable old fashioned charm 	 many people pay load find authentic old charm .. however , often expect charm come new furniture , modern luxury .... be able deal fact old fashioned feel often come along indeed mayby slightly worn furniture , ' ve definitely come right place . job typically get stay many ' beautiful ' hyperclean , rather neutral hotel ( like Meridien , Sofitel , ... ) ' m complain , business trip , main thing good bed , indeed modern shower , tv get mind think . personal time , yes , admit also partly budget reason , much prefer sort hotel . walk , first feeling , displeased accorded room ground floor , immediately dissapeare . twin bed room quite spacious ; old small & quot ; cupboard & quot ; drawer top green carpet put suitcase onto spontaneously conjure image old orient express feel ; pinkish striped wallpaper make quite cliché english ; crisp white linnen bed make difficult take short nap ; two pillow cupboard sherry cake ... short , think 35 pound ( last minute rate ) spend two person together well spend . yes , bathroom quite small , washing sink room , tap cute , really one must instal year year ago . yes , carpet old run around sock , easily gross , 's whole , feel clean place . people reception kind , neighbourhood quiete peaceful , shop , mall nice eating place 10 - 15 minute walk away ( though need know road ) . surely recommend hotel ; average 's price 
 Jan 24 2006 	 pleasantly surprised 	 impressed Blakemore . friend arrive London go hostel reservation studio apartment Earl 's Court suppossed . however , supposse hostel long seem operation , quickly find new hotel . stay first night hotel Earl 's Court go online find something well . be come across Blakemore . price right , 40 60 ( weekend rate ) pound per night two single bed room . arrive early check see could either check early leave bag . receptionist ( friendly ) tell we room ready yet could leave luggage come back afternoon . also inform we upgrade ( sure ) & quot ; deluxe room & quot ; . not sure meant time not expect mean much . see photo room hotel , tell deluxe room really great . bathroom brand new , well lit , fantastic water pressure shower - one nice bathroom ' ve see hotel certainly nice bathroom ' ve see european hotel ! room small , nicely decorate rich color . comforter blanket extra pillow closet . sure disturb sign maid knock early ! room 10 although view , room nice . impressed hotel since last minute reservation give we way expect ! definately go deluxe room ! 
 Oct 16 2005 	 Good / Average Hotel 	 blakemore good hotel . 's average importantly inexpensive expensive city . find hotel / room clean water / toliet fine . staff exceptional , accomodating , friendly helpful . concierge act bellman , barman concierge , staff good spirit . bayswater tube stop 5 minute walk street ( line like hotel , youth hotel apartment ) mostly quiet . & quot ; night life & quot ; ( i.e. , club ) speak area Bayswater tube stop make travel Picadilly Covent garden relatively easy . look good hotel good price , blakemore fit bill . say , since average would probably try new hotel next time visit London hope finding & quot ; secret gem & quot ; . ( eat hotel , would highly recommend & quot ; Tom 's & quot ; nearby Nottinghill great breakfast ! ) 
 Oct 16 2005 	 typical english nice clean 	 friend stay blakemore end august enjoy . pay 42pounds night great offer ! ! ! ' ve ever london know expect blakemore nice . room big enough space two people ( twin room ensuite ) . bathroom small also enough take shower quite new ! would deffo stay . 
 Oct 15 2005 	 great be budget 	 look cheap ensuite double read ( cheap ) hostel afraid get end dirty unsafe place . decide stay Blakemore Hotel difference price ( compare hostel ensuite ) not huge location great . we make reservation hrs ( german company , English language ) pay ( depend day week ) GBP 42 , 52 65 ( incl Continental breakfast ! ) . HRS guarantee numer person per room , type room / bed , get twin ( two bed ) instead double . like room , thus not complain . room # 311 third floor ( lift available ) , A / C , furniture ( wardrobe , door ) ( ) old hear word speak street . however , street hotel quiet night , everything clean l - shape room lot spacious expect . two big suitcase floor still seem big us desk , phone , hairdryer water boiler tea instant coffee . bathroom standard ( white tile , wc , shower ) . wash basin bath room . they locate Westminster : Kensington : bayswater , easily walk bayswater Queensway ( latter one close may 2006 ) tube station Hyde Park . ( day night ) bus , . area many hotel , fast food , restaurant , shopping entertainment ; i.e . busy enough feel safe tourist ( day night ) . street calm night dark 's long walk . the hotel nice lobby bar , staff always friendly . breaksfast either Continental English , buffet style all - you - can - eat / drink . continental fresh roll , croissant , toast , cereal , jam , butter , coffee , tea , hot choclate ( ask staff ) , milk . english egg , bean , sausage , etc . they offer standard , executive de luxe room ; single , double / twin triple / quad . price differ lot depend make reservation . advanced payment require arrive prior 6pm . one night 5 be false fire alarm . staff know false alarm , however fire brigarde could turn alarm take half hour arrive .... 
 Oct 10 2005 	 good London 	 return 3 day trip London . stay Blakemore . hotel older update . several nice hotels street . carpet ratty plumbing stink . take shower 5 minute flush toilet ' use sink / show time . service front desk guest service poor . look market 5 minute away ' find . keep look another hotel , wish have … you find nice room London 100 pound night . also , close tube stop Queensway close till May 2006 . 
 Aug 23 2005 	 great little hotel ! 	 Blakemore suit need 8 night London . stay two room : single later double sister stay . room small , fit need keep belonging safe safe place rest . staff friendly helpful . would ask desk call cab instead call private car cost twice cab would cost . first room bath tub elevate good water pressure . second room shower poor water pressure . hear people hall near tube hear pass . bayswater tube station 5 minute walk away lot thing area : place eat , place shop . blakemore excellent price great place stay . would stay . 
 Aug 22 2005 	 look deceive 	 staff great , room leave much desire . location ok , think would well stay one youth hostel , price would better quality . hotel , not think quality great . room reek something moldy , bed lumpy give one small pillow . water pressure awful water cut shower , twice ! ! 
 Aug 22 2005 	 fine price 	 stay Blakemore Hotel one night positively surprised review read . bad luck arrive Queensway underground station close May 2006 terror alarm bayswater station come bus Edgware Road tube station ok end . hotel find reservation make via HRS discuss even give we upgrade well room book ( still not know apleasant surprise ) . girl reception desk Swiss speak perfect german convenient we give we good feeling . the room give we nice absolutely clean , modern bathroom , little small ( really normal London ) . quite expert London room , check room first time get stuff suitcase . unfortunately room directly face big fan / airconditione outisde roof hum quite loudly . another executive room give three key check normal room . two reek smoke third besides elevator , stay original room nice ( oh yes , Germans fussy : - ) ) . still , hotel try satisfy we guest . the room - apart fan outside - quiet request hear guest night . breakfast include price absolutely ok - selection roll , toast , croissant , cereal , jam , butter two different juice well tea coffee . get nice english breakfast willing pay unreasonable amount money - well go cafe round corner . breakfast room nice clean . the area around hotel quiet Bayswater near wish ( many internet cafe , restaurant - bad expensive usual London , supermarket shopping centre cinema ) .All , definitely say Blakemore absolutely ok price well number hotel price category . would book . 
 Aug 13 2005 	 good value money 	 stay hotel friend . , however , alone . book hotel via internet time never problem booking . the hotel excellent location short walk Hyde Park . also close Bayswater Queensway tube station Whiteley 's shopping centre . however , prefer use bus , many use bayswater Road close by . blakemore quite cheap hotel compare hotel London . still look lot well budget hotel service also always good . room ok : excellent shape clean clean every day . room L - shape single room . otherwise nice room want open luggage floor difficult get around much space . there also couple incident pleasant . one morning 7 , fire alarm . manage exit room , stop . call reception phone rang fire alarm think might call . know anything guess ring phone connect fire alarm . anyway , false alarm . second incident one evening group teenager hang around hotel staircase close room . door soundproof could clearly hear everything . course , fault not complain want get bed . : ) 
 Jul 10 2005 	 pleasant hotel 's great deal expensive London 	 reception area pleasant , despite aroma smoke waft bar area . ( room smell smoke ) notice appear hotel street offer automatic door , come quite handy arrive / depart w/ luggage . difficulty hotel reservation ( use book site book 8 day call hotel confirm , tell original request 2 day . book site tell straighten problem & amp ; entire 8 day reservation book .. ) check go w/o problem . room nice enough , tastefully decorate ( carpet ' wrinkle ' , biggie ) large wood laminate vanity area & amp ; armoire , large 3 panel window , tub . surprised see tub think teeny tiny shower norm . problem tub , odd reason elevate 2 - 3 foot . dangerous try step afterwards good thing not tall head would ' ve near ceiling . absolutely water pressure . make difficult get shampoo / conditioner long hair . negative room west face ( top floor ) quite hot . borrow fan , help bit . ( apparently require deposit ask . ) hear bayswater tube mention other ( & quot ; underground & quot ; hear ) . not bothersome . actually west side extremely quiet . well , outside hotel quiet . discover next morning , room ( 522 - forgot take picture room ) right next service elevator / lift . door lift would slam shut . ( room door unless person considerate enough hold knob & amp ; allow slam behind ) wake housekeeping morning exactly 8 am . day two , problem .. stay 8 day . decide request new room ( crowd arrive live 8 ) . 3rd morning , ask put another room . accomodate w/o question ( apparently one room available ) . give key room ( 305 ) see meet approval . . even offer move belonging ( decline ) . room not decorate quite nice first -no wooden laminate large vanity area , actually vanity small , show time instead tub . fine w/ take shower . plus shower quite roomy . plus wonderful water pressure . importantly , quiet . near service elevator . room face street , ocassionally hear tourist bus outside morning , etc .. not issue . since room east face ( 3rd floor ) , much cool . happy ! ! discover toilet not flush . immediately send someone fix . request drop key reception leave . 24 hour reception retrieve key upon return . hotel many amenity ( bar , restaurant , laundry , etc ) take advantage . even organize tour ( going see play ) aware day check saw post next concierge 's station . guess that s fault . neighborhood quite nice many hotel , similar building . though building appear need renovate - glad not stay hotel . many hotel street middle renovation ( though never hear construction work ) . street lead hotel ( Hyde Park , block south ) many shop / restaurant / etc would appeal tourist & amp ; local alike . 2 greek restaurant , pub bottom another hotel , Leinster Arms , 2 3 & quot ; convienence & quot ; store , internet shop , etc . not enough , 2 3 block west Queensway every kind store ask . boot , Tesco , Post Office , multiple restaurant , tourist shop , even mall ( Whiteleys ) . course , tube stop . Queensway ( central line ) close right unfortunately . bayswater ( Circle / District ) also close . though Circle / District line not nearly desirable line , least . central line use . often walk bit direction ( east ) towards Lancaster Gate . even though little bit far walk bayswater stop , still close . 7 - 10 minute walk . ( bayswater 5 minute walk ) Paddington Station also short walk away . make convienent take Heathrow Express . happy stay Blakemore . would definitely stay . 
 Jul 6 2005 	 pleasant . location ok not mind tube hopping 	 live London stay hotel week friend . find room bit small clean everything need . bed comfortable . breakfast morning nice bar comfortable staff helpful . however , write review people know London well . small shop area absolute rip - off . need painkiller headache charge 4 time would usually pay . location ok fit healthy do not mind jump tube look something close centre London really place . hotel would good visit London Hyde Park Kensington Palace . 
