rather 	 price reduce say usd 20 usd 30 , would say reasonable . hotel good , however , room tightly lay - out . bed , tv , coffee table , write table , tiny luggage bench bed , seem squeeze small space ! compact large property . service Front Office check - in swift professional . query information internet service late check - out till 2 pm immediately understand respond . the breakfast service also prompt efficient . coffee continually refill . downside breakfast service layout buffet spread . walk 3 round could find juice . eventually , ask service staff tell juice entrance ! totally cut - off entire food fruit line , also beyond greeter desk , definitely first many experience hotel . recommend visit office complex , convenient . otherwise , various hotel Pudong Area might well term choice , cost room comfort . 
 Nice Business Hotel Shanghai 	 nice business hotel heart shanghai .. seem quite full even work day , restaurant hotel full time .. stay 3 night good service hotel .. 5 block away nanjiang shopping district .. 
 Mar 19 2008 	 Shanghai First Timer 's - Westin Plenty ! 	 location hotel convenient really nightlife . place People ' Square , would assume lack location , would make service . say Westin start strong . girlfriend Jr. Suite , one good part trip . unlike people travel , one enjoy amenity hotel . heavenly bed , rain forest shower , spoon ( soaking ) tub , hair dryer ( lady ) , prompt 24hr room service , sofa lounge glass desk … all great feature room hotel socket fit need . , would change temperature setting whenever leave room day . room service ok , run particular dish early 12 am ! excuse , think hotel . must agree Sunday Brunch " Stage " , within hotel , top notch ( make reservation asap , fill every WEEKEND ) ! note good brunch Shanghai , would say one good brunch world . top shelf liquor everywhere ( greet line glass champagne cherry bottom ) , caviar ( ) , make order pancake , sushi , baby lobster … etc . let forget string section , yes live classical music dine . bad thing brunch dessert map choice buffet locate . the spa great , would repeat honest . concierge pretty helpful throughout entire trip though . know Chinese , help well could . fluent , well outside hotel . help we organize 1 day trip Beijing ( round trip airfare include ) private tour guide take we Forbidden City , Tiananmen Square ( Closed People ' Republic China ' Congress session current issue Tibet ) Great Wall . bit expensive , since sure next time China , going well never go . the one incident occur Shanghai late night come Pearl Tower Pudong jump RED taxi . initially hesitant use cab since color different see point driver ' seat surround plexi - glass ( ' know Shanghai ) . right outside tower another taxi right behind , indicate must taxi ' congregate . well inside cab , drive little inform we tunnel closed ( tunnel toll close 9 pm ) need take we long route . could do since already cab already drive minute ( could drive we bad area know ) . obviously agree , notice meter move fast . usually increase 1 rmb every 5 minute ( notice keep time dash separate stoppage time , distance trip time ) , cab meter increase 1RMB every 30 sec . know getting hose , concern get hotel safely . get hotel , figure would get one doorman help contest amount one time , one greet cab . go inside concierge get assistance , driver drive . receipt generate cab fake concierge tell get one help would let leave , point NOONE OUTSIDE . inform we take red colored taxi . , excuse hotel extremely knowledgeable Shanghai ! end story , would stay Westin Shanghai Bund Center again … I would , next trip would try something ( starwood ) inside People ' Square 1st . 
 Mar 10 2008 	 friendly staff great hotel 	 stay business conference . impressed property staff . staff friendly speak good English . also reasonable walk distance Nanjing Dong Lu shopping area . downside : taxi queue long peak time , doorman try get cab come property , sidewalk around property finish ( fully paved ) yet . 
 Feb 20 2008 	 Warning Construction around Hotel 	 stay Westin Shanghai February 8 - 11 , 2008 . big problem construction go around hotel . sidewalk within block radius repair , basically walk dirt . not think major repair complete next month , ask hotel book . the location hotel ok , warn one side one tower hotel view . 's overall location city , be great . Nanjing road Bund block away , place tourist business people spend one hour . fact be within walk distance major shopping mall immediate area run part Shanghai . the hotel consist 2 tower , crown grand . room call jr suite , bc divider small sitting room . little put front desk bc basically lie say upgrade jr suite , fact room size . room nice , especially bathroom , bc divider seem little cramp . one problem face hotel brunch dimsum popular local unable book table even day advance . one ok restaurant near hotel call Old Uncle Shanghai Food , be locate basement office tower . overall would recommend hotel tourist visit Shanghai . 
 Feb 16 2008 	 slip 	 nice hotel , certainly one top 100 inthe world claim ! stay three night move St. Regis . I stay Westin time year ago definite buzz hotel ... attentive staff , outstanding food hotel , upgrade , big focus guest . year . Staff Executive Lounge seem lackadaisical good . food spread impressive , two kind wine ... white red ( undistinguished Shiraz screw - top bottle . ) newspaper delivery haphazard . amenity restock bathroom . unpleasant surprise come first afternoon . take jetlag nap 5 PM . lock door turn & quot ; disturb & quot ; light , also deactivate doorbell . phone rang . someone ask please open door could return laundry ! stagger door hand laundry ... apology waking . ( would obvious ! ) explanation call room & quot ; disturb ' sign ! room Westin never great . junior suite new wing , be almost place sit ... hard , armless desk chair chaise . 's ! lot room ... large foyer , big bathroom ... two uncomfortable place sit . one tv remote not work either . internet connection , slow . these minor point hotel still good one , ever one 100 good world , ai not anymore ! st . Regis , hand , seem improve age . Royal Meridien also preferable Westin location , cost , quality comfort room . 
 Feb 10 2008 	 great location good qualty business hotel 	 stay 7 night suite executive floor . overall hotel handy location two block bund . Staff generally speak good english . quality room dine average restaurant large hotel standard fair acceptable . great pool spa . the room good size nicely furnish comfortable . excellent view room acrosst Pudong . the club pleasant good breakfast service drink afternoon . have enjoyable stay . recommend dinner whampoa Club . fabulous . 
 Feb 5 2008 	 de - luxe ! 	 room new tower get free upgrade executive floor . room well get free breakfast could evening snack lounge ( actually good choice sandwich , salad , small hot item ) . room luxurious furnish tastefully ( although hard wooden floor would finish well carpet floor ) . bathroom nice big bath also rainfall shower . room sort & quot ; mini suite & quot ; although wardrobe near front door , far bed could place ! location good although edge central area . much traffic noise . gym excellent two level although change area small . breakfast amazing although service little efficient ( plate take away still toast hand ) . 
 Jan 26 2008 	 come back 	 walk immeditely feel home . staff greet door escort reception . room new tower wow say . great view bund oriental pearl ( could see rain snow anfd fog ) . walk distance Bund e Nanjing Rd . use spa love . room service food excellent . definately would stay . 
 Jan 17 2008 	 Great Comfort 	 spend 4 night right Christmas leisure trip Shanghai . first time China , impress Bund Westin . extremely good value price , even expensive chinese standard . staff helpful good help we not speak chinese . concierge able book we two trip ( one outside Shanghai ) advise we restaurant bar . upon arrival & quot ; encouraged & quot ; reception upgrade junior suite new wing . visit two , pick one impressive view 21st floor . happy . besides overlook view , really enjoy luxurious modern equipment room bathroom . try spa wonderful experience : great massage , gorgeous decoration , even though really expensive . we not try neither restaurant bar , & quot ; international & quot ; . breakfast offer amazing choice high quality food . plus hotel really close Bund , walk distance People 's square Nanjong road . however taxis always available not overcharge , happen we Jin Mao tower Pudong . I can not say recommend . 
 Jan 9 2008 	 overrate poor business 	 visit Shanghai often business decide try Westin Bund area . convenient location . nice restaurant next door call Shanghai Uncle - traditional chinese menu , reasonable price , upscale crowd , english translation menu . I platinum amex Gold SPG member get upgrade . upgrade executive floor room size suppose non - exec floor not allow access exec lounge include breakfast . point upgrade ? room clean although bit freaked find durex condom pocket bathrobe . plan part Gates Foundation AIDS prevention program inform colleague sign robe wash ? sure . the bed hard pillow top ineffective . certainly & quot ; Heavenly Mattress & quot ; advertise American Westins . complain tell U.S. mattress . not believe tell truth . check U.S.The lobby restaurant ok . breakfast fresh buffet style . would like see choice reasonable price . food fair . the real kicker place claim & quot ; good business traveler hotel asia . must kid . business center open til 11 pm poorly accessible except two escalator elevator . backlighte laptop screen fail , go business center rent laptop- price : 800 rmb ( $ 110 ) day ! 6 day leave town could almost buy new one . ask might get repair do idea business center . concierge helpful idea either . english skill business center folk also rather marginal . try explain one computer center strange signaturing top browser page might sign virus infection keylogger get nowhere . decide go computer store . the concierge give two address . first turn bank . second place sell cheap monitor ( $ 90 ) attach laptop - problem solve . point business center solve business person 's problem . order three time room service . first time get chinese dish noodle shrimp reasonable $ 12 . dish size adequate seafood minimal . second dish filet $ 25.00 plus service charge . meat weigh 2.5 ounce total 4 bite . potato dollop diameter quarter . 5 small piece vegetable . complain manager tell correct portion . order hamburger night still hungry . ok . concierge service average several folk seemingly cover without adequate english skill . expect english skill pick american hotel promote american business crowd . pricing low expedia directly hotel suspect 's not get room mattress expect . overall , not find hotel worthy repeat business staff . Scott R 
 Dec 16 2007 	 impressive building staff could wake bit 	 stay one night early December , check - in show lift suppose take room , fact wrong building end wonder around feeling lose ( ) .went back reception eventually end room , ask change immediately , smell terrible . pay extra upgrade new wing ( two wing , new wing approx one year old old wing five year old accord staff member ask ) , get junior suite suite average sized hotel room , smell ok though . it take hour bag transfer old , smelly room Junior Suite , much prompt two trip back reception . do not think hotel worth money , one night . previous poster note construction noise outside hotel , unaware night stay . opinion expensive unimpressive , nothing compare Shanghai first visit . 
 Dec 10 2007 	 Excellent 	 great location old establish side river ( Pudong ) close Bund old town . plentiful cheap taxi take anywhere else anyway . great service round whole glitch happen minor mention . Sunday brunch classic event amazing entertainment food every type freshly prepare . room modern everything could wish . club room lounge even well even expensive . spite cost still relatively cheap compare major city country . 
 Nov 27 2007 	 simply excellent 	 three night hotel exceptionally comfortable - spacious room , good food helpful service . quality act . 
 Nov 15 2007 	 Pleasant stay 	 lovely hotel great location . right heart city , block Bund , road leave hotel fast - track onto highway system . room nice ( stay Grand Tower wing ) spacious , pleasant , signature super - comfortable bed . beautiful design , room new . I wish coffee shop well . sort wish huge hotel China could one local dish dinner menu . perhaps breakfast , restaurant well , not want give short shrift ! would stay . 
 Nov 4 2007 	 nice 	 absolutey love Shanghai always preppe good time anyway , Westin Bund Center help make trip Shanghai something look forward . be still major business hotel , go - huge cold lobby , bar lobby , group check in , etc ... room great ; large , clean - great bathroom plenty window light . staff pretty much leave alone unless need something , whatever accommodate special request . travel time get room upgradeson request ... unlike hotel . recently city construction right outside seem go 24 hour day really loud . hotel one good business hotel stay . 
 Oct 20 2007 	 good hotel 	 good hotel . check fastUnlike previous hotel stay Beijing ( Kerry Center Hotel ) staff speak English fairly well . large room . great bathroom . firm bed ... may find hard though . location wise , quiet place within walk distance BundGood breakfast spread ... try mainly oriental selection good . 
 Sep 5 2007 	 one good hotel Shanghai 	 travel Shanghai regularly . recent trip , decide check Westin Bund . Stayed total 6 night . give Grand Deluxe Room ( kind like mini - suite ) . hotel simply fantastic . location excellent - 10 min walk Bund . hotel relatively new . excellent staff - courteous always willing go extra mile . package cover breakfast evening snack fifth floor executive lounge . excellent food service . Westin Bund - certainly new address Shanghai ! ! 
 Sep 2 2007 	 Business hotel 	 large hotel large lobby , several restaurant , everything business traveller need . hotel business traveller cosy cold marble light honeymoon cosy weekend would rather stay four season Shanghai alternative . breakfast excellent one well buffes try , quality average variety food large , maybe different fruite darkbread healthy . room comfortable large . seperate area tv watch also Tv bedroom area , good desk work relevant connection . bathroom large seperate room toilet , shower room seperate bathtub . thing good toiletry , bathtub salt anything like use bathe . though razor , toothbrush male traveller probably happy selection female one lotion good . could clearly see hotel probably 80 % man guest ... location convenient taxi really cheap forget get card give driver get back hotel ... taxidriver understand english good . try restaurant nothing say . internet computer business center cost 80 rmb half hour . service hotel good , get tourist stomac problem Shanghai go pharmacy get back medication quickly . bad food come hotel ... 
 Jul 23 2007 	 Loved love love Westin Shanghai ! ! 	 return home 4 - night stay Westin Shanghai ( 7/18 - 7/21/07 ) . enjoyable stay ! upon arrival , husband upgrade Grand Deluxe Room whisk away separate , tranquil , glass - enclose area check - in . process breeze go right room . pleasantly surprised find fairly large room equally large bathroom - ultra - modern yet homey . light welcome soothe , . everything immaculate , organize non - cluttery . bed firm yet comfortable , towel plentiful , shower ( overhead rain showerhead separate hand - hold , ) great , . never bother whenever Disturb sign - placard discreetly slip door let we know room could service due Disturb sign . think great touch - immediately remind we call front desk housekeeping leave room . also laundry stay , return we nicely fold organized cute basket ! one day , literally stay room day get work do . think say lot able stay long feel right home . room full natural light , flat - screen tv awesome A / C never loud disruptive . total heaven ! hotel 's location OK . conveniently locate touristy area ( could plus ! ) still easy enough ( 10 min . walk metro , taxis always plentiful cheap ) . despite 's location , lobby always lively bustle - love . lunch one day Le Royal Meridien ( locate busy Nanjing Road area , close shopping metro ) , vibe definitely different . quiet dead ; much prefer liveliness Westin ! service good , . concierge staff helpful always offer assistance smile . however , think language barrier always concern ( Westin staff 's English pretty good , maybe could bit well ) . speak Mandarin , never problem we . could see guest get little frustrated . breakfast one morning ( buffet plentiful yummy , way ) , european couple next we ask waitress napkin . think nod , not really understand request ... nothing happen . female patron visibly annoy ask napkin time waitress understand . , maybe patron bad day begin , not think kind snotty , pout behavior really necessary . end leave mid - meal seem like not even pay bill ! anyway , ridiculous laugh . earth lady : be foreign country ! another plus Westin : fun people - watching ! ! overall , fabulous stay highly recommend . many hotel Shanghai would like try , Westin definitely top list hotel would visit future . 
 Jul 5 2007 	 great young western woman 	 sorry writing review one year visit . this hotel immaculate , happy comfortable corner room . thing mention general vibe get staff hotel . think accustomed deal hotel guest demographic- 25 year old , blonde , American . seem especially comfortable talk even make eye contact . we see several & quot ; work woman & quot ; hotel bar night , bother . even see one young lady accompany much old western man upstairs . , fine . thing make uncomfortable whenever walk alone ( without fiance ) hotel , staff would look inquistively start speak walkie talkie . say , certainly complain service . travel fiance , Shanghai speak fluent Mandarin English . enjoy stay hotel much . I would certainly recommend hotel business traveller . however , next time stay different hotel . 
 Jun 30 2007 	 good place stay Shanghai ! 	 Perfect location , beautiful room , comfortable bed , flawless service . can not ask ! book entire China Trip agency upgrade we junior suite . not know exact rate , would say experience worth $ 300.00 night . location Shanghai important . new hotel Putong , fancy commercial area . Westin historic district 5 minute walk Bund . numerous fantastic restaurant nearby lot local shop . wife pay 120 Yuan ( bargaining ) great look dress store near Westin , clerk speak English , shy negotiate we . be quite fun ! later , find something similar later temple market , ask 600 yuan ! 's great place , overall stay pleasant ! actually remind W Hotel New York . 
 Jun 12 2007 	 five Stars bit generic 	 Westin absolutely attain world - class standard accomodation , service cuisine . 's bit bland , one could find experience five star hotel city around world . hotel lovely respite hurly burly Shanghai . breakfast buffet delicious . 
 May 7 2007 	 Westin Bund 	 wow , say , hotel absolutely beautiful , get upgrade junior suite , closet door frosted glass , modern , bathroom marble deep tub separate shower two showerhead , bed comfortable , contemporary sofa dark wood writing desk . hotel truly experience . definitely worth money . 
 May 6 2007 	 amazing experience 	 stay 2nights family . hotel locate 2 block Bund . also 5star hotel expect high level service moment step . checkin , be complimentary fresh juice station . site , also opt suite option . although , suite include 2bed rollaway 1bathroom , still luxurious . the room come 2tvs desk area . bathoom separate shower ( rain - forest style ) tub . maintenance helpful prompt . luggage zipper get stuck desparation call front desk ( 11 pm ) quickly dispatch engineer assist . sure enough , person able safely open luggagewithout damaging suitcase inner content . dining hotel also great experience . breakfast buffetwas probably good china ( well Grand Hyatt Beijing ) b / c selection . also , item seem fresher fresh fruit yougurt custom smoothie . yes , also omlette waffle station . plus buffet item english translation make tempting try asian breakfast option . dinner , eat pan - asian restaurant call EEST also great experience . menu diverse , dish well make . dessert something desire though . late acrobat show , force eat generic hotel 24hr dining option , disappointment . woud rather eaten eest , unfortunately closed night private wedding reception . conceirge service helpful mean well , accurate . want schedule trip Suzhou tell could simply purchase train ticket would problem . , go train station tell return ticket shanghai sell due holiday weekend . Westin staff inform . make later set acrobat show ( miss ) . hear several different theater / troupe offering show confused pick . concierge say would look theoption get back we . sure enough , 30min later , come room info difference . make choice andhad wonderful time . staff speak excellent english . overall , also great hotel , worthy 5star rating . breakfast buffet exceptional miss . location good . 
 Mar 26 2007 	 grateful traveler 	 first trip China . since elect travel rather tour group , decide stay hotel employ English speak staff case need ask assistance get around area . well , decision prove wise , ( ) reason mention , second day Shanghai , come sinus infection result fever , need seek medical attention . feel miserable get bed , let alone get dress look medical facility , husband go front desk ask hotel doctor call . within minute , english speak doctor patch room ask condition . happen Sunday , 11:20 . noon , doctor visit room , question examine . give prescription antibiotic , decongestion shoot anti - inflammatory / fever reducer bring fever ( little medical bag ) . late afternoon , feel well enough walk around , even manage venture Xintiandi awhile . evening , doctor call check – even doctor ' ! next day check date travel Hangzhou train , something certain would able quick response hotel staff doctor contract Westin . feel capable hand . , warm thank Mr. Alvin Yuan , Concierge Team Leader , Dr. Alex Liu CanAm International Medical Center – save trip ! Westin Shanghai , thank provide high caliber service , rate 5 + star book . additional comment : housekeeping service check every night see need turn service . first day , room completely make time come back breakfast , fresh towel toiletry item restock , thing second day , call ask would good time clean , room day sick . evening , come back Xintiandi , room clean , even change bed linen , something much appreciate sick , even day . breakfast buffet " stage " first morning . selection all - encompass one female maître ' provide personalized service , explain item different buffet station , give we recommendation , bring we " must - try " item , essentially ensure breakfast delightful experience . , regret able maximize Westin stay experience sick half time . one get sick away home , one " rest easy " Westin , provide comfort home . 
 Mar 7 2007 	 Good Rooms / Lousy Service 	 three night stay Westin Shanghai February 25 - 28 . book package rate include airport transfer breakfast . airport transfer excellent time . hotel excellent location - three block Bund . check - in OK - & quot ; guarantee & quot ; room choice available bed configuration , happy replacement . newly renovate room guest Crown room . preferred room - well layout seem roomy . bathroom huge contain separate shower tub . unfortunately , shower also flood bathroom floor easily . door bathroom , large slide wall - prove inconvenient . Service & quot ; Stage one & quot ; restaurant bad - three we order ala carte one order expensive buffet one night . brother overly generous buffet plate , offer sushi chinese guest , staff quickly approach guest communicate buffet plate could share . although error , embarrassing staff approach chinese guest - common discriminatory practice China . Manager appropriately apologetic make amend , damage do . , next day breakfast , chinese guest discover caterpillar steam vegetable green - ugh . next , reason , housekeeping skip evening service last night - one night happen need extra towel shower flood . contact & quot ; service express & quot ; button request housekeeping extra towel , towel arrive housekeeping person refuse take old dirty towel - annoying . finally , american friend employ Westin email message group - message never deliver . good note , be great alternative hotel 's restaurant - go basement ajoine Bund Center office building eat Shanghai Uncles - well food much well price service . overall , mixed bag - physical facility , location lobby staff excellent , restaurant housekeeping staff snuff . lunch Le Royal Meridien near Shanghai Museum - nice look good restaurant service . be wed SPG , look well option Shanghai . 
 Feb 11 2007 	 love modern chic ! 	 boyf upgrade executive room new wing ( use serviced apartment ) . great , big screen tv living room bedroom well . the bathroom real treat ! additional plus ? & quot ; Welcome Shanghai & quot ; brochure guide , especially helpful first timer like ! 
 Jan 4 2007 	 brilliant modern hotel Puxi 	 amongst well hotel Shanghai , Westin can't - miss choice . pricier property ( Grand Hyatt , St. Regis ) business district Pudong , Westin sit block story Bund ( easy walking distance ) . hotel ultramodern fantastically comfortable , make great home boom city . 
 Dec 9 2006 	 Beautiful Hotel 	 beautiful hotel . room two room suite large marble bath . book Viking tour , group type room . everything look new , may redone . also great location walk almost everything . group side river cab everwhere . breakfast also great , lot choice . 
 Oct 30 2006 	 Excellent 	 hotel fabulous . staff enough . room beautiful . clean airy bed sink . not leave without try beauty treatment Banyan Tree Spa . heavenly . could fault hotel , great perfect location . 
 Oct 20 2006 	 bad place get sick ! 	 let ! waste money . do . Garrish . Felt like Titanic . enough enough . opulent fault . after eat one apple set room , pay snack bigtime . this place touch Shanghai , might well moon Las Vegas . good thing hotel woman frong desk kind way way out . never , ever . waste dough . 
 Oct 16 2006 	 Excellent Hotel - would stay 	 spent week Westin Shanghai love every moment . staff wonderful service impeccable . deluxe room 11th floor direct view river Bund one side Pudong . light show across river Pudong night spectacular ( shade Lost Translation - 80 story building amazing video footage ) favourite white dove start bottom building fly top . brilliant service - wonderful room - extra large fluffy white towel bath robe . could not ask more . my grateful thank staff . definately go get chance . RegardsNardya Colvin ( Australia ) 
 Sep 12 2006 	 ok wait reno do 	 wife recently stay Westin Shanghai . agree reviews lobby main atrium area excellent . room quite date though Westin . business center good internet 40 rmb 15 minute criminal . internet expensive China Starwood hotel . get act order Starwood ! upgrade suite however room still quite small . bed probably bad thing room . quite shame since heavenly bed sheet . make sure withstand hard mattress . the executive lounge 5th excellent . would highly recommend get access . standard fare food ( asia , much well lounge NA ) free alcoholic drink . I speak concierge hotel . seem entire tower renovation thus close October . doubt Westin fix room problem . spg member aware , starwood finish Royal Le Meridien area . much well location shopping siteseeing ( right corner Tomorrow Square Nanjing road ( main shopping road ) . open end Sept . take look new hotel look stunning . would definitely stay next time around . also stay Four Seasons . hotel far good Shanghai . location awesome nearby fifth avenue type shop dining along upper Nanjing road . awesome time . bed amazing well . other not want dis Westin b / c nice area much bad . 
 Aug 23 2006 	 tacky mess -- Shanghai meet Las Vegas 	 hotel clean staff polite efficient . however , room tiny decor horrendous -- dark wood mirror everywhere . one ugly & quot ; high - end & quot ; hotel ever stay . 
 may 26 2006 	 Excellent Hotel 	 stay 4 night part tour holiday ( train ) appreciate luxury hotel overnight sleeper journey . eat hotel night disappoint three restaurant - eat twice ' eest ' , good ! staff attentive . hope river view room , prove impossible , however corner suite ( upgrade extra cost ) view across Bund Pudong . actually love change colour staircase ! uplift ! would particularly like mention Mr. Lawson Sun ( reservation manager ) contact e - mail . book train ticket onward journey , save we great deal trouble time ; ticket wait we arrival . a enjoyable stay lovely hotel would recommend business traveller tourist . 
 May 11 2006 	 Stunning Hotel 	 stay Westin two night end April . hotel design stunning . despite Mainland China level english , speak staff great . moment step Hotel leave nothing leave desire . food serve flawless high level service . defenitely come back . 
 may 10 2006 	 avoid hotel 	 first time disappoint regret , many year , systematically choose Starwood property whenever one available destination . the Shanghai Westin start big lie , everything make believe property enjoy high - rise Bund view , picture show high building Westin - crown - like top fact hotel different small ugly building hide behind one present , view . dishon unacceptable commercial trick , unworthy Starwood say least . our & quot ; Executive Floor Deluxe & quot ; room , view speak , narrow crammed space ridiculously small poorly fit bathroom ... mean GPG upgrade ! Executive Club poorly design area , partly gain corridor , offer miserable breakfast unhappy miser happy hour , rude incompetent attendant . staff even know Shanghai concert hall ( world famous ! ) give we wrong information deprive we attend temple festival look forward . ( say 's finish , stupidly believe find two day later , indeed finish ) never hear & quot ; sorry & quot ; .The hotel 's overall decoration joke & quot ; kitch & quot ; fluorescent colour ridiculous bad loud musical performance lobby , corridor low husband bow head walk , appal food , bad service ground floor restaurant , restaurant offer well food look like poor motorway facility ... 450 $ /night sad affair extremely overprice compare much well local hotel Four Seasons shangri - la , mention fabulous , excellent Bangkok Royal Orchid Sheraton offer large , well appoint stunning river view room ( great Club service ) 1/3 price ! Westin Shanghai rip - off , scandal , shame Starwood . we certainly never choose Westin property think twice , check ask blindly trustfully go Starwood 20 year . 
 May 3 2006 	 disappointing 	 grow Shanghai special attachment area around hotel . book three night manage stay one . hotel close office building around one could literally see almost everything office : computer , desk , file folder , etc . induction , would wide display leave curtain open . check 9 pm flee 11 morning . guess crowded building expect Shanghai . Westin price , one would expect bit . also , service polite indifferent . 
 Apr 21 2006 	 stunning Shanghai Hotel 	 husband recently spend three pleasant night Westin Shanghai . SPG member arrival ask would like upgrade SPG floor room one Executive Levels extra US $ 70 per night . glad agree include lovely breakfast buffet Exec lounge , snack beverage day , good happy hour 5.30pm - 7.30pm . Sydney enjoy nice glass wine . imagine horror read wine list restaurant first night see australian wine pay around $ 10 charge around $ 100 per bottle ( $ 20 glass ) . happy hour night upgrade pay itself . the room comfortable , luxury bed wonderful . marble bathroom stun well appoint . eat one meal Lobby restaurant nice , go local restaurant lunch dinner rest time . love Peking Duck try find restaurant ( could read name ! ! ) . come Hotel turn leave Walk straight along cross street stay left hand side . see build office building , may notice restaurant second floor . catch lift 2nd floor find authentic chinese restaurant serve amazing Peking Duck ( many lovely dish ) . four we feast AUD $ 60 service attentive . quite get use people smoke restaurant , hey , home ! ! spa hotel luxurious offer discount hotel guest expensive initially seem . also put package together suit desire . enjoy half hour back massage one hour facial , heavenly ! ! staff courteous time whilst lobby bit garish also something intruige welcome colour stair - sort remind horse change colour Wizard Oz . highly recommend middle busy city . 
 Mar 20 2006 	 Loved hotel 	 Loved hotel ! husband visit Shanghai two child hotel would guarantee we connect room . two suite ( be living room ) beautifully decorate contemporary asian theme . bedroom portion suite somewhat small , overall layout spacious . bathroom great ! beautiful marble , glass lighting fixture . plenty amenity . staff courteous helpful exception concierge . speak little English know anything new Circus / acrobatic show town . breakfast buffet plentiful , lunch menu good selection asian western item . overall great experience , would not hesitate stay . 
 Feb 13 2006 	 Kooky light 	 choose Westin one new hotel also usually like Westin decor . general fitout kooky say least - palm tree ( fake ? real ? ) , weird lobby layout really garish stair light different neon colour . the room fine , although water disgusting - stunk mud dirt . first night try shower , bathroom flood water everywhere . bed great , usual . 5 star hotel , expect , particularly subtlety . 
 Jan 25 2006 	 Surprise Shanghai 	 spend weekend back Nov 2005 Westin Hotel - Shanghai . surprise 5 - star Starwood 's hotel right next Bund designer shopping mall brand new western restaurant 5mins walk hotel , convenient ! get bore 5 - star hotel Shanghai , try Westin ! 
 Jan 11 2006 	 Best Hotel Shanghai 	 husband go Shanghai Christmas / New Years year 10 day . because go reasonable amount time , decide stay different hotel . the Grand Hyatt view , Portman Ritz Carlton elegant , Radisson New World friendly staff good location , Westin far well all - around . the lobby modern interesting , light change colour stair , restaurant back first several level enjoy overlook lobby . we eat twice , buffet restaurant , breakfast & quot ; hairy crab & quot ; dinner buffet . good price , wide variety quality selection . our room corner junior suite , beautiful , deep bathtub window overlook light bund beautiful night , separate glass shower . much like bathroom . fresh fruit bottled water provide daily . the room amenitie good , bed comfortable , good selection tv station . the staff pretty friendly concierge parking attendant helpful . our trip pool interesting . husband say hot tub boy locker room new modern , experience girl ' locker room opposite ... hot tub bubbler break , hot tub old , murkey water , seriously need update . the location Westin good ... block Bund , Nanjing Road , lead good shopping . it bit way Sofitel Radisson , quality hotel much high . I would make hotel choice next visit Shanghai , definitely ! 
 Jan 11 2006 	 worth price 	 think hotel average , slightly overprice offer . New Years decide stay hotel party , buffet excellent 4 day total bill high compare service . explore around hotel price range seem offer . probably will not stay . 
 Jan 8 2006 	 Excellent experience 	 stay upper floor room great view toward Bund direction . bathroom , spectacular view rain - fall shower impressive . room nicely decorate ambiance refine . separate living area small side . , city Shanghai . in opinion , hotel come across hotel business traveler polite functional style service compare attentiveness five - star hotel Asia . actually find location hotel convenient unless business nearby wish able walk Bund . massage SPA fine think overpriced offer . overall wise , excellent experience room service commendable . would consider hotel next visit . 
 Jan 3 2006 	 Service stay Westin divine ! 	 return three night stay Westin Shanghai . be bowl fantastic service staff . everyone , porter , concierge , receptionist take pain make stay truly home away home . bed guestroom comfatable , toilet extremely clean . ambiance hotel bright , cheery modern . avoid hotel like old - style decor ambiance . 's good gym spa third floor hotel . choose stay hotel largely location -- right bund , five minute walk celebrate restaurant like Whampoa Club Jean Georges ( building call 3 Bund ) five block walk Nanjing Road , major shopping street Shanghai . one major note caution first - time visitor Shanghai -- assume Shanghai major business city , general standard English spoken understand populace high . Most shanghainese thati meet speak English , minimally . I understand Beijing , capital , English much widely speak understand . Mandarin speak , try bring friend conversant language , especially try take cab . the taxi - driver met not understand iota English ! 
 Nov 25 2005 	 good hotel still need improvment 	 stay westin 6 day Oct. nice room , nice bathroom . staff good , business traveler . lot chinese woman & quot ; hang around & quot ; bar & quot ; look foreign friend & quot ; , hotel really borther , hotel make money guy buy drink , etc girl . hope bit discreet although realize people make living somehow . Washington , DC . five start hotel never let happen lobby bar . overall , nice hotel business traveler , friendly young people . 
 Oct 18 2005 	 almost perfect 	 3 - night stay Westin great . price high compare hotel vincinity , class own . we buffet dinner average . not visit restaurant . in afternoon order in - room lasagna , great dissappointment . every Italian would scream sacrilege classic dish . noodle prawn , stead pasta ground meat . Westin not charge meal return untouched . Apart lasagna - dissaster fun time luxury could wish . feel like come home stroll city . location also ideal , direct next Bund . enough reason classify hotel excellent ! 
 Sep 2 2005 	 good 	 stay two bedroome suite . good value , modern compare hotel . wonderful restaurant nice setting . big group stay need book ahead . 
 Sep 1 2005 	 get upgrade 	 arrive 2pm We d. tell king size bed wife . compensate we Starwood member , give we upgrade room 15th floor , complete separate sitting area , 2 tv , desk FAX , deluxe large marbele bathroom . everything work order figure complex lighting system . staff friendly , English spotty - passable other minimal . seem English speaking skill find hotel staff mainland China remain weakness ... comparison tourist city especially Hong Kong . 
 Aug 9 2005 	 lovely hotel however 	 beautiful , immaculate , ultramodern hotel , however room little storage / closet space . bathroom gorgeous , counter space poor lighting . one outlet bathroom & quot ; shaver & quot ; , make almost impossible use blow dryer provide . room appear well suited male business traveler , ill - suit female want put make blow dry hair ! spa outstanding . service throughout hotel outstanding . 
