LOVE 	 would totally recommend Pod Hotel friend ! trip NYC July , leisure , alone . take single room share bathroom perfect , perfect , room small , fit everything ; share bathroom great , 10 day , everytime go bathroom ( two per floor , great ) empty , never problem wait someone , ... hotel full , floor quiet , really love . decoration awesome , cool , perfect young people , nice everybody ! location good value really great . I doubt next travel NY stay Pod ! 
 say tin love ! ! ! 	 book hotel base review trip advisor disappoint . excellent location ; tuck away crazy - walk 3 - 5 min road be Radio City Hall . hotel clean funky little Pod become home 4 night . great people want stay outdoors day use base sleep get ready . double private bath perfect us pop head share shower floor also clean tidy . hotel do not tired look many hotel matter nice clean - hope keep update maintain . feel safe comfortable enough girl would happy stay . breakfast recommend Morning Star Diner - come hotel turn right right ( 2nd ) . really cheap friendly proper diner experience ( look ) . overall great hotel ; look ; cheap , safe , funky , good location , clean room bathroom safe . would go ? ? ? yes wihout doubt ! 
 funky good value 	 return short stay Pod Hotel nyc . although hotel funcky basic 's great value location make short coming . book large room queen bath pretty tiny fine . staff great helpful room bath clean . side space sit garden patio roof garden ... need sort good fun . great group single . 
 Mar 15 2009 	 Good Price Good Location know 's demographic . 	 stay friend recent trip NYC . stay bunk bed pod , enjoy . room small picture website pretty accurate representation room . room include stand - alone sink vanity area , find quite useful . individual bunk personal reading light small flat screen tv . room also include ipod docking station , unfortunately malfunction . the bunk bed pod use share bathroom ( in - room sink useful ) find bathroom clean convenient . pod include little sign door indicate restroom occupy , useful planning shower . elevator little bit slow , especially & quot ; rush & quot ; hour , pretty common many old New York building , not bug we much . brightly colored mural wall music play hallway bathroom . location great , east side midtown , quite close several subway line ( notably e 6 ) . one note buyer beware hotel aim specific demographic . young , hip , ready party . result guest little louder rowdier one might want , can not fault hotel appeal strongly 's demographic . 100 dollar ( include tax ) fun experience . would recommend hotel anyone willing try something little different , pretty easy - going . 
 Mar 12 2009 	 cool modern - great Location ! 	 Pod quite gem vistor NYC . Mid price ( hotel NYC $ $ $ ! ) room clean , modern cool . also nice roof top chill place . actually quite fun stay bunk room , rather cosy bed equip personal tv . little sink room also useful . share toilet clean enough ... housekeeping great . room outside bathroom , indicator go , could quickly access ... haha ... anyway time though , do not wait long toilet people back different time . love chill music toilet . make feel like cool nyc.the location 51st excellent lot restaurant , take place ...... great bagel shop nearby ... wonderful breakfast also famous cup cake place back . subway also close . great time ! 
 Mar 10 2009 	 great deal 	 ' ve stay Bunker room REALLY like . clean , safe , modern , friendly staff well locate .. could almost everything walk , even snow . really recomend don´t want spend lot money , stay nice hotel ! great deal ! ! ! stay march could pay would pay nice hostel , share room 10 people instead 2 . 
 Mar 8 2009 	 wonderful value ! ! ! 	 decent hotel $ 100 night New York , Pod one . like everything place : modern decor furniture , cleanliness , cute room , convenient location , comfortable bed . sure , room big , spacious expecting . share bathroom clean modern , also sink room . look spend wisely , terrific place stay . 
 Mar 5 2009 	 Great Hotel ... minor gripe 	 stay Pod Hotel 2/13/09 - 2/17/09 . overall experience good . room small basically place lie head night . would recommend place couple solo traveler . bad idea family member anyone look privacy shower , change clothe go bathroom LoL . in - room bathroom situation rather awkward 's clear glass shower right next bed . whoever room go see naked shower , listen go bathroom ... be get around . share bathroom hallway use however one become available . the hotel potential noisy . luckily neighbor next we not hear noise ... example : watch tv room volume turn quarter way . end go lobby something . leave room could hear tv playing room way end hall elevator . obviously be little insulation room . the one thing little annoying location hotel want go Times Square . hotel 12 - 13 block Times Square little far walk little close take subway . take subway direct route Times Square-42nd Street . actually take 2 separate train get due location hotel 's probably fast walk take 20 minute . say couple subway terminal fly block hotel easy access city ... well several eatery be rather good . know 's sort lame complain walk mile New York destination like Times Square since be going much walk anyway ... 's minor gripe . 
 Mar 4 2009 	 good price / value solo traveler 	 need place stay quick two night prior interview city . pod good fit b / c necessity , not pay superfluous & quot ; luxury & quot ; , couple block interview . overall , fun experience , would definitely stay leisure travel . pluse minus : good : * room everything need , include flat screen tv , wi - fi , desk , small sink shave / brush tooth * problem get one share bathroom floor , always clean * free shampoo shower gel ( dispenser ) shower , need save room luggage * Great LocationBad : pretty minor stuff * 2 3 elevator work , housekeeping staff need use day get floor floor , wait elevator least 5 minute ordeal time * need iron ironing board press clothe interview . iron work , button break , iron board little mini table - top one ( except table pod ! ) leg break * wi - fi go in - and - out throughout day * CNBC channel go several hour * bed little hard , fine , may uncomfortable 
 Feb 27 2009 	 excellent location clean small room like cruise 	 hotel great value . location excellent , several subway station within walking distance . service great , multilingual staff also . thing take account , room small . book double bed room private bath . place store belonging 3 big drawer bed . also place hang jacket . restroom slide door . hotel like say website . free wifi within hotel inside room . 
 Feb 27 2009 	 fun expensive 	 stay hotel fall - week - end explore big apple . location perfect smack middle Manhattan kind transportation fingertip . single pod room queen pod room . room extremely small extremely well appoint - like cabin ship og aboard night train . single room bath - use corridor bath clean fresh towel pipe music . arrangement lead one us beee drag bed naked man wear tiny towel beg we call reception let hos room door lock take shower corridor . start hope would happen man rather attractive dissapointe . reception people efficcient friendly room staff warm easy - going . real draw - back fact could get breakfast - morning get cold bright busy New York street hunt somewhere eat . diner quite old - fashioned type see film stall call Morning Star vicinity . quite hysterical athmosphere ask leave second finish food . brutal start day . also - hotel pretty expensive . - Pod Hotel nice aquaintance . would gladly stay . 
 Feb 25 2009 	 Exceptional 	 absolutely love hotel ..... low budget boutique chic everything need solo traveller ! ! ! ! location ideal , hotel clean tidy really trendy look ! somewhere sleep also offer relax atmosphere busy day explore ! would definately go back would also recommednt & quot ; Stag & quot ; pub 2 door service exceptional offer great food drink ! PLACE DEF worth stay ! ! ! BOOK ! 
 Feb 23 2009 	 Cool spot will go back 	 choose Pod seem different . . bunk bed right . room tiny , need place sleep . check 5 minute . lobby really cool ; retro . bed comfortable tv bed perfect . thing could ' ve well . toilet would not flush well heater make noise night . however , sleep thru heater noise . would like go back warm cafe close . we enjoy stay would return . price right location great . close shop subway . 
 Feb 22 2009 	 enjoy stay bring earplug . 	 stay Pod friend mid January 6 night . room obviously small enough room stuff . room clean arrival clean / bed make every day . also get fresh towel every day . share bathroom expectation - hotel provide shampoo shower gel shower pretty powerful . problem shower head fix - good want keep hair dry . although hair dryer room pretty good ! bathroom floor get wet not provide bath mat , problem make sure wear shoe . problem noise . could hear quite clearly people next room say . one guy even turn tv really loud go 11 pm . hotel staff really helpful - call front desk complain send someone turn tv guy second time . guess depend luck draw - might get put next quiet people might . wi - fi really useful , great feature . 
 Feb 17 2009 	 Excellent compromise price quality 	 Pod Hotel good choice single traveller . location excellent , nearby Lexington Avenue near subway . aera lively nearby shop open late . staff friendly helpful . interior entrance hall modern design relaxing . room small sufficiently large feel comfortable clean everything need ( flat screen tv , phone , hanger etc ... room design friendly trendy . hotel locate side street , room spare noisy round o'clock traffic . important contrast last visit different area Manhattan , enjoy good night sleep . toilets shower outside room ( case ) also well design clean . in , give Pod Hotel big thumb . great design make feel good decent price NYC , great location East Manhattan . 
 Feb 1 2009 	 good location good price nice room 	 Pod Hotel nice . room quite small problem we necessary thing clean . the location hotel good . close Rockefeller Centre shop restaurant nearby . the staff friendly . not eat anything breakfast include always eat out . the bad thing point heater / temperature . January room 3rd floor cold heater could regulate manually one morning . tell , central heating system . warm ( summer probably cold ) air go whole hotel reach room heat ( /cools ) . ' ve read short leaving floor 2 3 floor 's possible regulate room 's temperature manually . , choice , choose one room 4th floor upwards . 
 Jan 30 2009 	 ok .. well 	 stay 3 night ( USD90 quikbook double bathroom ) . good point ? location ok plenty place eat ( pax corner regular place breakfast ) . Shower , free wifi internet = good . concierge helpful ( not get name ) - print something let email use printer . not good point ? lift take forever 2nd floor quick use stair . Seemed attract noisy clientele - one point feel like back college , could hear people talk run around 3 am etc . hear go next room bathroom next , pipe noisy . heating centralise ( control room ) hot hell . open bathroom window air . view outside window concrete floor - nice . speaker hallway music reason come 5:30am reception advise could not turn ! annoying . might well get bunk take less floor space double seem room . you definitely not want spend much time room not think would go price . extra USD20 get king room nice hotel LES . 
 Jan 28 2009 	 get pay 	 see scathing review hotel feel compel write review base experience . stay Pod Hotel May 2008 5 night find great place stay . after quickly realise expensive hotel NYC actually come conclusion would basically use room sleep ; decide would lower expectation 3/4 star hotel budget operation . lead come across Pod Hotel . keen idea stay hostel , pod hotel offer great economic alternative operate share bathroom system privacy bedroom . opt bunk bed room share bathroom . arrive hotel early evening find check quick easy . room small , spend little time , cause much problem . also well look clean . room two single bed form bunk bed set ( be fold 10 '' tv ) sink area desk phone ipod docking station , well signal system door indicate floor four bathroom free . one major concern Pod Hotel clean bathroom would , see 4 floor share 10 - 12 room . fear unfounded throughout whole time bathroom always excellent condition , much would think one use ! location . fairly fit person , within 30 min walk distance number attraction rockefeller , empire state , central park , times square , grand central . find immediate area safe relatively quiet ( room back hotel trouble noise ) . number fast food place / café 's around corner 2nd ave , include mcdonald , may travel bit find vast array quality restaurant . whilst price would afford luxury lot place worldwide , NYC standard offer superb value money people take consideration mark hotel . summary great place people look basic cheap base explore ny . 
 Jan 27 2009 	 could well 	 arrive hotel check - in fast , waiting room ( 8 pm ) . get double room bathroom , find clean ( hair / sink really clean ) , due fact come Japan go Peru way tired change room , especially give little connect time . disturb fact isolation , could hear people talikng room besides mine , not talk loud ... position hotel nice , easy reach metro minute foot main attraction like Rockfeller Center Times Square . all 's bad hotel , price ( know NY , still ... ) would expect something little well . 
 Jan 26 2009 	 Great Location 	 Great location- walk distance Rockefeller Centre . 2 block Subway . arrive around 3 am manage check email late arrival . very clean , small . plenty storage give 's size . rooftop garden great . heating room little temperamental . 
 Jan 26 2009 	 never stay 	 one word = terrible . read many review stay , become convinced hotel would great . book 8 night , get pretty good rate queen- pod . we arrive hotel evening , 9h flight hour immigration queue . ask hotel quiet room forhand , make sure would get sleep . room really small , window bathroom ? ! ? ! room locate ninth floor , sure go silent . , outside window , huge chimney , 5 ac - device , make horrible noice . like stay inside engine room passanger boat . try get sleep hard - as - concrete bed . time 07:00am , sleep blink eye , go downt reception inform go change hotel . the decoration lightning corridor , straight brothel , even half nude people run around . the good thing place , not try argue want leave . do trust review , thing hotel good , arrive dead drunk , leave vision impair day . 
 Jan 25 2009 	 Great Room 	 stay week Christmas . room clean , nice quiet . bed comfortable . even allow check early & amp ; park free front hotel since Sunday ! subway & amp ; garage parking 2 block away . staff helpful . safe place stay . would absolutely stay ! 
 Jan 25 2009 	 great stay Pod 	 impressed Pod ! book single room share bathroom , concerned room would small bathroom might busy / grim , need not worried , perfect . housekeeping service good , share bathroom keep pristine . room really good size one , sink good . location great - safe area . not know would stay couple ( size room ? ) ( especiaIly good price Expedia ) single surely good deal New York - really enjoy stay . 
 Jan 22 2009 	 GREAT Hotel ! ! ! great location Great service .... around great ! 	 hear hotel around 2 year ago , always want stay . finally chance month , meet expectation ! friend stay bunkbe room four night . check Jan. 6th leave 10th . bell hop people front desk polite helpful everything . end stay 9th floor room 908 . everything neat clean . never problem share bathroom , always one available , great inroom light show bathroom use . 9th floor must say prefer bathroom # 3 , think one big bathroom picture inside great . housekeeper exceptional ! alway greet we leave come back make we feel home . room tiny , honestly spend much time place we sleep , bed comfotable like little tv 's bunk . restaurant around hotel great also , eat Wild Ginger right next door one buliding ... great asian food , also thai restaurant french restaraunt right also , look great ! 2 3 block 2nd find great pizza place also pinkberry far . would DEFINITELY recommend hotel anyone , nice clean great location good great price ! ! 
 Jan 22 2009 	 nice Pod Stay ! 	 friend stay Pod Hotel weekend , impressed hotel . arrive early city , 6 am , go straight hotel see could leave bag , room ready able check . stay bunk room , share bath . room small , cozy . really hotel sleep , fine . room lovely sink countertop area coesmetic etc . 1 problem room heater loud . whenever come would make awful cranking noise , night great , tired sleep right . hotel lovely modern looking , clean . share bath really clean impressed ! ! ! definitely stay hotel . block walk subway system , 15 - 20 minute walk Times Sq . would say . winter walk be not great 's cold , summer month would lovely . 
 Jan 19 2009 	 Pod place stay ! 	 husband stay Pod September plan back May . be great , hip , place stay budget . resort clearly explain concept go know room small , etc . will fine . bathroom clean always one available , etc . there be great intimate french restaurant next door . breakfast stop pax couple block away . close subway , be great , too . great deal . 
 Jan 19 2009 	 great quality price ny ! 	 purpose stay 1 night 2 people NY low price Manhattan . place fit requirement purfectly . location hotel great , really close Central Park . fast check - in ' ve ever see life , take 30 second . stay bunkbe room shower hall . inconvenience , small in - room lamp indicate 4 shower free . besides wash - stand room . room really bite small , problem people percieve hotel room place sleep . room neat , give bunch towel , soap shampoo bathroom . roof terrace beautiful , like little park middle New York ! problem face water pipe bit loud , especially evident night . disturb sleep though . overall great experience price pay . 
 Jan 10 2009 	 good place crash 	 commute 2 hour way city day , sometimes want stay . want inexpensive place clean , place fit bill . room $ 119 night & quot ; double & quot ; private bath . bed comfortable , room clean , without doubt small hotel room ever . ' m 6 ' 4 & quot ; , lie bed stretch arm touch either wall . shower also small overhead rainshower head bearable . location great , many restaurant / bar option nearby . Times Square , Rock Center Grand Central short walk away . subway line also block away . honestly , room would pretty tight two people . budget minded traveler not intend spend much time room , place great deal . ' ve also see room low $ 75 / night ( use & quot ; shared & quot ; bathroom . 
 Jan 10 2009 	 small functional yet well design hotel 	 let start say hotel probably one small room ever see U.S. , yet , everything work nicely . room ( double room private bath ) look exactly like hotel photo show arrive absolutely surprise . space inside room tiny - 90 sq . ft . include toilet / bath area ( imagine small actual room ) . everything work way : airplane look stainless sink , sleek see stand - up shower , functional bed storage drawer underneath practical desk area ( phone iPod sound system ) . favorite part stand - up shower / toilet area , modern lookig tiny bit desinger 's touch . bed comfortable clean bed sheet change daily . location . hotel sit e51 3rd 2nd St. Upper Midtown East . Subway Line 6 one half block away Subway Line E & amp ; v 2 block away quite convenient . restaurant inside hotel ton dining option available immediate area : check PAX ( sandwich / salad ) , azure ( self serve buffet market ) number ethnic restaurant nearby ( e51 well 2nd ) . even bar chic lookig restaurant outside hotel either side street . hotel premise . buidle obviously go mjaor overhaul turn boutique style hotel . lobby spacious decorate ikea style furniture - mordern yet somewhat cheap looking . 4 - day stay , see ton young hotel guest gather lobby . never use area imagine would great meeting point . amenity service . basic bathroom clean supply pretty much get . even ice machine hotel . room come LCD tv free wireless internet , definitely big plus . pick log password information check expect fast internet service sporadic tempermental . able check email okay could go much beyond . could imagine frustrated heavy web surfer become . two elevator premise , unfortunately review point previously , EXTEMELY SLOW . couple time wait 5 minute get lift prepare patience room high floor . issue could possibly distrub people noise level probably due hallway narrow thin wall well small room space make noise sound even bad . someone slam door ( happen lot ) , definitely hear . light sleeper , make sure bring ear - plug . bring mine extemely helpful sleeping night . overall , pretty good thrill hotel design budget conscious traveler . not mind bunker bed share bathroom ( clean ) , absolutely much well option youth hotel YMCA . even people want upgrade room , need pay little get private bath / shower facility . city like New York hotel price skyrocket , pod great alternative provide exceptional value . place definitely go NYC hotel list stay . 
 Jan 9 2009 	 nice clean bed bug ! ! ! 	 hotel nice , clean great location . & gt ; & gt ; & gt ; bed bug room come home full bite . quarantine everything wash clothe come apartment ... hassle add stress trip . leave ask garbage bag bag luggage would not spread bed bug car . tell front desk clerk bug room not seem alarmed . 's really bad would go back not bug . 
 Jan 8 2009 	 okay great 	 stay Pod two night January 2009 recommend we several people , rave ' cool ' . ultimately , disappointed service amenity . problem heater fix three hour , make three separate request issue resolve . room fine ( although cramp , obviously ) , hotel seem trade hip cool , flashy ad foyer ( although much - tout cafe lobby ' closed winter ' way get tea coffee without leave hotel ) lack elsewhere . tv seem half channel block wireless internet atrocious - slow dial - up ! perhaps spoil - stay wonderful Herald Square Hotel ( similar rate ) early trip disappointing follow - up . be probably right sort traveller Pod - young single college student not want stay backpacker would doubt love ( fit budget ) , we , kind irritate . style substance . 
 Jan 6 2009 	 lovely hotel 	 stay husband , love hotel . ok room small clean . room share bathroom , probleme . share bathroom clean tidy . the location superb ( upper midtown ) , it´s great neighborhood nearby tourist attraction Top Rock museum moma.overall great inexpensive NYC hotel ! 
 Jan 5 2009 	 nice small room 	 stay room private bath 3 night . room small . nicely modernly furnish . good idea store thing make quite comfortable size . happy soft mattress . hotel clean . roof top terrace nice evening . overall little bit expensive room size . 
 Jan 4 2009 	 Fun Time Pod 	 stay Pod Hotel take 78 - year old mother trip New York City ( 33 time , helpful ) . first time NYC we , need good price pay expense trip . not feel need place large room , pretty much go use hotel place sleep , shower , store luggage . use TripAdvisor learn room level service cleanliness , decide would good fit trip queen room would best we , not sure mother would handle & quot ; share - bathroom idea & quot ; . due use TripAdvisor know exactly expect marvelous experience ! problem reservation . not much need talk manager , concierge , front desk staff stay , doorman quite nice interact woman make bed clean room pleasant helpful . course , may also help left good tip housekeeping staff every day ! late riser , make sure get attention housekeeping floor leave brunch every day time get back room always make . room small clean bed adequate two woman 110 135 pound , plenty blanket like pillow . heating unit wall work well we need . watch television briefly times 6 - day stay ; fair variety channel , hopefully visit NYC not spend much time watch & quot ; idiot box & quot ; . bathroom cute modern , small ( shower fairly roomy though ) . door bathroom Queen room definitely transparent glass , would recommend comfortable whomever travel . take opportunity look share bathroom even use time really nice clean much large private bathroom . one night hot water room shower not work . resolve mention manager next day mom use share bathroom shower night like fine . ( next morning hot water problem resolve . ) love decor lounge room big fan pipe music hallway . hip ! not get use outdoor space hotel much October little chilly look seem nice . elevator quite fast consider big building . smoke allow building , mother quickly adjust sit stoop little way block hotel smoke break , would sit ; make we feel bit like NYC native ! concierge recommend 24 - hour diner ( Morning Star Cafe ) around corner hotel eat every day brunch ; highly recommend toast croissant . Morning Star serve good diner food like diner food . drugstore block grocery store around corner necessary sundrie snack local subway train station block away . neighborhood seem pretty safe standard ( grow sort - of - bad area Chicago may affect frame reference ) pretty walk . unlike city , concierge not call cab ; doorman help flag cab street . ' ve stay much large room town similar price NYC 's expensive town , think get good deal , say , need big room anyway spend time ? would stay , mom thought would happy opt less expensive share - bathroom option . 
 Jan 4 2009 	 not get fool flashy website 	 girlfriend spend 5 night hotel Dec 22 - dec 27 2008 . look great website . good location close centre city . however book thing need consider:1 . room size . double room bathroom facility ( room share bathroom facility ) . small room ever stay . hostel room large . give NYC short space understand somewhat . however double bed able accomodate girlfriend ( big people .... thin use sleep small double bed ) .... second night & quot ; top tail & quot ; thing . thing keep mind room small wit hardly room put bag . partner one travel pack able squeeze anything would struggle . 2 . noise . ok xmas people go bit festive usual . expect . two thing not expect paper thin wall ( person 2 room along we bad chest infection cough ... cough fit keep many floor awake ) 2 finger gap door room mean much noise float room . speak reception door problem say awre room problem ( think change room quickly discourage ) .3 . staff . ' m usually unconcerned staff hotel not usually much ( prefer spend day night explore city ' m visit ) . guy stand . friendly helpful bag broken room ( yip 22 year travel first ....... especially give bag padlock them- cut room lock time ) staff could not care less . manager call straight away go defensive tell we first time ever occur 15 year hotel . nothing take ask one ( clean otherwise ) go room rest stay . not like . never mind . mean take valuable we day . interest pay £ 135 night . on plus side hotel close everything first time tourist nyc would need .... supermarket around corner , subway one avenue , various food place close vacinity , 10 - 15 min walk rock empire state building . 
 Jan 2 2009 	 nice young couple 	 place definitely gear towards young crowd , specifically couple . cheap NYC hotel , get small room . room clearly set couple - family - certain aura sexual tension come room . sign door explain & quot ; fun & quot ; picture couple bed . 
 Jan 2 2009 	 Great Place stay 	 hotel great location , high standard comfort cleanliness . love staying would recommend everybody . 
 Jan 2 2009 	 Snazzy hotel 	 first thing strike pod funky look - website really look . the check area large concierge desk side lead outside patio area also seat area sofa 's comfy chair . check straight forward room within minute . price also competitive New York . as room - would read review hotel tripadvisor aware room small - understatement ! tiny , say least ! bunk bed ( not sleep 30 year ! ) much storage space gave cramp feel , especially two 6 ' 2 & quot ; guy ! however , hotel get away attempt make limited space - bed small tv monitor attach wall handbasin surround mirror ( sort like find toilet plane ) . decor also modern . size room not bother ' m New York - time spend room ' m sleep , bed comfy , size thing not matter . the one weird thing bathroom situation . 's share bathroom hotel , expect smelly dirty , could not truth . absolutely spotless every time use one - ' m guessing clean throughout day . 4 bathroom floor , two either side elevator . handy thing panel door room light turn red be occupy . location wise pod superb . East 51st Street , 2 & amp ; 3 ave 's 5 minute walk Fifth Avenue . also tube stop road . next door hotel two ( pricey ) restaurant also nice pub day special . around corner 2nd Avenue cafe typical american breakfast surround load irish pub . overall , great hotel base short break New York , however , would check double room stay partner . not mind bunk bed small room 's ideal . 
 Dec 31 2008 	 not stay Value Good Night 's Sleep ! 	 pod cute - look hotel popular budget - minded traveler since rate $ 199 night . since use hotel place sleep , not mind 's small room . problem begin go back hotel sleep energy another long day sightseeing . around midnight room freeze . heating unit seem controllable , turn not work . call front desk twice get answer . tell would come centrally control . noisy unit finally come around 1 . would turn every often , get pleasure hear hotel 's thin wall . couple nearby room decide loud sex several time , another person blow dry hair 3 . , needless say , difficulty sleep . guess get pay . will not stay hotel , type hip budget hotel attract young people obviously know care behave public lodging space . see come hotel backpack . would recommend hotel business traveler , family . 
 Dec 31 2008 	 Superb ! 	 stay Pod 6 night 15th-21st Dec 2008 perfect . room excellent clean daily maid . great location local area fine eating . good pub around especially Pig & amp ; Whistle 2nd Avenue must try mussel ! unfortunately , roof terrace close winter would definitely go back spring / summer check . 
 Dec 29 2008 	 Perfect 	 could not choose well hotel first trip New York ! centrally locate , nice deco , friendly staff room clean nicely decorate ! perfect ! ! ! 
 Dec 26 2008 	 well stay away 	 arrive get tiny queenbe room instead twin , confirm email ! long discussion unfriendly frontdesk manager get another room , wich really dirty ( toothpick bed , paper hair floor ) .I call three time reception oder meet houskeeping manager . one nice person hotel odere change bed clean room again . the location ist good . hotel ist worth money pay . 
 Dec 26 2008 	 ' will back 	 love place ! happy room ; hotel bright , fun , clean , newly - remodelle facility courteous service - orient staff , be great location . will back future . I one small Pod Single room . clean modern . 6 ' 1 & quot ; , fit bed couple inch spare . toilet showers WCs hall ( share ) , problem . room sink area allow personal hygene need easily take care , signal light tell WC available , reviewer say & quot ; worry , & quot ; right ! hotel location excellent : Mid - Manhattan East 51st St. 2nd 3rd Avenues . subway access close easy ( 6 , e , v line ) , hotel many near - by restaurant , museum , night club , general point - of - interest . 
 Dec 15 2008 	 great value basic hotel 	 Pod Hotel great value brilliant location , website pretty clear get money . be difficult understand couple reviewer complain size accommodation . room indeed pretty miniscule , really well design flat screen tv iPod dock . stay double room , mean tiny bathroom . fine one person ' m sure would want share room small . my real complaint hotel pretty noisy . room right next communal toilet fairly close lift , mean people come go hour , slam door . however , would read might problem , come prepared ear plugs manage sleep regardless . , 's luxury , give visit New York two week Christmas , save hundred dollar . would definitely visit Pod Hotel . 
 Dec 14 2008 	 Funky hotel great people budget 	 location okay , room quite small efficient , service good . stay Bunk Pod friend day . also stay Single Pod one night . small tv next bed , although mine not work . iPod dock room useful . small open closet space sink inside room . 4 toilet / shower floor indicator room show we one use / vacant . room clean need air badly . lift slow / always use take stair . recommend people budget . 
 Dec 12 2008 	 love would definitely stay . 	 ticket show travel NYC weekend . need place stay go break bank hotel near Times Square run $ 300 night . Heard Pod TripAdvisor exactly look . room small clean , comfortable great location , 9 block Times Square . hotel staff friendly decor cool . share bathroom clean restroom indicator room tell occupy great . great place stay quick trip need place sleep . nothing good thing say Pod , would definitely stay . 
 Dec 11 2008 	 Perfect Location Shopping 	 return home Donegal , Ireland New York spend 4 night Pod Hotel 7 people . good experience ever hotel central everything within walking distance 5th Avenue underground station . stay double room shower , room small adequate time spend daily room service , hairdryer , shampoo , shower gel shower good shower see hotel long time . street right great diner breakfast use every morning pancake , french toast & amp ; fryup great really recommne dining . direction Irish Bars great evening menu . also go Hard Rock Cafe Times Square menu great price reasonably drink well worth trip . say american people friendly would stop ask need help find somewhere . definitely retune New York absolutely stay Pod without doubt . 
 Dec 4 2008 	 Snug Pod 	 return business trip opt single room Pod hotel vs. much large hotel . safely say regret choice ! review true ... location superb . facility pretty spotless everywhere look . upscale ... hip ... be there . my single room 12x8 ' ... could stretch arm head toe touch side wall . but big deal ? nope . room everything really need . place sit . Free wi - fi room . flat screen tv . mirror sink shaving . good . the shared bathroom concept fine well . see four floor full around 7:30 a.m. , generally use one always available . shower fantastic . safeguard , take Crocs shower . 's someone come behind every bathroom customer squeegee shower floor spray Lysol . ' m sayin' . there little noise issue , nothing major . room next stair ( 315 ) could hear folk stairwell every . neighbor feel speakerphone conversation 5:15 a.m. appropriate could hear , not bad . the mattress luxury pillowtop , not disaster either . wake sore shoulder , fine ... sleep solid . when first get , roam guy lobby carry luggage room open door , etc . turn heat . eventually turn . apparently third floor , get plenty radiant heat low floor , in - room heat really much . location , location , location ! excellent . business 51st Broadway , straight shoot mile . good walk change ! great Pax Wholesale Foods deli right corner . Rockefeller Center , Radio City Music Hall ... be within easy walk . CVS Pharmacy couple block over . I would certainly stay ... right amount lodge need , $ 160 / night , STEAL ! hope keep ! 
 Dec 3 2008 	 Pod Hotel 	 Pod Hotel great ! like stay dorm room , may everyone , fun 1 night & quot ; girl trip & quot ; ( especially price ) . common bathroom clean , bunk bed comfortable . good location , easy walk distance Theater district bar / restaurant . definitely stay . 
 Nov 29 2008 	 Funky NYC fraction cost 	 stay Pod 2 night Single . room everything need : bed , flat screen tv , iPod speaker small sink , really need be use room sleep . not let idea share bathroom deter stay ! ! least 2 3 always available , bathroom clean AMAZING shower hotel , 5 star , ' ve ever stay ! ! ! location great . within block UN , Empire State , 5th ave , central park heap . subway right also : 6 block away street Pod , underpass e train , walk 2 block Lexington 53rd . great eat literally stumble away , try Tanaka Sushi , 2 door , Ees - a - Bagel , around corner . also , try book hotel website , find price cheap mass site like expedia . 
 Nov 28 2008 	 teeny tiny terrific 	 adore new york expensive . hotel upper limit budget totally deliver . room tiny . like pod . take single room ( pod1111 ) single bed , place put suitcase , sink , place hang clothe room little else . stand middle room , tall , could probably reach wall . share bathroom never really issue ( except peak time eg around 7AM 9.30AM ) room clean fresh . staff nice location fantastic ( minute subway station maybe fifteen minute walk grand central station one direction central park ) . 
 Nov 28 2008 	 good location ... much else going 	 stay Pod 3 night November . already expect , room small . not expect bathroom door ( private one ) not even close fully ! fun ! slide door across reveal window bathroom person room could see shower ! end use share bathroom large clean ( private ! ) . hotel good location cheap could find area . close subway Morning Star around corner excellent breakfast . the bed ok , particularly comfortable sound proof . awoken voice hallway twice one night , tired night notice . we not bother stay luxury hotel , one could not afford New York two spend maximum time explore . bit grim . I can not say service particularly good bad . room always clean return , problem that . I would not recommend hotel would not want stay unless . although be bad hotel , be price believe 's over - rate . read reviews website feel be give well review deserve , everyone different experience maybe other well experience . 
 Nov 25 2008 	 bed hard rock ... not sleep wink ! ! ! wretched customer service 	 check Pod Monday night , November 10th , one night hope catch rest ( ill food poisoning ) get work do ( place crash Brooklyn , friend , noisy ) . get rest Pod , therefore , battle cheap , hard , substandard mattresse wr sleep , not able catch paperwork either . kind defeat purpose check hotel first place . I stay location several time Hotel still Pickwick Arms . Flawed Pickwick , always sleep comfortably . be clear Podsters spend money cutesy , trendy decor , one sleep decor . necessity , one need mattress wherein spring actually work . pod bed dead , lifeless . prefer firm soft , not firm , 's stuff nothingness without iota give . two hour try sleep rock , call front desk . young woman duty speak like robot . not apologetic empathetic least . suggest switch room . try . bed room merciless back . next morning , step elevator first thing see group extremely weary - look traveler age . strike wear identical expression -- expression utter exhaustion . not able sleep either . , stranger , united deep bag eye . also unite , quite possibly , mutual desire take light match BURN POD HOTEL CINDERS ! ! ! ! ! ! complain front desk clerk , young man much amiable human - act witch charge night . say would see could . lounge sofa lobby ( well bed ) manager come explain could take measly $ 25 final bill . , : $ 124 night sleep whatsoever . Pod Hotel horrible . oh , yes , be clean . quiet , despite obvious lack soundproof . stay place . deserve drive business hipster knickknack put sidewalk ( low ) price tag affix . would never go back godawful , pathetic excuse hotel , informed manager straight face . still want money back . 
