room 	 arrive hotel properly greet take room . get room furniture inside stain really beat . bad part room bathroom door . bathroom fit slide door go wall alongside . door lock leave 2 - 3 inch gap walk could see someone toilet . concierge helpful suggestion restraunt nightlife . concierge tell we well staying room since & quot ; nothing chicago 10 pm & quot ; . last night order movie quality movie horrid ( movie pixelating blurry ) call argue person front desk credit us money back movie stop less 5 minute . full service hotel pay 10 buck anything everything . pay 12 dollar bring we extra glass since old one dirty maid switch . redeem thing trip fun friend hotel . 
 May 6 2009 	 nice downtown Chicago hotel 	 stay one night ( Sunday night ) Blackstone May , 2009 trip Chicago . upon arrival , learn valet parking service Blackstone slightly expensive self - parking Hilton parking garage across street - still pricey bad . we find staff Blackstone friendly helpful . room ( basic king bed room ) nice , clean , comfortable . one light bed work , not report . bathroom really nice ( marble ) not impress modern shower head - enough water pressure like , guess . towel bed linen top notch . for wireless internet user , be go cost $ 14.95 per day use room , however lobby area free . take laptop starbuck attach lobby use problem . Checkout go smoothly problem store bag day shop downtown heading home . we get amazing rate room happy stay Blackstone , however , look normal rate , say not think would pay much stay . nice major problem report . 
 May 5 2009 	 great hotel ideal location 	 read great review , wife decide stay Blackstone . one would expect Renaissance property , hotel well - appoint friendly service - orient staff . location one good feature hotel . locate right next beautiful Grant Park Lake Michigan , ideal place go stroll . located little south prime shopping district , hotel away lot hustle bustle still locate fantastic area convenient many attraction sight . as hotel , lobby beautifully decorate . also , fitness center simply good ' ve ever see hotel include many state - of - the - art cardiovasular machine . room likewise nice . though historic nature property evident -- wear area wallpaper molding , etc . -- every effort make create tasteful luxurious room . high - definition flat screen tv , comfortable bed , nice touch include book Chicago . issue bathroom . maybe be picky , door bathroom slide door not slide way closed . also , shower not door closed way -- cause water spill onto bathroom floor . overall , though , great hotel convenient lot attraction Chicago . hint : request lakeview room . 
 Apr 23 2009 	 beautiful small 	 book special & quot ; anniversary rate & quot ; club level restore Blackstone Renaissance Hotel celebrate husband 's birthday . information give reservation incorrect , especially club level detail ( complimentary cocktail - ) specifically request know size room , quote 390 sqft . upon check , give corner lake view room request club level . arrive room , 1/3 square footage long hallway . decor resemble W rather Renaissance , new , beautiful clean . comfortable king size bed , desk flat screen TV . chair stick next desk , place read watch tv bed . enjoy stay hotel , since rain live Chicago , hotel sight . disappointing . another non view room prepare we Marriott preference , desk clerk change room request lake view , set someone additional pillow . someone housekeeping arrive refrigerator ( room - send away ! ) one king size pillow dirty standard pillowcase . call front desk ask rest pillow , housekeeping manager show say king size pillow not even hotel - strange ! ! speak front desk room change , inform historic landmarking prevent change inside hotel , even allow put pool . , although beautiful restoration , feel room rain shower bath room . needless say , check day early . 
 Apr 18 2009 	 lakeview room fantastic ! 	 surprised ( stressed ) hubby trip Chicago stay Blackstone . not sure expect , pleasantly surprised walk hotel ... room . fantastic hotel , clean , great location ( convenient many attraction ) , great price ! definitely stay future visit . 
 Apr 14 2009 	 great hotel bathroom private ! 	 complaint , except bathroom door hotel room . slide door , door & quot ; closed & quot ; , still see side door - really bizarre ; great voyeur . not know design door , not think guest ' privacy . 
 Apr 13 2009 	 great hotel great service 	 17 year old daughter stay hotel two night search college . blackstone great . location Michigan Ave . close Grant Park , couple block El , walker , walk many location . staff always friendly helpful , especially bellman . room modern unique -- not look like typical hotel room . bed comfy , tv great . starbuck building make quick breakfast need . , great stay . 
 Apr 12 2009 	 could live Blackstone would ! ! ! 	 WOW ! ! ! GREAT find ! return wonderful trip Chicago stay Blackstone definitely highlight ! moment arrive receive nothing top line service ..... every person staff top friendly , courteous helpful . room spacious GORGEOUS . obviously recently update , room marble entry bathroom , bed comforter , plasma tv wall , plenty room spread ! quiet clean . nice business center two computer free internet access printer ( great research direction restaurant ) . directly across street Grant Park eatery within block . one night come back hotel late ( around 11 pm ) want order pizza ..... woman front desk provide we three different brochure nearby place deliver ! midnight snack delicious ! far get around , subway 2 block away , however find bus super convenient easy use ..... , walk ! two single gal travel together never feel unsafe anywhere around hotel ( , anywhere Chicago ) . pay $ 99 / night mid - April two queen bed ..... steal ! even book Marriott website not pre - pay could cancel 4 pm arrival date need . luckily not case ! tell local hotel use fall & quot ; seedy & quot ; category , however recently purchase Marriott trying turn around 's previous reputation . far , believe FABULOUS job ! ! ! would HIGHLY recommend property anyone stay Chicago ..... great hotel great location ! 
 Mar 29 2009 	 hotel make smile 	 husband travel Blackstone week attend show conference center . amazing experience Blackstone . moment arrive , valet bellboy staff friendly .... check - in desk ( certainly hand full many people check one time ) . extremely efficient get we quickly ! lobby unique vibe carry throughout hotel .... upscale , classy , yet truly funky way ! room really nice .... terrific view , not concern . room pretty narrow , long . room furnish highly contemporary modern furnishing . bed amazingly comfortable ! love book bookshelf read . bathroom pretty unique shower stall clear glass wall . good part hotel elevator .... one thing will never forget . could not help smile morning go typical elevator music .... rather , upbeat dance music ! will definitely stay ! great location , , within walk distance incredible breakfast place ( Yolk ) corner cafe / deli . 
 Mar 26 2009 	 great stay 	 stay town business attend convention McCormick . hotel 7 minute bus ride ( bus provide convention stop Hilton locate next door ) . staff helpful , room spacious clean contempory feel . wonderful view lake . 
 Mar 26 2009 	 interesting historic hotel funky modern update 	 great hotel not want right middle shopping would rather close museum , university , etc . ask room view wake Grant Park Lake Michigan . everything hotel unique ( include metallic gold tufte couch lobby ) . room modern tremendous bathroom . 's Starbuck 's lobby great tapas restaurant . parking expensive , be expensive everywhere downtown Chicago . daughter walk shopping restaurant see Chicago River turn green . great place . 
 Mar 21 2009 	 every staff member make feel welcome 	 go AORN Congress last week stay Blackstone . purchase room Priceline feel value exceptional . room beautiful nice bathroom rainfall shower . service put hotel many other . staff fantastic . make feel welcome value customer . location great attraction within $ 7 cab ride within walking distance . Shedd Aquarium , Field Museum , planetarium , Navy Pier , Magnificent Mile . food Blackstone good little expensive . pay $ 16 sandwich via room service get big lunch dinner . highly recommend Blackstone stay Chicago , know go back . 
 Mar 19 2009 	 Awesome historical hotel modern twist ... 	 hotel amazing . location right Michigan Ave ( one end ) walk along great restaurant , shopping sightseeing . term hotel , decor trendy , still maintain historical facade . everything seem new well maintain . room ( king size ) nicely compose , flat screen HD , comfy chair shower bath . the good part free internet business center , also like witty ' do disturb ' sign read instead & quot ; please go away - debate JFK & quot ; overall pleasant stay , great location , great hotel decent price ! 
 Mar 19 2009 	 nice place great value . 	 nicely refurbish classic old hotel elegant public area modern , comfortable , spacious , well - supply , well - operate room . friendly staff lobby . three block Art Institute block State Street shopping business center . pleasant place great value ( though tapas restaurant inside overcrowded overprice ) . highly recommend . 
 Mar 18 2009 	 staff nice other 	 ' ve notice ' m big service . check - in , want good service . someone welcome long journey , give decent room upon arrival . quite unimpressed gentleman 's service . arrive around 3 pm ( check - in time , per term ) find double queen room remain . , know book via site , merely make certain request well accommodate . check - in time ( neither early late ) , give room low floor ( 7th , right gym ) request high floor king bed request two queen .. would impress ? emphasize get $ 99 rate ( could get economy ) , could guarantee double queen . feel charge think deserve hotel . example , think well $ 99 , need boost traffic people consider less ideal clientele , feel free . way weed find less worthy , charge $ 400 / night believe hotel worth . ask -- fit 3 people onto one king bed ? 3 people state upon reservation , might add . anyhow , make good effort make we happy ... next morning , lady also unpleasant ask change room ( since guy check - in say would problem ) .. , difficulty communicate ( Diana ? ) . ' m sure problem . luckily , room much finally get room situation . , staff really nice . particularly like doormen rest concierge / front desk pleasant . helpful restaurant recommendation transportation option . room pretty nice . tell recently renovate , comfortable bed LG flat screen . bathroom fairly spacious , say probably share room close family & amp ; friend , way slide door close leave little imagination . shower really door , glass .. , little imagination . room - certain well room . business center great .. two computer hook internet need , printer well . one good feature hotel , give provide free wireless . other fine quality include proximity Grant Park ( though try walk certain attraction Sears Tower John Hancock , quite trek ) . Millennium Park Art Institute Chicago within walk distance . one downside lack restaurant immediate vicinity hotel ( starbuck close 8 ) probably eat go back hotel , although room service bad . selection decent , people nice : ) , walk State Street ( El , street particularly well lit ) feed , particularly later night . all , great value money , despite less helpful guy check - in ( though encounter ) . would probably go back 's bit south would like , definitely beautiful hotel nice room museum campus . would recommend rate get , sure much would pay ( though probably get well service high rate ) . 
 Mar 15 2009 	 real gem ! 	 family four stay long weekend Chicago . absolutely love Blackstone . room contemporary , public area hotel maintain building 's historic charm . bathroom large , shower adequate , entire room clean ( picky traveler come cleanliness ) . location , little away excitement attraction , right bus line directly across Grant Park . easy zip across street morning catch bus . staff accomodate , not think ' ve ever encounter bell hop pleasant helpful . hotel definite keeper , one not want miss be visit Chicago . 
 Mar 11 2009 	 first time Chicago . terrific hotel . 	 stay two night Blackstone really enjoy . check - in Brett welcome . glad book lake / park view room - $ 119 / not . Loved decor / furnishing . find spacious . dine hotel , get coffee Starbucks close early usual . ( 7/8pm , think . ) convenient location . Michigan Ave public bus stop one block north one block south . quirk : -- mattress ( pillow - top ) little soft liking . -- noise neighbor ' door click / slamming shut startling . 
 Mar 11 2009 	 terrific hotel location staff -- wonderful choice 	 although stay Blackstone one night , enjoy stay enough say definitely back . room roomy , bed comfortable , bathroom upscale late feature terrific bath product . hotel locate south Michigan Avenue , right next door Chicago Hilton Towers . excellent location anyone visit museum campus ( Field Museum , Shedd Aquarium Adler Planetarium ) . be near Grant Park Millennium Park , 's good location anyone visit large festival , Taste Chicago , Jazz Fest , Gospel Fest , etc . 's street Art Institute Chicago . another five star feature hotel staff -- warm friendly courteous . boyfriend decide walk around hotel look feature , like Art Hall ballroom . find door ballroom lock , employee hotel get elevator see we try door ballroom . ask we would like go , unlocked door we , give we time look beautiful room , tell we little bit renovation hotel . walk back lobby , employee name Arturo ask enjoy stay . tell walk around , look different place hotel . ask we see historic Smoke fill Suite . say , & quot ; & quot ; , offered take we show we . Smoke fill Suite beautiful suite redecorate look pretty much like 1920 's . back 1920 , member Republic party trying decide presidential candidate , meet suite . make decision open door wait press outside , press envelop cloud smoke come suite . thus , phrase & quot ; smoke fill room & quot ; adopt . beautiful , comfortable hotel many interesting historical feature , come highly recommend reviewer . 
 mar 10 2009 	 First Rate Hotel Great Location 	 four night stay Blackstone first rate every respect . room ready early check arrival . heritage building beautifully restore . lakeview room spacious comfortable modern decor . great bed bathroom ( shower ) . spotlessly clean , hallway entrance lobby . friendly , helpful staff . excellent location close Art Institute Symphony . easy walk Chicago Architectural Foundation store bus tour city 's architectural heritage available . glad elect spend little extra lakeview room . view 12th floor Grant Park lake lovely sunrise evening . try restaurant lunch enjoy meal . 
 Mar 9 2009 	 enjoy stay ! 	 husband stay Blackstone Feb 21 - Feb 23 . celebrate 30th birthday . get great deal Sam 's Club Travel $ 100 / night . we choose hotel value 's proximity typical tourist spot . close Harrison St subway stop . directly across street Grant Park . able walk Millennium Park , Art Institute Magnificent Mile . could see Shedd Aquarium Soldier Field window . the picture show website exactly see hotel . room clean comfortable ... especially bed . pillow comforter make cozy day sightsee windy city . also ipod dock several adapter could play music room . bathroom funky black white wallpaper accented pop red . everything need .... boot buffer , small sewing kit , mouthwash , cotton ball / swab , etc . snack beverages available purchase . would suggest get elsewhere . price outrageous . small nut $ 12 ! ! ! can not really comment staff . not really need much help except check in / out . hold luggage check charge . we enjoy stay hope visit spring summer . 
 Mar 9 2009 	 expensive service 	 PRO : nice room , nice view ( pay extra get brick wall view ) , nice bed . con : pay thing low end hotel / motel like SUPER 8 give away free - $ 12.99 wi - fi , $ 2.50 local call , $ 47.00 per nite parking , expensive breakfast . will stay low end hotel / motel next time . 
 Mar 6 2009 	 Fabulous ! ! ! great attentive front desk . 	 moment walk know hotel attentive detail . woman check we friendly invite presence . show we museum , give we map explain easy walk would area want go . lobby super mix classic , historical era new modern . room even well . comfy bed , pillow , great bathroom nice product super view Lake ! ! ! love stay would return . 
 Mar 4 2009 	 fantastic remodel choice ! 	 hotel perfect we . attend convention McCormick Place . Hilton next door convention hotel , book fantastic room fraction price . travelzoo run promotion $ 99 still get amenity free shuttle , restaurant bar next door . our room fantastic , well furnished , light , lay wonderfully , bed unbelievably comfortable . we definitely stay price ! would give 5 rating important thing . the woman front seem overwork , hotel obviously understaffe . we call explained honor bar would open , simply tell & quot ; yes open & quot ; , well two us wrong , not guest suppose right ? someone come check . could open problem . whatever , go next door Kitty O'Shea 's instead . also get wake call early morning , , informed woman front ask wake call , instead apology tell , yes . huh ? ? ? even colleague flabbergast , sleep ! sorry , polite , tell problem twice really need address management . 
 Feb 18 2009 	 Fabulous Place Fantastic People ! 	 stay Blackstone recently business . management do fabulous job renovatiing & quot ; Grand Dame & quot ; Chicago . lobby combination trendiness old world elegance . room simply superb , crisp linen , comfortable relax chair , flat screen tv , bathroom nice , club level room ( Hubbard Place Room ) tv bulit bathroom mirror . location quite convenient , staff extremely courteous helpful . special thank Mark Tom front desk accommodate special room request . would like stay nowhere else Chicago . 
 Feb 15 2009 	 Great View 	 ever since hotel remodel , want spend night . rate always little steep , not economy hit hard able swing rate . cloud & quot ; 9 & quot ; opportunity stay Valentines Day weekend . everything meet exceed expectation . room ready early check around noon . room well design view well ever Chicago . could see way Navy Pier Soldier 's field . love size hotel , big enough offer service ; Starbuck 's , spanish restaurant , nice bar etc , yet small enough feel like request would met good result . can not really comment service , never really need anything . right . great stay . new favorite hotel Chicago ! ! ! 
 Feb 8 2009 	 well expect ! 	 stay Blackstone instead Hilton Cubs Convention could happy . view get ( lake , Navy Pier , Grant Park , museum campus ) , price outta world ! $ 160 / night ( book direct Marriott 's web - site good rate find ) . staff accomodate - show we historical point hotel . Neil well ! feel like stay real expensive hotel service receive . restaurant really kid ( least kid say & quot ; blah & quot ; ) taxi take lot good place eat . go back downtown need stay area , DEFINITELY stay Blackstone . 
 Jan 25 2009 	 Convenience comfort 	 hotel nice ' ve stay downtown area , ultra modern mixed historical charm . entire staff helpful friendly . bed comfortable bathroom big . will definitely stay . 
 Jan 15 2009 	 Chic Stay 	 nicely appoint property ! huge bathroom comfy bed . service excellent ! 
 Jan 5 2009 	 Amazing 	 wow . impressed hotel . first trip Chicago . stay first two night Tremont Chestnut Street . complaint hotel either , pleasant change . renaissance always amazing , well yet . service spectacular . let continue say amazing deal . book special $ 119 night , include breakfast 2 @ Mercat ( bill $ 40 + day ) ! ! deal . due Marriott status , upgrade club level , Room 2018 , lake view king room ! room perfect . large , lots window , perfect view , terrific bathroom ( tv mirror ! ) . ' happy . hotel nice otherwise . eat Mercat one evening dinner . find quite expensive amount food get , tapas , name wide variety appetizer spanish cuisine , perfect amount go delicious . even award free dessert super nice server ! lot history hotel , make extra interesting . say , spoil location Tremont , location fantastic certain thing . museum campus less 20 minute walk away , could see Planetarium , Aquarium Field Museum room actually . l run two block behind hotel well , walk distance . inadvertently walk hotel Sears Tower , quite haul freeze temperature , possible . many entertainment option super close night . able walk Bar Louie , couple block away , Bar Louie Newport , KY , near Cincinnati ' new we . couple bar nearby , play safe considering late . otherwise , terrific experience . can not say would pay typical $ 200 + hotel , although worth , would rather pay half walkable area . spend little time hotel room travel . 
 Jan 1 2009 	 Blackstone AMAZING ! ! 	 blackstone amazing . room large beautifully design . bathroom oversize luxurious . finish top notch . the service great . front desk bell boy doorman . everyone terrifically helpful . they even arrange hotel car - Lexus 600LS - take we New Year 's event . unexpected little luxury . and , highly unusual full service hotel - offer free internet . the restaurant - Mercat - awesome . spanish tapas . food service excellent . 
 Dec 31 2008 	 great stay 	 renovate hotel disappoint . fireplace lobby appeal cold Chicago day . never enjoy well room treat well . rate excellent value get . recommend without reservation ! 
 Nov 4 2008 	 absolutely love Blackstone ! 	 say enough good thing stay Blackstone ... business mid - October ... absolutely everyone work treat we wonderfully ... stay Palmer House back March service not even begin compare ... choice , choose Blackstone ... will impress ! 
 Nov 2 2008 	 Perfect Location 	 hotel recently reopen remodel . walk distance soldier Field short drive United Center . check around 6 pm Saturday problem . room nice , complaint . bathroom shower , tub , Marriott bed comfortable usual . room snack bar , expensive . also flat - screen hdtv , four main espn channel ( important one ) . also starbuck hotel candy - counter . hotel ' buffet room service way expensive go Hilton ( across street ) eat good buffet breakfast Pavilion half price ( $ 22 per person ) . check - out ' problem either , ' valet car . even let we keep car check could go Bears game without drive around forever try find parking place . lengthy walk Soldier Field , worth keep car . 
 Oct 28 2008 	 Amazing Hotel ; great location ! ! ! 	 one nice Marriott Hilton hotel ' ve ever stay . nice compliment see usually 280 nights/ year ! ! : ) hear finish renovation 8 yrs beatle Yogi buy place pay $ 125 million renovation . sit vacant 9 year . will see picture ' ve attach , property look like super trendy / hip boutique hotel . staff super nice executive lounge spacious super classy . attach tapas restaurant also phenomenal highly regard area . I definitely stay get chance ! ! 
 Oct 20 2008 	 Excellent Stay 	 stay Blackstone work pleasure . got excellent room view Lake . room quiet , bed comfortable , shower terrific , bathroom modern . location also excellent , tho bit walk Water Tower . would stay highly recommend . 
 Oct 14 2008 	 Unbelievable ! ! 	 never treat well . can not believe friendly everyone . get unbelievable room . big beautifully decorate . bathroom awesome ! even tv mirror ! definately go back . 
 Sep 29 2008 	 Great Hotel ! highly recommend 	 must say HAPPY get room priceline price company could afford downtown Chicago , much less one ! never hear Blackstone , ignorance , can not let go ! even extend trip enjoy much ! lobby Art Hall beautiful ! hotel carefully restore stunning . room bright airy , nice finishing great Lather product marble - fill bathroom . ipod docking station perfect iPhone . hotel quiet , calm oasis middle city . love leather Eames chair room well . would like little north Michigan , hey , can not , right ? service , , really make go write review . friendly , professional , eager please . also great Tapas place ' real ' Starbucks ( kiosk thermos ) hotel , main level , interested . would 100 % recommend hotel definitely stay ! 
 Sep 22 2008 	 Pleasant Surprise 	 wife originally book room Hyatt , due issue outside Hyatt 's control reserve room we Blackstone . pleasanty surprised . room nicely update modern . location lend well anyone want visit Grant Millenium Park , Museum Campus , Navy Pier . little exercise could walk shopping Miracle Mile take short cab ride . we two small child along , hotel probably well suit couple . would love come back weekend without kid . 
 Sep 3 2008 	 really enjoy Location Staff 	 husband stay 4 day 3 night Labor Day weekend . typically visit Chicago least year first time ' ve stay Blackstone . location great - wonderful view Lake Michigan Grant Park . able walk Shedd Aquarium museum though free trolley available step away hotel Michigan Ave . staff friendly seem genuinely concerned whether enjoy stay . disappointment get fridge request reservation second day stay issue room thermostat . room never quite cool temperature set little warm Labor Day usually Chicago . huge issue staff apologetic -- would definitely stay . 
 Sep 2 2008 	 Great Place ! 	 receive couple suggestion hotel near Auditorium Theater Chicago , settle Blackstone . birthday surprise weekend wife . say love ! blackstone close 8 year . due become condo deal fall Marriott Corp. pick property . somewhat nervous hotel not list guide book . reason list hotel reopen 5 month . reason nervous . we check early Friday morning without difficulty whatsoever . 10:00am , room ready allow we check right . tell front desk upgrade lake view room . room 14th floor overlook Michigan Ave Balbo . corner room 's entry hallway ! lake side 2 huge window third small window . Balbo side one huge window . decor modern although hotel date back early 1900 's . bathroom marble huge walk - in shower rainfall shower head . bathroom fixture modern style . king bed super comfortable lot lot pillow . our weekend package include breakfast , eat morning Mercat restaurant . nice bit pricey . one floor hotel call Art Hall . check Art Hall , one hotel folk ask see ballroom . course not open door Art Hall put we balcony ballroom . awesome . brilliant flower pattern rug focal point room finish go host first wedding come weekend . the hotel lobby mix old world hotel modern touch . cool . staff whenever need everyone eager please . package include Citypasses 2 we . run , concierge tell we go see whatever museum want save receipt would reimburse we . work well want make every minute Chicago , wait around pass not itinerary . I would highly recommend hotel . beautifully restore staff eager please . 
 Sep 2 2008 	 Great Surprise Birthday ! 	 decide surprise wife city . unfortunately , like many other , family life child not always allow we opportunity romantic getaway . search right place sure glad find Blackstone Hotel . locate sweetly Michigan Ave , across street Grant Park . ultra convienent also weekend Chicago Jazz Festival . first thing notice go nostalgic lobby ( except course starbuck downstairs ) . employee friendly courteous give we room 18th floor . deluxe suite load modern decor amenity hard love ( HD flatscreen tv , ihome alarm clock , etc . ) bathroom spacious quite unique ( good way ) shower . thing lack great water pressure . probably important aspect , bed , right point . spacious comfortable king comforter pillow . 's enjoy ? plan we go back . definitely leave mark we , love getaway . imagine . 
 Sep 1 2008 	 not want leave ! 	 husband friend wedding reception Blackstone Aug. 30th . accord staff , first wedding hotel since renovation . wedding party privy many thing behind scene guest . speak husband say blow away level service quality stay course weekend . friend hire wedding planner , staff hotel , especially Flavia , one really make wedding day special . staff accomodate attentive bride well groom , go beyond make sure need meet everything take care . room wonderful , modern touch comfortable . bride booked & quot ; Smoking & quot ; suite ( one room quite bit political history ) weekend . never see room spectacular -the view overlook Buckingham Fountain , Navy Pier Lake Michigan , 2 bathroom master bathroom tv mirror bedroom sit room combine dining living room . crystal ballroom reception hold . room amazing hotel staff , include manager , present entire night make sure thing run smoothly . live Chicago could easily go home , want time Blackstone extend long possible happy stay overnight . good hotel ever stay , include Ritz Carlton St. Thomas stay honeymoon , would highly recommend anyone look place wedding . 
 Aug 18 2008 	 step back history 	 travel back Chicago celebrate wedding anniversary . look numerous hotel North Michigan Ave . try something different , stay garden side South Michigan , glad ! ! everyone , front desk clerk maid nice . room Outstanding . compare cost hotel Michigan Ave . blackstone diamond ruff . 128 million dollar remodel , hotel stay year come . can not find anything negative property make reservation soon get home stay next month . view room not well , walk door one block away Grant Park , block Lakefront . can not go wrong Blackstone ! ! 
 Aug 11 2008 	 wonderful Hotel Great Staff 	 8 we stay Blackstone 8/9/08 Cubs baseball game . book 3 room priceline get really good deal go way . excited see hotel get , look forward trip back Chicago . check inform double bed available , kind put we bind since 2 couple share one room , plus cot available , 4 people king bed . say apologetic bring we extra pillow blanket , plus upgrade we 20th floor . unfortunately book priceline request certain type room . room well decorate clean . 20th floor decent view skyline . eat restaurant , stop bloody mary leave game , one good bloody mary ever . red line block hotel , hard find . bar within walking distance , include legend ( Buddy Guy 's bar ) , unfortunately go Saturday night want $ 15 cover . since none we big blue fan decide skip walk small bar corner good price drink friendly service . want go Navy Pier $ 9 - $ 10 cab ride . go Dick 's Last Resort supper . one favorite place downtown Chicago . rest trip Cubs - Cards game , spend lot time around Wrigley hit Cubby Bear . Checkout Sunday fast efficient . make point make sure stay without trouble . would definitely stay hotel . definitely do great job upgrading hotel , staff make # 1 . 
 Aug 7 2008 	 neat stylish retro hotel 	 stay night hotel . booked oversized room , live billing - 2 Queens , good sized desk , lounge chair , large bathroom , lot room everything . kind feel like apartment big . decorate chic , retro decor work lot well minimalist retro property ' ve stay elsewhere , really work give property luxorious feel . property overall neat feel , good service front desk tapas restaurant front lobby ( tasty food ) . property undergo renovation , something might want ask , upper floor non - issue . really like hotel , would not change thing would definitely stay . 
 Aug 7 2008 	 cost extra stay 	 stay medium guest large company , though ' m happy report room nicely update , also quite small be go pay extra ( $ 15 ) dsl internet access . bed great door staff friendly . problem desk staff kid barely know be . give credit card incidental remind check , & quot ; , be go charge room card ( sponsor 's ) card , right ? & quot ; confused , 21 year old call 25 year old manager , point card room suppose charge , assure would problem . sure enough , get home find ' ve charge $ 600 wrong card check account overdrawn . $ 100 overdraft fee hour attempt fix , ' m still wait money refunded week later , ' ve already charge card . sound like 5 - Star hotel ? I . I will not back . 
 Jul 25 2008 	 Unique Hip maintain historic charm 	 work another hotel company hotel full booked hear lot recently renovate hotel . dissapointe ! keep historic charm time look trendy cool . hallway public area unlike cookie - cutter hotel . room wonderful view lake Fountain , may little small , make large stone entry cooridor expansive bathroom large showerhead ever see . healthclub great well , large window hi - tech treadmill . staff friendly helpful . issue room service quote 45 min take well hour - hotel pretty busy . 
 Jul 17 2008 	 definitely like Blackstone 	 finish four night stay Blackstone think great . remodel come great , room large staff could not friendly . I search number place decide Blackstone close 5 star hotel much well price . the new lounge restaurant site also excellent . restaurant seem hot spot local , probably be new receive good review , make whole experience much well . I stay brother father ( Cubs weekend ) end room two queen bed - , turn , mean room even large ( huge , even ) roll - away not make difference . room great dad think suite big . can not say enough good thing . ' m sure people bad experience ( like hotel ) Blackstone definitely good call . 
 Jul 13 2008 	 Furnishings location nice service 	 screw reservation . instead & quot ; deluxe lakeview room & quot ; get view brick wall street . front desk clerk blame Expedia . ' ve never hotel complain Expedia . call Expedia try take control situation , hotel uncooperative , even though hotel fax Expedia sign confirmation room type , accord Expedia . Manager Kate cold fish . say Blackstone guarantee room type . point pay $ 50 get view . not offer solution . say ' take less room usual price . emit heavy sigh say ' call Expedia . call Expedia 30 minute later Kate call . decide ruin day give . upon checkout , manager ( nice black guy , not catch name ) call Expedia confirm charge reduce . problem : clerk take wakeup call request , someone call 6:30 instead 9:30 ( Sunday ! ) . never get back sleep siren street noise . shower door clear bathroom door semi opaque glass , might want share room someone unless good friend . bed comfy one 2 people . Decor pretty posh contemporary corporate homey . parking $ 46 . valet guy nice . location perfect Taste Chicago . 
 Jul 6 2008 	 expensive wonderful 	 stay Blackstone work relate event . really beautiful . nicely restore . , try Lake View room . one incredible view Lake Michigan Navy Pier . fire work Navy Pier We d Sat get great view window . staff 100 % helpful . definitely recommend , especially 's business expense ! 
 Jul 2 2008 	 wonderful Stay ! 	 return four night stay Blackstone Hotel Chicago wonderful stay . I call hotel day arrive ask able take & quot ; El & quot ; ( subway / train ) hotel . concierge tell take Blue Line O'Hare airport Jackson station grab cab would minute . not much luggage , easily switch Red Line Jackson take one stop Harrison hotel couple block away . train ticket cost $ 2 person cheap way get hotel . train ride take close hour . get Harrison stop , look skyline . easy landmark hotel red exterior distinctive green top . hotel locate corner Michigan Avenue Balbo . as many note , staff friendly greet enter exit hotel . check quick give room 17th floor view Soldier Field , Field Museum , Shredd Aquarium Adler Planetarium . hotel throughout beautifully tastefully decorate . particularly like room little collection book Chicago . think nice touch . alarm clock also ipod dock could listen ipod room . coffee maker room starbuck downstairs problem get morning caffeine . town time Taste Chicago take place Grant park literally across street action . easy walk many city attraction . walk way Grant Park , Millenium Park , Navy Pier , Magnificent Mile Hancock Building . everything exceed expection except Housekeeping . provide lush comfy bathrobe want slipper call tell . daily housekeeping find inconsistent not go good job would like . minor complaint . overall wonderful hotel would highly recommend . 
 Jun 19 2008 	 beautiful friendly 	 hotel beautifully elegant , traditional yet contemporary . staff greet door upon entry exit , helpful accomodating . room immaculately keep , room service responsive even think busy week downtown hotel . regret wife share . great view lake park across street enjoy one night firework 21st floor . eat restaraunt , opt Hilton across street wish try . thing lacking shuttle transportation McCormick Place HIlton provide . disappoint stay , highly recommend it . David Gulotta , New Iberia Louisiana 
 Jun 14 2008 	 pleased -- location non - smoking new refurb etc . . . 	 thrill location -- 2 block red line . back hotel ( 17th floor ) noise El noticeable . noise constant would drift background white noise anything . fact almost sound like ocean . since noise come go train seem stand little . usually travel portable fan not time . , would not bother El noise . would not prevent stay -- would sure bring fan . room confortable , tiny bit small . large bathroom tile foyer room make . Decor room excellent . the walk - in shower glass wall separate rest bathroom . wall not long enough little water pool floor . get back room one day 5:00pm discover room not straighten yet . quick call front desk , apologize send someone dinner . really non - issue we want mention example quickly hotel staff respond . do not eat property price seem excessive . prefer eat local / family run place anyway . would recommend hotel friend . 
 Jun 10 2008 	 Blackstone excellence 	 Superb service staff , excellent room , comfortable bed , excellent internet .. day ? 
 Jun 9 2008 	 PERFECT ! ! ! 	 be look eclectic , modern spin historic hotel , place ! know one Al Capone 's favorite , complete 1910 , one one movie ! Michigan Avenue , within walk distance nearly everything Chicago . Valet exceptional , check - in breeze . on - site Tapa 's restaurant wonderful . room decorate & quot ; & quot ; restore hotel . tile floor , comforter , bright color EXTREMELY clean . view day nothing write home , night view Sears Tower Hancock SPECTACULAR ! side hotel would face Michigan Ave Lake , would even beautiful . love every minute spend room ( almost much Chicago experience ! ) would recommend ! will back ! 
