Fantastic 	 stay hotel Nov. 24 - 26 room # 8 . fantastic location hotel , room spotless really impressed wife cleanliness washroom . room quite small north american standard sleep . special thank guy front desk , make stay enjoyable . back ... 
 Apr 25 2009 	 fine little hotel well situate 	 travel family member have , stay two night midmonth . L & amp ; run two brother quite obviously love choose trade . everyone friendly , breakfast excellent , cook exactly order . Linens clean & amp ; plentiful , staff friendly helpful could wish . brother update many room , fitting new . excellent shower . must quibble , wish one power outlet . rate reasonable . located ten - minute stroll Victoria Station , simple get everywhere go . would absolutely recommend hotel . 
 Apr 24 2009 	 always great 	 stay Luna Simone Hotel March April 2009 , total eight day . fourth time stay hotel fact plan date around availability room . Mark helpful phone rang Canada . give date vacancy promise book anything phone back later day confirm . good word . part hotel renovate , second time six year room even hard get popular hotel . the location , close Victoria station really convenient especially one catch Gatwick Express hotel easy walk many attraction include Buckingham Palace , Trafalgar Square , Hyde Park Thames . Sainsburys Tescos close well Cafe Nero , starbuck many restaurant feature variety cuisine . the staff hotel incredibly friendly , cheerful helpful . Mark carry heavy suitcase several floor despite fact ask . return carry two suitcase back turn . room extremely clean bathroom . lot hot water water pressure great . hotel also provide kettle tea instant coffee room . breakfast good , egg , bacon , toast etc . want cook breakfast . also offer cornflake , yogurt nice big pot coffee . always ask want juice etc . complete contrast nearby hotel stay 2006 . hotel reasonable London say enough friendliness helpfulness proprietor Mark . stay next trip . 
 Apr 21 2009 	 great clean 	 hotel staff nice ! show one extra person nice - swtich room midway stay , problem . breakfast , well american , good . room extra clean . great location - block underground . also - nice little convience store nearby stock snack . can not say enough - great place . also - nice computer use . 
 Apr 21 2009 	 great location clean room small bed 	 Hotel Luna Simone offer excellent location within walk distance Victoria station several restaurant ( try Caramel Wilton Road great breakfast lunch ) . room clean good shower , unfortunately double bed suit people six foot tall and/or broad shoulder . 
 Apr 18 2009 	 Luna Simone Hotel- Nice Place stay 	 partner stay Luna Simone nine night March 2009.the hotel affordable , clean , bed good , breakfast fine , amenity plus , eg . free access computer internet . location perfect us- close river within walk distance Victoria Station Trafalgar Square . addition seem whatever needed- inside information , guidebook , luggage stowing , access fridge- graciously supply . really make stay special friendly , helpful , accomodate really delightful member family staff run hotel . besides terrific host traditional way , warm , engage amusing . really good experience definitely stay next trip London . Claudia Tess , Oakland , CA . 
 Apr 15 2009 	 Customer service expect 	 currently , stay London around 2 - 3 night per week look base close Westminster . email Luna Simone 3wks prior stay ask availability . two day later receive appear auto generate hold reply state would contact shortly . , nothing . 8 - 9 day send email receive response couple day say room available . needless say , would already book elsewhere . maybe would leave late book obviously well run sucessful small hotel comment hotel ( site ) suggest hotel value customer service highly , surprised find not feel need respond potential customer . shame . 
 Apr 13 2009 	 good ... bit noisy 	 husband stay 3 night begin trip Europe . lot research book hotel . happy location . short walk Victoria station great central tube station train station . staff friendly room decent size clean . room front hotel small balcony nice since room little bit stuffy . two minor complaint . first day tired due jet lag want nap afternoon . unfortunately construction work go we make impossible sleep ... end th world though . thing 24 hour bus stop right across street Friday Saturday night find loud partier wait bus ... agian really big deal may well try get room face street . overall happy get price . 
 Apr 11 2009 	 lovely charming small hotel ! 	 spend 8 night Luna & amp ; Simone , end March , begin April , thoroughly enjoy hotel . quad room 7 night , switch double ( husband ) single ( teenage son ) . quad room quite large , european standard , window face small courtyard . double 4th floor decent size well . bathroom small , adequate size ; clean . pleasantly surprised size quality complimentary breakfast . owner town majority stay , rest staff ( especially Mark ) helpful advise , excursion reservation , etc . location can not beat - bus stop across street tube short walk away . 
 Apr 10 2009 	 Rick Steves find ' m worried get room become difficult . 	 stay Luna & amp ; Simone Hotel 4 night March 2009 . second stay L & amp ; S. hotel process convert room en suite room . construction underway part hotel , notice excessive noise . staff friendly helpful , three year ago time first stay . single room small clean . wall - mount tv work fine . shower glass door spotless . hotel offer free internet access . daily breakfast include egg , bacon , bean tea , toast orange juice . breakfast room bright comfortable . Luna & amp ; Simone Hotel secret , mixed feeling hear Rick Steves review . know traveler treat recommendation gospel ; will please stay . ' m happy imagine find room future might become difficult . family run hotel deserve increase business mention Europe Back Door surely bring . hotel locate within easy 10 - minute walk Victoria Station Pimlico tube station . 24 bus stop front hotel pass Victoria Station , Westminster , Whitehall , Trafalgar Square , Charing Cross Rood , beyond . five - minute walk around neighborhood afford access Barklays Bank , Post Office , Sainsbury 's supermarket , numerous restaurant one find fish chip , done kebabs , pub , even Kentucky Fried Chicken . 
 Mar 30 2009 	 great place great pricee 	 need . course room small , expect city twin accommodation place maximum space . everyone friendly helpful . request low floor room give # 2 two step . wifi issue , able & quot ; borrow & quot ; next door : ) breakfast nice ( great bacon ! ) # 24 bus helpful literally right outside door . would highly recommend establishment . 
 Mar 25 2009 	 Jewel London 's Crown Small Hotels ! 	 husband get back stay Simone part hotel . Luna renovate available shortly . renovate hotel every five year ! family own operate hotel gem . staff go way make sure stay enjoyable . breakfast especially good keep we go day . room quiet small clean efficient . bathroom spotless . always love Pimlico / Victoria area thrill find Luna & amp ; Simone . would hesitate stay go visit London . disappoint stay . 
 Mar 24 2009 	 Perfect Place stay London 	 review Trip Advisor help select Luna & amp ; Simone Hotel plus good review Rick Steve 's book . review right mark . hotel centrally locate nice , quiet , clean room fantastic service . every member staff friendly , patient helpful . teenage daughter use # 24 bus daily - pickup drop stop right front door . morning breakfast ample tasty chance catch guest . use available internet connection keep touch back home via email . nearby pub ( Marquis Westminster especially good ) store handy . will stay next time ' m London ! 
 Mar 23 2009 	 Luna Simone live wonderful review 	 Luna Simone family run hotel Pimlico / Victoria section town . room exceptionally clean , comfortable , fix breakfast menu ample , transportation option could well , staff ( mostly family ) could helpful . neighborhood well maintain . Holy Apostles Catholic Church 4 short block away Sat 6 pm mass full good energy . restaurant selection , grocery store , TUBE / Bus stop within easy walk distance prove exactly state Tripadvisor.com review . there several fantastic option long jog / run guest bonus . hotel attract Rick Steve 's crowd well travel individual willing share daily event help explore city surround region . 
 Mar 20 2009 	 clean comfy central friendly 	 book hotel business trip base review site ' m happy . room not large , ' ve far small one central London hotel . good , clean bathroom . excellent breakfast option . bit trouble get hotel wi - fi work - not rely able access email etc room . however , hotel internet room available , always useful . ' m plan stay leisure trip later year . 
 Mar 12 2009 	 nothing add 	 stay & quot ; Luna & amp ; Simone & quot ; last year triple room not disappoint . staff friendly , breakfast serve entertain owner great definitely one highlight . stay much expensive hotel breakfast service take hour compare ! location good travel via Victoria Station load Coffeeshops , take Aways supermarket nearby . will definitely stay ! 
 Mar 10 2009 	 wonderful stay Simone ! 	 wife 10 - night stay Simone February can not say enough good hotel . last year stay Luna side , ' ve chance experience part establishment . 's good place ? location -- short walk Victoria Station , two tube stop , bus stop , grocery store , restaurant / pub , etc . ; room -- might small , extremely efficient use available space ; cleanliness -- wish american hotel would take lesson keep property pristine one . , 's people work give Luna Simone distinct personality . 's easy see care guest , property , good name hotel earn year . anything bad ? absolutely . doubt 's place London offer value price . would like know another hotel customer service friendly sincere . look forward return visit . 
 Mar 6 2009 	 great friendly family accommodation 	 2 room ( one triple one twin ) . room clean neat everything need . staff make place good . incredibly friendly go way help we . breakfast good boy offer sort cereal hot chocolate . 's bit walk tube area good . plenty nice place eat good supermarket tube hotel . we would definitely stay , good value . 
 Mar 4 2009 	 Gem hotel affordable great location really friendly people . 	 , mother grandmother stay Luna Simone 3rd march 2009.we family room adequate size - wise , lovely en - suite bathroom . the english breakfast tasty , seve rather early bonus we give we incentive get early therefore whilst London . free internet room do not use , another good element usually really expensive hotel . the staff really nice friendly go way help , store luggage almost full day check could explore london journey home evening . location great , Pimlico Victoria tube stop , bus 24 stop opposite hotel drop back right outside hotel , go fair majority attraction . another note , hotel noisy stay , noise hear night next door shower ! fab hotel stay whilst London price reasonable get , would definately recommend ! 
 Feb 26 2009 	 terrific ! 	 travel look four basic quality : clean , comfortable , convenient friendly . hotel rate top area . clean top bottom . room comfy fair size . location block Victoria Station , bus ( # 24 ) great connection stop yards door . perhaps good feature friendly staff . great time talk , always helpful direction , ticket , etc . reason place nearly always full - great value . hope get back London positively stay . 
 Feb 26 2009 	 comfortable 	 teenage daughter stay hotel 9 night last April . moment arrive make feel welcome . staff friendly helpful courteous time . really like ' family feel ' hotel . room spotless , although small canadian standard , expect do research . impressed towel change every day , return hotel end long day sightseeing , room clean inviting . say , hotel spotless people mention smell cleaner , not notice anything except extremely clean room . ' m fussy complaint ! anyway , would rather smell clean deal room substandard . the computer bonus , luckily locate right beside room . previous trip spend 90 GBP internet alone hotel South Bank . equivalent one night stay . may wait find time computer busy , particularly morning . find guest always courteous , turn , limit time email home web . the breakfast good . coffee always welcome start day , food hot filling . daughter not tea coffee drinker quickly offer hot chocolate alternative , say well ever ! brother serve we attentive nice , couple day notice daughter really enjoy raspberry jam would come table make sure ample supply table . think care gesture . be nice remember small detail . Breakfast serve 7:00 8:30 , may early people , think 's great kick start get move waste minute London ! occasionally , need help direction advice family quick help way could . like location hotel . within walking distance Victoria Station , use every day . also use Green Line bus Victoria Coach Station get Windsor Castle , basically across Victoria Station . convenient . also shop area adjacent Victoria Station restaurant upper level . really like buffet Fresh Pizza Company . reasonably price service great . also , Luna & amp ; Simone within walk distance many attraction , short bus tube ride away . many convenience store area . pleased stay whole , return Luna & amp ; Simone . fact , couple week can not wait ! would recommend Luna & amp ; simone anyone would like stay clean , comfortable B & amp ; b friendly service , nice , quiet location . be simple & amp ; lovely . 
 Feb 26 2009 	 simple clean 	 2 room Luna Simone , basic clean . owner friendly , helpful accomodating . nice English breakfast every morning free internet access . although generally awake already breakfast hour 07:00 08:30 , may early people . use Gatwick express Victoria Station 10 minute walk hotel , easy . several good restaurant , within variety cuisine , around hotel well . airplane traffic overhead street noise stay front hotel light sleeper . overall though , good hotel people budget good value . must comment friendliness family run hotel ( usually something not really matter ) nice pleasant speak . 
 Feb 25 2009 	 bit disappointing somewhat convenient 	 finally remember give review ... albeit 3 year later ... leave quite impression still remember good part experience . I stay Luna Simone 2 night . originally book single room 40GBP / night , think also private bathroom . receive confirmation , turn reservation single room share bathroom . immediately email hotel receive quick response . tell fact book ( venere.com ) single w/ share bathroom , go ahead already change reservation single w/ private bathroom 55GBP / night . grad student , quite big change price , excited stay highly recommend / rate hotel anyway not protest . to give quick background ... first trip England . stay London 3 night total go Nottingham MBA class . 1st night , stay Radisson Edwardian Vanderbilt Hotel side town British Airways free night promo ( review : [ -- ] grant , two hotel two world apart - Kensington vs. Victoria area , world - renowne chain vs. family - own , etc . please know ' m compare two hotel base experience LunaSimone hotel . expectation LunaSimone solely base stellar review read ( warm friendly staff , nice accomodation , etc . ) . travel lot know expect world place 1/2 cost hotel town . with ... pleased transportation conveniently locate ( bus stop almost right front ) . tube station far , still bit walk especially couple heavy suitcase lug . feel safe walk street restaurant . Victoria badly situate location , certainly convenient part town . I not remember room number , remember corner room right 1st floor room . spacious compare Radisson room stay 1st night . bathroom small clean . light bit dark fairly quiet . overall , simple clean room . looked feel like single college dorm room ( never stay hostel , maybe could comparable one ? ) .there tiny room downstairs single computer , nice amenity offer ( since refuse pay internet connection laptop ) . Breakfast okay , nothing memorable . lukewarm toast basic jam . people work not seem open friendly . would think would try make sole traveler feel little welcome friendly , interaction take drink order . my front desk experience give warm & amp ; friendly / fuzzy feeling like read past review . trouble communicate person , plus person could not really suggest nearby place eat even give helpful direction go look own . what shake memorie air inside place . never experience , something air literally put bad weird taste mouth . good describe like & quot ; cotton mouth & quot ; , feel like invisible residue tongue , something effect . maybe 's cleaning product use air stale ? try air room , not help much . remember , stay March cold / wet keep window open . weird feeling mouth would go away whenever leave hotel . thank read long review . might consider look hotel need inexpensive place stay next time visit London , will not first choice . thing recommend friend . need convenience inexpensive play stay , would suggest take look LunaSimone . 
 Feb 25 2009 	 Excellent B 	 stay Luna & amp ; Simone Hotel 2 night Valentine 's weekend . read great review Trip Advisor book certainly disappoint . room large perfectly adequate bathroom although small spotlessly clean good shower . room ground floor front suffer road noise could hear people come late night request room back might bother . really make hotel wonderful owner friendly really go way make sure great stay . breakfast lovely , lot choice really well cooked not like something menu owner try well find something else . example not like tea coffee perfectly happy neither owner really not want go without keep come back numerous suggestion alternative laugh agree yoghurt instead ! notice table well really go show attention detail desire please owner great B & amp ; b . location great , 5 min walk Victoria station close numerous restaurant - eat Sole Mio good inexpensive italian 2 min hotel Kym 's chinese restaurant also great food . overall great stay would definitely stay . highly recommend . 
 Feb 23 2009 	 great place great staff 	 brilliant location , room front hotel suffer traffic noise , however staff excellent manage relocate we rear hotel quiet . building work go moment - good news hotel go well already . Breakfast well make keep go day . stay . 
 Feb 23 2009 	 Great Hotel Money 	 happy stay Luna & amp ; Simone ! incredibly clean staff helpful . morning breakfast wonderful help we keep trip cost even . room small Americans might use , find big hotel ' ve stay throughout Europe . location wonderful - walk everywhere never feel bad area . train station literally block street - take 5 minute walk get right to / from airport . highly recommend hotel stay everytime come back London ! 
 Feb 20 2009 	 great friendly service room match 	 arrive early & amp ; room ready , allow we relax early flight . staff deal friendly , pleasant & amp ; helpful . room : spotless , bed comfortable , quiet ( even though front building ) , room kettle & amp ; load tea & amp ; coffee . breakfast room surprisingly large & amp ; food even well expect . top notch hotel , plan stay ... one thing note , picture website justice . 
 Feb 16 2009 	 Loved Stay ! ! 	 return stay Luna Simone hotel . great stay highly recommend . moment arrive happy decision stay . arrive around 12 pm take Eurostar Paris . lady front desk give we key tell we go get settle check since luggage tired . nice accomodating . room two twin bed second floor . balcony request . room table bed , desk situate corner room . room big expect . small plenty room two us satisfied size . stay couple hotel New York much , much small . hotel serve breakfast every morning dining room . serve table menu choose option . great meal egg , bean , bacon . also juice , coffee , tea . bus stop right front hotel take Westminster Abbey Trafalgar Square . hotel five minute walk Victoria station convenient location we . hotel clean . daily room cleaning keep clean . front desk staff friendly helpful . even arrange dot2dot pick we hotel take we airport fly home . internet room computer use . also use internet free room . use internet work great . highly recommend hotel . great hotel great location , price , atmosphere . 
 Feb 9 2009 	 Fabulous ! ! ! ! ! 	 hotel fantastic ! stay week double room . price reasonable . Peter , Bernard whole staff make first trip London well . room clean every day . full english breakfast morning include egg , ham , bacon , well hot chocolate world , toast , coffee , juice . even loan daughter money get Bath tour miss . would never happen States . back one day stay Luna Simone . always remember great time . 
 Feb 6 2009 	 great value money lovely place ! 	 stay Luna & amp ; Simone Hotel 4 night late January 5 night February ( till today ) . hotel great value money , least far concern use situation London till recently . walk around Victoria area , see B & amp ; b guesthouse offer cheap rate , quite sure offer good quality . , far crisis English economy continue , rate may become even low due competition . book accomondation Luna & amp ; Simone , mini - research B & amp ; b get good review , definately offer good rate . book 10 day advance , hotel 's website . first 4 night spend , stay number 16 Simone part hotel . single bed , tv , telephone hair dryer , desk chair , tea & amp ; coffee make facility provide . room large , quite decent size hotel . shower lot pressure free toiletry . problem stairs . room locate top floor , sometimes bit tiring go stair , especially case want lot time per day . when check , one owner offer ( without mention anything ) , give room low floor come back . well , not forget . second stay , give room 9a , Simone part . bit small 16 , due way room sette , get impression architect 's original plan may linen room , guest room . anyway , facility offer , equally clean tidy , locate 2nd 3rd floor , great ! get impression maybe Luna part close maintenance , sure . sometimes could someone use drill hammer part building ... ? ( terribly disturb noise something , could hear occasionaly ) . Luna entrance seem closed stay . ( two entrance common reception . reception staff always polite . quite often one twin brother ( propriator ) self desk ( happen often breakfast area ) . also couple , young cute people behind desk . plenty leaflet information attraction , tour etc , pc fast internet connection guest use , 7 am till11pm everyday , free ! think WiFi , low couple floor . Breakfast lady efficient , usualy aid one brother . even around 8 - 8.30 's busy breakfast area , everyone take minute ask ok , need anything else etc . pleasant experience . two room , depend busy , one , may use . locate basement clean tidy . breakfast quite rich b & amp ; B could fill hour . serve 7 till 8.30 . , think add extra half hour , people may want sleep little long , still not bad . room clean , usually housekeep take care 10 - 12.00 . see lady one day , sure one housekeeper . smiley polite . think even go stair many time per day , everyday , deserve least tap shoulder ! last least Luna & amp ; simone : Location . handy indeed . 10 - 15 minute walk Victoria station , 10 minute walk Pimlico . bus 24 stop exactly outside hotel go station bore walk . go site Westminster Abbey Trafalgar Square . 's 24 hour operating bus ! Belgrave Road quite pleasant , well - light night safe . mix B & amp ; B , house , small grosserie couple pub eatery . tesco Sainbury walk distance , indian , italian even cypriot restaurant , launderette etc around . everything hotel good . stair problem , room ground floor case disabled person party . let know good help ! come ? definately ! 
 Jan 29 2009 	 Luna 	 rely heavily Tripadvisor review six week holiday UK / Europe 2008 . excellent review Luna & amp ; Simone 100 % accurate be pleased report ! booking , could not get price location ... lead we wonder might slightly dingy side . . yes , double room stay small side , light , bright , spotlessly clean modern ( albeit small ) bathroom also spick span . location excellent base explore London - close transport . one ghastly early morning flight Dublin Ryanair able walk Victoria Station 5 am catch bus airport . convenient . staff exceptionally friendly professional . four great night Luna & amp ; Simone - will not hesitate stay next time . 
 Jan 28 2009 	 exactly look ! 	 lovely week Paris , stay Luna & amp ; simone 9 night return back home . we decide book good review write , and - of course - the great location price . it close pimlico metro station , bus stop right front hotel . our room top floor , small , comfortable , clean warm , bathroom extremely clean too . we breakfast serve 8.30 ( early we ) , mention kind appear first day 9.00 ( think 9.30 ) tell we kitchen close could still coffee want . the -little- problem check carry heavy luggage 4th floor foot elevator . of course specific day time not bother climb stair . the good thing hotel staff incredibly kind , helpful friendly make we feel really wellcomed , be important travel abroad ! 
 Jan 22 2009 	 Good Hotel Great Location 	 staying paris , boyfriend stay London 2 night head back Manchester . find hotel great location ( central London ) perfect visit London 's sight . hotel extremly clean find staff friendly . breakfast also good ( ENGLISH breakfast ) finish quite early 8.30am . worth get . 
 Jan 21 2009 	 great place 	 actually travel ' 05 , mean post review ever since . party three single friend please hotel . room 3 single bed comfortbale . look clean , comfortable place good location , good price . nothing fancy . hotel meet expectation . hotel staff personable make trip much enjoyable . location beat , term access rail system . 
 Jan 20 2009 	 Disappointing 	 hotel disappoint anticipate comfort pleasant greeting long haul flight Austrlalia get neither . book room 3 consist one double bed one single get give room 3 single bed . enquire tell nothing could done apology explanation offer . room small , characterless smell heavily chlorine base cleaning product . Breakfast provide ok hotel well locate , quiet safe owner particularly helpful friendly . unfortunately could recommend hotel stay . 
 Jan 6 2009 	 Must ! 	 absolutely love hotel . husband stay double kid room next door two twin bed . comfortable . stay 6 night pleased , staff friendly , room adequate size , clean English breakfast hearty . the # 24 bus run 24 hour stop front hotel , plus be late . be also within walking distance either Pimlico Victoria Underground . it perfect hotel we . 
 Dec 22 2008 	 Great Value 	 stay L & amp ; 6 night late November single w/ share bath . everybody know room small . ... perfect place rest head allow spend $ elsewhere . property clean solo traveler feel safe neighborhood . easy walk Victoria Pimlico station ... Pimlico much calm experience . breakfast fill tasty . great access bus , tube , grocery restaurant . would stay . 
 Dec 21 2008 	 never feel welcome London ! good stay ever . 	 change compare thousand shabby place shabby service medium - low price range London ! perfect stay , look future . Luna Simone two & quot ; twin & quot ; hotel ( two part hotel ) common reception , & quot ; Luna & quot ; part , room 7 ( twin ) first floor . can not speak & quot ; Simone & quot ; part , assume same . the place spotless , soft build - in carpet , security fire door , simple pretty furnishing . room lack nothing , quite spacious . bathroom magnificent , well mine home , gigantic shower . confortable bed , clean linen , towel change every day , space luggage , desk chair , hanger , wardrobe , extra pillow , fan , good heating lighting , hairdryer . never see anything like room price London ! breakfast ( ' LA CARTE ! ) magnificent , serve modernly furnish cafè basement . select one thing three paragraph menu , not fancy something , offer stuff 's menu . bring want . well service cafè town ! be like luxury hotel . the best thing hotel service staff , extremely nice professional . could not believe ! staff Sheraton hotel stay nice one Luna Simone . heartwarming , really . the hairdryer break , instantly give we replacement , next day new hairdryer instal . curtain come one hook , immediately send someone fix . never London feel welcome before . we check early , ask discount give we one . much hope , 5 £ , be less spent breakfast two Starbucks airport , fine . appreciate fairness . hotel not give fiddle miss breakfast . it well worth spend ( per room ) 15 - 20 £ lot budget hotel London wonderful confortable experience . loved ! 
 Dec 10 2008 	 look futher ! 	 clean , comfortable good price breakfast include far London Victoria . pleasant , quiet , family run hotel . spend 2 hour look online hotel keep pop . let fact able check vacancy online put . rang next day able book without problem . ask ground floor room mother walk issue accomodate we move booking around . also flight stairs breakfast room basement . bus stop outside hotel , forget get ticket advance . Taxi 's pass frequently cost varie driver distance . recommend hotel friend would hesitation stay . 
 Dec 7 2008 	 look 	 spending hour hour trawl website find accommodation deal , begin think nowhere London could provide we room night reasonable rate , good location would not trip advisor review without word , dirty , terrible , not stay , etc . finally , basis positive review trip advisor book Luna & amp ; Simone , delight find exactly previous reviewer say - spotless , warm , good location , friendly host . we stay 5 night friend live hour outside London come join we stay B & amp ; b room beside we 2 night . also find excellent would definitely stay . not book directly ( agency ) , room allocate top floor ( friend tell count 86 stair ! ) whilst dread climb simple filling breakfast , room quiet , clean comfortable would not put go back . breakfast describe , cornflake orange , egg without bacon bean , ham tomato , toast . breakfast room immaculately clean . owner , hospitable everyone say , offer provide alternative want , find breakfast need day London . our room clean make every day provide fresh towel daily not expect . hairdryer , tv tea coffee make facility . can not compare size room hotel first stay London , can not beat cleanliness see London rather stay room . Victoria station approx 10 min walk away , buy weekly travelcard use tube travel . travelcard also get we 2for1 deal thing like Tower London , Tower Bridge Exhibition War Cabinet Rooms etc , useful worth see . travelcard also use bus go see 2 show delighted find number 24 bus stop far away either theatre drop we right outside door . would definitely stay , currently search place stay , look book Luna & amp ; Simone . 
 Dec 3 2008 	 Wonderful b 	 ' ve stay many place London one top list . the room typically small London room , absolutely spotless . bathroom , although small nicely tile great shower lot hot water - always common London . breakfast ample love jovial atmosphere breakfast room , owner actually help serve . location central couple great restaurant around corner . B & amp ; b offer good everything would highly recommend . 
 Dec 1 2008 	 Great Value Hotel 	 son ( 13 ) stay Luna Simone 2 night last week . find hotel great location we due close proximity Victoria easy walking distance many attraction . staff friendly helpful , breakfast simple good quality bedroom en - suite , although small clean warm . great value money , would definately use . 
 Nov 28 2008 	 great hotel ! 	 lovely little hotel , extremely clean room , pleasant staff good cooked breakfast ! room absolutely spotless , decent selection tea coffee room - hotel old , well maintain ! staff welcome . single room w/ share bathroom , small room okay weekend trip ! short walk Victoria Pimlico . 
 Nov 26 2008 	 clean . 	 stay one night Sat 22 Nov. the hotel locate close Pimlico tube also short ( 5mins ) walk Victoria . the area around hotel fine plenty pub , bar place eat . find wonder hotel towards Victoria station . we pay £ 80 night inc . breakfast . book directly via hotel ' site . we complete inquiry form ask price , quick response . ask quiet room high floor get one . room back 4 flight stair . lifts hotel , ' almost sure ask staff , ' help heavy bag etc . whole place spotless tidy . en suit room clean crappy mould corner . all light work tv hair dryer . safe room additional charge . there course usual tea coffee make facility , ' use they . breakfast simple ample . serve yet another spotlessly clean room consist : Juice Corn FlakesBoiled egg Bacon , egg beanswith Tea / Coffee toast . I ' vegetarian , ask bean egg . get two egg instead usual one replacement bacon . nice touch . all , great hotel really ' think could great deal well London ( Inc breakfast ) price . many thanksgraeme & amp ; Sandra 
 Nov 25 2008 	 wonderful ! 	 lovely friendly little hotel ! stay four night really enjoy stay . staff brilliant- tell like . room spotless comfortable . central heating , good waterpressure , tv , safe , hairdryer kettle make stay pleasant . the breakfast serve 7.00 8.30 . choose wide selection not keen bacon & amp ; egg style- bring youghurt extra . plenty food keep go till lunch . it lovely watch staff work . everything happen smoothly ( year experience guess ) atmosphere relax . many guest regular hug shake hand staff leave . not get big hotel ? know will stay next trip London . 
 Nov 22 2008 	 great deal London Town ! 	 stay place 23 year -- gem ! # 5 - single room w/ share bath ( right next ) totally satisfied . great breakfast - spotlessly clean incredibly friendly staff . my single room extremely small , 40 pound great location deal ! 
 Nov 20 2008 	 Great Hotel 	 great little hotel , clean . good hearty breakfast owner extremely helpful . try get room away front hotel quieter . otherwise , complaint . 
 Nov 16 2008 	 Great Value London 	 family stay Luna & amp ; Simone hotel past spring . Luna & amp ; simone offer excellent value pricey London . room clean well - keep . hotel conveniently locate half - way London 's Victoria Pimlico tube station , offer easy access Undergound . number nearby restaurant well . the Luna & amp ; simone offer excellent british breakfast morning , family take advantage often possible . owner hotel pleasant welcoming . I would highly recommend Luna & amp ; simone stay London . family please . 
 Nov 15 2008 	 great location 	 really pleased price hotel consider location ( 5 min walk Pimlico tube , 10 min Victoria ) . great find english breakfast include change , unlike previous hotel nearby get cold croissant , biscuit long life yoghurt ! room not massive , plenty big enough really clean . hade queue breakfast second day , not much hassle staff attentive . friendly , family run hotel would reccommend anyone . 
 Nov 14 2008 	 nice place great staff 	 stay tail end small Eurtrip friend ( 3 we total , mid 20 's ) . staff insanely helpful , ' m pretty sure 's family own . be convenient 2 block Pimlico tube station . room , basic , clean . bathroom stand new clean . overall , research book hotel , price reasonable 's great place . definitely 5 star anything , new clean . 
 Nov 14 2008 	 Fab Hotel 	 first time London . fab time . absolutely love everything especially hotel . everything onecould ask - fantastic location , lovely staff , spotless roomand great breakfast set one day . Marquis Westminster public house short stroll away perfect place end perfect day . would definitely stay hotel again . Mary & amp ; Carmel , Dublin . 
 Nov 12 2008 	 Great B 	 book night ' stay Luna & amp ; Simone base Tripadvisor review not regret . location great , close public transport , could even walk Buckingham Palace . free breakfast internet great well . superb service . room small , be expect , 's clean job . 's kettle , microwave though , lift ( ' m aware ) , ask room first level . hotel staff help us luggage though , appreciate . value money ! 
 Nov 8 2008 	 Lovely Rooms - Great Service - Excellent Location ! 	 sweet little hotel perfect location , locate block half walk Pimlico Tubs station give direct access Victoria line stop transfer . it own two brother -- twin , believe . would see one hustle food breakfast run upstairs see one man front desk think & quot ; guy everywhere ! & quot ; rest staff incredibly responsive , friendly stop nothing take care guest . the room stay large well lay cleanly decorate fresh continental touch . bed comfortable housekeeping excellent . the include full english Breakfast welcome start every day , delicious warm bustle dining room downstairs . 
 Nov 3 2008 	 great value hotel 	 good price , clean tidy , excellent shower room small well appoint room . close central London transport link via bus tube can not beat . staff v. friendly knowledgeable . not expect luxury - great value . 
 Nov 2 2008 	 Loved Luna ! ! 	 great place stay . spend 3 night October triple room . comfortable , exceptionally clean room bathroom . room tv , tea make facility , hairdryer . Breakfast serve promptly well cook . staff friendly helpful . great location - Victoria Tube station less 10 minute walk , Pimlico tube 5 min walk 24 Bus stop right outside door go Westminster , trafalgar Square Leicester Square . perfect transport back theatre . would recommend travelpasse . buy one 3 day use tube bus . restaurant , supermarket close . look forward next trip . good hotel ever stay London ! 
 Oct 29 2008 	 wonderful Hotel Terrific Location 	 stay Luna Simone 3 day October 21 - 24 October 26 . stay one basic single share bath . claustrophobic , room probably measure 6x12 , , be cell amenity - telephone , television , teamaker , hairdryer , wireless internet . clean room , window open ventilation , washbasin , towel provide , comfortable bed . share bath small servicable right outside door . need place stash stuff sleep night , not need much , price could not beat , especially central London ! staff - family member , believe - wonderful friendly . breakfast good plentiful , service efficient . also Internet terminal can not get wireless ( apparently , signal not go beyond first floor - room , signal spotty ) room . well , Pimlico neighborhood wonderful . Victoria Station 10 minute walk , Pimlico station 5 , # 24 bus stop directly front hotel take Westminster Abbey , Leicester Square British Musuem , # 2 bus , next street , take Mayfair Marylebone . Tate Britain short 10 minute walk away . neigbhorhood replete amenity - mini - mart corner , laundrette block , pub restaurant galore , nice shop , fruit market street . short , real , liveable neighborhood , Belgrave Road full small hotel . someplace one could live real . if be single want basic room , try ask # 5 instead # 4 , slightly large lay well ( # 4 's wardrobe accessible standing chair ) . not hesitate go single , despite size , be surprisingly comfortable . if could make one recommendation , would wireless signal booster improve signal room . , absolutely complaint . really recommend hotel anyone visit London want good , basic , convenient accommodation incredibly reasonable price . 
