Nov 	 wow 	 awesome hotel ' ve ever see tall building ' ve ever ( 99 floor ! ) 
 Nov 30 2007 	 spectacular 	 ok hotel certainly be not cheap , afford worth pretty unique . conference three night , seriously nice room 72nd floor . view truly spectacular quite something else open curtain kind view . room good size , comfy bed , extremely nice bathroom , sensible work desk well , criticism light bit dim exception bathroom lobby . service good , restaurant . it decently equip gym although 57 floor window face cross trainer treadmill suffer vertigo . you pretty much live JinMao tower complex desire , coffee joint etc podium block , even minimart basement 3 ( easy find ) . externally Jin Mao tower stunning piece architecture . location good Pudong standard - although much term thing Puxi . worth get chance . 
 Nov 17 2007 	 impressive property 	 not stay many Grand Hyatts compare property impressive one gorgeous public space room quite good . river view suite ; club 83rd floor good late hour good food pastry . within 5 minute walk metro stop useful ; easy get airport metro change maglev train get hotel use train get taxi . concierge health club good . view room good would expect since many obstruction front window view club lounge well anyway , yeah , get room view long be stay . 
 Nov 13 2007 	 great hotel quibble 	 stay 3 night local work office close . hotel locate upper floor JinMao Tower ( low floor office space ) small commercial / shopping arcade locate adjacent . also close SuperBrand Mall ( Zhengda Guangchang ) improve considerably since last visit February . first impression amount service staff - people everywhere seem , even hold door express lift lobby floor open ! lot spare staff around lobby area time . everything appear shiny new . level English spoken staff ( especially desk staff answer phone ) excellent . room long corridor lead bedroom , wardrobe corridor bathroom could access either side - nice convenient . view great look directly Pearl TV Tower . use gym facility couple time . gym good , spa steam room . though use pool user note , someone watch lap , weird little . bathroom pretty special . big bath , shower overhead nozzle two place metre floor , though work work bit comical experience . lot marble etc etc . also room service one night , though tell would take 20 minute , arrive 10 absolutely delicious , reasonably price thought ( wanton noodle soup 50 60 rmb ) . room well decorate wood panel wall chinese calligraphy pretty nice look . think lot pluse hotel sum well people , 's quibble : - whether bed , three night poor quality sleep stay there.- Desk lamp , activate wave hand front sensor , joke . Sensor would never work properly . buy one on / off switch already ! - six guest lift lift lobby , two lift button far end . mean wait far leave , lift far right arrive , time get , lift go , 's middle button press make wait ( unless someone kind enough hold ) . - new 5 Star hotel Akai Guestlink 59 cm CRT tv room pretty average . 
 Nov 6 2007 	 Life short 	 spoil . rank hotel one great hotel experience ever . ( diplomatic suite ) 80th floor . will not comment room will not use review suite , however afford . GO 4 . low season rate 650 usd per night . the hotel hugelly impressive first class every respect . security evident everywhere , cleanliness apparant interior desighn hotel something marvel at . the world tallest hotel high Bar , well worth beer visit . even stay someplace else . the hotel near subway station easilly commute anywhere point , include river nanjing road . ( 3 yuen ) location also near super brand mall architect dream well worth see . hooter downstairs also welcome respite good old fashion chicken wing beer . the business lounge hotel great good service continental breakfast well snack treat supper . nothing beat glass wine 86th floor next window . WOW.The Cafe restraunt also good think buffett breakfast little overpriced consider could order la carte fraction cost . no problem language , front desk breeze , hotel staff well ever . carter front desk solve problem .I return family point time would never consider another hotel . 
 Oct 31 2007 	 upper class business hotel 	 pleasant stay . view obviously amazing room definitely worth price . bathroom alone worth every penny ! room well design spacious . bathroom huge lovely shower ! bed extremely comfortable kitte duvet pillow . request provide one set synthetic pillow handle promptly courteously . location great be business need spend time Pudong . otherwise , be look explore Shanghai , 's bit way . metro short 5 minute walk away , mean be commute ever go . because be side river , get across central Shanghai taxi painful almost time day . catch taxi train station rush hour avoid ! staff friendly help direction . , however , unable help we organise train ticket - something would expect hotel . restaurant bar hotel good - although late evening , almost bar team prostitute keen chat speak English near . closing time one feel practically hunted try well make evening pay . entertaining say least ! even not stay , would highly recommend visit see amazing architecture atrium floor look onto . hotel building height something special ' ve make ! 
 Oct 30 2007 	 be look glamour glitz ( price match ) ... 	 hotel probably deserve 5 - star rating not check late ( past midnight ) checkout catch flight early morning . hotel impressive . check counter 54th floor ! number bar restaurant feature attraction bar 88th floor ( think - ' ve visit bar separate occassion ) . view bar pretty cool city light et al . room large modern furnishing cool / funky design bathroom closet . although , room lack iron board iron , find odd give spacious . stay short comment hotel ammenitie say posh hotel cash stay would recommend take plunge , experience . 
 Sep 19 2007 	 love hotel ! 	 hotel super ! room look Eastern Pearl Harbor . locate right water front major mall ! right across river super brand mall fancy shopping . locate right Jin Mao tower , hotel lobby 54th floor , amazing view ever ! inside hotel cool club great place eat ! 
 Aug 13 2007 	 Great experience 	 travel extensively business stay many nice hotel hotel stand . find service excellent every regard . room impressive exceeded view . location convenient : quick inexpensive cab ride major attraction . eat breakfast dinner hotel excellent . overall , would recommend hotel . 
 Jul 16 2007 	 Awesome Hotel - Overpriced China 	 location hotel far distance Pudong International Airport great location within Shanghai . enter hotel , need make sure prepare 54 story rise front desk . hotel beautiful excellent view room 60th floor . room spacious clean awesome bathroom . say come back personal visit , would stay Grand Hyatt matter price . 
 Jun 29 2007 	 Loved ! 	 think probably one good hotel Shanghai , definitly good view ! bad thing say hotel CANTON restaurant . overprice disgusting ! ! 
 Jun 27 2007 	 leave one night 	 debatede long stay Shaghai . Pudong Puxi , Hyatt , great review , Shangri La , upstart . well , end stay . ? Hyatt must indifferent service world . make reservation request specific room guidebook like recommend . many reviewer indicate get nothing like request . room small , one sink bathroom view want request . room , though stylish , look tired worn friend 's room horribly stain carpet . tell club level , , leave almost inmediately , nobody ask offer help way . indifference unforgettable . club level breakfast meager . club level happy hour much well . club level small get crowdedlove view , love architecture actually large corporate hotel , decor , spruce bit could fine . 
 Jun 23 2007 	 Dross 	 recently stay Hyatt 4 night . one bad hotel visit regardless cost . room dirty upon arrival ( toe nail clipping floor , hair bath numerous dirty mark ) . decor 10 year date throughout . bathroom sound system not work , sink take 15 min drain , dvd player cut twice curtain rail break . far big issue incredibly poor staff service . useless everything expect tip every turn - common practice China . room service waitor put tray wife 's jewellery still expect tip . minor compare sheer rudeness one member staff . ostentatious day tripper treat far well hotel guest . suggest take guise . 
 Jun 18 2007 	 Excellent hotel 	 Grand Hyatt Pudong truely excellent hotel . hotel beautiful , comfortable well - run . view inner courtyard ( be 80 floor ! ) rival view outside . build architectural marvel sure . restaurant excellent - try two . breakfast lunch buffet incredible - enormous choice . stay three day great time . staff helpful . minor issue might location . Pudong , good day , hard get traffic - wise Puxi side ( sight - see spot ) . sightseeing spend quite lot time traffic trying get back hotel . overall , excellent option . 
 Jun 3 2007 	 amazing view 	 could not fault room.a'grand de - luxe , Bund view ' , huge truly luxurious . extremely comfortable . unfortunately always seem cloud ( smog ? ) , night time light magical . the hotel start 54th floor , necessitate quite lot change floor . lift ; bit confusing first . the staff charming exception restaurant staff , efficient . the buffet breakfast lunch good . the complaint restaurant ; smoker non - smoker seemingly muddle together , quite illogically , could get non - smoking table next smoker . reservation system dinner buffet restaurant hopeless , reserve non - smoking table next window arrive correct time ask wait 10minute , time give poor table nowhere near window , table heavy smoker near . we try italian restaurant despair another night , poorly place table , though not book , someone ! order main course macaroni . penne truly inedible , like flour water paste make child , leave harden . sen back offer salad ' something else ' . husband seafood tagliatelli dish say ok , , hungry , opt . time eventually arrive past hunger agree tagliatelli really ok . order Chocolate Chip ice cream pudding chip ice ! add insult injury , try charge macaroni , hastily agree make mistake . nevertheless , charge 5 yuan extra seafood tagliatelli time lose argue . I know -- -italian food China -- -- - . however , end two week long change chinese meal expensive meal grand hotel well . 
 Jun 1 2007 	 Astounding- Gotham City experience 	 astounding hotel . tall hotel world amazing experience architecture , design , view sheer quality place . review say . must visit . get Clouds bar night tricky ( popular ) worth persist experience Gotham City feel .. expensive , would expect worth . 
 may 29 2007 	 number one Town 	 one good hotel ever stay . stay Grand Hyatt twice , business trip second time wife explore Shanghai . view amazing interior hotel room extraordinary indeed special hotel chain usually expect uniform style rather arts & amp ; crafts country . would suggest book Club River view room . river view must club lounge offer excellent food & amp ; wine evening . enjoy ; choice Shanghai Grand Hyatt ! 
 May 27 2007 	 hate ! 	 enjoy one night stay Hyatt Shanghai . definitely value money . staff never smile ( except Oasis - Spa ) service inconsistent . room average . ' ve stay Westin JW Mariott Shanghai , fair far well . not expect flat screen tv pay tv . unavailable Hyatt Shanghai . agree structure build impressive , unfortunately , little be inside building . food - try Grand Cafe Kobachi ( japanese restaurant ) . lunch buffet Grand Cafe overprice food average . Dinner Kobachi waste time money . service slow - , smile staff . Sashimi not fresh , see kitchen japanese chef try hard salvage 's left restaurant . overall , Hyatt Shanghai 3 - star hotel . recommend Westin , JW Mariott new Mansion Hotel Puxi . must stay Pudong , try shangri - la . 
 May 11 2007 	 could well 	 stunning hotel architectural point view , disappointing feature . concierge service rate crazy expensive chinese standard room not impressive . hand , corteous staff , excellent gym pool restaurant : ' ve try well one italian . 
 Mar 31 2007 	 Disappointing 	 stay November 2006 corporate rate , around rmb 1800 . work Jin Mao office tower circa 2002 hotel upstairs new luxury standard Shanghai , high expectation visit . instead , find disappointing price hotel standard . although fiance request king - size bed , early afternoon check - in informed hotel full give twin bed room . apology , attempt make mix - up . room rate include breakfast , find shocking hotel standard . every luxury business hotel ' ve stay within China include breakfast . room receive surprisingly small odd trapezoidal shape -- terrible feng shui . surprising large stain bit carpet room . live shoddy carpet budget hotel , be totally unacceptable five star hotel . bathroom also somewhat less spotless , concierge service appear astronomically price China . try arrange full - day driver , quote around rmb 1800 eight hour , many Shanghai driver earn month . check friend Shanghai help we book another car service rmb 500 eight hour ( totally professional , Buick minivan wonderful driver ) .to fair , gym , pool restaurant lovely . rain heavily stay , chance enjoy legendary view . would absolutely stay dime . 
 Feb 15 2007 	 true Grand Hyatt Style 	 find Grand Hyatt wonderful hotel , stay hyatt 's world belive 's one good .. service fantastic staff everywhere , Max concierge get we great table good restaurant city ..... one word advice would TIP ... would guess staff really do not get pay much make worth thing happen quickly ... table good restaurant short notice , bag take room quickley .. ect ect 
 Jan 14 2007 	 heavenly room amongst clouds 	 modern , beautiful hotel rise cloud ! look atrium spectacular sight , mention outside panoramic view ! deluxe Bund view room one high floor hotel view simply breathtake , especially night entire city light . room nice , floor ceiling glass window around . sleek marble bathroom also offer wonderful view . overall impressive stay obviously want request high floor possible . 
 Jan 7 2007 	 nice view 	 family stay Grand Hyatt occasionally since go Shanghai every year . lobby 54th floor , every single room spectacular view . room around 40 square meter , fairly large compare typical hotel room . Cafe really buffet international cuisine . however , one adult cost around 200cny ( 25USD ) increase every year . hotel room around 4000cny ( 500USD ) per night , absolutely ridiculous . like place Shanghai , park difficult find . hotel parking lot expensive , park elsewhere . fact , traffic road setup around build confuse accidently miss loop road go across river . across river , traffic even confusing , end drive hour find entrance hotel . 
 Dec 6 2006 	 nice lift lady service always smille 	 view hyatt shanghai spectacular ... night . love service , everywhere go , would someone smile say hello . ( Hyatt staff ) make feel welcome special . please look sit coffee lounge ... small problem nobody seem speak english . international hotel ensure least staff meet customer least speak basic english . minor inconvenience , though eager beaver please attitude thoroughly admirable . the room simply majestic , good grand hyatt singapore well grand hyatt jakarta . well hyatt singapore refurbish ... like switch use , look cheap without attention , bed grand chinese word head bed make little wary . also do not lcd flat tv like hyatt singapore . the gym swimming pool great , locker system little confusing someone always eager help must foreigner . just across street golf driving range , good way unwind . food great restaurant though cili padi , small chilli .. well can not everything , overall 8/10 . 
 Nov 11 2006 	 great romantic night stay 	 finace move Shanghai USA 8 month . go visit two month think would fun stay Hyatt night . can not tell great room . 67 68th floor room look river . room corner floor ciele window 180 dergee view . garden tub also window nice view . bathroom wonderul . eat Grill hotel nice . cloud 9 bar great view well . 
 Oct 11 2006 	 Room cloud 	 girlfriend able get couple ticket f-1 race Shanghai able book suite Hyatt . hotel centrally locate city 45mins PVG airport . arrive late afternoon go customs rush hour airport . meet airport hotel staff quickly take car . would recommend book hotel car , taxis difficult come airport . like sister hotel , Park Hyatt Tokyo , meet ground floor , quickly take check 54th floor . despite hotel fully book race , hotel staff efficient proffessional . finish check process room 83rd floor . suite consist 2 connect room , bit small choppy . room well appoint furniture furnishing little date worn . bed comfortable , bath little crowd despite 2 separate sink , little small 2 people share time . view however spectacular . awake early one morning sound construction could not understand could hear 83rd floor . look bedroom window see another building 20 floor we go . try japanese restaurant good , also desert 87th floor another amazing view Shanghai . arrange hotel car early flight back HongKong , hotel arrange & quot ; picnic style & quot ; breakfast serve car , nice touch . 
 Sep 11 2006 	 Stunning Architecture 	 stay Grand Hyatt Shanghai September 8th 12th . the property architecturally stunning . building design Skidmore , Owings & amp ; Merrill ( Sears Tower Fame ) , 88 story tall . first 53 floor office . lobby hotel 54th floor hotel extend 87th floor . 88th floor observation deck . the Grand Hyatt open atrium extend 55th floor top building . contain world 's high hotel room , world 's tall building hotel inside . room 67th floor ! view Shanghai ' not good enough hotel room , Cloud 9 Lounge 87th floor incredible provide view entire city . also , lounge base hotel ' atrium . the finish beautiful – lot stone polished metal . look great consider building compete 1998 . property ' food beverage ok nothing special – like 6 restaurant – two chinese , japanese , rest american . honestly food overprice ( go Wampoa Club , one nice restaurant city , less money ) . two lounge mention great . the fitness center amazing well – ' 57th floor , also offer great view Shanghai pool area Jacuzzi . as far service go , nobody bend backwards everyone extremely friendly helpful . nobody smother service , probably come fact hotel 555 room . concierge happy book table restaurant city . give good direction also offer good recommendation thing . english bit choppy across board . the Grand Hyatt deserve top list Shanghai architecture alone . room also great stay rate 1900 Yuan per night . ' expect wowed service . 
 Aug 24 2006 	 bad bad service 	 much look forward stay Grand Hyatt . look amazing indeed impressive - hotel whose top floor day cloud ! regard architecture structure view let we . however offset obvious good service something get hotel . check - in desk staff unhelpful supervisor / manager rude . book 2 room rate - agree advance Hyatt reservation . arrive hotel upped friend ' room rate explanation . barter ( Good Old Shanghai , eh ? ! ) get moey end £ 50 expensive night reservation tell we . one word apology , stroppy rude . need sleep fly overnight London check anyway . room nice . comfortable large bed , huge bathtub separate shower . lovely bathroom . tv ok . view amazing ( 78th floor ! ) cloud not ( one four day ! ) throughout hotel service poor . exception ' lift girl ' hold lift , concierge gym / pool / spa staff , really teach receptionist / bar staff etc good service impeccable . I ' ve see view ' m afraid say ' m unlikely stay . especially book car pick we airport quote £ 40 sterling upon checkout try charge £ 80 sterling . get £ 40 back though . 's shame service poor hotel could amazing - build lend . 
 Jul 9 2006 	 great view Room Unpleasant stay 	 fourth visit Shanghai ( one favorite city ) decide splurge spend one night Grand Hyatt . eat meal think would fun place stay . the good part hotel amazing architecture jaw dropping view . phenomenal building . everything modern slick feel cold . plus , enough attention pay detail upkeep hotel -- scuff mark , stain cooking odor hallway , etc . right onset staff act cold stiff . will not let change money without show passport , even though take photo check twenty minute early . can not swim pool ( quite small ) without wear bathing cap . odd warning back guest book ( hotel prosecute entertain prostitute , pass prohibit material hotel , etc -- never see anything like chinese hotel ) although food good , serve smile . , feel welcome Hyatt . the room slick showcase view perfectly . decor dark view really magnificent ( despite pollution give China ) . bathroom fancy ton dark marble chrome cramp . once leave hotel pretty much middle nowhere . ask concierge place walk say not much . wallke past emply mud lot construction site wound river front . fabulous walk , look bund ship water ( rhere we also great aquarium lovely Shangrila Hotel friendly staff ) .after one night early check hurry back Four Seasons suite lot less money . perhaps view not great Four Seasons feel much welcome staff much kind . 
 Jul 3 2006 	 leave mixed feeling 	 recently stay 5 night Grand Hyatt Shanghai . book hotel mainly 's design ( building room ) fantastic view . book Grand Deluxe River View Room add access Grand Club Lounge . room bathroom 64th floow quite spacious . room feature two floor - to - ceiling wall glass offer amazing 180 degree view Shanghai . evening hour view incredible . the room well appoint clean . carpet look little bit worn . bathroom clean plenty towel two robe slipper provide . bathroom also large window bath tub great view river . room service good , turndown service provide , privacy keep do - not - disturb - sign switch ( case hotel ) .However , room bathroom 5 star standard service : book limousine transfer car provide take taxi . Booked non - smoking room confirm booking - still get smoking room . fresh fruit deliver day - seem dependant mood maid . go newspaper . service personnel quite distant exception . could easily sit Grand Club Lounge 30 minute waiter approach take order drink . help ! snack canapee Grand Club Lounge ok evening hour , although exceptional . breakfast ok . much well breakfast hotel . no dress code enforce Grand Club Lounge . also , young kid allow well . get 's noisy time . hotel lobby noisy plenty non - hotel - guest linger around great view . miss genuine friendlyness throughout hotel . as dinner , try Jin Mao Club 87th floor . service good view course fantastic . however , food bland nicely present . decoration two piece brocoli . also , advertise ' most exclusive dining ' Shanghai would expect restaurant enforce decent dress code . instead see plenty people short sandal kid run around . disappointing . all thing consider , still good hotel . would give 5 star rating room bathroom , would give max 4 star service . restaurant even less ... recomme go view nice room . not expect outstanding service - will not get . 
 Jul 1 2006 	 less impressed 	 Beijing business ( stay Peninsula amazing ) , decide come Shanghai weekend pleasure . everyone talk state - side Beijing say stay Grand Hyatt good Shanghai . also expensive , decide go want treat . hotel ( building , lobby , view , etc ... ) extraordinary , disappointed expensive room . king river view room cost $ 280 / night nowhere near nice room come Beijing $ 100 cheap per night . location , start find , rather troublesome well , seem majority & quot ; excitement & quot ; side river ... far distance , traffic horrible always take MINIMUM 30 minute taxi . all ... be odd situation . Beijing , town suppose much less - sophisticated Shanghai , less money MUCH nice room include free limo airport breakfast . Shanghai , & quot ; supposedly & quot ; stay good place town everyone 's account ... room MUCH expensive , nearly nice , car service additional $ 60 way , breakfast additional $ 25 . annoying part ... AC room effective . like cold room , especially 95 degree outside ... cold setting room ok . I ' m lazy switch hotel point , ' ve hear many hotel side river nice cheap . would recommend . 
 Jun 4 2006 	 ok business weekend 	 stay Grand Hyatt conference recently stay weekend . mistake . hotel notable view , air Shanghai filthy day view quite limited . give price , room small - least small couple baby . choice restaurant cafe also limit , basic coffee shop pop drink snack . bad , be nothing around hotel , need taxi go everywhere . pool outside space , choice . on upside , food good staff extremely helpful . would certainly recommend hotel single businessman woman , family definitely holiday . 
 May 27 2006 	 Heaven Clouds 	 love three day stay . lovely king bed room 77th floor face Bund Oriental Pearl . room beautiful . bit overstate remarkable . dine good hotel . excellent australian steak Grill . buffet offer Cafe good although bargain . frustrated RMB45 price every glass ice tea . sorry excessive . drink bar 54 reasonable deluxe hotel service good . Cloud 9 bar live expectation . drink excessive room quite small . think service notch bit attitude department . , lovely . definitely expensive stay love really good hotel fun getaway -- go list . 
 May 14 2006 	 Grand Hyatt heaven earth 	 Grand Hyatt heaven earth world unto . time enter private entrance Jian Mao Building ( 4th tall world ) , pure luxury . the hotel locate 53rd 88th floor room incredible view look Pearl TV Tower upon surround skyscraper . the room especially bath comfortable luxurious . not sure much value hotel give special discount due company 's affiliation hotel . many restaurant lounge choose , veryb pricey . miss cocktail Cloud 9 patio . Garden Court Restaurant ( main floor ) mainly buffet , la carte also offer . dinner buffet quite good , lot fresh seafood . hotel beautiful spa indoor pool . building , take elevator Observation Deck price . bit carnival scene course crowd . I care location hotel , never leave venture Pudong . I much prefer stay across river look amazing architecture Pudong . 
 May 12 2006 	 Superb 	 even be not world high hotel , would still get five star . everything place ooze class , beautiful bedroom , spotless brand new building attentive staff . add exceptional pool spa complex ( high world ) , world high bar , number good restaurant etc superb package . location less issue expect - four metro stop Maglev terminal ( take Exit 5 metro never get across 8 lane highway ! ) 10 minute walk & quot ; mere word describe & quot ; Bund tourist tunnel . cheap really go wrong unless reason need Puxi side river . 
 May 11 2006 	 stay tourist 	 agonise long hard hotel choose first visit Shanghai finally plump Grand Hyatt clearly hotel moment . arrived ask whether could change booking , Bund Twin Room ( available time ) King Room tell completely full . however could offer we Bund Queen Room 71st floor . claim website average size standard room 40 sq , room least 15 sq account hallway . bedroom tiny , barely room walk around bed suspiciously small queen size . bathroom also odd shape , one sink cheap selection toiletry ever see 5 star hotel ( local , non - branded , nasty ) . big disappointment , however , view . website show picture wonderful ceiling - to - floor glass window overlook Bund . due design building , however , beyond certain floor level window fact heavily cross - frame thick iron girder mean view far visible unless stand right next pane . call reception complain size room tell many room hotel odd ( inefficient ) shape due & quot ; unique design building & quot ; . however would call we morning well room become available . arrive late tired decide try italian restaurant hotel . walk like walk canteen - small table ( tableclothe ) line along window , almost every one occupy ( largely ) american businessman suit chinese host . service fast less hour quality food distinctly average give high price - approximately 70 pound head include two course indifferent bottle wine . we book stay 5 night stage decide really not hotel we . aside disappointment room , seem hotel entirely gear business traveller . would learn next day 's location tourist truly terrible - wrong side river town taxi like gold - dust late night ; surround two large building site ; ten minute one - way system enter traffic tunnel really want heavily congest night day . the next morning surprised reception not contact we offer new room . check ask leave four day early - doorman seem surprised tell want taxi Four Seasons . sure stayed put Hyatt would much inferior experience Shanghai . love Four Seasons - location , atmosphere staff - would urge anyone not absolutely stay Pudong stay side river . 
 Apr 1 2006 	 perfect city hotel 	 first - rate 5 - star hotel every way . be beautiful , sleek , well - staff magnificient view . also several great restaurant , bar nightclub building . especially like piano lounge live music . bed extremely comfortable , linen top quality , power shower awesome . splurge pay room executive floor . lounge offer amazing breakfast cocktail spread . give , hotel bargain . could go fabulous hotel . ' ve stay 4 time time , fantastic experience . 
 Mar 5 2006 	 good hotel expensive price 	 Shanghai 30 time year try Grand Hyatt every curiosity . service improve noticeably since year ago . view good day impressive would certainly recommend first timer Shanghai stay . breakfast room service excellent quality . Downsides - get expensive around US $ 250 per night peak season ( like ) . country GDP per capita US $ 1,000 p.a . ! 's crowd load tourist business people . atrium style internal design mean public area get noisy . crowd room preference sometimes unavailable unless super frequent stayer status . room also strange design mean many shape . astonishingly enough HBO Cinemax programme room . , still good hotel value money average . prefer St Regis quieter , less expensive big room . 
 Feb 15 2006 	 Loved Grand Hyatt 	 stay week February 5th . view incredible . staff attentive . room clean . whenever call front desk bottled water towel door within minute . lounge 56th floor nice relax place unwind day touring . I highly recommend Grand Hyatt . 
 Feb 9 2006 	 Grand Hyatt ... Grand Experience ! 	 stay Hyatt simply perfection ! room floor ceiling window view blow sock ! extremley comfortable bed cool bathroom tub overlook city ! restaurant top notch Canton far stick rest .... true authentic cantonese food ... peke duck world ! Cloud 9 great place end night nice drink dessert . PU - J 's great place entertainment .. back even nice dance club .. go empty play great music ... much fun even though husband dance . breakfast buffet great ... really fresh fruit . gym small clean spectacular view well . like swim huge indoor pool ... spa ok . overall , wonderful experience ... be definately worth money ! 
 Feb 2 2006 	 5 star view 	 stay Grand Hyatt Chinese New Year enjoy view BUND firework Shanghai . undoubtedly , view room really great could really enjoy celebration take place city . however , altogether , hotel live expectation . mean bad hotel consider value money smile face leave ( leisure stay ) ... get right . the room : grand suite . basically bedroom little big big study attach . really not call suite design quite odd since lot space wate doorway . positive side , room still new bathroom georgeous . really great BUND view bathtub tv : ) room service hand par . standard thing right , however , not vacuum , even though obvious trace bread floor . day , room set three guest , clean , everything available 2 . basic thing miss ... Club Floor : breakfast & quot ; happy hour & quot ; club floor well average . breakfast limited choice ok . service ok . friendly nothing . manager still need little practice , since tell couple complaint reaction . even bother we odd thing concern . service overall : ok . downstair day , service ok , however , mainly busy tourist visit lobby one restaurant . become evening mainly hotel guest come entrance , seem service people really tired not care much anymore . check , purpose collect money . way try ask we enjoy stay anything else . summary : go view willing spend money , stay room not set expectation high . think business traveller able treat right , since busy day return room evening ... either cheap well choice . leisure traveller , likely disappointed ( ) .P.S . : go , see mixed review however , hotel still rank # 1 traveladvisor list ... next time check # 11 : ( fit hotel well ! would display early , would definetely influence choice . 
 Jan 30 2006 	 Great Hotel 	 work travel industry fortunate stay brilliant hotel . Grand Hyatt along namesake Hong Kong good hotel ever stay . one impressive scale appearance ; staff meet friendly helpful ; 2 restaurant try excellent . hotel location bit awkward surround busy road & quot ; wrong & quot ; side river . however , taxis cheap . Shanghai seemd bit sterile , lack vibrant atomsphere Hong Kong , visually impressive skyline good night . would stay ? yes long someone else pay . Shanghai , make interesting 2 - 3 day stopover , holiday destination . 
 Jan 18 2006 	 impressive expensive sterile - Hong Kong well . 	 stay Hyatt rank no1 trip advisor Shanghai . go Shanghai work 12th 16th January 2006.the hotel opinion rate . stay serval chinese city business hotel mediocre standard . hotel potential good class . incredible presence 89 foor . first 53 floor office ( differnt entrance . ) floor 54 reception . health club pool ( nice indeed ) 57th floor posh restaurant right top 89th ! ! talk Empire State building proportion . another hotel go next door - due completion 2007 100 level hotel become world landmark . ( local slightly concerned view 9/11 ) be impressive , room good , view Shanghai ok . Shanghai prettiest city world . accomodation 15 million people plan build within last 20 year really 200sq miles wall wall concrete . not like hotel ? firstly expensive . beware - local taxis service charge add 25 % price quote . one expensive hotel China although staff polite ( rather genuinely interested ) - ' ambiance ' . whole place feel sterile . eat silence restaurant pay £ 30 meal - go straight across road chinese restaurant ( yellow seat ) Golden -'something ' - eat fresh fish , meat steam vegetable include beer £ 5 . delightful . Shanghai also bite disappointing . try new Hong Kong - HK always outshine interste bold high rise architecture , endless selection hotel , shop restaurant suit budget . HK great night life feel really safe . sure feel quite safe Shanghai . 
 Jan 11 2006 	 overrate 's funny ... not waste money ! 	 husband travel holiday year decide year make Shanghai . since figure probably would not make back Shanghai near future , go 10 day , decide stay hotel , Grand Hyatt fourth high building world definitely one they . since would stay 31 - Dec 1 & amp ; 2 Jan , thought would spring Bund View Suite make really special , $ 350US $ 500 australian . we take taxi Portman Ritz Carlton , hotel stay prior , find straightaway area around Pudong look boring depress , tourist stop nothing much else . when get check - in desk 54th floor , jam - pack , happy learn , since book rate club access , could check - in club floor , floor 83.We greet snooty club check - in person show suite 82nd floor . must admit , suite huge , view grand . the check - in person , course , play much possible , follow we around place full 10 minute wait tip , even though already thank make clear not go happen . normally , good tipper , however instance , person bring luggage . do check we . addition , Shanghai , 15 % service charge intend cover service , tip top would ridiculous . indeed , nobody hotel stay ( Westin & amp ; Ritz Carlton ) expect wait around tip . for heaven 's sake , already pay $ 500 / not ... downright rude person hassle us tip ! top , realize bit later bed queen size bed , pay King bed suite . point angry even bother complain . the club reasonably well - stock , pack . much ask could move chair create table could sit . staff member look put we reluctantly move chair could sit . there also many child club , run around scream stick filthy hand buffet . again , price paying , would expect little peace lounge certainly child stick hand buffet . and would expect staff well train serve guest , rather looking put it . several time different area hotel , ask staff & quot ; may help ? & quot ; , make feel question right particular area . when visit pool , one use , staff member assign sit along side watch ... could not figure ? make sure would not steal anything ? 's way feel . while view gorgeous , hotel elegant , make feel unwelcome whole time . much check two day early , stay one night , move puxhi side river near Peoples square , much centrally locate . my advice anyone think stay save money . take day trip Pudong ( be will need , be pretty boring ) drink bar Grand Hyatt , choose hotel Westin less expensive , friendly centrally locate . 
 Jan 11 2006 	 Class Comfort Clean Value 	 THANK - trip Adviser wonderful service . I wish service available 20 yr ago research hotel industry service ! -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- ' m world class traveler . 54 country 49 year . bring wife trip Shanghai week business lot romantic r & amp ; r holiday california . I ' m write room 78th club floor . it & quot ; great & quot ; not know bad exsperience . not get corner room still love view amenity . suggestions:1 . stay private club level inclusive lounge . free breakfast , snack day quality bar fine wine spirit ( surprise we ) offer great cheese , hot dish , desert provide lite dinner 83rd floor wireless access .. good value like home day . 5 - 8 pm 2.get private shopper driver day real shop back shop shanghai.3 . foot body massage ever day . low cost .. 4 . use gym pool , , great view look shanghai watch world news private head set flat screenthis home base business Shanghai year come find exsperience lack . happy safe travel Rob & amp ; Deb . 
