Perfect 	 Quick walk Gloucester Rd earl court underground . shop also bus . make feel welcome special beginning end . one bedroom apartment sofa bed lounge . three girlfriend meet London 5 day . apartment spotlessly clean , kitchen well equip include washing machine . bed comfortable . shower water pressure good . staff excellent , extremely helpful , nothing much trouble . welcome bottle wine chocolate room . highly recommend accommodation . hated leave . fantastic location shopping , theatre cafe . even hear owl one night 
 Jul 3 2007 	 spacious clean great location air conditioning 	 apartment London definitely way go family . stay 2bd/2ba apt four night June , spacious , clean . small serviceable kitchen . good thing location . quiet street lovely garden middle typical South Kensington square . Earl 's Court Rd tube station ( busy area ) surprisingly close three block away . however , like many London property summer , get warm air conditioning . stay first floor second bedroom extremely stuffy , even though temperature never top 80f . Proximity Earl 's Court Rd Marks Spencer , inexpensive greek restaurant Earl 's Court tube station plus . Sainsbury 's ( hate say , London equivalent WalMart -- mean good way ) block close S. Kensington . would well later early summer due a / c . 
 Jun 19 2007 	 pleasant surprise ! 	 , mother Yananoli , agree completely review apartment . especially impressed large size room comfortable bed , since many review apartment hotel complain room small look pic also , bed soft lumpy . nice introduction England spend first four day ! 
 May 13 2007 	 nice apartment ! 	 stay Collingham apt 4 night early April 2007 . room 2 bdr 2 bath downstair . the apt nice , clean comfortable . the neighborhood excellent . we walk tube station times day night problem all . tube station Earls Court 3 block away nice 5 minute walk . lot restaurant market around earl court . would definitely stay recommend anyone . we family 5 two teen mother 68.the drawback room narrow stair case lift service upper floor . at first express concern mother trouble walk .The apt offer single room floor front desk discount rate .We appreciate much , mother decide stay downstairs anyway . also one day take cab plenty drive corner easy find one . overall wonderful time , bed comfortable bathroom tub clean , kitchen perfect make meal want save pound . we recommend highly price reasonable compare stay hotel enjoy ! 
 Oct 25 2006 	 Aircon ! ! ! ! 	 apartment great location well maintain . however , neglect inform airconditione ! probably usually problem . , go summer , stay elsewhere . might happen go & quot ; heatwave & quot ; . use live Prague know part world always & quot ; unusual heatwave & quot ; summer . I find interesting husband arrive ( day ahead ) & quot ; upgrade & quot ; penthouse . not realize someone probably penthouse day complain loudly heat move another room . , give we seem like special ! well let tell . hot could even consider stay anytime day flat . end bit problem , jetlagge sometimes need bring kid back room hour . also friend drive outside London visit could not even stay apartment talk visit . sweat drip everyone kid miserable ! ! ! suggest anyone kid visit London summer always ask accomodation airconditione . never know & quot ; unusual & quot ; heatwave might hit ! 
 Aug 30 2006 	 ideal family stay Lodon 	 recently stay Collingham Apartments four night family . two bedroomed apartment ( us 3 kid ) one bedroomed apartment ( parent ) . absolutely ideal need great location . as child still young ( 6,4 2 ) want stick hotel room bedtime , sit room kitchen great we relax go bed . also save lot breakfast lunch kitchen use . apartment nice quiet street , close Earl 's Court Gloucester Rd tube station walk distance museum ( Science Museum favourite ! ) .I would highly recommend Collingham famile want home form home London . 
 Feb 22 2006 	 Collingham vote Best Class ( ) 	 get back stay Collingham Apartments South Kensington area London . without doubt , good place stay many visit South Kensington . two - bedroom apartment arrange -- - able arrange well rate we call Collingham directly . be fancy , 's place see see , 's place go expect stay lap luxury . however , look stay one nice neighborhood London hand wallet , great choice . when wife arrive two baby tow , Collingham staff send three man help we unload van . typical Americans could not leave house without five suitcase , stroller , God - know - how - many bag toy , diaper kid thing ! anyway , nobody give we sideways glance , happy see us front desk staff friendly -- especially baby . the apartment much big expect . full hallway bedroom one side bathroom , kitchen living room patio far end . bathroom quite large tub / shower combo . bedroom large closet , two night stand two single bed -- bed push together make & quot ; king & quot ; bed . living room tv , sofa , two soft chair small table four chair eat . lot stuff cram . could probably stand lose chair since could conceivably sit 9 people room . suspect two bedroom unit patio / deck since could see 4 they . the kitchen usable ( kitchenette like many place advertise & quot ; kitchen & quot ; ) full size fridge , microwave , oven , toaster , flatware silverware . bummer basic like salt , sugar , condiment . tv get 25 channel dvd player well . remember , UK dvd player will not play american dvd not bother bring . besides , front desk 75 movie choose from . I ' m sure find webpage wireless internet access , ( free ) laundry room , 24 hour desk staff , daily maid service ( except sunday ) even clean dish ! 's huge supermarket 2 block away . smack dab middle Earl 's Court Gloucester Road tube stop -- 7 minute either . natural History Museum , Hyde Park even Harrod 's ( nice day ) within walking distance . downside would funky layout apartment , skinny hallway lack true queen / king bed . overall Collingham clean , staff friendly -- even guy duty 2 -- be great neighborhood . definitely stay next time visit . 
 Jan 26 2006 	 Collingham Serviced Apartments 	 Company exhibit 's Olympia . always stay Collingham , apartment perfect we , close Olympia tube . clean , laundry facility , dry cleaning , close supermarket . like eat breakfast , often take - away dine night . need wireless broadband , offer . after busy day , be nice watch dvd lounge . they quite choice film . like friendly relaxed karma Collingham . 
 Dec 28 2005 	 Home Home 	 pre - christmas family trip London need friendly , clean , inexpensive hotel good location . get even stay Collingham Apartments . moment arrive lady reception could not make we feel welcome . room spotless , 2 good - sized bedroom , incredibly comfortable large bed . living room area over - look pretty garden residential square kitchen well equip family 's cooking need . hotel well - locate near Harrods museum , close tube station also quiet pretty neighbourhood away main road . extra request query staff deal efficiently . would happily recommend Collingham Apartments , definitely intend stay next year . 
 Nov 14 2005 	 Good Value Careful ! 	 book stay apartment 3 night . 7 people party . arrival reception look per picture internet . lift small could hold 3 person max point 5 floor ! ! ! floor 2 room 120 . room 120 3 bedroom apartment big shock . lock room door position 2 foot ground well handle - still not know . apartment ok budget way would stay kid . living room under - furnish one 2 seat sofa ( sofa come bed ) 2 arm chair apartment accommodate 6 - 8 people ? ? ? ? ? ? ? ? ? room ( ) small living room cramp 7 we watch tv one tv none bedroom . kitchen kitte ok great cutlery rusty along pot pan . kitchen fairly clean . one thing find hard believe miss coffee maker ( not room arrival take 2 day get ) present old one person peculator - dirty well ! kitchen cramp two real push ! bedroom , basic basic get & quot ; luxury & quot ; touch per photo web site , nice furnishing - nothing . bed comfortable dressed plain white quilt plain sheet plain pillow . home - make wardrobe dirty dusty , need clothe dust leave shelf 's someone not clean long long time . bathroom plain white dirty need good cleaning lot re - grout around tile bath . soap - soap soap packet look use 4 bar per bathroom mite add ( must economy drive . ) face - cloth building bring ! ! seem bit false advertising site reality staff friendly location good . there guest house offer well service accommodation cheap price establishment make decision ..... 
 Mar 25 2004 	 much well hotel room -- less ! 	 find great alternative hotel room , particularly since less expensive much spacious . it locate nice , mostly residential neighborhood , couple block tube station , plenty restaurant shop nearby . three we ( 2 adult , 1 child ) share one bedroom , feature small fully - outfitted kitchen , lounge sleeper sofa , bedroom , bathroom patio table , chair swing . several grocery store area , stocking fridge & amp ; pantry easy . the apartment clean every day ( except Sunday ) , fresh linen supply . if go London least week , highly recommend get apartment instead hotel room ! 
 Nov 18 2009 	 Merveilleux week end 
 Nov 5 2009 	 Vacances en famille 
 Oct 8 2009 	 posizione molto buona e tranquilla 
 Oct 7 2009 	 Tolle Lage und sehr schoene Apartment . 
