great 	 stay imperial midweek couple day November . perfect location visit part London 's West end , go theatre shopping . hotel reception cosy relax . Staff superb ( repeat superb ) throughout , always hepful polite . twin room third floor overlook courtyard large good quality light rather 40 watt bulb provide hotel . breakfast hot cold food ( eat buffet ) serve 10 , staff come around tea coffee stops buffet area getting clog up . very clean hotel would definitely stay . way room air condition need London anyway . 
 Aug 25 2008 	 bad hotel ever experience 	 recently stay Imperial Hotel try collect thought concern utterly abyssmal condition establishment . book room British Airways - part & quot ; 2 free night London Promotion & quot ; ( free mean 2 night cost $ 180 say do ) . believe could trust hotel 's relationship British Airways - hotel would least clean well run . mistaken . the room absolutly filthy stain smelly bedspread , wallpaper carpet . airconditione entire hotel - 85 + degree outside , radiator room & quot ; & quot ; ( set ) , swelter room . clock , radio - small small tv get 2 channel . room less 8 foot wide - bed ancient , tiny twin bed appear ( feel ) since hotel open - must occur point ugly & quot ; modern & quot ; 60 's 70 's architecture period . pillow make thin foam , sheet threadbare consistency sandpaper . the & quot ; courtyard & quot ; hotel ( window look ) parking lot share hotel rundown , noisy , seedy casino . hotel locate wonderful spot - right Russell Square , around corner British Museum - next Russell Square Tube stop Picadilly Line - one remain hotel give London bad repuatation accomodation recently start lift . good thing would - implode buidle ( adjacent & quot ; sister & quot ; property include Royal National Hotel ) start new building . Shame British Airways partnering dreadful place . I leave hotel one sleepless night pay full price nice small hotel near Marble Arch balance time London . imperial refuse issue credit refund . stay away ! 
 Jul 29 2008 	 nice location 	 spend seven night day Imperial Russell Square , tell : avoid room 547 cost ! ! toilet separate room without ventilation ! ! ! overall hotel good location , close sub bus station British Museum . cleanness room adequate ( bathroom 's curtain stink ) , staff extremely helpful friendly . in morning not expect nothing else , british breakfast lousy coffee . free Wifi service Hotel 's area welcome feature . 
 Jul 28 2008 	 Loud Budgeted .. 	 Imperial Hotel locate Russell Square , centrally locate hotel .. bad budget hotel . go hotel winter , pretty loud , siren people talk loud .... could really sleep . view ok , ask view show we garden opposite hotel , bad hotel centrally locate . breakfast everyday , cold , variety bad ... enviroment really standard . lobby area pretty big .. first impression spoil completely staff pretty rude we , check hotel . come day , staff improve ... reach 2 - 3 star hotel standard . room pretty really equipt , elevator also pretty small , hold certain limit . would not recomme hotel Families Young Children , Teenagers , couple .. budget traveller . 
 Jul 27 2008 	 rob Imperial Hotel ! ! 	 warning ! ! not stay Imperial Hotel London . left room lock 10 am day shop central London . return around 4 pm find thousand pound worth camera & amp ; music equipment steal room . try report theft hotel management get repeatedly fob form fill Porter . happy time would , room open hotel staff allow room clean hotel would not take responsibility . 's work ? ? anyway ask ' safe room . PS : breakfast great & amp ; location ideal central London . 
 Jul 24 2008 	 Sad 	 heavy heart write review . stay imperial quite lot time indeed recomende trip advisor numerous time clean , decent central place stay . time give room 9th floor fantastic view , eye , telecom tower , russel square 50th pleased.the room refurbish , nice tv , bathroom everything great . shower go could not find Estee Lauder eye shadow set , small item , big mobile phone nowhere find , instinctively look diamond ring open box ... go . go reception ask see manager be not aboutthe young man come back say would take detail give , phone housekeeper be not , speak someone say nothing hand sort thing , next day shock state go reception see experienced member staff inform need fill form etc . do decide go police report . nice ask door force , say yes hide ring away , makeup ! ! ! ! end . 9th floor apart maid guest be not lot passer . hotelstate & quot ; normally responsible forany guest possession position accordance request instruction & quot ; think mean safety deposit box reception open 9 6.30 . much use time . go Imperial do not leave stuff worth wish have not . 
 Jul 21 2008 	 Loud ! 	 stay Imperial Hotel London one night ( thankfully ) early July . location pretty good , room decent enough . small , clean comfortable enough . upon check , front desk staff pleasant since friend arrive check time , allow check bag could go explore city without worry . also , key giant keychain , try carry rather leave front desk ( i.e . bring giant purse ) .If plan stay hotel assign stay tour ( ) , would definitely try request room face main street . night , window look onto main street incredibly loud . 's bar right downstairs , next hotel , blast music night . music , honk car , traffic , drunk people walk street , ' m honestly shocked able sleep . fact travel nearly 24 hour , jet - lag exhausted , wear ear plug probably help get sleep . friend pretty good sleeper , noise honestly astounding . not think would ever stay hotel unless not plan sleep . 
 Jun 17 2008 	 great refurbishment great price great location 	 recently come back week London . stay Imperial , time different . refurbish room , great . everything pint wallpaper , carpeting , drape , bedding furniture replace . bathroom gutte everything also replace . usual staff professional always helpful . price right . one good thing stay imperial closeness sight . walk major sight , save money . stay next trip . lmb 
 Jun 1 2008 	 central basic 	 good location pay . pay £ 76 per night three night . room simple ok.wireless internet access lobby only . there bar - serve sandwich . there offer free meal book two consecutive night . book three night could free meal first night arrive late . way round book single night two night . Daft . meal option also basic . 
 May 16 2008 	 good enough great 	 book reservation airline , read review . stay 5th floor . detect wi - fi 's hotel , not work . wifi work lobby come . think be another hotel , be call & quot ; President Hotel , & quot ; connect 11mbps . room basic . one 12 & quot ; LCD tv air connection ( cable ) Air conditioning ( open window ) not use live city annoy lot ) . bathroom room seperate 2 different room . saftey deposit box room . open 9:00am-6:30pm daily , 20pound deposit , 50pence / day fee . good base clean rest town couple day , bed nice soft . key thing annoying . get actual key attach 12 & quot ; aluminum rod 's annoying functional . 
 Apr 23 2008 	 time revamp 	 well start positve , arrive seem quite positive good location great facility seem modern pleasent include nice sport bar modern wine bar , come enter room like go time warp . it must least 20 year since re - furbish seem un - clean television tiny be not nice place be . this feel time use excellent facility downstairs , use computer downstairs find another hotel local price range , check spend rest stay london hotel russel 
 Apr 14 2008 	 Nice hotel give price ! 	 come back weekend stay Imperial Hotel Russell Square . we pay £ 51pp include breakfast hotel quite nice bearing mind good location price . even though hotel look quite date , room nicely decorate bathroom new . the breakfast plain simple , hot english & amp ; cereal provide , however continental pastry yogurt available . toast also put hotplate make chewy ! tube marylebone ; - bakerloo line piccadilly piccadilly line Russell square ( tho russell square 175 step exit , therefore please advise way via lift ( covent garden ) . tube station hotel literally 5 min walk away . turn leave , first leave little road ( nice pub , would recommend ) , across road stand president hotel . imperial sister hotel side access president . there also nice bar hotel . 
 Apr 7 2008 	 average british hotel ? 	 whole experience bit bizarre . arrive , must 10 people stand behind counter . still , one could handle check - in , other not allow handle cash . take bloody long time , especially get change . staff giggly disorganise feel bit rude towards we . get key , attach harrypotterish wand - one key whole room ! like couple would not separate schedule ? ! room 9th floor , view fabulous - except window dirty . Noise street pretty bad , get use quite quickly . radiator seem two position , . rag - like blanket cover , either freeze ass bathe sweat . double bed far narrow , sized bed usually find single room ! new flat screen tv , channel not good reception . water kettle .. old wear . could not imagine drink anything come pan . two glass room would great change . ask bin ( room arrival ) extra towel , deliver straight away ! bathroom freeze cold heating . , take hot shower heat bit morning , ventilation either , leave foggy wet looong time . moisture condensate ceiling , luckily not rain .. soap bottle provide look bit suspicious , soapy running content . mini bar room , luckily shop nearby . room bit worn , quite alright . spacious closet 3 coat hanger . bathroom recently refurbish - actually , ask room . ask shall receive not , demand . breakfast .. well , English . egg do several way , toast bean . chance glutein - free bread though . , rice crispie slice grapefruit . & quot ; Coffee & quot ; .. british . service breakfast room great , though . athmosphere really noisy one . one elevator use another one skip floor .. complimentary paper really find . advertising elevator 2006 could well selection brochure . one night fire alarm go three time . luckily false alarm , information give unless ask right person . also bit alarmed fact London , CCTV sight inside premise . least not spot single camera anywhere . make we feel bit insecure , especially swinge ' fire ' door . great location , though , will try something else next time . 
 Apr 1 2008 	 good accommodation 	 want see Terracotta warrior King Tut exhibition specific date way via Superbreak offer hotel . slightly disabled request disabled room . room allocate quiet , great ; bathroom really need attention . toilet seat break door not work well . many thing could suggest make easy disabled person leave message ' management ' regard ok . room seem newly refurbish bed new .. hard adequate people . room be not huge certainly acceptable . size bed also generous , queen think . tv many station good too . whilst hotel many great feature , free newspaper , reception staff , clean staff reception area ritzy .. unimpressed lack bar , coffee area , restaurant snack area usually find 3 star hotel . place eat attach hotel part quite basic food . ok place eat everywhere London ' problem sometimes tired capital K wonder capital want veg stay something easy . breakfast good . good . could want full english thing .. breakfast staff also attentive indeed . overall good , basic hotel many quality , remain thought though ' great hotel usual sense number service provide , compensate good bedroom breakfast . 
 Mar 30 2008 	 Truth Advertising 	 book triple 3 night , leave one ! room stuffy , uncomfortable & amp ; dirty . out - date . look like & quot ; no - tell motel & quot ; , hype . 1st clue 14 picture , really around 5 , repeat . 
 Mar 29 2008 	 Pleased 	 stay six night hotel early March . please serve , room , location area general . room biger expect keep clean day . staff friendly accommodating . Russell Square tube station block away . neighborhood feel safe . internet access adjoin President Hotel ( own company ) request room connection service . 
 Mar 13 2008 	 problem 	 stay 2 night book & quot ; superbreak & quot ; .check effecient.room 9th floor overlook square , practically noiseless window closed.spotlessly clean dust free , rad belting heat . Breakfast include .perfectly edibleand lot choice.very handy british museum , brunswick centre across road tube lot decent place eat . iwould happily stay . 
 Feb 24 2008 	 bad experience ever ! ! ! stay ! ! ! 	 friend stay hotel 2 night Mid August 2007 catch Contiki Tour . hotel tour provide we ( think many Contiki Tours start London tour guest stay hotel one sister hotel nearby ) . everything okay check . one thing little sketchy key huge key chain , want leave key hotel every time leave ... key definitely fit pocket normal sized purse . work many hotel San Diego , CA , feel little unsafe key drop front desk every time leave building . , , different country maybe thing differently . , like everyone else , go town , leave key front desk . first night go well second nightmare ! go town even though suppose get 5 am catch tour buss . upon return hotel 2 am , go front desk pick key night shift person . night shift person ... figure maybe restroom , etc .... , reach counter pick key . go room open door find NIGHT shift person go PERSONAL STUFF WALLET , locked bag leaving , HANDS ! ! ! completely confuse catch guard . luckily walk right time not enough time take anything . realize night shift person random guest hotel . keep room make sure take anything . ask respond & quot ; get report drug bag room 708 ( room ) . & quot ; statement totally bogus make sense state illegal go someone ' room go thing without warrant police escort . not 2 am not get hour catch bus , would definitely call police . , figure need sleep little place report could take least hour . morning checking , ask speak manager tell happen . thought & quot ; guy going get fire ... manager go thankful tell happen … etc . , & quot ; Manager & quot ; come tell story say , & quot ; night shift employee already report . check bag security purpose . & quot ; SHOCKED ! ! ! ! could believe ear . night shift person manager nationality , probably related , kind scheme together ! ! ! Lesson learn : leave important doc ( passport especially ) , money , valuable room travel ... even lock ! ! ! always carry money belt ! ! soooo lucky get back time take key behind desk without wait guy come back steal stuff give we key ! please stay hotel hotel own manage chain . check website list hotel stay ! ! ! http : //www.imperialhotels.co.uk / imperial1_hotel.aspx 
 Feb 13 2008 	 pleasantly surprised ! 	 book hotel last minute , actually day fly London not high expectation . stay 6 night . get , front desk staff great , probem check alot early normal check - in time . location perfect , close Russell Sq . tube station , great pub ( Friend Hand ) across street lot shop resturaunt around block ! would definitely stay . 
 Feb 8 2008 	 Dusty room 	 ok , I m read review suggest place fabulous ... really , great . carpet vacuum . ever ! top bed quilt v dusty . bathroom clean though . room key attach long metal rod return reception time leave hotel .... pretty annoying standing wait back time . easy get tube . would pay little extra next time nice place . 
 Jan 28 2008 	 good location 	 stay Imperial January business trip . upon arrival , upgrade double room price . the double room spacious , nice flat screen tv , phone , clean room . the bathroom double sink granit countertop , soap shampoo provide hotel . the hotel big , never issue . internet access available wireless - b network autorium free , stay 5th floor . wireless - g network available 4th 5th floor free . so need fast internet network , would suggest stay 4th 5th floor , g network . breakfast big variety food , lot egg product choice . fresh orange grape juice , cereal , toast , bagel , bean , etc ... service breakfast area also nice . never sit long without coffee tea freshly serve . I would definitely stay . 
 Dec 18 2007 	 good value 	 stay imperial one night December 2007 . hotel locate russell square short walk russel square tube station also close british museum . hotel quite big . room clean seem well keep . flat screen tv , tea / coffee , hairdryer et , usual three star hotel . check hear guest ask rear face room previous syat room front lot street noise . breakfast choise cook breakfast , cereald , bread self service nature . good location , acceptable standard , would recommend would definately stay . 
 Dec 9 2007 	 good value central London 	 not high expectation hotel pleasantly surprise . check welcome quick . room would not win award decor good tv , reasonable size great view Russell Square . breakfast good staff prompt bringing drink . price excellent central location would recommend hotel people short stay not like waste money . 
 Dec 3 2007 	 Value money 	 book night 's stay London late notice treat partner 's birthday . originally book room President Hotel , report reception tell have upgrade sister hotel Imperial - attach President . book form say partner 's birthday ask room third floor read Trip Advisor review . admit not expect much - want somewhere stay reasonably price . first allow check 2 pm ; plenty staff reception , polite helpful . lobby look quite impressive give price , fully expect room lack , pleasantly surprised . sixth floor , overlook turn circle quiet ; clean stocked tea , coffee , etc . flatscreen tv Freeview channel . bathroom spacious look like recently refurbish tile floor two sink . could not believe buffet - style english breakfast include price £ 90 well newspaper ( available reception ) . corridor could spruce could carpet chair breakfast room . would not want stay honeymoon , want somewhere fairly central , clean polite service . take party London summer stay Travelodge Covent Garden - would love known hotel ! 
 Dec 2 2007 	 great location value 	 ' m surprised reviewer moldly dirty room ; clean budget London hotel , mold , suggest get moldly dirty room , ask different one . hotel perfect interest , short equidistant walk British Museum British Library ( fascinating ! ) , two block Russell Square tube station , one block major tour bus stop . three hotel use London , hotel price range full bathroom tub / shower . tv remote work fine channel would budget place . minus include soft worn mattress , poor pillow , certainly frill , major noise street even though ninth floor ( hotel really check double - glaze window ) . course , traffic die midnight , not exhaust full day London ! sleep fine . breakfast satisfactory coffee nice strong . budget London , get handtowel washcloth , weird , multiple bath towel , ' m happy . 
 Nov 16 2007 	 really good - give try ! 	 stay 1 night 15 November . hotel busy upgrade free charge lovely family room . lovely large bedroom , spotless bathroom seperate toilet , plasma tv . welcome excellent breakfast . my friend upgrade big room also move willingly room nearer ground floor . 10 storey hotel friend not like height . nothing much trouble would definately stay again . good value good location . 
 Oct 31 2007 	 Good Location Basic 	 Bathroom - black mold , one towel guest soap tiny bottle clear shower wash . bedroom - thin pillow , uncomfortably soft bed , embarrassingly awful tea / coffee faciltie . good location central London attraction . 
 Oct 23 2007 	 pretty good London 	 admit ' high hope place turn pretty good . be couple minute walk Russell Square station handy subway line go check show west end . say , 's locate residential area not lot go immediate area ( bar lobby ) . need walk subway station will see shop , cafe , etc abundance . get somewhat quiet night feel safe . the room not huge London alright . value good considering would need pay another place close city center . room clean service fine . allow check 10 great . maybe go off - season pretty quiet even night . 
 Oct 22 2007 	 Basic Hotel Central 	 far London hotel go , bad . basic , breakfast include price free wireless internet lobby . central location UCL Bloomsbury , would recommend . sheet bed hole use two set get full coverage bed , andthere ubiquitous & quot ; remote control tv working & quot ; problem necessitate change battery . staff helpful , courteous efficient . not care location though , i'dsugg stay Amsterdam Hotel Earl 's Court - nicer touch room even room small . 
 Oct 6 2007 	 expect 	 know upon book Imperial consider discount hotel . draw book room conveneince nearby Tube station review clean room . room newly upgrade much large expect . view crap , work get we early . bathroom also large , two sink lot counter space . cold water not work properly shower ask maintenance assist . woman hotel come room assess situation feel problem casually mention we Americans always complain . laugh . maybe want stick around take scald hot shower room ? decline . fortunately , plumber arrive confirm cold water line block . newly finish construction easy get water line , plumber scrape grout around large tile panel get . shower fix make we happy . Buffet breakfast great food stretch , nice include cost . toast egg enough start day right . staff courteous helpful ( one minor exception list ) , get we ticket offer assistance . book hotel 's website also one dinner include cost stay . opt indian buffet nearby Royal hotel . chicken entree lovely , restaurant adequate wine selection . overall , hotel nice traveler budget understand basic subway transport not mind bit walk . 
 Oct 5 2007 	 disgrace - go Royal National 	 place pit ! poor service , dirty outdate small room , mold infest flea bag hotel . good thing Royal National far away able switch hotel . Royal National clean great service staff . plus , BAR ! ! ! would highly recommend Royal National anyone come USA . 
 Oct 4 2007 	 Great Place stay 	 friend & amp ; think hotel excellent . décor communal area hotel perfectly acceptable . make welcome reception arrive . like Night & amp ; Day bar downstair lucky weather ( warm & amp ; sunny ) , enjoy drink outside terrace lunchtime hit shop also end evening go cinema Leicester Square . room spacious refurbish . situate 6th floor front hotel overlook Russell Square . bathroom & amp ; toilet ( separate ) clean always good indicator . despite warm weekend , central heating still bedroom plenty warm enough night . warm night , sleep window slightly ajar quite noisy night , ' noise late - night reveller , general noise street ( guess London city never sleep ! ) . go back , may well ask room back hotel would doubt quieter – ' get lovely view ! breakfast next day beautiful restaurant , light , airy spacious . tea & amp ; coffee cup constantly refill wait staff choice breakfast brilliant , could ' go second third helping ' want . hotel ' location excellent . 5 min walk Russell Square underground station , mean stop away Oxford Street , Covent Garden Leicester Square . decide would definitely go back happy recommend people . bit concerned go review - end , absolutely need , could not ask well place stay money pay . 100 % satisfied customer ! 
 Sep 30 2007 	 Needing Revamp 	 stay hotel September 8 september 14 . room 's decor 70 's . room , , small - terrible - air conditioning . would OK could open window , window open 4 inch . understand secutity reason : could widely open window probably could thing jump - due desperation face 99 GBP pay room ! ! ! ! staff breakfast really good - strategy come back sleep , tired . the room 's key metal stick attach story tell grandson - take picture , case call liar . 
 Sep 30 2007 	 go somewhere elese 	 book six night , leave two ( would leave immediately commitment keep not time find another hotel ) . Highlight stay carry bag door . not bother complain anything clearly surly staff would not care . arrival not even pretense welcome . room look like cheap bedsitter hotel room , bathroom less basic ( window , fan , ventilation ) , one paper - thin medium size towel . ask receive thin face towel . room not safe take valuable item hotel safe - accessible 9:00 6:00 pm . put stuff 5 pm collect 9:00 next day . charge two day ... 's kind place . 
 Sep 29 2007 	 mediocre 	 Hotel okreception staff ok - poor , although check woman pleasant . Breakfast ok - poorsingle room reasonably clean tiny . Decor little tiredcentrally locate 
 Sep 27 2007 	 sleep Imperial 	 stay one night hotel , surprised small room ( even though said upgrade ! ) first impression room shabby . radiator permanently , room hot . room third floor , traffic light , vehicle siren regularly wake night ( windows single glaze , noise reduction ) . shower powerful , flimsy shower curtain , clung whilst shower . I stay one sister hotel early year ( think Russell ) - far superior Imperial . it be convenient Euston . room service prompt , pizza be not nice , beer warm . 
 Sep 27 2007 	 surprisingly Good Budget Hotel 	 ' ve get back two - day break London , say impressed Imperial Hotel . admit , book room read number negative review place . honestly say be worth every penny spend here . the hotel reminiscent 70 - far first impression go , one would think would classy hotel . however , feeling become almost non - existent soon step front door . even interior feel outdate , deny well presentable . check simple - tell front desk name , sign piece paper , give carbon copy use around hotel - namely pick room key gain access restaurant first floor . the bedroom presentable rest hotel , en suite bathroom , coffee / tea make facility , free trouser press could neaten pant night , flatscreen tv . first , think tv break , turn powered via switch next bed . tea making set lack milk go , buy . alone hardly detrimental overall quality room . my real complaint room shower . control lever bath tap , temperature control via tap . unfortunately , two option available - extremely hot , extremely cold . even whilst run hot cold tap , could pick one . rather risk burning , decide bath instead . my overall opinion ? 's surprisingly good hotel . 's Hotel Paradise , be enough serve one 's need budget . recommend stay least appreciate place . 
 Sep 25 2007 	 miserable dump 1970s 	 like hotel england 1970s . tired , horrible decor . small room , broken heating , window not shut , air - con , broken tv , internet access room , room key attach giant metal stick , staff interest customer service mostly speak english . facelift . absolute dump . stayed one night . never stay imperial group hotel . avoid avoid avoid . 
 Aug 17 2007 	 much less expect 	 stay Imperial Hotel July 2006 , 2 night . unfortunately , time London extremely hot ( 37 c ) room equip neither air condition ceiling fan . besides , could open window wide open atmosphere inside room like hell ! ! ! ! basically , room good condition , fairly clean decorate , though worth 140 euros/ night single room , maybe 70 euro would ok.the staff front desk particularly friendly astonished fact check , ask 1 pound , order staff keep luggage appropriate room . first time hotel charge thing like . course problem 1 pound policy hotel unacceptable someone pay 280 euro two night . the staff also breakfast room rude check whether entitled breakfast . thing everyone consider & quot ; thief & quot ; & quot ; cheater & quot ; like , prove client & quot ; fab ? ? ? & quot ; hotel . I would recommend hotel would definitely go back again . P.R . facade build far anything close imperial ! ! ! ! ! 
 Aug 2 2007 	 ok price 	 event book hotel we . locate quiet central area London , easy access tube bus , breakfast . normally hotel cost 100gbp per night double room . think htoel price pay much . hotel clean expect , since 3 - star hotel , expect well tv chanel clean bathroom . bathroom basic , tv chanel remote control . average hotel would say . 
 Jul 30 2007 	 brand loyalty 	 usually stay Bedford town – time opt Bedford ' big brother – imperial couple pound expensive bit comprehensive facility provision Bedford . location – five / ten minute walk Euston / couple minute Russell Square Tube & amp ; major bus route Waterloo . evening want make way Covent Garden 20 minute walk £ 5 taxi ride . good location . bus stop 20 yard entry archway . building – . would guess 1960 ' – actually quite impressive – arrive car / cab sweep inner courtyard & amp ; first blush posh budget hotel ever . feel fade later – certainly disappoint presentation . Reception & amp ; public area – smart – large reception area sofas – check porter issue key – almost ceremony ! reception lead bar open early hour . back reception come across 2nd reception President hotel . imperial four lift serve nine floor restaurant floor one . bedroom – Braise – non - renovated room step 1970 ' – single room long & amp ; narrow ' cabin ' feel . bedside switchgear control light / radio/ tv . renovate room – improvement would bonus . original room fine night complete empty working minibar . bathroom – bit small – clean . shower bath . food – breakfast rather ' school dinning room like ' restaurant attentive bow tie waiter food fine . staff – Excellent – believe pay twice even three time price Imperial & amp ; terrible customer care – imperial praise good customer service . – imperial £ 80 night ok couple night business – would go honeymoon . part wide imperial group hotel area – Bedford / President & amp ; Royal National . think Imperial represent excellent value & amp ; provide good service end market . Tip – . ask renovate room & amp ; would suggest high building & amp ; back avoid road noise . oh remember swimming stuff . 
 Jul 24 2007 	 good hotel 3 * London 	 stay 3 night end May 2007 . difficult find reasonably price 3 * hotel London acceptable . hotel good 3 * hotel . location excellent - near British Museum - convenient Tube . english breakfast buffet style choice cereal juice well . room average size . room full size tub toilet separate tub sink convenient 2 people staying room . also 2 good size closet tea / coffee make facility . internet available public lobby . the drawback air conditioning - something hard find London anyway - room noisy window open . suggestion request room back hotel , main street Russel Square . naturally , will not problem fall winter window not need open . all , would stay , need 3 * hotel . 
 Jul 10 2007 	 good price - performance ratio 	 stay single room 73 , - GBP per night , include VAT Continental / English breakfast . central location ( 15 minute walk covent garden , 3 minute walk british museum , bus stop front house , tube station 3 minute ) , area pleasant busy , room ( face Russell Square , nice view ) quiet unless window open ( air condition ) , room seem refurbish , refurbishment floor still underway ( noise day ) . thin wall ( neighbor ' activity bed quite entertaining ) . Breakfast ok . staff friendly . room small neat & amp ; clean , shower produce strange sort fine aerosol spray rather deliver decent water jet , take shower still possible . give convenient location general ( horrible ) London hotel price level would recommend hotel would choose . negative review site seem apply room refurbishment . 
 Jul 5 2007 	 great location ... would stay 	 imperial hotel late May . price , be pretty decent place stay . location central London within walk distance 2 tube stop perfect . almost walk distance Oxford street really enjoy walk . room much well expect base review . blonde wood furniture , clean room bathroom perfectly adequate . note lack airconditione like lot London hotel rough summer . breakfast adequate though day get boring . consider horrible exchange rate dollar , would probably stay . 
 Jun 14 2007 	 Give miss 	 first choice hotel , one want suggest one going stay one night business accept . plus side central within easy walk distance theatre , tube everywhere need . staff also courteous friendly . whilst room clean good view Russell Square ninth floor , smell musty damp cockroach room . make pleasant night 's sleeping wondering might brought friend along it . the room facility , ie toiletry , tea coffee basic would ok little visitor . Breakfast non - starter totally appetise not bother . needless say will not go back . 
 may 22 2007 	 Passable London budget hotel 	 hotel desperate need updating . exchange rate make room equivalent $ 200 usd , could bit update room clean budget property always case . bathroom need update clean water pressure super - hot . book double room give twin mean us 6 ft hang bed . comfortable way spend 5 night hotel book unable make change - offer make concession price . photo attach bed push together could least sprawl bit . the big draw back hotel equip internet room mean late night spend atrium ventilation whatsoever quite stuffy . by way , breakfast include price room not expect much . soft boil egg hard boil , toast like cardboard , fruit can orange grapefruit cereal obvioulsy awhile stale could . also tell ham like shoe leather . third day , go eat local shop . the big plus cut President Hotel property , one block Russell Square tube station . I not know would stay especially business trip location wise , great . 
 May 16 2007 	 good value great location 	 mother stay Imperial Hotel late Sept./ early Oct. 2006 . basically , consider pay , be little Ican say 's negative . room face Russell Square 2 floor hotel bar 's outdoor patio , noise problem onfri . Sat . night . not bother say anything good earplug not want go hassleof change room , hear other problem move high floor without problem . , decor wear condition carpeting hint makeover would not go amiss . , though , budget price hotel minor quibble . upside , staff polite helpful , room amenity clean , location fantastic . would definitely stay . 
 may 14 2007 	 good central location 	 stay Imperial one night find okay want .......... somewhere sleep . my friend stay 9th floor room clean well decorate . twin room tv , tea coffee make facility telephone . one plus room acceptable temperature boil hot hotel room . bathroom clean toiletry provide , shower awful though , little pressure get wet . staff friendly helpful breakfast set day . hotel well situate possible reach alot attraction foot . close museum British Museum 5 min away . also convienient we 10 minute walk Euston station . okay hotel , real complaint would go back , mainly due position hotel convenience . 
 May 6 2007 	 give miss 	 come back 2 night stay treat daughter 21st . lovely time location excellent , within walk distance theater short taxi tube ride big attraction . rate hotel though . real ' bare bone ' hotel everything do cheap . room 3rd floor although dirty wear grubby like something 70 's time warp , slide door hairy blanket bed . hospitality tray consist 70 's kettle grubby plastic bag teabag , coffee powder milk plastic spoon . even pay £ 10 deposit loan hairdryer . breakfast poor quality food lukewarm , 2nd morning pay breakfast Russell Square . fair , seem review room update top floor unlucky , whole place smell musty old . last year stay husband Russell Hotel next door infinitely well , can not remember expensive . book Superbreaks next time ill go back future Russell ! ....... 
 Apr 17 2007 	 well expect 	 book room 3 adult end 9th floor . room refurbish really clean ! remind hotel room Sweden - lot wooden detail room . door anyway change thick hear everthing go hotel corridor . 
 Mar 29 2007 	 average 	 stay imperial one night whilst work London weekend . first thought hotel outdate , reception staff reasonable porter collect ( ridiculously large key ) rude grumpy . I read review say room renovate , however , mine 8th floor shabby . toilet seperate bathroom feel like prison cell tap sink rusty old , although seem clean could age . hopefully room renovate shortly long disappointing . wall also thin keep awake early hour group people room next door , good work next day ! breakfast also disappointing , breakfast early food tepid . ' boilte ' egg even cook - egg white still clear run plate , yuk ! would not recommend hotel , get much well hotel money London . 
 Mar 27 2007 	 Great Value Money 	 return five - night stay Imperial Hotel London book British Airways website part air / hotel package . give prevail high room rate London generally , find Imperial Hotel offer above - average value budget - minded visitor . hotel conveniently locate two block Russell Square tube station Piccadilly line , two block British Museum . room large , twin room 9th floor perfectly adequate purpose -- clean , regularly maintain , quiet ; bonus , look onto Russell Square . one interesting quirk particular room separation toilet shower / washbasin situate across separated entry hallway -- not major inconvenience , take little getting use . least one floor ( 6th , believe ) refurbish ( 9th floor appreare undergone refurbishment distant past ) . imperial number comparatively spacious , speedy elevator -- work ! ! include price room buffet breakfast feature hot ( e.g. , scramble poach egg , bean , bacon , sausage , toast , etc . ) cold ( e.g. , cereal , fruit , juice ) food ( lunch meat cheese ) ; coffee tea serve refill attentive staff . find hotel staff reception desk , particularly folk manning & quot ; Porter & quot ; desk , serve concierge , courteous knowledgeable . course several year visit London , stay much expensive place fancy address ( stay bargain - price B & amp ; Bs , ) . imperial offer good combination benefit -- convenience , location , cleanliness , hospitality -- reasonable price pay . . . shall return next trip across pond . 
 Feb 27 2007 	 Thankyou Imperial ! 	 find Imperial Hotel desperate time , hotel overbooke kind enough find we another hotel - side London ! short time show see west end remember Imperial Hotels several hotel area give call . tell Imperial twin available , ask book girl say ' not worry ' ve plenty room free turn ' - quite worrying Saturday night choice ! not need worry , fact not know free room normally busy night pretty decent hotel ( £ 30 cheap original hotel ) . first impression not brilliant , hotel clean friendly shabby , 1970 decor . step lift 6th floor see strip wall need painting . 's negative end , turn freshly paint corridor v recently refurbish room ( 614 ) . decor absolutely beautiful v modern , have know different picture would take comparison . everything brand new tile fitment bathroom flat screen tv . spend money public area clearly finish bedroom lovely hotel . breakfast pretty good not great choice continental - 3 cereal orange grapefruit juice grapefruit segment ( yogurt , cheese pastry ) . good hot buffet though porridge , egg ( scramble , fried , poached , hard boil soft boil ) , bacon , sausage , tomato , bean haddock . coffee tea pour table efficient topping cup . I stay imperial chance please hotel would book could similar room . 
 Feb 25 2007 	 enjoy stay 	 husband spend two night Imperial find enjoyable , staff friendly breakfast good - everything could ask . bedroom top floor good view London Eye , clean looked recently refurbish , towel change daily courtesy tray central heating constantly . reasonably good hotel would go againbarbara keith - wigan lanc . 
 Dec 31 2006 	 basic good 	 room Imperial could bit update - separate toilet bathroom take bit getting use . corridor bite shabby not go London see corridor ! welcome friendly enough staff throughout stay efficient . breakfast ok - nothing write home - plentiful , bit lukewarm ! hotel excellent location travel main attraction , especially Russell Sq tube station right around corner . bus pass hotel regularly well , handy . the bar downstairs serve good value pub grub although menu limit first night struggle get seat place pack . good sign . in summary , imperial ideal choice traveller like day dwell surrounding much . 
