great 	 arrive early check staff kindly let we room early since travel early morning . Room nicely decorate bathroom small . main problem room bad draught come window cold . think double glazing would solve problem cold road noise keep we awake . area lovely much immediate area great choice entertainment . Taxis expensive take one west end cost we twenty five pound way . say enjoy stay need minor adjustment . 
 Apr 22 2009 	 central location 	 read review room small soon check get ask want upgrade £ 30 per night choose . room 414 pleasantly surprised room near small paris hotel room , wardrobe hang rail , bathroom small ok shower good . room much think perfect need moan window would open boiling air conditioning . hotel nice internet facility £ 6.50 minimum 90 minute . put £ 1 machine rather buy token reception £ 1 20 min . breakfast ok , would never pay £ 12.50 , appreciate complimentary paper though . hotel right hyde park day 1 walk hyde park oxford street 10 minute , hotel right next lancaster gate tube station buy oyster card £ 1.60 per journey . eat swan oub next door hotel , touristy pub nice food live music night . thoroughly enjoed london would recommend hotel get good deal , pay £ 200 two night include train fare edinburgh , bargain ! ! ! ! ! 
 Apr 18 2009 	 clean hotel great location helpful staff 	 stay twin room 8th floor teenage daughter , happy room . partial view Hyde Park . room comfortable decent size ironing board , hairdryer , safe , coffee / tea maker flat screen tv wall . plenty space two suitcase , carry - ons , place hang clothe . plenty space sit laptop . shower adequate size we bathroom look fairly new clean . bed clean comfortable small table phone . window slide shutter keep noise street . staff helpful . location great . short walk Queensway shop restaurant little long walk direction Marble Arch / Oxford Street shopping restaurant . would recommend hotel . 
 Apr 14 2009 	 great spot nice people room good - shower unuseable 	 central spot , good food , nice hotel room small ( clean ) however shower use dwarfes - bath 6 ft headroom protrude ceiling overhang . 6 ft 1 & quot ; fairly big 18inch gap get head shoulder ! ! ! ! 
 Apr 10 2009 	 decent hotel 	 bad review , expect much pleasantly surprised . close tube , across street park . hear one ! breakfast fine , nothing fancy , certainly good enough . room normal small european standard clean enough . think staff helpful . would stay , especially tend away hotel except sleep . 
 Apr 1 2009 	 nice hotel good location 	 hotel locate front hyde park . ' ve get room side hotel ' ve get great view . subway station close , metre . hotel staff everytime friendly good kid . good breakfast morning 7 euro . nice hotel ! ! 
 Mar 26 2009 	 would happy stay 	 dread hotel read reviews- however come personal recomendation . Got deal lastminute.com whcih make room cheaper- room , £ 100 bit steep . the foyer nice smart . able check - in 12:30 excellent . nice freshen room rather toilet ! room not huge way big enough two woman able share ! bed comfy , dark enough night shower clean powerful . wake 6:30am next door ironing . ther toiletry nice enough well . not eat hotel , prefer try different place London . overall , good stay nicwe hotel- provide get deal , would go back . location amazing- 10 - 15 minute walk Oxford Street 2 min tube . 
 Mar 23 2009 	 get pay . 	 first glance nice hotel good location . place room recently paint ( perhaps day ) become ill result . ask change room place & quot ; upgrade & quot ; room ground floor . upgrade opinion . bed clearly age towel clean stain . carpeting need replace well . noise ground floor loud , expect . manager nice enough , staff polite would expect UK standard . ask advice day trip concierge seem annoy uninterested never look eye . investigate . Breakfast overprice crowd . hotel staff even recommend visitor arrive breakfast eight - thirty could prevent overcrowding . suggest thus wait , annoyed timetable whilst holiday . 
 Mar 16 2009 	 good location nice average room 	 Hotel 2 min walk Lancaster Gate tube . nice small hotel average room , book viceroy room . friendly staff , thank Hafiz concierge , help tour entire stay . Traveller budget find hotel good yet clean , nice bed fresh towel . breakfast good eventhough dish everyday , olio restaurant average , nothing great worth try . would go back ' m budget holiday . 
 Mar 14 2009 	 convenient location tube 	 Hotel staff , particularly Front House Manager polite & amp ; helpful . we think pay upgrade viceroy room dissappointing . room allocate dark , plain & amp ; basic . immediately complain & amp ; manager show we 2 room choose . settle double room & amp ; offer complimentary Tea / coffee lounge . irritate maid knock door 8 am - ? full english Breakfast satisfactory chaotic . Frank - waiter lounge area , pleasant man . 
 Mar 8 2009 	 Great Location ! Hotel Average 	 Hotel - Corus Hyde Park ; good location , , ' great location ! Lancaster Gate Tube 5mins , Queensway Tube 10min walk . Oxford Circus 10min use toob ! Hyde Park , across Road . Diana Memorial playground Kensington Gdns , across road , 15min walk . lot jogger park , nice pleasant stroll . Hotel ok , , ' choose stay pay money . ok freebie , room ok , bit small , nothing special , particularly modern , nonetheless adequate , need sound proof tho , flat screen tv need channel ( 8 ) . din room adequate , communal / foyer / reception area adequate , even little bland . breakfast ok , particularly good value £ 12.95 plate full English £ 7.95 Petit Dejeneur ( not pay , include deal ) .reception staff fine , room ' ready 14:10 try check - in tho - ' good IMO . concierge helpful . leave bag arrive early , drop later go wander , London map happy point get place what s near vicinity too . queensway : road , 10min walk hotel , like real London , less touristic , plenty ethnic place eat , north african , middle - Eastern , italian , indian chinese restaurant , plus cafe 's , Pizza house , supermarket , chemist , bank , coffee shop , waffle house road Whitelys Shopping Mall cinema place eat drink ; ice - skate / Ten - Pin Bowling venue Queensway tube . overall like location hotel , be feel fit , easily walk Oxford St , virtually straight walk . would consider stay price right , amenity close well locate . ease access Central Line tube . great particularly outstanding hotel imo , be London go stick hotel much sleeping hour , make hotel adequate , cheap end market , no - frill , functional . nothing particularly dislike . location winner place . 
 Mar 1 2009 	 good location nice foyer small room 	 treat ( not usually stay Hotels - B & amp ; b ) . anyway day London want good location . get nice entrance foyer staff courteous although not lot they . my main gripe room tiny . book ' superior double ' apparently could not find anything superior . nicely present , clean quiet rather small side . double ( tell treat ) not think 2 people would faired well . 's good job not take cat room swing , particularly cramp bathroom . I spend money ' ve spend hotel stay want central . stay Hilton Gateshead week room experience much well this . I would stay could get good deal sure be worth money pay time - check good deal book 
 Mar 1 2009 	 Overpriced 	 Hotel great location - handy Lancaster Gate , Paddington Station Kensington Gardens . feel website mislead . promise superior double room separate work area space actually turn one small room ' ve ever stay locate Mews Block , i.e . ground floor level . apparently room much large standard hotel 's website mention nothing Mews Block ground floor ( elevated ground floor probably would describe still hear rubbish collect , car drive horse way Hyde Park . ) . one off - put factor dirty plate corridor - walk past half eat fish chip leave outside room next mine early evening late morning - nice . room clean . 
 Mar 1 2009 	 good location . modern room small ! 	 stay standard double room whilst refurbish recently taste , two major thing let - firstly double room 2 people bed wall - disappoint partner something expect modern double room . the bathroom tiny although clean fairly modern shower head bent wall stick shower poor design . otherwise , overall good . staff friendly enough fairly good value London . worth stay 
 Feb 23 2009 	 Corus Hotel Hyde Park 	 hotel occupy elegant building superb position -- close Hyde Park , Kensington Palace bus tube transport . the reception area public room smart staff really helpful friendly . breakfast pleasant well many London hotel oh dear room ! book standard double not expect luxury room narrow standard double bed push tight wall . access /out bed make even adventure limbo underneath thedresse table shelf butts right end bed . this room barely adequate single bed double ridiculous Reception staff inform standard double small request executive room -- - refreshingly honest good advice . 
 Feb 22 2009 	 pleasant convenient 	 husband stay Corus Hotel Hyde Park last week April , 2008 four night . hotel pleasant staff helpful . able schedule day trip part outside city concerge service Corus . negative aspect stay room ready arrive ( state check - in time ) return hotel find still ready . finally , third attempt , & quot ; upgrade & quot ; another room . elevator , realize floor previously assign construction . room small , characteristic hotel room residence ( term room size ) experience UK . , however , comfortable access everything need . hairdryer room , need bring one ( along dreaded converter ) . room clean comfortable . bathroom little cramp . functional , complaint . travel London , chance go experience hotel life , anyway , right ? purchase option include breakfast pleasantly surprised quality full English . get early every morning good sized breakfast leave various part city . would definitely recommend option , well worth quality convenience . hotel well locate - Lancaster Gate tube station around corner ( turn right come cross street hotel block right ) . addition , Hyde Park lovely walk across street - Embassy Row , home several beautiful residence nice stroll ( not take picture ! ) . also always taxis outside hotel , nothing else , doorman hire taxi . , not miss fish chip Swan pub next door Corus - start end trip . Young 's Ale not bad , either ! return London future , Corus top list place stay . 
 Feb 15 2009 	 pleasant long day sightseeing ... 	 stay Corus January - husband , teenage son enjoy hotel . full breakfast , rather continental , include rate- egg , bacon , toast , cheese , yogurt , fruit , coffee tea . early plan full day , enjoy leisurely breakfast almost empty dining room head day . the hotel extremely short walk Lancaster tube station ( maybe one block ) 5 10 min . walk Paddington station . find concierge helpful - spend good deal time help we map , look info internet we , etc . not leave we sure know . room tight , many hotel London issue . certainly room clean , quiet appreciate long day . eat time Swan Pub right next door love - friendly , warm place eat , dinner three $ 40 recent exchange rate . choose hotel want place far noise downtown London , yet convenient everything tube . also want breakfast include rate . , exactly want . would definitely go back . 
 Feb 2 2009 	 great location central London 	 stay Corus Hyde Park two different time , one group trip solo trip , time similarly positive experience . first time twin room , share another fellow group . room bit confine , enough room get around . room clean , bathroom functional particularly roomy , bed comfortable . second time , nice room , double bed , come spacious bathroom room general . bed comfortable . any hotel London go expensive , one world 's costly city . however , money , find Corus Hyde Park good value , relatively speak . lobby nice spacious , breakfast exactly consider great deal , price ask . nice bar lobby nice selection beer draft , concierge friendly knowledgeable far get around . great pub locate directly next door , Swan , great fish chip , huge assortment draft beer , upstairs fellow entertaining play piano evening . past Swan , historic spot London ( see plaque right side building ) , Lancaster Gate Tube station , locate Central Line Underground . hotel also locate near several city bus stop . right across Bayswater Road Hyde Park Serpentine , great early morning walk , girlfriend took enjoy . 15 minute walk Bayswater Road , towards West London , run Queensway , street full sort shop , restaurant , casino , ice skating rink , several department store , need pick last minute souvenir anywhere UK , Queensway spot , pretty good shopping bargain find . all , decent hotel , mistaken Ritz , treat well time location hard beat far locate within arm 's reach everything London . 
 Jan 26 2009 	 Pleasant stay Corus Hyde Park 	 not get around read Trip Advisor review ( mixed opinion ) book , need not worried . location fantastic - close tube , Hyde Park , restaurant . also close Paddington St -I drag suitcase short walk hotel arrive Heathrow Express train . stay single room know advance would not huge . please clean tidy room space desk , also fold - out ironing board . staff friendly , although service bit slow restaurant . continental breakfast disappointingly small ( cereal , slice cold meat cheese , bread small roll ) , case include room price . have happy stay . 
 Jan 24 2009 	 use well 	 ' ve write good review Corus past find clean , comfortable good service . break travel work return actually rather disappointed find Corus downgrade small way add mediocre stay . sha not ask stay . 
 Jan 22 2009 	 Dump 	 hotel stay hell kip last weekend . arrive late ( approx 10.45 ) Friday evening . book lastminute copy conf . email . accord reception booking . could not understand addition conf . mail email hotel telling would late check recieve reply telling could check anytime 2.30pm ? ! ? , book fresh , double room . send ghastly room ever see . double room 4 star hotel bed wall , fresh , strong scent nightclub ashtray . disgusting . double could well twin . bad news away girlfriend . Room Blue ! ? ? 1970 's chic , filthy carpet , filthy torn chair , 2 bed , one bedside lamp , 20 year old tv bad reception . try get lastminute sort problem Sat morning- tell mail cancellation notice ( sit unopened mailbox , arrive conf . mail ) . not want know . Customer Service . simply exist type company kind hotel exist unsuspecting visitor London not realise have . Met duty manager Sun checkout . could not unhelpful . problem stage book lastminute 170 euro total , want 230 . ' ve give card check waste breath make case , manager tell take lastminute , like lump . 
 Jan 22 2009 	 Wonderful Hotel 	 hotel wonderful . stay eight night enjoy every min . stay . room clean quiet nice bathroom . window look street Hyde Park . staff hotel friendly go way assist we . breakfast enjoyable morning table overlook Hyde Park . anyone visit great city world would enjoy stay hotel . 
 Jan 20 2009 	 bad staff ever . 	 far poor hotel ever stay , one reason - staff . daytime staff ok , although Giovanni Concierge rude seem deliberately unhelpful whatever time . night staff appeared not train either customer service , even plain polite . ask room service midnight like try get blood stone - night staff can not bother . although apparently possible get baguette night one wish , ask , one certainly get , reception staff reply , & quot ; understand . & quot ; many conversation reception staff plain , simple english - wife want night theatre come back , sandwich go bed . rung reception order 2 cheddar pickle sandwich , man 's reply & quot ; get cheddar . & quot ; order next thing menu - feta cheese . reply : & quot ; get feta & quot ; . , order next - ham pickle . & quot ; get ham pickle . & quot ; say - stock ? reply & quot ; understand . & quot ; decide less stress nothing , go bed . disturb imagine man downstairs , knock door . husband get , answer door , man come room , uninvited , ask go order . explain have not order anything , seem nothing downstairs anyway . & quot ; rang . must order something report . & quot ; report ? ask . & quot ; sandwich order ! & quot ; tell have not order anything point turn around said & quot ; do not understand & quot ; . ask leave room , point refuse nothing , stand . do not know wait tip ( ? ! ) basically usher room . disgust behaviour . go reception next morning speak Jackie , duty manager , . also rude , ignorant untrained night colleague . exact response account previous night & quot ; well do not like , check somewhere else ! problem way member staff treat , file complaint , hotel ! ! & quot ; Ridiculous ! definitely bad hotel ever stay , hardly sleep , someone work customer service 22 year , KNOW LOT staff fire sackable offence , maintain even basic level customer service manner . manager ( never available ask ) need haul coal . 
 Jan 14 2009 	 Noisey 	 second stay hotel probably last . first stay great , standard room . second stay upgrade duluxe room big mistake . the room ok bathroom need good clean modernisation . seem dirty tiny . the tv break turn set full volume ! good way find 10.30 night . pipe air lock night awful noise ( like ship horn ) every hour . location hotel great , close everything , Hyde Park , Oxford Street tube station sure without hassle experience . 
 Jan 6 2009 	 wonderful time Corus 	 great stay Corus hotel . quick easy check - in friendly staff , room comfortable clean definately big enough 3 adult . good location , across road Hyde Park , long walk Oxford Street underground min walk away . concierge friendly helpful . complaint , would definately stay . 
 Jan 4 2009 	 tiny tiny tiny 	 location perfect , two minute walk Lancaster Gate underground station , room , double bed , extremely small ! yes , clean bathroom brand new wall thin enough hear everything happen floor . long , long queue breakfast , something special though prepay skip several time , order lose day . 
 Dec 19 2008 	 mixed feeling 	 stay four night Corus Hotel September 08 . find location conventient , close Lancaster Gate tube station also walk distance ( 10 - 15mins ) Paddington catch Heathrow Express . find hotel room clean . use concierge service number time helpful quite friendly , although one time get man communicate well English . room small , London not spend lot time room , find ok . big issue space luggage travel around quite long time accumulate quite lot along way . stay include continental breakfast , find average . option breakfast . 
 Dec 15 2008 	 Fine Hotel Good Location 	 stay work November , stay another hotel ( Shaftesbury Premier Hotel Paddington London ) work October . would rate hotel much well Shaftesbury , room far spacious , light room bathroom actually bath . room clean , complaint there . moreover , enterance reception , restaurant bar excellent . staff friendly helpful . location perfect , next hide Park close underground . neighbourhood fine , altough place many bar / restaurant / nightlife , quiet neighbourhood . on last day , try continental breakfast first time . big disappointment ( although not know English Breakfast ) . little choose , definetely worth money . well get muffin sandwich café . basically , hotel deliver everything would expect class hotel . although cheap , nothing London . reasonable price London standard . therefore would certaintly recommend anybody else . 
 Dec 7 2008 	 tiny Room Rude Receptionist Paper Thin Walls 	 stay one night try book originally turn reception . the receptionist tell we arrival room leave , say see internet tell case . I make phone call hotel book room phone . return reception hey presto room available , internet people say & quot ; loads & quot ; availability ! ! book executive suite suppose 4 star hotel . room 2 star way executive suite . tiny , old run bathroom door half size normal door . bed old , mattress uncomfortable ever sleep break spring it . on minor point hotel website mention executive suite come LCD Television ( tiny old tv terrible reception remote ) , water ( 1 small bottle share 2 ) . bed cover scratchy old ( duvet ) wire hang wall ceiling low feel claustrophobic . I would never recommend hotel , money London ( pay £ 169 include breakfast ) plenty far superior hotel . well experience Hostels ! never stay ! ! ! ! 
 Nov 21 2008 	 great stay 	 stay 3 night , room clean , bit small room night , 8 month old baby we , staff excellent , friendly , hotel location great , tube 2 minute walk , swan pub next door nice friendly , walk hyde park harrod take 30 min , also walk oxford street take 30 min , breakfast fine , good selection , eat hotel 1 night great staff could not do enough , order room service dinner £ 5 tray charge , hotel hav ever , complaint , great value money london , 
 Nov 19 2008 	 distinctly average costly 	 boyfriend stay 2 night early Nov. allow check early front desk helpful , give we small cupboard 2 single bed ! I m glad go back reception change we , would room suitcase ! give double room , tell be not smoking room , book smoking room , tell would ok . do not know non - smoker would feel this . the room small room move around someone sit bed . bathroom , extra small , one able move toilet shower without close door . room eye level clean noticable place clean , close inspection dusty carpet could do hoover . blind held velcro , huge gap kind defeat purpose . decent storage space regard room size , tea / coffee facillitie room , iron board iron though.it advice order room service , long day bf order dinner around 9 pm . 2 steak chip really overprice , food definately sub - standard , restaurant , would complain , I m really complainer . trying leave fair review.the lobby nice staff . pay absolutely everything hotel , do not think great consider rating . allow leave bag free charge though concierge great late flight checking early like do . my advice happy room , ask move , do not order room service , do not let impressive lobby fool , fairly average . 
 Nov 17 2008 	 room tiny ! 	 hotel lovely , staff friendly helpful . breakfast good - although tell ' full english ' ' continental ' serve 2 separate room ! ! downside size bedroom bathroom - could not swing cat ! barely room one side bed walk bathroom without hit shelf tv . do not mind bedroom stay 1 night spotless clean bed comfortable . 5th floor wall bathroom slop [ attic like ] . impossible proper shower - shower curtain close , width 12 & quot ; shower .. shower head corner , overhead bath slop wall , could not actually stand , due shape bath . stay 1 night , would ask move different room . 
 Nov 15 2008 	 Fawlty Towers London ? 	 book & quot ; supposedly & quot ; 4 star hotel attend award ceremony Hilton Park Lane Hotel . all accommodation pay advance include full english breakfast . arrive ask credit card room need pay could it . we show paperwork regard booking still inform room pay . contact company organise booking order get sort out . the room twin , small room ever , bed wall , space would allow one person time . however clean , reasonably comfortable , basic , storage space except one small hanging rail . bathroom tiny anyone large stature would struggle use . arrival breakfast follow morning inform include booking , despite book arrangement . trip back room get paperwork sorted reception . food leave lot desire . egg like bullet , rest barely edible . would expect hotel standard . the good service receive Concierge , Jean , excellent could helpful , also extremely polite amenable . I would definitely recommend hotel anyone . 
 Nov 5 2008 	 think get one well room ...... 	 book one ' mystery ' hotel Lastminute , purely price . be pretty good location place look tatty around edge - fray carpet flake paint room . it be also one irritate place charge absolutely everything - WiFi ? extra . forgotten razor ? pay . breakfast room ? be fiver please .... actually get decent - sized room , woman reception complain loudly size ' cupboard ' sized room . see other clean morning teeny - even door small ! 
 Nov 3 2008 	 not eat Hotel go next door Swan Pub 	 Corus Hyde Park well situate Hyde Park food leave lot desire ! £ 22 tough sirloin steak even find hard swallow ! Swan Pub leave around corner wonderful steak £ 9 ! ! plus really friendly service matter time day went skip Corus breakfast well full english Breakfast Swan along dinner night . the £ 50 surcharge later checkout time think excessive overall Corus comfortable clean . sure would stay though . 
 oct 22 2008 	 Disappointed 	 fortunately stay someone else 's expense . expensive hotel expect average standard service - particular , 8 Freeview channel tv , fag burn bedside table film tv fail . staff fine , can not say room uncomfortable . lack edge expect £ 200 night . 
 Oct 21 2008 	 Convenient 	 have stay Cumberland Hotel last year near Marble Arch , year , need something little affordable last minute . Corus Hotel Hyde Park end decent option week stay . location great -- mention review , close Lancaster Gate tube stop . upon arrival , provide we upgrade & quot ; large room & quot ; still small american standard , sufficient London standard . not plan spend much time hotel room , fine need . a full hot english breakfast ( egg , sausage , bacon , fresh fruit , etc . ) include price , great bonus . ' m uncertain 2 breakfast offer -- one continental one full English . the location really can not beat . be look luxury , need clean , convenient , affordable safe place stay , Corus Hotel Hyde Park great choice . 
 Oct 16 2008 	 Convenient Location Nice Accomodations 	 stay Corus Hyde Park three night September 30 , 2008 October 3 , 2008 trip London celebrate first wedding anniversary . book British Airways Holidays get room bargain $ 426 total three night ( $ 142 per night ) .The lobby nice , use mirror wall make seem spacious . feature modern furnish two computer internet access ( think pay pound 15 minute ) .The hotel convenient Lancaster Gate tube station 10 minute walk Paddington . leave Lancaster Gate Tube station , turn right , cross street , take first right , & quot ; Swan & quot ; pub . & lt ; 5 min walk . the first day arrive wander Hyde Park find also 15 minute walk Knightsbridge . the hotel room small , expect London , modern , simplistic furnishing . appear renovate within past 5 year . room 6th floor view back alleyway . noise night , garbage bin back alley , expect city . everything need , include flat screen tv shower great water pressure . also tea tasty ginger biscuit room . rate include breakfast daily . nice spread , include juice , coffee , tea , cereal , croissant , roll , cheese , deli meat , granola , yogurt , etc ... drink bar one night bartender pleasant accommodate strange american mixed drink request . I would stay . nice hotel London , good bargain , nicer expect . 
 Oct 10 2008 	 Corus Hyde Park - quite seem 	 hear word " upgrade " staff , please ignore . stay Corus Hyde Park two day October pay employer . I book standard double room get hotel advise double standard room book would " upgrade " twin single room . hardly upgrade standard small room two single bed . fairness advise gesture good , wait , would " upgrade " superior double room day after . the day , put supposedly superior double room appear standard . there bottled water room water room next door occupy colleague . the Corus website state bedroom large flat screen tv ' room stay standard 19 " CRT TV ' sAvoid staying level one infact basement , avoid stay level two infact ground floor . floor poor view lot street noise . we order Mohitos bar bad Mohitos ever taste . hotel restaurant empty day & amp ; taste food realise . presentation food awful , chip seem cook old oil , malaysian food limited choice appetising . restaurant also cold incorporate conservatory structure . physical hotel , furniture , carpet etc visibly suffer wear & amp ; tear . I would stay hotel . positive thing abut Corus hotel close Lancaster Gate tube station , Hyde park across road decent pub next door . 
 Oct 10 2008 	 well 	 stay hotel one night attend function nearby exellent location specific event , would disappoint . the room smallest ever stay , small fact 2 people move around room carefully avoid bumping extra one would expect 4 star hotel , small scale . really feels cramp environement , unomfortable bed . shop around get decent sized room , otherwise prepare doll 's house experience 
 Oct 5 2008 	 Small Room - Excellent Location 	 stay two night October 2008 , short break London . choose Hotel mainly price – transpire good value . the location ideal – close Kensington Gardens Hyde Park Lancaster Gate Tube Station . easy walk across garden Albert Hall . side size room – small dark , face wall - twin room enough space bed one person bed wall . however , big problem lack storage space . small hanging rail shelf . drawer underwear item . , however , safe ( always useful ) . carpet could clean . the bathroom clean plenty towel ( replace daily ) small ( ) shelve personal toiletry . we pay extra breakfast ( £ 12.50 English ) . food freshly prepare plenty available . coffee average though – Decaff , instant . in summary convenient place stay London , long ' stay room long necessary . 
 Oct 4 2008 	 good value money Great Location 	 look reasonably price hotel near Hyde Park one night business trip . spend hour look small hotel £ 100 area ( website trip advisor ) conclude would get B & amp ; b resemble student accomodation . nothing wrong , want somewhere go guarantee comfort , cleanliness good service . opt Corus Hotel standard room £ 120 get exactly 'd ask . check staff friendly helpful , hotel lobby nicely design modern . room indeed small well design , clean comfortable bed . I arrive 8 pm tired want spend night watch tv , order room service . food good waiter bring room friendly helpful . I would also choose hotel location . morrne , get early run around Hyde Park half hour . great start day , park beautiful pack historical landmark . afterwards back room quick shower speedy checkout . in summary , small room whole experience perfectly form . haver large room high price be make long stay . will go back , next time need bolt hole London night . 
 Oct 1 2008 	 excellent location short space 	 hotel brilliant location , literally minute Lancaster Gate Tube station . exterior attractive reception seating area . room certainly small stay London , fine one two night stay . clean bed comfy nice duvet pillow . tea coffee provide change good size mug rather usual cup . shower powerful toiletry provide good . air conditioning efficient quiet . side drawer space limit hang space - wardrobe hanger rail . iron , iron board trouser press provide . the staff lovely ; polite , friendly helpful . would recommend hotel short stay base room stay - not know room spacious . get good deal London Town website - would thoroughly recommend . 
 Sep 18 2008 	 pleasant modern hotel good location 	 stay hotel one night attend event Hyde Park . Hyde Park road Oxford Street Paddington nearby . easily get service bus Victoria Coach Station hotel . hotel modern room recently renovate . one recently renovate one . clean modern LCD flat screen tv ( good reception ) , room usual Tea Coffee make facility ensuite bathroom shower complimentary toiletry also iron board , iron trouser press useful . also air conditioning . view room back hotel exciting room bathroom small double . considerably small travel lodge room example . however , spotlessly clean one night perfectly adequate price pay £ 95 . however , beware depend book room could cost considerably not think give size room would liked pay lot . worth shop around different website try get good price . book direct hotel end think price go big event nearby people start book room . cost room not include breakfast . full english breakfast additional £ 12.50 continental breakfast available slightly less . pub next door , Swan , not eat menu look good . would use hotel one night stay . 
 Sep 17 2008 	 Great Hotel location 	 stay ta Corus Hyde Park one night Sept 14th pleasantly surprised . location ideal , 2 block tube across Hyde Park . reception quite helpful direction information , room ( 1001 - standard , double bed w / bath ) small typical Europe . clean plenty air circulation ( thermostat ) room safe , etc . continental breakfast bread , cold cereal , yogurt , coffee / tea , juice .. basic . would recommend hotel look clean , centrally locate hotel . 
 Sep 13 2008 	 friendly welcoming 	 stay twin room one night September 2008 really enjoy stay . reception especially concierge extremely friendly helpful every request . room reasonable size , quiet , clean tidy ; bathroom quite compact though . bugbear hotel lack decaffinate tea coffee . ask send room replenish regular tea coffee instead . despite would definitely stay . location great , walk hotel Paddington Station Lancaster Gate tube station stone 's throw away . 
 Sep 4 2008 	 clean modern good deal money convenient location 	 book room Corus Hotel Hyde Park part large vacation package . several hotel choice available , consider price read previous Trip Advisor review , choose hotel . disappointed ! grant , room bite small side , true nearly anywhere London . big peeve room size seem like bed unnecessarily push one wall -- space center room , build - in nightstand prevent . regardless , 6 ' 4 & quot ; husband sleep well . bathroom also quite tiny , room enough one person . consider desk / dress table room , issue get ready morning . to address noise concern : 7th floor , face Lancaster Gate -- road , admittedly quiet two hotel sit corner . build - in shade open , yes , white road noise . remarkably mute closing shade . light block -- blessing curse since alarm clock room sunlight wake we up . the buffet breakfast decent . good ' ve , certainly enough give good start day . include stay , ' m sure much extra would pay it . staff friendly , concierge godsend . location great , -- minute two near tube station . grant , tourist attraction east hotel , make easy know direction head tube ! Hyde Park literally across street , Kensington Palace Gardens minute away . overall , pleased stay . would recommend traveler would stay , return London . 
 Aug 28 2008 	 love location 	 book cruise 2 night hotelthis place gotit nice place room clean location well easy get bus walk hyde pkwould stay againcarol 
 Aug 24 2008 	 good location decent room bit noisy ! 	 book hotel two night stay combine sightseeing mum , business meeting . reception welcoming let we check room hour early . concierge service advise we good way get cheap theatre ticket look luggage last day sightseeing . we stay twin room ground floor , small fine London standard . room clean efficient quiet air conditioning important summer ! bed comfy bathroom good size good shower bath . one significant problem room overlook lane side hotel delivery entrance locate . first morning wake around 6 am lorry unloading , move quickly go back sleep . second morning , however , delivery begin 6 am go till 9 am . delivery people quiet - shout slam door . not get sleep morning ! complain checking , receptionist say room double glaze , noise bother we ask move . point room single glaze hardly practical ask move since problem start 6 am ! not receive apology , receptionist point hotel delivery . also continue insist room double glaze , seem think fault since not ask move ! continental buffet breakfast twice , fine second day eat towards end service lot food disappear ( cold meat leave ) wait age get clean cup hot water tea . the location hotel excellent , moment away Lancaster Gate underground ( central ) across road Hyde Park . able get Westminster work around 20 minute rush hour . 
 Aug 16 2008 	 good location good foodexecutve room ok 	 stay 4 night book Executive suite . room size ok , bit disappointed , noise outside bad , one window tat could stay open unless push piece paper , make noise outside worse close one sleepless night . use fan instead make bearable aircon seem anything except hum . bed comfortable , bathroom adequate plenty towel hairdryer . small portable tv 6 channel . look two room , room 1025 superb , fit wardobe , shower cubicle seem newly decorate lot space quiet unfortunately double bed , room even small one . breakfast fine come early , bt late long queue . I pay english breakfast also choice contnental . ask room service 3 time daughter prefer lie - in , except one time , get even go ask , take bread roll end . good location , bus 94 go oxford street stop oposite hotel get feed tube . staff helpful . hotel clean may come back get discount full rate . 
 Aug 13 2008 	 good location near tube west End 	 hotel close west end within walk distance number great restaurant Bayswater / Queensway . check quick friendly room spotlessly clean . room compact bathroom tiny . however one night fine bed comfortable . bar area reception informal comfortable bar bistro price reasonable . breakfast ok fair selection dish . mine include price do not think worth £ 12 pay top room rate . 
 Aug 11 2008 	 Great Hotel 	 ' ve come back 2 night London stay Corus hotel . slight problem check ( say book 2 day later ) however show confirmation quickly sort find we 2 room next ( ask ) .I think room executive room spacious well decorate . review say room warm however air conditioning however never need put . reception bar area nice staff friendly . we full english Breakfast lovely - lot choice never wait minute table . the hotel locate Lancaster Gate tube station great get around . overall great stay would not hesitate go back . 
 Aug 5 2008 	 great location lovely decor great staff 	 ' my partner , 8 year old son , stay Corus Hyde Park hotel august 2008 . location perfect , Lancaster Gate station minute walk away Central Line , scenic Hyde Park across street . hotel ` interior top class really feel get money stay , would stay well - know chain hotel . stay family room see room outside panic slighty look bit like store cupboard , elevator either side , inside , worry disappear spacious decor modern , clean stylish . son ` bed separate , bathroom middle , feel bit like room , good . especially impressed & quot ; green & quot ; lighting bathroom ( dim version ) , wall mount tv , pretty decent hairdryer , kettle handy ironing board great . say hotel staff extremely pleasant also , without & quot ; put & quot ; . seem work happy environment , ` always get hotel . son especially love come back room night , clean , lay toy teddy bed . nice touch . full engish breakfast great , choice hot food , cereal etc . small wait one morning breakfast ( 15mins max ) hotel leave note room let we know particularly busy weekend , expect wait breakfast advise guest come bit early hurry . nice touch although hotel busy , never feel way . even though right beside lift , ` recall ever disturb , three night stay . overall hotel great feel , calm , spacious friendly . never usually write review length one show impress hotel ! 
 Aug 3 2008 	 small room 4 * 	 stay 1 night end July - glad 1 night room small stay ever ! window open onto inner courtyard air conditioning open . air come small gap window subject chatter clatter hotel worker drift we small hour . shame ... lobby reception area plus outside hotel lovely room really let . 
