beautiful 	 Hyatt amazing unobstructed view river 's beautiful night . location superb , situate two minute start Magnificent Mile shopping endure . however , be pretty much end . room average , poorly decorate , 4 - star quality . iPod functionality clock break , pen provide in - room , colleague stay floor constantly complain noise distraction prevent get good night 's rest . source noise include : - elevator door open / closing- Elevator gears- Street noise- water run pipesunfortunately , noise momentary persist entire night due placement room throughout week stay Hyatt . be almost like build design consideration sound - proofing ! also internet include price pay almost highway robbery ... not archaic still charge in - room internet nowadays ? say , hotel still decent stay . service acceptable friendly . location convenient , view amazing . would still recommend friend . find good deal place 's worth ; otherwise , would suggest look hotel area around Michigan Avenue . 
 nice business hotel well locate . 	 good positive surprise . hotel maybe 2 drawback : 1 - bad isolation hall , like every hotel USA , 2 - it might get crowded conference time , baby BIG ... otherwise amenity good , nice gym spa , shop basement staff impeccable usual Hyatt . good experience . 
 expect MUCH Hyatt 	 get room great rate , still expect standard four - to - five star Hyatt experience . yes , enjoy great location , facility twenty - five year old , facelift give , be still pretty shabby . here lowlight : Got room notice black stuff caulk around tub . ( see photo ) . mention front desk staffer , apologize profusely . say housekeeping manager would get right dinner . we get back dinner ... still black stuff tub . , next morning , bring attention new front desk staffer duty , , , apologize profusely . ( use almost identical wording first woman . script follow ... ) ask housekeeping team address breakfast , could clean tub rest stay . shockingly , change tub breakfast . go back counter , speak staffer early morning . ask would like move new room , , inconvenient , sound like good idea . credit , offer give we sort freebie trouble . since not need free internet food voucher , apparently nothing else could offer . ask could comp $ 48 parking bill ( yes , 's daily rate ! ) sorry , dice . , go look new room . unfortunately gunk tub ! ( see photo . ) 's foolishness ? make matter worse , return breakfast , find sheet actually multiple rip tear ! impossible miss , tell housekeeping staff either not care not give guidance , know , rip sheet not really enhance Hyatt brand . so , pull rip sheet bed go back front desk . tell desk agent would stay original room since new one not much well . ( think sarcasm lose . ) , profuse apology , housekeeping manager call , put good people , yadda yadda . we two night . interesting see play .... 
 Jul 29 2009 	 surprisingly impressed 	 room book discount web site good price . upon check - in , guest complain manager experience . think , go begin experience ? not . the service fine ; request additional coffee pack come quickly plentiful . room clean update . funny , update bath keep old tub tile surround . still clean . great location river close Millennium Park . 24hr . fitness center , use it . I would say good room ; corner room enjoy . least ? large ' dated ' lobby many guest . loud airport like . 
 Jul 27 2009 	 will not first choice future stay city 	 Hyatt Regency excellent location great view river city , enormous size hotel make lobby feel like airport terminal room soundproof make good night sleep quite difficult . 
 Jul 27 2009 	 Nightmare Wacker Dr 	 book 2 room hotel get good rate want seem nice hotel . full amount charge credit card 10 day prior arrival , althought indication reservation prepay rate . think call since vacation trip would pay anyway , call . Got check - in counter 9pm Tuesday couple minute & quot ; check something & quot ; , tell overbooke would send another hotel night give room follow day . course accept arrangement , specially since already charge room . half hour discussion , ask manager ( conveniently clerck tell manager ) would simply give room , relent ask would put night , tell would send Hyatt o'hare ? ? ? ? ? ? ? ? ? must crazy manager run place . vehemently oppsose tell would go anywhere give room already pay . 15 minute talk & quot ; back & quot ; decide give one room 2 full bed 4 adult . ' m 6 ' 2 & quot ; son 6 ' . not know expect we fit . finally arrange kid ( 18 ) sleep relative 's living room . also offer free internet stay ( never happen ) $ 75 credit towards food drink hotel ( never happen either ) . 7am next morning counter get 2 room tell someone check would let know ... ? ? ? ? take deep breath go regency club ( reserve regency club room ) coffee key card would allow . go another lady tell time would give 2 room east tower ( regency club ) , feel little well . change key get access regency club . get back hotel give we room one suite regular dbl bedroom . exagerate tell go least 20 different key card . would re - program would work , end send security see not know open door , guess . also could not , would let te room . finally get work one room ( never work , kid enter room ) would work regency club , cycle begin again . the room nothing special , even suite . big 's . plan vacation sleep late , forget . hallway loud will not go sleep early sleep late . hear absolutely everything happen hallway include housekeeping call 8am every single room privacy sign . slit door huge block sight light bother . go room lot thing not par think get picture . on checkout , charge $ 10 per night dbl bedroom . request fix ( original reservation ) come & quot ; back room & quot ; excuse suite upgrade , although know know case . already tired fighting , let go . one ever set foot think twice set foot Hyatt ever unless absolutely necessary . also plan find get Hyatt management let know . 
 Jul 24 2009 	 Upgrade Club Level 	 family ( 2 adult 2 teen ) stay Hyatt three night . great hotel purpose convenient Millennium Park , Navy Pier , Miracle Mile , even walk Aquarium , Planetarium Field Museum . eat great pizza restaurant ( Chicago deep dish ) call Giordanos four minute walk hotel . able get good deal ( find TravelZoo ) $ 169 night include room club level ( 3 floor reach special elevator key ) . provide we complimentary breakfast , snack drink throughout day , honor bar nice munching food ( pate , special cracker , fruit , antipasto , etc ) 5:30 8:30 dessert 8:30 9:30 . food top notch , include caper smoke salmon breakfast always fresh fruit , granola , etc . also free internet business room . another excellent perk room tremendous view Chicago River , Lake Michigan , Navy Pier . perfect view Navy Pier firework Wednesday night . rate also include parking ( normally $ 48 night ) . room two queen bed attractively furnish plenty room . bathroom large , seem bit outdated . hallway narrow need spruce , however , spend little time hallway . staff kind helpful . small issue honor bar ( put leftover pizza frig ) apparently charge weight , $ 58 bill shift thing around . person check gracious work problem we kind respectful manner . all hotel great place family stay Chicago . 
 Jul 23 2009 	 great quiet location downtown Chicago 	 get great deal Priceline room Hyatt . hotel nicely locate Downtown Chicago . 15 minute walk Navy pier 10 minute walk many great resturant . hotel offer luxerie carry bag park ramp 2 block away save money . hotel charge $ 48 overnight valet parking pay less $ 30 park 2 short block away . nice area park temporarily unload front hotel . room quiet comfortable . show minor wear small location price pay , thrilled . try service exercise room . 
 Jul 23 2009 	 oh dear .... work need 	 spend 5 night Hyatt Regency early July step daughter wedding . large event 25 room book party . room pretty good , newly refurbish king view lake , . sufficient storage space though parking lot wedding paraphernalia even huge amount storage space . like desk situate behind bed though . service generally appalling ! arrange party Big Bar whilst service okay event , plan usually battlefield negativity staff prepare spend enough ! charge everything unbelievable ! become convinced would charge breathing hard ! event conclude , staff return & quot ; not care & quot ; attitude . request late checkout convinced room key would refuse work standard checkout time sure enough , locked room still another 2 - 3hrs extended checkout time . communication front desk staff . elevator terrible morning . become acquaint every floor way lobby . be 30 - something floor become tedious quickly . take 10mins make lobby . the air conditioning room fail second night although report , nothing do stay . become nearly unbearable room especially night . suppose new & quot ; green & quot ; tech largely seem waste time . , several event take place even though quite high still noisy guest roam corridor early hour morning bawl cell phone . would praise fitness center , be modern , plenty equipment 's well service - part hotel ! thing go location , right heart downtown Chicago 's pretty hard beat , hotel seem believe 's Ritz however reality 's barely average convention hotel . someone need point ! miserable experience one will not repeat ! well hotel Chicago ! 
 Jul 22 2009 	 okay room Weird Layout 	 second stay Hyatt Regency . last time two queen bed room large . time one king size bed lead we weird room . room small television situate next right side bed leave side trouble see tv . next time will ask two queen bed space . also , wall thin , make difficult sleep neighbor party play music . check super fast . staff pleasant . remember check - in second floor . room spotless . bed comfortable sheet clean . bathroom spacious hand nice amenity . view not bad , even though not upgrade lake - view . 's also grocery store around corner hotel save cash dining hotel restaurant , bit pricey . 
 Jul 20 2009 	 Great Location Good Service Small Housekeeping Problems 	 move Hyatt last two day conference attend stay additional 4 day vacation . location south bank Chicago River two block east Michigan Avenue . four block loop easy walk distance Millennium Park north side downtown . one confusing thing area town street - level whole nother street level bus run go cross bridge north side not want walk Michigan . breakfast every morning Corner Bakery Michigan Wacker cheap hotel restaurant ( although hotel lobby counter service coffee bar want pastry coffee ) . not eat restaurant call room service . if already reservation , self - service check - in possible ( speed check - in process quite bit ) . unfortunately , can not specify additional criterion original reservation , end non - smoking room 12th floor face office building . view room expensive . the room decently appoint two full - size bed , little tight two people ( person sit desk , person can not get around bed ) . two dresser draw night stand drawer ( counter space take mini - fridge computer / keyboard ) . be kind person unpack dresser , will not lot drawer space . lot pillow ( include relatively thin bolster ) . wi - fi access available $ 13+/day ( completely outrageous ) . bathroom good - sized yes , public restroom toilet ( another reviewer note negative ... find little unusual ) . water pressure ok , great , shower curtain one bent rod , plenty room take shower . housekeeping generally good , little inconsistent . glass take replace twice ( call , housekeee bring replacement glass within 5 minute ) . day bed make slightly differently different number location pillow . first night , notice one headboard light not work . electrician room 30 minute call figured might circuit breaker . Light come 20 minute leave check breaker . , everything work expect . good AC.We several question concierge course stay . answer accurately various degree helpful attitude . ask bus question desk staff one night ( concierge close 5 ) , give wrong answer make extra walking next day . self - service checkout easy although system little pokey , still much quick wait line check person . altogether pleasant stay convenient location . able book room Priceline $ 62 / night price , excellent , excellent value . 
 Jul 20 2009 	 absolutely horrible 	 place busy chaotic . lengthy check - in ordeal , wait line 10 minute ride elevator 11th floor . open door find room already occupy . go back downstairs another lengthy ordeal wait another 10 minute take elevator new ( unoccupied ) room . air conditioning work . one vent blow air towards ceiling near window . hot humid room . Maintenance come say fix , . iron board break . parking cost $ 48 per day . redeem quality beastly place location . 
 Jul 16 2009 	 Disappointing 	 maybe get bad room hotel , stay awful . climate control terrible -- room constantly stuffy , humid warm , finally turn thermostat 66 , make cold least little less humid . coffee maker break first day ; ask new one , deliver one left , box , dresser . not open box , unpack , set , take away old one ( ) . Trash leave lie outside room 24 hour even though maid clean room meantime . not enough storage ( two small drawer ) . , room incredibly noisy -- water noise surround bathroom wake we every night . would not stay . 
 Jul 15 2009 	 not Bother 	 concierge helpful w/ ticket Shedd Aquarium sell adult tix , child 's . elevator rather slow firework 3rd open service elevator employee direct folk go , helpful . room ok toilet commercial look bathroom kind outdate . bed ok comfort ' ve well . I call security two night row b / c teen run , singing , yell etc . hall 3 . unacceptable type price hotel . location ok near many restaurant . helpful grocery store right outside hotel . husband could not get internet Touch unless go downstairs . 
 Jul 13 2009 	 Excellent Customer Service ! 	 recent trip Chicago leave purse cab route airport Hyatt Regency Hotel . truly grateful staff hotel help track bag . everyone , manager , customer service , security personnel truly beyond ever experienced hotel staff . treat personal problem top priority entire hotel staff . luckily , bag recover , always thankful help staff Hyatt Regency Chicago . 
 Jul 11 2009 	 Nice Convenient Hotel 	 can not comment rate since receive discount conference rate . hotel old well update . wall seem rather thin could hear people talk also speak rather loudly . not mind walk easily go Navy Pier reach lakefont . El Train 15 minute walk ( walk rather fast ) . room nice staff friendly . walk shop Michagan Avenue 10 - 15 minute . East Tower view east 30th floor . could see river lake . frustrating thing wireless internet . cost $ 13.95 per day seem cut frequently . would recommend hotel however . 
 Jul 8 2009 	 first visit Chicago friend hotel fine thank . 	 read less stellar review hoetl , bit concerned hotel . get great deal bidding Priceline , offset concern . wife go long weekend end June along another couple , good friend . hotel exceed expectation . arrive noon Friday , well 3:30 check - in time . ask river view floor . advise would wait hour get , happily agree . store luggage go lunch ' Briens Riverwalk Café river front . good burger beer . walk around , return Hyatt 4 , assign 2 room 25th floor wonderful view Chicago River . minor issue room lock - out room time early evening could hear neighbor talk . never hear night . king size bed comfortable . restaurant like : - ' Briens Riverwalk Café - great lunch fare beer Chicago River - Corner Bakery Cafe , block hotel Wacker Drive - eat breakfast 3 morning row . great reasonable food , good coffee friendly service . - La Luce - wonderful reasonable italian . referral not dissapoint . old building awasy downtown area , near United Center . try lasagna eggplant parmesian . - Catch Thirty - Five – 35 W Wacker Dr - Great seafood pretty restaurant . 
 Jul 5 2009 	 great stay 4th July weekend 	 live Chicago suburb . decide use Hyatt point stay downtown rather deal traffic firework taste Chicago crowd drive back . room 32nd floor , view river , lake , Navy Pier beautiful . bed comfortable , room clean , bathroom nice shower soak tub . hotel good location , walk lakefront , Pier , Melinium Park around 20 minute . riverfront path right across street , Michigan Ave block away . wall seem little thin , not really bother we . front desk staff great . would stay . 
 Jul 5 2009 	 Beautiful Hotel 	 exception billing issue fact hotel notorious overbooking , lovely stay . the hotel huge . two tower 2,000 room . approx . 40 people group spread amongst two tower . people group not see time check - out . buffet - style breakfast lovely restaurant first floor one tower , food excellent . hotel staff polite knowledgeable . stay room 3131 . room stunning , could see Lake Michigan window hallway . view room courtyard area . 
 Jul 5 2009 	 Club level great ! 	 recently stay Hyatt 2 child age 6 10 . upgrade Club level access Jr Suite . room great size . one King size bed couch side chair . 2 large flat screen tv 's mini fridge . fall shower ( amount walk soak tub would nice ) club level access nice - free internet connection , variety newspaper , nice continental breakfast nice evening reception . many day large lunch eat reception dinner ( veggie dip , bread , cheese , hummus , fruit ) . day nice cookie later night great pie cheesecake . we like location . central want . centrally locate Pier , Grant / Millinium Park , Miracle Mile . we arrrive hotel 12 noon try check in - our room not ready hotel take care luggage say would call we ready . ( really necessary taste Chicago ) . get back , room ready luggage bring up . this large hotel enjoy alot . club access ( clubhouse kid call ) nice , could meet traveller give nice area relax in . we would definitely go back Hyatt 
 Jul 4 2009 	 Hotel exceed expectation ! ! ! ! 	 husband & amp ; live Michigan want quick inexpensive get - away Chicago . start bid priceline 4 - star hotel room Grant park area $ 60 per night . surprise , priceline accept bid Hyatt Regency . Hyatt do good job keep hotel looking & quot ; modern & quot ; plenty dining option inside huge complex . room clean & amp ; bed comfortable . bath room show age hotel - clean . would give 5 overall rating , give we room 7th floor view office building . however consider pay 1/2 rack price - really can not complain . oh yeah , workout facility amazing 's walk distance hot spot . 
 Jul 1 2009 	 Excellent customer service 	 hotel full , staff appear busy assist group request . attend program customer service ; hyatt staff great example . business trip , location , conference room , restaurant , bar , etc . great . downside charge internet service access room , high parking cost , pool . 
 Jun 30 2009 	 satisfaction depend much pay 	 book hotel Hotwire pay $ 89 . $ 89 , great hotel . get hotel , look rate hotel 's website quote $ 289 . hotel worth $ 289 . number people complain location hotel . perfect Chicago location hotel . really depend want Chicago . hotel actually locate Magnificient Mile close south end , Wacker Dr hit Michigan . literally five minute walk hotel start Magnificient Mile . typical hotel Magnificient Mile area , convenient El . walk several block el station . important , stay Loop area . one close hotel Navy Pier within walk distance ( 10 minute ) unlike hotel locate north end Magnificient Mile area . advice figure want Chicago pick hotel . room typical chain hotel room . clean nothing special extremely large small . nice flat screen tv room . bathroom curve shower curtain bar nice water massage shower head . toilet could use update . look like toilet would find high school bathroom . one drawback park $ 48 per night , unless want find close garage , park , save buck . ultimately , get good deal place , enjoy stay . pay rack rate , hotel good enough justify high price , come away unsatisfie 
 Jun 30 2009 	 Idea Cust . service 	 Customer service make break hotel . many thing overlook staff helpful , courteous , knowledgeable . customer service bad , make everything else sour comparison . recent stay Hyatt Regency Chicago feel like disaster . first arrive , paperwork state pre - pay . card run 9 day prior stay , book , hotel conveniently forget check . assure we would double - bill demand give card . spend whole trip worry rather large charge ( stay many night ) would end charge twice card . also give discount valet AAA , hotel first know , idea , know , end charge we full rate . final straw camel 's back brand new car damage excess $ 1000 valet , back car right pole attempt cover . 
 Jun 29 2009 	 Convenience comfort -- price 	 would not stay employer not pay , great place stay . location ideal restaurant Hyatt ; hundred nearby eatery affordable price . room comfortable , lot extra pillow , desk comfy chair . staff friendly , prepared gratuity -- support staff seem expect . 
 Jun 24 2009 	 hotel nice 	 book hotel Hotwire ( $ 84 , $ 103 taxis fee ) . feel great deal money . lobby large , attractive , impressive . typically busy large popular big city hotel , lobby large still room move around . not use amenity like restaurant bar hotel usually not ' m stay place like downtown Chicago . check pleasant . ask room double bed give . problem room . large HDtv . decline room upgrade offer . room end hall building across room ( one might expect ) could also see Chicago River . people complain high price hotel restaurant , concession , bar , not think ever see hotel & quot ; cheap & quot ; restaurant , concession , bar . overprice convienence like anything else . one reason typically not use service , besides fact pretty boring sit hotel downtown Chicago . 
 Jun 24 2009 	 nice place discount rate . 	 stay anniversary amazing weekend . room bit date share wall elevator shaft , overall not bad . not really notice elevator much view look towards Hancock Building Chicago River across street make minor inconvenience . room clean , impressive . location fantastic 's couple block Michigan Ave . close Navy Pier . able shop enjoy walk around little trouble . parking expensive , downtown hotel , not surprise anybody . wireless internet also $ 13 24hrs , bit dissapointing . would recommend hotel people look stay downtown , would stay able get discount rate . use Priceline way would stay . really can not complain stay great weekend , ' m sure 4star hotel . 
 Jun 22 2009 	 oversold 	 note many other , hotel terrible problem overbooke . third time 4 year guarantee reservation honor hotel overbooke . several hotel employee multiple trip year acknowledge hotel problem overbooke . make thing bad , hotel aggressive enforcing one night penalty policy customer keep reservation . even oversell , would able honor reservation show . review note , number nice feature hotel , overshadow ridiculous amount overbooking , level unethical business practice . meeting PLANNERS beware : MEMBERS GROUP disappoint . hotel bad overbooking conventions.if planning arrive hotel late , warn likelihood deny room high . check ahead time protect . 
 Jun 21 2009 	 perfect hotel memorable trip grandchild 	 travel Chicago train two grandson age 4 7 three day stay city . somewhat skeptical Hyatt Regency reservation reading reviews Trip Advisor . please enter hotel meet friendly employee door , front desk , throughout hotel . fortunate book room Travelzoo offering upgrade Regency Club locate floor 32 - 35 West Tower . room 35th floor Lake view grandson could see firework Navy Pier . club room also locate floor offer complimentary beverage , snack , breakfast , food , dessert ... something day long . big hit grandson definitely plus food budget . people club accomodate friendly child . also offer free internet service club area . check , boy ask could return someday ... would happy would always want Regency Club Level conveniently locate hotel . 
 Jun 17 2009 	 Ridiculous Fees Great Location somewhat date 	 $ 13.95 high speed internet hotel day age absolutely absurd . add top $ 2.95 small bottle water main dining area , high food price , & quot ; value & quot ; hotel really get diminish . book $ 89 / night hotwire , would stay . people service absolutely top notch , huge convention style hotel since 80 's starting show age . get great rate like , worth , look $ 159 + per night , would definitely look somewhere else . top , room ( 3152 ) next service elevator , could hear NIGHT . sound like someone roll metal cart back forth right behind headboard bed ..... could not sleep . 
 Jun 17 2009 	 large impressive hotel incredible view room ! 	 stay hotel December leisure trip . hotel contemporary , public area area expansive , almost get lose ! room beautiful , contemporary style , incredible view look toward lake Michigan . service excellent , staff always say hi ask anything need . pay $ 89 discount website , greaat deal fro Chicago location hotel ammenitie ! would deffinetly stay ! 
 Jun 12 2009 	 great stay wonderful ! 	 wife stay hotel end May , 2009 . came weekend function extend trip take city . get deal hotel TravelZoos . $ 249 / night stay $ 99 / night plus get full buffet breakfast . the room wonderful . extremely large King size bed expansive sitting area . use small hotel little room move . bed extremely comfortable lot pillow . wear damage room except sink tap drip bit ( poor tap ) . could upgrade river view $ 20 / night choose . enjoy room . 22nd floor look south . the buffet breakfast great . lot choose fresh make order egg , non stop coffee juice server eager please . great breakfast include night stay . might bit dear pay $ 22 / person . nice sit relax good breakfast , coffee newspaper figure catch morning meal . concierge desk helpful suggesting place eat , always informative ready provide map , direction , multiple suggestion even make reservation . card include admit without pay cover charge jazz club . location great . block El transportation easy walk distance park right river . if Chicago , would hesitate stay again . a swimming pool would nice miss . 
 Jun 11 2009 	 Shabby 	 wife stay one night celebrate anniversary . staff , friendly courteous . give we quiet corner room view mention reason trip . room clean , good deal price ( name price Priceline ) . location excellent , close place eat , short walk el train , short drive museum campus . negative think additional fee parking ( $ 48 ) , average Chicago , fact not free breakfast morning . make pleasant weekend trip big city . 
 Jun 11 2009 	 stay get good rate 	 stay Hyatt 5 day early June . hotel really big – two large tower . overall , good ' say 4 - star ( like Hotwire say ) . get good price happy , thing ' thrilled . wall seem thin ' help young family beside we cry child . internet expensive ( $ 14 per day ) , turn check personal email . not pool , really disappointing . find clean staff front desk really pleasant . ' single person hotel ask ' answer question . yes , ' recommend hotel get less $ 100 per night . 
 Jun 11 2009 	 price 	 eat place price .room airconditioner work even service try fix . location good .parking charge high also internet pricey . staff friendly helpful . little space clothe store two drawer put clothe away 
 Jun 9 2009 	 good get great price . 	 get hotel $ 60 night priceline . mind , pretty good . ask view check tell we would cost extra $ 20 night , say thank . ask minded handicap room get view accept . great view ! hotel location . excellent . the room seem pretty standard upon inspection . big flat screen tv not hd channel . Linens Ok . Bathroom , great . yes , granite tile , grout around tub shower sort gross . bathroom ventilation fan , ceiling tile stain they . the room satisfactory price , would severely disappointed pay $ 189 night Hyatt 's price . 
 Jun 7 2009 	 Typical Hyatt ... surprise . 	 conference delight Hyatt facility . one problem staff could direct we location conference , due fact receive next day schedule ( need set - up conference start 0630 next morning ) ... day age , something pretty easy resolve .... especially hotel specialize conference . othe rthan ( mild inconvenience ) stay great . 
 Jun 7 2009 	 great location 	 hotel short distance Union Station right river . get great deal hotwire pleased value . simple quick check noon give clean spacious room . large screen hd tv nice bonus . 
 Jun 5 2009 	 impressed 	 visit Chicago May 2009 stay hotel night . expect great service , excellent maintenance , comfort hotel calibre find room service okay . order breakfast hotel price worth . buffet breakfast outside hotel give we extensive menu half price . notice change bedsheet first night ... second night make we apprehensive whether would remain night . friend surprised use plastic bag either washroom waste basket one room ... simply unhygienic . room comfortable tv issue . thermostat also efficient keep make cool . washroom need upgrading mirror permanent stain . could also hear people walk thru hall make room feel less private . convention go hotel well overtly crowd noisy , whether downstair lobby inside restaurant . always long line - up everything . discount getting , would stay . plus side , excellent view Lake Michigan window hotel area provide . place expensive service get internet price also high ( ? 28 think vs. boe $ 6 ) .A tip local attraction : although advise use local transportation sightseeing get airport , bus service staff good one would expect tourist city . use cab service nearby area turn much less painful . make sure research regard public transportation hand . hotel far everything prepare walk lot location . 
 May 31 2009 	 nice clean convenient 	 huge , busy downtown hotel hopping place . clean , double bed room . rather standard , problem . everything good working order . bathroom especially pretty . walk Museum , Mag Mile , far . buffet brunch fabulous . upstairs bar appear fun happen spot . staff hotel professional . would not hesitate stay . 
 May 29 2009 	 Great Location Friendly Service spacious room 	 Great Location - walk distance : Magnificent Mile , Millennium Park , Art Institute , State Street store . friendly staff - get hotel , readily direct reception area check - in . check - in breeze . our room spacious clean . 
 may 26 2009 	 helpful staff decent sized room view ? 	 Came conference stay couple extra night fun Windy City . Conference Hyatt consider stay elsewhere fun part , decide would much hassle . glad not . room good size seating area , desk area , large ( 40 & quot ; ) flat screen . hotel always hop ... 24 hour coffee / snack stand downstairs late night munchie . make sure ask room main building , West Tower , though . 
 May 24 2009 	 great Stay Thank Travelzoo 	 start , would like put disclaimer pay $ 99 / night special Travelzoo include breakfast voucher wife , lot opinion base that . we arrive Tuesday afternoon around 2:30 check quickly . first impression find hotel huge , pretty empty . like atrium design waterfall garden . room good size . king size bed ample room stretch . even fridge could use store water beer . we ask concierge assistance get ticket ' the Blue Man Group ' , end find we 50 % ticket hot Tix , great score . general , helpful . my one negative comment would Housekeeping . one day clean room , even though clearly ' Clean Room ' sign door . however , manageable get couple bath towel . call Housekeeping state would send . dinner reservation little urgency obtain towel . end call 3 time wait 50 minute finally arrive . not end world , put awhile . overall , love location hotel friendliness staff encounter . breakfast restaurant 3 4 day find good . price pay absolute steal deal . pay twice much would still say 's great hotel definitely recommend anyone . pay 3x much , would say may little pricey . 
 may 22 2009 	 Overpriced airport like hotel 	 stunned hotel rate four star Trip Advisor . simply hotel charge arm leg room make four star . stay two night , decision travel . start , spend 45 minute lobby wait check . lobby expansive atrium remind airport ticketing hall . guest corral roped line check one 3 open station 20 desk . room loud pack people - good way start & quot ; relaxing & quot ; trip . we stay west tower . complain room , also not anything great say . size one would expect Chicago hotel , see well quality furniture material HI Express . price much well city . I issue stay leave . call ahead car ( park valet ) bring around front . tell would 20 minute . fine , understand lot people hotel lot car move . however , go downstairs 20 minute later find car bit miff . ask valet come say yes , behind . wait another 20 minute ask record car request . manage get car 15 minute later - hour initially call . I think valet service speak lack staff enormous hotel ( big Chicago ) . look hotel feel like herd cattle - . want relax trip would suggest look elsewhere . probably somewhere small . 
 may 21 2009 	 great stay 	 husband go Chicago meeting company . hyatt great wonderful staff . enjoy trip would go back . crazy view airport . room end disturb guest hall . hostess Regency Club fantastic . wish indoor pool . 
 May 21 2009 	 Soulless busy hotel accceptable - 1979 	 conference , work pay bill . yet another soulless , fray large american city - centre hotel . room comfortable enough usual problem , namely long queue front desk , charming often clueless staff , annoying , sprawl layout mean forget something room pop back get major chore . gym , miserable affair , far room might well another state , one lunchtime take half hour get table food ( even though plenty free one available ) . say , location pretty good , Stetson 's Restaurant actually pretty good room rate quite reasonable . one try really hard . 
 may 21 2009 	 can not complain can not write home either 	 pro : service amazing ! travel colleague check different time , manage get we room fairly close together . location great , close everything need . con : room nothing special . clean room spacious , fairly standard . if not book Priceline get fantastic rate , think would disappoint , give rate pay , happy . 
 May 19 2009 	 Guest service expectation 	 Hotel 's staff friendly . iron room work upon multiple request staff front desk replace eventually morning call guest service take care . disappointed quality service hotel class reputation . Guest service even offer compensate inconvenience cause even follow actually cause delay replace iron ( apologize begin inconvenience say would try find cause delay ) . overall satisfied happy stay . 
 may 16 2009 	 good location bad quality room 	 stay Hyatt Regency Mother 's day weekend family . 5 room room smell like smoke , room clean . bed horrible , mattress probably old . ask king size bed surprise twin bed room . suppose non smoking smell second hand smoke room 's convert . not recommend stay west wing . 
 May 11 2009 	 great Enormous Hotel 	 stay Hyatt Regency Chicago hotel May 2009 . read hundred review site ' scared ' would find . hotel , people love people hate . conference work pay full bill . first , hotel enormous . two big tower massive atrium lobby . room completely remove lobby , noise bedroom atrium . check - in , wait 2 people ahead complete check - in . ( Approx 3 minute ) . 5th floor room , never experience long elevator ride . room one one right elevator lobby , dead silent . room great , big tv , soft bed , nice desk / workspace area . real complaint 1 ) bathroom light . ( dark , 1 weak flourescent bulb . ) 2 ) thin wall ( ' ve stay lot hotel work , one odd , could hear conversation .... sound , yep , one , ... clearly . usually make mumble , etc . ... one could hear full sentence normal volume . odd ! say , love hotel especially location . be close everything . would stay heartbeat ! ! ! ! 
 May 9 2009 	 whack hotel Wacker Drive 	 pro : + good location -- close major site , transit , shopping , restaurant , etc.+ Nice staff -- nice , although & quot ; job & quot ; not really getting do ( see ) con : - dirty room -- standard cleanliness experience low : random hair bunche bathroom floor corner , spot stain wall , mark kind pillow , etc . - disgust stuff -- baby blanket provide crib smell urine . clear launder since last child use urinate . baby crib sheet also smell urine , get replacement . disinfect urine - stain baby crib mattress ourselves.- hot water room -- complain . nice , helpful guy & quot ; engineering ' came fix .... night . next morning hot water . run water 15 minute hot water come through.- mini - fridge not work -- nice enough give complimentary mini - fridge since baby . unfortunately not cool well ; probably low 50f , not good enough store milk . ask replacement mini - fridge not let take away first -- base experience thus far hotel -- doubt second one would work . course , second one not work . good thing keep semi - working first one.- Dilapidated facility room -- regard sorry state hotel 's facility show reviewer ' photo , experience . not lot care hotel , really show . hotel aware problem -- front desk field complaint . however , never anything compensate . say would ' take care right away ' attempt ' fix ' issue not work -- replace one break fridge another break fridge not helpful . neither fix hot water one night . not understand Hyatt would allow brand associate hotel . reposition brand 2 - star class ? get room bid $ 57 / night well - know bidding site , issue would not consider much & quot ; deal & quot ; . afford stay another hotel , would strongly recommend . would not even stay attend conference hotel . swissotel connect underground passageway ; Hotel Monaco Fairmont close . many hotel within walk distance would better place stay . will not bid 4 * hotel Loop area bidding site , give experience . 's worth risk get hotel . 
 May 7 2009 	 not want leave 	 Stayed Junior Suite beautiful spacious . large flat screen tv ever see hotel ( great excuse catch movie ) breakfast buffet great serve hotel huge atrium nice . service top notch . stay low floor East tower great wait elevator always empty . shed aquarium complete waste time money field musium amazing . Chicago remain tie London favourite city . 
 May 4 2009 	 complaint ! 	 good location , clean , friendly helpful staff . when boyfriend first arrive hotel , size hotel lobby crowd seem bit overwhelming . however , quickly figure need go , check use automatic machine ( check staff also ) room within minute . book priceline manage get $ 65 night room ! get special view standard room , room lack wi - fi , think fantastic deal give location reputation Hyatt . p.s . stay hotel , park Millenium Park garage $ 14 per 12 hour period ( MUCH cheap Hyatt charge ) 
 May 4 2009 	 meet many need 	 stay hotel host hotel meeting . hotel large usual chic Hyatt look . arrive mid - morning pleased room ready regular check - in time . many floor hotel , take get floor people 's stop elevator . inside room pretty spacious sleekly decorate . desk space nice , tv large usual . hotel conducive fitness . lot walkable place block away hotel , gym awesome build - in tv screen cardio equipment . perhaps good thing , though , Lakeshore Path 's block away hotel . 18 mile beautiful scenery , get detailed map concierge direction get path . other say , pay internet access , huge hassle , station print boarding pass , helpful . line speak someone concierge desk get long , pretty knowledgeable stuff . use kiosk lobby checkout , kiosk computer rather slow , not think necessarily fast check lobby staff . aside internet issue , pleased quality hotel would stay another conference . 
