3 	 stay wedding anniversarya great hotel .... good bedroom ... great fym /pool ... also thy spa ... spa treatment .... lift ok ....... prob ........ nice walk primrose hill regent park canal ... nice park area kid .... playground stuff ..... nice clean ....... fresh towel everyday .... staff good friendly ..... defo stay 10/10 ..... 
 Apr 10 2009 	 Great Hotel good location car traveller 	 check terrible hotel nowhere stay London . client mention hotel recently renovate . quite desperate experience previous hotel joy find Marriott Hotel standard . excellent staff , room , car park nice dining experience . room quite large London - flat tv screen order facility fine . hotel cater family business lovely ambiance . 
 Apr 9 2009 	 bit pricey 	 nice enough , bit bland . great breakfast , pricey bar , comfy bed . would pay price pocket - ! 
 Apr 2 2009 	 Great Hotel ! 	 stay 21st March 1 night . be family 2 adult 3 child give room 2 double bed rollaway . inform room would extremely cramp happy not want pay 2 room . room lot big expected room walk around bed . arrive hotel morning want spend day London tell room would ready 12 pm onwards . staff extremely helpful , room excellent breakfast usual Marriott standard ( love Marriott breakfast ! ) . excellent location 5 minute walk near tube Swiss Cottage Jubilee Line . first time child London love whole experience ask go back stay hotel . fantastic night sleep . marriott bed comfortable bed hotel ' ve ever stay , back problem manage great night sleep . excellent value money go cost lot stay Travelodge 's 5 we . definitely stay . 
 Mar 29 2009 	 ok -- bad great 	 recently stay hotel three night . far perfect , terrible either . thing get wrong foot ask direction walk nearby restaurant , send wrong way ( provide map , confuse thing – ' dummy - proof something basic ? ? ? ) . end take cab , ' really 5 minute walk . room nice , though face fairly major street , sure ask quiet room sort thing bother . ' screwy lighting system , whereby ' turn desk light work unless light front door also turn ( assume desk light break ) . switch bathroom light light front door right next , constantly turn wrong light ( problem people sleep room ) .I please find american power outlet room , alas , ' work . wire Internet connection ' work either . eventually get fix – give wrong number technical service , charge – ask front desk remove internet access charge ( steep 15 pound ) ( though request initially meet rather surly response ) gym quite nice , lot equipment . pool nice , though ' really lap swimming one end half meter deep . odd . great chef ' salad hotel one night . breakfast ok – runny egg artery - clogging sausage bacon , fresh fruit also available . Checkout noon , learn , key disabled exactly noon ( lock 12:01 p.m. ) . give replacement , one ' work . return lobby second time , get concierge open door . never hear policy use . location nothing special , though ' short walk Swiss Cottage tube . also walk restaurant Primrose Hill . ' little beat path , central London still easily accessible . stay hotel friend live nearby , rate quite low relative hotel London . staff friendly , ' sure ' stay , unless need vicinity . ' typical Marriott , say little - to - no charm . 
 Mar 24 2009 	 FANTASTIC 	 must lucky reading reveiw , boyfriend arrive 10 am catch easy bus service finchley road walk 12minutes hotel . inform early check , entrance hall lovely staff although seem different country / background good English , man delt tell we come back hour would see could do- offer king smoke / non smoking . choose non - smokingwent away explore area , breakfast weatherspoon return different set receptionist staff say can not promise allocate room check 3 pm ! well get slightly upset decide go london town come back , leave forgot something bag place keep . go back get something friendly receptionist back speak pointin towards .. came run along key say sorry problem , boyfriend go . room 532brilliant ! see photossooo soo clean , massive king size bed duck / goose feather quilt / mattress topper pillow . shower okay , hot water powerful enough , compliementary toiletriesEVERYDAY ( 3 ) towel cheange bed make . room fine travel explore london , gettin tube swiss cottage jubilee alright ! will not couple months/ year plan engineering work take place , bus round corner prob do not take longday 2 go swim night , swimming pool be not great , swallow slope can not really swim far , jaquzzi sauna break something . never eat hotel.had couple drink thought2 guiness cost boyfriend £ 9 get cocktail forgot get charge tripple madoori lemonade 2.50 ... think like ? balcony door shut build work go around hotel ? do not really see aircon wouls sufficent . emm .. king henry road side quite loud manage sleep .. expect London anyway BIG CITY be go loud .. 
 Feb 26 2009 	 erratic housekeeping pokey ill equip room expensive breakfast 	 enforce , lengthy stay hotel , local we , recent building work . need ask quiet room King Henry 's Road side . housekeep erratic - day towel , other loo paper , towel robe change request disappear completely . breakfast hugely expensive good , instant coffee serve inexcusable . restaurant cold uninviting . staff friendly willing mainly incompetent unable sort many problem encounter . hotel recently refurbish mini - bar not work make enquiry , tell mini - bar not work . offer fridge small room , no - where site . leisure centre refurbishment swimming pool close . shop lobby - use . high speed internet available hugely expensive parking . hotel fine night two long book , try get rate include sub - standard breakfast . 
 Jan 25 2009 	 great service friendly staff good round experience 	 recently stay London Marriot Hotel Regents Park overnight . hotel well locate west end welcome step entrance . staff friendly highly professional room well lay luxurious . bar well stock food ( breakfast ) provide many option cater taste preference . would highly recommend stay hotel . fuss welcoming feel excellent service accomodation . 
 Jan 23 2009 	 Staff Helpful Management Lacking London Marriott 	 husband Jerry & amp ; choose Regents Park London Marriott 9 night stay close proximity inner core London rate little reasonable week Christmas New Years . staff helpful , several time unable operate technology hotel . example , clock TV 10 min . one know fix 4 day . clock TV relate pay movie come , miss first 10 min movie . pay movie limited local tv limited . staff forgot roll pay movie one day next manager say & quot ; learn curve & quot ; . mini bar never restock check find suppose call request mini bar refill . whenever call housekeeping , speak front desk front desk would call housekeeping request would get confused . housekeep consistent supply variety amount towel toilitrie room . room service always dependable food good ; service charge always include . hotel full family holiday . door slam noise , hotel usually would quiet 11:00 p.m . note : also white noise machine run full blast help ! experience 5 min . wait elevator routinely , try stair , unable access lobby stair little scarry . happen fire ? hotel 10 min walk Primrose Hill ( south hotel ) Primrose Hill run Regents Park nice walk even cold weather . Zoo 20 min walk hotel , head south . Underground Line Jubilee work first 3 4 day trip , inconvenient . Jubilee access 5 7 min walk hotel head north . take bus first 3 day bus crowd . taxi ride hotel Westminster Abbey $ 24.00 american dollar non holiday rate Taxi ride holiday time half . thai restaurant near bus stop near hotel good food . summary , good time hotel generally comfortable , management could well job ! lack good management . 
 Jan 17 2009 	 1 good ' ve stay ! 	 book trip show stay part theatre break choose hotel brilliant . we arrive 10.00am expect get room leave luggage surprised pleased get show room straight away . ( checkin 3 pm ) receptionist friendly helpful.the room really good . massive bed plently pillow choose . comfy . room good size spotless . bathroom also spotless plently towel . breakfast good also . plently hose fill we whole day . every member staff speak helpful always friendly . not know people problem lift . never wait . always come striaght away . I say , stay quite hotel London year , really good . can not understand people comment quite fussy ! ! ! 
 Jan 2 2009 	 poor service 	 okay , travel lot . live London friend decide book hotel 15 minute ride house . hotel great , north - central location , kilometer Regents Park , 10 minute walk Swiss Cottage tube Jubilee Line get westminster station fifteen minute . great value London hotel . end . book executive room one night new year 's eve stay room big , extra roll away bed room get , deliver us - set , plunk front door . bed bouncy impossible get comfortable . parking - even london standard outrageous 25 pound . hotel staff , speak well arabic English ( ! ) tell we hotel validate parking . true . incredibly surprised check . exit machine break along guest wait dummy return break raise gate let we go . regard food : breakfast room line door skip breakfast altogether . bad : New Year 's evening , along friend kid watch firework Executive Lounge , course reserve 16 year old . well , together 5 youngster , simply sit watch tv no - one else room except old couple playing card another couple young child . manager happen walk ( yet another fellow speak Arabic English ) actually ask we leave . suggest break policy allow we 20 minute watch nice flat screen welcome new year say & quot ; , sorry , policy say & quot ; , actually security guard ! leave , although give joker piece mind , big time . next day , friend room make 6PM , shower water anaemic bathroom desperately need upgrade . the save grace hotel pool workout room good . service bad room mediocre astounded mind . city , world class city , bad experience really outrage . want let Trip Advisor reader know : stay . go Gloucester Road stay either Millenium Gloucester Harrington Hall much cheap rate minute Chelsea , walk museum quick ride Knightsbridge Parks . hope ( doubt ) management respond note , 20 year travel 90 location around world , one bad experience ever . 
 Jan 1 2009 	 Nice Hotel 	 stay hotel two night wife two year old daughter . hotel bit old fashion . area one nice area London . stay 5th floor . problem lift main side hotel review . room spacious clean , bathroom spottlessly clean . double bed comfy . like pillow fat . problem experience balcony door lock . anyone would like get fresh air inside room , possible . price include breakfast good plenty . dinner two nigts hotel like ambient . waiter Serdar Ali polite we . 
 Dec 23 2008 	 hmmmm 	 stay hotel last couple day two child 10 9 . ok get swiss cottage tube 5 minute walk max ( exit 1 underground ) . & amp ; Subway less than5 min ( exit 4 ) underground ) . not know know & amp ; , stock snack goodie wine normal price rather minibar ! hotel ok will not rate high . staff indifferent . rooms- oh dear .... Marriott please listen , ghastly feather pillow small use one big use two . couple hot room ( turn a / c much could avail ) mean sleepless night . hideous sleeepless night kid . thank thank . will not back . 
 Dec 19 2008 	 grow 	 spend week month . start low weekend rate elevate high weekday rate . first stay year ago , not get good impression . run . neighborhood bore somewhat threatening , not feel right . trip though , price difference large convenient access Jubilee Metropolitan ( finchley road ) line make access client 's office easy . the hotel re - do past year , clean comfortable . maybe , area around hotel feel like cohesive neighborhood . big issue ultimately minor . elevator incredibly inefficient . meet somebody lobby ? leave room well ahead time . concierge Lounge average Marriott . & quot ; snacks & quot ; available every night , quantity limited run first tray two , replace onion ring ( go first two three people . breakfast acceptable good , though toaster broken week . the area restaurant nothing shout . well hop Underground couple stop later heart action . by end week , look forward & quot ; close , quietness & quot ; hotel . find relive back end long day . stay small boutique hotel close price , would recommend Marriott want full service facility . 
 Dec 16 2008 	 Good Value Modern London Hotel 	 stay hotel December 2007 sight seeing meet friend going stay family part country . pay $ 115 successful bid Priceline , half rack rate . it be pleasant , well appoint , freshly decorate clean hotel fairly typical Marriott style . stay many 4 * London hotel frankly , disappointing american standard . although lobby public area generally fine , room tend small shabby . not get king bed , get double , twin room get two single . however , twin room hotel two double ( put corner room extra spacious window two side ) .I enjoy lunch cafe take advantage free wireless . also dinner main restaurant absolutely fine , like another cafe restaurant , rather limit uninspired ( quite reasonably price ) selection food wine ( 3 * ish ) make use gym , small well equip peeked pool , look quite invite . the hotel 7 minute walk near tube station 15 minute ride central London . immediate area mix , exquisite single dwelling home dingy council flat . however , well light feel perfectly safe walk night tube station . despite name , hotel right Regent 's Park . for price pay , hotel excellent value . pay full rate , would give three circle . next week spend night London Marriott Maida Vale ( $ 106 Priceline ) . interesting see compare post review new year . 
 Dec 8 2008 	 Superb London Stay 	 stay four night , make long weekend break London , honestly think well hotel recommend . reservation process simple staff friendly helpful every step way - something continue actually arrive hotel maintain throughout time . reception staff concierge could enough - recommend place go good place see , get theatre ticket suggest walk tour London leave great memory . food superb hotel . clearly recent refurbishment hotel everything appear new condition hotel exceed four star rating . although , care attention staff member display probably mean Marriott Regents Park like every day year ! ! truly outstanding , set great location explore London staff member true service professional . Mr Marriott organisation something proud ! ! ! ! ! ! 
 Nov 29 2008 	 love 40 	 friend , daughter , daughter go London 40th stay Marriott read review weas look ward staying , alot review read love breakfast much eat amble coffee , room though weird tv switch 8am . the staff really helpful especially let we leave luggage could book go watch Wicked . bed comfy room spotless . longish walk change room pool ( not shy ) , also need £ 1 coin locker . could fault would definately stay 
 Nov 17 2008 	 absolutely fabulous ! 	 excellent location , extremely helpful / friendly staff , modern hotel make week 's stay perfect . 's hide gem Swiss Cottage . do not know call & quot ; Marriott Regents Park . & quot ; park good 15 minute walk hotel . research hotel London month , find Marriott Swiss Cottage well fit we . arrive 3.15pm . unfortunately , not get room till 4 pm since busy weekend . problem hotel . the rest stay perfect . since time spare first day waiting room , research local area walk shop local Marks & amp ; Spencer buy grocery . walk Swiss Cottage tube station shop take 5 - 10 minute . request fridge keep certain food item refrigerate room . know , hotel food expensive anywhere go . the first thing notice nice hotel smelling . hotel build time ago , renovate last year 2007 . room bathroom contemporary , good size , bed comfortable . will not recommend put 4 people one room hotel suggest could do . the buffet breakfast worth . pleasantly surprise high quality variety food present . include nightly rate . try . well worth ! truly feel & quot ; home & quot ; stay hotel . know be stay city , since hotel also locate upscale residential area Swiss Cottage / St . Johns Wood , get good world . do not want dead center town , Swiss cottage 2 stop away Jubilee line Bond Street ( Marble Arch , Oxford Circus ) . ideal ! plan stay hotel visit London next spring . hope consider ! 
 Nov 4 2008 	 Decent Homely Hotel 	 stay Marriott Regents Park 20 day January 2008 business trip . go , impression would magnificient hotel ( basically line JW ) unpleasantly surprised see small building like UK budget hotel .. ( somewhat well Holiday Inn Express Hotel ) . hotel stand 's Marriott Standard quite average . end , think , stay another property Marriott London , matter 4 season Hilton would well choice . what Liked Hotel ? ? have pay room , well like something it . if forget fact Marriott Hotel , many thing like . quite peaceful hotel one good area London , quite close work area Tube Station away Traffic clamour Oxford Street . room nice huge opulent give sense belongingness homliness . food also quite good , good meal Breakfast . the steward polite overall atmosphere make feel like home . what do not like ... many thing . conicerge facility useless do not seem interested assisting . room big grand . lack feel big hotel everything give hint budget hotel . dinner pathetic time overall feel & quot ; boring & quot ; take ! ! go hotel business purpose require Central London St Johns Wood Area want visit Lords . hotel would give feel grand hotel , would suit bill give hefty discount . well option like Millenium nearby . 
 Nov 3 2008 	 think well decide . 	 choose central location . Tube close two day , bus bad .As see old exterior , old window let far much traffic noise . the three lift large enough , report keep wait age . request low floor . small bathroom . my breakfast include , even good staff could make good experience , give go .option pay tray room service . large number child , yet good pool look quiet passed .Room comfortable staff polish . I low room rate , ( Marriott 3 day stay ) .Pleasant location Primrose Hill Zoo . I would choose hotel 
 Oct 30 2008 	 Busman 's Holiday 	 great , convenient hotel , locate Swiss Cottage area London , close St John 's Wood Regenst Park etc . easy access anywhere London . stay executive room 6th floor spacious , clean , modern / new furnishing etc well maintain . great view across town . bed comfortable . check - in smooth staff helpful time . rate comparable many other check on - line . not make breakfast due business however , restaurant / bar area ( communal area ) amenable . 
 Oct 15 2008 	 Short Stay 	 recently short stay Marroitt Regents Park stay everything want be . the Reception staff friendly member staff happy help nothing seem much trouble . the room spotless bed comfortable . the food freshly cook hot . wonderful experience 
 Oct 15 2008 	 Good Marriott standard room - expensive parking 	 book Marriott , expect certain things:1 - comfortable room good bed etc.2 - enough room ( even city center hotel ) feel claustrophobic room3 - Good restaurantThe Marriott Regents Park tick box . could go nice breakfast stylish room , , expect Marriott . I would make follow comment specific interest:1 - Location - Excellent . 5 minute Swiss Cottage Tube Jubilee Line . picadilly ( via direct train Green Park ) 20 minute leave hotel ) .Also - A41 , easy drive north A1 M1 . leave hotel M1 Brent Cross 20 minute later - fantastic . therefore , want hotel close city center easy drive , perfect place.2 - Cost parking - expensiveI understand Hotels London charge parking , , 25GBP night discount resident hotel seem little steep ( hotel central london charge less - albeit often hotel resident ) . latter point would stop stay hotel necessary stay St John 's Wood vicinity want Marriott standard room service . , simply look well connected hotel simply sleep night access Central London , ( i.e . anywhere long could drive car pick tube get London ) , would probably stay elsewhere . 
 Sep 8 2008 	 bad suggestion 	 clean hotel , locate St John 's Wood / Regency Park area London ( nice neighborhood ) convieniently locate near Swiss Cottage Tube Station make fairly easy get anywhere London . great free breakfast . room clean , minibar well stock bed AWESOMEly comfortable . not plan sleep late . room 5 floor corner room & quot ; quiet & quot ; side hotel ( opposite side hotel busy street ) . yet , wake every morning either traffic noise ( garbage truck , emergency vehicle ) slide closet door next door neighbor . wall must paper thin place . concierge ( ) real hit andmiss ; friendly helpful nearly clueless wanting know huge accent make comprehention impossile . the tv selection BORING ! channel free nonsense stuff one .. 
 Sep 2 2008 	 Loved hotel return 	 stay 2 year old daughter hotel end August fully satisfied . staff helpful comprehensive fact english fluent ( be french ) , especially concierge give we good information Swiss Cottage area . the location great peaceful . get central London take jubilee line bus swiss cottage station 5 minute walk . inside hotel , swimming pool great kid , try sauna steaming room negative point it . the fitness room well - equip crowded night ( be open till 11:00PM ) .We deluxe room Kingsize bed not regret choice , even daughter sleep we . everything need room include iron , tea set mini - bar ( use keep daughter 's milk cold ; - ) questionable thing tv bit old ( flat screen would well ) , watch ; elevator reckon incredibly slow hey , holiday afford 5 minute wait ! ! ! anyway recommend hotel go back London . 
 Sep 1 2008 	 good bad 	 recently stay 9 night Marriott Regents Park . mixed feeling place . exactly Regents Park . park 15 - 20 minute walk rather pleasant go neighborhood Primrose Hill park . the review mention glacially slow elevator dead . especially problem breakfast time morning . turn back stairway well - mark not mind climb . ask staff . ask room low floor . our room quite pleasant . clearly recently renovate room . bed comfortable . a / c powerful . tv small great picture quality , think par course London . room decent size . bathroom fine odd exhaust fan . also odd odor time , opening window help get fresh air in . there busy road behind hotel . light sleeper might issue . may want ask room front building face quiet street . the Swiss Cottage tube stop Jubilee line short walk away . reach walk pleasant ground community center / school across street . get around tube quite easy . there several good restaurant main street tube . several Thai restaurant good . number indian place well look good not get around visit . Marks & amp ; Spencer food market little independent market nearby well . small internet shop charge GBP 1 per hour strip near Odeon movie theater . the hotel staff generally quite nice , especially restaurant concierge desk . there bit mix reservation thing resolve quickly front desk staff . my big issue ridiculous fee . suppose Marriott corporate policy . $ 30 day internet access beyond outrageous . also use phone room . unless money burn . misread chart info book . rather cost 99 penny per call local call 99 penny per minute ! little 9 minute call friend cost US $ 23 ! ! ! highway robbery . reason simple greed . call mobile phone cost unbelievable gbp 2.99 per MINUTE ! US $ 6 . Marriott really ashame steal guest way . we also know folk stay hotel time wallet steal room breakfast . computer record show three entry make housekeeping room time , room clean ... clean apparently . safe room . use it . my roommate use gym find good quality . People seem like pool . overall , like location room relatively comfortable . breakfast good enough , 9 day not much variety . London crazily expensive place . way would pay $ 270 per night ( taxis include ) room caliber anywhere else world . 
 Aug 28 2008 	 enjoy London Marriott Regents Park 	 stay week late August London Marriott Regents Park . 3 us lovely experience . son young adult ; hotel able give we well - sized room 3 people . air - conditioning fine . bathroom well - stock toiletry towel , etc . opt use Executive Lounge well worth cost ! breakfast way average continental one ; plenty food choice . staff pleasure deal . arrive 9:00 morning within hour , able get room ! every bellhop go way help we . concierge always patient explaining find various place . the location nice . swiss cottage lovely , safe residential area . trip sight much long stay central London Tube line - & quot ; Jubilee & quot ; - clean modern . notice several time elevator door open right away reach floor . son enjoy pool , mention water bit chilly sometimes . overall , experience fine look forward future . 
 Aug 23 2008 	 Shame do not get chance .... 	 read review finally settle book two room two night family spend long weekend London - would , husband twin 9 year old boy . rang Marriott 's main reservation line request two deluxe room interconnect door point helpful customer service lady ask hold whilst go ring Hotel 's front desk request interconnect room number could place book . much mine surprise tell quite curtly interconnect room hotel could book , could guarantee day arrival ! needless say decline go ahead book shame , hotel otherwise would suit need admirably ! since write Marriott 's Customer Services also avail receive curt , impersonal reply room book time automatically book next ... helpful kick pant , query ... & quot ; sound reasonable - interconnect though ? ... happen boy need we middle night ? - one issue may need assistance ..... & quot ; ' m still wait reply .... 
 Aug 20 2008 	 lot problem 	 London hotel good value . swiss cottage train station close easy trip center London . however , service hotel simply worst ever expereinece Marriott . get room slow first night breaker go , cut electricity one side room . tv , computer connection , coffee service . try evening get someone fix breaker . despite dozen conversation reception , one could find fix problem . next morning finally find someone flip breaker back . take minute effort . two night later try call downstairs 9 pm ask wakeup call . one answer phone . try . finally dress go downstairs . find three people reception customer . young spending evening entertain one another . simply ignore phone . hotel badly need well supervision young staff . could care less take care customer . 
 Aug 17 2008 	 great value minor issue 	 similar experience other . nice hotel , excellent location near Swiss cottage tube stop , great value London , clean , esp lobby / restaurant . little thing keep well review . elevator need re - program . bellboy way aggressive taking bag check - in . room availability take awhile ( 3pm dot , early ) . issue hotel 's fault - many guest large family young child leave run amok thu hotel hour . still , local restuarant Finchley road tasty , walk thru St. John 's Wood find terrific pub pilgrimage Abbey Road studio . would stay - value relative convenience without hassle cost right London center well worth . 
 Aug 7 2008 	 Fantastic hotel nice part London 	 Marriott exceed expectation . lobby new bright , check - in easy . room American - like size decor . comfy bed great bed , update bathroom , excellent air - conditioning . feel pamper . hotel safe area close Swiss Cottage underground station , overcrowded . underground easy use take small amount time get theater district . hotel nice restaurant , also McDonald 's , Subway , KFC close underground station . one good treat hotel concierge . cheerful wealth information . visit London would difficult much less interesting without . 
 Aug 6 2008 	 good bad 	 Marriott Regents Park mixed bag , opinion . good : - 5 minute walk Swiss Cottage ( Jubilee line ) 15 - minute walk Finchley Road ( Metropolitan line ) . handy 2 subway line access , make easy get around different part london.- neighborhood around hotel mostly residential , ton shop store Finchley Road ( Subway , McDonalds , ATMs , Waitrose , etc ) . use lot 5 - 10 minute hotel.- exercise club nice.- pool good family young children.- 2 double - bed room big enough hold 4 family member luggage 5 night . the bad : - Service hotel expectation Marriott . E.g . take 2 days/2 request get plug sink room fixed.- staff really not friendly , not really go way help you.- hotel slow elevator UK . everybody comment stay , even staff ! - breakfast option expensive -- full breakfast buffet adult 17 pound , continental 13 , kid 6 . family 4 43 pound ( close $ 90cdn ) ! ! ! needless say , one morning.- hotel in - room pant press , iron.- blow - dryer bathroom -- rather glue drawer desk room . 
 Aug 4 2008 	 pleasant 	 agree RomaLucy 's review stay 19th 26th July 11yr old daughter ( 2 adult , 1 child ) .We arrive 1:15pm tell room ready 1 hour luggage could store safe keeping . offer room 1 King Size bed book / pre - pay via expedia.ca . Front Desk person offer we change room 2 double bed find problem sleep arrangement . take offer obtain extra temporary bed instead . we realize breakfast include glad find ask Front Desk cost breakfast . buffet breakfast wonderful start day . yes , elevator slow ; stay 2nd floor could find staircase unless use fire - exit . 2 ( 3 ) elevator would stop ( way ) 2nd floor always full morning tourist rush hour . 3rd day , push & quot ; & quot ; & quot ; & quot ; button get elevator ( 3 ) even go . allow we get downstair without long wait . the housekeeping need constant write reminder give we 3 set towel initial 2 day call housekeeping bring we extra towel return full day sightseeing . also leave note ask housekeeper change coffee mug 2 day ( rinse mug try one tea bag leave tray ) . negative experience have . all personel work hotel friendly professional . overall , hotel offer good value family travel / vacation , location good , room size similar North Americans expectation , short walking distance Underground ( Swiss Cottage ) , even take bus various tourist attraction . if travel London , choose stay hotel . 
 Aug 4 2008 	 Ladies prepare see naked ! 	 hotel overall good , item room require maintenance . I use pool area twice stay time come shower get towel , greet man ( different man day ) . neither male staff great hurry move one would move look away walk past collect towel ( initially remain shower area 5 minute would leave walk past ) inform reception something happen hotel , although happen twice 2 day neither occasion note door advise man may access area either man shout inform change area . be prepared model birthday suit lady ! 
 Aug 3 2008 	 Marriott Standards would not return ... 	 Marriott reward member always try book Marriott 's available . frequently travel London weekend away , time decide stay Marriott Regents Park . travel partner , hope relax fun weekend maybe bit romance ! book ticket see car show Excel see Kylie Concert 02 . arrive Friday evening leave Sunday afternoon . previously Marriott experience good London , decide try Regents Park decent deal ' Visa Olympics Package ' invovled breakfast 2 , £ 100 voucher future weekend 2 night stay ( use one , great deal ! ) free gift . book hotel package 2 month advance , far always lucky enough get ' upgrade ' executive room ' ve stay Marriott hotel , however occassion do slightly dissapointe . normal ' delux ' room call nice , spacious unusual London , clean , nice little balcony look entrance , normal AC , king size bed comfy clean ( yet rather small ) bathroom . hotel room kinda ' dark ' ( woman , pain u want hair , makeup etc partner bathroom ! ) light airy . the room ' sound proof ' light sleeper , may struggle noise people hall , etc . fair hotel fully book , wedding party one night cause bit extra noise late hallway . unfortunately , hotel staff could seem cope hotel fully book - enough staff check we , wait 15 min queue get breakfast 10:15am ( say go peak hour 9 - 10am go later ! ) seat , notice plenty empty table around we slow fill even queue ! plus note , man make balloon shape child restaurant breakfast , nice touch kid something see hotel ! ! breakfast good thou , do not queue breakfast bar finally get table always plenty . also breakfast hour 6 - 11am good weekend- allows lie - in ! bad thing hotel ELEVATORS ! three would wait age floor take downstairs . everyone complain . also although look nice photo , pool change room horrible . dirty , thing break / fall apart . female change room , water leak seal giant plastic container - directly hairdryer ! assume must switch - see young girl ( 11 year old ! ) dry hair use one ! safe ! ! ! ! ! floor cover water miss plastic container ! do not think would pass health safety visit ! week , pool adult hour weekend . partner arrive back 10 pm Friday hope relax swim pool , find full kid 11 pm . unsupervise , run around , scream . hotel assistant ignore . pool also freeze cold do not seem well care . do not use ! plus note , hotel 2 minute walk Swiss Cottage Tube station , neighbourhood nice feel safe walking late night tube hotel . Jubilee line allow we direct access 02 arena Excel ( 40 min journey ) also easy access ( 15 min ) town - Bond St , Victoria , etc . one guest speak whilst wait elevator tell we hotel use belong Holiday Inn buy Marriott . would say need lot work get ' luxury 4 * hotel ' advertise ... would say 3 star , worth £ 300 total pay 2 night stay ! ! ! ! ! ! ! ! ! return ! 
 Aug 2 2008 	 Ideal family 	 stay 2 daughter 2 night July 30th - August 1st . room 346 2 double bed cost £ 280 without breakfast Marriott 's website . hotel 5 min walk Swiss Cottage tube ( take exit Avenue East tube station , turn leave walk traffic light , leave see Marriott ahead another set traffic light , cross road entrance right ) . hotel ideal family , pool use 8am-8pm child , want peace quiet adult sole use 6am-8am 8pm-11pm . change facilite overall appearance pool , stair get change room etc definately need refurbishment , miss ceiling tile , rusty pipe ceiling stair change room pool hold duct tape ! ! ! dirty . pool , sauna steam room actually quite clean part mention detract . not eat can not comment breakfast etc . room clean spacious well equip , hairdryer , trouser press , iron ironing board , toiletry bathroom etc would expect , seem recently refurbish . lift slow ' ve ever encounter several people also comment , wait 5 min lift OTT . convenience get London great 2 stop Baker St Madame Tussauds , change Leicester Sq another 3 - 4 stop middle London . overall good hotel family want visit London reasonable price . 
 Jul 22 2008 	 Glad not pay 	 wife stay one night mid - week , use Hyatt voucher redemption . the hotel 1970 's block Swiss Cottage , near - ish Regents Park handy nice part North London . exterior lobby typical Marriott - nice enough . check - in bit slow . room available bed preference , strange wife Hyatt Gold member . anyway , get room quite nice - fairly newly renovate , bathroom also pleasant . not seem housekeeping finished job though . bit dusty , minibar re - stock fully . also , previous guest leave sort cold meat ( salami bacon ) mini - bar ! really nice , huh ? ! ask someone remove it . the ' balcony ' like something sink estate tower block . very dirty cover pigeon dropping . Adjacent balcony unpleasant ' black hole ' contain rubbish old newspaper . shut door go out . have good night 's sleep , awoke bill put door . well room service snack ( ok take 45 min arrive ) , charge stay , even though use voucher . room rate 325 pound ! ! ! yes , see right , 325 ! ! ! mediocre room back beyond ! sort ok checkout , however see room rate thankful footing bill - would do serious complaining . so mixed bag , decor room ok internally , housekeep balcony sub - standard . rate really take mickey , guess 's supply demand . 
 Jul 5 2008 	 absolutely wonderful ! 	 husband , along 2 teenage daughter , spend 6 night Family Room London Marriott Regents Park . absolutely wonderful stay . 's close proximity Swiss Cottage Tube make travel anywhere city easy . also store nearby tube frequently use : eg . Subway , KFC , McDonalds , drug store , Marks SPencer food store . location could well . check gentleman name Sanford without incident . especially nice well staff meet throughout stay . complimentary breakfast fabulous . hot cold . plus chef make special omelet waffle wish . the bed comfy . 2 large queen sized bed room . computer access available room even tho come hefty cost .... 75 pound one week . internet also day half , problem get 25 pound credit check . would not hesitate use Marriott go London , shall surely future . 
 Jun 28 2008 	 good value good location Good Stay 	 hotel good location , though 15 minute walk Regents Park . heart London relfecte competitive price . close Swiss Cottage tube therefore London offer within easy reach . also outside Congestion Charging Zone . Most staff helpful , although check - in clerk concierge not know answer question ( parking kid dining ) unwilling find . acceptable Marriott . room good standard clean , although request fridge never appear . the pool nice although big , access change room badly need refurbishment . also bedroom back hotel busy road traffic noise mean change room - second room quiet , although 2nd floor suffer disco music funcation room one night . breakfast good quality excellent selection . not eat restaurant dinner although child 's meal deliver via room service good value apart spaghetti dish , good quality . lift issue stay take find stair ! would also problem floor 6 7 limited mobility . parking quite limited hotel although weekend parking available local street . 
 Jun 25 2008 	 Fantastic hotel - really enjoy stay ! 	 stay London Regents Park Marriott recent business trip find hotel superb arrival reception departure . I eat restaurant also try room dining - excellent standard . room really nice , modern decor immaculately clean throughout . location perfect , really close Swiss cottage tube station parking conjestion charge ! definately stay hotel . 
 Jun 23 2008 	 really Regents Park ..... 	 stay hotel attend event Regents Park . the main complaint would hotel nowhere near anything ( include regent park ) , basically residential area limited taxi .... however ignore location hotel ok ... could Marriott anywhere world . bed comfy , room average size ( London ) , buffet breakfast fairly well catered ... overall , good hotel want near Londons major attraction 
