great 	 great hotel Beijing ! ! ! ! price affordable , location great , staff awesome ( speak English haha ) , translate everything chinese , room nice , organize tour ( highly suggest Beijing ) . great experience , hotel make stay Beijing relax . 
 Great Hotel great price ! 	 stay Park Plaza Beijing wangfuje last week love hotel . recommend friend stay last year also read review , happy say even nicer imagine photo indicate . staff great nice helpful room cozy , clean comfort need day sightseeing ! would definitely stay . not eat restaurant , breakfast use service ( however drink half bottle wine mini bar decently price $ 89 rmb - consider might pay one glass would much US half bottle like convenience : - ) go upload photo room well . 
 wonderful hotel except absence good gym 	 say . live without great gym pool ( helpful combat jet lag ) , want / need stay Dongchen , hotel great . also 1 minute subway , important BJ . 
 May 13 2009 	 Excellent Location Superb Service ! top Notch ! ! ! 	 walk distance Tianamen square , forbidden city ton shopping . everyone helpful speak good english . concierge write chinese everywhere want go advise cab driver we . cab cheap not use public transport . nothing cost 25CNY ( approx 4 US ) , around 12cny ( 2 US ) . rate include tour great wall ming tomb . excellent tour ! Breakfast also include good selection chinese western food . airport lose luggage arrival front desk concierge follow airline multiple time help we . would highly reccommend hotel . excellent service , breakfast room modern , clean comfortable ! 
 May 11 2009 	 great location average service ... 	 's first time Beijing , Park Plaza Beijing wangfuje conveniently locate minute walk wangfuje pedestrian shopping area 20 min . walk Tiananmen Square . Park Plaza seem cater organize group notice 4 night stay . say , service par would expect 4 star chinese hotel , staff seem & quot ; job & quot ; really customer focus . room well appoint , internet connection fast buffet breakfast many western style dish suit taste . would expect hotel , consider high rank trip advisor , comparison hotel ' ve stay China , one fall short service ... 
 Apr 28 2009 	 Best Value Money 	 Excellent value money hotel . pay worried beyond pleasently surprised . stay Deluxe Room 7 day Christmas , bitterly cold outside - beautiful comfortable temperature inside . Breakdast include rate excellent , although choice endless outside hotel - great start morning . love free internet rareity even good hotel . excellent location , cheap tasty food short walk away , travel everywhere else subway station , outside back door . the subway excellent choice , must mention main reason start use single taxi driver know place despite us address chinese . would recommend get card Peninsula front hotel . only downside ; cost drink bar high anywhere travel China however comfortable place drink . one thing though notice EVERYWHERE China , wait staff stare entire time , australian little put realise try give good service possible . thing note : Massage Place opposite subvway station side door hotel BEST ever - vision impair person especially train massagerestaurant also near side door - noodle place middle great , watch green chillis though , ouchuse subway - easy Taxis 
 Apr 27 2009 	 Fantastic hotel - great location service 	 option available Beijing , difficult time choose hotel . back 10 - day trip , believe good choice . stay well ever hotel travel although cost usually would pay . want safe comfortable place go back night crowd noise city . we suite double size normal room separate living area . shower mention early review great . suite also give we free internet access business centre top floor . breakfast every day business centre lounge , although limited option compare main breakfast buffet locate 2nd floor , peaceful quiet morning . the hotel staff nice friendly especially concierge doorman . always helpful polite . when husband fall sick one day , one guy concierge ( Gao ) even accompany we nearby hospital see doctor , order porridge dinner , request extra bottled water we constantly check see feeling . location hotel also good . around corner subway short walk WangFujing street . problem get taxi driver find well . tell behind Regent hotel usually able get close enough direct aware it . just opposite subway entrance convenience store , starbuck opposite hotel entrance atm locate lobby build Starbucks ( Jinbao Tower ) .Close end trip , realise hotel noodle bar great japanese rice noodle reasonable price . would eaten often realise early . we would definitely stay next visit Beijing . fact almost would go Beijing stay ! 
 Apr 23 2009 	 Nice Hotel Upscale Location 	 hotel luxurious , Regent next door Peninsula street . however , room bathroom large attractive , bed comfortable , closet large enough quite clothe , service concierge desk polite . arrange guide driver we 3 day , employee even come room 20 minute get write explain we . first experience concierge desk personnel . as far concerned , two good thing location upscale area city ( sister hotel Regent physically connect sell Lamborghinis Rolls Royces ground floor ) , wonderful buffet breakfast . one could eat american , european , chinese , japanese food - try , time leave . eat 1 dinner hotel , one Regent cafe , two Peninsula . prefer Regent Cafe . view look light building interesting . peke duck chinese restaurant Peninsula disappointment . guess expect much . definitely worth go see lobby 2 floor designer shop . gorgeous . think reasonable price Park Plaza meet american couple leave Beijing stay Peninsula 4 day lot less pay . pay really shop around , evidently , special promotion late game . Beware & quot ; Hello & quot ; people befriend order lure & quot ; art exhibit & quot ; . realize want lead away way building purchase art high price . devious . fun talk , know purpose really tell student . 
 Apr 22 2009 	 Superb comfort 100 % satisfaction 	 ahve return 10day trip Beijing visit son . initially overwhelmed choice hotel available must read hundred review - thank & quot ; Trip Advisor & quot ; . knew want really good western - style hotel comfort long day tramp busy street Beijing . choose Park Plaza Wangfujing delight . it quite expensive could pay great deal hotel - equally could go lot cheap , get pay . superior room - good view , well appoint , clean comfortable really smash bathroom good - sized bath powerful shower . the staff lovely - couple admit nervous speak English could account reviewer comment always friendly . son speak fluent Chinese glean information we ! find staff delightful especially young man door . Taxis appear nowhere minute need one altogether stay fantastic . negative comment would bar pretty expensive compare bar city comforable service superb . we pay extra 100rmb per day we breakfast . ( £ 5 GBP per person ) worth every penny . yes , eat cheaply outside hotel choice breakfast excellent really set we day . ' t need eat evening . we definitely stay Park Plaza Wangfujing . taxis cheap subway station around corner ( 1minute walk ) fare 2rmb per journey ( 20p ! ) get around problem . conveniently place anyway many tourist site . 
 Apr 19 2009 	 nice hotel excellent value 	 agree many positive review already write . combination new , quality room furnishing , helpful staff location offer reasonable price satisfy . observation : * standard room seem bit small -- small child upgrade suite , comfortable ( essentially size 2 room cost much less double ) . * room , bathroom , furnishing new high quality comfortable . item temperature control room work well . * breakfast buffet convenient although plan use consistently well get part room rate book pay la carte ( Starbucks across street adventurous go find chinese breakfast ) . * cab driver seem know place speak Chinese good carry chinese address hotel ( doorman give card leave , take cab airport need find way provide address ) . * well - locate . although nothing exciting immediate vicinity ( unless would like purchase Ferarri , Rolls Royce , etc . dealer block away ) , Tiananmen square shopping area wangfuje far away . 
 Apr 10 2009 	 fantastic value -- super location 	 come hotel rank tripadvisor . disappoint we least . hotel really 5 star , not pool , big spa , etc . although group spa thing say great . plusse : great central location -- walk Tiananmen 20 minute . breakfast include rate huge ( ala Asia ) buffet -- good service . coffee lousy , Starbucks 30 second walk across entry . staff extremely helpful arrange 3 day tour , flexible extra request . minus : somehow couple night say aircon not work Beijing -- something relate changeover heat cooling . ' ve hear other , still not understand Beijing could tell ' no AC week ' . anyway , survive , staff gracious helpful could . room size wise normal , shade small side . guy , want walk outside hotel night Tiananmen walk street , prepared female onslaught . kid -- proposition least 15 - 20 time 20 minute . , right front 5 star hotel , high - end shopping area . highly recommend hotel -- especially value . far far exceed expectation , especially price pay . stay ! 
 Apr 6 2009 	 good vlaue well locate hotel 	 agree reviewer hotel well locate top tourist attration , god value well maintain clean , room excellent convenience include free movie free water . also range electric socket room include European , US british - useful addition . concierge staff helpful lobby load free magazine incldue three four current listing go around Beijing . nearby restaurant visit include make China Grand Hyatt good although give we bad table near draughty window Lei Garden right beside hotel third floor Jinbao Towers ok - least food generally bland . find stay local restaurant behind food stall Wangfunding St. eat fabulous meal 20 % cost restaurant . unfortaunately everything chinese include restaurant 's name beside hotel begin W fake tree middle resaurant . eggplant Chili brilliant . quibble hotel small - book two room kingsize bed tell twin available altho advise could change follow day - twin large normal single not bother change ; coffee breakfast poor french toast else good price pay ; , finally , want charge extras credit card Yuan Euro offer choice despite sign form say . overall . however , pernickity point Park Plaza good choice hotel highly recommend . another restaurant visit highly recommend , though within walking distance , nuage - vietnamese restaurant lakeside Bar district . 
 Apr 5 2009 	 Nice hotel location . would stay . 	 book Park Plaza Wangfujing hotel five night October 2008 , get discount use government ID . check fast upgrade executive room club benefit . benefit include breakfast , cocktail evening use computer ( two ) . room , # 1506 , quite nice two double bed , desk , tv . , decent sized bathroom ; chair coffee table ; amenity ( slipper , robe , 2 bottle water daily ) . service great Plaza . every employee encounter friendly always smile . location hotel great : subway station locate next hotel wangfuje night market 10 - minute walk away . breakfast " ok " – enough chinese food always put american sausage . get tired . evening wine hard liquor available , enjoy white wine . evening would drink two get computer ; follow dinner . one night power lounge , ask could get wine room , deliver promptly . taxi driver hard time find place , fortunately , direction helped find . would gladly stay comfort , service , location . 
 Mar 29 2009 	 pretty darn good ... one issue 	 husband return stay Park Plaza . hotel nicely appoint modern amenity , comfortable bed China ( not say much though ! ) , fast internet access large bathroom . arrive hotel around 4 pm tell room yet ready . front desk staff invite we go club lounge cup coffee wait , head 15th floor . temperature room stifle ... least 80 degree F. miserable delight , hour later , tell room ready . unfortunately , room stifle 26 degree c , air conditioning work window open 4 inch . give air time kick , call front desk send maid check . suggest open window . Hmmm . thankfully 80 weather Beijing turn 60 degree give we relief heat , room never drop 24 degree way hot Seattle girl ! temperature , though , experience positive . location can not beat ... enjoy walk night market check interesting food able walk good duck dinner one night great foot massage another evening . easy cab ride Forbidden City , Summer Palace Temple Heaven . staff helpful use Bank China money exchange front desk ... good value convenient . breakfast buffet include rate food delicious . would certainly stay would forceful temperature . perhaps demand fan ! 
 Mar 29 2009 	 Awesome little hotel great location good price 	 little hotel nestle behind enormous Regent Hotel , also highly rate TripAdvisor , Ferrari , Rolls Royce dealership step hotel . definitely fancy part Beijing 's mile away Tiananmen Square Forbidden City . stay five night overall service outstanding , way door person , front desk clerk , bell boy . always smile greet we friendly face whenever go . easy get around hotel , plenty taxi wait front hotel . 2 small restaurant premise small japanese noodle restaurant first floor keep run food , worry though , chinese restaurant not bad right next hotel , want western fare , walk minute major road right front Regent hotel ( right front Park Plaza ) . 
 Mar 12 2009 	 nice hotel great location 	 stay hotel early March 2009.location : hotel behind Regent Hotel . taxi driver not exactly hotel although know road name area . can not see hotel main road . see Regent Hotel , be back . hotel basically locate along road lead wangfuje pedestrian mall ( 15 minute walk ) along way , see Peninsula Hotel , Novotel Peace , Lee Garden . restaurant nearby unless western . hotel ambience : since hotel locate main road , be pretty quiet . hotel lobby quite small compare sister hotel , Regent 's good , cozy . coffee house locate 2nd floor . room : book superior room breakfast room size nice . flat screen TV though be ok , comfortable cozy . view though coz room face Jinbao Office tower . work table complimentary internet access plus point . bed comfortable room temperature good . hot cold . ( be 3C outside ) . 
 Mar 11 2009 	 modern clean convenient w / good price 	 Hotel room large , nicely decorate , quiet , nice bathroom large bathtub / shower . great restaurant 2nd floor serve chinese american food , include wonderful rice chicken broth ( lifesaver since get food poison Starbucks ! ) friend also stay previous trip highly recommend it . good location ( read review -- hotel locate behind Regency main street , bellman tell taxi driver go around block Park Plaza driveway . ) review say guest upgrade Regency , ask say full . Superior Rooms Deluxe room exactly , except Superior floor 5 - 7 Deluxe floor 2 - 4 . pay $ 20- $ 30 per night exact room , one floor high . difference view , quality , location high price ... positive : happy room hotel general -- nice , clean , new , good location , good onsite restaurant bar . hotel adjacent subway stop link directly Pearl Market & amp ; close Temple Heaven . need 1 transfer get Tianamen Square Forbidden Palace . subway extremely easy use ( sign Chinese & amp ; English , light route board subway car ) sparkle clean . negative : somewhat language barrier -- front desk staff speak little English beyond & quot ; be room X & quot ; . although concierge nice , not helpful inexperienced , not live area not familiar detail , could not provide much advice typical int ' l traveler ( regard major site , hour , direction ) . twice give wrong date / time major site . 's Starbucks across street , well small store buy soft drink . italian restaurant Regency also good be look western food . * * starbuck visitor beware . order ham sandwich Starbucks day trip Great Wall . sandwich lettuce mayo ( tell not ) . despite pack ice , become violently ill later day eat lunch . result , drank ginger ale eat chicken broth rice 2 1/2 day . Park Plaza restaurant staff amazing -- bent backwards accommodate bland diet . tell Starbucks staff 2 day later food poisoning , seem indifferent , even contact Starbucks corporate U.S. , never receive reply . not fool -- even U.S. restaurant not standard U.S. store , recommend ordering & quot ; go & quot ; order Park Plaza hotel restaurant , recognize high hygiene standard food safety . * * also bottled water China necessarily purify , careful buy it . I bring Cipro antibiotic case food poisoning , save sick entire trip . take China Culture Center ( recommend Lonely Planet ) pedicab tour traditional chinese hutong neighborhood , really enjoy . also offer English - speak walking tour major site , well cook craft class would check next trip . www.chinaculturecenter.org 5 day , never see sun due extreme pollution , sight ( Great Wall , Forbidden Palace , Summer Palace , hutong ) amazing . P.S . asian country ( not speak language ) , carry several business card hotel address , print English Chinese . show card cab driver ; always spare pocket keep . 
 Mar 9 2009 	 good deal Beijing 	 opinion , one good reasonable upscale hotel Beijing . surround area expensive designer shop boutique every corner . even Starbuck ' across lobby need quick pick . hotel staff friendly courteous room clean comfortable . highly recommend it.jrw , richmond.bc 
 Mar 4 2009 	 defiantly go back 	 great room , service atmosphere . good value money favourite hotel Beijing far . 
 Feb 20 2009 	 central yet quiet 	 Park plaza locate along upscale hotel like regent , grand hyatt dynasty hotel.the hotel be not like large chain hotel type offer botique type ambience everything seem personal . centrally locate hotel soothe quiet.i love park plazas door entrance . automatically revolve around step around area . room bathroom small side fab interior make it.most : staff park plaza speak english fairly well helpful solo english traveller like . concierge helpful make sure cab driver understand want go , help find charger otherwise old cellphone , also get urgent fax message immediately send room even receive text family they ve fax already.park plaza parent choice hotel also favorite . cheap hotel amazing staff service could not well 
 Jan 31 2009 	 beautiful hotel 	 Hotel lovely , beautiful big bathroom really good internet access . room exactly see internet . staff really friendly helpful ! ! issue food alot expensive realise . breakfast buffet be not include room price cost around 20 euro per person . 
 Jan 28 2009 	 well thought would 	 book hotel mainly revìew still pleasantly surprised rate pay . check - in quick luggage wait us room . the room spacious well decorate . breakfast excellent quick service food always replace immediately buffet . we also good dinner hotel . not usually eat hotel restaurant would definitely return one . the concierge probably well encounter China , book internal flight us dinner helpful regard taxi 's make sure know pay get car . this definitely will stay next trip Beijing . 
 Jan 27 2009 	 Top Notch 	 usually not stay large chain type hotel feel comfortable stay american hotel first trip China . glad hotel wonderful . conveniently locate Wangfujing ( 5 - 10 easy walk0 feel safe . the staff could well . always polite go way help decent English . breakfast huge american chinese item . anything could want breakfast , . restuarant ( Bloo Dining ) say good overpriced . luxury meal reasonable US price ( around $ 70 two ) , try Huang Ting basement Peninsula Hotel right street . also try Jing Peninsula hotel little expensive . good great price . room large luxurious spotless bathroom . for first trip Beijing , feel comfortable use guide get around . like company tour be shuttle around 15 stranger never get exactly want . hire personal guide ( chineseqe ) absolutely wonderful . whatever want recommend thing not even know . wonderful knowledge Chinese History speak great English . 
 Jan 24 2009 	 great hotel good location friendly staff 	 stay Beijing 7 night book Park Plaza Wangfujing due 's price rating TripAdvisor . pay $ 80USD per night hotel quality , feel great bargain . this hotel locate 40 - 60 minute airport , depend traffic . average , taxi rate 80RMBs . hotel locate behind Regent Hotel Jinbao Tower , sometimes say Regent Hotel help since driver not know PPW be . PPW 10 minute walk busy Wangfujing Street , full mall department store food court reasonably price clean . big variety food choose open ' til 10pm.the hotel staff friendly speak enough English ( speak Mandarin test English skill much see communicate foreign guest problem ) . concierge helpful always try ensure safe journey taxi hail you . the room spacious amenity give ( toothbrush , toothpaste , sew kit usual ) . note though , many selection tv channel ; , understand language not problem we may guest . WiFi available , lobby . able connect iPhone room could downstairs . PPW locate high - end area ; Lamborghini dealership next door plenty big shop ( Gucci store opening across street near future ) . starbuck restaurant immediate area , try they . we would definitely come back hotel . 
 Jan 22 2009 	 Excellent stay love 	 stay Park Plaza Beijing Wangfujing love hotel . breakfast buffet bit steep - approximately $ 22 per head . lot reasonably price restaurant close concierge excellent recommend place eat . tour service counter , convenient . 
 Jan 21 2009 	 great value clean nice place stay . 	 great location , close subway make easy get around . starbuck across street quick cup coffee sightsee . eat several restaurant within walk distance fun friendly great price / food ! Staff speak english well enough give direction . honest make sure taxi 's safe fair call we . my husband stay hotel 80 % year think not good hotel beijing clean good value price . like three star- try ! good location city . 
 Jan 16 2009 	 exceed expectation 	 come back trip China stay Park Plaza Wangfujing 5 night wonderful experience . fluent English speaking concierge staff . chinese speak driver stay Beijing . use concierge staff explain daily iterniary morning leave day call translate plan change . eager help completely exceed expectation . room spacious , comfortable clean free internet . know could stay nice facility pay rate hotel major US city . personally would stay next time go Beijing . 
 Jan 14 2009 	 really good hotel . 	 stay 5 night December , include Christmas . Park Plaza great . took offer upgrade executive room include breakfast ( excellent ) also access executive lounge ( ok ) 2 - hour happy - hour free drink nibble every evening ( wonderful ) . good value money . comfortable room . Park Plaza well - locate , well - know taxi driver ; get locality ( make sure address Chinese ) , soon learn find actual hotel . everyone say , hotel staff great . someone say ' ' within walking distance ' Forbidden City , true - relatively young , weather clement . we pensioner bitter December day , wish take taxi ! within easy walk distance Peninsula hotel , excellent Beijing duck Christmas dinner lovely chinese restaurant . 
 Jan 7 2009 	 good hotel Beijing ! 	 simply good hotel Beijing ( quite ) ; main advantage quite reasonable price , extremely friendly knowledgeable staff , nice room ( executive suite - nice ) , quietness , super - efficient housekeeping twice day ... stay , definitely ! 
 Jan 7 2009 	 wonderful Hotel experience 	 spend four night Park Plaza enjoy every minute . major highlight incredible conceriege service consult head day frequently call ask help scheduling tour , make dinner reservation , etc . additionally , nicely decorate , clean room hotel 's proximity Tiananmen Square , Forbidden City popular Wangfujing shopping area contribute pleasant stay . would recommend hotel anyone take trip Beijing . 
 dec 23 2008 	 excellent hotel ! ! 	 three thumb ! ! hotel new modern decor . room spacious clean ! ! staff curtious speak good english.the room quiet . although little bit hard find , behind Regency hotel . 
 Dec 20 2008 	 good hotel ever 	 get wonderful hotel ! long walk Beijing railway station ( catch bus airport station since tell apparently & quot ; close & quot ; ) greet friendly doorboy ( later find Byron ) immediatly come , crack joke help we luggage get we ready check in . the front desk service check wonderful , polite , friendly extremly helpful speak fluent english . staff amazing make stay wonderful . door boy extremly funny especially Byron kindly help we enquiry get place always warmly greet we come back daily adventure ! leave Park Plaza next hotel Xi'an , ask staff could translate next hotel write Manadarin , happily go onto internet get detail friendly ! conceirge great even get maxi taxi we since go catch train airport . our room fantastic . bed big , bathroom clean , 2 water bottle provide day , heating system great since cold outside ! tv also lot english show HBO , MTV , Discovery etc . restaurant clean nice eat although price drink pricey ? think almost food ! , staff great remebere we sicne eat almost every night 5 night stay ! overall Park Plaza good hotel stay ! stay terrible hotel Xi'an Shanghai funnily enough hotel Shanghai & quot ; 4 star & quot ; horrendus ! ! not even half good park plaza ! staff friendly smile face , make enjoyable we ! definatly come back ! 
 Dec 15 2008 	 convenient location - 5 star quality 	 room , service include food , amenity gym internet would expect Plaza franchise . olympic room rate $ 150 / night due skyrocket later 4 - 5star hotel . clean new fitting . lot tv channel could use english one . good study area pay internet service room . food restaurant good general hotel staff . 
 Dec 6 2008 	 good value hotel service people need think 	 hotel centrally localize , great value cost . room nice , clean quiet . bathroom high quality functional . internet free . complain come back trip . charge twice stay . book hotel Orbitz prepay . even give copy voucher showing pay . manager duty seem understand fine . however , front desk people obviously function flower - vase . check , manager instruct everyone get . check , unfortunately , manager duty . staff leave , lack brain show . credit card suppose incidental . however , charge room without approval without reciept ( course ) . happen leave hotel . course could fight charge credit card . waste time energy . train staff well use someone brain ! 
 Dec 3 2008 	 wonderful experience 	 excellent hotel deserve high rating website . be solid 4 - star hotel , price competitively . Park Plaza great location within walk distance Forbidden City Tiananmen Sq . starbuck locate right outside front door , grab quick , cheap breakfast start day . sister 5 - star Regent hotel connect via short walkway , upscale bar restaurant . Park Plaza locate behind Regent another office building , 's street . mean room quiet . however , might hard taxi driver find . recommend take hotel 's card bellman head day . room newly furnish well appoint . bed extremely comfortable . restaurant ( try Western Japanese ) excellent reasonably price . service superb . staff speak English well , eager please . really go way make sure not wait anything . one pleasurable hotel ' ve stay vacation . Park Plaza part Radisson / Regent hotel chain , earn / use Goldpointsplus . drawback check - out . despite show bill local currency , chinese yuan ( CNY ) also call Renminbi ( rmb ) , hotel 's credit card machine convert amount US dollar spot , without consent , unfavorable rate - equal 3 % surcharge . charge local currency credit card day merchant result much well conversion rate . able get hotel refund surcharge , hassle . 
 Dec 3 2008 	 sure hotel popular 	 sure hotel popular TA reader . choose popularity quite disappointed . 6 night October . mess booking arrive 2nd day , develop & quot ; Faulty Tower & quot ; drama , due poor internal communication . many issue room ( long story ) . final straw come day 2 return hotel full day find luggage etc long room . instead someone else 's luggage room . whole episode may sound funny , shock we time , find thing go ! . buffet breakfast everyday ( include tariff ) . quality food generally poor . could lot well chinese food selection . , China . 
 Nov 22 2008 	 Great Location . would reccomend 	 get back China week . Beijing two different time stay Park Plaza time . call Park Plaza directly USA , give great AAA rate . staff great ! front door , Byron always greet able get taxi without ever wait . front desk concierge nice . everyone always greet whenever lobby . front desk ample people help . Stephanie great front desk . problem , right . believe Sweeden , speak perfect english help . room decent sized clean . free internet bonus . two free bottle water per day . shower great water pressure . tv basic CNN , HBO couple english channel . enough night help fall asleep . location great . walk one shopping area , five minute walk night food market . interesting outdoor night market selling scorpion , cricket interesting thing eat . even Starbucks outside front door hotel , need western style coffee fix . think price good compare US hotel pricee , would highly recommend hotel . 
 Nov 22 2008 	 great Stay 	 wife return 4 night stay Park Plaza Wangfujing thouroughly enjoy visit . room spacious clean comfortable 's 12th floor location give we nice view sun break fog city morning . as mention previous review staff extremely friendly helpful not find problem communicate English , well chinese limited & quot ; hello & quot ; & quot ; thank & quot ; hotel great location , within walk distance Tiananmen Square Forbidden City ( taxi 's numerous inexpensive ) number restaurant nearby , adventurous , wangfuje food market wher sample deep fry bug , star fish , seahorse , sheep penis variety retch - worthy foodstuff . not eat breakfast hotel guide , Qing , ( fantastic way ) we bright early Starbucks across road good option grab something go . room service menu fine selection western chinese dish not expensive circumstance . hotel make trip exciting city comfortable would definately recommend 
 Nov 21 2008 	 Warning ! book hotel ! 	 InterContinental Financial Street Beijing hotel far well hotel ! ' m baffle Park Plaza high rating . first travel review ' ve ever write 's make sure make informed choice , pick hotel strength 's ranking quite frankly , disappointed . everything life comparative course , Park Plaza actually ok hotel - staff indeed lovely , not compare InterContinental Financial Street Beijing . Park Plaza slightly date , pool decor / room nowhere near swish . breakfast good either . be look luxury , good service great food , try InterContinental Financial Street Beijing hotel - will not regret ... 
 Nov 21 2008 	 try ! 	 stay & quot ; Plaza Club & quot ; room afternoon & quot ; High Tea & quot ; include 5.30 7.30 p day . maybe tea available , go drink delicatessen table everything could wish ! top , staff standard entire hotel out - of - the - ordinary excellent reasonable price ! Svensson , Sweden 
 Nov 13 2008 	 Excellent 	 stay four night mid - November 2008 ( weather : sunny cool / cold , perfect ) . Park Plaza wangfuje excellent 5 - star , stylish , modern comfortable hotel good location sightseeing business . from ten minute ' easy walk Tiananmen Forbidden City . imagine people accustom stay five - star hotel would feel home . Liveried doorman welcome arrival . staff throughout hotel always helpful attentive , especially restaurant bar . mostly speak quite good English ( good ) . often line people wait reception – could do staff ( wide reception desk ) busy time . on arrival upgrade nice , spacious twin room ( see photo ) , marble bathroom . ' important , would worth ask room nice view - mine face office block across street . room decorate cream brown , deep carpet elegant wood finish door corridor , give stylish atmosphere . there free broadband internet room , good wide , deep desk write work laptop . Wifi available lobby bar area , need printer , internet lounge top floor , tea , coffee snack , free day long room deal . two free bottle drink water provide room day ( China ' drink brush tooth tap water ) . breakfast buffet excellent , go beyond usual range morning fare provide international dish several kind . I would definitely recommend Park Plaza Wangfujing . tip : taxi driver airport almost certainly able speak English , may problem read hotel map English street name . download English map hotel website , enough . course , driver problem get general area wangfuje , stop ask direction twice . hotel , many place , different name Chinese . Download get hotel email map hotel location street name write Chinese . check , hotel give " Driver , please take … " card chinese address , together series popular tourist destination write Chinese . even armed , may problem find place . make sure taxi use working meter . be careful cross wide street . drive standard high , turn traffic nearside lane stop red light . walk around main tourist area , beware aggressive rickshaw driver , people strike conversation time later ( skilled ) offer take somewhere ( expensive tea - taste ceremony get commission , tour hutong , so - call art student exhibit work ) , manner scam artist . Beijing amazing , exciting place . back soon get chance . hope wonderful time ! 
 Nov 10 2008 	 great staff 	 stay Park Plaza part tour group . stay fantastic start finish . every member staff absolutely everything possible make we welcome . big thank Bessie staff First Bar impeccable service night . room good standard plenty space full kit amenity bathroom . use wire internet room wifi bar / reception area , free . would definitely recommend Park Plaza travel Beijing . 
 Nov 7 2008 	 Loved Park Plaza Beijing Wangfujing 	 husband stay Park Plaza Beijing wangfuje 5 night mid - October begin two week tour China . book hotel base positive review Tripadvisor disappoint . good hotel stay trip . stay superior room spacious , clean , nicely decorate . bathroom huge ! two bottle complimentary water appreciate drink tap water anywhere China . nice convenience store around corner sell bottled water 2 rmb ip phone card ( bargain 70 RMB 100 rmb ) . hotel staff friendly helpful . concierge able arrange ticket Legend Kung Fu China Acrobatic Troupe Chaoyang Theatre . also arrange driver Great Wall Mutianyu , concierge , 800 rmb . hotel wonderful location short commute major site walk distance Forbidden City . use taxi exclusively travel bell boy excellent tell taxi driver want go . however , return hotel challenging ! several taxi driver call direction get we general area hotel . however , overall benefit hotel far outweigh inconvenience . advise hotel email map arrive airport taxi driver well shoot locate hotel . , not surprise taxi driver still call direction . room rate include breakfast breakfast buffet good hotel stay trip . buffet offer american asian cuisine dish varied day day . food excellent ! also enjoy Starbucks across road - a nice place unwind end busy day sightseeing . recommend hotel friend plan trip Beijing . I want share tip experience tour beijing.1 . always flag legitimate taxis driver always use meter . taxi driver try negotiate price without use meter husband walk away hail another taxi pass street . absolutely need business black cab legitimate one readily available.2 . not suprise taxi driver difficulty find theatre . surprised driver not know Beijing well . however , always get right place eventually.3 . although Legend Kung Fu recommend friend , show actually worth time money . rather boring husband relieve over.4 . try hard get ticket Beijing Acrobatics Troupe Wansheng Theatre , unable secure ticket travel agency outside China hotel concierge . theatre reportedly well acrobatic show , puzzle one seem know anything show . concierge able get ticket Chaoyang Theatre feel performance satisfactory.5 . great Wall Mutianyu highlight Beijing trip . follow recommendation make Tripadvisor reviewer arrive approximately 9:30 a.m. ( leave hotel 8:00 a.m. ) . strongly recommend take cable car walking leave Great Wall first . , opinion , impressive portion Great Wall . walk first thing morning mostly . tourist take chair lift start walk Great Wall far right end make section crowd touristy . also , start walk extreme right end wall will not likely energy walk far left end Great Wall . hike get steep times husband surprise tire 4 hour hiking . however , start cable car walk leave end block walk right end chair lift toboggan entrance , pleasant 3.5 4 hour hike without tourist crowd contend . tour group hike chair lift go cable car . husband take toboggan fun end Great Wall experience.6 . olympic venue open touring stay mid - October . 50 rmb / person visit Bird 's Nest . believe open tour 9:00 a.m. close 6:30 p.m . beautiful visit around 5:00 p.m. could see daylight light night . Water Cube also open touring , miss touring close early 5:00 p.m.7 . good people watch area Beijing park . love visit Bei Hai Park Temple Heaven Park . great fun see local ballroom dance tree watch 300 people spontaneously gather sing along . 8 . beware rickshaw driver near Hutong . husband want walk area foot , frustrating deal verbally abusive rickshaw driver every foot . surprised driver think bullying would actually result fare . make want get away quickly possible . final note Hutong - skip Prince Gong 's Mansion - it highly overrate crawl chinese tourist - it hard even move around ground Mansion long offer mini Chinese Opera performance . the 5 day Beijing good entire trip small part wonderful hotel staff . hotel great find . 
 Nov 4 2008 	 Excellent Staff 	 friend stay Park Plaza wangfuje Beijing great experience . location close subway stop , Wanfujing Shopping Area 10 minute walk Tian'namen Square . hotel new nice . Breakfast include plenty asian western option . guy concierge desk helpful , professional nice talk . first time Beijing get we private driver day trip Great Wall recommend great local restaurant -- good food trip . thank Hong , bring home really great new cd popular chinese music . 
 Nov 3 2008 	 review spot 	 early review Park Plaza spot lead us hotel . friendly employee , nice well appoint room , clean excellent location . a hint may helpful other . 1 . make reservation 2 room rate available full one . check couple week later AAA rate $ 50 / night less . cancel first reservation make new one AAA rate . 2 . aware add 15 % surcharge everything - room , bar dining room . 3 . breakfast include rate , starbuck foot away , good alternative . 4 . email hotel send map Chinese give taxi driver airport help find hotel . taxi cost 100 yaun . 
 Nov 2 2008 	 good hotel good location 	 stay hotel begin recent trip Beijing . use membership point partially toward stay actual cost 1/2 usual rate . upon checkin upgrade club level room , nice touch -- though give access club feature floor . room good sized clean . english hotel serviceable , front desk concierge . China concierge typically speak pretty limited English nice plus . I would say real highlight hotel location though . around corner easy use Beijing subway close night market . one note : print map location hotel 's website ( chinese street name ) fly could show taxi driver airport . unfortunately font image small driver could read . make sure print large otherwise will drive around downtown Beijing be lucky . 
