decent 	 want good basic hotel good price offer decent accommodation , inexpensive restaurant , internet access situate old part city Ajanta nicely . offer free transport airport ( 24 hour ) handy first time visitor India . onsite Bureau de Change add bonus . street noise slight problem early hour . 
 great hotel true value money 	 great hotel excellent staff friendly helpful , room clean n tidy close public transport go back hotel whenever visit delhi 
 Feb 20 2009 	 Ajanta Hotel Delhi : good place good people 	 stay Ajanta fHotel far central Old Delhi train station week international conference attend Delhi . comfortable clean room , happy discover free WiFi effect , nice restaurant ground floor roof . upgrade two well room last two day wife join along friend - couple travel companion back home . Mrs Kher good staff make we feel welcome , glad set generic post - convention tourism away Delhi Mrs Kher , make arrangement upon group 's arrival hotel . chandigarh Benares hotel , Delhi town driver guide Mrs Kher arrange , fine . particularly appreciate miss train one early due unfamiliarity tricky & quot ; helpful bystander & quot ; ( tout ) nearby railway station , Mrs Kher promptly arrange new ticket , provide we ride back station meet we get we safely way . best time travel India Northern hemisphere term : mid - late fall mid - late spring . terribly hot humid mid - sept early October . Ajanta air conditioning make big difference ; be optional / extra midspre mid fall sure get ! 
 Feb 15 2009 	 Nice Central Hotel 	 great central hotel near train station helpful Manager Mrs Kher organise trip Varanasi . hotel clean staff get anything need room quickly . Mrs Kher also arrange pick train station airport . restuarant next door nice food nice aswell . street night illuminate hotel travel agent name bright light . always agree good price hotel tour clothe . India amazing place . yet like country buyer beware . we go around Jaipur / agra / Ramthambore see Tiger first cantar ride . AWESOME . 
 Feb 14 2009 	 great value 	 great value extremely good service . 
 Feb 13 2009 	 great Holiday Experience Affordable Price . 	 go delhi december attend cousin 's wedding & amp ; stay Ajanta Hotel . service provide excellent ! conveniently locate near cousin 's place . pick airport hotel staff free . drive airport driver update we new place open restaurant , mall , etc . friendly & amp ; nice fellow . hotel greet manager hotel really helpful help we plan travel itinery . tell want see Taj Mahal Agra & amp ; Fatehpur Sikri Fort cousin 's wedding . room really nicely do clean ( ' m fussy hygiene & amp ; cleanliness ) . not expect nice considering deal get . restaurant nice breakfast bit expensive . location really cool . 5 min drive connaught place centre point delhi & amp ; amazing shop & amp ; restaurant . janpath favorite shopping haunt handicrafts & amp ; junk jewelry & amp ; colorful embroider bag . bohemian stuff price exorbitant manage fit budget hardcore bargaining . love haggle vendor ! never get Vancouver . highlight visit India Agra trip . ride Taj camel cart . darn exciting experience . First camel cart ride . Taj beautiful monument ' ve ever see . hotel arrange guide we explain history gorgeous monument . excellent guide ! informative witty . hotel guy arrange professional photographer click picture artfully . taj , go Fatehpur Sikri Fort intriguing monument . sitiuate top hill massive gate make we feel tiny . fort white marble mosque believe whatever wish come true visit top celebrity bollywood star . huge compound crowd . child sell stuff really pester we . whole great fun place visit . ajanta staff really make stay worthwhile . definitely stay whenever visit India recommend hotel everyone ! cheer guy ! thank ton making stay memorable ! Best Regards , Rachita & amp ; Gang 
 Feb 11 2009 	 good value ! 	 Booking easy , get great price central location Delhi . near railway station , super easy travel outside delhi . hotel arrange pick airport , get ticket train Agra , set sight seeing around Delhi , reccomende authentic place see . even restaurant travel agency , convinient . room nice clean . , exceptional service ! 
 Feb 4 2009 	 bad ... remember haggle Mrs Kehr ! ! 	 girlfriend arrive Dehli grab taxi straight Hotel Ajanta . we exhaust flight also bite nervous start plan 4 month backpack arrive New Zealand . as soon arrive , usher little room meet Mrs Kehr , representative Capital Tours . she ask we plan 2 month India , reply go we it . she plan everything we . a driver call Dinesh , really fantastic guy ... knowledgable , really good English . he take we around Rajasthan , Agra another driver ( rubbish ) take we Khajuraho , Bandhavgar Tiger Reserve Varanasi . we haggle price LOT ... feel get average deal . I must say though first price ( halve ) would HUGE rip off . the hotel Ajanta well locate Delhi . room average sized , could do paint job clean ... get pay for . overall , would say really good place start experience India ! 
 Jan 31 2009 	 good pick 	 book one night Expedia $ 52.15 . main reason choose hotel arrive 10 pm New Years Eve Ajanta offer free airport pick - up . pick airport work perfectly . our room clean plain small . like king - sized bed single room . reasonable room Ajanta may lucky actually get one . second night stay , return journey , well furnish still small stank smoking . clothe bag smell smoke day afterwards . disgusting . the final room stay fly well furnish spacious . pay expensive tour purchase in - house travel agent . six different standard room accord website know standard room stay . whatever initial cost room , place negotiate well price . everything rider ' by indian standard ' negotiable . the Hotel Ajanta street hotel . fairly close New Delhi Railway Station degree difficulty walk street , still need rickshaw autorickshaw get luggage , back , start rs20 . area walk distance Connaught Circle , without luggage . the restaurant small quite attractive . first morning breakfast buffet Rs200 expensive , convenient . another morning , reasonable hour , walk darken restaurant tell open . food okay service ' indian standard ' . 
 Jan 21 2009 	 great service ! ! 	 New Delhi last month cousin 's wedding . stay Ajanta hotel week half , great experience overall . staff polite friendly . lobby staff go way help we find thing need around town , like find shop , etc . would definitely recomment friend go stay go India . thank guy ! ! - sunny Parmar & amp ; Family . 
 Jan 21 2009 	 awesome time 	 good hotel stay ur goin delhi u good time goin place north ask & amp ; deliver room that s good service ........ would lift pen regard nakul 
 Jan 20 2009 	 constantly mislead 	 arrive Nov Delhi mom . book Ajanta online easy . expect pick airport . room nice photo online , . arrive late little choice . next morning woman introduce , later find run Capital City Tours , Mrs. Kher . ask we plan . make we believe book train we mid range hotel . price 2 $ 1700 10 day , think lot , 7 foreign place . Next say complimentary tour around Delhi , go . discover hire personal driver 6 day . nothing annoying ! would take we place get commission , fed mind crazy story poison rape , complain job entire time . also fall asleep driving refuse pull nap . hotel really nice , one disgusting . suppose stay we 6 day - let go day early obnoxious . next 4 days- nothing include original $ . last day trip prepay overnight train ride hotel Mumbai Mrs. Kher . unfortunately bus accident ( side note : do not take bus driver drunk ) . mother could not continue travel begin book flight home early . call Mrs. Kher super nice saying would help we ever need would refund we $ 100 last portion trip . 2 month , 3 phone call , many email later still have not refund . phone would say check 2 day , go , will send confirmation . nothing . feed us lie shut we , write people know bad business something unfortunate happen lie make happy follow . 
 Jan 18 2009 	 great hotel 	 stay November 2 days- friendly , curteous staff , clean roomstravel agency hotel v useful get great deal stay overnight Agra travel train . incidentally , hotel v close train station delhi.would gladly recommend hotel friend / family stay Delhi . 
 Jan 14 2009 	 gem 	 travel Delhi December 2008 San Francisco last minute buddy book Hotel friend recommendation stay before . I glad find hotel well expect , great value money compare hotel busy touristy neighborhood . the room clean spacious , internet connectivity great . hotel staff courteous , good service help plan trip Delhi . also able book tour Agra & amp ; Jaipur Hotel private taxi last minute reasonable rate . way flight delay due fog Delhi miss connection back state . Hotel accommodate we last minute 2 day provide transportation airport promptly middle night . highly recommend place stay traveler . thank Ajanta . 
 Dec 28 2008 	 Decent hotel convenient train station 	 really hard time find hotel Delhi choose Hotel Ajanta proximity New Delhi train station early morning train catch Agra . hotel good neighborhood think could say hotel India . short walk station quite comfortable , save extremely noisy neighborhood . good part though probably attach restaurant . breakfast not anything special long day sightseeing , dinner restaurant superb . 
 Dec 27 2008 	 Great Hotel Delhi 	 highly recommend hotel ! book trip lastminute.com find www.hotelajanta.com organise free complimentary pick airport . we book superior room spacious super - king sized bed , air conditioning , tv , table chair , kettle , mini bar ( shop price drink & amp ; snack ) , shower en - suite towel . the restaurant lovely - proud staff , tasty food bargain price ! 15 minute walk Connaught Place cheap 50r ride auto rickshaw . 
 Dec 24 2008 	 overprice adequate hotel 	 book deluxe room airport pickup leave India . airport pickup go well appreciate since arrive 2 . deluxe room window toilet leak . show we two deluxe room one window tiny window however toilet not leak room . tv work room . room clean enough . restaurant adequate nothing special . use travel service book tour go well . would recommend Capital City Travel . 
 Dec 23 2008 	 bad hotel noisy outside 	 bad hotel room fine - though book two double room two couple , one couple get room ensuite bathroom double bed , couple get two single bed use bathroom across hall . hotel pretty good restaurant shop sell bottled water etc across road . bad thing hotel however noise - could barely sleep night horn blast dog bark . say , lot hotel consider booking seem equally busy road bad . Ajanta seem pretty expensive - pay price small town ( Gwalior ) day later much well hotel . say , Ajanta probably lot well ' budget ' accommodation available problem noise . reception also exchange foreign currency traveller cheque helpful . 
 Dec 19 2008 	 well street ; good desperate . 	 need place 10 hour flight ( overnight ) .booke good website ( obviously carefully select angle photo ) . exhausted show bad room mildew corner hotel . window , basic bathroom , sterile vibe . , go see another . another . Al bad boring feeling . probably worth 7 - 8 $ night AC . really dark place nice ( far busy reception rather dodgy people ) . taste lady , forget place anything one emergency night . 
 Nov 8 2008 	 adequate 	 Hotel Ajanta ok we . read reviews Tripadvisor , wife apprehensive staying . well , airport pickup go without hitch . claim close airport , like central Delhi , 40 minute airport . neighborhood real Delhi , lot interesting stuff go street . even get watch performance Ramayana small park adjacent hotel . staff friendly , not book anything hotel . avoid kind pressure stay night - to - night basis . superior room little small quite clean indian hotel standard . retrospect , bad review site reflect indian hotel general Ajanta specifically . stay one night layover fine , get little taste Delhi problem . ' stay week Delhi , might fun treat fancy place couple night . consider possibilite Delhi hotel , Ajanta adequate . 
 Nov 7 2008 	 really like hotel 	 come India ( Delhi ) continuously last 10 year business Delhi . try cheap ( 100 rupee ) end hotel expensive ( £ 50 night ) settle nicely middle Ajanta . never experience anything friendly polite service , clean room , excellent food restaurant business contact impress standard visit meeting . give definite thumb continue use Delhi base without hesitation . Nicholas Laura Barwick , UK 
 Nov 4 2008 	 stay away ! 	 email correspondence hotel enough warning stay away however persist put lack english communication . upon check request go room describe customs integration office . lengthy process advise room available , numerous time ask room type presidential suite pay arrive check lady advise ' yes room type one book ' . upon arrive room question front office staff apparent give room type request however give one three four time low standard . also apparent question matter hotel staff happy we stay low room type without refund we difference . lengthy discussion front desk follow day , check person reluctantly refund we rightfully ours . during stay find hotel staff unhelpful rude . lack communication within front desk annoyning report thing three different people . thing go hotel friendly driver greet we airport . stay Delhi would recommend stay hotel . numerous hotel along road suitable . room look like one display internet . 
 Sep 9 2008 	 Booked Stayed regret 	 ok year ago , still ... book Hotel Ajanta first trip India . figure get , read various taxi scam go Delhi Airport ! hotel not bad . room clean , whatever . problem begin tell inhouse travel - agent want see Rajastan . sell 7 - day trip driver etc . etc . etc . needless say , complete disaster , first day demand return Delhi , get back hotel demand money back . serious arguing , cave refunded . good . second terrible experience organise tour ( another agency ) steer clear tour agency rest trip . all , be ok place stay , be fairly honest , fairly clean , quite expensive ( 700rp night ) . rest time India never spend 400rp night room . 
 Sep 8 2008 	 Fabulous 	 buddy L.A recommedned . come stay friend . awesome stay . great staff must try & quot ; BUTTER CHICKEN , DAAL MAKHANI ( Lentils ) .5 Mins Conaught Place late night pick up available airport . feel safe comfortable . Checkout newly renovate room . 
 Sep 4 2008 	 among well experienced 	 avid traveller travel world stay hotel big small . stay Ajanta pleasent experience - make trip comfortable memorable . location excellent amenetie par botique hotel around world . however good part customer service . take care family make we feel home . well ask non - familiar environment kid . friendly , trustworthy eager serve staff - man , definately go back highly reccomend fellow traveller . 
 Sep 1 2008 	 Excellent service 	 's really good hotel get affordable price , good service & amp ; convenient location . kudo ! 
 Sep 1 2008 	 amazing hotel be get ' People ' touch . unrivalled hospitality . 	 hotel run genuine , warm care folk actually welcome guest . Hotel Ajanta , be family . leave want nothing , management staff unique ability satisfy even unexpressed need guest . highly recommend place . 
 Aug 26 2008 	 bad hotel world ever stay 	 constantly argue cheat hotel . ruin holiday cheat we money . stay HOTEL . first day take 6 hour check pre - booked room . room cockroach change room miss bed . take 2 hour get bed . also accuse we pay despite receipt try make we pay twice . as soon arrive make see tourist lady , lie cheat . buy trip . sell us trip possible car ' use due Independance Day . try sell we trip total 20 , 000 rupee ( £ 250 ) . thank god take cheap option . know trip use car possible sell us trip , conscience , make money . ' give we money back . also constantly lie try sort thing constantly change story . sorry action . never meet lady bad lady life . there lot hotel Delhi stay one would recommend bad enemy . 
 Aug 6 2008 	 try make we pay twice room ! 	 book two room stay one night Ajanta hotel July 13 , 2008 . give credit card number arrival payment . staying one night checking , man front desk ask payment . tell already make payment via credit card , say payment not go yet need cash . ask later , pay cash , credit payment come . man say would refund money back ! though fool . tell look check payment fool pay double . he also go charge we food never order night . ask mineral water . also try add bill food item . the front area renovate room . picture website nothing like room stay . much dull . the door lock olden style key keep jam . my room basic small bed small tv . room double bed tv mini - fridge not work . please wary stay . 
 Jun 1 2008 	 horrible place ' ve ever stay 	 hotel joke . not stay . know not much choice Delhi clean , decent value place , well dump . sheet filthy , staff horrible shifty , wait outside room leave next morning , bathroom dirty . avoid cost . rip . 
 may 29 2008 	 Bad experience 	 say stay stupid hotel horrible experience life.i stay 1st week may 2008.i pick hotel chauffer midnight flight ( nice thing stay complimentary promise ) . escort smelly indica car a / c . ( promise phone a / c car pickup drop lady talk ) .the drive smooth . expect big hotel appearence see website picture . drive road congested , unclean , bustle activity even midnight . usher reception . ( suppose give welcome drink website promise . even welcome inside ) . ask room manager told give icard ( heared iphone icard seem something discover ) atlast come mind i - d card give . allot standard a / c room . hotel ppl navigate labyrinth maze give room 303 one corner . small room tv fridge work mean hold couple fanta bottle . door proper secure lock use room key lock time . bed tooooosmall hold two ppl . bedsheet give mean one share 2 people . whole night light outside glow heared sound autorickshaw pying . do not get proper sleep all.the bathroom ordinary . next morning bath ( luckily luke warm water available ) go hotel restaurant south indian food item . force eat badly burn bread omlette tuttifruitie . plan go give key reception ask clean room . come back evening ask key . reception manager fumble coz key return reception cleaning . wait 1/2 hour get duplicate key . finally suffer insomnia next night . bad ask car drop us airport tell pickup complimentary drop chargable nominal price rs 350/- . hade fish money get car since board flight urgently . overall bad experience stay ajantha 
 May 13 2008 	 Decent tourist class hotel 	 Checking experience . take see many people want get room ( try sell tour / excursion / flight ..... .... sort 's much cheap ) eventually get room , turn simple , basic clean enough . consierge try sell we upgrade arrive room , refuse . not think room much different one ! ! ! air conditioning ceiling fan must India April ! ! ! restaurant good breakfast dinner . Buffet breakfast available arrive morning . pretend leave full al la carte become available hahaha ... try ! ! ! ! ! give we lovely cake one birthday stay . would enjoyed dread Delhi Belly , fault ! ! ! ! ! internet available small cost 
 May 13 2008 	 treat like Criminal 	 book room hotel Nepali friend fly home . flight due leave next morning , reserve one room we would leave hotel 1.30am . the hotel refuse give we room , despite book fact room available . reason ? apparently friend Nepali male english female , way go give we room together , despite fact would couple hour . it take we hour arguing , stick office staff stare we , offer room another hotel . either treat like criminal ignore like problem hope would go away . I think would treat like travel companion another nationality . one hotel never ever stay ( ) would recommend anyone . 
 May 9 2008 	 average room efficient travel agency 	 stay hotel two night first one additional night take four - day trip Agra Jaipur hotel 's travel agency . first night 's small room small disappointment , since reserve semi - business room . however , travel agency manager hotel ask first thing morning , like / dislike room give we another room second night . well . room last night ok well , toilet not flush without first pour water bucket . food restaurant average , well worth restaurant nearby go to . roof top bar basic , internet facility adequate . hotel currency exchange prepay - taxi desk complimentary pick - up service airport ( work well ) .The travel agency hotel surely worth recommend . get good deal four - day trip Agra ( accomodation already reserve two night ) Jaipur ( one night accomodation package ) include airconditione mid - size car professional nice driver separate guide city one - day sightseeing driver Delhi plus last night accomodation Ajanta . altogether efficient , convenient easy . use try gather package together bus / train ticket hassle baggage . 
 Mar 22 2008 	 rip 	 , female friend , book Hotel Ajanta leave England . neither us India check internet book holiday there.on arrival Delhi Airport meet driver take we hotel . 's face first obstacle . give poky windowless room . much arguing staff allocate room front building , also poky balcony overlook street . stay night 14th , 15th , 16th 17th February 2008 , leave midday 18th . time room clean towel change . roof - top restaurant building site , service . luckily use hotel base . 16th February ask trip Agra , take car day . quote Rs4000 , decline . find reasonable rate across road.we also book two night , 4th 5th March 2008 , someplace go end visit India . arrival 4th March tell not room we . much argue give room , windowless , large original one . one night ( book night 5th March leave 11 pm airport ) decide make do.all well go settle bill . ( previously hear other argue bill think nothing ) end pay two night original stay four night . time press , get airport , choice pay . include bill charge clean room twice , .. clean whilst . arrive hotel 4th March already pay r 1000 , enquire balance tell Rs1460 . check pay Rs2430 . return India late 2009 stay Hotel Ajanta again.am satisfied hotel , would recommend ? definitely ! 
 Mar 22 2008 	 Service scowl 	 Pros - Close New Delhi train station 10 - 15min walk Connaught Place . Cons - Service scowl . place terrible . ' ve travel India 6 week Hotel Ajanta one bad ' ve stay . room ok ( little pricey get ) though not expect get room clean . location decent . staff generally miserable interact . seem actively dislike patron make rather unpleasant hotel stay . well place stay Delhi avoid hotel . 
 Mar 16 2008 	 good location reasonable price 	 New Delhi , close main railway station edge Old Delhi , hotel offer reasonable value money airport pick - up include .. location could culture shock ` experience third world . bedroom noisy , large suite well equip problem .. breakfast extra 175rps good . travel agency within hotel . 
 Mar 9 2008 	 scam - watch back 	 arrive tell check travel agent , faffe around voucher reception night train delhi tuk tuk driver insist would check reception travel agent . receptionist tell check check even though indian woman front checking . grrrr , go back travel agent . fortunately could hard sell even stay night . room clean , windowless . need . breakfast excellent . travel agent come breakfast try accost breakfaster tour . lot people loiter around floor . sort bang / building go room floor '' Rooftop restaurant '' building site , get tea sit dusty chair ! view goodbig SIDE - come check , try charge we , claim check 12 - say , be due leave till tomorrow , check early . , ' where voucher ? ' give , say . say could not find , although do not really look wanted charge we . fortunately second invoice , though strictly voucher copy let we go . surely must system , ie do not let room without voucher , personal opinion deliberate scam . 
 Mar 5 2008 	 Average 	 stay presidential suite 4 night . room good size , bed comfy shower fab . accept Delhi noisy room soundproof . use hotel base central . room never clean 4 day , India ! choose use hotel 's travel agency find much cheap deal elsewhere . did'nt appreciate try cancel room , confirmation let we stay . choose stay different hotel return . would stay fair price . hotel pickup fine , quote $ 20 return airport . Taxi 's charge 400 rupee 's journey ! £ 5 $ 10 . choose taxi ! 
 Feb 20 2008 	 Terrible Hotel 	 please note : hotel advertise New Delhi actually Old Delhi . we stay Ajanta Hotel total five night early February 2006 . first stop round world trip . pick ok airport immediately shepherd travel agency Mrs. Shah dive straight ' hard sell ' . know charge credit card 47,000 inr trip Jaipur & amp ; Agra cost 20,000 INR . argue have rip we give we 20,000 INR cash back 7,000 INR argue . despite rocky start , determined enjoy time beautiful country two really nice day around Delhi friendly , honest driver . try take we emporium stand firm tell not interested . totally ok give 100 INR tip seem much happy that . our trip Jaipur Agra great hotel ( especially Jaipur ) nice clean room good food . course come contact scammer good way deal ask 's first time India say ' no ' . usually back firm they . when return Delhi rubbish staff Ajanta ignore eat place hail rickshaw ( really easy , raise hand roadside fifty race towards ! ) .All , India amazing place , be Delhi maybe consider stay somewhere else . 
 Feb 17 2008 	 Basic ok 	 first impression place especially street situate look seedy . room look somewhat tired , lot noise street , family pigeon make air conditioner nest . apart , though , room clean , shower powerful warm , bed comfortable . breakfast resturant pretty good , dinner good . the hotel taxi service good first morning , one in - house travel agent corner we ask have plan rest two week stay India . decide hear propose itinerary around Rajasthan we . since itinerary price sound reasonable , decide go . turn two good week ' ve ever ! one day Hotel Ajanta end holiday stay room . somehow , standard seem lot high room lot quieter first stay . think spend two week India , have get use seem noisy chaotic first . 
 Jan 17 2008 	 trap trap trap 	 arrive airport pick service , call hotel send driver suppose 5 minute end 2hrs . hotel situate busy unpleasant part town . although hotel reflect outside plenty blemish : pay suppose complimentary driver plus expect tip . escort directly travel agent room instead check proceed rip we offer outlandish price tour car . staff expect tip everything ( include point room even though already know ) . advertise Wi fi work hear still be not work week . internet slow work time frustrated tourist , fact still expect pay internet do not work . exchange enough INR 6000 . hire driver aware take emporium emporium specialised shopping ( case camera ) take cheap government store expensive store thay commision . save lot money catch auto rickshaw get around . although rickshaw driver exactly thing firm know muck around . make friend driver establish quick understanding save we lot money time . hotel like other suppose , cost milk tourist money . although nice warn , aware remember travel arrangement possible even though travel agent say ! ! food good superior suppose presidential suite good ( do not expect great view like net show ) anything basic . hope help especially first timer india ... 
 Jan 7 2008 	 dirty noisy expensive 	 dirty bathroom ( hair floor ) ; noisy ( carpentry go 9.30 pm ) ; expensive ( estimate 500 rupee ' worth hotel 1200 rupee ) . complain noise offer single next carpenter price . sour staff expensive shuttle ( free , indicate web deal ) . would negoitate , although mention web price . 
 Jan 6 2008 	 Avoid Place ! ! 	 - lot room window- room rate far high room service provided- pay room advance arrive one room give someone else one person group 3 stay another hotel even worse.- try cheat we tax try charge tax room applicable food beverages- Bed sheet dirty seem change guest.- Roof top terrace place dump rubbish old furniture , ' use sit- see many people complain room , cleanliness price stay.- attach travel agency aggressive try sell tour heavily overpriced . usually people arrive hotel ask come travel office straight away . ask quote 3 day tour get one third price somewhere else later . buy TOURS PLACE ! ! ! - clearly say go put foot hotel recommend avoid stay . 
 Jan 6 2008 	 great 	 think way describe hotel disappointing . the room stay reasonably sized comfy bed , not particularly clean shower well describe lukewarm drizzle . the food restaurant tasty reasonably price . the location handy train station bit seedy noisy ( Delhi 's surprising ) .The bad part hotel constant hassle . manager / travel agent constantly try sell tour , train ticket etc . first 's problem carry ask everytime spot , include be meal start get quite annoying . 
 Jan 2 2008 	 Tower Terror ! 	 stay 2 night , 11th & amp ; 12th December mean stay another night not , read understand ! ! Positive Location 5min walk New Delhi Train Station perfect early morning train Agra Cantt station see Taj Mahal ! ( want hint tip not hesitate contact ) .excellent free transfer airport hotel , take 40 min rush hour . room 206 - massive bathroom clean . tv , air - con ( need December ) , cheap mini - bar , hard bed ( preference ) . restaurant serve nice & amp ; reasonable food however , not like meat bone go vegetarian ! beer serve restaurant go roof terrace get Kingfisher beer . negativesnot enough toilet paper , know seem petty tip someone get basic ? go towel . clean bathroom take away dirty towel replace unless give money ? say early food nice restaurant , however constant harressment waiter manager mean could enjoy food ! also aware meat bone , use every part ! hot water last morning go speak manager ignore shrugged shoulder ask water would come back . bad , constant building work 2nd floor - mean night . think actually start 1 am , could actually taste dust ! feel like build next door ! go reception ask move manager ignore . enough point leave , check partner go speak manager stare we not say anything ! know 's personal choice please stay hotel , good luck ! ! last night stay Hotel Palace Heights Connaught Place . please see review . 
 Dec 22 2007 	 room clean optional ! 	 funny place - ' ve stay literally hundred hotel year , one strange . first , not automatically clean room everyday - request ! secondly , renovate room next door - till 4 morning ! ... see photo . amount complain make difference . although close railway station , hard find , website give poor direction . on plus side , friendly , reasonably clean good internet cafe . the good thing , though , travel agency hotel operate . Mr Kamal Gupta help organise trip Haridwar Ganges , well run - suggest excellent hotel . thank Kamal , stop Ajanta terrible disappointment . 
 Dec 7 2007 	 trust travel agency ! 	 book hotel Goa travel agency hotel . arrive Goa , hotel disgusting , linen stain unclean , swim pool unclean , could not see step , let alone bottom . so , call Ajanta ask could get refund , say yes phone ..... month later , still try get refund . email call countless time still refund . also find since make 50 % commission PER NIGHT booking . the hotel great either , poor location room window ! 
 Dec 1 2007 	 Grand little place clean 	 stay weekend , first room 2nd floor beside building site , noisy dusty , ask move reluctantly , far superior room 4th floor . 's noisy area open air venue right outside leave hotel . whole area quite lively actually add rough around edge charmof place . staff pretty gruff , not really bother , not tip circumstance . restaurant serve lovely well price food , local well tourist restaurant good sign . 's reasonably price budget , comp pickup airport also arrange trip Agra beyond . if convinced bed make clean sheet first day bother service room second day would say average ! 
 Nov 22 2007 	 good travel agency ! 	 hotel okay recommend short stay Delhi however situate crowded noisy area . I find hotel 's travel agency helpful due 's capable , experience friendly travel agent Mr. Kamal ! 
 Oct 30 2007 	 experience always remeber fondly 	 Frome first moment walk Hotel know going come back . never feel home comfortable establishment . front desk staff housekeeping staff , everyone pleasent , helpful warm . would surely recomend hotel freind family . 
 Oct 29 2007 	 Fawlty Towers India ! 	 rate & quot ; terrible & quot ; ... er ... terrible ! actually , Ithink hotel perfectly comfortable seedy , old colonial yetbohemian sort way . one lift would not trust infor 2 minute , concierge every level like knowexactly many tip make one conversation will report falsely boss try give clothe local builder . hot water intermittent . creepy manager near reception loiter ask foil get use restaurant , taxi service , facility . however , tell leave pleased certain aspect , drop like dead donkey fend . say , restaurant pretty good certainly convenient room fairly clean , although slept bed cover dirty mark sheet look suspect . disturb creepiness though manager come we first night sample delight street inform us night road safe mugger thief . feel strange , overkill way get we use restaurant . book second night ( convenience ) hike Expedia price double . like quirky , creepy , soil disingenuous , place . expedia team people beyond ! 
 Oct 28 2007 	 Decent Hotel 	 hotel nicer expect . room basic fine price . room balcony great see hustle bustle we . little noisy time , be expect city ! : ) restaurant food delicious staff helpful . also convenient internet access onsite . overall , would stay location great ( far Connaught street Tuk Tuk ) . 
 Oct 3 2007 	 great place stay Delhi 	 firstly location excellent . heart city accessible shooping sight see district . next pricing . real value money . mean devoid luxury amenity . clean confortable placestaff courteous stay rather pleasant one 
 Jul 24 2007 	 Decent hotel terrible surrounding 	 relatively clean organize place , locate chaotic area near New Delhi railway station . aware tout wait right outside door ! restaurant offer decent food seem crowd tourist . price fair , do not booking , negotiate accept offer . 
 Jul 19 2007 	 over - rate Hoax ! ! 	 note pretty decent review place , friend & amp ; unfortunate ' luxury ' stay hotel . airport pickup time . check past midnight almost nightmare ... save mood argue Jetlag set . room give we probably clean last month . ( sheets- ugh ! ) especially toilet . be not ungodly hour land , would pick bag walk street search another place . ( plenty street ) surround area vibrant full life , though dust noise intermingle . the guy counter try good rip we every turn , imagine ' good ' review appear . next day check , despite attempt intimidate we ... find nice , clean place street call Godwin much less tag . 
 Jul 15 2007 	 horrible experience ! 	 room clean air condition noisy difficult go sleep . would never stay ! would recommend everybody else stay away . many well place road . this hotel travel agent ! arrive late flight London hotel interested arrive sell we one trip . since first night think polite listen even though make arrangement leave home . tell route plan stupid stretch want take train impossible - although actually ticket train definitely run . book car pick we next morning go Agra . tell rather aggressive way ridicolous car come agra pick we drive back agra , way sesnible drive delhi agra back delhi ... hotel make every effort driver find we ask fo we even say nobody name stay hotel . many place stay Delhi , pick one ! 
 Jun 4 2007 	 Tour operator 	 read positive comment website , decide book 2 night hotel . accord quality facility offer hotel , price room expensive . moreover , spot , book 13 - day trip tour operator hotel Ajanta . disappointed gap initial prestation present sell trip real quality activity hotel . pay indeed expensive price get air cond hot water hotel , case many night . addition , book camel ride desert & quot ; wonderful & quot ; night big tent desert local dance huge diner ... desert , guy charge activity explain we possible sleep tent never hear local dance ... decide cancel remain day trip go back Delhi discuss & quot ; hardly & quot ; hotel Ajanta refund money back . angry pay expensive price bad prestation , finally , get bad holiday . 
 May 23 2007 	 rate ! ! ! trust .. crap price 	 ok , read review place took grant . bad place ... worth price . go stay 4 nite stay 2 becuse well hotel along streach much cheap well quality . stay Godwin . much well . food excellent servious fabulous . Ajanta do not even change sheet . CRAP ! absolutly overate ... do not fall pic web site .... trust I . they also try cheat check mid nite onwards ... tired try manupulate ( previous review stayte ... charge extra tax confirm one rate want full payment upfront . ( fall ) . thing pay full payment upfront . overall ok place , airport pick time .... absolutly worth price compare hotel around place . never book place recommne anyone . WAY ! ! price , even think cheap . convince ... stay one night walk around ask hotel around ... check rate room ... bet check next morning ! good luck ! 
