nice 	 spend Thanksgiving weekend hotel get good price ( much low normal rate ) . room nice pool exercise room . parking expensive , give 50 % discount hybrid car ( yea ! ) reasonable . not many place immediate vicinity eat , nothing far walk . 
 Oct 6 2008 	 top quality hotel top quality location . 	 book & quot ; purely America & quot ; England read pretty bad review travel find Swissotel classy , clean , comfortable superb bed brand new bathroom . view 29th floor ask get brilliant , free swimming pool 42nd floor experience enjoy savour , breakfast absolutely fantastic . side temporary small bar due renovation also non - availability subway North Michigan Avenue also due renovation . however absolutely fantastic location hotel mean main city centre sight Chicago within easy walk distance , probably well walk along street subway . great holiday maker first time visitor . superb value money . 
 Sep 20 2008 	 Classiest hotel ' ve ever stay 	 not really sweet deal run towards July - August- would ' ve stay hostel Lollapalooza weekend , constantly worry stuff go to get jack . this hotel top - notch , probably classy hotel ' ve ever stay . bit construction go front hotel , not detract nice look inside . staff pleasant easy talk question . room spacious pristine pillow - top bed make almost impossible get morning comfortable . bathroom big like separate shower tub . also gorgeous view city window . there be Palm Restaurant 's first floor lobby 's excellent . fantastic service there- pricey , worth . 's far walk restaurant nearby not feel like steak . I would say downside hotel lack free wi - fi . gym pool close early . if ' m lucky enough Chicago find excellent price stay , will gladly go back . 
 Sep 9 2008 	 Good Hotel beware extra Charges 	 friend go last minute trip Chicago stay Swissotel . room average clean , view lake . little surprising everything extra charge . use gym pool $ 15 day charge , print boarding pass $ 6 dollar charge internet service $ 9 day charge . borrow umbrella hotel leave room guest use , return , yet charge $ 20 umbrella , still dispute hotel . room never get cool , call front desk twice room check , one ever come . concierge swiss difficult time understand want direction bakery sell cupcake , like ridiculous game charade . vacation wonderful accommodation less wonderful . 
 Sep 3 2008 	 loved view 	 stay two room 22 floor August two teenage daughter . the view room fantastic , daughter allergic feather trace remove room soon advise housekeeping . the room spotlessly clean serviced day . we purchase 7day travel card cultural center use hop bus . the number 6 bus stop right outside Hotel soon take block long day , much amusement driver . hotel locate middle Magnificent mile Grant park make ideal location . breakfast every day take everyday corner bakery 5 minute walk away . we want leave time go Hotel arrange large suv take we many purchase airport . this hotel really good hope return one day . 
 Sep 1 2008 	 Nice Hotel 	 Booked via Hotwire . overall location , room size comfort average . bed comfortable Milwaukee Hilton stay 2 week prior .so neutral ? ( 1 ) long line several time check ( 2 ) go elevator - maintenance issue ( note major maintenance issue last stay - elevator do not work several hour ) . additionally ( 3 ) shower pressure lack , ( 4 ) double charge internet refund - fairly confusing log screen , ( 5 ) nickle dim parking / bell hop / etc . the last item - expensive hotel charge internet go cheap motel get free ? 
 Aug 31 2008 	 good get good shower . 	 good hotel ( great value , get promotional rate ) get room full working order -- -specifically shower doesnot leak water bathroom floor . we ( two adult two kid ) recently stay two night ( 8/29 - 31/2008 ) , unfortunately , get stay three different room . we arrive morning Friday 8/29 professional front deskwoman immediately assign we room ( Labor Day weekend check - inwas til 3 pm ) , much pleasure . we go room -- -which appear quite nice . particular , bathroomhad bathtub separate glass - enclose stand - up shower ( latteris significant . ) ditch bag head full day museum - ing ( highly recommend Science Industry Art Institute . ) return late , around 9 pm , tired grimy ( hot ) . shower inorder . shower , notice small lake tile floor thebathroom -- -clearly leak shower . want wife andkid 's shower cause tsunami ( also want paddle throughthe bathroom floor ) , call front desk . after wait drop call , second call get harass - sound front desk person indicate would send anengineer ( term ) .The engineer arrive 9:30pm show we problem . glass doorson stand - up shower make use plastic strip glue doorto stop water leak . shower door , strip crack broken , allow water leak . engineer inform we could not fixedimmediately ( door need take , glue apply , wait day tocure ) tell we front desk would touch move we adifferent room . at 10:30pm , follow - up call front desk , call thefront desk person . sound busy , agree move we . SPECIFICALLYrequested non - shower leaking room : - ) bell - hop come new keycard ( btw , ever situation , go frontdesk get key -- -the bell hop fast . ) , around 11 pm , new room -- -exhauste , immediately go bed ( theonly shower person : - ) ! AC new room quite noisy ( especially room quiet ) , exhaust eventually pass out . in morning , wife shower first . will never guess happen : - ) shower result even big lake first room . ( aquarter inch water wall wall . ) call front desk send another engineer . gentlemenlooked door point entire bottom water sealingstrip go -- -the result suggestion previousengineer ( move ) .Fed , speak manager duty , whose name Hans ( think ) .After express angst ( like professional staff , room , hate shower inability find non - leaking shower ) , agree move usto room would check engineer shower leak , PRIOR toour re - move . , apparently , require time . eventually , Hans calledus tell we room ready ; save time , wife go get thethird set key card . in third room 10:30am , , finally , shower kid headedout enjoy Chicago around 11:30am . ( yes , shower , finally , leak . ) lose third usable day 8/30 deal poor design beautiful shower . tangible consequence thatsome time tour plan museum soldout time get . however , enjoy Chicago final night uneventful ( clean . ) mention hotel attempt modest redress ( breakfastbuffet ) , prefacing & quot ; rate level , 's ... & quot ; let gently suggest Swissotel management infrastructure failsa customer twice , systemic problem ( fragilewater - seal strip shower door , house - keeping 's failure inform engineering find lake ) well address independently rate pay say customer ( would happy water - tight shower first try . ) say , get reasonably water - tight shower , hotel nice andwell locate activity ( museum , American Girl ) interest in . give 's four star facility , also minor complaint . the second room noisy air - conditioning , , three room , one orboth telephone work correctly . wi - fi , commodity beinclude room , $ 10/24 hour -- -silly , choose get tangible good ( coffee danish ) wi - fi nearby coffee shop . btw , need get grocery , 's good grocery store call Bockwinkel 's ( http : //www.bockwinkels.com/ ) 0.2 mile away locate ground floor Park Millennium building southeast corner North Stetson South Water . 
 Aug 30 2008 	 Wonderful Location 	 accompany husband Leadership Symposium August 25th August 28th . room luxurious kingsize bed 30th floor great city view . room see glimpse sailboat Lake Michigan building . end hallway look river could watch tour boat see Navy Pier distance . first night walk Navy Pier get back room sink bed , quip husband might spend rest stay bed ... comfortable ! meeting next three day , walk Art Institute Chicago also walk Magnificent Mile . feel completely safe enjoy energy city sight sound . bring think good footwear buy walk shoe third day . thank other review hotel study advice find inexpensive place eat ... Corner Bakery Cafe one . enjoy explore Pedway connect hotel find spot breakfast lunch . second night husband walk Gino 's deep dish pizza ... yummy . final night take architectural river tour Wendella boat whose dock short walk away . complaint swissotel ... thank reviewer , know open refrigerator . gift shop buy cold drink snack . housekeeping come second night take nap not want disturb . come next day return long walk everything spotless . every member staff courteous helpful . ask , concierge give great brochure helpful map area . would love , love , love stay ! 
 Aug 30 2008 	 deal hotel ! ! 	 absolutely fab stay chill fruit water lobby , great view , incredible bed , huge well appoint area , great location ! ! view lake surround building .... could see way museaum ! ! pool / health club area free also boast incredible view . cozy robe elegant touch . surrounded construction not hear thing .... lobby quite noisy maybe request high room worry . truely & quot ; river meet lake & quot ; ... 109 nite awe ! ! 
 Aug 29 2008 	 Good Location great view bad ac 	 hotel nice clerk upgrade room 39th floor amazing view . room fine bed comfortable . pool nice view incredible . talk folk pool concur concierge snotty . young man seem inconvenience question . our problem hotel ac . call twice finally send someone say could find problem adjust vent . get back room night still warm . call one ever show tired wait plus last night . it great location park view awesome especially firework . 
 Aug 27 2008 	 would choose hotel great location ! 	 stay three night August , amazing deal Travelzoo ( talk other hotel book & quot ; employee & quot ; rate , get less ) . check smooth , arrive Chicago early day call see early check , problem , give room immediately upon arrival . room spacious , incredibly clean , bed extremely comfortable . mini bar well stock , pricey . Maid service excellent . seperate shower / bathtub nice touch , however toilet loose wiggly , not flush well . thing would change room mirror near dress table , make hard two people share mirror / electrical outlet one bathroom . easy walk Michigan Ave , River Walk , great view Navy Pier . employee not impress woman work gift shop . long story short , rude inattentive . not chance enjoy lounge restaurant , look well attend . Bell Service helpful arrange van cab take us airport . visit Chicago frequently come year , definately book hotel offer rate . take advice other tripadvisor , sign Swiss Club Gold Card order use pool charge . however , go pool , never ask show card , ' m sure charge ? hot tub hot first night , lukewarm second , people actually teach child swim hot tub , relax getting splash , actually quite rude , hotel fault . 
 Aug 26 2008 	 Great Location 	 get great summertime deal hotel first actual vacation Chicago . good location block Magnificent mile . easy access L , bus , water taxi ( union station navy pier $ 3 pp ) etc . upgrade corner suite view city view navy pier great . would suggest walk corner bakery breakfast right street ( Michigan / Wacker ) instead take chin hotel restaurant . concierge service experience good one bad another not get good help first time ask , go ask later someone else . also able store bag hotel checkout ( 12 noon ) do city day . pool small loud annoying kid hot tub relax wife . would recommend hotel keep pool open later adult swim time peace quiet . technically need swissotel club member access workout facility ( free ) not card tell ' ve apply will good go . also chicago food taste tour find travelzoo , fantastic well worth $ 40 pp . would recommend anyone . 
 Aug 26 2008 	 Excellent Hotel 	 wife recently stay two night . lakeview room 22nd floor wonderful view clean comfortable . think location convenient like walk block away boat trolley tour . problem check - in , staff accomodate . fine hotel Chicago great city ! 
 Aug 24 2008 	 definitely stay 	 come back first trip Chicago . also find great deal Travelzoo.com pay little extra & quot ; corner room & quot ; . check - perfect , attentive helpful . Maid service , perfect complaint . room , lot space cramp . ipod docking station great addition , LCD tv great . Concierge 's Swissotel AMAZING ... look sporting ticket , make great recommendation great job ! ! thank swissotel ! 
 Aug 24 2008 	 pleasant experience 	 visit Chicago annual basis many year -- go back 1980 . Travelzoo.com , become aware discount room rate jump offer $ 150 night include taxis . this year , second consecutive year , attend Air Water Show . newspaper account say three million people visit weekend . Blue Angels terrific . the wait check long . two people work behind reservation desk late morning . 15 - to-20 minute line , tell reservation file . give confirmation number hotel print person front desk minute , finally check . minor inconvenience sense another person similar experience base conversation overheard . the room exceptional . bright appealing . room also promptly clean . great view include part Lake Michigan . new high - rise like build around Chicago one near Swissotel . awake one morning inspire sunrise , red / orange ball sparkling . bed one well encounter hotel . comforter incredibly soft bed mattress pad ideal . room plenty space , certainly big hotel visit recent year . room LG 37 - inch lcd tv fantastic . ' m much tv viewer catch 2008 olympic event odd hour clarity image display exceptional . I stay 35th floor still elevator quick immediate . visit pool area briefly , not stay since weather close perfect stay opt see city often possible . my opinion location neutral . vehicle , hotel exceptional somewhat remove Michigan Ave usual congestion associate hotel ( ) major street . hotel locate Wacker Michigan isolation benefit avid walker , prefer stay around John Hancock Building . Hyatt within step Swissotel look like office build two major hotel property . step away , Houlihans bar / restaurant outdoor seating . additionally , seem increase homeless people near area , though immediate vicinity hotel . fact , consecutive night woman follow dozen step . midnight occasion . friend , stay nearby Hard Rock Hotel , somewhat similar experience . 3 - to-5 minute walk away Giordano 's Restaurant -- famous deep dish pizza . perfect late night dining . lobby hotel cozy pleasant touch two glass dispenser offer mix ice water dice fresh fruit add flavor . Palm Restaurant locate lobby , . late night , bowl fruit near reservation desk . daily Wall Street Journal drop door guest 's room , another nice touch . also handful copy Chicago Tribune adjacent reservation desk . I would stay certainly price offer . weather ideal , hotel peaceful positive far outweigh negative . 
 Aug 19 2008 	 another great stay 	 second visit Chicago 2nd stay Swissotel . find excellent deal travelzoo.com book immediatelly pay extra fee lakeview . check - in smooth rep attentive . 33rd floor gorgeous view Navy Pier Lake Michigan . room nice , well - appoint , comfortable bed . housekeep good job . the caution consider distance Metros . 's bit walk , bad be forewarn . bus convenient run Michigan link anywhere . when travel really not spend much time room hotel , can not judge every aspect , definitely would stay Swissotel would recommend . 
 Aug 18 2008 	 Love Hotel ! 	 love hotel . recent renovation great -- guest room really nice . location great . many Trainee 's working check , easily overlook rest stay great . 
 Aug 16 2008 	 great hotel great location 	 great hotel , great location . chill water entrance great touch . stay , would gladly . 
 Aug 11 2008 	 comfortable great location 	 hotel great . room large clean . bed unbelievably comfortable nice linen . bathroom large , clean , date , load soft towel . be worth mention hotel real , high - power hair dryer -- terrible wall - mount one see hotel ( ' m woman thick long hair care thing like ) . view room great . look river . staff accommodate , would expect 4 - star hotel . fast check - in ' ve ever experience . also , concierge great recommendation . lounge / bar expensive nice . great wine list , appetizer , friendly service . the location fantastic . 's short walk Magnificent Mile , plenty restaurant , Navy Pier , train , cab stand right front Dunkin Donuts next door . cab Midway Airport $ 35 . cab Wrigley $ 13 . complaint hotel mini bar weight sensor . move around bottle fridge store food / personal item , sensor send signal hotel charge . 's least front desk tell . consider much hotel cost , would nice provide fridge large enough store item . hotwire , pay $ 200 per night Thursday - Sunday . great deal . get impression normally much . 
 Jul 19 2008 	 great location comfortable bed 	 feel welcome start friendly personnel concierge . room clean , comfortable spacious up - to - date . sheet bed high thread count invite pillowtop mattress cover , yet supportive . bathroom also spacious separate shower bathtub . room face Lake Michigan view Navy Pier also part river -- wonderful ! pool fitness club 42nd floor big window view spectacular . tiny hiccup first -- room not get cool despite put thermostat 60f contact guest service send engineer straightaway sightseeing day . come back room cool . seem vent need adjust . location convenient Magnificent Mile shopping , Navy Pier , Millennium Park also Loop Theater District . public transportation handy well . would highly recommend Swissotel Chicago everyone . 
 Jul 17 2008 	 clean comfortable 	 spend five night swissotel fiance , July 3 July 8 . booked package Priceline , would stay heartbeat . roomthe king - sized bed comfortable , linen fresh clean . room spacious , cramp . bathroom spotless -- mildew , stain , nicely appoint little soap usual toiletry . replenish daily . not get full lake view ( not pay ask one , either ) , view still nice , see lot firework window . mention , despite obvious construction area , disturb drilling noise . leave room 10:30 11 a.m. every day , hear noise . locationthe hotel central everything want see . Navy Pier extremely close , Michigan Avenue short walk away , be block & quot ; EL & quot ; Red Line Station . cab also line street front hotel , 's delay catch ride . feel safe walk area night , lot people tourist . see homeless people , be expect city . Police presence high , especially Taste Chicago Navy Pier . serviceeveryone efficient , big line check - in check - out . People smile say hello . one point , room key become deactivate , quickly fix . housekeep great job keep room bathroom spotless . valuethe room exceed expectation , especially receive discount rate . imagine have pay full price , would not happy $ 9.99 fee 24 hour dial - up internet , be become norm hotel . also , charge exorbitant price mini - bar item room service meal , prepared . ( $ 6 bottled water ) purchase water Walgreens street . eat hotel restaurant , vouch either way . bottom LINEGreat place stay . clean comfortable friendly service convenient Chicago location . highly recommend hotel would stay . 
 Jul 15 2008 	 Great Deal 	 book hotel month ago see special advertise $ 109 night decide could not pass . although well travel first time Chicago . our experience Swisshotel great . upon check husband ask could get room view harbour . clean comfortable king size bed cover nice duvet , plenty clean towel nice fluffy bathrobe . top great view . be central everything . short walk Navy Pier Mag Mile direction . great Taste Chicago 3 & amp ; 4th July firework . we walk one afternoon see steakhouse fail write name ask concierge could find we make reservation . get good table place . now , complain mini bar price bottle water price hotel room , need get . price go rate major city lot EU . go around corner buy need . 's liquor store behind Hyatt . we drive pay park . live big city $ 49 fair . besides , ask hotel $ 49 $ 55 go rate privilege . pass restaurant simply cost breakfast insane food tend mediocre . find plenty nice restaurant recomende & quot ; native & quot ; call rather hotel staff . & quot ; native know good stuff reasonable price . hotel staff tend aware tourist trap since close by . what elevator ? ? ? work appear timely fashion . also , complain lack free internet . recent survey mention high end hotel long offer service near future . when leave , husband looked say & quot ; can not believe get room hotel price & quot ; 
 Jul 11 2008 	 Wonderful 	 find great deal Travelzoo $ 109 night ... almost good true . hotel awesome ! amazing view , great location comfortable bed ever ! get deal , definitely recommend hotel . room similar hotel would usually $ 250 - 300 . 
 Jul 10 2008 	 Great Facility Location - so - so staff 	 stay Swissotels expect excellent facility top - notch shape clean . get exactly . beautifully decorate , well - equip stylish room . suffer , however , trend noticing room business class hotel upgrade - particularly patch panel big LCD - tv - drawer space become less less . someone actually like unpack stay one night , become problem . end use nightstand drawer . the V.I.K . ( Important Kids ) check - in desk next front desk lead believe hotel family - friendly . the location great - near Michigan Avenue view lake , far enough Michigan feel like be away hub activity . my one issue staff . front desk staff friendly relatively efficient utterly lack warmth ( check - in check - out ) . without mean stereotype , European not know anything it . the doorman another story . seem friendly enough appear local . arrive late want light meal . suggest Palm hotel lobby tell want something light casual . suggest Houlihans . now not mean sound like snob , be one great city world , stay suppose high - end hotel , doorman recommend houlihan like ask good car buy tell consider Yugo . meeting facility well - equip , banquet department excellent job catering meal snack ( quality food service ) meeting attend . do not get gym pool . 's fee gym , pool . 
 Jul 8 2008 	 Pretty Nice Hotel 	 come Chicago & quot ; Taste & quot ; . hotel beautiful . staff accomodate . go stay , sure get point membership go . arrive , ask upgrade . ask card . number put reservation not take card . upgrade corner room overlook river , Navy Pier Lake . not leave room firework could see perfectly room . the bed comfortable room clean . always tip housekeeping staff never disappoint . complaint room shower small . could hardly turnaround it . I say , walker want Michigan Ave would not stay . hotel 3 Chicago block ( long regular block ) Michigan Ave . walk Michigan long time see . would use CTA want stay Michigan Ave . go Michigan pay even hotel . right swissotel run summer special . room $ 129 / night . worth save money walk . besides already do Michigan Ave thing ! public transportation . Midway airport , take orange line State Lake . appoximately 4 5 block hotel . far CTA , # 6 bus stop accross street hotel go South Michigan . also , plan use public transportation , get visitor pass . get 3 day pass $ 12 give unlimited train buss access . need transfer get State street & quot ; real & quot ; shopping go ( i.e . : Macy 's , Filenes Basement , etc ) . would recommend & quot ; West Egg & quot ; fro breakfast ( 3 block Michigan Ontario ) lunch dinner Grand Lux Cafe ( corner Michigan Ontario ) . also not forget go & quot ; River North & quot ; great food . check Blue Water Grill dinner . pricey , good . I would definitely stay hotel come Chicago ! 
 Jul 5 2008 	 swissotel ... front desk staff need customer service 101 	 check Swissotel June 30 , 2008 without issue . upgrade ( Swiss Club Gold , get online free use gym/ pool otherwise $ 50 charge ) corner room . great view Navy Pier Taste Chicago . the front desk staff never helpful request simple thing . shuttle leave O'hare ? much shuttle ? clean staff tell we coffee room ? borrow screwdriver fix daughter 's Gameboy ? answer blank stare major confusion . on July 4th , check . need print boarding pass . business center close due holiday . go front desk ask 5 minute access & quot ; Executive Level & quot ; business center print pass . point place open internet access . told & quot ; , access room & quot ; . huh ? explain go could charge we whatever , need print pass . hunt key business office begin . normal people would save hassle send we Executive Floor . 20 min find anyone key , guess end ... Executive Floor print boarding pass , totally silly . great overall feel front desk concierge . the room nice , clean update . bed super comfortable . advised ! ! ! major construction go right behind hotel new development aqua . non - stop sun sun . drilling , pound , ect . bother we pretty far away . could really hear bathroom lobby hotel . however , never advise . several hotel also major construction go around , huge deal , dust , would bummer . overall , room super cheap Expedia . would stay , could get rate . would pay $ 199 night , likely . get well customer service elsewhere much less . do not mind attitude deal rude staff , go . location beat . 
 Jul 4 2008 	 well 	 book directly hotel reservation email come price higher quote phone . contact hotel reservation closed deal 800 number first unable help ask cancel stay sudden could help . fix price assure room woudl double bed . arrive hotel front desk helpful go room one king bed thedouble . move room floor . get new room opinion small many hotel large . note beware type room reserve get . premier room double bed pay one recieve one . go use pool son 16 come we arrive pool tell leave due shoe . walk cast pair shoe . lady desk would allow inform we leave floor sit hallway swam 2 hour . family walk child tell shoe next time allow . Lady check pool non friendly unhelpful . room key work wait let back room take good amount time . overall would stay elsewhrere downtown many property offer nice staff assistance , quality price . gift shop personal helpful nice need enter . 
 Jul 3 2008 	 Swisshotel awesome 	 Swisshotel awesome . high class . expensive , every hotel Chicago . dingy area city , yet long walk Navy Pier , need pay cab . note Magnificent Mile boring . live Chicago hotel well experience Mile Navy ( BORING ) Pier . 
 Jul 2 2008 	 Chicago Beautiful ! swissotel - Best keep Secret 	 swissotel not look like much outside location prime . upgrade Suite 40th floor . view absolutely breathtake . Riverwalk lake . add bonus Executive Lounge complimentary food throughout day . location absolutely perfect ! 's walk distance Michigan Ave Millenium Park close Navy Pier . service smile always ! definitely go back ! 
 Jul 2 2008 	 enjoy everything 	 pleased stay hotel . staff seem helpful friendly . agree review room nice . room river view view river Navy Park excellent . periodically water cannon would shot across river . late afternoon , could see rainbow go . room side , stare office building . there plenty within walking distance . walk tour deco building put CAF also boat tour . price hotel expensive plenty restaurant close include Morton 's . great breakfast spot Corner Bakery Michigan Wacker . the sun shine room morning . actually , beautiful sunrise . not know shut drape , early riser anyway . two thing not like cost parking ( $ 50 day ) guess go rate . however , charge fitness center think inappropriate . , run stair stairwell instead . 
 Jul 1 2008 	 great location great rate 	 receive email alert Travel Newsletter regard great rate Swissotel Chicago , check . book two night stay rate $ 109 per night , outstanding downtown Chicago , opinion . we huge corner room view 29th floor lake downtown . also happen first weekend 2008 Taste Chicago , short 3 block walk Grant Park . 
 Jun 30 2008 	 beautiful View Horrible Management 	 room ( along many other ) still ready 8 pm . pre - check @ 11 be able check 1 room ...... come back 8 pm ... two room clean . large group woman town celebration . since could not check room , able get ready thereby miss dinner reservation . hotel staff helpful . offer 2 free drink -- -we 10 woman party . doormen nice . front desk polite helpful . two group decide stay . decide return room -- -seriously , people wait lobby check hour -- -- thinking would help traveler . not even enter 3rd room feel help hotel . not charge we room -- -- , also offer type compensation woman arrange room FEBRUARY . ask free breakfast 8 . able anything . stay many place never hotel act normal able check 8 pm . offer nothing woman pay advance book advance -- -- -terrible customer service . many guest send hotel ( include pregnant woman go switch hotel twice one vacation ) . many still sit lobby finally go dinner . beautiful view bathroom -- -- terrible service overall management . 
 Jun 22 2008 	 so - so 	 travel Chicago work & amp ; leisure time year , mean try Swissotel . pretty underwhelme overall . room mostly fine , general stay ok.the reservation : find decent rate TravelZoo book directly swiss website month stay . call day confirm , one could find record reservation . even e - mail confirmation gentleman reservation , could ( several call agree system simply lose info ) forward e - mail reservation manager . call next morning ensure address -- guess -- reservation manager idea need start explaination fix . , assign room view mostly office building next door . would like think would marked reservation well room , give hassle . ROOM : room comfortable ( good bed linen towel ) clean . 's Ipod docking station never able make work Ipod . drape not block light , however , even west - face room bright early morning . dining : breakfast hotel restaurant room service . restaurant steep , even business hotel . oatmeal / toast / bacon take close $ 40 . room service , however , prompt good . surprisingly large yummy pizza -- easily enough two . choose chicken / spinach / artichoke tickle get relax room meal ( $ 16 pizza ) fit well within expense report limit . annoyance : upon checkout , ask concierge long shuttle ride O'Hare would take . shock 90 minute time quote -- , early Saturday -- insist travel time schedule accordingly . turn , 45 minute , lot time kill airport . location : overall , location ok -- be walkable Mag Mile , State Street ( mile ) , theatre district , Navy Pier ( , mile ) , nearby movie theater , restaurant . unlike comparable hotel , not delightful restaurant great shop outside door -- would well wear comfortable shoe time . sum : miss amenity ' ve come enoy expect -- turndown , free internet , high quality toiletry -- hotel price range . may fine corporate gathering , independent business traveler family leisure trip , well . need place crash , swiss fine . want enjoy hotel city , would suggest Omni boutique spot like Monaco Amalfi enjoyable stay . 
 Jun 19 2008 	 take confirmation number watch credit card bill ! 	 stay 2 night . try check , tell not reservation . know , print confirmation # , leave car , valet park different hotel . check , ask make sure not charge one night show , reservation could not find . say not reservation , accept word . room nice , spacious , girl love . bed super comfy , girl love separate shower tub . water shower take get warm , worth . come back late graduation , ask front desk delivery menu . clerk act like not know talk , finally give we one menu pizza place . elevator non existent try go check . get elevator , another family say wait 15 min , wait 10 . press button , one come right away . say will ride , , family get . , one stop jiffy . several week later check credit card statement , surprise ! charge 2 night one credit card ( correct ) one night credit card use guarantee reservation could not find ! credit , call , take information call back say would credit back night 's charge , couldn't / would not explain mixup happen . nice hotel choice , not think back Swissotel . bed comfy , negative outweigh positive case . 
 Jun 13 2008 	 welcome stay 	 stay swissotel 5 night - two child ( age 4 6 ) staff could welcome , room service prompt efficient overly expensive . would definitely recommend anyone want access tourist attraction well situate easily walkable little leg ! 
 Jun 9 2008 	 Loved bed hate elevator ! 	 great hotel amazing view lake river . course , build boom Chicago , also get view several construction site , quite fascinating . room would expect business hotel ; bed die ! ! ! not believe 's worth regularly advertized price ... sure hold discount rate . elevator keep malfunction , often leave people strand floor more check - out rush . also disappoint shower product bottle recyclable , indicate serious lack basic corporate environmental responsibility . 
 Jun 8 2008 	 Comfortable Bed - ever ! 	 past three year spend 400 night hotel . hotel offer confortable sleeping environment ever experience . room , 509 , spacious River view . absolutely noise issue other reference . enjoy centralized location look forward many happy return . 
 Jun 7 2008 	 good value business hotel beautiful view 	 stay one night . pleasantly surprised quality room . expect institutional business hotel . room well equip business traveler . also clean well appoint . furniture sleek high quality hotel . eat Palm , excellent . view room perfect – Lake Michigan , Chicago River Navy Pier . night , could see light Navy Pier Ferris Wheel well light city boat . little far east Loop Michigan Avenue ( close lake ) , little quieter cheap hotel locate right Michigan Avenue . also stay Fairmont Sheraton nearby , think swiss well value . 
 Jun 3 2008 	 good price 	 hotel conveniently locate , though stay Sheraton across street hotel little bit convenient . difficult get across street river . great price ( Travezoo ) good price . standard room , non smoking though feel like someone smoke room regardless . the accomodation good , little bit still shabby consider recently remodel . the bar downstair bit overprice even hotel lot selection . eat restaurant , many choice , eat hotel . the concierge helpful . one lady speak seem bother ask question . 
 May 28 2008 	 good business hotel 	 recently stay Swissotel Chicago business overall enjoyable experience . stay Executive room really appreciate large desk space free internet . room two room elevator could still hear not bad . sensitive noise make sure ask room well away elevator . lake view incredible location good . leisure would probably choose small , intimate hotel business great . 
 May 28 2008 	 Perfect hotel 	 book hotel $ 109 per night Travelzoo . happy location . 5min downtown 5 min Mile . the hotel room clean . prob first room internet working take hour finally decide not work get we change room . 2nd room safe deposit woork . otherwise happy hotel . 
 May 27 2008 	 would stay 	 enjoy 3 - day weekend Swissotel Chicago . friend mine book get GREAT rate . cheap even fleabag motel . keep eye special . view great , location prime . staff helpful . room large ( 2 double bed ) . one complaint . room next sort storage mechanical room employee ( think ) would sneak talk phone . sound come right though vent bathroom could hear plain - as - day . fortunately , sound bathroom not like keep we night . little weird . overall , great stay definitely stay . 
 May 14 2008 	 nice view month 	 girlfriend stay three night Swissotel Executive Room recent Chicago vacation . mostly positive thing say , would probably stay ever go Chicago . least find good deal time . I would like point thing aware of:1 ) 's lot construction work around Swissotel . hotel seem 100 % soundproof , 's problem . within year magnificent lake view probably memory past . go view park area south.2 ) make sure not get room right next elevator , since make lot sound , speedy . first get room 3301 , change . problem front desk - seem used . original room lakefront view stunning . second room overlook city river , good look Wrigley Building . exciting , still good . beware office worker probably see right room 100 foot distance.3 ) Executive Room grant we access 42nd floor Executive Lounge day - round complimentary beverage service ( non - alcoholic ) , evening serve hor d'ouvres ( sorry spelling ) pastry , free Internet Access . also great view . executive status grant we free access gym , come cost $ 15 . pool sauna free guests.4 ) restaurant bar service ground floor ok , stay , lobby always really full guest . maybe since hotel really good spring offer , attract private guest compare usual business people.5 ) executive room small expect , probably standard room , although high floor . would probably choose corner room next time , look large website . king bed excellent , LCD - TV really nice , room come stereo iPod docking station well really good coffee brewer . nice ! bathroom feature tub shower perfect condition . last remark fact go whole room , clean service perfect room recently renovated.6 ) make sure sign Club Swiss Gold bonus program stay well front desk service strengthen chance free upgrade . all , Swissotel Chicago great experience , definitely would recommend . 
 May 11 2008 	 Great Location Nice Rooms Loved Swissotel ! ! ! 	 stay think 5 year ago remember well ! room clean , service polite helpful , be near heart Chicago ! walk minute 's plenty see . construction time 's construction , not mind . fact , like watch . can not stand construction , get room side . will quieter . plus view lovely ! overall , great place stay . 
 may 6 2008 	 gorgeous hotel great view 	 mom spend weekend Chicago stay Swissotel . thank TravelZoo able find amazing deal - lakeside room $ 129 / night part spring promotion . take train O'Hare approximately half - mile walk near station - 's bit far be tired , lot bag , weather 's bad . not mind pleased hotel 's location general - walkable major sight . once get check quickly please double room 10th floor overlook Chicago River , Lake Michigan , Navy Pier . room well appoint clearly recently renovate . great bed . bathroom large modern , corner shower bit cramp water invariably leak onto floor time . hassle ... deal - breaker . the hotel lounge great place grab bite drink . look coupon free appetizer bottom breakfast order door hanger room - will save $ 20 expensive ( delicious ) appetizer selection lounge . able get ticket special exhibit Art Institute Concierge - save we wait long line museum . 
 May 5 2008 	 Excellent service location 	 wife stay hotel past weekend celebrate wife 's birthday . could please service , location , well room view . staff encounter , doorman desk lady check we , check , professional courteous . room fantastic view Navy Pier look recently update . location walk Michgan Avenue , restaurant , store . room next elevator slight hum time , hindrance , especially special rate come available time time take advantage . would go . 
 Apr 23 2008 	 Place see 	 fancy high - power , ultra - modern business executive , hotel . hotel look like office tower , room look like convert boardroom place charm Fortune 500 executive suite . ( major ) complaint wrap - around glass offering view office - dweller tower nearby extended bathroom . not careful office worker come early stay late would get see likely mean share thing well do alone . 
 Apr 21 2008 	 Beautiful Hotel ! ! great window ! 	 check hotel Thursday night relax stay . everything room top notch , elegant ! bed extremely hard get . ask corner room one availible ... wow window everywhere . even bathroom spectacular view . especially enjoy wind free use pool spa . stay nice hotel Chicago would go way stay future ! 
