Classy 	 room clean , comfortable , quiet large working desk spacious bathroom separate stall shower toilet area ( much like find Ritz Carlton ) . highly recommend business traveler -- central location room conducive working . leisure traveler , hotel connect Nordstrom mall central tourist spot . , love Conrad slipper ! 
 great location weekend getaway 	 husband stay Conrad three night follow wedding sort & quot ; mini - moon & quot ; real honeymoon November . live 2 hour away Chicago , ' ve stay many hotel downtown past , want something little different special wedding . Conrad perfect -- -the location great walking everywhere , intimate feel , great rooftop bar get swanky drink dinner . drive get tip bellman parking across street Nordstroms cheap valet parking . not drive take cab whole three day , everything want go within reasonable walking distance . definitely plan come back future anniversary weekend trip . 
 Nov 2 2008 	 People make difference 	 husband contact Corad directly two week prior stay book 3 days/ 2 night $ 578.- tax fee . visit Chicago romantic getaway , tear property another . beautiful room close Magnificent Mile , Conrad attach shopping restaurant , weather uncooperative seem like good choice . welcome quickly check room . love view ( could see Lake Michigan ! ) bed comfy bathroom spacious glass shower deep tub ! plenty room unpack . unexpectedly become ill visit say wonderful concierge , Peter , . need 24 - hour pharmacy ( 2:00am ) , later , rush Emergency Room . Peter help husband direction phone number even small question like husband could find meal craving . bowl soup send return hotel , exactly want need . good thing Peter really listen we make recommendation . common might think . trip plan , still must say love hotel highly recommend ! many hotel offer beautiful room beautiful view , hotel someone like Peter really help make stay special . plan make reservation Conrad re - do romantic getaway ! 
 Oct 30 2008 	 Outstanding hotel 	 Hilton Diamond member -- room priceline.com bid . think Conrad first class experience . staff friendly , room extremely nice . would stay pay normal $ 300 night room , answer yes ! ! 
 Oct 15 2008 	 ok experience 	 first choose stay Hilton property diamond member . hotel leave lot desire . check hotel receive room 11th floor . total 2 adult 2 child 1 king bed . contact front desk , move room 1501 . think weekend getaway good start , wrong . get ready bed night , long day travel , turn service . unfold let couch kid sheet extra sheet room . call front desk ask sheet turn service . receive set sheet 20 minute later drop make bed . call front desk inquire turn service assistance make bed . housekeeping come room 15 minute later make pull leave 1 bottle water , extent turn . Friday housekeep empty trash , roam hall trash , none find . end take dirty diaper restroom lobby day follow day . housekeeping whatever reasoon empty trash . go restaurant 2nd day service male waiter terrible . never come back table see anything need , ie refill , ask thing never receive . food average . night , turn service , call desk send someone , come scoop ice 2 bottle water time . extent turn . pull never put away whole stay hotel . Saturday breakfast terrible yet , service food , pay $ 21 OJ would like refill 2 . trash room empty . get turn night . Sunday , restaurant - take long time receive order , come hair . displeased entire experience , friendly staff . 
 Oct 12 2008 	 Geuss expect much 	 second stay Conrad . hilton top line not measure . compare favorably Westin ( almost ) not deliver luxury . instance , room let street noise Rush Street . window open close , sound . Breakfast woefully understaffe take hour . Towels Holiday Inn thin rough . could much well . get good price , nice small hotel . 
 Oct 9 2008 	 view Magnificent Mile 	 wife come spend weekend downtown Chicago shopping find Conrad hotel well locate close everything downtown size not make feel lose Convention world . feel stay large hotel past . Suite view Michigan avenue bit Lake end . staff professional , pleasant friendly make we feel comfortable . internet free n room make review . 
 Sep 29 2008 	 great experience ! 	 girlfriend stay Sat 9/28 one night . propose night want get nice hotel room stay . hilton honors member bunch point book room point Conrad send email say special night would love upgrade available . . arrive check shock ( great way ) learn give Terrace Suite . let say room awesome Terrace overlook Michigan Ave incredible . 's 1000 sq . foot pretty private . great wished could stay long ! ! 
 Sep 25 2008 	 Nice stay Conrad ! 	 Conrad Chicago modern , stylish hotel gear towards business traveler , leisure traveler ( ) also pleased . pick hotel base many positive TripAdvisor review . in term location , Conrad lot go : be locate near southern end Magnificent Mile , two block Grand ( red line ) station . make short walk many Chicago 's attraction Navy Pier , Millennium Park , Art Institute , John Hancock Tower . Wrigley Field short train ride away . immediate area surround hotel large number restaurant , formal casual , well numerous place grab cup coffee . while chic W , room smartly decorate nice condition . Conrad definitely say & quot ; business first . & quot ; bed overly plush Heavenly Bed , still quite comfortable . might expect , hotel offer nightly turn - down service . the staff -- front desk , concierge , housekeeping , bell desk -- extremely friendly helpful . share elevator ride man believe manager even though full tourist dress mode ( t - shirt & amp ; short ) never give & quot ; look . & quot ; , ' m pay rate businessperson pay ! complaint hotel access . hotel 's entrance actually Rush St. lobby 5th floor . room 8th floor , must take second elevator get floor . 's possible enter hotel Michigan Ave . must walk mall ( Shops North Bridge ) take elevator 5th floor . make bit awkward , especially mall elevator service . if ever find back Chicago , would definitely stay Conrad . 
 Sep 20 2008 	 wonderful hotel 	 wonderful hotel - lovely room friendly staff . concierge extremely helpful . Rush Street entrance refurb , cause concern another entrance use direct anyway ( lead onto Mircale Mile shopping ! ) . would definitely stay . 
 Sep 19 2008 	 wonderful hotel ! 	 stay begin September find hotel meet expectation . love luxurious room , Molton Brown toiletry huge wide screen tv surround sound room . room spacious bath shower king room large walk shower twin double ( party one type ) .The staff could not helpful ; concierge particular everything could make stay memorable one . restaurant recommend we spot give we fabulous eating experience . the Conrad also conveniently situate within large mall go shop without even go outside . walk mall right Michigan Avenue , Magnificent Mile . room quiet street noise despite offer quite good view . it fabulous location wonderful hotel excellent staff facility . would definitely recommend would stay . 
 Sep 18 2008 	 nice hotel 	 hotel construction front entrance stay , go random jerryrigge hallyway get sky lobby 5th floor , not big deal . ' m sure be easy get sky lobby be construction , aware 's hotel design . the staff nice though concierge recommend touristy italian place street instead listen preference young , fun , non - touristy type dinner . the room nice bathroom pretty large . there be nice gym sky lobby connect nordstoms mall . parking $ 48 / night , be probably standard area . 
 Sep 14 2008 	 fantastic time Conrad 	 family spend week Conrad enjoy every minute . twin double room well appoint large flat screen tv comfortable bed good shower ' ve ever . staff first class polite helpful . first morning breakfast hotel although food great expensive next day eat breakfast Mary 's cafe 5 minute walk hotel locate 215 East Grand Ave . hotel gain access shopping mall build next . mall 5 floor shop restaurant direct access Michigan Ave . conrad perfect position shopping , din sight seeing . Chicago one good city 's U.S people friendly sight great get type food want . try Trolley Bus tour visit Navy Pier . hope go back Chicago Conrad we . 
 Sep 14 2008 	 nice hotel overprice food 	 stay one night July wife , use point ( not know room rate like ) . overall nice hotel , complaint room facility . restaurant ridiculously , laughably overpriced . detail ... good : -- room nicely appoint clean well keep . -- bathroom luxurious -- Service excellent , turn - down nice -- room music nice feature -- common area nice , although street - level lobby construction . , common space comfortable . -- location great - right Mag Mile , easily reach red line well . bad : -- food restaurant ( lunch breakfast ) ok . Lunch ( deck ) good , breakfast ( inside restaurant ) mediocre . , particularly breakfast , absurdly overpriced . example , pay 5 dollar glass coke . mediocre food , expect well pricing . this hotel really need 2 review . would give hotel restaurant 4 5 star ( TripAdvisor scale ) . restaurant deserve 2 star . 
 Aug 26 2008 	 great experience Conrad Chicago 	 must admit bit concerned read early review , get war zone Rush Street entrance construction , Conrad pure bliss . room decent size big city , bathroom enormous , service impeccable . can not beat location , fact elevator ride away Nordstrom excellent Nordstrom Cafe ( child friendly ) mean could eat meal instead extremely expensive hotel restaurant . wife also leave pair gold diamond earring one hotel drawer , realize call hotel several day later , find earring fedex'e back we charge . touch like win loyalty would stay Conrad heartbeat . 
 Aug 25 2008 	 good second choice 	 not able get reservation favourite Chicago hotel decide give try make good alternative . room well appoint small side . everything clean , however one thing hate smoking area breakfast pollute entire breakfast area also Reception . 
 Aug 22 2008 	 Loved Conrad Chicago 	 Conrad Hilton fabulous . stay August 12 - 16 birthday . book hotel Hotwire rate $ 145 per night . get Hotwire price truly mean get five star hotel three star price . ask could get room view city , indicate would cost extra $ 40 per night . decline figuring could use money towards dinner . one entrance Rush Street entrance Michigan Ave . heart retail district Magnificent Mile location hard beat . 12th floor ( hotel sit atop high end shopping center lobby 5th floor ) room pure luxury service excellent . large plasma tv room shower big enough four people . return home notice leave small piece clothing dresser drawer . call hotel send item via Fedex charge . eat hotel due price , many great place eat within block . go West Egg breakfast nearby . wonderful little place great food reasonable price . nice way start day . would highly recommend hotel get Hotwire Priceline price . 
 Aug 20 2008 	 Great Location right want ... 	 hotel location . perfect location stay go downtown Chicago . Service Conrad stand back staff . staff per person hotel ' ve stay . food impressive , presentation original . outside bar meet every night enjoy night great way end night . movie night need age approite , kid movie bar .. problem hotel inconvience elevator . drop rush need take two elevator room ground floor . realize 's problem . thank Hilton brand ... 
 Aug 18 2008 	 Priceline win bid 4 * NMA area Friday night $ 90 	 good value Priceline . hotel difficult find , entrance ( appear construction ) Rush Street . Garmin could not get satellite reception way rely old -fashione map . parking locate Nordstrom lot , also Rush St. use self - park option $ 29 24 hour period . neighboring lot appear $ 38 parking overnight . request 2 queen bed coffee - maker . get queen bed . ' m think coffee - maker not exist . room clean little large hotel room . bathroom much large average . t.v . gigantic hotel - room standard . view 8th floor o.k . , not room much . housekeeping terrific , replace comforter one kid manage get dirty . one concierge great another pretty poor , tell we place could go dinner 6 pm , restaurant would full . fri . Sat . night , able walk right seat two different restaurant 6 pm ( may sign bad economy could taste restaurant ) . not think anyone pay $ 300 stay , $ 200 would reasonable . 
 Aug 17 2008 	 Conrad 	 start say Hilton Honors Diamond Member stay Conrads review Conrad perspective . Conrad Chicago use Le Meridian change nothing day seem . process remodel present still same . the room , bit piece bit tired , shower couple crack tile seem quite frankly bit dirty . service ok , concierge good part hotel service , quick attentive , knowledgeable . many small thing would forgive Hilton , Conrad price charge . staff hotel need go spend day Singapore Conrad learn Conrad run . tarte Hilton . 
 Aug 14 2008 	 Nicer expect 	 hotel choose room rate less similarly rate hotel Miracle Mile . low expectation pleasantly surprise . street level lobby construction , good first impression , explain low room rate . happy size cleanliness room , friendliness staff , location . eat restaurant . Corner Bakery nearby good , inexpensive breakfast menu . 
 Jul 28 2008 	 good hotel would pay full price 	 location hotel fantastic . right Michigan Ave . close shopping restaurant . stay Conrad 7/13 7/16 . room rate $ 149 night Hotwire . price pay , really enjoy hotel . ever pay full price ( $ 300 night ) , would stay elsewhere . week arrive , call hotel request King room since room give Hotwire Double . tell could even put request could make arrived check . never hotel say ' even put request . check - in , request King room . reaction get : " let check … you book Hotwire … we ' king available . " answer / reaction make wonder whether lie availability ' want give we King room since book Hotwire . put room 8th floor . think either room 826 829 . well room decent view HORRIBLE . view consist rooftop small building next door litter trash beer bottle tall office building next . could literally see conference room cube employee headset . room spacious . bed nice comfy . bose system plasma / LCD tv nice . however , remote Bose system ' work . control sound / volume music tv . leave note housekeep next day wrap around remote . take remote get fix . never bring back remainder stay . kind annoying keep get change volume watch tv listening music . Turndown service nice . leave bottle water , fill ice bucket turn jazz music . careful water bottle . first night come back dinner , almost take sip one bottle see already open ( seal ring thing break ) . put level table next bottle water sure enough , look like someone already take sip two . housekeeping really good . always early day clean room . eat dinner one night terrace . food drink okay price outrageous . end , price pay , good hotel . people pay full price , customer service , room attention detail need lot well receive . lastly , really feel like ' get great service since book Hotwire . Conrad discriminate base much someone pay room . 
 Jul 18 2008 	 Nice 	 Conrad Chicago pretty hotel . 's . ( even be renovate 's really impressive . pay 350 dollar night come : coffee maker room , fridge store leftover ( something really need be spend real time Chicago - really great restaurant ) , decent customer service . consieur , Chris , however helpful . also tell complimentary pillow & quot ; menu & quot ; ... romance pillow , stress reduction pillow , , much like bed hotel ... leave desire . extra pillow ... may faint smell , could not tell . good part hotel location , like reviewer state previously ... would stay hotel get really good deal ... least $ 300 night . also , prepared spend least $ 40 plus tip day valet park car , well walk take Red blue line need go ... easy hotel 's great location . 
 Jul 18 2008 	 need coffee 	 $ 300 per night coffee pot room instead plasma tv.staff helpful . bed amazing.entrance construction pain.convenient steely dan concert 4 block away . 
 Jul 7 2008 	 's bargain not bother ! 	 regular visitor Chicago regular Hilton user , say unless quote less $ 300 per night get well value hotel chain block two away . do not get wrong , beautiful hotel fantastic location . contemporary boutique feel decor throughout room spacious enough fantastic 42 & quot ; flat screen tv'sthere nice little touch like nightly turndown service roof top bar really plus point summer superb fitness centre . however , many little annoyance make good rather great hotel could be . firstly : - pet friendly hotel someone dog lover , share elevator ride two dog size Hummer pleasant experience ! .secondly : - apparently , Hilton group recently acquire property seem though still iron kink . staff not appear page typical experience Hilton group - friendly , hard work eager please , rooftop bar example , charge three different price three different people drink , night ! .thirdly ; - blatant price gouging - particularly business centre ( minimum charge $ 17 ! ) breakfast ( bed & amp ; breakfast rate give money towards full cost breakfast ! ) even begrudge free cup coffee 8 am - request coffeemaker room - , twice e - mail suprise , suprise coffeemaker get ! .I seriously think must made deal owner coffeeshop across road long line conrad guest every morning ! .All particularly tourist business friendly hotel not know exactly aim Clientele . must use Hilton , try Homewood Suites next block 
 Jun 24 2008 	 Great Upscale Hotel heart Downtown Chicago 	 stay romantic weekend great service . separate shower bathtub great relax bed simply heavenly . really appreciate update touch hotel connect mall . little confusing figuring get hotel late night , figure smooth sailing ! would highly recommend hotel anyone want stay great , clean , modern hotel ! 
 Jun 18 2008 	 almost perfect stay 	 nice room although small side not count bathroom . large flat screen tv . bathroom big rest room nice shower stall stand alone tub . great location right Michigan Ave . connect Nordstrom store . bed comfortable room quiet . the perfect part : could not access internet first night either LAN wireless , 2nd night ok . plug iron blew fuse one light go . take 15 minute someone answer phone send someone right . re - plug iron fuse blow . luckily guy stick around reset fuse . work well . would stay probably first choice Chicago . 
 Jun 11 2008 	 beautiful lobby expensive terrace bar decent room 	 stay one night friend . overly - large room , big bathroom pillow menu interesting fun . downstairs , beautiful lobby terrace bar 's cool sit , great food , mix drink $ 14 $ 17 ! . 's lot high Chicago place . mint mention poster : receive mint turndown . 
 Jun 1 2008 	 Mediocre Visit Conrad Chicago 	 spouse recently stay Conrad Chicago 4 night . Chicago short vacation , want ensure accomodation would top notch willing pay . hotel location good , Marriot next door , Hyatt street , Intercontinental across street . however , arrival entire lobby / street entrance undergo construction , walk less appealing maze get actual reception , course mention prior arrival . bright note stay concierge service throughout . nothing less excellent . room unfinished , receptacle wall plate miss contractor must assumed curtain go hide . room large Flat Screen tv Bose sound system advertise , go trouble , put flat screen , etc . , room , leave cable , plug , wire plain view , make appearance cheap look & quot ; throw together . & quot ; Housekeeping could use improvement - bathroom vacuum sweep stay , bed turn perhaps well place bedspread pillow besides next bed floor . maybe closet shelf ? fresh soap bathroom - use small little bar throughout , bare essential - shampoo , conditioner , nothing - definitely indicative high end hotel chain . night one bottle water place bed two we stay - cheap ? check - receptionist alone , long line wait , ask understaffed due length wait check line , apology , flippant response understaffe , one person show someone room , someone lunch . would think staff lunch would schedule little later noon consider checkout time . definitely feel welcome check , ask stay safe journey anything . extensive travel Middle East , Mediterranean last year , want special experience spouse reunite , anything . stay many 4 5 star hotel , Conrad Chicago mediocre good , consider room rate poor value money . 
 may 25 2008 	 nice hotel 	 decide stay attend wedding city . , make little & quot ; weekend & quot ; stay overnight downtown simple avoid drive back burb holiday weekend . bed comfy , bathroom clean pretty marble counter , crystal holder cotton ball etc . also quiet . the next morning , walk block Dunkin Donuts notice plenty breakfast place ( Cosi etc ) nearby . great location pleasant stay . room 815 nice view hancock building . window open , want fresh air something . there minor construction go street level lobby , result walk around barricade get elevator . 's inconvenience , noise involve . , desk level empty ( nice photo op we ! ) check main lobby one floor up . checkout breeze . slip bill door night dial zero next morning , leave key card room . simple ! 
 May 20 2008 	 great Stay Conrad 	 stay 9 day year long enough truly assess hotel . we ' ve stay Burnham & amp ; Drake Conrad win hand - down . the one improvement note year week - long stay ' 07 restaurant ; finally deliver good food good service ( price still lofty , though ) . one drawback one front desk staff poor English skill point speak another desk staffer . we terrace suite consist traditional bath , bedroom large enough true seating area plus large livingroom plus outdoor terrace measure 14x16 foot PLUS 2 - piece powder room . allow we entertain business associate comfortably . Wife appreciate two set closet stuff shop Michigan Ave , State St & amp ; Armitage Ave ! Conrad inexpensive & amp ; thing traveller . for business couple like we though , will happily re - book Conrad . 
 May 18 2008 	 Superb Hotel fantastic staff awesome room 	 stay one night fantastic hotel - room large mod con , staff brilliant look need . concierge knowledgable happy help anything need . will definately head back ! 
 May 12 2008 	 Perfect every way ! 	 Conrad Hotel beautiful hotel . room perfect beautiful every way . impressed ( hard please high standard ) . clean , aesthetically pleasing , date , gorgeous ! would definitely stay . love . location superb , attach Nordstrom Northbridge mall . can not wait go back ! 
 may 11 2008 	 great hotel location 	 book hotel 1 night anniversary , Friday night . stay May 9 - 10 , 2008 . hotel book Priceline win bid $ 119 , taxis / fee = $ 145.21.rated 4 star hotel . nice hotel . locate near begin magnificent mile / Michigan Ave . couple minute river . entrance Rush street main entrance . also entrance Michigan Avenue share North Bridge Mall . elevator hotel leave Nordstrom main level Michigan Ave entrance . hotel 5th floor building along main lobby . level 1 - 4 shopping . checkin uneventful priceline reservation . ask want upgrade room . decline – later . standard room king size bed clean , everything good repair , nice painting / frame photo , neutral paint wall , wear furniture , bed comfortable , clean sheet , quiet night . tub shower work well . nothing complain . awesome large - screen tv wall . 2 remote tv – one turn turn Bose surround sound system hear it . refridgerator refreshement / snack sale . really room anything want put . warning label state remove anything instantly charge . room wine glass , nice surprise , since bring bottle wine , use corkscrew room open bottle . hotel nice look bar attach restaurant ' use . besides , many great place eat nearby would cheap hotel . nice separate seating area next bar piano . take taxi Geha ' Café dinner fondue restaurant . Saturday morning , walk Tempo Café ( 6 East Chestnut / Corner Chestnut State street ) 10 - 15 min walk . ' nice place breakfast . order takeout bring back hotel - spend $ 26 waffle / strawberry ; 3 egg come hashbrown , bacon toast ; 2 freshly squeeze orange juice . hotel restaurant ' breakfast menu outrageously expensive . we shop 1.5 hour Saturday morning Michigan Ave . check 11:30am . ask upgrade checkin since anniversary ' trouble . ask checkout . receptionist tell upgrade room want pay difference price . however , " slow " might upgrade special occasion want try different category room free – ' discretion . live learn . hotel seem little slow . ? ' definitely ask next time . great hotel . great location . complaint . would stay priceline weekend getaway us parent marry child . use difference money shop eating / drinking . as parking – drive suburb . park Millenium park garage , specifically East Monroe Garage – $ 20 per 24 hour . Park near Randolf street exit . noticed escalator go . take stair go . see escalator . walk hotel 15 - 20 min decent weather light luggage 1 roll - along . would say ' 1 mile walk . I 10 photo view : http : //www.flickr.com / photo / cum - grano - salis / sets/72157605004761580/ 
 May 8 2008 	 great Stay Conrad 	 wife stay Conrad early May , agree nice hotel ever stay . book King deluxe room $ 159 Hotwire . trip call front desk make several request : high floor , view Michigan Ave , 12:30 p.m. check - in . request meet conscientiously . hotel centrally locate Rush Michigan Grand Ave . begin 5th floor nice shopping center anchor Nordstrom . lobby simple beautiful . staff friendly efficient . room clean also turn every day , maid leave jazz music radio we return night . our room clean well decorate ( see picture ) . bed comfortable ... want climb morning ! bed soft pillow plush . carpet thick soft , worn . tv huge , compliment Bose surround sound stereo . nice mini bar not use . in - room chair ottoman comfy , desk chair great . free high - speed internet nice touch . bathroom spacious clean , great shower , separate tub , marble sink , Molton Brown amenity . last least great view Michigan Avenue Hancock Center . we say enough Conrad . spend full price ( $ 365 ) room , suppose could nitpicked little , blow away value , location , overall quality hotel . already talking come back Conrad someday ... hopefully soon ! 
 Apr 28 2008 	 great long weekend Conrad ! 	 great stay Conrad Chicago 1 year anniversary . lovely accomodation excellent location city Chicago offer ! 
 Apr 24 2008 	 Lovely Property 	 lovely property . lobby tastefully decorate fragrant , fresh flower understate detail . staff kind , helpful extremely accommodating . concierge book ticket we see & quot ; Second City e.t.c . & quot ; offer ( unsolicited ) dinner suggestion area surround theater , awfully nice . check , offer print boarding pass flight , allow we avoid extra run around . the room - huge big , comfy bed gigantic bathroom include relax soak tub stand - in shower . flat panel TV Bose speaker nice touch , TV HD ( big deal , observation ) . area could use touch ( nick wall & amp ; bubble wallpaper , assume due every day wear - and - tear ) , nothing compromise beauty property . this lovely , understated hotel would book heartbeat . 
 Apr 22 2008 	 want service Speak Conrad 	 bit excited husband book we Conrad hotel , hear notch usual Hiltons stay regular basis . stay several four star hotel Chicago one , expect different quality service hospitality . first get hotel , usher 16th floor , promise & quot ; room view & quot ; excess Hilton Honors point . room view ? exactly . faux & quot ; view & quot ; not even problem , however . wait 40 minute luggage deliver doorman downstairs . husband actually go ask luggage , hail doorman room . next , find toilet not work clog . course call downstairs , send someone speedily , make big mess inside bathroom , able fix . point , hotel call straight away apologize , move we equal well room . verdict ? small , dingy room 6th floor overlook Mag Mile , noisy . meanwhile , waste whole 3 hour , move hotel Saturday , plan day fun . I walk bathroom , find light not work . one thing another , hotel seem prepared . apology , attempt ease harry mind ? absoultely none . point , call front desk ask speak manager . explain waste three hour precious saturday move hotel , inconvenience numerous time without apology hotel . important , state disappointed lack service hospitality , despite claim great hotel much acclaim . also ask compensated way inconvenience experience . result ? move next day executive suite , give several breakfast voucher . hotel staff send we card apology , small complimentary tray fruit . feel well , hotel do part make amend resolve conflict hand . my advice anyone stay four star hotel- pay impeccable service , make sure request complaint explicit yet reasonable . pay great service hospitality , reason walk away dissatisfied upset . compare Sofitel , place little less sophisticated ostentatious . staff less snotty . Americans Europeans , decor mostly classic American . lobby public area spacious elegant . individual rooms- really want make sure not get stick dingy , small room overlook Mag Mile . one last thing- work want headset- prepared pay cheapo Koss brand cost $ 5 deposit- something offer free place . 
 Apr 15 2008 	 Solid Business Hotel 	 decent sized room good amenity business traveller - centre action downtown Chicago , Michigan Avenue . it not cheap $ 375.00 per night , hotel nicely appoint , great staff check in . the hotel not spa , concierge book massage therapist room day meeting . I would stay sure . 
 Apr 15 2008 	 Fantastic hotel ! ! 	 partner luck book fantastic hotel get away New Years . the hotel stunning , room hugh full lovely Molten Brown goody happily replenish . bed comfy huge . room turn though ready new arrival every day . the couple point would raise simply , cost eat hotel drink hotel , expensive . FANTASTIC hotel do high standard heart Dwontown Chicago surprising . its Location could well especially first time visitor CIty . middle & quot ; Magnificent Mile & quot ; Chicago 's Madison Avneue . in short book hotel enjoy . read previous reveiw see photo 's reffernce dodgy furniture please asssure upon visit simply sign anything wounderful hotel welcome luxurious feel . 
 Apr 11 2008 	 enjoy stay Conrad 	 husband stay Conrad Hotel 4 night end March really enjoy stay . find room generous size large flat screen tv , spacious bathroom modern décor . room also offer bathrobe , slipper , turn service night . hotel location excellent , one block Michigan Ave . attach North Bridge Mall Nordstrom fantastic shop . fitness center average free weight , nautilus equipment 7 cardio machine ( treadmill , stationary bike , etc . ) . disappointment hotel : ' vend machine available purchase cold drink snack , ' coffee pot room restaurant serve breakfast incredibly poor service extremely high price . say , definitely consider stay Conrad return Chicago 
 Apr 7 2008 	 really like hotal 	 great location , right mile . practically inside Nordstrom . nice lobby , great room , great service . 
 Mar 30 2008 	 second strike 	 give Conrad second try impress fail miserably . hotel honor room request . express special occasion would love room view reservation . get ' view ' adjacent office building window . not pay nearly $ 400 night . call manager absolutely rude . & quot ; would ' ve require pay least $ 40 .. & quot ; Rude . lot lot mistake happen . request pillow never send , television sound function ( i.e . sound ) , tell manager problem horribly condescend care little . ' ve well service Hampon Inn ! screw breakfast voucher physically go question .. say & quot ; send right & quot ; .. , never happen . absolutely ridiculous . bathroom always nice , room renovate since last year ( thank lord ! ) ... nice ambiance . bed quite nice well . valet guy fantastic , probably nice man within entire hotel . also bellman , housekeeper wonderfully sweet always say & quot ; hi & quot ; & quot ; hope wonderful day & quot ; .. appreciate . perhaps management team need go back training school learn customer service . Breakfast Conrad restaurant avoid completely . service abysmally inept , mention slow . two different watresse take upward 15 minute get juice . look like hate job , treat we attitude . never check food come . food overprice quality severely lacking . get continental breakfast include muffin ( burn ) , small croissant , tiny cinnamon roll . 14 dollar . laughable . choose , 14 dollar get toast juice ! spare choose eat elsewhere get actual tasty meal money . overall , manager need learn customer service mean , bend backwards customer . otherwise business crumble . Conrad crumble . spend way much money terrible service . ' ve already send opinion Hilton headquarters . will look hotel next time I m Chicago . 
