Great 	 stay long & quot ; Thanksgiving Holiday & quot ; - first time London think charming , nice location hotel . could not happy . compare hotel stay Europe room not super small .... 
 Jan 3 2009 	 Great Location Friiendly Professional Staff 	 stay 9th floor 4 night . good location bed comfortable . nice view London prefer spend time look window . far hotel room London , would probably rank high trip advisor # 45 rating . bathroom adequate nice enough tub . mini bar tend lean towards booze couple pringle tin wasabi nuts offer . carpet room replace ( decidely scruffy need go ) would rank hotel higher tend fixate thing well strange photo / artwork wall ( picture woman cocktail dress hat 30 hang man jump across puddle ? .... suppose ' contemporary English / British ? ' find odd almost creepy . ) staff excellent , well train professional . true hear people talk room not suprise European / british hotel consider constraint space . would stay .... 
 Dec 29 2008 	 great base theatre shopping 	 stay hotel one night trip London celebrate husband 's birthday . Intended see Les Mis shop . impressed quality accomodation friendly professionalism hotel . central London base ideal . close theatre shop far enough away encourage walk provide escape throng shopper tourist . we stay Room 1503 , right top , huge gorgeous right lift disturb heavy sleeper husband . little disappointing ha go top range room . the lift also bite problem , 3 one working . lead long wait go room choose walk down . breakfast good service go 12 pm ideal sense relaxation away kid , Sunday paper available suprise . 
 Dec 21 2008 	 usual square box 	 ' ve stay three different room cavendish year , different size shape . due layout hotel , room uniform , find good room corner room probably quiet . avoid room next lift shaft , lift noisy around 4:00am , cause departure airline flight crew . complain , move room offer complimentary breakfast two . I like Cavendish offer quality accomodation reasonable price , fantastic location . deal , check american discount site , Travelzoo , Hotwire etc . theory european hotel offer deal american site hope book one two night , well revenue hotel . there loyalty scheme place , register guest , first future offer - good . book ' room ' try Fortnum & amp ; Mason 's Fountain restaurant breakfast , opposite hotel . real treat . 
 Dec 16 2008 	 Great Hotel Even Better Location ! ! ! 	 decide bring wife London , see ' dirty dancing ' ( favourite film ) birthday , race find decent hotel , reasonable price great location . Cavendish London fit bill perfectly . we stay hotel Saturday Dec. 13 - 14.arrived Heathrow airport , collect luggage head straight Underground . buy 2 ticket ( single ticket Green Park £ 8 ) , escalator onto tube . easy ! tube get busy get city , however , people friendly . approximately 40 minute get Green Park , per advice TA forum - thank guy . Altough , hotel 5 minute walk ( lash rain ! ) tube , would probably get Picadilly next time . arrive hotel , locate quiet Jermyn St , greet smile reception . receiption staff friendly efficient . give option room higher low floor . choose high floor view - room 1108 . book standard room stay one night ( due annual leave leave ! ) . room small - average sized London - stylish . nice comfy bed , flat screen tv , cd player , nice bathroom , etc . first time stay London , location aspect important not want we waste limited time public transport . definitely not disappoint Location hotel . hotel basically short walk distance like Picadilly , Leicester Sq , Regent St , Oxford St. , Bond st , etc . price London notably cheap Dublin . this great hotel would highly recommend city break London . definitely back . 
 Dec 5 2008 	 doubt would go back 	 stay hotel many time , central perfect position shop . however last time stay woke night find silverfish ( insect ) run around bathroom floor . report reception do not pass complaint . wait 3 week response rang speak manager say there s nothing insect harmful , seem far point . harmful , would seem unacceptable stay 4 star hotel find insect run around bathroom . tell silverfish live everybathroom . . . I ve ever see ! ! would think twice return . 
 Dec 3 2008 	 favorite London hotel .... 	 complete two seperate stay hotel , begin end trip Ireland November . hotel lovely , safe location close park , palace , Traf . Sq . , Bond street Picadilly . hotel small lack amenitite big wait everything ( like room service , check - in / out , elevator , bellman , etc . ) room small ( London ) nicely furnish great bathroom comfortable bed bed . housekeeping standard high . room service food way average fast , however wish menu selection large . check staff wonderful ... arrange early check we stay ! concierge staff mix , wonderful rather distant haughty . doubt ..... London big , expensive city often feel read many hotel review people often realistic expect . feel money well spend hotel service quality remain consistent location great ! 
 Dec 1 2008 	 Lovely Hotel sure would return 	 London time stay hotel around Marylebone mayfair area somewhere different . this hotel lovely , entrance reception area clean , tidy modern although quite number people comment smell fish walk side door hotel uuhhh . room really nice major downfall paper thin wall . many hotel around world terrible night ring reception give wall batter due next door . prob 4 people room chat laugh til hour real harm first night morning since 5.00am do bit shopping really form listen * * talk next door . follow night come back hotel round 12.00ish early start next morning . reception make call request quiet respond - could even hear phone ring talk . breakfast great , weekend 12.00 complaint . bar quite dead . hotel really walk distance everywhere picadilly , leicester sq , bond street , oxford st , buckingham palace place eat near quite ' gentleman ' shopping district . grand area not favourite . 
 Nov 19 2008 	 perfect location 	 really good experience cavendish , good thing , day sight seeing , within easy walk distance bar restaurant evening , upgrade room superior , read review classic room small side , glad , cost we extra £ 20 per night , think reasonable enough . room clean comfortable . feel lobby bar drink expensive suppose that s norm , especially London . the problem breakfast , think forget we one point , get food , was'nt quite order . would recommend anyone , wait visit ! 
 Nov 5 2008 	 enjoy Cavendish 	 wife stay Cavendish Hotel last weekend impress whole experience . staff helpful , able check around 11.00am . room small first class . nineth floor , good view window . breakfast superb ! excellent choice buffet well cook . we would recommend cavendish anyone , be close proximity West End add bonus . well do Cavendish , see ! Mr. & amp ; Mrs. Hanson . Halifax , West Yorkshire . 
 Oct 28 2008 	 greekblackdog 	 book cavendish reading internet get reasonable deal room stay Friday monday morning . yes , bedroom 7th floor small clean clean towel every day plus complimentary paper tea / coffee make facility . downside price lobby bar drink service restaurant morning , one example try get fry egg breakfast nightmare could guarantee would finished arrive , last morning mushroom black pudding delivery ? . night go Concert Royal Albert Hall decide meal restaurant . room cold ask Manager say would turn heat drafty window proably would not help overlook fortnam mason , do not offer move we even though plenty space . one good meal outside Brumas opposite Majestys Theatre Haymarket also Prezzos Haymarket . girl service brilliant nothing much trouble price 2 course Hotel £ 14.95 2 course £ 19.95 3 course . 
 Oct 26 2008 	 lovely weekend hotel 	 come back weekend theatre break book superbreak . number hotel choose decide one central location . hotel locate middle picadilly circus green park tube station . leave hotel theRitz hotel Buckingham Palace right Regent Street Soho . walkable distance Apollo Shaftsbury ( get taxi though ) . however , ideally way hustle bustle ) . stay 14th floor superior twin room . room clean , fresh modern . bed comfortable large flat screen tv . breakfast hotel superb - fruit , cereal cook breakfast ( however wait around 15 min seat - busy . weekend breakfast serve 12 , enjoy nice lie . room service available food . food nice , however expensive 9 pound glass wine - worth treat . overall enjoy stay hotel would stay . 
 Sep 29 2008 	 Decent hotel good location short 4 * 	 Cavendish London serve great base decent home away home girlie shopping weekend ( 27 - 29 Sep ) . overall experience pleasant fall short expectation 4 * London hotel . we arrive 10 am Saturday able check straight away Superior Twin 14th floor . room nicely decorate see photo , decent size come everything hotel website specify . bathroom compact fresh modern . minor complaint housekeeping - mug dirty check , hairs carpet fibre find bed 1st night . we minimal dealing staff find pleasant . check smooth professional , surprise final bill . Buffet breakfast serve Sunday , seat straight away airy bright breakfast room lovely selection choose . morning 's service ( Monday ) make order must say service bit slow consider not many table . room service one night - order fast easy , food arrive time pipe hot decent portion . as mention review , hotel 5 minute walk Picadilly Circus tube station . take Picadilly South Side exit , climb stairs exit 's Tesco Express directly behind hotel street . Jermyn Street fill quality shop man woman 's workwear , 's foot traffic time feel safe . for London hotel , think get pay ( Winter Break weekend rate incl VAT & amp ; breakfast £ 154 / night hotel 's website ) consider hotel 's location decor . like several reivew , feel 's much room improvement term staff / service . stay high price . 
 Sep 29 2008 	 Ideal Location Tiny Room 	 use live London , come back visit want hotel centrally locate , close good tube bus connection quiet street . Cavendish deliver three . our complaint standard room ( # 713 ) smallest ' ve ever stay . however , clean modern , quite functional ( except somebody tell suppose stow suitcase ) . bathroom , though small , shower big enough two . the hotel quiet street , across back door posh Fortnum & amp ; Mason fancy food shop . neighborhood drip 17th century charm . close tube stop -- Green Park -- offer multiple connection almost everywhere , plus many bus nearby Picadilly Regent Streets . there also way keep lid & quot ; extras & quot ; room rate . hotel hand free 15 - minute voucher use 2 computer / printer lobby . skip pricey breakfast lounge buy healthy breakfast 5 pound E.A.T . Pret Manger nearby Regent Street . , pretty good value . 
 Sep 27 2008 	 lovely hotel handy location ! 	 stay August friend Hen Weekend . staff helpful friendly . room decent size - though huge . ask room high floor view around London well . we breakfast hotel , nice , lot choose . also use hotel bar , nice well . not eat restaurant evening . the hotel far Old Bond Street / Regent Street 15 min theatre . really near ' the Ritz ' ' the Dorchester ' fancy treat Afternoon Tea ' ! would definitely stay ! 
 Sep 27 2008 	 worth money 	 get special offer room & amp ; therefore room may well . fine & amp ; staff perfectly nice ... worth high rating , money may spend . 
 Sep 21 2008 	 comfortable bed great location 	 great experience ' round . bed luxurious high thread count cotton plenty . friendly efficient staff great location . go back . 
 Sep 18 2008 	 staff dreadful ... not stay ! ! ! 	 recently stay hotel , appalled level service . particularly hotel recommend friend previously stay hotel . complain manager seem disinteresete anything say . a point need rectify , hot water , window dirty , bathrobe , bar staff appallingly rude ? every service pay level service provide happy . instance would expect pay room without hot water ? although hotel charge card 2 am morning check ? ? discount refund offer , even discuss duty manager . I bad service bar area well check desk .... would say hotel look nice enter reception room nothing write home either . manager would like take time consider pay customer say level service people might inclined return . can not see point make complaint complaint go fall deaf ear ? ? ? suppose trip advisor warn other & quot ; Kiaran & quot ; , manager total lack customer service ...... igorne call ignore complaint , would never stay hotel disappointing level . 
 Sep 15 2008 	 Total Nightmare . Staff Appalling 	 stay recently birthday . stay previously part De Vere Group ago & amp ; really pleaseant time . however , staff clearly think massive time puzzle admittedly location hotel good , interior ( aside reception ) would not look place Travel Lodge . time staff rude Manager Kiaran APPALLING . barman amazingly rude one friend join we hotel drink , also hot water , iron locked room 2.20am . raise check write Hotel Manager well person deal reception could not care less . Kiaran ( Manager ) probably rude person EVER SPOKEN . fact make cry , tell call not think anything complain ( not entire stay ) would not get anything free leave alone . ' m Marketing Manager UK wide chain Resturants , welcome feedback good bad customer - cavendish . please not waste money tin pot operation . want money could not care less quality stay . try Malmasion ! ! 
 Sep 10 2008 	 Great Place Stay ! ! 	 stay 4 night Cavendish Hotel Mayfair Sept. 2008 . hotel great area real close piccadilly Cricus . staff excellent really whent way help anything need . super nice bed cover , Plasma TV , stocked frig . ( charge room take anything ) . holder inside room put key turn power room , take key power go . 
 Sep 8 2008 	 good clean hotel prime location 	 stay cavendish twice - begin trip return Paris . choose Cavendish base review , price location . pay include breakfast right - 138 pound , get standard / classic room . try upsell we large room 25 pound , take bait . room receive tiny - small hotel room major city . husband difficulty arrange small carry - on suitcase could access walk around bed get bathroom . second time stay , room slightly large , much . breakfast plentiful definitely give we energy start day . hotel clean location close enough attraction / tube stop convenient , far enough away quiet night . service polite nice hotel experience . 
 Sep 7 2008 	 great location .... terrible staff 	 hotel great location staff pretty dreadful .... staff breakfast slow take stuff table .. however variety food available great .. bad staff experience ask person reception book taxi specify time evening ... freaked could not ... please ask concierge beg ... concierge availabe hence ask ... wait concierge come back ! ! stunning stuff .. hotel could great .. need new staff though . 
 Sep 3 2008 	 Great London Hotel Experience 	 cavendish good many reviewer say would ! room comfortable , excellent air conditioning , furnishing . & quot ; Executive & quot ; room wonderful shower , view across severel rooftop London Eye & amp ; Big Ben . breakfast top notch , excellent buffet , opportunity order additional selection menu . minor complaint ( minor ) dining room get busy , service bit slow , good buffet available starve ... may wait minute coffee / tea ! staff cheerful , concierge , helpful friendly , make easy get ticket , voucher play , tourist activity . I originally think stay Leicester Square , Covent Garden close & quot ; Action & quot ; think guiet , yet central location cavendish well choice . also originally look hotel traditionally british style . modern style charm , especially consider next expensive , sometimes creaky old alternative . Cavendish Perfect ! 
 Sep 3 2008 	 thank God not maye 	 arrival immediately offer upgrade ! fantastic thought , come crunch , would cost £ 25 per night . receptionist quite insistent standard room small pokey mere £ 25 could upgrade superior room view Westminster ! look face must know not onto tourist sucker would impressed grey skyline . offer soon drop £ 20 per night upgrade . must commission sell upgrade . explain receptionist : a. dumb tourist could rip offb . room standard would back ask well roomc . could care less Westminster view ( live Highlands Scotland scenery good world view kitchen stunning ) apart upselle experience hotel we indeed good . client pay stay understand get good rate . dine hotel bread plaice - superb ! follow breast chicken potatoe vegetable - fantastic . need perfect balance late dinner . staff outstanding attentive require . room small well hotel stay London . big tv , good air conditioning , fabulous bathroom bed comfortable . location hotel perfect , close client 's office , lot place eat drink . shop , famous Jermyn Street shoe , clothe especially shirt . one draw back draught beer . pub close cater that . overall excellent place stay London . 
 Aug 22 2008 	 definitely back ! 	 really swanky hotel excellent location , Cavendish definitely one go back ! superior twin room not quite ready get 2 pm offer complementary drink bar tray nibble - room ready within 40 min . think areally nice touch . staff excellent really professional . breakfast one good hotel breakfast I ve , everything pipe hot selection extensive . also try pre theatre menu - £ 14.99 two course , would definitely recommend - rib eye steak well ever taste . room nice lovely toiletry , everything close hotel . it hard find single negative point hotel , really , would say maybe room slightly small expect , much London , hardly ! go london , definitely stay ! ! ! ! ! 
 Aug 20 2008 	 fantastic location luxurious hotel 	 hotel look pretty unassuming outside , 's opulent luxury inside ! location minute walk picadily Circus , literally behind Fortnum & amp ; Mason , short walk restaurant berkely Square . nearest tube Green Park . room small , work well . air conditioning cool air , bathroom petite shower huge . fixture fitting modern , elegant wall - mount flat screen tv . bed comfortable , great night 's sleep . one side hotel amazing view many London sight , especially 10th floor . breakfast really really good - buffet , could request omelette egg benedict poach egg cook . plenty fruit make muesli exciting , smoke salmon decedant ! 
 Aug 17 2008 	 Location - location - location 	 stay 5 night august 2008 . hotel great location . Smack bang middle everything , still quiet backstreet . everything clean good condition . compare Londonhotels averege . would compare averege - Hilton hotel USA . room standard - european size , small , big . downside sillyprize breakfast ( 42 dollar per person ) . buy sandwich milk every evening grocery corner keept fridge overnight eat breakfast instead , save we 80 dollar every morning . would definitly stay again . Peter & amp ; IngelaSweden 
 Aug 16 2008 	 Great Hotel Great Location 	 great hotel great location . free apple front desk . staff extremely helpful . free internet . climate control room perfect . great hotel . 
 Aug 10 2008 	 London Calling . 	 stay 11 Nights Cavendish great . upgrade executive room great separate shower bath . located 10th floor , great view London include London eye Big Ben . room clean spacious , modern facility everything good working order . turn service pretty cool , night receive bottle lavender spray spray pillow aid restful night sleep ! . hotel central pretty much every major tourist attraction within walking distance .. always easily accessible 2 close tube station ( Green Park Piccadilly Circus ) . London show , hotel 5 minute walk west end . several night diner restaurant good meal London . pre - theater dinner menu quite good deal , considerably cheap ' main dinner ' menu though receive portion . staff friendly always keen help anything may need . & lt ; begin rant & gt ; complaint hotel ( personal gripe stand ) use stupid fridge charge moment anything remove . find fridge rude stop put item . know business make money want buy overpriced drink even keep water cold annoyed & lt ; end rant & gt ; 
 Aug 2 2008 	 clever choice 	 return back week 's stay cavendish . clever choice london.1 . location : perfect , everywhere walkable : ) right across Fortnum Mason 's , Piccadilly : 5 min , Buckingham : 15 - 20 min lovely Green Park , theatre : within 15 min walk distance . quiet street safe gets.2 . hotel : clean , comfortable well - run . booked hotel site get queen superior ( standard room bit small would probably acceptable acc . London standard ) . reasonably sized room , comfortable bed pillow , shower pressure ok , bathroom clean good condition , cd player present i - pod , daikin airconditioner work properly , iron board , wireless ... civilized breakfast , noon weekend till 10.30 weekday . nothing complain , really . go , send e - mail ask room high floor possible ; get one 11th view London Eye , beautiful . sport facility , though . if , like , -Are tired tired - look commercial chain hotel like Hiltons Sheratons ; -would rather stay top luxurious one like Ritz Mandarin Oriental unless 's special occasion ; -would rather deal budget - accommodation relate problem vacation ; -Would choose clean contemporary musty - smelly - flowery - dainty ; appreciate technology : hotel would definitely . 
 Aug 1 2008 	 back soon ! 	 write review fantastic hotel . recently go family summer break enjoyment mostly excellent hotel wonderful service recieve . member staff totally helpful polite nothing much trouble . room really nice clean upgrade executive room massive double shower , robe , slipper etc . location second none major attraction within walking distance . return soon . stay top 5star hotel london last year difficult pinpoint difference hotel , apart price , course ! try get deal include breakfast , not eat 6p.m full english ! 
 Jul 28 2008 	 Perfect Location 	 great stay cavendish weekend feel compel write review . having book ticket & quot ; Spamalot & quot ; West end look well price hotel within walk distance cavendish perfect . not think hotel well location price , pay £ 99 superior room exclude breakfast . during weekend not use taxis tube . 10 minute walk Shaftsbury Avenue Theatre 5 - 10 minute walk Covent Garden . as not eat hotel , can not comment restaurant . however Sunday brunch Christopher 's , near Covent Garden , highly recommend . next time stay breakfast Fortnum & amp ; Masons probably card , directly opposite hotel . although right centre London , relatively quite get Jermyn Street . hotel nice relaxed atmosphere , get back Theatre around midnight bar open people night cap . room 11th Floor right next lift , not disturbance lift all . all fantastic stay great location . tip take car : congestion Charge London weekend . street parking free 6.30pm Saturday around Hotel . Westminster Council Car Parks ( Leicester Square ) Theatreland 50 % discount seeing show . http : //www.westminster.gov.uk / Carparks / theatreland.cfm 
 Jul 23 2008 	 Perfect weekend 	 scour review available London hotel birthday weekend treat , Cavendish seem like pretty safe bet . disapointe . location fantastic able walk everywhere . offer room upgrade extra £ 40 arrival - glad decide new room exactly huge - smart comfortable luxurious bathroom . Breakfast delicious - especially order menu . inexpensive hotel - get pay ! 
 Jul 22 2008 	 Classy Cavendish 	 enjoy two weekend break Cavendish January 2008 go Tutankhamun Terracotta Army exhibition May 2008 go see Bruce Springsteen Emirates Stadium . stay super hotel make sure weekend really enjoyable . the hotel staff efficient friendly . ask room view disappoint see London skyline dusk dawn . hotel situate behind Fortnum Mason ideal sightseeing shopping . delicious English breakast include room rate room large comfortable . already look forward next visit . 
 Jul 20 2008 	 Fabulous Hotel ! 	 spend 2 night cavendish Superior Queen room . room decent size London bathroom spacious White Company toiletry . wall little thin , not disturbing . view room 14th floor amazing - could see Gherkin , St Pauls , Nelson 's Column , London Eye even Big Ben Houses Parliament . air con useful can not open window get bit stuffy . tv selection satellite channel include Sky Sports nice bonus . breakfast fantastic , huge range fruit , yoghurt , cold meat cereal . also wide selection pastry croissant . Friday cook breakfast order via waiter bring table . Saturday cook breakfast buffet style , want anything different could still order menu . would recommend get breakfast include room rate , £ 21 per person plus 12.5 % service charge , pretty steep ! staff reception concierge desk friendly efficient . would hesittate recommend hotel anyone look great place stay central London . walk Picadilly tube 1 minute really convenient , Tesco Metro end Jermyn Street ( towards Picadilly ) well need supply . 
 Jul 14 2008 	 nice modern room - great location 	 stay one evening weekend . room nice , modern , well equip quality bed linen / towel etc . little small side - superior room still pretty small . superior room Grosvenor ( marriot ) Park Lane much nice bit pricey . apart , good hotel . 
 Jul 13 2008 	 Great Location - OK Hotel 	 firstly , hotel excellent location worth consider reason alone . directly behind Fortnum & amp ; Mason less 5 minute walk Piccadilly Circus ! however , stay special occasion , not think would recommend other . pay junior suite weekend ( £ 250per night ) despite state book birthday celebration still give fairly small ish room right next lift working ( lift not go top floor ) face opposite way river . ask well room receptionist claim noone ever complain one suite noise lft ( bit hard believe make fairly continuous bang sound ) make we feel awkward ask . lot huff puffing give different suite least twice size corner position ( price clasification , bear mind stay ) . room ok need maintanence , 1 example hole bathroom wall sink fill look like tissue leave ? breakfast good ( really sloppy egg not look healthy ) service quite poor fairly slow . Sunday morning wait 20 minute seat queue least 18 - 20 people , make we late meet friend . a mention though Sunday ( partner birthday ) leave cake room nice thought , although day find late get back , not get eat . if need somewhere convenient stay stay one basic room , be look something splash spoil someone , would pay bit extra really special hotel one likely leave really bit rip . 
 Jul 10 2008 	 everything want 	 freindly easy go staff . location brilliant , facility comfort . room clean , ' new ' feel offer plenty space . 
 Jul 2 2008 	 nice long weekend 	 stay three night Queen 's Birthday junior suite . room penthouse floor , although can not remember name room . large chaise longue writing desk face park . pro : double - sink bathroom ( secret harmony hotel ) , big , hot shower , enormous , comfortable bed , robe view . con : super expensive internet , separate conditioner ( combine shampoo - good long hair ) , lift floor ( inconvenient lot bag ) , limited tv channel . I book hotel website , pay around 220 gbp per night . standard room even cheap . would probably stay think excellent price standard hotel London . thing would stop internet fee can not travel without . 
 Jul 1 2008 	 nice bit bland boring . 	 stay husband 5 night . cavendish list address , also entrance Jermyn Street , across Fortnum Mason , midst wonderful Jermyn Street boutique . midway Picadelly Circus Green Park Underground stop , minute either way . really nice hotel , room small ( travel lot ) . London several time , location good , nearby restaurant expensive , even London standard . personally feel area , especially Marylebone , fun . , money , think could do well . but , important , hotel works . meaning , air conditioning function . room service promptly , extra towel arrive promptly ask , maid refuse tip . this hotel good solid choice , surprise , action area , either , make choice . look like good choice business traveller , free wi - fi lobby . London great city world . go good time , try forget obscenely expensive be . re restaurant : find Shepherd 's Market side street side Green Park stop . several cute reasonable place , love & quot ; Market Brasserie & quot ; ( French ) . like Getti 's Jermyn St , really like Rowley 's , also fairly reasonable . 
 Jul 1 2008 	 Gem hotel ! 	 return two - night weekend stay booked surprise 30th birthday gift partner , along ticket see Rock . first foremost , location FANTASTIC ! situate Jermyn St , directly opposite Fortnum Mason parallel Picadilly . within easy walk distance atrraction St James ' Park , Leicester Square Buckingham Palace . keen tube , ideal able walk everywhere , include Covent Garden London Eye . stone 's throw West End / Soho Theatreland , ideal planning seeing show . book Classic Double Room online Advance Purchase Rate , £ 288 two night , include buffet breakfast . give location fact 4 * hotel , feel price excellent value , especially breakfast usually £ 21pp . room pretty small , well keep . bed comfiest bed ever encounter ! room desk , drink make facility , minibar safe . also plasma screen tv CD player . bathroom also quite small beautifully finish huge walk - in power shower . breakfast buffet - style serve 12 noon . great selection , include cereal , bread / pastry , cheese , cold meat , fresh fruit cook breakfast . also order various item addition self - service item . also pre - theatre dinner restaurant , delicious £ 14.95 two course wa excellent value London . problem restaurant service quite slow , particularly busy time . the hotel general style contemporary manner although hotel 15 floor , share area bar lobby particularly big , give nice , intimate feel . bar lounge price expensive ( £ 9 two bottle beer £ 4.80 coffee ! ) , shame really certainly would spend time not this . the staff extremely friendly helpful . manage get CD stick cd player second evening inform gentleman reception way . time get back , fix even put CD back right case , without scratch ! definitely book Cavendish return London future . price pay , excellent location general pleasantness stay , not think could find well central London . certainly recommend hotel other . 
 Jun 5 2008 	 right . 	 come back stay cavendish one night work ! hotel situate Regent Street nice area . reception small decorate well lot purple light ( ! ! ) . reception staff efficient , polite helpful ( always bit surprise London ! ! ) .We twin room 5th floor . room small , average London . decor lovely , modern . spotlessly clean . bed soooo comfy . nice touch , like revlon hairdryer room - lady appreciate . bad point - tv not work - could get BBC quite noisy - sound like window open ! bar expect expensive £ 10 dark rum coke ! go breakfast resturant , self service food fresh hot . good far breakfast go .... would say Hilton well breakfast ? overly concerned . will recommend hotel ! 
 Jun 3 2008 	 Nice Hotel Great Location 	 stay Cavendish Friday 31st May - Sunday 1st June . hotel nice , current exchange rate quite ' cheap ' London standard 4 star hotel . hotel spotlessly clean , although standard room really small - boyfriend 6 ft 2ins & amp ; foot never see inside bed ! ! room clean , nicely decorate , bright , comfortable bed . rate include breakfast ( get hotel website £ 1 expensive rate without breakfast ? ? ? go figure ) anyway , order breakfast room ( extra charge ) honest - ' m glad do not pay £ 1 - bacon totally dry , hash brown flavourless , poach egg do perfectly , scramble egg boyfriend get look gross - said be not great . get small pot ( cold ) coffee two people , salt / pepper tray . overall breakfast big disappointment - much decide eat Sunday morning . lobby hotel quite nice , really small hotel many room . bar also quite small warn - expensive . 2 bottle beer cost we £ 9 - whereas pub around corner £ 6 2 drink . location second none , walk everywhere ( Ritz around corner ) . want nice comfortable clean hotel great location London - go cavendish .. 
 Jun 1 2008 	 gem near Piccadilly 	 stay three night May 2008 . cavendish stylish boutique hotel impeccible service . 's tuck quiet little street ( Jermyn ) five minute walk Piccadilly Circus . also be right opposite Fortnum & amp ; Mason great place splurge fancy english breakfast ! book Superior room little extra . room large ( good London ) . call & quot ; City View & quot ; nothing see . room well decorate , nice furniture ( fee base internet need ) wonderful bed pillow . bathroom large modern . complicated tap system shower weird semi see - thru door . there small bar lobby . 's cosy 's nice get busy late night . check - in give gift coupon bar , nice touch ( , ask ) staff helpful quick assist reception great concierge . room rate around 150 GBP night lot day we third - world Americans ; ) well worth perfect weekend stay London . travelocity ( pay usd ) give well price hotel web site . tip : sure hang Disturb thingy ; otherwise housekeep aggressive get early : ) 
 may 31 2008 	 terrific value 	 stay 1 night one junior suite situate top ( 15th ) floor hotel . mention lift service stop 14th floor , 3 small flight stair give access 15th . normally stay Savoy closed moment look decent hotel Piccadilly town try restaurant Berkley Square . choose hotel read review trip advisor look couple book agent website . still little apprehensive thing find hotel ( set back road - could miss ) relaxed . the lobby mid sized modern , check efficient . enter room reaction - result ! room large , well furnished spotless , bed sublime . well yet come however bathroom simply brilliant . large bath , double wash basin oversized shower , plenty towel etc . ' ve type bathroom past not expect 4 star . 2 bose machine use , flat screen tv , importantly kettle tea coffee available . impressive , get hard please get old . one niggle lighting system activate put room key docking station door . call reception ask could turn light without remove key , allow light use night . hotel 2 entrance , one Duke St Jermyn St , opposite Fortnums . breakfast pleasant experience . large comfortable , modern room choice usual hot / cold buffet . food hot good quality , service much well ( efficient & amp ; friendly ) Savoy . amount pay easily good value hotel many year . book Milesfaster pay £ 240 incl breakfast vat . complaint would lack soundproof . mention floor lift could still hear clank bang - light sleeper could problem . would definately return . 
 May 31 2008 	 cavendish London -- - amazing ! 	 stay Cavendish London late - September 2007 . hotel centrally locate Piccadilly Circus area close several train station . hotel clean good shape . concierge staff helpful morning direct we get want go . would highly recommend Cavendish London leisure traveler . may able find something cheap , doubt would anywhere near nice ! 
 May 30 2008 	 good value great location staff 	 location Jermyn St ( close piccadily , Trafalgar Square West End attraction ) excellent . staff good , particularly Reception Concierge desk . stay executive room 8th floor , bear mind price ( £ 200 inc breakfast ) normal London room size , really spacious . excellent bathroom large walk shower bath . breakfast good pre theatre dinner also excellent value . overall thoroughly enjoy stay London norm , feel Cavendish offer good value money . 
 May 26 2008 	 great hotel great location ! 	 stay Cavendish , follow review Trip Advisor . perfect . 50 min Heathrow tube handy everywhere . staff really friendly breakfast excellent . 
 May 12 2008 	 Fab location ! beautiful hotel ! 	 LOVED hotel ! first time London , ton research prepare . book Cavendish base TripAdvisor review , could not happy ! hotel Jermyn St. , adorable quiet street London line man 's clothing store . across street Fortnum Mason 's , really beautiful department store / market . one block Piccadilly , Soho short walk away ( great restaurant ! ! ) . lobby area really nice , concierge really friendly helpful . everyone nice . stay alone part time , feel totally safe neighborhood could not happy . many thing within walking distance -- Buckingham Palace , St. James ' Park , Green Park , Westminster Abbey , London Eye , Parliament , Trafalgar Square , Oxford / Regent street shopping , whitehall ... location seriously amazing . could not believe ! decor stylish modern . Stayed Executive Twin room 7 night April . room great size two people . couple night wall sound kind thin could hear person next door , ... well , London , build really old historic . also , locate 10th floor amazing view London Eye Gherkin . bed sooo comfortable , fluffy duvet . breakfast include - start morning , wide spread choice plus tea coffee . definitely get rate breakfast include . also get newspaper room morning , enjoy . stay 2 night May . decide try Standard Room save money , compare . impress Standard Room , Executive Room great . lucky , a / c break Standard Room first night upgrade free Executive Suite last night London . treat ! can not wait stay . consider & quot ; mid range & quot ; hotel term price . budget , could not happy . location alone make hotel totally worth ... definitely get Executive Room ; be worth extra money . 
 May 11 2008 	 fantastic value money . 	 stay two night end April . reception staff good efficient staff general average service . breakfast excellant food good quality . , standard room thrill quality bed linen exchauste week Morocco need sleep ! would happily stay . btw suprise read previous review mention high cost internet . use WIFI device unlimited access internet charge , excellant service . would happily recommend hotel 
 May 10 2008 	 Great Location Nice Rooms 	 stay cavendish 4 night recent business trip . location can not beat - Piccadilly , 10 minute walk Regent St , Grosvenor Square 15 minute Buckingham Palace , etc . give low floor room - 3rd - & quot ; deluxe & quot ; end hall basically mini - suite . one area couch desk , large bedroom comfortable king bed . bathroom wonderful separate shower tub , lovely fixture , nice amenity , etc . no real complaint . nit - pick ; scuff marks wall luggage , carpet stain , etc . , nowhere bad room ' ve stay . not tell restaurant undergo renovation meal could take small lobby bar . not appeal certainly problem neighborhood plethora food option . ( oh - room look onto backside Fortnum Mason - lot good food within stone 's throw . ) consider rate 260 pound per night - relative bargain London mini - suite - can not complain would stay . gay man , super picky - would stay . 
