Clean 	 London expensive city , especially come hotel / accomodation . look something simple , quiet , clean affordable spend week London . that be Windor House be . for £ 38 / 40.00 day get clean room shower ( en - suite ) simple breakfast ( enough start day ) .ok , tv , telephone , internet , tv set , example , would spend night see tv , & quot ; ruinning & quot ; day ! , place stay day quite clean place keep thing sleep . Earl 's Court tube station really around corner , make easy go everywhere . if want take food hotel , kitchen open guest Marks & amp ; Spencers & quot ; Simply Food & quot ; shop 50 meter far hotel . two internet shop really nearby . I recommend Windor House : good value price ! friendly people too . but look real luxury , go ... House windsor ( call Beth Phil ) .André Acker , Rio de Janeiro , Brasil 
 Feb 15 2008 	 deceive 	 not expect luxury know bad London room price charge , , partner , put room small & quot ; double & quot ; bed sink middle stick leg side keep rolling center . complain bring single cot work fine . change towel ask . ask toilet paper run never give we soap - fortunately take bar we . the bathroom size find jet airplane ! kid . could not turn around shower without push too - short shower curtain floor bathroom always cover water . sink miniscule little room toiletry set . can not sit toilet door close room around - one leg sink shower knees door . promise TV none , complain one bring 2nd day . heating inadequate . understand would full english breakfast generic cornflake , milk , stale coffee tea ( least large amount ) , awful white bread toast generic jam kind boil egg . get we . reserve room ask smoking room . staff never tell we smoking allow room . say free step outside - yeah freeze ! course smoke virtually outlaw UK SMOKERS beware smoke anywhere London , except outside , even certain . go someplace less repressive like Spain Portugal Hungary still freedom smoke well climate , lot castle , history culture . 's . Goodbye London / UK forever ! many place see tolerant interesting , charming picturesque . 
 Jan 27 2008 	 wot wanted 	 want bed night budget ideal stay . book room , partner 3 kid . first opion room dirty carpet filthy , long night london must admit nice come back hotel nice white clean bedding . staff friendly ideal location tube main line , would not want spend one night . pay £ 79.00 2 adult 3 child could not find cheap . get wot u pay . manage park car £ 20.00 . stay london couple without child pay 250.00 one night be not beter locate . kid budet spend one night , back packer recommend week . difficult find low budget hotel 2 child . 
 Jan 15 2008 	 awful Nightmare 	 redeem feature environmental health disaster area short walk Tube . Receptionist / manager view everyone complain threaten report environmental health , go ahead - always people desperate enough stay . their view website load lie not write , problem . damp , mould grow carpet , heating , work water room , dust write name . Toilet cubicle share landing - use slim flexible adult problem embarasse splash - micro sink ensure plastic non - stick floor permanently wet . no room ground floor - prepare carry luggage steep flight stair . family small child avoid cost . window four storey experience lock , fully open catch loose . prepay - view refund unless give 72 hour notice prior start stay . arrival regret pay anything . breakfast get single hard boil egg , barely toast cold toast awful tea coffee . quickly understand guest stay long 1 night eat supply breakfast . stay ensure warp bitter view London - plenty cheap hotel leave positive experience London . glad 1 night cold shiver hell . if must pick place - bring blanket , towel , loo roll , breakfast . expect lot still disappointed . 
 Jan 2 2008 	 awful place 	 would recommend Windsor House Hotel anyone . place awful ! lumpy bed , hall toilet ( suppose room ) . nothing suppose room actually , like television telephone . then rude student receptionist manager . unprofessional unconcerned . if stay elsewhere home . 
 Jan 1 2008 	 good PLACE KNOW - good room - good location 	 four chum stay 5 day Christmas Shopping sale Partying . internet search seperately place look homely - limit budget - fussy / snobby 3 we come hotel - book . reservation process fast informative tell first response hotel stair room could 3rd floor ( fine us - ) economy / budget - i.e . straightforward room breakfast - clean , cheap cheerfull . room exactly website say - large , cheerfull decs - lot tartan plaid , 4 single bed - clean warm - basicnloo / shower unit - well care plenty hot water hair - wash etc . breakfast tasty - get - ( 2 morning - due late night ) - eggy toast lot strong coffee ( much needed ) smiley ; ) staff . pay £ 80 per night - £ 20 leave lot spending money us shop - even budget . friend spend £ 85 recently single room London - say pretty much rubbish ... firm pay .... plus many moaning /annoyingtourists ) amazing location - central London , near tube 3 great pub close + caff - restos chippie . fact could use kitchen have needed - see family cook away - well thing ( shopping ! ) . stay well positive - would like say thank - will back summer sale . Traceyann mate 
 Dec 8 2007 	 nightmare life 	 complete rip ! book hotel on - line - room shower WC . arrival give tiny , stinky , noisy , dirty , flea - ride ( think ) room shower toilet . complaint countered & quot ; don´t like , leave & quot ; ( payment refund ) . shameless , rude receptionist . would reccomend & quot ; Hotel & quot ; enemy . 
 Nov 11 2007 	 would recomme bad ENEMY ! 	 travel agent , 20 year ! ashamed take people picture internet . horror story ! look room would accomodate mother , 2 son mean need 4 bed ! hotel offer . ! room filthy , bathroom room porta - podi sit toilet could take shower ! bed metal cot like army barrack ! garden disgusting mess broom dirty mop stand upright plant ! please save dollar go forever regret ! send would sue ! 
 Oct 19 2007 	 great location 	 regular guest past 10 year . easy Heathrow tube , easy travel around London , walk around London . staff always friendly . accomodation basic clean use kitchen really asset food expensive UK . within walking distance 2 large supermarket . 
 Sep 10 2007 	 back third time ! 	 first stay Windsor House December 2005 , travel . single woman , college , enjoy hostel . look something safe , yet comfortable reasonably price . much enjoy stay ; staff friendly obliging , arrange taxi leave always happy answer question . no - frill establishment , revert townhouse , look four star amenity find , house wire room phone , internet , television . however , find pleasant atmosphere , lovely breakfast common kitchen ( huge plus travel budget simply like prepare food instead always eat ) , daily maid service , small entryway CCTV camera , someone desk , large metal security door close night hotel guest key . , location ideal ; right round corner Earl 's Court tube station , across street great pub one good chinese restaurant ' ve ever , mention Marks & amp ; Spencer Food shop . grant , Earl 's Court Concert Pavilion nearby , get loud noisy street time time . difficulty walk note room staircase elevator . , part charm . stay , two friend come spend vacation ; Windsor House give room right next mine . although internet hotel , McDonalds around corner also EasyInternet Cafe , open til early morning . the neighborhood turn right door pleasant , good place go jog . when return London September 2006 , young brother , never London . stay lovely room window . request shower toilet room ( hall , never problem live dorm stay old building , brother 18 legally able drink - my mother think in - room toilet might good thing ! ) staff place small portable television set we . fabulous time ! parent stop quick weekend way Italy able book room Windsor House we well . prepare return London boyfriend , course return Windsor House . one neat thing , find , common breakfast . serve family style kitchen , meet kind interesting people world stay , delightful conversation make new friend . if travel budget not need & quot ; frill & quot ; , merely comfortable , pleasant , clean room centrally locate , really not think could well . 
 Sep 4 2007 	 youth hostel would better 	 hotel nightmare go stay two night run one . shower not work toilet sound like jackhammer 15 minute flush ( bathroom tiny toilet nearly inside suppose shower ) . bed uncomfortable , lumpy , tv receive one fuzzy channel . location suck -- bar area close 11 p.m. good place eat . exhaust miserable one night , family tourist leave time we . among bad hotel ' ve stay ; youth hostel would ' ve well . 
 Aug 27 2007 	 easy stay easy pocket 	 easy find space famly 4 child London Summer . find Windsor House Hotel enjoy load ! firstly - like child - matter bouncey - ... 5,8,12,14 - mean noise fair bit jump around lot untidiness . 2 year back try large hotel ( oppose small , simple B & amp ; b ) honestly make feel uncomfortable guest ( posh play ) staff ( stiff bother ) . . feel relaxed make welcome final event kid meet child , include specially nice dutch family - pen - friend - small two cry leave day want stay - first ! great room family - large , bright , functional - shower loo inside room - clean daily cheerfully cheerful staff - matter state leave . use kitchen 4 evening 6 night stay warm inevitable fish finger chip - without kid suffer withdrawal symptom garden blessing . could scoot room take desperate nap recover . breakfast cereal eggy toast kid approve - pay £ 87 . 50 penny per night . verdict Easy stay , Easy Pocket location perfect . child friendly . posh posh , previous review say - RItzy , glitzly nice .... paraphrase . thank put we . Dave Annie BODMINN . 
 Aug 15 2007 	 hotel - bed breakfest room 	 bad & quot ; hotel & quot ; ever in . the location ok , staff ok lady manager sorrow unwelcome . feel like child summer camp . the place need complete rework , phone hotel , internet , tv , lift , thin clastrofobic . I could call hotel , low value room breakfest ( toast , butter , jam , egg , tee , coffe ) .it 2 small refrigirator kitchen guest . sometimes wait morning 10 - 15 minute sit ( 4 table 25 room ) meal .. try find well choise , wort invest pound good vacation , bitter taste follow long time money forgoten soon . 
 Aug 11 2007 	 room suit Family Five Cheap Hotel 	 Booked ' hotel ' Earls Court , alot trouble find hotel would accomodate family five , fairness location hotel brilliant , 3 underground stop south Kensington natural history science museum locate , want explore , hotel location great , tube station . room basic , small , double bed 3 single bed . fairly clean , bed fine , two pillow every bed , blessing , sometimes prove impossible get 2nd pillow ! book ensuite room , receive confirmation would ' new ' shower room , exactly get , plastic square box contain show middle room , like drop Mars planet . toilet . raise girl downstairs desk , nothing could , hotel full , not loo room , bit inconvenient next available toilet flight stair , three kid prove bit troublesome , plus try various bathroom hotel different floor whilst , none contain soap towel even paper towel dry hand ? find strange . breakfast ok , arrive first morning exactly 8.50 a.m. excited ready day , told & quot ; sorry breakfast finish 8.45 a.m. & quot ; argue , adamant , end go road get breakfast cafe , fine . follow morning 8.30 a.m. queue outside hall , lucky get table almost 8.50 a.m. ( time previous morning ! ) allow breakfast morning , adequate , consist cornflake , boil egg toast , tea coffee , frill establishment , fairness money , good value , cost we approx £ 85 per night room , special offer apparently , family 5 good value , location brilliant . would stay , bit basic liking , go sleep , fine , kid , make sure ask toilet room , fool fact may get show room , automatically mean get bathroom toilet , box middle room , certainly would not want vanity issue family , everyone hop shower full view everyone else ! ! , room fine . cheap almost cheerful . little bit dark need revamp , money , get pay , be London , look sight outside room really . 
 Aug 8 2007 	 bad start 	 stay five night read ok reveiw . despite book many month ahead tell family room available first night . offer 2 room - one smell cigarette smoke small double bed another flight stair 2 single bed . not happy manager attempt pacify showing room would next night . show room people already belonging . shower cold sleep . plus side breakfast vertually could eat use kitchen night benefit . 
 Apr 7 2007 	 Ritzy Chinzy Glitzy nice ! 	 perfect stay - thank . relaxed 3 boy ( 6,8,12 ) give ' thumb - up ' say snobby feel ' chill ' word go ! standard family room equip 5 single bed right we , price £ 80 night . Ensuite shower toilet huge – neither ! one big bonus kitchen use kid get tired day 2 London Eye Tower ability heat sphagetti , oven chip etc ever handy need drag meal . ritzty , glitzy , chinzy , bijou , chi - chi type place ( ! ) ' need may right . good little homely b & amp ; b opinion – clean , straightforward value money kid hop safely make odd squeak get tell designer kitch – functional right good cheap family stayover . also thank London friend find B & amp ; b we . Tom June Grifon boy . 
 Apr 5 2007 	 expect advertisement 	 stay Windsor House Hotel family 10 day end March , 2007 . website promise luxury , warm clean room , decent breakfast . happy say exactly get . room always warm , keep clean , want find long walk around London . staff , two gentleman front desk , always willing help we query . , breakfast people excellent job – food always warm , serving big , plenty choice two child . also feel room give we bargain price , fact book six month advance . ( Greek ) husband complain shower / WC unit ( room - queue ! ) small - yes , small , cause minor discomfort ( big - size people may find tad uncomfortable ! ) . also complain hotel look ' old ' , think unfairly compare London mediterranean island live ! soft rumble sound train Earls Court Station reassure rather noisy . good thing location hotel do not need cross street get station - another bonus traveller kid suitcase tow . downside room require climb lot stairs - opinion , another minor discomfort , give price , quiet convenient location , hearty breakfast . would definitely stay chance visit London future . 
 Mar 28 2007 	 Disappointing 	 stay be budget not care anything bed tube station nearby . all room ground floor narrow stair difficult senior mother navigate , especially luggage . ' bathroom ' porta - potty sit floor room small shower , difficult mother . egg breakfast toast consist hard - boil egg . heating barely keep chill off . we almost forfeit prepaid booking stay elsewhere . 
 Mar 27 2007 	 fantastic stay 	 price pay get no - frill hotel , great satisfying breakfast , decent clean room , right next Earls Court tube . ask ? ok 's Ritz really love place . price pay really good deal . coming analye every budget hotel like would not imagine , try choose good hotel price , comfort , safety - take chance hotel please . if come London ( certainly ) stay . 
 Mar 22 2007 	 good SIGHTSEEING / SHOPPING SLEEPOVER BASE 	 ' ve stay 5 night well satisfied . room two good bed Pounds 26 - extras - grab egg toast 7 30 dot daily way 8 . 30 make sunny morning town . time get back 5 ish room shower loo nicely clean we . perfect . clean decoration - clean room . good enought we . ' ve readie various review various site several hotel , pior make choice wonder 's mainly ' negative lot ' bother . . overhear quite ' London rip ' moan around town yes - dollar 's get good exchange rate right ow simpathyse - please spread little cheer go round Capital City ? good little place know London - plain , clean good value . good sightseeing.shopping sleepover base . thank staff ! Sandy Joshua , Taunton , near Bristol 
 Mar 15 2007 	 stay away 	 waste time definately money stay . arrive Sunday 11th March nothing expect . know british american standard somewhat different , think get great deal Central London hotel . WRONG ! arrive around 11 am say room available check check back 1:00 . place bag , stay hallway check . ( hallway size matchbox ) reception area staff accomodate . room finally ready , go see disaster . wall crack , room apparantly separate wall make 2 room . make hear every word say side wall , mention smell smoke come well . shower look like american port - a - potty hardly water . toilet room specify email must one . room toilet room . toilet 2 floor . bed suppose full . seem small . leave dreadful place already pay 6 night . tell we would able get money back take travel insurance . threaten turn dept . Invironment finally agree refund we 2 night . still post credit card account . please stay . go street find Mowbray Court Hotel want ! ! numerous people come Windsor House stay . want near tube station Central London , stay Mowbray Court Hotel . little expensive , get pay . 
 Mar 10 2007 	 Phantom Earl 's Court 	 like Phantom Opera , hotel reel mystery , awe , simplicity , location . however , like Phantom , lie beneath mask * never * see . arrive quaint street Earl 's Court tube hope high . , high , overnight travel make we sleepy desire simple r & amp ; R. upon see green canopy , excited enter . upon arrival , tepidly greet & quot ; hostess & quot ; tell room would ready 1.5hrs later , bag would bring could go get brunch come back . come back 2 hrs later bag not budge . key - in - hand , ascend Tower Babel , wander aimlessly , get lightheaded , try figure hieroglyphic numbering system order find room . oriental gentleman tell we , 3rd 4th floor , need keep go . spiral way , arrive confirmation e - mail call & quot ; nice double room , ensuite , non - smoking . & quot ; enter , feel like Alcatraz . awkwardly - flanelle bed , wireframe prison ( mental institution ) bed delightfully accompany lovely view disgusting alley garden century ago . double room two bed ( one double one single ) , case smuggling refugee . end great space luggage . able glean bedding keep freeze middle night . original fare come sheet flannel & quot ; throw & quot ; blanket . when look ahead , see think coat closet . upon opening , find toilet shower space small airport bathroom stall . not think possible , make possible ! upside every shower guarantee clean bathroom ! must not forget 1960s - era neon lighting . flicker quick enough , could start night club . oh , good part & quot ; special flush . & quot ; not go wc middle night , flush , let forget . sound Tube street quieter odd - sound flush . sound like freight train running pipe -- - course -- - expose ! ! ! fair , bug , rat , animal , dust , refugee sight . annoy little german secondary student make sleep & quot ; interesting . & quot ; , place fine sleep , not expect anything well pay . 50l night 50l night , period . 
 Feb 8 2007 	 nice comfortable hotel ideal family ( large family room ) 	 stay hotel three time . come back twice demonstrate satisfied . good location , good value money , friendly staff , clean room , simple good breakfast , etc . child 7 9 love place . short distance underground station ( Zone 1 ) 15 minutes/7 stop direct ride tube Piccadilly Circus example . travel London need place rest good night sleep . absolutely get . Windsor House Hotel ideal family enjoy London day . highly recommend ! ! expect luxury , need either . Robert , Norway 
 Feb 4 2007 	 toilet middle room ! 	 well , arrive London .. excite Times - Destination show . enter doorstep Windsor House Hotel Pennywarne Lane , Earl 's Court ... immediately sixth sense tell go trouble . be really shoddy , rundown entrance . reception & quot ; person & quot ; sit desk size T.V box ( flat screen tv , normal 54 cm one ) . give reception person check detail look piece paper ( incryptic looking writing ) eventually find surname proceed check we . look see ten flight stair lead narrow dark & quot ; hotel & quot ; . ask whether lift assure reception person lift old hotel London ? ? ? ? ? well ask show room ( already pay 60 pound deposit ) . assure we give we nice room house . room situate 20 cm & quot ; desk & quot ; . proceed unlock room ( could stage see alot darkness ) , switch light horror find 3 prison bed stack like sardine , room window bathroom ( well not think call bathroom ) middle room . & quot ; bathroom & quot ; door 1.56metre 30 centimetre size . tv room cupboard space ... suppose could use suitcase cupboard , stay hotel 6 day need cupboard . confirm gentleman , two lady travel work stay room 6 day . start get uptight confirm leave book room 6 day . cut long story short ..... please fool website . wish put room 5 website ! Yanuzka Nel Port Elizabeth , South Africa 
 Jan 28 2007 	 cheap clean GREAT breakfast perfect location .... 	 I´m spanish Windsor B & amp ; b week January . great place , fantastic old building confortable clean room private toilet . breakfast , kindly serve stuff simply great : boil egg , toast bread , butter jam good cofee London ! ! enjoy stay , think it´ good play stay see room prize : 22.6 pound per night ! ! ! incredible , stay London , 30 second walk Earls Court underground station , sourronde pub , restaurant ( ther good Chinesse restaurant London ! ! ) , shop 200 pound whole week ! ! can´t happy , fact , I´m go February , hotel COURSE ! ! thing find it´ little bit cold night , ask blanket , kindly give want . recommend , doubt . 
 Jan 20 2007 	 central great family walk steep stair 	 famiily 4 parent two teenager stay hotel four night january 07 . arrival room shower book shower ensuite . initally & quot ; desk & quot ; say room stand firm book ensuite would one go another hotel . time find one . room clean , shower toilet tiny ok . however light put shower / toilet module fan activitate would stay 15 min light turn noisy.each day room make clean , fresh towel three day nice touch . certainly feel safe . the picture web site garden truly small garden side breakfast room five step . use time winter.the stair steep lot big suitcase would stay . small wheelie bag effort get . Breakfast well expect people breakfast nice . breakfast room crowd small tv ( hate breakfast ) blaring , people like watch morning show . breakfast toast , cereal , boil egg tea coffee . could eat much toast cereal , tea coffee would like . Juice would nice touch add simple breakfast none providedfor price think great place , ideally locate near station supermarket etc near . breakfast room use evening make meal along famile . handy family room quiet big compare similar hotel stay in.certainly alot hotel area street similar . think staff friendly overall would probably stay , although next time would hope could spend accomodation go abit maket style hotel . 
 Dec 22 2006 	 Engagement party - great stay . thank 	 24 family member UK Worldwide descend we 10 November engagement party - book Windsor House Hotel 4 night stay . vgery comfortable -clean bed linen - room well polish dust - good shower - expensive Central London - double around £ 49 , plus take family room £ 75 plus 3x3 room £ 60 . nice breakfast - soft boil egg , toast , cereal . 4 party stay another Hotel close - by pay LOT get stale roll ! plus - really good point able use kitchen warm - up buy yeards away Marks Spencer 's - could also make tea time ( vital Aunts ! ) . staff help old member luggage - one ground floor room elderly two aunt provide promise . 's small honest - to - goodness B & amp ; b - big hotel experience - double room cost £ 80 - 90 per night - expect room service etc . - great location clean room . staff show we guest book full reccommendation return stay corners globe . decide post comment think generally , guest happy hotel not bother ! 's ' gripe ' take trouble - reviewss one - sided . ' ve looked couple post November not agree - though nice family posting summer . will reccommend - rebook wedding later 2007 . thank staff ! McKeith Clan . 
 Nov 13 2006 	 dump ! 	 stay 3 night 4 year old son - hate every single minute stay . unfriendly staff , cold dusty room , horrible breakfast , toilet one floor ( three ) , shower barely warm , list go ... positive thing location - around corner Earl 's Court tube station , practical , various restaurant , shop pub immediate proximity hotel . area abundent smal hotel - advice , not waste money one ! 
 Nov 9 2006 	 stay away ! 	 know go bad minute enter ' hotel ' . keep wait door despite rung bell several time . staff extremely rude arrival even cheek scream downstair housekeeper cup tea check we in . I book single ensuite room advertise rate 33pounds / nite , 10pound deposit pay via credit card booking . upon arrival however , give single basic room tiny washbasin . enquire EXTREMELY rude staff check - in desk , tell deposit pay book fee travel website hotel . thus , balance amount pay , entitle basic room . despite confirmation email hotel book ensuite room . case , logic would dictate book fee amount 10pounds ! fact , book form clearly show breakdown deposit pay ( 10pounds hotel deposit 3.50pound booking fee ) .The rude hotel staff keep insist wrong make thing difficult ! also ' advise ' happy , free go another hotel . extremely tempt want risk chance would get refund . reason book Windsor House Hotel check tonne hotel / B & amp ; Bs fully book . fact , family checking - seem problem well . pointed read similar review travel website traveller give wrong type room . reply ? well , know get can not complain ! advice hotel owner - not need staff . reply certainly throw hotel bad light . show aware ' cheat ' customer , make attempt improve . finally , tell would give ensuite room next night , would put basic single room first . ask would get re - fund difference first night . course answer ! make feel totally mistake do good accomodate ' upgrade ' well room . my basic room situate right next hotel entrance , access toilet shower via hotel ' lobby ' , full view whoever around , dingy flight step right next breakfast room . imagine inconvenience.do not even get start state room , facility , breakfast etc ......... , stay clear hotel ! ! ! ! 
 Sep 30 2006 	 bad hotel ' ve ever stay 	 book room via direct email Windsor House Hotel . I reply dishonestly ... write : & quot ; offer nice double room private shower ( new ! ) , look ideal you . & quot ; & quot ; please let we know arrival time hotel get tea ready ! & quot ; . also , website described & quot ; room spacious comfortable keep clean time . & quot ; actually , neither tea water provide arrive . enter room , shocked . build old . room small musty dusty . double room & quot ; new private shower & quot ; falsely describe . tiny shower cabinet inside room , shower nozzle nearly break . toilet locate floor . I ask payment cash upon arrival , write credit card payment accept . get enough cash moment . , room rate 2 night ( deposit + cash hand ) clear . Deposit GBP 10 door key pay meantime . leave finish second night , condition hotel really bad . however , staff attempt charge money . refuse . , staff start speak foul language refuse pay back deposit GBP 10 door key ( door key return ) . come could treat client like ? ? overall , night time staff helpless , day time female staff unkind . what terrible experience ! ! would recommend hotel . sure walk - in rate hotel street well Windsor House Hotel , get one . 
 Sep 4 2006 	 six student London 	 ( 3 boy 3 girl 23 25 year old ) go London last February , look nice cheap hotel spend 4 5 night . hotel seem well - locate reasonable price web page . always answer nicely email request kind information . problem credit card ( didn´t work don´t know ) solve . shower inside room , try finally learn use right temperature ! bed room clean , toilet outside room right , staff nice . would like plug availabe mobile phone , allow we plug outside room . breakfast include nice , bring food drink hostel , also cook . good thing location , near Earls Court tube Station , well communicate bus ( also night , experience ! ) far centre city city attraction . would improve two thing Windsor House , shower amount plug inside room . perfect place family young people , good balance quality / price . I m look forward get back ! 
 Aug 21 2006 	 Great Families - thank - see 2007 hopefully 	 stay 20 July 5 night 3 child ( 7,10,12 ) great stay . child say feel thoroughly home relaxed especially like able run around garden lead breakfast room area . garden well - keep safe wall - mean tired parent could relax little room . room 5 bed neat clean tidy - 3rd floor good shower constant hot water grubby kid - toilet next room . staff tidy brilliantly every day clean towel , neatly make bed , spotless shower etc , despite kid ' good effort . tell , prior book stair - lift - room would 3rd floor - not mind - staircase pretty - wrought iron balustrades - original victorian feature - safely railed . stair problem we child use plenty home . ' ve look picture previous review 's underexposed - wish have take give fair scenario . make breakfast easily 9 kid enjoy soft boil egg staff give much milk wanted not like tea / coffee . heat ready prepared & amp ; meal hotel kitchen 2 evening child exhausted go back restaurant eat alltogether table outside patio lead onto garden . warm really pleasant . plenty family . great facility use - especially kid tow . B & amp ; B tells clearly book ' simple , clean , homely budget place rest head sightsee undersold fact . staff cheerful good child we ! enjoy stay thoroughly hope back next summer . thank - stay perfect . Serena Regan , peterborough - email address moaandco @ yahoo.com will respond email willingly . 
 Aug 11 2006 	 terrible experience 	 July 17 , 2006I travel quite lot first time Europe family . familly 5 , one first decision criterion price location ( would mainly travel public transportation ) . spend three night London , prior departure Paris . so find place look internet . not fool picture show web site . look perfect pay . real thing accurate . so arrive hotel six piece luggage plus carry - on , subway Heathrow airport . far , good , advertised , well locate , nearby subway station . upon arrival , figure way store luggage cramy hall call reception . offer tea , welcome , due effort travel jetlag set in . we shortly ask pay balance reservation ... cash ! formelly confirm phone prior leave Canada take credit card , intitial deposit . add run ATM corner street get miss allowance . we make reservation good 6 month advance , surprise find room 4th floor , top steep staircase . room ready , get gear upstair ( 6 luggage ! ) help offer clerck downstair . open room door ... 5 bed dispose tiny room ( ok since want spend time visit London ) . floor cover old dirty rug . one window 2 could open ! tiny shower , right inside room . curtain , shower mat drench carpet ! toilet tiny plastic box outside room , open door sit . heat anyway , would want stay long necessary . far , little disapointed sollely sleep , 3 night ! go mention reservation 5 people , 3 towel facecloth equivalent . clerk nod ( understand well ) stay sitte . insist little finally get 2 miss towel ... facecloth . we wait little kitchen . view great . little inside park flower bush . two refregirator available we store good ( like cold water juice ) . serve trip later . day 1 - not serve breakfast past 9:30 ! decide shower . hot water ! work fine last nigth test ! run back . apparently , first time ear problem ! luckily , friend stay another place town able shower group 5.day 2 - sleep little late breakfast today . want shower ! water boiling hot . run downstairs advise maintenance crew would call day . go downstair gather water juice leave fridge , find kitchen door lock . tell clerk would like retrieve good reluncant come unlock itwe advise use shower floor , occupy . tell return day trip maintenance find nothing wrong shower . try seem fine . even past midnight , decide shower group system work . last night leave early day ( sort speak ) . miss one towel ! run get it . day 3 - 7:30 , ready pack 8:00 . Testing- water shower ice cold , right shower night ! go dowstair see place us breakfast . I get luggage store lobby go grab something eat . luckily , Mark & amp ; Spencer near corner sell decent ready - to - go food decent price . last feature , proximity subway station fact bed sheet clean consolation desolation place . stay long London , would change location first day . stay limited , want waste day pack unpacking . I would recomend hotel bad ennemy . seem nice location near place ( benefit & amp ; Tube station ) .We place complaint clerk upon departure , mentionning pay private shower breakfast bearly could benefit . offer reduce fee ( even pay cash ! ) . stay youth hostel well commodity hotel well price ! 
 Aug 7 2006 	 Shell Game 	 upon arrival pay balance bill advise vague problem water escort 3 block away , drag luggage travel 30 hour Manor Hotel . Manor Hotel post rate half pay offer discount . room resemble room post Windsor House website . I request partial refund far nothing . 
 Jul 7 2006 	 Great Location Clean Rooms Nice Service 	 stay three night Windsor House , first night arrive late - midnight . kind we time request reservation time check . claim , budget accommodation . AC , need door open - bed comfortable , linen clean . bathroom TINY - serve purpose well ! complaint door across floor entrance door . everytime anyone come air pressure would make door slam well . not problem except couple drunk girl come swore door ! staff terrific calmly explain door hall . . . would stay - convenient Earl 's Court underground . 
 Jun 20 2006 	 website say 	 Mum return 2 week stay Windsor House Hotel . find hotel describe site . budget clean . yes , shower tiny plenty hot water , need day London . breakfast adequate sustain we well afternoon . be able use kitchen add bonus , save money hassle end busy day . & amp ; simply Foods corner tube hotel perfect place buy ready - to - heat meal take back hotel kitchen . the tube literally 2 min walk hotel , post office atm . we nervous booking internet , find problem . our email , prior arrival , answer promptly . postpone trip 12month send deposit , email request deposit transfer new date , do without hesitation . we one concern hotel first night , despite lock luggage , tamper . open someone try . report hotel thereafter find problem , even leave luggage room overnighte Paris . course lock everything every time leave room . all - in - all find hotel great value great location . meet needs expectation . 
 Jun 9 2006 	 good Stay - Thank 	 stay 5 night , 23 May year would like thank staff - simple breakfast toast boil egg cereal , cleanly serve , good clean room - plenty hot water - couldn'nt ask , especially price . real basic friendly homely B & amp ; B . - mislay one case journey London - get much kind help staff - actually take we endless phonecall locate - could see loose sightseeing time . good . great location - zone 1 . thank ever much - will back will recommend hotel Lecturers University . 
 May 31 2006 	 bad hotel ' ve ever stay ( especially asians ) 	 do not see reason stay hostel almost week except arranged school team study tour , tell staff rude nice asians , especially group student like us.they simply ask we go downstairs one day breakfast 7:30am every morning without give we reasonable explanation except sake other live hostel.they also ask we go use toilet 2nd floor basement one floor ( live third floor ) even room get stool shower 6 people . toilet , clip note outside state specific visitor do not treat we way.one thing make one groupmate really piss one staff say throw away bag groupmate leave inside room check morning ( would back afternoon pick luggage ) turn find bag somewhere kitchen ( probably keep another staff , sure his / her intention ) .finally breakfast suck , consist toast ( jam buttter provide ) egg cereal ( get ) coffee / tea , everyday merely bread egg eat , already tired thing everyday feel full 's tasty all.i sincerely recommend hostel visitor London 
 May 30 2006 	 shock system ! ! ! 	 ignore wonderful website picture hotel , be really dingey pokey . rescue elderly relative unsuitable hotel relief get away . location , round corner Earls Court tube station , central London attraction , favour . another redeem feature clean , although old shabby . the shower / bathroom / toilet 1meter square , elderly uncle say , sit toilet * * , shave shower ! ! really tiny . one compact double bed push wall , unsuitable elderly folk need able get either side bed . one chair double room , although would not room another . entrance reception area cramp , access room steep flight stair , unsuitable elderly disabled . think ' Hostel ' suit description establishment , suitable pack - packer young people pass . 
 May 21 2006 	 Great Location Good Rooms - Thankyou - will back 	 descend Windsor House Hotel - Wedding Party 21 people - age - Granny /Grandpa ( 80 's ) , Uncles Aunts ( 50 be + ) , plus young adult ( 30's/40 's ) plus assorted teen toddler hotel staff cope we admirably 6 night early May . write tell we prior booking , word , less , small budget level bed Breakfast , - safe , clean comfortable - provide simple basic accommodation - good base ' daily sightseeing ' would locate several floor - lift / elevator . request low floor old famly member - do . appreciate straightforwardness true word - exactly describe . the room rate good indeeed central London location around £ 50 2 take several family room contain 3,4 , 5 bed £ 70 - £ 85 approx . nightly room . room bright , spacious clean lovely Royal Stewart tartan wool spread add touch homecoming cheer ensuite well care clean provide plenty hot water grubby toddler end day . hotel quiet ( except we time ! ) staff efficient , cheerful kind child . tv lounge attach kitchen make full use also like patio chair wall garden kid run safety . happy stay return late August - though 18 us - family 5 ! want well locate , honest goodness basic B & amp ; B Hotel - simple clean - say ' no frill ' - place suit admirably . will Family - ex Wales + relative USA Canada . 
 Apr 14 2006 	 stay away hotel 	 Hotel good location , elevator reception . bad furniture , junk bedspread different color , bed break spring , tv bathroom box ( half size cruise ship 's bathroom ) stand move . this hotel want cash lie we credit card machine break . decide change hotel first night stay . want charge we 50 % agree rate . will not let we go say put bad comment travel site . bad hotel ever stay past travel experience Europe understand European standard not expect much , 56 GBP / night April rip quality providing . recommend get much well hotel corner ( Barkston Hotel ) 9 gbp more / night . 
