great 	 balcony overlook Vegas strip ; room full - functional kitchen dish , appliance , etc . ; tub also jacuzzi , shower rain shower ; bed extremely comfortable ; staff friendly ; location great ; Ghostbar ; Little Buddha ( sushi place ) ; playboy club ; rain ; Moon ; everything spectacular ! 
 Oct 4 2008 	 nice surprise 	 book 4 night studio room ask complimentary upgrade upon arrival . front desk attendant happily check availability put 1 bedroom suite . suite amazing . 1,200 sq ft , 1 king bedroom , separate living room beautiful furniture , gas fireplace , floor celie window wrap - around balcony , stainless steel kitchen sub zero fridge , mini bar , fisher paykel diswashe drawer , bar area glass stove top seating 4 . suite 1.5 bathroom separate jetted tub locate living room bedroom . master bathroom huge walk shower 1 rain head 2 individual shower head . lcd tv bathroom nice touch . two 42 ' flat screen available suite well . suite could easily accommodate 4 people sleep comfortably probably 15 - 20 people want drink . order room service breakfast one morning . arrive exactly time promise . bagel , oatmeal , pot coffee . Valet Self parking complimentary condo hotel wireless internet $ 13.99 per 24hrs . onsite spa cost $ 30 day use facility ( include fitness center ) . ask front desk comp pass try problem give one . fitness center great ; cardio machine individual tv , bottled water , towel wait . man 's lockerroom great ; sauna , steam room , cold plunge pool , hot whirlpool . also co - ed & quot ; Hammam & quot ; similar turkish bath . man woman use ( must wear towel / bathing suit ) 's similar steam room . unfortunately , not hot entire week . lastly , small lounge room relax watch tv . complimentary juice bottle water available . I try 50 min Drift Massage happy . professional staff great experience overall . automatically add 20 % gratuity service not worry tip . use 25 % coupon get check , pay $ 123 include tip taxis . the hotel 's pool open 9am-6pm day . pool modern , trendy overlook Simon restaurant . cabanas rent , however , small fairly dark inside . actually enjoy sun ' m pool ' m fan cabanas . bar pool convenient ; expect mixed drink price $ 7 - 10 ea . although condotel casino connect Palms via sky tube . easily 5 min journey lobby lobby . even move sidewalk relax lazy . each employee hotel go level customer service typically find Vegas . nice thing hotel not constantly dodge people leave right walk around ( like MIrage large property ) . highly recommend property enjoy exclusive service , non smoking , nice accommodation . enjoy ! 
 Sep 26 2008 	 expect - great hotel even young child ! ! ! 	 wife , 6 year old daughter , visit Palms Place four night . little worried many review friend talk say daughter would bore expose & quot ; adult life Vegas & quot ; Palms Place . but love ! ! ! enter one bedroom suite run throughout entire area . could not wait walk around wrap around balcony . not want take show bath tub locate master bedroom . short great time PP Vegas itself . overall hotel superb . check - in excellent ; arrive Honolulu 8:30a call hotel 10:00a room available . receptionist polite affirm early check - in . valet quick bellhop assist luggage . everything room top line . break lamp work desk quickly fix Maintenance . floor clean bathroom ( ) spotless . wife love space bathroom closet space . washer / dryer convenient travel child . we visit pool . 3.5 foot deep perfect daughter . one else use pool complete run area . not visit on - site restaurant spa . check simple tv room . will definitely stay . 
 Sep 24 2008 	 Scary 	 ok understand unit obviously own & quot ; Cleaned & quot ; individually , understand tell importance understand two ( find ) .and review continue : delay airline 2 hour arrival take car Palms Place . I actually excite town & quot ; Project & quot ; look forward week good fashion , food friend . upon arrival Palms Place excited get 2 bedroom unit ( turn 2 individual room ) .The check pleasant except certain lady lobby dweller look date make we little uncomfortable . whatever , Vegas . as resident city 12 year appreciate flavor . get suite . when get lobby area 2 room overwhelm disgusting stench vomit around we . it completely dark area ( find strange ) could not see stand right middle & quot ; Puke ! ! ! ! ! ! ! ! ! ! ! ! ! & quot ; l.a.m.b heel . after small heart attack levitate back lobby body experience believe happen . they say could clean area otherwise completely book . we stand look be not go smell scent puke morning everytime leave room . Side Note : puke hallway nice hotel early hour night walk away . maybe raise differently . so sudden 2 bdr suite appear . it 30th floor much appreciate tired be . when get room ( dark ) blow away . absolutely AWESOME design . we order food 2 am finally ready call night . we free day ( thank God ) next day work . I awake put robe leave we ( 1 2 bdr suite ) start make coffee . the maker still thick coat something sticky .I decided skip that . so start look around room daylight stop track . a thick layer dust floor kitchen , oil slick glass window , upon close look , could see someone naked slam upon . dry bubble floor bedroom tub , break hair clip someone hair still , disgust dry speciman wall bed ( joke , know mean ) familiar substance coffee table floor should not vaccume windexe , mean really . when sudden look robe wear ( nothing else underneath ) freak . it still make glitter last porno obviously film there . I wake husband , packed run , walk . luckily infection room , robe bed . disgustingly gross , awesome design , go hill fast , Palms Place . back Skylofts ..... fast 
 Sep 23 2008 	 BEST ever ! ! ! 	 wow place amazing ! kinda scare write positive review fear place get popular get obnoxious crowded like typical strip hotel ! live Vegas visit Vegas stay every hotel , place far top list ! really super cool small intimate feel . guess take care ! Bartenders & amp ; staff remember ! place feel like mexico resort w/o ocean . restaurant Simon spectacular ! nothing place crowd get right w/o reservation , breakfast @ Simon spectacular ! iron chef Kerry Simon & amp ; come table thank we eat . another great thing everything pool Simon Rojo price . wife sunset tan room & amp ; love ! room super nice ! comfortable bed , flat screen , full kitchen , everything need ! reviewer complain walk main Palms Hotel / Casino that s ridiculous move walk way ! far either really lazy really old ! sick typical vegas stay disappointed ! 
 Sep 20 2008 	 really nice hotel 	 boyfriend stay Palms summer getaway trip honestly nice place every stay especially 5 star hotel . able book place $ 99 day ( stay night ) well worth price . room really technologically advance beautiful . 3 tv : 1 bathroom 2 bedroom . think top many tv , find watch tv 1 screen boyfriend watch ESPN screen . kitchen really nice even though not get use , fully stock bar ( be electronically censor remove item , purchase go card ) bed comfortable come LOT pillow . bathroom not screen shower get kind messy , overall great experience . this place totally trendy new . love ! 
 Sep 17 2008 	 Palms Place sleek stylish modern hotel . 	 palm stand little strip spectacular view Vegas balcony ! though light bit dim room area hotel decor innovative & amp ; stylish retro 60 's sort way . fully equip kitchenette clever roll - away table . bed firm side comfortable . especially like shower huge whirlpool tub . would happily stay . 
 Sep 17 2008 	 little gross land far far away 	 I ve stay 5 different hotel Vegas past 14 year . start Mirage , Aladdin , Venetian , Mandalay bay palm . superbowl friend guy weekend comp have regular room Palms , bad room I ve stay Vegas . different quality inn . first would never recommend tower , although friend say & quot ; fantasy tower & quot ; much nice . plan another trip girlfriend labor day , time stay Palms Place . let preface say friend room fine problem . say , mine awful . dirty room I ve ever also let say , I ve stay shady place . actually call get someone come look room . room cover dust carpet gum press , couch stain , furniture bang stain pillow . nasty , feel awful quickly send another clean woman . problem be not service , pay $ 330 night , midweek , room vegas ( 1 bedroom suite ) flawless . sadly be not . say accomodate bring attention gross . rest stay , pool way small nearly enough chair , one side pool get black sun mid afternoon . poorly design . go main pool palm , much much well . another problem casino long way away palm place tower , gambler stink ! go 2 different elevator across 2 move sidewalk hallway get farth point casino ! really pain , honest another disappointment Plams place . also come home late want eat make journey 24hr cafe , order room service . also decide stay , take notice material room , cheap , except appliance , 's vinyl panel particle board . seem though try make something look nice make crap . weird , room that s set night though , look cool intreste light night . open drape day sexy , kinda like nightclub . lastly find one unit own private owner lease back palm . condition room different . finish , place good 20something want party , would nearly dissapointe another guy weekend , girlfriend dissapointment . palm whole set hip trendy crowd , awesome nightclub , celebrity weekend , fantastic restaurant . someone look low key pamper vacation . also palm casino dead week . feel like bus trip Atlantic city ! one drawback actual location Palms strip ... do not strip view room look mountain never really get Vegas vibe can not walk onto strip . next stop Wynn Palazoo , look fabulous . guy weekend ... stay MGM lot action , take cab Palms . 
 Sep 17 2008 	 basic 	 average 3 star location , strip , 3 minute walk palm hotel , ikea like furniture , great hope save money cook ( small refrig ) refrig stock ( sensor ) , feel like cheap version w hotel , staff pleasant ( maybe read review ) , likely stay many option vegas must rent car plan leave location , food option limit great movie theater location club ( fill old people non - event night , pay 139 night range market value , bed soft low profile , look big picture reality 
 Sep 16 2008 	 LOVED PALMS PLACE ! ! 	 stay Palms Place August 25 - 28 , 2008 . far one nice room ever stay ! check - cousin call day see get room ealy see plane land morning say & quot ; problem & quot ; , however arrive noon room not ready till 3 pm , cousin not get till 4 pm , complain manager upgrade one bedroom suite . check fast . get pass club put name list . ROOM : book Studio Suite pretty big two people . comfortable king size bed , sit area , two 42 inch screen tv 's side side ( yes one point husband tv 's different channel ; ) , fully equip kitchen , balcony view strip , huge shower & amp ; tub bathroom . clean everyday . one day housekeeping not show till 4 pm little annoying overall good service . ton clean towel everyday , towel HUGE ! food : not try room service however eat mexican restaurant Palms Hotel good Simon 's Lounge pool one day also good . pool : small quiet great ! get free cabana rental hotel promotion book . help alot sun August way hot ! great service pool . pool Palms look like & quot ; party pool & quot ; go , however never make pool . spa : spend 2 hour spa palm place . well 2 hour ever spend ! ! ! really recommend try one service spa . to go STRIP : free shuttle leave Palms hotel think 11 am , 2 pm , & amp ; 5 pm go Forum Shops Fashion Show Mall . ask schedule check . also cabbe couple time usually cost around $ 9PLAYBOY CLUB / MOON : list get & quot ; boy & quot ; still pay $ 20 cover charge . Tuesday night . go Moon first & quot ; stuffy & quot ; we play alot & quot ; Trance / Rave music & quot ; go Playboy Club . relax atmosphere , stuffy , actually allow sit one couch also great especially stuck wear heel 's ! ask bouncer allow sit instead pay $ 450 bottle service . long one reserve good sit ! Palms Place absolutley beautiful ! great service , 5 min walk Palms Hotel . would definatley stay ! 
 Sep 15 2008 	 good suite Vegas 	 attend conference Vegas stay Palm 's Place . reserve studio could not ask anything nice . unbelievable . suit Palm 's Place offer 5x nice Harrah 's , Rio , Paris . 
 Sep 11 2008 	 Vegas Right way 	 spend two night Palms Place recently LOVED 99.5 % stay . we rent Studio three people find exactly want , see online . ask room far possible great view . room service extremely accommodating , end stay Palms complex night . have dinner N9NE , good steak house one Palms restaurant , find Ghostbar Club Moon good place party ( also try Tao Venetian , find overrate ) , love pool party throw guest . sure ask compe bar club already spend hundred dollar eat ; find general manager extremely customer - friendly highly competent , meet great bartender ever . get spray - on tan Sunset Tan fun experience well . very downside : reception staff bit arrogant , gym expensive ( include imo ) , free shuttle strip turn bus go twice daily , little add expense cab way . all however far place come back next trip Vegas . 
 Sep 5 2008 	 stylish 	 Room : let feel like modern stylish castle . comfortable bed , flat tv , huge bathroom incl . whirlpool , nice sofa , balcony ... everything ( come already low room cat . ) . Valet parking free charge . other facility : hotel may expensive choice gym lover : usd 30 per person per caledar day ! gym facility derive late generation ! internet available room usd 14 per 24 hrs . housekeeping expectation . towel replacment bed , cleaning . location enforce take cab Strip ( 10 minute - USD14 ) ok . hotel next Palms ( 5 min foot ) currently one spot ( night club ) . palm hotel slight touch & quot ; playboy & quot ; ambience . 
 Sep 3 2008 	 Favorite Hotel Vegas ! ! ! 	 stay big hotel Vegas , Palms Place far favorite . aside affordable , room immaculate beautifully decorate amazing view balcony . staff friendly helpful- locked room within minute member security let . arrive early expect able get room ready we hour prior 3 pm check - in . not casino , nice not take 20 minute we walk lobby room . however , want gamble take 10 minute walk little tunnel get casino Palms . eat two delicious meal Simon , blast pool , overall love experience Palms Place . 
 Sep 1 2008 	 absolutely amazing ! 	 not think gush hotel . go 2 night boyfriend celebrate 26th birthday . stay strip 3 night afterwards wish could stay Palms place entire time . would not prepaid hotel . our flight 2 hour late storm strong wind airport . circle around dessert could not wait land . go hotel 4:50 pm . wait 10 minute someone help we . help , room not ready , good start . go Rio buffet , yum . good ! received call 20 minute try check , room ready 8th floor . bit irritated way back hotel since call day early request high room . ask second person check we note high room , say . tell request since birthday want nice view . quickly upgrade we 1 bedroom birthday apologize . score ! room incredible . boyfriend could believe beautiful . strip view 26th floor wrap around balcony . bathroom , 1 full 1 half , marble . shower 3 showerhead . great boyfriend 6 ' 5 & quot ; . kitchen subzero fridge , stainless steel top , etc . plenty room store water , food cocktail . living room fireplace , plasma tv , pull couch , couple chair desk . favor part soak tub bedroom . love ! not time go pool , restaurant spa . walk though . nice . maybe next time . spend lot time Palms , adjoin move walkway . eat buffet , affordable tasty . good variety expensive one . table low minimum bet , huge plus . 2 shot 2 cocktail bar , $ 26 . bad . pay $ 28 2 cocktail casino . concierge put we list Moon . go early let right . cover , like . Hung Playboy Club 20 minute Moon open . view great place . drink price average club , make well . strong weak . overly pack inside , right amount people . Soulja Boy perform , riot . sad leave , especially horrible experience second hotel . already tell friend family stay future trip , definitely stay next time well . hope price not skyrocket people start find . 
 Aug 28 2008 	 amazing hotel 	 room Palms Place possibly nice hotel room ' ve ever . 's say lot ' m bit hotel snob . suite clean spacious kitchen , living area balcony , 2 plasma tv , hardwood floor Aveda product . bathroom huge separate shower tub . hotel awesome . pool beautiful . Simon amazing food terrific service hotel bar great well . can not wait stay Palms Place . book hotel rate still reasonable ! 
 Aug 26 2008 	 Palms Place wow deal ! ! ! 	 first time stay Palms place , luv 5 star hotel one . Balcony strip view room love whole stay , book Suite happy room . separate entrance Palms . great thing condo/ suite do not go rest hotel exit enter hotel . great check - in hassle . room picture OHH ! ! WOW BALCONY , VIEW STRIP . do not want tell anyone , people find place might able book room again . the bathroom large . wow jetted tub perfect . the room spacious bed extremely comfortable . use laundry service hotel excellent . luv drink Balcony . our view night awsome ! ! ! . PALMS PLACE condo / Suites pool area Kool , go palm pool area well . also restaurant GREAT FOOD open breakfast ( simon ) luv . palm place suite provide complimentary tea / coffee room . they kichen frig . can not say enough 5 star service . back ! ! ! ! 
 Aug 21 2008 	 Nice room ... bad customer service 	 let start say really excited stay Palms Place base picture website plus good friend birthday . 5 us group stay suite Planet Hollywood two night previous arrive Palms Place . arrive palm around 2:00 ask early check however , room be not avaible ... fine problem check 3 . 3 roll around 4 roll around room still be not clean yet , manger Brian , states & quot ; 1 hour & quot ; 's get really angery pay 500 dollar two bedroom suite . pay 1 hour ' m sit lobby wait . time hear guest complain wait long 3 hour room clean . get room still 3 house keeper clean room apparntley whoever room becfre trash , several item need replace . housekeeping leave room , still dust floor , finger print wall , table , appliance . speak second manager Joe , credit back 200 dollar point damage already do . never stay Palms Place , room beautiful service horrible , already write letter general mamng Palms Place expereience . 
 Aug 17 2008 	 absutely amazing - value ! 	 stay weekend Aug 8 . review pretty much summed will not repeat already say try give additional insight . first , Palms Place truly first class experience , Fro time arrive ( 3 night stay ) ) feel receive attention deserve 5 star hotel . major benefit hotel stay good value 5 star hotel many perk . look nightlife , get access Playboy club Ghostbar concierge . importantly , skytube walkway away .. benefit amenity Palms casino still seclude away understate . maybe lose table one nice thing actually movie theatre conveniently locate . able catch cheap matinee Batman walk downstairs ! overall though , great experience little secret ... shuttle Palms bring fashion mall right strip ! 
 Aug 7 2008 	 Great Place 	 return week stay Palms Casino Resort . family 4 ( child age 13 14 ) stay studio suite . beautiful view - clean - extremely comfortable . complaint pool close 6 . bit far walk strip heat - car use every day . Karen Atlanta , Ga . 
 Aug 5 2008 	 get rate soar . uber - swank hotel ! 	 deal ! ! book hotel $ 99 thru TripRes.com first night really great deal . even well Palms Place deal online get pool cabana additional $ 49 plus dining credit . hotel new need grab deal everyone else find sweet hotel . sure , 's strip , be damn crowded mainstream either . parking breeze never wait call car . 's boutique hotel mean less amenity service personal , less wait crowd . read reviews pool 's bogus . pool perfect swimming lounging . chair new , sofas fireplace area ( even July ) . pool service attentive . , be Tao Beach also not see old fat guy ogle trashy girl pay $ 450 day daybe . water deep cold , 3 foot deep tan oil slick top european style club . not many kid either . room large , quiet ultra modern . kitchen appliance top notch . cutlery stemware cut edge well . pick food booze arrive . bathtub huge jet . big enough 2 people lay . shower design unique two nice shower head . light modern effective . ipod system nice thing . bed platform great sitting . linen high tread count super soft . comfortable sofa ton pillow lounge . one big plus outside balcony nice get away hotel a / c dry suit quickly . great view . eat Simon , guy know food execute well . little Buddha great sushi . Playboy Club overrate , worth check out . , make sure see bathroom stall door . gaming table Casino low minimum attentive cocktail server . ' ve work 5 diamond property one exceptional . rate will not last long everyone figure level luxury strip . stay venetian tale end trip wish would ' ve spend entire trip Palms Place Hotel . 
 Jul 31 2008 	 Beautiful Hotel 	 1st book early check miscommunication be not able check early end gettign free upgrade one bedroom suite corner wrap around balcony .... view strip palm . get club free call concierge gettign line pass gustlist ..... awesome time , bachelorette party say least . room undescibable . crowd fun . 24/7 cafe good pricey . mexican restraunt average price good well .... would def go back ! ! ! ! ! ! ! ! ! ! ! ! ! ! Vegas palm place ROCKS ! ! 
 Jul 27 2008 	 Good Bad Ugly 	 Good -1 . layout room furnishing great . great views.2 . service excellent . impressed particular front desk -- helpful concierge . ask place print boarding pass , . need direction give print map . one party leave key room . call front desk 3 minute later bellman replacement . extremely attractive attendant fitness center helpful think almost worth $ 30 fee ( per visit ) . 3 . place good value money , especially $ 150 pay weeknight . the Bad -1 . hotel way strip -- maybe 20 30 minute walk.2 . pool suck . use pool Palms Casino , much nice . however , not expect see ton topless babe , bring next point:3 . Playboy connection , etc . , might expect would great place meet woman party . well , every guy decide stay . be male agenda , Wynn would well choice , base see places.4 . good choice 40 crowd . the Ugly -- 1 . Playboy Club . definitely overrated , nothing like have expect . base quality room , service , price excellent hotel . 
 Jul 24 2008 	 palm : terrific 	 palm hotel casino : terrific . girlfriend stay palm july 15 thru 18th . meet airport driver od , take we palm comfort style . arrive hotel hour check . bell boy hold luggage enjoy couple drink lounge . 3 pm hotel call cell phone let we know room ready , bell boy take we luggage great room . great view strip pool , junior suite old tower 22nd floor king size bed great ! spend day pool night town . wonderful . cab ride strip palm 8 dollar . 24hour bus pass 5 dollar run entire strip , slow will get save alot step . great time palm would definately refer hotel friend . 
 Jul 22 2008 	 Fell love Palms Place 	 plan much needed vacation March , look Trip Advisor inspiration . Vegas 10 + year , want see Cirque Du Soleil show , , Vegas . look good price Incrediblememoriestravelco.com , find good list Palms . Booking think room main hotel ( know Palms Place even exist ) , happy description picture . upon arrival Palms , wne check , tell actually stay brand new Palms tower locate next door . man front desk nice offer hotel limo take we tower , decline want walk . upon get tower , bit confused not foot traffic . upon get front desk , receptionist inform we getting upgrade studio one bedroom suite . woman explain we hotel BRAND new , yet even grand opening . leave front desk , escort elevator . ( boyfriend ) love feel hotel : sleek , modern , sexy . room end long hallway . enter turn light , floor : amazing ! immediately leave small powder room , directly front we ( long stretch hallway ) amazing view Las Vegas . walk straight ahead , see full kitchen leave . full fridge freezer , dishwasher , flat top stove , full service four , dining room table , everything ! right , amazing living room flat screen tv double sided fireplace , well small balcony . go live room right bedroom , include amazing bed , flat screen tv , large balcony , bathtub ! next bedroom ( side wall bed ) bathroom include double sink , 3 head shower ( amazing ! ) , seperate , secluded toilet flat screen tv . bubble light hang front sink crack , call front desk let know . crack light issue , affect stay . decide explore suite , discover nice vanity cove ( likely use make - up application ) , huge closet iron ironing board , coffee maker , washer dryer ! upon return Cirque show , want use bathtub locate bedroom . turn , learn hot water work . time least 2 , really want use ( could blame we ) , call front desk . tell we would send someone help we . 10 minute , handy man come room . nice , quickly & quot ; solved & quot ; problem . apparently , impatience get good we , hot water actually work . hotel brand new hot water take travel 12th story room . tell we probably 40 people total staying hotel . upon leave , staff helpfull whatever need : suggestion eat , go fun , direction , etc . overall , would say stay fantastic , would recommend hotel anyone an everyone ! money well spend ! 
 Jul 16 2008 	 well * * room ' ve stay vegas ! 	 okay . , be ( couple friend ) plan vegas trip due NBA Summer League . age range early 20 's early 30 's .. naturally , want stay somewhere trendy & quot ; happenin ' & quot ; minute look ( expect ? be guy ! ) come across Palms Place . never hear place .. know part Palms , take chance book couple studio . the room SWEET ! ultra trendy . everything do dark , contemporary color . 's TWO ( count them ! ) two huge 42 inch hdtv 's . fridge , dishwasher , microwave , coffeemaker ( coffee ! ) utensil , plate , stovetop ! everything could possibly need room . bed comfortable ! bathroom awesome . nice waterfall showerhead . nice lcd television next sink . telephone next toilet ( though , ' ve never understand reasoning . would imagine have one hell deuce have droppin ' phone come handy ! ) course restaurant , club , pool top notch . hotel not busy . like , ever . literally walk check - in within 5 minute room . definitely something not use ! elevator nice touch . order select floor room , put hotel key first select - otherwise will not stop floor . niiicee ! nice touch ' do disturb ' function . 's button press inside room allow press whether want housekeeping .. whether want disturb . 's light outside room reflect choice make . great feature . handy . newspaper put door handle every morning .. say ? ! booking room good thing bad thing . the good - room fantastic . everything trendy awesome . the bad - well , hotel room stay be * * Palms Place , go pale comparison . ' ve stay hotel include Treasure Island , Flamingo , MGM Grand , Paris , Mirage .. honestly say one anything PALMS PLACE . 
 Jul 14 2008 	 Palms condo ... well think 	 Palms Place create great medium . enough Vegas without & quot ; much Vegas & quot ; . friend purchase condo . go open party . expect super tacky surprised project turn well . ton time , consideration , planning go development . good job palm . anything might want always within reach . time back everything arm distance away . really like versatility w / the layout . yes , condo nice , ( modern/ clean line ) . balcony = grrreat view . main highlight glass top dance floor pool . overall think classy fun . 
 Jul 6 2008 	 good . bad . 	 find great rate June Palms Place website one bedroom suite , wow online pic room , big 1200 sq . foot room size , really excited book cool look room $ 179 night quick getaway . drive Sunday afternoon check , 1 bedroom unit yet ready . problem , go check Simon Restaurant lunch cool restaurant . service food restaurant good , fun overlook pool area , attractive , small . cabana , use include one day room rate ( otherwise $ 250 day ) super impressive , pretty basic looking , though tv inside . lunch , go back front desk , room still ready , not ready 6 pm , 3 hour arrive , kind disappointment we , 2 night . however , front desk comp we free drink bar , apologetic . when get room , mountain view 52nd floor , look cool sleek , nothing seem work ! faucet handle bathroom pull wall soon turn , thing happen kitchen faucet . except phone toilet , none room phone work . light bedroom not work either , tv ... end electrical engineer come room fix light outlet tv . bathtub jet turn loudly 1 am , fall asleep , scare wit ! next morning sleek room seem much trouble , request move . front desk kindly move us strip view room , turn absolutely perfect . fireplace mood light light beautifully , drape open perfectly , nice strip view . everything room work beautifully . feel like vacation finally begin . so , , beautiful flashy hotel , though think be well people like trendy decor , 20/30 year old demographic . staff young polished could , make good friendly attitude . spa nice , husband great facial massage treatment . sure would return , right signature MGM Grand still favorite , ' m sure lot people really enjoy place . 
 Jun 25 2008 	 absolutely Loved Palms Place 	 recently attend conference work Las Vegas book agent stay Palms Place . first hesitant try change since approximately 5 mile away conf . destination . GLAD & quot ; HAPPEN .. hotel overbooke could not accomodate . walk room totally breathless .. beautiful .. everything exceptional , service front desk , security , bellboy even room service . 's ( litterally ) squeaky clean everyone extremely polite friendly . three tower connect be walk sky tube tower ( Fantasy Playboy Casinoes ) be ok , will someone drive little golf car .. ( fun ) 's much simply fabulous .. restaurant bar club ... mention breakfast buffet friendliest chef entertain we joke cook omlette .. not return work soon ' m sure chance stay litlle long hotel would extended stay . think ' m ever head way business pleasure .. will Palms Place ... 
 Jun 25 2008 	 amazing studio 	 love studio room ( cool style top end accessory , comfortable bed ) , love pool set cabana , complimentary addmition Ghost Bar top Palms tower ( 50 something floor ) - amazing view Strip night well like quiet stay -strip 
 Jun 8 2008 	 mixed experience 	 stay two - bedroom suite basically one - bedroom suite directly next studio . the one - bedroom suite beautiful fireplace livingroom hot tub air jet bedroom . bathroom huge shower rain forest showerhead well two additional showerhead side . the studio bathroom small shower ( also rain forest showerhead ) basically connect nice bathtub jet . these two nice room ever stayed stay suite every Las Vegas . I two minor complaint actual room . in one - bedroom suite large painting kitchen basically peal wall . also sound system either room play CD 's dvd player attach TV 's would not play CD 's . palm Dance music station good ... tv would not allow put volume half way . the room service meet expectation . selection small . take hour food come several occasion . quality food average well . the housekeeping worst ever experience whole life . first morning come barge 9am woke . tell need disturb light on . the next day disturb light noon not come 6pm evening . the day guest come around 5pm call noon tell housekeeping come . go casino 3pm room still service . despite call three time not come 7pm . luckily guest arrive late else would ' ve upset . with terrible room service low expectation Simon restaurant surprisingly good . satisfied everything eat set spectacular overlook pool area . the massage spa decent . however , turn face straight not anything cover eye glare come window . leave 10 minute finally come back something cover eye keep fall rest massage . the steamroom drift spa way hot go co - ed Hamman disappoint . nobody temperature way low value . after spa pay spray tan Sunset Tan later day . come back tan record already pay ask receipt ( toss away ) . woman say trust bring upstairs tan . although enjoyable time Palms Place ... likely will not stay again . if care stay nice room definitely recommend Palms Place . if good service important would definitely stay elsewhere ... four season . 
 May 31 2008 	 Ultra Chic Gem still suffer Opening Jitters 	 Palms Place exercise modern splendor . stylish ultra chic , hotel offer good accommodation city offer . first , must introduce complete utter hotel snob . platinum Status SPG Diamond Hyatt cheap hotel selection . love luxury service picky traveler . hotel absolutely amazing contemporary modernity fair share problem nice place . first good thing : room finally end dream come true . book one bedroom suite , well worth upgrade price . remember really condominium expensive one . suite get large lavish guest powder room get spectacular ultra modern stainless steel fit kitchen complete Sub Zero refrigerator , Gaggenau stove , Fisher Paykel dishwasher drawer , stainless micro , stainless minibar , full sink build dining lounge four , perfect breakfast morning armwrestle 2:00am . place huge ! also occupy corner position ( one bedroom suite ) wrap around floor ceiling glass window wall unit stunning panoramic view . work fireplace luxurious modern living room huge plasma television , glass & amp ; polished steel work desk , huge sectional two modern leather chair chaise . beautiful metallic powder blue black drape lacy silver sheer curtain give two beautiful option control light , want hide spectacular view . stupid electrify . open couple week drape already problem pull . the Master Suite access via long hall build , floor ceiling closet system flush full height door , internal lighting , internal dresser light chic custom indirect lighting fixture . light hotel particularly good - everything dimmer glamorously light . also two huge slide panel slide open living room create large open plan space allow bedroom enjoy corner position . large free standing super modern egg shape air tub sit white marble floor master suite adjacent living room . love tub ! air much well filthy jet 's big deep sit next window wall . bed fabulously comfortable master bedroom 50 inch plasma tv . wall dark wood , leather , marble gorgeous lacquered midnight blue subtle airbrush sunset line knee height . kitchen living room floor throughout dark black wood inlay dark grey carpet stainless steel edge living room . master bedroom grey carpet detail around bed rest room , dress hall , entry hall master bath white marble . the master bath quite large private water closet conceal slide frosted glass panel door . two vanity sink separate annoying modern globe light dangle ceiling ( look good user friendly ) , directly across huge two person shower inclose white marble glass . two show wand rain shower head . the entrance hall also sleek hidden door open full size washer dryer room . place stunning . view amazing . two section window wall slide open onto huge wrap around terrace glass wall railing . room 51st floor view far wide none well city except top Stratus Sphere Tower . nighttime view city side breathtaking . the problems : since new hotel forgive stuff . book three night stay decide stay one night another hotel last two night . four day cancelation policy charge full rate . send several email hotel respond & quot ; message delay & quot ; email state get message not deliver yet . also say not need send another . many time response . last day cancelation decide FAX cancelation London hotel request confirmation . respond not even cancel . present three day stay check . rather infuriate normally would make fit right , blow away stunning lobby decide check room rant . complete total surprise room meet expectation exceed . communication request room strip view high floor . even check ask strip view high floor say room spectacular view . floor 19 mountain side . go balcony could see small part strip really could see . floor 19 60 story tower high floor unless dumb count higher that . I stew room view fact not cancel second third night decide would call front desk ask high room floor strip side . base answer would stay demand cancelation . ask could move room strip side high floor next two night . man phone ask not want move right away say room couple hour already . say room 51st floor face strip would move right . decide stay , view stunning terrace wider wrap continuously around suite . low floor small balcony higher large continuous terrace . the house keep terrible . decide leave rather large tip nice note request extra special cleaning boy respond . room like new get back . shame stay multiple night get much fresher room drop $ 10- $ 20 tip . I use hotel 's day dry cleaning service clean brand new Tommy Bahama 's long sleeve silk shirt purchase trip . wear first day thought would clean wear trip home . clean deliver bed point day . dress leave hotel take shirt package extreme disappointment wash shirt instead dry cleaning ! shrink much long could button close . need another inch half shirt fabric ! complain send security staff give form fill visually show shirt . hotel manager say would talk dry cleaning staff see would day . anything moment hope call argue later.24 hour room service breakfast , lunch dinner extremely limit menu good . expensive room service . one time order , push cart hall 8:30 still 8:30 pm . good sign . nothing bad stay ultimate room , room not want leave , access bad room service ! would order meal well . I eat simon , new restaurant sixth floor . good food , beautiful people . expensive . excellent sushi bar chef also . staff help huge amount work get act together . sushi chef zero assistance waste huge amount time support prep work thing take way long . waiter non existent . finish dish would remove pile adjacent rather difficult problem sushi bar . chef clearly distress unsanitary inappropriate sushi chef remove use plate . 10 minute actual wait pile dish whip iPhone turn timer set phone counter see . take another 5 minute waiter came remove . shocking thing manager many waiter would congregate near never pay attention . good restaurant serious service issue point . also allow non - sushi eating guest sit hangout drink sushi bar even though huge bar restaurant . appropriate fair chef either . all , hotel stunning still suffer open shake cruise . definitely give another chance service not rise height spectacular design , well serve property town . JD Dallas 
