quiet 	 love stay find hotel clean relax . actually lounge lobby read collection travel guide book . front desk staff happy assist us snail mail , restaurant , anything else need . breakfast great variety staff tend buffet readily available supply whatever need . stay back side building noise comfortable bed . room decent size Europe . also location three block north major metro stop Hyde Park . 
 Apr 11 2009 	 great Find Good Location 	 wife stay hotel 10th Anniversary April 2009 find hotel originally tripadvisor . overall good find would definitely stay , especially consider discount Rick Steve 's London Book ( remember reserve use discount ) . price good consider cost hotel London . room clean large expect . bathroom , especially shower bit small . top floor away main street nice quiet . hotel short distance Paddington Train Station . take train London Heathrow , & quot ; Connect & quot ; train & quot ; Express & quot ; train twice price , really save little less time since terminal would transfer anyway get onto Express Connect right terminal arrive . walk hotel .5 mile fairly easy walk , 20 minute . however , large bag , may hassle . along way , pick crucial thing Oyster Card , International Calling card , etc . small market along way . price calling card great ... 5 pound 2 hour worth call . difficult use card , however , since enter number difficult hotel phone . difficult describe , try , see . take practice patience . use 0800 free number make phone use free hotel . work great ! upon ariving , hotel entrance small keep eye look . location good 's .25 mile Marble Arch Tube station . fairly convenient . however , problem really little way restaurant area remaine open late evening whether good bad , whole lot people around later evening . like quiet , place . service good . free use computer / internet downstairs . fine selection travel book ( know , would bring mine ) available library . small 711 type store nearby helpful get water , snack , etc . breakfast , really enjoy . would recommend get downstair early , around 8 am breakfast good . Eggs , ham / bacon sausage , yogurt , fruit , bread cheese . although selection change little morning morning , complain free nice ( clean ) breakfast start day . term travel , would recommend take Tube almost everywhere go . easy learn use convenient . use bus , hear easy . not recommend walk much lot people walk around especially Oxford Street take forever get anywhere . walk British Museum hotel tire we take nearly hour get . take tube save time energy . like Big Red Bus tour . bus , people lead tour good , rather boring 's difficult hear . moreover , inside part bus see anything way difficult get seat top 40 people try get 20 seat . avoid bus tour . original bus tour seem well much bus . however , would highly recommend Thames River trip . 's tour , guide professional great job . site would recommend include : Tower London , Evan Evans tour Windsor , Bath Stonehenge . food , go Gordon Ramsey 's Claridge Hotel . overrated . service mediocre food really great . personally , like food eat Chinatown . restaurant good duck , chicken , BBQ pork tasty . shopping , Oxford Street overate . Harrods nice . go see Wicked not confuse Apollo Theatre Apollo Victorian Theatre , two different location almost miss beginning play . enjoy London , however , tremendously . 
 Apr 10 2009 	 good value London 	 nice hotel good staff . initially , room 100 large , basement , shower work . staff move we room 206 , give we differential another discount trouble . room 206 small US standard , typical London room . breakfast bountiful good . would stay . location good . internet available public room . 
 Apr 1 2009 	 Perfect complement trip ! 	 find Trip Advisor stay hotel check info website . find Sumner ! decide stay good hotel move around city . want thing ! hotel ! Great Service , location near Marble Arch , beautiful boutique hotel , comfortable room . busy day walk around get back clean comfy room great shower ! thank people also add good review hotel , wrong ! would extend little bit breakfast ... 
 Mar 27 2009 	 can not wait go back 	 visit London several time last 12 month stay elsewhere , long ! hotel speed dial . 
 Mar 27 2009 	 Great Value London 	 spend last night London Sumner pleasantly suprise quality hotel . sumner wonderfully decorate staff incredibly nice helpful . breakfast good hotel price really good . 
 Mar 26 2009 	 nice exceptional 	 appraisal small hotel get tripadvisor , expect bit end . location comfortable quiet , build nice little townhouse . tiny lobby look stylish modern , sadly could not say room . terrible , stylish either , remind basic big chain airport hotel room . extremely tiny , space even single suitcase floor . bathroom seem bit fresh appearance quite convenient.overall , enjoy stay could not really see anything would ' ve make hotel well couple radisson ' ve stay close , fact recall bit fresher look room Sumner . , nice place stay , exceptional mean . 
 Mar 24 2009 	 Immaculate place young / hip staff great location . 	 love place ! crisp linen comfortable bed adorn elegant little room stay . everything new , clean , form function run neck neck finish line . 's nice breakfast room downstairs , well lovely sitting room adjacent reception area , perfect greeting business associate , say & quot ; good - evening & quot ; dong room would inappropriate . the location wonderful , right near Marble Arch underground stop . neighborhood feel safe , within reasonable walking distance transportation , restaurant , sight . solo traveler , feel extremely comfortable . having say , advise , person prefer require large , open room , big elevator big staircase , likely place , scale feeling regard room size , move corridor , get room , etc ... get difficult London Heathrow . believe hotel offer chauffeur service ; however , opt Dot 2 Dot limo shuttle airport , around + /- £ 22 , help get feel area . the hotel staff young , hip , polite helpful . really like place staff much , would not hesitate stay , next time romantic getaway , solo - nice keep ! 
 Mar 20 2009 	 great small hotel ! 	 stay 8 night pick sumner base review . nice , small hotel . clean comfortable . staff extremely friendly helpful . room small , adequate . quiet . bathroom spotless , nice plus plush towel . bright , colorful breakfast room excellent hot breakfast . excellent location , easy walk Marble Arch tube major bus stop . walk Paddington Station ( Heathrow Express arrival ) 15 minute . a number good restaurant within easy walk distance . pub next door ( Mason 's Arms ) friendly , excellent ale ( try Badger ale ) good food . Zayna , outstanding genuine northern India - pakistani restaurant 2 block away - eat twice . 
 Mar 16 2009 	 good hotel reasonable rate 	 stay Sumner Hotel 3 night . friendly helpful staff . close Oxford Street like shop ! also enough restaurant within walk distance hotel . the hotel quiet street ( least London standard ! ) bother street noise , window well insulated . reason give room 4.0 instead 5.0 bathroom small , say , good shower . room clean king bed comfy . breakfast good , extravagant nice continental selection well poach egg , bake bean bacon sausage . enough get go morning . would hesitate recommend hotel stay . 
 Mar 14 2009 	 good location see sight 	 Booked read previous post site . room ( 208 ) clean small , know booking . bathroom small adequate , gripe sink plug work properly room ideal rear hotel ( quiet ) . fuss arrive front desk . breakfast room downstair basement , plenty previous post say was'nt hot . great time london , do show ( mama mia ) , see Tina Turner o2 arena . do plenty walking , sometimes easy walk use tube . hotel 5 min Marble arch tube & amp ; Hyde park . walk around Hyde park last morning beautiful spring sunshine . overall nice hotel & amp ; london definately use . 
 Mar 11 2009 	 great location great staff clean - cosy - comfortable ! 	 stay five day business trip . great location , reasonable rate . book purely base review site , thankfully not disappointed . staff helpful efficient ( help book ticket show ) . king room , spacious comfortable , bathroom little small manageable . daily breafast buffet note fancy , good regardless convenient . build nice , cosy feel , sit room pc uselful . central - next door Oxford St. Marble Arch station . good eat option closeby , especially sushi place around corner ( think Mura ) ! would highly recommend hotel . 
 Mar 6 2009 	 excellent small hotel central London 	 sumner ideal location : close enough Paddington walk 10 minute , readily accessible central London : Hyde Park , Oxford High St , musea ; 5 minute Marble Arch tube station . two block away , find row lebanese restaurant , open long night . ( many live music ) . hotel free WiFi , well - design , scrupulously clean room , pleasant staff . breakfast need work , seem problem everywhere . favor walk Le Pain Quotidien ( 10 minute ) , 
 Feb 25 2009 	 Location service price can not better 	 moment book online impressed . hotel short taxi ride St Pancras arrive Eurostar . location excellent , literally minute walk Oxford St Marble Arch tube station . staff reception breakfast friendly helpful beyond expectation lose camera need phone round various location look . breakfast simple deceptively complete . room third floor clean large enough need . noise traffic outside never disturb we way . would definitely stay . 
 Feb 24 2009 	 ultra old ultra modern ultra breakfast 	 book hotel overnight drive Newquay next day . usual list pro con . pro : Quiet tuck awayvery nice front desk manTea cookie nice touchboth modern oldfast internetClose Hyde ParkComfy bedcon : breakfast small 30 people therebathroom little crampedupon arrival front door would not open , finaly front deck man comeShower hard opperateoverall , awsome hotel suggest redo show control add variety breakfast . 
 Feb 21 2009 	 smart hotel convenient location 	 return two night stay Sumner . lovely georgian house Upper Berkeley Street . other say , brass plaque beside door , gaudy hotel sign . sums hotel . smart tastefully decorate neutral colour modern style , keep original feature house . clean well present . bedroom decent size , huge , small ( queen sized room back hotel ) . great sized bed also comfortable , toilet / shower room small perfectly form ! tv radio one good hotel room ' ve ( Radio 4 background morning we ) . comfortable lounge sit not want room , daily paper , magazine book London browse . also pc provide lounge . buffet breakfast good need start day , include choice cornflake muesli , various bread , toast , tea coffee , orange juice , yogurt , cold meat / cheese hot buffet egg / bacon / baked bean . breakfast room basement , , well present , clean comfortable . also , hotel situate convenient location ; near Oxford Street , theatre land , Hyde Park choice tube station enable travel anywhere London . price quite high ( £ 132.50 night ) , pay hotel room travel , basis get pay good value money . would definitely stay , credit crunch permit ! ! 
 Feb 20 2009 	 wonderful Breakfast Safe Location 	 direction website great , however not tell little signage need & quot ; buzz & quot ; front door lock . figured go maze hallway , check beautiful room . staff efficient cold . far good breakfast shower whole two week trip England / Scotland . price , pleased quality location hotel . feel safe walk around even though single traveler . everything look exactly website , will not post picture . 
 Feb 16 2009 	 Excellent Location yet little 	 reading review trip advisor decide book Sumner . arrive early Saturday room available schedule check time - great long journey north ! perfect location , walk distance Oxford Street Mayfair yet quiet enough night get well need rest . room king double slightly small expected top floor v clean . good weekend , stay v nice v helpful . would stay . 
 Feb 13 2009 	 beautiful boutique hotel 	 Sumner Hotel lovely boutique hotel great location . it easy miss brass plaque side front door , find disappointed ! hotel within easy walk distance many location Oxford Street shopping ! spacious front room first floor worried noise . bed comfortable bathroom compact well appoint . the breakfast room basement adequate selection food . we certainly stay next visit London , staff , room location excellent . 
 Feb 9 2009 	 nice could bit well 	 wife stay February 2009 , standard weekend sightseeing west end show . location perfect , around corner Oxford Street , hotel lovely small townhouse far noise . one word advice - stay either room low ground floor - right next breakfast room noise 8 be onwards crazy . warn , still not think would loud . our room nice spacious plenty storage space , let bathroom - poor shower ventilation whatsoever . breakfast include rate , well , would certainly want pay extra . one person task run whole operation , result ( morning ) cold food hot little supply anythng else , include bread , orange juice , etc . good enough , even basic offer this . overall , 's nice spot nice staff , need sort thing could give rating 4 5 . 
 Feb 2 2009 	 Smart Sumner 	 sumner nice hotel . perfectly situated shopping West End . nicely decorate appoint . bedroom large ensuite shower room . bed bit hard drawer storage , large wardrobe . the buffet breakfast simple tasty . the staff excellent . all comfortable stay yet another hotel suffer hard bed syndrome . would definitely reccomend not mind hard bed . 
 Jan 22 2009 	 great Stay ! 	 stay late December soak festive spirit Christmas , also ticket spamalot theatre & amp ; dart championship alexandra palace decide make weekend it . nicely locate side street Marble Arch ( find close arabic quarter , lot lebanese restaurant ! ) , lovley Georgian building beautifully rennovate contemporary style . private entrance allocate key entry . reception friendly , lounge area nice comfortable , breakfast room ( basement ) contemporary share banquet style seat large party , fruit & amp ; cereal , cook breakfast self serve buffet style ( one day egg / bacon & amp ; bean , egg / sausage & amp ; bean , never bacon & amp ; sausage together unfortunately still nice ) large room front hotel 2 large sash window , one opening lead onto small ' balcony ' great watch world go . compact en suite ( polite way say small ) clean comfortable . I would stop not rubbish sleeper ( bed quite hard like plush , soft fluffy ) be normal sleeper ( like husband ) will find problem ! definitely recommend price , include breakfast , rare London , be great choice . ( apology poor quality photo , take iphone ! ) 
 Jan 18 2009 	 great everyone state ... 	 stay sumner saturday evening weekend break London frequently visit , although first time Sumner usually stay chain hotel . extremely impressed , room huge London standard , clean & amp ; modern . staff extremely helpful . breakfast nice . Location fab would book go Gordon Ramsay 's Maize restaurant 10 min walk away . get special January deal rate could visit price will definitely return soon . 
 Jan 16 2009 	 Best London every way 	 husband spend day London Christmas 2008 . third time London ' ve mix experience small hotel . excited say , far good experience ' ve . first , arrive early morning . room ready we right away . deluxe room request unfortunately , first floor front hotel . husband light sleeper know would not work . immediately , front desk find we another room let we stay deluxe room become available several hour later . appreciate understand accomodation . room spotless , well decorate large ' ve see London . room also incredibly quiet , huge plus . move deluxe room regular room king bed . say , nice roomy . unless really want huge shower , would say regular room good . breakfast well stock every morning . sausage egg , along fruit cereal . be huge breakfast people , satisfy we . location hotel also excellent . short walk Hyde Park well public transportation . many restaurant area quick bite . pub corner great soup fast service be bite long day walk around city . stay not pleasant enough , hotel surpass expectation return home . husband lose expensive necklace give anniversary present . call hotel find room ! ! also promptly air mail we home . wonderful Christmas present know honest people still exist . overall , great experience location go back London , first call sumner . 
 Jan 7 2009 	 wonderful bill - Outstanding Service 	 sumner wise choice home away home . front desk staff ( especially Mark Beatta ) could perfect . hotel nice building certainly centrally locate . recommendation restaurant ( seafood around corner hotel ) excellent . always ask whether want tean buscuit - either serve parlor room . take 2 day trip Zurich stay hotel kind enough work arrangement convenient . upon leave - heavy baggage care admit - young lady duty provide great deal assistance luggage large . coukd go - think get picture . nice bathroom - nice size room . pretty common area . ' ve find new hotel London return - really 4.5 rating - Karen Gil ( USA ) 
 Jan 7 2009 	 lovely -- Great Location 	 stay sumner two night December . location great , convenient many sight restaurant . set walk 11:00 a.m. , wonderful complimentary breakfast , go sight want visit . back hotel 7:00 p.m. dinner . staff accomodate friendly . definitely stay Sumner London . also recommend friend . 
 Jan 7 2009 	 ` ` well - know '' hotel could learn thing two little gem ! 	 stay Sumner Hotel one night December impress small boutique hotel . book deluxe double room first floor , like rest hotel , spotless . stay many London hotel , would recommend Sumner , , business leisure traveller . get five star cleanliness , service , value dining ; ' great location Marble Arch … ' lovely quiet ! large & quot ; well - know & quot ; hotel could learn thing two little gem . 
 Jan 6 2009 	 elegant home away home 	 truly jewel London . side street , quiet , surrounding historic modern . room spacious - unusual Europe - tastefully decorate . service discreet , hardly know anyone work , except room public area immaculate . lot careful detail - live area , share , lovely soft music playing , computer available , good reading material , beautiful furniture . also , terrific location , interesting neighborhood , shop great walking . 
 Dec 15 2008 	 Great Stay 	 stay hotel one evening would happily recommend anyone else . far king cross easy get Grosvenor Hotel function . room nice contempory furnishing large make pleasant change London . Shower compact enough room necessary - shower . first floor feel like rabbit warren lot corridor door . fantastic night sleep . thank ! 
 Nov 20 2008 	 Ab Fab Hotel Staff 	 stay sumner 8 night . impressed moment step threshold . location ideal shopping transportation , street quiet , room large London standard . hotel seem run efficiently . everything spotlessly clean . throughout stay staff exceptionally friendly helpful , accommodate wish without fuss without error . next time visit London shall definitely stay sumner . 
 Nov 12 2008 	 great London find . 	 stay total 4 night comfortable well care . staff incredibly helpful pleasant . get ticket show , explain Tube , check open closing time attraction . hotel spotlessly clean room quiet . pay 112 pound 2 double Rick Steve 's discount . bathroom well encounter Euorpe , plenty hot water , toilet flush , etc good soap shampoo . include breakfast nice , excellent tea . parlor / drawing room pleasant even pot tea late one nite trudge back thru cold blustery snow storm ! free internet great print boarding pass check reservation , tho front desk . great choice London hotel . car service book excellent , time , curteous . would return . great find ! 
 Nov 9 2008 	 great boutique hotel 	 locate Marble Arch quiet streetconvenient Tube , near attractionsquiet , clean , basic room breakfast basicbreakfast room windowless attractivevery helpful staffwould stay 
 Nov 6 2008 	 great find 	 wife thoroughly enjoy 2 night stay Sumner Hallowe'en . hotel clean , modern easy find , staff friendly efficient . 's handy Oxford st . plenty restaurant Edgeware road 1 min walk away . slight downside breakfast . ok , everyone like bratfurst sausage , cook option egg . 's really ony minor criticism , though , would definitely stay . 
 Oct 31 2008 	 excellent London option 	 book sumner read Trip Advisor review . disappointed . hotel well locate - tube less 5 minute away - Oxford Street shop - same . we book King Double , large average London hotel room . pleasant view street double glaze ensure street noise . the staff helpful . breakfast generous described & quot ; continental & quot ; include hot cold food enough we . within 5 minute radius interesting pub restaurant . ground floor comfortable guest area free internet connection . London expensive city standard , felt receive comparative value money Sumner . pleased book stay next year . 
 Oct 30 2008 	 highly recommend 	 top quality small boutique hotel excellent location . 2 min walk Oxford St Marble Arch 5 min walk Hyde Park . the decor really tasteful modern really impressed lounge area lot lovely reading material importantly , pc guest use free CHARGE surf web . drink lounge one evening although little pricey , lovely atmosphere . we executive king size room immaculate , high quality fitting fixture plenty space . overlook street not noisy nice able open window . ( many hotel find 's possible ! ) not really need specific help staff find pleasant time . ask borrow iron board - trouble all . although would recommend hotel would stay , small side we . firstly , tea coffee make facility room would expect 4 * hotel . pay £ 3.60 tea two biscuit ! also , like bath robe hotel room , especially hard day 's sight see London unfortunately , neither . shower room like new clean quite small . as breakfast , continental traditional English . first day , bacon sausage like bratwerst ! day 2 , bacon sausage . toast not readily available buffet get ask . despite small niggle , thorougly enjoy stay . 
 Oct 26 2008 	 wonderful choice 	 sumner perfect choice comfort , location service price Rick Steves discount excellent . standard room back quiet good size . many bus serve area terrific first time visitor good sightseeing well get want go . the tube good hurry line work properly . find good restaurant nearby - Prezzo Spaghetti House . prepare food Marks Spencers good London friend tell we . sumner staff always pleasant helpful . breakfast ample . tea serve room lounge time day night really wonderful especially long day tour . 
 Oct 26 2008 	 outstanding hotel 	 magnificent little jewel . love sumner service outstanding . could absolutely ask ! hotel warm , charming beautiful . room spacious well equip , attention detail evident throughout hotel . feel home want leave . spotless , breakfast lovely many choice . location superb handy many convenience . find anything like affordable price charge . say enough hotel certainly stay next time London . already recommend many friend Canada . Mark awesome Peter wonderful , kind helpful make stay enjoyable . internet available use 24hour . bathroom also comfortable spacious . many thank owner care much , show ! sincerely , David Marcella Abugov , Halifax , Nova Scotia , Canada 
 Oct 22 2008 	 enjoyable Stay Sumner 	 spend one night Sumner London way back home Europe trip . room , deluxe , delightful - surprisingly large airy London hotel . well fit wonderful comfortable bed bathroom well accomodate . breakfast include rate , also surprisingly reasonable London standard , breakfast fare good . also enjoy comfortable large guest lounge really appreciate dedicated guest computer free internet access . staff extremely friendly helpful . 
 Oct 21 2008 	 Loved Sumner Hotel . 	 husband recently stay 3 night Sumner Hotel . hotel modern clean bedroom like busy day siteseee London . feel safe staying . buffet breakfast good value . staff helpful - even arrange theatre ticket we . nothing much trouble . position hotel great , close busy shopping precinct Oxford Street close peace fresh air Hyde Park . plenty restaurant , cafe & amp ; pub nearby . also Odeon picture theatre around corner case want sit couple hour rest catch late movie . course Marble Arch tube station handy . would definitely recommend Sumner Hotel anyone want stay small , quiet hotel . 
 Oct 19 2008 	 Loved hotel 	 hotel one good ' ve stay last several trip Europe . location great , sort quiet area close everything plus Marble Arch underground block away . staff extremely curteous room fairly big far european standard go . clean , free internet service lobby level , hot breakfast include think superb . bed fairly comfortable well rarity hotel ' ve stay . price hotel great deal sure would come back . 
 Oct 19 2008 	 fantastic location 	 September 4thWe spend 3 night Sumner would book again . the staff professional helpful . room large european standard , big king size bed . everything clean well care for . the breakfast substantial , contain hot cold item . we could walk Oxford street explore alot city foot location . great little pub next door . 
 Oct 3 2008 	 Incredible London Value 	 Contacted sumner read excellent Trip Advisor review . right away know make right choice efficient , courteous professional manner correspond we . we stay 5 wonderful night spacious comfortable king room . driver car request right meet we customs Heathrow take we hotel . location great ... take we 3 minute walk Marble Arch Tube Station . ( go ride tube quite bit , suggest purchase Oyster Cards go . reduce fare ride per person 4 pound 1 1/2 pound . purchase online Visit Britain website ) . several restaurant within two six block hotel ... would recommend Prezzo Seaport ... excellent ... Prezzo reasonably price Seaport little expensive well worth . also two block beautiful Hyde Park , walk forever . we pay 145 pound per night besides lovely room , also include nice breakfast hot cold item , wi - fi room , computer internet access lobby , room service anytime tea coffee , assistance one helpful staff encounter anywhere world absolutely anything . pay twice London get tiny room cold breakfast good location pay extra computer access . the bathroom shower , prefer , fantastic water pressure , instant hot water , nice toiletry soft , fluffy towel . room heat AC , could adjust suit . two floor ceiling 12 ft high window , could open , closed could hear street traffic . I can not imagine pefect place stay London .. definitely stay . 
 Oct 1 2008 	 sumner lovely 	 lovely 5 day stay start car pick Heathrow hotel arrange we fantastic London greet pour rain ! king room top floor great size 130 GB per night good price . lovley furniture , manchster wall mount flat screen . extra bonus window open fresh air come ! staff helpful , breakfast ( include ) great ( meet nice people ) free computer lounge great checking email . location well . great middle Eastern supermarket road , restaurant near , walk tube even walk acorss Hyde park Harrods ! ( tiny little concern shower claustrophobic door nearly go ceiling heigth steam engulfs however open door little gulp air go ( bath would nice room ) . heating room questionable ( express concern staff member feel cold air blow ) reverse cycle blow cool air hot wall heater control elsewhere . lovely blanket forthcoming need ) however mean minute comment love place without doubt would stay . 
 Sep 30 2008 	 sumner place stay London 	 be look super value , incredible service great accommodation London , place . wife stay 3 night sumner staff simply fabulous help need , theater ticket direction . gentleman front desk greet we , Mark , make we feel welcome . room super clean comfortable . also close Underground station go anywhere London beyond . great breakfast every morning , except close bit early ( biggie ) . even offer breakfast ready morning leave . next time , be London , Sumner surely hotel destination . complaint could find good nearby pub late night town never inquire sumner staff . 
 Sep 29 2008 	 love ! 	 stay four night regular room would go back heartbeat ! comfortable room , nice breakfast , friendly staff great location - mention reasonable rate London . definetly recommend sumner friend family . Dova Kacee Jones 
 Sep 19 2008 	 would great except cold shower 	 stay 2 night king room . everything great except lack hot water one morning . give rave review site hotel , believe isolated incident , make difficult want stay , especially cause lot inconvenience & amp ; staff provide apology . yes , London hotel room expensive & amp ; hotel practically bargain context , US $ 320 / night would least expect hot water need it . my room 3rd floor , spacious , well light 2 window overlook street , & amp ; quiet . bed incredibly comfortable , soft sheet . many cable channel available flat screen tv . main downside bathroom - tiny , tiny stall shower . one morning , find hot water ; 5 minute call reception , tell one boiler turned turn back . wait 20 minute water heat & amp ; could not wait long , point already 30 minute late appointment . take barely lukewarm shower . apology reception . the hotel 's public area nicely decorate , stylish , muted fashion , comfortable drawing room . staff nice bit stiff . location great need near Marble Arch Oxford St ; street nice & amp ; quiet . room key also open front door , convenient also feel secure . would not hesitate recommend alternative big hotel . ( significant ) problem hot water . 
 Sep 18 2008 	 nice option 	 find hotel reasonably price London incredibly difficult . seem either expensive inexpensive yet sketchy hotel . Sumner moderately price expensive London standard nicely locate near Marble Arch tube station . hotel locate quiet street full hotel not look nearly nice sumner . hotel well - appoint comfortable room , friendly staff complementary breakfast . room spotless , quite large , relatively quiet . pro hotel : feel like ( ) high end boutique hotel , great location , reasonable room rate , staff , clean modern room . would definitely stay sumner return visit . 
 Sep 13 2008 	 Best Hotel Marble Arch 	 business traveller visit London 4 time every year . always stay near marble arch . try several hotel area . noisy , overprice tiny room indifferent service . look change find sumner review website book recent trip 3 day . location excellent . 3 minute walk marble arch tube . room ( King ) word - massive . travel extensively world one big room ever . similarly bathroom large . the furniture accessorie top notch . staff service great . breakfast feature massive selection good quality totally acceptable . Wifi free . I definitely back . 
 Sep 11 2008 	 exceptional 	 outstanding hotel can not recommend highly enough . hotel impeccable clean staff fall helpful courteous . despite reviewer comment room small , find mine quite spacious London . situate block Hyde Park easy access tube Oxford Street , location excellent . laundromat around corner gym five ten minute away . internet use free computer lounge library London guide research . breakfast fantastic overall sumner good hotel ever use . 
 Sep 9 2008 	 London Sumner 	 recently stay sumner , follow great review Trip advisor . disappointed ! staff friendly location fantastic . we definately go back . slight downside breakfast pre cook great deli around corner add whole experience ! 
 Sep 6 2008 	 great little hotel 	 comfortable hotel excellent location . staff friendly helpful . bed pillow excellent ( important ) . breakfast fill . hotel spotless . book return visit . highly recommend . 
 Aug 21 2008 	 love sumner ! 	 stay parent end June 2008 , stay 5 day . request triple room get we basement room - big enough 3 we . Tho initially saw place next bfast room , worry bout noise , perfect . which bring bfast - fabulous delicious - egg ( 2 type ) , sausage , baked bean , bacon - well cook , plus small selection cereal , cheese bread . the hotel lovely , use free internet available 24/7 much appreciated . Location fantastic , 5 min walk Marble Arch , nearby grocer , small cafe resturant be feel lazy venture 10mins beyond hotel bite . 
 Aug 19 2008 	 Recent Stay 	 return seven night stay hotel , locate Upper Berkeley Street Mayfair section London . hotel sixteen room charge relatively reasonable ( London ) . room comfortable two twin bed - mattress quite firm need duvet underlay wife . wi - fi readily available free compute access lounge helpful . airconditione work fine room although fan speed difficult control lead chilly morning ! staff uniformly helpful excellent . respond immediately meet need extra towel , additional duvet , etc . readily provide direction , reserve restaurant call taxi need . two negative observation : spite promise morning newspaper , available lounge soon disappear guest take room . second , serious criticism poor breakfast choice downstairs dining room . include room charge , breakfast include juice , coffee tea , cereal , fruit , roll hot dish . latter include either bacon sausage , bake bean two kind egg - scramble hard boil . unfortunately , hot dish well prepare also quite lukewarm cold . Breakfast serve 8 9:30 am.a final , positive , aspect hotel location . block away Edgeware Road three block away Marble Arch , tube bus service readily accessible . the predominant Middle East population area provide easy market shop fine lebanese moroccan restaurant . however , great meal neighborhood Porte des Indes , fantastically decorate indian restaurant marvellous dish . 
 Aug 2 2008 	 great place ! 	 husband stay Sumner three night July 2008 . book King Room hotel 's website ( user - friendly ! ) stay Room 205 . many different hotel know London year , sumner easily good . location convenient public transport ( bus Underground Marble Arch ) , shop Oxford street , lovely Hyde Park five minute walk away . taxi Paddington Station relatively cheap ( far anything London ) fast , be easy ride Heathrow Airport Express train . certainly improvement slow ride Underground . area around Marble Arch seem firmly middle Eastern hand lot nice restaurant excellent cafés around corner hotel . 's also pub small supermarket . the hotel clean room spacious ( London standard ) . small bathroom plenty fluffy fresh towel good powerful shower ( standard ) . room look front traffic noise could hear , despite double- glase quiet hope . unfortunately , A / c right beside bed bit bother cold air blow straight we . good wireless internet connection room love fact three different kind socket ( UK , Europe , US ) actually fit wall desk . not hotel think kind thing ? breakfast buffet suit taste , good continental selection ( fresh fruit ! ) well traditional cooked breakfast . nice selection bread . breakfast room downstairs though daylight view , not tend linger . but really make hotel friendly , well - train highly efficient staff . everyone seem Poland ( wonder , since owner apparently Polish ) can not enough . refreshing change attitude meet elsewhere UK . well do ! cheap place stay hotel excellent value money pay , 's Marble Arch area want stay ( be bother ) , would definitely look . 
 Jul 26 2008 	 Mom LOVED Hotel 	 mother ( 28 yo ) London week visit family spend lot time research affordable / nice hotel online . sumner fabulous hotel actually look like picture website ( ) everything boast . even free internet lobby ( generally available wanted ) like room * * * clean , size expect ( US hotel room big , european hotel room size ) definitely enough room we bathroom appropriately size clean , overhead shower option ( oppose hand hold ) . also A / C could control nice window . bed comfortable flat screen tv . safe room , hotel one leave passport . small frig room , room leave item , e.g. , mom keep bottle wine . location also great : run every morning Hyde Park area many restaurant local eatery , well close major site ( hyde park , Marylebone , buckingham less mile , kensington across park ) tube line / bus stop also close . however , would suggest get local street map ( hotel ) ' m pretty sure take tube could walk switch tube line lot , walk could eliminate change . hotel staff helpful even look BYO place we neighborhood dinner . breakfast totally convenient coffee delicious . mom big morning eater , can not comment egg , etc banana cereal perfect mom nice bread , yogurt apple / orange selection . overall GREAT stay ! * * * would suggest request room floor breakfast , would imagine would get loud breakfast hour breakfast smell tend waft . room near breakfast , can not say sure . 
 Jul 20 2008 	 every thing hope would 	 husband get back Tour Italy spend last night reture Canada London Sumner Hotel . research many hotel book choose sumner base good review Trip Advisor site . certainly dissapointe . spend 24 hour London hotel wonderful location . take express train Heathrow Paddington Station , quick taxi ride sumner- check noon problem . short walk away Oxford Street shopping , Marble Arch Hyde Park catch hop hop bus tour London . dinner eat Mason 's pub corner- great fish chip . room wonderful -large modern , spotless comfy bed linen . room front quiet never hear guest street traffic . bath clean modern , huge adequate box shower . my husband think breakfast well yet , certainly nice variety pleasant surounding . the staff helpful polite let we leave luggage reception pick afternoon flight . when return London certainly stay sumner recommend friend . 
 Jul 17 2008 	 Compact lovely 	 sumner clean , bright comfortable . bed amazing hotel staff friendly helpful . room small amazing bed make small room size . great location 2 pub laundromat right around corner . 
 Jul 3 2008 	 Felt like home away home 	 spend 4 day business trip extremely pleased accommodation amenity . book base positive review Trip Advisor price ( reasonable London quality room ) long day work run around , pleasure come back comfortable , spacious , immaculate room relax . choice breakfast food wide everything absolutely delicious , include coffee ( alway good hotel restaurant ) decor hotel room lounge area smart stylish without pretentious overly modern . location block Marble Arch Oxford Street away crowd - genuinely feel come back neighborhood despite several small hotel restaurant immediate vicinity . hope try pub corner fish restaurant around block , manage get one several lebanese restaurant nearby Edgware Road . all , hope return next time London business pleasure . 
 Jul 2 2008 	 Solid Quiet Hotel 	 sumner small , quiet hotel 2 3 block north Marble Arch tube stop . & quot ; shadow & quot ; Tower Whitehall , think well - locate , quiet street offset extra 3 5 minute cab . room clean quiet . helpful , non - intrusive staff . good breakfast ( cereal , coffee , juice , sausage , egg , toast ) include . room smallish , fine . one computer sit room internet access / EMails . never stay 5 minute : internet access problem . imo , reason stay wanted walk night - time entertainment ( e.g. , theater ) . be happy flag cab dark , sumner place London . 
 Jun 17 2008 	 Perfect ! ! ! 	 everything need : perfect room , friendly staff , bathroab sleeper room , nice linen comfortable bed . yes , be quiet place . would certainly stay . 
