luxury 	 travel NYC 3 girlfriend shopping trip not look luxury hotel , somewhere clean comfortable stay . share one room keep cost . worry hotel 2 * , one good review , take chance disappointed . room spacious 2 single one double bed - worry 4 girl one room would mean tripping , issue . bed comfortable clean . bathroom fine towel change everyday . common part hotel pretty plush say want somewhere sleep . excellent location , 2 block Macys Empire state building within walk distance shop 5th avenue . the one bad thing say radiator room load first night , clunky lot run water noise keep awake . morning look turn fine room cold either , small issue . also overhear another guset complain reception - say radistor issue . I not give many hotel 5 * , look trip tick box , can not fault . 
 Fab Holiday 	 go new york boyfriend first time . spend age look hotel central new york find hotel grand union fab place . really ideal location 2 block empire state building time square . room really clean simple double bed tv ensuite basically somewhere sleep new york . look breakfast start busy day go captain cafe part hotel service really good get food really fast . grand union fab place stay 
 Jul 8 2008 	 get pay . . . 	 Grand Union budget hotel well situate , expect compromise . plus side staff friendly efficient check hotel room always clean fresh towell every day . downside hallway room smell badly smoke point make clothe smell . room good size money , however window look onto 3 wall quite low 4th floor room natural sunlight impossible tell weather like room . unfortunately staff unable move we different room comment experience room . appreciate budget hotel , however stayed similarly price ( cheap ) hotel New York beat one ! 
 Jul 5 2008 	 Hidden Gem New York 	 search reasonably price central hotel New York , decide take chance Grand Union . say hotel undersell understatement . be go New York want standard hotel , well price private bathroom place go . suggest friendly owner change picture website make appeal tol full nearly every night ! ! room clean , well serviced staff could helpful . literally 3 minute walk Empire State Building 30 second near subway . ideal location , good price ideal young traveller old alike ! thank Grand Union 
 Jun 24 2008 	 Gem hotel 	 wqs hard find well place reasonably price hotel New York . hotel Madisson Avenue Park Avenue 2 block empire State Building . room large perfectly adequate , comfortable fridge useful daughter food allergy able buy food store safely . room keep clean staff polite , helpful welcoming . book arrive mum broke shoulder arrive kindly find we suitable room . meet owner lift chat realise owner end conversation . tell we continue refurbishment effect stay way . would ask rear room find peaceful would believe near busy road . 
 Jun 21 2008 	 Fine ny 	 give NY expensive city come accomodation , hotel good choice . yes , be small room bathroom need renovation , h / w , be excellently locate 's dirty . level 9 could hear lot street noise , be NY lond day sightseeing , will sleep . would recommend friend . 
 Jun 15 2008 	 enjoyable stay . 	 get clean hotel room nice , bright bathroom friendly staff good location reasonable price.why like it:1 . location : right korea town walking distance macy's / penn station empire state building , block away 33rd subway ( 6 train ) - pretty much easily connect location manhattan ! 2 . clean hotel room : bathroom bright clean , provide fresh towel every day . bed clean comfortable.3 . staff : friendly helpful ! 4 . flight NYC not till night day check , large , brightly light store room keep luggage ready leave . small point , important one ! bad ... 1 . view . get see build next door , really , hotel time sleep , plenty time soak new york sight day time ! 2 . one , slow moving , lift / elevator . really adequate build 10 floor . sort out.3 . keep try push car airport service frankly quite expensive , $ 55 + $ 5 toll JFK $ 60 + $ 8 toll newark . hmm . much prying tell we charter bus service $ 20 per person , take & quot ; deposit & quot ; took & quot ; commission . & quot ; hmm.but really , would definitely stay would recommend wholeheartedly anyone look reasonably price , clean comfortable hotel good location . 
 Jun 2 2008 	 good money great location 	 Mrs Phatbeat return 4 night stay hotel grand union . 1st pro : Great Location , couple block macy esb subway blockcheap chip accomodation Good diner attach hotel , captain cafe get two great plate pancake bacon coffee less $ 20.clean room . the ConsThe world noisiest fridge room , sound like jet taking , however also pro nice fridge . no view quite room , room look enclose courtyard type area mean little natural light , however upside room was'nt noisy , apart fridge . no tea coffee make facility room . one small lift serve whole hotel , wait can not run stair , however smallish hotel lift be not constant use . the frontdesk chap try hard sell car service aiport , whilst inflate price cab charge , oddly enough go cab $ 20 dollar less service Newark . the niggle small one money location can not really ask much , ooh yes would stay , hopefully next time view slightly less noisy fridge.the bear 
 May 27 2008 	 Cheap Cheerful 	 spend 3 night Grand Union price , can not really fault . 33rd Street Subway station 2 minute walk location great base explore city . room clean tidy . however , decor date ( pattern carpet , flowery bedspread ) enough space bathroom clean - little small . must remember price great location planning explore city can not really go wrong place . 
 May 23 2008 	 Best Bargain Best Location 	 look great hotel $ 200 private bathroom good location ? sadly , 1 , Hotel Grand Union right . 's budget hotel , clean , friendly , perfectly situatate heart midtown . Pros - Bathroom roomy , newly remodel , clean . issue toilet fix immediately . staff friendly , lobby nice , offer computer lobby internet nominal fee . although on - site restaurant , ' 5 foot Captain 's Cafe 20 foot Sosi cafe / deli ( awesome breakfast lunch ) .Cons - Bed full - size ( queen ) , hard rock . window a / c unit not good cooling , fine outdoor temperature nice . concierge , negative we . if want 5 * luxury hotel , willing fork $ 450 / night . want nice , clean hotel meet need housing , pick Hotel Grand Union . would definitely stay . 
 May 13 2008 	 Budget Hotel @ 's Best 	 stay hotel 5 night ! ! ! know budget hotel not expect anything 5 star . however hotel actually pretty awesome ! really clean staff friendly ! ! book twin room decent size nice bathroom brilliant shower . room clean everything need hotel room . oh Kettle room though bible , ' m bother bible , ha ha ! hotel block half away Empire State building 2 minute walk 5th avenue grand central ! 's locate Mid - Town everything actually walk distance ! ! oh check Captains Cafe ' . 's diner locate right next door , good awesome price ! ! ! 
 may 12 2008 	 Good Basic Hotel 	 read many many review hotel , decide would fit need ... ! within budget ( $ 200 ) midtown good base everything want see city . the easy way sum : pros : right street # 6 line subway ( go Grand Central , allow connect various line ) Cafe next door allow easy start breakfastroom get dark back , face brick wall whole lot sunlight come ( pro con ) , great sleeping noise ! shower good water pressure , hairdryer alsomini fridge room great store water / sodaA couple block cvs Walgreens good get snack / drink roomcon : poor lighting , much like office , almost always use lampsno view , face back brick wall ... one go nyc look window ! one elevator , make slowlarge pipe bathroom , although cover , still find bit oddso yeah , , good basic hotel . ' m sure would stay , pay good first time . area surround alright , street & quot ; Korean Way & quot ; fill korean shop , restaurant ... Pinkberry ! great frozen yogurt cereal topping ! want NYC cheap , stay dump good place start . 
 Apr 29 2008 	 Great Bargain central location 	 spend long weekend triple room boyfriend , sister mutual friend . find affordable triple NYC mean feat . glad land place . the front desk staff fabulously friendly , even help we play practical joke one another . the decor gloriously cheesy top & quot ; Big Lots & quot ; special sort way , well - maintain room clean HUGE NYC budget hotel standard . the bathroom gigantic ( could slept 3 people ) , clean , little short towel towel hook , place look like bit laundry four we do showering . however , water pressure great , room / towel clean fresh . no view , fire escape air conditioner , large safe small fridge concern . huge television , amusing entertainment come couple stay next door . although constant hum air system cover sound traffic , wall rather thin , headboard line connect wall . must honeymoon next door . amazing ... 
 Apr 27 2008 	 basic- great find ! 	 stay 2 week March 08 feel report fairly accurately fact ! brilliant location near Metro line 6 , right around corner Empire State Macy 's opposite nice bar . room small ( small average Manhattan hotel ) decor date , spotlessly clean every day white fresh towel supply . shower hot , pressure high , 900 channel tv small fridge room great store beer snack local deli . turkish staff refreshingly unobtrusive helpful need , book taxi trouble . Captain 's Cafe next door good breakfast , fave Pershing Square . conclude , person high standard like lot site facility , plush , spacious surrounding attentive staff strong service ethic , absolutely place . want basic room great price amazing location , go ahead book save money shopping ! high five ! 
 Apr 17 2008 	 fantastic value money 	 great location , clean room , lovely staff , fantastic food friendly owner worker Captains cafe next door return . 
 Apr 15 2008 	 say tin 	 7 night Quad room Easter holiday 2 boy , 14 12 . helpful unobtrusive staff . clean quiet comfortable room . plenty hot water . clean towel every day . excellent house keeping . sometime embarrassed state leave always come back tidy room . tv bit tired grainy nothing watch anyway . great value $ 1900 . . would gladly stay . 
 Apr 11 2008 	 great location noisy 	 location hotel fab . couple block Empire State Building , really handy subway head downtown . the room small ( bath ) , perfectly clean . room exceptionally noisy ( really could double / triple glazing ) . need aware static . Everytime get bed , wipe hand - not touch light switch ! staff not helpful , friendly enough . for amount time spend room , certainly acceptable . 
 Mar 18 2008 	 would definitely stay 	 great hotel price - centrally locate , clean comfortable , quiet enough - 7th floor - convenient everything . also , be right across street fabulous new resaurant call Artisanal . tell , great deal . 
 Mar 10 2008 	 Loved Grand Union 	 stay Hotel Grand Union 4 day March . hotel clean , nice size room clean everyday clean towel & amp ; hotel excellent location . walk everywhere ! ! Captain Cafe downstairs good breakfast , cheap , staff friendly & amp ; good pancake . 
 Mar 2 2008 	 well expect 	 arrie hotel , expect much . room small , price get room bathroom anywhere New York ! ! ! ! bed comfortable , heating system work perfectly . five block Penn Station Macy 's two Empire State . 
 Mar 1 2008 	 great experience 	 scared hotel Manhattan , price much low other hotel look , get greatly surprised . room clean , warm ( really important ny ) , well equip , clean service great , people reception really helpful . read rewiews water say doesn´t work well , that´s crap , work perfectly . thing didn´t like thursday morning like 6:30 really noisy worker start yell couldn´t sleep , go reception , offer new room , decide stay room wait see happen next morning , never problem . decide come hotel everytime go Manhattan , it´s economic , it´s clean , great service , important thing : it´s middle everything two step away 5th Ave Empire State Building 
 Feb 25 2008 	 great value great location 	 NYC great also expensive . moment start look hotel Manhattan shock : expensive bad review ! Hotel Grand Union still quite expensive standard , everything want : cleanthe badroom goodgreat locationonly minute walk subway - stationgreat deli across street ( Silo recall well ) 
 Feb 15 2008 	 love location ! 	 husband travel New York Sat 09.02.08 three night stay Grand Union . hotel clean good value money fantastic location - around corner Empire State Building , be lucky , be able see bedroom window ( fourth floor able see ! ) even though pay room basis , ' captain cafe ' next door serve great breakfast . the hotel situate fantastic location midtown Manhatten many attraction within walking distance . however , please bear mind take traveller cheque , hotel not facility change many shop either unless purchase half cheque value . something keep mind even though many international bank Manhatten , bureau de change facility ! , please hotel fantastic location ! 
 Feb 12 2008 	 great stay - resonable fee 	 stay Grand Union son April 2007 . consider location think overall experience absolutely great . room small , tidy , bathroom work fine . view not good , hear room actually view look - rather - empire State Building . the staff nice service minded , area great - couple block Empire State Building , MSG Macy 's . would recommend hotel anyone tight budget - also like spend vacation money something accomodation ! 
 Jan 19 2008 	 good hotel price 	 return 4 night stay Grand Union find small , clean incredibly well position hotel midtown Manhattan . staff ok small cafe next door great breakfast . side encounter noise building work next door , start 0700 drill etc . would recommend ask room rear hotel forefit view empire state building window . overall though would recommend hotel short break new York . 
 Jan 19 2008 	 Perfect 	 stay hotel 5 night . staff friendly helpful . room small , nice clean . room fridge , t.v hairdryer . room clean everyday . hotel great location one block empire state building . would certainly stay . 
 Jan 9 2008 	 bad Hotel Experience ever 	 brother law make reservation we Expedia , proceeding call hotel make sure book double room private bathroom request two single bed would get . tell would issue go ahead book one night Expedia . check get one room double bed ; told request two single bed , say room available could upgrade we quadruple ( one room bathroom connect room double bed bathroom ) demand 50 % . say request bind anything . furthermore , administrator say know treat Expedia booking , mean not give damn client offer . since already pay stay close Xmas option end pay would pay well hotel . hotel staff brutal we . lie , treat we badly voice discontent rip threaten call police keep complain . every time tell reception clerk thing say turn word around accuse liar demand free room . travel fair bit never see something like . outrageous . experience make trip New York unpleasant not want go back New York ever . bad hotel ever . 
 Jan 1 2008 	 great hotel great location 	 hear many horror story regard hotel . arrive checkin staff friendly helpful room fine . already stay two hotel previously hotel bet . location excellant minute empire state building , macy 's 1 block away 5th avenue . feel safe area stay . would definetly recommend go Speedys deli minute walk . food excellant . eat every morning . would also recommend use shuttle bus airport certainly halve expense use taxi . definetly book hotel . hoping go back year . 2 traveller ayrshire Scotland , United Kingdom 
 Dec 29 2007 	 Clay family UK 	 stay hotel two daughter . room clean , bathroom keep clean always fresh towel everyday . would certainly recommend hotel other . the location hotel absolutely perfect sightseeing , shop etc . , subway outside hotel . all , price pay think well worth it . the coffee shop situate hotel vicinity offer wide variety food service superb . 
 Dec 28 2007 	 good value 	 hotel expect perfect young couple traveller centre New York cheap . New York March Virgin pay double place f standard place good deal . room basic do not go New York sit room . staff fine helpful . toilet flood one evening staff come sort quickly . would stay price still right ! ! 
 Dec 26 2007 	 perfect ! 	 spend week search hotel NYC inexpensive , accessable , acceptable living standard . did't think would lucky , especially since research delay booking two week start make phone call everything book ! mad wait . anyway , finally find Hotel Grand Union give call . exactly need , basic room private bathroom ( note 1st time New Yorkers : private bathroom always include , sure request booking ) , simple sleeping arangement sister . rate 2star think , willing spend extra money upgrade 1star . read review worried rat / mouse / smell / etc . , 1star hotel . arrive PERFECT location , 32 park , happen one block subway stop take JFK , block away Empire State Bldg , Macys . one subway stop great access take we way Central Park way groud zero . place not smell , employee friendly , get check three hour early . room small , not matter we . one twin bed one double bed . room not smell , clean sheet , free rodent insect , surprisingly clean , nice , bright , small bathroom ( see pic ) . perfect we . room sleep change cloth , need . let we keep luggage 6 hour checkout could spend time NYC . maybe people know , never use service . free locked bag room video camera . People access room , also bag . two bag go . think $ 235 tax per night , great location , clean nice . probably book stay NYC . give 5stars . 
 Dec 25 2007 	 small clean perfect budget 	 small hotel locate 32nd Street one block away Empire State Building . straight walk Penn Station ( 10mins ) fly Newark get NJ Transit . hotel clean room fairly big ( New York standard ) , staff reception pleasant problem check ask anything . subway Lexington Avenue ( 20 yard right ) train 4 , 5 6 run . green line run towards Staten Island Ferry Bloomingdales . price pay hotel extremely reasonable , especially get . cost approximately £ 80 per night per room . really cheap New York especially inside bathroom , one nicest see . marble clean . Shower work great towel thick big change daily . small diner attach hotel serve great breakfast . run guy call Tony look quite dour fact nice guy , quite funny . fourth time New York would say nice hotel stay . point bit away & quot ; action & quot ; . hotel stay Times Square area . however , not let put . budget hotel look one clean good place start look . a couple point interest . New York definitely go bus tour city . get see information get invaluable . also quite history lesson . like jazz go Dizzy 's Coca Cola club locate Lincoln Centre reserve table go . ( interrnet direct ) . quality jazz good view excellent . get food cocktail - excellent . cover charge $ 30 definitely well worth . 
 Dec 13 2007 	 Liked alot 	 recently stay 4 night . really great location average standard accomadation , especially price ! would stay problem recommend friend without hesitation ! 
 Dec 5 2007 	 well expect 	 pleasantly surprised grand union hotel . read review bit apprehensive staff helpful , room good size bathroom clean however small ( shower bath ) . even view empire state building room . great location . 
 Dec 4 2007 	 Grand UnionHotel NY great value money 	 book week 20th November 2007 read review Trip Advisor . excellent budget hotel central location . clean room , comfortable bed , good bathroom & amp ; shower facilite . Room clean every day & amp ; towel change . Fridge & amp ; tv room , safety deposit box reception . no extra facility hotel , not look spend time , want base sightseeing . small diner attach hotel , lot good place eat & amp ; drink nearby . subway end block , multi trip pass either daily weekly good way get around . also buy ticket bus sightseeing trip - hop hop & amp ; last 48 hour . hotel highly recommend & amp ; would definitely stay . 
 Dec 3 2007 	 grand union grand ! 	 small , clean central . base east 32nd street park ave . 100 room . stay double room 5 night tanksgiving find well locate well look . bar restaraunt , well maintain ... unlike expensive neighbour . would go ! 
 Dec 2 2007 	 simple nice clean Hotel ! ! great price ! ! ! 	 it´s simple hotel , nice . entrance hall nice beautiful . room bed quite small cozy . bathroom clean . unfortunatly , construction right front window wich make room kind noisy morning , 's New York ... localization good , block Empire State Building Manhatan Mall . metro station right corner . we enjoy stay come back future . 
 Nov 18 2007 	 couple block empire state building 	 * * proximity * * close thing Hotel Empire State Building fifth avenue , 34th street shopping area Grand Central Station 42nd street . near subway station 32nd street Grand central station ten block away . Penn Station two three block west hotel . * * room size , bed , condition * * room sizeable , especially ' read review tiny room NYC . * * first impression ... * * ... good : queen bed wooden head - board . chair table , chest drawer armoire house 28 " television . dark wood . décor old fashion . one good thing hotel price fact private bathroom . old bathroom marble one ! marble floor , marble room . white immaculate towel soap . the even well feature fridge – yes fridge 2 * hotel ! small table - top jobbie make budget trip even frugal . the room also come air - condition regulation range quite small- basically get ' cool ' ' little bit cool ' . ' warm ' ' bit warm ' . 28 " television come 30 channels.the first night ' sleep traffic outside room .. however , next morning reception staff gladly let change room ; fact give three key room away street let take pick . there internet access small lounge next lobby , restaurant coffee shop link hotel – never go ' comment . however , midtown Manhattan never short place eat . small supermarket 34th street stock fridge . all , impressed hotel facility . first time city location spot . would recommend anyone else though someone small child lack room service room space . 
 Nov 17 2007 	 typical NYC small dark hotel room 	 NYC hotel seem , small dark room , tea & amp ; coffee facility bizarrely large fridge ! great location though ! 
 Nov 13 2007 	 OK Union Hotel 	 hotel basic tourist class hotel get pay . doorperson , bell person , concierge assist . the location fairly good . 15 minute walk Penn Station 7th Avenue & amp ; West 32nd St ) # 6 subway right corner Park Avenue . please remember hotel south Grand Central Terminal ( 42nd Street & amp ; Park Avenue ) 10 block away . across street amazing restaurant , artisianal good food restaurant extremely popular City . one block Park Avenue ( 39th Street ) Wolfgang 's , great steak restaurant . restaurant inexpensive , however . if business traveler like , disappointed . desk small , light electrical source plug computer . wifi hardwire internet connection available room ; , purchase wifi $ 5 pass use three hour time first activate , sit small hotel lobby . , also , option use one pc 's lobby . exactly conducive conducting business . get room take many attempt use electronic door key card would allow guest room door open . tv remote control never work three night stay even ask new battery instal . I see couple life / safety issue - guest room sprinkler head could see . safety chain room door secondary line defense intruder . two basic standard concern . corridor sprinkler fire detection system place . this obviously old hotel cosmetic touch time hotel nyc get away highway robbery . familiar Motel 6 , slight step basic hotel . least hotel provide shampoo . strong point hotel room good housekeeping . my room suspend acoustical tiled ceiling overhead commercial fluorescent light ; , room two table lamp esthetic lighting . thermostat control temperature within room steam heat ; room become warm meant run window air conditioner . there one chair room ( small desk ) place sit bed . quality mattress fairly poor quality appear commercial hotel variety . mattress replace . there vend machine hotel coffee maker room . small little breakfast cafe accessible lobby ' , open day . while hotel rate NYC continue drive high volume international tourist bear Euros Sterling . demand fall NYC , hotel rate fall hotel run $ 99- $ 125 hotel rate return normal , really hotel charging . 
 Nov 2 2007 	 Clean well - price well - locate Establishment 	 travel group thirty student , hotel choose behalf base previous positive experience stay . accommodation three ; two single double ( family room ) . read review warn we bed bug stain go somewhat apprehensively , need do so . each room boast air conditioning seem little noisy fan window ! fridge provide safe , dare venture former however appreciate feature ability remove coat hanger – many hotel resort fiddly secure coat hanger . bathroom pretty much standard un - secure hair dryer , another useful addition tend either phase place short secure lead . still unsure internet situation however believe : free wireless broadband throughout hotel pay broadband downstairs lobby . travel around city , 33rd Street Subway 34th Street Herald Square one four block away respectively , latter useful . there eight floor ( US style ! ) extremely narrow rather steep staircase , ' carry luggage even second floor ( US style ! ) use lift . ' stay view , adjoining building ' fire escape building work occur next door , start 6AM – despite joy feel builder world start early , seem little early . otherwise , extremely quiet sound room come through . staff could certainly helpful , indeed one key card stop work ( complaint Trip Advisor member mention ) person reception rude one school staff enquire obtain replacement . agree reviewer , hotel seem stuck somewhere past decor front care cleanliness , place clean . essentially clean ideally locate hotel ( central Manhattan $ 200 per night pretty good ) . ideal evening within easy reach could instance consist eat excellent french restaurant opposite go ice - skate Rockefeller Plaza get rickshaw Empire State Building ( go ) via Times Square ; simple yet memorable . 
 Oct 31 2007 	 Nice Clean Hotel 	 stay Grand Union 3 night American / Honeymoon tour , nice clean , well position hotel . friendly staff quite well price location . room clean change every day . tvand fridge room , nice clean bathroom , else could need . pleasent stay Thank 
 Oct 27 2007 	 good hotel - excellent position - great price 	 girlfriend stay 18th - 23rd October 2007 . general , like hotel would recommend other . be quite basic $ 190 per night Manhattan 32nd Street , excellent value . stay five night initially give room second floor . however , scaffold outside one tiny window never get light room . , ask move get give room 805 , much well great view Empire State Building . agree review - room look bit tired , shower temperature bit erratic everything work . major bonus hotel position . subway 20 yard front door another three block away take wherever need . walk Empire State , Times Square , Macys etc minute . find staff fine - particularly friendly rude either . overall , plan spend time want hotel reliable base somewhere sleep , perfect . accept fine life , need treble budget hotel able cater . 
 Oct 24 2007 	 Hotel Grand Union experience 	 stay two night , September 18 - 20 , 2007.upon arrival , front desk staff immediately find reservation ; however , insist room type book ( two double bed ) available . option go room three bed ( two twin one double ) , high rate . ask could look room first , tell would pre - pay one night first . hearing , figure place total scam . ( respectable hotel least let look room . ) first impression room tiredness . carpet furniture stain , bed wear sheet threadbare . hotel 's credit , room quiet , bathroom clean bed bug . shower temperature problem ; however , unusable . toilet 's water pressure unacceptable , though . single elevator work fine never elevator / hallway congestion problem . cafe adjacent lobby serve excellent , inexpensive breakfast always busy . great little pizzeria within walking distance ( maybe two block ) , Madison Ave . call Bella Napoli . on last night ask front desk could reserve shuttle van LaGuardia Airport next morning . tell need pay five - dollar deposit reserve shuttle . place try make extra dollar way . end call reserve one . true , staff brusque , find good way get want abrupt back . if expect Holiday Inn - level service , cleanliness , repair , quality , etc . 's . be habitable ; however would not stay recommend . would rate 1.5 star – generous give two star . here be recap : pro : - Cafe next door serve great , inexpensive breakfasts- Location ; be close everything - within walk distance landmark / attractions- Quiet- clean bathroom . con : - old , worn room , bed need replace sheet discard several year ago.- Hotel try make extra money way possible , include charge book shuttle airport , claim room type reserve available expensive one is- Toilet water pressure abysmal- Brusque , inattentive , unpleasant staff ( well deal equally abrupt ) 
 Oct 18 2007 	 great little hotel 	 stay three night September find real bargain would definitely stay . room small side plenty big enough two we . whole hotel clean staff friendly helpful . bathroom marble areal window open . very convenient location handy small cafe right next door . 
 Oct 15 2007 	 mixed Bag ! 	 stay Grand Union Hotel 2 night Oct 11 & amp ; 12 165.00 night book Travelocity . PROS : good location , step # 6 Subway line get Manhattan matter minute . also 25.00 LGA Airport Taxi . right Park Avenue South walk Grand Central Station pretty quickly well . bakery next hotel nice get quick snack , reasonable price . the price hotel 2 minute midtown ( subway ) Manhattan excellent . housekeep good job cleaning room , tired room seem clean well . NEUTRAL feeling : room definitely remind old office . bed well use show difficult use . knob loose hard get constant water temperature . price , think room fine , certainly quirk one must expect . employee hotel certainly could use little customer service training . several nice one , many time ( especially late night ) meet blank stare moment come door elevator arrive . huge deal , simple hello would nice . I not really con hotel , although depend one looking & quot ; neutral & quot ; feeling could negative one . this great young traveler , people really need stay sub 200.00 night . be look , will pay hotel serve need well . rest NYC area safe well light . 
 Oct 12 2007 	 Mind bed bug 	 stay end September , hotel good location seemingly clean although get lot bed bug bite ! 
 oct 9 2007 	 Nice hotel great location friendly staff 	 last two trip New York , stay hotel . spend 3 night quad room . pay 281 . include taxis per night quad room 's reasonable ny . quiet room back hotel . room clean . room look like picture website , suprise . can not beat price location staff friendly . arrive early able store luggage check . Front desk friendly give advice sightseeing . need extra towel , call front desk within 5 minute maid door extra towel . Room clean every day . nice little restaurant next door call Captain 's Quarters . good , reasonably price food friendly staff . give we suggestion sightseeing . ' m always amazed friendly New Yorkers tourist . get lose looking map , someone always approach we ask need help . hotel 5 minute walk Empire State Building , Macy 's 10 min . Times Square . pleasant experience hotel would recommend . 
 Oct 8 2007 	 Nice hotel great location 	 lovely 2 - night stay Hotel Grand Union . we arrive Thursday Sept 20th morning . although expect room ready , think would chance . girl front desk take time check room ready confirm not ready yet , suggest return around noon offer store luggage lock luggage room . return lunch , recognize we right away speed we registration . the room small , clean quiet . view ( back alley ) ok since sleep . bathroom clean water pressure temperature fine . small fridge room use keep sodas water cool . bed comfortable hard . tv usual station . there 3 computer lobby lounge use . 's first visit , get 5 minute free ( ask clerk front desk ) .great location , half block away 33rd St Subway Station ( # 6 ) . 2 block away Empire State building 5 minute Madison Square Gardens . nice little diner next door - cheap breakfast . when check , let we store luggage luggage room day ( bus leave midnight ) . return collect luggage , staff cordial we let we rest lounge area ready leave . we would stay heart beat . great value NYC . 
 Oct 7 2007 	 Loved Hotel Grand Union 	 stay hotel five night 6th 11th September . read good review hotel price reasonable - pay 1,050 euro 5 night four people .We stay quad room , plenty space we , decent sized bathroom big fridge corner room . restaurant hotel Cafe right beside serve great food reasonable price . location hotel ideal - two block Empire State Building walk Times Square 15 minute . the hotel great would recommend anyone go New York want great hotel reasonable price . staff helpful hotel extremely clean . definitely stay ! ! ! ! ! ! 
 Oct 4 2007 	 Great Location Average Hotel 	 stay Hotel Grand Union recently trip NYC . spend previous week Orlando super hotel , get shock open room hotel . advantage stay hotel location clean hotel . main disappointment decor old , room wear staff reception barely lukewarm . do not know many time pass front desk simply stare ignore instead greet simple hello . ask leave bag hotel hour check go airport man desk growl us luggage room . keycard get room stop work twice guy reception really do not appreciate ask another one ! stay would . ; expect average customer service front desk staff . hotel ten minute walk Macys , Madison Square Gardens etc . 
 Oct 2 2007 	 good enough 	 Grand Union hotel good enough hotel New York , be tourist spend time room . price good location - 32nd Madison . space ( elevator , hall , room , shower stall ) small serve function well . bed fine 's view , also noise ( plus NYC ) . room actually look like may office one point , acoustical tile fluorescent light ceiling office grade carpet floor . 's luxury place would stay want Midtown Manhattan . good value location . 
 Sep 26 2007 	 Location Location Location 	 reasonably good experience hotel . hotel well position close subway station within walk distance many sight . room always clean little dingy side ( small bed ) . cafe next door serve lovely cook breakfast . be look good location budget Grand Union reasonable option . 
 Sep 8 2007 	 much 	 elevator litlle scary , aisle pretty narrow ( one person time ) , room 3 bed pretty clean . noisy air conditioner , view , heater , bed noisy uncomfortable . guess get pay . great location . 
 Sep 4 2007 	 good locationunkind staff 	 stay Grand Union hotel 7 night 1 double room . when arrive hotel long flight Europe find unkind indifferent staff front desk ( & quot ; hello guest & quot ; courteous word welcome ) .By check - in ask room view , say completly full available room 10th floor without know view . room - reservation directly hotel reservation department ( staff reservation department kind , get immediately comfirmation e - mail ) , front desk request immediately payment payment probably communication reception desk guest . if need useful information direction , get somewhere , subway sightseeing , expect help suggestion front desk staff . try get information interested help find stand brochure show , sightseeing ecc . everything .. people work front desk foreigner , know much city . overall poor service unkind face . our room 10th floor look depressive , dark small , dirty carpet , small double bed , small window view all - the view wall next build hard construction work every morning start 6 a.m. listen drill noise worker . the bathroom ok clean , air - condition work well although noisy . we use hotel overnight say overall , hotel ok night stay , , safe good location , staff could polite feel welcome . Ma tip traveller , , travel New York first part August , , crowded , million tourist vacation time , long line everywhere , uncomfortable & amp ; humid air , need lot energy patience ... traffic crowd enormous ... much well come fall New York look romantic , cool less crowded . 
 Sep 3 2007 	 nice basic clean friendly hotel Kalazan Chana Antwerp Belgium 	 stay child wunderful time . staff friendly helpful . basic clean hotel central locate ; small shower sometimes without warm water ! room little dark come New York stay room . child not complain even television work ok . comfortable bed .would stay ! 
 Aug 27 2007 	 great stay grand union 	 boyfriend plan multi trip nyc , niagara fall d.c . budget ! location great ! walk distance subway , train station , empire state bulding , shop restaurant ! stay Grand Uinon Hotel great . clean convenient ... everything look ! arrive 6 hour check time hold luggage wish give we opportunity eat breakfast . reception allow we check couple hour . room refrigerator , ac , bath tv ...... HIGHLY RECOMMEND BUDGET look something nice ! .... FYI ..... nyc try red double decker bus ( hop on - hop ) , see broadway show , rent car drive niagara fall .... beautiful scenery ! .... enjoy stay nyc , ! ! 
 Aug 26 2007 	 not stay 	 arrive early morning Las Vegas ( tired loose night sleep ) request early check . get room 12.30 pm ! ! ! go straight bed catch hour sleep bed 20 min one staff walk room without knock ! room outdate ( kind ) air conditioning unit noisy . room small , carpet dirty wardrobe coffee make facility . bathroom leave lot desire . Monday morning 7 am wake drill , hamer general buliding machinery go full swing building site next door . ask move tell work next door stop 4 pm . want sleep NY 4 pm ? ? ? 2 room show quite noisy tye noise would still wake . check go another hotel . not stay ! ! ! 
