nice 	 stay hotel weekend one night dockland like ghost town weekend , unless event going excel . use hotel go see Disney Ice O2 . careful check tube DLR weekend though , bit way . get DLR Tower Hill , straight Royal Victoria . nice hotel , modern new feeling . swimming pool nice relaxing feeling . not eat hotel , go italian restaurant near excel , five minute around corner . also shop along road sell water , drink snack etc . staff seem nice friendly reception . room large one large king size bed large sofa bed 3 year old . look like room refurbish recently . nice stay , must admit not pay much room , really could not complain , £ 60 night ! 
 * * * * Star Hotel * * * * price * service . 	 stay Crowne Plaza Xmas party . parking nightmare . pointed direction hotel car park 40 parking space resident hotel far big . run reception get code order get barrier lift car park behind we . great start night . end go EXCEL car park bill £ 18 night . Food Service party excellent . however want rest will not get . room overlook car park door lead next room could hear everything . couple next door keep we awake two hour , end resort phoning front desk . something ' ve never do . to credit management , matter deal immediately . Breakfast rush . get plenty time go close , cereal gone not replenish . show table , . ask waitress tea , could not find toaster , toast . standard request every hotel ' ve ever . everyone hunt around milk , sugar , butter . totally disorganised . one guest boiling tea knock clash rather rush waiter . return breakfast see check queue stretch lift . resorted organising check 1 pm miss rush . Xmas hold next year , will take taxi home . really worth aggro . could much well staff key place reception restaurant . 
 Aug 1 2008 	 Great Excel 	 stay Crowne Plaza one night , go Motor Show see squeeze playing evening . arrive check time park car park , check reception would ok . car park charge per 24 hour , upon checkout , seem charge £ 2 less advertised £ 14.50 , good ! Motor Show , check hotel . allocate & quot ; disabled - friendly & quot ; room ( request one ) 5th floor , quite near lift . room booked & quot ; executive & quot ; level spacious , well - equip comfortable . also find clean good view river . the disappointment stay general , could eat caribbean restaurant opposite , full ( nothing hotel ! ) . however , 10.30 , venture across road , back hotel ask food still serve . advise bar next door ( part hotel ) would serve bar food 11 pm . enjoy meal cocktail free beer , serve compliment sign Priority Club Rewards scheme book hotel - bonus ! ! , great time - squeeze fantastic ! ! ! ! ! ! 
 Jun 24 2008 	 convenient O2 bite far anything else ! 	 quite far central london , 5 min tube o2 arena . dlr station next hotel . actually o2 Arena view room . would reccommend travel see concert leave early next day . practical planning shop sight see . especially last day , end carry bag around day . be seem like much hassle leave hotel travel back city collect . City Airport 5 min away hotel , good choice flight lot expensive use one main airport . hotel clean , modern well present , lack little atmosphere . hope sight see , word warning concern red tourbus ticket . charge double price one & quot ; official rep & quot ; bus stand outside Tower London ! reasonable explanation refund give & quot ; shopped & quot ; rival . 
 Jun 24 2008 	 Great Service 	 pleasantly surprise Crowne Plaza find service excellent . read rest trip Advisor review prior book one guest mention view car park one side view waterside . check ask side have allot , hear car park side ask possible room look waterside guy reception really helpful sort everything fantastic room , ( well original room think ) overlook water .... wonderful . restaurant staff helpful , careful drink expensive add quite costly evening . great experience Crowne Plaza . 
 Jun 23 2008 	 LOVED CROWNE PLAZA 	 treat partner 30th birthday , stay hotel one night , good night ever . location perfect , carribbean restaurant across road hotel , serve excellent food . make full use swimming pool , spa steam room . breakfast next morning impressive , buffet style , variety usual english breakfast , also cereal fruit want go healthy option . impressed room bar downstairs . drink bar abit pricey expect London . staff abit confusing begin , ok friendly . all would definitely come back hotel future , perhaps get massage do . would recommend hotel people want get away night two , be far get either . disappointing thing find car parking , pay , £ 14.50 24hrs , consider pay reasonable amount room not think Crowne Plaza charge fee car parking , can not expect much London really . 
 May 24 2008 	 good money 	 stay hotel one night junior suite , check bit slow room clean well appoint , nice touch like free water internet access , suite seem good view dock o2 arena ! bar nice usual overpricing London hotel bar , breakfast good , big selection hot cold food although include room rate would cost £ 17 per person witch opinion fry worth . pool gym lovely well maintain ! would not recommend hotel want central London stay perfect want escape hustle buseel London visit excel o2 arena 's . 
 May 6 2008 	 pleasant stay 	 stay close Excel exhibition centre , minute away . hotel close DLR unfortunately we run ! location convenient centre London not mind . service friendly food quality good . leisure facility ok little cramp next pool . our room junior suite spacious & amp ; small balcony view dockland , surprisingly quiet . 
 Apr 22 2008 	 fabulous : ) 	 great hotel facility hotel need . great food wonderful wellness area chill day town . by underground close city Canary WHarf ( great shopping ) bed comfortable room clean spacious . 
 Apr 7 2008 	 service questionable 	 family stay Crowne Plaza Docklands Excel April 2008 . hotel convenient London sightseeing . hotel state 4 mile outside Central London . may , however , add additional 45 minute travel time way London . Bar Restaraunt service low rate . server make routine rounds check diner . 17.5 % gratuity already add make point withholding tip gratuity . room service deliver charge one room order . speak manager X3 remove . remain bill . parking lot behind hotel . would recommend leave vehicle . three car burglary stay . window smash . hotel management respond call say glass noticable pavement room window . car alarm go least 5 minute . Maids routinely forget leave towel room . call every day towel even though put old towel tub . coffee/ hot chocolate stock use . call resupply . mini bar refrigerator work . dissapointe Crown Plaza service . woul stay recommend one ask . 
 Apr 7 2008 	 good ' eventually ' 	 stay C.P Docklands four day end March 2008.When arrive , tell price book long valid would pay . lengthy coversation end tell greeter Ashly , go ring head office , allow book agree price . follow 10hr trip , previous 30minute conversation , tell room would available untill 15.30.when eventually show room good hotel stay Europe , anything special . apart outside noise , mainly plane ok . the view spectacular . 
 Mar 28 2008 	 good hotel quality depend type room 	 General : hotel near London City Airport remind morning 6.30am . quite lot building work also take place close . close Canary Wharf free shuttle morning good business traveller get nice breakfast . within easy reach city centre DLR jusr around corner . room : Vary greatly . colleague stay nice room sixth floor view basin . mine view multi - storey carpark . safe provide superior room make sure clarify need one , nowadays always think . room seem well clean bed comfortable . heating work well shower powerful . internet still charge for . staff : helpful efficient , problem check out . food : eat menu expensive . small shop waterfront basic tea coffee facility available room . chinese restaurant road . cheap breakfast go IBIS road 5.95 buffet . facility : pool fine small , relax swim . bar functional bit sterile . 
 Mar 27 2008 	 brillant hotel 	 partner go concert o2 arena . choose hotel location beside arena beside london city airport , staff pleasant helpful , room lovely restaurant bar food gorgeous . I problem hotel , think location perfect long do not mind travel DLR station 5 min walk away . I would definetly recommend prospective concert go - er would go back second . 
 Mar 9 2008 	 Great Hotel shame food 	 stay overnight conference Excel Feb 08 , couple minute walk venue good parking . plesant room , quite warm , window open fresh air ( noise plane airport ) . recxeption staff friendly acknowledge we warmly whenever pass . pre supper drink smart cocktail bar restaurant good , ingredient two request . Supper Restaurant ok -food good worthy star rating . staff make enthusiasm lack skill . but - oh dear ! breakfast good all- usual & quot ; full english & quot ; sit hot lamp get dry , staff inattentive , continental buffet laughable , usual dry mini pastry cook many hour ( maybe even night ? ) sweaty slice cheddar slice ham ( continental ? well , perhaps sweaty bit ! ) yoghurt foil top plastic tub fruit buy ready chop still taste long life preserve solution come in . so 6/10 Hotel , 4/10 food drink 
 Feb 20 2008 	 simply Superb ! 	 stay Crowne Plaza London Docklands business trip simply superb ! room good size , clean , nicely decorate sufficent amount lighting . bed pillow comfortable . staff extremely courteous could ensure stay pleasant enjoyable . buffet breakfast also excellent good range continental cook English breakfast choose . would definitely stay . 
 Dec 20 2007 	 O.K . general bad experience . great value money . 	 not know say hotel . 's O.K . room design feeling would return hotel really want need London hotel full leisure facility affordable certain time . say cheap ( least solo traveller ) near furth South East London , near Greenwich , beyond Canary Wharf . though suppose enough customer Excel Conference Centre Canary Wharf ( free regular hotel shuttle bus C.W . ) keep reasonably popular . probably London hotel pool etc . slightly less much central . I stay , previous instance hotel , front view Royal Victoria Dock pretty super . thame less wide point whole city . I find quite likeable , reasonably soulless place . much ' lastingness ' hotel feel . though like bar restaurant , bar pal , though nice enough , good enough place relax . cocktail £ 8.I one complimentary night stay , price , book directly Inter Continental Hotels , come approximately £ 148 one night one complimentary night . rate £ 99 not include tax 17.5 percent , , tell check rate not include breakfast , £ 16 per day . 's nothing really not expect pay extra breakfast . check - in room information tell breakfast serve certain time duration , price suggestion cost rate agree room information , reception , bar restaurant , go breakfast breakfast . legal contract client must clearly know something sell , contract must absolutely specific . learnt law school - must clear contract - term contract - important price - must absolutely clear fully capable know acceptance good service deliver . term contract must state somehow customer contract recognise law . I doubt anyone would sue Crowne Plaza Hotel £ 16 day , illegal , bad many guest foreign able go along court make claim . stay two week , say , tell not agree pay already breakfast , would worth sue , expect something like . never even hint suggestion whole hotel breakfast extra direct Crowne Plaza hotel rate - never even suggestion offer buy breakfast price , check out . the second two night four night stay London December another four star London , Chiswick Moran , much preferred . lovely hotel , cost £ 20 less two night even though one Crowne Plaza night complimentary I . WATCH - look train Central London late night ( Friday case ) . hotel 's live train information show platform : two train come , well midnight . ticket machine say make sure train leave buy ticket , . train disappear screen fifteen minute wait , none come , screen say & quot ; System Closed & quot ; . taxi Clerkenwell cost £ 25 Abba taxi , think reasonable . it be good list good point bad point can not make mind hotel , breakfast charge aside . good pointsgood seaweed toiletry . bathroom also quite nice . I must say , desk armchair one comfortable find , seat back move body separately angle give excellent , functional comfort . however , bright red leather not appeal say least , get really sick it . I love soft armchair room , lovely fabric excellent idea two part - long , high footstool part form good chaise longue armchair place chair , find . subdue red elsewhere hotel , attractive . excellent point . the restaurant bar staff seem pleasant service good . as I.C . priority card holder , receive free small glass nice wine meal . really recommend south African Beaujolais , one glass house wine , La Campagne Merlot . bar , large bottle magner cider good idea . restaurant - good bad - main course reasonable also less reasonable ( thai green curry ) . starter , soup , gourmet standard , pastry desert , mille feuille , really delicious , excellent . price little expensive far thought , though starter desert worth it . the bar quite nice , spacious , bright red leather everywhere get . ' m ' do not leather ' ' do not wood ' stage life . breakfast close excellent come quite year , well Crowne Plaza Hotels stay , though pay . much freshly squeeze orange juice want . excellent fruit selection . good part fresh baked blueberry muffin pastry . good seed , nuts dry fruit selection go cereal ( around 10 selection cereal ) . eat much want . sausage herbal , lovely . excellent musical duo bar Friday night 9.30 . lovely Latin american north african music ( guitar , vocal percussion . ) jacuzzi fine swimming pool reasonable size though large . gym fine visit though see bad point also . Royal Victoria Dock D.L.R . train station couple minute walk hotel ( quick via passageway ) can Town Jubilee underground train line one stop away . be 20 25 minute South Bank lucky , usually around 30 . near night bus go Canning Town , need taxi there . Royal Victoria Dock nice , though nothing nice bar restaurant opposite , time . think caribbean place , attractive location . not know local Ibis Hotel bar visitor . 's far train O2 Centre Canary Wharf . bad pointsthe garish bright red brown room coridor carpet make feel really sick actually , gradually stay . thing like colour scheme thick floor length curtain . , certainly far nice Crowne Plaza Hotel room attractive . perhaps many like though ! view multi story carpark opposite , , though smallish window dirty see well , not know would clean window tilt open height - wise bottom . perhaps reason reason , like problem , remain . the sauna break whole stay , stick around fifty - five degree . temperature hardly worth stay . sign say contractor contact , obviously not day even next day call agreement . steam room break completely whole stay , access . sign break give , mention contractor . happen full day , especially facility reason go hotel another , one may expect partial refund gratuity , example drink , nothing . ( remember stay two star place Canada small sauna lovely staff contact everyone possible sauna fix within hour . Crowne Plaza waste effort . ) good number time , steam room nearly always break sauna nearly always low temperature . doubt usually like , sufficient get angry neither fix duration stay . the fitness room small large hotel 200 room whose leisure facility also external leisure club . the good available price , book nearly two month advance come approximately £ 132 per night breakfast . check around week stay number web travel agent often offer good saving London hotel , single rate date time £ 149 per night budget agent . feel expensive hotel , feel hotel litte expensive rate get without complimentary night . I not think would go pay full rate without complimentary night receive . location , two third price inclusive would appropriate , less . take price £ 99 thinking first inclusive . probably would book full price tax give upfront , certainly know not tell breakfast charge ' ve eat .. 
 Nov 27 2007 	 Great Hotel 	 wow ! great hotel . modern clean . great staff . everyone hotel staff willing help . one wait around service . hotel 5 year old . bed low comfortable . thing negative nothing around within walking distance . tube conncection minute away take 10 - 15 minute get town . stay St James Crowne Plaza three night 2 night . even though hotel brand different . definately would recommend hotel . pool indoor great well . 
 Nov 10 2007 	 good London ! 	 stay November whilst visit Stuff magazine annual show Hammersmith . say excellent hotel . get rate £ 76 double lastminutelondon.com - not use not confirm reservation hotel . fortunately however staff hotel helpful even though could not get travel agent , create reservation we not ask payment we - say would take t / a directly ! excellent start . the room really nice view Dome - even get firework display later evening thank Silvertown Residents Association . food not top price either - get bar meal £ 30 include two round drink . leisure facility fine too . overall , top class hotel well maintain . really could not fault . 
 Nov 6 2007 	 good ..... . 	 modern Crowne Plaza clean comfortable respect enjoy stay although not make use facility ( fitness centre , pool , restaurant ) apart bar . club lounge give free drink token instead . charge morning newspaper bit strange consider exactly one free reception ! hotel locate near conference centre Excel short walk Docklands Light Railway take City . cost £ 4 travel Bank unless Oyster Card ( welcome London , city love rip ) . taxi back night cost £ 25 . great be something Excel convenient night town . 
 Oct 4 2007 	 stay city instead ! 	 stay go conference Excel think nearby . not know 's wasteland around conference end day . restaurant , bar , shopping - outside fast food expo hal 's hotel . also not know 's difficult get in / out London Excel like thought would be . to top , hotel would call & quot ; budget business . & quot ; trapping business hotel , do poorly . & quot ; stylish & quot ; look decor cheap particle board furniture . desk chair low recline adjustment . internet cable - only ( wifi room ) verrry slow ( although claim high speed ) expensive . room service edible , 's . towel crunchy . hairdryer attach wall - really think go steal ? light bathroom terrible - get dress two tiny spotlight ? one upside front desk checkin person friendly professional . , not plan stay . 
 Sep 24 2007 	 excellent hotel dockland 	 stay 2 night business east london happy choice.the room good size clean .they also well equip keypad internet , movie channell etc ....... premium price must add ! ! .breakfast buffet good item fresh unlike buffet UK .overall would stay agin need end London . 
 Sep 16 2007 	 Good Hotel Bit Way 	 room : room nicely furnish large tv . bathroom nice usually toiletrie really good shower . staff : staff good checking doddle . location : close want ( O2 Arena ) . still 10 - 15min walk near tube station mean lot walk . Food & amp ; drink : eat kinda pricey food come quickly quite nice can not really complain . overall : good hotel planning see show end London would not use base explore central London . 
 Sep 14 2007 	 Nice hotel outskirt London 	 stay hotel mum partner visit New Zealand . little outskirt London nice hotel . room nicely decorate , well maintain clean . also quite large . room double sofa bed surprisingly comfortable . sofa bed already make check . even sofa bed still ample room 3 we move around comfortable . room overlook carpark not great quiet nonetheless . presume room would nice view dock area . the hotel gym reasonably small main equipment . pool close maintenance renovation stay . not breakfast mum say nice . the staff quite good , nothing mention specifically friendly give we direction phone phone midnight get train not know go . nothing complain , would stay ! 
 Sep 12 2007 	 Excellent stay ! 	 book 2 night stay August Bank Holiday excellent stay . want stay around Excel area perfect . modern hotel good sized room , excellent buffet breakfast swimming pool . 2 kid pool bonus ! minute walk DLR station handy . we get great room rate £ 66 include breakfast per night delight . stay Hilton Canary Wharf last year , rate much high hotel standard equally good ! definitely stay . 
 Sep 4 2007 	 Great Hotel Package ! 	 book hotel take girlfriend anniversary trip see Prince O2 . book celebration package £ 178 include ; Junior Suite balcony dock , 3 course meal , bottle champagne , full english breakfast free car parking . £ 178 ! know easy get central London take 25 minute . go O2 take beating . work additional Celebration package junior suite £ 60 , can not go wrong ! 
 Sep 3 2007 	 Excellent throughout 	 go 02 arena see Prince 1st September & amp ; look nearby hotel disappoint . hotel within 20 min arena hotel close DLR ( Docklands Light Railway ) . hotel well appoint overlook Victoria Dock . check - in smooth helpful direction offer 02 without ask . impressive ! ! hotel well decorate spotlessly clean . room second floor overlook dock good view 02 arena . double bed comfortable good size bathroom superb shower ( refreshing journey ) . plenty clean towel bathrobe nice touch . dinner restaurant good standard . staff helpful point intrusive . gig ( excellent way ! ! ) cocktail bar . great selection cocktail £ 8 throw plenty non - cocktail option . peaceful night sleep follow use on - site leisure facility . dip pool bit steam sauna jacuzzi set we breakfast . avoid gym though ' m energetic ! ! Breakfast serve upto , think , 11:00am weekend . good standard . self - service buffet offer full - english continental style breakfast option . Hotel Foyer couple Vespa Scooters could hire £ 45.00 per day £ 90.00 weekend be feel adventurous . stay Hotel excellent throughout weekend staff helpful , courteous cheerful . 
 Sep 2 2007 	 good sterile hotel 	 good hotel , isolated centre London beside Excel centre close Canary Wharf . necessary creature comfort expect go walk evening . staff competent . 
 Aug 31 2007 	 nice modern hotel one favourite 	 regular business . decent size room nice modern furnishing . Swanky bar good breakfast . one nice hotel swimming pool town . slightly way within 5 minute walk dlr station . Tried & quot ; bar food & quot ; & quot ; fine dining & quot ; room service - recommendable afraid might take DLR back central London Canary Wharf want something else place pretty deserted night . goodThai restaurant within 10 minute walk ( look towards North East hotel entrance see big red neon sign ) not use chinese restaurant nearby . Dinner take 3 full hour last time problem deliver . hotel offer shuttle bus service Excel Centre vicinity e.g . Canary Wharf , morning bus get quite crowded remember pre - book service check . also remember ask driver 's ( decent polish chap last time ) mobile number see come pick way back ( pre - book hotel reception well ! work really hard keep everybody happy ! switch another hotel nearby recently due fact hotel prefer rest team ( colleague ) really not want odd ball . definitely go back later year . 
 Aug 12 2007 	 Excellent hotel 	 book hotel close O2 arena London . location close Docklands Light Railway , great link London attraction . also close ExCel centre Fox pub lovely chinese restaurant . the hotel quite new funky bar . there leisure facility look great long opening hour , although not use trip . check - in painless . carparke behind hotel special rate £ 14.50 24hour . room luxurious spacious everything need bathrobe mini - bar etc . Breakfast serve 11.30am weekend - really quite late . self service buffet something everyone . criticism tea coffee serve get chance remind ! overall shall happy stay . 
 Aug 11 2007 	 Fantastic Hotel ! ! ! 	 frequent business leisure traveller , find fault hotel all . I book celebration package £ 175 include executive room balcony , full breakfast 3 course evening meal . the decor hotel room modern spacious , bar great atmosphere much eat spend evening hotel bar . it correct hotel staff foreign friendly polite . I book friend 40th Birthday directly hotel , really can not complain else get 4 star hotel London , queen room 3 course dinner breakfast £ 124 total . I would recommend hotel anyone ! 
 Jul 11 2007 	 Great Location dear local hotel 	 first deal room cost . visit London Excel 2 3 time year various event normally stay Novotel IBIS 2 minute walk Crowne Plaza . Novotel Ibis fully book give Crowne Plaza try . disappoint although pay £ 25 £ 30 usual . the hotel great location front London ExCel Exhibition centre easy walk Royal Victoria DLR station . take swim gear enjoy swim dinner , take mine regret it . my room excellent need include bath robe . work desk set work full executive chair desk lamp . business traveller visit London Excel great bus shuttle Canary Wharfe well . I dine restaurant meal fantastic . like finish Irish Coffee bit dissappointing . this hotel gear business traveller week show ! certainly would put people stay negoiate rate close offer adjacent hotel , go it . locally front hotel dock quayside small general store require small item stay . top carribbean restaurant right opposite main entrance chinese restaurant call Superstar along road towards main entrance ExCel centre . good rail link central london DLR outside Ritz Hotel Piccadilly 30 minute . the Excel centre open coffee bar , eatery shop free use cash dispenser . 
 Jun 29 2007 	 spacious excellent breakfast 	 stay last november convention excel center . hotel brilliant need room 2 people . book room 3 get massive sofa bed already set we . furthermore feel like proper bed rather usual sofa bed sometimes end hotel . hotel slightly expensive hotel area budget not tight would worth visit . great swimming pool be keen get lapse . last least , breakfast fantastic . quite big selection include lot choice small kiddy ! 
 May 1 2007 	 nice hotel 	 stay weekend London marathon run marathon . book hotel use priority point platinum cardholder room upgrade even though usually case use point . want hotel near Excel centre register Saturday disappointed short min walk road . park hotel car park charge £ 15 night , reasonable amount space also multi storey car park next door . use DLR around corner hotel London 10 - 15 min , probably ideal location sightseeing day / night us suit we fine . room clean everything need - tea / coffee / bathrobe / toiletry etc . eat hotel restaurant / bar also order room service pleasantly surprised price size meal - especially large appetite feed run 26.2 mile ! tell hotel fully book feel overcrowded service impair . use pool facility last morning ( checkout 12 pm ) , necessity ease ache leg almost place . read previous review little wary service standard would recommend hotel would stay next time get chance take part marathon . 
 Apr 20 2007 	 Pleasant Stay 	 stay hotel Easter Weekend another two couple , book theatre ticket weekend . check - in handle smoothly , problem delay allow room little early . check - out - efficient . room / bathroom fine , clean well equip although safe room . view river , although one couple party overlook car park - glad not allocate room ! breakfast good , hot cold buffet , plenty offer , staff little scarce problem self service . bar service bit hit miss , staff attentive other seem well evening . bar busy evening club like atmosphere . location – probably well want Central London . dockland service underground excellent train run every ten minute two minute walk hotel . not appear much go around hotel . probably busy exhibition Excel even though think hotel suit business traveller would stay . 
 Mar 28 2007 	 not put bad review ! - excellent stay . 	 10 year old daughter stay Fri 23/03/ Sun 25/03.my daughter particularly want stay somewhere pool , also fairly tight budget , exclude many Central London hotel . time book mixed review shortly appear really bad one . naturally , fairly apprehensive expect ... previous reviewer comment number foreign staff hotel yes , true employee , bar one , speak noticeable foreign accent . say , problem understand we every single member staff unfailingly polite , friendly helpful . on Friday evening opt eat hotel . restaurant menu fairly standard . two main course list unavailable night disappointing , however kid eat free complain much ! food acceptable , ok , rather outstanding . buffet breakfast good set we full day sightseeing . our twin bedded room well furnished , clean reasonably spacious . item mini bar expensive hotel , however two small bottle mineral water per day complementary . also complementary newspapers ice machine along corridor . the health club facilitie fairly standard pleasant nonetheless . gym , swimming pool , unisex jacuzzi steam room , seperate sauna man woman . able relax pool hard day 's sightseeing definitely worth 15 minute dlr journey Tower Gateway . a word warn - large new development build right next hotel . short walk station hotel therefore noisy . inside room aware noise , room right opposite end hotel . room nice outlook dock whilst other , ( include ) look onto multi - storey car park . stay would make point request room view dock although voile curtain thick enough hide view car park . overall , pleasant stay . feel hotel offer good value money attitude staff certainly contribute enjoyment weekend . 
 Feb 7 2007 	 great stay 	 love modern , relaxed atmosphere hotel . staff friendly helpful - even check little slow - could not enough we . elderly father treat great respect help needed freely give . bar food simple well cook breakfast first class quality . would visit . 
 Jan 15 2007 	 distinctly generic hotel ! 	 ok , 's Ritz , room clean , bed usual Crowne Plaza brand therefore suprimely comfortable . staff average hotel staff London ( not speak perfect English , certainly communication difficulty ) ! food ok , breakfast . good thing hotel decor ( view ) , modern , inoffensive . certainly , ExCel , can not go wroe ! central London short journey DLR Tube away , 25 min . due city location , rate tend much less average London hotel -expect pay £ 90 per room book 2 week advance . London hand £ 150 would reasonable expectation -the room also big hotel . nothing & quot ; special & quot ; hotel , soulless , wok fine . 
 Nov 1 2006 	 OK 	 stay 4 night trade show Excel Centre February . it good location , next door man - make lake ( part dockland ) short walk Excel Centre . of course , hotel busy exhibition attendee's . the hotel cope well enough busy crowd . my room rather nice , big expect comfortable . clean . downside windy day wind howl around outside , seem whistle part exterior building , quite loud . the bar area get busy large group salesman Exhibition Centre . breakfast good , term quality service . good : stay near Excel , exhibition . not good : quiet day away . 
 Oct 11 2006 	 do not go 	 do not go ! ! ! ! ! ! let introduce . frequent traveller Europe fan Priority Club . see Holiday Inns , Intercontinentals Crowne Plazas , etc . trip confirm belief success company depend good management good people . definitely present London ( monopoly location ? ) hotel . shame group hotel . I arrive fair Sunday evening . full day travel arrive bar girl tell still order sandwich , need sit . nobody come . obviously staff stress . enough staff .. return bar 10mins another guy tell kitchen close . roomservice . order beer go reception order sandwich need eat room . prefer eat lobby colleague nearby bar . after return bar see waiter want serve cup coffee . fall people laugh time adjascent table . obviously cause fun , relate incident . waiter go tells & quot ; funny ! & quot ; angry tone . this moment decide tell fellow traveler place . Monday Sales Meeting go lunch . order waiter clue order . finally get drink leave alone . glass empty manage convince waiter would like second round drink … Tuesday afternoon colleague hand power adaptor receptionist 15h . return fair 18h ask adaptor . nothing . ' find . call colleague hand device speak lady give adaptor . ( btw able receive EUROPE – UK adaptor since Sunday nite , well hotel next Excel people continent ) tell confuse thought colleague would return lend adaptor … … I tell mine buy 5pounds expect back return dinner . tell find solution … .i turn concierge see taxi order 18h50 . still . order one I … … no taxi wait although always see people ask taxi . bad organization … so wait outside still 5mins taxi . luckily another cab pass able catch time meeting center . as return dinner ask adaptor , nothing . although solution promise . ask manager ( Tesh ? ) ask go another room discuss upset . prefer stay reception . tell stay disaster day 1.I telling story get really upset tell might give adaptor next morning . excuse side instead threaten call police throw ! ! ! ! laugh tell ! finally search 10 time find adaptor room number it … its mine look alike take order stay connect …… .. ' blame employee management . obviously 90 % people train would even survive east european hotel usually stay . see waiter trouble hold tray serve drink time . ( e.g . coffee cup example ) would glad see colleague confirm impression ! Alexander 
 Jul 25 2006 	 not go Celebration ! 	 book & quot ; celebration & quot ; package one night include 3 course dinner champagne , fortunately not celebrate anything go Roxy Music concert Ex - Cel . first impression fine , lovely room ( except build site opposite ) . first problem bar , eastern european staff wing none really know , service dire free drink ( another part package ) query Reception not hit right button pc check . dinner request champagne wait 15 min bottle Verve Cliquot show we , whisk straight away replace house champer ! dinner average , say . breakfast usual buffet service , juice weak tasteless . go waiter stand chat service point ask tea - top mug large thermo ! money completey unworth - thankfully concert great celebration weekend would not good one ! 
 Jul 4 2006 	 good Beijing ! 	 recently stay Crowne Plaza Beijing impress , excited prospect stay Crowne Plaza Docklands . sadly two compare . the reception dull , lift badly light . room ok - ish , feel look bit grubby , nobody really care whether clean properly . sheet though beautifully crisp , white clean . unfortunately put room overlook building site , rudely awake 8 am sound drilling . the breakfast certainly not anything write home - ok , sample breakfast Beijing leave disappointed . if use high quality Crowne Plaza elsewhere , stay London Docklands branch . 
 Jun 29 2006 	 pleasently surprised 	 good hotel service friendly staff . well locate close London City Airport City London still easily reach DLR 20 minute . 
 May 12 2006 	 nice undertrained staff 	 end stay airline decide could not carry we night ! fly City Airport . hotel fairly new , room comfortable indeed - clean . Decor imaginative funky . also love view room across Greenwich Peninsula dock . food restaurant good ( without first class ) serve staff need little training . waitress try pour wine thumb base bottle , obviously something well - train since nearly go . bread roll end lap serve equally trying- to - be - very - upmarket way . 
 Apr 23 2006 	 Decent business hotel 	 stay week work Canary Wharf . unlike lot poster find enjoyable experience . room clean , modern large well set . room face water much well car park . time hear plane arrive airport nearby . breakfast hotel good although staff get bit confused time . partner eat dinner restaurant friend say food disappointing . the facility hotel ( gym , pool , spa , steam room , sauna ) simply excellent well hotel previously stay . facility 5 star really add hotel . I would recommend hotel business traveller Canary Wharf Excel . due location lack entertainment dark would suggest anyone visit London . 
 Apr 18 2006 	 not go unless be attend conference Excel 	 stay Crowne Plaza Docklands Easter weekend stay Crowne Plaza St James previously . comparison . have make reservation January husband self parent - in - law . arrive one booking although prepay confirmation number . one book completely different name ! room shabby - water mark ceiling one room furniture badly damage . one room safe , neither trouser press mini bar 4 pm second day stay one room not service ! linen decidedly grubby , air con extractor fan bathroom not work . on Friday evening go drink bar not stay long like local youth club - full & quot ; immigrants & quot ; play pool - would expect Crowne Plaza . light dim bar lift bar staff seem indifferent not bother restaurant . we give go Novatel nearby bar first floor overlook water , comfortable seating staff could not attentive even though aware not guest hotel . the Docklands Light Railway service excellent , buy single ticket , eg , Canary Wharf ( well worth visit ) buy travel ticket whole underground system bus service . the Excel centre open day evening , 's conference take place , appear meet hall local . one two fast food shop open 's place wander around alone . 
 Apr 4 2006 	 not bother 	 location good staff arrogant , rude not put customer first . I reserve double room could offer twin even though book month beforehand ! not impress grand look - 's flight path London City airport clearly run immigrant not care you . in - room internet expensive ( £ 15 per day ) .... keep away ! 
 Mar 20 2006 	 stay elsewhere -- staff cooperate customer 	 stay hotel business trip . tell receptionist , request room , quiet could finish work day . tell know hotel locate near City Airport runway wish room , face runway . reply problem room ok . morning next day , find room face runway also construction site . request change room . finally move another room 4:30 pm request 9:00 . whole day waste . in first room , turn light reading . phone receptionist one come change light bulb . second room , safe working could lock door . bother call deal kind staff . come hotel , find automatic door main entrance open . sensor see open door . one hotel even bother put sign inform guest door open . therefore , lot people stand front door wait minute find door work . if travel Canary Wharf area another business trip , stay another hotel . lot hotel Canary Wharf area staff willing provide quiet room business traveler . lot hotel much near Canary Wharf , financial district . travel Exhibition Centre , like stay another hotel area . drl convenient . travel London holiday , would like stay center London . stay hotel , far away major attraction , get room , noisy ? 
 Feb 21 2006 	 enjoy stay 	 stay 1 nightgoodadjacent Royal Victoria station take central London 20mins London city airport.recption staff friendly helful.room service efficient good choice.hotel clean modernroom nicely furnish comfortablepool small otherwise fine . good hot tub suana.bar restuarant modern funky overlooking dockand water.cheaper central london hotels pool.adjacent Excel conference centerpoornot way central london , tourist need travel via tube 20mins cost £ 6 return . car parking around £ 10 - 14 per dayno walk etc bar nearby.summarygreat delegate attend conference excel center . also get money slightly central london long do not mind travel tube get everywhere . stay business take family enjoy pool staff child friendly albiet hotel really set business peolpe . 
 Feb 9 2006 	 favor stay anywhere place 	 good thing . less 5 min Docklands Light Railway . hotel gym pool . breakfast pretty good . the bad thing - could get good night sleep mattress old soft . complain hotel offer use wooden board , hotel enough board every room . enough water pressure shower temperature switch burn hot icy cold - never fix . room need renovation . furniture old . internet service room work . I would recommend hotel anyone . 
