overprice 	 book theatre package recommend ( 4 Star hotel ! ) sister & amp ; look forward relax birthday celebration . the first thing one room still ready 4 pm discover one considerably small & amp ; dark ask another room tell . could get seat meal hotel Saturday facility pay guest general public thing tell order room service ! consider overprice rate hotel wonder facility pay . breakfast good keep wait table morning & amp ; din room cold , complain ignore .. staff abrupt rude last day try get meal leave tell run food & amp ; kitchen close ! travel & amp ; live abroad several year & amp ; honestly say dismissive disorganised overprice hotel misfortune stay . captive audience due location ( good ) , pride job well do along standard & amp ; quality sadly lack ( watch standard reply hotel ) 
 Apr 21 2009 	 Great Hotel Great Location 	 start end Spring Break trip Mountbatten see 4 room . one really small ask slightly big one . other perfectly sufficient . hotel perfect location corner 7 dial . 's easy distance Covent Garden Leicester tube stop . walk luggage ease . concierge desk well staff excellent dinner recommendation get great direction . like able access internet room . beautiful hotel good value perfect location . not photo , go google map choose street view , get idea nice hotel understand location advantage . 
 Apr 21 2009 	 unbeateble location kind staff comfortable 	 less 15 minute walk away major attraction ( Picadilly , Leicester , London Eye , Oxford Street , Covent Garden , Thames cruise ) . room small , tiny , everything need ( iron , hairdryer , even spanish channel , ... ) quiet . clean bathroom . kind staff . seven dial lively quarter even night . 
 Apr 16 2009 	 Excellent location comfy bed ! 	 book hotel lastminute.com - one ' secret hotel ' mean get good deal not know hotel booked pay . arrive 11.00am leave bag check - in not 2.00pm - room ready arrive check go straight unpacked go shopping spree ! hotel staff polite friendly could not helpful . impressed location , hotel cobble street little boutique place eat entrance Neal 's Yard yard street opposite side road . seven dial great shopping small independant shop well shop Office , Fat Face Fred Perry . go see Priscilla Queen Desert show Palace Shaftesbury Avenue around corner ! hotel absolutely perfect anyone go theatre nearby also advantage stay hotel really pretty little street . often walk Piccadilly Circus straight Shaftesbury Avenue Chinatown Leicester Square get hotel really great location . happy hotel , bathroom lovely clean light room decorate shade chocolate , mustard cream . bed really comfortable - slept like log ! would say twin room ( number 606 , front hotel ) size normal Travelodge room day every evening really use room change sleep fine teenage daughter . check 10.00am ( check - out time 11.00am ) leave bag hotel 4.30pm return collect luggage en route station - staff insist hail cab us help we bag taxi - really great . would definitely stay . 
 Apr 16 2009 	 Superb friendly elegant Hotel . 	 stay 3 time , absolutely lovely , clean , well present Hotel . situate fairly central main shopping area , theatre ( include Cambridge theatre right opposite - show Chicago ) . staff friendly helpful , always smile face ! although cheap , get service quality pay . room generous size everything expect eg . towel , iron , hairdryer . clean en - suite . plenty shop , eatery , pub etc area . usually full english breakfast hotel plentiful ! overall would highly recommend Hotel , look forward go back . * * * * * 
 Apr 16 2009 	 great location room clean small 	 stay Radisson Mountbatten Easter weekend 2009.since stay year ago room next elevator ( noise night ) , request room high floor away elevator . satisfied , wish fully fulfil get room 6th floor far away elvator . location : love lovation , right busy district Covent Garden , lot shop , bar restaurant around hotel . need ticket public transport , reach everything walk . Picadilly line station ( Heathrow ) 10 minute walk . hotel : lobby stylish , also bar restaurant renovate nice . reception staff Concierge always helpful . there pc free internet access Lobby check flight check mail . nevertheless one , people stay hour although wait behind they . room : room small ( like London hotel ) furniture date . small , old tv set ( far flat screen ) . bathroom huge ok.overall room ok , clean . careful , room high floor . since traffic around hotel , room low floor might noisy . area : book breakfast since plenty restaurant cafe around . Covent Garden market busy area , great shopping watch people . overall : like hotel excellent location helpful staff . hotel whith much nice big room London , nevertheless , stay ( get good rate - time pay 150 pound per night ) . 
 Apr 14 2009 	 Perfect location 	 check review tripadvisor hotel since offer useful honest review careful consideration choose hotel . for price hotel London , could easily choose another good quality hotel price since location seem convenient decide choose it . I read couple fo past review critisize hotel however totally disgaree . service offer staff reception & amp ; door absolutely spot friendly great . woman behind reception extremely welcome helpful first arrive . check quick hassle . reception front room well present nicely decorate staff help luggage tourist information . the room small comfortably small feel cramp enough storage space . another good point free internet available throughout hotel bonus since hotel ' ve stay apply extra charge access internet service . bathroom well present clean shower bath facility . I stay 2 night night pleasant even though heart busy area covent garden . extremely convenient location covent garden minute away lot clothe store , coffee shop food store within second hotel . would definately return back hotel future . location make definately worth price pay . 
 Apr 4 2009 	 excellent locationbreakfast brilliant definitely return 	 central location covent garden surround area , walk distance . theatre nearby good pub restaurant . 
 Apr 2 2009 	 extremely poor value money ! 	 polite courteous staff , however woman front desk greet we difficult understand due english second language . be give room 614 . ever offer room turn around WALK ! ! ! would small single double complete joke , bed push wall could get one side . bathroom small clean well appoint . couple travel large room exist ! breakfast £ 18 buffet , think absolutely extortionate compare boutique hotel use charge less cookeed - to - order spread . the save grace hotel great location Covent Garden west End . not bad place stay , incredibly POOR value money ! ! ! 
 Mar 27 2009 	 Absolutley Fabulous Hotel ! 	 stay Birthday weekend . want find hotel centre Covent Garden one really ! pleasantly suprise hotel great location . 5 min walk either Leicester Square Covent Garden Tube station . 5 min walk Ivy ! room small lovely clean especially like speaker bathrom able continue listen favourite programme whilest take bath ! staff friendly helpful . number occasion ask concierge advice go informative helpful . also able leave luggage conceirge check would not lug bag around London . fantastic time wait return . 
 Mar 26 2009 	 one revisit 	 stay one night wish long . hotel amazing location right alongside Covent Garden theatre . staff friendly , go way helpful , breakfast great - good quality food , plenty choice , prompt service . even though executive room not huge clean , comfortable everything need . television old style look bit date , room key system operate lift seem cause guest problem , minor issue enjoyable stay . want clean , comfortable hotel not large , friendly staff superb location give try ! 
 Mar 20 2009 	 great hotel perfect location 	 although room small facility require . hotel note comment size & amp ; offer allocate one large room next visit . breakfast include price & amp ; first - class buffet . perfect location theatreland , Covent Garden shop , Trafalger Suare gallery & amp ; Embankment . definately stay . 
 Mar 20 2009 	 absolutely fabulous 	 location hotel extremely convenient , middle Covent Garden . reception extraordinarily special , make real fuss stay nothing much trouble . standard twin room clean tidy look luxurious . I could wish well place stay theatre weekend London 
 Mar 19 2009 	 excellent location clean room 	 good hotel convenient location . room clean , although bit small side . staff helpful , friendly & amp ; welcome . overall enjoyable stay . 
 Mar 14 2009 	 Excellent hotel fabulous location 	 spend three night great hotel . staff efficient friendly pay bit extra upgrade room much big standard room comfortable bed good size bathroom . room quiet situate towards end corridor . breakfast good dining room morning little chilly . location hotel get around central London brilliant walking distance many great area include China Town theatreland . definitely return would definitely recommend people book upgrade deluxe room possible . 
 Mar 10 2009 	 Great Hotel 	 great hotel tremendous location . staff extremely helpful . room large well keep . will definately re - visit . 
 Mar 10 2009 	 great location sight - see Theaters Soho 	 great central location major tourist site . Covent Garden Station Picadilly Line 2 block away ( use lift street level ) , walk everywhere . bed bath clean . room 6th floor , night cold tap water nonexistent . suggest bottled water room . I would recommend hotel single couple , young old , gay straight . lesbian one bar Soho , Candy Bar . 
 Mar 6 2009 	 Spot location ! 	 pleasure stay Radisson Edwardian Mountbatten Hotel 21st birthday . like location hotel paramount decision hotel basically sum exactly look . be heart one clean , safe trendy location london . great restaurant , shop , transportation nightlife doorstep , hotel perfection . the hotel stunning building moment step inside feel comfort warmth wash . room although small 6 ' 3 '' find stretch get settle bed , charming , clean exquisite . staff Radisson incredibly polite helpful . last person see leave , lovely make we walk smile . joke ! recommend hotel age 18 - 35 be 40 + enjoy relive youth like sad Madonna esq individual would probably feel particularly hip . ( activity Covent Gardens / Leicester Square ' Chicago ' Theatre would find hotel ideal ) 
 Feb 27 2009 	 Ticks box 	 walk deluxe double room first stricke feature size ... be small . even would let dissuade anyone stay . take time look notice room everything would expect short weekend stay . would call luxury 's clean basic amenity important free wifi service quite invaluable travel unknown city . staff friendly helpful . location real asset hotel go . step away shopping , theatre , sight , food could fault location . overall believe people would happy stay new city need central location would spring large room two people . 
 Feb 24 2009 	 Location Location Location 	 return stay hotel . location truly ideal . centrally locate , safe , close proximity transportation , great shopping , food , theater many attraction London offer . room decently equip functional despite room size . stay Standard Double bed room ok single person . might bit tight couple especially require space . consider single room Twin ... would reconsider . 
 Feb 7 2009 	 Excellent Service 	 ' provide feedback hotel , good reason , feel compel comment stay Radisson Edwardian . arrival , well receive reception give room card . arrive room small comfortable return reception ask big room . upgrade available hotel busy ( weekend ) gentleman reception say one room available still require servicing . retire bar within minute receptionist came insist show new room sure meet need . room excellent pleasant stay . from receptionist concierge staff restaurant , good ' experience stay hotel regularly – compliment hotel manager – difficult achieve especially central London . location hotel also spot ! 
 Jan 29 2009 	 ' ve love Mountbatten Hotel 12 year ! 	 ' ve stay Mountbatten three time year twelve year . although usually go business , ' ve take family many time year . I book directly hotel ( new manager , Dawn , nice professional . ' ve also like manager year ) , always find beincredibly accommodate ( example : always need 4 foam pillow , ' m allergic feather . pillow always room arrive ) . truly feel terrific hotel home - away - from home . also concierge -- especially wonderful Michel -- outstanding ( nice ) .I ' ve problem year little thing ( happen hotel ) ; staff always go way fix problem quickly . I eat breakfast ( part package ) Dial ( restaurant ) ; waitstaff ( especially couple woman ' ve know year ) also excellent . housekeeping also top - notch . every think stay somewhere else variety , 's point ? would miss Mountbatten . next go March . ' m look forward ! 
 Jan 26 2009 	 never 	 last year , birthday , receive package propose Travel Arts include choice five six hotel Wagner Ring Royal Opera . I choose Radisson proximity Covent Garden description seem lovely . my standard single room small claustrophobic room ever get hotel category . the bed fill room come back bruise negotiate way bathroom rather nice compare closet call room . the safe near ground : crouch . the breakfast ordinary prefer eat meal anywhere else : Rules Carluccio ... Wagner Ring mean stay six night hole : never again . my critic come bit late send opinion hotel vary much . 
 Jan 23 2009 	 good location Business Leisure 	 consider usually poor standard british hotel ( always 1 - 2 star would get continental Europe US ) , mountbatten positive surprise . the location good business around main city evening lot nice restaurant , theater etc . walk distance ( Covent Garden ) .The ( single ) room quite small , sufficient one night business stay . bathroom . compare British & quot ; 4 - star & quot ; hotel ( bath- ) room clean tidy , i.e . clean carpet rotten fitting bathroom & quot ; standard & quot ; many London hotel . Free Wifi ( still standard many hotel ) allow quick mail check connection company server . bed also good , relax night . & quot ; Dial & quot ; bar nice build contemporary style . attentive friendly staff . not take breakfast since usually coffee croissant feel 18GBP bit much , usual problem hotel nowadays . 
 Jan 10 2009 	 4 star 	 travel frequently business London stay many business hotel . one nice location- Covent Garden ideal walk neighborhood hotel great street . hotel terrible business need however . lobby speak , meet colleague difficult . internet slow , room small- even London standard . also quite worn . would definitely rate three star hotel , 4 . 
 Jan 5 2009 	 conveniently locate hotel 	 stay Radisson Edwardian Mountbatten hotel London 01/01/2009 01/03/2009 . know call & quot ; Luxury Boutique & quot ; hotel London , frankly nothing & quot ; luxury & quot ; . good feature hotel ( far ) wonderful location . right heart Covent Garden , next great Neal Street cute Neal 's Yard . really , be difficult beat location . walk almost anywhere Central London . hotel ok . rather small nice bar . breakfast buffet ( include rate book expedia ) extremely nice staff courteous kind . the room ... well , small . stay room 105 first floor . corridor go room feel like one Russian Embassy 1970 . room ok incredibly small low ceiling . british windows adequate time cold weather London ( January ) . put heater time beat cold wind come window . tv old small . bathroom small . bed ok . overall , 's great location spend much time room not go think 's & quot ; luxury boutique & quot ; hotel . 's . 's bad hotel London . preference go Sofitel St James , admit . 
 Jan 5 2009 	 Perfect Location 	 hotel locate great area , shop , cafe , bar road leicester square.nice facilite , good size room although deluxe room . overall pleasant stay good staff nice breakfast ask . 
 Dec 12 2008 	 pleasantly surprised spacious room 	 stay Radisson Edwardian Mountbatten Hotel early December . front desk staff friendly call shortly check - in ensure room meet need . room spacious ( especially UK ) , offer small sit area sofa coffee table , small work area king - size bed . work space however limit although hotel offer free wireless internet . bathroom also sizable ; double sink luxourious bath robe . complaint minibar stock daily drinking water day one , none available remainder stay . Covenant Gardens lovely section London offer variety restaurant shopping . would definitely stay hotel . 
 Dec 10 2008 	 fantastic location hotel breakfast 	 wife l stay deluxe room no:104 , nice spacious impressive bathroom pleasant outlook onto quiet street . disappointment tv CRT17 & quot ; 19 & quot ; , really needs upgrade large screen flat panel LCD , although channel pay movie access perfectly adequate . check straight forward , initially line , hotel , instruction require advise guest lift operate . restrictive floor access system allow go floor corresponding insert room keycard . the breakfast superb , almost everything could want , pleasant environment . excellent service . the hotel bar nice use one occasion due excessive pricing , £ 10,60 2 drink . 2 drink buy £ 5,50 follow evening 2 brewer pub 50 m road . overall pleasnt stay great hotel bar price extortionate . 
 Dec 9 2008 	 rodent hell 	 horrible hotel . the room ok , location great . staff unhelpful . serious mouse problem . drink bar could see several mouse run around dining area . even one run table sit dissapear sofa .. alert staff least bit interested . also alert website book hotel . never again . I glad not order food . 
 Dec 8 2008 	 Nice hotel perfect location 	 special voucher stay either Radisson Park Plaza hotel free spend much time trawl various review Trip Advisor seeing ) one could get availible b ) sound good . upon read hotel decide book base location little worried review . I book king deluxe room say impressed location also room . fairness want massive spacey room not stay king deluxe room job . cosy , warm bed comfy . find room clean noise outside despite fact bar show opposite . the location amazing , walk distance show , covent garden leicester square . staff friendly honest could not ask ! stay many hotel london big fan city inn westminster hotel base location alone could steal crown . 
 Nov 24 2008 	 Location great 	 stay Saturday night go theatre impossible return late night train home . think stay usual place king Cross ( use Eurostar ) .thought would treat bit luxury dismal November . disappointment . location great , walk king Cross , walk theatre Oxford Street . first time London never use tube . however , room let . soon enter feel spirit fall . not expect huge room hotel London , complaint small room . decor , drab , nylon fur bed throw brown mustard colour underside . fade ? yellow ? beige stripe wallpaper , tear place . gloom , gloom , gloom . bed although bad sleep particularly comfortable . duvet worst ever encounter , appear synthetic filling mat , like duvet ' fluff ' shake . pillow awful , not like pillow deep neck feel though 45degree angle . shower adequate , although fair find hotel shower adequate . the continental breakfast £ 9.50pp excellent . even smoke fish offer include salmon . not need eat evening . downside atrocious coffee . expect freshly ground coffee breakfast taste like instant good instant . would not stay , back king cross comfortable bed , cheerful decor much small room less half price Radisson . 
 Nov 23 2008 	 Awful Great 	 stay two night friend London see couple concert . choose hotel like everyone else location , indeed fab . however , not really think much hotel . it oh - kayyyy definitely see well . we top floor penthouse . room tiny absolutely freezing - even two blanket need layer sleep , in - room heating not seem work . Reception & amp ; concierge staff encounter pleasant fortunately . bathroom toiletries good free wifi advantage work , overall price pay wish have shell quid stay St Martin 's Lane night later boy worth ! might appeal traditional olde - english taste , prefer something smart clean pay £ 200 per night . 
 Nov 19 2008 	 Superb Boutique Hotel 	 despite review find Hotel cosy friendly . book deluxe room average size , however amazing location little time spend comfortable room . breakfast superb buffet weekend cook order week . check staff efficient courteous . People watch Dial Bar must ! do not underate establishment ! 
 Nov 2 2008 	 Locationlocation location ! ! ! 	 friend spend little week could not happy hotel . property nice , luxurious . room rather small US standard , comfortable . good thing hotel LOCATION ! ! theater opera , not get well . locate Seven Dials , 's three - block walk Covent Garden Leicester Square tube station . go four show walk three . although six street converge hotel location , narrow not carry much traffic , be quiet . hotel also quiet - never hear sound guest . housekeeping staff invisible . never see hear , room always make within hour leave . restaurant / bar & quot ; Dial & quot ; little pricey . not ever continental breakfast ; even half - price coupon , 9.50 GBP . great place people - watch afternoon , though . dozen restaurant within block , 2 coffee shop 20 yard front door . interesting shop along adjoining street . internet computer lobbly guest use free , though occasionally may wait minute . 
 Sep 28 2008 	 not stay - Rude Staff 	 stay 3 night staff be constantly rude prove hotel guest every time walk door ! room small -- even London standard hair shower . much well hotel London , much well value . 
 Sep 26 2008 	 Great Location West End attraction 	 key stay London location , ' get well price . literally walk distance West End attraction - bar , club , restaurant , shopping theater . hotel staff friendly bar / restaurant stay open late . room small , defiantly book double queen . room view also disappointing . otherwise , great weekend place want enjoy good London ' west end . ' look hotel big room , luxury bedding / furniture , gym , pool , business centre , etc , go else - where . 
 Sep 9 2008 	 must stay 	 wife decide stay London weekend celebrate wedding anniversary . initally pick Thistle City Barbican Old Street . however , read guest review decide change . booking make Superbreaks , agree change hotel without fuss , money . after check number hotel review site settle Raddison Edwardian Mountbatten . good choice . this hotel sutuate right top end Seven dial convenient almost anywhere Central London . near underground station Leicester Square Covent Garden . much regard distance . five minute walk away , even pleasue pass nice shop way . arrival greet friendly receptionist call Charlotte . make we feel welcome give impression nothing would bother . our room double , number 508 . stay large , complaint whatsoever regard 's cleanliness . overly concerned size room intend lengthy period . the bed comfortable usual facility available : trouser press , iron board iron , tea / coffee , television , en - suite etc . , even safe valuable . what say breakfast ? sumptuous ! Saturday Sunday morning buffett . staff couteous make feel though allow eat certain amount . open season . selection consist cereal , fruit juice , crossiant , cold meat ( include smoke salmon ) , cheese , fruit , cook breakfast ( much could pile plate , toast , tea coffee . course could really want . do . on Monday buffett still sufficient start we day . superbreak give we voucher dine . one two one Dial restaurant Mountbatten . the portion large , food pipe hot delicious . select two course set menu £ 19.50 ( two voucher ) plus large bottle sparkle water one glass wine , expensive item night . again staff efficient friendly make sure experience pleasant one . on Sunday night use another 2 1 voucher , time Mountbatten 's sister hotel , Radisson Edwardian Kenilworth , short walk away ( 10 minute ) . meet level attention detail . well do radission edwardian group hotel . one bit advice anyone think stay hotel : - not intend consume beverage room mini bar , even open door . fridge interactive much move content ask report reception authorise payment . look consume . problem whatsoever item touch remove bill . receptionist state unusual happen . all enjoyable stay would return . hesitation recommend hotel reader / user site . 
 Aug 23 2008 	 great location 	 spend 2 night hotel end July . single room , small little outdated , nice view London Eye . suppose Suite would lot well , offer 60 pound upgrade , take , alone need space . location great . couple minute pleasurable walk Covent Garden . also Trafalgar Square need 10 minute easy walk . Leicester sqare even less . hotel staff great . know alone help everything.n . 
 Jul 25 2008 	 Location 	 i´m go original . good thing hotel location , doubt . it´s close place tourist would go , area charming well . seven dial lovely little square much traffic it´s full people stroll around eat weekend lunchtime . the hotel ok . well appoint , good service free WiFi . room , single , low point . , small . I´m use small euro room . , annoy , & quot ; electronic & quot ; sensor fridge . move can , even don´t cosume , you´ll automatically charge . think send bad message guest . the bathroom hand big enough , specially small room . also modern well appoint . I try breakfast hotel bar . a tip : need clothe wash go across street . dry clean hotel actually send guest´s laundry . , course , charge fraction hotel would . 
 Jul 8 2008 	 central close theatre 	 stay last week two night theater break . on check early problem book in.we offer upgrade suite £ 40 per night , well worth it . great room number 217.king size bed enough room 4 people room great view seven dial junction theatre . everyone hotel friendly helpfull whilst get bearing area.bathroom clean bouble sink great shower , plenty presure . the thing problem instruction work shower control ( red blue indicator rub ) .The bed comfortable breakfast well cook servie quickly problem there . I would stay long could stay suite . 
 Jun 28 2008 	 bad room ever stay life 	 maybe room ( room 111 ) ask enjoy stay could not help tell receptionist room worst ever experience . fellow traveller join chorus hear comment - not cheap ! ! tiny tiny room - bathroom extremely tiny - could not close door without shuffle way . Decor drab outlook triangle room . room two step corridor two step room ? ? not know why . staff overall quite good location good would not go back strongly recommend anyone ask stay away . 
 Jun 23 2008 	 perfectly situate 	 hotel perfectly situate Monmouth Street . short walk Covent Garden , British Museum . British Library , National Gallery Trafalgar Square many top tourist site also close by . hotel right theatre district , near London ' Chinatown . load good restaurant shop neighborhood . hotel staff friendly helpful . room decent size , expect . unlike many british hotel , one offer free internet access . many other stay charge 15 pound per day . free newspaper ! five star hotel , good one , good value London 
 Jun 21 2008 	 Cracker hotel area ! 	 hotel cool part London opinion . covent garden . great boutique , load shop , restaurant , huge market , pub ..... lovely , friendly area . personality ! hotel near china town soho , rite westend ! hotel cute comfortable . staff helpful pretentious . think good value money . suite room , sure ... spacious . I m impressed hotel stay 2 half week ! favour google . also able negotiate well rate - prob cos stay . also within walk distance picadilly sq , heap ! do not waste time search , stay ! 
 Jun 15 2008 	 great location 	 Monmouth Street one vibrant area London . wide variety bar , restaurant trendy clothe shop within minute walk . no need pay hotel rate breakfast include room rate , many excellent cafe nearby eat pound - say London expensive ? public area hotel Radisson standard , plush without opulent . Complimentary Financial Times / WSJ free wireless internet access . our room tiny fitting seeen well day facility . 1st floor directly Monmouth St noise problem all . Leicester Square Underground Station 100 yard away direct line Heathrow , £ 4 single one hour journey time terminal hotel . 
 May 24 2008 	 ok 	 reviewer hit mark . location great walk theatre tourist attraction . front desk friendly helpful . .... room ok clean appealing . & quot ; deluxe & quot ; room tired even though probably redecorate long ago . housekeeping marginal , kind . lot staff seem indifferent . treat seven dial drink chorus late night entertainment .... thankfully fabric window shade heavy curtain . think favorite part stay . 
 Apr 21 2008 	 Comfortable Bed ' ve ever Slept 	 book hotel get slightly hight rate Travelodge quoting . book room 2 single bed check ask floor want . actual room small everything need , iron / ironing board , lot cupboard space , big clean light bathroom , tv comfortable bed ' ve ever sleep . comfortable not want get everytime lay down . we also breakfast could eat half much food . next time stay night work book hotel . 
 Apr 16 2008 	 hotel choice London 	 admire hotel outside , happy get great deal one night stay deluxe room , pay around £ 130 room , suitably impressed hotel . drop bag hotel morning appointment impress reception staff remember name return afternoon check room . the room live expectation - small cramp , one large bed ' ve see , stylishly decorate , bathroom . also plenty wardrobe space , large dressing table / desk small table comfy chair . would however wary booking standard room , would not really want less space . television surprisingly small old fashioned hotel class , problem tv 's reception , somebody send straight deal , even though late night . room also range plug socket international guest could plug electrical equipment without adaptor think nice touch . the communal area lovely . Dial Bar great spot grab cocktail people watch . price may bit expensive side stylish bar London . visit bar occasion however sometimes problem understaffe . reception area also stylish yet welcoming , huge sofas supply newspaper magazine , staff happy friend ( hotel guest ) lounge reception whilst change dinner . however , good feature hotel location , right seven Dials heart Covent Garden . please note however , stay , Covent Garden , nearest underground station , allow people get station board train . alternatively , Leicester Square station much away , concierge happy hail cab . we not eat meal hotel , plenty option vicinity , include breakfast ( much cheap price hotel breakfast ! ) .all , great stay Mountbatten , would first choice future trip London , provide could get good rate deluxe room . 
 Apr 14 2008 	 Great Location 	 right heart Covent Garden . lot lovely restaurant nearby . staff make hotel , always smile , friendly , polite really helpful . we arrive really late friday night book deluxe room standard one ... tiny , could hardly walk around bed , speak front desk large room available also give we breakfast follow day inconvenience cause , nice touch . room clean , well furnished , bathroom fine take shower gel shampoo , one pump dispense kind soap wall shower pleasant . concierge great know answer everything , way ! 
 Apr 10 2008 	 Air Freshner Required 	 book 2 night stay Radisson Edward Mountbatten April 08 check morning . the rate pay work travel agent £ 245 per night first room allocate tiny box room single bed - despite request double bed point booking . I contact reception tell rate pay travel agent necessarily rate hotel charge ! nice customer service there . the say would allocate another room . room 219 although bed seem 2/3rd double room absolutely stank . much go buy air - freshner bathroom particular smell stale water . perhaps crack tile mouldy bath something this . the room not even secuirity lock door guess emergency re - allocation room within hotel . I booking place next week , expect high quality Raddison hotel , sadly lack . 
 Mar 31 2008 	 Great Location Radisson 	 company recently move London office location Covent Garden , look hotel within walking distance . Radisson good negotiate corporate rate short 4 block walk , even though review less stellar , go it . prior arrive , email Radisson see could get early check - in trans - atlantic flight . arrive , request system problem check , even 8:30 ! front desk concierge staff welcome helpful 4 - night stay . fact , real glitch reception staff come wake - up call day leave , rang 4:30 - 5:30 ask ! Radisson offer free wireless internet access throughout hotel , never issue connect ( get figure first time ! ) also nice we american traveler , desk 110V plug case not adaptor laptop . my room decent size London . bed really comfortable , lot hangar space closet , bathroom well - appoint . double sink , tub shower ( although say tiny shower stall ever ! ) housekeeping efficient : always plenty towel , room spotless , etc . I also use gym basement . small , fine . fact , day person use ! eat hotel restaurant ( hot Breakfast $ 32 usd . ) grab something many takeout place nearby ( Pret , & amp ; ) . cheap fresh . meet colleague drink one night , service okay . bar pack seem server tough time keeping . , would definitely stay Radisson . great location ( whether business pleasure ) amenitie fair price pay . obviously able walk office huge plus , Tube cost $ 8 usd ! 
 Mar 21 2008 	 great location 's ...................... 	 stay wonderful Radisson Edwardian Manchester decide , business trip one night , hotel chain would perfect . sadly , still decent hotel London 's standard . lovely reception area , clean welcoming . Charlotte receptionist excellent . however , crack begin show point onwards . one lift work painfully slow , ask stair ( obvious ) .The room nicely decorate , modern bathroom mould around seal . not understand hotel charge amount money can not decent tv set . five normal channel news channel ... rather grainy . even low budget hotel generally sky channel ..... sash window gap side could fit pen ..... chilly March let rather stiff breeze roman blind oppose thick curtain protection . build site outside window , least start work relatively respectable 8.00am , workman could literally climb window . hotel fault ... understand gap sash be . I seat breakfast promptly ignore ten minute question rather fed look waitress & quot ; ? & quot ; ....... er would breakfast . breakfast food good , room service food awful . hear neighbour argue waiter incorrect food deliver . it great place , near 7 dial , perfect visitor night two , staff , general , really efficient friendly , not sit right ..... try , really . 
 Mar 7 2008 	 Disappointed ! 	 stay hotel June 2007 please . therefore hesitation booking girlie weekend March 2008.on previous visit twin room good size time little box room ! ask alternative room receptionist show room smoking floor size . charge less room 's size would not minded £ 195 alot room friend keep kick wall next bed night . e - mail Manager hotel complaint date reply ! 
 Feb 2 2008 	 Location Location Location 	 Location everything hotel . like go theatre , shopping , central London atraction one well hotel stay , try find good deal . room small , London ( big city ) that s normal . amenity room hotel good . people complain room size , pay go area London ( central London like theatre ditrict pricy ) . complain tv channel , stay home , tv reason go London . 
 Jan 22 2008 	 bad hotel 	 stay Radisson Edwardian Mountbatten Hotel Sunday go see concert overall pleasant experience . yes room small staff friendly helpful location really pay . bar nice staff pleasant although one member accuse partner leave without pay bottle wine go room still occupy table . the room small nice personally would rather good small room awful large one . would suggest not like wake early morning remember hang & quot ; disturb & quot ; sign door wake rather enthusiastic member housekeeping team 8am . although seem like ' ve bit moan review negative thing ' ve mention minor niggle would recommend hotel friend family would definitley stay . 
 Jan 19 2008 	 love Radisson Edwardian Mountbatten 	 Location , Location , Location ! visit west end , excellent choice . our room great amenity include safe , minibar , coffee service , pant press , iron board , lot wall plug . tv adequate channel , however . bath ample tub shower , dual sink . we breakfast restaurant -- well describe indifferent . concierge staff excellent -- help we get ticket sell - out British Museum show . but real reason stay location . plan spending time West end , perfect . close tube bus line , walk distance everything . 
 Nov 18 2007 	 bar staff rude unhelpful 	 write review hotel feel hotel standard really live expectation . arrive go room ( small dingy ) . bathroom bin empty full sanitary item unpleasant . contact front desk immediately upgrade suite much nice . evening return hotel see show go bar ( party 36 people ) bar staff tell we glass would least half hour would even able serve we . inconvenience i m sure would happy go pub road miss £ 180 one round drink ! ! ! DRINKS EXPENSIVE ! wait dining area serve us mouse run across dining area . group leader complain management yet know outcome . decide eat restaurant breakfast leave hotel instead . front desk staff help pleasant unfortunately will not return hotel . 
 Oct 15 2007 	 great location 	 enjoy stay London hotel . great location . I first floor room , overlook tree street . window could open , let fresh air street noise . ( quiet backstreet , nice street noise ! ) .The room standard size hotel room , bathroom stylish , although one morning hot water room . the staff helpful friendly . apart hot water , & quot ; complaint & quot ; elevator small strange habit due security system instal -- much complain . 
 Sep 30 2007 	 complaint 	 come London Dublin month business . company work corporate policy Radisson hotel . Most time hotel website cheap corporate rate also include breakfast , always check first , time corp rate well use . like hotel ( one book stay 5 star Mayfair Radisson 25 min walk away ) however would rather stay location buzz , bit less pretentious Mayfair much difference really . hotel small one way street , traffic noise etc issue . Soho , China Town , West end theatre etc within 5 - 10 min walk ... musical Chicago right opposite . if afford , take King Deluxe room overlook Monmouth Street , high floor possible . standard double room small , clean , small . I find front desk , staff general , excellent 80 % time , I m happy enough . breakfast fine normal english standard . I continue come London regularly foreseeable future , continue stay Radisson Mountbatten 
 Sep 9 2007 	 good location small room 	 good hotel choose convenient location theatre , shop tourist attraction , however room small bathroom need redecorate . think find well value hotel far away . 
 Aug 24 2007 	 GREAT SPOT 	 Brilliant Location especially could park husband nice lobby newspaper coffee shop 2 min [ hate shop . ] Theatre 's shop cafe within min need taxi overall appearance hotel pleasant bedroom disappoint small noise airconditione motor outside keep awake , stay long would reqeusted another bedroom .The Staff { } great bunch nothing much trouble allway service smile . breakfast selection excellent Afternoon tea great value money consist selection sandwich scone cake tea 2 people £ 9 .overall good place stay would certainly come back . mitch . Preston Lancs 
 Aug 15 2007 	 worst certainly well 	 book four room hotel European Family Vacation ( US ) . location OK . close tube theater . impressed breakfast . small room . 
