Weekend 	 excellent hotel Chicago weekend not mind take MTA City ( 30 - 40 minute $ 2 ) . fly , frequent shuttle pick ORD . driving - in weekend , hotel adjacent Blue Line Station get city . traffic maddening . they good fitness room basement pool area adjacent family . caution would recommend room end # # 14 , away freeway room set 1 bedroom . many room tv lazy Susan / dresser separate sleep area living area . thing , bathroom modern walk - in shower -- tub ... 
 Jan 29 2008 	 find ! 	 one nice hotel near O'Hare ... ' ve stay ! United Airlines put night recent cancellation ... usually get Hilton , book . little bad say place ! first , room quite spacious -- little large all - suite property . decor new fresh . parlor room flat - panel tv bedroom standard tube TV . bathroom large marblesque . joke wife shower -- came say , & quot ; Whew , close -- almost get lose ! & quot ; shower big . minor gripe room : blind -- tough close . also , bed super - comfy , pillow pretty weak . big gripe bed queen -- sure king ... sleep king home , we seem cramp . club - level room -- low - level elite status Marriott , sure standard room different . restauant amazing ! Saturday night shortly close -- people . service great , food ... signature pasta dish , die . next time United strand O'Hare , will request hotel Hilton , even though be 10 minute ORD . 
 Jan 18 2008 	 great hotel 	 reserve room ParkSleepFly.com . got room night flight night return flight . include parking duration great price . reserve 1 suite four us fantastic . affordable separate room less hotel . really grand hotel . service fantastic except one bar waitress horrible . entire hotel non - smoking , smoking area outside around corner front door . we return hotel accommodation flight on - provide available rate find ParkSleepFly.com . 
 Jan 12 2008 	 Best Park Sleep Fly money . 	 use Parksleepnfly.com book recent trip select Renaissance Chicago O'Hare cost , location , factthat cover parking . beautiful , clean , quiet hoteland parking indeed cover attached hotel . feel safe leave car . order room service alone , serve real china promptly . would recommend hotel , especially fly O'Hare need park car . shuttle convenient . 
 Jan 9 2008 	 convenient location State Arena O'Hare 	 spend one evening hotel business trip . suite room spacious set good . pro : convenient location O'Hare State ArenaConvenient access train O'Hare downtown ChicagoLarge glass showerbusiness area easy useDecent restaurant bar areasStarbucks sitecon : bathtub ( not bother ) hot exercise areautilitarian pool area ; fine business traveler seek exercise , would not recommend familiesgood value . 
 Dec 23 2007 	 Excellent airport hotel 	 usually stay downtown visit Chicago time downtown rate high try airport hotel offer suite quarter price . location offsite airport complementary shuttle seem run quite frequently . hotel also short walk distance cta blue line stop get downtown 45 - 50 minute . nothing interest walking distance hotel . the suite satisfactory - average size comfortable good condition - great value money . whole property feel fresh . room service little disappointing quality , be also starbuck lobby small fridge suite . highway cta blue line track next hotel 's moderate amount noise - may therefore want request room quieter side hotel . ride cta blue line downtown slow economical . 11 pm , train still quite full guest hotel Marriott side highway ride train . overall highly recommend park fly , early flight O'Hare , quick stopover Chicago , budget alternative downtown hotel overprice . property : 4/5 - service : 5/5 - cleanliness : 5/5 - location : 3/5room : 5/5 - Amenities : 4/5 - view : 3/5value : 5/5 ( pay $ 109+tax / night weekend stay ) overall : 4.5/5 
 Dec 10 2007 	 Excellent Stay - Park 	 stay w / spouse part park fly package . 's great option since leave car 10 day cover parking . suite clean , well appoint , super comfortable bed ( prefer Marriott ) . staff attentive epitomize customer service . complimentary shuttle Ohare ( 5 minute drive ) . will definitely use park fly option hotel point ! great place stay ! ! 
 Dec 8 2007 	 Superb 	 Excellent start finish . bed wonderful . 
 Dec 3 2007 	 great place stay park fly ! 	 recently stay hotel one night order park fly O'Hare . hotel far exceed expectation . room nice clean . shuttle wait right outside door able leave car 10 day . price could beat . I recommend hotel next time fly O'Hare . 
 Nov 28 2007 	 Love stay 	 two night hotel downtown move stay last night love .Nice design hotel , new , friendly staff , big room , clean , easy get airport .if go Chicago agian stay 
 Oct 29 2007 	 GREAT Family Getaway 	 family 3 spend 3 - day weekend Chicago , drive north St. Louis . selection hotel base primarily attractive weekend pricing , & quot ; suite & quot ; arrangement , course indoor pool ! stay excellent . easy enjoy hotel ammenitie . reviewer note , 30 - 40 min ride town blue line . stop adjacent hotel make convenient . since leisurely trip we , ride to / from downtown Chicago not problem . purchase 2 - day visitor pass $ 9 work well . ( note : room end close train track / freeway hear train night . not keep awake , wake several time night ) .The room well equip , large . use sleeper sofa & quot ; living room & quot ; , bed take floor space . room coffee service area nice ( hold make Starbuck 's lobby ! ) . fridge also handy . notable room & quot ; olympic size & quot ; shower ! huge seem could run lap within ... husband use fitness room say excellent . we use restaurant hotel price seem high . eat downtown meal exception one evening go Bennigan 's across street hotel . 
 Oct 2 2007 	 overall good deal ! 	 stay hotel last weekend September . really close Ohare airport . big positive . overall , hotel clean look excellent condition . Starbucks lobby area . room bathroom nice ( suite setup ) . 24 hour gym well keep easily accessible . parking steep $ 20 night . garage right next hotel seem like bit scam expensive . arrive Friday night receptionist front counter check rude seem like fluster perhaps work many hour . first encounter hotel certainly paint good picture mind . however , speak hotel manager night , satisfied . manager apologize employee 's behavior waive parking fee weekend . think specific girl front counter employee either bad day bad attitude general . either way , every employee encounter extremely nice helpful . I use room service house restaurant /bar ... ' m unable comment . unfortunately bad experience receptionist think truly isolated incident . parking rate bit steep consider fact anywhere near downtown . summary , hotel nice ... probably rate around 3.5 5 . 
 Sep 30 2007 	 Great Choice -- could change thing ... 	 stay Renaissance O'Hare Suites 2 night . family 4 ( parent 2 teen ) enjoy extra room offerre & quot ; suite & quot ; hotel . suite one room , w/ 2 queen sofa bed . low set drawer w/ tv top divid two area . ( suite hotel stay offerre 2 separate area , w/ 2 tv 's ) . hotel still feel fresh new clean . bathroom large , vanity area inside bathroom ( 1 sink ) across over - sized glass shower ( privacy ) . expect family stay one room like , help able 2 people get ready time separate vanity sink area , least shower curtain ! ! room sleep 5 glass shower really silly , opinion . sofabe linen room , blanket quickly deliver w/ one call . business area 2nd floor print boarding pass , helpful . restaurant expensive tired order take - out Bennigans ( across parking lot ) walk bring back . staff helpful direction courteous . use airport shuttle 5 am , appreciate amenity . the location one block Blue Line incredibly convenient . would choose hotel need airport location . 
 Sep 28 2007 	 good hotel business 	 stay attend training session hold work hotel . room great - large good amenity work ( separate desk chair , etc . ) . front desk staff bit indifferent . seem interested talk rather pay attention task hand . 
 Sep 11 2007 	 Lovely indeed 	 stay group friend 24th birthday . able get room right next door even upgrade executive suite . room clean comfortable quite spacious ! conveniently locate next blue line easy transportation back center city . front desk helpful direction especially we not familiar Chicago area . 
 Sep 4 2007 	 not quite get yet Renaissance 	 Hawkeye & amp ; Cub fan town Labor Day game , room Loop hard find weekend daughter ' college move - in . go Rosement , minute I90 downtown . hubby check Friday , arrive Saturday 4Pm . 's good thing another room second room ready well 6PM . pet peeve -- wait room ! Marriott ? shame shame . to defense reception staff , embarrassed . tell relax go dinner would use room . try get two room near one another -- around corner . the hotel large well - place interstate , block & quot ; L. & quot ; be far great forest preserve use morning walk / run . come back breakfast -- include -- expensive get buffet . the staff pleasant morning , quick & quot ; good morning & quot ; & quot ; good day . & quot ; not anything really bad not get good feeling hotel . second room smell soooo bad . blind hang . shower head hair away explode . still , room clean . bath marble . price right ( $ 119 ) . problem ? perhaps design . really european orange beige . living room small bedroom . be usually enough complain Trip Advisor Forum . think , think little thing . feel like cheap luxury ... upscale wan na . not think would stay , family looking value , work . ' sweat small stuff . 
 Aug 25 2007 	 Great Hotel 	 first visit Chicago , not know expect . want hotel match need , find . renaissance comfortable hotel , free shuttle airport breakfast ( use & quot ; stay Breakfast & quot ; rate ) make great start day . not want car city , not need one .... Blue Line train short walk away hotel although admittedly take long time reach downtown Chicago , apparently work towards fixing . 3 day , 3 day train ticket cost we $ 12 .... great value ! ! city like Chicago , hotel go expensive , choose stay close O'Hare , rate cheap think great value money . not seem lot immediate area , hotel serve meal ( not try , except breakfast ) use hotel overnight flight base explore city lack surround restaurant entertainment would not problem . ok , 's heart city , lack central location certainly make comfort , cleanliness accessibility . reception staff excellent ... arrival ask good way get White Sox stadium , almost closed door , receptionist door computer printout . would not hesitate stay , recommend hotel friend . 
 Aug 13 2007 	 shuttle aiport great . 	 husband park fly great . shuttle run time return call come 15 minute . international terminal . room great couch . shower big . car park cover garage . use next time fly . 
 Aug 7 2007 	 great airport hotel 	 use Parksleepfly.com book hotel . great deal . wonderful , large clean room great price . $ 140 5 day parking , free airport shuttle hotel one night . staff friendly informative . hotel short walk & quot ; L & quot ; stop easy access city . shuttle employee nice even make special stop we get drink snack little store street ! 
 Aug 5 2007 	 go someplace else 	 use trip Advisor much , may know many review write . travel significantly business write review almost every stay . stay hotel family ( 5 room total ) , far , bad experience year . text e - mail write business sale manager director operation . sums experience . molly – tough job . book 5 room family get together past weekend property ' plan ever come back . ' e - mail address father - in - law come Thursday , ' GOLD Marriott member . ' platinum later year , ' platinum Holiday Inn , Silver Hilton . tell FACT , hotel bad property ' stay year . Saturday , speak manager twice hotel problem nothing substance do . manager even tell ' Front Desk Manager contact come seniority . contact ever make . if care improve property , ' pointers.1 ) train front desk acknowledge reward member . survey ' get Marriott ask question , hotel ' say word.2 ) two room name place we 4th 12th floor . think maybe property book ' leave brother - in - law check place 12th floor . room type room 4th.3 ) teenage son make bed find blanket " extra " bed packet . call service line resolve never need make call . ' stay numerous property ' use extra bedding first time sheet missing.4 ) whoever decide " cool " " warm " good choice HVAC obviously never stay hotel . digital HVAC system disgrace ! 5 ) morning paper.6 ) charge internet , another disgrace . charge internet similar " energy " charge hotel try several year ago . may look like money maker , traveler remember property take advantage via fee . unjustified fee come back haunt long run.7 ) room wet spot floor bed check . 8 ) Saturday morning towel pool . wait 20 minute ask front desk.9 ) hot tub pool area ' work.10 ) return room pool Saturday morning , find half dozen insect sort wall ceiling room . duty manager capture cup maintenance staff.11 ) start show Saturday morning tub handle fall . show manager duty maintenance staff remove bug room promise fix . simple screw need . job never complete . the manager duty suggest e - mail john Harper concern , ' do property embarrassment Marriott name . however , staff , inattention issue , create significant amount ill . check Marriott property , set expectation . expectation base pervious experience Marriott property . conclude experience Mr. Harper ' ' know manage hotel serious staffing issue . either way something need change plan succeed . many people try hotel proximity airport , Marriott name , etc . anyone experience group never come back . 
 Jul 20 2007 	 love 	 great hotel . excellent location far Rosemont theater , Donald E. Steven conventation center , O'hare Chicago Downtown . execllent service .. 
 Jul 11 2007 	 great room 	 stay one night Renaissance Chicago O'Hare Suites , June 23 , 2007.I take free shuttle ' Hare airport , wait 20 min shuttle show take Renaissance Chicago O'Hare Suites . go back airport shuttle time work well . stay standard room king bed . clean , fresh , safe , large enough , bed comfortable , bathroom big , good water pressure shower . quiet could much guest hotel . air condition quiet work well . room two tv ' enough channel , nice sofa well . on premise good restaurant nice pub . lobby large could seat relax . staff nice four elevator fast efficient . ask late check problem . small complaint internet access business center rather expensive . pleased stay Renaissance Chicago O'Hare Suites , would mind stay . 
 Jun 19 2007 	 great hotel 	 stay Renaissance three night take El downtown daily . able get room Priceline $ 60 night plus $ 20 night parking . even consider 50 minute away downtown loop , well worth stay , especially great per - night price have . the El minute hotel El bus easy use Chicago . buy three day pass $ 12 per person use heck . never wait 7 minute transportation usually way less that . our room 9th floor look exactly like ' candid photo ' reviewer post . love spacious , new bathroom comfortable bed . suite big plus , . ample drawer closet space ( two closet . ) thing not like decorate may personal preference . living room section ' impersonal cold ' opinion . another reviewer mention , look bit like office waiting room . bedroom not feel quite ' cold . ' we would definitely stay Renaissance , especially price differential sizeable hotel downtown Renaissance , since commute not bad all . we not hear airplane , even though take - off directly hotel . not hear highway El train , either . not hear anything ! 
 May 30 2007 	 wonderful experience 	 stay Memorial Day would agree past positive review . positive - staff great , nice new room , wonderful bed ( double queen available ) , 2 tv , sofa bed , nice bath , great pool / sauna / whirlpool basement , & lt ; 5 min walk El , ~50min loop . neat mint shampoo . negs - lot kid weekend take pool ( may isolate incident ) , park 20 $ , fridge cool . would definitely stay . 
 May 30 2007 	 expect well little office - like ! long review ! 	 recently stay hotel 3 night Memorial Day . hotel 16 story locate next I-90 , El train , 1 mile O'Hare - directly flight path depend wind . when arrive , greet nice staff front desk give room Club Floor , Room 1625 . upon enter , living area room . arm chair , 2 little square table , sofa ( sofa bed ) , desk , chair , tv mini - armoire contain little refrigerator in - room safe . Club Lounge would closed weekend , give coupon free & quot ; full service & quot ; breakfast . room face west toward O'Hare . something bug living room , take figure . bedroom feature king - sized bed , another tv closet contain iron / board , clothe steamer / refresher robe . bathroom fairly large , stall shower ( tub ) least 3.5 foot x 5.5 foot , hand - hold shower . problem shower 1 ) door open water get floor . 2 ) handle inside door 3 ) place sit shave leg lady ! 4 ) kind dark ! plus , unless size 6 , robe will not fit ! , day go , notice several thing wrong room . honestly , high expectation Renaissance , base partly review , let down . the carpet 3 large stain inside door . door difficult open close . corner shower , lot mold grout tile near floor . water pressure minimal water pressure well , toilet seat loose A / c smell mildew time . wound keep day . crumb floor table furniture really beat . table cracking desk big gouge , leg . club level room , . place really Marriott standard . point , finally realize dislike living area . way set make feel like sit someone 's office ! hard explain , really comfortable . the bed , part Marriott 's new bedding package , fairly comfortable , neither feather bed top mattress comforter fluffy full . need wash fluff . honestly , regular blanket thick . yes , get warm , like cold room nice , fluffy quilt ! give front desk list problem room . really hate move room , gal insist go eat breakfast stop back new room . breakfast another story . coupon say & quot ; full service & quot ; mean able order menu . well , tell get buffet . not bad . actually , omelet cook real , melt butter good . , server ask want toast English muffin ( toaster standard Marriotts ) , get Orange juice . get little shot strawberry smoothie good . the buffet egg , bacon ( cold soggy ) , sausage , fruit , cereal , oatmeal cream wheat , breakfast potato ( pepper onion course - yuck ) muffin coffee cake . coffee cake really look Entenmann 's Sara Lee variety like get grocery store . ? tell - tale aluminum foil cake pan mark side . eh . chef nice , server ok.returne desk move room 1630 one corner suite . look like photo Marriott website except drape , 2 type shade - a sheer black - out shade . sheer shade bedroom would go ! room large . living area size large hotel room ! Closet , tv , dining - room table 6 chair , stereo lot speaker ( guess could use sort surround sound inclined ) , desk , couch arm chair . ' funny though , lamp close sofa reading ! big , ceiling lamp dining table , desk lamp nothing close enough sit read night . hmm . risk sound mean , Marriott need woman design hotel . least people common sense actually use hotel ! bedroom king bed , tv , another closet drawer . alarm clock even direction ! bathroom actual tub , hand hold shower . , inside one door , lovely dirty kid ' handprint ! great ! suppose even well room housekeeper not check inside door ! detail people ! ! ! robe room thick , fluffy size would fit normal - sized human ! least room not mildew smell A / C . view nice . see Chicago skyline distance . , get see highway El ! hotel noisy . much guest , train , car plane get nerve . live airplane noise , light sleeper , ear plugs MUST ! & quot ; wire business & quot ; package internet local long distance ( domestic ) call $ 9.95 per day not bad . parking $ 20 per day . food price bite high dinner . drink price bar reasonable . feature drink $ 7.00 consider amount type liquor , reasonable price . ( one Patron tequila another Marriott charge $ 10 shot ! stuff super expensive ! ! ) bennigan across parking lot hotel short walk blue Line train . ( Cumberland station ) . purchase visitor 's pass Cumberland station . different machine regular train / bus ticket . $ 5 , get unlimited ride El , CTA PACE bus . also , get either 2 , 3 7 day pass $ 9 , $ 12 , $ 20 respectively . pass great deal consider $ 4 round trip Chicago . , ride bus couple time day , pass pay . also get pass O'Hare , Union Station couple place . hotel free shuttle airport . never wait long 10 minute . overall , hotel staff nice , lovely property . however , need clean respect room public area . instance , & quot ; stuff & quot ; rug outside elevator 16th floor 48 hour . vacuum ! breakfast subsequent day well ; although take final day server ask want toast ! meet restaurant manager speak length issue . actually give coupon complimentary appetizer bar since Club Lounge close . steak quesadillas good . bar empty , save one couple . service friendly less attentive . wound leave due foul language use woman man sit bar . skip lecture use filthy language public . please , show class ! bill error checkout . charge many night ( coupon free night ) charge internet service two day , use . person desk seem bit annoyed fix . perhaps early ? would say 98 % staff wonderful . couple people need extra training customer service . with good rate , may consider return , hotel think well shape Renaissance . suppose upscale brand regular , full service Marriott . opinion , room little " cold " stark . guess new trend , make place seem much like " office & quot ; less like hotel . yes , gear business traveler , fine line office , hotel room space work . place office happen bed . ' horrible , good . , opinion . different stroke different folk . people love , ' . 
 May 8 2007 	 great room cheerful people ! 	 stay Renaissance O'Hare last weekend , great experience , overall . everyone speak hotel courteous friendly . issue ( discuss ) , none illicite bad behavior hotel staff . I fly 6 am , room wait ! suite spacious , huge shower , 2 tv , great view 5th floor . corner room close elevator right across vend machine , not bother . fact , love location ! never hear much noise hallway outside . bed comfy sleep well . the train station city short walk away ( across parking lot ) , perfect ! also starbuck lobby morning coffee fix . I order room service breakfast last morning , food quite good . also , shuttle service airport great perk . here complaint ( could not give perfect rating ) : -when arrive shuttle pickup area , call hotel tell have miss 6 am shuttle , one would arrive 15 min . shuttle suppose pick every 20 min . , start 6 am . well , 15 min . pass shuttle . also find another person stand door also wait shuttle ... since 6 am . call hotel , tell shuttle come twice already , would never see . finally , 6:40 , shuttle arrive . , not count service on - time.-i leave hotel room 10 am go 10 pm . course , expect maid service come absence . get back , find room exactly would leave ! complain front desk way , receptionist tell call request maid service sometimes not clean room ! ' ve much cheap hotel maid service every day . 
 Apr 15 2007 	 great hotel ! 	 mother , son , stay hotel weekend getaway . really wonderful hotel ! suite nice , love bathroom . tub , however , disappointment mother . shower huge though , be plenty space bathroom . bed quite comfortable , 7 pillow . television room , handy . book breakfast package , highly recommend . buffet breakfast restaurant , & quot ; Fresh & quot ; , delicious . along fruit , bread , meat , cereal , make order breakfast station chef would make omelet , pancake , waffle , egg , whatever . along breakfast get free strawberry banana smoothie shot glass , fun idea . stay breakfast package additional $ 15 , 3 us great deal . hotel also great pool area , include hot tub sauna locker room . pool huge . Friday night swim movie , show movie one wall pool area watch swimming . son love , really keep occupy ! far favorite thing hotel , though , staff . never see hotel staff seriously orient toward customer service . everyone come contact helpful cheerful ! front desk people great , restaurant worker amazing son . would absolutely stay hotel , heartbeat . 's great deal , far downtown Chicago . 's near subway station , need worry drive ! airport noise , fact noise kind room . great experience ! 
 Apr 9 2007 	 great weekend away Renaissance ! 	 mom , son ( 4 year old ) stay back July 2006 . write ( even little late ! ) wonderful weekend ! room like mini suite bedroom separate live area/ T.V . area . especially nice travel small child ! able explore downtown Chicago , come back hotel rest wake feel well - rest ! opportunity use room - service twice weekend . say even though expensive , food really great worth ! bed comfy bathroom huge ! $ 100 per night would definitely stay ! 
 Mar 18 2007 	 Perfection ! 	 husband surprised trip Chicago stay Renaissance . treat ! amazing room , like mini suite seperate sleeping area sit area . two tv 's ( big deal ) , comfortable bed ever , prompt service , lovely people , gorgeous bathroom . really one good hotel ' ve stay . rental car look like metro would easy way get downtown Chicago . thing bit hard time find place first . 's one location see hotel , figure get . call hotel 4 time sort walk we find . , easy get ... otherwise - fantastic hotel ! ! ! 
 Mar 11 2007 	 great hotel 	 stick Chicago overnight flight get cancel Ohare due weather . get voucher discounted hotel pay $ 65 night stay hotel . hotel clean spacious . bed one comfortable bed ever sleep . hotel staff friendly helpful . problem encounter wait good amount time shuttle airport come . probably wait 30 minute . luckily plan enough time miss flight . would definitely stay . hotel also close blue line station catch subway town . 
 Jan 28 2007 	 comfortable stay 	 book stay Renaissance Hotel Chicago O'Hare website www.parksleepfly.com go Austin come back evening . thought get good rate $ 107 plus tax 4 night parking ( could 14 night rate ) lovely room . room quiet ( request ) , bed pillow comfortable , room extremely nicely appoint sit area aside bedroom . check staff friendly competent . shuttle reliable , timing might work 20 minute departure pickup . nice toiletry see . stay expensive hotel would put accomodation well . bad thing find shuttle pick point O'Hare suppose easy find red foot print . red footprint ? good walk baggage pick . 
 Jan 19 2007 	 good point annoyance 	 choose hotel due proximity office would work time Chicago . overall , hotel clean staff competent time . room clean , spacious well design . notice sloppy construction finish work room . the hotel 's restaurant , breakfast , serve lukewarm coffee first morning . quickly replace hot coffee food so - so . also find restaurant rather dimly light hard read newspaper . recommend table near window although cold drafty cold January morning . the big annoyance parking lot validate ticket never seem work . several time try use ticket , re - park car return front desk . all , good stay nothing spectacular . comparison hotel area , average . 
 Jan 15 2007 	 Excelletn hotel ! Great Service ! clean ! 	 really enjoy stay Renaissance . pickiest person know come hotels complaint room service . staff friendly helpful . ask corner room get 2 room suite door bedroom . room clean nice large bathroom . book hotel $ 89 weekend rate Marriott website . visit business center print boarding pass . business center charge use computer except one computer free use access airline website print boarding pass . find shuttle slow wait 30 minute pick O'hare . see shuttle nearly every hotel near airport callied hotel 2nd time tell shuttle leave hotel every 20 minute way . go back would take train Cumberland stop , go across bridge right side road , walk 2 minute hotel . find room quiet even though could see plane land lot traffic highway . room 8th floor . overall think great hotel obviously fairly new well maintain . not eat restaurant except corffee morning Starbucks lobbby . 
 Jan 2 2007 	 good .... spectacular 	 family stay Dec. 28 - Jan 1 . quick take pro 's con 's : pro's:1 . spacious room well appoint ; bedroom seperate sitting area.2 . large shower3 . courteous staff4 . Starbucks lobby area5 . nice bar area drinkCons:1 . noise train El awful .... 12th floor face train station could hear every train go late night early morning . ask room noise bad . ( guess lower well , ... ) 2 . matresse ok .... nothing write home about.3 . housekeeping replenish shampoo , etc . day . minor , annoying . 4 . three seperate time deny exit parking garage ( automatic ticket scanner ) go front desk rectify situation . third try , credit parking fee ( $ 20 / day ) park lot across street . suggest long weekend . week must park garage risk tow ... eat restaurant . 
 Jan 2 2007 	 hot cold 	 stay couple night strand cancel flight . 's hot cold : hot:1 . excellent value - pay $ 69 / night airport coupon . 2 . reliable shuttle - bunch us 5:30am , shuttle get on.3 . room service - fast tasty , good room service food ' ve ever . great veal ravioli.4 . Roomy - suites nice extra room.5 . huge bathroom - shower twice size typical shower . tub.6 . comfortable bed - important airport hotel.7 . quiet - plane fly overhead , hardly hear them.8 . 2 tv 's - nice remote control disputes.9 . staff - friendly helpful.10 . Mini - Refrigerator Cold:1 . actually , heat problem . warmer normal Chicago December , hallway 80 degree plus . room not much well lower thermostat Cold not help . never fix . open window cool room let noise , too.2 . tv channel - choose from.3 . housekeeping - Came 5:30pm never replace anything bathroom except towel . call shampoo.4 . vend - Pepsi machine problem . machine floor would not take bill . try next floor come Pepsi even hot air temperature.5 . pitiful gift shop - really gift shop not call one . couple cooler next front desk drink sandwich . also , snack toiletries.6 . nothing close - office park area restaurant nearby except Bennigan 's , even not close.7 . starbuck close early evening . the good outweighs bad would much well without heat situaton . certainly good value would stay get similar deal . 
 Jan 1 2007 	 get room ? 	 book one night stay directly hotel connect room . say 2 queen room connect book two connect queen room . arrive , informed room connect , 2 queen room connect ! get king 2 queen room connect river ... not get second room 4:30 ! hey , check 3:00 ! nice room , nice hotel . , late check pretty much ruin stay . man , call make sure reservation go honor hotel directly ? complain , get whopping $ 25.00 one room ! time worth $ 25.00 one half hour hotel . sorry , can not recommend . 
 Dec 31 2006 	 Fun Time Windy City 	 family stay week Thanksgiving wonderful . room nice spacious . clean well . bed actually comfortable hotel bed . swimming pool hot tub area well keep . massage first night great . nice professional masseuse work . main restaurant nice . dinner menu little small , much choose . tell lobster bisque delicious . breakfast buffet nice selection gourmet style egg , bacon sausage , nice fruit spread . price little high breakfast buffet $ 20 per person . starbuck main lobby not open 6 a.m. kind bummer . ready coffee 5 a.m . beautifully decorate Christmas several tree gorgeous winter scene . would definetly stay hotel . 
 Dec 24 2006 	 good bed + shower + frig ; room / suite design varie ; weekend deal possible 	 December weekend rate especially good Marriott reward member , $ 89 plus tax . 2nd stay we ; bed comfortable large tile / glass - in shower well equip still good water pressure . refrigerator welcome feature . possible walk hotel adjacent business complex & quot ; El & quot ; run O'Hare Chicago 's downtown . Friday often quieter Saturday , weekend wedding reception party people gather . location , despite nearby expressway airport , noise bothersome . on first stay , two - part room ( living area bedroom ) divide wall , tv area . make sleep area cozy private . stay , ( different ) room wall one tv swivel could view either side -- open area work well wall separate tv . in - hotel Starbucks handy , good service bar restaurant . restaurant pricey dinner offset well - than - expect meal quality . there cover parking garage , great Chicago weather turn bad , beware , expensive add - on bill . 
 Nov 18 2006 	 Excellent hotel near ORD 	 evening arrival ORD follow early business meeting 15 mile north pick Renaissance first time ( usually stay ORD Hilton ) . happy hotel , excellent stay . check - in staff friendly fast , lobby common area bright clean . Room nicely appoint , clean spacious , large airport Hilton room , plus quiet despite directly arrival flight path . comfortable bed nice bathroom large walk - in shower well . view can not compete Hilton 's runway view airplane nut , not really matter . do not try restaurant dinner breakfast , Starbucks lobby plus O - Dark - Thirty checkout . no obvious negative business traveler 's perspective . stay . 
 Sep 29 2006 	 love everything ! 	 stay 9/20 - 9/25 business pleasure . LOVED location . room large comfortable one quiet hotel ever stay . really can not say enough hotel . would definitely recommend . 
 Sep 19 2006 	 would stay 	 stay Renaissance Chicago O'Hare work relate reason 9/15/06 - 9/16/06 . hotel locate close O'Hare airport complimentary shuttle 3x / hour . room clean quiet . arrive late evening , go next door Beningens 's late dinner , excellent . good variety beer tap . the Renaissance Chicago O'Hare right next Cumberland station Blue Line CTA ( Chicago Transit Authority ) take 35 minute go downtown Chicago ( Loop ) . take mintue walk hotel Cumberland Statin . fare $ 2 one way . would definitely recommend Renaissance Chicago O'Hare traveler come Chicago business purpose . 
 Aug 4 2006 	 nice hotel good service clean spacious room 	 stay hotel work conference hold Chicago . major plus offer free shuttle service to / from airport , close . hotel decor nice room clean , nice , spacious . & quot ; L & quot ; stop blue line take downtown airport . friend visit hotel , eat restaurant downstairs . food service pretty good . order room service couple time . complaint place one pick breakfast order night , not receive breakfast next morning expect . compensate mishap . apologize . forget toothbrush / toothpaste , front desk staff kindly give couple . hotel call cab service . sure ask ahead time approximately charge meter . problem one driver company call getting upset previous woman charge much less meter want charge $ 10 . overall , nice quiet stay . 
 Jul 18 2006 	 complaint except breakfast 	 excellent hotel would gladly return . find bed especially comfortable , contrary experience reviewer , room quiet . maybe depend location . upper floor well away highway face away airport . room overlook huge parking lot commuter office worker , could not hear noise , despite stay Thursday night . complaint breakast - food service mediocre . 
 Jul 9 2006 	 Great Pool Weekend ! 	 wife stay two night July 7/8 3 1/2 year - old swim weekend . overall , really great time minor hiccup . front desk staff bit hit miss . really friendly , knowledgeable GSA 's couple need little career counseling . suite immaculate rest hotel . hallway , ground public space clean well care - for . bell staff housekeeper friendly professional . pool clean upbeat music nice touch . towel availability pool hit miss , 's phone right call run . room large enough , true two - room suite . two & quot ; room & quot ; actually one room low dresser divider . single television would issue spend time room ; sort issue try watch tv get Mr. & quot ; ' m excited & quot ; sleep ! refrigerator , ice machine near elevator lobby . little thing like bathroom light switch instal upside bedroom blind break simple fix housekeeper could / should report . none thing keep we go back . pool great , fitness center nice ( open 24 hour ) hot tub hot . overall , really good deal average O'Hare area hotel . 
 Jul 3 2006 	 wonderful Hotel First Class Service 	 husband stay hotel one evening prior departure O'Hare Jamaica . also stay one night upon return home . hotel lovely . suite spacious , clean modern amenity include fully glass - in tile shower . Chicago skyline clearly view room . entire hotel comprise modern , art deco decor . & quot ; Fresh & quot ; , on - site restaurant also quite good . appreciate on - site starbuck well . the good feature hotel cover , secure parking garage . research park fly rate prior call 800 # reservation line . find on - line rate $ 129 free parking 14 day . call reservation # , quote $ 209 ! reservation center promptly honor internet rate . sure homework first ask low rate ' ve find . night return $ 109- also decent great hotel . finally , morning leave , struggle handle luggage two cup coffee . polite man approach we assist we car . sincerely friendly interested feedback stay . later introduce general manager hotel . impressed appreciative kindness assistance . we highly recommend hotel , especially park fly option . 
