third 	 character hotel . luxury . uncomfortable bed / pillow . could not sleep . room amenity , even mini - bar . cheap get pay . . . 
 good 	 good stay , nice place .. access pool casino strip .. prob regard view room .. get seventeenth floor .. still able get good view : ( u specify tht u check 
 Perfect place wedding ! 	 beautiful suite enjoy every minute ! hotel perfect spot everything . close show , hotel dine . hotel clean bright , full life ! attede wedding do nice well . simple , nice . room neat clean . 
 Oct 6 2009 	 great location good hotel ... 	 find great deal Vegas on - line decide see would like summer , December , deal find include two tix selection show , Beatles fan choose LOVE show disappoint , entertaining , must say like Vegas monday friday , weekend busy seem shut good pub live band , go one New York New York last time great ... lay back really talented band shut also pub Monte Carlo shut , like almost every type music could not find live rock roll band lot rap music thing . pool M.C . nice staff helpful , room great spending lot time room Vegas ? oh yeah price thing go .. beer $ 7 buffet $ 24 drink less glamorous place lot less .. one thing go old Vegas try Golden Gate restaurant good shrimp cocktail excellent service 
 Oct 6 2009 	 go downhill 	 spend 3 night Monte Carlo , disappointment . check - in , wait unorganized line , give different room reserve pay . know arrive room immediately go back stand line . tell room first come first serve . complain want pay , room magically open . room filthy . vacuum stay . hear every noise adjacent room . restaurant way overprice food bland . well food food court . entrance Las Vegas Blvd . would think casino close , much glitz go . verrry disappointed plan return Monte Carlo . would recommend stay . 
 Oct 5 2009 	 great trip ok hotel 	 Stayed Monte Carlo 5 day , 4 night 5 girl . not first time Vegas , first time stayng Monte Carlo . arrive hotel around 1:00 p.m. one room ready ( 2 girl / room ) say room would ready 5 p.m. deal John front desk ; slow take we 45 min . check . something keep mind - $ 9.50 / day charge want use gym . enough walk Vegas probably not need bother gym ! check - in take long give comp buffet could use time stay . buffet great - lot selection friendly staff . the pool ok . awful sewage smell entire trip & quot ; lazy river & quot ; not fantastic describe . want rent inner tube lazy river $ 12 , well go next door CVS pharmacy buying tube $ 4 . room decent enough COFFEE maker ( must - have ) . food court hotel pretty decent selection . another tip - not want woken housekeep 9 a.m. , remember put & quot ; disturb & quot ; sign door . eat Diablo 's ( hotel restaurant ) one night . food drink great get weird rash leg sit chair cover ( really freaked ) . remove cover fine . the location great think get good deal price . lot hotel option though ! ! ! 
 Oct 4 2009 	 Lovely Place ......... 	 spend 4 night love ... could say one thing bad ........ would .... nice small refrig ...... get 's hot would nice place put cold bottle water ......... ect ........ realize 's want get everyone spend $ $ $ ......... .......... , would nice come back relax cold drink ........ refresh ready next round ....... love Strip can not wait return ..... would also nice ........ Hotel would inform client ........ ........ .. Shop 's ect ......... floor one .......... give info .............. 
 Oct 3 2009 	 ideal location fab holiday 	 find great mix age whilst . one quieter casino town . room 31st floor spacious clean . room attendant hard work courteous time . champagne buffet brunch great value money . 2 glass champagne could want . casino bit mixed . drink attendant unattentive time one especially rude . pool good although shaded time could cold side . pity do not open 0900am . would come back hotel . great hotel price , location comfy bed do not expect nightlife great . go elsewhere nice come back quiet spot hectic day / night . 
 oct 1 2009 	 great location average hotel 	 early flight , send request hotel early check - in . arrive around 10 am , queue 30mins check - in desk , tell room would not ready 2 pm ( check - in time ) give we number call check room , however keep call call not get answer . we eventually get check - in room 5 pm ... 3hour tell room would ready ! not impress want rest relax afternoon big night Vegas , instead walk around day wait room ready . get room , shower not work properly build work go outside 24hours day , keep we night . on second day room not clean , complain ask someone come left ( 20mins ) . someone come straight away send away call request someone clean room leave . come back later night room still not clean . complain rather feed whole experience , get credit restaurant , still leave bad taste mouth hotel . suppose 4star hotel , definitely not get 4star service . would recommend want budget hotel rubbish service ! 
 Sep 30 2009 	 great hotel location great price ! 	 arrive LV 1.30am , see promotional price well - locate hotel , manage get comfortable room 3 night $ 55 - $ 69 per night . whilst room mean new , service good , valet parking convenient , spa ( separate men women section ) real respite casino 's bell whistle , exceptionally clean ( access cost dollar per day ) . pool area lovely , margaritas excellent ! 
 Sep 29 2009 	 Great Value money good location 	 look stay strip want spend fortune Monte Carlo Hotel place stay . well locate & amp ; within walk distance top hotel find hotel reasonably price good level service & amp ; friendly staff . viste several popular hotel attraction nice come back busy hotel end night . well still bus stop right outside front door way home ! ! ! ! ! 
 Sep 29 2009 	 great location - ok hotel 	 hotel ok , wish check hotel seem much well option . book room though Delta Vacations also since & quot ; high roller & quot ; , give room 5th floor view A / c unit slight view pool . pros1 . great location - middle strip2 . pool great ( however staff could well job pick towel chair , hard tell chair still occupy ) ConsRoom so - so ( maybe due low floor ) . bed average , pillow great ( order extra room service ) 1 . thin wall 2 . $ 9.50 / day resort fee include & quot ; print boarding pass & quot ; BEWARE - ask Concierge , say problem would we . ask sky mile number PIN . decline give personal information ( book ticket / access credit card info number ) , say business center close could print though . said & quot ; thanks & quot ; print airport.3 . lot construction around hotel . 4 . large building around pool block sun ( ok since 100 + ) , bad stay price - lot option . 
 Sep 29 2009 	 Overall - pretty good ! 	 return three night stay hotel / Casino . one well know & quot ; Strip & quot ; , nice , centrally locate Hotel . very nice room 27th Floor view Strip hotel . bit noisy night room face street 's bad . room could cleaner . mystery stain bedspread came change soon call . the Pool great ! three different area swim lot lounge chair relaxation . there regular food court inside hotel Subway , MacDonalds , Sbarro , Starbucks , Rubios Mexican , Haagen Das Ice Cream etc . there various restaurant . try sushi bar eat & quot ; Pub & quot ; & quot ; Cafe & quot ; . excellent consider Las Vegas , expensive . entree around $ 10.went see Mirage Bellagio - wow highly recommend . 
 Sep 27 2009 	 EXCELLENT 	 Monte Carlo seven night last week . room immaculate furnishing new . 24th floor . view decent strip . pool blast . lazy lagoon wonderful . room quiet clean . service always friendly professional . valet park whole time . tip ( optional ) valet hotel complimentary . drive always difficult due construction . great city great hotel . highly recommend Monte Carlo . price right service exceptional . 
 Sep 26 2009 	 Boring Boring ... boring . 	 clean , room fine , bathroom little small outdate , whatever . really think hotel snooze - fest - especially see fabulous one stay . Rio & amp ; Luxor cheaper , would enjoy . pool terribly crowd small , pool bar expensive awkward get . also , not help flight arrive 8 am not give room 5 pm . awful . service desk rude . Room Service yummy though well many vegas restaurant . want return vegas , certainly will not stay . 
 Sep 25 2009 	 Decent Hotel Thin Walls 	 recently return four ( 4 ) night stay Monte Carlo . room clean decent . complaint thin wall . upon arrival place room next extreme partier , however management security quickly handle matter issue . second morning husband awaken describe " scream Passion " . soon discover couple side celebrate anniversary . celebrate birthday anniversary could definitely understand , wonder anyone hear celebratory noise well . nevertheless room hotel staff great customer service awesome ! rate receive hotel room great , would stay regardless rate thin wall . believe construction noise minimum compare neighbor . buffet hotel also good . 
 Sep 25 2009 	 monte carlo las vegas great experience 	 stay monte carlo las vegas 12th-18th september.i stay two reason , one price reviews.the review mixed whole tripadvisor seem give balance favour hotel.the hotel elegant feel like upmarket hotel price would indicate.the room good , spacious clean quiet.the housekeeping excellent.as arrive late leave early really comment checking desk find staff friendly helpful.the casino area much quieter casino visit hotel turn blessing.the complaint buffet food bland choice good ( look forward nice roast beef dinner beef rare feel blood transfusion want loaded roast potato cover cheese ) go elsewhere eat try dragon noodle hotel .the location though brilliant deuce stop right outside hotel difficult get certain time day.i would return hotel would recommend especially slightly mature people look hotel busy offer plenty free drink offer value money.the player card good use lot hotel do not use comp buffet -- jim conquer 
 Sep 24 2009 	 Excellent positionally 	 hotel excellent position strip las vegas . room excellent standard good housekeeping service . staff welcome extremely friendly . offer great plenty quite amenity choice plentyful . value money extremely fair food good standard . the poker room probably one well organise manage room vegas mention welcome staff . would advise anyone look nice alround hotel stay . 
 Sep 22 2009 	 nice hotel youthful . 	 go husband 's family nice clean . not seem youthful . seem like great senior crowd . go night always go somewhere else . 
 Sep 22 2009 	 simple hotel strip 	 wife book something different form normal hotel stay . front desk helpful get we room ... 25th floor strip view . .. strip view really not strip , way hotel set hard get great view . hotel simple , nothing fancy overwhelming . casino busy other strip make nice place play table . look simple place stay nice room , first time Vegas look bit thrill may want look elsewhere . 
 Sep 18 2009 	 FANTASTIC experience ! ! ! 	 would HIGHLY recommend stay Monte Carlo ! GREAT location close everything , GREAT price , room average clean ! not complaint , would definetely stay . nice pool - busy , clean loud like expect . clean comfortable , quiet , close Walgreens / QVC , walk distance everything Bellagio / Paris / Venetian MGM / Excalibur / NYNY / Luxor , course CityCenter . unless want spend 3X money stay 5 - star resort , would HIGHLY recommend Monte Carlo ! sell 4 star hotel . 
 Sep 16 2009 	 pleasantly surprised 	 sure have book hotel would read review first . glad not read review . arrive monte carlo 9 pm saturday 5th september busy night year ( tell ) , wait check , pleasant helpful receptionist give we room next door floor 26 great view . room good size well equip , little tired hotel one old one strip . problem get 4 sun bed sunday morning , pool area busy bank holiday suppose would expect , music louder normal add atmosphere , wave pool fun lazy river well lazy . great time monte carlo would problem stay . hire car drive death valley , hoover dam lake mead feed ever grow fish ! ! ! ! recommend cirque du soleil love beatle show mirage . 
 Sep 15 2009 	 great stay 	 visit Las Vegas stay Monte Carlo . great location , right strip close ( close ) shopping casino . not visit Vegas , thing lot appear map prepare . after wait hour shuttle ( take taxi , two people cheap shuttle take lot less time ) arrive Monte Carlo . check smooth upon arrival room wife allergic reaction clean product leave strong smell . go back front desk ask switch room . accomodate quickly get we another room . & gt ; room large clean . bed comfortable bathroom nice . construction nearby , noise not big factor . neighbor keep we late one night , Vegas imagine happen time . elevator quick never wait . & gt ; casino large table game , slot , sport betting , ect . waitress provide drink regularly . nice atmosphere around . & gt ; pool , lazy river , wave pool AWESOME . great way cool hot , hot Nevada day . drink pool expensive . & gt ; restaurant hotel good , nothing spectacular . lot choose though buffet steak house fast food everything between . & gt ; Shops okay hotel , not browse much . all , good stay . friendly staff , great casino beautiful pool . would recommend . 
 Sep 14 2009 	 complaint 	 although MC would rate 5 - star resort , group eight could find little complain about . the pool area plenty lounge good service waitstaff . might little trouble finding & quot ; prime & quot ; lounge get area peek time . Saturday Sunday large crowd Friday Monday , obvious reason . even though sign state bring outside beverage , rarely enforce . keep glass cooler . the food court provide inexpensive meal option quick breakfast lunch . the casino never feel crowd stress . easy move machine table . dealer willing offer tip suggestion inexperienced better group . location resort perfect explore strip prime spot City Center open . we would gladly stay , especially right price 
 Sep 13 2009 	 Nice Casino / Hotel room far would expect 	 first , must say read casino review Monte Carlo make reservation . review bad complimentary . however , stay , definitely confirm negative review read absolutely correct ( sure read ) . book reservation online premium , non - smoking room . upon arrival 11 pm , tell room ready .. believe ? , wait room clean , ( keep mind hotel check - in time 3 pm ) . anyway , finally get go room discover someone else already assign room # ( pathetic ) . return front desk get another room # since obviously assign wrong room # . total incompetence name front desk employee . get WORSE .. get inside room notice follow : 2 queen bed instead king bed reserve , large pubic hair ( that s right ) bathroom sink , absolutely filthy bed comforter cigarette burn one blood - stain comforter ... disgusting . never really one complain , ridiculous casino / hotel advertise great room service . actually take picture pubic hair cigarette burn / blood stain comforter . intend forward Monte Carlo Management . would even walk inside room without shoe .. money pay , could stay well quality - control casino / hotel . satisfied aspect hotel , exception hotel room need major overhaul new linen , carpet , etc . definitely stay Monte Carlo .. expect much money . needless say , expectation initially high , every time enter room hit rock bottom . please favor keep walk strip Bellagio across street NY NY . 
 Sep 11 2009 	 Lazy River Blast ! 	 spend 2 night Monte Carlo . room fine . bed clean linen good . favorite part trip Lazy River . float couple hour . option rent tube whatever float . get pool early close 7 p.m. chair full day . casino fine . chandelier beautiful . nice view part strip . easy access parking . 
 Sep 10 2009 	 light bathroom Filthy room break furniture 	 leave early trip monte carlo room LIGHTS , filthy curtin , bedspread window . broken furniture . Wrote letter general manager secretary , also fill review web . site . reply ! ! ! ! ! ! ! ! ! bad way business . travel Vegas 5 6 time year never havewe come across problem ! ! ! ! ! ! ! ! ! ! ! ! player card do not work half time either . good part ice machine room couple sex , go elevator breakfast . 
 Sep 9 2009 	 would stay 	 Monte Carlo awful , room smell like industrial clean sheet fit bed . pool , advertise huge , serious disappointment -- tiny compare other area . plus , water disgustingly dirty dj blaring tune day long . relax scene , Spring Break feel . one main pool crowd could even find chair -- would sit cement . pool guy recommend walk two hotel Excalibur use pool , . pool fantastic - have adult section , 3 - 4 pool ton chair . pay Monte Carlo walk 25 minute Strip use someone else ' pool ? bad aspect hotel food . restaurant TERRIBLE ! ! ! spend last evening hotel 's steak restaurant , Brand , pretty pricey . entire meal taste smoke , even asparagus . dish , include salad , make two . world accomplish ? husband want order different side want salad first course . huge waste money . hotel 's redeem quality close main sidewalk oppose set back like Caesar 's . would stay . 
 Sep 8 2009 	 great hotel .... please ! 	 husband stay Monte Carlo August great stay ! hotel accomodate let we check room 11:30am . room spacious clean . pool view not find music loud like traveler mention . great thing hotel food court ! subway , Starbucks , McDonald 's , Rubio 's , quick chinese food place . nice convenient cheap place grab snack hungry . also , ALLOWED bring food item food court pool area ! ! save cash $ 5 diet coke poolside bring cup McDonald 's . People also & quot ; spiking & quot ; drink walk pool area since attendent pool ask review bag . drink poolside around $ 18 give idea . Hope review help ! : ) 
 Sep 5 2009 	 well bad 	 second stay Vegas , stay first time MGM , trip gift child graduate university . nothing really say bad Monte Carlo . MGM high standard resort trip . would compare room Best Westerns Canada . room 15th floor face strip pool . room quiet , clean plenty space amount time . check breeze arrive hotel 1230 , lunch time , room ready , fantastic check time not 3 . also check time 11 flight home not leave 1130 pm , offer we room 1/2 day rate , could keep room 8 pm . great service front desk , conceirge desk , ( help we book day trip also let we know get cheap ticket show ) . can not say trouble rudeness one person work hotel . we eat buffet champagne brunch , worth every penny , fair share champagne celebrate . also eat buffet Mirage find enjoy buffet monte carlo , mirage expensive . one thing really like hotel small make much easy get around . two show Lion King Love would recommend show two totally different type show also go gun shop tropicanna ave target practicea place visit would reccomend shark reef , minus 5 bar , roller coaster new york , ride stratosphere also go freemont st . night place eat roxy 's , harley davidison cafe , italian place new york . 
 Sep 3 2009 	 enjoyable stay - definitely stay ! 	 ' know Las Vegas hotel avoid use kind organize line management system check process , Monte Carlo one . seem jockey position front check desk , pray clerk efficient people ahead ' credit card issue . hate ' use " next line " approach set customary velvet rope guide guest line orderly manner . say however , stay Monte Carlo GREAT get room . room nicely update , clean comfortable , bathroom super - clean great amenity , hotel atmosphere nice . housekeep excellent hotel towel plush . downside room thin wall common hotel would go unnoticed except couple room next us rowdy obnoxious - lady loud , irritate laugh - chalk inconsiderate human behavior poor manner , nothing hotel . laughter good , 3:00 people try sleep ! lucky we go last two night . eat Monte Carlo buffet two time , breakfast dinner day . meal excellent wide variety fresh tasty food choose . breakfast traditional choice egg bacon also pork chop meat although could seem find toast , oatmeal eater like , raisin locate salad bar , brown sugar . shrimp selection dinnertime fresh shrimp large . dessert yummy usual . day cheap buffet long go Las Vegas , Monte Carlo good part eat buffet relatively low price : breakfast $ 12 dinner around $ 19 . food court come handy Starbucks craving hit , pizza Sbarro late night snack long day gambling . also McDonalds couple fast food place , eat Starbucks Sbarro . choose stay Monte Carlo Las Vegas trip cheap price $ 59- $ 69 per night Sunday , Monday Tuesday night . stay avoid hotel past year proximity City Center major construction project , seem almost do . room face strip never hear noise come construction – quiet . also brand new parking garage well light , wide space one clean garage experience Las Vegas . actually see security guard walk garage unlike property rest guard hut view surveillance video . bridge take garage hotel drop lobby close elevator ’ valet park schlep luggage casino choose use bell service . high speed internet $ 14.99 per 24 - hour . overall enjoyable stay definitely stay Monte Carlo price right . 
 Sep 1 2009 	 Nice hotel one good Strip 	 stay two night LA Anaheim trip . got good deal Expedia NZ , around NZD100 / night USD25 food beverage allowance . we give room 31st floor , one floor short top level . face swimming pool ( later ) , could not hear music , maybe be high . could hear almost time beep noise construction vehicle next door . almost finish build Aria Mandarin oriental next door still construction noise . one reviewer note water drain slowly bathtub also experience . however toilet flushed lot vigor , water feel like suck high speed ! ! safe provide room , tv still CRT ( flat screen ? ) , air conditioning good , refrigerator . location wise , be pretty handy New York New York MGM , long walk crowded footpath place north . especially exacerbate construction next door reduce width footpath . end drive everywhere , since self - parking free , much easy stress - free . one warning , not drive Strip , especially northbound 6 pm . will get stuck hour ! ! use back road connect hotel . the hotel look amazing outside , be past reception , everything become ordinary . casino not anything special , not shop centre ( shop , ' cept hotel 's one ) , food place open 24hrs Subway . compare Caesar 's Palace , Bellagio , New York New York , Monte Carlo far behind . parking handy , could find park outside main entrance , need valet parking inside car park building . the pool average , full people sit / stand around cocktail get slowly drunk . would give dirty look fun , guess whole thing target adult market family ! go buffet breakfast hotel since $ 25 allowance , lot good food buffet . attentive waiting staff , drink replenish time without ask . love omelette station , really sure pizza breakfast though . pastry nice . 
 Sep 1 2009 	 show age 	 casino lobby fine , room , hallway etc start show either age lack care . example miss picture hanger still intact , stain carpet ( get elevator proceed circular area one choose hallway ) name . nothing big , little thing eventually catch place . the pool quite small large resort . crowd imaginative like other striproom clean , maid staff friendly . location terrificoverall , plain average . guess & quot ; recommend & quot ; someone , would beg seek alternative buck . 
 Aug 31 2009 	 good location ok room SCARY elevator loud pool ! 	 go back forth two three . would not choose go recommend , would not say & quot ; & quot ; someone pay super killer deal stay again . my husband go two couple ( celebrate 40th birthday ) . overall , hotel satisfactory . room dirty , not exactly get pristine feeling . window dirty like someone else mention , room service food sit hallway least 12 hour . room normal . nothing really interesting special ... need renovation . one couple group get spa suite end change regular room . friend say , & quot ; nicely decorate ...... 90 year old grandmother . & quot ; also , room face pool ( ten flight ) could hear club music pool .... loud clear ( nothing like try catch catnap DJ mix Journey Lady Gaga ) pool nice . must get ASAP get lounge chair together group . like everyone else say mention , club music blaring noon five . not mind music much , pool pack full party people . really could not see let kid stay pool noon . get really crowd people stand around lazy river one side . people walk time , try ride tube , drunk give dirty look run stand drink $ 17 speciality drink . pool close seven ... think seem bit early , could normal Vegas . the casino ok . nothing write home . hallway outside Diablos ( well part pool area ) smell like rotten egg , casino bit stale smell decor . pump gross headache produce air freshener get annoying . watch elevator . friend ride room elevator lose control least floor ground level fall / crash ground . one hurt ( jar sore , hurt ) stick 45 minute .... little fresh air time , grow man cry . phone work one could get signal . despite , casino could get asap friend get $ 100 comp Brand . not think completely settle yet since couple day ago . tool everyone 's info . lead we large gripe . watistaff Brand pretty stuck well downright rude bad . Brand supposedly & quot ; affiliate & quot ; Monte Carlo . yeah , know may entity , RESIDES MC . sure not affiliate hotel . : : eye roll : : : friend explain waitress happen ( elevator incident ) , tell $ 100 comp charge room hotel go take care , waitress become pretty belligerent look we like lie . keep say & quot ; affiliate & quot ; friend keep say know not matter . hotel go cover call _ _ _ _ front desk question . waitress still weird friend say sarcastically something like , & quot ; wow , empathy amazing , thanks & quot ; minute later ( get drink ) see waitress retelling story manager ( pretty sure pretty work animate . ) know , long story , rude . drink good app day ( waitress fairly stuck ) fine .... nothing exciting original , ok . would spend money steakhouse like craftsteak rather waste wannabe steakhouse like . kind snobby wannabe hipster place back home run rampant Vegas ... spend money go real deal instead . one last thing .. really nice waitress casino . pretty blond mom 14 year old ( get work take back school shopping ) show friend figure 1cent slot sweetie ( work Thursday Friday night ) . wish remember name . thank anyway ! 
 Aug 31 2009 	 great location Great Value ! 	 stay Monte Carlo recent girl weekend Vegas great . great location strip , towards south end still central enough close everything . mention , Deuce Bus run strip anyway hop get anywhere need along strip . pool area awesome - probably good family / small child DJ / dance party happen pool - teenage / young adult vibe . sure time weekend . room clean modern , big bathroom , beautiful lobby area . construction go nearby would never know , never hear anything . overall , would definitly stay highly recommend ! 
 Aug 30 2009 	 want stay MGM Mirage Resort choose Bellagio 	 two month prior trip Las Vegas , begin search online great hotel deal . travel Vegas twice past , know layout Strip know Monte Carlo appear nice outside nice lobby . happen upon great deal Monaco Suite hotel book 3 night . day booking , noticed review website begin second thought stay resort . however , decide stay put keep reservation wait check make opinion Monte Carlo myself . the big day arrive flight arrive Las Vegas early . baggage claim breeze immediately charter Town Car airport take we Monte Carlo . arrive proceeded registration busy . pleased see many clerk work behind desk clean lobby . check immediately ask room would locate , low floor , ask place high . clerk ask floor 13 would ok , say proved oman resort . room pool side ask anything else read review loud pool DJ . clerk say would move another room next day face strip . room not quite clean yet , big deal 11 morning . proceed Forum Shops lunch Spago return Monte Carlo around 1 p.m. we immediately make room , conveniently locate beside elevator open door . sound pool music much worse anticipate . view City Center construction awful well . livid . call front desk ask could moved tell nothing available . tell early would move next day another room not want unpack sat couch . notice unusual stain sofa appear bodily fluid . point livid . leave hotel room , loud begin walk strip see go . couple hour prior dinner reservation , return hotel change dinner . boarding elevator , stop registration desk alert staff bodily fluid pool music . immediately move we room face New York New York high floor . however , walk door , notice room service tray sit beside door ( yes review room service tray leave day fact true ) . open door notice light powder room , ice bucket full ice , open bottle water , adjoining room door open . even livid , call front desk move we back 12th floor back pool side . get room , key not work maintenance employee let we . furniture tattere looked see well day . Monaco Suite potential . room spacious two bathroom plus . however , Monte Carlo not care go extra mile reach high level . when finally arrive final room call front desk alert would stay 1 night , time change hotel get ready dinner , would check morning . manager ask could fix problem , never really offer much keep we customer . 3,000 hotel room , know Monte Carlo something well could offer we , even mean pay . not offer change room type . next day check easy process check Bellagio . experience much different recommend anyone go ahead book Bellagio settle Monte Carlo 
 Aug 29 2009 	 avoid hotel expect service value money ... 	 start ? arrive wait eternity someone check we . seem young lady busy flirt yound gentleman bother . someone finally offer help , begin try sell we costly room high floor . book location due pool central location . frankly , pool staff fire ! unable get staff help us towel float .... & quot ; job & quot ; ( rude let we know job / problem ) . room average well . hotel strong smoke smell offer little attraction compare hotels strip . , would say Monte Carlo would good candidate next strip hotel implode make room something nice . 
 Aug 29 2009 	 pleasant nothing write home 	 go Las Vegas stay Monte Carlo three night . staff pleasant friendly , casino public area hotel room clean fresh looking . , not much special hotel either . not real theme , half fun Vegas . construction next door City Center , walk cramp sidewalk tunnel get Bellagio side street . say , need place sleep , nice place stay . 
 Aug 27 2009 	 great family kid 	 hotel great pool . kid enjoy wave pool lazy river everyday . buy nice tubing lazy river pool $ 10 . thing pool kid will go morning 12:00pm . , pool party begin DJ incredibly loud music . become crowd adult hang around pool alcoholic drink & quot ; happy hour & quot ; begin . well leave , otherwise kid may expose inappropriate adult behavior . food court hotel great convenient . get inexpensive breakfast quickly . really enjoy Lance Burton magic show hotel - kid love . room spacious clean . room high floor tend well condition . want peace quiet nap afternoon , avoid room face pool side . aside afternoon loud DJ pool party , Monte Carlo seem kid friendly hotel strip . 
 Aug 26 2009 	 okay locate strip entrance Diablo 's STINK ! ! 	 look beautiful lobby .... get front counter 7:50 , lady say check 8 am , come back 7:59am guy say okay check get we room . room small expect refrigerator . big casino ok selection food downstairs EVERYTIME walk past entrance Diablo 's theatre smell like rotten egg ! , great place walk strip Miracle Mile mall pretty close . pool also small expect . great place sleep get ready bed go . 
 Aug 26 2009 	 little worn 	 monte carlo show 's age strip , hotel room bit worn , maybe ' m judge unfairly stay suite venetian , mgm suite , planet hollywood , last time times town . room ordinary , worn linen small television . bathroom age tub drain slow water would rise whenever take shower . ask engineering help , say normal drainage rate . casino quite bit quiet ' m use , particularly attractive hip crown . well , least be well circus circus . 
 Aug 26 2009 	 good location everything else average 	 Stayed Monte Carlo begin August . email list book directly thru website email good deal 4 night ( include Saturday ) approx $ 260 total . check Saturday around 2 pm , wait minute turn . Jody , check we , every employee encounter stay prove friendly customer service orient . request king bed , non - smoking room accommodate , end handicapped room 19th floor extra charge . view City Center pool . mention , pool music definitely audible even 19th floor- especially loud Saturday Sunday . noise construction problem last day stay , back - up beep dump truck start 630 a.m. day . room clean , pillow bed definitely need update , least ' see stain , etc . maid service great , leave Disturb sign 3rd day , towel refresh bed make time get back hour later . a / c sort odd , never really get cold room even turn 60 one night . either sink toilet bathroom give faint sewage smell whole time there . I use fitness center one day $ 19 per day . everything need good workout : free weight , exercise ball , cable , whole line circuit equipment least one machine muscle group . treadmill fairly new look bike , elliptical stepmill well . could never fathom pay $ 19 per day use gym regular life , Vegas read hotel fitness center strip price similarly . money play downtown , difference amazing . slot strip especially tight . walk along strip sort mess right City Center construction ' do sure look great . also seem like timeshare people , porn card flicker , nightclub show ticket seller stand strip yell plentiful aggressive compare trip last October . feel like say " , thank " someone every foot . 
 Aug 24 2009 	 will not go back .. 	 Read review leave make note check bed bedbug etc . aware contruction request room away noise . well ..... bed bug room quiet bed soft ( well worn ) firm like ... may . yes bed look like need refreshing crumb cigarette burn . bad part .... notice something floor bathroom hair tile shower ( mine ) , next day still . make sure towel really wet left floor get new one wipe floor , bit grossed . Thought leave housekeeping tip may help turn tip leave clean .... also smell smoke over - power non - smoking room sleep sheet nose filter air .... best part stay location .. pleased breakfast staff cafe within hotel eat twice . not bother unless bring cleaning supply room spray . 
 Aug 24 2009 	 get pay ... 	 get back stay Monte Carlo sister . check around 1 morning 5 people work front desk . none actually check anyone & quot ; busy & quot ; ( 2 rude girl girl flirt 3 guy ) . one girl finally take we . take 50 minute check we . one person check , quite ridiculous . order fridge not come next day call . not leave we single roll toilet paper , upgrade high floor get recently renovate room ... would hate see room look like . hotel smell like rotten egg ( literally ) good thing hotel pool , food court location . although pool drink $ 17 large , would suggest bring booze water bottle pool ! want take nap rest afternoon would suggest get room face pool DJ play music afternoon . not bother we might bother people . also , make sure check credit card sister get charge extra ( ex . fridge 15 night 2 night get charge $ 55 ? ! ? credit card ) shame , hotel could great need facelift . be worth pay little bit get well service . 
 Aug 23 2009 	 2nd stay complete disappointment . 	 2nd stay . repeat visit good time first time . first room promise be not available unless pay $ 40 simply room & quot ; upper floor & quot ; . get substarndard room , a / c weak good ... hot las vegas . bath tub drain plug . call maintance 3x . bed be not make one time housekeep 5 day trip . could not take towel pool room , walk casino back room wet . many disappointing thing . lot place stay strip . last trip monte carlo would not part 
 Aug 23 2009 	 like Whole Strip 	 cross country trip stay 2 night . arrive late Saturday night surprise fast check . even though stay guest profile room request file give smoking room , huge stain carpet extremely rowdy party go next room . long trek back hall , long wait elevator , short wait desk get we room ask . high floor/ non smoking . although pay deluxe room would consider standard normal hotel . small , clean slightly worn real extra speak . room service breakfast get room fast okay money . casino hot smoky previous trip . seem like try save money ventilate well past . food cafe good several cry child different table ( Vegas ? ) Strip run dirty lot litter handout escort everywhere . not Vegas couple year . get like ? probably will not go long time . hope well place stay . 
 Aug 22 2009 	 black mold shower stall 	 beautiful lobby , pool , casino - walk family thru casino get strip nice atmosphere - fast food food court good selection appear grungy behind counter - the pool area cramp ton lounger way find one do not line a.m. ( 8:30 so - pool open 9:00 ) pool atmosphere unfriendly young single crowd young couple want see see - the room lovely bed appear clean comfortable - the bathroom puzzle I - how could beautiful hotel allow black mold grow shower -ever hear Tilex one spray go - also people hair clean bath ? ? beware acceptable 
 Aug 21 2009 	 good deal nothing fancy 	 like hotel . look good deal , Monte Carlo would choice . nice , plain , clean room . food court good sport pub ( good fish sandwich ) . hopefully , construction around do . otherwise , nice , clean hotel , affordable . 
 Aug 21 2009 	 smoke fill room 	 could smell cigarette smoke room vent . construction noise start early morning helicopter , heavy machinery , back beep construction equipment . second night , lose count many time wake sneeze fit . wife find small red bite mark leg shoulder . get bite since keep get night long . call front desk , say housekeeping would come . wait 1/2 hour , call front desk . tell outside company would come 9 11 pm . find bedbug mattress . wait 4 hour one show exterminator . spray bed alcohol . call front desk , put hold . resolution . check next morning apology explanation . good thing , great view 22nd floor room Las Vegas Avenue window need cleaning . 
 Aug 21 2009 	 great location strip . staff excellent . 	 recently stay Summer escape package . cheap room discount coupon . check immediately upon arrival problem . pool busy open however many chair ( shade sun ) . room somewhat date clean . Sunday afternoon music pool way loud annoying ( day okay ) . casino clean . Buffet great lunch breakfast constant long line dinner . spa staff unfriendly poor ( ask brochure check service package tell - can not take one one ... not anymore ) . overall good stay - book reasonable rate hotel worth . 
 Aug 19 2009 	 great 	 family enjoy stay Monte Carlo , wonderful experience . room clean housekeeping wonderful . kid enjoy wave pool lazy river . McDonalds , Mexican Restaurant , SBarro , Starbust inside hotel run around find lunch dinner . Monte Carlo opposite MGM get Mono rail easy . great stay enjoyable relax we . Cheers Monte Carlo ! ! 
