excellent 	 hotel ideally locate king Cross Station underground doorstep . easily walk Euston station mere 10 minute along road . also note burger king next ( make lot easy find ) . room lovely maintain high standard . room come free tv internet ( via tv ) morning supply newspaper choice also nice touch . bed 's comfortable shower excellent . slight problem heat room soon solve ask reception turn air conditioning . also luggage room handy late flight / train . would definitely recommend hotel also Starbucks , Costa Tesco nearby . 
 Feb 17 2009 	 great location ; bathroom need work 	 megaro fantastic location , road St. Pancras king Cross station , though wedge somewhat unprepossessingly bureau de change Burger King . room spacious , tastefully fit , comfortable bed espresso machine . good value low weekend rate . quibble , though . shower cubicle bathroom pebble - effect floor , patch several time sealant ; rest bathroom floor laminate become warp lift away base . lift also working not repair 24 hour . hotel open less 12 month , accord reception . 
 Feb 3 2009 	 great room small improvement make excellent 	 find hotel Laterooms.com get bargain - absolutely fantastic value money . hotel smart , clean , beautifuly decorate location perfect ! literally 20 yard king cross underground station , right opposite St Pancras . when first arrive book quickly staff friendly professional . give room key find top ( 5th ) floor , tell lift order ! offer carry bag we though . 10 flight stair later finally get room .... well worth every step ! book standard checkedo ut turn upgrade deluxe room ! nice , couple small problem . first arrive , heating room really cold turn thermostat quickly get warm - warm ! plug bath quick phone call reception soon sort . little noisy bad - however low may issue . would definately stay discount rate . would not pay full rate hotel ! 
 Feb 1 2009 	 good location friendly place 	 hotel handy king cross ( overnight business trip ) . restaurant reasonable price selection . room clean comfortable although little quirky phone locate far side large room . room two 32 & quot ; flat screen tv . Freeview available demand service order . slightly complicated coffee machine fail work . free wifi available throughout . staff efficient helpful . one major problem one lift break people 6th floor quite climb . arrival floor direction sign room unless know exactly go little exploration require . otherwise pleasant possible stay . 
 Dec 13 2008 	 Noise ! ! 	 hotel excellent location St Pancras International Kings Cross station . room spacious modern potentially good value . modern ensuite glass door folk like bit privacy loo ! ! also find shower little complicated use difficulty get high side bath stand shower . however , little significance try get sleep . beautiful room front hotel window glazing leave lot desire . noise Euston Road unbelievable . traffic noise , people shout continual siren night . several time night get check window leave open . one point siren loud , begin wonder hotel fire alarm . result minimal sleep . hotel could easily remedy situation little double glazing . anyone book hotel insist rear room . 
 Dec 5 2008 	 convenient location clean room nothing special 	 book room base decent review , want stay near King 's Cross station travel convenience . price right -- certainly reasonable London . room extremely small trouble regulate temperature . despite turn thermostat , room terribly overheat , end leave window open night . ' ve stay number London hotel , perhaps be spoil , accustomed much posh accommodation -- admit , pay quite bit poshness . price , Megaro O.K . would not give high mark anything : handy stop traveler need access train system . 
 Nov 30 2008 	 getting overprice 	 often business part London decide give hotel try new entrant market . generally , quite impressed post rate seem high location market internet rate get high tripadviser average . ok - really special hotel . right across street St Pancras king Cross . despite heavy traffic , sound insulation good undisturbed night . room spacious modern decor , although would fan sharing - bathroom contemporary style glass front narrow opaque band preserve privacy one 's personal activity . good shower , high side bath would not suit anyone degree hip problem . espresso machine nice idea need well instruction - could get dribble discoloured water . Front desk friendly efficient . not try breakfast - nicer - look place within St Pancras . 
 Nov 27 2008 	 Great Eurostar Stopover 	 great hotel anyone need stopover london use eurostar like , probably would not recommend leisure break stop hotel london , simply feel lack kind personality warmth . review say directly opposite king cross ( room overlook ) convenient . check quick easy , overly fussy direct toward lift ( wernt tell floor room offer help ) . room clean tidy , good tv internet function ( keyboard niggly ) . see decor look tired dated couple year yet moment look new . workmanship questionable finishing touch look rush botch place . could not get cold water bathroom tap produce hot water pain . however price good london convenient king cross st pancra can not complain much . would stay need stopover eurostar . 
 Nov 20 2008 	 solid find king Cross 	 Megaro directly - mean directly - across king Cross station , thus hugely convenient station St Pancras next door ( British Library , destination ) . Euston Road , noisy , busy , fill & quot ; youts & quot ; various nation - say , two block south well Bloomsbury , home good pub restaurant British Museum . hotel provide shelter Euston Road storm ; desk staff efficient friendly . not use bar ( 24 hour , supposedly ) restaurant , look fine . room front quite quiet - good array toy convenience ( expresso machine , high pressure shower ( pretty good UK ! ) , flat screen tv , free wireless , fridge , safe ) certainly big enough spread bit . good stay - neighborhood might wear long stay , night two , not mind walk , good value money comfortable hideaway . overnight Eurostar train , would hard beat . 
 Nov 7 2008 	 Excellent stopover 	 hotel clean , modern comfortable . stay one night catch Eurostar would highly recommend . location ideal , literally across road St Pancras . staff extremely helpful speak good English ( rarity London hotel day , gather ! ) family 4 two young child age 5 3 , book family room . child sleep good quality bed pull wall ( already set ) . still sufficient space room even 2 single bed 5 - ft main bed . room also offer flat screen tv , free internet access via wireless keyboard , pod - type coffee machine ( not seem work properly slow ) , complimentary milk ( coffee ) water . check - in advise everything room free except chargeable movie - nice certainty . bathroom also modern range nice toiletry offer shower good pressure . not try restaurant all . I would definitely stay catch early morning Eurostar St Pancras . 
 Oct 27 2008 	 pleasant surprise ! 	 spend night catch early train France . service exceptional , room clean , spacious new . loved bathroom . oasis middle Kings Cross . 
 Oct 22 2008 	 Mega fab ! 	 family stay one night head Disneyland Paris follow morning . hotel clean comfortable . provide cot bed daughter still room move around ! especially like use free internet ( wireless keyboard ) Wifi . tv wall great ! breakfast include basic contenential breakfast , cheese , bread ham . cooked breakfast charge extra . St Pancreas station close , walk one large suitcase pushchair . stay good . 
 Oct 16 2008 	 good stay Megaro 	 slightly dubious might lot noise night book hotel , reassure read review . ask quiet room booking ( get great deal £ 99 one night double room ) , well pleased hotel facility . a small problem tv immediately fix staff , room bathroom clean stylish . Loved jukebox feature tv well - great range music available suit taste . would definintely stay , recommend people want convenient base explore London . 
 Sep 24 2008 	 Lovely Hotel 	 second time stay hotel . choose close proximity St Pancras ( suppose travel Eurostar next day close due fire ) .The staff hotel rang train check still come - apparently lot people cancel due Eurostar problem . we give lovely room top floor great bathroom , make go Eurostar - get flight Paris Heathrow ( expensive though not cover insurance ) .We not breakfast last stay decide go time - good plenty choice . the staff really helpful friendly , definitely back another visit . 
 Sep 22 2008 	 Ideal Eurostar traveller 	 stay one night Megaro take Eurostar Paris , use airmile cost involve . see seedy type hotel London , pleasanly surprised , good welcome staff . room large , bathroom really good , great shower ! .. breakfast excellent , young lady serve really happy helpful . we sorry dinner previous evening , somewhat mediocre meal St Pancras station . it ideally situate Eurostar , across road , could not easy . 
 Sep 18 2008 	 Fanastic hotel ! 	 stay hotel night travel Euro star . when get upgrade fab room view king 's cross . we pay rate £ 109 ncluding breakfast . three year old bed baby travel cot . room coffee machine swing around chair huge bathroom big fluffy towel . staff helpfull stay . breakfast expensive . 
 Sep 15 2008 	 finally nice affordable hotel London 	 spend two night Megaro Hotel impressed . first time London daughter ( 17 month ) look somewhere nicer since would spend time usual room . find somewhere decent affordable seem like impossible task first find 120 £ per night deal hotel 's website decide go . hotel modern clean . room top floor standard room huge . slightly separate closet area use baby room . provide cot child friendly general ( can not say every hotel ... ) . even bring we extra milk baby ! bathroom amazing ! Breakfast not cheap waitress adorable highchair baby . not want breakfast , delicious french bakery Judd street ( believe 's call & quot ; Les deux amies & quot ; ) . far noise concern true : room right Euston Road get quite noisy , manageable . noise come room though , would annoyed much . area not particularly nice posh would not decribe dodgy . get home baby around 9 pm second night feel completely safe . plus Russel Square British Museum 20 minute walk away . toward end Judd Street ( perpendicular Euston RD , couple 100 hotel , 5 minute walk Megaro ) nice open air shopping center plenty store , restaurant even cinema . not exactly recall name something like & quot ; Brunswick Center & quot ; . lunch first day coffee sun Sunday . could not ask . plenty restaurant pub British Museum area , easy walk cheap taxi ride hotel . somewhere vaguely affordable , nice pretty central be look , go Megaro ! 
 Sep 9 2008 	 really good convenient hotel 	 agree positive review . stay 2 night business . ask get quiet room nice large light . good thing note helpfulness staff , free internet access great quality food via room service . I book hotel usual choice ( Whitehall Hotel Montague Street ) full , first choice future . 
 Sep 5 2008 	 good quality 	 megaro locate opposite king cross train station Euston Road . convenient travel to / from London via station . 's location however , mean front face room busy traffic Euston Road likely disturb sleep morning . window not double glaze traffic noise start 7a , sound like be right street . other though room reasonable size new modern decor . the staff friendly courteous . room also clean . tick box far stay concerned . breakfast not cheap - £ 13 full cooked breakfast . quality seem ok . issue . area around king cross not great though - bit dodgy . take we 10 minute find restaurant ( restaurant ) - italian place food taste like cook . yes , bad . overall hotel worth stay need area around king Cross . otherwise though , would stay clear area altogether stay somewhere else London stuff go bit safe . 
 Sep 3 2008 	 Superb hotel 	 hotel complete welcome surprise ! stay two child ( 9 13 ) GREAT time . staff professional helpful held bag arrive 7:45am , check later day . room large superbly appoint bathroom . bed exceptional , change regularly stay , luxurious towel , provide person room . air conditioning work wonderfully , double pane window system make traffic distant mumble . hotel literally feet Underground station , plenty restaurant area . remarkable find London think exceptional value price . feel perfectly safe , free unlimited internet access room 's large flat panel tv helpful . 
 Aug 26 2008 	 Megaro Hotel Great Hotel near king Cross 	 spend one night Megaro Hotel great hotel good great rate ( 99 pound double ) . room large London hotel stay ) . room modern room bag open without put bed . even wash cloth ! ! bed comfortable . hotel across street Kings Cross station ( train Edinburgh ) St Pancaras ( EuroStar Paris ) . issue sign side hotel - say order . sign Megaro Restaurant Bar . , go find hotel lobby leave restaurant entrance . Breakfast include , want , prepared spend $ 25 . skip go street McDonalds . 
 Aug 8 2008 	 Perfect Stay 	 seriously love hotel ! book last minute height tourist season able stay week double executive suite . great view beautiful St. Pancras Station . paper every morning expresso machine room ... although leak due faulty o - ring . ya thing . anything need get straight away . wi - fi available room also access LG flat screen television . great stay would absolutely stay . mention travel via tube extremely convenient right across King 's Cross Station ( central ) .friendly staff help squeeze we extend stay ! 
 Jul 31 2008 	 recommend highly especially Eurostar Terminal 	 stay Eurostar trip . place could well - locate , immediately across street therefrom . beware ! - 's old building right next door Burger King easy spot first . it prove totally excellent place stay every respect . the food particularly high standard - need eat , although be Betjeman Gastropub Carluccio 's opposite . bathroom modern well - fit luxury toiletry [ much display ! ! ] splashproofing power shower wooden bath surround effective . 
 Jul 28 2008 	 room lovely .......... 	 Booked Deluxe room treat husband I. little disappointed arrival go reception ask robe , slipper , complimentary water , wine petit four .... room arrival promise hotel website . never see & quot ; petit fours & quot ; wine ... do not seem clue talk ! ! ! room great ( clean tidy ) , coffee machine easy use , bed comfy . we do not eat restaurant think £ 13.50 bit expensive breakfast . hotel great spot king cross / st pancra across road . just make sure book deluxe room receive complementary item list ! 
 Jul 16 2008 	 good quality 	 sensibly check review Tripadvisor book hotel Euston / King Cross area - really pleased choice make ..... thank previous reviewer . this really nice hotel . outside - locate couple fast food outlet , bank , post office not particularly strike - inside 's . room , corner building , directly overlook King 's Cross Station , spacious comfortable . nice , simple , tasteful decor good lighting . flat screen tv give excellent free internet access have figure ( write instruction would useful ) - also supply ethernet cable free charge laptop . Bowl fresh fruit big bottle water appreciate . bed pillow comfortable , double glaze air - conditioning mean quiet night 's sleep comfortable temp . bathroom lovely - although wonder long timber frame around bath area last without begin look grimy ? one downside - check setting shower manage squirt water directly eye one many squirter - could not reach switch without water blast face , soak part bathroom ! , warn , not play setting be undress stand bath ! Quick note restaurant basement ( -1 lift ) . try taster menu really , really good , tasty food well - prepare . so - overall , hit ! will stay . 
 Jul 7 2008 	 Fantastic hotel fantastic location 	 hotel absolutely fantastic , term location , opposite Eurostar St Pancras Kings Cross entrance also term decor luxury . would go back tomorrow ! ! 
 Jul 2 2008 	 superb 	 superb new hotel right opposite king Cross . room well kitte good equipment . hotle restraunt provide amazing dish unreasonable price . continental breakfast well balanced provide good choice . find hotel accident return next time London 
 Jun 20 2008 	 2nd visit superb 	 second trip megaro honest - FANTASTIC . wife love Gilchrist & amp ; Soames wash bag supply room comp take away . room spacious well finished . since stay last visit not bring laptop access email via flat screen tv 's free . charge - brillant company frown pay £ 15 - £ 20 internet like mine do . the good thing anywhere London 10 min Eurostar checkin 2 min . have dinner pay £ 15.50 2 course . service attentive food fantastic beautifully present . good risotto ' ve ever taste . 
 Jun 7 2008 	 Excellent Hotel great location 	 book hotel special weekend friend without kid . I give big room wooden floor big bathroom , toiletry come nice bag ideal take home , big LCD TV . staff reception recommend restaurant check decide try go food great reasonable price . great location across road St Pancras . 
 May 28 2008 	 unprofessional .......... 	 stay hotel 1 night journey Eurostar . excellent location St Pancras & amp ; king cross . gentleman check extremely polite , friendly professional . shift finish customer service go severely hill . room fine 2adults 1 child . bed comfy . let limit volume tv locate next window .... traffic noise difficult hear ! great shower bit faddy work . one reviewer say shower screen stop water go bathroom floor . whole bathroom end shower surely go cause serious problem ! breakfast .... well experience . strange restaurant / breakfast room . people breakfast feel quite impersonal . 2 staff member stand around quite small room ... music noise feel almost like can not talk . 4 star hotel food massive let . previously mention little choice . start grapefruit juice start fizz . send back staff try argue we not . partner chef 22 year work well know hotel Landmark & amp ; Browns work prime minister . teach chef 's think know ! milk jug stain inside show waitress say not dirty ! ! ( white jug brown stain ) really rude . next minute chef come quite obviously talk we . daughter 7 get poach egg toast come laden sea salt ! good child ... option would welcome . upon checkout decide ask manager . guy appeared see early walk breakfast room plate cook breakfast ( professional ) . appearance management staff 4 star hotel big suprise personal presentation skill need look . say want let know bad experience prevent happen . not good new hotel many complaint hope would appreciate feedback . far , smarmy try argue ( obviously fill previous unprofessional staff ) . not even want apologise ... happen customer always right . man clever . not even get good bye leave . big shame place location room spot ( minor adjustment need ) . big problem staff service provide . 
 May 2 2008 	 ok 4 - star 	 new hotel directly opposite St Pancras / king Cross . advertise 4 - star hotel , rack rate £ 330 per night , currently promotional offer £ 110 per night . say upfront way 4 - star . would happily stay every time £ 150 , extremely well - locate , way could ever worth £ 300 + per night . the drop - off outside terribly convenient , main Euston Road - busy traffic . the lobby quite narrow , lead darkish bar . check - in smooth , although seem trouble chip pin , finally resort type credit card number . the lift tiny - 2 people suitcase would pretty much fill . room reasonable size good storage . however , take age change temperature - freeze arrive take 2 hour warm . main problem hotel old building , retain sash window . lovely , single glaze . Euston Road incredibly busy , huge amount traffic noise . train announcement station . take earplug , need they . the desk area tiny , although free wireless internet , keyboard provide wrong place use conveniently plasma screen . ok laptop though . tv work fine , colleague 's tv buzz loudly irritatingly night . eventually manage unplug , could not make work follow morning . bed clean reasonably comfortable . many pointless cushion . Bathroom look nice superficially , glass splashback fancy shower . however , floor cheap , squeakiest laminate ' ve ever see . around bath sort wooden frame , even though hotel open matter week , already scuff splinter stick . shower jet nozzles galore , shower screen fail stop water cascade across floor . toilet lid close small shelf mean catch finger open . toiletry quite nice , towel fluffy plentiful . Breakfast include , absolute rip - off £ 7.50 serve . dining room signpost within hotel , fact one set reception staff send we round outside buidle - ok May ridiculous middle winter . people breakfast 7.30 9 - odd . choice 2 cereal , 1 type pastry ( croissant ) , 1 type bread , 1 type jam , 1 dish tin apricot , 1 type yoghurt . also 2 type unlabelle jiuce turn grapefruit pomegranate - seem odd choice . staff offer stew tea terrible coffee , choice cook egg , probably good part . check - out straightforward , apart still chip pin ( try several different card ) . people see hotel complain something try change room , possibly good experience comparison . overall , location main advantage , good value £ 110 pn , would reluctant pay much . 
 Apr 29 2008 	 love location 	 spend 3 night hotel group friend fantastic time . want stay accommodation would give we easy access tour London Megaro perfect . soon step front door step lead tube front . travel hotel anywhere London . staff beyond excellent . friendly , courteous always willing serve give assistance matter hour . resturant excellent breakfast dinner price affordable . room comfortable spacious . hotel wireless internet room well plasma television set adequate entertainment room feel like stay . security hotel good . observe CCTV camera operation main area . would definately stay Megaro London . 
 Nov 21 2009 	 Bien situé et classe ! ! 
 Nov 19 2009 	 Buen hotel excelente situación . Precio razonable habitacione modernas . 
 Sep 18 2009 	 Excelente hotel 
 Sep 8 2009 	 es oro todo lo que reluce 
 Sep 2 2009 	 Superior 
 Jul 22 2009 	 Buon hotel posizione strategica 
 Jun 19 2009 	 Buona struttura di fronte alla fermata del metro ' 
 Apr 23 2009 	 Im - presionante 
 Apr 22 2009 	 Desde que conocí el Megaro piso otro hotel en londre 
 Apr 21 2009 	 La estancia perfecta en un barrio con vida cerca de todo ! 
 Apr 21 2009 	 Genial 
 Feb 11 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ! 
