could 	 get great deal Priceline two day advance annual black Friday boondoggle . location beat . one half block Union Square . lobby busy arrive people come go - they several doorman valet duty . even though arrive busy time two hour ahead schedule check immediately greet give room . front desk , gracious accomodate fact accidently show credit card wallet ! ! wait elevator , notice lady really struggle get elevator really big rolling suitcase . employee jump nowhere help ask other need help . nice - I love see people make extra effort come service . lobby nothing exciting . 's long narrow , front desk right enter elevator leave . behind elevator small seating area decorate holiday . room 21st floor . look Westin St. Francis ( daughter fascinated outside elevator ) , Sir Francis Drake Hotel Starlight Room tiny peek Union Square . book room bidding site . . expect get one & quot ; less room & quot ; , be fair enough . room seem sub - par anyway . spacious clean like location high floor . right next housekeeping closet expect noise morning , happen . either quiet 's little used closet . bed super comfortable nice linen . extend stay , plenty room put thing . spacious closet , two dresser . tv amoire Mini bar / fridge - sensor kind can not use fridge stuff . 's desk chair small sit area arm chair table window . Liked iPod docking port . thing room not perfect , other mention , furniture little bang up . the storage bathroom countertop . nice , Portico brand white ginger soap shampoo little tube toothpaste ! not eat Grandview 36th floor go look BEAUTIFUL spectacular view ! ! would drink bar full . would recommend hotel service , cleanliness , spacious room awesome location . especially get $ 66 price tag ! ! fun ! 
 Jan 29 2009 	 would expect 	 hotel great location would expect 4 star chain hotel . big , efficient generally well run . staff also friendly helpful . typically expensive bar - amazing view top building well worth look . room good - , basically would expect 4 star chain hotel ! although window dirty hard admire view ! make international call room ; almost $ 100 minute UK .... make mistake ! overall , would expect Grand Hyatt . still would recommend small boutique hotel SF - well quality well value money . 
 Jan 29 2009 	 Decent hotel good service comfortable bed . 	 stay Grand Hyatt San Francisco 2 night overseas trip . fantastic location adjacent Union Square , shopping , restaurant close proximity BART , muni cable car . we finally arrive hotel 3:30 , exhausted delay flight Chicago . especially annoyed fact airline fly leave luggage Chicago . lovely girl check accommodate we good way could ask 2 hospitality kit ( small bag supply toothbrush , toothpaste , dental floss , mouthwash , razor , etc ) send room . absolute lifesaver . our room situate high floor beautiful view Union Square . must admit room little date , attractive , spotlessly clean spacious . complaint would desk , small table working desk . bed extremely comfortable thing need spending day air . bathroom good size clothe marble tile however would benefit modernisation seem little tired . hotel give we good range amenity bathroom well coffee tea make facility room . the follow day tell concierge situation luggage , take upon ring airline chase . ' able get baggage department right away , reassure we would keep try well could . impressed courtesy professionalism . meantime , organise city tour us fantastic San Francisco day able see city . when return hotel concierge inform we bag way . arrive hour later huge relief ! ' probably ' get back quickly press time , would leave San Francisco without ! grateful service . overall experience Grand Hyatt great . service great , room comfortable location perfect . one real complaint property would room service finish midnight ( strange Grand Hyatt ) annoying would love order first night starve . besides , would hesitation recommend hotel anyone plan visit San Francisco . 
 Jan 25 2009 	 Grand Hyatt Grand 	 dawn 21st century seem escape Hyatt . beyond comfy bed , nice linen , iPod dock , room still live 70 80 . lighting , vanity , peach - color tile bathroom scream 70 , traditional wood furniture hopelessly outdated . technology , real desk ( table corner ) , desk chair , couple outlet near & quot ; desk , & quot ; wifi cost $ 10 / day , ' m stay & quot ; Grand & quot ; Hyatt really not want watch 18 - year - old tv home . ( fact , tv friend 's room one cheap old hotel Post St. ) carpet unattractive seem consistent theme artwork . room much cheap other consider know date , location clientele , hotel really need step up . it immaculately clean staff friendly service good , lobby pretty 36th floor lounge nice enough . overall , extremely disappointed . 
 Jan 25 2009 	 Great Location 	 hotel great location north Union Square , easy access shop , nearby Walgreens pharmacy , cable car , Muni BART . 8th floor room clean small expected face east another building . room face south nice view square ( lot sun ) . lobby conducive space meeting people . without doubt , highlight hotel stunning view rooftop lounge restaurant . 's well worth stop drink breakfast - service excellent . not eat enjoy east - face view . 
 Jan 22 2009 	 Typical Hyatt Experience 	 's Hyatt , know expect . service go good , etc . room little less expect . desk work , though make table . concierge floor give access lounge breakfast appetizer , etc . throughout day . gym pretty good . hyatt huge lobby make nice meeting spot . 's case . place like bar / restaurant top floor . 's nice restaurant real nice view . 
 Dec 8 2008 	 Thanksgiving treat 	 boyfriend stay Thanksgiving night . dinner Michael Mina , overprice restaurant Westin St. Francis . 15th floor room Grand Hyatt view Union Square . could see holiday light decoration , well ice skater Square . room little crowded two double bed ( error make booking ) . nightstand outer edge two bed . bathroom fine , though surprised shower gel provide . instead toothpaste , shampoo , conditioner , bar soap , lotion . fluorescent bathroom light hum annoyingly . another bad thing -- coffeemaker bathroom come coffee . PURCHASE coffee in - room Refreshment Center . Lame . starbuck across hotel , though . we skip valet parking instead leave car Sutter - Stockton garage , diagonally across hotel corner Sutter Stockton . much cheap . in morning appreciate free SF Chronicle outside door . like well USA Today . we live locally , get away work , sometimes come SF 's 45 minute away . stay Union Square , be always something . 's less arduous go way wine country Monterey area one day . 
 Dec 7 2008 	 ok good room 	 stay beofre , write similar review . great location , bar food . geat service too . but , yet , end clean well equip room , horrible location . opposite ice machine , low floor , noise dreadfull smell restaurant outside mean switch thtew heating . 
 Dec 5 2008 	 long wait elevator 	 every time go back hotel , pop gym , endure long wait time elevator . many elevator always seem elsewhere . stay business return evening meeting , seem peak hour 's constant sizeable crowd wait foyer . 
 Nov 30 2008 	 Thanksgiving Weekend Getaway 	 hotel great location staff extremely friendly . wife , daughter spend two wonderfuul night Thanksgiving . thanksgiving buffet great view table spectacular . hope hotel get much need renovation soon fear economy , not . the condition , cleanliness , CONDITION hotel keep give 5 Dots . definitely clean need refurbish . 
 Nov 27 2008 	 leave heart San Fransisco 	 htel impressive outset . arrive Town Car greet doorman take case , quickly wander reception desk check . bit pain , book twin room tell receptionist thatdespite we book hotel 12 month ago , not room available , double first night , could move next day . agree take double basis could keep duration stay really not travel 11hrs across atlantic swap room one night ! ! room overlook nothing impressive , shame , get view need restaraunt top floor , food expensive , brilliant , view die , especially get time catch sunset ! ! can not fault location hotel . Smack heart Union Square , shop convenience store right doorstep , throught foyer end block , take leave forward two block 's Walmart , foyer right Macy 's , Virgin Megstore , Louis Vitton ... list go . be $ 7 $ 15 Fisherman 's Wharf ( depend time day ) Pier 39 Alcatraz cruise boarding , would recommend be rush get somewhere evening try get taxi good half hour need become hard come later night get . would recommend research stay , say time ' Team Training ' , say take hotel understatement . impact everything , include create 30 min wait forthe lift ( even though 5 ! ! ) . say , room really cozy , bed comfortable , staff amazingly friendly really everything could ask hotel . time 5 day time get connection LA , genuinely gutte leaving , feel like home home . if go back San Francisco , would 100 % stay hotel . 
 Nov 19 2008 	 enjoyable stay 	 read mixed review Trip Advisor bit unsure stay Grand Hyatt 5 night September moment arrive worry disappear . the hotel great location Union Square , stop tram streetcar minute walk away . book Regency Club King high floor excellent view financial district . room bit small expect , bed extremely comfortable facilite fine . access Regency Club Lounge great . view even well room - could see Financial District , Union Square , Coit Tower Bay . enjoy complementary continental breakfast morning appetiser evening . soft drink , tea coffee also free , alcoholic drink pay give hotel , price reasonable . staff lounge welcome friendly . we thoroughly enjoy stay San Francisco usual touristy thing , particular favourite bike bridge Blazing Saddles ( go far Sausalito ) , visit Alcatraz drinking lot excellent champagne Domaine Chandon day trip Sonoma Napa . also enjoy delicous steak dinner classy surrounding Alfred 's Steakhouse . 
 Nov 13 2008 	 middle road - well option area 	 stay 3 night November , ok hotel well . the room small , mine not desk . sundrie store ( walk nearby Walgreens ) , mini - bar one charge instantly remove something , want read bottle vitamin water , get charge , tv mediocre , phone not work , wire internet connection . internet service $ 9.95 night ( via tMobile ) . room service menu limit . the good thing hotel location heart union square , 5 block moscone . sky bar pretty nice well , next time will stay Hilton . 
 Nov 10 2008 	 mixed Bag 	 stay Hyatt near Union Square last weekend stellar experience , real hang up either . room get right across vend machine , noise factor , room quite small . seem like european size . however room well appoint , besides tiny black white tv bathroom , room fine . seem bit date flat screen b & amp ; w ! bed fantastic bar top floor great wonderful city view . one thing seem excessive valet parking fee , $ 60 guess price pay stay Union Square . 
 Nov 8 2008 	 Dodgy start turn ok ... 	 visit hotel October 2008 4 night . first time San Francisco travel alone . sit tripadvisor week beforehand ' know hotel book . keep read review review end take chance book Grand Hyatt , despite bad review . I arrive San Francisco airport get taxi hotel . Tip – get yellow meter cab , wait outside baggage claim . go driver stand offer service fix price . rip often ' taxi license . pull hotel pay driver meter . say extra $ 2 airport fee . ' really think time pay . get cab ask receptionist right say . need pay ' meter . please please please fool like ! also , driver surprise tipped dollar mutter something rude Spanish . ' really see need tip taxi driver anyway unless provide exemplary service . go everything America English person think quite frankly disgrace way lot Americans behave tip system . ' give monkey service include . People tip really earn it . anyway hotel ! book Regency Club King high floor room king bed , ' luxury ' bath amenity access Regency Club Lounge . oh let forget private floor use key card elevator access – really insecure people like look important elevator . receptionist friendly escorted bellboy room . get room , two queen bed like say book Regency Club King . go back downstairs ask nonsense . tell unfortunately regency club room king bed thing could offer . try make king bed guarantee reply – advertise something ' produce ? i.e . false advertising . well ' mug ask see manager . try well leave check - in Westin St. Francis instead – point able find king bed high floor view financial district want . ' however regency club floor mean ' get use key card elevator . big loss ! however make sure robe ' luxury ' bathroom amenity send room still pay Regency Club Room . way case wonder , room hotel exactly . get extra luxury regency club room access lounge . I enter room pretty happy overall . room pretty standard Hyatt room . would think would flatscreen tv price pay day age live obviously . , ' really bother . place stay room presentable well decorate thought . ipod port bedside table nice touch plenty drawer cupboard space . bathroom always concern hotel room clean welcoming . shower pressure good ' encounter problem lukewarm water , often report . want boil hot water , ' get . relief frequent comment worry little . one reason also book hotel , window open onto small balcony ' stand hotel room window ' open . stay skyscraper hyatt window ' get oxygen room . ' awful spray deodorant hairspray aftershave . suppose air room ? air conditioning ? ! favour . anyway call hotel book make sure window open . tell front desk open 4 inch , want open fully need sign release form couple suicide past apparently . sound good except arrive tell case anymore ' last year allow window open 4 inch mark . ' great honest pretty annoy tell something completely different . also seem ridiculous balcony ' even use . may think ' picky person pay sort money , every right picky . I view skyscraper financial district view really spectacular , especially night building light . really wonderful one great thing hotel view get room , especially high floor . I pay breakfast morning Grandviews restaurant 36th floor . really spectacular eat breakfast look whole San Francisco . probably one highlight hotel . breakfast good . small buffet small . plenty choice . ' fresh , ' orange juice offer clearly carton would expect freshly squeeze Hyatt price pay . also bring complimentary small glass strawberry smoothie morning , record , also carton . breakfast staff nice . little talkative time want eat breakfast peace guess lighten little . the staff overall hotel absolutely superb . extremely impressed staff . everyone greet smile face , staff extremely courteous helpful . nice see . concierge fabulous hotel really enough . probably good concierge ever come across travel lot . refresh extremely impressive . Regency Club Lounge really nothing special . small room 32nd floor although view great , ' impressive room . continental breakfast morning ideal ' pay breakfast Grandviews restaurant . hor ’ oeuvre serve evening pretty poor . small buffet area poorly present crudités , brocolli throw bowl , dumpling random bit . look like leave over dinner ' pretty sure . also bar area pay alcoholic drink . soft drink free handy could get bottle water whenever want . I sleep well hotel . 8 ' clock every morning clicking noise come something room . extremely annoying way could sleep noise . sound though air conditioning unit cool ' ever even use air conditioning unit . luckily need get around time anyway ' bother complain . bed bad . comfortable ever sleep definitely comfortable enough . be careful check hotel read bill carefully ! try charge minibar even ' use . guess cover . relaxed take bill pretty obvious time . I would probably stay somewhere else next time try something different . experience good overall . good point bad point justify money pay . think try Fairmont next time really look spectacular much difference price . in term restaurant , ' bother Grandviews restaurant dinner . food get great write - up price absolutely insane . pay view . want see view pay breakfast . ' rather say go famous Wolfgang Puck restaurant dinner say go Hyatt dinner ? trust ' price . avoid local Daily Grill restaurant street . hotel recommend steak absolutely appalling even though steak restaurant . go Cardonian Room restaurant top Bank America building ( 2nd tall building San Francisco ) . view stunning food ok – small portion . like nouveau cuisine small . go Movie Tour get chance . ' lot fun . ' sick voice tour guide 3 hour hear film extras etc , good fun . great film film San Francisco . obviously Alcatraz . ' stupid go . extremely fascinating . get boat go across Sausalito . pretty town nice go lunch . Golden Gate Bridge one spectacular thing ever see like walk , walk across view stunning . would recommend take hop hop city tour first day get bearing see site . ' waste money get taxi around city . everything close - by ' easy jump tram cost dollar . anyway question , hesitate send message . 
 Oct 31 2008 	 Perfect view Union Square ! 	 stay nothing short perfect . business trip , company sprang corner room one upper floor , give gorgeous view Union Square rest San Francisco . bed perfect blend firm mattress soft sheet , bathroom huge , get copy San Francisco Chronicle every morning . staff amazing ... everyone always smile , be always least five people wait help bag , open door , get transportation . place even gym , not hike nearest 24 - hour Fitness Montgomery . thing internet $ 10 day , find pay internet norm among SF hotel . could afford place , would definitely stay ' m town fun . 
 Oct 14 2008 	 disappointing 	 spend 5 night hotel disappoint . hype reception lobby expect room . furniture date worn , shower curtain mould half way window dirty could hardly see . first trip US really look forward 1st class treatment tourist feel though low class . restaurant nothing special expensive . folder room example menu go meal nothing folder offer . leave video camera 1/2 hour went shopping come back someone wipe hotel believe staff rather we . 
 Oct 9 2008 	 Business Traveller 	 first visit San Francisco - Hyatt 's Union Square Fisherman 's Wharf hotel recommend we . choose Grand Hyatt Union Square . the welcome hotel friendly extremely informative . lady reception ( apology remember name ) helpful inform we city stay . the hotel room basic clean comfortable . noticeably cater business traveller . the location hotel perfect like middle everything like shop eat . also ideally locate get around city tram system junction 2 min walk Square . get tram anywhere throughout city . also rail link airport minute walk hotel . take average 20 - 30 min walk Grand Hyatt Fisherman 's Wharf , every evening , make we think make wrong choice hotel . however , Hyatt wharf 3 story high , likely keep awake noise street ( light sleeper like ) lot see Wharf - also & quot ; biked bridge & quot ; definitely good part stay San Francisco , cycle Tiburon via Sausalito great ! .. place great place stop great meal refreshing drink enjoy scenery across bay city . highly recommend visit . Alcatraz great expect , cold tho , even mid summer , wrap warm . our stay San Francisco short adequate . 4 day enough see everything want see . 
 Oct 8 2008 	 ok Hyatt 	 stay 49rs game . room clean like review hot water luke warm good , room also bite noisy weekend function hold plaza rear hotel . 4th floor overlook bay view magnificant . atrium attractive plane dark . everything expensive , parking , food , drink . Hyatt price . anyway good location , trolley station public transportation within foot hotel . chinatown fisherman warf good 15 - 20 min walk . pay $ 200 night group rate . 
 Oct 5 2008 	 great sister weekend San Francisco - could not want well 	 Stayed Grand Hyatt Union Square sister fabulous weekend 9/25/08 - 9/29/08 . conveniently locate close Union Square shopping , Mason St cable car streetcar market wharf . hotel nice . accomodation clean comfortable . individual air / heat control room - not one awful noisy wall unit . concierge amazing . know good way get around . recommend wonderful Hop - on / Hop - off tour city ticket good two day reasonable price . recommend fabulous little italian restaurant & quot ; Fino & quot ; 2 block walk away make reservation we . appropriate solution question challenge present . go beyond call duty thing . staff breakfast area accomodate also make sure need meet timely manner . housekeep superb - when asked bring extra towel , within 10 minute . would certainly stay wonderful hotel fabulous staff . matter fact , try talk husband trip next year . bed comfortable comforter plenty pillow taste . we hesitant base previous review . realize review 3 4 year old see hotel quality service , sure make right choice . 
 Oct 3 2008 	 hell ! 	 husband hyatt platinum gold passport customer ... 1 ) check - request king room give small double ( honeymoon ) - move high floor two small double ... 3rd time lucky move king room . which gloomy , bathroom awful shower barely warm drip water - force . sound proof terrible.room need modernisation tvs 80's.2 ) expensive - price internet access pc free ridiculous - business service expensive unreasonably so.3 ) Breakfast - buffet worth serve concentrate juice fresh 3 hot item - two meat egg veggie get continental . well value diner across road.4 ) location great , view 36th floor nice go drink bar around sunset.5 ) stay one many choice area . I come back - stay 10 day staff make pleasure . 
 Sep 30 2008 	 great location ok hotel 	 hotel close China town . town Chinatown Fest Chocolate Fest going . bed , room clean . the concierge knowledgable go area . even know Chinatown Fest two - three block away . also know Chocolate Fest Ghiardelle 's . 
 Sep 29 2008 	 good 	 stay business one night glad one night .. upon check want high bay view room king bed per reservation . instead give room view city street ( along two double bed ) . window dirty . know pretty loud downtown SF , soundproof room could well . I not think hotel anything special . would stay somewhere else area . 
 Sep 28 2008 	 speak pig lipstick ... 	 extremely disappointed stay , much leave one night . pay Regency Club level , Concierge Suite use rotate restaurant top . food suite plentiful , especially tasty definitely fill . much well Marriott Hilton . although room nice design element ( t.v . bathroom mirror , lovely shower stall ) , far detriment : - ask quiet room . Noise Market street even 16th floor keep awake , especially thump bass know where.- love dark hotel room , phone desk short line could not see label , could not move close enough light.- bed new stylish , bed saggy . bedbug sign , good.- Water pressure weak shower would not get hot lukewarm.- Main .. v. installed move t.v . slight , unplug . cranky maintenance guy say get 10 call night . plus & quot ; fix & quot ; t.v . can not pull way comfortable t.v . view several major station lot snow white line ( even cable ? ) .- phone help could not find concierge lounge ( move since last stay ) . help unhelpful , treat like interloper simple instruction would save we lot bother . like San Francisco , customer service Hyatt generally bad . SF Financial District Hilton much well this.- prepaid visit via hyatt.com , ask front desk could leave day early still get money back . make call reservation line , tell front desk . call front desk back , refuse believe wrong , said & quot ; will not give money back reservation will not give money back , ? said & quot ; someone will . & quot ; ' m anticipate go credit card company get $ 300 + dollar back.- back film interior High Anxiety , real plant hang lovely interior cascade wall . fake plant , look awful . - ventilation / air conditioning weird -- 6 am get someone cheap cologn / deodorant smell pump room . ? work across street hotel , even another work emergency , pay whatever take stay anywhere else . clearly suffer maintenance neglect , slap little lipstick ( fashionable bedding furniture ) will not make five star hotel . inferior far Financial District Hilton even sister hotel Manchester Grand Hyatt San Diego . 
 Sep 28 2008 	 good big city hotel experience 	 find standard ( nice ) big city hotel expect amenity . standard additional charge , internet , telephone , etc . etc . etc . room 17th floor clean , nicely furnish adequate respect , particularly price point get Priceline Negotiator ( $ 117+tax = $ 142 Saturday night ) . hotel close Union Square , ' walker ' still within striking distance waterfront part downtown . ' try restaurant , sunset view lounge 36th floor definitely worthwhile . be sure plan budget include parking ' need . expect bum - rush front hotel arrive , unless will accept valet parking $ 49.50 / day . ' cow though - offload bag front self - park exact garage kitty corner across Stockton hotel $ 26 / day ! 
 Sep 20 2008 	 great staff old tired room 	 GREAT STAFF ... Hyatt Gold Card member , cost , website 's photo ... expect something upscale . bed , pillow & amp ; sheet great , room old & amp ; tired . curtain full moth - hole , light shine right ! carpet next wall thick dust ( regular upright vacuum can not reach ) . air conditioner rattle like old car . bedside lamp blink like strobe . slide glass door ( be suppose open 4 inch fresh air ) DUCT - TAPED SHUT , duct tape handle . wallpaper beginning peel bathroom ( wallpaper bathroom ? ) . battery keyboard run flat . message light blink blink , even though not message . first arrive , call front desk & amp ; & quot ; engineer & quot ; call fix a / c . come back shopping , still not do & amp ; find light not work , come back fix . take ( morning ) come & amp ; see wrong keyboard , get new battery . would great thing check get room ! simple enough run check thing room clean customer arrive ? clever person discover system employ minibar , put back empty pringle soda , look like somebody be replace , & amp ; not get charge ! & amp ; Hyatt 's price , actually not blame ! group next door come 2 am , slam door , make racket 7 am . & quot ; honeymooner & quot ; one area & amp ; leave noisy group business people next door another ? not though great view ! wish take photo , first anniversary marriage , depressing . top , contact Hyatt Gold Passport Rep write we , ask we contact need anything ... receive two email & amp ; yet respond ! give nice staff hotel proud ! 
 Sep 18 2008 	 Good Biz Travel 	 first time stay Grand Hyatt would recommend anyone head SFO business . town 2 night , location perfect , fitness center good equipment , view room awesome ( fantastic view downtown ) , etc . etc . restaurant even well view great atmosphere , not overly impressed food . will definitely stay , probably try option dinner . 
 Sep 18 2008 	 Beware Valet Parking 	 stay Hotel close proxsemty Phillipine consulate , check room summond repair person toilet flush slowly requre continuious holding handle . aapreciate location hotel even though service ( resturant ) overprice , continue electronic key reprograme . hotel convenience short live go get car hotel valet parking tell car stage front Hotel side swipe sightseeing bus custody , neither parking company Hotel offer financial liability repair vehicle daily call bus company insurance company create constant frustration finally able help body shop get vehicle repair properly . hingesight would well leave car park parking garage across street since Hotel staff parking company continual problem , park valet parking risk . give hotel another chance guest visit town : ocassion service terrible , seem though staff disorganize get anything acoomplish either make request see manager get anything do correctly tyo electronic key reprogramed everytime return Hotel agonizing inconveince . hotel need make significant improvement put guest first stay not cheap . one person try well provide assistance security manager . 
 Sep 16 2008 	 wonderful hotel - good view city 	 hotel amazing . accomodation wonderful , view high hotel room ( 24th floor ) fabulous . bar top floor ( 36 ) view cocktail die . make hotel amazing though top nice staff . Liz Concierge fantastic . warn always long wait book Alcatraz . Liz get we one within 6 hour , book we phone put straight front queue get wait we whereas other wait couple day ticket queue long time get . concierge make sure make 4 day , book we everything restaurant open top bus tour - nothing much staff . 
 Sep 4 2008 	 convenient location 	 Hotel website price $ 180 / night get $ 85 / night Priceline . however , parking hotel $ 50 / night ( valet parking , mean need tip every time go ) , not mind parking car elsewhere , research parking garage nearby like $ 25 - $ 30 overnight parking . check smooth easy . staff friendly offer 22nd floor Union Square Macy 's view handicap room . handicap room low bed , armrest bathtub big bathroom space living room space . therefore , think ok take offer . the night view gorgeous ! glad hotel not put we cheap room since priceline customer . room normal room , nothing fancy . complain room close another room . , neighbor talk outside slamming door , totally hear noise ! 
 Sep 4 2008 	 great hotel great location 	 stay three night fantastic . our room spacious , clean great view ( 19th floor ) .The staff kind , friendly helpful . problem baggage : forget taxi .... help we immediately baggage back 15 minute . the hotel close Union Square , chinese district , financial district . find good restaurant 5 minute walk distance hotel . starbuck across street . check quick check tv system . 
 Aug 24 2008 	 Great Location 	 ' m sure people expect property , excellent stay . room adequate bed superb . bathroom clean , nothing special really , functional nice soap / shampoos plush towel . housekeeping staff right top little request make note tip . room quiet 4th floor ( request low floor ) . location though make hotel . central get SF . walk anywhere everywhere . need Walgreens ? right . Lori 's Diner ? right . Union Square shopping . Westfield Centre . Virgin Megastore . coffee , Burritos . Sushi . Pasta . everywhere ! great location short visit San Francisco . high expectation , try Ritz Carlton Omni . otherwise , place right par money major US city . good value active adventuresome traveler want amenity come back long day scale hill San Francisco . 
 Aug 22 2008 	 central San Francisco 	 Grand Hyatt San Francisco close everything . 's right Union Square near main bus route basically right top cable car route . drive San Francisco , husband swear drive city drive leave . street chaotic ! thankfully , location hotel , not worry . able go sight seeing see everything want location hotel near public transportation . thank concierge able give detailed bus / trolley / cable car route we . helpful ! check check breeze . lobby beautiful . room smallish , be definitely expect high rise hotel central San Francisco ! excellent view room lounge floor we . smash . 
 Aug 20 2008 	 Heart San Francisco 	 stay one night Grand Hyatt mid - August 2008 . reserve standard king upgrade club floor . hotel room clean well maintain . room quite spacious outstanding view . club level extra include robe access 32nd floor lounge . mini tv bath poor reception could not watch . continental breakfast buffet lounge fair . the room two upholstered chair fair comfort , room light excellent . tv conventional , probably 26 - inch . program list guest info book not match actual channel PBS channel , although one list book . window double - pan street noise noticeable night . Voices street clear 33rd floor think window must open -- not . otherwise room quiet . the bath relatively small , large counter outside bath provide lot storage space . shower head tub gap spray pattern . the location Union Square outstanding . Valet parking $ 49 , almost $ 56 tax . this large 4 - star hotel could give attention detail . not know parking charge compare SF hotel . 
 Aug 13 2008 	 great location average room 	 stay hotel 5 night May . give score 7 10.pros : great location middle union SquareGreat city view room stayedvery friendly courtesy staffscon : black mildew showerDirty air filter roomthe double room kind small , especially area desk two sofa crowd . 
 Aug 7 2008 	 average well . 	 mediocre . view nice , would recommend going drink 180 lounge sunset , , hotel well decor , well accomodation convenient location . it be block BART block get annoying consider week cheap , nice hotel directly next BART station . big annoyance 3 different floor visit , three reeked old cigarette smoke . 
 Jul 29 2008 	 ok 	 recently visit San Francisco stay Grand Hyatt Hotel . centrally locate hotel close everything , one block cable Car , shop around . upon Check , one two room ready place luggage room hit street San Francisco . return , room ready get key move . hotel general good shape . big convention hotel really gear family . pool , Game Room , place kid could hang . room small well furnish bathroom standard size . two thing hate see hotel bathroom hair previous guest black mildew shower . bathroom . quickly rinse hair away wife see . since stay one night agree mildew would cause we make room change . mildew around tub expect see Hyatt . guest service people great give we direction map well family friendly place eat . return San Francisco get back heart , likely choose Grand Hyatt . 
 Jul 28 2008 	 Service room food poor Location great 	 horrible check experience . an dated property dirty carpet poorly appoint room . breatfast buffet good . no room service midnight . expensive consider negative above . location save grace . hyatt .... time remodel ! 
 Jul 23 2008 	 definitely look discount stay 	 toss Westin San Francisco Market Street Grand Hyatt . Westin guarantee awesome view nice room slightly expensive , Hyatt AAA discount include breakfast buffet ( value $ 50 2 people ) . opt Hyatt due price breakfast . breakfast buffet delicious locate 36th floor hotel awesome view . plus location hotel directly next Union Square . unfortunately get room low floor view air conditioning equipment building next door . wall paper thin could hear passionate couple next door like room . room clean , fridge touch sensor base minibar room store leftover restaurant . need nice clean well make room couple day not plan spend time hotel would recommend hotel , especially AAA discount . probably will not come back hotel though . 
 Jul 16 2008 	 good location good service 	 husband recently stay wedding choice choose property , pleased location review look terrible . may bias since move W Hotel , completely different experience many reason , important - Service , Service , Service . Grand Hyatt need learn customer always right one complain hotel staff feel pull one little hard complain . pay extra Club level room give one . complain , offer refund take away access Club Lounge . stay regular room keep club access . not think end worth $ 50 . light appetizer tiny breakfast morning . could buy drink evening - $ 50 think could afford one two free drink ? room disappointing , see room Club level much nice . shower terrible . amenity speak . 36th floor bar nice view , awful service , wait forever drink refill food , unfortunately . guess want location view , go , not expect get high - quality service . usually stay starwood property never disappoint . venture Hyatt sway we one bit ! 
 Jul 9 2008 	 nothing special serve 's purpose 	 Hyatt 's location can not beat . walk shop restaurant Union Square problem . Valet parking expensive also park garage directly across street park pretty resonably . room nothing special , seem quite small , expect SF , bed comfy furniture not shabby . barely open slider door 6 annoyed tell safety reason . absolute good part hotel restaurant one top floor . 180 degree view San Francisco floor ceiling window . boyfriend receive complementry buffet breakfast booking ( usually $ 50/ person ) . buffet excellent , pretty good selection everything fresh . good french toast ' ve ever tatse ! good experience , sure find well hotel get pretty good value San Francisco . 
 Jul 7 2008 	 great location Great Hotel 	 Great locationcomfy BedsBeautiful viewnice sky lounge friendly conciergeWould absolutly stay . great place ! 
 Jun 22 2008 	 expensive dirty carpet 	 interesting architecture . large grand lobby , standard room not match . front desk gentleman nice . go room view city partial water . window open concrete rail straight drop eleven story . lock window work husband point spiderman could break . . . first thing notice walk room carpet large , dark stain throughout . expect hotel rating price . the bed firm comfortable , duvet soft sheet . flat screen tv good touch . I agree previous reviewer 's comment faucet . use tissue turn off . the main problem place price be get . across board everything pricey . pay $ 18 oatmeal room service . the downstair bar terribley slow service pour vodka like molasse . not even crowd . although would probably stay - would look forward . 
 Jun 21 2008 	 great location ; much atmosphere 	 ' m rate hotel four star mostly nicer usually give three , somewhat begrudgingly . actually quite bit like . let us start positive : superb location Union Square , close absolutely everything easy get everywhere want go . great shopping sightseeing nearby . room large reasonably well furnish . corner room , front desk say large room , might try request one special request upgrade incline . front desk staff helpful friendly . restaurant bar top great view , not try food comment . negative ( not - so - positive ) : be typical , run - of - the - mill , large , urban Hyatt convention hotel . style charm speak . 's pricey , be get luxury accomodation . funishing fine , couple lamp room dinge cheap look -- surprising room price range . many room , peak time elevator run really slow . surprise much sound could hear door wall . fortunately , partier . basically , stay company contract Hyatt , build Hyatt point , convention , town recognize Hyatt name figure 's safe choice San Francisco hotel never hear . will look around , likely find hotel good location less money much interesting . 
 Jun 19 2008 	 Great Location ! 	 ' ve see many bad review honestly think 's pretty decent . Grand Hyatt one good location , walk distance shop public transport . Sears serve good pancake also round corner . fabulous view Union Square room really pretty ! bathroom good size almost instant hot water , do not wait long . nice amenity . one problem - concierge friendliest people . 
