quiet 	 stay 2 bedroom unit clean comfortable . bed comfortable staff nice . fact nonsmoke property wasvery attractive we since 's hard escape smoker actual casino . the property close enough walk MGM although car , walk mostday strip . 
 excellent accomodation friendly service 	 convenient location , close major attraction , heart downtown . everything need comfortable stay . 
 oct 4 2009 	 Comfortable Resort . 	 room well stock full kitche , crockery etc . , anything would need really . also air condition clean apartment balcony . swim pool nice , not really go Las Vegas relax pool - side holiday ! not problem complimentary breakfast , really early ( Nevada 8 hour behind UK ) maybe get busy later 6 am problem . & quot ; manager 's reception & quot ; 5 - 7 every week day give complimentary soft drink ( help ) , snack ( nice ... free ! ) & amp ; beer / wine . communal area functional & amp ; comfortable . housekeeping staff really nice , helpful friendly ; problem lack knowledge part reception staff . try rent car hotel & amp ; get many conflicting story different reception staff end go internet get one Expedia ( think end cheap would pay , work ) . internet access free lobby ( think pay one point ) , really busy , take laptop free wifi room really handy . be defo go back Las Vegas & amp ; would stay resort near strip , ample parking full apartment . like . 
 oct 4 2009 	 Great Place Stay Strip 	 stay four night desert rise glad . firstly check easy wait helpful friendly staff . later trip notice long check line major casino strip big plus long drive take . parking easy room short walk car . well hard fault room . comfortable well appoint . nothing dirty wear unlike previous hotel pay much room . stay quiet great breakfast supply every morning start day hard find anything complain . Desert Rose short walk strip . find good walk back MGM Grand strip . Desert Rose really good value money , helpful staff , clean well appoint room quiet restful night certainly back . 
 Oct 3 2009 	 worthy high rating 	 wife come high expectation base upon Trip Advisor review disappointed . 1st time Vegas would certainly stay next time . convenient walking / drive access strip , close airport , free breakfast good 5 pm reception wonderful touch come back hotel full day tour hit Strip evening . room spacious clean - full suite price regular room Strip ! great find - thank Trip Advisor website . 
 Oct 1 2009 	 mixed bag 	 leave hotel end 3 centre holiday feeling frustrated . the resort potential great many little thing accumulate leave annoyed whole dissapointe . on arrival midnight tell due maintenance issue never room we tell go bluegreen hotel 1 night would room available next morning we ( suspicious big fight across Mgm night draw conclusion ! ! ! ! ! ! ) . hotel another 5 min drive away strip arrival plan dump luggage walk round corner strip drink two ( end cost we $ 12 taxi way bluegreen hotel . check bluegreen simple receptionist front desk say desert rise make reservation line we go make manually . next day get awful room balcony overlooking tree ( sun ) roof extractor unit apology staff desert rise . complain move we another room inspection look ok . later realise balcony infest cockroach cover bird dropping . complain advise want clean deal . arrival back room lie sleep constant vibrate noise start could pinpoint , bad call reception meet reponse & quot ; well want we middle night & quot ; . go straight reception next morning admit air - con unit roof 3rd floor vibrate . eventually get give final room major problem hairdryer stop work think call maintenance ( silly trip ) .after issue think time speak manager find friendly approachable understanding certainly improve opinion property . on positive side room spacious manager complimentary bar 5 & amp ; 7 weekday daily complimentary breakfast nice touch . the 1 free internet terminal need time limit hotel . certain individual spend way long ignorant fact other need . would stay unless change make . realise propably unlucky wish everyone luck room . 
 Oct 1 2009 	 excellent RESORT ! ! ! ! ! ! ! 	 absolutely fabulous place stay Las Vegas ! close strip removed not want casino , etc . ! exceptionally clean , staff wonderful , enjoy every minute ! would HIGHLY recommend stay ! 
 Oct 1 2009 	 Trip Lifetime 	 find base tripadvisor review . one good apartment wife & amp ; stay . spaceous clean room excellent kitchen facility , toaster , microwave ( take large pizza . ) dishwasher 5 ring cooker & amp ; large fridge freezer . staff helpful & amp ; provide beer & amp ; wine 5 - 7pm tip . breakfast plenty choice & amp ; will not go away hungry . free internet provide lounge printing facility & amp ; room RJ45 internet connection . we one negative noise external AC unit rather noisy upper floor . move middle floor room ok . would use . 
 Sep 30 2009 	 GREAT HOTEL GREAT LOCATION 	 really surprise spacious comfortable room . hotel quiet situation minute strip . staff friendly helpfull . lobby little bit small serve breakfast . 
 Sep 29 2009 	 Excellent ! 	 wife stay recent trip Las Vegas . travel couple room actually exceed need overnight stay . roomy , clean , comfortable , tv main room bedroom , full kitchen , wall - safe leave valuable . adequate parking , elevator , security gate . front desk staff superb ! might well value amount money ( say , room need ) would hesitate return . 
 Sep 29 2009 	 great place stay close Strip . Clean Friendly . 	 hotel clean friendly . close attraction Vegas strip . would great place family stay room need go eat expensive restaurant . use Shuttle airport drop right door . 
 Sep 29 2009 	 Great Place stay 	 like people , find Desert Rose pleasant place stay . everything clean , room spacious ( nice full kitchen several week dine every meal ) pool welcome relief heat ! not far strip ( although must admit , not really prepare sheer size Vegas ) . 
 Sep 28 2009 	 love place ! ! ! ! ! 	 recently stay Desert Rose husband son . staff helpful friendly room amazing . lot room three we comfortable beautifully decorate . enjoy pool area much ( nice relax get away strip awhile ) , free breakfast drink pool 5 7 p.m. pleasant treat . visit Vegas least year - usually stay strip , ' ve stay Desert Rose spoil definitely make place Vegas home come visit . thank Desert Rose make enjoyable stay . will back ! ! ! 
 Sep 28 2009 	 comfortable nicely decorate accomodation great price ! 	 must admit bit suspicious almost daily positive review people one contribution Tripadvisor . seriously consider cancel reservation , decide take chance picture virtual tour website . arrive , think , & quot ; review may fake , true . & quot ; check , receive thank email hotel link review Tripadvisor become convinced real . , one reviewer one contribution concern ! travel Vegas early year stay one big casino hotel strip . purpose trip month visit sister . want convenient location strip , not main focus trip since sister car , explore off - strip option . thrill death find one bedroom condo pull sofa $ 50 per night , couple block strip . would allow stay we day work . opt use pull sofa , instead crash chaise lounge find pretty comfortable . king size bed probably one comfortable hotel bed ' ve ever sleep . awkward thing bathroom master suite would cut bedroom use restroom , not really much problem we . still much comfortable standard hotel room would ' ve . also nice able check right late flight wait long line pretty much standard casino hotel . the condo equip small kitchen , complete refrigerator , range , microwave dishwasher . store leftover refrigerator purchase snack 24 - pack water $ 3 instead pay $ 2 one bottle strip . also take advantage continental breakfast morning . not elaborate breakfast , basic cereal , bagel , muffin , fresh fruit , milk juice . also brew Starbucks coffee day . cocktail reception evening , not plan schedule around that . my husband label & quot ; interior design snob & quot ; . picky come hotel room please accommodation . unit tastefully decorate luxurious bed linen , granite countertop high - end material . Interior Designer , impressed choice fabric finish . the complaint would route take past Hooters Casino get MGM Grand stunk sewer time . hold breath part walk . MGM Grand casino monorail less 10 minute walk hotel . another observation would pool seem quite small number unit . not use pool not problem we , could issue people . overall , impressed hotel , staff , price . would strongly recommend hotel anyone ! 
 Sep 26 2009 	 real gem desert 	 arrive Vegas Desert Rose expect much friend book we hotel see not one big name strip . pleasantly surprised find great place locate strip opposite MGM . even surprised see room say suite . great 2 bedroom , fit kitchen , lounge outstanding suite power shower master bedroom . hotel need . casino walk order get reception , close enough strip anything want . teenage kid love pool area breakfast . one small gripe breakfast area not really big enough morning onslaught . fantastic place stay Vegas 
 Sep 24 2009 	 Excellent experience 	 experience Desert Rose Resort Las Vegas Nv . awsome . staff great , information accurate . helpful location bus line , restaurant , casino nearby . hotel clean new looking . room spotless luxurious . room equip kitchen include dinner ware , glass , silverware . dishwasher , coffee pot microwave , fridge , toaster . serve nice continental breakfast nice happy hour 5 7 pm .. large clean swim pool laundry vacilitie use . impressed go back three day later another nice stay . 
 Sep 24 2009 	 comfortable resort great amenity . 	 need accommodation two couple , suite Desert Rose perfect allow comfortable stay couple . arrive Thursday thoroughly enjoy & quot ; happy hour . & quot ; morning brunch perfect start day . Desert Rose 's location make easy access casino monorail . also use workout room one morning provide good little workout . we would definitely return Desert Rose Resort . 
 Sep 22 2009 	 well strip ! 	 employee friendly work hard . wipe place like cruise ship . 2nd stay Shell Vacations Hospitality Resort can not wait check . 
 Sep 22 2009 	 ok Family 	 stay infant 6 year old . clean , modern . room great size . well stock cooking utensil , bowl , plate , etc . free coffee water day . wi - fi work . ( often encounter difficulty hotel ) nice child much Casino exposure .. downside : far strip tire little foot . restaurant lounge premise . pool small . housekeeping come within 4 day stay , unless pay fee . arrive early breakfast . come last hour , may thing . big complaint : wait one hour Van take we airport - regularly pass resort , like hotel strip . desk call 3 time we without success , tell we take 2 cab ( would twice expense ) . definitely consider huge inconvenience next trip rent car . would still recommend , plan recommendation . 
 Sep 21 2009 	 well little hotel Las Vegas 	 fabulous little hotel , spotlessly clean , strip . nice pool area . price include breakfast week hotel offer free wine / beer nibble ( 5 pm ) . 3 we travel book 2 - bedroom suite . one bedroom en suite , 2nd bedroom 2nd bathroom , full kitchen living room plus balcony . 3 tv . really good sized accommodation excellent price Expedia . also benefit laundry facility ( good travel around ) . 2 min Hooters ( good value meal , good sized steak trimming $ 9.95 ) . 5 min MGM Grand , New York , New York etc . 10 min airport . good discount designer mall edge town ( ask reception detail ) . 
 Sep 21 2009 	 great dig Vegas 	 wife stay Desert Rose Resort six night first week September could happy . room clean , bright inviting , resort clean within walk distance strip , albeit bit walk . complaint would pool bit small resort , lounge chair . 
 Sep 20 2009 	 wonderful alternative ... 	 wonderful place stay Las Vegas . Desert Rose resort great alternative giant hotel couple block away . enjoy wonderfully clean attractive suite great price . bed wonderful addition full kitchen give we flexability dining go . pool ideal cool walk strip - complimentary breakfast another plus . staff helpful provide good suggestion eat . think great place couple family stay easy walk access Las Vegas yet quiet retreat & quot ; circus & quot ; strip . would highly recommend Desert Rose great base operation trip Las Vegas surround desert canyon site . 
 Sep 19 2009 	 Excellent value money - great family 	 family five stay three night Desert Rose Resort Las Vegas August 2009 . non - gaming hotel , locate Strip , near MGM , Luxor , New York New York Excalibur . great homebase explore Las Vegas family young child close everything Las Vegas offer time allow escape crowd relax spacious suite pool . Breakfast exactly need get go . hotel low nightly rate eight hotel Southwest USA trip offer far good service . would stay Las Vegas , would second consider alternative ; 
 Sep 18 2009 	 great place stay 	 enjoy stay Desert Rose road trip San Diego , can home Missouri . check extremely easy staff desk helpful , knowledgeable quick . 2 day stay enjoy tasty breakfast morning charge . morning work out fitness center well equip clean tv and/or view pool . work spend around 3 hour pool spacious , clean maintain . although resort slightly strip easy walk distance several major casino like hooter , MGM , New York New York many . enjoy stay , feel safe see security several time , clean comfortable suite well equip kitchen . plan return near furture highly recommend resort friend . Curt & amp ; Sherry Gardner 
 Sep 17 2009 	 calm lovely place .. stop palm 3 night place warm well count ble 	 lovely mellow vibe , warm home home feel , would never stop palm find little gem , perfect good . 
 Sep 16 2009 	 want quiet safe clean place stay stay ! ! ! ! ! ! 	 review sum ! 39 , work hard , usually go sleep 9 pm late . able quiet safe night sleep . party place , thank God ! place clean well keep . stay every time go back Vegas . 
 Sep 16 2009 	 oasis calm right Vegas 	 's great able easily walk strip escape Desert Rose Resort sense overload . would definitely look place stay Vegas . 's easy drive park near room , be also easy drive strip escape city be drive 's easy get . 's three floor high like . airport perimeter end road not problem noise . room side view pool area balcony quiet . staff encounter friendly , helpful many smile help make feel relaxed . not use pool could see not big rush bag sun lounger every morning 8 am . breakfast area also get busy crowd not get early . 
 Sep 15 2009 	 Great Value Location 	 great value . clean room , continential breakfast , happy hour Mon - Thurs . locate right behind Hooters Tropicana . easy walk walkway either MGM , NY NY Excalibur . leave end strip 4 day . staff nice helpful . definitely would stay . 
 Sep 15 2009 	 FANTASTIC a+++ 	 lucky enough go Las Vegas last 7 year stay strip strip accommodation . one well stay . staff 10 10 , 2 bed condo style apartment 10 10 , Location 10 10 . . fault pool , stop PEOPLE put TOWELS LOUNGERS come ROUND POOL later . 
 Sep 14 2009 	 not write review place deserve one 	 wife adult child stay three night . nice place , clean , brightly paint , large room . rent two bedroom suite nice . expect something much low quality base inexpensive price pay . pool open early late , ' strip ' hotel . include continental breakfast lot variety change day . pool clean . ground well keep . staff helpful extra towel suggestion sightseeing . the air conditioning work well . three flat - screen tv 's unit . come back Las Vegas , stay . 
 Sep 14 2009 	 good find pleased room service location 	 stay 4 day two bedroom suite would defintately stay . room spacious , comfortable , clean high standard . locate easy walk distance strip strip currently dig mass traffic jam excellent retreat hustle bustle vegas , mean really good quiet night sleep . staff friendly problem , would defintaly go back cost room reasonable could afford stay week next time 
 Sep 12 2009 	 ideal Location 	 Desert Rose Resort locate 2 block Las Vegas Strip . stay 2 bedroom 2 bath suite , full kitchen . morning treat continental breakfast plenty food . evening serve wine , beer snack . could walk MGM Grand , Tropicana Hooters Casinos . short 5 mile drive car rental return area . location quiet yet close action Las Vegas offer . staff must helpful repair people top notch . would recommend Desert Rose Resort , yes . 
 Sep 11 2009 	 quiet Business solo traveller- Best 	 Vegas work ( clothing buyer boutique ) , opt different place major part trip & amp ; think I d relax last day Desert Rose . wish whole week instead one day ! could easily walk strip Deuce bus shuttle location work . full kitchen could come handy- deal local market stock & amp ; could ve save expen $ I ve meal strip ! comfy full size bath tub , separate living & amp ; bedroom & amp ; cable tvs room . Quiet & amp ; pool ( do not chance enjoy either ) , well amenity like free continental bfast & amp ; laundry facility . next year rise ! 
 Sep 10 2009 	 great trip ! ! ! 	 Desert Rose Resort great expect . one bedroom apartment . nice design clean . kitchen well equip everything need . appliance clean perfect condition . location also great , convenient , walk distance strip . resort offer breakfast morning . food good , much variety fresh tasty . pool always clean , perfect water . overall great time Desert Rose , wold recommend resort everyone . awesome trip ! Las Vegas Disneyland grow up ! 
 Sep 10 2009 	 amazing hotel near strip ! 	 husband return 5 day vacation stay Desert Rose ( 1 bed suite ) . thing love : * room spacious , clean ; bed really comfortable ; kitchen bathroom wonderfully do nice cabinet granite countertop * place ever hear kitchentte offer free breakfast ! * housekeeping excellent ! place free housekeeping everyday . * staff respectful courteous * , course beat location price - 5 minute walk strip ! whenever go Vegas future , definitely stay Desert Rose . plus , already recommend place two separate friend already head . 
 Sep 10 2009 	 vfm- EXCELLENT apartment HOTEL 	 spend 4 night Desert Rose , impressed price , location , pool . room , breakfast & amp ; basically anything hotel throw . price find well Value Money Vegas , really excellent base start day Vegas.just strip half mile walk Excalibur , MGM , & amp ; New York New York Hotels 2 full day strip full day tour Grand Canyon via private jet , helicopter pontoon boat . all enjoyable.my recommendation hotel / casino . teenager young kid visit large one day , 9 pm fill load people many bit obnoxtious . New York Hotel great kid even midnight ! ! ! 
 Sep 9 2009 	 can not wait go back . 	 spend one night Las Vegas vacation Utah visit National Parks . tie traffic Route 15 come CA & amp ; arrive Vegas late . room -- everything classy . suite spacious , well design tv view bedroom , well one sit area . everything available one would need long term stay- full size refrigerator , stove , coffeepot , cookware / silverware , iron board , full size dining table , clothe basket , safe , extra blanket , pillow - all extra . time enjoy pool amenity resort , enjoy breakfast . quite impressed . next time visit Vegas -- definitely book resort -- stay awhile ! ! ! 
 Sep 8 2009 	 Great Getaway 	 Maximum bang buck -- - two bedroom unit perfect family five . kid space , bathroom , excellent . kitchen FULLY equip . staff , hospitable friendly . housekeeping accommodate , courteous friendly . husband appreciate Manager 's Reception , kid swam pool . mere block away strip , easy walk New York New York , GameWorks , Excalibur rest strip . be look family friendly place stay , distance strip , privacy , inclusive resort , place stay ! 
 Sep 8 2009 	 unexpected 	 could not believe size room first walk door notice wonderfully clean everything , right bottom shower curtain ! ( woman notice small detail ) hotel mention springboard main reason trip stay every time be Vegas . close strip without expense , noise business strip . able cook .... add bonus not expect . service receive extremely helpful polite caring . thank people make trip absolute delight ! ! ! ! recommend highly hotel everyone go Las Vegas ! ! 
 Sep 6 2009 	 great value near strip 	 stay young child two night . like : - suite really like two bedroom / two bathroom flat ; well equip amenity , allow we cut long series restaurant - eat trip dinner room . comfortable bedding bathroom . - great value - far cheap hotel 3 week californian trip ; - close strip whilst middle whirl ( hate , be really matter taste ) ; walk distance stand heat ! - Staff , variation , generally pretty helpful.- Breakfast overall good qualitywhat feel great pool , water look cloudy taste long hot day ( needless say kid love regardless ) ; course pool also dwarf size giant one main casino / hotel . good choice want close action whilst big hotel & quot ; factory & quot ; . 
 Sep 4 2009 	 Desert Rose Excellent Place stay Vegas 	 stay resort -- find RCI timeshare network -- first time Aug. 2009 . loved resort small ( vs. huge casino hotel ) , clean people friendly helpful . 
 Sep 3 2009 	 Best keep secret Las Vegas ! 	 beat path , easily accessible well worn Strip . excellent value money . perfect want ... golfing , Hooters , golfing , casino , golf . ' m sure give great review little gem compromise well keep secret town ! 
 Sep 2 2009 	 Brill -made stay oasis away mega big hotels strip 	 return 10 day stay fab resort , hubby , nephew & amp ; wife celebrate special birthday . room clean & amp ; comfortable , everything would need.for length stay . beds/ pillow comfortable , much need sight see Vegas offer . air conditioning welcome , could not without itcontinental breakfast great start day , not make manager special , guest impressed offer , remember free . can get bit busy , not find problem everything replenish need . front desk staff always friendly , every time ask direction staff give we print , help . check in / out fast , staff always smile welcomingpool area adequate , need key card get in- time not work , guest kind enough let in . like other mention , extra lounger would good , leave put padded cushion chair , clean towel provide every day pool area , need carry own . hot tub magic long daythis hotel close Hooters hotel , approx 5 - 7 min walk strip- weather hot- feel like hot hair dryer blasting face - prepare take cardi go hotels/ buffet air condition cool . car , perfectly place get main road , avoid strip . do trip canyon , book Maverick , Amazing- glad thisall , want somewhere clean- comfortable friendly will not need sit nav get pool area main desk , choose Dessert Rose 
 Sep 2 2009 	 Great Community Spirit City Sin 	 five year ago , first trip Vegas , stay Sahara Hotel ; pleasant enough stay comfortable bed , simple bathroom nice view strip . Monorail make less challenging get heart action relentless heat , option walk via Stardust , Frontier Casino - Hotels offer air - conditioning help alleviate pain oppressive sun bring upon we . hotel anonymous enough : able sit pool amble casino without bother anyone , much difficulty find somewhere eat within budget ( God bless Sahara buffet 3/4 lb hot dog street , next useful Subway foot long sandwich ) . think great place stay ... stay Desert Rose Resort August ! first , look Google Earth read negative review , sceptical : hotel near Hooters , near Airport , off - Strip small . wonder safe area , go cockroach bathroom , breakfast hazardous people claim , go noise issue ; manner thought . then read good review : see rank number 4 hotel Vegas ; see many people love spirit place ; size room facility offer ; manager 's reception fact least get breakfast ! provide early enough , breakfast dream : bagel , bread / toast , cereal , fruit , preserve , muffin / danish , cheese ( nice cheddary one flavoursome white cheese jalapeno ) , fruit salad peach readily available accompany great selection tea , coffee , fruit juice ( particularly take fresh orange juice cranberry punch ) two variety milk ( 2 percent skim ) . later arrive breakfast , wait around still food available frequently topped . true , people little idea constitute line tend push , although put fact could confusion whether one line cereal , meat / cheese toaster , whether three separate one . not happen often people understand system well . even option take food back enjoy breakfast room ; something happily occasion . manager 's reception also good : beer , wine , soft drink , tea coffee offer along either nachos pretzel , canope raw vegetable cheese sauce selction mixed nut . two hour perhaps something would rush back , pleasant enough time . having read review , pretty sure expect room nothing could actually prepare we truth : excellent ! kitchen well stock : large fridge - freezer ; dishwasher ; huge oven ; oversized microwave ; & quot ; Mr Coffee & quot ; perculator ( along accompany Wolfgang Puck coffee ) ; blender / processor ; toaster ; vast array cutlery crockery enough workspace prepare great meal . sink size bath prove useful washing ( be dishwasher people ! ) .The dining table good size lounge corner unit sofa t.v . ok , television could little modern large provide good picture odd occasion sat watch ( usually channel 18 weather forecast , local Fox news ) . never casue fold sofa bed although hear confortable ! balcony another excellent option . city 's prone let people open window fear suicide , true delight able sit enjoy glass wine view . lucky : suite 4305 , pool one side we Luxor / Mandalay Bay hotel . crack view many room although suffer inside , face inward . usually would not bother we , two week really want something little bit special ; not disappointed ! also , third floor not problem we : say noise air - conditioning roof keep awake - air - conditioning running room external noise not really affect we . furthermore , air - conditioning unit roof run constant rate noise lessen expose ( rather stop - start noise ) .The bedroom good : huge bed , another television walk wardrobe exceptional . ' m sure quite cold get Vegas , end take many layer quilting blanket option need . also , give minute every night prepare bed someone obsession pillow cushion ! vanity unit bathroom simple effective include hairdryer prove useful partner european electricity power hairdryer run half power United States . speak electricity , ' m sure quite american system seem lot plug socket switch near water hazard . main lighting switch bathroom ? socket sink ? ' m sure meet legislation , although take bit getting use ( precautious hand dry ! ) . room , will also find : iron ironing board ; broom mop electronic safe . tell room DVD , although not . all - in - all , excellent room great facility . far around resort , will find friendly staff ; could american way everyone time seem pleased service . tip room maid , although lead we abundance towel room - end holiday amass small mountain towel vanity area ! pool ok size . true , be like pool mega - resort enough : three distinct area depth within pool , plus two small jacuzzi / warm pool . well , one pool warm , hotter Vegas . however , big plus resort , pool remain open 11 pm . obviously , Vegas , still warm , none overbear sunshine pool often still occupy sun go ; welcome offer child not really enjoy see swimming daylight ! around pool area , option use two barbeque hotel towel . also seem enough lounger , chair table ( parasol ) want stay pool . the resort also offer fitness centre free wi - fi . fitness centre treadmill , cross - trainer weight machine , although not work . wi - fi prove useful , capability use , hotel offer internet connection foyer , charge . ATM ( cash machine ) foyer charge $ 3 per transaction cheap have find anywhere . fact , would venture bank still charge amount . apparently , also concierge hotel although never see 2 week . however , may due fact leave hotel around 10 am every day not return evening - lot see Vegas ! ! ! , bear mind , heartily recommend hotel . community spirit speak title stem fact everyone talk . whether be pool , breakfast lift , anywhere hotel , feeling be little secret ; be part little family . yes , family swell weekend change fairly frequently , spirit place remain same . tips : ' m sure be probably aware thing Town , couple hidden gem not overlook : be stay length time , get Wal - mart stock ingredient . plan eat meal every day try reduce cost calorie , offer good bit respite hustle bustle . good way walk Tropicana catch deuce bus somewhere , pay day , $ 7 pass . , use bus Vegas head East Tropicana Avenue Wal - Mart ( around 15mins bus depend upon traffic ) .The car - park behind Desert Rose / Hooters seem safe we : be patrol security bike well light . cut across save fair bit time effort ! not afraid go hooter : see casino strip downtown , Hooters ' staff fairly respectably dressed . Friday Saturday night get little testosterone fuel , nothing much worry . also , join player ' Club , get $ 100 worth free slot play promotional machine $ 5 slot . walk away $ 15 ; maybe much great we ! good Club we ( not gamble enough big place ) Circus Circus offer $ 15 casino chip . after 5 pm , head Hotel Mandalay Bay take lift Mix . 's nightclub / restaurant offer amazing view strip 64th floor ... free 10 pm . lift amazing 's external glass - great view Mandalay Bay airport ascend . be , take time go toilet another life 's experience ! forget camera battery need something electronic , make way Fry 's Town Square . camera battery not work look $ 49 strip ; go Fry 's battery cost $ 12 . deuce ticket , save fair bit ! pick free booklet ( 24/7 Vegas 2 go ) useful discount : particularly enjoy 2 - for-1 's Hagen Dazs Ben Jerry 's ! ! ! however , amazing ice - cream experience , head Cold Stone Excalibur food court ) .For cheap fast food , try Jack - in - the - Box , something truly special , try FatBurger ! ! ! ! ! 's . Desert Rose Resort prove excellent choice we : great facility , easy walk distance strip , good view , great value money , else , feel part friendly family another anonymous holiday maker oversized , corporate run hotel . 
 Sep 1 2009 	 Perfect Vegas 	 stay one night visit vegas last month . one block off - strip right need . family 5 - 3 kid ( 15,13,10 ) travel another family similar aged kid . great place ! ! slot - machine . superb room - 2 - bed Suite HUGE , comfortable , well stocked . $ 100 night . friend 1 - bed Suite around $ 75 equally impressed . great staff Desk 
 Aug 31 2009 	 great place 	 great place stay short walk main attraction strip . stop three night impressed size room ... actually like appartment seperate bedroom , large ( ish ) bathroom , kitchen main living room . well self catering appartment Greece . Complementry continental brekfast good , little crowded leave late . thing Vegas ..... check weird ' sky ' Venitian not miss fountain Bellagio 
 Aug 30 2009 	 Superb hotel great location 	 stay 4 night . strip , 7 - 8 minute walk MGM Grand nice quiet close enough amongst everything quickly . apartment top class , service superb , everyone friendly . pool excellent breakfast really good , although bit crowded time . free drink nibble every night 5 - 7 pm ( time ) . overall good place stay value money . 
 Aug 30 2009 	 enjoy experience would return Desert Rose . 	 want explore Las Vegas two college - age child . stay 4 night 2 bedroom-2 bath suite perfect group . room nicely furnish , standard high - end strip hotel . CARES ? want extravagance , stay strip . separate bed bath , kitchen living area important , Desert Rose work well . different people go different place keep different hour , 2 bed/2 bath set - up provide plenty privacy . PROS : Proximity Strip ; WIFI ; good housekeeping ; free parking ; free continental breakfast ; free beverage snack 5 - 7 pm week ; ground securesuggestion : increase number table chair area adjacent pool ; add couple item continental breakfast . group like , diverse age , interest agenda , would definitely reccommend would return Desert Inn . 
 Aug 30 2009 	 wow gem 	 hotel locate right behind Hooters Casino - Hotel , 5 minute MGM . truly love service , room , location . feel like condo ( kitchen full equip ( even microwave , blend , pot pan .. mean anything need ) . front desk really helpful staff really nice . room nice spacious ( 2 tv plenty room ) . book hotel , read review really need comfortable hotel room let tell still surprise nice . pool 2 huge bbq 's convenience want cook . ' ve read previous previous saying not get much breakfast ! well , not know go Desert Rose , breakfast enough fill dinner time ( cold boil egg heat microwave , ham , bread , cereal ( 3 choice ) , banana , muffin , coffee , tea , soda , juice , cheese , yogourt ) 's self service eat much need . helped save money eat dayplus : parking free , 5 @ 7 Monday Thursdays nachos drink free , small store front desk snack etc be pretty cheap , laundry room ( self - service think ) , nice pool jacuzzinow downside : be nobody holding door luggage anything ( be really like home ) , clean lady change towel bed ( nothing like deep cleaning ) stay . honestly not mind . not like cleaning lady come everyday room clean especially 's perfect arrive . also not mind clerk help luggage downlfall see 's important . because MGM big 2 entry ( one Strip Tropicana ) , 5 min MGM 7 - 10 Strip . well , love walk Vegas , expect walk alot . 10 min New York New York Hotel really nothing . 's safe Vegas never take cab ( besides airport ) even club . 's also deuce bus Strip ( 3 $ way 7 $ 24h ) honestly , ' m really please stay hotel ( little retreat action strip ) 
 Aug 29 2009 	 good find 	 hotel live expectation . friendly staff , good room ( although worn carpet , understand replace -- need ) . quiet night -- relief hussle bussle . would go back place . critisizm one read another traveller -- agree . enough lounge pool area . literally , line form 8:00 outside pool area unlocked order obtain one . wife line guest order snag enough family -- Lets face -- one reason people go Vegas lounge sun . place great -- spend buck get ! ! ! much ? ? would make difference 
 Aug 28 2009 	 truly Rose desert ! 	 do Las Vegas property offer , will not beat ! save money save time online .... book ! 's mention GREAT service . guest treat . 
 Aug 26 2009 	 Vegas oasis 	 great little resort 2 block strip , near MGM Grand . great family ; could go something strip , retreat little oasis calm cool pool . room nicely equip ... suite separate bedroom kitchenette . huge , functional family . evening happy hour ( actually 2 hour ) free beer , wine pop , plus snack . lot parking , seem pretty secure . staff friendly helpful ; something ' m use Vegas . definitely stay recommend other . 
 Aug 26 2009 	 Breakfast option ! probably come back . 	 trip west coast plan stay 4 night Las Vegas . be familly 5 ( 3 teenager child ) , choose 2 room one big casino hotel strip ( great discount price Smartvegas.com ) suite hotel strip . price . Desert rise good review Trip advisor , choose Desert Rose resort . must say dissapointe . think would . place croude . breakfast option : small room , long line ( like attraction theme park ) , noisy , place sit ( find table like find parking spot midtown Manhattan ) , find one - dirty clean . poor selection breakfast : first morning - kid not want return . breakfast end 9 - convient , build 4 drive ! room nice comfortable , complaint , public corridor old , renovated ( like old Motel 6 ) , open , hot summer day unpleasant . pool great either : old , clean . many guest like would find low grade motel . business center - want check something computer - rate & quot ; & quot ; $ 4 15 minute ! unbelievable . next time probably will not come back . read reviews Trip advisor , thought , say look like management aware reviews Trip advisor . 
 Aug 26 2009 	 good thing Las Vegas ! 	 search long hard find room book trip Vegas . read negative comment large resort / casino place finally pick Desert Rose . good thing vacation . one bedroom plenty big 2 people kitchen life saver . live water could keep water ice full size fridge along juice milk etc .. staff always friendly , hold door elevator we always say hello ask visit go . alway be smile friendly general . breakfast great addition stay especially see expensive eat large hotel . ( 1.25 one krispy kreme donut ! ) temperature soar comfortable room spend time nice pool well . grill able grill steak last night relax leave early next morning . say enough good place . see people comment dirty carpet see city heat grime would replace carpet every week prevent . sure would well place stay Vegas . would never recommend take child Vegas reason , unit comfortable small family sure 2 bedroom would even well . hesitate leave review well keep secret would love enjoy , feel like need give praise praise due . Desert Rose would shorten plan visit go home early ! 
 Aug 26 2009 	 Great Place stay ! 	 one nice place stay La Vegas , vacation . room comfortable everything need . enjoy breakfast morning . location perfect , close everything . can not wait go back . 
 Aug 25 2009 	 Desert Rose Las Vegas pleasant relax vacation . 	 trip unexpexte one . weekend spend child start college . Desert Rose willing accomodate we day . arrive late traffic room wait we willing bring we extra necessity need . husband plus walking distance Hooters , Tropicana , Luxor . close strip , also quiet . nice offer continental breakfast every day . aalso happy hour Monday- Thursdays . we relax weekend . 
