much 	 good hotel service start check - in front desk agent Red Roof always friendly ! make sure thing need night greet we everytime walk past desk . room cozy clean . comlimentary coffee room perfect morning . will definitely stay soon . 
 Apr 10 2008 	 get Progressively Horrid 	 second stay Red Roof Inn . the property conveniently locate Michigan Ave staff friendly accommodating . it . the follow thing not work right : ) second door hotel open turtle speed.b ) elevator chip , scuffed , paper dirtyc ) hallway carpet ( 12th floor benchmark ) smelly filthyd ) garbage random ice bucket scatter floor next 1215 three day staye ) room smell property go hill hill fast . horrid esthetically time management start provide upkeep property 
 Apr 5 2008 	 bad 	 read lot negative review book hotel . call property discuss concern assure room would well take care stay . room fairly clean rather small . bathroom acceptable not much counter space make get ready little difficult . the price ( avg $ 109+tax three night ) location make size room . big city , bad . 
 Apr 3 2008 	 Dirty 	 stay Red Roof last month Chicago $ 99 night , room recently renovate , clean desk ample outlet . location terrific . base benefit , decide stay day ago . bad idea . time smelly room 6th floor dirty dusty . radiator loud not make room warm , finally gave turn . plus room rate $ 140 . twice difficulty get room key not work . hallways narrow dim , streak scratch mark people 's luggage rub everywhere . the people front desk asnwer question , reluctance . so , decide stay Red Roof , make sure least ask renovated room ! 
 Dec 3 2007 	 deplorable condition terrible customer service 	 know hotel everything go wrong ? . disgusting , old room . hotel seem impression flat panel tv lobby , make room wire extension cord run carpet yellow wallpaper acceptable . hot water morning . check , check another hotel . & quot ; comped & quot ; room . mysterious charge appear credit card . early December , resolve credit card issue . location near Michigan Ave . obviously excellent , not make truly awful hotel . 
 Nov 6 2007 	 nice location nothing else 	 girl weekend , four we check Friday . start unpack notice leak bathroom sink , apparently rust stain . then notice room fully vacuum dirt around edge bathroom floor . ask move another room . look five total decide room 1116 happen clean six . stay put Saturday afternoon . package drop drop room across hall clean , looked ask could move 1105 charge anything extra . yes manager say . check Monday morning want charge we $ 100.00 agree check . talk two manager time , one manager Sat 30 minute later , charge extra amount . only two ice machine work , one floor 6 one floor 15 . two coffee machine lobby however , one work . 
 Oct 22 2007 	 Perfect need 	 hotel certainly 4 star class hotel , give 4 star base value . begin , location superb . week visit , hotel book rate seem average $ 250 $ 400 per night . rate Red Roof Inn $ 150 . corner room 15th floor clean , pleasant view Ontario Michigan Avenue clean every day . grant , build old , character . though huge , room large enough need . , counter space bathroom , encounter shortcoming number boutique hotel fit pedestal sink . ' pose much problem . ' know room , mine fine . ice machine floor work fine . the room outfit small desk chair , television air conditioning work well , iron ironing board , plus hair dryer . Shampoo soap pretty generic . ' suggest pack travel size favorite concern . sheet designer label , clean bed well make . plenty pillow . the staff professional extremely helpful . plenty wonderful restaurant within block two , convenience store , drug store - even Trader Joe ' . addition , tell within month , room would undergo renovation . mean , enjoy luxury accommodation ' mind pay price - take advantage numerous grand hotel area . look safe , comfortable friendly lodge pristine location , Red Roof Inn might hotel . work . 
 oct 22 2007 	 mixed feeling .. expensive version old Cass 	 think reveiwe hotel try mention old ' Cass hotel really unavoidable . what get twice price . let us fair ' old ' Cass cost three time much money / location think Red Roof game town Magnificent Mile . plus point : location : right N Michigen AveCost : average $ 130 ( plus 15 % tax plus $ 5 hotel tax per night ) bad point : room little care - wear although clean . bit like old friend ' old ' Cass . carpet see well day ok.room poorly litNoisy A / c although really problem sleep throughanythe ! sheet change daily Staff little bit uninterested . Pet PeeveThe drink vend machine empty arrival still not beenfille departure ( seven day ! ) ok good value go get day Magnificent Mile . not expect Ritz . 
 Oct 22 2007 	 dirty room 	 great location , staff helpful . a / c not work . prepare old , grungy room dirt , hair , whatever corner around edge carpet .... also something splash headboard one bed . bathroom clean toilet seat well attach one side . give $ 60 adjustment ( 4 night ) mention dirty room .... try hard come something else next time ! 
 Oct 5 2007 	 Small room Loud Noises .. close everything ! 	 first stop tour South Chicago Red Roof Inn . little surprised find quiet small room open door . room ok seem clean enough . notice way bathroom door stay open slammed shut everytime one enter exit bathroom . could also expect open bathroom door room door time enough room open . also street side room notice & quot ; singing & quot ; fire engine / ambulance constantly night . location , far good hotel ! could walk outside turn corner hit & quot ; magnificent mile & quot ; shop , water tower place , hancock observatory , wrigley building , restaurant abundant Trader 's Joe pick fresh fruit bottled water . must make note one staff member , asian girl , front desk unfriendly unaccomadate . could use little lesson customer service . stellar hotel , location definately plus ! 
 Oct 5 2007 	 awful 	 awful experience . walk room , stun small . could not believe fit two double bed . bed feel like sleep concrete , towel sheet seem make sandpaper . matter , room always cold slightly damp . not want go barefoot anywhere room bathroom . look clean enough , get feel not . staff front desk joke . take forever get someone desk check . also ask wake call . good thing set alarm cell phone would overslept . 
 Sep 23 2007 	 even good enough dog ! 	 stay many USA hotel far one bad . stay one night check check across street Marriott Courtyard . part wedding party multiple room reserve . many family member end follow we Marriott remainder stay . upon check Red Roof Inn , check procedure disorganized , long unimpressive . elevator work tow luggage stair . reach correct floor , unable find room , due missing room number . finally find number room , enter small room two double bed dirty sheet wrinkle sheet obviously use . enough staff bring we new sheet , get new sheet front desk . make bed . door jam force jam break . hall room much need renovation . air unit noisey matallic banging noise night - we unable get sleep . shut air open window outdoor cafe chatter cafe loud even window close - could imagine noisey would window open . even window could open . check next morning give full refund . awful place would recommend hotel even though location superb . stay Red Roof hotel around country never unpleasant experience inferior accomendation . 
 Aug 18 2007 	 bad Hotel ' ve ever stay ! ! ! ! ! 	 hotel inexpensive compare other area great location , however , would never return ! room smell musty , bathroom tub not drain , stain sheet carpet . lobby remodel ok inexpensive hotel , room desperate need work . stay budget not allow anything else location major priority ! motel 6 wan na ! ! ! 
 Aug 14 2007 	 would not stay 	 location perfect staff pleasant enough , room ridiculously small . bearable , big beef housekeeping . stay Thursday Monday maid service specifically request . make bed replace towel , not empty trash clean bathroom . second time show , think room vacant walk right find stand nothing towel . rest stay , walk housekeeping closet help clean towel . it be fine enough place otherwise . not expect come back clean room end day . ' m especially picky , $ 190 CAD per night , expect bed make , clean towel , trash take . 
 Jul 18 2007 	 get ! ! ! 	 pro allow party check early . con : price give room price charge . actually charge $ 80.00 night . ( Problem fix four straight day try talk manager . keep blow , make happy . ) first room give problem water drain bath tub . the second room small first room ( could hardly imagine anything small room 1 , ) .When close curtain gnat come out . the bathroom horrible odor . only one elevator work slow . call fire department something happen it . the bed uncomfortable thing ever sleep . might well sleep floor . towel wash cloth terrible . extremely rough thin . overall , horrible hotel . understand price low location . however , excuse . 
 Jul 12 2007 	 lot issues- bad 	 end one & quot ; bad & quot ; room other mention . toilet tank half open , could see inside rank combo mildew dirt . generally dirty bathroom sink shower want drain . dirty carpet leave sock black , musty smell really loud air conditioner . go downstairs ask upgrade , room . clerk honest enough say half room refurbish , must stay , ask refurbish room . go check , clerk refuse check run late get day job . leave front desk unattende , wait 30 minute new clerk arrive . also , store luggage . ask get store luggage , hand key get . could take anything fancy . 
 Jul 9 2007 	 great location - good night sleep 	 attend Ohio wedding . compare area price steal . plan cleanse sleep room adequate . plan return fall enjoy city . 
 Jul 8 2007 	 Great Location Good experience 	 reading post prior come Chicago stay Red Roof Inn sure expect . experience pleasantly surprised . start staff friendly helpful . July 4th holiday . we stay 9th floor corner room . room update , clean , air conditioner work well . great view city N. Michigan Ave . think $ 129.00 night city like Chicago location hotel beat get . look 5 star . say room clean everyday ! ! live NYC know would never find hotel price anywhere ! ! look great location Chicago , thrill , look fancy hotel room spend hour , place you . it really close Navy Pier , magnificent mile , shopping , several GREAT restaurant , public transportation . favorite restaurant : Weber Grill ( great burger , rib , steak ) Bice restaurant , happen next hotel ( italian ) Ballo 's ( italian ) must try meatball ! ! ! Gino 's East Pizza ( great deep dish pizza ) 45 min . wait worth it . Grand Lux Cafe ( great breakfast ) Tempo Cafe ( another great breakfast ) order omlet pancakesall reasonably price simply delicious . ! ! overall great time Chicago would go back price location would stay Red Roof Inn . 
 Jul 4 2007 	 Got expect . decent great local . 	 Read review little nervous , pleasently surprised . pay 120 night Sam 's Club membership . we spend time room sleep , need for . we within walking distance Navy Pier , Broadway Chicago , Milineum Park , Sears Tower & amp ; Hancock Building , etc . Valet park car never use next 5 day . only complaint elevator slow & amp ; small . 12th floor take thing get lobby . room small use sleep & amp ; bath . I definetly go back . price less half next cheap could find . 
 Jul 1 2007 	 hate Red Roof Inn 	 go know room would basic not expect much except clean . room horrible . stuff come sofa cushion . toliet seat clearly not clean . air vent showere fill dirt dust . outlet bedroom face plate top & quot ; clean & quot ; towel dry blood . never would stay . 
 Jun 22 2007 	 Locatin location location 	 glad read review TripAdvisor reserve room . know exactly expect - great room incredible location . boyfriend travel across country quickly one day experience Chicago . not time stay somewhere cheap outside town take transit drive park . arrive midnight - valet park car . not see car leave . staff polite , overly friendly , everything need . crash soon get room , small indicated website . woke hit Chicago , half block away . hotel good neighborhood - incredible . walk place day sightseeing . stop room quick change clothe shower hit street dinner . next morning hit street leave . negative comment air conditioner , not negative we . love loud white noise hotel room - especially loud city . drown noise . use quiet night , air conditioner probably would bother . downtown location would probably bother . love hotel would stay . hotel neighborhood $ 300 + per night . pay ~ $ 170 Red Roof Inn . picky want hang perfect hotel room , . 
 Jun 20 2007 	 can not beat location would not stay anything 	 like other note , reason stay price location alone . not expect extra , unless consider hair dryer A / c big perk . room small not clean housekeeper not bother come third day . shower drain -- disgusting -- housekeeping could fix . a / c full blast nothing . we come toddler receive crib , stain old . refrigerator & quot ; standard & quot ; room , either . good place bring young child , survive . italian restaurant , notfor family young one . credit , check mention drain problem rec have $ 80 credit adjustment . 
 Jun 17 2007 	 good hotel problem 	 stay Red Roof Inn 3 day early May . hesitate long time stay bad comment . us pleasant surprise . location perfect . reception nice helpfull . arrive early room booked clean . leave baggage come back lunch , 3.00 p.m. because room still ready offer we upgrade big room without cost . nice corner room , 2 bed , desk 2 chair . everything clean . so complaint $ 116.00 per night ! would come back . 
 Jun 14 2007 	 could not wait leave 	 know well reading comment , think would take chance ...... big mistake ......... filthy ... walk barefoot carpeting bottom foot blacken ....... small define bathroom ( even compare Europe ) .... part wall shower came crash tub .... experience ...... never think could say , would rather pay stay somewhere else , stay free ! ! ! 
 Jun 7 2007 	 Value Hotel Stands Excellent Location 	 stay 3 - night , good experience . hotel average . room 2nd - floor spacious okey . staff helpful , polite enough . although 1 - block distance Magnificent Mile , rate much value . , recommend hotel economy traveller . 
 May 4 2007 	 get pay 	 Red Roof luxurious hotel functional well locate would recommend be look somewhere stay budget downtown Chicago . true , room huge customer service great room clean quiet price pay would expect more . if want upmarket hotel , not stay , want location right Magnificant Mile fair price decent option . 
 May 3 2007 	 basic hotel good location 	 basic hotel good location . hall tired , narrow , dirty noisy . room small smell clean product cover mildew . chair desk room . sheet clean , towel small threadbare . challenge aspect door bathroom would stay open . prop open waste basket order get ventilation . 's kind place take shoe room . front desk staff nice , train . location price reasonable . even though ' m give good review , would probably stay could not find well price area . 
 Apr 14 2007 	 downtown location show website 	 room feature website . small conference stay -- desk chair -- barely enough room bed . vacuum prior arrival- require call housekeeping . refill daily need requested- shampoo , glass , toilet paper . nice folksworking , though . location good conference , shopping , restaurant . money concern , place . otherwise , recommend call reservation ensure room meet need . large room pay advance prevent we upgrading room , attempt . 
 Apr 6 2007 	 dislike Red Roof Inn 	 Chicago : Red Roof Inn Chicago , Illinois Ontario St & quot ; clean '' Date : April 6th 2007reviewer : VistorOur family return trip Chicago . stay Red Roof Inn . first night stay okay . wake next morning son really big bump leg ! mom go front desk ask clean bed lot . they say change daily . go sleep next night still bad . ask say pet friendly . leave wer not concered . really not like stay Red Roof Inn . 
 Mar 10 2007 	 happy Red Roof 	 Receptionist extremely nice- order queen bedroom , offer upgrade we extra charge king bedroom , also ask preference whether want upper low floor . also ask would use laptop anyhow give we nice spacious room ( 1002 ) , look like quite recently renovate . as previous post , concur location could not well . street hotel locate good Indian ( & quot ; Indian Garden & quot ; ) italian restaurant ( & quot ; Bice & quot ; ) . also , recommend previous posts- & quot ; West egg cafe & quot ; excellent breakfast option . there also cinema complex near Ohio st . ( across & quot ; Virgin & quot ; mega store ) .Our complaint red roof t - mobile hotspot , not function well . buy pre - pay weekly pass , lot problem initial connection service later usage . still , ' m guess problem relate t - mobile service red roof . anyhow find red roof really good deal pleasant stay . 
 Feb 28 2007 	 great location well Priceline 	 one reason stay - location 1 block Michigan Avenue block Lake Michigan great . that say , many reason : - room incredibly small american standard , even compare city centre hotel number european cities- charm- staff neither rude customer service focused- summer , will tend get fellow guest early 20 look cheap place stay party Chicago , may may desirable you- 's & quot ; renovated & quot ; lead believe- dirty , room not cleanBut , reviewer focus price . sorry , not sufficient reason stay use Priceline . ' ve never use Priceline , consider Chicago great chance start . April 2006 book room Hyatt Regency Wacker Priceline $ 75 night book rate trip February 2007 Holiday Inn Mart Plaza . addition simply nice hotel , room 2 4 time large room Red Roof . literally ... , location care , Red Roof good find . focus location price , due favor try Priceline first . will not regret , even pay little . focus anything else , not think stay . 
 Jan 23 2007 	 Worth Savings 	 husband get & quot ; VIP & quot ; pass Red Roof Inn DREADFUL stay St. Louis location last year . decide try & quot ; redesign Rededicated & quot ; Chicago site last weekend . thing hotel go , location , right Michigan Avenue . , would think ' ve land tenement seedy side town . we greet desk clerk friendly fashion , give room key 9th floor room . take elevator 9th floor , find room corner . room large small college dorm room , 50 degree ! shabbily decorate drab , dirty - look bedspread , non - descript wall . turn heat immediately , surprise heater start buzz loudly . agree would able sleep noise , ask another room front desk . clerk seem surprised anything wrong first room , give we key another room 2nd floor . ( wondered not give room first time instead shippng us 9th ) take overnight bag & quot ; new , improved & quot ; room , 2nd floor open elevator door overwhelming smell cigarette smoke . since request non - smoking room , bode well . however , get room ( corner ) shut door , smoke odor obtrusive . decide room would & quot ; fine & quot ; overnight stay . slightly large , still small drab . window curtain either SHUT completely open high rise around , under - liner let light , give privacy . room claustrophobicly small , choose leave curtain open bedtime . bathroom facility minimal ...... tiny sink , place put toiletry ...... old tub toilet need replumbe , since toilet & quot ; ran & quot ; night long , even several attempt & quot ; jiggle handle & quot ; . narrow shelf toilet , lean toward toilet , nothing could place unless want toilet . if require place lie head right magnificent mile , go spend time room , suppose hotel would fit bill . much cheap . say sheet seem clean , towel , bedspread questionable good . we ' ve decide be go steer clear RED ROOF . 's leave bad taste mouth twice two year . like old saying go , & quot ; Fool , shame ....... fool twice , shame ! & quot ; 
 Jan 16 2007 	 great location basic stay 	 travel hotel Girl Scout troop . look good location little money could get away . Red Roof Inn perfect . room small , not room sleep shower . front desk staff helpful understand travel tight budget . hotel fairly quiet close Michigan Avenue , hear ambulance . would highly recommend hotel budget - minded family want downtown experience . 
 Jan 15 2007 	 cheap cheerfull 	 book Red Roof Inn not expect much base review site . however get quite surprising ! not fabulous hotel worth pay unless plan stay hotel day , not need much get place ! reception staff really really nice . give we extra pillow , towel hanger . one two like hotel - give we load . people behind reception helpful friendly . ask thing stay super helpful . the room huge ! basic be expect . king size bed ' m pretty sure book double - bonus ! bad thing fact window not open be expect . clean daily always spotless . location brilliant . short walk Navy Pier , John Hancock Centre , Michigan Avenue importantly Herseys shop ! ! ! ! surprised Red Roof Inn . expect bit disappointed pretty cool ! would defo stay . 
 Jan 6 2007 	 ` ` abandon '' Property ? 	 everything satisfactory unremarkable hotel , check room get airport . husband remember take shoe night , put bed forgot pack . call hotel airport ( two hour check ) report forget shoe . front desk clerk say nothing could right call back later . call back hour later say shoe turn housekeeping staff , call back next morning . ... still shoe turn . find rather odd b / c husband know leave shoe tell exactly find . call Red Roof corporate office tell , three day later get letter say property leave room consider ' abandon property . ' abandon property ? even call report within two hour ? somehow envision maid 's boyfriend husband walk around husband 's almost new $ 150 pair Timberland shoe . never stay Red Roof future . ( incident , overall stay okay , front desk staff could sure use attitude adjustment . front desk girl personal call check we wait finish make after - work plan . ) 
 Dec 12 2006 	 never ... 	 mention , location hotel great 's end . staff indifferent non attentive . first check , first room give not clean yet . call front non apologetic say , come will give another room . back go get room 3 floor low . the bathroom leave much desire nothing tiny sink toilet- vanity space , nothing . room overall drab seem dirty . window filthy could not see . heater go full blast time - 's option . 2 tiny pillow , nasty brown blanket , crunchy sheet bedspread not wash make bed . we stay save buck ( ' ve stay previously Fairfield right block ) will never . busy day city , room not relax refuge come back . 
 Nov 28 2006 	 great little place 	 great hotel . room little narrow , price pay , expect lot less . room clean , quiet consider busy area . good location , excellent tourist look get good night 's sleep short stumble home big night . check early , 9 am , hassle consider recommendation 2 pm . friendly helpful service . 
 Nov 28 2006 	 Fantastic Location basic rate 	 spend three night red roof inn complaint . hotel basic would expect rate room clean big enough . plenty good place grab breakfast within block complimentary coffee lobby not enough you . big selling point red roof though location , literally Mag Mile fantastic surprisingly clean hassle free ! w whole would recommend Chicago hotel . worth jumpimg taxi ( $ 15 ) wrigleyville night plenty cool bar . one complaint hotel , must hospital run occasionally hear wail ambulance siren night . though good value 
 Nov 18 2006 	 Great Location 	 ok , place Ritz ! fantastic location rate within seven block radius Magnificent Mile . city Chicago lay foot explore . the room bit date , troube cleanliness room spotless . room small normally find US , massive european standard . front house staff generally helpful Lashanna particular outstanding ! nothing ever much trouble professional pleasant throughout . main point lack complimentary wireless internet breakfast although purchase wifi access card good reception room , free coffee tea serve day lounge . overall , great choice want see Chicago budget . 
 Nov 13 2006 	 Terrible Hotel - Cramped Uncomfortable 	 stay Red Roof Inn Chicago Chicago Marathon weekend . dreaful experience put nicely . list reason stay property.1 . front desk staff unattentive unknowledgable2 . cramp room - ' ve stay W financial district room size , feel cramped.3 . heating system work properly - either hot cold4 . could feel coil bed - good post - marathon sleep.5 . shower hot water - take lukewarm showers.6 . book room January give & quot ; accessible & quot ; room - bathtub ! 7 . free internet access ! top reface front part build layer dirt clothe bed . could believe horrible ! blow nose weekend - ask change room unapologetic work I . do not stay hotel ... far well property Chicago ! ! 
 Oct 30 2006 	 average 	 hotel great deal step Michigan Avenue ? room need serious attention ! housecleaning vacuum , not bother go corner next bed ( find skittle , & amp ; 's , Advil , dust bunny floor ) . must use dirty rag clean bathroom . hair wall soap tray top toilet . toilet seat fall , arrive , soap extra toilet paper ( oops ! ) . bathroom smell like urine make we wonder even bother use disinfectant cleaner . realize Halloween , appreciate real spider webs window . last , least , hospital nearby Ontario one way street ambulance use race scene loud siren honking horn . remember , accident happen time day night , even three morning . bring earplug ! stay hotel one cheap near MIchigan Ave . , look place sleep . know cheap know also.if bring child , even think stay dirty , unsanitary , siren scream hotel . buyer beware ! get pay . 
 Oct 6 2006 	 budget - minded Bliss 	 nine friend decide stay town run Chicago Half Marathon . want near shop good dining , , suggest Red Roof Inn Downtown base review read Trip Advisor . Great Location great value ! room clean staff okay ( accomodate other ) . read small room , book double deluxe room ( four woman / room ) . size fine need . however , could get room next one doulbe deluxe room per floor . able get late checkout ( could shower race long ride home ) . staff seem hesitant grant request , explain reason , relent . would hesitate stay recommend place buget - minded traveller . 
 Aug 29 2006 	 great location money pay 	 husband get back weeklong trip Chicago . I adamant stay downtown Mag Mile area despite high room rate want we middle everything . budget . the pro : rate half hotel across street . clean room quiet , consider location downtown . choice several king size room different floor - get 5th floor room ideal keep noise minimum . location - short walk Water Tower Hancock . Michigan one block over . a great breakfast place street - West Egg Cafe . free coffee , hot water tea hot chocolate available timesA 24 hour Dunkin Donuts / Baskin Robbins across streetpatient staff answer question first time visitor instead brush offwe definitely recommend anyone budget want stay downtown / Mag Mile Chicago . 
 Aug 19 2006 	 Value convenience 	 advice TripAdvisor member , request king size bed . room small , enough room one person . two people , would quite cozy . three people - e.g. , parent child - well , be probably good pick location stick . elevator bite slow side . hallway narrow tired looking , room fine . mattress good shape , soft , hard . read light bed desk lamp . bathroom small door stay open . door open could not use toilet , anyway . plenty hot water . extra counter space . sink toilet top slant forward , anything carefully place would slide sink toilet . tub low sided grab bar , disability plan ahead get room accessible . tub texture bottom slippery . wi fi available fee . day two might want get day pass ( $ 9.99 ) . one month 's access $ 39.99 . lucke get end room , two window , connection strength excellent . desk clerk say good room , case guest come lobby . the lobby nice place sit , tv , tourist info . two machine offer variety coffee , hot water , hot chocolate day . step deal , automatic door , valet parking available . but shortcoming place overlook great value great location . be cheap cheap place downtown . AAA discount , rate range $ 80- $ 98 / night ( depend whether weekday weeknight ) . be within easy walk distance many restaurant , recommend travel guide . small food store , drugstore laundromat within block radius . subway station 4 - 5 block away , Michigan Avenue block away catch many bus . room average , problem overlook . rate property average price location . 
 Aug 16 2006 	 great value money Chicago 	 bit worried place review .... need not . staff courtious , hotel clean ( albiet small ) , location could well . like luxury hotel spend time vacation hotel room ... splurge stay somplace else . intend spend time experience Chicago sleeping room night .... place ( will save good $ 100 per night ! ) pay $ 140 / night . 
 Aug 4 2006 	 Excellent value 	 stay Red Roof July 4th holiday , stay Chicago pay $ 220 nice hotel , cost we $ 110 night inclusive tax . room clean whilst review site state room tiny would say small standard motel room tiny ( travel route 66 first stop 3 week stay plenty luggage ) . location review state superb really beat . free coffee foyer nice touch morning although available 24 hour . overall impressed Red Roof would hesitation whatsoever stay , 
 Jul 24 2006 	 Great Location 	 stay 3 night . originally rqstd one bed - get two ( book on - line 3rd party ) . room quite small w / two bed . shift body sideways let person , though room / bath ( tiny ) clean . go front desk evening speak w / Allyn incapable securing next day room change tell speak anyone next morning . Valerie next morning , quick courteous help locate one bedded room . rm804 queen . though smoking room , difference ! much roomy room bathroom ; figure handicap room , complete w / writing desk chair . definitely make stay enjoyable . thank Valerie kind helpful ! Erica great c\i & amp ; c\o , w / local brkfst . recommendation . go West Egg Cafe breakfast ' til 3 pm , late sleeper , two block away . $ hop w / in walking distance . KING TUT exhibit ' til Jan.30 disappointing - no sarcophagus . get ticket advance , sell quickly day . 
 Jul 18 2006 	 Loved Red Roof Inn 	 stay Red Roof Inn downtown Chicago June , 2006 , read review website . room tiny , high rise hotel Chicago , clean well equip . bring coffee maker use room not , gourmet coffee available lobby 24 hour day . also starbuck right across street . hotel centrally locate , walk distance everything . little noisy traffic want sleep , great midst everything . hotel staff extremely friendly helpful , everyone always smile face . parking extremely expensive , amount change call inquire . website say call current rate , call two night arrival date . say $ 28.00 , $ 33.00 day time check . apparently switch valet company stay . , great place stay , much cheap surround hotel , would stay second ! 
 Jul 11 2006 	 Great Location good value 	 book hotel base comment agree 's good value money . 's locate hotel district close many restaurant , cinema next shopping street . follow sight within walking distance : Museum Contemporary Art , HIstoric Water Tower Pumping Station , LUMA ( show interesting exhibition & quot ; Gods Shape & quot ; Sep 10 ) Hershey 's Chicago store . 
 Jul 6 2006 	 wonderful location nice room great service 	 visit Chicago first time June 30 , 2006 - July 3 , 2006 . book Red Roof Inn - Chicago base price review website travel book . wonderful . use stay nice , expensive hotel not want pay Four season Intercontinental price trip . book room $ 107 night steal . AAA motor club discount . location amazing . half block Magnificent Mile , safe , well light area . many restaurant near ( next door , across street ) stay open late . never Chicago NYC , Boston LA many time , use city store / restaurant shut early . not problem area . check quick easy . great rate front desk man actually ask book see rate low age . also say participate AAA discount anymore ( problem we book still take discount ) . request king bed , non smoking , renovate room face Ontario St . read many online / book review room face Ontario St light well view . nice enough oblige get everything request . corner room 11th floor nice . complaint smell musty . think smell come air conditioner . get use . room nicely appoint ( king bed , tv , alarm clock , night stand , desk , chair ) spotlessly clean . bed comfortable ( bad neck / back ) . view nice . view Michigan Ave one window Ontario St another window . bathroom fine . definitely small clean bath / shower curve rod room . room look like picture online . would take pic review forgot camera ! elevator small slow air condition easy deal . valet ( use ) sort door man call cab we . free coffee , hot chocolate , tea lobby . would definitely stay . 
 Jul 2 2006 	 great location good value money ! 	 stay Red Roof Inn , Chicago , 4 night June . location great - half block Magnificent Mile ( Michigan Ave ) - lot shopping . walk location . catch Chicago hop - on / hop - off bus first 2 day . first day re - acquainted city ( be 6 7 year since last visit Chicago . ) take Heritage bus tour . next day hop Museum Science Industry see wonderful Da Vinci Exhibition . another day , board Wendella Chicago River Lake cruise ( 1 1/2hrs ) . beautiful clear blue sky day tour another ' winner ' ! inn area 's scatter lot eatery - TGIF , O'Neill 's Bar , cute all - day Corner cafe lot local eat / take - away breakfast / lunch etc chinese restaurant across road RR Inn usual take - away ' joint ' ... choice food price ... check - in / check - out quick painless ( book web pre - pay ) Front Desk staff friendly obliging ask advice get snack . 10th floor room small , really comfortable king size bed ( husband 6 ' 4 & quot ; really appreciate request queen size bed , take consideration ) . bathroom small - shower / bath combination . toilet also bathroom . airconditioned room overlook street building opposite . quiet enough ( usual door slam corridor inconsiderate patron ) Chicago clean , green ( Australia still suffer drought condition ! ) architecture wonderful ! 
 Jun 12 2006 	 Good Location small room ! 	 great location visit Chicago . within walking distance everything . hotel staff nice easy work . room elevator TINY ! ! two people could not walk around time . one room king size bed different room 2 double bed take entire room . elevator small . clastrophobic . a / c break , staff transfer we another room . staff knowledgeable come train station . good stay except size room . 
 Jun 1 2006 	 perfect location 	 recently stay 1 night Red Roof Inn downtown Chicago , book tjrough Expedia get good deal . I surprise arrive , discover location , price , centraly locate , around corner Michigan Avenue . the hotel well stay , budget work fine I . the room bit date need refurbishement , bathroom nice clean . Moroeover frontdesk clean staff nice helpful , good please we . one thing miss though : restaurant get breakfast hotel , free coffee machine lobby .. problem we plenty place eat morning , especially nice bakery terrace around corner hotel . overall would recommend traveller budget look clean , cheap & amp ; central accomodation Chicago . 
 may 23 2006 	 good value location 	 agree many positive comment write far red roof . room indeed quite small , take business king suite ( 10 $ regular room ) two washroom , king bed queen sleeper sofa – perfect two adult three child . fridge + microwave , two tv ' everything quite clean . 's great location , price , good deal . staff also helpful . finally , share opinion other mention 's old building , elevator rather small slow noise street sometimes hear . say , find point rather secondary relation good aspect hotel . 
 May 12 2006 	 Borderline Accommodations 	 stay business May 2 . get pay . least expensive suite hotel area reason . little creepy base clientele , hotel staff old building . stay see could / should bring family summer sightseeing . compare Seneca Homewood Suites choose one other . Red Roof good location barely meet modest standard . not family . 
 May 5 2006 	 good location 	 hotel could better location . block Magnificent Mile really good restaurant ( include Cheesecake Factory ) . lobby update staff nice rest hotel old little run . room small nice long weekend work . long claustrophobic ok . lobby plenty information visitor taxis easy catch front . everthe tight fit , noise issue morning bird late night guest not know respect guest . request low floor elevator seem always crowded take forever . also , not plan shower check time hot water ! 
 Apr 30 2006 	 good location clean ( small ) room 	 price , good deal . 's great location , room clean -- quite small -- comfortable , king - sized bed small desk comfortable chair 25 inch TV.It 's old building , heater noisy always totally effective , elevator tiny slow ( especially stay top floor ) . also , keep mind 's often use school group , wall not especially thick , noisy time , never trouble sleep . staff friendly helpful . 
 Apr 23 2006 	 Location Location Location 	 good thing hotel 's location . move shop restaurant , bar etc . the price hotel reasonable comparison hotel immediate area probably quite cheap . the hotel old building . foyer modernise quite comfortable good friendly staff . lift room small often quite busy . room small whilst bartroom clean evident hoover reach corner room thin layer dust run around edge . if fussy kind person find plenty fault hotel . use base explore great city , spend long inside room sensible money hotel make great deal sense . 
 Apr 19 2006 	 great small hotel -- keep fire safety mind 	 Red Roof Inn Chicago great small hotel property city location prime . 's block away main thoroughfare good neighborhood hospital campus , hotel , busy restaurant . Front desk staff courteous time call assisance get quick response . like many old property hallway small , elevator small , room traditional U.S. size . jammed either owner invest contue upgrade public area room decor current area good light comfortable furnishing . not many people consider fire safety select hotel , old property challenge . nevertheless , stay Red Roof Chicago first time conscious fact build central sprinkler , two exit stair consist one internal staircase around corner main hallway , rear fire escape ( i.e . outside metal - mount staircase / ladder ) , stairwell . federal employee generally require stay new property fire safety system , way suggest property safe -- fact , hallway always clear , well - light , alarm system appeard upgrade , fire extinguisher / hose . 's worth remember hotel level life safety technology available . least , little aware fire exit location good idea stay old property like one . 
 Apr 19 2006 	 Great Location Horrible Hotel 	 travel world would stay hotel . although location perfect , place old disgusting . hair bathroom wall floor dirty . one crumby dresser tv top . room tiny . heat break noisy end get $ 50 could not fix . also one tiny elevator convention hotel wait long time elevator whenever want go . shop around walk extra block pay dollar place worth . 
