would 	 visit NYC Thanksgiving week husband 4 child , age 10 - 15 . happy time give we key card 29th floor room check ! room clean , bed comfy , towel plush . always someone helpful desk . work desk personnel , doormen concierge ; helpful quick respond need . size room midtown location amazing ; suite way go family . we find cheap parking icon parking garage , skip valet parking hotel offer . neighborhood , proximity subway station add value hotel . say , stay , stay , stay ! ! 
 wow can not go wrong Dumont 	 hotel extremely clean super comfortable ! ! tha housekeeping staff extremely polite amazing job refreshing room ! & quot ; full & quot ; kitchen huge plus want bake fresh pizza @ 3 am : ) full - size fridge keep Grey Goose cold . Freezer ice tray , huge plus do not think ! bed comfortable room large ( 400 + sq ft ) especially NYC . tv bit outdate ( ancient tube tv ) . front desk staff pleasent deal , problem check . gym / fitness center open 24hrs : ( think fitness suite hotel ? : ) would definetely recommend hotel price range , stop research stay , love ! thank Affinia Dumont . 
 Sep 7 2009 	 great hotel great location 	 wife stay Affinia Dumont Sept 4th thru Sept 7th . hotel great location E. 34th st , near Empire State Building , Madison Square Garden lot shopping place eat . location hotel great , 's street subway stop catch train 5th Avenue , Rockefeller Center Times Square . hotel great , room nice big , big New York , bed soft comfortable . staff great , helpful , need direction get somewhere , help need cab , bellhop wave . hotel locate nice neighborhood call Murray Hill , wife not spend much time around hotel little time , nice , Empire State Building block street , stand 34th St see , be close . spend lot time 5th Avenue Times Squre , also go Harlem 125th eat . matter , make sure get Unlimited Metro Pass town ride Subway ever wan na go , be cheap pay cab great way see city . Affinia Dumont great hotel next time go NYC , will stay . 
 Sep 6 2009 	 Concur : problem 	 spacious even you re compare non - NYC Hotels : compare standard NYC Hotel room room airplane hangar . clean . colour scheme may lend little dingyness : beige dark brown , be clean nonetheless well - maintain daily . view great . actually back side Hotel look south old city East across Brooklyn . lot blue sky . drive , park lot across street . 's 30 buck day instead 55 ( ! ) dollar hotel charge Valet parking . lot even cheap within short walk check nyc.bestparking.com arrive . clarify early post , nearest Subway Park Avenue , 100 meter away , be one stop south Grand Central . neighbourhood quiet , food Barking Dog Pub hotel good reasonable . good restaurant Third Ave , east Hotel . the gym excellent appoint complimentary . big plus . the con think 15 buck day internet . be much , especially internet commonly free wireless similar hotel . the theatre district accessable Subway ( one stop , one stop Broadway 42nd ) , 8 dollar cab ride show you re press time need make 8 pm curtain time . we like neighbourhood . Murray Hill safe , nice break Times Square Square become even large loitering station 50th 34th street Broadway partially block & quot ; pedestrian . & quot ; thing avoid Times Square since Murray Hill ? take # 6 Subway Park Avenue stop south end foot Brooklyn Bridge . walk . walk around corner Park Ave Morgan Library , always cheap ( 12 dollar less ) , free Friday night . great architecturally 's varied treasure . walk two block Empire State building , Library Bryant Park . take # 6 one stop North Grand Central , walk Park Avenue , simply walk hotel . Tour Waldorf ( really remarkable landmark . ) luxury hotel ; be probably something well . be clean , quiet , functional ( could cook turkey kitchen would like , though may little much ) good neighbourhood away madness Times Square . 
 Sep 2 2009 	 perfect location sight see Manhatten 	 Excellent location , Supurb view room , good facility , helpfull staff , good value money , clean . small kitchen great budget minded fantastic 24hr deli within 50 ft hotel mean grocery easy come . pleanty basic bar restaurant near ofcourse 2 min walk Empire State building . concierge excellent help plan day contact dine . there negative mostly fussy ! free wifi , cost $ 10 per day broadband cable , seem expensive free cheap hotel Holiday Inn example free wifi room $ 60 per night . bathroom small standard Hotel inroom tv system easy use ( find channel etc ) . price NYC good 
 Sep 1 2009 	 stay ! 	 boyfriend stay almost week end August . location awesome ... stand outside corner street , see Chrysler Empire State Buildings . close subway station six block away . nice quiet residential neighborhood . great diner / deli / pizzeria nearby lunch breakfast . try GiGis great / cheap breakfast ! room super clean huge NYC standard . hotel offer & quot ; pillow menu & quot ; , awesome service / staff ( thank Iris great room ! ) , room safety deposit box , Aveda product bathroom , suite come full kitchen . definitely stay go back NYC . beat rate Manhattan ! ! ! 
 Sep 1 2009 	 stay 	 return US trip . stay 4 night Affinia exacly want hotel New York . spacious , quiet , clean comfortable expensive . little kitchenette suite great odd snack although area full good place eat . one side hard wire internet access modem cost - unusual day wi - fi . the staff efficient courteous request high floor room view , be exactly get . would stay without doubt - love New York . 
 Aug 30 2009 	 ol place good expect 5 * 	 location great room little disapointing . tea / coffee make facility even though kitchen . kettle coffee machine 1 large saucepan . air conditioner noisy , carpet hotel room dirty realy need good clean . 2 adult 1 , 13 year old 1 , 11 year old 3 bath towel . ask several time 4th provide do 2 day complain housekeeping . hotel good 3 * plus point NYC spend little time room look another hotel visit NYC . 
 Aug 30 2009 	 comfortable home 	 return Australia 7 night stay Affinia Dumont . lucky 33rd floor outstanding view ( 3304 ) - excellent spacious room like picture net kitchen great breakfast store beer , champagne goody Murray Hill Deli 2 door away convenient . bed superbly comfy air con work well give hot . staff excellent . location excellent - block half subway 33rd ( green line ) surround great local restaurant ( Pan East Asia restaurant open superb reasonable ) . easy walk Macy 's etc . find great bar / restaurant call Yaffa Cafe - take subway Astor Pl green line , walk past Cube sculpture ( pivot turn ! ) 8 st . great outdoor garden fill fairy light ( outside close 11 pm ) come inside fabulous art deco / bohemian surrounding . great place ..... many ! 's New York . definately stay Affinia Dumont next time . book . 
 Aug 29 2009 	 Good Place NYU patient family 	 family member hospitalize NYU Medical Center surgery . arrive early hotel hold luggage make available early check - in . understand lack knowledge exact departure day . hotel quiet clean . room large spacious NYC hotel . could ask supportive place stay someone close hospitalize city away home . 
 Aug 29 2009 	 Excellent stay 	 great hotel , room clean , hotel central shopping , alot ! lot choice restaurant nearby . would recommend anyone head big apple . 
 Aug 28 2009 	 Great Location Huge Room View 	 see lot good review hotel - know . staff gracious ; check - in easy reservation request honor : quiet room view . fantastic view 32nd floor , look north Chrysler building . the room large , plenty room set laptop desk . king - sized bed comfy . bathroom small well - appoint good pressure shower . Kitchenette useful , - keep stock wine pick around corner . try dinner Da Ciro around corner Lexington . delicious grill seafood salad excellent pizza margherita . tasty , perfect amount pre - theater dinner . a couple review TripAdvisor complain small lobby - huh ? yes , be small perfectly comfortable - much time one spend ? complaint wait car airport . another nice thing : have ask late check - out , hotel fully book day leave , dice . gentleman front desk advise could hold bag ( course ) also could use hotel 's gym want shower freshen head airport . nice offer ... will definitely stay next time ' m NYC . 
 Aug 28 2009 	 can not wait go back ! 	 stay 6 night march reading review . can not say enough good thing . middle manhattan far anything , quieter NYC street , near subway 6 line . get upgrade suite room HUGE full kitchen . Room newly renovate , modern spotless . staff always friendly super helpful . 2 grocery store nearby , pharmacy , lot restaurant ( must must go artisan park 32nd cheese wine fan ) . fantastic fantastic stay do not wan na leave ! would gladly live ! 
 Aug 28 2009 	 nice Hotel quiet location 	 stay 5 night praise enough . the room spacious kitchen clean . bed extremely comfortable . the area quiet night ensure good night sleep . the staff friendly , especially paul front desk Chris greet arrival full useful tip . very well place explore NYC 
 Aug 27 2009 	 Great Location service 	 ( grandparent teen daughter self ) stay 6 night . everything need . high 1 bedroom suite 2 dbl bed sleeper sofa . bathroom good size , strong shower . tiny kitchenette enough need ( utensil dish useful really look cook , would NYC ) use breakfast food twice , snack , fruit , drink . the 1 bedroom suite close 600 square foot . front desk dorrman great . concierge ok seem much would expect ( maybe go 5 pm , dinner etc recommendation , ) . ok , nice feel little lacking info ( ie Iasked could put money Metrocard without going subway- understand 1000 's store could ads- tell subway- right ) ? ) room size great 4 adult size people . view Chrysler tower die for . location great- use bus get tired rather subway , since cut walk , particularly heat . what like : a. internet- pay , $ 10 ? / day yikesb . lack real business centre- computer lobby cost $ 6 20 min ! ! concierge know much cost ask ! see business centrec . french fry find sofa bed- yuckd . hallway a / ced- energy saving thing ? hot hot hot hall roome . concierge early eveningthis hotel well locate , great service front desk , door . lots corner store , market , drug store , restayrant ( check 3rd street ) . bus stop right front door , subway 2 block ( 5 min walk ) away .. room size amazing . this luuxury property- small lobby , room adequately furnish luxury . pay $ 250 / night 1 1 bedroom suite- great deal.yes back- internet freealso bark Dog- avoid dinner want enormous portion cover goopy sauce . 
 Aug 24 2009 	 great Stay ! 	 go trip son graduate high school start college . great time . able see site want . use subway trouble . plan next trip stay ! 
 Aug 22 2009 	 suit great staff 	 use board te Affinia Dumont regularly 1 - 2 week business stay NY . junior suite long stay perfect ( full kitchen , sofa ) . love : - welcome care staff ( always make feel home ) - good experience hotel staff NY far - room size decoration ( simple efficient ) - good bedding- gym - well equip ( include Hammam ) - cleanliness - view East River ( ask high floor view ) - spa - area : aware toursity heart NY . appreciate quiet still close enough wear would want go . note : - kitchen efficient , effort style decoration . - really like metallic door ( cheap cold ) - Service minimal : bar , small lobby . feel like service appartment - really frill . board place almost 8 year : 1998 2006 . would get much expensive , renovate turn ' boutique ' hotel . promotion come often use . still possible , find good price . would recommend long stay like make home suite , family stay . much romantic stay . 
 Aug 19 2009 	 mixed feeling 	 stay hotel week , return UK couple day ago . like many reviewer , book base positive review already post . we welcome doorman reception staff arrival . check efficient advise service , spa , diner next door etc . location hotel excellent- quieter residential neighbourhood couple block esb 5 minute walk subway 33rd street station 6 line . our 1 bedroom suite 36th floor- pleased request high room . great view Chrysler building . kitchen real bonus buy water , juice , chocolate etc Murray Hill market three door store fridge rather use minibar item ( $ 3.25 50 g packet & amp ; Ms ! ) Aveeda toiletry lovely . 6 7 day good stock hand bath towel . suite clean well daily basis . these real positive stay . however negative dirty carpet dirty sofa bed ( arm rest sticky feel ) . not housekeep issue maid service excellent every day . furnishing need steam clean ! use Barking Dog Diner evening meal one occasion . food service ok good enough we want go back . good experience . staff always pleasant helpful . thing would put return dirty carpet sofa bed . would recommend hotel friend room size hotel location friendly staff would prepare carpet/ sofa bed issue . hopefully management address soon notice number recent review highlight problem . 
 Aug 18 2009 	 EXCELLENT value 	 price hotel website , 12 month trip , get idea holiday budget . year , booking , price come lot . get spacious 2 - bedded room , full kitchen $ 142 night . absolute bargain New York wonderful hotel . love location . clean priority . guest laundry bonus we . staff friendly , doorman even remember name ! would definitely stay . fantastic . happy restaurant attach well . breakfast great start day . pancake fruit die . 
 Aug 17 2009 	 big room comfortable bed great view 	 stay Affinia Dumont 4 child age 1 - 19 . choose hotel due proximity old daughter 's new apartment great review Trip Advisor . disappointed . room corner room high floor california king large sofa bed . also kitchenette convenient left over , fruit drink etc . great view city way river . walk everywhere go weather beautiful . actually walk mile Penn Station day arrive ! cute market corner hotel locate , plethora restaurant choose even utilize drugstore across street three year old get sick . negative rug buckle several place wallpaper peel room internet access free . definitely stay . 
 Aug 17 2009 	 overall good value 	 Murray Hill part New York city will find hotell two block 33rd st . subway station # 6 ( green ) train . stay several night really impressed space great price . kitchenette room save we money meal never consider bad thing . lobby look good door staff always welcome . experienced difficulty get item online concierge site ( pillow blow dryer diffuser ) , fact eventually get item good . lobby smell Lilly place clean . one small gripe concierge border rude . man cut discussion restaurant . otherwise , staff friendly accomodating . good stay would recommend other . 
 Aug 17 2009 	 not live expectation base review 	 first arrive room not ready even though three . staff apologetic give we cocktail voucher restaurant / bar next door ( good place brunch ) . room really spacious quiet fridge kitchen bonus . however back hotel always seem dark , plus sofa bed far uncomfortable teenager end huge bed not make great night sleep . New York not spend much time room would not return . staff always pleasant make great reccommendation eat . able use spa shower return flight home overnight bonus day sightseeing . 
 Aug 13 2009 	 good place stay thus far nyc 	 ' ve stay several hotel nyc year , mainly Times Square area Affinia Dumont far favorite . husband , 22 23 yr . old child stay studio suite 2 queen bed . worried would step , plenty room . view 31st floor great , bed pillow comfy little kitchen perfect fix snack personal happy hour . hotel quiet wonderful spot . love away noise bustle Times Square still close everything . subway close , great corner market , Dunkin Donuts starbuck coffee . good part service . everyone kind , room keep clean , plentiful towel . doorman Juber delight helpful . definitely come back recommend hotel anyone ! 
 Aug 11 2009 	 good hotel helpful staff 	 hotel one block away Empire State Building provide ideal base explore city . hotel staff friendly efficient . family room excellent boast mini - kitchen . main bed extremely comfortable - ah , joy good , firm mattress ! hotel restaurant ; instead , guest direct Barking Dog bar / restaurant next door . eat breakfast ; ok , nothing spectacular . , good hotel , even though target business traveller , meet need . 
 Aug 10 2009 	 many plus overall disappointment 	 stay Affinia Dumont 6 night 30th July 5th August . change book another hotel ( incur penalty ) positive review Tripadvisor . service good , position excellent kitchen ' Barking Dog ' positive benefit . bed really comfortable hotel quiet night . generally , however , hotel disappointment . lobby , lift carpet dirty need good steam clean . furniture room scuff see well day . staff reception desk mostly helpful one case extremely ask post postcard ( service advertise available ) tell take post office . there list service available request find thing ask they . overall pleasant stay luxury hotel quite expensive . 
 Aug 9 2009 	 Perfect position 	 stay Affinia Murray Hill love size room . large two queen size bed , large desk , bathroom kitchen . window two side make light airy give good view . the Barking Dog Restaurant attach next door good reasonably price food open till midnight . not want breakfast , Murray Hill Diner around corner . both . it within walk distance Empire State Building around corner subway station . nice quiet residential area . doorman nice . 
 Aug 8 2009 	 Hotel bit date still good excellent location 	 Affinia Dumont somewhat date style rather basic lobby public area . however one bedroome suite comfortable indeed much like little kitchen area handy snack . ideal family stay New York teenage son good sofa bed main room whilst king bed bedroom . load storeage space plenty room spread , large tv room . service pleasant room well serviced day . main draw however location Murray HIll walk distance many sight easy taxi ride rest . bustle neighbourhood feel entirely safe load good restaurant literally step away form hotel . particularly like Artisanal [ cheap good ] 2cnd Avenue Deli [ imagine New York deli ! ] . recommend aware neither glamorous trendy . 
 Aug 7 2009 	 Perfect 	 not think can not add much glowing review already give . first - timer NYC many hotel option area choose really want choose right one . Affinia Dumont perfect choice . room spacious huge unbelieveably comfortable bed . service / staff also excellent . location great . 's hustle bustle Times Square , within walk distance major site Empire State Building , 5th Avenue Shopping Times Square . there also many great restaurant Murray Hill area - breakfast Penelope 's amazing , blue Smoke Dos Caminos evening . small grocery shop beside hotel come handy too . would love return NYC asap would definately stay . 
 Aug 5 2009 	 love Affinia Dumont ! ! 	 husband stay Affinia Dumont first visit New York back May . LOVED hotel ! room nice , quite , clean . bed comfortable , sleep like baby . location great , close everything . defiantly back ! ! ! 
 Aug 4 2009 	 spacious accommodation great location 	 spend 5 night hotel end May 2009 . 3 we share junior suite . wife spacious bedroom american King SIze Bed i.e . two - penny bus - ride one side bed ! daughter sleep double sized sofa -bad leave permenantly erect main room . find comfortable . room still plenty space additonal chair , desk chair , cable tv small kitchenette . fair New York spend little time room . view good ( 36th floor ) layout hotel seem junior suite situate back hotel not enjoy view Chrysler building room high floor front hotel seem enjoy . location could better price however . less 1/4 mile Empire State building - head uptown - mark start ' interesting ' part 5th Avenue . great time common city break exhaust get back evening walk mile around sight . would hesitation recommend hotel visitor could lot bad start day full american breakfast Barking Dog diner ground floor Hotel . food good value serve substantial portion 
 Aug 4 2009 	 Excellent Stay 	 since read many review site prior trip NYC , think would contribute say Affinia Dumont absolutley fantastic ! ! room quite large equipped kitchen , bed comfortable , bathroom bit small , job . lot storage , huge , full - length mirror great lighting - view Chrystler Building can not beat ! ! staff amazing , helpful make great recommendation food . arrive noon room ready we despite 3:00pm check - in time . the Dumont also well - place access LGA Airport - land , get luggage , cab hotel 35 minute . would definitely stay . 
 Aug 3 2009 	 Excellent 	 enjoy stay Dumont , expensive New York Hotels , large room compare many hotel area . problem show maintenance person send room immediately . near subway stop . definitely worth ask room high floor view chrysler building 
 Jul 29 2009 	 room huge heap storage kitchen ! 	 NYC siteseee etc location good . walk distance Times Square , Macys , 5th ave etcThe room big ... full size kitchen ( use ) . awesome deli downstairs corner everything could possibly want . also delicious coffee Dunkin Doughnuts downstairs ( surprised ! ) great view city . big bathroom , heap wardrobe space . the bed comfortable . want take home . problem : internet access . 1 x computer lobby use credit card purchase minute . cheap slow . first time use , machine shut couple minute could not get money back . hotel say computer supply another company could not help ? staff : friendly helpful . room key work one night come back reception assistance . ask we i.d supply new key , also fail work . scanned finally get . apology give , odd ? want simple ' sorry ' three time travel lift ! would never even mention polite . upon checkout tell doorman not work yet help luggage ( 2 girl 4 suitcase ? ) bummerin conclusion : would stay Affinia , size room awesome . 
 Jul 28 2009 	 not Hesitate stay Affinia Dumont 	 struggle hotel choose first trip New York spend lot time trip Advisor . not hear Affinia Dumont consider pay Westin W since would know get . review Affinia good money save pay ticket Broadway show choose Affinia . ' m glad strongly recommend . problem check room comfortable , spacious kitchen - nice option although not really use . close subway many good restaurant ( gelato shop ! ) one street 3rd Ave . 
 Jul 27 2009 	 sure be call luxury hotel 	 fine near luxury . Husband stay July 23 - 26 , 2009 4 yr old daughter book place b / c kitchen . book junior suite quikbook.com $ 212 / night thrill . call confirm tell bed room separate living room , mean door separate . , least room , 2105 . sofabe shabby looking , circa 1970 . notice rips fabric . daughter sleep complain . happy bed jump . kitchen plus though use fridge . bathroom fine . daughter fit shower plenty room play water . bed comfy enough . really can not complain place tell bedroom separate room . one minor complaint : website say flat screen tv . room ! fine would not go back . would rather spend money place like Grand Hyatt much nice furnishing . 
 Jul 21 2009 	 would back instant ! ! ! ! 	 SUPERB ! ! ! can not rate hotel high enough . service desk friendly helpful . room spacious clean . bed big comfortable . small kitchen area come handy . location hotel also excellent aswell , 5 min stroll bottom Empire State Building . lot sight within 20 min stroll hotel . make sure get hotel car back airport , stretch limo price yellow taxi ( approx $ 80 Newark ) . restaurant next door good . crack breakfast . want know anything else please email . 
 Jul 20 2009 	 fantastic stay 	 Affinia Dumont well expect , stay 5 night business travel . location great see city within walk distance Grand Central station , subway , Empire State building , Times Square , UN building nearby . nice good size studio suite kitchenette , convenient area lot restaurant , pub bar also deli corner outside hotel door . impressive onsite spa fitness room . 
 Jul 19 2009 	 live expectation 	 stay Affinia Dumont 4 night end June , mainly result great review Trip Advisor . disappoint - room huge high standard ( book one bedroom suite ) . hotel conveniently locate plenty place eat within stone 's throw . but service staff excellent . Heathrow terminal 5 manage ' lose ' check baggage outward BA flight JFK ( together 95 % baggage fellow passenger ) . therefore spend 3 night without case Affinia , staff - especially candace - exceptionally attentive , issue large bag kind toiletry first arrive assist we tracking baggage - mercifully turn 12 hour prior leave NY ! well do Affinia Dumont - well deserve excellent comment ! 
 Jul 19 2009 	 Beware Room Location 	 leave hotel today 8 day vacation stay . room large New York standard , luxurious standard . several morning , odor fume room . observe window , build block east incinerator spew smoke day . wind East , room develop strong odor fume . call front desk tell one ever call issue would check . never call back . beware east face room . know problem know address . 
 Jul 14 2009 	 Superb 	 everything fantastic NYC gem . spotless room amazing river view friendly staff hotel really live good review ! 
 Jul 13 2009 	 quiet spacious 	 partner stay Affinia Dumont 5 night end June 2009 . previously request & quot ; quiet room high floor & quot ; grant arrival . however state would celebrate special birthday reply would provide we special gift - suffice say never appear . the hotel situate residential area thus minimise noise - though aircon night 22nd floor bit give . the room bit fray place crack appear dust overall clean throughout stay . we give one bedroom suite two small double bed - bit nuisance sleep bed extra work hotel clean we ! kitchen good size large fridge - not use mini bar item ( always majorly overpriced ) Murray Hill Deli store foot away stock necessary beer snack . the bathroom small reason toilet roll holder far away physically possible toilet - annoying . there plenty storage space use laundry facility basement ( $ 2 wash , $ 2 dry $ 1 soap powder ) useful continue trip elsewhere without facility . the staff friendly helpful time . the free online check print boarding pass useful too . we eat time Barking Dog - twice breakfast highly recommend enormous portion dinner extremely disappointing indeed ( though still massive portion ) .We use hotel 's car service take we back airport - limousine end trip style around $ 100 include tip . overall hotel clean , well situated ( 2 block empire state building ) staff friendly . quite niggly thing mean exceptional expect . 
 Jul 13 2009 	 live expectation 	 stay five night one bedroom twin bed suite . affinia great location quiet neighbourhood within reasonable walking distance Empire State Building , Macy 's Times Square . plenty bar restaurant nearby . lobby area dull small . suite spacious little kitchen useful . however , find standard service par . ask twice sofa bed make , yet request time book confirm line concierge . the affinia website promote use online concierge facility set Affinity space request amenity every stay , although receive confirmation email none request room . ask front desk next day . check check particularly friendly . final bill additional charge $ 14 query charge receptionist say Affinia & quot ; must got math wrong & quot ; still pay . unfortunately time argue rush airport . small amount leave bad impression . book hotel 's website January non - refundable rate .... bad mistake rate drop significantly low rate refundable ! ! decision stay base positive trip advisor review , maybe expectation high . 
 Jul 12 2009 	 Disappointed 	 stay Affinia Dumont husband grow child May . choose hotel basefd good rewiew Trip Advisor - we somewhat disappointing . get idea fresh , clean hotel - must say room dingy dusty . room wonderful wiew though - nice kitchenette . location also right go different place . 
 Jul 11 2009 	 spacious room quiet neighborhood . 	 pleasantly surprised size room suite Affinia Dumont ( ad ) . kitchen nice hardly use . decor modern tasteful . quality bed excellent furnishing . appreciate nice desk chair use quite bit go internet . forewarn charge hefty fee internet connection . room clean enough spotless . this first stay Murray Hill area . 's much quieter place midtown . ad convenient many good restaurant delis . will find everything turkish cuisine soul food . subway station two block away . take we approximately 20 minute walk Times Square Penn Station . parking expensive NYC shop internet good deal . find parking garage 2 block away $ 210 . ad charge $ 350 ! ad 's spa / fitness area excellent . equipment top notch . be already say lobby area clean . be still . fact carpet filthy . get past , will really enjoy stay Affinia Dumont . 
 Jul 11 2009 	 good location . ask suite view Chrysler Building 	 arrive Affinia find room not ready , late afternoon , really disappointing , give pay lot mnoney stay . however , hotel great staff really nice helpful . brilliant diner round corner breakfast call Murray Hill Diner , use local . cool restaurant call Penelope block . room view Chrysler Building die . 
 Jul 10 2009 	 nice property ... 	 Affinia Dumont good , central location . service good . interaction bellman . friendly helpful . room nice size perfect two adult two kid . kitchen space great plus . now & quot ; ... & quot ; enrol Affinia 's online program book online . bonus $ 50 credit expense stay include booking online . plan use internet access ask advance could use purpose . checkout could not find certificate prite early . front desk manger offer credit card would email certificate return home . response many email phone call . 's unfortunte end way . good hotel Manhattan , would say look elsewhere first . 
 Jul 8 2009 	 Fantastic Hotel 	 stay 4 day NYC everything hotel perfect : location , room , bathroom people front desk nice helpful . would recommend hotel everyone can not wait go back . even surprised quiet hotel . suite 24th floor view Chrysler tower . walk Empire State building , UN headquarter , Chrysler tower Maycys . 
 Jul 5 2009 	 Splendid hotel ! 	 wonderful hotel great location NYC . upgrade free charge large room order Priceline.com extremely impressed . great view ! terrific fitness facility available free charge , also . hotel great place , particularly NYC . stay asap ! 
 Jul 3 2009 	 wow great hotel view 	 well say , great hotel great location . room ( 3306 ) spectacular view downtown Manhattan East River could not believe arrive . room spacious 2 double bed , bathroom , Kitchen , armchair desk . find kitchen really useful , especially Deli next door sell lovely food breakfast . hotel walk distance load attraction include Grand Central Station , Time Square , Empire State , Macey 's , Madison Square Gardens United Nations . would defiantly stay hotel recommend anyone . great value money . 
 Jul 2 2009 	 fantastic stay - would highly recommend 	 stay Affinia Dumont 9 day June 2009 celebrate 40th birthday . husband request room view - boy great view , Chrysler building right outside window . ( Room 3303 ) Staff Affinia friendly helpful whole time . really handy washing machine dryer available basement . deli next door great food well Dunkin donut good coffee croissant enjoy morning breakfast . ( not think food Barking Dog next door anything write home though . . . ) would highly recommend Affinia Dumony would stay opportunity 
 Jul 1 2009 	 Good Choice City Hotel 	 stay Affinia Dumont Mid April year think nice . room , suite fine , maid make sofa bed within minute ask . reception staff always polite effficient , concierge brilliant , long small tip gave run out . the location ideal , check people stand outside hotel gaze upwards will see close Empire State Building ! walk pretty much everywhere take ' yellow ' cab much 6 yr old joy even metro not scary . closeness store deli great . make mistake think book bed breakfast , not eat Barking Dog next door can not complain food service . all expect pay premium new york city hotel book suite , would hesitation recommend hotel traveller . 
 Jun 30 2009 	 Excellent hotel great location 	 Value money excellent , although book part package pay full price . even rate not reduce location hotel 10 min walk Grand Central , 15 min Time Square five min Empire State Building make hotel worth every penny . one review see mentine nearest subway main line , however one stop hubs Union Square Grand Central . ue subwa constantly cheap , convenient air - condition ! hotel service generally fantastic , even provide we adaptor plug have forget . also happy give advice local restaurant , attraction good route . two complaints:1 ) doorman struggle find we taxi airport ( 40mins ) keep try tell we 80 dollar service car woud cheap . eventuallywe find taxi , cost $ 45 ! 2 ) room bit spartan despite kitchen studio room one chair desk eat perch bed ... overall though great hotel would certainly use . city magic ! 
 Jun 26 2009 	 need ... 	 partner travel New York April year decide stay Affinia Dumont get good deal price , work much cheap 2 * hotel ( although sure site use rather average price hotel ) . arrive lunchtime take train Newark airport , pretty painless . simple easy use , strike conversation local train helpfully point way subway system run NYC way street lay ( block street run across island Manhatten Avenues run up / down island ) . decide walk Penn Station hotel station exit right Street ( 54th ) West , whereas hotel East side . think far ( drag suitcase ) .The hotel easy spot , much quieter area hotel walk past ( street Empire State Building ) far feel like miss anything . opinion right spot . staff attentive polite , quintessential New York charm . inform hotel busy could not get we onto high floor King size bed . since visit sight view hotel do not bother we , flattered try without we even ask . do not eat restaurant , comment food however look charming lovely smell waft ! hotel situate close Grand Central Station , Chrysler Building , say , street Empire State Building . 24hr market nearby , quite actually rather nice mexican restaurant go & quot ; away & quot ; ESB , east . unfortunately not venture direction last night dissapointe since look really & quot ; local & quot ; . trip village ( Greenwich , SoHo , NoLiIta etc ) worth see & quot ; bohemien & quot ; NYC . shop funky , excellent boutique vintage store great food unexpected place . shop fab although do not time whole Macy 's deal , good place waste day would want waste time ? ? go Central Park walk explore , want visit zoo massive heatwave , seriously 35 deg , park zoo pack New Yorker family spend time kid sun away office . nice see . all break fab , hotel need . clean , friendly , far well appoint . would stay ? yes 
 Jun 24 2009 	 Affinia Dumont perfect place stay great value . 	 ( four adult / senior citizen ) agree hotel even well expect . upgrade small suite absolutely fantastic view Chrysler building . room ( include bathroom ) spacious , clean airy . furnishing elegant , comfortable . staff friendly helpful , location convenient bus subway transportation . many attraction within 20 minute walk local restaurant varied plentiful . although use exercise room , look clean well - equip . kitchenette another big plus . hotel great value money , would highly recommend . 
 Jun 24 2009 	 probably 6th good Manhattan 	 satisfy Affinia Dumont , understand many people rate hotel highly . example , hotel would rate & quot ; 5 & quot ; would least flat panel tv double sink bathroom . kitchenette make cramp bathroom ; fact , kitchenette rarely use city good food . not cheap , be vacation . want relatively inexpensive mexican food fun atmosphere , check Blockheads 3rd Ave 33rd 34th . be right around corner hotel . think walk 2 block near subway station far , perhaps NYC good trip . walk Met , example , probably well measure mile . wear comfortable shoe . 
 Jun 24 2009 	 great hotel would highly recommend 	 Affinia Dumont exactly expect , well . spend hour go hotel review Trip Advisor booking ( directly hotel site good rate ) , find review photo helpful completely true , good one anyway . ( 26 ) 55 yr old mum travel , Studio Suite two double bed 31st floor 6 night May . room clean arrive stay standard whole stay , spacious , great view east river downtown Manhattan . able sleep window open fresh air ( ask corner room space different view ) , kitchen full size fridge , great . several supermarkets/ delis block away hotel fruit vendor corner morning , stock cheap grocery item . do not get around use gym , restaurant can not comment I m sure be fine . hotel staff helpful friendly . the hotel 3 min walk 33rd st Subway station , buy 7 day metro card , good subway bus , $ 25 . great location , walk distance UN , Empire state Penn Station . before book toss Affinia 50 Dumont , glad book Dumont 100 % happy stay . ( say 50 be not good ) .some tip NYC : skip Empire State Top fo Rockefeller instead , go Fire Museum Spring St fantastic tribute 9/11 $ 5 donation , great bargain do not miss Century 21 department store financial district , walk Brooklyn bridge sunset , see Wicked Broadway , well worth $ $ $ . 
 Jun 21 2009 	 top quality hotel great location comfort brilliant ! 	 stay Affinia Dumont 26/03/09 - 31/03/09 . spend hour hour research hotel New York booking many choose due expense trip want get right ! well ' m pleased say hotel absolutely everything need . get yellow taxi hotel JFK , set price $ 45 plus $ 5 toll charge , greet hotel friendly door porter grab suitcase we take room number 1504 . check quick friendly . room massive clean , big bed , nice bathroom , nice separate kitchen . Maids clean room every day , say maid sweet love , one even collect shoe sock throw everywhere ball sock put row inside shoe ! ( bless ) . bed sooo comfortable believe need sightseeing . location hotel superb . street Empire State Building Macy 's . Murray Hill nice area , expensive though be worry seriously do not even think visit New York even suppose rougher area still expensive . subway $ 2 per trip hotel great base get everywhere easy access subway system . thing 's wrong hotel ( picky ) door porter often pushy , fall help , hail taxi etc always feel like keep tipping , mini bar expensive , one day toilet make continual flush sound , something ball bit wrong place easily fix . opinion good enough complaint stay overall hotel faultless , plush spacious , amazing maid , great location . fantastic time ! 
