super 	 Sanderson one cool hotel London , great design / cool bar . must go would say .... 
 amazing hotel 	 beautiful place , like 's sister hotel St Martin 's Lane , hip , trendy noisy ! Perfect 's sort thing be look , . lovely food well . 
 Sep 16 2008 	 price rate 	 spend one night hotel business recently . fine look think highly , bar patron , be really worth money . check fine , staff friendly . room minimalist . admire minimalism look prefer comfort hotel room . bed fine , cover lightweight . desk read lamp plug socket vicinity work computer need charge plug lamp work without adequate light . bathroom lot glass nice look slightly disconcerting , always double check route case walk straight another glass wall . sink leak onto floor shower attachment bath work . the food restaurant downstairs excellent . asian style suggest order 2 3 plate per person - suggest 2 portion quite big . think food bill actually good value . I give accurate review breakfast take long come gulp half rushing . nice buffet cereal fruit cook breakfast order . place order explain need leave 20 minute get airport ask would order ready , tell would . 20 minute later , ask , arrive . I would not return . nothing awful Soho Hotel road similar price offer much well value . 
 Sep 12 2008 	 Loved Sanderson 	 get back wonderful stay Sanderson . amazing hotel - room white fluffy curtain , hotel staff helpful & amp ; polite . spa wonderful relaxing . atmosphere attractive staff attentive . would definitely recommend 
 Sep 7 2008 	 Sexy Chic 	 Fab hotel , beautifully design furnish . room exquisite , modern great attention detail full great product . two bar , one public access one guest serve great cocktail . fashionable London crowd use lot agency shoot put model etc . full beautiful people . staff attentive . location central restaurant shop etc West end Oxford Street . look forward go back ! 
 Aug 25 2008 	 perfect chill ... 	 book hotel website problem book . good , ama particular absolutely brilliant . make every effort accomodate we go beyond call duty ! look website see special offer - well worth ! find ' Suka Package ' give room £ 100 credit use Suka restaurant . upon arrival hotel , room ready 3 hour schedule ! arrive 12 pm room should not ready 3 , give we key straight away make way . lift awesome really need experience will not ruin - world ! make way corridor , fairly dimly light give relax atmosphere . stay room 122 apparently Loft King . could say ' wow ' . super king size sleigh bed middle room bathroom separate flow white pink curtain . facility appear nice , bath example big enough even ( 6 ' 5 '' , stocky chap ! ) , shower connector bath fall main shower look like may fly whilst ! however , small issue do not let distract hotel . really feel world away . room , relax indeed . bed comfortable bed ever stay , pillow sink quilt match . blind also block light , wake 8:30am would think 2 am dark ! room immaculately clean , careful bathroom toiletry use may charge LOT money . sponge , example , £ 14 plain white t - shirt £ 25.the staff attentive , however , confusion cause type package book feel explain every person . instead dinner Suka , use £ 100 credit couple cocktail also breakfast follow day . cocktail ' must try ' breakfast even high list . full english amazing . do not look like huge breakfast certainly fill . fiance egg benedict pretty much inhaled within second ! really fantastic . dinner good breakfast will not disapointe . we also drink Purple Bar - definitely try ' Divine Chocolate ' cocktail . amazing . romantic , intimate space great relaxing night out . overall , relax couple day could live would ! fantastic location shopping ( literally 30 second Oxford Street ) within 5 minute walk 3 good tube station . staff friendly , attentive make feel extremely welcome already think next visit . 
 Jul 23 2008 	 fantastic funky hotel ! 	 come stay hotel weekend husband , sister parent , good time London . when walk entrance , instant wow factor ! everything trendy funky ! although early , immediatley allocate room luggage buy we Porter . the room fabulous - everything minimalistic modern ! bed middle room pillow either end could sleep either end ! sheer curtain separate room bathroom create sultry look . privacy , hit elctric button wall extra pale pink curtain appear see ! think photo website make room look small bit worried . suprise see thatthey actually big look like photo . before go ot dinner evening , go dirnk famous long bar hotel . glam , busy lot people ! extensive coctail list get stick ! course pricey ! return back dinner , around 12:30am , go go night cap Long bar could believe busy ! ou could ever get bar ! eveyone drubk happy , chatty , music , etc . decide go bar right reception , much small , quieter romantic . sit end sit hour get quite drunk ! staff attentive drink keep come ! wary price . fiuve us sit around two hour bar bill come £ 270 , although cocktail include this . the bed soooooo comfortable ! good thing room blind . completely shut light ! never lie , light always wake ! wake morning , pitch black glanced clock , could believe 10 am ! want blind ! hotel staff great . incident think leave one shopping bag lift . call speak reception security man knock door less minute ! turn stupid left back lift ! overall , fantastic time . be completely different hotel stay . do not think would suit old coouple look romantic break though , trendy modern . parent really enjoy , tehy early 5o 's modenr . say go away , would choose different hotel . would great hotel romantic weekend young couple even girly weekend . 
 Jul 15 2008 	 Cool Price Peke 	 Boyfriend two night Sanderson part holiday year . like ' do ' London time time . stay Sanderson , prize company , interesting assess actually pay it . be aware get discount parking park car . wernt inform relent give we reduce parking ( still £ 85 2 day ! ) . even sure discount rate . Ho Hum . the lobby impressive , modern cool . put bauble thing hang ceiling leave spin around much Boyfriends amusement ! fun sit pair lip wait taxi . staff welcome , helpful personable , even part luggage Tescos carrier bag ( do not ask - need emergency chocolate ! ) . room clean , modern happen like floaty curtain thingy ying yang effect . press button keep Boyfriend amuse ( be boy lovely man say ! ? ) . however , much privacy loo unless turn tv ! ! BED BEST do not want get - huge , comfortable lovely pillow linen . the concierge helpful , manage get we table Gaucho Grill time want preference attempt book ( odd half empty anyway that s another story ! ) . want theatre ticket , make effort walk theatre - save £ 30 per ticket ( word £ 60 we sake ten minute walk ) rather pay agent pemium . the side price . worth £ 300 + per night standard rate ? even £ 266 per night pay via lastminute.com seem steep room ( go Harvey Nicks instead brekkie ! ) . crown moment price one champagne cocktail vodka orange bar - £ 23 charge we 2 quid privlige serve we ! ! Boyfriend still therapy ! also , shout barman stand wrong side rope thingy . respectful way treat pay guest methink . people bar - well middle aged businessman look bit young totty throw wad cash - own . the room overlook central bar / restaurant area noisy closing time thereafter fine . admit like Sanderson - feel cool like quirky way do . however , worth inflated cost ? decide ? ! 
 May 30 2008 	 give one pass 	 lipstick rouge ..... really worth 5 star rating . finishing look amazing website close well do .... hence subdue lighting hall elevator . room small quality price . far well hotel london . would never stay . 
 Apr 29 2008 	 like lot like 	 much hype Sanderson , 50 's building transform Philippe Starck . definitely cool hotel . always London 's hideously expensive - wether 's value money go to depend . deluxe King Room . large bed hard uncomfortable . Great Linen would expect . pretty rubbish tv channel watch telly anyhow . oh yes , lovely huge bath tub . cool bar , extremely yummy breakfast bed , fantastic mojito , price 's would expect . one disappointment , able get cup tea slice chocolate cake room 2 am . 's need night apparently cake kitchen ! Big let down . I like , sure would go though . 's nice place London price . 
 Apr 17 2008 	 good fun 	 Sanderson good night time girlfriend romantic weekend boyfriend . general good thing sanderson experience even stay ... bar , terrace , food ( amazing interesting ) spa . definitely worth use sleeping ! ! 
 Apr 3 2008 	 wonderful stay 	 get back brief wonderful stay . fantastic hotel - look amazing , particularly room white floaty curtain , staff friendly helpful . also spa treatment - wonderful relax atmosphere attentive capable staff . would definitely recommend - can not wait go back . 
 Mar 6 2008 	 Impressed 	 husband stay Sanderson Hotel October 2007 . interested stay hotel due design aspect show internet . staff hotel unprofessional pretty sad , since hotel great . say location good we China Town far away . also , walk distance several theater restaurant . food Sanderson 's restaurant good , especially price ! several good moderately price indian restaurant pub would make much well choice not want disapointe . the hallway extremely dark lightly light . room bad , however furniture inside make cheaply show . could also hear people room we . hotel lobby music extremely loud , turn notch would fine . the wireless internet service charge anyway ! remove bill , even though know fact ! way get internet access room ! concierge hotel interested talk staff gossip instead help pay hotel guest , act like huge burden ask information good indian restaurant be . the Sanderson would great hotel service food well . also seem one place & quot ; Seen & quot ; young twenty probably would enjoy & quot ; Vibe & quot ; . 
 Mar 5 2008 	 spaceship 	 stay Sanderson September ' 05 weekend attend business meeting Paris . company time prefer rate Sanderson . hotel : trendy lobby , ultra chic staff nice quickly check we deliver bag . room : layout bit odd , clear glass sheer curtain , luckily room privacy . bathroom : enter room ask chic bellman & quot ; bathroom ? & quot ; answer : & quot ; stand it . & quot ; hmmm okshower : nearly flood & quot ; bathroom & quot ; take quick shower - see photo shower set up . food : breakfast insanely expensive , even bother . bed : comfortable & quot ; cozy & quot ; . elevator / Hallways : dark music constantly pump hour . 
 Feb 9 2008 	 Sisters Fav Hotel ! 	 book Hotel surprise Christmas present sister ( also go see Cirque Du Solieil RAH ) . like contemporary & quot ; & quot ; crowd . think check office block first arrive outside nothing special although doorman handsome ! check amazingly quick straightforward . lobby quite strange - quite sure theme whether sit seat resemble large pair lip comfortable - ! . everyone say lift amazing . take step first floor see amazing stained glass window drift reception . although February take look outside space imagine lovely summer . ' long bar ' night fill capacity & quot ; beautiful & quot ; people think come see . go Purple Bar resident . quite tiny consider many room hotel . get show hotel card take ! ! - reason tiny chair 1 foot ground ! ! ! . masse vodka cocktail range £ 12 & quot ; baristas & quot ; make load complicated cocktail ! ! room - fantastically huge book twin room , bed almost double extremely comfortable . air conditioning keep we awake turned . Bathroom OK & quot ; pink & quot ; curtain draw electronically give enough privacy . toilet separate glass ( frosted ) shower turn drown lovely . wary expensive good bathroom - easily recogonise ' pay ' wrap . use hairdrier fab- one tiny thing get hotel room proper drier . inclusion bathrobe umbrellas ( case rain outside ! ! ) nice touch . agree comment one writer tv/'expensive ' mini bar house resemble formica cabinet B & amp ; Q ugly outdate - atall keep lushness rest surrounding - quite sure get non - entity picture ceiling either ! ! ! would say Hotel ideally situate want shop - walk Oxford Cicus without problem . Taxis Harrods ( pack Sunday ! ! ) hotel cost £ 13 RAH another £ 13.breakfast lovely - load choice although consider expensive book part package . my sister love Hotel ( sister St Martins Lane near Covent Garden ) - , quite sure would stay , £ 358 one night other say rather overpriced ! 
 Jan 23 2008 	 Awesome ! 	 Great Hotel fantastic location ! ! staff friendly reception bar staff . walk bar & amp ; shop soho . 
 Dec 31 2007 	 bad two night 's sleep life 	 return two night stay Sanderson sleepy . air conditioning system Deluxe King room fairly noisy severe dehydration wake we every half - hour , £ 8 per bottle mineral water mini - bar not much quench thirst . sleep - deprive night two , think probably unlucky neighbouring guest decide hold & quot ; party & quot ; well early hour Sunday morning . say , could choice make entertainment ... dvd ( opinion , vulgar attempt squeeze money guest ) £ 11 per night . though Sanderson interior pretty look ( lift wonderful ! ) , incredibly over - price quite simply big West - end tourist - hotel . , wallet , would well opt one many small boutique hotel City ... 
 Dec 29 2007 	 World ! ! ! 	 hotel definaltly place everyone stay , least .. one hotel either love hate ! ! personally love , modern funky . everything look brand new , fresh never touch ! lobby large unsual furniture , staff friendly earth , even stick would expect 5star hotel . room 2nd floor , could hear noise frm long bar frm room onli slightly .. do not ruin stay . room modern , simple , plain also unusal . superior room I m sure much different standard superior . everything room look brand new , except TV think upgrade flat screen would expect see 5star hotel that s whole focus space save make airey , relax environment , chunky tv spoil slightly . lift isss AMAZINGG ! ! say - see urself wnt spoil u ! breakfast include room - price contintental + english breakfast £ 22.50pp - lot money ! ! stay hotel one treat may aswelll treat urself breakfast . nicee everything would expect , resturant attractive nice view garden . overall great hotel ! ! con extra cost charge expensive ! ! worry everything pick use bedroom do not know complimentary pay extra . wireless internet extra cost £ 15 day . large bottle shampoo etc . box bathroom also purchase along tempingg over = price food drink minibar . sainsburys far hotel stock ur food drink need lot cheap ! ! also ... mercede taxis tht outside hotel extremely overprice also .. want £ 15 5min trip . get black cab instead cost £ 5 . careful ! ! ! charge anything think pay staying upmarket hotel ! ! Hope help . nice stay hotel go . 
 Dec 20 2007 	 great place party necessarily business 	 $ 700 night not buy much day London , especially hotel . Pack accordingly prepare battle oh stylish impracticality place 1 ) flashlight see dimly light hallway cool 90 be ; 2 ) book read light , otherwise haul bed turn light reading bed ; 3 ) electric kettle - inconceivalble place charge much not offer . cost $ 43 one deliver room come one tea cup , 4 tea bag sugar bowl - even cookie . fortnum & amp ; Mason come ! ; 4 ) extension cord plug gear socket locate floor level use computer sit floor , dry hair position ; 5 ) small hammer fully depress button flush toilet , nail repair kit fix nail break try depress oh stylish button without hammer ; 6 ) determination get past doormen night ask name list go lobby - grease 20 pound note - not list appear visit ; 7 ) slipper marble floor bathroom cold winter ; 8 ) willingness exhibitionist room glass wall bedroom bathroom give great view neighbor day night , vice versa , well travel companion ( let us hope , close ) use shower loo full view ; 9 ) luggage rack , not bring much suitcase end floor take path go around free - float bed middle room ; 10 ) rubber door stopper keep maid barge - disturb sign not show well dark hallway . thankfully hotel provide ok toiletry lots plush towel mop water ooze onto oh stylish flush - with - the - floor glass - wall shower . call ahead showercap place many shower - only room - would think someone might need one could place room automatically . restaurant service brusque black - clothe waitress constantly interrupt one tell we cash midst meal leave shift need get pay ! positive side , hotel well locate fairly quiet street , concierge helpful regard restaurant suggestion day shift door man adept give direction finding taxis . great place wild weekend hot date , practical business traveler expect basic cover . go mingle trendy crowd , increase odd paramour get bar night - check weekday ! 
 Dec 2 2007 	 Nice Hotel 	 stay business . last time find little funky , appropriate people young . usual hotel London book , end stay . time , comfortable . glass wall around bathrom bother . actually , like firmness bed . service laundry valet , front desk , etc good . concierge , however , seem little less knowledgeable usual class hotel . popular bar lobby restaurant extremely expensive . like hotel . decent value money . 
 Nov 6 2007 	 great place take girl 	 one good place ever take girl - awesome - white drape curtain bed huge ! - right middle London , great access Oxford Street Theatre DIstrict . stringly recommend place . 
 Oct 26 2007 	 Awesome Hotel can not wait go back ! ! 	 hotel awesome , please please stay get chance , will not dissapointe ! ! ! 
 Oct 23 2007 	 multiple visit like 	 good hotel lot amusing design quirk . decent restaurant nice courtyard .I stay number occasion enjoy it . love elevator . 
 Oct 18 2007 	 Great Lifts - Great Spa 	 great stay . full quirky furnishing .The outside space lovely feel like you re middle london .Lovely cocktail cheap though . the spa experience fab feel like heaven , vast expance white voile .I show beautiful lounger complete personal telly . be lift like space surround galaxy . service great downside room overly large glass wall bedroom bathroom slick . would go back , get deal search internet . I m 
 Sep 30 2007 	 cool school ! ! ! ! 	 two way , seriously cool hotel . ok , be exactly cheap look something special it . the entrance lobby fantastic load weird chair sofas relax . two bar lead lobby . first ( Purple Bar ) open evening small intimate . serve huge range martini . the second ( Long Bar ) open day worth check . cheap ( 2 cocktail cost 30 pound ! ) .The room minimalist beautifully present . drawback bath en suite . definately experience worth repeat ! take advice one book . 
 Sep 25 2007 	 good perfect ! 	 Sanderson fun hotel take little seriously . upon check surprised ask need help bag - not quite expect , also lack doorman ! staff slightly arrogant attitude bit perhaps little abrupt . room comfortable modern nothing luxurious particularly unusual really . mini bar expensive water cost £ 4 mar bar £ 3.50 expect would imagine . drank bar - I can not fault cocktail bar feel bar tad pretentious staffed . great time would not rush back overall feel well experience similar price hotel . 
 Sep 11 2007 	 hype 	 stay hotel ten day view : location great , close almost everywherethe room interesting sexy comfortablehousekeeping may problem . leave telephone dischanger floor leave room rush , find sit floor back room . expect wonderful housekeeping service . average . money pay , expect attantive careful.minibar expensive one ever come acrossthe bar hype trendydo , take car wait front recommend hotel cause cheat ( big luxury look car ! ) . take black cap walk oxford street f ? nd cap . 
 Sep 10 2007 	 Modern Chic Sexy 	 stay Sanderson two night romantic weekend London . greet warmly front desk give key loft suite room 608 . room spacious incredibly crisp clean line . massive sleigh bed sit centre room glass partition separate basin shower free stand bath - sexy . everything would need top notch hotel room double bath umbrella massive balcony enjoy drink on . we eat room first night food excellent come asian style cooking restaurant . the negative order chauffeur concierge take we concert turn . hotel quickly arrange another car take we bring we back . the Sanderson good hotel stay time staff amenity first class . expensive well worth special weekend . 
 Aug 30 2007 	 Sanderson cool far ? surely ! 	 stay Sanderson weekend celebrate 7th wedding anniversary . first impression deceive outside look like dodgy 80 office block lobby fill interesting furniture prepare extravagance Sandersons interior . we arrive 15:30 tell room ready show bar give complementary drink wait . reception staff helpful approachable . we choose sit outside one table already reserve . annoyingly soon sit waitress come round fling reserve sign table outside . book table outside book room want drink arrive evening . room ready finish drink . the room spectacular . stay loft king , 110 think . oh lift nice . pitch black holographic start field wall ! bed great , bathroom great another hotel whose cool shower leak floor ! good bit roof terrace could sit morning lazy breakfast , extend case give generous check time 12:00.we not use hotel restaurant bar get busy . billiard bar nice indeed . all great hotel . would stay .... course ! 
 Aug 7 2007 	 Different 	 Hotel modern run couple celebs . room small nice , thing find difficult get air conditioning blow cool air , room quite stuffy ! expensive drink , residence bar close early beware ! ! tea make facility room overall location nice , staff friendly enjoy ! 
 Aug 7 2007 	 Cocktails die ! 	 husband stay Sanderson two day break Birthday . we enjoy excellent experience moment walk , moment leave . I bite worried staff would bit & quot ; beautiful & quot ; help - could wrong . could do enough make sure stay pleasurable possible . if budget would definitely recommend one Forest Suites balcony . book Suite 606 amazing well appoint . air - con especially welcome muggy evening . the room service prompt excellent standard . breakfast great cocktail Purple Bar die ! would definitely recommend stay Sanderson . 's family hotel - great romantic break old smoke . 
 Aug 7 2007 	 Best Hotel ever stay ! ! ! 	 believe bad review good hotel London , staff friendly anyte help . birthday suprise impressed , stayed loft room 130 gorgeous massive bed bathroom bath shower ! view restaurant . hotel within walk distance China town central soho good drinking . purple bar gorgeous chair normal size ( notice comment seat small ! ! ) staff always greet smile room service quick breakfast deliver room perfect . hotel trendy comfortable good fun bore traditional hotel . would recomend anyone ! could move would love ! ! ! ! : - ) 
 Jun 20 2007 	 obsess ! ! ! ! ! 	 bf stay ( convince sweet little self ) really fun . would bring family , want awesome ! bar night pack lot fun ( fri night ) , expensive drink , trendy room . walk distance shoppinggreat concierge fun night . would def . stay . room funky stylish , hotel . young hip crowd do not leave hotel great fri evening . but , although concierge friendly italian restaurant accross street ' get we last minute ' only- ok ... try find somewhere else . also- do not go nobu- $ $ , crappy tiny roll obnoxious waiter do not even let finish food take plate . ok , I m getting sidetrack . leave sanderson early sat morning get full english breakfast . although I m brit seriously good worth every bite ! also guy front door already know heathrow express delay totally save we miss flight . hot ! 
 Jun 3 2007 	 guarantee fun alone meet one Londoner pal 	 Ask Ian Jasper . fun lobby . bartender flirtatious . food good . get late club stay . 
 may 14 2007 	 rate 	 hotel suppose ultimate luxury , despite rave review feel otherwise . yes decor trendy different , actually feel like Ikea . toilet clean soap could Tesco , lock ' work sanitary bin break . corridor look like emulsion trendy colour slap ! room basic room , stay room well facility travel inn ! toiletry non - existent , cotton wool , tissue , kettle tea make facility , rang reception kettle never arrive . room pokey small , plus point hair dryer well average hotel dryer . spa well rate , sit big room drape , sorry price expect little chair couple apple lot white curtain . treatment , surround white curtain , give one feel hospital rather luxury spa , also could group girl talk chill room , hardly would call relax . order lunch take 30 min arrive , chicken club sandwich , cost £ 23 , cheap white bread , salad poor well dress taste like make vegetable oil ! price drink , appalled , maybe little touch , £ 15 cocktail take age arrive , idea bargain . the long bar , yes cool , also presumptuous , staff slow serve cost fortune , around 12.00 tell rather abrupt remove outside terrace area member staff closing . way ask people polite way leave area . in short hotel try trendy chick , however decor trendy cheap , drink drinking area trendy , expensive presumptuous ! sorry take Dorchester Claridges next time ! 
 May 12 2007 	 Great Bed ! 	 Loved hotel . room unique comfortable . love bed . like curtain bathroom wall . shower full forceful . blackout shade . fun , lively scene hotel bar . restaurant pretty outdoorsy set . short stroll Oxford Street Tube station . complaint - could find electric outlet bathroom ! 
 Apr 30 2007 	 Sanderson Fabulous 	 Sanderson ultra modern hotel near Oxford Circus Tube . 's similar St. Martin 's Lane much nicer , friendly room big . place privacy -- close couple book room . clean , beautifuly maintain . lobby total scene quite bar patron hotel . service excellent . love Ian concierge take great care we -- get we great restaurant . location good ( near SoHo , West end , Covent Garden ) everything Oxford busy street . 
 Apr 20 2007 	 Best Breakfast ! 	 boyfriend book we birthday surprise . although room decor seem little tired loved well sized room beautiful big bed . spa little overprice next internal wall , feel slightly nervous almost completely starker ! purple bar good although empty evening visit . cocktail good typically cheap . £ 9 ' classic ' £ 14 modern drink . well worth go be budget , would stick one two . I can not say enough breakfast . really fantastic . lots choice beautifully cook . fantastic fruit , croissant , pain au chocolat , yogurt muffin also available . non - resident clientale seem little snobby though get impression people see . little sad not let put . beautiful hotel great service throughout stay . give go ! 
 Apr 5 2007 	 still lead pack 	 stay Sanderson several time work year whilst begin show 's age , still great destination hotel . obviously would never able afford publish rate visit book website work much one well chain like Raddisson Edwardian . staff always charming , room whilst long fabulously trendy still great fun cocktail Long Bar wonderful . mid - week load people turn away bar . only downside stay lack bar - food silly price minibar thing like coffee . 
 Mar 12 2007 	 style wothout substance 	 funky lobby pleasant staff . purple bar highly uncomfortable tiny seat , long bar crowd . & quot ; Space ship & quot ; lift could home Disney 's , corridor minimal lighting find bit naff . like net curtain hotel go , use everywhere room screen / divider . heat towel rail , mirror & quot ; funky & quot ; angle order make difficult put make . wardrobe ( rail hiding behind net curtain ) bathroom stylish , socket hairdryer near floor bedroom . WOW - there picture ceiling bed ! think try hard different nearly £ 300 night expect style comfort . experience , repearte . 
 Feb 14 2007 	 Sophisticated chic trendy 	 stay two night end Jan , ' 07 , great time describe complete design experience . read TA review , expect pouting staff look gorgeous completely useless ; pleasantly surprised see staff hospitable encounter large hotel . polite , informative extremely friendly sincere way - usually get type place ! communal area fab . , great vibrant bar wich serve lovely cocktail wine . long central bar feel little bit posy , guess whole place . private bar quiet night - early week - fun decadent . martini collection nothing impressive . our room good size big sleigh bed run machine ! white floor ceiling curtain seperate bathroom sleek , clean course trendy . ( shower , bath ) . plenty nice toiletry . spa experience - hot stone body massage , whilst pricey , brilliant . 's must see area hotel go ! overall highly recommend great treat - not get chance try restaurant look similarly stylish . definitely stay . 
 Feb 9 2007 	 expensive disappointment 	 £ 280 night small room tiny shower bath . noisy fan outside room . head housekeeping possibly rude man ever come contact . price quote ex vat nice surprise £ 80 bill check . value style kinf od substance comfort could place . way - think room expensive , not even venture bar surly barman condescend serve will ask extract kidney payment - oh yes 's extra crisp . 6 am coffee ... £ 8.50 plus £ 3.50 biscuit . be right £ 12 capuccino biscuit . bargain 
 Jan 27 2007 	 Unique ! 	 new husband book we 2 night hotel surprise - amazing stay ! bar know decor average hotel , inhabit old office block slightly dubious nice room could - wrong ! huge room silver sleigh bed , everything else except silver chair red rug pure white , layer net drape beautiful lighting create different mood . bathroom double end bath equally big , great product sexy lighting . whole hotel ultra modern minimalist individual touch slightly overwhelming wait lobby one evening definitely feel little place without designer glad rag ! agree previous review place see see 's thing , night two experience top central location enough - expensive mind ! 
 Jan 25 2007 	 Hip hotel - stay night novelty factor wish ' see ' 	 stay week November . hip hotel popular upcoming star try get see footballer . can not help think get little much . madonna interview screen Oprah adoption David pull star ... unfortunately staff also wait ' discover ' time difficult get serve interested pose preen themselves- unless tip big ! Imogen BB receptionist ... need say ? ? ? ? anyway - review - interior hotel sleek white pitch black lift room - unfortunately standard room absolutely tiny - even though modern term design layout . absolutely spotless crisp white silver image . first night night party nearby room ( famous guest apparently end ask leave ) . party never end , even many visit security , however next day upgrade huge suite free standing bath , sleigh bed , separate lounge area ! room enormous impressive . check tell room normally cost STG 750 per night - ai glad upgrade really not think would worth sort money . also see delux room friend stay ... slightly big , would consider standard room 5 * hotel . the long bar Purple bar nice small difficult get seat long bar busy . price drink finger food bar quite pricy - overprice 5 * 's London - even Ritz ! towards end week long bar buzz 4 pm evening lot local business people glamorous set ! one stage count 11 bar staff behind small bar - yet one serve drink . order dessert taste plate another day take 50 minute get ! seem youtip high assure personal service bar staff door staff - otherwise can not bother ! warn - amount time guy 's try pick hotel unbelievable .. .even corridor room proposition . seem lot call girl work hotel regularly ( even find wander around floor knock room ) - single woman bit nightmare sit bar alone not want sort attention . man even wait outside lady ask look good time ! fight Purple bar one night drunk group 2 girls/2 guy order cocktail no - one pay - staff handle well call one guy stay hotel tell use two girl . Thee appear lot free loader hanger hang around hotel time - complete turnoff feel everyone insincere result ! billiard room also close time private party . another gripe purple bar hostess always ask vip list gain entry - thjen go always practically empty . if want get away relax seat area near treatment room - white - absolutely noise nice getaway fuss . gym also impressive lot equipment week never see anyone else use it . all would recommend hotel night London ( not book standard room ) - fantastic location near SoHo West end show etc - look 5 * treatment , luxury plush surround relax environment - stay elsewhere . note - ' ve find hotel often available ' top secret hotel ' Lastminute much reduce rate worth take look ! 
 Jan 9 2007 	 Funky 	 arrival reception full eye catch bit , lip sofa , sliver throw , long chaise longe , picture dog head , alien chair , bar busy music pump ( 2 afternoon ) staff helpful especially doormen reception , check quick friendly show room via stepping space theme lift give quick informative detail hotel . room amazing clean , modern , elegant sleigh bed , glass wall , flow curtain , ceiling floor mirror , run machine weight ( use haha ) desk / dressing table . bathroom fun nice product , lovely bath , fun free standing sink ! ! long Bar equally busy evening great cocktail , purple bar less busy intimate ! ! breakfast fab ( £ 22.00 ) try get include package delish pastry , fruit , cereal juice follow posh fry serve 12 bonus ! ! Overal Fun stay , funky , modern , lively ideal anyone 40 unless young heart ! ! minor thing bar loud hear room face centre court hotel early night less noisy stay ask street facing room ! ! 
 Jan 8 2007 	 Absolute top experience 	 hotelier , send manager staff Sanderson learn hotel shall operate guest treat ! stay last four day Sanderson , wife talk staff value right people onboard hotel . -sanderson staff wish people stay hotel opportunity meet . we stay many upper class hotel year must say Sanderson good one ever experience overall picture , may already understand , staff play important role . go young mind , experience good thing hotel staff proud work proud give service would ever dream , personal basis . Peter G 
 Jan 5 2007 	 unforgetable . 	 want stay sanderson long time since big fan cut edge design hotel – and designer Philippe stark particular . I book deluxe room new year eve weekend – 28/12/06 - 1/1/07 hope romantic memorable stay famous hotel special time year.i get everything wish for . the design – well truly fabulous – different hotel ever stay world : unexpected , beautiful , original , amazing can not get enough . like perfect bizzar dream , know mean . Front desk – staff sanderson young friendly . treat we perfect manner . arrive hotel 9 immediately give room although check time 3 pm ! concierge – helpful even get us table & quot ; j - sheeky & quot ; restaurant Saturday evening ! ( one hot seafood spot town impossible waiting list ) deluxe room – not word picture truly describe wonderful pleasant really . sized 42 sqm . bed large , beautiful incredibly comfortable . floor wooden , bath area spacious include stand alone bath , walk shower , toilette – design magnificently . fact every item find room superb – toiletry towel – amazing sofa – picture ceiling . Don ' nervous & quot ; see bathroom & quot ; – use electrical curtain become completely privet whole room get amazing colored lighting effect make feel heavenly sensual . aqua spa – b - e - a - t - i - f - u - l. Book massage enter another dimension . the purple bar – use hotel guest . small , dark , extremely cool relaxed . amazingly design . the long bar – hip trendy buzzing – cup tea although stylish indeed . courtyard – stunning . gym – spacious cut edge equipment . billiard room – , beautiful ! location – prefect – 2 min oxford regent street , 7 min soho fabulous covent garden . price – come London prepare fact come one expensive city world . sanderson definitely live 's city 's rep . extremely expensive stay sanderson . everything cost … even cocktail start 11 pound ' even want start tell price spoon restaurant room service . expensive ! summery – get cash – really get give sanderson try . beautiful hotel sleep - amazing experience make feel special – worth money . * ' book room except deluxe one loft . ask see small & quot ; standard & quot ; & quot ; superior & quot ; room check décor small enough really piss ! 
 Jan 4 2007 	 Fun 	 Hotel minimalistic modern , lovely feature . staff pleasant & amp ; helpful . only one gripe : -have son & amp ; girlfriend return Hotel we enjoy night cap , staff Purple Bar commence cover optic clingfilm even mop bar floor , whilst sit guest . expect hip Hotel ! ! 
 Dec 12 2006 	 Funky Quirky Surreal 	 word fully describe hotel photo would justice . hotel amazing really different else offer London . walk hotel , outside building look quite plain standard , however soon step lobby like Alice stepping look glass another dimension . lobby pop art feel different type furniture dot around place unusual frame painting dog look straight . step lift , encase almost pitch black 3d outer space environment funky music play . beautifully design Billiard room near lobby also feature several strange piece furniture chair mammoth horn come . long bar buzzing night , everyone look young trendy . husband stay Deluxe Room city view . room wow factor . room white silver minimalist make room look crisp clean . bed place diagonally across room paint directly . many cool feature , giant egg sculpture next chair , silver dumbbell wall little silver tea - light candle light turndown . bathroom separate clear glass wall one sheer curtain one thick curtain , small sink free standing bathtub , next space walk - in shower toilet separate opaque glass , internal wall . wardrobe place hang clothe clothe rack bathroom area . hotel lovely especially look something modern different . fun , funky , quirky , trendy surreal wait go back . 
