beautiful 	 Mayfair Hotel stunning - great location , clean tidy uber trendy . barely week go without photo one celebrity another see go come popular hotel . therefore , expect alot hotel . we arrive later day , reception relatively quiet , however gentleman behind desk surly , moody not look remotely bother attend we approach desk . make eye contact we whatsoever not even greet we . after give we room key walk away without tell we room , get etc .... least expect ask we want newspaper morning , need help luggage ( large suitcase ) , disappoint whole demeanour could not believe 5 star hotel checking . however , get room delight . large , clean , king size bed marble bathroom , make rude reception staff . however , 8 am follow morning , woken knock door ! housekeeping staff want make room ! 8 am ! could not believe , especially go relax weekend catch sleep . I shock later day return hotel 4 pm discover room not make , despite housekeep eager 8 am ! confront front desk , surprise surprise shrugged shoulder not really see problem . breakfast bar first morning restaurant busy . staff polite attentive , however still wait 40 minute breakfast , order la carte breakfast menu , feel wa long , especially bowl porridge order . all say , hotel alot excellent quality . bar fantastic always lively atmosphere matter time day . the spa outstanding food Amba grill delicious ( would recommend cod ! ) .It also one clean hotel ever stay in . when book room , ask one not overlook front hotel keep awake night people leave various bar / nightclub area . 
 Apr 17 2009 	 make money sly - charge leave hotel 	 room okay instead 20 % discount rate quote pay 10 day advance , fact delay take payment account could take full amount - suspect 20 % discuonte rate false enticement . friend tell could check 2 pm fact leave sit bar unable check 6 pm tell previous guest yet leave . check ask anything pay tell nothing . day extract money bank account room service never mini bar charge . nothing minibar ask hotel clear minibar personal use . charge content credit card without permission . angry currently dispute hotel almost one hundred pound entitle take . watch account carefully . day stay tv programme interrupt message due high occupancy , breakfast would likely late delivery . never know hotel staff properly order cope high demand maintain service level . 
 Apr 17 2009 	 Best stay London 	 Excellent hotel , excellent room , excellent location , excellent restaurant , - employee 
 Apr 14 2009 	 mixed experience 	 Saturday Thursday - first night partner , rest business . at check - in problem booking - sure hotel conference company 's fault take sort , leave lurch reception explanation give afterwards . room - 2nd stay . quite nice room first time , clean , comfortable smart . spa - excellent package Sunday , although quite expensive . , confusion reign booking . originally tell availability request treatment , receive strange email ask confirm different treatment , response email ask clarify get phone call day confirm book original treatment ! also , send email hotel Saturday arrival enqure possibility special ' birthday breakfast ' Sunday . not chase not think go get Spa treatment ( see ! ) fact remain not get reply til late Monday ' VIP service ' representative not even realise time pass . never receive reply email point out . gym - small adequate . swimming pool . restaurant - first morning get put ' side room ' rather waiter service get main restaurant , ' hot ' food buffet . bizarre choice music ... Bar - Saturday night quite trendy place hang ( resident tend stick ! ! ) people watch , especially Nobu across road . fantastic cocktail , good table service , expensive , rack £ 60 two we less couple hour . however , week bit different picture . obviously ' lady ' sit bar look ' work ' occasionally male ' boss ' . know true member concierge admit problem claim nothing do stop . unfortunately lead bit seedy atmosphere time . 
 Apr 14 2009 	 Noisy Hotel Unreliable Service hit Miss w / concierge 	 recommendation book Mayfair keep follow mind . three nightclub nearby include Hotel nightclub open 3 a.m. ; need sleep avoid room face Stratton Berkeley Streets . even revamp hotel , neglect window hear practically everything happen street . hotel also casino downstairs open almost 24 hour two episode cranky patron pull fire alarm . alarm picnic 2 a.m. second time 4 a.m. next , tunnel stop close Mayfair tremendous amount foot traffic way work end day . also , not enjoy smell fresh fish morning , not opt Breakfast Buffet restaurant . one morning , woman child go run restaurant due smell . use Five Star service provide American own hotel , sadly disappointed Restaurant , Room Service , Concierge Services lack bidet heater / fan bathroom . advertise , quite surprised help properly train even simple process register arrive . would recommend stay sleep day like make arrangement concert restaurant . like three star hotel due mostly 's location . 
 Apr 13 2009 	 go somewhere else ! 	 4 day repeat ourselfe time time happy leave Radisson . end service laughable stop care try avoid staff . people appear could , guess system failor . poor management apparent throughout constantly overhear argument angry guest staff oblivious question . even staff speak English , appear exception , even basic question hotel service seem news . speak duty manager get back we 1 day later leave . basically & quot ; include & quot ; list time reservation fail materialise . breakfast constantly try push we dingy temporary breakfast room back hotel window . even & quot ; delux & quot ; room & quot ; open brick wall . strange surprising experience . luckily London full alternative time hard hotel year come guess expect call 5 star set survining . 
 Apr 10 2009 	 Excellent Stay 	 check Le Meridien prompty check May Fair -- change . hotel block away , world apart . the May Fair great location -- right Ritz Hotel , GreenPark , Shepards Market , etc . room super clean , bed comfortable ( would love buy mattress , comfortable ) , staff helpful friendly . bathroom nice . workout room small natural light . bar hotel hip . drawback be look ' stylish ' hotel -- be not much style , not care someone might . entire hotel -- room , lobby , hallway , moulding , etc paint color beige . 
 Apr 5 2009 	 excellent location nice room decent price 	 wife stay one night 5th April . pre - booked deluxe king room hotels.co.uk . decent sized room creature comfort one could need . bed nice comfortable . bathroom spacious separate shower tub . wife 's complaint fact mirror bedroom . want curl hair available outlet bedroom , bathroom - thus problem . sink could use maintenance slow drain . , nice place . classy lobby area bar . stay , recommend Kai Chinese restaurant Mamounia Bar ( Marco make mean Mojito ) - within walking distance . say book regular ( superior think ) less rate not think much gain book deluxe room ... marketing tool . location great though . picadilly accross street Green Park . tube station around corner well . easy walk theatre district , shopping , restaurant / bar , etc . overall , would give 8 10 . 
 Apr 5 2009 	 5 Stars across board 	 May Fair Hotel sublimely locate , excellent room / amenity , solid eatery supreme service . go step beyond every time , whether emergency fax 4 a.m. , procure table & quot ; fully book & quot ; venue . take care respect privacy footstep away require anything . everyone manager , room service delivery people category hospitable . stay Intercon anymore ! 
 Mar 30 2009 	 great location basic room 	 stay two night May Fair hotel London , excellent base , two minute Green Park tube station . we stay room basis coment quality food . room quite basic sparsley furnish . bed comfortable bathroom well equip . reception area quite impressive adjoining bar good meeting point , although beware staff member quite ' precious ' aloof , perhaps 's part London experience ? 
 Mar 29 2009 	 great room family four great location great decor great service 	 Book & quot ; family room & quot ; large room ( UK standard ) two bathroom ... room plenty drawer space bright fresh contemporary . hotel great location ( tube , walk , site London ) great service ( business center , need sneak away , adequate gym , great concierge help full follow - through ) . would go back heartbeat . 
 Mar 27 2009 	 wonderful Rooms 	 sister not know stay London could stay reserve hotel . go store Picadilly St recommend hotel . go impressed room ! ! spacious , clean , modern - ammenitie even free wifi ! ! would highly recommend anyone look affordable yet luxurious room downtown London ! ! 
 Mar 21 2009 	 one friendly hotel stay 	 bit worried staying incase bit & quot ; posh formal & quot ; . however , top class hotel without pretentious . staff lovely friendly make we feel right home . room would expect good sized location excellent . short stroll Oxford Street approx 25 minute walk past Buckingham Palace London Eye . would definately stay without hesitation . 
 Mar 20 2009 	 Top Flight 	 May Fair remain one good hotel London . go London frequently , stay May Fair . room modern , roomy well appoint . service outstanding . room service come quickly reasonably price . room rate also quite good value . stay next trip . 
 Mar 18 2009 	 second none price London 	 live West Country , decide park Hounslow West ( £ 2.50 per day W / e free ) ( one half car park use market , park close exit ) . take tube Green Park walk 200 yard hotel . arrive reception busy , queue go fast do smile ; room clean tidy large enough . tv bath room taste other like sort thing . bed king size comfortable . room quite blind close also dark . large event room impressive , consider hold event behalf company . also impress 200 seatter cinema , hi tech . the bar busy staff look everyone smile . food serve ( 20 ) people ample , hot tasty , impressed . cost room understandable honest good value quality , friendliness location . well do , go back 
 Mar 17 2009 	 lovely experience great location 	 little concerned see bad review Panarama . pleased say £ 75 million send come across clean . bar lively , room quite not good view . breakfast next day hot , clean tasty staff polite helpful . would go location fantastic sightseeing . 
 Mar 16 2009 	 Pricey get deal difficuly fault 	 know ' ve arrive place make feel special soon doormen usher door hotel lobby . reviewer comment perfume reception area ... overpowering , pleasant addtion ambience . location fault . within easy striking distance mail attraction plentiful cab standby outside hotel . park Carrington St NCP car park short walk away - normally £ 48 24hrs ask concierge discount ticket get £ 20 . ( put machine straight normal car parking ticket discount automatically apply ) .We stay superior room get rate £ 200 room . bit pricey pleased go upgrade room standard room understand quite small . london , room big . nice king size bed , sit area chaise longue load space front double wardrobe . Bathroom smart separate bath shower & amp ; sink . let could special toiletry hotel room standard . our view fire escape brick wall disappointing remembering , unsuprise really . overall room corridor give impression elegant luxury , quiet bang door , soft carpet lighting . we not get room service go Sainsburys across road purchase bottle Bollinger ( chill ) less third room service price . credit crunch time mean economy sensible ! pleasant evening theatre short taxi ride back ( doorman open taxi door nice touch ) spend couple enjoyable hour trendy May Fair bar . cocktail excellent service attentive . back room 4 carton UHT milk not last long call housekeeping ensure extra milk deliver 30secs ! though hotel get round put proper milk mini bar ? would mark improvement . overall would definitely stay . superb location , little bit luxury can not go wrong . 
 Mar 10 2009 	 Great Place 	 stay business event love hotel . stylish , relaxed , great service , friendly staff perfect location - else could want ? 
 Mar 5 2009 	 money disappoint ... 	 first thing notice upon arrival lobby perfume aroma - every time enter hotel , try hard get lobby quickly possible strong perfume stench . young reception front desk altogether friendly . room nice starchy kind way . bathroom shower glass open entrance completely overflow shower head turn full blast . water everywhere . housekeep ok keep request remove top sheet bed . stay week first 3 day top sheet not top sheet . ask one receive . put disappear next day day day .... frustrating . think many place would MUCH well . could not honesty recommend place price pay . good : concierge service good , bed comfy , clean place , fruit plate ..... 
 Mar 5 2009 	 Excellent hotel Great Location 	 good hotel ' ve ever stayed know first moment . since enter hotel ' ve welcome great staff , friendly , polite helpful . check really quick . room luxurius huge welcome basket fruit polite note manager . bed king size comfortable . b & amp ; screen also tea coffee facility apart mini bar . bathroom big shower bathtub well . clean hotel . breakfast superb large buffet always somebody staff ready satisfy anything wish , although London Fashion Week many people breakfast . location great , two minute walk Green Park Station , close Buckingham Palace , someone loves walk , , reach Piccadilly Circus Soho easily . , excellent hotel , excellent staff , excellent service . I always stay May Fair visit London reccomend everyone doubt . 
 Mar 1 2009 	 standard 	 usually stay washington , stay May Fair before.checke , ok , ocasion use mini bar . find week old salsa dip , stink fridge . aweful.went downstair tell reception . lady say & quot ; deal & quot ; . , sorry , would like change room sure smell unpleasant ... etc.someone remove tub walking.came back , spend night window open.will return hotel . Complained morning , pay bill . duty manager say whe would deal . hope , return . Washungton much well ! 
 Feb 28 2009 	 Great Location 	 hotel recently refurbish expensive classy finish . room large London hotel . bathroom huge LCD nice . location perfect central . nice Panini cafe posh restaurant around . 1 min walk Green Park tube station . 3 complaint ; room warm enough winter , floor stay granite hallway noisy 2 elevator whole hotel ( 1 break 3 day ) + 1 elevator penthouse . staff nice helpful . 
 Feb 25 2009 	 favourite hotel iin London City 	 Radisson Mayfair Hotel Stratton Street locate Mayfair neighbourhood , dowtown London . walk easily Piccadilly Circus town attraction . it be modern look hotel , elegant , superefficient time , personnel hotel kind , respectful professional . room nice , always modern warm big , confortable full accessorized bathroom . there three different restaurant hotel , good quiet . a fashion look bar host professional every evening want drink something collegue friend . good music , great drink . Raddisson Mayfair perfect business stay well holiday weekend without family . rate fare consider service hotel give : excellent , efficient , warm . 
 Feb 22 2009 	 great location good hotel 	 stay 20 - 22 Feb cheap deal lastminute . location excellent , right near Green Park tube ( 3 tube line ) bus picaddilly Hyde Park route . 5 * hotel , good service , though well aware book super cheap deal get least nice room . still , shabby room Mayfair probably beat good room less hotel area . super - comfortable bed , would happy never leave . lovely bathroom full sized bath power shower . nice gym . negative consider be pay full price : even advertise rate £ 300 per night , charge £ 5 hour internet , think disgraceful day . room seem well sound - proof , corridor , woken morning staff yell room opposite ( either & quot ; housekeeping & quot ; & quot ; room service & quot ; ) knock loudly door . seriously , think actually room , loud . get treat maid knock call every room corridor . bed comfy , be hard go back sleep ! summary : absolutely great price pay , seriously smart hotet unbeatable location comfy room - complaint ; might bit frustrated aspect pay full price . 
 Feb 16 2009 	 Heaven Heart Mayfair 	 minute greet friendly doorman Mayfair Stratton Street , fairly confident stay would enjoyable . disappointed . minimum fuss immediately show room speedy check - in . minimalist - lead design time , often coziness sacrifice high order fashion trend , pleasantly surprise discover room , whilst would look place high - end interior design magazine , also invite . nod contemporary design , large , velvet clothe bed headboard , also relief discover comfort bed second none . firm fluffy pillow guarantee would sleep like baby weeklong stay heart Mayfair . room sparkle clean smell naturally fresh . program ' Hotel Inspector ' however , leave indelible mark nation 's subconscience . notice perform spot check hygiene without consciously realise . bedroom bathroom impeccable . form dirt dust room , definitely could detect . long day enjoy delight nearby gallery , museum impossible avoid shopping , simply heaven retire bathroom greet wonderful array Molten Brown product . soap junkie , say Mayfair choose well . one great pleasure life soak luxuriously fragrant bubble whilst down odd glass champagne reading favourite book . definitely go enjoy bath time . stock replenish regularly could always enjoy pleasure open feel one get upon open new bottle . richly present breakfast delicious cappuccino force abandon diet , regret . discover way counter - balance over - indulgence morning relax fresh salad grill meat Mayfair ' crisp clean - cut Amba bar grill evening . service impeccable feel uncomfortable dining alone . recommend hotel highly . try ' regret decision . 
 Feb 15 2009 	 great business traveller 	 stay Radisson Mayfair 11 night late January . London business work North London , want stay close heart city . hotel literally step away Green Park tube station , walk distance Picadilly Circus , Soho , Covent Garden , Buckingham Palace , Trafalgar Square , etc . can not beat location , Green Park tube 3 line go , get around London piece cake . the hotel nice staff excellent . always attentive need treat professionally . two bar / restaurant site also great , travel alone great place meet fellow traveler . stay Deluxe King , simple elegant adequate need . room huge , also tiny , great deal London . free wifi include give 5 * hotel thumb ! 
 Feb 14 2009 	 May Fair ... VibrantInventive Luxe .... 	 well place May Fair enjoy long weekend . need quick escape recharge long cold snowy winter States . check May Fair Friday morning , quickly give room freshen since room ready { nice touch long overnight flt } ... went afternoon phone room ready . we hurry since enjoy walk around get Theatre tkt book next night . sign Floral class Jane Packer School Floristry , thrill ! course enjoy 2 day tea scone Fortnam Mason . once settle hotel , love accommodation ... spacious , comfy , without overly do .... everything would need disposal ....... loved smell pipe thru Lobby upon enter ..... would love know scent ! ! ! Breakfast serve hotel restaurant , great selection fruit / cereal / toast .. need , menu available additional charge . sorry leave 3 day really settle nicely space .. great hotel function seamlessly .... staff professional fro check - in check- ... kudo work hard make standout ! 
 Feb 12 2009 	 Central Excellent 	 state attentive without intrusive definitely case May Fair Hotel . walk feel go special , staff courteous helpful . delux room spacious well situated , bathroom large quality good . Room Service great housekeeping staff great well , especially come pick packaging shopping wife do ! ! location central leave free walk place , shop Oxford St minute stroll away walk Bond St get . Piccadilly Circus also another 10 minute stroll opposite direction also get show Shaftesbury Ave well Leicester Square , good Soho China town well . I go back 3rd time stay great . 
 Feb 10 2009 	 Mayfair marvelous 	 wonderful week - long stay Mayfair box Day til 2 January . find everyone hotel helpful , especially David Concierge Desk . find room large comfortable nice king - size bed . complimentary wireless internet great reliable . even US type electrical plug next table husband plug laptop ! never need use converter adapter plug bring . two market close hotel -- Sainsbury across street Marks & amp ; Spencer entrance Green Park tube , easy block away . & amp ; many kind yummy sandwich bakery good ( love cheese scone ) . three tube line pass , ready access everything want London . Gilcrest & amp ; Soames toiletrie nice scented way gender enjoy . find tv offering adequate -- could even watch CNBC keep market . noise street weekend night New Year 's Eve , really inconsequential far concern . street around Mayfair generally quiet , amazing consider central location hotel . healthy walk Green Park be stand front Buckingham Palace . westminster one tube stop away . fruit basket provide we upon arrival enjoy much -- great start morning piece fruit chunk luscious champagne panetonne buy Christmas sale Harrod 's Food Halls . pretty much every morning , perfect . husband also like fact casino , Palm Beach , accessible hotel lobby hour . also mention arrive early graciously give early checkin fee -- e - mail hotel ahead time request -- pay attention ! complimentary newspaper every morning help keep we loop , . cushy bathrobes provide rely upon daily . multiple lift Mayfair ... one occasionally , problem . probably leave detail , ' m sure 's clear amenity hotel nice kind thing really matter we help make stay comfortable . 
 Feb 8 2009 	 London business traveller 	 great location London business traveller . exciting decor great staff . efficient helpfull . free internet welcome plus . when booking include breakfast great food multitude choice . can not beat , like evening gather lobby bar great . easy walk Berkley SQ shopping area . 
 Feb 7 2009 	 great hotel 	 would recomend hotel location , facility great service . if chance certainly book hotel . 
 Feb 7 2009 	 Solid Four Star try five Star 	 recently spend eight night May Fair London business . rare circumstance neither choice stay not pay it . my first experience set tone entire stay . overnight flight arrive D.C. 90 minute early arrive hotel 6:30 a.m. day suppose check . way , take tube ( 45 minute ) 2.20 pound two short block hotel . room course ready , however front desk staff accomodate look room 10 minute find king superior . previously tell go upgrade king deluxe . allow take king superior , take nap four hour move luggage king de luxe . impressive ! king superior room 855 . large , hardwood floor , two room marble bathroom , modern furniture . admittedly modern hotel person . tell hotel like W Hotel . prefer old architecture comfy modern . say personal taste thoroughly enjoy myself . other small touch room nice . heat towel rack , pant press addition iron board , in - room free safe , coffee tea maker comfortable bed . also , could leave shoe outside door would shined gratis . additionally , read previous review , request minibar clean graciously . supermarket right outside front door . purchase box Kellog 's Special K , 1/2 gallon milk , banana blueberry less five pound breakfast week . breakfast buffet hotel 22.5 pound day . also plenty reasonable place immediate area get soup ( EAT ) sandwich etc , small price . in addition front desk staff check , everyone week extremely accomodating . travel frequently work pleasure friendliness professionalism staff really stand out . the location also really great . take tube everywhere never need expensive cab ( though look cool ) . get Oyster Card ( like smart travel card ) land , set week . within block great shopping Oxford Regent Streets 10 minute walk Picadilly Circus Leicester Square ( 1/2 tix booth show ) .downside hotel limited tv channel English ( like watch tv ) dismay weirdly lay gym . Workouts must wherever go disappointed . lot free weight , three treadmill , one bike one elliptical . also , room get warm four people get claustrophobic . bit bullet join Fitness First two block away ( basement office building Berkeley St. ) cost 25 pound week ( $ 35 ) . irk nice hotel unusual gym pay go elsewhere ( admit workout snob ) .However runner , Green Park Hyde Park 200 yard away . our rate 171 pound , ( $ 240 ) . like say location superb staff great . London expensive city . eat good food , pub lunch good dinner . want food info email glad provide recommendation . cheer . Marius 
 Feb 6 2009 	 great hotel 	 stay Mayfair week Christmas 2008 . hotel beautiful modern . room unexpectedly large London hotel room , comfortable King bed modern bathroom . staff friendly helpful , location fabulous , central , Green Park tube stop minute walk away . real negative , come something ... lobby always overly perfume , could smell nice take several notch ; also love room ( think 206 ? ? ) bad view - out onto tiny ventilation shaft area - make sure do not get room want view . side note anyone plan stay London future Christmas season , prepare ... whole city literally shut Christmas Day . even tube run hardly anything open . 
 Feb 5 2009 	 will back ! ! ! ! 	 get back 4 night stay May Fair Hotel ... stay many hotel London ( favourite city ) , good .... nice room .. quite large London standard .. good bathroom ... ipod deck .. present ... unfortunately thing miss get first ( like remote .. ) forgot bring item .. fix within half hour take one phonecall ... ' ve appreciate hotel .. friendliness willingness help every member staff ... although many foreign , mean speak English .. last two year not see maid not speak polish Russian ... quite refreshing finally able hold conversation .. oh , hotel happen one hot bar town .. situate right across street Nobu 's ... experience want ... 
 Feb 5 2009 	 Good Service 	 Excellent service check housekeeping . room service takeaway cook breakfast sandwich second none , deliver promptly 6 am ! great location - would definitely recommend . 
 Feb 4 2009 	 absolutely one bad hotel experience ever 	 stay Mayfair 10 day business trip . location great positive say . staff rude indifferent , bad experience frequent business traveler . first HVAC system get stick A / c mode middle winter , even repeat request switch heating mode day day , still do week . ask sheet change , do . point later , tell staff could not do housekeeping go home ! add insult injury , tell change sheet key linen closet ! room noisy , hear next door street noise loud clear . addition , bathroom not clean several day ; use glass cup not clean replace ; coffee tea not refill ; facial soap ; fire drill 3am morning ! list go . wonder manage place ! one compliant session , flatly tell staff many word , well , bad . not hotel . never , ever stay lousy place tell everyone else stay away . 
 Feb 4 2009 	 great hotel get deal 	 book night May Fair 01/02/09 treat husband 's birthday . get deal Lastminute.com one ' Top Secret ' hotel describe ' pure luxury heart Mayfair 5 * ' , pay £ 140 . price include breakfast fine plenty place nearby grab coffee pastry . check - in tell have upgrade King Deluxe room terrace pleasant surprise . arrival room , surprise plain . luxurious , large headboard image website suggest wall seem really bare . upgrade room , imagine superior ( entry level ) room size travelodge room guess 's get part town . bathroom nice product smell lovely floor tile freeze foot . underfloor heating would make huge difference ! terrace quite large garish red tile wall make look date . overlook Lansdowne Row ( back hotel ) hear noise although Sunday night . bed comfortable though staff helpful request . couple niggle thing like handle patio door virtually hang look like chocolate alarm clock speaker . tea coffee supply average 2 everything ( run quickly ) hot chocolate disappointing . little touch like let hotel certainly uber luxury room expect although public area hotel definitely look 5 * part . say , £ 140 night heart Mayfair , bargain would definitely return , slightly low expectation time ! 
 Feb 2 2009 	 great stay May Fair 	 stay May Fair Hotel December right come France Christmas . room lot large London Hotels , think bed comfortable . love stay Westin hotel bed , really enjoy hotel 's comfort . great location , right near green park train station pretty much across street Buckingham Palace . complaint would not think wall well insulated . hear quite bit noise hall- be good sleeper , not bother kid either . also perfume smell lobby- opinion way strong . hotel staff excellent . change bed sheet kid spill water one time , bring crib we . exchange money we well helpful give suggestion . would recommend place one friend . 
 Feb 1 2009 	 stay Somewhere else 	 last minute decision stay London logistical reason client book May Fair . staff , check - in check - out , rude inhospitable . room noisy hallway noise street noise ( not believe website triple glaze window - 's still noisy ! ! ) . room two single bed bathroom large sleeping room . bed uncomfortable . major hotel put mattress topper soft duvet bed , Mayfair put emoryboard - like fabric . ask 06:00 morning wakeup call come 05:20 . not good night 's sleep business traveler want . television terrestrial channel . hotel attitude encourage go somewhere else suggest client . 
 Jan 29 2009 	 Super Location 	 lot research , know London well , booked & quot ; Special Deal & quot ; airline / hotel inclusive deal . get worried night departure read recent comment site . allay fear ? yes . & quot ; plastic bottle bathroom ? & quot ; -but reviewer omit say fill Gilchrist & amp ; Soames product - much nice generic detergent . not see hear excitment Nobu , across road - handy want visit . 9 year old daughter impressed doorman open door smile time arrive back hotel . might poshest 5 star hotel ever stay , location ( 2 minute Green Park tube , picadilly line ) mean one accessible place London , great tourist . clean , comfortable . nice staff . not use restaurant . 
 Jan 21 2009 	 would always stay London 	 concerned see review Trip Advisor ... seem less satisfactory hotel . telephone hotel directly concern . manager amiable assure hotel high standard , pleasantly request ' give try' . I stay many London Hotels , say , , without question superb . beautifully clean , staff friendly ... food , room service , delicious . arrival , call room half hour , ensure like . late checkout extra cost , checkout problem bill . correct , unlike hotel , often get thing wrong ! invite leave belonging hotel checkout whilst spend day London . finally , not leave London till late , dinner reservation , allow use wonderful spa facility shower change ready evening . would without doubt say well Savoy , always stay be town 
 Jan 19 2009 	 good 	 stay one night see show London , book use Rezidor point . hotel perfectly locate 2 min walk Green Park Tube nice area . recently refurbe high standard . room excellent - large , quiet , good facility nice bathroom ( slight negative floor tile slippy wet ) . quick lunch bar ' okay ' breakfast superb warm attentive service despite peak Sunday time busy . Buffet plentiful fresh la carte full English + egg top notch . Breakfast also reasonably price . excellent hotel great location good staff . stay . 
 Jan 15 2009 	 Great Hotel Mayfair 	 Wife stay five day Xmas , location great allow we explore lovely hotel shop exclusive area . room lovely quiet , many hotel nowadays breakfast expensive , get food supermarket across road , use tea make facility room . we definitely return early opportunity . 
 Jan 13 2009 	 Outstanding Service Excellent Location Finance Shopping 	 May Fair step Green Park Buckingham Palace beyond . center hedge fund alley hundred meter Bond Street , hedge fund zillionnaire dump ill get gain . service May Fair exceptional . room layout little strange , room spacious stay altogether enjoyable experience . 
 Jan 8 2009 	 would not stay 	 & quot ; echo elegant past . & quot ; could not agree hotel video describing . much elegant hotel long . find overrate overprice unfortunately . upon entry hotel , greet strong soapy smell disturb take get use . addition . 's FAR edgy 's historical significance . make mistake interior decoration try sleek end top modern much black , hard edge smooth surface . would not say warm feeling all . the concierge helpful always feel like encroach time . 's type setup sit ( be stand whole time ) chat concierge give idea . usually , expect know want when . we must lucke refurbish room & quot ; King Superior , & quot ; nothing superior . slide glass door handle ready come moment separate bathroom bedroom . privacy whatsoever . tiny little excuse closet inside bathroom - ? not know . would also add cleanliness something would rate highly . yellow stain white duvet cover . another annoying feature bathroom soap etc . attach wall position hand incorrectly squirt clothing ! ! find interesting hide feature room . user interface nightmare . tv bizarre remote control turn tv record button . phone room design infuriate techie people ( highly technical people , digital user experience designer engineer ) instruction call frontdesk concierge . , want coffee , need look inside boxy night stand course ! not think ? one really great thing hotel free wifi , proximity green park tube station , business center really nice breakfast ( really part room cost ) . , not worth money time . 
 Dec 29 2008 	 two- star experience hotel consider five - star 	 hotel recently renovate room attractive although quite spartan- ie nothing wall . high - tech bathroom & quot ; tread & quot ; either shower floor tub step carefully . promote five star would well aim low . first , discover arrival Christmas eve room bath , shower . gracious enough move we shower room small room bath , thing go downhill rapidly . phone room never work dial , television remote work properly , window quite close ( fine first , make room less stuffy ) , service iffy - perhaps holiday . one four computer business center break , ice machine floor floor . two request ice deliver ignore , find ice low floor . guest often use stair two small elevator work often seem full . .These issue trivial , however , compare message issue noise . one night return 11 pm theatre see message television screen indicate phone message . give hotel emergency contact , phone problem could access , give one half hour later , repeat promise hotel help send someone , finally tell manager come room probably & quot ; hang - up . & quot ; worry message soon drown Nobu restaurant across street reopen Christmas . could hear loud drunk outside 3a . next last night would move , situation bad next night . then , add insult injury , check , discover hotel charge UKL 1.00 per minute , yes , usd 2.00 per minute local call . manager duty inform us price & quot ; line Ritz . & quot ; possibly , Holiday Inn Experience , actually less problem Holiday Inn . on hand , hotel provide robe , free paper ( one ask ) , high tech electronic equipment room - Bang Olufsen TV , few channel Radisson Belfast , example - perhaps feel need . 
 Dec 25 2008 	 decent 4 star hotel 	 spend 3 night May Fair hotel Christmas Shopping trip London . the May Fair Hotel turn good choice . the hotel situate top location near Buckingham Palace , Harrods , Hyde Park etc . 3 minute walk hotel Green Park Station access tube bus . check : quick without problem . hotel lobby ooze arty modernism . tastefully perfume air ( kidding ) . friendly staff . room : book double standard room . room reasonably sized ( though huge ) , decorate monochrome brown - cappuccino shade huge comfortable bed ( fresh sheet daily ) great flat screen tv . also table 2 seat , small wardrobe equip flat iron plus iron board , safe mini bar . lightning good , also read . assume room refurnish one carpet furniture show little wear tear . overall impression goodThe bathroom tile grey stone sink , toilet , tub modernism way fashionable 1990 . find toiletry odd though , shampoo , conditioner body lotion come plastic bottle fix wall . personally prefer toiletry luxurious come pretty package bottle look like little gift . May Fair offer customer certainly 5 - star ! facilite bed- bathroom work without problem room clean . staff member turn friendly , helpful competent english good , communication problem either . the hotel offer entertain well , i.e . casino ( though go ) . meal hotel know standard May Fair cuisine . for & quot ; emergency shopping & quot ; Sainsbury Supermarket opposite hotel Boots Drugstore medication counter corner Piccadilly ( 3 min . walk hotel ) . also spot Post Office neighbourhood . my stay May Fair overall positive experience would rate 5 - star hotel think 5 - star hotel nice exceptionally good . also word warning might look kind & quot ; glamorous old world experience & quot ; : hotel classy no - nonsense modernism . many way remind hotel Midtown Manhattan . Don miss visit historic glam old Burlington Arcade many jeweler shop also see lovely store Liberty London ( across Regent Street ) . cross Piccadilly look Ritz . walk distance . 
 Dec 15 2008 	 good 	 lovely hotel all . check prompt , friendly hassle free - even record newspaper order previous stay ... ( nice attention detail ) room spacious , nicely decorate muted shade fawn chestnut - light subtle restful - bed comfortable .... plus someone hate airless chain hotel room window could open ! would recomend ! 
 Dec 10 2008 	 ambience 	 room cold feel . basic room ; basic bathroom wall mount toiletry ! huge gap door , terribly noisy . relax . awful look carpet although must fairly new seem grubby ... 
 Dec 7 2008 	 will not come back 	 wife book Mayfair Hotel pre - christmas shopping trip . pay £ 280 describe deluxe double . fairly realistic not expect anything particularly flash , termsof room , £ 280 Mayfair Christmas . however , hotel room let number count : ( ) arrive car ask valet park - doorman say busy stand car 10 min would come take . park ncp around corner ; ( ii ) room poor . paint peel wall place , tv not work properly , dirty cushion bed paltry mini bar not cool content sufficiently content pleasurably drunk ; ( iii ) phone reception see whether could pay well room tell hotel full . say would stay room point fault mention ask report duty manager - would nice duty manager acknowledge feedback receive contact allThe overall experience similar stay buget hotel budget hotel price - will not return . 
 Nov 14 2008 	 Excellent Hotel central London 	 sixth stay hotel since refurb 2005 , remembrance sunday weekend , yet disappoint . arrive 1 pm use on - line check - in facility immediately accommodate room . room usual immaculate . take breakfast room , always excellent . cheese selection accompany continental choice , preferred option , amazing . table arrive time request remove promptly . housekeep excellent extra touch like shoeshine service always efficient . arrive back hotel first night find card Manager complimentary selection fruit bottled water much appreciate . obviously upscale hotel rate reflect , would hesitation recommend hotel . location alone worth rate ! say , would not choose property not completely satisfied , glad say Radisson Edwardian Mayfair disappoint . 
