pleasantly 	 stay attend ATP Tennis Finals O2 Arena . book hotel economy practical reason near dig leave o2 late night . after book ...... turn Trip Advisor ( ! ! ! way suppose work ... read review book ! ! ) half review hate place half satisifie .We pleasantly suprise , expect bad hotel well locate safe , front staff polite helpfull . room basic definately clean ... especially bathroom . will use . 
 Mar 24 2008 	 ok '' Arena 	 ok stay one night O2 arena ! ! although taxi cheap . staff cheerful helpful . however tired travel lodge . room cheap stank cigarette smoke even think whole building non smoking . net curtain dirty imagine problem soft furnishing clean since smoking ban come force . load hot water really & quot ; frill & quot ; - need bring almost everything apart towel bedding . breakfast ok - long want cook breakfast - husband say disgusting - toast . really nowhere nearby breakfast . use - get head night ! 
 Mar 8 2008 	 low cost well locate . 	 book family room . stay two night pay 60 pound per night . this hotel deliver expect . room fine , bar food acceptable . ideal budget traveller , perfectly locate jump Docklands Light Railway city centre . Wifi available , cost . a bonus relatively secure car park cost fiver day park . 
 Mar 1 2008 	 Good Location 02 value Money ! 	 stay hotel go Alicia Keys Concert 02 . Booked travelodge website stay one night value money experience . arrive car drive London Midlands . car parking guest £ 5 per day payable reception upon checkout . location - well place access O2 Arena , Docklands Light Railway literally minute away turn right car park barrier imediate leave East India station ahead .You need get DLR Canning Town tube ( jubilee line westbound ) North Greenwich Arena . total journey time around 10 minute . buy require ticket pay go machine DLR . reception Check in / out : queue 's arrive around 5pm . note someone book behalf check need person 's adress book . checkout swift simply drop room key reception . no issue . staff : reception helpful , provide tube map free direction require . Bar /cafe staff ok clear clean table swiftly guest could setaed . problem . room : book standard double room early saver rate £ 29 , good value price , consider check hotel within vicinity extortionate due location . Decor look fresh sign bad smell disrepair . double bed matress / pillow comfortable would like livible one night oh clean , bed clean , carpet appear quite new well clean , wardrobe adeqaute night stay hang day worth clothe . bathroom clean , good water pressure , clean towel provide , cleanliness issue room . the room tea / coffee make facility kettle sachet tea cofee , milk sugar . small LCD t.v around 6 - 7 channel 1 - 5 2 cable channel one music channel . issue be not watch tv.food : book breakfast follow morning choice two option £ 4.50 light breakfast consist cereal , OJ , yogurt . £ 7.50 option cook buffett breakfast eat much like self serve style . kid eat free option . do not book night do not worry do morning reception give voucher present Cafe . I cook buffet breakfast reasonable bacon , scramble egg , mushroom , bean plumme tomato 's usual , selcetion brown white bread toast , apple / orange juice , hot drink food top regularly problem temperature food . overall value money hotel would stay visit O2 arena rate good . 
 Mar 1 2008 	 ok short stay 	 good basic hotel good public transport link Canary Wharf , City etc via DLR East India Station minute walk away . I ' ve stay hotel couple time say ? Travelodge ! get fairly basic hotel need be go stay one two night . it be get little bit grubby place one lift order last stay little inconvenient ....... well stay last time idiot leave trail vomit along corridor outside room . hotel 's fault course . as say review , want quiet night 's sleep make sure get room face hotel car park rather busy road run along back hotel . there hotel bar / restaurant somewhat limit menu various vend machine reception area , however late - night opening & quot ; Budgens & quot ; supermarket side East India DLR station minute walk away sell wide range foodstuff drink . 
 Feb 22 2008 	 AWFUL AWFUL AWFUL - avoid 	 stay business 2 night experience never repeat . it shabby room smelly dirty . furniture cigarette burn , curtain fall rail pull close clean bath could use . carpet sticky able walk bare foot . simply awful contemplate . bar ok table sticky food not great . even though business trip little choice stay , would recommend dirty hotel bad enemy . room also freeze cold quilt thin grotty - urgh ! 
 Feb 20 2008 	 get pay 	 two friend stay January , go O2 . one girl book 2 night deal £ 100 total thought would couple night . room pretty basic really bit grubby . reception staff friendly dining room staff quite rude ! breakfast bit mess keep run food . cook breakfast run not even butter toast not go well guest ! would not go back think well place price . but be plan spend much time hotel might ok ! 
 Feb 17 2008 	 Brilliant O2 	 visit Docklands travelodge start January . reason travel Spice Girls . we take seven hour train London expensive taxi ride king Cross Docklands one thing not want massive queue . would say hotel one fault , queue reception . reception staff excellent , friendly guy always want help ! hotel obviously designate Taxi service excellent , especially young guy - drop everything come pick we concert . unlike folk queue hour taxi ! room small ample we two young girl . Smelt bit smoky though , although apparently smoke ban room . overall excellent stay ... perfect go O2 ! 
 Feb 13 2008 	 Dirty East India 	 return one night stay visit o2.we stay numerous travelodge room although odd problem never bad time overallgood point .... position , price £ 20 , reception staff pleasantbad point .... room dirty , shower curtain disgusting , towel rail work ( heated ) , yellow net , bath tile mouldy . small pull bed smelly ( not dare look matress ) side table miss . Breakfast , poor keep run thing cook thing cold , extra staff require . room generally grubby extremely glad visit one night ! ! 
 Feb 12 2008 	 well place o2 arena 	 , hubby son go see Prince o2 do not think could better location London [ sight see chance would zone card anyway . ] check staff friendly , room tidy quite large plenty space hide suitcase .We meal stairs Bar Cafe impress service quality price .The gripe breakfast could slightly well organize .We pay around £ 70 room [ include breakfast ] do not think get well value money Stomp ps worth check website deal night £ 15 ! .also must London tube map , long ok foot read will not get lose ! comment come someone terrify idea tube spend hour researching direction , long get map do not need . 
 Jan 15 2008 	 Smelly smoke travelodge lol 	 book hotel close O2 arena .... like many other Jan goin see Spice girl = ) ( amazing btw ) Hotel .... amazing .... give 2 smoking room reason ( think smoking ban would stop people smoke room , obviously ) .... 6 non smoker .... STUNK ! room ok .... sheet provide single pull bed .... reason none double . time realise , already late pjs could not bother go tell reception ! there s flat screen tv room .... surprising really consider everything else room bit tacky ! friend room one light bulb 8 room , get ready dark ! breakfast £ 7.50 eat .... well worth really consider there s really place eat near hotel ... good standard , actually hot lol ! sum ..... fine one night stay .... do not expect anything impressive ! great location o2 arena .... 2 stop tube = ) 
 Jan 9 2008 	 really dirty scruffy 	 good thing hotel location . book hotel friend one night go concert 02 search various hotel seem cheap well locate visit . . five minute walk East India DLR station one stop get tube one stop North Greenwich , ideally locate overnight parking £ 5 . ( come home O2 , also handy seem people travel towards city centre go opposite way , back Travelodge 20 minute . ) 's good point stop we . main room scruffy , border dirty - mark duvet , ominous white stain rather dilapidate sofa , dirty net curtain poly - fillere hole wall . however , bathroom bad . Mould roof , area around sink not clean arrive , showercurtain yellowy brown ( white ) loose wire ugly hole notice tell we heated towel railshould . could not shut door bathroom either would get locked door could open outside . seem odd somewhere look quite new fancy flat screen television - personally would think new shower curtain , lick paint cleaning material would important . one night bearable long would either ask move go elsewhere . 
 Jan 7 2008 	 perfect loction o2 arena ! 2 tube stop ! ` ` do not forget swimmer ! '' 	 much search net opted book Travelodge appear good location regard O2 arena , be not disappoint . on leave king Cross get tube Holborn ( Picadilly Line DARK BLUE ) Holborn get tube Bank ( Central Line RED ) Bank get DLR East India . arrive station make sure leave correct exit ( sign post dock think ) ! continue walk forward , pass Nutmeg Lane right , hotel literally min station , think wrong area arent . upon arrival hotel reception area busy , would seem everyone see Spice Girls opt stay close ! ! check - in could well amount people check one member staff ! give card key room 31 . room smallish fine ! room ok clean compare Travelodges stay past . however bathroom bite disappointing . see bit grime dirt picture attach . case room have not clean high enough standard . shower curtain smell foisty , friend conscious touch we whilst showered . shower serious cause concern regard safety ! shower ( use shower curtain barrier main bathroom ) water go onto bathroom floor expect , problem mean drainage get rid water , therefore water do not anywhere go , do not want use towel need one provide . one night stay water remain bathroom floor ensure footwear enter bathroom avoid slip fall . advise reception problem apolgise . we leave hotel around 6 pm need get food concert hotel bar do not open till 6 pm late we concert attend . the distance hotel O2 perfect . board DLR East India go one stop can Town , jump tube North Greenwich ( Jubilee Line GREY ) arrive time North Greenwich outside O2 arena ! overall stay Travelodge fine go O2 would certainley stay despite bathroom issue perfect location O2 . 
 Dec 31 2007 	 nice modern Travelodge 	 anyone like we familiar East London , difficult find . thankfully London z book ! apart , Travelodge good indeed ! rather market theme one , compare many other use . room nice , new flat screen tv , coffee tea room , breakfast buffet excellent value £ 6.75 pre book , that s one adult two child , breakfast feast ! staff helpful , secure car park £ 5 per night guest ( take ticket arrival , pay reception leave ) . close Docklands Light Railway station , East India excellent link can Town tube service 02 Arena , Central London . excellent value get £ 26 per night deal , still worthy full price I m tell £ 80 per night . one good advert Travelodge , fly flag high one ! 
 Dec 24 2007 	 great - easy find clean crash pad ! 	 stay night arrive 11 am , leave car car park get straight onto DLR line , 5 minute walk hotel . central London within 30 minute parking ! ! lot go around hotel term bar , restaurant etc , something bother we . good check staff well informed . room clean , quiet , although small other ' ve stay , nevertheless complaint . not eat hotel quick drink service price pretty good . securtiy good - barrier get car park , room key also open security door communal corridor . good vend machine case forget toothpaste / brush instance need cold drink snack . parking cost £ 5 feel reasonable . all happy stay , definately return . 
 Dec 20 2007 	 Marathonner 's listen ! 	 ' ve stay several time never problem aspect hotel . 's short stroll DLR , park reasonable London family room adequate cater party four . last stay London Marathon hotel open 's breakfast faciltie much early , cater 's run guest . extremely helpful accessing travel information , become apparent issue DLR day polite professional . 's reasonably quiet hotel , little road noise not know else people want money ! 
 Dec 13 2007 	 hmm great experience . 	 great experience fairness , fault Travelodge . say , would not stay again . we book two night near o2 arena ticket lead Zeppelin . room , although cheap , small dull . big gripe bedside light . one side work , not . make matter bad , bulb ! ! perfect electrifying weekend ! report reception tell would sort promptly . still bulb leave nearly 48 hour later .. check - in painfully slow seem unprepared major event take place nearby weekend . one person duty good enough . several customer travel globe concert impressed . location ok -ish dlr run . Sunday arrive not . bus transfer walk , rain knowing go . definitely fault Travelodge , expose limitation 's position Docklands . bus taxis available , huge traffic problem around area due silly ticketing arrangement Zep concert . next time , ( concert o2 fabulous way ) stay somewhere Central London . marginally long tube journey would well worth . realise gripe fault Travelodge apology , could do well decor , housekeeping check - in , there - by improve overall impression stay . 
 Oct 14 2007 	 good value 	 typical travel lodge . basic clean & amp ; comfy . location industrial problem convenience main priority.close proximity O2 stadium , short ride tube take straight there.the staff organise & amp ; efficient , helpful & amp ; friendly.they use taxi offer set rate . cost £ 10 get taxi around o2.it car park cost £ 5 park overnight.breakfast pound nice & amp ; good value.child friendly too.we would stay . 
 Sep 22 2007 	 good location O2 arena 	 stay hotel 3 night september . transport great , DLR East India station right hotel 's doorstep . first time stay Travelodge ( friend swear ) , way well regular London hotel stay past ( know type ... advertise 2 3 star , reality disgusting dump ) . find main lobby area well present , give really good impression place . receptionist polite job well . good points:1 ) Location East India DLT - brilliant honest - quick access o2 arena central London2 ) way central London - great get away noise huste bustle3 ) feel secure - inside . Room keycard need corridor well room 4 ) idiot guest - i.e . run corridor night5 ) problem deal quickly manager - first room faulty lighting switch another room quickly6 ) honest cleaner ( well , least one ) - leave lot loose change ( count £ 8 slummy ) leave room day due pocket full . every penny get back , clean . expect suppose , still impressive : ) 7 ) cafe site . serve main meal breakfast buffet . also vend machine internet PC 's main lobby8 ) room basic well present generally & quot ; clean & quot ; ( i.e . tear furniture , stain bedsheet , mold wall etc .. ) 9 ) excellent bathroom . well decorate large shower area10 ) WiFi roomsBad points:1 ) seems whole London lie flight path - even : ) 2 ) general traffic noise high 3 ) air conditioning . generally cool typically muggy , feel slightly uncomfortable window close . must horribly sticky summer4 ) poor cleaning . may thief , sure hell can not clean 100 % . Floor unhoovered , mug clean properly etc .. cleaner eastern europeans smirk whenever guest walk past . Creepy really : ( 5 ) check kettle . mine thick limescale look like paint peel wall . disgusting : ( take 5 minute clean .. cleaner not check beyond me6 ) middle nowhere , feel pretty intimidating night . 's middle industrial estate type area.7 ) breakfast buffet may all - you - can - eat , standard variety pretty poor . £ 7.50 well : ( 8 ) poor tv channel selection . would nice Freeview channel available ( excuse really ) despite 's fault , would stay - mostly base security reason . not trust regular London hotel , place feel secure . room may clean 100 % , & quot ; clean & quot ; . put bit nightime noise ( bad honest ) , dodgy cleaning way location , place ok . 
 Sep 17 2007 	 ok not mind dirt 	 stay one night hotel business trip . even understand expect basic kind hotel , expect room filthy . carpet hoover age obviously , look like cleaning lady also rush bathroom . room face road constant traffic ( mainly truck ) add discomfort due noise . kettle cups coffee / tea room , moment think quite nice least ... open kettle see dirty inside . addition spoon cup look like use year never wash . understand , would book room hotel would certainly advise anyone stay ! 
 Sep 16 2007 	 Best Travelodge London ( good result - ask front - face room ! ) 	 ' ve stay many travelodge around UK , one favourite . 's great location make feel important ( couple dlr stop Canary Wharf ) , get cheap book early enough advance . it 3 minute walk East India DLR stop , transport link excellent Canary Wharf City Airport . People want central london , City / West end may want allow 20 - 30mins travel time though . hotel quite modern fresh , relatively good cafe / bar building , well good sized carpark . staff helpful whole cheerful . will not go room , cos every travelodge basicly be room . warning : find difficult sleep traffic noise , ask room front book , room back face directly onto East India Dock Road ( think A13 ) noisy . small issue , can not fault travelodge . great value money ! 
 Sep 3 2007 	 good value money noisy - 	 good value money not mind travel city . dlr run frequently buy 1 3 day travel ticket cut cost . ohone day ask room overlook car park andit work , quiet night ( plane stop 22.00 ) . ask could book early 15.00 tell , event arrive 13.30 room ready appreciate allow early . would not say hotel easy find . tell take right hand walkway could see 1 walkway . step get stick . someone take pity we ( 2 case , 2 kid wander around aimlessly ) point we right direction . small problem tap not fully resolve not spoil stay much . v noisy last night . family 3 kid 1 room parent another book opposite us 21.00 . kid spend hour open closing door ( fun ? ) , extremely irritate young child try sleep . hotel good value money , staff helpful , food fine . would def use . 
 Aug 7 2007 	 bad 	 stay one night go & quot ; Prince & quot ; concert O2 arena . someone move sign sign post find hard find DLR station .Cross bridge go around small dock stay right . road noise room dreadful ( 3rd floor room ) constant siren emergency vehicle throughout night . food 10 pm let order local pizza shop . air conditioning room prepare sweat summer . voice lift loud . tv 6 station . bed well use like sleep water bed . shower control push wall general decor bathroom tatty Travel lodge usual standard . 
 Jul 22 2007 	 great place stay 	 hotel perfect place stay . near London , hussle bussle city . the hotel new , clean room excellent value money - room twice size Paris hotel room half price ! staff friendly helpful , help we lot work stuff tube / thing city , etc . they offer really great breakfast , , 7 pound everything could ask for . it also easy get , quick ride tube Docklands Light Rail East India station easy 5 minute walk station . would definitely recommend hotel people want stay clean , cheap friendly hotel London - easy find unless willing fork big buck , usually ! definitely stay ! 
 Jun 19 2007 	 love hot . 	 stay one night April . lovely clean staff friendly . get hot though that s downside . far Docklands light railway 20 min ride central london . thing need remember lot change ticket machine one help purchase ticket machine hard understand . stay next year money definatley worth . 
 May 12 2007 	 nothing special - nothing bad 	 stay 2 night last month make mistake direction hotel . well , direction get previous Travelodge get can Town ( Wrong ! ) . luckily woman East India station ( right ) able point direction walk turn fairly close . say ' luckily ' not another person view ! place deserted weekend . despite early check immediately give ground floor room overlook carpark . notify TV would not work ( really want one hotel 's location ) move first floor overlook busy road . first walk room think could hear air conditioning , traffic noise . first floor get full blast noise keep window closed keep . annoying noise hear come staff guest walk along hall . there 2 computer reception area guest ' use - quick 1 pound 15 minute . one memory hotel ' voice ' lift . mean one say ' first floor ' etc . loud lift voice ever hear shock every time . I problem towel , cleanliness etc , not use Hotel bar breakfast . remote ( shop ) location need bring food be try keep holiday budget , although snack machine Reception area . because office block construction go around hotel lot work vehicle Monday morning suspect hotel might rent parking space construction worker . the place nil atmosphere able get good price , take - would stay . 
 may 2 2007 	 Bring ear plug ! 	 noisey ! stay Travelodge London Docklands 4 night didn´t sleep ! wall paper thin able hear everything ajoine room , bad group german school kid talk night corridor open closed room door non stop 7 . naturally complained- nothing happen . suggest put large sign elevator flyer room request ( well demanding ) quiet 10 pm . 10 . everybody get crack dawn , holiday like bit lay consider pay top dollar expect would case . apart room basic , clean lacking decoration- guess get pay er ? 
 Apr 11 2007 	 1st class stay 	 praise hotel high enough . I go wife two day , ticket London show manage get one £ 26 night deal night need . money get nice clean confortable room , room overlook car park view across Canary Wharf . there secure parking ( £ 5 day ) .The bar cafe serve food evening ( nothing posh fill tummy ) . dockland light railway close , restrict service Easter weekend not use , instead use Underground . can Town station 500mtre walk away District line . even walk central London Canary Wharf along Thames Path . there plenty shop / restaurant Canary Wharf , make use DLR / taxi / walk mile half . staff find polite helpful . we take eat much like breakfast £ 7.50 , could fill need anything else till evening . look something weekend London price beat look , want spend £ 100 plus something similar look elsewhere . book several Travelodge 's trip later year will not hesitate return Docklands another weekend London . 
 Mar 7 2007 	 Perfect overnight stay work / party late 	 need place stay night follow work drink opt Travelodge . pay £ 49 even though book day advance . room fine , nothing spectacular clean large bed . location ok DLR station road mean access Canary Wharf Bank straightforward . would stay . 
 Feb 23 2007 	 Brilliant ! 	 spend 2 night half term two teenage son elderly parent . phone day arrival request room overlook car park ( quiet side ) problem . staff polite , friendly welcoming always case travelodge ! room spotless smell fresh plenty bedding / towel etc . Location wise , hotel perfect . 3 minute walk dlr station take right Tower London , tube station 100yds away . hotel set office park quiet evening , hard day hustle bustle London street welcome . stay bargain price £ 26 per room per night , definately stay . 
 Feb 15 2007 	 New Year Docklands 	 spend New Year London need something base east side city . originally book somewhere ( sleep beautty leyton review ) get asap . luckily room available 65.00 night double room weekend new year eve do not think bad , room smallish size ample usual treat , one towel , one pillow basic television iron hairdryer . need hotel ask reception borrow tell approx 2 hour wait ! room clean staff friendly although kitchen problem could really get sandwich . none vend machine work bar shut soft drink could got . location 10 min walk dlr pleasent journey city canary wharf must go ! enjoyable stay basic clean affordable 
 Jan 10 2007 	 problem bargain ! 	 stay Travelodge Docklands Dec 27 Jan 8 . recommend cheap , basic accommodation ( need ) accessibility transit . positive : two room , double £ 26 night family room £ 56 night . can not beat London . room decent sized room ( big room certain London Hilton accord husband stay business ) .The hotel clean , bar / restaurant downstairs convenient . 's standard fare serve fairly good meal not expect haute cuisine . kid like well definite plus . the front desk staff extremely helpful - arrive several hour check - in , exhaust usual all - night flight , give room immediately arrival really appreciate . big ( 2 ' x 5 ' ! ) towel bathroom ! hotel short , minute walk Docklands Light Railway connect Underground . close convenient . there small excellent grocery store side DLR , convenient anyone want pick late night snack ( wonderful ! ) pastry & amp ; juice in - room breakfast . negative : difficult time get housekeeping staff clean room & amp ; particular bathroom every day , probably tend leave later morning not think go back . go 4 day row complain not do . apparently hotel run toilet paper ! ! perhaps 's maid hardly ever replace empty toilet roll . one day maid leave we 1/4 small roll share 3 people . go several time request toilet paper meet guest thing front desk staff always apologetic give we much ask for . no phone call room outside hotel . desperately need contact son room tell budget hotel possible call transfer room . mean one party go way back hotel real pain butt . noise roadway room side hotel might keep awake though ear plug trick we . bottom line : agree even though problem would happy return hotel . hotel particularly recommend family anyone need keep strict eye budget . will get clean , comfortable bed bath / shower ( depend dbl family room ) frill hotel . ( would rather spend money fun stuff ! ) 
 Jan 1 2007 	 great value great location explore london 	 stay 2 night friend celebrate new year London , pay cost £ 26.00 per room per night , think fantastic price , lodge 4 minute walk Londons Docklands railway take straight central london . the hotel clean , phone day warn try stay room car park side , wise room look A13 ! ! ! ! ! ! ! vey noisy .. room top floor car park side , quiet , fault lodge , excellent value money . would definately stay visit London . 
 Dec 12 2006 	 bargain - tastic ! 	 stay one night , nice double room cost we £ 26 , bargain . twice much would fair clean , tidy hotel comfy bed great access London . think reviews unrealistic unfair - get 5 tv channel - be pay peanut , expect ? ! room spacious enough , basically , kind place base , rather hotel experience . service friendly connection London fast cheap . would not want stay summer though - road nearby noisy time . 
 Nov 14 2006 	 great place explore London ! 	 spend 3 night hotel bargain £ 26 offer - great base exploring ! East India DLR stop 5 minute walk ( ok area would happy walk ) - purchase travel card easy explore London . the hotel huge impersonal place , clean efficient - bar / cafe able eat drink site choose . child friendly . room basic Travelodge style - clean spacious enough necessity extra . parking available £ 5 per night too . all , would definitely recommend hotel easy stay London ! 
 Nov 13 2006 	 cheap grubby 	 hotel seem share theme travelodge . 's dirty run . price good , worried health evrythe clean . include room , corridor , crockery cutlery . 's middle nowhere ( lot office building , pretty , exciting closed ) useful sort restaurant , food basic adequate rather anything else . bar pretty much draught beer , Cans bottle . front desk staff friendly helpful , bar / restaurant struggle English . problem get central London ( edge zone 2 dlr ) nothing really around , apart Dome across river . 
 Nov 9 2006 	 Good Value 	 stay 2 night 9 other Scotland Stag weekend . book 26 pound per room per night . room clean comfy bed also pull sofa bed . plenty BIG towel excellent shower . downside room side busy road 6.30ish onward noise quiet bad . ( guy car park side say silent ) . ask car park side room ... drink bar / restaurant saturday night go really nice reasonable price .. staff helpful although maid trying get room nine clock well .. 2 minute walk dockland railway take central London fine . we get taxis back one night west end cost 25 pound taxi .. overall wee bite far good value money & gt ; & gt ; & gt ; 
 Nov 4 2006 	 Great London experience 	 find hotel comfortable need . stay London day want comfortable bed clean sheet towel friendly staff . booking read people review . say want 5 star accomdation pay will not get clean comfortable easy access bus light rail . stay 7 night . Valerie Australia 
 Oct 21 2006 	 perfectly acceptable 	 stay one travelodge special deal . well worh £ 26 . room clean good size . location couple minute away DLR take straight City . bar ok overprice . perfectly good . ask room overlook car park . quiet . would stay price . well expensive 4 star hotel stay . 
 Oct 13 2006 	 Average 	 stay two night travelodge Docklands . area around hotel busy day empty night - exception East India Dock Road constantly busy . since road run behind hotel traffic noise offputing make difficult sleep . area around hotel well light generally quiet - return late not problem . whilst staff helpful , bed break room need cleaning . although towel bed linen clean . second night receive one towel - slightly bemusing leave two everything else . the hotel short distance East India station Docklands Light Railway direct link tower bank underground station . overall hotel adequate - book £ 26 night deal would not want pay ! 
 Oct 8 2006 	 Yuck ! ! ! 	 want comfy bed , walk distance light rail eat hotel cafe 60 pound night . 's definitely cup tea . business traveller stay clear . staff helpful . room facility . can not get phone call transfered room family need . dial be prepare put 30p connect fee 20p per minute credit card . facility internet connection unless pay even connect time . 5 Pound hourwireless internet . guest service ( can not dial room room , laundry service ) . smelly heating ( smeell be like someone leave wig heater . nothing worth look / eat within easy walk place . free parking except first 20 minute ( not enough time check unload hire car . by way , not try return hire car London City Airport ... book car Edinburgh day ( 5 pm 5 pm ) . go airport 5 pm Saturday find CLOSED day 12:30pm . 20 pound phone call ( plural ) call centre Barcelona hammer door terminal handed car key unhappy security guard . 
 Oct 6 2006 	 Average 	 stay 3 night July . pay £ 10 room 2 night third night . consider cheap , serve purpose well . be short walk railway station , although arrive train , hotel not easy find . know realise 's short walk . real problem key card room never work , every night arrive home , backwards forwards reception time re - enable key card . quite frustrating ! also , first room , could not get tap , use extra muscle , get would not go . minor thing could happen anywhere though move we another room straight away . overall , would stay , although £ 10 . travel city centre fine , not take long , money consideration , would well stay central . 
 Sep 28 2006 	 well expect 	 review not expect much pleasantly surprised . 2 min DLR . let we book 11:00 even though check - in 15:00 . staff could not nicer . room roast even September £ 26.00 room can not beat London . 
 Sep 25 2006 	 improvement last 	 seeing book several non refundable stay choice stay loose money . previous stay problem line review . stay saturday sunday time arrive early get car park space . car park small , invest 6 ft high metal fence first time see glass floor car break . I m sure put security gate entrance anybody still walk , front door hotel leave open night seem despite notice lock 2200 , little security measure place . the room time quiet clean , one broken window latch warm stay open ! room service ok nice clean . tv fuzzy demand system remote seem work correctly . the hotel WiFi LAN pay per use internet terminal lobby . I do not use cafe bar past experience good , instead head Canarry Wharf DLR lot eat place . staff polite friendly , perhaps somebody Travelodge read review ! let hope last prepay book Christmas even well . 
 Aug 26 2006 	 great time 	 stay 20th till 24th aug 06 two child . hotel clean room brill clean , take extra towel do not need 2 big towel small block soap room . fan room hot . do not deal staff much problem .it short distance dlr light railway .i use bar seem ok sky telly . do not breakfast go london tower hill station wetherspoon breakfast £ 1.99 . pay £ 26 room well worth money . 
 Aug 10 2006 	 Cheap Easy 	 25 pound night can not go wrong . staff pretty rude , room comfortable modern well anything else get London rate . close lightrail easy access London Central . give standard & quot ; tourist & quot ; accommodation London bad , may well go travelodge least able expect clean decent room . 
 Aug 2 2006 	 get pay ! 	 family stay London Docklands Travelodge two night Saturday 29th , arrive hotel 10.20 decide check reservation computer ( book pay January one saver deal £ 26 per room per night ) reservation check we , inform we £ 5per night parking fee pay give we key room tell we access . grab suit case take forth floor room 425 , wish read early report heating building , heat stifle feel like sauna , window room open three inch Saturday one hot day July make difference . walk docklands railway excellent 2mins maximum cost £ 4.90 day pass zone 1 & amp ; 2 kid free . return hotel hit heat . 2.30am awoken load bang outside door tell room next door flood hotel ok , next morning hot cold water wife go reception inform , say could switch cold water hot point . breakfast hotel £ 6 kid free good , go back London return still hot water still extremely hot room cold shower . next morning leave hotel head back Leicestershire , arrival realize forget new Timberland boot , rang Travelodge inform find , ask could send post money delivery could , little customer care would work problem . we would stay money convenience tube would take fan room ' leave boot ect 
 Jul 27 2006 	 Basic adequate 	 wife stay three separate time May June tour elsewhere . GBP26 per night cheap option quite adequate use place sleep eat . room basic adequate . two occassion go ask second towel . one problem would store luggage day departure . one stage one lift order - fortunately first floor . bar cafe reasonable food ( be nowhere else around without catch bus DLR ) slow one night hotel full . 5 minute walk East India DLR station , accessible wheeled suitcase ( hint - connect Tube linesat Bank rather Tower Gateway not want cart luggage lot step ) overall cheap option stay London not expect much 
 Jul 26 2006 	 RED HOT SALSA 	 go hotel I m advise take FAN . aunt also stay take Newham Genral Hospital be not nice place get take since FILFTY . air conditioning speicla latch window open small gap si rubbish . ask get take say yes sure . nothing happen . pay £ 112 two night stay think allright price tiome year . staff rude . door never work half staff hotel could not speak english . alot people collapse due swelter heat inside . force pay highly price drink get town £ 1 small . threee ambulance apart carry people away staff could not even botherd open barrier let ambulance . ambulance crews tell staff heat hot inside hotel even feel dizzy heat . advise unless snow go 
 Jun 7 2006 	 pleasant stay 	 stay 3 week late May June . room extremely poorly maintain , broken window latch , plaster floor , blow lightbulb , 1 power socket available per room , little space unpack clothe non family room . sadly staff redeem feature , staff treat like customer around something nuisance , would really rather bother they . the service restaurant not deserve mention , till quite often accept card , staff unable can not bother repair . everything place ( do not want use word Hotel ) much . staff surly often rude . I do not recommend place anyone , travelodge need change management completely , pay full price ( ) poor quality place stay . £ 10 per night think could tolerate , cheap place stay ( mainland european standard ) . 
 Jan 23 2006 	 fantastic option £ 10 night ! 
 Jan 17 2006 	 terrible customer service 
 Dec 27 2005 	 Supersaver recommend 
 Sep 26 2005 	 awful ! 
 Aug 23 2005 	 quite acceptable - good food ! 
 Jun 3 2005 	 ok get good price 
 Mar 20 2005 	 mean ask room overlook parking lot 
 Jan 8 2005 	 great budget break 
 Jun 19 2004 	 hmm ... bad . well 
 Feb 24 2004 	 ok ... 
 Oct 19 2009 	 Silvesterreise 
 Mar 15 2009 	 UNFREUNDLICH UND BILLIG - GENAU DAS MAN BUCHT ! 
 Apr 14 2008 	 ottimo rapporto qualità prezzo 
 Oct 17 2007 	 Una buena opción 
 Apr 22 2007 	 très bon rapport qualité prix avec les promos . 
 Feb 25 2007 	 lo raccomando 
