Fabulous 	 could fault hotel - great location , lovely friendly helpful staff , spotlessly clean , comfortable bed .... everything could hope . Loved much intend stay next week ! side room service menu operable 10 pm find mass selection fast food joint around corner stem hunger ! 
 good location 	 hotel 's lobby small nice . room nicer small . like bathroom white plastic floor shower cheap ugly not fit rest bathroom nice . design room furniture ok . bed good . internet free ( WiFI ) fast . would rate hotel 2 - 3 star . location good come train Heathrow airport . check slow miss & quot ; welcome & quot ; . lady reception bad mood helpful . food roomservice avarage . room expensive even discount rate . next time try hotel London . 
 lovely 	 pleasure stay Hotel Indigo London Paddington 2 night . initially issue double charge booking , however end sort . stay exceed expectation would happily return . the Hotel perfectly locate near Paddington Station within easy access variety restaurant ( find hard choose go ) .Found staff helpful knowledgeable go way assist . request action quickly smile could not ask professional , helpful , care friendly staff . end day great room , however 's staff make stay good bad . Hotel Indigo staff pleasure interact with . while room small ( one twin - bed room ) , boutique Hotel , room abundant feature comfort . rain shower well receive Ipod dock . bed extremely comfortable spacious layout also good . decor excellent 's nice see Hotel not afraid splash mixture colour . carpet hallway look amazing bode well rest interior . hotel well design 's amazing think 's large number room locate within facility ( especially see exterior size Hotel outside ) .I would definitely return Hotel would recommend friend family . experience initial issue , overall could not ask well stay . hotel alot go require accommodation Paddington , would definitely recommend consider Hotel . 
 Artsy boutique hotel -- comfortable clean great location 	 Indigo 3 minute walk Paddington Station , directly connect express train Heathrow Airport . locate street lot pub , small restaurant , etc . area pretty urban night ... single woman people small town might feel uncomfortable , not think unsafe . room small US standard , big enough . bathroom quite modern plumbing work ( always case UK ) . new hotel , even month clean , seem well maintain . staff helpful , not think native English speaker , communication take little patience . 
 Jun 23 2009 	 nice room limit service 	 place not quite convenient Hilton Paddington , connect right station , be bad . be across street block half walk . be mobile 's raining , be fine . the room small nicely do , big flat - screen tv , attractive linen , everything look new stylish . problem : water shower warm could hotter . ' m sure room , turn max fine , could live , expect room price . service efficient limit . 's really lobby speak , front desk nice restaurant / cafe many folk duty . arrive , early morning , one person front desk , wait quite another customer check could talk -- learn room would not available till afternoon . though prepay room Orbitz , somehow not show check , front desk person want charge we . nice willing let we go show Orbitz receipt make copy . always find annoying system not efficient become question . lose forget receipt ? long way say people work fine efficient , 's full - service hotel , example , concierge help direction , etc . room nice , price right , would certainly stay . would not go way might try somewhere else next time . 
 Jun 20 2009 	 Chic perfectly position hotel business traveller 	 stay twice Indigo whilst business trip London Germany . book primarily IHG hotel ambassador cardholder . check immediately ask upgrade could give one well room available ( tell ) . enquire next morning tell could upgrade would need pay upgrade . strike illogical since ugrade room available charge would defeat privilege entitle ambassador cardholder . first end rather unpleasant exchange hotel manager call back later apologise offer upgrade free . rest stay extremely pleasant . staff ( almost east europeans ) friendly , unassume helpful , say least . room small boutique hotel . however clean fitting new stylish . like boutique hotel bit class confort - . find convenient becausre proximity Paddington railway station mean could get train Heathrow right London back absolutely hassle without need taxi underground . fact prove real bonus 1 day tube strike 10 June . they serve really nice adequate continental buffet ala carte breakfast pretty good value too . I plan return wife July . 
 Jun 15 2009 	 Best Hotel ever 	 skeptical book Hotel never hear . Needless say pleasantly surprised . room welcome comfort . like lot chain hotel . husband , two friend London tube strike hotel great help we alternative way get around city . everyone work hotel friendly helpful ( one employee kind enough lend personal umbrella use ) . stay Hilton begin trip cost change hotel return . needless say would definitely stay ! ! husband travel London business say stay well ! ! ! 
 Jun 13 2009 	 Hip modern brilliantly locate . 	 stay Hotel Indigo Paddington five night begin feel like home ! although room small , normal London , never felt cramp . use space well , large flat screen tv wall , tall wardrobe , desk build little nook beside bathroom . room incredibly clean get turn service ( delicious chocolate ) every night . staff nice , top friendly , professional helpful . problem run not really way comfortably eat room unless sit bed . become problem keep come late bring food home we restaurant close . otherwise , great hotel ! also stay Victoria Park Plaza think well hotel landslide . room decorate adorably bed comfortable . the location amazing . stone 's throw Paddington underground railway station , well lot cool pub ( include Fuller 's , really neat inside cool history ) , restaurant , convenience - type shop . also free wifi room certainly come handy . definitely stay future trip London . 
 Jun 9 2009 	 miss little Gem ? ! 	 arrive ultra modern boutique hotel , less five minute walk Paddington Railway station , away noise train ! upgrade executive room , although still quite small , well design , decorate furnish . great shower ! clean ! staff helpful despite late arrival Chef squeeze we dinner , reasonably price service spot ! 
 Jun 8 2009 	 modern contemporary place stay London 	 new hotel conveniently locate walk distance Paddington Station . Taxi airport cost 60 £ , Heathrow express Paddington much less . entire hotel try imitate approach W Hotels , fully meet level . say , Indigo Hotel still good hotel , detail well think , nicely design room public space overall feel unmatched hotel London price range . book early get good value money ! 
 Jun 2 2009 	 great Find 	 hotel fairly new . great room , quite spacious queen size bed . bathroom also quite large big shower hand wand rain shower head . room modern decor vibrant feel colour use flat screen mount wall . Wireless / Wired internet also available free , free bottled water daily turn service mint matter . room first floor . view window non - existent , not bother . explore time come back room room important look . location 3 min walk Paddington station . arrive Gatwick take Gatwick Express Victoria Victoria Paddington , Heathrow simply take tube Heathrow Express use . Heathrow Express bring Paddington 15 minute . also go see Windsor Castle , train Windsor leave Paddington . Paddington tube line handy go around . ensure get Travelcard . would definitely look stay boutique type hotel bit luxury great come back day walk around . 
 May 31 2009 	 Excellent hotel 	 great location - block Paddington ( Heathrow Express ) . modern , well - furnish . room size large cupboard , par London , comfortable . modern well - equip bathroom ( always case London ) . friendly staff ( unlike plenty London hotel ) . nice restaurant great breakfast ( well meal , not try ) . free wifi internet . this go hotel choice visit London . 
 May 27 2009 	 Modern up - to - date hotel block Paddington Station 	 Pros . very convenient Paddington Station . very modern ( ultra modern style ) hotel . clean . everything work . modern fixture . new large tv ( typical limited station satellite station ) comfortable . quiet . con . room tiny comparable London hotel ( except chain like Hilton , etc . ) front staff 's english little hard understand ( friendly ) definitely stay ! love ! 
 may 26 2009 	 stylish clean great location 	 hotel probably clean ' ve ever stay - 's spotless ! 3 min walk Paddington Station beautifully style . staff real people - happy chat without ' corporate falseness ' - seem genuinely interested , friendly helpful . the cafe/ bar lovely , great staff attitude good breakfast . downside size room - would struggle 2 room , bed lovely comfortable , shower excellent , decent hang space , small fridge , hairdryer , desk keyboard , plus flatscreen tv . , wish have spend time relax . surprisingly quiet , despite handy tube , taxi , park etc . 
 May 21 2009 	 Crazy carpet - nice hotel 	 attract back Paddington area good price hotel decent review Tripadvisor . certainly not disappointing would ideal base anyone business area need overnight fly Heathrow . room small side , although grossly London standard , traveller may miss bath , although shower - only become increasingly common refit UK hotel . however , room clean comfortably furnish , breakfast excellent . front desk helpful internet connection free working - often case UK . two small grouch : window not absolutely exclude street noise fairly busy side street corridor carpet totally migraine - induce . 
 May 19 2009 	 first class service high quality furnishing 	 give room second floor overlook Norfolk Square front London Street . standard room really justify 4 star AA rating . be nice stay slightly different hotel standard product deliver major chain . really live 's reputation boutique hotel . staff friendly helpful . breakfast fill well . would definitely return . 
 May 16 2009 	 Perfect location near Paddington Station 	 hotel 1 block Paddington Station . 's location great people not want spend extra fund transportation London still see sight . Tube block away take anywhere want go well . room small compare US hotel use , clean comfortable . stay recommend other . Great shopping $ 10 pound ride away 25 minute walk Hyde Park Harrods . feel relatively safe considering walk around look Pub Restaurant . 
 May 13 2009 	 tiny tiny room . staff atmosphere make nice however . 	 stay May 2 - May 8 , 2009 . assign Superior Single 404 , one tiny room entire hotel . pay 138 GBP per night room plus breakfast Phi advanced booking rate Indigo website . extremely disappointed tiny room designate & quot ; Superior & quot ; . entire staff down - to - earth helpful , however , breakfast delicious . remember put & quot ; disturb & quot ; sign door , housekeeping never bother . forgot , 8 p.m. turndown service knock . completely fault posting sign . the location perfect use Paddington tube station . pub London Street quite loud night , however , room face street . bed super comfy shower great . if near Hotel Indigo- Paddington , recommend dinner Queen Sheba : http : //www.queen - of - sheba.co.uk/ 
 May 13 2009 	 Excellent Value / High Quality 	 book online follow telephone 800 # request 11:00AM check . tell could not request anything early noon , stand ground finally allow make early request . make clear front understand simply request know room might available 3:00 , know arrive might able accommodate . somewhat annoying argue , ask long term . on arrival ( 11:20 ) meet curb bellman bring luggage start check process desk agent free . tell room ready get check quickly efficiently . take luggage room show operate light ( standard european system : put room key slot light work ) warn careful towel warmer get quite hot . public space walk immaculate imaginatively design bright color mural varied texture material throughout . the room tiny , be expect , book double bed room one person ( make clear maximum occupancy one person ) . say , extremely efficiently lay bathroom almost large bedroom ! modern comfortable , lot bright color vary texture . furniture well design , less three tray could remove place elsewhere room ( morning coffee tea ) decent amount hanging space , plus good size safe . also provide refrigerator ( maybe someday will minibar , empty ) 's convenience store next door sell inexpensive soft drink , beer , wine cider . Bathroom modern shower plenty space sink toiletry . plenty towel nice amenity . complaint bathroom single halogen light high sink sufficient shave neck chin , put shadow single light . I back hotel - much view ( back apartment ) quiet peaceful . not room view - mainly rest , could peace quiet . comfortable bed . be able charge iPhone dock alarm , provide free wifi password work like charm , ton outlet room ( although one converter , could use one time ! ) . nice able charge phone without use outlet . decent selection channel plasma flat screen . technological complaint alarm clock instruction manual , complex . never quite figure out . have dinner restaurant one night London friend agree food excellent - nice blend traditional english dish ( Scotch Egg Welsh Rarebit starter , example ) dish broad appeal ( hamburger ) . service ok , little inattentive . wine list unique , although first wine choice long stock replacement recommendation . the hotel , new , great shape , , mention , do wonderful job combine color , texture material create interesting boutique hotel . London friend insist see hotel room - hear , want see themselves . all , excellent value price . 
 May 12 2009 	 bad overrate 	 Pros:1 . close Paddington railway station , tube . easy access transportation London day trip outside.2 . room small , impeccably clean , modern decor , beautiful bathroom , electric kettle room , free tea , bottle water . also - safe room , nice 32 & quot ; LCD tv wall . wireless internet free charge . good quality bed , pretty firm ( personally like - YMMV ) .3 . number good inexpensive restaurant nearby serve various cuisine ( italian , Greek , indian , etc . ) . Pub corner Praed / London . 4 . polite easy work staff.5 . pretty inexpensive . pay 83 pounds+vat /night single ( small ) room , current ICH Friends Family promotion ( breakfast include ) .Cons:1 . busy location - look sleep relax room - may look elsewhere . number comparable quality hotel Kensington / Earl 's Court area , provide less hectic atmosphere.2 . even though window appear double - pan , noise street = see 1 ) . sort construction noise audible room 4th floor ( face street ) , already 6:30am . internal wall appear pretty thin - could hear people walk hallway open door pretty loudly . couple night - tolerable , would pretty annoying , imagine.3 . view speak -the first room view dirty red - brick & quot ; hole & quot ; house , second - view street block archetectural feature house , even be not - would pretty - busy street.4 . originally assign room second floor , face rear & quot ; courtyard & quot ; , smell strongly fresh paint . however , ask move - accommodate immediately courteously.5 . inexpensive buffet - style breakfast ( 7 pound ) - limit choices- egg even .. comparison - K+K Hotel George offer room 100 pound include GREAT breakfast buffet shampagne . ) .overall , stay less pleasant expect , base review -mostly noise issue . still solid option stay London day budget - good value money . small french bakery Praed street 100 yard London street ( hotel situate ) , check almond croissant - creamy ever eat life : ) 
 May 10 2009 	 good watch - out housekeeper not nock ! 	 stay weekend away London , lovely hotel , concept location . would definitely recommend , watch - out housekeeper do not nock door , 3 time someone try come room without nock ! 
 May 10 2009 	 Perfect almost every way 	 reviewer right ; fantastically good hotel . room modern , stylish comfortable . staff friendly helpful , without condescend . fact , whole hotel swish chic . particularly like restaurant serve excellent , expensive food . breakfast freshly cook - warm food buffet . first Indigo stay hope IC Hotels introduce other - especially uk.the thing like location . certainly good communication Paddington rail tube metre away immediate area mainly rough ' heel ' lot cheap backpacker hotel , dingy pub tourist trap restaurant – eat Garfunkels Aberdeen Steakhouses ? – brit ' see dead . near half - decent pub 200 metre away – think call Victoria . 
 may 10 2009 	 great hotel enjoy date 	 book two night stay two separate booking , one month advance go great deal one close night stay hence great deal . arrive pointed state want swop room could deal night . bit discussion advise problem , want could upgrade king bed executive cost two night , agree thank staff understand customer service . the hotel décor quirky enjoyable room allocate although big finish style excellent especially extra large LCD tv , perfect watch football , shower magnificent . I try bar area hotel food , request iron ironing board arrive place room upon return . look negative , air heating cool noisy , fire alarm detector make odd noise , yes make noise , big issue noise outside street ( pub take away ' ) .would stop , definitely , cost little high normal hotel London , romantic weekend definitely winner great addition Holiday Inn chain . 
 May 6 2009 	 relax zen - like boutique hotel 	 even though room tiny , exactly need . get small room . step away Paddington Heathrow Express tube . sound machine great , even though not need really quiet . decor room upscale colorful . rain shower handheld awesome ! water get hot reasonably fast . like empty fridge . computer internet lobby free , turndown service give chocolate , nice perk . staff friendly sincere . Garfunkel 's restaurant good . bad point really minor : run tissue bathroom not restock automatically , find hard close window room service menu room . would definitely stay ! 
 Apr 29 2009 	 Outstanding hotel - excellent experience 	 spend week @ Indigo vacation London . outstanding hotel great location , great service , nice group employee . the hotel almost brand new - old hotel apparently gutte transform Indigo . would never know except perhaps small - ish room . & quot ; Executive King & quot ; face London St. , big enough 2 we . everything new modern . flat screen tv wall HUGE ( picture ok - 1 2 hd channel , channel selection mediocre ... need add Sky Sports guest watch football ! ) . bed little firm taste , horrible . complaint room good place plug hair dryer within range mirror - wife irritated , probably serious complaint Indigo . oh , light switch system baffling - not figure entire trip ! ! become bit joke , actually ... location could well - minute 's walk Paddington Station , one catch Tube , train much western / southern Britain , bus , cab . number food store & amp ; restaurant road Paddington inside station ( & amp ; Food Store , Sainsbury ) . 3 pub within 2 min walk hotel - sure go south London St quaint residential area several & quot ; off - the - beat - track & quot ; restaurant . Hyde Park 5 - 10 min walk hotel . service hotel outstanding - staff polite & amp ; helpful . amenity great - free wi - fi ( not work well 1st day , fix remainder trip ) , free cookie / biscuit & amp ; bottled water , safe room , mini - fridge drink . not use restaurant , look nice , other review well . price bit steep - pay & gt ; 160 GBP per night ... nice London hotel , 's bad rate , apparently other score well rate . YMMV.I ' ve stay several different hotel London year , one hand - down nice , cleanest good bunch . will back day . 
 Apr 28 2009 	 stylish Comfortable Oasis Calm 	 Hotel Indigo London - Paddington wonderful place stay ! husband nine day really become home away home , oasis calm midst busy city . location decor , amenity staff , everything perfect . Location Transportation : hotel minute walk away Paddington Train Station Paddington Underground Station , bus stop course taxis everywhere . plan use public transportation London ( , be convenient easy ) , location perfect . take Heathrow Express train , 15 minute ride , airport Paddington back . arrive Paddington , buy Oyster card use ride Tube bus stay . inside Paddington Station two small grocery store , boot pharmacy , restaurant shop . several time stay hotel , walk station get fresh food eat ; convenient good . the Hotel : stay Executive King Room . high - ceilinge room face back , quiet , great little balcony table two chair . bed King , not Americans would think King -- not wide long . still , plenty large enough comfortable . linen high quality soft duvet warm . not ever turn heat A / c stay -- whatever set fine . sometimes would open door balcony cool room little work too . the room decor hip , beautiful , unique , image Paddington surround area . yes , room small , be big enough thoughtfully design . not ever stay London not London hotel experience compare , seem like although small , designer plan give much room convenience possible space . love wood floor especially , careful slippery time . there be large armoire plenty room hang clothe put stuff away shelf , little mini fridge room safe . two bedside table , room either side stash suitcase . little couch foot bed provide one seat area also pull away table eat work laptop . there be also small desk chair provide keyboard use internet not laptop . chair not comfortable husband , however , small , not think everyone problem . fee use internet service laptop 's wi - fi enable , wireless internet free . use free wi - fi time find sometimes bit slow , fast time . the tv large flatscreen . addition watch tv use interent , check up - to - date bill tv , message , schedule wakeup call well . there be little quick - heat electric kettle make tea coffee , two mug , provide box full tea , coffee , sugar , biscuit ( cookie ) . turn - down service every day , would turn bed , leave chocolate , empty trash , replenish treat box need . the bathroom gorgeous ; shower die especially . huge , tall glass door , rainfall shower head hand - hold wand . shelf provide plenty storage space , be even heat towel bar . enormous plush body towel addition small towel washcloth , hairdrier . a thoughtful touch include full length mirror , soft spotlight toilet front door turn light night , key point room total darkness . ever total darkness ; be ipod docking station / clock one table quite bright . require total darkness sleep , would recommend bring sleep mask otherwise , probably bother you . the overall decor room indeed whole hotel beautiful thoughtful . staff genuinely helpful friendly . we eat breakfast several time attach restaurant , Phi , like lot . always buffet , never try anything else . delicious pastry , variety cold meat , cheese , fresh fruit , cereal , juice buffet . would Americano coffee good go long time afterward . next hotel street quite mini market shop , get food snack daily paper ; also many restaurant pub street area . will not lack choice place eat get drink . course Tube bus right , go anywhere else city want . nice able come back rest day head back again . Hyde Park easy walk away would highly recommend go too . I absolutely love stay Hotel Indigo London - Paddington ! would not hesitate recommend would stay . 
 Apr 27 2009 	 wonderful hotel staff breakfast ... unique experience ... 	 ... prepay advance breakfast include . be worth ! ! ! room small trendy , bright ... clean ... really enjoy stay ! 
 Apr 24 2009 	 BrightBeautifulBreath Fresh Air 	 ideal central location London . staff pleasant helpful . room bright , clean , comfortable . go major attraction 2 musical , short tube journey ideal location . plenty restaurant nearby , 1 minute walk Heathrow express ! 
 Apr 17 2009 	 Excellent Service 	 though room small , charm use sound , rich colour texture . location 1min away Paddington Station next amentitie restaurant . I would like say big thank Antonio kindly patiently arrange dot2dot airport transport shop . 
 Apr 17 2009 	 brilliant wonderful stay . 	 stay Indigo two night , sort mid - week break , love place . price right ( £ 85.00 per night advance ) although think go price later year . check easy checking , fast friendly . room big enough two , bed comfortable tv nice . bathroom spotless shower first class extras nice . towel rack warm simlpe use need . quiet room actually ... be nice surprise . breakfast dinner comment quality food serve . location reachable anywhere . never catch bus plenty . already mention 's close Paddington mainline station Heathrow Express . Paddington Underground station around corner minute walk opposite direction Lancaster Gate Underground station Central Line , ideal Covent Garden / Theatreland district . great place drink eat also around area . Hyde Park also nice little stroll away . take pleasant walk Portabello Rd along Bayswater . go early enough ( weather good ) beat crowd . I would book time London , be good get feeling location . 
 Apr 15 2009 	 Convenient Location stylish room 	 stay one night £ 211.60 GBP . include dinner breakfast . breakfast ok , nothing spectactular . simply since much choice . basically let . dinner great hotel , delicious , nice choice really good food . check possible already 10 am . reception small , aware case be rush upon check out . the room really nice , clean , new , spotless . nice welcoming decoration , Indigo style . stay several hotel London , find one nice , clean intimate one . the location great , 2 min . walk Paddington . easy catch Heathrow Express . 
 Apr 12 2009 	 Bright Airy Quiet ! 	 everything read great new place right - warm welcome , great decor , technology work , external noise minimal . room fine - would space ? 's time Tube anywhere . every eating option available either within hotel close . new departure chain London hotel - wish every success ! 
 Apr 7 2009 	 Perfect ! 	 partner stay lovely hotel Paddington March 20 March 27 , 2009 we find service amenity superb . except coffee first morning , not experience full meal onsite Bistro . room perfectly adequate we , beautifully appoint efficient . bed bath linen luxurious . bathroom , though small , delightful example modern efficiency ... beautiful , especially huge glass - in shower . also rack warm towel never figure turn . never mind ! need . minus , small closet - build - in ' shrank ' - enough space two people hang store variety clothe need go concert / opera , explore , fine dining . fun redesigning closet space build . never mind ... minus deal breaker ! location perfect : block London Road Paddington Station park across street . several wonderful local restaurant ( greek , italian , indian ) iin area will not break budget stay open @ 11:00 pm , perfect post - concert bit supper . I ' m retiree world international tourism stay Asia 's luxurious hotel . Hotel Indigo disappoint jaded soul . would definitely recommend business traveler couple holiday . size room would accommodate family . 
 Apr 5 2009 	 Nice hotel avoid dungeon ! 	 book Indigo 3 night business trip , get rate € 144 / night lastminute.com , bad London hotel quality . reviewer note , hotel relatively new decor bright fresh . allocate basement room . reasonable size beautifully decorate frosted glass window face tiny light well never penetrate sun . Stranger still , mobile phone signal network ! extension number phone room incorrect caller via hotel switchboard not get , add rather prison - like feel ! still , tv huge , WiFi fine free . Buffet breakfast reasonable £ 7 . range not big large hotel quality good . the staff friendly though always speed : prepay room lastminute.com , charge checkout . would stay - provide not get room dungeon ! ! ! 
 Mar 27 2009 	 Loved Indigo ! 	 book booking.com 's brand new hotel 3 minute walk Paddington station . since arrive Heathrow airport take Heathrow Express , perfect location . last time London ( July 2008 ) hotel still construction . stay Standard double room , big bathroom great tropic rain shower , huge towel , nice shampoo lotion . really appreciate free all - over hotel high speed Wi - Fi internet iPod charge clock . also bed comfy . course hotel fully air - condition . can not say anything breakfast , eat morning nearby cafe , much cheap . oh , tea - maker , tea / coffee cookie every morning free . every time clean room , leave chocolate candy pillow . nice ! 
 Mar 25 2009 	 good place ' ve stay London 	 stay 4 night conference . could tell not open long - fresh clean great design . superior single room reasonable size London bathroom excellent . great shower nice Aveda toiletry . like small fridge ridiculously overprice miniature could use water , juice etc . staff efficient friendly . dinner Phi brasserie one night reasonably price though somewhat empty - odd look woman eat . small gym basement though be also quite close Hyde Park want jog . perfect location tube overground . 2 minute away conference Lancaster Gate hotel expensive look old fashioned overdone comparison . a nice restaurant area couple local shop sell good range snack , newspaper etc . highly recommend whenever ' m back London will certainly check price availability first . hope open ! 
 Mar 21 2009 	 hotel feel right look right Hotel Indigo . 	 hotel feel right look right , Hotel Indigo . décor funky individual . breath fresh air amongst mediocre , bland dull . zany , original décor , lot bold pattern colour glass foyer set scene . carpet bright furnishing original , ' remarkable hotel own Holiday Inn chain , know solid , reliable , predictable sameness world over . we stay Saturday night March 09 whilst visit exhibition Royal Academy . location excellent access public transport , 2 min walk Paddington main line tube station . use Priority Club free - night point ' really complain , give room back basement . frosted patio door look onto courtyard barely 3 metre square kitchen extractor drone we every aspect room meet exceed expectation . the décor plain simple clean excellent condition . room size adequate consider location . bed comfortable ( beware ' use american terminology ; queen size bed England 5 foot wide ) load pillow cushion . facility include smart kettle , small fridge ( ok , ' mini - bar – buy , ' always cheap , drink tea cold fresh milk ) , sufficient hanging & amp ; shelf space big flat telly . the bathroom small clean almost perfect condition . shower excellent monsoon rain - head hand - hold spray large glass walk - in enclosure . plenty toiletry , may sound like strange gripe ; bath towel actually big heavy ! almost problem staff polite , friendly helpful . leave suitcase porter hour check get receipt slip , always reassure , tip acknowledge pleasant smile thank - yous . we ' eat hotel nice see huge stock cake pasty display lounge window throughout day . eat small local italian restaurant ( San Marco ) – ' walk past way hotel station . simple , good food , quick service . summary ? great ! gripe , highly recommend . ' go back Indigo next time ' London . 
 Mar 17 2009 	 enjoyable stay ! 	 husband great experience hotel , everything clean , staff friendly greet we time go hotel . location close Paddington station , 1 1/2 block station . plenty food , within short walk hotel . would not hesitate stay again . we first floor room face front hear noise street . 
 Mar 11 2009 	 great service lovely room 	 one friendly hotel ' ve stay . staff friendly really make feel welcome moment arrive . 's 5 minute walk Paddington station underground , safe area lot pub restaurant . room quiet ( look back - guess room front might noisier ) , beautifully decorate really comfy bed , big flat screen tv , sound dock pod wi - fi work . big walk shower . room not huge fine one ( single , double bed ) . get internet deal price £ 89 per night - think hotel 's open real rate might higher - give 's London , quality room closeness transport link bargain . 
 Mar 2 2009 	 perfect stay London 	 clean hotel excellent taste decoration ( actually , give we lot idea decoarte home ! ) . stuff professional polite . overall feeling throughout stay everything everybody work order we nice time . price rermain reasonable , Indigo hotel every future trip London . 
 Feb 22 2009 	 great hotel great value 	 London dozen times business finally flexibility choose hotel . usually stay large business hotel Knightsbridge near City . time , want see could get reasonable price . indigo fit bill lot way . indigo boutique hotel open two month prior , facility brand new . room small , well appoint , modern clean . room basically width double bed night table either side . small desk one wall , pull chair far would hit bed . term length , enough room pass foot bed order get bathroom . flat tv wall , good thing , place set regular tv . confirm front desk would typically give room two people ( ) . bright side , bathroom large ( actually half size bedroom ) note , deck Aveda toiletry , rain shower , etc . bathtub . first floor ( ground floor ) nice patio outside table two chair . Wifi free , unheard London hotel . fee wire internet . small fridge closet , handy storing drink nearby store . mini bar . room safe big enough laptop . room face back almost traffic noise . also , right next elevator stair case never hear noise either . insulation must good . there small bar restaurant next front desk . restaurant serve organic food lunch one day , dinner deliver room another day . food good , expect pay hotel price . fortunately , lot cheap alternative nearby . one night , get delicious take indian restaurant street . also numerous fast food place nearby . free small workout room basement one treadmill , set weight , etc . , quality excellent , late model Cybex around . one Sat . afternoon . believe hotel also arrangement gym nearby use fee . other comment service could well . actually , think service bad . front desk woman little snippy night check , everyone nice . People always say hi walk pass front desk service restaurant good . housekeep fine . bottom line price , Indigo great hotel . room small bathroom large . statistic say time spend hotel room either bed bathroom , be certainly true . deal room size , would highly recommend hotel . indigo one block Paddington station , take Heathrow Express Paddington hotel 3 minute . Paddington also major tube stop , convenient part London . 
 Feb 22 2009 	 fresh funky friendly – new favourite place stay London 	 break business trip Europe weekend London , newly - open Indigo score well enough TripAdvisor give try . ' m glad – hotel delight , especially ( like ) like stay small boutique designer hotel alternative usual ' business ' hotel - even be five star one , sheer size machine - like nature get bit much . Indigo , hand , small enough personal touch . room not large , although be par course London , even top - level ' king ' well describe ' cosy ' , 's cosy work due attention design , colour furnishing ( indeed , be travel solo could fine ' standard superior ' room queen bed , small flat - panel tv slightly small room , save money king deluxe room ) . bring iPod drop bedside clock - radio docking unit enjoy music . the location top , access Paddington station # 7 bus one direction take Portobello Road Notting Hill ( around 10 min ) , whisk Oxford Circle ( maybe 15 - 20 minute ) .The staff incredibly helpful genuinely nice ; yes , Aveda toiletrie wonderful touch . a tip contemplate stop - over : * room face street ( London Street ) little noisy , least mine weekend night – car people . 's surprising amount foot traffic along street , suppose much Paddington station also to / from many nearby hotel ( square opposite hotel almost full mid - price ' budget ' hotel favour many young people ) . * wary heated towel rail bathroom – be hot , somewhat cramp space could end burn mark buttock . drap bathtowel save skin ! * dock iPod bedside radio unit , not forget remove leave ! * finally , book use online service - even discounter like LastMinute.co.uk – check hotel 's rate . two night stay find hotel 's rate 75 pound ~cheaper~ lastminute.co.uk room include breakfast , LastMinute . 
 Feb 19 2009 	 New Botique Hotel - open 3 month 	 New HotelMy husband stay Hotel Indigo Paddington long Valentine 's weekend . husband ton award point want use London . find NEW Hotel Indigo ( get confused old one bad review . ) look fun trendy want try . hope stay 3 night point able book one . pay two night . easy get ToOur ticket Heathrow Gatwick . find really easy get Hotel . take Tube ( subway ) Heathrow ( one change manage get Paddington station . ) pack light easy bring carry luggage Tube . leave state , print map hotel 's web site use get hotel Padding Tube station . be really easy . follow exit sign street hotel corner half block up . to get Gatwick take cab hotel 8 pound Victoria station grab express Gatwick train 15 pound . take half hour . excellent Location around corner Hilton Paddington Tube Train station . ( easily grab Tube tp get around London train day trip around London . ) also stop hop -on hop - off double decker tour bus corner acoss street hotel . corner main street easily get traditional english cab . also walk Hyde park hotel . London foodwe eat Englsh pub indian reastaurant street hotel . ask Hotel Indigo receptionist recommendation could name one persian restaurant . street . ( concierge desk expect able provide & quot ; concierge - like & quot ; service could . ) would recommend try great spot Notting Hill -it be far away . west end chock full fun place eat well . european sized RoomThe room standard en suite bathroom . TINY compare american hotel new , stylish great view look park across street . read review expect compact not disappointed . also look online photo know would eclectic modern- traditional & quot ; english hotel . little bathroom mod nice big shower head handheld . however water warm - we could never get hot steamy . really cold outside really , really want warm nice hot shower . shoudl also watch two hazard - the pergo - like wood floor slippery towel heater locale easily burn bum ! otherwise room super clean brand new ! truely non smoking hotel make we , happy . ( however , walk street London many smoker ... ) trouble reservation many time probably not hotel 's fault main booking agent / system . reason , stay computer system 3 separate reservation . every day check front desk get new key . ( ' m sure could not take care without extra hassel . ) Hotel Food ServiceOur first night nclude free breakfast two . first experience cafe good . busy & quot ; holiday & quot ; weekend staff enough help . coffee bar attendant , waitor waitress many customer enough help . wait long time seat ask glass dish breakfast bar . took forever serve later explain would bill . husband really put . however , dinner breakfast include another night food yummy service much well . waiter GREAT still problem reservation . restaurant 's computer system & quot ; record dinner & quot ; include booking . & quot ; luckily print confimration info leave state bring back ! fast Check in / Slow check OutOur check fast - we give paper work 3 night match book initial rate , etc . give we key . ( one use light . ) good . check take far long . paper work change check charge free reward point night 100 pound . receptionist keep ask back reward night nothing computer ( . ) luckily reservation code supervisor take care problem , nice . however , wait : 35 clear make we late train airport husband get impatient . run main street catch cab Victoria Station hotel Supervisor run we -- -we leave credit card try give back we drive ! , , nice ! stay London 3 year ago hotel much well value . fun place try seem work & quot ; kinks & quot ; mention review . 
 Feb 9 2009 	 ok 	 hotel ideal care room hotel . clean brand new room great bathroom ( walk - in - shower without bath tub room ) . room patio ( case want smoke hotel smoke - free entirely ) . bad thing staff professional include duty manager speak . 
 Feb 3 2009 	 Great Secret 	 really keep one quiet - however share want fantastic central london hotel look . absolutely first class . trapping home roll central hotel . amount luck IHG roll Indigo brand hotel UK . congratulation get right believe easily pleased . bravo . 
