suit 	 review state , room small date clean , staff friendly , drink service casino good , excellent location . dollar would probably stay GN next time . 
 Good Value Downtown Las Vegas 	 return 6 - night stay Four Queens . room little date , clean comfortable . 's iron board iron room , really appreciate coffee maker room . also safe big enough fit laptop , good . some people talk say water pressure shower way high , make uncomfortable , not problem . bathroom small , though . the hotel great location , Fremont Street Experience right outside door , able go see whichever show want see throughout week without make special trip . also , deuce bus Strip outlet store nearby , be really convenient . stay Strip , take bus get anyway , stay downtown seem well . get see whatever want Strip , see Fremont Street would otherwise . plus , four Queens Casino one place find 9/6 jack well video poker . manage get royal flush , trip pay ! 
 4 Queens= Silver Strike 	 arrive hotel register easily quickly , front staff friendly effeien , long line . garage space self park park unload luggage . would suggest parking top floor next elevator , crowd . ( think charge $ 3 parking per day room ) get nice room high floor # 1821 , upload picture , see . room clean , quiet killer view . clean people nice polite . Sign member card give free slot machine credit discount restaurant . would recommend restaurant , food taste old , freezer make waitress aloof cashier ok . room service answer , eventually call back room : c husband love silver strike slot , red silver . , overall great price , live little book fun budget hotel : cheer 
 downtown exprerient 	 return vacation Las Vegas .. stay Four Queens , little scared reading review traveler .. state room small staff rude .. etc .. actually great time .. room clean bed comfortable .. stay 3 night pay $ 27.00 night & amp ; 2 night free . plus $ 50.00 com . slot machine . not pay parking like another traveler say . staff nice friendly .. room clean daily would definitley stay .. 
 Feb 25 2009 	 4 Queens ...... far royalty ! ! check soon arrive 	 fiance get back Vegas originally suppose stay 4 Queens , soon open door rooom ... check ! ! end book hotel strip ( much wise choice ) ! casino old smell smoke walk entrance . room small clean . view room horrible , could see framework lighting show beneath . set Freemont Experience might cool concept many year ago , need clean modernize thing . overall , amazing trip make quick decision get 4 Queens ! ! believe ... stay nice place strip $ 60 week . 
 Feb 23 2009 	 first stay strip 	 go Vegas couple time year always stay strip . want experience Fremont Street book Four Queens . check around 2 P.M. quick . coupon book offer we . room fourth floor could sit room cocktail watch light show . really quite enjoyable . problem Fremont street keep we awake . turn tv fall asleep . room small clean . state review towel big fluffy . bed comfortable . coffee pot room . not take away fact hotel old . room remodel comfortable hear every sound hall . hallway narrow ceiling low well . say room cost we $ 25.00 night . beat comfy clean place stay . cocktail waitress great seem always smile face . machine dead cold though . oh well , can not all . we eat Magnolia 's . always enjoy eat leave strip day Fremont . time however . meal not good usually . however try next time Vegas . if stay downtown likely try Golden Nugget . four Queens ok would like try another hotel Fremont Street . 
 Feb 23 2009 	 Fun Friendly 4 Queens 	 friend stay 4 Queens Feb 17 - 20 . always stay strip , last year take cab Downtown area blast . year want stay Downtown . pick 4 Queens right middle everything Fremont St , great review , price right . we take shuttle airport 4 Queens . 4 Queens small area car drop people drop valet , seem work . check fast easy . request room south tower upper floor . room clean yet ( 2 pm ) , let we store luggage room . room perfect lady check put we corner room . do not think big room , view two direction people one side we . drop luggage go downstairs . first place go player club sign card . give deck card metal case voucher Magnolia 's Cafe two one entre . give extra voucher birthday . go Magnolia ' Cafe , get sidetrack Craps table . crowd watch minute . table hopping try luck . 10 minute later $ 40.00 go Cafe . small line wait long . hostess nice friendly . waitress really nice fast . food hot taste great . problem use voucher go . Fremont st great place watch people . go Mermaids recieve bead , play slot actually ! came last year play . great waitress last year . still year . later go back 4 Queens . friend play roulette play little crap . little . dealer 4 queen great . helpful . go back room . clean , everything look great . walk room right side large closet . leave side bathroom . bathroom tub / shower combo . single sink large amount counter space . ice bucket , plastic cup , shampoo , lotion , small bar soap counter . also hair dryer unit mount wall . bathroom clean . many floor tile crack , really matter . towel fine , big fluffy , remember stay . Ritz , nice . in room place put suitcase . also stand flat screen tv 4 drawer tv . next stand desk chair . two queen bed room small nightstand safe . bed old new look nice . blanket thin mine home , easy remedy , call ask another bring within 10 minute . overall room comfortable , view great South Tower quiet . noise Fremont St experience all . the next day spend strip . busy , busy Las Vegas last year . special everywhere food , drink , show , nightclub , room , etc . happy hour special run day . walk Mandalay Bay way Sahara . take day stop everywhere . that evening dinner Magnolia 's Cafe . different waitress , great first waitress . friend prime rib special , $ 7.95 player card , lasagna . salad , friend ask extra crouton bring right away . dish perfect . friend love prime rib , come veggie potato . check easy , problem . I would definatly stay 4 Queens . 
 Feb 23 2009 	 watch 	 frequent traveler Las Vegas 99.9 % time stay Freemont area . first time stay four Queens . six we stay hotel . hotel clean , however , smoke penetrate every pore body clothe . main issue hotel / management confusing manner keep tab comp . friendly system access comp ... usually able access info pit boss , resturant , etc get & quot ; host & quot ; player office . even upon check staff could tell comp say would relay info & quot ; host & quot ; let know qualified & gt ; & gt ; & gt ; ( yeah right ! ! ! ) 
 Feb 9 2009 	 good value 	 stay Thursday night arrive airport avoid high rate hotel stay rest weekend . got great rate - $ 32 , plus another $ 3 parking . afraid flight might cancel , would $ 32 bad . stay without incident , alert go parking garage lobby . feel tad desert 2 a.m. compare Strip parking deck . great place stay want room really inexpensive rate , especially weekday . the good : - friendly desk staff- Decent sized room- great rateThe bad : - smoky casino , 's downtown Las Vegas- noise Fremont Street room oversee Fremont . - parking $ 3 day . 
 Feb 9 2009 	 good hotel rate good room 	 Hotels.com mess reservation , staff everything possible make stay pleasant far good customer service front desk manager Alba Rod ever receive hotel . definitely stay 4queens . little word advice .... book Hotels.com sure call hotel confirm reservation . 
 Jan 30 2009 	 great hotel 	 stay Downtown Vegas 2002 find represent well value Strip ... casino , casino , casino . thus thrifty catch bus hotel airport , journey take 45 minute . check Four Queens quick find room spotless comfortable bed . dealer helpful play BlackJack novice variety bet limit table game . not eat casino like buffet not one . Fremont Street plenty action go little noisy want get early night one not go Vegas early night surely ? ? ! ! look forward stay four Queens 
 Jan 27 2009 	 would stay 	 rate inexpensive nothing cheap hotel . clean room , friendly staff everyone say good morning we . stay South Tower quiet . walk front door right pedestrian mall fun watch every night canopy . everything convenient parking free staying . grab Deuce 1 block go Strip . highly recommend hotel Vegas . everything great . 
 Jan 18 2009 	 great time Vegas 	 stay 4 night Four Queens ( 10 people ) . love downtown area Four Queens perfect place stay . Vegas downtown relaxed , casino close deal well . stay hotels downtown far price Four Queens top . problem slow service bar . 
 Jan 11 2009 	 Met expectation 	 fourth time downtown , first Four Queens . check quick , ask - receive - room high South Tower . staff polite problem room . worried water pressure since top floor , plenty pressure hot water find . housekeeping not leave we coffee twice , dissapointe , look forward in - room coffee pot , shorted towel , price , happy entire experience . casino great . crap dealer friendly , ton gaming option choose . want five star hotel , might want pay go somewhere else . like downtown , like , want feel comfortable safe , right place ! 
 Jan 9 2009 	 great bad 	 ok hotel , far room go . not high maintainence , fine . wife easy go problem , would understand someone . say coffee maker every room . , coffee provide . ask housekeeping give we tell call housekeeping get . confuse we give . bathtub faucet steady drip ... drip ... drip . not hold though , would probably move we complain , not since settle notice could not hear sleep . staff another issue . part excellent . wish could remember name . ( damn free alcohol ) remember Winston Magnolia Cafe . actually , wait staff great , hostess staff cashier could little nice though . plus head guy Chicago Brew Company well . 
 Jan 4 2009 	 old style charm 	 room good size manage get adjoining room nice . room not clean check maid send really quickly really pleasant great job not cause we problem . often choose stay downtown visit Vegas everything doorstep . Dad use wheelchair everything close together pedestrian area really useful . rent generally low table low limit we want play much serious gambling . bus take strip want see sight shopping outlet $ 5 24 hour pass . use rooftop pool Binions ( own people ) across Fremont Street lovely . tell soon renovate although think 's ok - rooftop even though vacation november not get overshadow good sun available great view . 
 Jan 2 2009 	 4q Great Hotel small 	 Vegas 5 night 12/12 - 12/17 ) decide stay DT . many friend also stay 4q , make decision stay easy . check 11 pm Friday night breeze able obtain room direclty across hall friend check day early . also give parking pass enable use valet free entire stay . ( must get pass charge parking ) room 1929 South Tower . room face Golden Nugget side could see past GN way Fremont Plaza . the room two queen size bed , desk 2 straight back desk chair , dresser flat screen tv . safe locate night table . coffee pot desk . coffee leave room regualr , request decaf receive next morning . the room clean fresh . housekeep good job everyday friendly . room ok size . however , bathroom tiny , mean tiny . hallway quiet , seldom hear door close people hallway . 4 elevator tower quick never long wait one . soda machine odd numbered floor ice machine even number floor . needless say venture floor ice . would like easy chair room like relax sit read . also friend room several time easy chair would well sit catch . instead sit bed . I eat Magnolia 's last morning player 's card , receive discount breadfast . also luck casino . able print boarding pass . computer right opposite check desk . Valet prompt retrive car locate near Canyon Club . one upset ing fact . Sunday afternoon , get shower , hear knock door , door open walk male housekeeping manager secuirty . stand towel ! ! ! quickly apologize left . mixup think check . confirm call front desk manager 's name . front desk could apologize enough . sure put chain top lock door ! ! ! ! make another solo trip stay 4q . 
 Dec 31 2008 	 okay 	 upon check - lady assist personal call entire time . ask room view - & quot ; room view & quot ; . polite like say - personal call entire time . room okay - nothing fabulous . do not well slot - subway / pizza place way overprice . great thing hotel - fremont street many choice right door . 
 Dec 26 2008 	 stay year 	 go rodeo every year stay early December least 12 year . small property , Las Vegas standard , easy get around . blackjack table friendly , Magnolias good place eat , room good . love easy self - parking , valet great seldom use . complaint ever hear lady think parking garage might safe , never haerd incident , personally like . 
 Dec 24 2008 	 great choice downtown 	 stay last day trip . nice clean comfortable room relax . tv cable package great . good part look window see Freemont street experience every hour . cost little downtown location feel well worth . 
 Dec 20 2008 	 Excellent value downtown Vegas 	 stay Sept 08.we read lot site decide first trip Vegas , downtown experience least part stay . good decision ever . spend first 3 night 7 - night stay Hotel . first arrive , already tipsy meet people Vegas vet airport even head Cedar Rapids , IA ( keep buy drink drink give we kind tip place check ) , really comment check - in service little fuzzy . : ) however , staff great - friendly - throughout hotel everything else need stay , although say wait magnolias quite long time go . food , however , excellent way could eat . good price , especially add buy - one - get - one - free coupon pick . really eat much else busy explore downtown . the room clean . bed comfy . basic room decent view affordable price fun area . everything look . forgot take pic room get ready leave mess , include shot give idea basic room look like . the view pretty good room . , take shoot view night good shot . there also excellent bargin gift shop hotel staff super friendly . you use pool top Binions long stay , although hotel pool , always option . never time check , would definitely think would worth peek 28th floor would probably nice relaxing time great view downtown . I would definitely recommend hotel friend family . ShawnBTW : downtown area blast really experience least . write separate review downtown area . 
 Dec 20 2008 	 Four Queens 	 Booked deal expedia 5 night average 26.00 night . arrive Valet 3rd street DT noon . Valet hand receipt tell tell desk clerk use valet would receive vip parking pass parking free . able check noon , room ready , could store luggage bell desk closet room room vacant . choose go room check even though clean . bad , stow luggage closet go . upon return room around 4 find clean . king size bed , safe beside bed nightstand , flat screen , plenty towel . ice soft drink machine end hall . 10th floor . con - room would never get cool enough , face west afternoon sun even curtain pull seem heat room . water take long time get hot shower . bed even though pillow top , soft . housekeeping miss room 2nd day even though leave tip first day . call towel housekeeping person person bring towel offer apology , state must distrub sign , go day . pro , north tower close Fremont . Magnolias Chicago Brewery good food reasonable . hallway short . quiet room face away Fremont . not bad solo traveler , room would small two people especially stay long couple day . 
 Dec 20 2008 	 4 Queens ... minor glitch okay 	 sure expect downtown Vegas hotel since husband always stay strip . time , agree go along other Old School Vegas group book downtown . find deal travelocity flight + hotel package . price right book October . check give room end hall 19th floor . call hotel right make reservation request room preference . room quiet clean although tv connect properly wall . technician come quickly fix problem . light bulb burn phone jack partially pull able fix easily . customer bother mechanical glitch . minor issue , hotel nice . expect five star establishment mean decor pretty basic pleasing time . eventhough elevator end hall , quick crowded . hotel staff friendly efficient . 
 Dec 19 2008 	 Nice Hotel Low Rate 	 check early afternoon , Sunday December 14th . wait desk clerk friendly . request non - smoking double high floor away Freemont Street noise receive room 1126 end room . the room small , clean . everyone say , bathroom small think set well one Gold Coast . bed pillow top comfortable . we eat one meal Magnolia 's . food service good two one coupon bill come less $ 11.i thought room nice , stay alone would not feel comfortable walk car parking garage . would definitely stay give low rate ( $ 22 3 night $ 50 coupon ) . 
 Dec 18 2008 	 great stay lovely hotel 	 probably bad weather vegas hasever have - it snow twice far week - even arehave great time nice hotel - worker veryfriendly - price super reasonable - our room north towerha safe , coffee pot , iron , large flat screen tv , internet accessfor $ 9 day - the north tower wonderful right fremontexperience not walk far - ask room notface fremont not get noise - parking free for3 hour validation- $ 3 24 hour stay - this hotel aslarge & amp ; plush nugget , much walk - the room size nugget - you geta great $ 8 prime rib dinner magnolia 's & amp ; nightlyfood special - we enjoy meal here - we love thedowntown area stay - we always rent car enjoy vegas - this trip get pt cruiser 4 night $ 48 total fox - we try & amp ; stay hotel next visit here - can not beatfor price- 
 Dec 17 2008 	 Great Downtown Location 	 wife love downtown Vegas usually book majority night , Strip . decide weekend trip could not convince relative look kid , Four Queens look like would probably suit need , especially give favourable review have see . though necessarily ' kid friendly ' , price right location perfect . we arrive around 2 Friday afternoon , though room yet clean able get key store luggage . check - in quick staff friendly . we book package choose ' low end ' price , room end newly renovate . though flat screen tv , rest pretty old actually handicap bathroom . big deal make awfully high toilet kid . nice coffee maker , iron board large safe , otherwise pretty standard . room clean , tired looking . the big draw location . really , virtually downtown property central , one dead center Fremont Street . , access breeze since go door near valet bypass entire casino . wait elevator able leave room Fremont street 3 minute ! not eat restaurant hotel / casino , decent selection . course , stay downtown mean quick walk take get pretty much food want . I admit , love Gold Spike , renovate ' boutique ' property will see pan . philosophy sleep cheap spend saving food entertainment . ... would say four Queens fit bill nicely we trip . 
 Dec 13 2008 	 great price nice room 	 book hotel via hrs.com realy great price . room excelent well expect . time 
 Dec 11 2008 	 First Time Staying Downtown 	 Vegas many time visit downtown never stay . 4 Queens cheap option day December go , away go . not spend much time room Vegas impress 4 Queens room . room south tower 15th floor . quiet , clean , comfy bed ( spend 9hrs total sleeping 2 nite ) , excellent Flat Screen ( watch 10 minute news 2 nite ) safe , drawback size bathroom remember cheap place could find stay . tip really picky like complain stay really expensive place strip . casino small lot low limit table game good pay table ( common downtown play roulette Binions $ 2 min ) . sign player card 4Q get free deck card collectable tin $ 8 Prime Rib dinner Magnolias excellent . take value free gift get , could say dinner cost $ 5 ! parking garage cost guest $ 3 day remember be also $ 15- $ 20 nite cheap . garage hotel small like , make thing less confusing . Clientele definetly old mainly hang Poker room Binions ( excellent ) Golden Nugget . downtown lot cheap food option , beer $ 2 t - shirt far cheap downtown . still enjoy strip well couple nite rent car downtown really save money . 
 Dec 9 2008 	 single deck blackjack 	 stay Four Queens last 10 year single deck Blackjack . 2007 go 2 single deck table 1 . year none . gamble 16 hour day gamble 1 minute four Queens . like single deck - four Queens long place gamble . 
 Dec 9 2008 	 Classy downtown property 	 Four Queens staff treat class time . front desk , restaurant , BJ dealer , crap , security , class act . great weekend w/ guy marry couple . exactly fancy hotel sweep new girl foot , though would recommend Venetian . rate cheap excellent value . like downtown casino , lower bet minimums craps / roulette get busy . go website , print pre - register sheet player club get free gift ...... mine 4queen set pajama , another user site get tote bag . ask pit boss & quot ; comp two & quot ; will give least & quot ; 2 1 & quot ; comp . highly recommend . Las Vegas 6 time last two time stay 4queen probably stay next year . 
 Dec 8 2008 	 need renovation poor room service 	 place ok price . ok romantic getaway nice resort type vacation . location Freemont street fun day . pool , minimal restaurant buffet . the room adequate clean . need thorough detailing . upgrade slightly . new bathroom tile also use tile counter . tile counter properly clean grout line . tub take 30 minute drain . bath tap drizzle hot water constantly . must cost lot money fix . drain heavily corrode rust leak long time . guess room attendant never bother report . leave . new flat screen tv room safe . bed ultra cheap . bed barely comfortable . room attendant never restock supply cheap crap get not complain . get . coffee maker never clean , empty restock . loss . money table pit boss make feel like steal gamble next door Golden Nugget much well . would recommend get room $ 20 night not picky . 
 Dec 6 2008 	 downtown rule 	 great stay . great room , great service . even manage win good money casino . say hi dealer Joe & quot ; canadian pilot & quot ; 
 Dec 5 2008 	 downtown experience 	 stay 4 night attend CES . really complain much , rate pay cheap . booked twin room , give king bed . little dissapointed ability staff resolve issue . we give another room face Freemont Street . warn noise level quite high . stay high floor ! overall enjoy stay hotel . 
 Nov 30 2008 	 Great Value Quality 	 book one night , sunday , last day trip want go downtown end cheap stay overnight take cab . I4Vegas.com $ 32 include taxis fee night . bargain unbeatable . room small strip flat screen tv 's , clean room , comfortable bed great service . hotel staff helpful , location prime right fremont street , hotel restauraunt great . drawback old bathroom still decent . would reccomend hotel anyone want stay downtown heartbeat . also enjoy casino area well , except timeshare people eveywhere vegas . 
 Nov 29 2008 	 overall good service 	 nice old vegas style hotel price perfect anyone want place hang hat night.check easy helpful.room clean coffee machine , iron board , king size bed , plenty towel , flat screen tv.staye 16th floor , north tower , go bed early , may bother noise fremont experence till almost 1 2 am.housekeeping staff excellent.i see housekeeper first day tip once.needless say , room vacume , clean sheet everyday , plenty extra ... soap , shampoo , towel , extra coffee , ashtray , { yes smoking room } , etc.we small party second night room hit strip ... 10 people room mess.got next mourning go binon across street 7:30 am.great breakfast coffee shop ... $ 1.99 . come back room 9:30 . room spotless .... excellent job ! ! ! would book hotel .. ken , melbourne , fl 
 Nov 24 2008 	 Awesome 	 return wonderful experience could . 1st time visit town . hotel employee 's wonderful , food great would recomend hotel . book vacation base review people , right , could not pick well place . would recommend since downtown area , visit strip , take bus $ 5.00 24hrs well worth , even though take we 20 minute get see alot . hope anyone book experience . 
 Nov 20 2008 	 Best Value Las Vegas ! 	 four Queens exceed expectation . stay 4 time last year half say enough good thing . look fancy lobby fast elevator hotel . however , budget look great deal place . pay $ 59 Saturday night $ 29 Sun / Mon . try find strip . hotel clean , safe , staff excellent . able get check 9:00 Saturday moning . hotel locate heart Fremont Street Experience ( noisy ) value peace quiet make sure request room face AWAY Fremont Street experience . also want go strip bus stop stone 's throw away . bus call deuce get get 24 hour unlimited ride pass $ 5 . Fremont Street Experience really take aat night usually hit strip day head back Four Queens night . Chicago Brewing Company ( one restaurant ) great pizza beer . restaurant ( magnolia ) leave little bit desire . insist stay strip may want try stay downtown sometime . think surprised affordable fun could . strip walk casino bar buy ice cold Corona Heineken $ 2 . 
 Nov 18 2008 	 four Queens pretty good 	 stay 3 night Four Queens great time . allow check early , even though check 4:00 . room comfortable bathroom sufficient . not expect 4 star hotel , nice . construction around hotel morning tend loud , overall bearable . eat Magnolia 's okay . sure get coupon sheet Freemont office 2 - for-1 . casino nice take money . really enjoy downtown everything close . not think ever stay strip . 
 Nov 18 2008 	 okay like cold shower 	 stay room 1819 two night , past weekend . hot water shower . informed front desk next morning 5:00 tell maintenance man woud look , arrive back hotel afternoon , still hot water . room small lot static , get shock every time turn light press elevator button . we give king bed three pillow comforter stain . you could hear noise room next , sound proof . any way , woulkd say ok ! 
 Nov 17 2008 	 great stay four Queens 	 fan downtown Las Vegas opt stay four Queens base review . staff extremely friendly helpful . unit clean , roomy & amp ; comfortable ! location center Freemont St Experience make convenient everything area offer ; definitely stay ! 
 Nov 10 2008 	 super stay ! 	 great pleasant surprise stay 4 Queens ! room not super huge , adequate want . say bathroom small money -also serve need ! plug sink , call front desk within 15 minute maintenance fellow check problem , within hour we run ! great attitude ! ! ! quiet , overlook Golden Nugget . sure join player club use card great food Magnolia 's generous portion food delicious ! gamble great = have new machine old favorite . stay downtown definitely win idea ! also easy use bus system . thank read review - and hope enjoy stay Four Queens 
 Nov 9 2008 	 could not well 	 check four Queens 4:00 pm 11/3/08 , tell desk clerk 15th anniversary ask upgrade available really expect much . pleasently surprised tell we move we suite charge . room south tower away Fremont Street 3rd floor , clean spacious end hall not drunk walk past room make noise night . bathroom large clean double vanity , plenty room wife 's stuff . large flat screen tv two chair comfortable leather couch . complaint . staff friendly helpful , maid always ask ready room clean never complaint not . scale suite old Stardust Casino . parking easy reach elevator attendant ticket booth even tell we vip parking voucher available front desk guest instead charge we parking . would highly recommend hotel anyone . complaint , nothing hotel , street vicinity hotel tear one way area due construction . confuse difficult get parking garage night not know area . 
 Nov 8 2008 	 great stay usual 	 Stayed Four Queens October third time three night . really enjoy location , casino , Magnolias . glad safe room . arrive 8:30am room ready . ask . nice coffee pot room . stay next 2 night Harrahs coffeepot . Room clean , plumbing issue . casino fun , drink service good trip . magnolia little slow big deal . look forward go back 
 Nov 6 2008 	 good deal 	 get great deal place . beat location area much offer . find great deal food . second time stay freemont take another couple first time love . go strip walk ourself death . stay strip 4 time do not think ever stay strip . use bus ( duce ) travel strip . good thing price $ 5 . bus make many stop crow . do not get wrong work slow ride . book limo airport transfer . nice . use bell limos . $ 56 . use taxi / van ride back airport cost $ 40 + tip . kinda spendy think.but four queen great hotel . stay room 1427 nice friend room 1444 great view . food resturant 4 queen great price right . would stay 4 queen question . 
 Nov 5 2008 	 new ' Home Base ' Vegas 	 past 12 year wife visit Vegas many time . lodge many different property strip downtown . believe find appropriate ' home base ' subsequent vist . check breeze . curb room less 10 minute . make reservation request room away Fremont Street grant . room 1015 North tower . room bathroom large clean bed comfortable . AC work well fairly quiet plumbing noise shower kind annoying . housekeep great job always ask need anything . coffee maker room plus . Flatscreen tv also plus . check also pain free quick . guess gamble enough table earn comp room . hint : floor folk rate play table always use player card slot . check Casino host Slot host check see qualify comp . staff Four Queens helpful friendly . couple grouchy wait staff magnolia everyone seem cheerful . blackjack crap dealer fun , especially Halloween . picture clown supervise sexy policewoman deal blackjack three diva . fun time . aside crap session O'Shea 's , gamble exclusively four Queens . whenever venture strip catch show see Big Elvis ( least trip ! ) 's short walk deuce - bus stop corner LV Blvd Fremont , look big glass beer ! $ 5 get 24 hour pass get one end strip back downtown . good value , good service , good hotel , good gaming , good location downtown . definitely return four Queens . 
 Nov 4 2008 	 well 	 reserve non - smoking room , end smoking room . everything smell like smoke ... mattress , blanket , pillow . Moved non - smoking next morning , black hair hang bathtub , take shower & amp ; tub clog . take 3 stop front desk ( 9 pm ) b4 finally fix . next day housekeeping leave we 3 floor mat shower towel . never stay pit . 
 Oct 28 2008 	 wow ..... ride 	 wow .. ride ... Best Hotel Casino Fremont streetwe love downtown .... check fast ... upgradedto Petite Suite ... soooooo nice .. lot space seating . two daughter husband along Hotel nice put we floor ... food wonderful fast service .... slot fun ... one thing really like hotel casino set .. come elevator ... right check desk Casino right .... walk forever get Casino .... Maids every day clean room always ask need item ... bring blanket extra coffee we .... one bad experience ... plan go back ... stay four Queens ....... get ready check .. give we really good comp .... way celebrate 40th wedding Anniversary . love everything Hotel Casino 
 Oct 18 2008 	 good place stay 	 go Vegas celebrate 30th wedding anniversary , stay Four Queens hotel love ! staff front desk houskeepe friendly helpful . they great resturant . room ready arrive morning , clean roomy . bed pillow top mattress extremly comfortable . love Freemont Experience light show casino close together . able walk hotel hotel late night feel safe it . we would highly recommend stay four Queens , stay return . think anything negative say stay , except win big jackpot anywhere ! atmosphere wonderful . stay hotel Freemont Street even come close compare four Queens cleanliness , comfort friendly everyone . 
 Oct 17 2008 	 Great Value 	 fourth time stay four Queens . fortunately Hotel partner Allegiant Airlines package offer great value , convenient . room clean housekeeping good job day . public area good repair clean foreign odor evident . Personnel friendly responsive request . valet service good despite apparently shortage people . complaint would food quality Veranda . stay strip place Harrah 's Monte Carlo aside difference physical plant , Four Queens equal service personnel . recommend anyone interested . 
 Oct 16 2008 	 good ever 	 queen good ever still good place stop downtown 
 Oct 16 2008 	 Great Casino 	 could ask well stay . check - in take five minute . hotel personnel extremely friendly helpful . have great time Four Queens . 
 Oct 15 2008 	 can not wait go back ! ! 	 four Queens great ! husband wonderful time . staff extremely friendly helpful . get 9:30 able check room right away . love video poker like , great place go . huge selection plus lot progressive , way hit one last day . Ya Hoo ! ! ! definitely return . room service good fast pizza Chicago Brewery delicious . love Fremont Street Experience check casino 99 % play four Queens . get player card get . comp system really good . earn 3 free night already plan return visit . thank four Queens ! back ! 
 Sep 19 2008 	 fremont street good 	 pleasant desk service give room 18 floor king bed request desk . everyone friendly . room standard lovely enough space . view excellent . clean , quick elevator service , casino fun many waitress offer free drinks.slot good.ate breakfast magnolia 's good special player card discount . also give shirt tote bag.did eat breakfast buffet golden nugget . highly recommend this.otherwise , four queen well well deal.will back soon . 
 Sep 12 2008 	 good price 	 stay Sept 9th $ 35 / night . check 4 pm line . front desk staff friendly . we give North Tower room . long confusing walk front desk elevator . 9th floor Fremont experience . room basic clean . although nice flat screen tv , room feel outdate . internet $ 8.99 / day ( pay $ 13.99 internet Mirage ) . parking $ 3 / day . eat Mangolia 's since get free meal voucher husband birthday Players Club . also get nice tote join Club well . overall cheap room downtown . love stay downtown usually stay Golden Nugget . sure return hotel go back Nugget . 
 Sep 9 2008 	 worth wait 25 year ...... 	 celebrate 25th wedding anniversary stay Four Queens August 25 - 29 . never Las Vegas spend several week try decide stay . decide take chance stay Four Queens glad . every staff member speak kind considerate . room nice ( standard king bed ) veiw 14th floor window spectacular ! eat Magnolia 's Veranda 3 time . find food delicious reasonable , especailly use player 's card . handy Subway locate hotel step away McDonalds . take Deuce strip twice like atmosphere Fremont Street much well ! enjoyed stay much planning celebrate anniversary # 26 four Queens next year ! 
 Aug 25 2008 	 Impressed pay 	 book room hotels.com 50 % discount . pay $ 39 buck night Friday Saturday . first & quot ; oh great , get pay right & quot ; well impressed show . front door clerk nice actually let check 8 am , versus 4 pm . good sign . finish checking go room surprised room actually smell like foot , smoke ! clean room modern . stay big name casino room actually similar room pay $ 150 + casino . good impression lil hotel casino . think thing could say negative bit distance big name casino , lil drive save lot loot ! thank trip advisor helping make final decision hotel book . 
 Aug 12 2008 	 Viva 4 Queens ! 	 go Vegas wedding , decide try Four Queens , base largely review . new bride definitely disappointed ! room South tower ( 12th Floor ) clean comfortable , room service efficient . hotel ideally locate need . & quot ; Deuce & quot ; ( bus run downtown south end Strip ) two block away plenty food choice cheezy souvenir shop await right outside door . food Magnolia 's 4 Queens delicious , join Players ' Club ( be free ) get nice discount , . course be right middle Fremont St . experience . unless be try earn bragging right stay overrate overprice big - name property Strip , would highly recommend four Queens . 
 Aug 5 2008 	 Good Hotel - Great Value 	 wife stay 4 Queens 5 night April . 10th floor . room get end hallway , walk elevator not bad . room clean comfortable . view Fremont Experience canopy Fitzgerald 's side . like window open little bit let fresh air . never room midnight can not speak noise level outside . room safe use safe deposit box front desk . convenient not like open people could see much money take we . stay downtown , will definitely consider 4 Queens . 
 Aug 5 2008 	 Book ahead time ! 	 hotel great though due last minute booking end tiny room definately sub standard . room nice though small . hotel clean employee courteous helpful . 
 Jul 30 2008 	 Four Queens -- great hand deal 	 wife usually stay Strip feel give downtown try trip . not interested pool scene lap luxury room stay -- need clean room get shower good night sleep . four Queens definitely deliver . situated heart downtown Fremont Street , beat location everything may want . arrive late evening check immediately upon arrival . room clean , North Tower , several floor Fremont Street Experience ( 18th ) . room king size bed ( soft extremely comfortable ) , plasma tv , view mountain several casino , efficient air conditioning , sufficient bathroom space ( low pressure water job ) .We go casino get situate get feel table slot . write separate review casino place eat another time mention everything briefly . lunch Rosemary 's Sahara Ave use prix fixe coupon , worth every penny . although bit hike rental car cab , miss dining experience . we venture Strip one night see comedian Jim Gaffigan great show Mandalay Bay , realize love downtown area -- simply well group people around stuffy & quot ; look - look & quot ; type seem common Strip hotel . downtown also less congested traffic people one enjoy feel confine would Strip . , simply get bang buck Downtown . we check several casino stay downtown impressed friendliness people staff cashier floor manager . find likely get compe experience previously Strip . finally , eat Hugo 's cellar Four Queens amazing meal begin end . review overall experience seperately review . overall , room Four Queens , room , sure hotel near Fremont Street . check cinch , check breeze , staff excellent , variety food choose well Chicago Brew Pub excellent hand - craft beer tap . recommendation : use stay suite level expectation , stay 4 Queens . want young crowd pool / club scene , stay 4 Queens . , reason , go bed 9 pm every night , noise Fremont Street keep , not stay downtown let alone Four Queens . however , want relaxed atmosphere , simple expectation , want able money go little far , access great restaurant good people , Four Queens . 
