happy 	 hotel great location good prize ! room clean , breakfast simple good . People reception gentle , end 's problem ... 
 Jun 16 2007 	 decent bring hairdryer . 	 stay hotel May 2007 . book Hotels.com , mistake : book Grant hotel 's website price , selection room well , not pay sum ahead time ( non - refundable ) . guy reception super friendly professional , give choice room , select room window face backyard . the room spacious , bathroom also big looked recently renovate . problem toilet , fix within 5 minute . the room clean towel change daily . small fridge tv room . problem encounte wereabsence hair dryer ( even reception 1 2 , usually already take guest ) shampoo body lotion ( ( small sample - like package ) bathroom ( hair conditioner ) . last really problem buy near Greenwall 's one block hotel . would definitely stay hotel , would bring blowdryer . 
 Jun 4 2007 	 love location hospitality 	 room clean , could easily walk city , parking convenient , hotel staff friendly . economical gem family vacation . stay wonderful city . 
 Jun 1 2007 	 wonderful time Grant 	 wonderful stay hotel . location great , room comfortable clean ( stay top floor ) .The charming Thai lady reception accomodate helpful . definitely stay next visit . 
 May 25 2007 	 Charming Convenient 	 staff helpful friendly . room , back hotel , quiet clean . room high ceiling , make somewhat small room feel airy cramp . complaint bed softest entire trip . the location great , lot bus route accessible nearby thing within walking distance . parking garage across street . small town standard , ( hotel validate ) price $ 20/24 hrs lot , leave car park use muni bus system sure beat try deal traffic . get 3 day bus pass Powell Market cable car ticket booth . 
 May 20 2007 	 Great 	 ' start quick dirty:1.easy find . great location.2.Alamo National rental car return right across street . parking garage.3.computer Wi - fi available lobby.4.cable car stop corner.5.excellent housekeeping.6.b price area . we book Grant positive review other post location . not expect lot hotel , figured price would happy . . basic , frill place lie head . sure , limited cable tv , yes right next alternative adult entertainment facility , also two block Chinatown , one block bus stop link we everywhere step away cable car take we Market Fisherman 's Wharf . not think location could well . also laundry mat need one couple door away . they give we room picture brochure face street . know noise volume street open window , take ear plug . highly recommend even not think get room face street . garbage truck visit 4 , traffic start early well , fortunately , may weather cold enough keep window shut still comfortable . staff friendly email correspondence booking arrival stay . feel safe comfortable . definitely multi - cultural environment well . meet many fabulous friendly people world . we not breakfast pastry supply , mini - fridge room Walgreen 's one block away , buy cereal milk breakfast . also microwave lobby . this hotel truly meet expectation serve we well . 
 May 10 2007 	 great safe location . 	 stay Grant Hotel recently San Francisco feel location excellent . next Union Square close major shopping scene safe not many homeless roam outside hotel area night . downside climb steep road get hotel come Powell Street tough dragging luggage along . thai family run hotel nice free internet service available . simple breakfast provide room spacious enough . we would highly recommend hotel anyone travel budget seek great convenience term location . 
 Apr 20 2007 	 Great Value - Spoilt attitude Receptionist 	 stay Grant hotel March 2007.the room look street , clean , bathroom especially good . location wise , price hotel beat , locate close Union Square , China town , Little Italy - within walking distance . arrival guy check polite helpful , room good size , clean , experienced noise traffic outside , bad . Free Coffee tea reception vey good , room facility make drink . our complaint attitude young female receptionist hand arrogant , also make rude personal comment member party , spoil overall enjoyment stay here . I would recommend hotel budget , want centrally locate San Francisco 
 Mar 17 2007 	 bad 	 stay Grant 1998 fairly impressed enough come back 2007 . room near street refurbish couple year ago , request room . 's noisy thought . room pretty clean , especially bathroom . be great no - frill place stay central many sight S.F . not expect luxury , be great bargain nonetheless . 
 Jan 21 2007 	 Great Place Stay 	 enjoy stay Grant Hotel . close almost attraction , especially Union Square , China Town financial district , yet relatively quiet street . Moscone Center also within easy walk distance . enjoy shop along way . the room fancy clean , staff helpful polite . lobby computer free internet access make explore city lot easy . highly recommend hotel traveler appreciate affordability reasonable service . 
 Dec 26 2006 	 expect 	 see good thing internet , book . arrival , like lobby , non - smoking room smell cigarette , butt still sit fire escape ourside , mold two wall . check walk around find different hotel absorb one - night penalty charge . 
 Nov 10 2006 	 great place stay 	 Sydney , AustraliaMy wife stay Grant six night . choose base review tripadviser . find excellent place stay . room fifth floor rear . clean tidy , quiet , seem large enough we . also excellent bathroom / toilet . staff friendly helpful , although couple seem bit blunt first . time though fine like . would mistake judge first impression . not mind pastry coffee breakfast . not strap cash could not afford go diner change menu , breakfast not one main concern booking . for location , can not beat ! 3 minute Union sqaure , five minute China town . even walk pier catch ferry Alcatraz , although be much long ( managable ) walk . many main spot within couple kms radius hotel . I would recommend Grant anyone want low cost quality accommodation , fantastic location . people concern thing like room size noise , could discuss booking avoid disappointment later . we miss San Francisco . return will definitely try get room Grant hotel again . thank Grant hotel great place stay . Allan Tanya 
 Oct 22 2006 	 good location 	 wife stay 5 night September . walk wonder book . room basic cupboard wardrobe hanger - none trouser . however settle begin explore San Francisco . find good base even though cofffee pastry hotel go Union Square every morning coffee sit watch th people go by . the bathroom large , 3/4 size room . room keep clean staff clean towel bed linen daily . carpet room need change hey get pay would certainly return Grant , would hope next time mini safe refrigerator mention guest . 
 Oct 16 2006 	 bad place price ! 	 get Saturday find park garage across street , validate , still cost we almost $ 20 day park ! elevator not work say call someone fix couple hour carry luggage second floor . offer keep behind desk elevator get fix , not mind . get elevator fix like say would . hotel room tastefully furnish , little small size bathroom huge . San Francisco building right next exception look brick wall . radiator heat work well chilly . staff nice personable need extra pillow call twice , get . maid clean room well place musty smell . locate couple block China town couple block Union Square problem walk . 2 door live nude male dancing male , not hear see anything walk past different hour day . little toilet back husband get plunger okay . shower water pressure great provide shampoo shower gel incase forget . sell soda water desk , ice . morning provide donut , muffin black coffee . place quiet , not hear anyone . would stay ! ! 
 oct 9 2006 	 Grant Great 	 place fine . everything advertise promise - clean , large bathroom , large room , closet , room safe , fridge , easy check , maid service , linen , desk , alarm clock , good location ( near Union Square Moscone Centre ) , phone , soap , free wifi lobby ( could occassionally pick room second floor ) , helpful staff . . . breakfast be not much be something . be get good deal SF . much well hostel , Grant great budget hotel . would certainly go back . ( try vegetarian lasagna Uncle Vito 's restaurant across street . ) 
 Sep 20 2006 	 nice budget hotel price 	 stay Grant Hotel Labor Day weekend partner . base review , request room away Bush Street avoid traffic noise request accomodate . room ( queen sized bed ) neat , clean recently renovate . keep mind old building ( ' m guessing build around 1920 's ) . room stay center building window open onto air shaft / light well ( think must reviewer refer ' the brick wall ' ) . typical construction era , suprise . miscellaneous mechanical noise night , neighbor inconsiderate , noise hallway . require modern acoustic isolation standard , stay pay Hyatt et al , maybe bring ear plug . the ' breakfast ' merely courtesy . consider coffee light snack tide consider want eat breakfast ( dim sum brunch ) .I consider Grant Hotel good value money stay . 
 Aug 15 2006 	 affordable clean 	 skeptical hotel due review read TripAdvisor . however , pleased experience . go know five star hotel would get basic . bring alarm clock . hair dryer hotel iron check front desk free . hotel staff courteous , friendly helpful . hotel perfect budget traveller . bathroom large clean room feature huge walk closet . bedsheet smell laundry detergent , sensitive smell , may reconsider stay . window large screenless , child might want stay . generally cool San Fran bug , window open problem . get expect hotel would highly recommend anyone . friend stay another hotel two block away $ 150 / night hotel lobby nicer , room not . 
 Jul 12 2006 	 clean cheap friendly good value - would recommend 	 Hotel Grant great location San Francisco - two block ( 3 minute ) chinatown , couple ( c. 8 - 10 min ) North Beach , go three block downhill be right Union Square . walk pretty much everywhere always feel safe come back area round hotel right night . room basic clean . brand new fridge provide , along tv , hairdryer , etc . find quiet night ( room look onto alleyway mean could throw window open , overlook street , still hear traffic ! ) front desk staff helpful friendly newspaper internet access lobby . not get chance try breakfast since many great cafe diner close . parking across street private commuter - type valet multi - storey . pay hotel get discount ( pay $ 18 per day instead $ 25 ) . aware want drive be settle bill collect car time - opt walk take cable car leave car garage . place not pretend luxury resort not expect anything beyond clean , basic hotel room . 's excellent value money - £ 35 per night , good location , really pleased . 
 Jun 7 2006 	 Good Choice 	 stay day s.f . sightseeing May 2006 . would rate hotel average , due 's excellent location - two block Union Sq Chinatown - low rate strongly recommend Grant Hotel . depend expect : want clean quite bed sleep 's get . chinese personell friendly . view room worst ever , almost able touch wall next build daylight room , say : want sleep not want look window ; - ) great view , go Coit Tower Nob Hill ... tv , hair - dryer charge - free safe room . free wireless broadband available lobby . also serve breakfast , not one , not eat breakfast . 
 Jun 5 2006 	 not ! 	 bad hotel think ' ve ever stay . Guess 's get cheap , never ! smell walk door make think ' ve accidently step local nursing home . owner even pretend care barely speak English , terribly rude , exception nice lady evening . continental breakfast limit , coffee gas station machine -like vendor . one first room dirty , ask another one . air conditioning . sad thing build huge potential grande . bad experience . 
 may 24 2006 	 Excellent Economical Choice 	 little doubtful book hotel English first language owner , give confirmation number check - in go smoothly . request room back hear street noise could make sleep difficult . offer key two room could check commit . one rear smell little musty / maybe cigarette furniture bit retro ill - fit , opted room front spacious appear newly renovate . street noise bad fifth floor ( yes , elevator ! ) . maid service excellent , clean travel havoc change sheet towel daily . never tip maid one break mold . bathroom ventilation except shave bottom door overpainte window scare open . shower door open recommend . mom panic lack hairdryer front desk loan we one stay . room also refrigerator , remember offer ( think maybe room ) .Breakfast pastrie tea coffee , tea coffee available anytime ( facility room ) . Sears famous silver dollar pancake $ 8.95 plate around corner block Powell . staff overly effusive polite helpful , offer look BART times we . also computer lobby free internet access , though request spend 15 minute time . really helpful access . great location Bush Powell , jump cable car bottom Powell come BART station . luggage though cable car steep climb ( six block ) , easy go . overall excellent choice hotel . would stay . word warn around Powell though , watch scammer try ' fine ' offer travel ticket . panhandle petty scammer rampant . 
 May 23 2006 	 nice ! ! 	 hotel great location next historic cable car site . surprised asked know get Top Mark two block away ! ( uphill , course ) . take advice site ask 5th floor near back street noise . 509 bathtub bath small . air conditioning , ok . face brick wall ok since window open night . elevator bit shaky walk time , overall great value . oh , tops coffee cup , bring go . parking across street garage $ 18 per day , problem . able get room several hour early clear cable refrigerator . would stay ! ( not get pink room though .... ) 
 may 22 2006 	 Great Value 	 candid photo previously post fair reflection get . resort . get : - clean bathroom - safe secure room - predictable staff - great/ safe location - free internet - bug , pimp , thugsI will stay . price great . 
 May 12 2006 	 good value money 	 stay Grant form 3rd 6th May . clean Hotel Ritz , good value money good location . room comfy bed good bathroom . arrive 3 hour early room ready allow check . look good clean hotel , nothing fancy good price well locate , can not go wrong 
 May 11 2006 	 good hotel great price 	 husband return 5 night stay Grant Hotel . pick hotel base review website , please Grant . travel quite bit , room size never issue we . room decent size , bathroom . far bathtub small , 5 ' 9 take long , hot bath one night come wind problem . location excellent , except fact 6 1/2 month pregnant final hill bit steep , San Francisco , expect . staff friendly , although English be not good . ask 2 extra pillow , happily give we . accidentally leave wedding ring room , panic thinking would not understand ship back we . , take care , inform enitre staff , way back , thank goodness ! breakfast fine , pastry lover . husband grab food elsewhere , able much want free good hotel plus . previous reviewer write , Loris Diner good place dinner , dessert ! also small italian place right across street call Uncle Vitos serve good food . transportation excellent , grab trolley car corner take bus BART need . chinatown Union Square within walk distance . I recommend hotel , would hesitate stay future visit San Francisco . enjoy ! 
 Apr 28 2006 	 vintage update ! 	 stay Grant 3 night recently & amp ; pleasantly surprised ! not want stay & quot ; chain & quot ; hotel SF , want something unique & amp ; characteristic . centrally locate , great spot stay . think staff friendly , bothersome & amp ; clean staff always room tidy & amp ; make time get back day . towel new & amp ; smell nice . room pretty much spotless . love pink wall ! every time wake think 1978 stay great aunt 's house ! area seem safe enough , homeless hang around outside like witness area . much view ( brick wall ) quiet far traffic go , wall seem little thin . window open let fresh air heater work fine we , good ! bathroom huge , sure people review stay ! really appreciated let we check 3 hour early arrive ! not let & quot ; old & quot ; smell fool walk , place go SF smell , mean alot old building vibe . husband & amp ; totally appreciate simplicity place & amp ; would recommend hotel anyone travel budget dig quaint little place ! 
 Apr 19 2006 	 bad sure would go back 	 husband spend 9 night Grant last month overall pleased , especially price get ( $ 720 incl tax ) .pros : fault location hotel , block Union Sq , Chinatown , close major shopping cable car practically outside door take Fisherman 's Wharf . we ask room back ( base reviewer comment ) get one street noise . bed comfortable get great night 's sleep ( 6 am anyway , see ) .breakfast decent enough ( muffin , croissant , homemade walnut cake , coffee ) always plenty . fridge room real milk coffee ( coffee mate provide hotel ) cereal pastry extra . may enough like big breakfast plenty nice little place nearby that . clean service excellent , fresh sheet everyday room tidy little disturbance belonging possible . the plumbing room also make strange noise always plenty hot water . the hotel generally clean quiet , able leave luggage last day check get shuttle airport . give tag hold could check come back collect good . con : staff difficult hard understand barely speak English ( ) annoy ask fridge reserve unable turn heat . ill arrive tell heat came get cold enough outside ! freeze inform much heat would give headache anyway not really need ... book Queen Deluxe judge pic website , ' m sure get . however room spotless spacious not say anything . a family elephant check room directly wake we every morning 6 am kid run jump furniture . hotel fault grant aware hear noise guest kid ! bath smallest ever see . no - one big child could actually bath . like large shower tray . Loo also small usual banged elbow wall every time reach loo paper ! ! overall happy hotel , be kind place great nothing go wrong issue , not expect staff gracious helping ! slightly big budget next time return will go back Andrews also great hotel nice staff ' ve ever meet ! tip : internet hotel slow WORLD , go internet cafe instead not want spend hour check 4 mail . Lori 's Diner hill serve great diner style food late , nice walk hotel casual need dress . try malt milkshake ! go Sears Fine Foods lovely breakfast lunch . take Blue & amp ; gold fleet cruise around Bay , slightly cheesy audio tour fun informative 's great way see part Alcatraz can not normally see . if not much luggage decide stay Grant , get BART airport far Powell St walk hotel , be block BART far cheap . save shuttle way back be laden purchase ! get muni pass ( $ 24 seven day pass ! ) map $ 3 ( essential , buy one Walgreens instead nightmre follow , MUNI 's map much much well ) . pass cover bus , cable car muni train . 
 Apr 16 2006 	 good location fancy hotel 	 budget hotel , nothing fancy , going need hotel sleep place luggage , work perfect plus centraly locate near union square , chinatown bus stop . safe walk nite . include pastry breakfast , coffee tea every morning . something go plumbing make weird noise everytime water use bathroom . first room give we problem lock open , since near outside stair request change give we another room face wall inside , quite . go back someday budget , sure go back Grant 
 Apr 7 2006 	 Little Gem City Bay 	 whoever write previous review must good imagination must go wrong place . sit lovely lobby Grant Hotel , cozy quiet , enjoy free internet access . notice lobby entrance wheelchair accessable . admit service basic , doorman fancy decoration big hotel would , room clean staff nice helpful . city , hotel anyway . would rather stay reasonable priced hotel right downtown pay high room rate doorman , decoration room amenity not even bother use . I really enjoy stay . 
 Mar 26 2006 	 not decieve photo place dump 	 centrally locate ... staff cold , indifferent always use microwave ... chronic smell chinese food gag ... old guy wheelchair camp lobby like creepy maschot ... decor date ... think circa 1959 boarding house ... nightmarish ... dingy carpet ... smoke stain fire one bother clean afterwards .... keep expect pimp platform shoe , long fur coat bowl noodle kick door ... 
 Mar 22 2006 	 nice hotel great location 	 stay grant hotel mid january 3 night . room comfortable adequate cost . great location bush street half block uphill powell st . breakfast tea\coffee pastry take reception . nice . 
 Mar 22 2006 	 comfortable friendly 	 husband book hotel last year last minute choice ( base TripAdvisor review ! ) thoroughly enjoy stay . fact book another stay year . perfectly locate , pleasant helpful staff adequate room ( Brit US point view - ' m English husband American ) . downside bathroom & quot ; tired & quot ; - nasty experience block toilet ! - quickly efficiently sorted . also , think stay young child - back room window low windowsill safety bar ! 
 Jan 24 2006 	 Grant Hotel great ! 	 really like hotel . friend stay 5 night 16 - 21 January . check easy desk clerk wonderful - get us map give we recommendation thing see , also place eat . book room queen bed save $ 10 night , upgrade we room 2 double , great ( $ 70 per night ) .The room old clean . perhaps bit small , certainly manage . room one queen bed would well , bit room move . include breakfast fine , pastry coffee . want juice 's $ 1.It 's wonderful location , minute walk cable car Fisherman 's Wharf shopping area ( Nordstrom , Macys , Tiffany & amp ; Co , Gap , Louis Vuitton - name ) . would stay . great value money . 
 Jan 13 2006 	 beat price ... seriously 	 wife finish week long San Francisco trip . last year stay Cartwright MacWorld 2005 . year Grant Hotel MacWorld 2006 . pay $ 120 / night Cartwright . pay $ 72 night Grant . give 4 star overall , well Cartwright give 3 star . the pros:1 ) location : border Union Square Nob Hill . be close China Town , North Beach , nice walk get BART station Moscone . note : steep climb North Sutter Bush walk along Powell . bring good shoe ! 2 ) room size : pretty good size . big Cartwright , closet . not mind Cartwright , Grant bit hallway door sleep / living area . like & quot ; buffer zone & quot ; normally find chain hotel , rarely see budget - minded boutique hotels.3 ) view : well , room anyway . back room ( 5th floor ) look Southward , neat sight ... could see Marriott shine bright near Moscone , outside elevator Westin , etc.4 ) price : almost $ 50 cheap per night Cartwright , pretty good deal . yes , cartwright free wireless net access , pay $ 20 entire week get wireless access room . think money save ! Cons:1 ) Staff friendliness : ok , not mean rude , definitely outgoing staff Cartwright . biggie we , not go much , know city pretty well previous trip . realize Grant likely run asian family will understand lack & quot ; outgoingness & quot ; .2 ) free continental breakfast . slim picking , be sure . coffee powder milk , pastrie small muffin . Juice extra . big breakfast , use money save stay go Sear 's Dotties . bottom line : clean , good - sized room great location price pretty remarkable . 4 star . some tip think would pass along eat : - sushi fan ? Sanraku Sutter fantastic ! - chinese food ? House Nanking . hear owner actually order part meal ... true ! order two sesame - season entree , come along say will choose different sauce we . . food great.- Dinner Myth . semi - upscale restaurant Jackson Square ( chic area ) . food great . Kobe beef burger , fry amazing ( people booth next we drool ask ) . note : dress code , dress bit will feel little uncomfortable jean like . also , make reservation place fill fast.- Breakfast Dotties : breakfast need experience . cornmeal blueberry pancake , wife french toast . yummy ! not - so - good part town , keep walk . note : get early well ( around 7:30am , open ) .- Lori 's Diner : save money go twice . remember print coupon website , 20 % : -- -- -- -.- bike trip GG Bridge : nice ride , keep mind up - hill climb ( keep low gear not stop ! ) go bridge bit windy cool . Sausalito will fly downhill.- shopping ? hit Union Square emeryville.- get airport : stay within walk distance BART stop , use commute hotel SFO . save money use thing . have Fun ! 
 Nov 20 2005 	 perfrct location 	 stay 3 night much fun ( novemeber 11 - 13 ) .I book room phone .The front desk polite friendly . the room big enough big bathroom ( private bathroom ! ! ! ) .The maid service keep room clean ( every day change sheet . thanck ! ) .continental breakfast good . discount parking . we rent car parkig across Hotel . location ? close Union Square , Chinatown , Cable Car , BART , option transportation . that fir time go explor San Francisco make good choise & quot ; GRANT , GRANT , GRANT HOTEL & quot ; 
 Nov 3 2005 	 enjoy Stay 	 come San Francisco attend ACS Congress October . Grant Hotel perfect place stay . close Union Square , China Town , financial district . Moscone Center also within comfortable walking distance . stay room middle section building , view , quiet . admit , fancy hotel , clean , right level basic service match price , even little ( free internet access lobby , wire wireless , plus . ) breakfast also basic , various pastry , tea coffee . people come conference tour San Francisco , budget mind , right place stay . 
 Oct 29 2005 	 Good Budget Hotel 	 return 7 night stay hotel . great location ! close Union Square , Chinatown , Cable Car , BART , option transportation . could hear cable car bell time room could well remember ? negative room face Bush St. , busy corridor , car zipping night garbage hauler arrive 4:10 morning around 5 parking window operate whir equipment . awaken frequently night . window remain open difficult maintain cool temperature even though turn radiator . a / c.room clean bathroom BIG comfortable . staff reception pleasant helpful . continental breakfast so - so . croissant kind tasteless pastry kind . eat . would like fruit juice include . ice machine available real negative we since like cold water , juice wine . microwave available lobby guest use hot water steaming available time look . free internet lobby too . we rent car two day discount parking ( stay Grant ) available directly across street also garage able return rental car . definite plus . would stay ? absolutely , would ask room face street bring one little electric 6 pack cooler we . 
 Oct 17 2005 	 Budget Conscious 	 pro : location awesome ! 3 block chinatown , half block Powell - Hyde cable car - line . parking lot across street ( $ 11 / day ) otherwise , parking hard get SF . room spacious , tidy , sanitary . even walk - in closet not really need nice anyway . internet access downstair lobby ( 1 computer ) . con : fridge / microwave . bathroom air vent maybe break . & quot ; Continental & quot ; breakfast donut coffee . staff pretty much leave alone not expect bend backwards . overall , worth $ 75 consider SF . Book need clean place stay central location keep mind 2 - star hotel not expect luxury ! 
 Oct 15 2005 	 Thought Better ! 	 good location visit S.F . near Chinatown Market Street . room clean renovate . little breakfast . staff friendly like thought book ( mail ) . 
 Oct 11 2005 	 could not get quick enough . 	 book day arrive . cost $ 100 . fridge cofeemaker room . beverages reception must pay . hotel smoking . partner ask rear outside smoking area desk clerk screamed & quot ; Outside Outside & quot ; point front door . problem , male strip club almost next door . 
 Oct 3 2005 	 great base explore SF 	 stay 3 day explore SF first time - great place ! central Union Square transport link , pleased find central ! good bed average sized room , large bathroom , breakfast supply lobby morning average american continental danish coffee . really recommend place keen central want spend time look site rather trecke back hotel side city 
 Sep 29 2005 	 ok San Fran 	 old hotel well situate cable car line . San Fran pay well Hotel worth , context hotel comfortable without spectacular . great bathroom shower security seem ok . Staff friendly go way assist . close plenty good dining place shopping , free internet hotel bonus . 
 Sep 14 2005 	 great place price 	 great find base review hotel tripadvisor.com . Grant Hotel locate right heart want San Francisco . quiet safe location , step Powell Street streetcar take way Fisherman 's warf . if be try budget conscious San Francisco , feel good saving stay . hotel old , grant , clean . room Hilton , be pay $ 65us night full bed . private bathroom clean , bed comfortable . view brick building 2 metre away we , , $ 65.the hotel family run oriental family nice . continental breakfast serve daily 7 - 10 a.m. consist small muffin danishe tea coffee , not plan breakfast ! easy get via public transit , take BART airport Powell Street station , walk uphill 10 minute ( be quite uphill , good exercise ) save taxi fare ( be busy street anyhow ) , turn leave Bush 20 metre away hotel . do favor stay be budget conscious . 's affordable , clean , safe , killer location , be easy get . 
 Aug 6 2005 	 great hotel great location 
 Jul 27 2005 	 great little hotel Value Location 
 Apr 6 2005 	 good deal 
 Mar 17 2005 	 bargain 
 Nov 18 2004 	 quite find ! 
 Nov 1 2004 	 recommend hotel 
 Jun 14 2004 	 basic cheap central 
 May 22 2004 	 cheap okay 
 May 10 2004 	 Inexpensive Clean 
 Jun 27 2003 	 Grant Hotel - Bush St San Francisco 
 Nov 4 2009 	 Hotel zentraler Lage mit kleinen Zimmern 
 Oct 30 2009 	 ottima posizione e prezzo 
 Oct 7 2009 	 très bon emplacement mais chambre sordide ... 
 Oct 7 2009 	 hotel à choisir san hésitation 
 Oct 5 2009 	 buena ubicacion correcto 
 Oct 1 2009 	 ideal 
 Sep 15 2009 	 parfait 
 Sep 6 2009 	 très bien placé bon prix 
 Aug 16 2009 	 joli hotel très bien placé 
 Aug 4 2009 	 Ottima base di partenza ! ! ! 
 Jul 9 2009 	 excellent rapport qualité prix 
 Mar 20 2009 	 4 fille à SF 
 Feb 12 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Jan 25 2009 	 Plein centre extra ! 
 Dec 10 2008 	 3 jour au coeur de san francisco 
 Dec 4 2008 	 ottimo rapporto qualità / prezzo 
 Oct 10 2008 	 tre bien situe mais un peu bruyant 
 Oct 9 2008 	 Grande location niente altro 
 Oct 6 2008 	 très bon rapport qualité / prix 
 Sep 28 2008 	 Buena Ubicación Buen precio 
 Jul 15 2008 	 agreable 
 Jul 9 2008 	 toujour bien reçu 
 Jun 11 2008 	 ubicación perfecta ! 
 Nov 16 2007 	 ok hotel pessimo personale alla reception ! 
 Oct 11 2007 	 Sauber und zweckmässig top Lage 
 Jul 24 2007 	 Ottimo albergo 
 Jun 6 2007 	 Bon rapport qualité / prix / situation 
 Feb 16 2007 	 très bien pour les jeune couple 
