lovely 	 last two trip , enjoy Ping Pang Pong ( dim sum restaurant Gold Coast ) enough want give try place stay . price room ( particularly club card , give small discount ) quite good , choose go & quot ; premium king & quot ; room less $ 100 three night . room clean , modern , nice pan - asian styling . really like porcelain tile use throughout shower sink area . view well , reasonable price . hotel staff friendly helpful , park convenient close lobby . the breakfast buffet great deal nice variety , casino floor staff outgo helpful well . casino & quot ; old - school & quot ; -- quiet , simple layout ( never get lose ! ) fancy theme mostly - naked pole dancer blackjack table . ventilation quite good , not smoke really bother much smoker casino . find refresh over - the - top , particularly day evening wandering hotel strip sensory overload really wear . even enjoy round bingo bowling , casino nicely attire . 
 Sep 5 2008 	 strip getaway 	 Vegas several time want try one strip place change read newly refurbish room decide give go . got great rate holiday weekend room excellent value money . not know old room like new one absolutely fine , albeit little small other stay , remodelle bathroom walk shower rather tub . it not choice restaurant other improve open new TGI Friday soon . Buffet ok cheap . the casino ok bar sit relax price way low hotel strip . the bowling alley excellent special $ 5 pitcher beer late evening . all great experience prompt extend stay try sister property Orleans , ( see separate review . ) 
 Aug 27 2008 	 nice slow pace hotel 	 really enjoy stay Gold Coast would recommend glitz , glamour high price strip . we get renovate room , nice , clean spa - like . bathroom spacious nice glass shower large counter . room modern design flat screen tv . would definitely recommend get renovate room . do not spend much time casino , look not see big difference Gold Coast casino strip . , big gambler might disagree . the restaurant pretty good value . eat buffet almost daily , huge selection food numerous dessert ! $ 6 breakfast . TGI Friday 's opening September . there shuttle go Orleans also Bill 's strip . convenient wait never long 10 minute , usually less . the hotel pool small , never crowded . usually sunbather around pool , maybe one two water . nice quiet spot relax . after spend long , hot day strip big crowd nice come back Gold Coast . would definitely stay . 
 Aug 11 2008 	 exceed Modest expectation 	 return 2 - night Sat - Mon stay Gold Coast . visit Las Vegas least 3x year usually like stay luxury resort Strip Red Rock offstrip . Vegas resident friend call last minute concert ticket , offer arrange compe room Gold Coast lure join concert . Gold Coast casino eat one restaurant ( close ) time . not impressed . not want pay last minute airfare pricey weekend rate usual haunt , decide suck take offer . look pic read review , ask could try get one redesign & quot ; premium & quot ; room , . bit line check - in two agent handle lobby desk . super - efficient handle four group ahead short order . wait time less 5 minute . woman check smile informative well quick . kudo -- rare Vegas resort recently visit . high end hotel employee take hospitality lesson Gold Coast front desk clerk . promise give one & quot ; new room & quot ; 9th floor ( odd number room x30 number wing ) face palm look south strip . look rooftop equipment , night pretty view . room small new Vegas property . give big prop premium room designer . apparent decor budget meager , he / she thoughtful job create illusion space , give room peaceful , modern , feng shui feel . carpet , window treatment ( yes really ) , upholstery , wallpaper furnishing sleek cool without cold . finish furniture door dark wood white wall stainless steel accent . element air , earth , fire water balanced placement furnishing decoration create serene feeling . large LCD HDTV , armoire deep drawer small closet , desk , sideboard , two bedtable . material furniture obviously economy brand , visually appealing . bathroom many complain site cleverly redesign maximize space . slide panel serve door bathroom sink area . door use separate sink area toilet shower remove . partially glass - partially open shower instal place old tub / shower combo . still open little window let steam let fresh air . adequate counter space , although coffee pot tray take . ( nice coffeemaker , although one one cup deal . ) bed comfortable . instead bedspread , blanket encase two white pattern sheet . inexpensive practical design choice , simplicity work room decor , sanitary scary hotel bedspread ' ve hear . think mattress new . a / c old fashioned wall type unit control digital read thermostat , work well , like room colder handle , say something August Vegas . room pleasant relax . , wonder have comfortable someone close family member sharing . think . small room even though not look . thing would add change : full length mirror . in - room safe , cause decline housekeeping service since cash , jewelry electronic . in - room hotel guide show property 's amenity , restaurant , lounge etc . room service . usable electrical outlet desk night table . open outlet wall require leave phone recharging floor window sill AC . picky , nice almost everything sleek , modern new room , plastic styrofoam cup , ugly old phone plastic dimestore wastebasket kind stand Motel 6 cheap cheesy . enjoy play casino disturbingly dead weekend . breakfast cafe Saturday Sunday brunch buffet not good , dinner Cortez Room disappointing -- food service substandard although dining room nice atmosphere . food Noodle Exchange good . tgifriday open soon need something like . exception staff Cortez , find every employee come contact warm friendly well efficient , include desk personnel , housekeeping ( give stuff even though not clean room ) , casino staff , cocktail server , bartender , restaurant waitstaff security . really enjoy short stay much surprise . not pretend luxury vacation destination , current rack rate $ 100 night weekend , & quot ; premium & quot ; room may good value ' ve see today 's Las Vegas . recommend GC discriminate budget traveler , need inexpensive Las Vegas room , first place will call . 
 Jul 7 2008 	 Great Value 	 Gold Coast great value really close strip . not think even mile . walk strip times , quick waiting bus etc . bathroom tiny need renovating , care price . room clean staff helpful . save money cheap hotel go dinner nice instead ! 
 Jul 5 2008 	 Boycott Gold Coast 	 20 + year customer former home away home completely ruin Boyd Gaming . restaurant enjoy close . favorite employee leave green pasture . surprised many long - time employee sudden depart . price skyrocket rediculous . hotel worth $ 50 / night . management seem clue go especially depress economy . forget . will never see . might well stay Strip , price great Gold Coast employee work anyway . 
 Jul 2 2008 	 Gold Coast OK 	 really hotel old set . room pretty good , nothing brag . bad thing on - site restaurant . eat anything steak prime rib special food mediocre good . fried chicken taste like Banquet frozen chicken . People nice friendly , think stay elsewhere next visit . 
 Jun 23 2008 	 could well 	 four previous visit stay Gold Coasts Sister hotel , Orleans . in comparison Orleans , Gold coast league . room near luxurious well maintain . hotel process upgrade , much comfort pay room yet upgrade . say , room clean comfortable , buffet extensive reasonably price . however , staff friendly helpful , especially bell hop valet car parker . we book room last minute , , ' bad deal . 
 Jun 1 2008 	 Decent Budget Hotel 	 always try homework hotel . trip advisor bible ! anyway always budget want well limited cash could buy . this hotel near strip major casino 's . $ 10 cab include tip . want take life hand could spend 15 minute walk ..... room clean bed massive comfy . bathroom tiny . but argument ... hotel tend base , somewhere sleep long clean comfy anything else like size tv bathroom really matter ? budget hotel tick box .. spend alot time Strip . there tidy pleasant pool area . the chinese restuarant get good review complaint . in Summer year TGI Fridays open Hotel . you really ( opinion ) get pay for . Budget hotel , budget facility . the food buffet area cheap plentiful say get pay for . for breakfast pay $ 6 ..... go Wynn Bellagio pay $ 18 breakfast tell well class / standard eating establishment ! ! ! ! food buffet Gold Coast adequate . I 2 complaint , one - & quot ; cafe & quot ; next buffet really sub standard .... justify rubbish service food say get pay . experience shocking speak food beverage manager .. ask want .... order Prime Rib meal prime rib cold cool luke warm COLD .... ! ! ! ! bore detail ..... afford eat elsewhere . try Rio next door seem choice ... andcomplaint 2 - thing Gold Coast seem close little soon would think necessary .... ie ; Buffet close 9 pm . & quot ; cafe & quot ; close 10 pm . coffee shop close around 8 - 9 pm . Rio thing seem stay open long .... though want cheap cheerful Gold Coast ok . having say ..... look round Vegas ... would future pay extra dollar stay close Strip . 
 May 21 2008 	 Good Value 	 great location . like Rio hotel right next door . room decent size , bathroom small . sink next closet area separate room shower toilet . hard close door stand bathroom . tv nice- new flat screen . stay 3rd floor view wall , not room much not matter . bed could comfortable . staff nice . give coupon booklet check get free slot play , free table play , free drink , free ice cream . not eat hotel ' m sure food . overall great experience . good value . 
 May 15 2008 	 deal ! 	 say not already say , positive side , . Las Vegas business choose Gold Coast base favorable review mid - week special website ( $ 38 / standard room ; rate jump $ 150 next day ! ) . not expect much hope basic cleanliness ; otherwise , check next day would problem . self - parking check - in quick courteous . two choice give ~ room view Strip hall elevator ' , ' no view close elevator ' . a - room - with - a - view choose advertise ; however , 120 step elevator . not want leave something room ' ve reach elevator , want wait long head room bathroom break . long trek hall allow one see carpet keep impeccably vacuum , fact , room also immaculate . small size quite adequate flatscreen tv , coffeemaker , etc . strong water pressure shower reminescent old day , small window allow direct ventilation outside ~ excellent . unfortunately , internet connection room not work , house electrician say work many room . uh huh , maybe want we downstairs Casino . Ping Pang Pong chinese restaurant always busy . food portion large , look delicious authentic lacked flavor taste bland . could choice , patron seem pack eat , suspect doctor home . Monterey Room , coffee shop atmosphere , pricier warrant . definitely well bet Ports ' Call Buffet . good offering , flavor , variety value , breakfast , lunch dinner disappoint . when return two week later , basically experience ~ excellent room rate accommodation , courteous check - in , hotel cleanliness , etc . however , time choose room view , near elevator ! 
 May 10 2008 	 Love Gold Coast 	 stay night way back Florida Orange County , CA enjoy every minute . wife play slot great time . like Texas Hold'em enjoy play table . room large , clean quiet , staff friendly helpful , breakfast coffee shop excellant . 
 May 8 2008 	 Great Place Stay 	 stay Gold Coast Casino two time . enjoyed stay much March 2007 , come April 2008 . enjoy small hotel feeling . great hotel rate . although 700 room , much small hotel Las Vegas strip . reasonably price restaurant , nice pool , fitness area . room nice clean . bathroom small , great ! free shuttle middle Las Vegas strip every 15 - 20 minute . would stay ! 
 Apr 25 2008 	 Grreat Value 	 wife spend great 4 day Gold Coast . get 2 & quot ; Mustang Mike & quot ; special give we 2 weekday night 2 dinner buffet 2 breakfast buffet include $ 119 price 2 day . $ 238 4 dinner buffet four breakfast buffet 4 night stay ... tax include . try might could not top deal . room nice newly renovate , buffet ok nothing special . casino busy never problem get video poker machine full payout . also eat Monterey Room get 16 oz . steak salad , potato bake bean beer $ 9.99.The shuttle strip timely use trip strip . third time Vegas second time Gold Coast , would not hesitate go back . 
 Apr 23 2008 	 great value 	 $ 60 per night think room excellent . large bed large room . toilet small spoil stay . the breakfast excellent value less $ 6 . need high room one open view room look onto building may bowl center . 
 Apr 17 2008 	 Appalling : Hotel deliberately disabled deadbolt room 	 look forward bargain hotel near Strip , encounter appalling physical defect room . deadbolt door , way activate - hotel deliberately disabled ! confirm call front desk visit front desk person switch room . originally , think issue room give - soon arrive transfer room obvious deadbolt disable hotel . the deadbolt slide exist - simply knob turn activate . knob mechanism use , plastic cap , case , bare hole . ( small enough screwdriver probably could actually turn deadbolt . ) engineer hotel 's & quot ; supervisor & quot ; duty ( single manager property 's hotel side 9 pm ) confirm deliberate act hotel , consider room door & quot ; secure & quot ; keycard activate chain - secure night latch , mind , actual 1970 issue thin chain . amazingly , hotel seem surprised appalled , give & quot ; be first person ever complain & quot ; line . 's 21st century . not major hotel planet not secure hotel room door deadbolt - except , apparently , Gold Coast . I ' m stubborn stick principle , even know could & quot ; secure & quot ; door want heavy chair , even know odd anything happen quite low , door least keycard - secure . AAA minimum requirement - deadbolt absolutely must include guest room door . imagine female guest might think stay hotel . so , face bit Hobson 's choice - stay hotel obviously blase security ; try find alternate accomodation short notice . Gold Coast offer refund charge offer help locate alternative indeed , seem happy see go . go back room , get online , hope find something short notice . end pay twice rate stay Bill 's Gamblin ' Hall , ironically former Boyd Gaming & quot ; Coast & quot ; property ; leave Gold Coast ; get check within 2 minute friendly front desk clerk ; enter Bill 's room ... flip deadbolt door . I possibly recommend Gold Coast basic , fundamental , deliberate reduction guest room security . 
 Apr 9 2008 	 wonderful hotel ! ! 	 stay Orleans last year ( great ) receive promotion Gold Coast Orleans . Gold Coast well deal although love staying Orleans . sure sign Players card . room nice . like sink outside room commode . their buffet excellent ! breakfast every day couple dinner . get $ 1 member Players club . do not well casino though . play slot rarely win . after book hotel 's website , check back notice regular price drop & quot ; discount & quot ; price . call nice person say would happy reduce room rate ! good deal Las Vegas . 
 Mar 30 2008 	 Out - of - the - way value 	 not want Las Vegas strip amid traffic , noise , chaos , hotel might fill bill . complimentary shuttle bus service Strip throughout day , Las Vegas Avenue 10 minute away . the room clean neat , nothing fancy , though 32 & quot ; flat screen tv . bathroom dark taupe - colored tub surround toilet dim lighting - tub slow drain . shower pressure terrific . good value buffet meal Ports ' Call restaurant . price reasonable , quality variety food good . lunch dinner various ethnic choice along American & quot ; meat potato & quot ; type food . abundant dessert choice . the pool hot tub well - keep surround lounge chair . attendent generous extra towel . while casino not glitzy Strip , plenty penny nickel slot well type slot table game . 
 Mar 28 2008 	 great ! ! ! 	 price , great excellent hotel . room large clean . flat screen tv great . easy get casino close - by parking lot . 2 - min walk Rio Palms . high rated website . yes , bathroom small small one Bill 's Gamblin Hall . would say room clean well one Bill 's . negative second floor , vomit smell hallway . wish change carpet . otherwise , would go back get cozy hotel / casino . 
 Mar 22 2008 	 worth Stay 	 Gold Coast 2 mile strip shuttle take strip & amp ; drop Bill 's Casino . shuttle run every 10 min . Gold Coast high - end hotel . would say compare average Comfort Inn look something fancy probably not want stay Gold Coast . happy stay . clean & amp ; staff friendly & amp ; helpful . port O'Call restaurant buffet breakfast good . Sign Gold Coast Club card get $ 2.00 breakfast plus discount . 
 Mar 17 2008 	 nice budget stay 	 stay Gold Coast Saturday March 8th - Tuesday March 11th . total pay $ 318.00 3 night . large ( 135,000 person ) convention town , strip hotel room rate unbearable . room # 955 view palm across street . odd number room south view towards palm , even number room look north towards downtown . we stay smoking room ( buddy not kick habit ) , overall smell not bad . room two double bed ( nice , luxurious ) , flat screen tv , 4 - drawer chest , small round dining table , two nice sit chair . a / c work like charm . the bathroom functional , small . like vanity area separate toilet tub area . plenty room , plenty hanger clothe . bathroom amenity include : lot towel , shampoo , conditioner , lotion , shower cap , bath soap facial soap . tub little window open outside ventilation . shower pressure temperature superb ! drive rental car stay find parking deck easy use convenient . check - in , easy wait whatsoever ! not use hotel shuttle . we dine twice buffet , ok , spectacular . price terrific , keep mind . casino rather large well lite . ceiling somewhat low , except two - story ceiling table game . not find casino especially smokey , ' m sensitive . we walk ( easily ) Palms Rio check eat buffet . somewhat well , expensive Gold Coast . would stay Gold Coast , room rate well hotel sky high . always car , stay off - strip not big deal . want nice , safe place sleep would consider stay off - strip , keep Gold Coast mind ! contact question rmw5597 @ hotmail.com . 
 Mar 15 2008 	 New Year Vegas 	 first stop world tour . try pick reasonably price centrally situate place throughout disappoint we . strip short hop away free bus , easily walkable like we enjoy stroll . Rat Pack show dinner New Years Eve great , disappointed New Year Strip . visit many city enjoy festivity year live hope , firework midnight fab , everyone turn round walk away finish . unlike time could visit hotel unless resident . fortunately Gold Coast great band play early hour still manage enjoy . would stay decide Vegas third time . 
 Feb 29 2008 	 would stay minute 	 really good idea expect read reviews GC look traveler photo . arrive Saturday afternoon check - in quick . recieve room 6th floor end hall . Knew expect , include elfin bathroom . room adequate bed comfy . absolutely love coffeemaker . bring extra coffee filter . maid staff notice , start leave extra we . eat buffet twice good ...... average buffet . terrible . also eat breakfast Monterey Room twice think food good reasonable price . casino well lay . easy find way around . casino absolute maze ( Harrah 's ) get frustrated trying find way thing . good assortment machine table seem busy . Saturday night real good fun vibe ! fantastic salsa band showroom another good music group East lounge . go upstairs check bowling alley . 70 lane , since Sat night , cosmic bowling neon good rock music . wow . look cool . plan play bingo , trip fly ... time . shuttle convienient . use many time go Orleans eat Strip . day get , make sure check alarm clock see advertantly . ( happend we last year Flamingo ... go 3 ) two morning later , alarm go 5:30 . sure get move maid dusting . sure check alarm status go bed . seem East lounge music almost every night good . great stay . would stay minute . good value . 
 Feb 28 2008 	 good hotel choice we 	 want stay off - strip trip , decide stay Gold Coast since great room offer hotel . the first night people hall room side us argument call hotel desk , security send immediately deal problem . the room large , great panoramic view north include downtown , part strip , mountain . there iron ironing board , table 2 chair , large dresser , two night stand , nice kind sized bed . interesting part room little window shower could open let steam room ... great idea ! also coffee maker ( make one cup time ) , enjoy cup get ready morning . we casino buffet , enjoy variety number table game , slot , video poker . also BINGO room , not time visit meet another customer $ 1,000.00 cover - all game ! also walk Rio conveniently locate across street east , also shuttle run strip Rio one run Gold Coast Orleans . for budget want large strip hotel , good property consider . 
 Feb 25 2008 	 good Stay ! 	 stay GC ( return trip ) three night real problem . first room smell like smoke non smoking floor call desk key another room hand within minute . view parking lot - not stay Vegas view : ) room clean well lay - except toilet / bathroom door issue . stay remember close door sit lol.i like vanity area outside bathroom . the problem phone ring early several time two morning ... one . kind leave we wonder housekeeping try wake we get we move ... not want get early Vegas ... ? front desk say would shut incoming ringer happen . eat Cortez Room one night - mediocre good - staff act like inconvenience mere fact eat there . we stay like room window open rare Sin City ! 
 Feb 24 2008 	 ok 	 stay Gold coast tour . good hotel strip good shuttle service strip every 10 min till midnight . the room clean good view 8th floor .I hear friend tour restaurant food good value specially vegas . time find bed comfortable . it grt hotel want stay away strip . I go Rio voodoo bar show opposite GC . 
 Feb 21 2008 	 Pleasant stay 	 Stayed Gold Coast 4 night . like nice small property strip . guest pound door 4 first night request room / floor change could avoid happen second time move promptly . room clean , leave tip daily . issue hotel / casino employee , general public . use shuttle strip several time never problem . overall slot seem bit loose last visit , little , can not quit day job ! return hotel future . 
 Feb 12 2008 	 okay stay 	 convenient location without stay strip . room clean comfortable . great band stay casino good . several restaurant husband love 16 oz steak special Monterey Room . two compaint really one alot staff not speak english well two continually bombard server tell we & quot ; 17 % & quot ; even sit table . even pay seperate check group could sit together buffet & quot ; 17 % & quot ; . absolutely nuts ! ! ! people must get continually stiffe tip . would get & quot ; 17 % & quot ; continaully tell keep mouth shut provide we service get . 
 Feb 8 2008 	 Superbowl Weekend Gold Coast 	 check Saturday - noon able get king smoking room . good start ... room ninth floor , near elevator ice machine - generally bonus , although couple time could hear someone get ice wee hour morning . the room spacious clean , bathroom other say , tiny . bright soul try put cigarettete tub - burn mark , hotel fault .. dealer friendly , bartender poker room staff . housekeeping prompt , make request extra pillow within 10 minute . put & quot ; please make room sign & quot ; room do less hour later . the shuttle driver friendly - service great . ask late check , front desk accomodate . food choice average , sunday brunch buffet pleasant surprise , 10.95 T - bone special coffee shop - good value . thing get - little averageall good stay , back . value superbowl weekend ( 275 4 night include saturday ) could beat 
 Jan 28 2008 	 Better Strip ! ! 	 Loved Gold Coast , clean room , nice comfortable bed , 32 inch LCD tv 's , great shower ( although bathroom small side ) , fast elevator , friendly staff , reasonable rate excellent food . stag trip , three friend visit concrete convention . arrive a.m. able check early would unusual strip . GC fun casino gambling , unlike cold lifeless monolith line Las Vegas Blvd . far food , advise everyone try Arriva GC serve italian fare , also Cortez room steak half price strip good . GC buffet one good value Vegas , get player card get discount . Monterey Room ( 24 hr . dinner ) serve early bird breakfast special dirt cheap . also offer $ 10.95 Texas T - bone special 24/7 . get 20 oz . t - bone , potato , onion ring , salad , cowboy bean , glass beer . downtown hotel & quot ; local & quot ; hotel / casino Vegas Coast & amp ; station property gain popularity among realize strip become tourist trap . think , mega - resort strip less own two major corporation today . choice think game & quot ; tight & quot ; food price high certain strip property ? go next door ? hah ! likely hotel next door own corporation . remember strip use great deal room , gambling , food , . unless be willing play dollar slot $ 25 table not get diddly comp . strip over - price fill capacity & quot ; 20somethings & quot ; willing pay outrageous price meal play games machine terrible payback odd . could not believe number sucker play 6/5 blackjack video poker pay table almost half use . day visit strip friend could not wait get back GC food reasonable , dealer friendly , cocktail service fast , game way Vegas . 
 Jan 28 2008 	 Value Money 	 New Years accommodation expensive strip decide stay Gold Coast half price strip . think pay approx $ 600US week , strip hotel $ 1000 - 2000 week . check staff pleasant . double booking go onto new system something dramas , apologise fix . ask want sign reward card , say yep sure . issue right away . free ; use every time gamble . also charge everything back room extra point . check check many point ( huge gambler ) reduce one room $ 40 $ 100 . something cost we nothing worth . must warn though , check take age phone table well slot . room 2 double bed , plasma tv , bathroom , table chair , normal type hotel room . clean . modern ' say mega old either . pretty fussy time think fine pay . bathroom small sink outside shower & amp ; toilet . ' swing cat toilet / shower hey one thing . room big thought . bed comfortable . lot towel . Hairdryer awesome . iron , everything need . hallway long far away elevator . late night sometimes feel big scared go fill ice bucket alone . would go bed early other , ' thing would put negative . security door room elevator night . would leave around 12am/1am . casino great feel . homely . could always find . table slot low limit . 1cent slot high one . always able get slot want . easy get around , never get lose . staff friendly cocktail waitress always around . could always order drink . crowd old style . always happy come home . free shuttle run till 12:30am . run every 20 min strip Orleans . 2 shuttle , one strip one Orleans . ' get shuttle wait return , NYE day , ' remember . find allot people park Gold Coast get free shuttle . anytime people check room key . think busy time make sure guest get first . generally problem . one night 12 am shuttle full , say ' worry send another shuttle last people ' leave strand strip last shuttle full . tip $ 1 per person . every time generally day . one day run shuttle driver see we wait . tip twice night . drop pick outside Bills Gamblin Casino . get taxi home Luxor one night $ 13 miss shuttle ' much . overall glad stay experience Gold Coast . ' also nice stay strip budget , stay case strip high week GC excellent alternative . move onto strip 1st crowd leave price drop . 
 Jan 24 2008 	 good stay Gold Coast 	 six we stay Gold Coast Jan 18 - 20 , annual boy weekend . find hotel excellent value . it basic creature comfort 42 inch lcd tv well ! ! ! ! check breeze wait ( around 7 pm ) casino favorite table , slot , video poker game . employee talk polite , rarity Vegas . all was'nt Bellageo comfortable place stay . 
 Jan 23 2008 	 outdate adequate 	 stay two night , include NYE . be outdate , need upgrade , be right price . bathroom tiny . couple problem , first could not get internet connect , maintenance come quickly solve problem . stuff television fixing internet , come back fix . room clean . find belt old fry room first day . bed okay , pillow awful ! little far Strip , bus service fine . eat diner , food good reasonably price . next time would stay somewhere close strip little upmarket , though . 
 Jan 18 2008 	 Met Expectations 	 Good : & gt ; great deal money & gt ; comfortable bed clean interior Bad : & gt ; tiny bathroom ever see & gt ; Plumbing great either & gt ; distance strip [ 1.5 mi ] husband want spend great deal money stay Las Vegas , figure would use room good night 's slumber . Gold Coast fit bill perfectly . clean interior plush bed , oh throw flat screen tv well great place get sleep another late nighter . downside bathroom tiny . sink / wash area locate outside shower etc . inside . plumb good either . not really affect we much . like bathroom love luxurious shower last place would want . another factor distance strip , though 1.5 mile seem walkable right across I-15 , would not want esp night winter . cab ride strip cost 10 $ time . imp factor consider choose hotel low price first place not intend spend cab . ( rent car whole week not really factor we . ) overall economical practical stay good value money . 
 Jan 17 2008 	 friendly staff really good meal 	 stay Jan 4th 8th . check breeze receive 4 fun book , coupon book . several free drink coupon nice , probably thing use beat pay 5 $ drink . always tip 1 $ drink since free bartender friendly . probably 80 % asians Gold coast . never bother we white sometimes feel place . room clean bed okay , pillow could definitely well . shuttle bus great never wait 10 minute . eat MOnteray 24hr restaurant couple time basic lot food friendly service . El Cortez fantastic , really enjoy full day walk strip . hubby want prime rib get huge piece meat 10.95 $ , plus extra . chicken ceasar salad perfect . wine reasonable atmosphere comfortable . one night eat PIng Pong also great , lot food reasonable cost friendly service , ambiance , sit edge casino food great . enjoy stay Gold Coast would definitely return ! across street Rio new hotel across way Palms , lot explore area . 
 Jan 13 2008 	 Ironing Bungy 	 LAUGH - need iron ironing board glad see closet ( almost 2 week travel use laundrette Williams need iron stuff ! ) set astonish see iron attach iron rest bungy rope ! trying reach end trouser iron sight see ... talk tug war . still understand reason item security tag , stick pop shower cap wash bag , room iron . POSITIVE POSITIVES - hotel strip lovely , bowling alley , bingo - USA style , friendly staff fellow resident , courtesy bus BILLS strip . put $ 5 dollar bar poker machine comp drink - UK / Euro non knower ( like ! ) bob uncle .... make sure leave tip slim jim - least $ 1NIGGLY NEGATIVES - bell hop tell we wrong first day courtesy bus pick strip- take hire car back strip not take hotel bus - end take taxi back Flamingo .... Hotel . owe we $ 15 ! not leave coffee compliment comfort tray , use sugar appear full , shove drawer otherwise will not get replenish . 
 Jan 11 2008 	 Fair option ces trade show 	 CES probably big trade show Vegas hotel room jump price preparation crowd . book $ 160 p / n , consider motel Emerald Suites mile away ' m bother frill . anyway , hotel old folk , service pretty good , except one incompetent guy Bell Desk . valet front desk prompt efficient . not gamble , use room service ( hear take hour time ) , restaurant / diner fairly good . waitress get nice indian colleague wife . my room surprisingly spacious . also surprise cotton sheet bed , tuck bedspread . look like someone interrupt finished room . bathroom fine , extraction fan get steamy . 's pool shuttle Bill 's Gambing Hall Strip opposite Bellagio leave every 15mins be good Strip . summary : chic - est hotel , good location , good option close strip pool . 
 Jan 7 2008 	 2007 New Year / Hogmany Las Vegas - 24/7 EXCELLENCE 	 read number review make booking visit LV NYE celebration although LV many time , idea sea body Strip fill enthusiasm . also , pay family 6 adult budget concous opted Gold Coast . , review Gold Coast fairly mix , tend stick Flamingo Golden Nugget previous trip , know expect hotel . take Gold Coast : despite book pay 7 month advance , get smoking room request arrival . get move Strip View smoking room follow day . ROOMS : money pay , complaint . flash Flamingo , clean tidy . large LCD tv every room great . room service fast cheap , food great . bathroom spotless basic need renovation . good news - room renovate 2008 part multi - million Dollar programme refurbishment Sam Boyd chain hotel . restaurant : eat cafe steak house must admit buffet breakfast Sunday Brunch equal hotel Strip . 7 different food area , cover : american ; chinese ; mexican ; italian ; meat carvery ; Dessert / cake . salad etc . Sunday Brunch must many LV regular still visit Gold Coast $ 10 all - you - can - eat - buffet . great carvery include . the Cortez Room ( Steak house ) like step back time old Wild West scene . plush leather well oil wood table . Lets hope not change decor restaurant . the steak good value appx : $ 14- $ 16 fillet $ 10 - 12 NY strip ribeye . one good steak vegas.for money . casino : place design around gambler sport gamer . big book hall great selection table game include version Texas Hold Em Blackjack , take get use , enjoyable cotton game . Roulette low $ 3 min ( e.g . 3 x £ 1 dollar chip min . ) high table stake e.g . $ 5 & amp ; $ 10.cocktail waitress really quick first time recall , never manage finish drink come back order , even busy period . lot 1 , 5 & amp ; 25 cent machine , event reluctant gambler flutter without worry much spending much : & gt ; ) High Stake slot also available $ 100 hit , something everyone casino . lot ' link ' slot high jackpot game . fantastic luck slot , return time time .... high payout $ 224 25 cent machine . weather : lucky weather one day wear top day wind chill quite nippy . definitely need fleece night . still warm direct sunlight , chilly shade day . transport : ever change Vegas , transport system remain hit n ' miss . good bet buy day vegas.com trolly / monorail ticket $ 10 , give unlimited transportation strip well mall . regularity bus / trollie leave lot desire . end rent car2007 NYE PARTY : base previous review strip NYE , decide eat Gold Goast purchase ticket 2007 NYE Gala Show . bit desperate ensure managed buy ticket Gold Coast , ticket go sale Dec , Teresa back office kindly reserve ticket ahead public offering - great service staff . for $ 99 head , get open bar night , seafood bar ( oyster & amp ; giant shrimp , crayfish etc ) continious buffet include carvery , sweet world , giant chocolate fountain , free champagne , party favour etc , good Rat Pack playing . Rat Pack cost $ 135 buy ticket see normal venue , package real value money . set 2 giant screen ballroom , opt go outside rooftop area Gold Coast car park watch firework display bring New Year , take drink outside toast NY problem . the firework spectacular , downside 2 set display hidden view Rio Hotel , still manage eyeball other strip . I wear full highland kilt outfit well recieve Americans ( Scots ) night , number people ask ' where ? ' reply hundredth time usually China . would stay Gold Coast ? pool quite small deck area restrict , pool lover , would not stay Gold Coast high summer break , definitely season definitely Xmas & amp ; NYE.I believe Vegas give pay - therefore , want quality budget holiday Gold Coast & amp ; Orelans Sam 's Town ideal . want market , aim Flamingo , Golden Nugget top end , Bellagio , MGM NY NY . 
 Jan 6 2008 	 Gold Coast Hotel Golden 	 Booking problem travelocity : book vacation on - line Travelocity . encounter problem reservation : departure flight midnight therefore , could use last night hotel , computer system automatically book charge we . call Travelocity issue , lose several time transfer agent . needless say , call repeatedly frustrating . want file complaint , agent refuse give we phone number . provide email address us file complaint turn unregistered . hotel : Gold Coast hotel clean good facility people diability . bed soft feel like mattress wrap plastic . also noisy move bed . shuttle run hotel strip require wait 30 min . Grayline Airport Shuttle Service : also book Travelocity ( $ 5 per person way ) . highly unreliable service . shuttle fail pick we hotel last day . call claim come leave 5 min not . consider & quot ; no - show & quot ; , would come . possible wait pickup location 40 minute . ask speak another agent , transfer , hang we . impression happen quite frequently . wait shuttle , tell several time taxi driver shuttle would come . course , first sceptical taxi ompeting business end , prediction true . take taxi airport , take 10 min cost $ 24.50 . 
 Dec 27 2007 	 Heee ha cowboy come ! 	 chance go Vegas free use point airline city light action . week rodeo place Gold Coast Mirage host cowboy cowgirl also raise money cancer , wear pink shirt . we enjoy resturant breakfast food persoanl great . see wild west guy gal make treat . neat look people hat belt real nice shirt . gamble hotel also fair earn alot point gambling slot . clean much local place . 
 Dec 27 2007 	 good bargain 	 upscale hotel , however service adequate want luxury . stay 10 day complaint minor . light small shower area poor . take shower dark . get room low hotel face south , view wall ! like stay strip . use shuttle several time day happy serviceIf return Las Vegas , would not hesitate use Gold Coast . 
 Dec 23 2007 	 nice cheap 	 stay gold coast 4 day september 07 arrive Norway 18 hour journey . Quick check nice room . excellent cheap buffet restaurant . 's gambling hotel quiet room good service buffet . shuttle bus every 15 min Strip . problem water fix minute . recommend ! ! Maylen Erik Norway . 
