Nice 	 hotel normally stay jacked rate $ 200 dollar night - decide look elsewhere . book hotel & quot ; Trip Advisor Deal . & quot ; get room $ 113 plus tax - total bargain city . expect accomodation could marginal price . pleasantly surprised find completely remodel room new bathroom . stay second floor mini fridge private bathroom . front desk staff super friendly . UW side exactly happen part town - hotel conveniently locate next Subway . leave luggage locker first floor check . nice know belonging lock safe finished siteseee ( $ 5 24 hour ) . definately say . btw - breakfast 24 hour Key West diner ( next door ) cheap good . 
 great place stay visit upper west side family 	 hotel clean room spacious well design . visit family city use hotel convenient place sleep . view room interior courtyard , fine quiet . reserve room 2 double bed , upgrade Junior suite . 
 May 29 2008 	 great stay ! 	 not know lucky get huge room , clean , comfortable ! internet $ 5 per day easy working . everything fine price affordable . bravo ! 
 May 27 2008 	 great hotel beautiful Upper West side 	 stay hotel entire week really great time ny.the hotel locate beautiful Upper West side one safe chock - full restaurant , cafès shop find manhattan.the room large compare other hotel stay year NY , , clean . probably highlight room bathroom seem brand new supercleaned . it be easy explore city corner hotel 's stop metro really bring everywhere . there also Duane Reade next door two block leave 's empire diner open 24 hour day . in expensive city like NY , hotel windfall - we will definetely back . 
 May 21 2008 	 Good Deal Rates Peaking 	 hotel good deal rate elsewhere run $ 400 per night . not expect luxury disappointed . get clean room , friendly staff close proximity subway central park . american use sharing bath , & quot ; icky factor & quot ; consider squeamish . think Europeans open arrangement actually healthy attitude . we share arrangement ok couple night would probably prefer en suite long stay . respectable , clean property would recommend want save significant lodging expense . 
 May 14 2008 	 Loved ! back ! 	 friend share room four night . one double , comfortable bed share bathroom . sure anyone else share bathroom though stay ? never see anyone . hotel clean , close subway , bus LaGuardia plethora coffee shop restaurant . well , guess NYC , restaurant everywhere ! first night eat Metro Diver , great service food friend livesnearby agree . great price hotel ! go back extended weekend . New York City usual , wonderful ! friendly people , great food culture ! never NYC , must experience least ! 
 May 10 2008 	 Nice hotel 	 one cheap room . quite small share facility . nevertheless great value money . excellent location , clean room friendly staff . 
 May 8 2008 	 Best Budget Hotel Ever 	 staff phenomenal ! friendly helpful suggestion early check - in luggage storage . hotel perfectly locate . right next w 96th St subway station near Riverside Park Central Park . stay weekend either walk use subway whole time . room exceed expectation ! view room spacious , bathroom clean , bed comfortable , WiFi internet access nice flat panel tv . elevator bit peculiar work fast . stay 7th floor ride room cumbersome . plan stay every time visit NYC . 
 May 4 2008 	 great base shopping 	 Booked Hotel Newton 4 day shopping / sightseeing trip want little bed shower . 4 we book 2 double / double adequate . good sized bathroom excellent shower compare UK standard . bed make towel change daily . ate not make use full sized fridge microwave . also drink machine ice maker 2nd floor internet access ground level . the desk staff helpful give we map direction . pleased find Subway station step entrance express route Times Square ... 2 stop . the Gray Line open top tour bus also stop right outside ... $ 50 48 hour cover Manhattan ... hop hop off . there roadwork outside entrance disturb all . Breakfast Key West Diner next door great cheap compare uk.we eat one night Thai place next ... not catch name ... great cheap food . there also well stocked supermarket behind pharmacy opposite , stock water day out . the door man helpful check 11 am , take case store taxi come 5pm . the hitch language barrier ask fare airport taxi driver not seem understand question doorman assure we would one figure , course ... driver understand we well hand dollar ! ! overall would recommend Hotel Newton economical place rest lond day New York . 
 Apr 24 2008 	 wonderful experience ! 	 wonderful place stay NYC . read review settle Hotel Newton price , close location subway Central Park . first book hotel , receive confirmation number book agent call hotel . friendly desk clerk confirm reservation even email information . we check quickly problem . room two queen size bed top floor lot lot room . bed comfortable , nice firm lot pillow room . Bathroom immaculate ( little small , plenty room one person ) lot clean towel ammenitie ie , shampoo , conditioner etc . stay long would take advantage microwave refrigerator room . the Key West Diner adjacent hotel - great price lot tasty food . open around 6:30 11:00 pm . the problem hotel 's fault . city tear street front hotel , jackhammer work begin 5:00 startling wake call . remember , always construction do NYC . Central Park 4 blook away subway less block away . convenient , especially night . the staff invisible unless need - professional gracious . go baseball game day check not mind hold luggage game - 4:00 pm . overall , would definately stay . 
 Apr 20 2008 	 Loved Hotel Hate Expedia 	 review experience EXPEDIA , book hotel , hotel . room EXPEDIA book small literally room put suitcase , except closet , fit end - to - end , access content . guess could call room & quot ; 3 - stepper & quot ; , 1 step bed , 1 step bathroom 1 step closet . add Expedia price $ 230 night . complain front desk staff advise hotel completely book , possible would upgrade morning . speak Expedia , defend room , concession would make credit $ 50 entire stay , notwithstanding fact price pay $ 50 hotel rack rate ( discover extend stay ) . morning , manager graciously upgrade large , nicely appoint room could thoughtful , helpful apologetic , although tell original room & quot ; Expedia room & quot ; regularly assign Expedia customer . sum , LOVED HOTEL would never book Expedia without contact hotel first obtain onsite description room would get . 
 Apr 14 2008 	 Loved Newton ! 	 family four stay April 7 - 11 . room clean surprisingly large . queen / queen plenty room four we . shower small window different us - nice . front desk staff helpful check in / out parking breeze . would strongly recommend hotel plan stay . 
 Mar 27 2008 	 Convenient college visit 	 son New York City visit two college , need place stay convenient least one subway . Hotel Newton work perfectly , be short ride north Columbia . subway entrance block , be Starbucks across street , entire city full dining option front . room clean could , frankly pleasant expensive chain hotel stay NYC past . room two twin bed private bath $ 150 night , include new flat - screen tv bathroom appear recently renovate . staff pleasant helpful , give handful map put use right away . able stow luggage luggage room follow checkout not drag around city . will return next time NYC , maybe visit college kid ! 
 Mar 1 2008 	 Amazing ! ! 	 first holiday take without parent expect quite nervous alone NYC one friend , staff amazing extremely helpful ! give we advice subway train catch go place good eat ! problem book room 2 double bed arrive find one double , switch we next day room available ( although time switch we could not understand entry card would not work old room 's door ! ! ) even move stuff put exactly place room , even toiletry place bathroom ! ! strongly recommend place ! ! 
 Feb 19 2008 	 fine except cigarette smell ! bring earplug ! 	 though reserve nonsmoke room , hotel claim , smell strongly cigarette smoke . since allergic smoke , bother . due fact late check , room offer we . course , room loud , due proximity street , bring ear plug ! ! ! room large , decent size bathroom . odor , appear clean . lobby right subway entrance 96th street station . make convenient , usually panhandl evening . hotel not much way amenity , look place lie head smoker , decent place stay . decor motel 6 kind tackiness , outdated . 
 Feb 14 2008 	 great location reasonable - love Newton ! 	 get back 3 day NYC stay Newton . second time ' ve stay would go back without hesitation . reasonably price hotel New York immaculately clean . room huge New York expect . comfortable tv , fridge microwave . hotel location fab subway station right outside , times square 2 stop away . central park also close - 5 - 10 minute stroll away . next door Newton key west diner great breakfast , also good thai restuarant couple door . actually load place eat immediate vicinity there s something everyone . love time Newton recommend anyone go New York budget . 
 Feb 12 2008 	 clean nice price . 	 book hotel website . $ 99 night - cheap NYC . 3 city trip daughter audition music conservatory NYC , Boston , Ann Arbor . tight budget need simple room rest head . totally fit bill . keep mind single share bathroom price . room small , fridge , microwave , flat screen tv , dresser closet . clean . problem share bathroom - always available always sparkly clean . lot food place nearby 1,2,3 subway step away . be rate 1 star , would give least 2 star . be high maintenance people not really test staff , always friendly enough . downside - room get really hot ! near record cold winter open window . go summer , sure get room air conditioner ! also , elevator slow ... take stair time due . 
 Feb 8 2008 	 great inexpensive hotel ! 	 decide choose Hotel Newton due 's great review site . impressed ! stay Hotel Newton 2/5/2008 - 2/7/2008 room 2 single bed private bathroom . cost great . pay 95 per night hotel 's website ! room clean , bathroom . staff great location perfect . locate two subway station , starbuck , bank restaurant . be expacte great view hotel might dissapointe . room bit small remember 2.5 star gurantee make difference . 's New York City spend 80 % day outdoors ! 
 Feb 7 2008 	 clean quiet cheap 	 stay Newton 4 night December quite please overall experience . room small clean well furnished . microwave , refrigerator , small desk , admittedly , almost impossible sit due close bed . the location nice , get midtown madness , decent restaurant nearby . great proximity park well . would problem stay , especially budget tight . 
 Feb 3 2008 	 GREAT value 	 stay Newton Hotel 6 night 19th Jan . room large ( double / double ) clean ( bit old fashioned care ) . bathroom looks recently renovate . staff always pleasant . get around city find great . subway 30 second walk away ( easy use ) . two stop 5 minute totime Square express train ( no.3 ) also get 1 & amp ; 2 train , take 10 - 15 minute . never wait 5 minute train . diner one side hotel pharmacy / shop . area great stroll around always feel safe even subway 7.00am . one tiny nitpick coffee maker room , use go get cup go diner not major issue . 
 Jan 30 2008 	 Great NYC Choice 	 really enjoy stay . book twin / twin good - sized room two twin bed , microwave , refrigerator , flat screen tv . bathroom small new clean . room bathroom redone year half ago everything fresh clean . the Hotel Newton locate real neighborhood Upper West side . subway next block m104 bus run Broadway . many dining place nearby , drug store end block , coin laundry around corner . I not view window look back building probably good thing room quiet . little room room noise . other mention , one elavator pretty slow . possible problem mattresse firm guess good posture . I will definitely return Newton real bargain hotel expensive city . 
 Jan 27 2008 	 Loved Newton 	 old lovely clean hotel . staff always pleasant helpful . great area away madness Times Sq . subway easy use 30 second walk hotel . diner one side hotel Pharmacy side . negative thing could say hotel heating noisey get hot coffee maker room ( though end world , go get coffee next door diner ) would stay would recommend friend family . 
 Jan 23 2008 	 easy get downtown 	 travel Europe hotel heaven . delightfully clean . spacious . everything work . enough handy delis diner breakfast meal . Central Park withinn walk distance . maybe bit far town , 96th St subway 100 metre away express train take one stop Times Sq ( 42nd St ) way downtown want . great get around without car . 
 Jan 21 2008 	 Nice Room 	 stay 3 night Queen - Queen Room top floor . stay back 2004 remember hotel clean room small , prepared small room .... ! queen - queen room really big . room fridge , microwave , dresser 6 big drawer . bathroom hair dryer . Closet 10 hanger plus iron ironing board . room clean even though room face Broadway , not loud . time hear neighbor early morning ( 7am - ish ) move could hear say - general noise door opening / closing . shower clean not show sign mold . bed pillow really firm find really help walk around day long . check - in check - out go pretty smoothly . subway stop less 2 block away plenty place eat drink nearby . the downside : one slow elevator , room hot . sleep window open still warm . way control heat setting room . would definitely stay base recent experience . 
 Jan 16 2008 	 nice room great location 	 family 4 stay 3 night Newton & quot ; Queen Queen Deluxe & quot ; room total cost $ 410 . room spacious include reasonable sized refrigerator handy microwave . tasty microwaveable meal could buy diagonally opposite & quot ; Gourmet Garage & quot ; . plenty reasonably price restaurant nearby . although breakfast , refrigerator make easy we cereal milk room , could microwave frozen pancake etc something substantial . hotel 50 m 1 , 2 , 3 subway line , 2 3 express train stop . express get hotel Times Square 10 minute ( 2 stop ) .We would definitely stay . 
 Jan 9 2008 	 Disappointing 	 pick hotel proximity Columbia ( usually stay midtown Upper East side ) . hotel lack charm seem good deal price . hotel small lobby area check - in counter not invite miss nice continental breakfast place snack coffee . also , claim AAA hotel would not honor AAA card give we AAA discount reserve room online - online price pay 100 % high quote hotel brochure ! plus room perfectly clean block metro , easy get NYC - Midtown , SOHO , etc . consider though , would not stay . 
 Dec 29 2007 	 overall ok experience 	 nice hotel nice location . three girlfriend stay December 19 - 21 . rest trip two day upstate wedding , two day back city Sheraton . although , must admit previous review throw bit make reluctant stay , definitely glad would . hotel staff courteous glad help . upon arrival , upgrade room floor want two queen sized bed . fact give good information time show even help we find ticket Clash Choirs . view room beautiful room clean spacious . microwave , mini fridge , flat screen , desk , side table , private bathroom , could still move around find case later stay Sheraton . great little shop grocery store right next door , well cute diner good food deliver room service ( cheap , ) . first night walk broadway three block little pizza restraunt get one huge slice 12 oz drink 3.75 . overall , complaint . beds e x r e e l stiff , friend assure good back ( haha ) . elevator really tiny really slow , four us one - bag - of - luggage - each vacuum seal inside way top ( 9th ) floor . two thing surely bad enough merit terrible review , however , morning check heater basement catch fire send four we scramble dress even pull one girl shower . thankfully heater basement take care quickly , smoke billow way floor hear siren saw / smell smoke fume hear smoke alarm , not even go floor go back room , several floor not even evacuate , serious issue due size hotel fact fire fire . 
 Dec 19 2007 	 Great Location 	 4th trip NYC . always stay close Times Square , go Neil Young concert United Palce Theater B'way 175th want something close . loved hotel . originally room w/ queen , upon check - in front desk give we room ( 504 ) 2 queen huge ! maybe tell husband 's 60th bd . love Upper West Side neighborhood . key West Diner 's sister City Diner fabulous breakfast . Lemongrass Grill Thai Restaurant right next door also great . never step foot cab , feel like become pro subway . Christmas light spectacular . can not wait go back time year . 
 Dec 15 2007 	 Good Hotel Budget 	 hotel nice great area . bit far Time Square ( 20 minute subway ) immediate area everything need - good shopping lot great place eat . guy work front desk not know much city . not ask question info give we always wrong . ( tour time , hour exhibit etc .. ) 
 Dec 10 2007 	 Perfect hotel city break New York 	 return trip New York stay Hotel Newton 5 night . thankfully previous positive review correct - hotel warm ( essential seeing though freeze outside ! ) , clean , well present close 96th street subway station . room share bathroom prove problem . bathroom always clean available want use it . there diner next door want cook breakfast hotel supply full size fridge room buy cereal nearby 24 hour supermarket eat room . I would hesitate stay Hotel Newton would certainly recommend friend family . 
 Dec 4 2007 	 Great Place stay 	 great hotel stayFor rate get could betterquiet clean room equip need even flat screen tv iron ironboard friendly receptiongreat place stay - metro station right front hotel 
 Nov 12 2007 	 Excellent NYC hotel 	 search trip advisor reasonably - price NYC hotel since hotel usually use book . find Newton book , later find Hotels.com low rate rebooke hotels.commy husband frequent NYC visitor stay many different hotel . look budget hotel spend little time room stay . location important we . Newton Hotel locate 96th street express stop Red Line subway . express train , two stop Times Square theatre district . the room almost spacious compare average NYC budget hotel room . queen bed , desk , brand new refrigerator microwave , closet , could still walk around ( always case ! ) .The bathroom beautiful pedestal sink , terrazzo tile , ever - popular curved shower rod . we extremely please hotel definitely consider future . 
 Nov 3 2007 	 good location 	 hotel room small clean comfortable ! great location . be quite nice , safe neighbourhood - subway right outside hotel 42nd Street / Times Sq 5 min express train ! ! cafe next door great food good price ! however , staff not friendly ! hardly get word ! ! 
 Oct 30 2007 	 reservation lose ... sol ... 	 Booked hotel 's website ; receive e - mail confirmation number . call night arrival question . 's record reservation , room available . offer help find another room somewhere . & quot ; sorry , call back tomorrow . & quot ; FWIW , get great rate . management , would not hesitate give great rate either , especially since not need actually give room . 
 Oct 24 2007 	 comfortable time Newton Hotel Oct 	 stay 17 Oct 3 night husband 2 teenage child . initially desk clerk say booking make agent 2 double room although ask 1 double 1 twin . matter , sort quickly although 2 floor apart room real check - in time 1400hrs . room small expect NY , comfortable clean bed well stock clean bathroom . rom fridge microwave handy . also , room clean every day . desk staff friendly helpful give we map subway , bus give general travel advice . hotel quiet location 10 min 2 stop subway Times Square . stay NY New Yorker W34th street traffic honking in - your - face Newton location welcome change . we love Key West Diner next door reasonably price large breakfast . fab fresh fruit salad juice takeout . cost airport cab go airport flat fare come aware . pay US $ 70 ( tip extra ) get Newark worth 4 people although bus / train might bit cheap . all great stay . much well New Yorker staff unfriendly unhelpful hotel generally grotty . would recommend Hotel Newton people look reasonably price hotel quiet location easily accessible centre town . large room high luxury would come much high cost . would definitely go back . 
 Oct 24 2007 	 gem hotel 	 stay five night September really please everything . the hotel staff friendly helpful . room small big enough we , fridge , microwave , iron ironing board , flat screen tv load channel . the bathroom clean well stock toiletry . room really clean maid come every day clean . thing would mention towel bathroom big , not major issue . there subway station minute walk hotel 2 3 train frequent . for price pay hotel really great bargain much well hotel ' ve stay NYC , definitely stay next trip . diner next door really good room service . I really would recommend hotel . 
 Oct 20 2007 	 ok couple night ... small 	 wife stay two night . cross whole country four week stay NYC another week . arrive early , need hotel two extra night find Newton . the price ok , course be NYC , expect high rate anywhere else . the Lobby look nice check quite early , around 10 am . great , could enjoy whole day that . the room get small . course , NYC small room , everybody go anyway , nobody stay room , except sleep . room really small ! ! nothing complain cleaningness . clean room bathroom , look renovated , like room . it also come fridge , microwave flatscreen - tv . nice . bed alright . the Hotel Broadway , quite north , close subway . night 's get quiet , little quiet we . not look dangerous , somehow like 's people street . some front desk clerk little weird . nothing serious , could well . althogether good hotel . three star location room size average . Wan na know trip ? route66traveler.jimdo.com 
 Oct 14 2007 	 everything expect budget hotel 	 dad visit New York 2006 love much , decide go . look simple hotel low price choose Hotel Newton . the hotel everything expect budget hotel , nothing , nothing less . room simple , clean tidy . bathroom look good ( renovate ? ) bath / shower combination excellent . sleep well since stay day want spend much time possible walk street NYC really not need luxurious hotel . the possible downside hotel 's location . 's locate 96th street quite bit outside heart New York . excellent public transport however , feel significant problem . overall enjoy may stay Hotel Newton . not special , consider low cost content . 
 Oct 12 2007 	 great stay 	 well forgot write review hotel stayed , figure well late never . must say mostly everything say hotel true . I like middle hussle bussle midtown Manhattan , far ( train bus ride away ) . ( suite type ) double bed room bed comfortable . room bathroom clean . the bathroom little small side , seem probably remodel recently nice fixture , clean sink etc . like light brown , granite look color . room also micorwave mini fridge . problem room ( suite -type room fridge microwave ) face Broadway ( main street ) even though stay much noise . think area upper east west side get much noise , something keep mind . front desk staff ( Emilio ) everyone one else nice helpful . housekeeping ( state ) nice helpful even though speak much English . the elevator ( two ) slow think 3rd floor often take stair down . there Key West Diner next door great breakfast ( large amount food money ) .There lot shopping area ( walk distance ) rite aid , Starbucks , McDonalds also think Duane's . and bus train station within walk distance . there pool etc need nice , clean ( likely ) quiet room consider hotel . also plane Laguardia easy get flat rate cab fare back airport . think $ 20 - 30 dollar . I return hotel area need stay New York . 
 Oct 6 2007 	 happily surprised 	 stay Newton son 's college graduation pleasantly surprise . pay $ 94 night , share clean bathroom hall . room recently redo nice . drawback houskeepe staff friendly speak spanish limited vocabulary , reward try fresh towel . & quot ; lloave el bano & quot ; , dry pantomime husband say look like request drug fix ! would reccomend unassuming little place anyone , easy access anything need , great restaurant next door . 
 Sep 14 2007 	 neat small ` ` boutique '' type hotel 	 surprisingly nice , well locate small hotel Broadway reasonable rate . nice little lobby couch chair , connection computer , etc . our room small chain standard , clean . contain desk chair & amp ; chest drawer . microwave oven , refrig , coffeemaker provide . also A / c , iron , iron board , hair dryer nice toiletry bathroom . consider price , could beaten location . right outside door small Zagat rate restaurant , market , drug store corner subway stop half block away . ' City Tour ' bus also stop less block away . the desk clerk friendly helpful . Bellhop available help baggage . downside small elevator ; slow . 
 Sep 7 2007 	 great value money great location Clean ! 	 stay Hotel Newton 5 night . good value money comparison hotel . worried right Center NYC , not , subway station like 1 minute walk away $ 2 get pretty much anywhere NYC Brooklyn really easily . plenty shop area need get anything i.e . rite aid Duane reade right next door really handy . Central Park block away nice walk get downtown . all room hotel update nice standard Hilton room . stay twin bed room , nice size clean well day . nice empty fridge room useful store food water . nice see fridge be not stock over - price mini bar product never really go to use . hotel hallway could update whole hotel really clean . staff friendly help we plan visit around city also book taxi us airport . it pointless spending money get central location quick subway get wherever want kinda nice quieter place go back sleep . I would definately reccomend stay Hotel Newton really good value money great location ! ! ! ! ! 
 Sep 5 2007 	 Fabulous Stay 	 son stay three night Hotel Newton . comfortable . bed firm . bathroom look like brand new , beautiful tile two shower head . flat screen tv lovely . fridge microwave come handy find grocery store 1/2 street towards park . restaurant beside hotel give mega portion not order - food super . friendly area , one evening resident walk we favourite Italian Restaurant . bus subway practically doorstep . would highly recommend would first choice next time ' m NYC . 
 Aug 17 2007 	 Excellent ! ! ! 	 reservation , checkout , hotel FANTASTIC . room big ( family 4 ) , never issus , front desk staff helpful direction , shop question , hail cab . would strongly recommend anyone stay future . great place , UWS , away hustle bustle , still accessible everything . subway block away , everything easy get . great job staff . thank great weeklong stay ! ! ! 
 Aug 13 2007 	 Thumbs Hotel Newton 	 be visit New York tourist need base frill ( spend five night ) , hotel adequate provide good value money compare centrally locate Manhattan hotel . the room ( choose suite family four ) clean provide sufficient space . despite locate Upper West side ( 10/15 minute walk Central Park ) , closeness 96th street subway compensate - ride take 10/15 minute ( depend whether get express train ) reach 42nd street ( Times Square ) beyond . the Key West Diner , locate next door one , provide convenient place get breakfast / food evening require . also restaurant within couple block . would definitely stay visit New York future . 
 Aug 12 2007 	 quirk 	 's probably good area check website book .. search various site determine website good rate know vary size NY room call ask good size room .. tell queen fully book date .. disappoint go back site easily book queen room HOWEVER room tiny ask front desk large room rate tell twin double bed ask one hotel fully book .. yet next day wifi would work room easily move another small queen .. still one well value NY .. bathroom superior .. next door eatery place avoid .. like upper west side wat close Barnard Columbia worth look .. every thing else within subway stop 2 much expensivedon.brown @ brownchild.com 
 Jul 28 2007 	 surprisingly nice ! 	 return home 3 - night stay Newton impressed accomodation . first , able check early , rare NYC . double room 2 single bed , small side , appear recently renovate . nice lighting , refrig / micro , new AC clean . bathroom also newly do , well lit plenty hot water . 6th floor take stair , elevator . wait time elevator bit tempermental . staff encounter nice friendly . complaint smell towel - almost ike drycleane scent . worse however , overall smell NYC 95 + degree heat wave encounter ! stay hear , although , ' m sure price increase due renovation . 
 Jul 26 2007 	 Great Hotel Upper West Side 	 12 - year - old happy hotel . room ( two twin bed ) , # 310 , corner room third floor , would say European - sized . perfect we pretty much sightseeing day . large mini fridge microwave . AC work great . son love flat screen tv . bathroom newly remodel . hear guest . quiet . metro station couple step away corner 94th & amp ; Broadway . 's small market corner drug store nearby . great location . definitely stay next time ' m New York . 
 Jul 13 2007 	 Suites definately ' budget ' 	 stay 3 night Junior suite Newton Hotel June 2007 . shop around online trip find cost Junior suite Newton similar regular room centrally locate hotel . 3 day part long trip USA , fair amount luggage not want cramp . opt Newton disappoint . room two large double bed spotlessly clean . bathroom fully tile seem newly do , spotlessly clean . addition kitchen area fridge , sink microwave also dine table two armchair . exactly cook , handy cool drink bring back snack . air conditioning work well though bit noisy fairly normal experience . load room despite plenty luggage we . in term location hotel fair bit city centre , probably far walk , subway 1 minute door take 5 minute subway times square . day ticket cost around $ 7 great hardship . area quiet disturbance unlike central hotel would imagine . short walk across central park immediate area around hotel pleasant cafe 's shop feel safe . can not comment regular room see inside one , reception area pleasant clean , though hotel not look much outside . look centre action probably not hotel . want bit space quieter location cost , not mind short subway taxi ride Newtons Junior suite definately good option . 
 Jun 22 2007 	 true gem 	 stay 3 night Newton happy . little worried hotel bill & quot ; Budget & quot ; hotel , far anything budget . reserve single room upon arrival upgrade give twin . room clean furniture carpeting excellent condition also bathroom large . a / c work great fridge microwave room . also subway door neighborhood ( Upper West Side ) really nice . please dis - regard previous comment hot water elevator , 7th floor not wait long hot water 1 elevator never wait long ( even peak morning/ evening hour ) . stay high class hotel New York far good . 
 Jun 11 2007 	 ideal choce sightseer 	 Ideal hotel sightseer , do not spend alot time yourroom , clean somewhat date place , problem room noise heating system ( december ! ) day night walk sidewalk sightseeing soon go sleep despite ! ideal place stay sort holiday , would definately go . 
 Jun 6 2007 	 Horrifying 	 ' m sure start will try . first thing notice elevator extremely slow . room smell disgusting look depressing . carpet old . airconditione although make lot noise througout night , really work well . father itching night something none we could figure besides maybe fact sheet do not look especially clean . judge review sight , think might bitten bed bug well . can not think one positive aspect hotel besides cheap place time . family favor stay away . gross . 
 Jun 5 2007 	 double check reservation . documentation 	 stay 4 night hotel find quiet clean conveniently locate far subway concerned . problem first night arrive book 3 room us 2 . staff absolutely help . fortunately 2 party know friend Columbia stay . next day different hotel staff member tell we find miss room point bit late . bottom line .... book hotel directly phone make send kind documentation . rely correct get . problem might find help end . 
 Jun 2 2007 	 Great Budget 	 stay four night Newton visit Columbia University . First- Newton BUDGET hotel . get plush extra get high price hotel . say , think great price pay . pro : clean room , roomy budget hotel , refrigerator microwave include ( real plus ! ) , friendly staff , super location- within walk distance restaurant , market , subway . also charm character old hotel . bathroom remodel date , nice . con : one slow elevator , comfy bed . also , be high floor , take show minute warm . would get , turn water , get thing together , etc . time ready shower , would warm . get warm shower great . would recommend hotel anyone not fortune spend , could give plush extras expensive hotel afford . 
 May 22 2007 	 Dorm Atmosphere 	 disappointed hotel . get good press expect nice . room clean location good floor room noisy night long room dark . desk staff unhelpful unsympathetic . room good value . ' ve stay New York City hotel rate much satisfied . decide give one try base review . want keep awake night long loud partying could rent dorm room lot less money . 
 May 20 2007 	 Adequate budget hotel nice neighborhood 	 need hotel convenient Columbia University , unfortunately , not many choice . Newton look like good bunch , overall , deliver . I book junior suite extra roominess . come two double bed refrigerator sink . bathroom fine , although shower divide rest bathroom shower curtain , end wet entire floor . ( judge photo site , bathroom not design way . maybe 's suite . ) bother stand sink floor wet , bring flip flop . everyone say towel true -- be little big hand towel . management may try save money , not think towel would skimp . unfortunately , room look adjoining building rather street , little natural light . bright spring day , turn light . room depress dark , not help dark carpet furniture . result , spend little time possible . have know advance , would book regular room save bit money . I like neighborhood far expect . 's ( relatively ) quiet residential area nice restaurant . recommend Aix Brasserie 88th Broadway , restaurant Amsterdam Avenue also look interesting . this hotel fine money . want place lie head , quieter neighborhood 's still convenient rest city ( thank excellent 1,2 , 3 subway line ) , could bad . P.S . people go downtown sightseeing . be Civil War buff , go Riverside Drive around 122nd Street look Grant 's Tomb . 
 may 11 2007 	 clean small adequate . 	 husband stay Newton first week May 07 . small clean room new furniture appliance . weshared bathroom one another room . bathroom 6th floor seem newly renovate . small clean new . times bathroom occupy particularly morning people take shower . inconvenient enough pay extra private bathroom . location great near good restaurant . theatre concert performance across street . check . hear fabulous jazz concert one night . would hesitate recommend hotel . 
 May 8 2007 	 Great Hotel 	 stay Hotel Newton recently ( 10th - 15th April 2007 ) wife 11 year old daughter . excellent room , large size , two double bed great bathroom . walk distance Central Park . subway station entrance 30 second walk away -Times Square 5 minute Express Train . plenty restaurant vicinity Hotel . quieter area Central Manhattan nice go back hustle bustle day . would recommend Hotel anyone think go New York . price low compare hotel time year ( Booked CITY & amp ; SHOW website ) . 
 Apr 10 2007 	 great friendly hotel . fab room . 	 four we ( USA virgin ) , book 2 double room , read someof previous post e - mail ahead confirm hadroom book , manager reply promptly disappointed ! massive room 2 king size bed . well furnished . great shower , ( weird bath we Brits though ) . extremely clean everywhere see . friendly staff grade unfailingly helpful . great diner next door . easy get everywhere local subway . Central Park within easy walk distance . see beggar locally though see couple downtown . would recommend hotel anyone want place sleep comfortably theyget back hard day sightseeing . PS Lift slow see MUCH bad UK ! 
 Apr 3 2007 	 Bedbugs 	 husband stay Hotel Newton -- room 711 -- night February . immediately upon return , begin experience bites night bug ... week two eliminate possibility ( flea bite , spider bite , etc . ) become clear bedbug . clincher tell - tale little red dot blood sheet morning around ankle shoulder ( although many bug bite night , one symptom particualr bedbug : apparently often like excrete blood even feed ) . home exterminated throw away bed , bedside table furniture . bedbug infestation somehte want mess around ; always err side caution bedbug incredibly difficult get rid also incredibly disgusting . although ordeal cost we $ 1,000 far , fact blame hotel : bedbug become wolrdwide epidemic hotel virtually powerless anyone else eradicate . : ( guess say traveler beware ! 
 Mar 25 2007 	 Great Hotel 	 stay Newton 18th 22nd March 2007 pick hotel base review Tripadvisor . arrive Sunday evening four hour delay flight . allocate room 9th floor 2 single bed even though book double . call reception advise double room small room decide keep original room . convince correct however give delay flight could put single bed . room clean bathroom great shower look like recently renew . hotel safety deposit boxs not cost anything use . room store luggage locker minimal charge really great give flying evening . hotel one lift not great room 9th floor would not put stay . fantastic cafe / bakery across road call Europan really well price great food service . subway close hotel 10 min Time Square . lot restaurant near hotel , McDonalds , Starbucks Dunkin donut . thing not like alot beggar area . stay New York three occasion first time really notice beggar . want clean hotel happy travel subway would recommend Newton would return . 
 Mar 15 2007 	 nice quick stay 	 stay first two day two week trip NYC . arrive early fortunate enough give room immediately . staff friendly hotel neat clean . expect small room describe previous review Tripadvisor surprise . hotel bit remove main attraction subway less block away make . room , though small , fridge microwave oven include . good value money . 
 Mar 13 2007 	 nice cheap hotel 	 stay Hotel Newton 5th - 10th march . arrivival first book room # 201 . small simple clean room . not like view irritate noise airconditioning , try get different room . problem . allow go see room # 914 statisfied , could get even price . credit great service ! pleasantly suprise room . also little bit small , Samsung flatscreen tv , even refigirator microwave ! ofcourse take . enjoy stay lot . subway get Times Square 10 minute , Starbucks 24hour shop around corner , ' ve get need within handreach . thing thin wall : every morning wake ( bad ) sound music instrument . probably people perform theater opposite hotel . nevertheless really enjoy stay Newton . fact , later year go back ( temperature little high ) try get room Newton . 
 Mar 13 2007 	 Great Hotel 	 return woman 's trip NYC . Stayed Hotel Newton 2 night . great experience . staff wonderful . arrive 9:00 Saturday hope store luggage hotel check - in time . desk attendant check see room available could go ahead check . even upgrade room junior suite without ask . able go upgrade room immediately . room comfortable plenty big enough 4 we . small kitchen perfect Zabar 's take meal evening dessert . subway line 1/2 block away . neighborhood nice - close good restaurant . definitely stay ! 
