bad 	 stay hotel good review . check get room bathroom mess . toilet use , stuff lid toilet flush . almost get sick . call front desk ask someone clean up . some one clean . also ask supervisor one show 's . supervisor manager even call I . my husband tired flight , would leave place . definitely would recommend place anyone . 
 Nov 15 2008 	 Great locationfriendly staff 	 stay Inn Chicago November 1st - November 8th 2008 find stay rather pleasant . the Inn could not position well location right Michigan avenue whilst also within short walking distance Navy Pier , Grant Milenium Park loop downtown attraction . directly outside hotel new tea room call Argo Seven Eleven , Dunkin Doughnuts burrito place open 24/7 well Popeyes Subway handy want pop food evening main resturant close night . the near cta line red line minute walk along E Ohio Street Grand / state station serve Union Station southern area . the hotel coffee / food vendor lobby well cool Inn Bar lot area sit use wireless internet relax evening nice , never get try rooftop seat area close construction stay sound I m sure would nice view city Michigan avenue . I find room basic clean spacious , nice work area desk laptop good room include free wireless internet coupon give upon check well tea / coffee facility , iron / ironing board , hairdryer etc lot cable tv channel . the bathroom clean spacious large bath / shower combination well large old fashioned look sink nice boutique touch room , also include usual hotel amenity shower gel , soap , conditioner etc . I manage get quite reasonable rate hotel could not ask well location especially since walk distance Barack Obama election rally grant park incredible attend serve major hub citys attraction option walk major transport link usual Coach USA , Gray Line , greyhound trolley tour city . my final view Inn Chicago basically look clean , basic , reasonably price hotel perfect location city attraction enough room facility keep tick rainy day lot option eat nearby well family friendly I m sure love stay . 
 Nov 13 2008 	 so - so 	 stay two night professional conference . check - in take awhile , receptionist harry keep ask people behind we line could help throughout check . bathroom tiny - hardly space toiletry . towel rack wall foot bathtub , inside shower curtain . bathtub drain slowly vent fan bathroom . bed comfy enough . corner room ( # 1401 ) , room big , lack ample table space , would ' ve nice already too - small bathroom . read review , decide bring fan help block noise night really help since ice machine right outside door . tv remote not work properly . agree save grace hotel 's great location Michigan Ave . room ok major issue bathroom - ' m sure result historic inn . next time will stay elsewhere , especially be tab . eat West Egg Cafe around corner , pretty good diner - type food starbuck next door hotel . 
 Oct 27 2008 	 Excellent ! 	 husband accidently end . sure ' ve book Best Western River north ( Midashotels ) , location interesting free parking well . arrive , tell book Inn Chicago , well western past . free parking , disappointed , last saw room . nice , clean large enough . location even well good western book . step Michigan Av much close lake . begin Route 66 journey , spend entire day Chicago . walk hotel Lou Mitchell be via Michigan Av . head toward lake stop Sears Tower way lake . walk way Navy Pear head back hotel . evening go Hard Rock Cafe , walk distance dinner thai restaurant , not remember name , far hotel . love chicago much , 's good chance go back see little city . absolutely stay Inn Chicago , even pay 35 $ day park car . 
 Sep 28 2008 	 bare bone get - place suck . 	 stay recently renovate executive queen room . floor bathroom filthy , room unbelievably small barely room walk around put suitcase . one plug - in bathroom internet access complicated mess - give poor instruction front desk connect . location save hotel convenient everything . 
 Sep 27 2008 	 great location average hotel . 	 recently stay Inn Chicago attend conference list one conference " host " hotel . time book hotel lot choice pick Inn Chicago location look great , Michigan Ave . read review expect much . upon arrival bell man , stand outside stand look , offer help bag open door help . lady front desk able check early . professional overly welcome friendly . room 1719 , small window face hotel behind wall . air conditioner old window unit , loud hard regulate , either warm cool . curtain hang right unit partially cover vent , allow light come . closet room narrow armoire hanger also hold iron board iron . nice sized desk , pay $ 9.95 per 24 - hour period use wireless internet ( free lobby area ) . bed comfy room clean . yes bathroom extremely small . large bathroom cruise ship ! make bad ridicule " attempt hip " sink take little space make set toilet tricky maneuver ! restaurant , hotel little coffer shop connect lobby . Dunkin Donut starbuck right around corner , 7 - 11 across street . never find place eat real breakfast near hotel last day , West Egg Cafe block away Fairbanks . vend machine hotel , ice machine hide end hall , one floor work . concierge lobby day suggest local restaurant sightseeing tour . hotel fine look good price hotel central location leisure trip use hotel place sleep . would recommend business travel . 
 Sep 22 2008 	 decidedly ` ` eh '' would stay elsewhere next time 	 stay attend conference Chicago . location hard beat , 's say hotel . amenity service almost non - existent . breakfast ( restaurant , even ) , free in - room internet , fitness facility ( need pay $ 5 / day walk three block Doubletree ) . could not even find ice machine ! go hotel bar ice . bartender begrudgingly fulfil request wineglass ( & quot ; give , never come back . & quot ; ) supposedly part - time concierge , one never seem desk . my bed comfortable , room clean basic . complaint . air - conditioner , however , horribly loud cycle every 10 minute . could run night sleep . bathroom ridiculously small , sink place partially block doorway . also mold wall ceiling . I not problem check - in staff , find bellhop helpful . all , would not stay . 
 Sep 2 2008 	 everything great ! 	 location great , close central shopping district short walk Old Town , Near North Millennium Park . hotel service friendly helpful , check - in fine . room standard size ( double bed room ) super comfy bed . also - GREAT rooftop deck seating take view city . beautiful view , especially night . overall , great hotel someone look average luxury hotel fun , easy stay Chicago . 
 Aug 25 2008 	 disappointing ... 	 come Chicago one staff trade show Navy Pier . hotel list hotel package , great picture room talk million dollar renovation . think would nice change stay ' boutique ' hotel instead usual Sheraton , Hyatt , etc . boy surprise arrive ! location awesome check - in staff terribly rude ( happen customer service training ? ) . appear lot people hang around lobby ' friend ' staff . get elevator feel claustrophobic wonder would ever reach 5th floor . get room , wonder million dollar spend ( maybe prism front window diamond ? ) . room bathroom smallest have ever seen - make european one look huge ! window air conditioner noisy ( yes window air conditioner ! ) , window not wash l - o - o - o - o - n - g time lock adjoining door not work properly . immediately call downstairs ( trying find another hotel area could take we ) check . surprise - meet friendly voice apologize inconvenience wish good stay Chicago . leave go street 4 point Sheridan Rush Street . staff awesome , hotel exactly would expect downtown Chicago expensive . 
 Aug 19 2008 	 great location bare bone accommodation 	 Chicago expensive city , leave last minute book hotel August vacation , mistake make . downtown hotel anything close reasonable price family four Inn Chicago $ 200 per night . sum , get clean room comfortable bed , nothing else . hotel long time almost amenity , one . in - room coffee , newspaper , breakfast , in - room internet access ( unless want pay extra $ 10 per day ) . free WIFI available lobby . bell staff extremely helpful pleasant , lesson front desk staff take . not rude , exactly , cold helpful . would stay pinch find year . 
 Aug 19 2008 	 Fantastic Hotel Weekend Get - Away 	 friend check Inn Chicago Friday evening one night stay . love hotel ! check around 6:30 p.m . lobby gorgeous chic fun . check - in fast two gentleman check we efficient friendly . ( couple good laugh . ) ' m pretty sure give we upgrade lovely corner room excellent view city . ( one side city view , side 's view pool level hotel next door . ) room nice , simple stylish decor , much roomy thought would accord review . ( may corner room . ) bed comfortable bed pillow soft comfy . complaint . bathroom admittedly small 's small ' ve - really cute ! ( tall friend come close knee hit sink vanity toilet , contrary review . ) terrace 22nd floor cool , give great view Michigan Ave . although close 10:00 sort understand , really think open 24 hour . say close 10:00 , friend 2:00 a.m. door lock . ( FYI ) location excellent ! really feel be right heart action . be half block Michigan Ave . three four block el 's red line . lot great restaurant store nearby . eat breakfast West Egg Cafe close yummy . Navy Pier much within walking distance . ( sort run accident ' m sure many block ... not seem like long walk . ) one week might pushed endurance small bathroom , think location would probably help make . ( grant , hit city not spend great deal time room . ) weekend , would hard time beat price , location , quality . 
 Aug 11 2008 	 horrible service ! ! ! ! ! ! ! ! ! ! 	 starter would never stay hotel ever . go check Friday afternoon 1pm not end get room 10pm night . keep give handful customer excuse room not ready yet need clean cleaning staff go home night . 7pm night ! ! ! ! people day ? ? ? ? ? ? ? ? ? suppose get 2 room 2 double bed give we 2 room 1 king bed . sleep three people bed .... ton fun let tell ! bathroom size small closet toliet seat dry paint glue stain , mention mold shower . receptionist name Kathy probably rude woman ever meet . look like sweet grandma not let fool . turn back walk back office area three time talk try get room straighten . 2 dozen people wait lobby irrate horrible service [ -- ] people trying feed we . honestly never see something like life ! understand 1 disgrunte customer , 2 dozen time . wait fight break much yell frustration place . I wish would read previous review stay . people right rude service . 
 Aug 11 2008 	 great location ; awful front desk service 	 plan Red Sox weekend Chicago 2 couple 3 room pay full month ago . first 2 couple problem check , however , third arrive 9PM tell pay - in - full , guarantee room give away send another hotel 3 mile away . desk help rude , unfriendly could care less room confirm . fortunately , another guest overheard conversation help offer one 2 room not use night . great next night hotel able accomodate find room . refund one night , aggravating experience . the staff include bartender bell staff great . the room rather small elevator small , slow always crowded , place clean location fantastic . 
 Jul 15 2008 	 exactly expect 	 stay one night past weekend . expect . adequate hotel fantastic location . front desk staff little rude check next morning guy super nice . would go back unless money go little nicer . 
 Jul 12 2008 	 ok hotel 	 stay hotel 3 night 25th May . first impression check - in staff off - hand previous reviewer say . room clean comfortable . location great heart city able walk everywhere . staff attitude would hesitate stay 
 Jul 7 2008 	 good little hotel 	 good little hotel excellent location . room comfy . decent , affordable place stay visit Chicago . would willing stay . 
 Jul 2 2008 	 Great Hotel / rude front desk 	 hotel nice great location . think price fair get . valet service bag handler good courteous . problem hotel pompous attitude rude behavior people front desk . welcome friendly . much point stay . 
 Jun 28 2008 	 Great Place price / location 	 Hotel excellent . room nice , clean , comfortable modern . service fantastic . able check early expect . also get us cab get we back airport timely manner . location perfect - close shopping subway . price reasonable ! would recommend hotel casual traveler want nice comfortable place stay central location . 
 Jun 13 2008 	 Excellent Hotel 	 family stay Inn Chicago Christmas New Years . check multiple reservation lady check kind helpful give room entire stay . Christmas many food place open front desk list phone number hour open restaurant . good give direction . maid good always enough towel . 7 eleven adjacent front door convenient . also sub shop / ice cream shop across side door open 24 hour . also Jewels 5 6 block hotel ( ask direction ) nice hot deli selection . overall hotel staff excellent clean . book rate hotels.com orbitz also well deal sometimes . price may high excellent downtown location well worth ! 
 Jun 12 2008 	 ok Location 	 location wonderful . close shopping restaurant ( step Mag Mile ) . lobby nice invite cozy modernist chair conversation area . room average one stay could use redecorate . small clean . air conditioner great cooling room drown possible noise neighbor . bathroom modern , update fixture trendy vanity room one small bathroom hotel ' ve ever stay . knee hit vanity use toilet . still ... get fair price , location may make cosmetic issue . 
 Jun 8 2008 	 unimpressive experience 	 not expect much stay aside location . be great walk distance Magnificent Mile shopping , be . ' m hesitant say place unclean , thing fact clean , fact not well maintain . get deal online , price right , would look elsewhere pay extra order stay . would give 2 5 star , nothing . 
 Jun 6 2008 	 horrible - never stay ! ! ! 	 do not take chance . do not stay ! rude service people , rude manager , tiny room . 
 Jun 5 2008 	 work trip ... 	 Chicago business , stay Inn due discount offer seminar attend . hotel actually pretty nice , modern decor common area comfortable furnishing . desk staff friendly , able check room 10 . concierge also friendly helpful ask get seminar . the room small side , single person comfortable . a / c great job keep humidity ( warm & amp ; rainy town ) fan enough drown street noise . however wall thin ! could hear entire conversation next door , could hear alarm clock across hall ! area downtown also pretty noisy , lot siren hour . other note , bathroom tiny . sink mod - look table / pedastel style , big bathroom . blunt , anyone hip wide maybe 40 & quot ; problem manuevere without bang . shelf sink small glass shelf wall . keep toiletry hang kit storage not issue , different type kit may problem find place put . room quite clean , although not know hotel insist use white coverlet . ink stain , nothing nasty . hotel & quot ; reuse towel & amp ; linens & quot ; program , apparently clean staff train new sheet towel second day even though put sign bed hung towel . the good aspect hotel would location ... block Michigan Ave . good dining & amp ; awesome shopping . also short walk Navy Pier . 
 may 30 2008 	 skeptical first turn OK 	 Booking Hotwire , every week , sometimesyou get surprise . good surprise 4 5 star hotel great rate , bad surprise get & quot ; nice & quot ; experience . book hotel go TripAdvisor litle worried - good review good one . check , disappointed , especially price . yes room small bathroom tiny , need ? find room clean , bed pillow comfortable desk chair not break back like do . and , location , be close everything Michigan Avenue Streeterville . many restaurant shop well within walk distance cab train close plentiful . there restaurant hotel . bar lobby brand coffee / espresso shop lobby , 's problem many option near by . the staff knowledgeable helpful overly enthusiastic . for purpose , good deal would stay . 
 may 30 2008 	 Excellent price 	 stay Inn Chicago state positive comment . room clean comfortable help nice accommodating . convenient many site perfectly safe walk around area . 
 May 6 2008 	 DANGEROUS : DAMAGED LAPTOP ! ! 	 stay european travel US attend international meeting ( American Academy Neurology ) .On last day stay ask people desk & quot ; keep luggage safe & quot ; , would take stroll town go airport . course , warn employee laptop inside backpack . leave O'Hare , take luggage without check ( naive ! ) .at airport , past check - in , take laptop work .. surprise ! evidently , drop backpack , laptop inside , half open bottom , screen place ! ! management simply state & quot ; one recall problem occur & quot ; , insurance company course refuse pay . my stay Inn Chicago end cost 250 dollar repair , two half day work lose , not know yet many problem laptop . 
 May 1 2008 	 absolutely dreadful experience 	 Inn Chicago ( Magnificent Mile ) bad hotel experience ever . room common area filthy ; wall thin unfortunately leave able hear rather unpleasant activity go room . although update make , poorly do . picture online not even come close closely depict actual ambiance . would never recommend hotel . 
 Apr 23 2008 	 stay elsewhere 	 stay 1 night work . travel Chicago often enjoy try new place . 10 hotel ' ve stay , worst . service moderate , good . room old , uncomfortable bed , poor water pressure shower . not feel clean entire time room . luckily late dinner not spend much time room . hotel worth price . would definately stay . plus location , well hotel ( price ) choose . advise , stay elsewhere . 
 Apr 21 2008 	 location thing go joke 	 upon arrival , receptionist ( woman ) one bad service industry people ever deal . 's rude ; be probably one unfriendly , miserable people talk long time - robotic , personality ; shock cold woman . room average , like one would get budget hotel $ 69 , since locate close downtown , somehow get away $ 200 + rate week . free wireless room , offer ( free access ) lobby ; guess high level room internet ; stay King Deluxe - internet ( pay ridiculous rate $ 10 per day ) . course 22nd floor close construction , know space , chance 's crappy rest place . tv program menu set worst , unreliable set think ever see anywhere . movie menu never work can not turn volume even lower reasonable level ( local channel ) . & quot ; Service & quot ; selection menu bring white screen computer file name list . bad part , one place seem know fix problem system - say & quot ; ' ve problem Comcast lately & quot ; . know long & quot ; lately & quot ; since entire week , movie option tv never work - local channel available constant high voltage hum background . room bad , clean staff good job . card door constantly die get wipe , colleague get new card every night week - ' ve never see problem . staff attribute problem keep card near cell phone credit card , know typical thing pocket wallet - guess suppose carry card around sock something . self parking situation equally atrocious . may common practice , never see system - park car garage , surrender key parking garage attendant . explanation case fire would move car . fire , right mind would attempt drive 100 vehicle burn structure . attempt resist give attendant key meet basically argue fight ludicrous policy . complimentary coffee - buy stuff $ 2 + / cup , not even think continental breakfast . bar look nice , one imagine inflate price would . chair corner room uncomfortable - 's impossible sit length time . barely receptacle plugs room , plug phone laptop challenge - unless use build receptacle desk lamp . try give telephone number place someone room easy either since write phone anywhere else matter . oh use gym , leave building walk block half , pay $ 5 per usage . thing give comfort whole experience not pay room - luckily company ! normally not complain accomodation destination , ' ve perfectly fine sleepin hostel large bunkroom 10 people , experience certainly one remember ! 
 Apr 15 2008 	 average boutique 	 solid hotel . bill boutique hotel -- . , however , average hotel fabulous location -- one block Michigan Avenue . decor nothing spectacular . room decent size , frill ( highly uncomfortable desk chair , easy chair ) . other note , bathroom tiny -- serviceable clean . towel little skimpy . the front desk staff diffident particularly friendly . concierge helpful ( let we print boarding pass , tell we exact location branch bank , etc ) . doorman hook we good deal cab airport . really , 's location sell place . be within easy striking distance River North Magnificent Mile destination . site restaurant Loop also within easy walk distance . 
 Apr 13 2008 	 Perfect Location 	 stay Inn Chicago Saturday night feel $ 129 price pay , good value . room adequate , bathroom super small . room 1 person time . first room assign clean , upon go back front desk , reassign room . negative experience . would recommend location price . 
 Apr 9 2008 	 really good location 	 unlike reviewer get fantastic rate pay $ 230 per night . say Hotel fantastic position ( around corner & quot ; Mile & quot ; ) hotel really clean room clean towel replace daily . stay 4 night Thursday Monday find hotel unduly noisy . coffee shop beside reception superb staff hotel excellent . would stay , yes would ask big room price pay . 
 Apr 6 2008 	 ok hotel near Magnificent Mile 	 recently stay Inn Chicago business meeting . facility list ' boutique hotel ' . check frazzle person front desk rather inefficient friendly enough . concierge staff bar staff friendly . hotel food facility . bar adjacent coffee shop . neighborhood rich restaurant lack facility house affect room service . room smallish cheap motel level . floor bathroom stain , minimal room ' stuff ' bathroom . room heater / airconditioner work adequately . hair dryer room coffee maker , clothe iron . wireless internet room though weak signal . outside noise begin 4:30am make early wake easy . towel adequate skimpy quality . facility adequate doubt would rate among nice room Chicago . not opportunity compare pricing neighbor . would need significant price advantage consider booking . 
 Mar 26 2008 	 Party Hearty Night Long 	 pay $ 100 night good deal . location great- block Magnificent Mile . however , prior Trip Advisor reviewer right . noisy place . the room relatively clean staff accommodate . not mind small room either . however , go Chicago business like try work bar Bourbon Street New Orleans Mardi Gras . party hotel & quot ; 20- something . & quot ; Party Central . party spill hallway . different 20 year old night . can not blame staff . hotel party place . might great pick place know . always laughter party wee hour morning . kid would work , guess . one would notice cry , even scream top lung -- young adult not make hallway least . sadly , light sleeper need rest work conference . old tired enough everyone 's mom . mismatch . so , place ok location great , know room tiny hotel PARTY CENTRAL & quot ; 20 something . & quot ; , , & quot ; young - un & quot ; need kind hotel too . so , & quot ; 20 - something , & quot ; place might good time . fun ! love , & quot ; Mom & quot ; 
 Mar 25 2008 	 never 	 sit lobby hour waiting room reserve month prior arrival . sit watch turn away people 21 even though already pay room via internet traveler plain stupid reason . not think want repeat business ... not even seem care . attempt get reservation resolve get room , small , clean . room reserve company not choice ... , would leave get room elsewhere even see room . impressed service . leave bad taste mouth . would recommend hotel anyone else never go return city . 
 Mar 14 2008 	 Worst Service Hotel shut 	 hotel turn we 21 year age , 20 year age . confirm fews day travel 10 hour Chicago everything fine ARRIVED . deny we hotel room 21 clearly unaware legal age U.S. 18 . say hotel policy . & quot ; policy & quot ; find website . even print we false page website state 21 . call hotel day later man speak phone admit website . refuse let we speak sort manager checking . refuse give we phone book book another stay another hotel state hotel Chicago area policy . information also false , book week long stay hotel 2 block away . do stay INN CHICAGO . not care customer customer loyalty clearly not care revenue come front door customer . ask get revenue illegal activity . 
 Mar 6 2008 	 Little Gem 	 another great hotwire find . book hotel one night $ 58 ! location perfect . room tiny , extremely comfortable . impressed 3 - star hotel . the lobby nicely decorate . my complaint window not open , go hot cold minute never really comfortable sleeping . 
 Mar 2 2008 	 get pay 	 good weekend rate . good location downtown . * * boutique hotel claim . stay one ' update ' room - paint wall , stylish sink , couple picture ( exactly see room photo ) . however , , still old Best Western . bit noisy hallway , lobby front desk always seem crowded . real complaint , be look hidden jewel , not place . 
 Feb 23 2008 	 friendly service fun atmosphere great rate 	 could ask stay . hotel locate , beat rate . staff incredibly accommodate helpful . room not huge , clean nicely put together . also , bar downstairs add fun atmosphere . definitely stay . 
 Feb 20 2008 	 Great Location 	 good thing location . hotel seem little worn , carpet could use good cleaning , otherwise room clean . plug sink fix within 30 minute call Saturday evening . bathroom tiny . staff people come contact friendly . 
 Feb 17 2008 	 good budget traveler 	 room fifth floor much small expected closet speak . room decoration poor view construction across street . bathroom small , recently renovate modern fixture . room also noisy . on hand , hotel staff great . problem first room , able move we another room quickly , even Saturday night . bellhop courteous secure room us store luggage check - in check - out . park - and - stay package . problem valet , although car sit street quite arrive noon ( check - out time ) , hotel busy . great location - one block Michigan Ave ( Magnificent Mile ) .We try another hotel next time , though . 
 Feb 11 2008 	 great location / lousy service 	 return 2 - night stay . first , agree great location , tiny bathroom small room . room clean comfortable . regard customer service , abysmal . call hotel month stay ask accomodation wife two adult child . suggest two adjoining queen bed room . agree , confirm reservation . when check , assign two room , adjoining . desk clerk tell reservation clerk & quot ; misinformed & quot ; , hotel adjoining room . also say desk & quot ; not get & quot ; reservation information reservation clerk , unaware promise reservation clerk make . ( copy print ) get room , notice one door next room ( locked side , course ) . go back desk ask see manager . apologize desk clerk tell adjoining room . ask assign set , say none queen . ask not 2 queen reserve . tell reservation & quot ; request & quot ; , try honor can not always . point make reservation month ago . counter nonsense & quot ; unpredictable occupancy rate & quot ; . people make apology gaffe , make attempt make right ( even Red Roof ! ) checked make point person . clerk duty tell & quot ; not need & quot ; , not thank not ask stay be . my impression Inn Chicago 's customer service incompetence , miscommunication could not care less . 
 Feb 10 2008 	 nice hotel terrible plumbing 	 husband return two night stay Inn Chicago . thrilled location rate $ 80 / night hotwire.com . old hotel nicely fashionably remodel . arrive ask king bed , tell not , upgrade we & quot ; junior suite & quot ; make . think generous consider not request king bed ahead time . we happy first room give ( Room 912 ) flushed toilet , quickly learn break . call front desk immediately move another suite three floor ( room 612 ) . minor inconvenience , promptly courteously handle . room function toilet , lack plug bathtub , bad , shower make horrible screech sound produce trickle water . next morning complain , instal plug bathtub , fix shower . last morning , hot water , issue tell affect entire hotel . my recommendation : stay plan use bathroom stay . 
 Jan 27 2008 	 absolutely excellent Value ! 	 return weekend Inn Chicago , absolutely thrilled property price . pay $ 100 per night , include tax ' Executive Queen ' room 414 . location PERFECT explore Chicago -- half block Mag Mile . room NY - style small , nicely decorate modernish furniture one might find West Elm . bathroom quite small , spotless , plenty towel . nice product Gilchrist & amp ; Soames . downside noise hallway carry room , next door neighbor part group like visit ( i.e . open close door ) frequently . hallway reflect building 's age -- be narrow fancy . elevator also small size , come frequently , modern / spotless . group check return sightseeing -- avoid long line lift take stair . although use hotel lobby bar , attract nice number guest . clean staff use scented product liberally -- lobby smell green apple , room Febreeze , nonsmoking , odor cigarette try mask . guess & quot ; thing . & quot ; not mind , sensitive product , sure ask clean staff use . would recommend visitor stay long time need lot closet space , smallness room . however , weekend visitor , would highly recommend . 
 Jan 25 2008 	 Nice Place stay 	 boyfriend stay two night book great rate ( $ 70 night ) hotel 's website . winter weekday special , include parking , $ 36 night nearby lot . hotel also offer valet parking little . internet free lobby , 9.95 24 - hour access room . I little worried reading review , nice stay . bell staff extremely helpful unload car . room clean . little small bring luggage , expect hotel room big city . bathroom clean nice . hotel 's location nice . not much around hotel , seem like mostly chain store restaurant . instead , walk four block get train explore area Chicago . would stay , especially price . even add cost parking in - room internet access , still seem like good deal . 
 Jan 23 2008 	 run far away place 	 book 2 room use Priceline . see hotel 's website think would perfect place stay . call week ahead schedule stay confirm room would 2 double bed . assure would . get check , two people stand desk one check people . wait 15 minute woman stand finally decide would check people . FINALLY get ask room two bed . look like insane . tell call week , give name person speak . say not system . ask could find two room double bed act ask first - bear child . finally say could room would different floor , say fine . well imagine surprise go room discover one two bed one . point livid could not even go back downstairs . well finally get place imagine surprise account negative even though pay priceline two week actual stay , hotel decide would charge . bad experience hotel first place double charge room . LOVELY . would recommend place bad enemy . would rather stay night homeless shelter . 
 Jan 22 2008 	 Satisfactory Stay 	 come back weekend trip Chicago stay Inn Chicago two night . overall , satisfied stay . the good thing place location . other fact 's closely locate Michigan ave . , aka magnificent mile , seven-11 right across street late night need include water since mini - bar available three room visit ( soon see end three room three day ) . also Dunkin ' coffee / bagel / late night snack Pompei 's bread excellent pizza also deliver room delivery fee $ 3.From travel airport , take cta train $ 2 one - way . 's 50 - 55 minute ride . hotel 10 - minute walk Jackson red station . as someone else mention , five star hotel . get pay . room clean small livable . bathroom small usable relatively clean . bed use quite comfortable pillow clean . friend arrive early ( 12 pm ) able check - in upon arrival . early check - in possible . finally , problem heater move around twice finally get warm room . read interested happen , bottom line , problem solve 6 - hour . our room 50 arrive warm . not want waste time wait someone fix problem call front desk let know problem . around 1 pm . come back around 5:30pm ice cold room . call front desk immediately send maintenance . wait half hour time call front desk . tell look option fix heater give we new room . would appreciate would follow . quite upset time ( spend four hour single digit cold ) . Assistant Front Desk Manager , Ellis , offer change room bring key room . unfortunately , second room warmer warm enough . eventually move third room 8:30pm able unpack . Ellis kind enough give we discount first night two free drink hotel lounge . also come lounge make sure okay . appreciate service . 
 Jan 21 2008 	 Good Hotel Great Value ! ! 	 good hotel . room clean service great . staff friendly helpful . also close magnificent mile bus line great ! ! 
 Jan 14 2008 	 pleasantly surprised 	 stay 3 friend Thanksgiving little worried reading review TA quality hotel honour reservation room 2 double bed external website ( ) . however problem upon arrival . lobby nice , look recently redecorate lady check desk friendly enough . concierge also helpful good recommendation restaurant club . room basic , clean comfortable , 2 double bed bathroom good size - complimentary toiletry also include . Room clean daily good standard . prob hot water heating complain maintenance come straight away fix . Hallways lift run do not bother we , lift quite small though . bar be not much drink generous barman also recommend place we try . good thing hotel location , literally round corner Magnificent Mile fab us shop ! ( sightsee ! ) . also near Navy Pier . would not hesitate recommend hotel base experience , cheap really central hotel . want luxury be not place otherwise great . 
 Jan 7 2008 	 Inn Chicago 	 Inn Chicago alright need fix up . I come business trip wish go different hotel . I go back . 
 Dec 30 2007 	 well expect . 	 News Flash . five star hotel pretend . way , write review . stay property year , since back day good western . always frill hotel , offer great rate location one block Michigan Avenue . advertise itsefl ' boutique hotel & quot ; think bit stretch , improvemnent since best western day . book standard room king size bed $ 109 night . room recently renovate brand new bed , furnishing , decor . bed comfortable room soundproof . yes , bathroom small serve purpose . help , front desk , concierge , housekeep helpful friendly . one evening , ake concierge reservation Grand Lux . tell take reservation , give business card . say present card hostess Grand Lux would receive preferred seating . go dinner upon present card , seat within 15 minute appear hour wait everyone else . conclusion , well hotel area willing pay price . indoor pool restaurant , get nice room great location downtown Chicago around $ 100 night . enough we . 
 Dec 28 2007 	 need learn manner 	 be take get around review , anger way girlfriend treat stay yet abate - even holiday period . we check middle - aged receptionist really need learn manner . get - go , make feel like chore even book us - excuse computer front hotel down . we book deluxe suite , get deal internet . upon hearing , temerity suggest ' doubt , $ 700 night . ' grant , high - roller , thirtysomething professional feel tad offend . go suite , discover anything deluxe- even faucet ( tap ) break bathroom- promise hottub turn false- barely even bath . we pretty exhausted , travel st louis afternoon , not bother complaining- doubt woman reception would pay we attention anyway . I ' ve stay lot hotel must say bad experience ever 10 year travel . the bell staff nice helpful , hardly make rudeness front house staff . Chicago class city , one favourite ' ve ever not stay here . my girlfriend even e - mail hotel arrive back Ireland get standard response apology , appreciate hardly make problem . 
 Dec 18 2007 	 need read review 	 boyfriend stay Inn Chicago 1 night base get deal online . say , ' m glad not pay room . location GREAT . whether be tourist , native like we need room night 's great spot , right middle everything . lobby small everything decorate nicely , check quick painless . front desk attendant courteous bellman not pushy . elevator rather slow , keep mind , old building . queen room clean , minimal , tastful decoration . bed comfortable , enough pillow blanket , tv work , heat work , carpet clean , bathroom . issue sink bathroom . design jut take 1/2 doorway . may bump hip . also , not lot counter space , lot toiletry , place put . opinion really small gripe . hotel definitely frill kind place , be clean , affordable , cute , great night sleep place right heart city . not hear noise outside , floor 3 . 's great place sleep night two , great hotel be look onsite amenity , and/or posh room . 
 Dec 11 2007 	 Great Location 	 Stayed weekend Inn . read alot unfriendly staff long wait room . send wife wait unload zone , three minute trouble . room small clean . bed maybe comfortable hotel bed ever . close everything , 1/2 block Michigan Ave . bathroom small , hard time get hot water little pressure , fine . parking 1/2 block away , $ 36 day . overall good money , definately book next Chicago trip . 
 Nov 27 2007 	 Great Location 	 family stay Black Friday . location could not beat , half way Water Tower Place north Millenium Park south . free trolley Navy Pier 1 block away . find staff courteous helpful . room ordinary size bed comfortable . bathroom small . since shop sleep , pleased . small refrigerator would nice , tho ! 
 Nov 22 2007 	 clean hotel incompetent staff 	 room clean , hotel lobby small bar pleasant ambiance . bathroom small . central location . problem room assignment . book website - single vs double guaranteed . however , call hotel get confirmation , assure want . upon arrival , room type available , tell try second night . call front desk 9 am assure request would filled afternoon . come 11 am confirm , say would not back till 7 pm - assure request would fill without problem . come back , note file request wait till next day . all speak 3 different people 4 different occasion time tell would not problem , result . either 1 - lie say request could fullfille 2 - staff woefully incompent . 
 Nov 21 2007 	 Perfect location 	 reading review little leary staying find pleasant surprise . great place stay long weekend 10 year old . check say booked , room queen bed end share son . check - in quick smooth , staff pleasant . yes room abit small fine , clean , maid change towel everyday . room next fitness center . other stay room complain noise never hear anyone use equipment . bathroom small shower fine . complaint cable movie take day get someone out . this place perfect location , block Michigan ave , walk distance everything , free trolly Navy pier block . look place stay long weekend shopping can not beat . 
