basic 	 hotel location , perfect . nothing bad hotel , clean , staff good quite quiet - room small bathroom decent size . basic never pretend anything else . good place majority trip explore city . round satisfactory . 
 May 21 2008 	 small friendly excellent location 	 Absolutley love time Stratford . location unbeatable right Union Square right hub everything . cable car stop outside hotel provide access Bay area , walkable 40 minute , uphill way back ! hotel room small clean adequate . front desk helpful reccommending place eat drink advice day trip . breakfast lovely , simple effective , muffin , toast , cereal , juice tea coffee . Absolutley brilliant term price value money . would definatly stay would reccommend anyone simple clean . 's location definatly good feature nothing negative say stay . 
 May 12 2008 	 enjoyable stay ! 	 friend stay night January . excellent location , close everything . although room small ( two twin bed ) , clean good bathroom . alot natural light room 's window look brick wall - pretty claustrophobic ! include breakfast bonus ... overall good stay , highly rec ! 
 may 12 2008 	 Fabulous Location 	 check good experience . girl finish conversation bell man , acknowledge . however , dealing hotel staff pleasant friendly . room small , emphasise small , yet , clean comfortable . petite female find room small , bed ' . however , location fabulous convenient Union Square , Market Street , Cable Car stop . despite check room size really glad stay . 
 Apr 30 2008 	 sufficient convenient 	 three us & quot ; queen / club queen & quot ; room one night last week . bed farily comfortable , seem bit narrow queen home . we three adult , wee bit crowd , , not go SF stay room . though basic , hotel / room clean , update sufficient brief stay . breakfast , include , basic : mini - muffin , white bread , granola , coffee , milk , tea , juice . not care slow single lift , seem always re - open door least ' ve already select floor press & quot ; close door & quot ; . room seventh floor , definitely get exercise stair ! location , , hotel 's good feature . Powell St close everything ( except water ) , cable car pass right front hotel , though walk wee bit stop ( problem ) . staff pleasant helpful , could store baggage backroom free check check . one thing - there absolutely AC / central air kind , open window way go absolutely stifle room . bathroom window open downward , even room locate high floor shower curtain close , still bit & quot ; weird & quot ; open view extremely private room ! Powell St extremely busy noisy 22h , esp window open , none us trouble fall asleep , probably b / c exhausted day 's activity . overall , pleasant stay Stratford . 
 Apr 30 2008 	 great place stay 	 stay Stratford 6 day April 2008 business trip . believe get well value money , neither well location Stratford . need car , almost public transportation well , everything within walking distance . Cable Car outside Powell st . get anywhere need . room bit small clean well equipped . nice shower , surprising 32 " LCD TV , wireless internet ( $ 30 / month $ 10 / day ) .Breakfast ok get day go juice , coffee , bread muffin . within short walking distance find lot restaurant dinner . staff nice courteous . problem noise , stay room ' away street . weak sound Cable Car could hear , actually nice reminder SF , bother all . I definitely stay Stratford future . Assaf PiloDirector Sales MarketingCheckmarx Ltd . 
 Apr 28 2008 	 convenient 	 hotel conveniently locate close union square . clean , comfortable , quiet ( downtown SFO ! ) .very friendly welcome . 
 Apr 24 2008 	 Weekend City 	 boyfriend spend 3 night downtown San Francisco playing & quot ; tourist & quot ; although we familiar city . Hotel Stratford amazing find- location , staff , fellow traveler 5 * : ) price beat . love love love hotel already start recommend friend . 
 Mar 28 2008 	 great place stay downtown San Francisco 	 boyfriend stay Stratford three night March please . perfect location since 's close MUNI , BART , cable car stop . be deny room small , be be go get small , lower - price hotel city . room fine we , though , bed comfortable . staff always friendly helpful , problem store luggage prior check - in . continental breakfast fine , , not expect extravagant meal . would absolutely stay . one complaint , would single elevator building extremely slow . be hurry , ready take stair . 
 Mar 20 2008 	 Stratford Hotel SF CA 	 stay 2 night wife last week intention go SF . read review prior thus expect small room . room clean . bathroom almost big room . bed comfortable . Location PRIME ! transportation right outside door . plus , fly SF Oakland airport , take BART Powell St station , 2 block away $ 7 round trip save money valet car . staff courteous . town shop party , place . kid , may want reconsider . breakfast little lacking morning food person . , 's Walgreens block away buy food supplement bread , muffin , granola , yogurt . overall , great price great location . bit small , problem need place crash shower heart SF . 
 Mar 14 2008 	 Excellent location ... excellent value ! ! ! will back ! ! ! 	 Wife spend week Stratford Thanksgiving 2007 . wonderful memory ! staff GREAT ! ! ! bent backwards we . late arrival . problemo ! extra pillow . got ! upgrade room , ask ..... got ! ty staff ! yes , room , TINY . build Hotel since 1908 . eclectic ! part entire experience stay heart SF . good location . short walk cable ride good place . we love stay Stratford . much spending another week April . planning stay 2008 's Thanksgiving week . $ 87.00 dollar night , value . can not beat ! small room , yes . clean comfortable , yes ! great staff , DOUBLE DITTO be ! good location , SAY yes ! ! ! much time plan spending room place like SF anyway ? Stratford clean comfortable . good DT location . Half Hotels charge great location . go ENJOY ! ! ! 
 Feb 25 2008 	 pleasantly surprised Feb 22 - 24 2008 stay 	 need moderately price hotel stay travel business decide try one . read review ( yes , room really small ) , prepare average stay . instead , pleasantly surprised . front desk staff gracious arrive late able accomodate request roll - a - way bed without problem - not charge . room real view speak , clean bed comfortable . room neither hot ( radiator wtih automatic turn - on valve ) cold ( ceiling fan ) , cable car make noise , noise bad ( unless stay streetfront part hotel ) . continental breakfast good big breakfast eater , Starbuck be across street hotel need Starbucks . hotel within easy walk distance Union Square well Market Street transportation kiosk purchase 3 - day cable car / street car / muni bus pass $ 18 - great value take cable street car anywhere want go . number interesting restaurant , shop jazz club area , within pleasant walking distance . , colleague please enjoy stay . definately return husband child weekend stay ! make sure return Chinese New Year 's parade , hotel 50 pace away parade pass . 
 Feb 14 2008 	 Perfect Location 	 Perfect Location ! right Union Square cable stop right outside hotel . stay will right near want .. easy navigate city . everything want see right outside hotel door . if return city would not hesitate stay 
 Feb 1 2008 	 Perfect Location ! ! 	 Read review not sure people concern room small . room fine manage fit suitcase problem . breakfast adequate staff not go way thing friendly helpful ask question . perfect location cable car stop right outside round corner union square . would definitely stay everything could possibly want reasonable price . 
 Jan 26 2008 	 good location 's .. 	 arrive late evening Los Angeles long drive . book standard room deluxe room . aunt husband able sleep well warm & amp ; stuffy room , back window open wall . room small . deluxe room 2 double window face street . good night 's sleep tired 8 hour trip . deluxe room 3rd floor , think room 303 , ok we except much space bathroom toiletry . even give housekeeping tip find strange replenished soap & amp ; shampoo supply . weird . see family room floor suppose transfer available 1 night . look homey . family 4 6 comfortable . receptionist check nice & amp ; friendly . one next day nice & amp ; accommodate . book hotel parent ' choice , Chancellor & amp ; Handlery fully book early 1st week September . find schedule Pediatrics ' Convention week . wonder price bite high . enjoy breakfast . 2 kind coffee , 2 kind milk , cereal , 2 kind bread , 2 kind muffin , jam , butter . charming breakfast room overlook Powell Street . though mom prefer heavy breakfast go Chancellor egg benedict . location superb , question . lunch thai eatery doors street . full lunch . next door Lush , still smell stairway hotel . step Union Square . ideal location hotel . find enjoyable evening sit bed laptop hear cable car pass . hotel website boast & quot ; San Francisco vibe & quot ; true . however , mom light sleeper sleep well even San Fran street noise . fairness , hotel provide ear plug . like part San Fran , parking expensive $ 45 . free internet . flaw experience phone room work . relative try call we get . use philippine cell phone communicate . expensive ! informed front desk anything bad , say manager checking , shrugged . would stay ? maybe , happen San Fran preferred hotel fully book last choice . otherwise , recommend C - two property , Hotel Fusion . Stratford Hotel Fusion C - two property world apart comparison . 
 Dec 30 2007 	 location 	 Location terrific . staff edge rudeness , room tiny ( without space even suitcase ) wall thin ( could listen couple next door ) . parking hotel ( cost US $ 31 / day ) . complimentary breakfast could better people restaurant could wait finish take food . arrive elevator break stay could guess not coincidence . 
 Dec 27 2007 	 great location 	 great location , right centre city main tram line right outside . Clean recently decorate , basic room small , staff really friendly helpful , price location would hard push find well budget hotel . pass other look nowhere near good . the breakfast toast , muffin , juice , coffee etc basic freshly cook complimentary . if want something luxurious will need spend , want clean friendly base centre action Stratford spot . 
 Dec 18 2007 	 Fair Value 	 Stratford 2 star hotel fair value . price pay Expedia approximately $ 100.00 per night . location : absolutely superb ! ! 1/2 block Union Square , 1 Block Market Steet , cable car run right front hotel , major department store within 1 block , Walgreen 's 1/2 block , short walk chinatown financial district . walkaholic , Fisherman 's wharf would easy stroll . LOBBY : somewhat dark drab . need strong light bright paint carpet color . lobby small , attach room tv 2 computer ( expensive ) access internet . INTERNET ACCESS : $ 10 / hour hotel , $ 30 / month wireless service . however , walk UNION SQUARE laptop , free wireless . early 7:30 ( brrrrrrr ) late 10:00PM . relatively safe , security 24/7 , 's good alert cautious . connection excellent . LOBBY STAFF : friendly helpful . absolutely complaint . ROOM : room small , quiet . back hotel , get noise street . also clean , carpet show age . bathroom also small . closet space limit adequate . room would particularly comfortable oversized people . clean staff efficient friendly . breakfast : continental breakfast serve 7:30 - 9:30 . simple , adequate . muffin , toast , bagel , cereal , oatmeal , juice , yogurt , milk , coffee . fresh fruit . transportation : cable car efficient fun . bus route excellent timely . take bus market street de young museum work quite well . course walk , Asian Art Museum . BART cheap efficient - not big load . pay $ 5.15 one way SFO Powell street exit . finally , seem adequate taxi service . summary : be look less expensive hotel , stratford worth consider . 
 Dec 9 2007 	 Fab Location 	 's nice hotel 's clean comfortable . room bite small side buffet breakfast bit let . reasonably price hotel city beleive get pay , somewhere leave luggage sleep - 's San Francisco , be suppose room ! ! step hotel heart city , two step Union Square . cable car run outside hotel bottom street get bus . muni card bargain see whole city use . Stratford not Ritz not hotel . would definitely stay . 
 Nov 19 2007 	 room not cold ... 	 location good , little claustrophobic , right Powell Street Union Square . the Queen - bed room stay pretty small cope that . my main gripe individually control heating aircon room . heating , room fine , * switch heating * 8.30pm every evening ! get cold . not know heating come certainly not 9.30am leave hotel morning . breakfast include price ok : muffin , pastry , toast , cereal like ; much choice exactly every day , may get bore quite quickly . 
 Nov 10 2007 	 Perfect Location 	 problem Stratford . fabulous location , right heart Union Square , 2 minute walk Macy 's great shop . cable car stop right outside hotel entrance . perfect place stay transport Fishermans Wharf accessible cable walk Union Square . Stayed 17/10 - 19/10 short stay great , breakfast excellent , cereal , toast , fresh muffin , juice tea & amp ; coffee . room small fine sleep get ready , shower good pressure everything clean room service perfectly every morning . lift slow level 3 problem take stair rather wait . all would definately reccomend hotel anyone travel San Francisco , price location unbeatable clean , safe need . return San Fran would definately book Stratford 
 Nov 9 2007 	 Location Location Location 	 wife decide 11 year ago would celebrate 25th wedding anniversary 2007 month tour west coast America . ' m always month holiday will first admit number 1 priority value money thank internet TA , find hotel . ( 11 year research stay ! ! ) location perfect , right heart city within walk distance major place interest . ( get travel pass everything reach via cable car / bus / muni ) .staff extremely helpful always suggestion look something route certain location . the room clean functional us Brits , certainly adequate size . breakfast consist toast , muffin , dry fruit natural yoghurt tea coffee juice , heavy set nicely day sightseeing . the lift slow feel add character hotel cause we problem . I would advise anybody visit SF seriously consider base trip . stay 24 - 28 Sept pay $ 89 per night think good city centre hotel breakfast . 
 Nov 8 2007 	 Perfect Vacation 	 Wife spend 7 night Stratford Hotel August 2007 . first visit SF stay recommendation relative stay . perfect location right Union Square , famous cable car run right front hotel easy access without long line . staff Hotel friendly , nice helpful . breakfast awesome . highly recommend Hotel anyone want clean , affordable , perfect location . thank staff Stratford make vacation SF special . Randy NC 
 Oct 27 2007 	 Incompetent mgmt great location 	 two main problem : heat fire safety . the management never get room 's heat work 3 day ... important rain cool . promise 3 time would fix tell we 2 time work ( ) . maybe decide punish we get deal hotwire give we broken room . the heat lead second problem fire safety . finally get heat work room ( include ) , cause fire alarm go could not make stop . solution ? turn sound . , entire building spend night without functional fire alarm . on bright side , management friendly ( though incompetent ) nice breakfast service tea room . also , AWESOME location -- Union Square public transit Fisherman 's wharf many tourist location , plus trolley terminus block away . other minor caution : 's old hotel small room bathroom 's fan not work . also , hotel lack dedicated parking lot ( area ) pay around $ 30 / day public lot . 
 oct 4 2007 	 fair enough place price 	 's say , will say ... be luxury , go elsewhere . 's basic place , clean , ok breakfast ... important , central location . be right want everything . we book expedia pay , however upon return home find card charge . thought may problem , however get money back . it be go Waldorf , want experience city , lounge around hotel . I give 4 star price location , fact clean safe area . 
 Sep 25 2007 	 not bother go 	 last day road trip California stay hotel . can not recommend . room tiny , noisy believe price not marvellous well ( find well deal ! ) stay SF highly recommend Monticello Hotel ( one black Powell Station ) . stay first night simply marvellous . fine , large room , breakfast complimentary wine afternoon free internet ! Clean & amp ; crisp . do'n bother Stratford find deal ! 
 Sep 24 2007 	 horrible rude cramp 	 Straford Hotel miserable . put suitcase , room walk . shower door not close window not close either . screen view brick wall . bed feel flimsy sheet scratchy . not count get much sleep , loud hotel regardless window open . still college ready party night , might place . location good would pay money next time keep sanity vacation . 
 Sep 12 2007 	 Fantastic Location fantastic hotel 	 well read every review , room TINY ! open door almost hit end bed , time , everything need ... although place sit bed . one thing find real problem fact one small window leave open night noisy . sleep window close make room really hot sleep air - conditioning fan . front desk give we wrong room type trouble get different room go tell they . the hotel fantastic location , souvenir , grocery , clothe ... everything could need locate within 5 minute walk hotel include big Westfield shopping centre . my friend stay hotel 2 night tolerable , ' m glad not stay much long room really small ventilation . think part reason unimpressed simply stay fabulous hotel LA Vegas 2 week stay Stratford become use standard . for anyone budget stay short time would say try Stratford simply amazing location , town long , maybe fork bit money find somewhere comfort ( ie . air - con ) 
 Aug 24 2007 	 Pefect traveler BUDGET not want DIVE hotel ! 	 husband first time visitor San Francisco . want see site enjoy city -- spend time hotel room . Stratford absolutely perfect . good hotel location city -- close Union Square , be easy get area hop cable car . room small bed not pillow - top ( mean ! ) , place clean , quaint , staff friendly . feel safe glad save money hotel spend thing . we would definitely stay ! 
 Aug 16 2007 	 wonderful experience Stratford 	 husband stay five day find wonderful experience . note reviews room indeed small adequate need room sleep . problem street noise sleep window open . staff helpful question knowledgeable area . love convenience hotel would hightly recommend anyone . also , love breakfast . think quite adequate need . would definitely stay next trip San Francisco . 
 Aug 7 2007 	 Great Value Great Location .. Noisy 	 six people one hotel could hold six people without book two room . right cablecar line fun kid ( age 15 - 21 ) . air conditioning get little hot . hotel noisy guest fight middle night ( two night row ) outside noisy since window need open , issue kid front ... clean hotel , nice staff , convenient everything .. location location ... fun price ! ! would book need much space . Debbie Cincinnati Ohio 
 Jul 20 2007 	 would definitely stay 	 Sratford Hotel heart San Fransico , minute transport place Fishermans Wharf , Pier 39 train airport . room small clean pleasant stay . 4th floor mean noise traffic minimal . pleased breakfast selection . lift slow stairs hurray . staff helpful friendly . love able step hotel right centre town - shop , Union Square , cable car etc . would definitely stay possibly avoid weekend price rise considerably . 
 Jul 14 2007 	 Happy Customer 	 wife arrive 4th July afternoon greet warmly staff . soon get room ( happy view street ) take explore . find hotel locate half block Union Square 2 block cable car turn around . Stratford locate close many thing want see wonderful hotel . free morning breakfast healthy food need start day . room nice bathroom clean well lay . unable see thing wanted come back San Francisco without doubt stay Stratford also recommend hotel anybody know make trip . 
 Jul 2 2007 	 perfectly suitable short break 	 read previous review Stratford not sure expect arrive . however , pleasantly suprise find . check meet friendliest security guy ever chat go room . the room massive , perfectly adequate 2 people plus luggage . decor fine , clean , nice bathroom , good tv.throughout 2 week trip make US , hotel stayed include breakfast 's add bonus Stratford . cereal , bread , muffin , tea , coffee orange juice . location unbeatable - the hotel step away Union Square , right tram line get Fishermans Wharf good restaurant bar surround street everything need good walk distance . I would definately stay would recommend other . 
 Jun 29 2007 	 Loved ! 	 06/29/07 - stay hotel back Feb. ' 05 . first time go San Fran . reason book hotel , price location . make good choice . room little small side , go San Fran stay room . room nice . lot shopping , restaurant , bar mall nearby . staff kind friendly reason ' m book hotel go San Fran september . thank Stratford Hotel . 
 Jun 22 2007 	 GREAT ... 	 great place ... read review prior one say well .... April 2007 ... 2nd time SF / Union square past year ..... TIP : hotel affordable enough book outright .... worth play game HOTWIRE get & quot ; Union Square & quot ; hotel $ 30 less b / c shady quickly .... powell another nice affordable choice w / slightly big room ... overall location , nice breakfast value STRATFORD def go back next time SF .... 
 Jun 15 2007 	 everything need 	 girlfriend stay Stratford one night May , Thursday . arrive Oakland airport late ( 11:30 ) , trouble find hotel checking . staff helpful direct us 1 ) park , 2 ) get late nite dinner , 3 ) find cool bar nitecap . parking conveniently locate block away ( Ofarrell & amp ; Mason ) public garage & amp ; predictably expensive ( $ 26 18 hr ) . car park go Cafe Mason , right near parking garage . excellent choice respectable & amp ; delicious late nite meal . afterwards , way back hotel stop Johnny Foley 's Irish House around corner drink take San Fran nite life . Highlight night : transvestite lounge singer take request pub . the room admittedly small , clean & amp ; nice design . could defineatly feel & quot ; vibe & quot ; . need big room , go sleep ? bathroom clean decorate sparingly style . elevator slow time , not much hassle use stair fourth floor . breakfast nice light , granola , yogurt , muffin , tea , coffee , & amp ; juice . breakfast room overlook Powell St. hustle & amp ; bustle city . hear cablecar go every minute really make we anxious get explore city . note ; stay standard room , wi - fi include available fee . fortunately , free hotspot union square could access hotel ( yes , close Union Square ) .The good thing place central location everything . BART , Muni Metro , F Market Streetcar , cable car , & amp ; bus run constantly within short distance Stratford . check morning walk around neighborhood . two block Powell Market St. , cable car turn around convenient place buy Muni pass . low behold , store right next door ? three story & quot ; forever 21 & quot ; , alas girlfriend heaven ........ also nearby giant Macy 's front Union square numerous art gallery . quite bit panhandler around , aggressive not fear . even help lose confused tourist . all , Stratford do right . cheap rate ( $ 90 high season ) , nice accommodation , polite & amp ; helpful staff , awesome neighborhood middle everything . could ask ? definitely stay Stratford next time ' m San Fran . 
 Jun 12 2007 	 Great Location - Room adequate 	 book one night Orbitz & amp ; call add another night . pay $ 147 per night . location great - right middle everything . room iwas , small . booked & quot ; King & quot ; size room thru Orbitz . get room , queen . go front desk , say not king room . pay $ 10 king . tell front desk not even acknowledge . since go Orbitz site remove & quot ; king & quot ; room . bed take whole room . bathroom small extremely clean . room right next stairway happened kind run / walk go next day . wall paper thin runner stair 5:00am . room look brick wall . air not need . learn real quick San Francisco warm , husband end buy winter jacket ! couple check day check . work toilet 2 day . room available hotel offer $ 20 night . couple say acceptable girl desk back . leave open credit card bill manager could get back . would stay ? probably - hotel nearby . 
 May 31 2007 	 central get 	 Stratford good unprepossesse budget hotel right Powell Street less block Union Square . basic room small clean well furnished . ' ve stay twice , first 311 small room back hotel . small quiet perfectly adequate . time room 601 , one deluxe Centennial Club Rooms . much large , well furnished room overlook Powell ... noisy night , morning recycle garbage collect around 4 am little late cable car start . problem sleep noise city give atmosphere , light sleeper not get one front . modest breakfast include price fine , though would nice fruit offer . free local newspaper also available breakfast . staff really helpful friendly . would stay . 
 May 20 2007 	 Stratford live expectation 	 Read review - yes room smallish , yes tv high yes elevator slow consider location , price , want outside hotel play tourist , thing inconvenience . room bathroom clean , furnish clean , bed comfortable - great stay would stay again . good staff talk helpful want helpful , gee make difference . thank . another reviewer mention request room away elevator - great bit advice . 
 May 4 2007 	 Pleasant experience ! ! ! - April 22 	 moment husband arrive hotel , staff superb super helpful recommend place eat , parking car , check we early . stay one night ( April-21 ) going spend second day San Francisco well . hotel kind enough hold luggage whole day ( 2nd day ) go sightseeing . young man reception desk one helpful people find San Fran . recommend we great place eat . example , recommend Thai restaurant lunch locate around corner hotel Ellis Street . delicious affordable price San Francisco . hotel location wonderful- ' well . love everything close . nice shop nice close even ' like shop , super close Chinatown , also get Wharf , walk couple block bus station get BUS 30 go Wharf minute . love location hotel would definitely stay . find great price webpage book directly rather via internet . compare price book directly hotel cheap Orbitz , hotels.com , expedia , etc , etc . price package include room 1 night , continental breakfast , valet parking Cable car tixs . Valet parking service wonderful ; breakfast ok ( typical continental breakfast ) pastry , juice , nut . cable car tix $ 5 value ( per person ) nice way ride around city since cold . see much parking cost around San Fran , definitely great perk car valet park location stay . room , stay Room # 817 , room view Ellis Street- great complaint view everything else hotel great . room & amp ; bathroom small ( see picture room & amp ; bathroom ) CLEAN ( importantly we ) comfortable enough sleep night . discontent heater . San Francisco cold April hotel room ancient heater hard work , even call receptionist explain we turn seem turn middle night wake bit cold . like say , big deal- definitely manageable . husband really enjoy 1 night stay hotel would definitely stay come back San Francisco pretty city . 
 may 3 2007 	 Excellent hotel breakfast 	 stay hotel 4 night . perfect need San Francisco ' need car Hotel 2 line cable car night around close late . room small comfortable , back , ' heart sound street . recommend hotel every one . 
 Apr 25 2007 	 great room great rate friendly staff ! 	 love stay Stratford . nice little room , one standard queen bed room , towards back property . not much view , not really matter we . room small , will not lie point , not go San Francisco spend whole time room . room clean furnishing nice . look like recently remodel , paint nice clean looking . bed comfy husband sleep like dream , even though neither we sleep well hotel room . love close place fun thing Market Street . right across street sort restraunt Powell short walk Westfield mall shop around . also easy get around place city well . close enough walk way Chinatown back . Stratford right cable car line , catch right outside hotel 's door . be also close underground train bus line . not noisy , like guest mention , , back property . leave window open night night not problem , ' m incredibly light sleeper . elevator seem move little slow sometimes , 's old building not expect go rocket fast ! plus , not really sort hurry . staff incredibly helpful ask buy muni pass place eat thrift shop go area ! nice someone valet park car , not worry two day ! 
 Apr 18 2007 	 charming 	 take mom SF stay 3 night Stratford find perfectly acceptable . not notice smell lobby like other mention . room small extent door open bed . find charming decently clean . request room face street would boring stay back . noisy first night quickly get use city buzz sleep like baby follow night . not find elevator * * slow not understand hurry . location - wise , definitely convenient . cable car step front door short walk Powell station . breakfast consist sliced bread , muffin , granola , yogurt , jam , juice , coffee hot water . far ideal vegan like . 's minor irritant . mom vegetarian , enjoy muffins granola yogurt . the interesting part -- someone set fire alarm early morning one day ( day break ) fire alarm send we run stair 3 time issue resolve . anyway find unintended morning exercise amusing . elderly wheelchair stress , trap 6th floor without work elevator . hotel 's fault . thing happen . 
 Apr 10 2007 	 Crammed quarter ... 	 stay recently 3 night GF ... 3 night awaken Loud noisy drunk people ... 2 .. take go back sleep enjoy evening rest . place clean , small queen bed chair next .. 's width room ... good price save money safe hotel .. give good continental breakfast ... good coffee great location .. near BART train trolley fron hotel .. 5 buck ride , time not pay fare . overall clean , safe , good breakfast , cheap , noisy night ..... ENJOY ... 
 Mar 24 2007 	 Good Deal 	 husband stay 3 night February . reserve Standard Room , upgrade Club Room . standard dark , cramp , smell stale wear / unattractive bedding . nothing like cheerful picture hotel feature online . Club Room nicely furnish , modern large bathroom . look exactly like photo website . complaint tolitrie never replenish . complimentary breakfast basic , plentiful - yogurt , granola , pastry , juice , coffee . overall , fantastic deal location . would definitely stay , unbeatable value perfect location . 
 Mar 16 2007 	 great little hotel superb location friendly staff good room 	 hotel amazing location San Francisco , yard Union Square . not know San Francisco , Union Square heart , Fisherman 's Wharf , Financial District Chinatown / North Beach area . Union Square newly remodel square big department store , good hotel many restaurant , bar fast food joint around . really bustle area , even night . two minute walk south hotel another fantastic draw - San Francisco Shopping Center Market Street , newly open mall multiplex Cinema . chinatown ten - minute walk away north . fisherman ' wharf two mile away easy half hour walk Chinatown . city ' main Disney , Apple Virgin store within minute two hotel . from hotel get almost anywhere city ease . direct access cable car , run outside hotel 18 hour day take Nob Hill , Chinatown , North Beach , Fisherman ' wharf , Aquatic Park Russian Hill . also within couple minute walk Muni Subway ( city ' tram system run underground part city ) well BART rapid transport system , take direct airport $ 5.15 half hour trip . course area also serve regular bus service open - top double decker tourist bus stop 30 second walk away outside Macy ' department store . the hotel bargain price ; pay $ 69 fairly good - sized room ( nowhere near cramp reviewer state ) newly refurbish bathroom . build closet writing desk drawer . downside room back hotel view mean view , unless count brick wall three foot away window view ! brick wall seem 100 foot high think back Macy ' department store . however , generally isolate noise Union Square ( people sometimes play electric guitar connect amp evening near hotel ! ! ) get nice quiet night ' sleep . one thing though , stay hotel six night , noise guest Friday Saturday quite loud i.e . drunk occasionally loud ( slam door , loud talk / laugh early hour ) . window open , wall outside window tend bounce sound room guest window open . however , Monday Thursday peace quiet even window open night . Friday Saturday wear earplug though trick . noise guest ' really problem nowhere near bad loud traffic nocturnal street noise ( i.e . shouting fight ) would doubt experience street face room . hotel entertainment district city lot bar about . the breakfast serve hotel good bearing mind cost room , consist three different type muffin plus toast , yogurt optional dry fruit , granola ( oat crunch we Europeans ) , tea , coffee fruit juice . breakfast room overlook Powell Street spacious plenty table . free copy San Francisco Chronicle available breakfast room . the hotel expect pre - payment least one night 's stay upon arrival . internet area small lounge behind reception ; $ 5.00 30 minute . service use new equipment broadband connection . swipe - card reader credit card build pc activate connection . people complain smell clean fluid room , think mistaken . ' lush ' hand make soap store next hotel , make product premise , rather nice small place seem permeate hotel . hotel happy store luggage , check , want spend time city flight . apparently offer airport shuttle BART station offer direct fast service international terminal San Francisco Airport two minute walk away not think airport shuttle necessary . the staff hotel friendly , especially check staff . price , hotel absolute bargain . room good size look recently refurbish , decent new bathroom ( bath , nice hot powerful shower though ) , good breakfast , friendly staff location die . not hotel lounge around , visit city would want spend time hotel ? want lounge go swanky lobby bar nearby four five star hotel . suggest Polynesian Tonga room fairmont hotel Nob Hill , absolute hoot , especially fake thunderstorm get go ! 
 Mar 9 2007 	 great inexpensive hotel heart SF 	 happy stay . room small , not view ( except brick wall ) , stay center SF less $ 70 night , be hard beat . hotel european style - room spending time , bother make huge ? everything clean enough comfortable . free breakfast good enough get day start , staff helpful time , friendly time . already recommend hotel several friend acquaintance return next go SF . 
 Dec 29 2006 	 can not wait return ! ! 	 fiance want attend Emerald Bowl , want spend lot money hotel stay . , choose stay Stratford Hotel Dec. 26 - 28 . great choice value ! ! love Stratford stay ! arrive Stratford , unload park car get back car check hotel ! everything need around hotel ! walk everywhere ! walk & amp ; Park , Fisherman 's Wharf , shop , bar , restaurant . room small , nice . love comfortable bed , earth tone decor , yellow wall , roomy bathroom . view room fantastic ! see cable car , shop , food venue . little concerned noise street , window keep sound . second night actually sleep one window open ! downside slow elevator , please remember build old . be look hotel great San Francisco location , great value , comfortable stay , please choose Stratford . = ) 
 Dec 15 2006 	 great position price 	 hotel thick action union street great position cable car stop right outside eat place around area also across street .The staff excellent helpful , hotel clean bug dirt see ( problem plumme other past ) .the complimentary breakfast good start morning toast muffin juice include . the side find size room small view back room windows brick wall keep curtain close full time room ( sleep ) .The stratford well worth price pay $ 83 night want clean well position hotel worth look would stay future 
 Nov 22 2006 	 Perfect location 	 initial fear choose wrong hotel , delighted find fact somewhere stop 3 night whilst explore San Francisco perfect . yes room little small side , somewhere sleep fine . breakfast plenty choice usual muffin toast . would problem stay next time visit . 
 Nov 21 2006 	 Perfect small hotel 	 small immaculate standard room comfortable double bed , cable tv , large bathroom . half block Union Square cable car entrance type retaurant within walking distance . ask interior room avoid street noise . also two block Metro BART station SFO Oakland airport . modest price [ San Francisco ] include good continental breakfast . desk clerk helpful , respond right away request . many foreign tourist use hotel . 
 Nov 21 2006 	 Excellent Hotel ! ! 	 locate Reno , visit San Francisco hour away . visit city frequently , favorite place stay . make trip decide surf internet see hotel option . ever San Francisco , know hotel either affordable ( would not send bad enemy way ) extremely overprice ( would not enough money enjoy amazing thing city offer ) . rarely hotel come along excellent location , great amenity affordable ~ Stratford . upon arrive hotel quite suprised . could find well location Union Square . check right away quite pleased room . although small ( every hotel room San Francisco ) clean modern . in - room internet access , I - Pod docking station stand shower . room recently remodel much nice ever expect . room 701 excellent view Powell street . one lively area San Francisco , nightlife bustle right outside window . great open window listen street musician bell trolley 's passing . morning smell fresh air city fog roll away hear laughter relaxed conversaion visitor go visit amazing city . Stratford , within walk distance premier shopping , China Town , Muni ( Underground subway system take anywhere want go ) huge variety restaurant entertainment . visit Stratford , become hotel choice . stay anywhere else city ever . look quiet way restful vacation , place . want feel pulse city amongst , try Stratford . price , location & amp ; personality make perfect hot spot . previous post mention slow elevator . one , quite slow . wait extreme , however , find use stair busy lobby time inconvenience way . , small , slow elevator another piece rustic charm great boutique hotel offer ! 
 Nov 5 2006 	 bad hotel recent trip USA 	 not know standard hotel not willing accept stay Stratford hotel far away bad hotel stay recent trip USA . thing hotel good 's location - right heart Union Square 's shopping , place eat public transport . not like hotel - 1 . rude woman check - make we wait 10 minute whilst personal conversation phone continue personal conversation whilst check we . tell we anything hotel . 2 . lift - one lift , slow , small lift San Francisco ( even old lift Coit tower fast ) . 3 . room - tiny . open door would hit bed enough space two suitcase . bathroom sink foot bed windows & quot ; beautiful & quot ; view neighbour room . also rusty ( dangerous ) heater not work . 4 . security - come home one evening , day find , horror , room door open . luckily nothing steal report front desk instruct not want housekeeping room . would definately stay Union Square , Stratford Hotel . 
