alarming 	 ok , ' ve read review know well . truly alarming place , fire alarm still go middle night ! ! ! review go back 2006 refer problem , still happen ! ! ! yes , 2009 ! ' m multi - night business trip . far , one night , one fire alarm . can not afford tired . ' m multi - night business trip . one fire alarm middle night ' m outta ! ' m willing overlook tired decor , dirty bathroom tiny room location awesome . fire alarm different story.location ? double check.staff ? check.cleanliness ? much ... alarm issue ? enough put place bottom ... 
 likely stay 	 due flood Kingsway Hall offer alternative ' sister ' hotel . turn bit like one Cinderella 's sister . small room , though clean . unattractive lobby team ilalian teenager arrival team Italians departure . breakfast . try get case storeroom joke , stand concierge desk rude hopeless . ' you try job mate ' say complain Italian . ' not even ' . proceed take everyone ticket stub everyone mix free ensue . get another job get properly train . do not stay . 
 lilliputian room well locate clean hotel 	 London conference first time city , stay room little time . feel claustrophobiac , though , ' ve never . room ridicously small , could unpack clothe . use toilet venture . staff , except door man , condiscende unhelpful ( ask twice stand suitcase hair dryer ) . good side , clean location great , neighborhood public transportation . 
 Nov 16 2008 	 noisy good location 	 book hotel rate location ... arrive reception area wait 15 min attend could not find booking ... ask non smoking room put we twin first floor ( smoking floor ) room tiny engine right behind head do not sleep all . in morning complain girl reception kind ( one ) move we sixth floor executive room .. big one still noisy connect room could hear everything room next we ... also people walk come 2 am talk hall ... bed wear unconfortable .. rate bad worth pay ... hotel good location think make something regard noise ! ! ! ! ! 
 Nov 16 2008 	 Bad Hotel ! ! 	 go bore everyone really long review overall stay awful . boyfriend view picture room via website & amp ; arrive shock tiny bedroom ! bathroom also small could not even get sink without shut door . double bed tiny , foot hung end bed & amp ; ' m 5 ' 5 '' ! staff foreign come across rude . order film not work call reception get sort we see though have already pay unhelpful ! top breakfast boyfriend find several hair within food buffet ! 
 Nov 10 2008 	 return probably 	 stay Kensinton Close three time ( twice tour , first last night three day stay May 2008 ) probably . grant , room consider tiny location ( short walk Kensington High tube station bus stop ) really great full english breakfast pretty satisfied . the hotel little shabby see improvement . we not use hotel dining facility ( except breakfast ) gym facility Sports Bar great place grab beer bed . 
 Nov 9 2008 	 Perfect Location . 	 Kensington Close hotel perfect location toursit trail city . less 5 minute walk nearest Tube Station - Kensington High Street , circular line . also within walking distance Kensington Gardens , Hyde Park attraction close these . the hotel room small serviceable , place lie head end day . clean bed comfortable . lovely area stay , feel safe night reaonably quiet night . 
 Oct 24 2008 	 Bring ` ` Hotel Inspector '' ! ! ! ! 	 painfully slow check nearly kill corridor & quot ; death trap & quot ; carpet hole large foot ! - clearly consideration health & amp ; safety , later discover load rip & amp ; hole carpet , none even much piece tape ! dangerous & amp ; irresponsible - perhaps gift horse & quot ; compensation culture & quot ; .The quality accommodation extremely disappointing & amp ; sub - standard - 's absolutely WAY 's 4 star . mould smelly bathroom , dirt headboard & amp ; enough room swing cat ! incredibly uncomfortable difficult work , food / drink & amp ; wifi price total rip off . room service almost cold meal poor quality ; breakfast nothing special & amp ; lunch next day . fact , food taste & quot ; & quot ; stay violently ill . check yet another nightmare - claim credit card detail , personally witness put computer check ! conceirge excellent , staff poorly train , inattentive rude . positive note , location good shopping probably keep & quot ; Health & amp ; Safety & quot ; & amp ; & quot ; Food Hygiene & quot ; officer & amp ; & quot ; Hotel Inspectors & quot ; employ forever ! ; - ) 
 Oct 17 2008 	 beware ! bad experience tourist class hotel 	 company select hotel 's Central London location . willing suffer inattentive staff service always keep wait , exorbitant WIFI charge , questionable credit card safety practice , might fine . , however , expect hotel . excessively long wait check - in , door handle fall hand try enter room , staff secure credit card information , would willing stay . low expectation stay , might appreciate great high street location . 's thing go . 
 Oct 13 2008 	 Pretty average 	 visit hotel two night group . room ok . double , small . clean enough could update . corridor tatty . lobby area nice . not eat restaurant sport bar ( forget name ) good . not use Gym Spa . use one meeting room . fine , however , mix booking ( room double book , believe ) hold hour . hotel representative not friendly it . also , check , group leader assign we room mate , however hotel mix everyone reason . great location ! close Kensington High Street tube station . handy hyde park albert hall . go back would , probably would not choose stay . 
 Oct 5 2008 	 orrible room ! 	 group 2 nights.we suppose sleep 4 star , pay lot 2 night tour operatorwe not young also accustom good level comfortthe room narrow corridor , , mini - bathroom . linen old.the mattrasse moquette quite dirthy.the call continental breakfast really poorthe people helpfulnot four star , 3 star , orrible experience 
 Sep 19 2008 	 impressed 	 stay kensington close hotel one night part pre book package would choose . lobby bar spacious nice price . could use room downstair put room bit small pokey . enough room two suitcase . say clean glad one night . could get room severley discount rate would ok great location . 
 Sep 17 2008 	 Avoid - 's much well London price . 	 average . room TINY . bathroom miniscule extremely cramp loo . room small bed wall get one side . headboard ridge food sick go dusty notice next day . staff friendly polite . really poor bar restaurant . Londoner , embarasse many people go hotel - much , much , much well London price . low standard plenty money part tour group ( apparently keep hotel go ) - place . 
 Sep 13 2008 	 expect well 	 couple e bay auction ok price . as 4 we try book two room tell first time vacancy leave e bay room . Rang next day able book one room straight away . we upgrade enable we get another room ( £ 60.00 two night ) .booking -- trouble all . the room small bathroom tiny . no chance allow two time . they also need renovation , sad tired . the main problem noise outside . if room front building taxi rank also spot quite coach turn park engine run . this start approx 4.30 stop approx 12.30am . the second night think drink would help couldnot get drink past 1.30 bar close . what hotel size day age shut bar then . I complain breakfast , expect croissant roll cheese , ham egg . , want full breakfast look tasty . I really glad pay full tariff would unhappy disappointed bunny . would go again - not nellie . ! ! ! 
 Sep 8 2008 	 nice enough overprice 4 * 	 return night away Kensington Close hotel . partner book hotel part theatre package base decision location fact 4 star hotel . location fault brilliant literally around corner tube Kensington High Street . upon arrival evident immediately 4 * star hotel . carpet wear place look bit run . checkin nice man upgrade we Executive room standard room say small . thrilled look forward luxury one would expect Executive room 4 * hotel . room would call executive ! upon arrive door see peep hole hang door great first impression . room small compact would dread think small standard . know hotel repeatedly state room size standard central London sorry stay many hotel Central London year none small . facility room include nothing trouser press , small tv channel 1 - 5 kettle . quite would call Executive . room clean bathroom old tired . lot mildew gunk tile bathroom , stain furniture tear marks wall . bed standard double springy spend entire night cling try fall bed . big bug bear noise back hotel . could window open extremely loud noise sound like air conditioning unit generator . non stop entire time . breakfast next day say good . load load choice cheap sausage sight . would recommend hotel base location adequate facility however would recommend luxury 4 * hotel would bitterly disappoint . overprice offer good basic hotel . 
 Aug 27 2008 	 swap room cupboard 	 arrive late mrone room ready give key return theatre show . return tell room change find tiny room stank cigarette smoke slide bathroom door would not close . complain duty manager room leave . give original room someone else obviously not like one end . promise customer relation person would contact we not . would not let cat stay 
 Aug 20 2008 	 impersonal ok 	 arrive late tell not room we , would give we club room come next day get type room reserve ( pay full two month advance ) . also ask want put 200 pound pre arrange credit ! ! club room incredibly small despite photo show small table chair . satellite tv message & quot ; sorry available & quot ; entire stay . comforter little warm . have nice sheet summer time . go next day get room around 12 p.m. find good queue front desk . bring luggage . wait several minute , note people jump queue go right desk . sure could use queue lineup barrier sign & quot ; queue & quot ; . finally turn , say would check housekeeping . course house keep not room . tell come back 30 minute . come back still not room available . ( good thing leave suitcase upstairs one elevator work ) . later , ask , not reception call we room available , constantly ask reception ? eventually , get room , somewhat smokey . , pretty much lose full day need instead wander around hotel get room . the breakfast good , beware rude people jump front everywhere . sometimes food stuff run , seem eventually refill . as other probably state , internet cost work couple floor - 4th around lobby . room little rough . Scratches / break bit formica furniture , mold bathroom , carpeting seem need hot water cleaning etc .. one day , notice blood something towel . satellite button work remote . tired usually stay late watch 5 channel tv . during checkout , person say would pay extra club room . tell story apparently even though say would note computer check , not say anything note . otherwise location tube restaurant good . fair amount hallway noise time time . outside noise bad . it have nice refrigerator room , club room . four star hotel refrigerator every room . 
 Jul 25 2008 	 blood bed mould bathroom ! 	 small room , mould bathroom blood stain bed ! hotel full could not change room price pay would least expect clean room supposedly 4 star hotel . great location though room quiet . 
 Jul 21 2008 	 one bad experience another 	 book hotel two night stay wife infant son excellent location swimming pool ( pay € 5 use pool ; difficulty ) . request standard double room travel cot receive prompt reply reservation would arrange . first impression good - check tell ( without ask ) cot already set room ( Room 379 ) . arrive room cot space assemble cot . leave wife ( tired ) son go back front desk . receptionist tell would send cot could nothing size room - note standard size double room hotel . tell want room fit purpose ( i.e . would gladly stay room could fully open door room without hit cot ) . also produce email confirm book double cot . suggest pay upgrade large room . refuse . long wait , consult management , ' upgrade executive room ' ( room 3001 ) . turn normal - size double room , comparable 3 * 4 * hotel London . no - one offered help we luggage - either arrive switch room . next morning spray head shower miss . stand shower like wash garden hose . 8.30 rang housekeeping promise deal matter . tell lady would room day ( apart 12 noon 2 pm ; son nap ) . also tell need shower available 6 pm ( go evening party ) . tell worry . return 12 noon , action take . request , housekeeping make follow - up call maintenance . maintenance guy arrive state problem might fix part available . housekeeping rang suggest move room . ask speak manager , rang offer room change . unwilling change room due disruption involve ( 2 - night stay already move ) . reluctantly agree manager would use shower swimming pool free charge . happen 12 noon 2 pm , little boy try sleep . we return fantastic afternoon nearby Princess Diana Memorial Playground ( Kensington Gardens ; great kid ) . arrive swimming pool ask pay admission £ 5 . explain pre - authorised . girl pool make telephone enquiry front desk tell allow shower area unless pay . personally rang front desk explain everything happen since arrive note time pressure . ask wait ' about 10 minute ' speak manager . tell would wait go straight away . nice facility - could relax unpleasantness front desk . fortunately , difficulty go back shower next morning . summary , hotel well locate potential good mid - range hotel . believe responsiblity problem encounter primarily rest senior management hotel - many staff encounter unsure proceed unwilling take even obvious step help guest without talk management first . fill coment card email address leave look forward hear hotel due course . 
 Jul 9 2008 	 close ... 	 main reason choose hotel advertise free internet , case . fact , 10 pound 2hours . not complimentary breakfast ( probably normal ) . everything else room fine . the good thing stay concierge service . get 8th row seat inquire musical Wicked , also completely take care whenever question . schedule last minute flight paris get alot help get direction involve underground , taxi , bus . love they . the front desk not great either , interested help all . overall , stay decent . 
 Jul 7 2008 	 convenient location 	 nice , clean , large well locate hotel . however , room cubicle - sized relegate bowel room locate far end hotel ( sport bar ) prepare hear plumbing noise throughout night . 
 Jul 5 2008 	 ok bit drab around edge 	 teenage daughter stay Kensington five night June . outward appearance hotel physical structure fine , find room bit lack detail . never seem like carpet get vaccume not feel get fresh sheet . bathroom obviously remodel , hot cold reverse sink cold knob take bit jiggling get work . daughter use onsite internet ( fee ) computer keep crash . staff helpful overly friendly . ' m sure would stay , love neighborhood ! 
 Jun 28 2008 	 hole 	 stay hotel end cosmos tour . small room stay 44 day . double bed wall , crawl one another get bed . reverse toilet like long closet . shower end bath another hole , climb tap spout , handle help end bath wall side could reach . nowhere put suit case room small ... avoid cost we $ 300 aud night 
 Jun 18 2008 	 ' bother 	 Hello everyoneWe stay Kensington close hotel previous December since choose London Christmas hoiday . choose hotel among other ( give list travel agent ) mostly reasonable price . apart , .we see photo hotel room internet photo room seem cozy , clean comfortable . course , aware fact room would small , small finally turn be . do know first thing arrive lead room ? immediately dash buy sheet blanket . no way would would lay body cover sheet , seem clean long time . far room give concerned , small enough space luggage personal belonging . I suppose one could say could use wardrobe , dirty even think leave anything . carpet filthy , . toilet ok clean towel though . the bed one side wall . window . well , soon realise handle break . result room cold , especially night . ( even though heating ) . hear people group dealing problem nothingwas do 4 day stay there . the breakfast buffet average . provide mostly english breakfast use . find really annoying every morning wait line order breakfast , ( sometimes 25 minute ) even though wake really early ( 8 ' clock ) beause want avoid kind situation . unacceptable 4 star hotel opinion . above , soon realise sheet change daily think . particular , change 5 day stay hotel . change towel toilet , leave toilet paper ... ' . 4 star hotel , leave sheet 4 5 day , leave room dirty , leave damage make wonder , really ? reason 4 star give hotel ? mayby location ? must say though people reception kind willing help . nevertheless , great time London ( try stay away room much possible ) surely come back future , hotel . 
 may 30 2008 	 distinctly Average - go somewhere else . 4 * 	 arrive around 10:30pm - check - in polite friendly . room strange odour later discover due patch wet carpet corner room ( tired report get different room ) . room ok ( ) need maintenance ; room door lock not work properly security chain ok , bathroom tired , desk draw break , paintwork tatty etc . check late working room ; queue tourist reception one person operate check - out although count five staff mill around apparently oblivious mount anger queue ! end , us appointment keep leave key desk walk . tara hotel next door much well wish go . 
 may 27 2008 	 Kensington close bad hotel stay year 	 Kensington Close Hotel = DisasterStay Clear CanHow get 4 - star Rating Mystery , inquire , 2 star bestI choose hotel location fact offer free wifi ( actually be not ) . prepaid 3 day , bad stay 2.for one thing hotel location good ( though Kensington high street tube station really circle line , train run scarcely ) .For anything else , hotel disaster , charge GBP 15 day ( $ 30 ! ! ! ) wifi internet access , ask hotel manager advertise free , say mistake , happy offer 2 hour access voucher , insult stay 3 dayseverythe else supplement , usd 10 want use gym / spa , usd 4 order room service , etc . the room minuscule tired , smell badly smoke , bathroom tiny , tub rust . 
 May 26 2008 	 Comfortable 	 spend week London , sight - see goofing , Kensington great . staff extremely friendly helpful , room clean every single day , food good , along room service , laundry service spa . ( seriously good massage ever ! ) single woman always comfortable feel incredibly safe hotel would suggest anyone . concierge get theater ticket want , give thousand set direction helped pick day trip take city . oh , location close Tube convenient nice tired foot end long day ! London awesome trip period , great hotel make even enjoyable . 
 May 21 2008 	 Friendly Hotel 	 stay hotel six night part tour group . friend share double room two single bed , friend single room double bed . room small , expect . adequate closet shelf space . like able open window fresh air . Hair dryer desk drawer . toilet small space toilet paper holder way , minor . staff friendly helpful . store luggage lock basement room room ready , realize need prescription drug . take immediately retrieve drug . like area hotel , boot ( drugstore ) street , Kensington High Street tube station two minute walk away . especially enjoy little tea shop , Muffin Man , half block away . lovely London neighborhood , Kensington Gardens five minute walk hotel . 
 May 19 2008 	 good ....... 	 good hotel , staff great . however like £ 5 service charge order 2 drink , . like give tip service outstanding , make pay .Spoilt good hotel . 
 May 13 2008 	 ok small room 	 Nice hotel , small room . room clean tidy 
 May 8 2008 	 potential way go yet . still good overall though 	 location great , around corner Kensington High Street tube station build clearly potential . check - in fast friendly , room , well , let us say small even London standard clean , hey , much time spend room anyway sleep ( answer 5 hour per day consider upgrade one hotel 's club room , surely must big ) .The shower powerful enough hot ( say hotel central London ) air conditioning excellent . have drink sport bar - huge space , think probably get fairly loud big game , plenty watering hole vicinity hotel . the steak restaurant look lovely walk past hear good thing it . the garden behind hotel could hide gem clean bit additional table / service . the room quite night , too . overall okay central London hotel . would certainly recommend get good rate central location . 
 May 1 2008 	 Overall Good 	 stay hotel 4 day stay London . hotel clean , well stock , close proximity tube . room small , London . restaurant sport pub courteous attentive staff . front desk staff always break change phone complaint . breakfast decent . get start wrong foot though . reserve room twin bed , upon arrival one available next morning . place separate room . last 10 minute . call desk tell staff … no way . ( 550 room single room accommodate reservation ? ) lug luggage back reception , place we room double bed . compromise . all satisfied would stay . good location , nice staff , adequate food service . 
 Apr 25 2008 	 firm not book place would never go 	 change job hotel ! previously meeting country house hotels current company choose central London . location hotel good - Central Line connect major site . whilst accept room small expensive Central London , country house hotel offer superb service food attract customer middle nowhere , hotel really need buck up . room sixth floor ( 643 think ) book double single occupancy . bed small push wall , little space around . husband , either would fun intimate night one outside would fallen bed . go open window , already notice fade curtain , find mold grow net . impressed . view courtyard ( read concrete square ) contain skip . four morning , refuse truck turn empty . end sleep . bathroom small , odd shape , adequate . not try bar evening meal . breakfast average buffet fare - lucky egg freshly cook , pick good bit everything else . on checking charge £ 30 night quote rate - pay , company sort sort thing . may big deal family stay night . 
 Apr 24 2008 	 Great Location ! ! 	 stay two friend late March . arrive early bag store check - in later day helpful . problem whatsoever . when eventually check - in twin room small , however time spend room not problem ! single room much big say time spend not put downer trip ! hotel right road tube station easy find ! hotel great location plenty amenity High Street plenty locate minute away tube . Buffet breakfast fine , always plenty hot food . although continental lack fresh fruit . however never go hungry breakfast ! always something pick from . we book website call skoosh get really good deal consider location hotel . staff always happy help , especially direction advice go . complaint ... however , book not expect big room ( say hotel London course ! ) 
 Apr 22 2008 	 really smart clean room - great bed ! 	 last minute booking , fantastic location . hotel really close good restaurant bar . room not huge , smart , clean fantastically comfy huge bed ... staff really friendly helpful . 's movie choose need entertainment lot place go close not actually spend much time room . slightly hungover , powerful shower much appreciated morning . would definitely stay city break . 
 Apr 21 2008 	 thing go hotel location 	 service extremely slow check , find book we double twin room . small double bed , 4 ft would say . breakfast dreadful , poor standard especially full english ! would stay , hotel shabby need revamp . 
 Apr 13 2008 	 small room 	 stay one night hotel . although overall hotel ok - nice bar breakfast etc . actual bedroom small , consider suppose double . also , partner 6 ft bed certainly not ! ! foot hang end - small bedroom bed small well . great situation sure would bother stay - especially rate charge 
 Apr 3 2008 	 wonderful hotel 	 trip overall amazing . power room go one night speak manager pay portion night almost yell we take another room ... would do except dark afraid leave stuff behind . end get $ 14 refunded . staid nine day though bad thing happen . room huge wonderful view city . expect . would absolutely suggest stay . one suggestion , avoid thai restaraunt street . suprisingly expensive ( London ) food verge gross . 
 Mar 27 2008 	 well expect 	 hotel bad . location really make 4 star opinion . because travel group not get good service perk . like porter meet we carry luggage depart . not expect either . the locatiion excellent . right around corner everything . Kensington High Street Tube station . several place shop eat . hotel situate quiet neighborhood . Flower box home surround wrought iron fence . fab coffee shop right street . something would not expect hide . try Brasserie Chez Gerard 9 Kensington High Street . food service outstanding . the hotel clean decent . mostly business people . 3 4 computer business center . little shop sell water , trinket etc . one dinner 2 breakfast 's . dinner buffet ok . breakfast ok . hate coffee ( IMHO ) end tea breakfast 's . breakfast bake bean , egg , sausage , cook bacon , toast , can fruit , bread , butter , jam pastry . ' m sure could get much well head High Street . the Hotel staff friendliest we , travel 38 people mostly teenager . one hotel staff member actually smile friendly . day leave . I would stay hotel recommend . 
 Mar 27 2008 	 love Kensington close ! 	 ( 3 daughter ) travel London Holiday March 15 thru March 21 , 2008 . absolutely fabulous travel agent ( Sally Black ) vacationkids.com book hotel stay Kensington Close . extrememly satisfied choice hotel ! Kensington Close may old hotel , ..... well train staff , great service cleanliness hotel make fact & quot ; Brand new Hotel ! & quot ; room clean , comfortable . bit small American Standards , & quot ; stay & quot ; room . & quot ; English Breakfast & quot ; great ! plenty everything , keep fresh . even pickiest eater find something enjoy ...... breakfast pastry , fresh fruit , cereal , egg , sausage , bacon , etc . Sports Bar locate inside Hotel friendly staff , willing accomodate special order . girl enjoy couple soccer games lunch .... tasty ! hotel offer entrance on - site spa / gym / pool ( nominal fee 5gbp per person ) adequate . on - site gift shop friendly staff . concierge desk doorman great help always greet smile ! overall , would highly recommend hotel anyone . location great .... close shopping , tube , restaurant , museum , etc . quick 10 minute trip Taxi Picadilly , Oxford , etc . short walk Portobello Road ( Antiques ) area . love ! ! ! ! 
 Mar 24 2008 	 Nice Hotel Great Access 	 first time travel abroad exception , fantastic experience large part due access hotel provide area . close ( around corner 1 block ) underground station , turn take throughout London . want check e - mail , Internet Cafe 2 block away main street ( would not recommend internet station slow expensive ) need make phone call , plenty phone booth available ( , expensive service use suite phone ) . use bar : good food good drink , nice patio night . great experience would use back London . 
 Mar 24 2008 	 location selling point ! 	 stay 5 night due study / exam London week - hotel advertise executive room desk work facility - think McDonalds well facility ! overall review - tired hotel charge fortune simply due location ( £ 180 / night ) .i several problem room week - enough bedding ( cold night ) ; 3 window would not shut properly ( good November ) ; shower would not turn morning ; fire alarm 6 am direction staff outside building . I complain issue stay afterwards still not response ! 
 Mar 19 2008 	 Lovely Hotel 	 cousin stay 2 night . bit worried place look picture site need not worry . arrived greet friendly , chatty doorman carry bag . check - in quick staff friendly . room lovely . 2 downside , although minor . first room not well lit . secondly , towel rail keep fall holder easy put back . breakfast lovely . buffet , bring table could go help . not busy not hold . area perfect quite stay also good shopping . tube around corner be well cut boot get quick . also go book manicure problem supplier could not get do . staff helpful pleasant recommend place around corner could go to . I would definitely recommend place friend . would also definitely stay . 
 Mar 14 2008 	 okay Hotel 	 's okay hotel . would not stay couple night . seem quite old fashioned ! defo need refurbish ! ! . staff friendly . location ideal right next tube . breakfast big disappointment . toast cold , hot chocolate cold great selection food . 
 Mar 11 2008 	 Far City Centre 	 choice 2 hotel via voucher brother buy we christmas show , look lovely , room £ 99 night upgrade Club room £ 199 change 2 night , pay extra , 1st room put we big enough walk around bed rediculously small queen size bed . | ask maid room small show £ 99 room next door least 4 time big 1 , complain give we choice 4 room settle 1 alot big overlook street front hotel , also £ 199 per night give continental breakfast ask full english want pay £ 2,95 extra , refuse not cost principle , make fuss upgrade breakfast free charge . the conceirge fantastic helpful , doorman . get hot meal 10 oclock night tell could come back show get one not true sandwich , would stayed really know that . the hotel far , want shop , show museum etc place , Kensington little shop , taxi ride least £ 10/12 centre . hotel clean though , would not stay location . 
 Mar 9 2008 	 Bleacckkkk ... 	 fan place . be really large absolutely character . room teeny - tiny ( yes , ' m use small room London , take cake ) . bed oh - so - uncomfortable , spring pierce back . view metal HVAC roof leave much desire , particularly area town . tub / shower leak , leave 1/4 & quot ; water floor . fire alarm 4 a.m. funny smell hotel , akin vet 's office . also cigarette smell , even [ non - smoking ] floor . one good thing ? location right around corner tube , though find difficult navigate around District Circle line close . Sigh ... would definitely stay . stay much nice place less cost would apt visit one ahead Kensington Close . 
 Feb 23 2008 	 average hotel good location Kensington 	 stay part Cosmos tour . front desk staff speedy first room rear hotel obviously see well day . Stark poorly furnish , feel like have show cell instead room ! call request transfer room front , much nice . include breakfast good lot variety . hotel short walk Kensington High street place shop eat short walk tube station . want simple reasonable light meal try small cafe Marks Spencer store , sandwich soup reasonably price . location okay hotel nice enough want stay someplace discount end . second room clean bed comfortable . return outing find room key not work front desk inform we have check , course not . settle well , though , family stay summer , would stay price location . hotel will not highlight trip , be adequate . 
 Feb 17 2008 	 Great Hotel ! 	 book 2 night stay hotel large group attend conference Earls Court , impressed initial enquiry way booking handle . communication hotel excellent , wide range request accommodate without fuss . the location Kensington High Street excellent ( near shop , bar restaurant main road surprisingly quiet ) , hotel easy find . coach able access hotel drop off / pick easily . send guest detail advance group check - in quick easy . reception staff , concierge duty manager polite , friendly helpful throughout stay . I book mix standard twin double room party , little concerned size room read review . huge small many hotel use . large wardrobe provide enough storage space . space bathroom little tight , full size bath overhead shower , clean . comment English breakfast take continental , fresh plentiful , include cereal , toast , fruit , bread , pastry , tea coffee , fruit juice . Sports Bar hotel busy night stay , although expensive ( hotel bar usually ) , nice atmosphere friendly staff again . overall , good location , comfortable accommodation excellent value money ( especially call directly haggle little ! ) . definitely use hotel 
 Feb 17 2008 	 surprisingly awful 	 hotel recommend friend give rave review . personally find hotel dirty room small room store suitcase . return room ' clean ' find hair bathroom floor ( definitely mine ) . ' one thing ' stand , ' people ' hair . also small tv 5 channel . it seem like hotel vastly different room would recommend give small room , ask move . also leisure facility charge £ 5 per day - something not aware booking . 
 Feb 12 2008 	 Excellent Location Friendly efficient Staff Outstanding Rooms A++ ! ! 	 hotel far outstanding price location ! staff friendly , 's couple efficient service , great facility contemporary chic room great corporate prospect ! see mixed review website little doubtful everything read ; however , stay weekend completely change mind ! even get , special request partner vegetarian request also . lady reservation efficient prompt email response , extremely resourceful everything help we ! even get touch various department hotel order request satisfied . get hotel , easy find , literally 2 - 3 minute walk station away hustle bustle end street quiet location convenient enough near High Street Kensington station range shop ! check relatively simple extremely friendly staff concierge service ( check bag early ) great ! room little large standard , even see friend 's standard room look average size especially rate location ! room fact great , little seat area also table breakfast either continental send room ( even let pick want send paper within 10 minute order ! ) English pay great service , hot food , load choice quite nice large restaurant room ( sense ) . room clean well decorate shower / bath well fridge , Ironing Board , lot cupboard walk space desk nice view street ( sure Fridge standard room though ! ) . also tv range movie , standard channel . hotel also quite exquisite dining menu provide range cuisine different taste preference . restaurant serve good food emphasis value money , take special request consideration staff generally quite friendly ( actually want ) . strong sense community feel amongst staff , nice see . also regular event sport show Lion Bar nice steak house restaurant garden ( think ) relax ! lot space chill include iBay ( computer area ) various seat area around hotel quite modern cosy style . corporate room great , especially value money especially one even hear outside corridor inside ( brilliant ! ) accommodate even large group people . also swim pool spa facility far cut rest hotel one see central London . open 7 am -9.30am every day believe . great want unwind relax long day , not available lot hotel price pay . strongly disagree three star hotel , edge towards definitely four nearly five star provide wonderful service provide great weekend . even though partner ill throughout night , night staff Housekeeping , Reception , Room Service collaborate together everything possible help partner ( medicine , hot pack etc ... ) whilst keep contact let we know progress helpful say least ! hotel great prospect corporate client due location , young single look great weekend , family want unwind due leisure facility , old traveller due general efficiency staff generally everyone hotel accommodate type people still provide 5 * service ! stay , shall definitely stay shall post picture hotel upload camera . the duty manager extremely helpful lady reservation especially , three girl helped stay reception , include night staff ! would definitely recommend , friendly hotel great facility convenient location good transport link . definitely expect see value customer near future ! 
 Feb 11 2008 	 actually nice hotel 	 reading mixed review scare arrive rubbish hotel tell friend bad go find something well . ... arrive 2 pm get check really quickly , tell clearly room reception staff polite friendly . in room : twin room two single bed , clean , nice space clothe desk area large mirror . long mirror opposite bathroom . bathroom everything clean shower powerful hot . loo hide behind door tiny space sort bathroom back loo ok ! spa area be not work pool nice clean lady change room well . the bar food - lion bar - hotel ok drink reflective london drink price . the tube station min walk hotel . also boot , & amp ; local bank too . the room ok two people spend much time hotel , use shower , change , watch bit tv sleep worth money . stop london fair bit say expect money pay . 
 Feb 8 2008 	 extremely small room ! 	 stay attend trade show olympia kensington . location great purpose . however find room really small . book standard room reasonable enough price . room fill double bed climb partner get ! second day room clean cleaning staff leave wet dirty pillow case behind leave partner jacket ! ! 5 channel tv news channel ! bar nice staff helpful regard tube info etc ... location good 2 min high street kensington tube station . hotel okay business weekend would recommend anyone pleasure weekend ! stay berkely court hotel 3 week previously one quater price room much big ! return hotel return London ! ! 
 Feb 4 2008 	 Convenient Location 	 large twin bed compact room typical mid range London hotel . bathroom also small . generally look tired . pick hotel starting point Cosmos Tour . location great 10 minute High Street Kensington tube station . close shopping area Kensington restaurant . within walking distance Kensington Palace . 
 Feb 3 2008 	 good hotel easy accessible location 	 Kensington close good hotel easy accessible location . staff hotel friendly efficient . two restaurant , bar , lounge , swimming pool , spa gym site . room clean fully equip arrival . full colour tv BBC1 , BBC 2 , ITV , four five . bathroom bath overhead shower . bed comfy . overall good value money , one night stay . it ' shame ' disappointing review , however enjoyable stay . 
 Feb 1 2008 	 basic room good service 	 book hotel work anticipate 4 star good location , would comfortable place stay . have select standard twin room , follow read review , expect small ... ! room contain 2 single bed basic bedding , desk , small cupboard bathroom . bed less metre space wall , tight squeeze 2 people . small portable tv 5 analogue channel , kettle cup drink sachet , however hairdrier limited storage space . lock door break , although made not get code safe room , take valuable . good aspect hotel staff . friendly helpful . leave bit disappointed standard room not pass 4 star . much like budget accommodation , although ' ve hear club bedroom comfotable . 
 Jan 27 2008 	 Good Location - ok hotel 	 Hotel staff friendly , arrive early allow check straight . twin room small ok . bathroom ok could lot big cleaner . staff try help request language barrier little hard ( speak fluent english ) breakfast ok bit cafeteria style quite basic , eat hotel resterant one night ok worth money . eat . location really good . staff try help fault altogether ok plan day need good location bed would fine . 
 Jan 16 2008 	 not bother . 	 friend book room 6 night . first room give we small kept laugh fact could reach poke arm respective bed . bed seem small average twin , foot hung end . ( ' m 5'11 ) first room also directly pub loud thumping music people conversation make impossible fall asleep . follow morning ask room could change loud . get identical shoe box size room one floor . next day shower get dress left towel ( one bring home hotel towel usually small , ' m tall ) dry suitcase . ( add nice large towel obvious logo ) book reading leave night stand next book friend reading . upon return room evening find book jacket book book book completely go . towel take well . look around room realize thing go , nothing else miss . call front desk , completely useless . promise we manager would call we . take three day someone contact we . ( go desk twice day ask manager . ) apology make . restitution . nothing . people work well management deal completely incompetent . would recommend hotel someone travel alone luggage lot money waste . otherwise , plenty lovely B & amp ; Bs hotel nearby much offer much reasonable rate . ( desk staff encounter hotel awesome . ) say , read every review decide . say yummy thai food place across street . highly recommend . 
 Jan 15 2008 	 terrible - stay away 	 can not believe hotel supposedly 4 star , can not think - guess must crazy way star rating - mainly base facility . room small grubby , bathroom date dirty , none staff speak fluent english breakfast terrible ( acceptable £ 15 ) ! ' ve london work many time , far well ! upside location good . 
