wow 	 great hotel ! stay wife one night , get great deal hotel . amazing location , great staff . bed amazing pool gym also stack many machine great view work . hotel staff helpful , wife forget pair jean mail back we free . ' ve never see much effort staff . can not wait stay . 
 May 26 2009 	 Trump tower rest - one exception 	 enjoy stay Trump Memorial Day weekend one notable exception , get later . arrival indication thing come – valet take car let know could deliver : 10 notice whenever wish . recognize bell captain " Emanuel " day Sofitel take good care we . bellman , Shawn , friendly , polite knowledgeable . Shawn wait check son give " Trump Kids " amenity . front desk staff professional , yet seem throw curve make request change room – yet remain " room - type " category . we reserve King Suite city view reservation assign we room end " 28 " know face IBM Plaza – something ' want – request moved room end " 02 " command view River North . one may access floorplans advance stay : www.trumpchicagohotel.com/accommodations/interactive_floor_plans.aspthe request accommodate Shawn show we room explain everything pushbutton " Disturb " sign espresso machine ( make really awful espresso , must say ) . take time make we feel like vip ' . suite spacious comfortable , decorate muted gray furniture kind dark wood . view mostly north along wabash small view Lake Michigan Hancock well . nice two flat - panel HD television suite dvd player . also nice two full bath ! linen crisp comfortable . wife though bed bit soft , fine . pillow menu request honor accurately promptly , even though request different room upon check - in . turn one thing housekeeping get right . getting settle , go straight pool , command view east Chicago River Lake Michigan . unfortunately , telephone pool us order cocktail , walk spa area . take half - hour deliver drink , find later , exception rather rule . server also buy milk cookie amenity boy wonder would prefer deliver room instead . prefer , take care . really nice touch – boy ' name write plate chocolate tell we later " good cookie ever ! " use in - room dine one breakfast dinner . impressed Trump stock spiegelau crystal kitchen . full complement plate , silver kitchen tool welcome . in - room delivery time accurate minute occasion . graciousness competency server welcome quality food simply marvelous . trump clearly room - service . wife forgot include bottle wine dinner deliver within : 05 minute order . wonderful refrigerator room , bring bottle bubbly we , sodas juice kid place stow deep - dish pizza leftover ! Chef concierge Joseph Coston helpful CTA bus information dining option concierge Kathleen Zubroski score excellent Mary Poppins ticket we advance arrival . Trump Concierge staff good ' see Chicago ' stay luxury hotel exception Park Hyatt . my spa treatment , word , transformational . highly recommend therapist Jon Meltzer . amenity spa first - class locker / shower facility fine ' see . neat able choose aromatherapy steam room tray three option . Kohler multi - head shower music light man ' locker room especially wonderful . chill , bottled water abundance towel groom material . ' use Sauna . would perfect stay ongoing issue housekeeping : # 1 ) ask Housekeeping large bathrobe slipper standard robe slipper ’ fit . tell would deliver promptly , . end get large robber Spa locker room never find slipper fit . # 2 ) first night room , turn - down staff show 5 pm , return pool . informed person ' want turn - down service stay 6:30pm early . 6:00 pm – turn - down come door ! send away . 6:30 , leave Mary Poppins , arrive service . ask sure leave extra pillow blanket boy sofabe . arrive back show 10:30 pm find one pillow one blanket sofabe . credit , within : 10 minute extra request . # 3 ) second night , turn - down show 5 pm tell service early 6:30pm . , another knock door 6 pm . ask come back 6:30 plan leave make clear extra pillow blanket save previous night use . arrive back hotel dinner 8:30pm find one pillow one blanket sofabe . must call additional pillow blanket . # 4 ) third final evening hotel , tired day Lincoln Park Zoo shopping go room 3:45 find housekeeping staff start service room . ok – decide go rebar drink , enjoy another nice view river . serve we small tray nibble item include fave - pit kalamata olive . sushi menu look good – expensive – want drink view . return room 4:30 disappointed find housekeeping still . time , remain room ensure extra pillow blanket deliver sofabe make . guess – 5 pm turn - down knock door . five - star hotel cry loud . suppose note kind thing tell . ' ' get chance register complaint management check schedule keep . however , able note issue follow guest survey receive via email day checkout . bottom line – would stay Trump 95 % stay really great . beat location , exception Housekeeping , staff member responsive gracious . 
 may 25 2009 	 Fabulous 	 husband return 3 night stay Trump Hotel . stay one spa room 14th floor . actually perfect we , walk flight step use health club , pool , etc . room spacious extremely comfortable , bathroom wonderfully large . great non - refundable rate $ 199 make even well stay .... would absolutely stay heartbeat . staff service perfect . location middle everything . 
 May 18 2009 	 great hotel 	 wife really enjoy stay . room spacious well plan Nespresso coffee machine room . large bathroom comfortable . normally upon arrival room usually clean bolt room compel hang room relax glass wine . room service right time linger look person bring meal . definitely list return visit . 
 May 12 2009 	 5 star - zero disappointment 	 say wow . stay hotel lot . every time ' ve stay luxury hotel past , ' ve disappoint . trump change . $ 199 night special Travelzoo deal , decide give Trump try indulge little Mother 's Day stay kid . impressed moment arrive . valet park bag bring inside smooth check - every staff member address we name . kid give backpack cotton candy coloring book . Bellman bring we room ; get elevator , could tell head river side property . surprised & amp ; pleased see upgrade large , partial river view room . room kind wedge shape panoramic view floor ceiling window amazing . furnishing mute purple taupe gray look like picture website . order amenity ( gourmet popcorn , candy jar chocolate cover strawberry ) ahead time surprise kid , room like request . minute arrive room , bellman return little stuff animal ( pink blue cow Trump Kids logo ) kids - tell inadvertantly leave backpack check ( later tell kids name age not update profile- book one day prior . ) ask robe slipper kid , housekeeping bring minute later . opt relax order room service lunch - kids burger & amp ; fry grill cheese tomato soup . get prosciutto di parma buffalo mozzarella grill baguette . food amazing present real silverware fresh orchid . server ask would dining Sixteen later ; told think experience would likely lose kid , mention anything kid room service menu could order restaurant - will keep mind next time . stand , keep reservation Harry Caray 's - easy 2 block walk hotel . lunch , check pool . sign spa 14th floor use pool , staff helpful personally escort we locker room . kid enjoy nice swim relaxed enjoy view Chicago River & amp ; Lake Michigan . head back room get ready dinner find housekeeping already turn bed . not leave wrap chocolate pillow , rather lovely glass tray assorted chocolate gumdrop kid fight . swimming , ask game console , find Playstation 3 game deliver . kid little trouble controller , maintenance came quickly bring connection cable miss . kid enjoy Wall - e game get ready . come back dinner , find sofa bed make like request check - in . find cookie kid , think part Trump Kids amenity . quick phone call front desk , minute later , room dining bring 2 large chocolate chunk cookie glass milk . kid could not even finish . kid fall asleep , take bath - bathroom lovely , tv mirror well adjoining tub shower . tub deep long waterfall faucet able indulge enjoy long bath - 5 ' 10 & quot ; tub quite comfortable - rare . shower rainfall head well separate handheld shower massage . robe adult bathroom digital scale hair dryer available well . bath amenity ample size - much large hotel . bed comfy - love pillow pillow menu want something different . kid could not wait wake open curtain - control convenient wall switch . view even impressive day . order room service breakfast - breakfast would served 3 we kid not picky . ordered & quot ; Heart Healthy & quot ; combination $ 27 include choice juice ( orange cherry pomegranate , ) blueberry muffin assort jam & amp ; honey , large fruit plate 4 kind berry , cantaloupe , honeydew , pineapple orange , huge bowl Swiss Mueslix pecan half , sliver almond , chop apple dry apricot , coffee , tea skim milk . not eat half - much food . kid pancake french toast $ 9 serve fresh berry . time another swim checking wish book one night . enjoyable stay . glitch check - breakfast charge not bill website promise business card kid name print . lunch shopping plan agree store bag come back later get kid ' card correct bill . pleased find valet would keep car 5pm , include $ 52 daily rate checked - take full advantage . hand envelope get back - recognize we . assume envelope card kid bill , home find card . ' m sure sorted bill not get copy mail , will give call ask . stay seamless ; whenever thing not go quite right , staff go beyond rectify matter , always apologetic cordial . love Trump lack pretentiousness . far could see , guest treat well address name . even bell staff elevator greet we ask we enjoy stay . feel like welcome back rather stay first time . really delightful experience . luxury hotel - friendly , professional staff , gorgeous room , great food perfect location . hotel real gem can not wait go back . 
 may 10 2009 	 Amazing Five Star Service / room / amenitite 	 treat , husband decide stay night preceede Mother 's day . live suburb Chicago enjoy overnighte city 3 time year . child cousin accompany we check room stay overnight . arrival : serivce excellent . valet park car , bag take bellman , name obviously place computer system less minute later , check , front desk staff call name . provide four lavender scented hot towel , though child would stay , * ( tell front desk , ) staff , nevertheless , give two child backpack contain cotton candy , stuff animal crayon / color book . so nice ! room : bellman take we room 17th floor . room doorbell light & quot ; disturb & quot ; system . stay standard King get unbelievable $ 199 deal . room large standard room would ever ( ' ve stay luxury five star Ritz , four season , etc .. ) ; room 600 sq . foot . regular rate room $ 475 . room do muted mauve earth tone . lovely modern / tasteful . velvet sofa , table , chair desk ; way cramp . closet space ample comp . umbrella . extra shopping bag necessary . bathroom locate next front door contain wet area shower / soaker tub tv build mirror . Back hall : along one long wall high end galley kitchen 2 burner meile cooktop , microwave , diswasher , fully stock , euro cabinet granite , large minibar espresso maker make espresso insert small packet coffee ( can not recall name type system ) . use . great coffee easy use ! room two bathrobe , two set slipper , toiletry necesssary ( like Ritz , etc . ) .this beautiful comfortable bed ' ve sleep . want take home . high end frette sheet , pillow menu ( include herb scented , want ) . bose music system ipod dock free wireless internet . Turndown service lovely floor absolutely silent overnight even though lot kid stay hotel weekend . thing one not often think easily available : 24 hour room service extensive menu ( even overnight ) extensive ability serve dinner room hold catered cocktail party . ( high price , course ) well concierge service , personal shopper service , etc .. would expect 5 star hotel . we eat , bar hotel resturant , 16 , get good review elsewhere . spathe healthclub spa connect . tea / coffee / comp juice , water , etc .. toiletry , towel , etc .. available locker room . steam room sauna locate man 's locker room woman 's locker room . SLIGHTLY disappointing aspect hotel small size pool . particularly large max depth 4 ' 6 & quot ; w/ outdoor space . indoor , nicely appoint comfy furniture , nice floor ceiling window . overall : I ve never stay anywhere nicer . not think ever open door door room ! level service astounding valet leave bottled water car trip home . can not wait find excuse stay . level service amazing staff EXCEPTIONALLY professional pleasant whether appear wealthy middle class . wide variety guest stay weekend everyone saw treat well . 
 May 3 2009 	 5 star ! elegant refine ! 	 live Chicago area decide book hotel weekend getaway . I find cheap price hotel expedia hotels.com . trump hotel website price high . call hotel directly match competitor 's rate . upon arrive service impeccable . make point know name arrival , take bag , check - in . request quiet room chocolate cover strawberries mother 's day getaway . front desk polite . front desk person personally escort room . show amentie question let know . shortly thereafter bellman show luggage . the room big hotel standard . 600 sq ft . the bathroom deep soak tub- heaven ! large shower head handheld shower well . tv mirror . fluffy comfortable thick spa like robes.2 item lack : -Lack towel bar hang towels- speaker system music bathroom- hotel . would nice play music enjoy bath . Kitchenette- essentials- dishwasher , sink , stovetop , dish , silverware.mini fridge , microwaveitem lack : soap , dishwashe soap towel washcloths.- awesome espresso machine . easy use , good espresso . bedding : comfortable bed sleep .... certainly get enough pillow . 8 ! bose clock radio ipod docking station- wonderful40 inch lcd tv DVD cabinet . -excellent . figure dvd tricky since go thru main menu- problem ask front desk . Wireless- free fast ! drape : push button automatically close . lightning : lightning suite dimmer ... wonderful ! overall service wonderful . room amazing . hotel live 's expectation . even chocolate strawberry charge . parking expensive- expect . downtown Chicago- every hotel even public parking garage pricey . not expect cheap parking city . well take cab , bus L. hotel accomodate need want . hotel restaurant although snobby chic- service attention wonderful . Breakfast overprice , come territory . high end hotel , high end price . problem price hotel like , not place stay . excellent hotel location . walk distance mag mile stores.5 star ! 
 Apr 28 2009 	 expensive stay ! 	 trump beautiful hotel inside locate Chicago River . stay one bedroom full kitchen suite . room extraordinary . view nice . bathroom walk shower separate toilet . main distinction bath area mirror television . suite full kitchen equip dish pot pan microwave oven . live room sectional desk wifi . Suite come fireplace . impressed . issue : none television work throughout stay , luckily watch television . parking 50 dollar day ! guy park vehicle return cover look like paint , able wash . one acknowledge ! went complain 50 dollar day protect vehicle thing everyone look though crazy hilucinating imagine whole thing . call television fix avail . television continue shut night wake sleep creep out . upon check service clerk extremely snuddy unapologetic stay . someone recieve perfect service place spend less money tower Trumps worth ! 600 + dollar per night include perk guest , least superb customer service . write letter hotel stay compensate 2 night parking . but give hotel overall average , patronize hotel ! would rather pay money hotel know fully satisfy need . anything average mean would stay , case trump tower . 
 Apr 27 2009 	 eccentric ... 	 stay last weekend Trump Chicago ( # 2634 ) must admit ' get it . sure ' nice say attentive staff , good amenity , Bose iPod dock , clean well maintain room great view comfortable bed . would expect less . need fully kitte island kitchen suite ? ? ? dishwasher soap dish ? sink , soap clean even dirty full set dish , silver , wine glass cookware ( exhaust cook top even really feel need real cooking likely would set build ' smoke detector ) . leave sink full dirty pot , pan dish housekeeping ? seem odd amenity make completely peculiar useless view . ' travel hermit SRO - like hotel room , ' care opulent . also , strange shower / tub layout come across develop country . tub shower need occupy space single sink separate room toilet ? suite also light control system design NASA . ' imagine ever need much light control 700 sq . ft . room . overall , nice new property good location enjoy stay must say must cut live like " Donald " , bit theatrical affect include $ 1000 . " trump dinner " room dining menu . 
 Apr 15 2009 	 great fitness center 	 one good fitness center , think hotel great first visit 2007 visit june last year , see well hotel chicago like four season , conrad , sofitel etc . 
 Apr 11 2009 	 Unbelievable ! good hotel ' ve ever stay - ever ! 	 new wife stay Trump Hotel Tower Chicago special treat 5 week USA Honeymoon . my wife travel many time different place many different country , far one amazing hotel ever stay . service , amenity , room staff absolutely amazing . thrill every single aspect stay wish could spend even time there . the manager hotel leave beautiful platter chocolate dip strawberry champagne know honeymoon . staff seem genuinely eager please , especially concierge desk really could not enough . couple occasion recommend restaurant we , excellent every time . we absolutely love whole city Chicago can not wait get back much see . main reason will back come trump . Mr , Trump impressed ! staff & amp ; hotel real credit - place amazing . 
 Apr 5 2009 	 Exceptional Hotel 	 rent Grand Deluxe 1 Bedroom King Suite Lake View mother 's big occasion birthday . room incredible - enormous two bathroom , floor ceiling window living room bedroom breathtaking view river , lake , downtown . parent spend night suite rest hung dinner kid use pool . although expensive , spit cost among family , turn excellent way wow impress someone . not use spa facility hear awesome . btw - rate hotel web site high ; call hotel directly front desk offer give discount . 
 Apr 4 2009 	 Amazing ... Book Virtuoso good deal . 	 first , booking . use Virtuoso get fantastic rate . $ 230 / night , $ 50 Spa Gift Card , $ 60 breakfast every morning , upgrade ( available ) arrival . arrive , doorman ask visit , remember every detail ask daily . upgrade room much big ( 650 -- & gt ; 900 square foot ) , however directly front river ... good view ever . room clean , large , amazing ... word describe . bathroom large fill every bath soap , gel , salt could possibly want . in - Mirror tv perfect staying news shower . able get many paper want morning , choose Tribune NYT , deliver 6 every morning . room service spectacular , expensive ( although we ) . spa , although use , apparently flawless . Health Club good integration technology ' ve ever see . staff always , friendly professional . problem run Housekeeping Computers accidentally we check day early , everything quickly fix , problem occur . concierge recommend Bistro 110 , near Water Tower Place , good casual dining experience ' ve ever . would highly recommend hotel anyone , service , room , overall experience . 
 Mar 9 2009 	 Fantastic 	 want romantic weekend getaway Chicago Trump deliver . half price room four Seasons room meet even exceed Four Seasons experience . end use hotel amenity . plan make dining spa price beyond price feel reasonable even splurge . room service hotel employee unbelievable value . economic time improve , would not surprised find price stay become heavy budget , may time want treat someone special real upscale treat . ask donation read different post . one minor complaint one morning shower quite get hot would like , time . 
 Mar 8 2009 	 Memorable stay ever 	 return memorable hotel stay ever ! staff Trump Hotel exceed expectation every way . husband go stay celebrate Birthdays decide last minute take childlren . glad , receive amazing treatment ever . hotel really cater child parent really appreciate special treatment . keep child busy little detail add make enjoyable relax parent world . sad check not want experience end . definitely worth every penny spend . service make hotel unique . world fill terrible service every turn , breath fresh air find staff take pride work . kid already ask forego next Florida vacation stay Trump . LOVED ! 
 Feb 27 2009 	 beautiful room view location ! ! 	 stay twice recently son age 4 2 , November 2008 February 2009 . suite amazing , huge beautiful , window floor ceiling view fantasitc , way travel young child . kitchen microwave , stove , expresso machine , silverware / plate , fridge put thing . master bath tv mirror , comfy robe . staff friendly , remember name , ask thing , answer ? 's may . upon arrival room 2 plate boy name chocolate 2 huge cookie , course love ! order room service twice stay food fantastic kitchen table could sit . pool nice , even toy boy play ! air warm one complaint think pool cold , course be fine , boy could not stay long 25 minute shiver lip blue , minor , thought would include travel young child . complaint , first time stay prob tv bedroom , could not control volume , couple phone call later new tv , big deal . however , 2nd stay , dvd player bedroom not work , one living room work fine , call 3 time , first 2 time someone come , player still work . think & quot ; fixing & quot ; live room one fine . 3rd time call let know happen would room show break one . one show . base give 4 instead 5 . 
 Feb 20 2009 	 Perfect every way 	 husband stay night valentine 's day . hotel exceed expectation far . allow bring pup weigh 10 lbs . even bring bed pup , dish , collar leash , treat , poop bag walk , etc . concierge provide we write confirmation dinner arrangement outside hotel upon arrival . room immaculate service spectacular . worth every dime . definitely stay . 
 Feb 18 2009 	 Superb staff 	 stay Trump Tower mid Feb 2009 absolutely delighted experience . staff could not helpful - room 27th floor exactly request hope indoor swimming pool fabulous . the room rate excellent value - could easily pay double level . there not really downside except restaurant bit pricey - also excellent marvellous view Chicago river , perhaps quite cracking deal hotel . 
 Feb 9 2009 	 exceed expectation 	 awesome time Trump Chicago past weekend . suite exceed expectation ( , high expectation - typically stay Ritz , Four Seasons Peninsula Chicago ) . stay deluxe one - bedroom suite . least 1,500 square foot . kitchen bathroom beautifully decorate , stock appoint . fireplace living room area nice touch . bedroom part suite huge include enormous dressing area outside master bathroom . hotel clearly anticipate guest need deliver - high end hotel , request need bath ( salt , oil , sponge , etc . ) - trump include room . kitchen , nice selection high end tea espresso machine . Sub - Zero refrigerator stock sort alcoholic soft drink . fact , suite nice cancel dinner reservation nearby restaurant , visit local grocery store make dinner suite ! staff Trump deliver bottle chill champagne tray chocolate - cover strawberry suite arrive - enjoy treat prepared dinner . mention suite high ceiling - drape long open / close electronically , press button wall . huge expanse ceiling floor window overlook Chicago river nearby building - urban - feel like downtown Chicago resident . light suite dimmer could create romantic condition throughout suite evening . could go - , will wrap say Sunday brunch Sixteen awesome - especially dessert selection . , pool area / fitness center line 5 - star resort - impressive . finally , love staff - everyone encounter go top make sure everything need want right request - simple thing like dvd watch Saturday night stocking favorite green tea suite - request go unanswered - every request handle professionally timely . could not impressed . 
 Feb 8 2009 	 Beautiful Hotel Stuck service 	 arrive Trump Towers hotel amazing ! reception desk name wrong computer correct . ask donation . decide donation end trip . apparently give donation treat differently . front staff extremely snobby . stay four night call we wrong name daily . wait cab another & quot ; important & quot ; guest walk try give cab . nice lady remind guy wait first . rebar great view good luck get table . private function 2 night night table reserve one . drink price service less desirable . bar go hotel . ice machine break twice fix 2 day . FYI ice machine floor . call room service bring 2 hour later . wonder hard time fill hotel room . would never recommend hotel anyone . stop take look many lovely , non - snobbish hotel . amount money spend stay overpriced hotel service awesome . leave donation money hungry establishment . 
 Feb 2 2009 	 top line hotel spa get away 	 hotel first class way . service A++ . everyone encounter go way take care we . room amazing , comfortable beautiful view ( even winter ! ) . eat sixteen expensive great food , incredible service perfect view . rebar fun . use spa several service mixed feeling . everything first class every time spa scream child run around . use many spa never encounter . guest hotel use spa locker room , pool health club area guest child use time try relax spa experience . 4 child love kid try get away couple day ! 
 Jan 15 2009 	 trump chicago - one chicago well 	 fortunate one night stay throughamex prefer hotel get unbelievable rate 329 include 100 spa credit 60 breakfastor room service credit complimentary room upgrade . kid happy upon arrival weregreete peanut butter chocolate chip cookiesatop chocolate personalize plate . they also give child 's robe TRUMP calling card ( PINK ) complete individualname trump tower address . the adult give two gift box premier chocolatesand hand sign TRUMP welcome letter . the aromatherapy neck eye pillow heat nice touchand course bose system docking station add relax ambience . the spa service wonderful pool area . the locker room stock every amenity possibleand kohler shower spa experience relax . everyone accommodate cordialand refer us name . do not hesitate book next stay trump hotel . 
 Jan 12 2009 	 Fantastic enjoyable -- Chef Bernacci amazing ! 	 live Chicago , chance stay Trump month ago could not pass . ' ve travel quite bit stay everything lowly hostel ( Amsterdam , Munich , etc . ) plantation - style resort ( Costa Rica ) . plus , use work hotel industry get see lot & quot ; behind scene & quot ; detail . this experience give , IMHO , pretty balanced take expect luxury stay . perspective , confidently say Trump deserve top mark recognition luxury location . I not fault reviewer note attention detail expectation service . certainly , right expect nothing good . puzzles quality number accolade review give , leave behind low star rating ! experience : greet warmly ask need help room . note , be Chicago not much stuff , go alone . room stunning . view face Northwest , prettiest night . course would enjoy well view downtown , -- can not fault hotel ! wife get couple massage -- first massage ever -- exquisite spa . seriously , be kind place see movie . attention service perfect . guy not think could lay still hour massage , surprisingly happy clam . wonderful experience . we go back room order dinner . bring , table transform feel like 5 - star restaurant . nice . food mind - blow . chance try appetizer bar Trump month early still rave . full meal even well . perhaps impressive able get everything room hot tasty . first time ' ve room service quality not compromise . we have plan go evening , opt stay . think 's good sign Trump would rather lay around watch pay - per - view ( IronMan ) bed instead head block Andy 's Jazz ! breakfast next morning wonderful , check - out experience flawless . find every person helpful pleasant quality room amenity world - class . if look place crash hundred dollar spend , be go get great bed fantastic food . be look nice getaway , whether Chicago , trump memorable indulgence . rather try convince not worth , relish experience : visit spa , eat food , get drink bar -- let feel like royalty bit ! will not regret . 
 Jan 12 2009 	 Place Trumps 	 recently stay Trump follow Christmas Holidays . opportunity relax spend time nephew . stay amazing experience , start finish . nephew love milk cookie fact X - box waiting make whole weekend . room beautifully appoint immaculately keep . pool / spa one relax ' ve ever visit . brunch 16 exquisite , view breathtaking ! highly recommend whole experience . can not wait return another weekend getaway . 
 Jan 7 2009 	 let thing slip ... 	 lurker site couple year recent stay Trump decide need write review experience . I stay Trump three time . first two time phenomenal ! family always stay " 46 type " room 19 - 23 floor . love view Wrigley Building magnificent Chicago lake front river . room always flawless , service great much could ask . upon arrival favorite doorman , MK , greet we name , say glad back help we check usual . great start fabulous stay . thing start go downhill , first , wait good 5 minute anyone come front desk . staff ? one male concierge ' come start chat we ; charismatic let we know anything could we , please let know . well , something could do , could either check we get someone check we . instead either thing go back desk start chat one coworker . someone finally check we nice . acknowledge return guest say glad come back stay Trump . give we key . need stop second . last two time stay hotel hand key , someone take family room , show we thing course open door we . take key , ' think much , everything happen stay see stay destine disaster get go . get room , everything beautiful usual , young daughter call attaché see could get XBOX , oblige , two hour later ' room call inquire find left night . previous stay always call attaché desk late 11:00pm someone grant wish 9:00pm one ? ' even holiday . head shopping husband decide want stop concierge desk see favorite concierge Alexzandra . dismay find recently transfer another property . ask concierge question girl either ' know answer robotic . ' ask much concierge , want go fine dining option ' mainstream Charlie Trotters expect concierge deliver , . family heavily rely concierge . like able throw idea concierge make happen , trip thing ' . decide go restaurant already since two concierge speak could come anything ' already . old daughter fashion forward 16 year old love explore Chicago ' indie neighborhood . normally concierge would come detailed plan attack stay , one seem interested provide level service actually require thought . needless say disappointed bored . I think disappointing service issue overall lack attention give family . person call family name MK , staff member ' even make effort address us name . one particularly rude , five star level want extraordinary use get Trump , shame long case . during first two trip Trump , service seem utmost importance hotel , staff everywhere . great staff . , seem like cut back valuable asset forget customer stay . ' stay hotel leave alone ; stay hotel pamper ! want somebody open door , want concierge know name want escort room . pay thousand dollar night , expect good , Trump deliver . Mr . trump , lot invest property , advise go stay . think see hard earn money buy . hotel slip , quite honestly receive well service Holiday Inn ' last stay hotel . use LOVE hotel , daughter beg bring back , service ( lack ) receive recent visit go back Peninsula , continually meet need without bat eye . I ' want refund stay , want time back far valuable monetary sum hotel could refund . 
 Dec 29 2008 	 disappointing experience 	 disappointing experience . sure room large gym great 's it . we check Sunday evening ( 3 room ) . one show we room -- & quot ; & quot ; here key use go elevator & quot ; . that s . one accompany we writer note . next morning problem begin . inadequate water pressure water temperature tepid . son , room , experience . , course complain assure would rectify . return later , bathroom leave mess engineer . tell fix . next day discover water pressure temperature fix use gym hot shower . really upset . hotel send 2 engineer spend 2 hour sharing room try fix . 1st effort failed eventually get right . doorman hit miss -- time open door time . not . concierge desk usually , always , man . although 3 night , saw & quot ; clef d'or & quot ; brief period . bar drink menu price . yet , charge . question , tell menu wrong . tell can not , waitress throw bill . also close bar early . ever see manager . anyone level authority ask stay . tell manager 2d floor therefore not interact guest . compare 4 season etc management rep always present . height chutzpah . trump guest comment card room . instead send e - mail form user unfriendly -- answer question although relevant . last least , form ask much money make . trump operate hotel conclusion , poorly manage hotel . 
 Dec 29 2008 	 one Best ever 	 bump W Lakeshore oversell , hotels.com help secure room Trump . like die go heaven . dank dismal W , Trump nothing short one fine property ' ve ever stay . addition large , spacious , luxurious , sumptuous room bathroom , real story impeccable service professional staff ' ve experience interact . top bottom - doorman , reception staff , concierge , AAA quality rare day . must nicest property Chicago day , nice country . absolutely 10 10 experience discern traveler highly , highly recommend . one place expensive worth . regret stay two night . would ' ve love stay month . 
 Dec 22 2008 	 impress 	 Trump International Hotel & amp ; Tower Chicago nice enough hotel . relatiely new , ( ) decor fresh unspoile . I book directly hotel . explain online floorplan front talk , interested large two - bedroom suite . ( ' 00 ' floorplan . ) not look floorplan , since want good available room , base floorplan , obviously . quote rate , reserve room . case close , right ? room rate , plus taxis , two - bedroom suite end $ 2,000 / night . it be like have commit floorplan memory , much less room / suite . arrive room , something not right . not know , not quite expect . still , stay relatively uneventful . problem housekeeping , staff get name wrong correspondence . nothing would specifically preclude stay Trump hotel ( Chicago ) . arrive home realize room seem less impressive . about week stay , go online show someone have book particular room . ( clearly , floorplan , see ' 00 ' room big , thus , probably good , book . ) realize hotel staff give small two - bedroom suite . could not believe . specifically book ' 00 ' floorplan , clearly state want small two - bedroom suite , & quot ; eAttache & quot ; correspondence refer large two - bedroom floorplan , well . if innocent mistake , fall right line myriad little mistake staff make stay . ( nothing major . puzzle . ) however , suspect not want put large suite ... whatever & quot ; reason . & quot ; , would likely stay either put correct room , never learn switcheroo , must admit since learn , zero plan stay Trump again . the thing , ' m go Chicago couple week . will likely stay Park Hyatt hotel two - bedroom suite book , two - bedroom suite get . imagine ! 
 Dec 12 2008 	 great first impression Trump 	 last trip Chicago , decide stay Trump find everything book weekend . de facto hotel W Chicago City Center convenience , preference stay one night close River area . the w charge $ 569 / night basic room , Trump $ 575 . w charge internet access , Trump compe , trump actually cheap . get close trip , find Sofitel Water Tower actually $ 413 / night , actually book cancel Trump . call cancel Trump , delighted surprised decide match rate Sofitel . go back cancel Sofitel reservation . the Trump full - service hotel . step car / cab , guy open door . be another guy take luggage . be check , luggage guy wait get settle , lead room . give tour room . service impeccable . the facility first - class . tv build mirror bathroom well large flat - screen main hotel room area . main room probably 500 600 square foot -- almost twice size small Manhattan studio . window essentially floor - to - ceiling . every unit main tower kitchenette wth small Subzero refrigerator / freezer , trip ice machine . 's cabinet full dish , plate , silverware , even pot / pan cook utensil . shower huge , sink tub shower area . I could go , point accommodation first - class . service perfect . even room service brainless -- bring food leave bill include gratuity not even need sign . the one niggle small one . haste check , not realize literally plane leave Blackberries hotel room . hotel course find , take little bit call back forth confirm . overnighte unit back ny , charge credit card delivery ( big deal , since fault ) .I would stay heartbeat , $ 575 / night , might tempt try Peninsula -- sofitel $ 100 less . 
 Dec 12 2008 	 great personalized experience 	 stay annual & quot ; Christmas City & quot ; kid ( stay downtown enjoy Chicago time year making & quot ; special treat & quot ; ) .We one one - bedroom suite . 1100 square foot , plenty space 4 we stretch . decor wonderful ( modern , top ) . good color pallate , - relaxing . & quot ; fireplace & quot ; room purely show , though ( heat - appearance fireplace red light simulate fire ) .The king bed comfortable & quot ; pillow menu & quot ; allow specify number type pillow would like room ( wife daughter body pillow addition standard pillow one contour pillow support head well standard pillow ) . issue sofabe somewhere full queen size - quite big enough two daughter ( 9 7 ) , end share king bed , too . nice in - room amenity include fridge , microwave , cooktop , sink , dishware cook / reheat food ( bring cook room - pricey we ) . Nepresso ( sp ? ) espresso maker also much appreciate . the girl also enjoy pool ( healthclub / spa ) particularly since , time year , one else - feel like princess pool ! would certainly come back recommend visit friend / relative . 
 Dec 12 2008 	 Donald Trump style - know hotel right ! 	 wife decide head downtown Chicago romantic weekend spa excursion . review several hotel , frequent past , other new - decide visit Trump Chicago , well worth every penny spend . the Trump provide true five - star experience . check - in process easy , folk behind desk courteous . actually show room demonstrate use feature room . room spa floor great view city Chicago river . room large hotel room downtown area exude sense calm . material use construction top - notch , earth tone paint calm counter bustling cityscape . everything Magnificent Mile State Street ( Streeterville ) short walk Trump . bar Trump ( ReBar ) cosmopolitan , feature selection high - end sake . the spa example absolutely superb service . host spa absolutely amazing - truly involve , Trump could find well person job . ambiance incredibly calming , superb tea knockout massage - . importantly , spa feel exclusive . crowd people wait service robe , etc . however , everything & quot ; perfect & quot ; paradise . buy package provide extra spa service incentive , bring confirmation know get . spa computer system link package , need ask package credit upon departure . parking part hotel stay - plan around $ 20.00 / day public parking hotel , valet service . one last concern adult tv movie title visible default - concern , family kid may well be . ultimately , search awesome hotel experience even well spa excursion , Trump deliver well almost other . 
