great 	 look around internet find package deal hotel ~ $ 200 4 night stay 3 night 6 free buffet . stay monorail end place end nice offering every table game want , never leave ! 
 absolutely stunning 	 Hilton Grand Vacation Club Las Vegas Strip 2650 Las Vegas Blvd . absolutely breathtaking . stay 4 night 5 day . hotel strip 10 - 15 minute car drive center strip , depend traffic , course . hotel walk distance Sahara , Riviera , Circus - Circus , Stratosphere hotel . would recommend walk heart strip hotel . ' far . the deuce bus take strip unlimited times $ 7 day simply rental car work well . monorail pick across street Sahara Hotel . station locate back hotel casino . they build humongous hotel ( Vdara Hotel Spa ) mall across street may take complete . handy CVS locate right next door McDonalds , Subway , Nathan ' Pizza locate Circus - Cirucs Hotel . Parking- parking structure short trek back hotel $ 5 ( $ 13 day ) valet parking relax hotel lobby car arrive . regular parking $ 8 per day . Bathroom- Kohler toilet sink elegant baltic green granite countertop tile shower plenty room 2 . stay Tower 2 slightly new tower tower 1 . find difference 2 tower tower 1 jet tub bathroom tower 2 soaker tub balcony . Kitchen- well design raise full outlay , cherry kitchen cabinet rich , elegant light - colored baltic green granite countertop . full kitchen full size refrigerator , oven , microwave , washer/ dryer combo , dishwasher , coffee maker , blender , toaster standard . , Kohler kitchen sink appliance make Cuisinart . room- 1 - bedroom suite separate king - size bed , connect bathroom via slide door . bed extremely comfortable room large tv , lounge chair , full size mirror attach back door . live room- comfortable sofa lounge chair flat screen tv . sofa double full size bed also comfortable kid adult too . dine room- beautiful glass table 4 chair . Desk- laptop nook also nice high speed internet suppose complimentary simply suck . never really get strong connection never could surf internet . even bring ethernet cable nothing . girl front desk tell work add datum port also agree high - speed wireless internet great . there big 24 - hour fitness gym free weight , treadmill elliptical . also 24 - hour game room pool table , big screen tv , table tennis . also starbuck coffee shop small convenience store first floor 
 Jan 31 2009 	 Nice Hotel fan location 	 return hotel spend 1/28 - 1/30 . room great like many other say . tower 2 ( new one apparently ) . new full kitchen , big family room , dining table four , flat screen tv , king size bed separate room , w/ full tub separate shower . bathroom could access room , nice . place incredibly clean staff super helpful nice . there much else say say review point like dislike : like : free wireless internetAs diamond receive 2 $ 10 coupon per day food ( breakfast , could use anytime ) . able use snack , drink breakfast . smoke anywhere huge plus book . dislike : pay parking $ 15 valet $ 8 self little bit hike lot . economy can not see justify charge parking . no real place eat , shop snack make order pizza sandwich , plus ton junk food , real restaurant . Location strip far action . Sahara Circus Circus 5 - 10 minute walk , want go nice place 's hike drive . even though strip , feel isolated . since besides hotel amenity much surround area . 
 Jan 30 2009 	 Loved Hotel 	 opportunity stay property mid December . staff great hotel beautiful . part not like difficult get elderly parent back hotel use bus . look forward stay property future ! 
 Jan 27 2009 	 absolutely loved . 	 stay last overseas vacation . 5 we king size suite consist lounge area sofa bed , fully equip kitchen washer & amp ; dryer seperate bedroom bathroom . also adjoining room seperate king size bed bathroom . everything good quality , nothing cheap nasty . everything room top standard . problem dishwasher first get , not work promptly take care . need self - cater , kitchen everything could think off . all staff friendly , house keep excellent . clean . small convenience store downstairs also useful . self - parking problem although toward end strip still close enough everything . can not rememember name bus service go every 10 minute excellent way get strip . we plan return Las Vegas year definintely plan staying . time warmer use pool ! 
 Jan 25 2009 	 one Best Time Share experience 	 ' ve stay three Hilton Grand Vacation Clubs Las Vegas . ' ve find facility notch timeshare Las Vegas location . majority guest write reviews HGV Las Vegas Strip rate experience average well . totally agree rating comment . feature impress : spacious living area ( unit Kitchens ) ; cleanliness guest room facility overall ; fully equip kitchen ; in - room washer dryer detergent ; large fluffy bath towel ; iron iron board free internet access ( wire wireless ) .fortunately , noise issue neighbor construction . Fountain Bleu resort construction across street could not hear anything unusual . resort accommodate time share rental guest . time share guest receive one towel / linen change 4th day , rental guest daily towel / linen service . resort provide two package premeasurd Starbuck coffee enclose filter . want brew , may want bring # 4 cone filter one previous guest recommend . coffee maker no - kitchen unit small use 4 - 8 cup basket filter . parking locate structure one hundred yard away , free complaint . walk good eat buffet lunch dinner . 
 Jan 12 2009 	 Good Parts Bad Parts 	 GoodsThe room gorgeous . impressed . 's new clean , smell clean , . separate soak tub take advantage . awesome ! also , king suite full kitchen . imagine dinky & quot ; kichenette & quot ; , full size kitchen . regret not use . everything ; bowl , plate , cup , utensil ... washer / dryer detergeant . fantastic . actually load there.ambiance- nice . smokey , noisey casino walk . lobby pretty quiet . love , feel comfortagble . Amentities- provide shampoo , cond , soap , 's crab tree evelyn . love smell . gym ground floor , not use , well equip , quite popular . 's pool , cold use . spa . get eyebrow do , 's nice spa , spa price ( expensive ! ) however , tip policy refreshing change . the bad ... well , like other mention parking lot bit hike . not bother we much . restaurant ... yeah , little market place , okay , little overpriced , convenient . location . not really bad we . like strip , center . looking & quot ; central & quot ; strip , near Bellagio , 30 minute walk . be nice walk . lot construction go , beggar , Vegas . recommend buy $ 5 bus pass . double decker bus make lot stop , run frequently 's fun way sight see ; however take long time get point point b , not use be hurry . I not think will go back Vegas . ( ' m pregnant ) would recommend stay enjoy clean , quiet hotel . really like . 
 Jan 1 2009 	 Weekend Vegas thank timeshare presentation 	 Hilton chain run timeshare condo weekend package attractive rate provide one member participate timeshare presentation . stay facility like stay nice hotel amenity . time booking , Las Vegas facility still final stage completion may first guest suite ( villa refer 2 - bedroom suite Grand Vacations parlance ) . like move furniture showroom weekend . room form entertainment option ; internet connection , big screen tv cable & amp ; dvd master bedroom , big screen tv dvd bedroom , whirlpool bath , get . kitchen big enough two people cook basic appliance ; dishwasher , fridge , stovetop / oven , washer & amp ; dryer , coffeemaker ... facility nice pool water feature , pool - side bar food , deli inside hotel , spa , owner 's lounge ( nice ) . book stay Hilton timeshare sale office pretty pleasant experience . compare timeshare organization , Hilton 's sale pitch relatively low key . terrible view side facility . 
 Dec 24 2008 	 Standard respect nothing great nothing bad 	 spend 4 day HGV Las Vegas Strip attend conference late 2008 . 's shuttle Las Vegas Conference Center . 's 20 minute ' walk . in - house airport shuttle , however , get town easy . the hotel staff mostly helpful polite , room surprisingly large comfortable , decent wi - fi signal computer ( extra charge ) . also computer room downstairs set print boarding pass , nice thing night departure . the restaurant next pool bar less ordinary . food mediocre microwave - grade camp chow , in - house & quot ; market & quot ; instant pizza , fast - food sandwich , package snack . will not gourmet dining ! get munchie , will find well deal snack CVS next door . otherwise , plan dining cooking room ( mine full kitchen ) . hotel 's close many restaurant one Circus Circus next door . overall , absolutely nothing memorable stay , nothing bad either , say many previous trip hotel Vegas . HGV reasonably price ( ' m time - share member , not bug buy one ) casino , smoke building . , walk casino get room big plus . reason , will probably stay next year 's conference . if be look economical , clean place stay strip , HGV pretty good choice . not expect Vegas - style excitement . 
 Dec 22 2008 	 bad 	 hotel perfect not want casino not mind bit far Strip 's epicenter . room average size , bathroom door big open , would almost hit toilet . little kitchenette convenient everything clean . main problem see room communicate room next door . bonus family group stay together adjacent room , we major inconvenient could hear neighbor ' conversation tv time . issue toilet solve quickly even receive couple follow - up call make sure everything ok , much appreciated . clean service good job first day , two day everything spotless . another minus property lack real restaurant site . little deli downstairs really poorly manage , food average overprice . plus side , staff nice friendly , grant late check - out , much appreciate give early check time . aware traffic Strip terrible get main hotel take hour either bus taxi ( case pay anywhere $ 20- $ 30 little mile ) recommend walk , weather permit . 
 Dec 17 2008 	 HGVC Dependable High Quality Facility 	 Stayed . well HGVC 's 2 Vegas property past 10 year . good . one slip bit . non smoking floor . someone smoke room prior arrival . take day clear . first time not scratch paper pen arrive . room clean . hotel timeshare provide free pc 's printer lobby area . find recently Embassy Suites Hampton Inns , Hilton property . HGVC catch competition . comment drop excellent rating . 
 Dec 15 2008 	 nice property issue 	 stay 4 night December last weekend National Finals Rodeo . initially disappoint -- think HVC property Flamingo -- overall , turn pretty well . Hilton 's new property turn good thing . RoomsAs review state , room spacious decently put together . overall , pleased would generally agree review post . 2 bedroom suite . couple thing point , , little thing make difference place many lodge option . - Kitchens well stock dish / pot / appliances- bed comfortable- temperature little hard regulate -- option dial say warm / cooler . room , set dial place not produce temperature.- housekeeping issue one bathroom -- first check , expect clean not get . - know 's desert , 's lot construction go , really not expect window dirty outside could not take clear picture time day.- not single notepad / pen unit . ever try work dinner reservation / show without something write / ? Front Desk / StaffNice , although staff bit stuffy checkin . ask late checkout ( normally not happen timeshare ) get want . however , staff member not think fix key return lobby key redo . marketnice right -- coffee , beverage , snack , etc . high price , not want venture , be right . get well price next door cvs.conciergeapparently , Hilton contract Las Vegas Concierge . mind , area need improvement . slow unprofessional . 4 different conversation going help . can not think single reason take 35 minute issue pair ticket 3 people working desk 2 party desk one time . initially really surprise Hilton would accept -- - realize contract -- even surprised have let something like potentially impact customer impression they . facility -- nicely lay pool hot tub -- although not get use cold .... nice size workout room , lot equipment , multiple everything -- good thing always busy til noon . spa look nice , price high enough discourage we take part . not expect find price par big name strip . transportation / Safety -- not rent car . 3 day $ 28 monorail pass work really well we . be less 10 minute walk Sahara casino monorail . light pedestrian signal cross . initially see construction , little worried walk Sahara back monorail night safety perspective , have do , not worry anymore issue . evening opt taxi instead work well . overallnice property . nice way get away craziness casino still strip . much convenient strip timeshare . however , number timeshare go strip , really need watch detail remain competitive . 
 Dec 13 2008 	 Hilton Grand Vacation Adventure Hell 	 ' ve read review time - share hotel , people enjoy stay . time share get room hell . call management show gross , stain mattress non - hilton quality bed not fit bed , shock not know & quot ; bed come & quot ; . try sell we time - share . sleep couch two night , bed replace . tell we anymore problem , contact they . the toilet break overflow repair . one show clean . wallpaper peel wall . I complaint every day , manager follow . complaint legit . hard make complaint phone , work . finally fix , contact management another problem ( microwave alarm ( ? ) would go every morn 4 . could not shut . hotel operater refuse transfer front desk & quot ; screened & quot ; complaint , see management worthy . tell get alot prank call Paris Hilton . .... ? one operator tell off . the night leave cut foot jacuzzi . send medical uniformed personnel , medical training ! not include half problem . last day hand write letter one five manager deal , charge use computer ( well half cc ) , line long . Hilton never respond . chase around try get compensation promise . the hotel end strip , within walk distance decent spot . no restaurant site , small deli / store overprice . usually stay Hilton sister hotel Hampton Inns . never complaint . seond time stay Hilton major problem . not matter Hilton Honors member either . Hilton 's we . maybe Paris make prank call tick Grandpa ! 
 Dec 12 2008 	 fabulous place 	 travel Las Vegas two friend meet girlfriend Reno , spend Thanks Giving week Grand Vacations ClubFabulous large one bed apartmentgreat location easy get everywhere 
 Dec 9 2008 	 fantastic room staff ... guest well rude ! 	 Fiance stay Hilton Grand Vacations parent timeshare . we check 4 pm wait room ready ... holiday weekend understand wait . we get 2 bedroom suite 35th floor Tower 2 . view amazing & quot ; dirt lot & quot ; review complain tall still contruction building ( possilby condo ) . bell staff help luggage valet park vehicle ( expensive ) . get room front desk call bell desk give room number . get room bellman wait we ! room HUGE ! two bedroom , fully equip kitchen ( advise ... drink coffee want bring , bring filter .. triangle # 4 ) . also , get washer dryer , laundry leave . nothing like come home CLEAN clothe ! 's short walk Circus Circus Sahara . either drive big location strip ( Rio ) take Monorail , pick Sahara . also go Flamigo Hilton ( locate Strip Flamigo Blvd ) . dinner Paradise Buffet price great food service fantastic ! main living room Bose Surround Sound System 42 Plasma flat screen . main bedroom large king size bed , tv , Jacuzzi Tub . bed super comfortable pillow like put head cloud soft . bad back 's important comfy bed ! main bathroom huge glass shower 4 shower head ( main one top 3 body spray ) . second room like condenced version main suite bed bathroom . invite listen timeshare decline never bother we . although , along strip bother timeshare people . bad thing stay talk gentleman Welcome Desk , another couple walk behind we RUDELY interupte conversation . want turn around ask world revolve around ! also , decide go Rio Hotel Seafood Buffet , prepare wait ( spend $ 40 per person ) . food great location loud people eat ... ummm ... impatient . weould cut wait buffet line grab food reach . crazy ! Vegas many time good trip yet . almost not want leave room nice ! 
 Dec 5 2008 	 love casual feel 	 Hilton grand Vacations great warm relaxed property . we 1 bedroom suite 3 people perfect . the bathroom huge access live area main bedroom , room spa well . the fully equpiie kitchen plate , glassware , full size fridge , washer dryer need week vacation . furnishing room comfy huge surroud sound include dvd player . we room 24th floor overlook pool look really nice . reception area also relax make feel welcome . a lot review complain far un central property , well honest hotel central strip , central ? ? since Frontier casino another go hughe big vacant lot right along strip , must say walk one night venetian hotel take 15mins leisurly pace pave completly flat surface , problem all . right next hote 24 drug store sell everything include alcohol , 5 min walk subway , mcdonald , dennys , thereis actually accessible end strip other.but taxi stly $ 10.00 see venetian . Las Vegas outlet centre must past airport approx $ 18.00 taxi , levis $ 20.00 well many special , half day shopping experience . there also premium outlet centre approx $ 10.00 hotel designer brand also good deal , like Armani X change jean orig $ 180.00 $ 12.00 , another half day shopppe experience . good value hotel $ 600aud total three night , prepay thru expedia , good rate . 
 Nov 30 2008 	 Great Hotel ! ! 	 husband another couple stay property RCI exchange November 16th - November 22nd really enjoy . two bedroom suite basically one bedroom studio connect door . perfect still privacy , main gathering room hang , drink , etc . pressure attend time share presentation - ask , say thank , say problem ! hotel attractive , small market downstair find quite pricey , gym , game room . pool area attractive well bar several bbq 's want use . thing love hotel fact quite far away everything . thank god Deuce ! ! ! double decker bus stop right outside hotel take way strip back . use lot ! ! $ 2.00 one way $ 5.00 24 hour pass . beware though time extremely crowded ! ! first trip Vegas great hotel ! ! 
 Nov 26 2008 	 enjoy stay hotel 	 return 7 - night stay HGVC strip . base selection hotel review site . want non - gaming hotel one - bedroom suite . receive exactly HGVC . suite roomy bed comfortable . great view northwest side valley mountain background – beautiful night . flat screen tv living area one regular tv bedroom . cvs step away , convienent pickup item keep refrigerator ( water , beer , wine , etc ) well price hotel 's market . negative location , however minute walk distance many hotel Peppermill Restaurant . walk Fashion Mall Venetian . also ride Deuce many time – sometimes walk fast bus slow peak time . overall stay facility wonderful pressed attend timeshare presentation . . 
 Nov 25 2008 	 Quiet Oasis Good Price 	 hotel , really timeshare , little bit away glitzy south end strip . nicely run , well - construct , piece sanity one get work do ( be purpose trip ) simply rest another run show gambling . room well - appoint 2 - room suite full kitchen . 's small market area hotel one buy light meal basic staple eat room . also grill area pool , serve food visit , possibly becasue slow economy . staff quite helpful . would happily stay . downside ( ) might lack easy walk new casino , bus stop right front property . 
 Nov 18 2008 	 Great Place away Craziness 	 friend able book us Hilton GVC Strip timeshare set . great deal work directly . hotel outstanding . friendly staff , excellent comfortable room , great pool area snack bar , in - hotel convenience store / fast - food facility , name ... excellent . Free Wi - fi internet access , . be fairly new facility , much wear tear yet . see GM one day really check pool area talk staff individually apprently remind pick towel , etc . , etc . ; definitely quest concern excellence cleanliness . place spotless . the negative bit man 's land term location Strip , kind new hotel / casino one end old downtown / Freemont Street action . hotel entertainment casino on - site . 's really set family resort seem . want catch show , etc . visit new casino , matter visit Freemont Street Experience ( definitely worth , way ) either really walk quite distance ( easy summer heat ! ) , catch cab convenient public bus run Strip . time right be head direction , free bus Wynn resort stop right door take end thing journey wish . also monorail system travel , , be bit hike near station . the close hotel / casino HGVC , memory serve , Circus Circus , Sahara , bit far afield Las Vegas Hilton Stratosphere . the advantage hotel 's location , course , bit away absolute chaos go , especially near new site end Strip weekend , particular . impossible drive even hard find space sidewalk time . thrive constant action , probably place . want comfortable , relax location journey either direction dabble Vegas distraction , ideal . I would definitely stay . highly recommend ! 
 Nov 11 2008 	 Bad want non - gaming hotel away busy strip 	 good hotel need near convention center want non - gaming hotel . room nicely done- clean recently renovate . stay Tower 2 . although Las Vegas Blvd ( ie Strip ) , end near convention center far enough away take cab anything Strip . hard time get cab evening taxi driver not come unless drop someone . bad thing food available 1 small store close . restaraunt ground . pool area nice spacious , although cold outside use . view room overlook construction . 
 Oct 24 2008 	 beautiful new non - gambling hotel strip 	 husband stay 4 night middle October good room rate . never Las Vegas , read lot strip ahead time surprised see far hotel main activity strip . 2 mile center strip , area interest we big resort like Bellagio , TI , Caesars Palace , Venetian , etc . one bedroom suite , Tower 2 , overlook desolate construction site Stratosphere Sahara view . still nice view night 16th floor , despite large nearly empty lot . room other describe - aware one bedroom suit jetted tubs shower DVD player , , feature mention clean well stocked granite counter top , plenty towel , quality shampoo , Starbuck 's coffee , etc . first could get phone work ( another guest plug wrong ) , , maintenance person come right away help we . care bed , bed large comfortable , hard soft .. transportation big concern . trouble walk long distance concrete , know Vegas would picnic . really fast way get center south end strip except monorail , ( $ 5 ride , one way ) quite hike get hotel . cross road fortunately really busy work pedestrian signal . always go huge casino use monorail , least one set escalator . patter PA system monorail hilarious - guess try make funny corny , . .You end make even great hike end get hotel . Deuce - ( double decker city bus ) - stop front hotel every 15 minute new clean , crowded point wait another one , traffic Friday Saturday amazingly slow - 45 minute top center strip hotel one trip . fast time .... $ 2 EXACT change ! please not ask driver change $ 20 ! ! not sit stairwell , shoo . shuttle Wynn- well publicize , come every half hour end quite early night , 8 pm , would double check hotel - free quite fast , 10 minute . Wynn top center strip area . try cab , hear expensive get catch traffic . contemplate walk Wynn hotel night , reconsidered see block desolate area would walk . , feel non - smoky , non - gambling hotel great , go back Vegas , think would try find affordable place center strip . compare price , maybe entirely truthful ! overall , Hilton Grand Vacation Club Strip great place . 
 Oct 23 2008 	 Las Vegas Vacation 	 visit Las Vegas first time October ' 08 . new member Hilton Grand Vacations Club , read lot review choose Hilton Grand Vac . strip . stay 2 night Hilton Grand Vac . club property find little far away thing . glad week stay strip . find room 7th floor comfortable satisfactory . however , drawer front cabinet tv sit living room fall twice husband 's foot ! ouch ! ! staff place helpful & amp ; great deal with . the room quiet sleep . one bedroom . kitchen equip find grocery near challenge . walk & amp ; travel Duce bus not much available grocery shopping . market first floor way price ! grocery price ridiculously high . note , eat time . good meal Wynn buffet . selection fantastic ... make sure save room desert ! negative room little closet space . place hang jacket come except bedroom closet . we get & quot ; suck & quot ; 2 hour session listening time share presentation ... want we purchase point . limit many time person say . waste 2.5 hour precious vacation time . give $ 100 towards show ticket exchange . worth ! shopping ... well ... go outlet mall - Las Vegas Premium Outlets . good ! Grand Canyon helicopter tour . amazing . expensive well worth . land canyon & amp ; picnic & amp ; champagne lunch . company use Papillon . Dan pilot . great trip ! would highly recommend . memory ! ! ! negative Vegas : People stand sidewalk flick business card advertising girl ! also , could not walk anywhere without harass go listen timeshare session & amp ; not want take ! , trip great one ! someday , would go back . 
 Oct 19 2008 	 Great Place stay 	 husband three child stay hotel 5 night week ago . book two 1 bedroom apartment , perfect . do not adjoining room right next door . hotel exceptionally clean apartment great size , full kitchen bathroom spa bath bedroom . choose stay casino attach rare Vegas . Free shuttle Wynn also deuce bus pick outside Hotel stop Hotels , casino shop way Strip $ 5.00 24hrs . fair way strip use bus every day . would definately stay . staff helpful friendly also . 
 Oct 18 2008 	 Non - casino option 	 north end strip , right across Sahara monorail . look non - casino hotel , good choice . stay tower 2 ; room huge separate sit area couch TV / dvd . full kitchen , nice large bathroom . bed comfortable excellent pillow . stayed 21st floor , city noise . stay two night negative morning leave , couple next door mother fight , throw thing , scream . could hear quite well . stay would either ask move room . guess honeymoom - go couple hour get ready leave . minor point - if enjoy watch DVD 's bed , can not tv bedroom dvd player sit area . pay $ 134 / night reasonable large well - appoint room . btw , pressure staff vacation presentation . receive call week leave LV , say interested not come . 
 Oct 14 2008 	 love 	 return long weekend Las Vegas . member HGVC , stay three property Las Vegas manage Hilton . let say ( exception rude person work front desk spa ) every person speak resort ( Flamingo ) polite professional . the one bedroom room well stock , clean ready time . find read other review . . . never wait room , usually receive room prior check - in time . also ask late checkout ( 2 hour ) give problem . never problem staff . Elite Member , separate lounge continental breakfast untill ( think ) 10:30 , light snack 5 - 7 pm . pool well maintain , plenty clean towel . nice resort go look spend time away crowd . lot gambling around resort , , either walk drive . want stay place great location , pool , gambling , close shop try Flamingo property . but , want relax fairly quiet pool , friendly staff , smoke free , excercise room , small store , spa service ( $ $ $ ) , location midway strip . . . good choice . 
 Oct 14 2008 	 Awesome ! 	 husband stay 5 night , wonderful . staff incredibly friendly helpful , hotel ( room ) immaculate . pool great , relaxed every afternoon pretty peaceful quiet . as review complain hotel 's proximity everything , people must lazy something , 10 minute walk Wynn . overall , average experience return ! 
 Oct 7 2008 	 great value 	 great value casino . side could little close heart strip .staff helpful friendly .would defintely stay .great bed .great room , 
 Oct 1 2008 	 love room . 	 choose hotel casino lobby . since 10 year old we , want family friendly location . hotel beautiful . room one bedroom suite . bedroom hold king size bed , tv , jacuzzi tub , lounge chair . tub open area near bed , next closet . living area spacious well appoint . full kitchen everything need prepare meal . utensil , cookware , dinner ware , glass , etc . full size refridgerator , stove / oven , microwave , dishwasher , sink disposal , etc . thing love kitchen tuck closet . room stack washer / dryer two small box laundry detergent . since 4 night , able throw clothe swim wear washer night . the view not good . look onto construction sight . hotel quiet . smoky smell anywhere . pool nice . the thing like self parking . 's parking garage behind hotel valet must park 4th level . walkway garage hotel fairly long . luggage difficult . otherwise , love hotel think beautiful . staff great concierge helpful get we show ticket . 
 Oct 1 2008 	 Beautiful Hotel 	 arrive Sept 25 three night stay . owner use point stay location . 3 bedroom condo . total 3 couple stay room . 40th b - day weekendarrival : arrive around 12:30 - 1:00 . room ready . surprised since checkout 10:00am guest decide leave go get lunch . call couple hour later still ready . call couple hour later around 4:15 still ready . time peeve say least . decide sit counter till find room do . find people courtous nice . room ready 4:15 ridiculous . room : clean , spacious , nice view strip , new counter top , stainless steel appliance except dishwasher , flat screen tv living room . room one bedroom 4 jet shower . hope update other minimal . fitness room : nice . lot new equipmentInternet access - include work wellmarketplace - plenty sandwich stuff choose . crossiant sandwich one morning sit pool breakfast . good . Valet - be quick efficient day long.thing wish new : rent car 8.00 day add hotel bill plus tip valet ; Checkout 10:00 little early ; self park country mile walk prepare ; concierge nice , quick efficent beware 10.00 surcharge ticket show . go directly box office charge 10.00 less . 
 Sep 22 2008 	 Attractive Property 	 agree previous review stace120 . arrive Thursday one night reserve 2 studio ( hopefully connect ) due snore husband . think gentleman Stace120 's review may check we well . ask chance upgrade 1 bedroom connect studio ( order provide 2 bedroom ) since Hilton Honors Silver member . also stay 10 night last December Orlando Vacation Club Villas . say sorry nothing available , thank choose . pleasant overly friendly . room end opposite side hallway 4 door . maybe due configuration room allow 1 bedroom connect studo . property beautiful large . studio comfortable fridge microwave . bathroom large shower work well . could use additional counter space . tv old , cable channel would desire . air conditioner work well day , night seem come enough keep room desire temperature . the parking garage long outdoors walk property , especially bring luggage . regret use valet . friendly helpful . use Marketplace breakfast . purchase Egg McMuffin - type sandwich coffee seem bit high price . enjoy stay Hilton Grand Vacation Club , consider specific need plus long walk parking garage , think would return Residence Inn Hughes Center future visit . 
 Sep 9 2008 	 Beautiful Property probably will not back 	 first off- important , stay , make sure pull room door way close confirm lock every time leave room . like reviewer , problem door automatically locking- not . not read review may notice unlocked room could lead big problem . the property beautiful ( quite new ) service recieve stellar read review . middle quiet week , give upgrade large room despite avid Hilton Honors member . maybe one timeshare . maybe depend check . young man check we concerned customer service , not actually say anything rude , tone attitude condescend side . also , free shuttle Wynn sound terrific . nobody ever tell we . would absolutely use service know . the studiio richly decorate fridge microwave nice , overall feel cramp . good thing not go Vegas hang room : - ) enjoy casino hotel enjoy sandwich Marketplace low level . pool wonderful- quiet pretty much ourselves . the valet parking probably would worth extra expense parking garage quite trek luggage , etc . be par pretty much large hotel Vegas though . I love Hiltons , probably would stay . room cramp service unpredictable . 
 Sep 5 2008 	 great all - around hotel ! 	 hotel great people love Vegas , need get away craziness time time ! casino hotel pretty quiet . 1 bedroom suite great ! full kitchen everything need cook meal , great bathroom separate jacuzzi tub bedroom . price , hotel amazing . my big complaint window not open ! cook something , bacon , could get smell room . be also kind far strip everything either take cab ride deuce . deuce stop right front hotel every 15 minute . pool great BBQ 's even well . cook steak one night great ! pool also overly crowd like big strip hotel . overall , stay great ! definitely consider ! 
 Sep 4 2008 	 Space Space Space 	 everyone tell we make sure & quot ; strip & quot ; go Las Vegas . however not want casino , choose Hilton Grand Vacations pleased choice . arrival impressed room size - fully contain 1 bedroom apartment excellent kitchen , bathroom , tv internet service . tower 2 room feel new . we travel family ( 20 year old daughter ) room provide plenty space time spend room . addition room good point facility conceirge desk ( booking show assistance travel tip e.g . Grand Canyon ) , small super market snack . also internet free ! ! ! whilst go pool one occassion find jam pack . give summer weekend public holiday Monday hotel full pool uninvite becasue crowd . we within walk distance big hotel - venetian , Bellagio etc - although long walk . car hotel conveniently locate travel Fremont St precint , premium outlet mall importantly i-15 use time day trip natural park Las Vegas vicinity . from sheer value money perspective , could not fault hotel - weekend $ 169 per night weekday $ 139 per night . small downside walk car park long ! 
 Sep 4 2008 	 Love Hilton Grand ! ! ! 	 everything hotel great . time walk door staff extremely courteous . room well expect . pool nice . plenty room everyone . there free shuttle Wynn ( excellent buffet - bit expensive ) . say , may want leave stroller behind Hilton child . tell allow stroller stay , host still nice enough let we in . there also bus stop go Strip right front hotel call Deuce ( $ 5 / day ) . not need rental car . the concierge knowlegeable show go see . however , food option close proximity would like . overall , would go stay Hilton Grand Vacations Club . family friendly . 
 Sep 3 2008 	 Nice Quiet Hotel Strip 	 Hotel nice costly . hotel near Sahara Monorail Station easy access get around also free shuttle Wynn . bed comfortable room extremely quiet . complaint would definately stay . 
 Sep 2 2008 	 good bang buck Vegas far ! 	 short sweet review : pros:1 . beautiful , modern , clean , spacious condo - style room . comfortably sleep 8 . can not understate amazing room ! 2 . cost far least pay much luxury . pay 3 bedroom , 3 bath , full kitchen , full living room condo would 2 outdated hotel room Bally 's , Flamingo , Harrah 's , etc.3 . pool area classy clean excellent poolside bar.4 . staff kind like good baseball umpire : must do fine , otherwise would something say they . Cons:1 . restaurant . casino . Circus Circus right next door pinch , be MGM bellagio.2 . heart strip 2 mile away , can not walk door hit action right away . however , monorail 5 minute walk Sahara , pretty convenient . bottom line : money , absolutely find well place stay Las Vegas ... period ! 
 Aug 23 2008 	 nicely appoint Suites 	 room nicely appoint equipped . washer / dryer well full kitchen . living room nicely do comfortable sofa watch flat screen tv . full dining room set , also . bed comfortable good linen bath separate jacuzzi well shower marble sink . pool area nice well use . go back soon . 
 Aug 22 2008 	 Great Vacation HGVC Las Vegas Strip 	 buy HGVC last year bonus point use book stay month trip . first time stay & quot ; owner & quot ; property ( stay last year buying ) great experience . room - tower 2 top ( 39th ) floor . one bedroom plus . spacious full sized kitchen live / dining space sleeper sofa , 42 - inch plasma tv bose surround sound - nice watch movie time . kitchen everything could possibly need make complete meal cereal day . toaster , coffee maker , microwave , blender , oven , garbage disposal full size fridge / freezer ( ice maker ) . dish , utensil etc need - include nice set cuisinart pot pan discriminate cook ! stack washer dryer unit not huge work fine ! bathroom quite large huge walk shower regular shower head four sprayer make experience indulgent . bedroom jacuzi tub closet well king bed tv dresser . plenty storage room everyone . furnishing appear well take care everything - couch , pull sleeper sofa , bed comfortable . wireless internet complimentary room . couple issue cable go stay - minor annoyance . check breeze helpful bell staff bring suitcase grocery room . try low budget vacation stock snack , drink even food grill dinner gas grill pool area . facility hotel lovely- 's beautiful spacious even quite vacationer not feel overwhelmed . pool area great - one pool significantly cool mysterious reason . plenty chair around pool relax . wave - poolside grill reasonably price fare generous portion . marketplace store low level thing would need not stock store forget something . service bit slow speed cashier add . Valet typically quick curious . extra charge $ 8 per day Vegas August heat happy pay instead schleppe car self park . not casino property many around easy get via car , bus taxi . people mention construction review - right not go property . Word & quot ; redesigning & quot ; - possibly really slow due recession . construction across street - ask face away HGVC construction ( not realize not ) face construction . could not hear . would suggest call property concern . overall enjoy stay much - bit week really spend time relax - room property perfect ! 
 Aug 13 2008 	 Nice Hotel thing know .... 	 room clean nice . tower 1 seem old , tub master bedroom work properly . Air Conditioning inside room cool room well all . concierge service helpful tell we airport shuttle every 30minute do not need call reserve spot.it actually run every 45minute could miss planeif go advice . 
