Nice 	 room nice could not fault room service / bellboy staff . however Reception hotel spa staff unfriendly unhelpful . plan get marry Las Vegas , day wedding , ask Spa make - up tell do not bridal make - up hotel ? decide go book hair salon appointment anyway ( Salon staff friendly professional ) staff ask want make - up do aswell . spa staff tell do not ? getting marry , least five message leave hotel we , never recieve , reception tell we pass message ! good friend try buy bottle champayne we go room , meet unhelpful attitude say ' do not ' ' ! check - out ask use day room , receptionist tell we hotel offer service could pay $ 30 day pass spa . refuse pay quite enough room rate . this first hotel come across allow use day room . 
 Extravagant 	 Pros - huge flat screen , tv 's bathroom , nice deep tub w / salt crystal , room service ... top line . great food hotel . quality show & amp ; gambling . con - Slow drain standup shower . $ 14 internet per day . $ 25 way cab ride Las Vegas Convention Center . 
 Nice Hotel end bad note 	 travel TheHotel friend weekend getaway . use Centurion American Express travel service utilize Fine Hotels resort program . upon checkin , tell amenity FHR program , include 4pm checkout , tell would . stay nice , free breakfast nice , last day service fall floor . leave city 12:00 , friend stay watch game check . 2:00 could get room , call front desk get let , send security guard let . guard stay watch friend pack , tell could stay guarantee 4pm check . much hotel charge , part FHR program , say extremely disappointed . cater high consumer , deliver exceptional service , . 
 Aug 25 2009 	 still special quite 5 Stars time 	 2nd stay THEhotel Mandalay Bay . compare favorably Bellagio , little less elegant little modern feeling . cater bite young crowd . not expect hear Blues House Blues however , loud dance - club type music hob restraunt . arrive find fistfull broken potato chip suite 's couch take 4 day minibar key arrive despite several request . room robe pick housekeeping never replace . small gripe , price warrant expectation ... , be must - stay , even ( twice ) . nice place , great pool , tight slot . 
 Aug 25 2009 	 bad reviews- think stay different hotel - nice ! 	 concern horrible review staff - amazed great staff THEHotel . bend hand foot we , whether check - in , bell boy , room service , etc . ' m really amazed people different experience . the hotel gorgeous - definitely stay . 4 girl room bachelorette party perfect . nice extra bathroom many girl . room clean sign wear tear like reviewer stay . stay ! nice staff nice back ! also , eat Border Grill Mandalay - tasty great time . skirt steak die ! 
 Aug 24 2009 	 major security issue - many room burglarize 	 go hotel high rating , expect great service , right ? moe negative positive . would like stanger come room go belonging ? happen we day arrive , pool . somebody steal ring , value $ 10,000 . could tell room burglarize two day row . staff could care less . nonchalant incident , mostly imply misplace blame put safe . dare ? atocious security issue ? dare hire thief jeopardize safety guest ? read review see ' m one problem . security issue = steal property indifferent staffEven think 's nice look hotel , get great deal , poositive mean nothing rob ( due lack security ) treat like dirt staff ( unprofessional , incompetent , indolent ) . 
 Aug 24 2009 	 never 	 even start complain , want take note two awesome thing hotel : staff nice pool area awesome . even problem , staff helpful professional , always friendly willing help . three pool , wave pool lazy river far good part trip . give something besides gamble get early enough , could enjoy area kid arrive , haha also nice actual activity instead tan dipping tanning , etc . etc . now bad . - elevator overpopulate always slow . would never able get first try . would let 2 go least find one empty enough allow we . ridiculous . - convenient location . 's far strip main area . - nice hotel sign unecessarily cheap . instance , file claim hotel b / c friend take ironing board since GLUED onto wall instead screw , fall straight hit toe , injure point though might break . also not fit sheet bed , mean would wake top mattress b / c obviously w / out fit sheet , sheet move around move night . RIDICULOUS , ask . not Motel 6 goodness sake ; think afford small investment fit sheet . - room nice beware be travel anyone might want undress front . bathroom huge window side wall , bathtub , look hallway first walk room . mean anyone walk room look take shower undress bathroom . hung sheet avoid still , think 's dumb way construct room unless be Honeymoon Suite . annoying occurance ( like , send we smoking room request non send couple friend room not even CLEANED yet ) point main beef . ' ve stay MGM Paris suggest either mandalay . 
 Aug 23 2009 	 Great Hotel bring Family 	 book room Mandalay Bay promotion online . go check , upgrade THEhotel . little concerned pool , check clerk , assure we worth suite would get . right . suite huge perfect family . stay week , great two room two bathroom . 12 13 year old love room amenity . hotel definitely great family , despite young hip decor styling . teen love it . the room quiet spacious . find quick way get pool try . room could little clean . ink stain bed linen nail polish stain hotel robe hang closet . not bother we , know clean , surprised bit . furniture living room little worn , nothing bother we . carpet could vacuum well . small thing we , someone else may unhappy . wish offer free wi fi room . there sewage issue , one person say already . affect room hour . left come back smell go . fluke , nothing happen regularly . we would stay . pool blast . love lazy river . crowd , fun . 
 Aug 22 2009 	 Great Place 's Smell ? 	 friend stay Hotel one night Thursday . check quick , confusion regard room selection . could swear book two queen bed , give one king ( bed selection show confirmation email ) . learn without cushion , sofa pretty decent second bed . , two bathroom , person give complete privacy , include separate air - conditioning setting room . enjoy spa , find strange tell arrive thirty minute early , masseuse fifteen minute late appointment . friend really rave gym . eat lunch Raffles think food fantastic ! big problem hotel smell like back - up sewer . honestly . first arrive , twitch nose bit . evening wear , smell worse bad . time return room 2:00 , everything smell okay . follow day wore , smell seem return . cab driver tell we problem throughout Las Vegas , Hotel place experience . 
 Aug 22 2009 	 nice room 	 stay Sunday night hotel pack . line check - in go hallway , go quickly . room ready wait 2 + hour could get . place nice modern . room great spacious . v suite end hallway . view amazing 38th floor . go spa really nice . person gym . modern decor hotel clean cold , cool . we breakfast cafe overprice ok . coffee good though . impression hotel adult - orient other , pack family . guess utilize great summer deal . eat breakfast could watch people walk hallway Mandalay Bay . literally every party people child . guess suite layout hotel room mean pack people room . a couple thing know : -You go casino get beach / pool , unlike Mandalay Bay elevator go directly beach / pools.-the entrance parking structure get really hot humid mist fan . not direct access parking elevator walk way . warn , lot stuff be really hot.-if want go MIX , close early sundays.-if use entrance exit parking structure back end near freeway , bypass lot horrible strip traffic . 
 Aug 18 2009 	 love place 	 Far strip , probably good room ever , vacation price . the bed comfortable , suite huge ( 1 1/2 bathroom ) , could even watch tv ( plasma bathrm ) 5 person tub . place make hard want stay anywhere else come Vegas 
 Aug 17 2009 	 Great experience 	 stay THEhotel Mandalay Bay excellent . everything include hotel service staff top quality . suit beautiful clean . return would highly recommend . 
 Aug 17 2009 	 check - in Fiasco .. watch promotion ... get well 	 ' ve stay Mandalay Bay three time year . enjoyable stay . however , check Hotel take close 30 minute . first stay Mandalay Bay Casino . 2nd stay 8/12/09 -8/25/09 . actual stay 8/12/09 - 8/15/09 . next , book stay base upon promotion . promotion website read receive 50 credit food & amp ; beverages House Blues ( foundation room ) . first , tell check - in . , order receive 50 credit need spend $ 100.00 . next foundation room everyday House Blues . supposedly , fine dining part House Blues . well , not know . guess not read ask every little detail promotion happen . beware ! ! , stress . finally give $ 75 credit 4 - 5 place hotel area use . buffet , cafe , coffee shop , another one . turn cafe Hotel good . two breakfast go credit . the room nice . yes , dark get use . hotel dark put relaxed mood oppose hustle bustle Mandalay Bay casino . the beach rate ... full kid ... able get good spot red chair & amp ; red umbrella . kid fine , however many lifeguard around wave pool . understand might need risk Mandalay Bay , however several loud get old hearing yell everyone .. several adult wave pool also . enjoy .. find another place stay . many option Las Vegas . 
 Aug 16 2009 	 Fantastic Suites 	 moan British bloke usually find bucket load criticism hotel frequent not case hotel . we arrive early , 11.30 , line check suite available ready . check quick efficient . never see line couple people time there . the suite awesome , huge amazing bathroom , like picture website . previously stay MGM Bally 's , diferrent class . there two liquor store across street next McDonalds buy booze store hotel . if one small downside pool area , 's bit hike hotel extremely busy . stroll 8.30 meet endless stream soccer mum return room bag sunbed family . fact get pool 9.00 forget . suspect go kid back school would different story internet bit rip $ 15 per laptop/24hrson whole brilliant place stay even get bill correct . 
 Aug 16 2009 	 wonderful hotel 's pool 	 stay ' basic ' suite 8 night May . room wonderful separate lounge . room huge floor ceiling window . we pay internet access soon add hotel Stip now . the room clean maid service good . the bath room wonderful especially shower - photo not justice ! fridge room except minibar take drink put replace go . pain end world . holiday all . the hotel wonderfully quiet room service quick efficient . room 30th floor right end corridoor perfect not far elevator course no - one walk past door get room . we not eat TheHotle expensive - walk Mandalay Bay instead . TheHotel need pool area Mandalay Bay pool busy noisy . brit read time feel like Benidorm ! read people say room dark . perfect opinion hate bright light hotel room sometimes have . we enjoy stay would recommend room highly go sunbathe would suggest another hotel . 
 Aug 16 2009 	 worried negative review best experience ! 	 reservation Mandalay Bay conference . read review ta worried go bad stay . wonderful experience start finish . upgrade suite hotel time call towel need somthing , within minute . pool fantastic ! take 8 - year - old son we love . crowd problem find chair matter wave pool , lazy river reg pool . parking close hotel entrance , love . able use gym ( could not bring self pay $ 30 / day ) . restaurant pricey ... tradition french onion soup Red , White Blue b / c well ever ! line elevator ! not win slot , lose $ 5 playing week ! love Vegas LOVED hotel ! 
 Aug 15 2009 	 100 % Satisfaction 	 wife recently stay hotel @ Mandalay Bay seven night August 2nd 2009 August 9th 2009 Honeymoon . experience right start , begin check meet expectation . since fly late Sunday night arrive hotel around 10:30 pm Vegas time , experience line up , wait what - so - ever . greet well dress , polite professional gentleman behind counter , we way suite within minute ( also use 20 dollar tip trick seem work . ) . hotel appearance , hall way , elevator area , lobby , cafe , etc look spectacular fill fresh cut flower , polished floor , pristine mirror high class decor . situate 30th floor , end hallway . unique carpet floor ' wall artwork way suite add already beautiful hotel . enter suit , pleased , room , look like virtual walk hotel website . everything perfectly clean , polished , re - supply , nothing place . view bedroom amazing , overlook Luxor , Excalibur , MGM , course , strip far eye could see . take time unpack , familiarize suite . bed linen comfortable , will definitely get good night ' rest , even ' couple hour , , be Vegas . bathroom absolutely awesome , tub fit two people room spare , water come neck . ( ' m 6 ' 4 & quot ; , impressed ) steam shower , sink , tv bathroom , marble floor counter top , additional bathroom , plasma tv , office desk etc , without doubt well design pleasurable stay . elevator divide two area separate low floor high floor , reason , long wait elevator , 45 second , include Friday Saturday Vegas get really busy . clean staff always smile , professional , make sure say hello even pass , good day wish we good luck . ( nice add touch thought ) inside room , well stock mini - bar , chocolate , munchie , price mind ( 4.25 usd Pepsi ridiculous ) ' budget , hit Walgreens strip . hotel also reliable internet service , either wire wireless , whop $ 15.00 per 24 hour period . small convenience store near lobby cleverly name store , everything need , somewhat overprice convenience store inside hotel Vegas . ( , hit Walgreens ) since hotel share everything Mandalay bay offer , think ' fair critique restaurant , casino pool area well . casino like every casino Vegas ; walk get anywhere . make note though , $ 5.00 Blackjack table , $ 10 , $ 15 , $ 25 , $ 50 , $ 100 etc ' find , want cheap gambling , ' find head strip . restaurant selection good far ' concern , little bit everything everyone , ' tight Vegas budget , simply head Luxor Food court fast food , otherwise , sure stop Red White Blue . $ 90.00 two people enjoy pleasurable dining experience , great food , great service . far Pool area ' go , Mandalay Bay one good ' ever see . wave pool import beach sand , poolside casino , restaurant etc make feel like actually caribbean resort . want get good seat though , make sure pool around 8:00 a.m. open . chance sleep , place pack , head one private pool area like Monerra , keep mind though , particular area " European Style " clever way say Topless optional , pay get . ( $ 10 woman , $ 40 man ) overall , wavepool area rock . con : - coffee maker room ( seem Vegas , normal amenity ' apply , everywhere else world , coffee maker standard , major hotel Vegas supply one . since know already , purchase small single cup coffee maker leave Vegas bring we . ) - free internet service . ( pay internet stay hotel weird concept , ' big enough deal affect stay . ) - Pricing . ( one oddly enough go without say , want cheap trip , ' go Las Vegas , mention . mini - bar ' pricing horrendous , drink pool ridiculous . $ 10.00 strawberry Daiquiri pool , free ' gambling . price ' stop though , delicious . room service way overprice anywhere , keep mind food excellent.- tv Channels pathetic . ( watch much tv , channel selection horrible . beautiful 42 " plasma tv ' living room bedroom , hardly channel , picture quality channel , make 42 " tv ' kind redundant.- Bottom Strip . ( hotel Mandalay bay Southern end strip . last large hotel , ' way away everything , ' 6 mile ( 12 klm ) Circus Circus , let tell , walk take while . overall impression : even though con place go , minuscule , ' affect stay way , shape , form . presently surprise impressed , would recommend hotel friend family . surrounding , service , staff , make honeymoon memorable one go back . 
 Aug 15 2009 	 Excellent Stay 	 originally book room Mandalay Bay however arrive early room ready . staff Mandalay Bay offer we suite TheHotel , price original room . great choice ! ! thehotel quieter luxurious ..... love everything . suite spacious , separate living room wet bar . bedroom beautiful bathroom gigantic ! love large tub separate glass enclose shower . even small bathroom living area . could not ask ...... stay Las Vegas four day enjoy every minute , exception one negative event . plan dinner Aureole restaurant Tuesday evening . dine last year thoroughly enjoy atmosphere food . year , however , could not bad . wait staff non - existent , food overcooked cold . get impression waiter think & quot ; belong & quot ; upscale restaurant . leave finish meal . never again . I highly recommend TheHotel couple look quiet , elegant place stay . 
 Aug 14 2009 	 rude staff make unpleasant stay 	 hotel could ask Vegas term style glamour . staff otherhand forget Customer . many fight throughout seven day stay . husband could order beer leave ID room , despite 50 . return camera room go House Blues pay look , despite phone camera allow people take picture . room clean day one occasion beg towel eventually arive midnight . unhelpful , rude staff Bayside Breakfast poor food , despite we complementary breakfast experience enough we go back first visit . contact hotel leave ask float lazy river free , could bring - tell - yet arrival get float pay $ 24 ! child luggage trolley rip hand compamy policy guest use . list could go staff , way speak rip . ( oh must forget $ 15 day charge internet access ! ) would stay - absolutely 
 Aug 13 2009 	 Family love place - will return 	 love thehotel . Valet park 200 ft . elevator perfect we since rental car use lieu endless taxi , trams & quot ; death marche & quot ; vegas heat . ( not first summer trip vagas - decide get casino complex car , take taxi , be actually cheap water will need re - hydrate decide walk outside . ) trip outlet mall , Freemont dist . , casino on / off strip , local eatery become much pleasent less hassel factor . other reviewer complaint thehotel entrance parking garage turn big positive I . yes main pool family orient 's bit stroll family not seem mind . 2 old teen opposite sex , suite hugh bathroom , 2 seperate enclose toilet area , 3 plasma / LCD set perfect . gamine area vib perfect taste . frantic stuffy . casual fun factor Venitien Belagio 's Mandalay at . item complain minor - haughty staff member two , find amusing laughable offensive . whole , staff , houskeeping & amp ; dealer / table crew pleasent fun . 
 Aug 11 2009 	 can not say enough thehotel 	 's funny , ' ve sort addicted reading negative review thehotel . complaint pretty laughable . incredible stay start finish . check : easy . take 5 minute . completely friendly greeting getting drop airport . yes , entrance parking garage . seriously , care ? registration staff professional friendly . take 8 minute check minute get line get key . check equally courteous fast . ask stay attendant genuinely happy hear love stay . the room : dark . , care . group friend , include woman , one complain . woman trouble put makeup . bathroom amazing . one complaint toilet , fairly & quot ; low flow & quot ; 's problem , know , flush twice . New York , say bathroom big many bedroom ' ve see . ' ve actually studio small bathroom . fairly high floor - 26th - pool view ( could see Luxor reflect Mandalay Bay tower ! Woo hoo ) clear view aircraft ascent . people complain airport loud either exaggerate exceptionally good hearing . never hear plane . even pool barely hear plane . bed incredibly comfortable . housekeeper wonderful . amazing job replace toiletry necessary . everything impeccably clean . admittedly , furniture little worn . example , wear & amp ; tear crack coffee table . - 's Vegas , be stare coffee table search dust behind tv . the tv 's like large screen tv mean HD not . picture poor . unless be kid holed room night - care ? serve purpose . lobby : love everything lobby level thehotel . bartender lounge incredibly friendly pour good drink grear selection top shelf . make point stop several pre - dinner drink every night back do table way back . love general decor feel lobby area . really understate compare top tier vegas hotel . also happen love whatever scent permeate lobby . wish bottled . though , smell sensitivity may bother . ( sometimes , take minute get use odor Palazzo , pleasant hit allergy . not problem THEhotel . ) love lobby dark . generally quiet feel . clearly different mood Mandalay Bay . & quot ; action & quot ; take place Mandalay . not make Mix , wish grab drink take view . mandalay amazing restaurant selection . Shanghai Lilly incredibly enjoyable . next time ' m definitely try Fleur de Lys RM seafood also great menu . cheap fare ( lunch ) - Burger Bar House Blues decent . not try economical option important part trip dinner night . I little disappointed & quot ; beach . & quot ; think 's little overrated , negative experience beach , technically part Mandalay . like pool MGM Caesar 's much well . ( though Octavious Tower may much shade Caesar 's ) first couple day make mistake get early , point overrun kid . learn go lunch ( 2 - 3pm ) kid thin 's little & quot ; adult & quot ; friendly . be late 20 's early 30 's unwind stressful job get drunk get tan . 's hard kid around . - card Bikini Bar bartender kind jerk . seriously , ' m pretty trust person , July / August 's hot spend much time pool ' m go leave wallet unattended , ' m bring ID . fortunately , waitress much friendly use common sense . hopefully not share tip . major problem new rule can not bring drink water . seriously ? could sit pool leg water acceptable . idea unuque Mandalay Vegas wide . obnoxious , lifeguard enforce seem embarasse appreciated . other seem take pleasure yell guest like 10 year old . seriously , treat group order drink well treat family kid . group odere two beer bucket time $ 64 + tip every 45 minute almost $ 400 day . add . unfortunately the MGM Mirage not really seem care Mandalay Bay hotel . 's afterthought compare Bellagio , MGM soon - to - open CityCenter . mandalay property deserve well whichever entity ultimately purchase . 
 Aug 10 2009 	 shall return ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! 	 disapointment great hoel , place incredible , service attitude staff awful . could care less . 4 5 star hotel stay bent backwards accomadate guest . place lack staff enthusiasm . could go little thing make stay pleasant never accomaodate . bully baggage boy , would miss transportation airport , tell Hotel time pickup place transportation . lack service price small thing awful . whatever , stay HOTEL , CANCELL RESERVATION go elsewhere ! ! ! ! ! ! ! ! ! ! ! ! ! ! pool open 7:30 8:00 a.m. get chair . wrestle place luonge rest day . unless want pay 3 bill cabana ... stay Bellagio ( top Hotel ) MGM , Mirage , Vinetian , Monte Carlo , luxor , Ballys , nothing poor service place . problem go broke staff probably work underpaid piss off . go else ! ! 1 
 Aug 8 2009 	 lose 	 Dark color , dim lighting , cold . hip , place may work , could wait get see sunshine . connect Mandalay Bay , different place . common area small — two perpendicular hallway restaurant lounge right walk path remind airport terminal . room well do , , even every light , place dark . business , experience much walk room . objectively , clean , modern , well appoint . subjectively , hate . 
 Aug 7 2009 	 filthy pool great bed nasty staff 	 front desk slow , unfriendly , inefficient . pool filthy ( cigarette butts , hair , piece diaper , garbage . also pack , body body , everyone kid stay ! person smile maid , probably give generous tip . book one room teenage son one we . connect , nice . bed great furniture rug / wall show lot wear , stain usage . tv bath not work , bathroom door break close . like picture ! ask room view see parking lot part Luxor . gift shop people rude . like ' beach burger ' - delicious $ 10 . accustomed stay nice hotel , one severe disappointment . maybe attitude come chapter 11 file . sad , will not suffer service . definitely place stay want helpful , friendly , service clean hotel . oh , fitness center $ 20 per person per use ! 
 Aug 6 2009 	 expensive want ! free shade sun . 	 despite book month advance , arrive teenage son , give room one kingsize bed . advise & quot ; rollaway & quot ; bed would delivered room , ring later delivery . chase move next day suite two bed , book . also stick 8th floor room , decent view despite pay front well advance , deal . reception trying find room change detail , meet another family experience . despite high cost hotel , service amenity provide poor . fair skinned want use beach facility , prepared spend even money shade . one small area , crowd early , plant palm tree provide shade , otherwise need pay $ 68 padded sunbe ( ) $ 40 dollar sunshade . hire sunshade . otherwise could hire cabanna cost vary $ 300 . lot extra money shade - not management hotel hear skin cancer ? ? ? want go Lazy River , bring tube ! ! seriously , yet dollar grabbing ! ! ! $ 25 dollar large tube , $ 15 small one . really object outdoor charge . expect use lazy river without tube provide lazy river without full facility available , cost little provide sunshade take cover 40 + degree ( centigrade ) heat . stay fantastic hotel around world never expect pay extra . extra cost charge stay hotel , rather Mandalay Bay translate well experience . save money go somewhere custom appreciate . 
 Aug 4 2009 	 great hotel away Strip hotel 	 husband stay three night think hotel excellent . receive courteous welcome front desk . ask able stay strip - view suite 35th floor magnificent view . suite great - a nice - sized living room big tv . love large bathroom huge tub ! room decorate brown little dark . mandalay complex also great restaurant , one even need leave ! one reservation hotel location . away strip hotel long walk even tram go Excalibur Hotel . really hot July , pleasant walk Bellagio etc . sear heat . recommend Thehotel qualification . 
 Aug 3 2009 	 nice stay hotel ! 1 	 thank everyone share knowledge hotel . we wonderful time find staff nice accomodate . room exactly like photo 's line , clean comfortable . pool get crowded chair thing mess need something . question have glad answer . 
 Aug 3 2009 	 total money PIT - PAY SHADE 	 place money pit - pay amenity would expect ! horrible service zoo boot - like Disneyland x10 crowd - good luck get back room elevator night - wait line least 10min get elevator ! ) pay shade pool ( want umbrella - 12 rent $ 100 ! ! ! ) scorch sun 115 degree burn chair b / c will not give 2 towel cover entire chair ( 1 towel per person - tell 5,000 room 1,000 beach chair - problem ) . want go & quot ; lazy river & quot ; inner tube BUY ( rent ) $ 25 piece . disgusted day 2 not even bother go pool . request King size bed , get 2 Queens promise next day call noon switch room . call - call basically tell we bug ! place expensive last trip Bellagio . plus restaurant great night club nice ( despite steep cover charge - get free part wedding party - otherwise watch wallet ! ) . would go back Bellagio heart beat . reason return Mandalay would Fleur de Lys restaurant - yum ! 
 Aug 3 2009 	 amazing 3 night stay luxurious 	 first trip ' ve take Vegas thehotel first stop . since THEhotel southern end strip , book 3 night 3 Mirage ( central location much low rate weekend night ) . taxi drop we gorgeous lobby- modern quiet , unlike almost every hotel drag luggage casino make room . arrive THEhotel around 10 am room not ready- concierge give we room key , take cell number , receive call 1 pm room ready we . meantime , hold luggage get room , call bellhop bring right . room 35th floor mountain view ( book low - grade suite $ 85 night not expect ) , still nice view mountain could see Palms Rio far right . room SPECTACULAR ! complaint whatsoever . sit room nice , not use ( store luggage ! ) , extra bathroom near entry great plus . bedroom wonderful , nice mirror shelving unit house tv , clothe hanger 2 robe enjoy wear around . even well ... bathroom could well ! gorgeous tile throughout glass shower , huge tub big enough 2 ( jet anything fancy though ) , double vanity plenty storage space , separate toilet , small LCD tv wall . bathroom alone worth money spend ! go Mirage hard use gigantic bathroom ... outside amazing room , love hotel well . thehotel feel elegant exclusive , short walk casino pool Mandalay Bay . enter THEhotel casino really feel like another world , expensive exclusive . casino Mandalay Bay favorite compare rest see , even Bellagio , Venetian , Wynn , etc . feel open classy . pool great- sure , crowded , be expect . spend almost time wave pool ( need big wave though ) , go one lagoon pool . problem could not find lazy river- not think wander long enough find , may take hunting come across . go happy hour House Blues $ 5 appetizer $ 6 bartender 's choice drink ( day , Long Island Iced tea ) worth . also , go mix Thursday night , VIP pass one employee hand near entrance . end free boyfriend pay $ 10 cover- $ 10 cover well worth amazing view ! would definitely recommend go mix view , must take advantage 2 - for-1 cocktail coupon include nightstand ( unfortunately , not notice morning go ) check - out breeze use express check - out feature tv , literally take less 30 second . overall , thehotel truly amazing . problem , except maid come everyday 9 am either still sleep get ready- sure light & quot ; disturb & quot ; go bed . also location downside- extreme south end strip far free tram Excaliber helps cut walk time . overall , absolutely nothing would change experience THEhotel ! hope stay enjoyable ! 
 Aug 1 2009 	 stay 	 recommend hotel . room okay . adjust sound television . volume keep fluctuate . bad thing room toilet . not flush completely . totally disgusting . money pay , worth it . the fitness room feel like hospital room . bland entice workout . nothing spectacular spa either . 
 Jul 29 2009 	 good room money 	 first trip Vegas . choose THEhotel want enjoy pool area part beach.1 . agree other entrance not great parking garage entrance , not really care . thehotel gorgeous lobby area , dark , think 's part ambiance.2 . check - in great . read Vegas tip give clerk $ 20 . GREAT TIP ! not get charge extra fee 3rd person get strip view without asking.3 . room nice . upon check snack room , find someone eat pringle make look like not . room could little clean , nothing disgusting . bed great , one person even sleep couch find comfortable . tv volume control not great . could hear lot noise hour ( housekeeping 2 am ? ? ? ) hallway room . oddly , sit area bedroom.4 . wireless internet iffy well - bad considering per day charge , use ethernet cable provide , service better.5 . ship package , clerk business service great - carefully boxed item me.6 . pool area nice - spend one morning one lounge chair . sand could really use good screening . trash need pick well - people could actually throw trash away . pool area would much nice 1/3 chair remove - hard walk around . understand area busy , still many chair . wave pool great - not understand lifeguard insist everyone stand certain depth.7 . cabanas - rent cabana one day - nice - good service - however - meal selection pretty sparse . setup cabanas ok , real walkway get without walk cabana area - part chairs.8 . room service - RUDE ! friend order cake local bakery . call get plate , etc . charge us cake rude . also call get hot water mug could make hot tea rude also . also call phone book , bring immediately politely . also call make sure get it . overall , enjoy stay . one downside far south end strip , get anywhere else take lot walk . 
 Jul 28 2009 	 Loved would change pool hour lack free wi - fi . 	 family love everything Hotel . extra powder room invaluable teenage daughter . suite accommodate early riser late nighter . spot carpet , low lighting bathroom , lack free internet service disappointing , lack replacement bath item use first day . Las Vegas try get family friendly , close hotel pool 7 pm get ready pool party family unfriendly . little underage guest , close pool seem wrong upset daughter . 
 Jul 25 2009 	 Nice Hotel Location 	 visit Las Vegas numerous time usually stay Mandalay Bay kid love pool . decide stay Hotel great rate receive email . arrive find room type available give $ 75 food credit compensate . continously ask housekeeping bring we toiletry ( one small bottle shampoo 4 we ) extra towel . comfortable bed , room spacious dark . 14th floor noise issue . big negative location regard get pool . walk casino parking garage carry lazy river tube ! ! bit cumbersome say least . also end strip - cab ride away mostly everything . 
 Jul 25 2009 	 Fantastic Place 	 stay Imperial Palace , Bellagio Venetion , hubby decide give Hotel shot ( friend get married Mandalay Bay seem good place stay . glad stay here . the room fab . suit plenty space . bed comfortable . great view strip ( request ) bathroom great size complaint room . the hotel quiet casino short walk Mandalay Bay . say spend every night Mandalay Casino find big plenty variety big win . mandalay , eat Raffles Cafe ( 24 hour ) quite night - well early hour morning good . try buffet - fine also . eat Burger Bar - kid never eat well burger - shopping mall . also eat Fluer de Lys . ideal romantic full sit dowm meal . ' ve eat lovely restaurant good place reasonably price . the place Hotel use coffee bar - every morning early would get coffee bagel - ideal . big room service breakfast one day fantastic ( every well payment cover comp ) .I really can not fault Hotel . not think would enjoy much bottom strip love thick action find really make stay used lot facility . obviously quieti people not want travel bottom strip find advantage . also staff lovely . if be think will not enjoy location think . assure love want return . take plunge - great time Hotel . 
 Jul 24 2009 	 close 2nd Bellagio 	 part honeymoon stay Hotel think luxury suite much resist . upon check tell even though know honeymoon , twin room available . obviously , not pleased , agree stay twin 1 night would move follow day . true word move next day , upgrade we massive suite high buliding corner , give we view strip across pool area . room lovely - modern plush view spectacular . bathroom huge bath big ' ve ever see enjoy plenty time relax full day shopping . lounge area vast even big bedroom - nice , amount time spend away room , ever walk lounge do not spend time , future know suite unneccessary ( nice none less ) . hotel also give we US $ 100 spend within complex extra appology , unexpected much appreciate . the negative could give hotel location , everything else spot . far end strip , long way upon reflection , would not stay . personally find spend lot time travel end strip take long walk - go back would stay Bellagio . everything else hotel superb go Vegas pamper chill , location would problem . nice hotel would recommend probably would not revisit Vegas . 
 Jul 23 2009 	 horrible please read ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! 	 well first get wait exactly 1hr . serve phone wait 2 hours talk already wait 30mins talk . 10 BEDBUGS 2 bedroom SUITE ! ! ! never go ! ! ! ! ! kitchen burn food sink ! ! ! bathroom smell like barf dry clump barf toilet . phone not work elevator SLOW ! ! ! ! ! STINKY ! ! ! ! pool nasty also ! ! ! ! 
 Jul 23 2009 	 Valley fall wedding Mandalay Bay 	 get marry last weekend . ceremony absolutely amazing . magical everything hope . course 110 degree guest not seem mind much . nice breeze water fall . ceremony mc would everyone hear 's beautiful place photo . cashman photo heck job picture , love much buy entire package . Mandalay Bay good hotel , clean , classy , food great every restaurant . we reception StripSteak FABULOUS , breakfast day Bayside buffet Saturday night VIP party friend Rum Jungle . everyone work hotel great go way accomodate we . favorite hotel Vegas can not wait go back . 
 Jul 23 2009 	 thequiet THEClassy- Hotel Las Vegas 	 stay thehotel 4 night part conference July 2009 . 's unique property : ) casino ground floor , walk 3 minute connect corridor casino . hotel lobby QUIET CALM . big difference . b ) room suite - live room sofa & amp ; deskc ) not realize Mandalay Bay large complex - 3 hotel ( , THEHotel , Four Seasons ) giant convention center . pro : 1 . elegant , modern decor furnishing ( see Con section color ) 2 . 2 bathroom - half bath behind suite door full bath bedroom3 . separate glass shower area large soak tub ever see ! Cons:1 . everything either black dark brown color . elegant look night , little somber day make feel like sleep night - club . know try boutique hotel , still dark . 2 . slightly fray edge - wallpaper scratchs / damage , bathroom door dent - probably drunken guest ' m sure . high - end hotel , detail ought fix . 3 . Location - southern - most hotel Strip , want see casino will long walk $ 10 taxi ride . tip - walk Luxor hotel shop Mandalay Place . 's shopping corridor run underneath street . 
 Jul 22 2009 	 Best Hotel ever 	 month please stay Mandalay Bay 's Hotel . room extremely well keep staff friendly helpful . stay 19 th floor house keeper name Magdalena absolutely magnificent . room clean daily time . ask extra towel wash cloth meet smile receive right away . hotel beautiful extremely quite . ' ve travel Vegas last five year stay MGM Grand adore , Hotel truly spoil heart . Mandalay Bay complex amazing , club dine exotic addictive . con staying hotel , get strip view high floor , really want . definitly stay next year . alreay process book another trip . end , see next year Mandalay Bay . 
