nice 	 good value SF near Union Square . friendly staff , pet friendly . modern hotel within couple block Union Square . free breakfast , free internet , nice wine hour evening . close shopping , Metreon , restaurant . would stay . knock $ 45 valet parking smallish fitness center . 
 type hotel James Bond would stay 	 locate perfectly near Union Square shop , across Apple store , BART , Old Navy Walgreen 's ( perfect late - night snack ! ) , Hotel Palomar San Francisco exude Quality . room feature flat - screen tv , useful work desk wireless internet ( via Kimpton InTouch membership ) , plus Kimpton signature animal - print design everything carpet , sheet dress gown . take either interior room look garden exterior city - view room . it be exclusive , comfortable , pet - friendly great location . plus , often come great value deal Priceline . 
 look forward return 	 could not happy stay Hotel Palomar . hotel great location , convenient BART , trolley , incredible shopping . room quiet fantastic view . hotel modern yet comfortable staff superb . look forward many return visit . 
 Jun 18 2008 	 great location small room 	 husband stay Hotel Palomar four night June . may expect downtown San Francisco , room quite small , clean nicely decorate . bathroom also small . also expect downtown SF , hotel expensive . be already spend much , would suggest chain hotel like Marriott Westin nearby large room . the location great . right around corner Powell BART station , make easy get around city outskirt . 1/2 mile walk Chinatown mile Embarcadero . definitely walk - able weather 's nice , although be ask lot San Fran . nice shopping restaurant nearby . everyone hotel friendly helpful . hotel offer free coffee / tea morning wine evening . 
 Jun 16 2008 	 Good Great 	 hotel location great within walking distance everything . right next Union Square , China Town , 15 min walk Embarcadero . hotel room small nice . look lot space , look else . room desk , bed , flat screen t.v . update bathroom . use restaurant , fitness center comment . free wireless internet , great perk . sleep well hear street noise . would stay area . course business receive rate $ 199 / night , less half normally charge . think $ 400 go rate 4 star area . 
 Jun 9 2008 	 great location 	 stay early year week . great location , 7th ? floor room overlook Mac store . although street noise concern , quiet night ( wife think noisier normal ) tiny lobby , however common area well fairly large dining room / restaurant upper floor . actual hotel room average US - sized , Kimptons . modern decor , decent linen , free high - speed internet connection , tv , DVD / mp3 player , minibar , COMFY BED ! , room bathroom spotlessly clean . fresh fruit 375ml bottle wine room arrival ( return guest ) on - site restaurant actually pretty decent , especially compare dining option around ( fairness , eat mostly breakfast every day ) manager even send mini cake another half - bottle wine find wife 's b - day weekend ( nice touch ) also afternoon & quot ; wine - hour & quot ; similar Kimptons . sight walkable hotel , Moscone , Union Square , Chinatown , even North Beach be . BART station & lt ; block away plenty cab area due high concentration hotel ( be also almost directly across street huge Marriott ) 
 Jun 9 2008 	 Outstanding every way 	 far , pleasing stay ' ve hotel . Hotel Palomar gem heart San Francisco 's downtown district , boast level service blow we away . take care every need , even print airline boarding pass we upon check - out . hotel spotless , Fifth Floor restaurant excellent choice breakfast . truly , be hard come superlative adequately express impressed Palomar . will definitely seek Kimpton hotel future . 
 Jun 8 2008 	 Super Spot 	 stay 5 night business . location absolutely superb . take BART airport barely 5 min walk easy day suitcase pull behind . also take BART back leave . easy $ 5 . room furnish traditional old style warm welcoming . plenty space good desk important . internet access excellent free . bathroom little date work fine l'occitane product never fail help . they not tea make facility take 3 go get kettle room . guess spanish useless . room great . noise speak even though busy location . breakfast meeting room refurbish main hotel restaurant bar shame . average fresh fruit always great . staff friendly helpful hotel general impression tailor business / tourist . location great get around . apple store across road Union Square stone throw . not room service great little french bistro 5 door right recommend highly . ate twice really enjoy food . also another block right good cafe serve breakfast nice juice quick start . I would stay good value , good location overall tidy place . 
 Jun 8 2008 	 o.k . 	 frequent guest Kimptom hotel . little disappointed one . guess spoil first one upgrade room . perhaps availability . room fine request quiet room high floor . get room next ice machine low floor . unfortunately , notice ice maker unpacked tired move . big mistake party hall 10 p.m. many visit ice machine ! since belong club , greatly disappointed stay Kimpton again . I give Lauren front desk kudo , though . go way make last - minute dinner reservation we . 
 Jun 4 2008 	 great location 	 great location right town . small hotel excellent service . room small nice clean . good choice downtown hotel . 
 Jun 3 2008 	 wonderful stay ! 	 highly recommend Hotel Palomar ! four girlfriend stay last weekend great experience begin end - nice atmosphere , convenient location , friendly helpful employee , especially Kevin bellhop , Lauren front desk , concierge ( sorry forgot name , one work May 30 - 31 ) dinner Lark Creek Steak ( also highly recommend ) watch movie Century Theaters inside San Francisco Centre around corner , hotel also good base visit many sight city easy access public transportation like Muni BART . definitely plan return someday ! 
 may 29 2008 	 great hotel - excellent location 	 stay one night get great deal expedia . book one inward face room want sure quiet room reach room find put & quot ; disabled & quot ; room actually overlook Apple store . return reception move without issue room floor 8 overlook zen garden . the room lovely - robe hang wardrobe well underwear could buy ( thought bit odd ) . appreciate free glass wine reception although check time 12noon , ask later 1 pm check - out problem all . I impress hotel - location , price comfort room certainly make well stay trip San Francisco . 
 may 27 2008 	 great hotel 	 book hotel special rate find Travelzoo . $ 139 / night . great hotel . room small comfort , great bed , LCD tv , L'Occitane product . stay Kimpton Cambridge great stay well . kimpton great usually find good deal . drink Marriott View Lounge across street Hotel Palomar great view San Francisco . 
 may 27 2008 	 Outstanding - Loved Hotel Palomar 	 stay Palomar May 21 - May 25 , 2008 . everything wonderful . hotel staff go way make feel comfortable . room executive king 9th floor ; comfortable size . property always quiet , thus make ideal uninterupte slumber . every evening return find bed turn soft jazz play radio . make great prelude wind busy day sightseeing . previous guest state ... hotel leave nothing desire . would definately stay Palomar . Kimpton Hotels FABULOUS ! 
 May 26 2008 	 almost perfect . 	 good:1 ) great neighborhood ( near plenty restaurant shop ) amazing public transportation option nearby get quickly pier park . rent car -- not need it.2 ) clean room . friendly staff.3 ) environmentally conscious hotel.4 ) Complimentary wine/ beer hour lobby around 5pm.5 ) spring suite big jacuzzi bathtub . worth -- like kind thing . the bad:1 ) robe miss room get . bring we promptly phone call.2 ) plug giant 4 foot deep bathtub also miss . ready draw nice bath long day -- - wait around 15 minute plug bring us.3 ) miss room service menu.4 ) wait 15 minute valet appear could get car garage . actually see we go garage , proceed get elevator disappear . apology upon return . 5 ) overnight parking fee $ 42 -- include tax . yes , be $ 42 per day . 
 May 11 2008 	 excellent location great value money 	 two separate stay Palomar start end holiday , great . standard room adequatetly size nothing missing . location excellent , staff helpful could not ask anymore . reasonably price 5 * hotel time would definitely stay . 
 May 8 2008 	 Location Service Impeccable 	 stay convention hold block away blow away incredibly perfect everything . price super reasonable . service perfect . accommodation amenity leave nothing desire ( except maybe indoor pool big deal opinion ) . mention location dead heart everything walk distance convention center . stay nowhere else stay downtown SF Palomar . 
 Mar 28 2008 	 okay 	 stay two night basic , King delux . pay $ 233 per night exclude taxis parking , ultimately put we $ 300 per night . room fine , except tiny bathroom brushing toilet enter tub . big complaint continental breakfast not include lobby small wine taste 5 - 6 lack type atmosphere make worth . could get much cheap room pay , be probably worth . price , skip . 
 Mar 23 2008 	 Excellent choice 	 come San Francisco conference Marriott downtown . prefer stay small hotel , book Palomar right across street Marriott . could not happy experience . staff welcome helpful , room spacious comfortable . first night send plate fresh fruit room . price $ 10 would pay Marriott . hotel two block SF MOMA public transportation nexus ( BART , tram , cable car ) .My complaint eat hotel quite expensive ( $ 6 Rice Crispies ) . eat entire time . cheap eat go , recommend Alexandria Cafe Coffee Bean around corner one way Market . Westfield Mall food court around corner market way . sound cheesy eat mall food court , upscale mall food excellent full meal could around $ 10 . King Thai Noodles opposite side block hotel also excellent reasonably price . I stay every time come San Francisco . 
 Mar 16 2008 	 modern luxury great location 	 ' ve stay quite Kimpton Group hotel San Francisco , favorite . clean sleek , modern furnishing . easy walk distance Union Square , Westfield Mall , cable car restaurant . quiet , . 
 Jan 12 2008 	 Amazing Hotel ! ! ! 	 amazing hotel ! ! . locate heart everything . block half away cable car pick ; corner shop include Walgreen ' . visitor ’ center two block away , know worried parking parking structure around block safe secure cost $ 30 24 hour , great deal compare everywhere else . now hotel ..... amazing , beautiful , comfortable . free upgrade executive suite great . staff super friendly . order towel ; housekeeping would 3 minute . also dvd\cd player room convenient want lie back room watch favorite movie . clean guy get tell room super clean . bed comfortable soft . overall excellent hotel . A++++ 
 Jan 3 2008 	 wonderful stay 	 stay Hotel Palomar , two dog , one week . hotel decorate art deco style modern touch . not fancy super luxurious , stylish nicely appoint . the good part stay choose Kimpton Hotels possible staff . Kimpton well train , friendly accomodate staff service par well fine hotel world . doorman , valet , housekeeper check - in staff , everyone incredibly gracious . sister pre - arranged transfer Mark Hopkins Intercontinental Hotel ( town family wedding ) say wish could move back Palomar . my complaint get hotel traffic huge throng pedestrian make ingress egress challenge , however , hotel locate popular , vibrant location , guess expect . also , sister interior room would suggest request exterior room view . 
 Dec 30 2007 	 Kimpton Hotels ROCK ! 	 tend stay alot San Francisco . Palomar far well hotel would think . think , oh knock W. hotel exceed W. service impecable . anything need , call room within minute . location fantastic ! right Union Square amazed right , hear noise . worth money stay property ! 
 Dec 29 2007 	 pleasant stay ! 	 unfortunately choose wrong rainy season visit , hotel staff location thing make trip wonderful.have say , side enjoy sf less tourist , be like whole city yours.me partner absolutely love decor hotel , be simple , modern , mostly , clean ; upgrade right away exec . floor ; true , sf small city , matter stay ; hotel heart downtown , union sq . also surround christmas display , hotel actually face quieter street , center city , yet actually quiet.do hesitate ask wonderful hotel staff regard question , luckily also great taste tell hot spot town.few suggestion : def alcatraz & quot ; night & quot ; tour , surprised spooky atmosphere night , also provide partially free guide tour ; strongly recommend reservation great restaurant , mean book trip ; hayes street , good place eat , shop , ppl watch , ignore union street , date shop great place find food ; wonderful food court westfield mall , yes , food court , 5 star hotel like food court find type food . , sf small city , plan one section ( i.e . ashbury , soma ) one day , easily finish together , def plan escape two trip , either wine taste muir wood , actually fun ! 
 Dec 20 2007 	 need overhaul still pleasant place stay 	 Palomar brand popping across country ; first experience exceedingly glamorous Palomar Washington , DC . last year book room Palomar San Francisco since make preferred hotel city . the SF Palomar glamorous . may first open definitely show age . decor firmly root mid-1990 's aesthetic . nonetheless , well maintain still find lobby ( except battered sofa ) elevator vestibule quite attractive . room could use update . comfortable definitely bland . cream - color wall really wash - out room amount brightly color accessory alleviate drabness . and be pretty much negative place . room may dull decor -- bit snug time -- comfort factor high . beds linen encourage one sleep - in rainy San Francisco morning . bathroom non - descript , work ' ve always plenty hot water need . housekeep gracious ( Marina leave cute note ) efficient . picture window room face Market Street well insulate noise generate pandemonium . however , particularly sensitive outside noise may prefer one inside room ; almost tomb - like quality . the location great . Pal right corner market 4th , short walk away epicenter good shopping west coast . be lucky , will get one precious outside room . window huge 's fun watch scurrying ; society lady Armani bag , protester , backpacker , buddhist monk , guy drag , street performer , investment banker , seemingly every example humanity collide together right outside hotel . another big plus Powell Street MUNI / BART station right around corner Palomar 's entrance . Pal great museum junkie ( like ) ; spectacular DeYoung MUNI ride away Museum Modern Art ten minute walk Pal 's door . Palomar interesting advantage be locate next door Westfield Mall . first visit hotel , staff would direct Westfield 's food court ask could get quick bite eat . initially scoff idea get meal food court ordinary food court . korean BBQ joint quick , cheap , delicious . corriander , right next , wonderful Thai food bargain price . truly enjoy grab meal Westfield food court bring back room watch movie ( room Palomar equip DVD player . ) one time ask one front desk people ( shall name person ) room service ; person shake head mouthed word & quot ; not want that . & quot ; pretty well sum quality Palomar 's room service . Pal formal restaurant call Fifth Floor . 's good truly awesome meal achingly romantic setting ask Stephen , concierge , get reservation Chez Spencer . which bring Palomar 's shine asset : staff . people corporate drone ; charming , wacky , funny , vibrant . also competant . ' m away home quite bit almost always travel ; luxury walk hotel welcome back old friend . overall , want up - to - date style go W. need pamper luxury -- willing pay dearly -- go Mandarin Oriental . Palomar place comfort trendy luxury appreciate warm , welcome staff . Pal 's location beat be SF shopping , club and/or museum hopping . 
 Dec 2 2007 	 pretty place center downtown 	 small lobby warm friendly staff give place small boutique feel , actually large 198 room hotel . zen subdue look premise charming . pretty room well equip usual frill like fridge bar , little bit like dvd player complimentary wireless internet . a sign hotel design tourist rather businesspeople , hotel extra facility besides small restaurant ( 2 ) tiny gym . might well , since hotel right Market Street short stroll Union Square lot activity vicinity . 
 Nov 13 2007 	 solid remarkable 	 comfortable room . upgrade without ask . good bed . pillow . spectacular giant tub bathroom . good location BART corner -- easy SFO access . 
 Nov 9 2007 	 nice generally underwhelme 	 great location . relatively nice place , hip ... kinda tired mid-90s way . many problem ( clog drain , break room phone ) go unfixed despite polite requst fix . desk people not seem care problem despite request fix . parking really expensive , 's norm Union Square . 
 Nov 7 2007 	 overrate 	 stay palomar end october . San Francisco conference Moscone convention center . hotel clean , bed sheet soft , hotel certainly deserve 300 $ paying per night . room small , breakfast available almost 20 $ . stay one night donatello hotel union square 1/2 price breakfast include . room large , service excellent . so unless obtain cheap rate conference Moscone convention center , definitely well choice . on plus side , staff helpful professional . one lady working desk ( Flavia ) even contact cell phone confirm restaurant reservation ! restaurant , huge choice . nevertheless go Zuni Cafe ! minimal choice food ( 3 appetizer , 3 entree ) , locate bad area town . know fuss . try 1930 shangai chinese food . excellent 
 Nov 1 2007 	 stay Smoking Rooms hotel 	 sit second room night , putrid stench nestle tobacco keep cough early morning hour . 6 , unable sleep big presentation tomorrow generally bad experience business traveler hotel year ( someone spend 12 week year away home travel ) let us see start list issues:1 ) seal shut smoking room , fresh air , make feel like lab rat anti - smoking campaign commercial.2 ) ask ionizer ( suggestion hotel employee upon second statement dissatisfaction smoke room ) something freshen air , promise one . return dinner , find someone haphazardly spray room air freshner try mask smell , instead create second layer irritant . 3 ) 5 stumble blood shoot eye obvious agitation rotten state affair palomar beg front desk second room could get least 2 - 3 hour sleep full day meeting , grant request ( upon 3rd attempt ) finally tell pack bag middle night move room immediately . let tell nothing like packing bag crack dawn half sleepy head make really appreciate come back place . needless say , book reservation second hotel second night check first thing morning . the non - smoking room half - bad perhaps salvage one star review .... even dare think smoker , stay far far away hotel . 
 Oct 22 2007 	 good hotel 	 stay hotel 8 day . select hotel good review . especially look quiet hotel , ' m good sleeper , disappointed . get room 8th floor , 4th Street side ; not hear noise ! bed comfortable . room quite spacious , clean . staff front desk friendly . location good , close shopping area , Moscone Center BART Powell station . complaint lobby , small cold . not dinner restaurant . breakfast okay , prefer self - service breakfast . C.K . Jansen , Netherlands 
 Oct 15 2007 	 Nice Hotel 	 member Kimpton Group 's frequent club ( whatever call ) Hotel Palomar brainer mom decide visit San Fran . like Kimpton hotel , Palomar modern love decor . room bathroom small would normally expect , maybe something location . I order $ 12 sandwich room service menu charge room almost $ 30 , guess fee everything . find ridiculous sandwich not even good ! overall pleasant stay like location . 
 Sep 26 2007 	 nice boutique hotel 	 husband recently visit San Fran first time . spend two night Palomar . be nice , small boutique hotel . staff welcome upon check - in . room modern clean . small shower large soak tub . nice honor bar bath product . we , location so - so . 's near shopping would probably stay Nob Hill next time . restaurant , Fifth Floor , nice chic . breakfast day . great lox bagel . 's suppose great dinner . one major complaint Palomar not dedicate concierge duty . front desk staff friendly not able recommend good restaurant make compairson among we . also , seem taxi shortage area problem get one dinner . Palomar lack large hotel atmosphere lobby bar , music , etc . nice stay . 
 Sep 23 2007 	 Nice service location 	 stay mid week service good . check wait free iced tea lobby . hotel right around corner Westfield / Nordstrom mall great food court . stop bar hotel restaurant call Fifth Floor . pretty busy get serve quickly . serve staff apologetic even send bottle wine room ! room nice clean amazing giant tub . would definitely stay ! 
 Sep 16 2007 	 ok hotel bad neighborhood 	 hotel comfortable enough though smallish room tiny bathroom next bed . wife city walker result Hotel Palomar poor choice we . what say Market St environ ? local leadership try repeatedly & quot ; upgrade & quot ; dismal area beautiful city result leave much desire . hotel 's doorman say area much improve , read today someone murder street outside nightclub block away hour return dinner . unless must near Moscone Center plan enter exit exclusively car , would advise stay away SF hotel near Market unless within block two Embarcadero . 
 Sep 11 2007 	 Nice Place Great Location 	 would not classify hotel luxury 's definitely excellent choice . location fantastic , right near corner Fourth Market shopping main reason go SF , go right thick . boutique hotel , lobby small fine ... want drop f package make stop room not meand huge lobby , wait elevator , etc . room small interior view ( overlook escalator Old Navy store ) comfy space room utilize well , love bed L'Occitane toiletry . problem shower either ... big deal ... enough hot water good water pressure . staff friendly professional . cold drink lobby throughout day serve coffee a.m. - coffee maker room unless request one . car , parking hotel ( really expensive ) park around corner Fifth & amp ; mission garage bit less ( think $ 28 day ? ) . movie theater right across street ( Metreon ) Marriott also across street . go 39th floor night drink fabulous view . great breakfast Mel 's Diner ( yes , one American Graffiti ) around corner Mission St . Palomar lounge well restaurant , unfortunately not get chance check either one . restaurant excellent review . rate hotel $ 180 night think reasonable . would stay sure . 
 Sep 4 2007 	 completely enjoy stay 	 lovely , modern decor room . comfortable bed bedding . nice size room urban hotel . bathroom small average ( good amenity L'Occidental ) . beautiful restaurant good review Wine Spectator . small high - tech , nice business center . good location -- walk access bus , trolley , cable car route . staff helpful time , concierge almost never available . even concierge duty 6 pm 7 pm recommend restaurant . frustrating Kimpton hotel . eventually get restaurant recommendation doorman , Matt ( great ! ) . 
 Aug 31 2007 	 Surperb business traveler 	 return five day business trip SF . need close downtown business Market Street Govt Rates . hotel availability even several month ago book . height tourist season afterall . we choose Hotel Palomar base TripAdvisor review . good choice . two room -- atrium room light quiet . street room noisy low floor ; fine five six . atrium room bath exceptionally large ; small tight two bed . handicapped bathroom without walk roll shower . however , excess grab bar make useable . staff attentive . especially enjoy visit Head Bell Man , doormen security man evening . full week get know we , coming going . make good suggestion . concierge service adequate , experience first hand knowledge . often rely report question prior guest store hotel computer . suggest 12 person van tour wine country we also recommend -- Pacific tour . although hotel short - staff housekeeping , ever ask front desk promptly receive correct -- bath towel two , soap , change hypoallergic pillow , etc . yes low flush toilet noisy ... . yes lobby minimal -- lovely quiet sit area fifth floor use nightly business meeting . could even drink order soup lite fare meeting . mom sit friend one day room make . yes , restaurant pricey . totally line top flight restaurant SF . rate BEST french restaurant city . nearby Annabelle 's reasonable food good . note Annabelle 's restaurant bar menu totally different . also nearby Westfield Mall food court type ethnic uncommon fare low typical SF price . morning use hotel car service go work location . ideal brief case computer , go door door low cost maximum convenience . arrange door man advance . service first come first serve weekday . room exceptionally clean , comfortable , location beat . two block Moscone Center . recommend Palomar every moderate price business traveller . free wi - fi . 
 Aug 12 2007 	 Great Location 	 stay Hotel Palomar day Healdsburg . even though hotel & quot ; quaintest & quot ; & quot ; funkiest & quot ; area town , must say happy location . build connect shopping mall fabulous food court quick bite . movie theater across street & amp ; public transportation , etc either outside door step away . still able access area SF easily & amp ; meet friend dinner , etc minute . check - in breeze . staff exceptionally friendly . room modern & amp ; clean . quiet . ( 8th Floor ) bathroom quite small , sufficient 2 day . housekeeping service great . not use gym , business center dine restaurant . , however , great meal Zuni Cafe & amp ; Slanted Door . , please stay Hotel Palomar . 
 Aug 10 2007 	 Palomar comfortable . 	 recently meet daughter , age 20 & amp ; 22 , San Francisco day fun . pick Palomar base TA review , pleased . room 2 full size bed , spacious . clean , modern design relaxing . bathroom small , perfectly adequate . 5th floor sit area near restaurant convenient , feel like personal lobby . location perfect . near cable car , trolley , bus & amp ; BART . 100 ft amazing shopping . yet , room perfectly quiet . one small disappointment failure receive expect newspaper door more . always early pick one elevator . coffee lobby lukewarm , empty , would make another pot . would recommend request coffee maker room & amp ; bypass problem . last , concierge never answer his / her phone entire trip . leave message never return . comfort room trump else , would hesitate stay . 
 Aug 6 2007 	 Good Hotel near Moscone Center 	 recently stay Palomar go SF Gift Show Moscone Center . location great ! hotel quite good . rate special show rate $ 185 per night worth . problem worth note , however . check late desk staff casual , tad unprofessional , would say . request king bed available , say , give king bed suite cost $ 150 per night . pretty tired say okay tonight . suite real suite , really nothing special , certainly worth $ 150 . anyway , next day switch standard room king bed , avaialble . whole thing annoying . request king bed even confirm day . happy report check , woman front desk , immediately delete $ 150 charge soon explain story . pleasure deal leave really good feeling Palomar . , room nice . hotel clean lobby restaurant breakfast quite good - not cheap , sort place rarely . restaurant comfortable service good . the fitness center merely treadmill stepper two , not expect much . , good hotel . 
 Aug 5 2007 	 Excellent Hotel 	 stay San Francisco half dozen time last 11 month , excited find hotel worth praise . as Kimpton in - Touch member , able book room two bed affordable price . standard base last experience Kimpton , room well decorate comfortable . considerably spacious San Francisco hotel . location great staff beyond friendly helpful . also enjoy wonderful restaurant Fifth Floor special occasion dissapointe . slight complaint bathroom bit small , though cramp . , could not satisfied experience . I plan stay Hotel Palomar next visit San Francisco . 
 Aug 3 2007 	 great - if Right price 	 Hotel Palomar , member Klimpton Hotel Group , reputed & quot ; luxurious & quot ; representative prolific chain . although Palomar pleasant , would call luxury hotel . the lobby quite tiny guest take one two small elevator room . chair lobby , coffee urn leave day guest use . the room nice size pleasant furnishing quite understated calm Klimpton hotel . bathroom comfortable , like room , nothing would call luxurious . the staff quite nice try helpful , concierge cop bit attitude ask restaurant bar even though give twenty dollar tip . never ask make reservation I . the restaurant one expensive San Francisco rather stiff progressive city . lofty ambiance restaurant match pedestrian design hotel room . the location excellent want near SOMA Union Square . however , know San Francisco , hotel 's location Market Street mean encounter street people integral part fabric city . ( entrance hotel Fourth Street ) health club hardly call since consist piece equipment right top . think perspiration spray everyone room ! Hotel Palomar nice hotel , lack certain element would bring luxury reign hotel . 
 Jul 27 2007 	 Excellent yet . 	 third time last year stay property 4 - 5 night . , exceed expectation ! location excellent - close union square , transportation , etc . the decor beautiful - room new carpet , chair blanket since spring . look nice . room , deluxe king , nice size SF . huge window overlook Market Street . internet work great ( free ) . table room great meet coworker ( someone sit bed ) .The negative breakfast available except marginal , overpriced restaurant fifth floor . plenty place within block though . the staff amazing - always friendly , helpful , accomodating , etc . already book next trip month Palomar - great property ! ! ! ! 
 Jul 26 2007 	 WONDERFUL HOTEL ! ! 	 husband recently spend six night Hotel Palomar . initial problem reservation handle promptly , professionally much satisfaction . Kimpton hotel room impeccibly clean nicely appoint . daily room clean perfectly , do promptly cause inconvenience we . nightly turn service nice . although room look Market Street , hear noise , hear guest inside . bed great linen fantastic . newspaper request deliver early morning . point previous review lobby , small ( three adult sit ) . staff desk professional , dealing except check - in check - out . hotel great peaceful escape run around San Francisco day . location great lobby exit Fourth Street right busy bus stop . able walk Union Square several time , Curran Theatre Yerba Buena Gardens . BART Powell St station less half block away . Westfield Shopping Center right next door . shopping - type person must - see . gorgeous mall ! ! negative feel size fitness room ( small one treadmill limited weight ) . know go another fitness facilty street much convenient use hotel 's fitness center . miss nightly wine gathering enjoy Kimpton hotel . nice relax guest , Hotel Palomar offer amenity . restaurant dinner menu different -- people would eat . obvious know since dining room small never crowd . breakfast couple time good . would definitely recommend hotel high quality great location . Kimpton nice job take care guest subtle way . 
 Jul 25 2007 	 Hotel Palomar Best Part California Vacation ! 	 select property 4 - day visit San Francisco review website . several local people suggest www.tripadvisor.com relevent place read valid review people use travel city . hotel even well review see ... first interaction hotel 's front desk staff need local pharmacy prior arrival unexpected medical problem one teenage child . exceptionally helpful also confirm would adjoining room arrive evening . valet parking convenient , concierge staff always give we good advice , even valet staff great get we around public transportation . room unexpectedly upscale , stylish , comfortable . Maid service mirror find rest staff . parent company must great job emphaze customer service outstanding everywhere . good French Bistro next door ( Annabelle 's ) use twice long day around city , close Union Square many excellent place casual upscale dining . travel NYC 3 week month work wish anything like property ! 
 Jul 24 2007 	 great location 	 stay Palomar research many many hotel . husband conference Hotel Nikko . Palomar great location easily navigate city foot . buy day pass Wallgreens , good value . upgrade room w / the kabuki tub ... not waste money . room overall good size nicely appoint , however , shower small ever bathroom need remodel , look date par w / the price . staff friendly , workout facility fine 1 2 people . overall decent hotel . 
 Jul 22 2007 	 fabulous place 	 San Francisco full wonderful place stay . still , glad book . pick 's proximity BART bus , downtown , shopping , restaurant , museum , 's decor , 's eco - friendliness . drop child college summer stay another hotel also like back January , Rex , think would wise close shopping school 's main building . not realize orientation close we though , dorm actually close Rex ; oop ! big deal . grab cab hotel dorm time move . btw : never rent car SF . never need one parking nightmare expensive . turn , unbeknow , weekend Gay Pride Parade . hoot ! parade go right past hotel pretty good view . however , not town , never actually go see much . however , kid love ! love hotel 's eco - friendliness , cleanliness , spacious , comfortable , well appoint room . staff wonderful . can not say much else though . never eat restaurant college orientation event bite shopping dorm room . 
 Jul 19 2007 	 favorite hotel SF 	 stay Palomar numerous occasion always meet exceed expectation . location great , around corner Market Street , excellent public transportation , street car BART right outside door . Front desk staff pleasant , check friendly efficient . one time mention town celebrate birthday , 30 minute later bottle wine goody hotel 's 4 star restaurant offer gratis . love room , nice amenity , high thread count sheet free high speed internet . 
 Jul 18 2007 	 Great Location - Average Place 	 get back SF stay Hotel Palomar 3 night ( F / S / S ) . location hotel good , near Union Stn adjacent Moscone Centre . check late ( around midnight ) find front desk staff rather & quot ; informal & quot ; question reservation requirement . although request Exec Room provide one , give standard room feather pillow profile say synthetic due allergy . morning ask different room . provide Exec Room pillow replace meet request . 315 sq ft , Exec Room small 2 people , pretty basis . Décor straight Ikea . hotel real amenity lobby small - small check , people crowd street front – way street people bus stop . bar , coffee area etc . main floor lobby level . would stay , rate good warrant 4 star pricing . rate place 3.5 star - due lack amenity hotel , inadequate lobby , lack attention detail reservation make . one final note : store luggage checkout take 30 minute retrieve – watch time . 
 Jul 17 2007 	 Quick easy travel 	 stay friend prior 4th All - Star Game week . wonderful cute boutique hotel . easy get Airport BART ( Powell St. ) station .. Hotel locate next Old Navy store ... connect Westfield Mall . walk / transit door . stay hotel . great rate non - busy event day . comfortable . love ! ! ! 
 Jul 15 2007 	 stylish great location 	 husband stay Hotel Palomar 3 night . love stylish decor convenient location right near Union Square . staff Palomar excellent make we feel like vip client . room clean , spacious excellent view hustle bustle outside hotel . overall , would recommend hotel friend family chic stay San Fran . 
 Jul 11 2007 	 Celebrity treatment Palomar 	 husband stay Palomar ( 4th Market ) July 4 - 8 , 2007 . love ! perfect location catch public transit ( Bart Muni ) - need pay high valet price rental car . Easy & quot ; Bart & quot ; airport station across street hotel . staff beyond - friendly , go , accomadate genuinely nice ! first time age stay Hotel nothing untrivial complain . room clean modern - big overly fancy perfect comfortable place stay relax long day sightseeing . Ask & quot ; queit & quot ; room put hotel 's inner courtyard - view hear nothing ! recommend Mel 's diner ( block away ) breakfast late night snack . Frisson ( 244 Jefferson ) FInanical district good meal city . impeccable service fab food . Concierge Palomar make reservation . Limon Mission district also must - crowd food ( peruvian ) die . 
 Jul 1 2007 	 great boutique hotel 	 stay hotel 2 - day offsite session work . hotel part Kimpton chain , uphold Kimpton reputation small , boutique , chic hotel . room spacious ; decor modern chic . extremely impressed housekeeping / maid service -- actually cleaned room instead make bed . location terrific -- step Market Street , Coffee Bean & amp ; Tea Leaf , good shopping SF.Bell staff friendly helpful . oh , let pet stay hotel . not bother sight see dog walk hallway elevator , okay . I would stay . 
 Jun 30 2007 	 Kimpton 's average boutique hotel 	 Kimpton hotel fan take advantage hotel 2 block away conference attend Moscone West centre . unfortunately , bus stop right front hotel . this hotel great location shopping enthusiast . would say Macy 's Union square probably second large next New York 's Herald Square . 315 sq ft King / Double Deluxe room small two people . decor comfort slighty average really nothing special hotel . the valet parking hotel area ( $ 42 per day in / out privilege ) . 
 Jun 28 2007 	 Great Locatoin - Nice Staff 	 usually stay Palomar San Francisco work . room large decor nice . 's great location staff always helpful friendly . would stay leisure well - great location shopping . 
 Jun 28 2007 	 good family 	 excited enter Hotel Palomar . be sleek middle everything . upon arrival , give we room across Restaurant . tell we would not problem , would not hear thing . tell child hear reception go lounge . problem way room set . be sleek great design -- unless want dresser , extra nightstand closet large enough put clothe . ask dresser , tell would upgrade suite additional $ 200 + night . bit , offer put dresser storage room , not sure would really fit . addition , bathroom not lock -- fine couple , family 4 , 2 curious boy , not work . lastly , towel . first night ask 2 set since family four . keep ask towel . request wa not automatically make we . coffee service morning -- food , unless want eat formal restaurant . side , staff nice helpful . 
 Jun 22 2007 	 always pleasure 	 least third time stay Palomar enjoy every time . location excellent conference attend nearby Moscone Center , well shop Union Square catch BART cable car Powell Street terminu . the staff invariably friendly helpful . include reception , cleaning , maintenance , doorman . the hotel clean , well - run , stylish , comfortable . if get discount rate , be also quite bargain ! 
