Nice 	 stay 40th b - day . got Studio King Suite great rate . nice big room , hardwood floor balcony . comfortable bed great shower pressure . 2 elevator hotel , one big barely enough 2 people luggage . Bellman Front desk staff great helpfull . food , Starbucks , train , Whole Foods , Central Park within step hotel . overall great hotel plan stay future . 
 Nov 29 2008 	 great find NYC 	 get back incredible trip New York City Philadelphia . stay 1 night 6 Columbus NYC could not well . location great not want Times Square not want go far & quot ; Upper West Side & quot ; .... hotel locate middle . close Trump Mandarin Hotels . next door Starbucks & amp ; across large grocery store ( Whole Foods ? ) .Now hotel . check take second . hotel feature cool decor great city vibe . go cheap seat get Pod Room - full size bed . room tiny flawlessly design maximize space . careful hit leg bed corner ~ quite painful : ) bed comfortable crisp white bedding . must admit , fan type pillow . stock refreshment case , use . flat panel t.v . quite nice . view window , well lovely view nothing , NYC look window . bathroom .... say want rip bath copy one 6 Columbus ! floor heat ... not underestimate incredible feature . NYC Thanksgiving cold floor feel fabulous frozen toe . cool tiled shower ( tub ) great bath product . even think give Q - tip Cotton ball .... lovely touch . bathroom sink really beautiful cool gooseneck style faucet . towel smell great ~ sound weird know , towel not perfumey , nice fresh smell ~ pleasant . the hotel staff excellent luggage load cab ever blink ... make everything look easy here . I would highly recommend give hotel try . ever plan visit Macy 's parade location would terrific . will not see window , will total access step .... without chaos Times Square . 
 Nov 24 2008 	 small chic hotel excellent customer service 	 recently return 2 night stay 6 Columbus . nice , small chic hotel great location central everything . stay King Deluxe room comfortable bed , & quot ; cool & quot ; decor nice flat screen tv wall . entire hotel include room dimly light give hip , night club - like atmosphere . customer service outstanding start finish . doorman always welcome pleasant greeting , front desk staff friendly courteous check check fast smooth . front desk doormen / staff communicate wireless device . soon get cab doorman open taxi door ask name quickly alert front desk via device arrive totally prepare time reach . even doormen cab wait precise time check walk front door . well organize operation . thing not like shower . tile not clean shower head not work well - tub room . iron room either . overall , reccommend hotel young single look cool , safe place stay reasonable rate . 
 Nov 21 2008 	 stay hotel Sept 2008 . visit NYC several time sta 	 hotel stay , one st location . wonderful staff , quiet , nice bar - just great 2 people ! ! ! subway , Whole Foods ( great carry hotel long day glass wine ) Time Warner buidle great shop place dine ) , CVS couple door item forgot bring , plus starbuck another ( less expensive ( ) coffee shop . Zabars street , Central Park across street ...... great quiet oasis busycity . hotel negative one + s -s ! modern clean , feel though NYC . friend late 50s comfortable hotel could beat price 
 Nov 16 2008 	 small lovely 	 wife layover NYC decide spend night . hotel clean modern . people front desk polite , friendly helpful . love room . yes small well do . ' ve see hotel try cram much similar sized room perfect . definetly stay . 
 Nov 16 2008 	 great location otherwise disappointing 	 return 3 night book directly via hotel website state Roof Top terrace , unfortunately , terrace close next year consequently find difficult find seat already small bar area . the reception staff , housekeep door staff friendly helpful , although one could not help feel look tip . the price $ 480 double room become $ 540 4 different taxis , despite luxurious decor , view window building shaft lead we conclude extortionate price represent value money . 
 Nov 9 2008 	 small accomodation overall nice 	 Awesome location modern , boutique hotel . right across street Time Warner Center . staff members hotel fantastic - doorman , front desk - seem work guest 's behalf almost effortlessly . room ( superior queen ) fine 2 adult bit small . bathroom modern nice . 6th floor view HVAC system - surprising nyc.the hotel perfect we . would certainly stay would highly recommend friend . would not recommend someone expect large , full service ( restaurant , gym , etc ) hotel . 
 Nov 8 2008 	 Dark interier rate hotel 	 boutique hotel try way hard . dark feel . cow skin panel elevator downstairs . room 86 $ 150 . room 26 , exactly size . view alley ! park view maybe , money riducuously overprice . elevator bathroom spray many time sort bug spray . disgusting ! truly wish stay somewhere else . 
 Nov 4 2008 	 NIce Change Pace 	 usually stay Marriott chain hotel , priceline one be not sure goin get . book hotel thru Priceline $ 120 / night . hope get upgrade . standard room full size bed , 175sq ft . room . call upgrade $ 60 King Superior , usually $ 350 / nite . the hotel great staff quite accomodating . location Columbus Circle , 58th st . walk door Columbus Circle less minute walk across street . overall nice place , room little small , pay location . 
 Oct 23 2008 	 would definitely stay 	 return stay 6 Columbus experience different guest . book Queen room reduce rate via Quikbook website . Quikbook site clearly state room maximum 2 people . upon arrival , clear booking via Quikbook mean give small room hotel . way 2 people could stay comfortably queen room . there 1 single wardrobe , natural light , hardly floor space around bed nowhere store 2 large suitcase . speak Lula front desk go way ensure happy accommodation . show 2 room much suitable couple manage offer we large queen room extremely reasonable upgrade price . throughout stay , Lula make point check everything ok room . regard rest hotel really could not fault . staff extremely friendly particularly doorman . not try restaurant drink bar time even serve sushi us bar . gripe would bar area quite small limited seating . room actually stay great size . double wardrobe adequate large drawer bed also . ipod docking station nice touch Khiels toiletry bathroom free daily newspaper . room temperature control take getting use overall serve 's purpose underfloor heating bathroom welcme hard day 's sightseeing . bed also comfortable . housekeep great job keep room immaculate also turn bed every night leave little treat duvet . in addition great service comfortable room , hotel amazing location . Time Warner Centre literally across road house large Whole Foods market lot nice restaurant . starbuck next door several place get great breakfast street . Columbus Circle right doorstep include good entrance Central Park . overall really enjoy stay 6 Columbus would definitely stay next visit New York . 
 Oct 23 2008 	 Fabulous Location 	 stay NYC 6 time year season find decent rate . stay many boutique hotel include Hotel Giraffe , Muse Benjamin . book small king room 6 Columbus small much time stay room ? clean bathroom clean staff great . ask quiet room quiet . hotel great can not beat location . roof top bar . read either quickbook site go locate find dirty laundry . huge whole food across street peruse include lot food go . walk Central Park twice right across street could walk Broadway show . book directly hotel day find considerable low rate quickbook . call hotel match rate . definitely stay . 
 Oct 22 2008 	 Great Little Spot 	 stay 6 Columbus 5 night late September wonderful time ! ! ! ' m terribly picky , though , mostly look place 's safe clean 6 Columbus definitely deliver respect ! get really great deal thru quikbook Pod room ( full bed ) since , perfect . say , however , pay hotel 's ask price $ 405 / night , would expect . $ 180 / night , outstanding value ! ! ! yes , room small . honestly , be ny room , need go elsewhere . bed incredibly comfortable , linen clean soft , housekeep wonderful job every day . bathroom well - appoint , though tub bit small actually want take bath -- refuse hotel anyway . heated floor tile bathroom definitely plus ! ! ! Kiehl 's toiletry wonderful touch also q - tip cotton ball bathroom -- simple nice touch ! 1 thing notice miss coffee pot ... starbuck next door hotel , really not matter much . view room 27 terrible , describe , kind shaft building . know ? never room day look window night blackout drape close care view ? depend ! rave review , coworker stay 6 Columbus next weekend love much ! oh umbrella provide use stay come handy rain 4 6 day ny ! ! ! : - ) definitely return price right ! 
 Oct 15 2008 	 honestly worth . . . 	 alright , first positive - location excellent ( close Central Park , Upper West Side , etc . ) , hotel clean keep nicely , staff member fairly friendly . . .. . . $ 250 / night - even talk Manhattan - one expect mere 75 square foot ( so - call & quot ; Pod Room & quot ; ) , view pigeon - occupy tower space ( six foot six foot ) , tiny bathroom ( admittedly heat floor , nice touch ) , essentially upscale dorm - style furniture , lousy temperature control . all thing consider , experience suggest one would lot well three time four go priceline.com like , put $ 250 / night 3.5 star . , even Manhattan , not represent good value money . 
 Oct 12 2008 	 great like bug bird excrement - see picture 	 God help book via book channel not specify room type , like priceline . lobby nice , doorman always exceptional . room 49 : nightmare . be tiny , 's issue - ' ve stay Hudson 's even tiny room happily . be pleasant nowhere open suitcase except bed , be big problem here . the window room overlook waste disposal pipe internal airshaft , view across adjacent room . , see window give much encrusted bird excrement cake - check photo . of hotel ' ve ever stay , think depress layout . could not deal aspect room , return front desk . lula front desk tell could pay almost $ 600 upgrade well room - still nothing special , average Marriott Hyatt standard - literally walk away complain . general manager Barbara Lopez leave note every night ask contact anything could improve stay , never reply email . the bathroom silverfish bug - check attach photo . not bother complain time horrible prior experience Lula Barbara , show photo upon checkout not care offer sort amenity , even discount $ 20 minibar . this stay approximately halfway 120 - night vacation 4 * hotel throughout Americas . easily bottom 10 % hotel stay . ' ve stay NYC hotel around 40 time decade , easily bad experience lot . I look forward first stay Thompson hotel . ' m anti brand possible be . avoid hotel unless pay specific room type - be go to overpay much , choose well hotel . 
 Oct 5 2008 	 shame designer place could not get quieter airconditioner 	 funky little hotel great central location Manhattan Island stay ruin noisy air conditioner outside window staff seem either unable unwilling fix three night there . would nice have offer move we another room , , even get bellhop run street get ear plug could sleep . would stay room airconditioner outside window . there well hotel New York price . 
 Sep 21 2008 	 great staff/ Great Location 	 unfortunately , go NYC last minute funeral . staff incredibly caring , especially Lula . four separate room lovely . sheet amazingly soft . decor fabulous ... watch corner platform bed ! plenty closet drawer space water pressure shower fantastic , toiletry hotel . starbuck next door Latte never far away . Whole Foods great mall across street . everything need within walking distance , include Central Park . , bargain . would highly recommend 6 Columbus . 
 Sep 10 2008 	 totally like ! ! 	 definitely place stay be aim explore Central Park hit museum ! get really good deal around US $ 225 per night 's worth . clean , modern , great amenity amazing sheet ! ! Central Park right across road bright light Broadway , Times Square Madison Square Garden within walking distance . truly gem locate mid - town reasonable price pay . 
 Aug 30 2008 	 Nice Location ... 	 book Queen Deluxe room Quikbook.com $ 250 . room 95 . room big expect would . bed perfect 2 .... enough room . 
 Aug 25 2008 	 finally clean bathroom room ! 	 mom stay small boutique hotel right Columbus Circle . hotel small , modern , wonderful hotel staff . upgrade big room accomodate . bathroom room clean . actually baby rise aroma smell could figure . bed clean soft . not suggest large party stay . room large , come shop 2 day get pretty crowded . location pretty convenient . mini mall subway right across street CNN building . Pinkberry right next door yummy yogurt . block 9 Ave ton restaurant choose ! 
 Aug 24 2008 	 Small well design room could not convenient 	 would recommend hotel anyone look simple , yet quality stay hotel NY reasonable price . decor modern pleasing . room indeed small well design hidden storage space , like drawer bed . fresh bath product real plus Blue Ribbon restaurant lobby . location across street Time Warner build Columbus Circle subway station also super convenient . complaint - reason not give place high mark - full sized bed , bit cramp two adult . book room Priceline great price specify two people . ' m sure 's normal hotel book two people room full sized bed , would recommend call hotel make sure . 
 Aug 21 2008 	 high - price ... underwhelming . 	 search hotel good location Manhattan & quot ; reasonable & quot ; price book 6 Columbus . price see upwards 500 / night room $ 345 . say leave feeling really underwhelme disappointed money spend . positive : 1 . LOCATION , LOCATION , LOCATION . really pay location . subway ( 59th street / columbus circle ) right across street , QNRW ( 7th Ave ) less 4 block away , less 1 block Time Warner Center / Central Park . 2 . cleanliness -- housekeeping service outstanding . drawback / negative : 1 . loud door seem slam frequently 1100pm . 2 . many staff nice seem like many try hard friendly helpful time not sure anyone know exactly . 3 . small room . upgrade queen deluxe ( book superior ) tiny ... view . 4 . loud water pipe . anytime anyone use water shower pipe super loud . 5 . LOUD A / c blower ... could not hear TV A / c blower go especially A / c water pipe use next door . 6 . loud hum pipe / fan outside window ... lucky enough get street / park face view stick back look onto pipe adjoining building . unless price come could get & quot ; deal & quot ; -- less $ 200 per night , not think would stay . 
 Aug 14 2008 	 Bad service 	 clerk counter refuse check us guest occupy room want extend stay another night . could offer we another room ( fully booked ) instead stay Hudson hotel hundred yard road one night come back next day second night . refuse ask manager charge complain unacceptable offer , clerk manager already . manager emphasize Hudson standard ( lie , find later ) could stay two night . like spoil holiday accept change . 
 Aug 8 2008 	 Nice hotel great location worth stay 	 stay 6 Columbus Aug 1 - 4 get apparently introductory rate Quikbook ( $ 230 ) . location great ( yes , 's Columbus Circle , barely 1/4 block away ... worth quibble ) subway Time Warner Center directly across street , park right across circle . area lot less hectic south , still convenient . the staff extremely nice unobtrusive . queen room spacious NYC , comfy bed , desk , flat panel tv , huge bathroom . nice see hotel think people use room provide plugs TOP theThe interior room bit cave - like , since not window , light slider setting make room lot bright way staff apparently set preparation visit . ' m sure people fixate dark hallway - not run anything , unlike hotel dark hallway , room number light up . overall , love hotel 's style , comfort location . not know would pay full rate , $ 200+/- range good NYC hotel would make visit city pleasant . would definitely stay . 
 Aug 3 2008 	 Nice stay $ 200 	 arrange one night stay Quikbook , rate 199.00 . rate mind , find hotel nice . clean , modern , safe nicely locate Columbus Circle . staff friendly fairly helpful question . drawback find stay loud door cleaning staff seem yelling & quot ; housekeeping & quot ; morning long . minor issue ... mention , room small , view real amenity . would pay rate list website ( 425 queen room etc . ) ; even Manhattan find well room price . need place sleep near Central Park one night , little sleep room , perfect need reduce rate . nice new option city . 
 Aug 2 2008 	 nice stay warn 	 partner stay 6 Columbus Circle ( really Columbus Circle ) Memorial Day Holiday . make reservation call hotel talk Abbey request high floor ( street facing ) confirm . speak Abbey , even reserve upgrade room since anniversary . upon check , give small room 2nd floor . even though complain front desk , tell hotel full nothing could done night . clerk front desk advise we could move next day room promise we . room 11:00 call front desk change room . arrive back hotel later afternoon , still call ! finally call front desk nerve advise ready move we call ! generally hotel run efficiently would contact guest coordinate type activity . finally move room 10th/11th floor . room oversize large - ish bathroom face street . one day housekeeping clean room 6:00 pm quickly resolve without hassle . one note , bed use platform box spring bed . also , hotel use top sheet , duvet ( ' sure work well Winter Spring / Summer ) . positive side , location EXCELLENT Starbucks next door . night turn service include Voss water chocolate . nice stay overall problem attitude front desk . 
 Aug 1 2008 	 6 Columbus - Pretty good 	 NYC business trip stay 6 Columbus 2 night . locationthe property right across street ACE subway line Shops Columbus Circle . great location close south central park easy walk everything mid - town . oh , Starbucks next door case need caffeine fix . staffall staff wonderful deal . friendly , professional helpful . would think one basic . RoomI will post photo , room reasonable size . would not say large room , king bed barely fit 2 side table , serviceable . complaint . the view back another building . curtain draw whole time think fine . want bright room good view , ask suite front building . decor slick , agree reviewer say bit dark . like dark hip lounge , would like bedroom bit light / neutral . the bad thing air conditioning system . work , basically on / off switch run thermostat . not bad temperature keep comfortable level , , loud . really loud . find hard video conference computer fan ... something ' ve never issue location . Room AmenitiesNicely furnish Frette robe , Dean DeLuca snack mini - bar , fresh bath product nice touch . Hotel AmenitiesThe building old show age . either think quirky charming dumpy . prefer former . : - ) not newly construct hotel work room , pool , etc . big deal work walk everywhere travel . the hallway seem bit dark ... elevator cover dark pony skin something . hotel 's attempt hip slick . take leave would rather brighter hallway room . there pretty restaurant lobby serve Japanese inspire food . pretty vibrant night . ok ( great ) , bit expensive ... nice atmosphere want good food , well go short stroll around block . oh WiFi ... like traveler day , need wifi ... hotel smart fully blanket build free wifi . big plus ! 's hotel still want charge wifi access already gouge stay ? OverallThis hotel greatly anticipate . retrofit decent nothing really write home . bit dark taste . I think nice hotel would stay . great location , excellent staff , decent room . get good price , good play stay . 
 Aug 1 2008 	 great stay New York 6 	 stay hotel July 25 26 , 2008 . hotel locate 8th Ave . 58th St. across circle Columbus Circle Time Warner Center . upgrade room pod queen extra $ 35 night . make rate would like pay read post rate much well get New York fair price . front desk staff pleasant helpful great deal . room big Hudson block really big . well design pleasing eye bit dark . bathroom shiny modern right amount room . linen towels excellent quality bed comfortable . everything clean . would definitely book get good rate location ideal . 
 Jul 27 2008 	 Great Staff ! 	 NY least twice year business . 6 Columbus Priceline one night . second night book directly hotel 's website . while hotel 's decor little dark taste , staff outstanding . everyone friendly , professional helpful . would definitely stay staff location . we upgrade room king . tell worth additional $ 50 / night . room still small side . pro : outstanding staff , nice hotel , great area , complimentary newspaper , nighttime , brownie turndown . also great Sushi restaurant . con : Decor bit dark . bathroom door glass light night show . door room heavy difficult close quietly . 
 Jul 25 2008 	 Find year 	 wife spend four wonderful night trendy elegant hotel honeymoon Thanksgiving weekend last year . mean write review early , never find time . shame . hotel aesthetically beautiful , since open around month stay . lobby cozy attractive . room homey artsy design , although small side , common Manhattan . really get use bed corner , end bang shin couple time . matter . bathroom comfortable clean . tv set LCD screen , like lot . hotel perfectly locate around corner Columbus Circle , make extremely easy move within city subway , bus walking . staff really friendly attentive . , wonderful honeymoon hotel great part . try book we celebrate anniversary year , rate already gone originally pay ( pay $ 189 / night ... guess lucky hotel recently open ) . afford , highly recommend . 
 Jul 18 2008 	 want go back ! 	 stay hotel one night , wish could stayed long ( price , course ) . book priceline get amazing deal . hotel little bit hard find , taxi driver could find , take we around end pay fare . 's great location : central park right across street Times Square reach walk Broadway . shopping center right across street , chance check . stay pod room , super tiny , extremely clean decorate really well . even though bed bit small two people , really comfortable pillow top mattress . flat screen tv great , would like maybe little table least chair put thing , think would enough room least chair luggage holder . love bathroom , modern pretty . toiletry , q - tip cotton ball . safe closet , bathrobe umbrella use stay . disappoint though hairdryer . AC room work really well . staff great . would recommend everyone would definitely stay . 
 Jul 12 2008 	 Sweet 6 - spot 	 pleasantly surprise 6 Columbus . stay week Soho sister hotel , Sixty Thomson last year , pretty reluctant repeat experience . sister attractive price point convince otherwise . ' m glad that . the location super , right Columbus circle , near every convenience imaginable . unfortunately , taxis hard time finding , reason . I book basic room expect something tiny , NYC . happy find although small , spacious clever little storage space like underbed drawer . service pleasantly unpretentious , understated , accomodate imptly , inobtrusive . Loved fresh toiletry . could variety though . basic . and although be jumpin ' -- delicious -- Blue Ribbon Sushi bar lobby , never noisy , scene - y happen , thankfully . I eat Blue Ribbon every day - sometimes twice day - bad fish become ill , waive bill give $ 100 voucher , min fuss . can not blame completely though , traveller 's diarrhea may play part this . the room service breakfast , though overprice horrible ( burn cold toast ) . otherwise , sweet little spot . ' m next time ' m Manhattan . 
 Jul 11 2008 	 Amazing Hotel ! 	 get amazing deal Quikbook ! bell staff , reception concierge extremely helpful , mention good looking . trendy hotel ! also state place SPOTLESS ! ! ! never stay hotel clean , smell great . turn bed night even get mini brownie eat night cap ! stay Pod Room . not fool name , room brilliant size . get double bed , enough floor space full size bathroom . downside be hardly natural daylight even though full size window , face shaft . the location perfect , across road Time Warner Building Columbus Circle subway next door Duane Read , also stone 's throw Central Park . if get another deal ( usually hotel quite expensive ) absolutely hotel choice every time go New York . pity poor sucker pay way odd tiny room Hudson road , 6 Columbus mile well ! ! 
 Jul 8 2008 	 Nice ! 	 get great deal hotel Quickbook ( $ 200 / night king room ) . staff nice helpful . room clean bed comfortable . room small , New York , fine . location great well . right across Columbus Circle . Whole Foods , get anything might need . subway , . thing aware : room tiny although desk chair , would awkward actually work desk . there hair dryer ironing board . ' m assume could ' ve get Housekeeping need they . the air conditioning extremely loud . get use , noise bother , might problem . would definitely stay could get similar rate . not think would pay $ 300 + , though . 
 Jul 1 2008 	 Staff Shines 	 return 5 night 6 Columbus . highs lows , overall pleased . staff front desk housekeee could not nicer helpful . young man front door help luggage cab etc . delight . bright , polite , friendly , well groom well train . room small , well design . bed comfy ! small desk chair room would make great difference . light room bathroom inadequate . mood light not cut be shower shaving . can not see instruction use room safe floor closet lack light . overall , like would go back . kudo staff people pick train . 
 Jun 2 2008 	 average NY hotel 	 stay 6 Columbus 3 night May . hotel fine price pay , well hotel similar price ( Hudson example ) . room tiny expect , location great Columbus Circle near park . room pretty clean ( except strange goo bedside table ! ) front desk service acceptable . if get good deal ( $ 200 queen room ) would recommend not need top notch service . pay regular price , look elsewhere . 
 May 28 2008 	 Perfect ! 	 book Quickbook.com ... day get wonderful $ 159 rate queen room . husband wonderful time hotel . pleasantly surprised ! location wonderful ... close Central Park Times Square . staff helpful . room ... modern nicely appoint ! sleep like baby bed . NYC ... wonderful deal ... especially holiday weekend ! 
 may 27 2008 	 stay everyone else find ! 	 stay past Friday night , thoroughly impressed . price point , 6 Columbus great , hip choice . kickass location ( behind Columbus Circle ) , make convenient . not lot large - hotel amenity ( pool business centre ) , be high design ( blue / silver / brown trendy decor ) nice boutiquey touch fresh brand toiletry . staff friendly , hotel small enough get get without long wait anything . 's everyone , like hip boutique hotel , definitely stay 6 Columbus ... room get trash overuse . 
 May 18 2008 	 wonderful stay 6 Columbus 	 ' ve return three night 6 Columbus . stay New York 's Hudson Hotel year ago , know expect property , seem similarly market young , urban , hip set ( sure be , ... ) . Queen Superior room . nicely appoint , contain fresh bath product bathroom , heat bathroom tile floor pleasant , flat screen television hung wall , well - stock mini - bar top shelf alcohol Dean Deluca snack . room large room ' ve ever stay , New York standard , adequate . bed fit room fine , ' m NY , not come hang hotel room . that say , room could easily accommodate two people , seem point issue reviewer . two drawer storage platform bed wardrobe hang clothe . nice touch include umbrella rain ( come handy ) , turndown service little mini brownie , excellent ( adjustable ) task light bedside desk . there restaurant small lobby , Blue Ribbon , sushi ( be okay . would say great . would ) somehow manage also room service traditional american breakfast hotel . restaurant neighborhood , pub next door , Duane Reade pharmacy / convenience store corner . I difficulty adjust heating cool system room . could ineptitude , not know . controls manual & quot ; point dial number & quot ; control . digital age : press arrow number number . anyway , climate room perfect first night . , rain , imagine change humidity outdoor ambient temp bet . not call anyone complain , still sleep fine . there also small lobby , particularly weekend imagine ( be ) , use music assist create hip happen scene . music loud elevator lobby , will not hear room . guess cover . oh , seem spray pump signature scent , similar hotel day . find pleasant . slightly tropical hibiscus note , perhaps ? either nice smell cleaning product ! offensive way excessive , sensitive smell , warn . the hotel locate across street ( W 58th ) Time Warner Building Columbus Circle . great location . overall , would recommend property look forward return soon , probably next month . happy travel ! 
 May 11 2008 	 GREAT stay 6 Columbus ! ! 	 book hotel base location , price traveler review ( TA elsewhere ) . stay city somewhat often , know space premium affordable room hard find .... especially good location ! say , beat location 6 Columbus ! easy find , behind Time Warner build top notch shopping dining across street . subway station also across street , make travel throughout city snap . would rather take taxi , doorman happily hail one matter second ! Central Park step away good day , stop Whole Foods ( Time Warner center ) pick fixin 's picnic park ...... joyous ! yes , room small . pod room really , take back college dorm day ! say , everything look new clean . bed super comfy heat bathroom floor GREAT ! ! fridge well - stock cabinet fill gourmet goody . small closet .... really , much closet space one need trip ? ? never hang clothe go away .... ample we . 2 side think : 1 ) light bathroom room horrible put makeup 2 ) room HOT arrive , open window , beware pigeon POOP ( say day previous , quite chilly ! ) .The service AWESOME ! really notice pleasant everyone . arrive , room clean , happily store baggage room ready ... short 15 minute later . call iron ironing board , one arrive within 5 minute ! ! front desk always greet we name fast courteous . I get great deal Priceline , ice cake . hotel way well many other stay double price ! would absolutely recommend hotel anyone ! 
 May 6 2008 	 6 Columbus Fabulous ! 	 boyfriend stay 6 Columbus four night begin April fantastic stay . ' m consider trip fall sister . get hotel , greet taxi cab 's door friendly doorman . commend hotel doorman work ... fantastic friendly personality ! room not ready upon arrival , manager give we complementary drink Blue Ribbon Sushi Bar - great little bar frequent dinner come back long day shopping ( get grapefruit cocktail list menu ! ) . simple gesture great indication stay go have . once get room 7th Floor , surprised cozy lovely . room small ( believe book Queen Superior ) , normal New York , neither we bother . cute little touch room - magazine rack up - to - date publication , like Time New York , vase real flower nightstand , i - pod dock , under - the - bed storage . bed lovely , comfortable . every night sleep well . bathroom good size deep tub , shower overflow onto floor . window / shelf shower place toiletry . toiletry - Fresh - hotel supply fantastic . towel fluffy ! oh ! good part bathroom - heat floor front shower area ! fantastic morning step onto heated floor even find stand long day walk . my & quot ; issue & quot ; room shower , room get rather humid muggy . location hotel fantastic . subway stop right across street could get downtown quickly . one nice thing able get , grab coffee Bouchon Bakery across street , take morning walk Central Park . reservation stay uptown , end pleased location like access Park , Upper East Side , able get downtown Soho quickly easily . as say , already consider 6 Columbus trip fall would recommend highly ! staff comfy towel bed fantastic location , could pick well place stay ! 
 Apr 30 2008 	 6 Columbus Thompson Hotel 	 absolutely love place . definately stay . service excellent . Linen , towel , bath rob .... flat screen tv like home . staff friendly cooperative . blast 
 Apr 30 2008 	 uncomfortably small 	 book hotel two night , leave shortly arrive . & quot ; King Superior & quot ; room tiny NY hotel room ever ( almost ) stay . uncomfortably small , point claustrophobia . there float desk one wall , chair sit - even would one fit desk foot bed . bathroom basic , although renovate , crowd equally uncomfortable . 
 Apr 29 2008 	 wonderful experience 6 Columbus 	 get back long weekend New York wonderful stay 6 Columbus . firest let say concierge Rocks ! Raquel Eric amazing set series event partner 's birthday celebration . everything perfection . room 6 Columbus large New York . book Studio Suite balcony almost big room . everything 6 Columbus cool . room light / linen furniture bathroom top notch . Blue Ribbon Sushi fatastic ! would highly recommend boutique hotel anyone like little & quot ; edgy swank & quot ; hotel . 
 Apr 11 2008 	 Superb find ! 	 spend 13 night fantastic hotel . originally book deluxe King excellent rate Perfect Escapes find great deal suite Tablet Hotels web page although stay Studio King first night . long story handle well hotel & amp ; love room . huge balcony & amp ; enormous bathroom & amp ; good view corner Central Park decide move suite . give choice & amp ; hard choice actually ! room suite quiet , beautifully appoint clever design feature & amp ; give we plenty space long stay & amp ; overlook 58th St & amp ; Time Warner Center glimpse Central Park well , & amp ; exactly portray hotel 's web site . Nadia keep great shape we stay & amp ; lovely see smile face every day . the delightful Julian welcome we arrival long flight Australia , charming Caeser show we room & amp ; greet we name every time see . everyone gem hotel include Ciaron & amp ; Stan run fabulous bar & amp ; help make stay fantastic , along Richard & amp ; staff marvellous Blue Ribbon Sushi restaurant eat several time . terrific menu , sublime food & amp ; decor & amp ; reasonably price . get around NYC easy . great subway across road literally second away anytime need taxi Anthony & amp ; Parry always hand & amp ; must two affable doorman town .... aside other work hotel . room service swift & amp ; expensive hotel stature & amp ; location neither well stock mini bar . free internet & amp ; breakfast downstairs morning ... never get eat ! many laugh night bar ! 6th time NYC . stay variety hotel type want try somewhere new . doubt would ever stay anywhere else unless rate go roof might well . would probably pay magnificent time . an easy walk theater , Whole Foods across street quick bite , Chemist & amp ; Starbucks next door & amp ; anything else might need close by . we kinda fussy traveller appreciate service par excellence & amp ; hotel turn portray . wonder can not help blow away wonderful stay 6 Columbus . spend extra suite , studio deluxe room & amp ; ball ! feel indebted everyone associate hotel & amp ; wish continue success 
 Apr 2 2008 	 Stayed March 20 - 24 can not wait return . 	 choose stay six Columbus great location review find TripAdvisor . would recc . hotel look explore city indulge boutique hotel . the hotel clean staff quite helpful courteous . location top notch directly across shop Columbus Circle house Whole Foods perfect tasty inexpensive breakfast . next door hotel Starbucks , bit find Duane Reade Dunkin Donuts . find Central Park 2 minute away Times Square quick 12 - 15 minute walk hotel . many subway literally find right outside front door hotel . we weak wireless internet signal protect , minimal noise inside outside hotel , newspaper morning good mini - bar snack ' ve ever see . room good size - queen superior load space luggage . the downside notice : heater heat room ( want 82 would reach 69 ) . sleep hoodie two night keep warm . notify front desk twice upon check tell problem within entire hotel work it . very strange cleaning staff never leave right amount towel - even check . first day hand towel , face towel , hand towel . strange , housekeeping quickly buy towel request . lastly , could get seat bar dining area two night try . yes , could call ahead , guest hotel ' ve stayed never cause concern . even downside , would stay . 
 Apr 1 2008 	 Great Location Nice Hotel 	 find hotel mostly review website other , due fact really nice daily rate compare , trendy hotel NYC . live NYC visit much ( usually stay friend family ) therefore little compare regard Manhattan hotel . overall wife really like hotel . room nice , clean , comfortable bed nice tv . also small view airshaft tub make Hobbit . live small place Manhattan bother much , see someone use cosy quarter trouble . problem keep laundry delivery problem result washcloth two day ... also give Post ( Post ? ? ) Wall Street Journal lobby ; also Rupert Murdoch empire ? fair offer send someone get Times , not worth tip price paper . location great easy access , C , B , d,1,2,3 train , Central Park , Midtown , UWS Village . really impressed bar Blue Ribbon Sushi ( bartender awesome ) food good . unfortunately sushi inferior fry chicken great . go alcohol . overall nice week nice hotel . would definitely stay reason nice place good location . 
 Mar 30 2008 	 Great Location 	 stay hotel reservation dinner per Se . location can not beat - across street Time Warner Center . employee courteous . Duane Reade ( Rite Aide similar drugstore ) right next door case need something hotel not provide . check say upgrade we King Deluxe , bed king . problem since room small . exhausted complain . bathroom decent heated floor ( half floor heat , sink front toilet shower / bath ) . fresh bath product . Turndown service night . inner room look onto rooftop shaft area . Loud AC unit nearby building may keep night light sleeper . subway stop across street . Whole Food Market TW Center great food court snack go . right next Central Park . 
 Mar 18 2008 	 way Small two People ! 	 can not belive 4 star hotel ! ! yes service nice helpful room silly , would say maybe 90sf ! ! know could 4 star hotel full bed ( two adult can not sleep comfortable full bed ! ! ) chair ! storage space ( keep cloth luggage store one small window sill look ally ) bath room small step dry even place put soap shampoo ! ! thin wall also , hard sleep every time sombody get elivator open room door loud wake ! ! maybe book priceline put we bad room hotel ! ! look web site regular price charge way way overprice ! ! $ 400 - 1200 night glorify closet ! ! ! do not think ! ! 
