's 	 travel lot stay 90 night various hotel . although company allow stay five start rate many country , could stay time . see many Westin brand hotel not provide service match 's brand , specially LAX airport . true Westin quality actually beyond expectation . hotel staff welcome , well train , service level excellent ! one facility love executive lounge give quiet zone well meet space sudden necessity . train hardworke staff lounge also fantastic ! drawback room stay not enough insulation could hear people talk hallway loud vise versa . definitely stay next time visit Beijing regardless 's business pleasure recommend everybody visit Beijing . 
 Apr 17 2008 	 wonderful hotel 	 wonderful hotel business traveler . stay 3 night attend meeting hold . hotel centrally locate Financial Street Beijing , know " Wall Street " China . take 1 minute walk get China ' " Regulatory Commissions " banking , insurance security . especially convenient people like whose business finance relate . cab take 15 minute get national theatre next Tiananmen Square . notice giant finance company locate around hotel , like Citi , GS JP Morgan . shortcoming easily get cab rush hour front hotel . room great well equipped . personally like huge Westin " Heavenly Bed " so - call rainforest shower . important point whole hotel cover wireless internet broadband , free . easily go surf internet meeting wifi signal strong venue . staff friendly English adequate . every evening ceremony lobby show candle lighten Taiji show . however , main corridor lobby construction suppose ceremony well nice corridor . use buffet restaurant 1st floor find busy lunch time . wait seated try quick lunch . honestly , food present among good one see Beijing . staff restaurant proactive even teach pronunciation chinese . overall , Westin Beijing Financial Street one good hotels town doubt , especially business traveler . definitely recommendate . 
 Mar 17 2008 	 Residence room way go 	 husband use Starwoods point ( 11,500 ) book Westin Room second part stay Bejing - March 11 - 16th . get hotel book upgrade we two bedroom apartment Residence Tower . apartment fantastic 's layout . really enjoy kitchen could stock drink snack breakfast item . side kitchen seem strange odor keep door close not use . also fully stock dish / utensil , etc . glass request bowl / silverware . cook anything need would request cooking ware also . it really nice able read real chair sit real sofa instead bed watch tv . actually three tv 's - one bedroom one living area . problem facility could get feather pillow find pillow bulking . end use one sofa sleep on . we find staff friendly attentive . english satisfactory understand question quick get help another employee . we think food Prego , italian restuarant excellent . lasagna satisfy it . we also eat breakfast buffet one morning long day plan . food excellent , fresh squeeze juice expecially nice . we eat one ala carte meal restaurant , want buffet evening . husband order Wonton Soup came discover Wonton 's shrimp . taste broth taste like seafood say well slice open one Wonton 's since allergic shellfish . sure enough shrimp - note menu would recommend allergy - ask make sure dish order . I use lady facility swimming pool ( pool ) . jacuzzi nice area could put foot directly jet - nice long day walk . sauna steam room also refreshing . however one day jacuzzi cold instead hot not use it . I use Spa last evening get 90 minute Chinese Massage . spa room incredible - private dressing room individual shower / steam room combination color light rotate color spectrum . therapist good although note slight odor breath , probably due different food diet . also ask use oil / lotion since seem moisturize skin well friction hand . note - ask want man woman definately speak preference . we drink lounge good job service entertainment - singer piano player . lounge busy week quiet weekend . definately focus business traveler . we use hotel & quot ; limo & quot ; transfer back airport day departure . nice Mercedes definately feel luxurious ride it . the hotel convient walk tourist site taxis inexpensive . also make nice quiet every night due location . I would definately recommend hotel business / pleasure combination . 
 Mar 8 2008 	 great Accomodations outstanding service 	 go 2 kid 4 night Feb. stay Executive Apartments great family . bedroom living room kitchen pay less 200cny less regular room . centrally locate , mall across street grocery everything might need taxi cheap , besides sight Beijing pretty spread . can not stay near Forbidden City still near Summer Palace Olympic Village . access club lounge great selection breakfast buffet could eaten kitchen . hotel buffet restaurant good , really outstanding service . work pronunciation Mandarin , since pronunciation everything understand Chinese . think amuse try hard learn . also go way help , take money hotel ATM forget retrieve card . get hold bank company get retrieve card get back even though machine due service later week . 
 Jan 29 2008 	 wonderful Westin ! 	 fantastic hotel ! stay hotel 3 night enjoyable stay ! stay Renewal Suite spacious , clean comfortable . access Club Room 's benefit - buffet breakfast great selection food great . unfortunately , club room include breakfast soft drink / coffee throughout day however pre dinner drink offer suprise pre dinner drink normally standard offer club room benefit ... book hotel even though know locate Finance district - Westin offering pay 2 , stay 3 night deal good deal pass ! note , hotel pretty far major tourist attraction shopping . need take taxi get around - note taxi cheap though taxi driver do not speak english . the staff friendly however english limit - find sometimes repeat understand we . overall , great hotel - would stay ! 
 Dec 19 2007 	 good business traveler 	 stay part tour group October , 2007 . be nice , modern hotel , gear towards business traveler & amp ; group . location good , high - end shopping across street . walking - distance dining choice limit , hotel outstanding ( expensive ) buffet broad range food ' ve ever see . 
 Dec 19 2007 	 Class Act . 	 Westin Financial St. Stayed 6 night late November apartment section . two bedroom apartment well fit luxurious . staff courteous , knowledgeable willing help . english problem . there 3 restaurant within hotel , hidden gem Chinese Restaurant tuck away far corner ... simply fantastic . keep go back reasonably price , food ( lunch & amp ; dinner ) something else service excellent . wine list comprehensive , affordable interesting without top . location good , short cab ride get major attraction . subway less 5 minute walk , although want think twice use it . we hesitation reccommende hotel . 
 Nov 18 2007 	 wow ! ! Loved Westin 	 stay Beijing , brand new Westin way go . convenient metro attraction . spa awesome , restaurant inside hotel , , way , overprice ! 
 Nov 15 2007 	 pleasant stay 	 stay property attend conference Grand Hyatt . contrary name , Financial Street not really seem center attention ( probably well wangfuje area ) , seem somewhat sterile ( little like Battery Park 's NYC evening ) . plus side , across exclusive Lane Crawford mall pleasant , modern wide boulevard . the hotel pleasant indeed . soon arrive , staff move help get set room , really painless ' ve see . room lovely , rain shower room unexpecte delight . I sure time cab driver know Weh - sze - ting . would definitely stay . 
 Oct 30 2007 	 truly Relaxing 	 Stayed Westin Sept. 28 October 4 , 2007 , total 8d/7n . first trip Beijing want explore city , culture , people , history , cuisine , etc . etc . meet cousin US get excellent rate room . check - in check - out flawless . room ( get double ) , spacious tastefully furnish . heavenly bed exactly ... heavenly ! long day walk sightseeing , nothing beat lounging / sleep bed ! large room amenity one would expect 5 - star hotel , ( fridge , spacious closet & amp ; drawer , bathrobe & amp ; slipper , oversized desk , coffee / tea maker , flat screen tv , etc . ) . bathroom separate tub shower . take warm shower powerful " rainforest shower " tire day welcome respite truly soothe enjoyable . trouble experience half bathroom would get flood take shower . take Westin 2 night could seal leak somewhere within shower ' glass enclosure . Westin however fast clean mess call help . except little problem , service exceptional efficient overall . breakfast buffet times lobby restaurant " Senses " . wide variety combination asian international cuisine . also take quick dip one evening 25 meter indoor pool relax separate sauna jacuzzi . truly wonderful soothe call night . location wise , ' far away major city attraction . Taxi ' plentiful , inexpensive good way travel within city . like walk bit , subway station 10 minute stroll away . locate newly develop area , much see since neighbor brand new commercial office building . however new high - end mall across street also excellent food court . enjoy overall stay Westin would recommend anyone ! 
 Oct 22 2007 	 great hotel taxi driver hear ! ! 	 boyfriend stay hotel 3 night four day tour Beijing . love Westins look forward stay . heavenly bed like one North America still comfortable bed . shower dual head heavenly shower like North American Westins stay rain shower ( shower head ceiling ) nice , also nice regular shower head . actually one shower head detach can not use like regular shower head attach wall spit 90 degree instead 45 degree . place room door could use adjoining room necessary . problem , wall thin door 's incredible . right drift sleep people next room walk room could hear every word say could even hear one guy crinkle piece paper . exact thing happen next night - right drift sleep , tired long day tourist walk room could hear everything . already totally unpacked tired night ; energy call ask switch stay hotel , would double check room not adjoe door - will regret maybe immediately later . next issue hotel location Beijing . every evening return , would dread hail cab would routinely get turn least , sometimes twice cabbie would agree take us - not want go . hotel give business card address street map show write business card SMALL , especially night , cabby could not even read properly - ask someone hotel re - write large letter clear . also find cabby try cheat we take we round way - cabbie drive south leave hotel major road , be fast way get east attraction . 10 western restaurant within two minute walk away , want something authentic hotpot restaurant close well , ask someone hotel get foot . kind like western restaurant close , good wanted grab something go , need break cultural food . , probably good hotel city good nonetheless . 
 Oct 14 2007 	 way inexpensive 	 recent hotel offer high quality ammenitie good staff hotel far action . definitely , least interesting 10 hotel try city . start positive aspect , room spacious well furnish . hotel way interesting thing ( so - call financial district ) . taxi cheap , many driver hear place need call hotel direction . also fun stuck traffic time . I find staff polite pleasant although bad habit barging room unannounce . know use & quot ; disturb & quot ; sign still knock first ring doorbell . also find area lack atmosphere . unusual Beijing , soul street around . subway good 20 minute walk many thing around hotel except & quot ; western & quot ; restaurant . stay & quot ; service apartment & quot ; tower . not count kitchen meal . drawer empty . kettle coffee tea bag cup spoon ! find annoying however lousy internet connection . extremely slow continuously get disconnect . plan work room , may decide change hotel . . could get anything do . really really bad . take several attempt one hour get review in . the one save grace price pay US $ 100 one bedroom apartment . 
 Oct 14 2007 	 Loved stay 	 stay Westin 2 teenage daughter 4 night . book suite residence section hotel amazing price US $ 150 per night website . suite beautifully appoint big - 131 squ meter 2 bedroom & amp ; 2bathrooms , large sitting room comfy sofas ( big screen tv dvd ) & amp ; dining area , seperate kitchen cooktop , oven , microwave & amp ; wash machine / dryer combo . bedroom ( one king size bed 2 double bed ) huge flat screen tv 's , desk large bathroom amenity ( nice toiletry , robe & amp ; slipper , umbrella etc ) . 27th floor lovely view . building go next hotel sure noise like floor high bother we . the breakfast buffet teriffic huge selection bit pricy China US $ 20 per person . room service order nicely present quite good value . get stuck food take 15 minute walk hotel & amp ; Starbucks , KFC , bit pizza hut . prefer eat neighbourhood restaurant 15 min walk direction street bakery , small shop , tea shop & amp ; 5 - 6 restaurant . none restaurant try English menu friendly & amp ; helpful & amp ; get picture & amp ; mandarin phrase book . as people mention Westin bit action part Beijing taxis cheap not matter . although one day walk back Tianamen Square taxi driver would stop we , Oct 1st national holiday Chinese unbelievably busy . think 30 - 40 Minute walk back hotel show walk place hotel need ! ! ! ) one taxi driver ( airport ) slight trouble find driver fine . make sure not get overcharge - one taxi driver take we long way hotel indicate map know . try charge we write taxi number & amp ; soon change price . taxi industry Beijing regulate really frown driver try rip tourist & amp ; get trouble . concierge tourist desk share area . girl tourist desk offer book we tour around Beijing easy ( & amp ; cheap ) via taxi . organise ticket & quot ; Legend Kung Fu Show & quot ; & amp ; expensive booking directly theatre seat great . also book hutong tour we Beijing Hutong Tour Company ( one mention Lonely Planet guide ) expensive do ourself . decide go company lot people tout & quot ; Hutong tour & quot ; hear bit disreputable & amp ; take place really not want stop . tour take RMB220 & amp ; 2 1/2 hour long . guide excellent . well tour area rickshaw stop Price Gongs palace & amp ; private tea ceremony , visit Drum tower hear drum sound worth go view Beijing drum tower ( rare clear nearly smogless day ) also visit retired archaeologist & amp ; wife courtyard home interesting daughter study history lot conversation & amp ; laughter guide interpret we . rather guide tour hire taxi whole day via concierge ( think rmb 300 - 400 ) go great wall , forbidden palace etc . this husband 4th trip Beijing rather go badale ( McWall ) section great wall go bit Mitianyu section say busy & amp ; much well . get early , open 7.30 , beat crowd & amp ; tourist bus . arrive open many people wall mostly little - stay couple hour time leave start get busy car park whole way hill must long big walk people arrive . 2 cable ride - 1St cable ride also option take taboggan ride lot fun take cable car back again . when visit forbidden palace could move people also room open public moment work preperation Olympic game . we would definately stay hotel really enjoy stay . 
 Oct 13 2007 	 good business 	 ' ve stay twice . 's perhaps new hotel financial district Beijing . tourist , probably first choice location . check - in check - out flawless . even get chinese tax receipt , fa piao , fast need , surprise . the room decent sized good storage , in - room safe , multiple AC plug , excellent broadband , mini - bar , comfortable bed furnishing excellent bathroom . the bar downstair nice service good . ' ve eat italian restaurant twice quite good . there place nearby eat unless want shanghainese food . case 's restaurant across street China Life building call Shanghai Xiao Nan Guo excellent . also district expand , construction start 6 am probably change anytime next year . 
 Sep 21 2007 	 big britche 	 spend 3 night WB part Viking River Cruise tour , must say dissappointe . start badly go buffet dinner . flight late know come ( 100 we ) ; still seem miff . matter fact , one hostesse blatantly RUDE chinese person meet entire trip . dinner pleasant experience . electrical transformer not work front desk send one we . plug light go . send maintenence man , check , determined transformer break . flip breaker bring we another transformer work fine -- thing happen guess . sheet scratchy ; pillow fat hard . we call one night get ready go , order two drink room service menu . seem could handle . talk several people try get someone could speak enough english place order . get call saying & quot ; & quot ; one drink order . run vodka ? ok cancel order , late anyway , go dinner another restaurant . get back get call say try deliver drink room would like deliver ? 's fancy phone supposedly everything whistle dixie , however not work . little hole side , thot maybe stylus - thingie stylus - thingie . finger pen not work . call front desk every request phone number room service , maintenance , wake - up call , etc . be suppose use phone screen thing not work . attempt fix it . the hotel beautiful , room nice , think need pay little attention run hotel little less attention glitz . 
 Sep 21 2007 	 wonderful experience 	 stay Westin Beijing April 2007 shortly open . platimum level Starwood perhaps treatment staff average . nevertheless , expereince hotel wonderful . room smallish beautifully apponte . executive louge great . staff responsive . near tourist site taxis cheap plentiful . 13th visit China business one nice hotel expereience . would stay heartbeat . 
 Aug 20 2007 	 good hotel 	 review note , hotel really close tourist site , long name hotel write chinese character ( something prepare many card ) issue . wife stay three night visit city fun . concierge desk share tourist desk different , mark . one try sell package tour make money , assist acquire much cheap private car / taxi see site . hotel clean spa sauna , steam room , hot tub pool guest , quite refreshing long flight . room also decently size quite comfortable . breakfast quite good , western local selection . enjoy stay . 
 Aug 16 2007 	 good business hotel ( ) good pick other 	 website , Westin Beijing tout place & quot ; calm mind . excite sense . find renewal . & quot ; claim unjustifiable . hotel busy hotel , lot construction neighborhood , huge wood room door , despite beauty , prone slamming , noisy service staff . what true business hotel , close location major bank , Chinese Banking Regulatory Commission ( CBRC ) , Chinese Insurance Regulatory Commission . business entities conference hotel area hotel , would recommend consider hotel . otherwise , would consider hotel Beijing . this hotel definitely good option tourist -- far away major site two near subway station long haul ( particularly hot Beijing summer ) . hotel website underestimates time airport train station , . so - call & quot ; Bar Street & quot ; near hotel make feel like mall & quot ; anytown USA ( good , horrible disappointment other ) . Bar Street , find Starbucks , TGI Fridays , restaurant nothing China . speak Mandarin , food option within 5 - 6 block radius hotel , remain long ( hot ) haul foot . on positive side , room excellent term size amenity . equipment work well . room safe deposit box , sized allow storage one 's laptop . work space good , . bathroom nice , & quot ; rain shower & quot ; dump water horrendous pace , real luxury ( waste ? ) water deficient Beijing . another plus hotel offer various health drink , bottled water , pre - package wipe guest area near reception desk . I find staff uneven quality . sometimes friendly . time cold . housekeeping employee sometimes clean room properly . time . sometimes , concierge staff give good advice . times seem pocket mind . to reiterate , really would recommend hotel business traveler business area hotel . 
 Aug 16 2007 	 Excellent Hotel Staff 	 simply one fine Westin Hotels World . location close major tourist attraction shopping . Taxis plentiful inexpensive .. great breakfast seafood buffet well ... staff attentive helpful convenient , staff business center , well . I would stay hearbeat .... 
 Jul 24 2007 	 Loved Westin - should rate high ! 	 know lot good hotel Beijing property definitely among good . check - in wife greet doorman luggage take care escort Club Floor check - in . time process complete , bellman deliver luggage wait explain feature upgrade suite . breakfast evening spread Club Lounge phenominal staff fall help . every evening one two would stop find day go offer suggestion next day tour . although hotel business district , also cater leisure traveler area offer welcome respite hustle bustle heart city . not hesitate book property ... will not regret ! 
 Jul 17 2007 	 top quality hotel Beijing 	 Westin Beijing new property area build top end hotel , lot restaurant shop . arrival greet car , luggage take care escort check - in club floor nice hotel worker . our room upgrade call Renewal room . spacious ( around 60sqm think ) room desk , king size bed , LCD / Plasma TV , walk closet spacious bathroom large shower / hot tub area . everything new , beautiful , clean top end . spacious . nice amenity like soap , shampoo , comb , nail file , etc . etc . room . large safe . lot dark wood . everything smell new clean . the Renewal room include person prepare bath every evening . interested , wife do . not bath really smell nice lot candle light around bathroom . nice . there several restaurant hotel . try Cantonese ( not remember name ) italian ( Prego ) . , good food , fantastic service good ambience . also buffet restaurant ( not like buffet not try look great ) , sandwich bar ( not try ) cigar room ( not try look great ) .We would try restaurant room include club floor access . club floor extensive breakfast buffet ( western Chinese ) evening cocktail service ( enough food qualify dinner ) free drink include wine / beer / liquor . soft drink coffee ( include espresso ) available throughout day . if get tired hotel food least 10 restaurant within 2 block ( 3 minute ) , Starbucks , smoothie place , KFC , Friday 's , chinese restaurant , french bakery , Japanese , etc . service hotel good , world class . room make morning , late afternoon request . the hotel staff eager help anything recommendation restaurant sight - see arrange ticket Beijing Opera . one small observation indicative hotel , press elevator button take less 1 second light elevator come light . elevator arrive within second case 10 second . many hotel wait forever elevator , especially check - out time dinner time . one . we use spa service , spa area nice , quiet beautiful . treatment room shower ( lead light change color ceiling , look like starry sky ) steam shower . therapist good professional , clear & quot ; extra & quot ; service provide . the gym area well equip LifeFitness high end brand LCD screen . work morning , afternoon evening . always gear available . gym also sauna , steam shower , large hot tub , shower ( separate male / female ) large pool bar access outside could sit lounge chair drink . what negative observation ? financial area still like financial district , 6 pm pretty much dead want lot people mingle bar need take taxi . think change next Spring entertainment build up . the air pollution second New Delhi view ( be hotel , 's Beijing ) .You spend lot less money Beijing stay eat 's concern not stay . think good value money , especially include club floor . summary : world class hotel , fantastic service , great restaurant , great gym , great spa . 
 Jul 3 2007 	 good hotel 	 stay hotel three time , every time great experience . bath room really big seperate bath tub Forest Rain shower room . bed really cozy . offer coffee machine , several tea bag two bottle drink water . location good business traveller . 15 min walk subway station , 15 min drive Tiananmen square 30 min drive CBD area . 
 Jun 28 2007 	 good 	 overall good hotel . room comfortable food impeccableThe buffet serve fantasticlocation bit way price taxi 's nothing 
 Jun 26 2007 	 good hotel great Executive Club floor 	 Beijing first stop China trip , stay three day Westin . starwood Platinum member , get access Executive Club floor , must say one good experience whole trip . since hotel brand new , room interior hotel perfect condition , health club impeccable variety new equipment nice view street below . overall staff helpful , concierge book daytrip Great Wall we . location hotel relatively central , walk distance major attraction like Tianamen Square Forbidden City . however , taxis abundant inexpensive US european standard . as say , Executive Club floor great . boon come back long day sightseeing , relax homely atmosphere drink cup coffee . staff attentive helpful , complimentary breakfast evening buffet truly amazing plenty dish drink choose . 
 Jun 22 2007 	 impeccable 	 hotel truly jewel . room spacious comfortable . everything brand new ( hotel brand new ) sparkle clean . bathroom big , shower unbelievable . service impeccable . breakfast buffet food general truly excellent . compliment hotel enough . location fantastic also - ever slightly remove craziness city , oasis peace tranquility . March , spa pool not open yet look nice . staff accomodate , even asian standard . like say , rave enough hotel . 
 Jun 20 2007 	 Disgusting ( yes absolutely disgusting ) room service 	 stay hotel half dozen time business travel Beijing trip would give decent review . yes , staff clumsy , usually polite . room sometimes amenitie miss ( like slipper ) usually clean . also use think western food prepare high standard many place China . this time , however , room service food horrible order two different dinner item not eat either . order food not great , good . time , first order club sandwich , think would hard mess . one make tasted like wonder bread crust cut , make half size . much rotten taste mayonnaise everything keep slide off . I order proscuitto pizza , time come completely different get . burn tough -- much much bad -- cover look , smell taste like american cheese . try one bite , spit , immediately shove door . it get bad . afraid order dip Lay 's potato chip mini bar . unfortunately , hotel seem stock cheap Chinese Pringle 's instead import Pringle 's like hotel . greasy , , go straight trash can . I ' m picky eater experience horrify . 
 Jun 9 2007 	 comfortable hotel could not care less staff ... 	 stay 3 day hotel head home nearly 3 week solo travel China . hotel new modern comfortable bed enjoyable bufftet . problem taxi driver know Financial Street InterContinental , one block Westin . however , come across unacceptable response hotel staff / service . ask direction nearest metro station , believe ? one know , doorman , concierge plus one shake head , may Westin guest never use metro ! eventually , pointed direction would take 20 min foot , end take taxi go . follow day map , stroll near metro station Fuchengmen 5 min . lack basic local info doorman concierge unbelievable . I Gold Starwood member normally expect newpaper morning . happen first day , even remind guest service apologise oversight , still not deliver morning , give up . the hotel offer shoe shine service . shoe return less 5 min state , Westin ? take trouble write comment guest feedback form . 10 day reply hotel management guest service , like paper ! 
 may 26 2007 	 wonderful place stay 	 currently Westin , Beijing . first time . arrive 21st leave 31st . agree taxi driver airport know hotel locate . name address hotel write Chinese still stop ( turn ) 4 block away driver could ask direction . however , attribute hotel . yes , new say lovely hotel . staff without exception attentive , helpful welcoming . even one staff executive lounge come room retrieve message phone could understand . speak three word Mandarin . english problem staff . request assistance take care promptly efficiently . truly impress everything everyone Westin . travel lot stay hotel 120 night year , mostly pleasure ... boy lucky ! ... great hotel . as location say problem since taxi easily obtain rather inexpensive . enjoy walk worry area . People street friendly , greeting smile . walk mile Forbidden City Tianenmen Square enjoy see area hotel . chance see city usual crowd sight teem tourist . 
 May 17 2007 	 Good Hardware ; poor ` ` Software '' 	 be tour group , , fine hotel . travel , forget ! despite great room luscious buffet , poor location staff 's attitude make Westin less ideal . the hardware - room furnishing - swell . large , comfortable , clean . long desk plenty outlet . three chair huge , comfortable bed . separate tub rainforest shower , although faucet showerhead triumph design function . air conditioning design keep room several degree higher program . would good step lively elevator , ambush pokey guest fast - close door . the software - staff - leave much desire . although breakfast dinner buffet huge , lavish delicious , order la carte service maddeningly slow . secondary employee , include bell lobby staff , barely speak English , desk staff not great either . the location useless tourist - far attraction long walk metro . nothing around office coffee shop ( see photo ) .We plan stay several day past end group tour . staff refuse number request put we reserve executive room arrival , force we change room mid - stay . face unfriendly attitude , change hotel instead - Grand Hyatt , much well staff location . stay four Starwood property trip Asia , Westin one whose service not even approach standard three . 's fine group business travel . tourist - well . 
 Apr 29 2007 	 shiny new problem 	 wrap recent trip China three - night stay new property locate Beijing 's equivalent Wall Street . hotel definitely gear middle - management finance type day stay feature least one corporate function reception . pro : everything new . room spacious well - outfit wi - fi , flat - panel tv , work desk plenty easily accessible outlet ( still dedicate 110V AC outlet though ) , multi - line phone , etc . fitness center comprehensive pool ( unlike other ' ve see China clearly design leisurely dip ) actually feature lane line we prefer swim lap fitness . breakfast dinner buffet Senses restaurant stunning quality well vastness selection . local western dish offer , include ( dinner ) steam crab , lobster tail prawn . also , good gelati sorbet long while . con : Every_one _ new . almost hotel 's personnel , seem , still train . although food fantastic , could say restaurant staff range slow forgetful sloppy . time , seem rhyme reason assignment many seem wander around aimlessly . sound glass plate break attendant every meal . one particularly hurried morning , unable procure cup tea entire time seat breakfast . manage chat assistant concierge , though congenial , acknowledge spend six month work Westin Beijing part as - yet uncompleted hospitality degree school Switzerland . the inexperience reception staff show clearly come resolve customer satisfaction issue . last night , flat - panel tv room fail . mention upon check - out asked compensation cost two drink order bar previous night waive . hesitation , girl help go back office , presumably confer duty manager . answer come back : , apology . guess prepare . last impression hotel decidedly negative . bad . there two Starwood property next door one another Beijing : Westin St. Regis . nearly brand new . wonder well staff candidate send St. Regis guest Westin like make deal second - tier applicant . can not prove , can not help think either . 
 Apr 28 2007 	 wow ... impressed ! 	 first stay Beijing & amp ; obviously apprehensive stay . starwood preferred guest think safe bet try new Westin . experience ! start , check - in dream ( book exec lounge floor ) .... two porter & amp ; concierge manager take 26th floor & amp ; book room . access lounge breakfast & amp ; evening happy hour ( free drink & amp ; assorted food night ) . hotel team remember name ( freaky first nothing bad intend ... good customer service ) , anything help . one word advice traveler , take plenty single US dollar . dollar see high tip & amp ; hand correctly take visitor superstardom ! average spend 140 day year hotel , say among top hotel experience huge compliment .... thank Westin , outdone ! say China ..... ShiShi 
 Apr 24 2007 	 Excellent Business Hotel ! 
 Mar 31 2007 	 beautiful tourist 
 Mar 30 2007 	 Perfect Hotel 
 Mar 17 2007 	 Excellent hotel 
 Feb 26 2007 	 Fab Hotel great location excellent staff 
 Jan 27 2007 	 good hotel experience Beijing 
 Jan 10 2007 	 could hardly well 
 Dec 15 2006 	 great experience due attentive Staff Facility 
 Nov 13 2006 	 excellent new hotel watch location ( ) 
 Nov 21 2009 	 ? ? ? ? ? ? ? 
 Jul 10 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Mar 20 2009 	 5 ? ? 
 Mar 17 2009 	 ? ? ? ? ? ? ? ? ? ? ? 
 Sep 16 2008 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Sep 15 2007 	 Excelente hotel 
