great 	 excellent hotel , good room ever ! large , modern , extremely comfortable , well equipped , perfectly clean , number small nice fancy small thing make difference ( rain shower head , video screen bathroom , electrical curtain ... ) additionally , hotel location perfect , walk distance Forbidden City Tiananmen Place . Personnel courteous really care . got access lounge , free internet access ( otherwise quite expensive , ie RMB3 per min . ) ; , great service , delicious breakfast . food restaurant , although good , seem littly pricy . fitness center recent well equip , pool large pleasant . overall , wonderful experience ! 
 Aug 4 2009 	 Awesome Hotel 	 husband catch overnight train Shanghai Beijing weekend ( work Shanghai week ) service receive Hilton incredible . arrive Hilton 9 am , able check - in right away , room quite ready . able use facility fitness area shower , etc long night train . although not technically suppose able check - in 1 pm , get room ready we quickly settle 10:30am . after weekend fantastic service ( attest rest review page ) , set catch overnight train back Shanghai Monday night . officially check - out hotel since 8 am morning , still accommodate nearly 12 hour later , let we use fitness room shower freshen long day sightseeing catch train . overall , time hotel nothing short perfect ! 
 Jul 25 2009 	 LOVED HOTEl 	 recently stay Hilton Beijing Wangfujing could happy . stay 11th Floor room beautiful , interesting comfortable . love free standing tub flat screen wall front ! bear duck wonderful touch . use Executive Lounge every day find wonderful . staff nice caring . eat hotel chinese restaurant find wonderful . , also , traditional massage spa wonderful . can not recommend hotel enough ! ! 
 Jul 22 2009 	 fantastic new room wonderful service promotion .... 	 love hotel - location location location , beautiful new room ( although light switch .... ? ) praise Sandra reception help kid ' bed , nightlife suggestion - like xiu park hyatt , shopping idea ( go Sanlitun North Village market next door ) , promotion one night 2 good pass ! pool gorgeous - romantic .. also great dinner Chynna ! note - also stay Holiday Inn Express Temple Heaven Crowne Plaza Airport Beijing see different part town get airport quickly early flight 
 Jul 21 2009 	 lot offer 	 great hotel , new amneitie hotel miss , large comfy bed , autamtic curtain , printer ( good check online airline ) , separate bath tub , toilet shower walk closet even . hitlon frequent traveller get access executive floor really good attentative staff good service help . next time Beijing find favorite place , tthis Hilton . complain , noise outside work area , fault hilton ... 
 Jul 17 2009 	 unbelievable -- - good Hilton ever ! 	 stay hotel early July 7 night ... first 3 night business facility be look . great room 60 sqm ! , 24/7 Business Center , 24/7 Gym , seamless internet area , gr lounge top floor , etc . family join long weekend fun start , ... impressive pool kid ever see , wife get great spa treatment 2 kid even cook class apparently happen every Saturday . travel lot stay many hotel around world say , property match everyone remember ever stay wonderful & amp ; luxerious Hilton like ! 
 Jul 17 2009 	 great hotel great location 	 stay holiday visit Beijing . great central location , easy walk major sight like Forbidden City short ride thing . room nice size , base level room , clean well bed comfy ! staff good , concierge great helping get direction place go also suggestion see . 
 Jul 17 2009 	 Perfect stay 	 hotel amazing ! room enormous good value money ( eg , compare similarly - price hotel Hong Kong ) huge plasma tv screen , ipod docking station cable laptop / dvd player . 's open - plan marble bathroom standalone tub two - head , 2 person shower well desk area dress area / lobby . room service great . concierge team wonderful - always smile , helpful . even haggle taxi driver take day trip Great Wall . location great - less 100 m front door one Wangfujing 's shopping mall , be around 10 minute walk nearest subway station . be even lovely , chill swimming pool pretty sun bed mother - of - pearl tile . 
 Jul 15 2009 	 Insanely Amazing ! 	 find fault hotel ! everything check - in room breakfast staff .... amazing ! everything hotel 5 star . luxurious , crystal clean , overly friendly helpful ! check 8 hour 6 hour flight ! friend throw terribly ill ! staff nothing helpful go beyond call duty ! lay check we , give bottle water etc etc . 3 rd party business book pass reservation onto Hilton therefore record stay . Hilton fault due we wait 2 hour lobby find room , upgrade we suite ! beautiful ! automatic curtain , blockout , bed huge ! Super King size ! comfortable ! speak highly enough hotel , 2 friend say would go back Beijing stay Hilton ! ! ! ! 
 Jul 7 2009 	 Amazing Hotel - Hilton Website not Justice 	 Hilton wangfuje great hotel . room beautiful . room clawfoot tub , nice soak end long day sightseeing . blackout curtain amazing - definitely must since sun rise around 4:30am morning . staff helpful speak sufficient English get need . concierge staff especially great - recommend restaurant , thing , etc . hotel location also good - 20 minute walk Forbidden City right door wangfuje shop Night Market . subway stop ten minute walk hotel . note room , apologize construction noise , never hear anything - hotel seem well sound - proof . eat portuguese restaurant one night - okay , well food find city . eat late night exhausted not feel like go back . one complaint , would pool cold . 
 Jul 2 2009 	 stay ! 	 staff speak excellent english , room excellent . air conditioning great . location awesome . walk shopping mall 2 minute , eat many restaurant . go mall wangfuje st . shop , shop , shop . room quiet , noise street never hear . breakfast excellent . never see large spread . matter big appetite , problem . nice gym , pool , sauna . friend trouble find hotel , staff nice assisting finding . friend local chinese tell staff treat nice , admire beautiful hotel . picture email friend USA think get magazine . nope , room get . unbelieveably beautiful . 
 Jun 30 2009 	 Superp would recommend anywhere else stay 	 lovely stay Hilton Wangfujing 9 night June . hotel situate 2 minute wangfuje shopping area short 5 - 10 minute walk either wangfuje Dongdan metro station . staff especially polite , speak good English always ready help way possible . breakfast include within price every possible option range typical american style traditional Chinese . newly open pool elegant especially night . get around try gym look variety equipment . try hotel bar one drink like hotel bar price high . laptop use business centre , bit pricey internet , 3 pound per 10 minute . would definitely recommend Hotel , location perfect cost internet / drink fault one bit . 
 Jun 30 2009 	 Excellent Hotel 	 Hilton Beijing wangfuje 25 KM beijing airport . Taxi easily available airport hotel . room spacious well decorate . location hotel go ant place beijing like forbid city , summer palace etc . restaurant hotel little small offer great variety food . I would recommend hotel everyone . 
 Jun 29 2009 	 Excellent location facility service - highly recommend 	 stay last week June 2009 attend conference . location excellent - pedestrianize Wangfujing street mall pleasant locality stay . ten minute walk wangfuje subway station 20 minute forbidden city . the room spacious nicely furnish ; bathroom large separate shower stall , commode bathtub . usual facility [ safe , minibar , internet etc ] high quality good working order . breakfast excellent wide choice item . staff courteous , helpful fluent English . for visitor require halal food , number eat option within short walk . all , positive pleasant experience . 
 Jun 25 2009 	 great hotel - great location 	 stay five night month ( June 2009 ) quite impressed hotel , location staff . previously mention , great location vacation traveler . APM mall immediately next hotel high - end pedestrian mall outside APM . APM high end pedestrian mall great eat shopping option ( note , night market crazy food vendor sell bug vomit induce fare nearby ) . new hotel great amenity , nice indoor pool , acceptable workout facility several expensive restaurant . possible , upgrade club level free breakfast , afternoon tea evening cocktail appetizer . otherwise likely eat mall lower price area near hotel . 
 Jun 3 2009 	 Faultless 	 family stay Guest Deluxe plus Rooms gorgeous . staff amazing breakfast delicious ! shower brilliant bath extremely relaxing ! ! kid love purple ducky play holiday ! bed great curtain work treat - sun ! ! also airport transfer smooth efficient ! 's less 2 minute away shop nice hotel stay China ! 
 May 17 2009 	 contemporary elegant hotel heart Beijing beautiful room superb service 	 brand new hotel heart Beijing , within easy walk distance Forbidden City Tiananmen Square . hotel quite contemporary elegant . room large muted earth tone , wood floor carpet , spacious marble bathroom , friendly , helpful service . indeed , entire staff seem go way helpful . Executive Lounge 16th floor well stock food alcohol ( charge ) hotel good selection restaurant ( chinese superb ) . room rate U.S. standard moderate , rate concierge arrange private tour . hotel bite hide main street , hotel desk airport write address chinese taxi driver problem find . 
 May 4 2009 	 Excellent Location Expensive Restaurants 	 husband stay Hilton Wangfujing Hilton point 9 night April . hotel new construction complete mall adjoining hotel . also , pool spa open time stay . say another month two would open . the hotel 's location perfect behind wangfuje walk street large shopping mall next door six floor shop restaurant . cut mall , come wangfuje . mall Pizza Hut , McDonalds , Dairy Queen starbuck crave american food away . Beijing hotel end wangfuje Outback steakhouse five minute walk away . room large clean . Crabtree Evelyn bath product provide . staff friendly helpful . everyone hotel speak English , problem . issue cost restaurant . breakfast buffet include room even though diamond member Hilton . first morning go third floor breakfast , selection good , also $ 35 person . next morning opt danish juice room service cost $ 24 . Chynna restaurant good , $ 100 basic meal well . thing reasonable drink bar also live music night . overall , excellent hotel choice ten minute walk Forbidden City lot restaurant shop near . would suggest either get breakfast include go adjoining mall Starbucks French Pastry shop unless eat big breakfast . dinner , Western Sichuan restaurant oriental Plaza mall good quite reasonable quality . 
 Apr 30 2009 	 Exceptional Hotel 	 son stay Hilton wangfuje 3 day . great time BJ . staff hotel friendly speak English well .. hotel room beautiful . room large . bathroom wonderful , seperate shower , large tub center bathing area like bathe . small tv mount wall . ( .to relax bath watch favorite program ) . large screen tv watch room well one area desk ( total 3 tv 's room ) bed comfortable plush . Gold Member , Executive Floor breakfast serve daily well afternoon tea time evening drink snack . computer use laptop free wi fi . the staff hotel go way help you . we driver get hotel , however way back airport use taxi.cost 110 -120 yn . near hotel shopping mall side pedestrian walk way stroll shop along way . take tour say far Forbidden City Tenneman Square , seem close . would like say Special Thank Executive Housekeeper Selena tip give we concern Markets BJ . take time write information we English Chinese . I eat hotel resturant use gym . 
 Apr 26 2009 	 Nice Hotel good location small gym 	 stay 2 night April 2009 business . typical nice Hilton Asia . big room . rubber duck tub nice touch . invite tag , take home daughter like , although want know purple . hotel locate behind mall famous wangfuje walk street 25 minute walk Forbidden City ( 5 minute cab ride traffic ) . close lot mall . access Wangfujing , walk mall street business hour . close mall Starbucks , KFC , various asian restaurant . also expensive foreign supermarket basement . gym small ' ve see Hilton though . free weight treadmill . 
 Apr 26 2009 	 Great experience 	 stay no.8 wangfuje East Street , Dongcheng , Beijing 100006 , China 4 night . hotel magnificent never experience incredible service China . room well lay stay executive level concierge club lounge . breakfast lovely , fruit , continental spread cheese fruit pastry etc . restaurant great room service housekeeping . overall would say good hotel every stay China business . would strongly recomend business also holiday / vacation . 2 mile away famous silk street , toy market shopping area . 
 Apr 21 2009 	 Favourite Hotel Beijing 	 stay Beijing wangfuje Hilton twice since be opening , prior Olympics . regular accommodation many year Hilton 3rd Ring Road , excellent hotel . although wangfuje Hilton still & quot ; Work Progress & quot ; , extremely impressed aspect hotel . Pickup Airport first class , limo transport Hotel . the room large quiet , decor course new place show rush installation , facility work well . information affect guest well present , timely accurate . the food Restaurants Executive Lounge excellent course Staff jewel crown . without exception , Staff interact occasion , speak good English , smart , professional totally dedicated Customer Service . I speak highly Hotel would recommend all . Ritchie StephenNew Zealand 
 Apr 19 2009 	 stylish Spacious Comfort ..... almost perfect ! 	 read review site , choose stay Hilton Wangfujing 6 consecutive night guarantee low prepay B & amp ; b rate deluxe twin room . upon check - in , receive room upgrade enormous lifestyle suite feature walk - in closet , 42 - inch LCD flatscreen tv balcony . unfortunately , balcony door lock suppose guest safety reason due on - go construction work Macau Center complex building opposite . see dust settement project need thorough cleaning anyway . 45 - minute taxi ride Beijing Capital Airport hotel 120rmb Friday afternoon rush hour traffic , toll tip include . Hotel conveniently locate behind side entrance new multi - level APM mall face pedestrian - only Wangfujung shopping street abundance shop restaurant . Starbucks Ole supermarket locate basement APM mall . hotel neighbor include Pennisula , Regent Legendale look like belong center Paris . also within easy walk distance wangfuje subway station Forbidden City another 10 minute walk away . along way Chang East Road , discover modern exquisitely maintain chinese garden tuck behind street wall stretch two block Forbidden City direction . perfect spot photo escape busy road traffic . nice touch room include power - draw curtain , bright lead night light toilet stall , powerful dual shower head swivel rainfall jet ceiling . stall separate behind smoke glass door . also stand alone soak tub indulge watch show small LCD tv integrate behind bathroom wall , complete remore control ! breakfast buffet - style begin 6:30am stylish well - light Vascos restaurant lot standard East / West selection . favorite freshly cut fruit , chill juice , flaky chocolate croissant . oh , mention cook - to - order omlette station . 210rmb inclusive 15 % service charge per person . well opt prepay B & amp ; b rate time booking . hotel staff helpful courteous time . speak English well enough understand carry wish . can not wait return Macau Center complete . forgive minor room workmanship flaw , fine choice Beijing stay . 
 Mar 29 2009 	 great service food 	 new hotel great room . staff ready help hour business centre helpful . would nice free interent room free lobby business floor . nice fresh flower lobby helpfull conceiarge . 
 Mar 23 2009 	 impressive great location 100 % yet 	 wife first trip Beijing China , follow little research decide stay new Hilton Beijing Wangfujing . speed immigration customs huge , new Beijing airport catch taxi official taxi stand front airport . journey take 40 minute moderate midweek , mid - afternoon traffic cost 100rmb ( @ 11 GBP/14USD ) include 10rmb toll . already pre - printed note Mandarin English , thank FlyerTalk colleague , say ' please take Hilton Wangfujing , address … .. etc ' driver problem find hotel . would like copy note , please feel free pm . Hilton wangfuje open since last summer ' soft opening ' phase , generally mean hotel not fully open business ; perhaps room not furnish , restaurant not open , pool yet build . case , build ready staff need train . return often benefit low price few visitor particularly off - season , Beijing March visit . believe official launch plan late July 2009 . book read number review complain construction noise , particularly night / early hour , give stay unusually long 11 night email General Manager . apologetic assured address night work stop , construction hotel nearby go day . as draw , fear bad . low floor surround construction hoarding , lot work , dust noise go Hilton well two large construction project two side – one new hospital . seem early day several month go . believe Hilton building shopping Mall ( ' Macau Centre ' ) ground floor , whilst additional work do ( office ? ) floor 2 , 3 4 . entrance back hotel side road , probably confuse taxi driver , however ' blame Hilton find taxi driver generally useless finding place ! draw greet ever - cheerful doorman / concierge , Henry , enter lobby fear soon melt away . first impression strike , hotel large lobby high ceiling , polished stone wall floor odd carpet central decorative fireplace . leave reception concierge desk , whilst right large waiting / meeting area plush sofas table , well café / patisserie adjoining lounge room call ' Library ' ; although really business meeting place IMHO . queue , one might expect mid afternoon season , greet warmly charming Asst Front Office Manager , Eden , also personally show we room . Hilton Honors Gold member ( probably also quiet ) upgrade one new Deluxe Plus room , welcome surprise . also give Exec lounge access , although believe breakfast manager cocktail hour access come room standard ; ' need check first . exit lift 8th floor , plushness lobby continue thick carpet wood panel – continue colour scheme lobby ( also room ) beige , black , dark brown , smoke glass mix light dark wood . however , good surprise enter room – stunning . ' stay top hotel across World first impression one jaw - dropping . wow . first huge ( 62sqm ) - oppose normal exec room 50sqm ) - desk / work area LCD TV , sofa ( though might double kid bed second thought much doubt ) table area , vast ( comfortable ) bed , walk wardrobe , walk bath / shower room , separate WC open plan double wash basin area . however , worth note panel draw across area privacy main bedroom . without doubt good Hilton room ' stay mile much large so - call ' suite ' ' past . actual suite hotel must monstrous . thank manager set explore room – ! apart sheer size , exceptional cleanliness modern design , little touch notice first . varied lighting , accessible panel either side bed , range light , select reading light , mood light even night light show way bathroom / door night without disturb partner ( , , whack leg one table … ouch ! ) . additionally , curtain semi - transparent blind draw across window , , controllable electronically bedside panel . like kid fun play 5 minute . front bed large 42 in LCD screen mainly local chinese channel also handful english language one : HBO , AXN , CNN , BBC News , Discovery National Geographic . say though programming pretty substandard would nice hotel invest other . however , additionally , dvd attach large library film could select concierge , watch one cheap one pick town . notably , HDMI lead also one use , , connect HD camcorder screen watch day ' home movie . ' HDMI also three phono cable connection ( video , sound L / R ) could use . apparently , could also connect digital stills camera via usb ' work life we frustratingly instruction Mandarin . hotel could make simple would nice quite complicated sort . ' office ' also plug panel various A / v plug connection break one front panel even come power plug little concern . minor teething point ' comment later . point ' also mention , last time ' glad read , huge comfy bed ( complete little Hilton Wangfujing teddy bear sit pillow – nice touch ) .The bathroom also impressive , include deep , free standing roll - top bath – complete squeaky plastic duck ( nice ! ) mini LCD screen ( although ' work show Hilton promo channel sound ) , dual head massage shower ' rainfall ' shower . three encase polished stone smoke glass wet room . simply heaven . by front door walk wardrobe / closet usual electronic safe , several large drawer show stand . handful hanger , would say hang area rather small long stay quickly run space coat , shirt , press trouser jacket . another modern touch ' please disturb ' ' please make room ' notice electronic light switch door frame , well usual plastic coat door hanger . so rest hotel ? rave room , perhaps time get big disappointment way ; pool / spa 6th floor . aware pool would open March , ' open yet long stay , perhaps long one city , really really would welcome break sightseeing use pool , however even time leave still close , fully finish await license . talk staff , seem unlikely get March hopeful April one feeling resign staff seem ongoing saga . would double check status go pool important . however , take sneak peek attendant really stick knife look truly fantastic . large pool similarly size enclose space light floor ceiling window side , surround lounger deep , red cushion even cabana two . could dive . ' sure key feature finally opens….ho hum . next pool area surprisingly small gym use twice , standard Hilton Precor equipment , 3 - 4 running machine , couple rower , free weight couple bike stepper . bottled water towel room , music could find , take iPod . gym open 24 hour . executive lounge : lounge locate 16th ( top ) floor hotel one strong feature . large lounge ' , decorate much way rest hotel , handful sofas table , well standard dining table chair . lounge staff friendly service excellent , little attentive time . lot trainee learn job . free WiFi also internet computer corner . breakfast lounge superb hugely varied , include standard Hilton cook western breakfast , cereal , juice , fruit pastry , also lot asian food , cold meat , cheese , cake even full honeycomb . something everyone . chef hand whip egg however like require . day , refreshment limited tea , coffee soft drink , variety small sweet savoury snack available mid afternoon . evening , unusually bar , manager ' cocktail hour ' run 18:30 20:00 . time alcoholic drink available , although large selection snack choose , include freshly cook chilli king prawn Thursday night . fantastic want try truly delicious local flavour , although mainly seafood base . ' shame time drink available prefer go eat early evening , indulge relax night cap later evening return , without go formal main bar delve hugely expensive mini - bar – hotel still bother ? executive lounge window three side good view , peak neighbouring building smog lift , sprawl Beijing ; include little corner Tiananmen Square building Forbidden City . nice , give neighbouring building , great possibly hope . 16th floor also home executive room suite , although small deluxe plus room . interest , book floor might like room 1616 right next lounge kitchen , neighbour 1615 1614 open lounge entrance lift . however , stay well tell noise , footfall privacy . restaurant / bar : hotel two restaurant one bar fifth floor , also share conference / business facility room . one restaurant , ' Chyna ' ( chinese menu ) , bar ' Flames ' open , although menu Penta second restaurant ( portuguese / chinese fusion ) available Chyna . restaurant large beautifully design , continue excellent service one would expect . surprisingly week day night season quite customer Chyna , eat two three time . say try chinese menu food delicious , highly recommend try . price - wise meal two wine come 400 - 700 rmb ( @ 50 - 80 GBP ) think pretty reasonable home standard , although dine Beijing cheap generally perhaps little pricey locally ; ' mind really ' feel hotel restaurant . couple niggle though . bill include non - optional 15 % service charge , ' mind service good , tell staff go tip , part restaurant profit ; therefore line receipt tip well . true , think bad practice part restaurant something stamp publicly UK . second point perhaps cultural , smoking bar restaurant still common practice . seat next table six businessman one evening puff away like chimney whole evening ask move straight away . smoke bother , restaurant large enough ask non - smoking area . perhaps could consider set formal non - smoking area aside get busy future ? ' try bar , Flames , always look empty typical ' lost translation ' type lounge act croon away quite frankly look over- ' designer ' .then , suspect bar ' aim resident – least typical solo businessman traveller . one get feeling would like trendy local bar attract trendy , well heeled young Beijing crowd , similar Sanderson Met bar London W other NYC . already , see local business networking night pencil April etc . however , really ' know achieve . bar mention directly accessible street ground level , whereas hide away hotel ' fifth floor . happy prove wrong ' sure ' push heavily , alienate guest doorstep meantime . course , may ' get old ! location : tourist location ' well . locate behind APM mall Wangfujing Street , hotel centre town tourist shopping district infamous night market variety scorpion , sea horse , centipede creature stick ready eat – ' brave . see young french couple try fry scorpion , heck french move ' either shag eat . within 10 minute walk also Tiananmen Square Forbidden City , Bihai Park Coal Hill slightly long walk fancy . however , cab cheap Beijing , journey central town hotel 10 30 rmb , whilst long journey like Summer Palace Olympic Park 60 - 80 rmb depend traffic . make sure use proper taxi meter possible take taxi card destination ( hotel ) write Mandarin – driver speak English . ' also advise map English Mandarin street name case . concierge provide map taxi card , alternatively download good program iPod Touch iPhone main location , speak phrase book much well . business district 15 - 20 minute cab depend traffic . shopping , plenty mall within 5 min walk hotel range tourist tat Gucci store high end shop . however , aware find price much high , perhaps 25 - 50 % + high UK US stuff , clothe electronic . cheap good , fake designer gear antique , head infamous Silk market , Pearl Market weekend antique market Panjiayuan . within 10 - 15 minute 10 - 20 rmb taxi hotel . alternatively , two Metro station within walk distance second week use great effect . journey 2 rmb wherever want go , clean , easy get around sign English well . highly recommend . aware though push without wait common get use . likewise , drive like maniac careful crossing road , car stop pedestrian – even designate crossing , follow crowd possible – safety number ! , conclusion . like Hilton chain tend standard across World , know ' go get – albeit little bland time – fairly well price . importantly travel many different country ubiquitous , nice building award point . rarely think luxury , fact ' . Hilton wangfuje first Hilton brand hotel ( oppose Waldorf , Conrad etc ) stay think , ' wow ' , something special . quite upscale class elegance say Peninsula Ritz - Carlton , least yet , instead boutique , Malmaison type feel . ' feel like average business hotel tourist hotel , depend point view mean either fall crack , appeal market equally . give location price remain reasonable , ' struggle see would want stay either Hiltons city would certainly high list amongst 4 5 star hotel . service excellent , example , first wedding anniversary unexpectedly come back evening find bed turn rose petal scatter bed bath , incense oil candle , beautiful anniversary cake card manager . simply perfect first class service . thank . without fault , fair , could expect soft opening phase system wrinkle test iron . lack pool main regret , would great give long stay . however , although small detail make hotel also one let . service charge restaurant , air con room ' work , broken plug , tv ' work poor finish workmanship room – cupboard ' close , light ' go glue mark across glass panel , join wall . nothing bother slight , guess ' like take delivery new Mercedes find small scratch door stitch loose seat . doubt get sort come month give generous upgrade ' quibble . equally , construction noise night , certainly day 0830 - 1700 , hotel outside . problem meeting , sight - see shopping , want take day , catch jet lag etc pain . course less problem future . because hotel yet finish ' give 4/5 rather full mark – hey , work towards something ! ? however , minor negative hopefully constructive comment excellent hotel visit Beijing , particularly hh member . love hotel ; would happily stay would definitely recommend other . thank great stay . 
 Jan 20 2009 	 Comfortable Great Location 	 stay Hilton Beijing wangfuje 3 day hhonors reward stay . hotel refurbish . upgrade 16th Executive Floor . Amenities Executive Lounge great . room comfortable . New Spa pool open 2 week tour faciltie first class . hotel adjacent walk street 15 minute walk Tianimen Square Forbidden City . hotel restaurant upscale pricey . lots construction area Beijng really . construction noise unreasonable . taxi driver trouble find hotel even address write Chinese . suggest carry map location Taxi driver addition chinese address . 
 Jan 13 2009 	 ready prime time 	 Hilton wangfuje brand new , still work kink , eventually excellent hotel . meantime , prepare part staff training , form function now . as HH Gold , upgrade executive floor ( 16 ) , room impressive walk - in dressing area , free - stand tub . prepare , modern layout , ( nearly hidden ) slide wall bed sink / tub area . toilet shower separate smoke - glass stall , would not want share room someone not know well . executive lounge well - appoint roomy , impressive array food breakfast evening . the on - site chinese - theme restaurant typically ( Hilton ) pricey , food good ( although overly fussy presentation ) . note add 15 % service charge * * check , additional line tip . service restaurant excellent , indeed staff stay attentive eager help , although may partially due low occupancy far . your cab driver will not know hotel 's new , address non - chinese character will not good . prepared direction chinese character , provide phone number driver start trip call get direction staff . arrive airport 11 pm , meter fare 160y ( around $ 20 ) , slightly since driver insist take nearby Crown Plaza seem puzzled would not get . landmark , well - know Taiwan Hotel across street back Hilton . although Hilton excellent location ( walk distance major site pedestrial mall ) , entrance small back street face construction site , may add confusion finding initially . and bring we big caveat hotel - adjoining construction site . reason , bulk work go 11PM wee hour morning , heavy equipment loud , cause entire room vibrate . finally give second sleepless night ask move across hall 3 am , front desk quickly . can not stress enough : ask room away construction . obviously management aware midnight construction , ' m upset not mention check . expect go time ; early January ' 09 , still move pile dirt around , be long way go . there be also construction still go * inside * hotel , although thankfully limited business hour weekin summary , eventually excellent hotel , be still work bug . get good rate , would stay , could assure room non - construction side building . 
 Jan 11 2009 	 well locate hotel Beijing ! ! 	 second time visit Beijing lot change since last time visit . many hotel newly build since decide stay brand new Hilton Beijing Wangfujing time ( mainly due location ) . hotel locate heart downtown Beijing - Wangfujing love easy access no - car , shopping district . two small child pram , be always helpful road well pave streest safe car bicycle . breakfast , take stroll around wangfuje area really interesting kid well since huge toy store around corner well many shopping mall . grateful Wangfujing still maintain many old form house shop - take many lovely photo . stay Executive Floor pleasure enjoy Executive Lounge benefit , service really good . everytime staff see kid friendly child - friendly amenity . old one busy play Wii ' ve borrow reception dad take dip newly open indoor swimming pool . thank well equip hotel good location , hassle free holiday big city ! 
 Dec 5 2008 	 Nice Place Thin Veneer 	 stay new property 16 - 20 November . upon arrival , notice still work property pool amenity ready . room cavernous nicely appoint . two connect room overlook city reach around view Forbidden City . upon close inspection room , one quickly notice haste place construct . the seperate shower ( quite nice rain tile ceiling ) leak profusely adjacent comode area shower . wood panel wall slap together wood - color putty use fill finish gap clearly stand . alcove future fish tank expose wire show . additionally , headboard console contain light properly secure wall one could simply pull see expose wiring . none real annoyance understand property 's willingness open Olympics . my big complaint temperature room . roast hot time . even window open , help . thermostat not thing . even engineering come assist , could not get temperature either . rest hotel perfect regard temperature . oh well . bell staff excellent , concierge English good , other great . location great adjacent new ABM mall along wangfuje pedestrian road Night Food Market - must see whole family . the Lounge excellent great breakfast morning include american speciality include egg make order . staff helpful get coffee tea sometimes take long . once iron quality issue room , place top notch . 
 Oct 7 2008 	 FABULOUS ! ! ! ! ! 	 Perfect Location .. close everything .. hotel brand new open olympic july room Z N G ! ! ! ! ! ! ! ! ! ! ! ! ! ! room really modern elegant boutique hotel style ! ! ! ! LOCATION perfect .. 2 min walk wangfuje ( perfect shopping location ) couple minute walk Tiananmen Square .. 2 restaurant exquisite ! ! ! service also nice . one restaurant call VASCO 's really recommand try unique cuisine , portuguese spanish style Macao ... restaurant elegant decor fabulous ! ! ! ! ! ! really love drink bar . view stunning .. see Forbiden city night .. romantic ... hotel quiet .. big size really feel like really cozy place .. we ve travel lot Asia really recommend HOTEL .. 
 Aug 31 2008 	 Great Hotel excellent service 	 Attentive service , collect airport hotel car , escort plane , treat like royalty , hotel opne four week 125 room ready occupation , 20 room occupy hence practically staff everywhere , could fault service . great central location , 10 min walk forbidden city Tiannamen Square , load shop nearby . Beijing expensive ( London ) thing 
 Aug 31 2008 	 ? ? ? ? ? ? ? ? ? . Hilton Beijing Wangfujing 
 Nov 18 2009 	 Beijing 
 Oct 8 2009 	 chambre à couper le souffle ! 
 Sep 25 2009 	 Impossibile chiedere di meglio 
 Aug 22 2009 	 Excellent 
 Aug 12 2009 	 EXCELLENT 
 Mar 23 2009 	 ? ? ? ? ? ? ? ? ? ? 
