trendy 	 hotel well romantic getaway type deal . would give 4 star loud crack noise heating system . regular rate $ 200 + petite , overprice unless get upgrade queen large . sleek , dark , masculine , modern / trendy style 's . be classic , warmth , coziness , try something else . excellent location . get special deal hotels.com last minute . upgrade queen room terrace , awesome , probably worth money ( ~ $ 160 ) . also let check 2 hour early . look dark , masculine , romantic . television behind mirror , nice entertainment system . nice bath product , sexy bathroom set ( dark wall , mirror wall , etc . ) would suit people 's taste , 's modern & quot ; cold & quot ; . staff helpful , friendly . loud crack / drilling noise tell due heating generator . turn heat get rid noise . order room service breakfast neither generous tasty . give cookie , nice . overall , would say good young , trendy set 's look weekend away together . like bathroom . would pay $ 200 stay - price , could find something nice . 
 Jan 9 2007 	 nice room . weak service . 	 stay City Club Hotel four night vacation long weekend . experience traveller , around world business pleasure stay variety accomodation ( 3rd stay NYC ) . purpose trip vacation , hotel 's location ideal , although 44th 5/6th prove mighty busy intersection . fyi - street front hotel marshalling area parade 5th ave . the check - in hotel uneventful efficient , . check 2nd floor , 202 , face street ( later ) . stair inconveniently locate rather creepy , use elevator ( problem ) .The king room large , clean , really nice general , really huge plasma tv wall ( mirror - setup review complain ) . really comfortable room . king mattress sub - par compare similar class hotel stay . specifically , mattress feel old , bedding distinct , albeit faint , odour curry ( nice dinner - plate , nice bed ) . bathroom perfect , except door would close . scuff floor evidence new problem , indicative poor maintanence budget hotel ( simply lack caring ) ? shower curtain clear plastic , like view wall - sized mirror shower . positive feature - free wireless internet ( speed good ' ve see hotel ) , housekeep excellent . overall noise level night indeed quite high . street noise beyond tolerable level Thursday night , window / wall little soundproofing capability . live busy city street , quite accostomed sleep siren , car honking , etc . , quite bad . everything Friday morning garbage pick - up , taxi honking . visitor midwest suburb would probably remain sleepless . city dweller would care much . the desk staff useless ( confused helpful doorman ) . keep mind high expectation hotel level . plain simple skillset display par either room price , claim put forth hotel , previous review website ( fake ? ) . first test : call day arrival make simple request flower room arrival cost add bill . & quot ; Jonathan & quot ; assure piece cake , would take care . strike one - flower , apology , nothing . next , attempt procure advice desk nightlife option . wow , look like ask direction Mars . lame , unprepared standard service request throughout stay . strike two three . bottom line - hotel desperately need concierge . retrain exisite staff . I think 's pretend full service hotel . ' ve make money , be worth effort maintain , people like keep show give money . check - out , staff even ask we comment , be clear interested pleasing customer . say , room great location terrific . willing pay money get zero staff , maybe business traveller , might give 5 star rating . 
 Jan 2 2007 	 New Years remember 	 partner eager spend New Year 's Eve New York , ( reluctantly ) agree . could picture crowd , noise tacky & quot ; 2007 & quot ; sunglass . make reservation week prior get reasonable rate . hotel close Times Square , decide brave drive . surprisingly enough recieve phone call employee City Club two day prior arrival inform we street closure around Times Square . pleasant , suggest drive leave early- something would expect NYC & quot ; boutique & quot ; hotel . even offer direction New Jersey train decide take car ! must admit , nice gesture . arrive City Club greet bellman curb . check quick staff offer assistance dinner reservation suggestion go around town . already make reservation , decline assistance . know upstairs room- wonderfully appoint , clean , comfortable size . water pressure shower amazing- bed comfortable service impressive . feel like part family right away ! though dinner reservation good choice we ( maybe ' ve take offer help check - in ) stay City Club great ! ' ve already recommend friend stay . good part not even feel like near Times Square ! 
 Dec 26 2006 	 Remarakable Hotel 	 ( newly ) fiancé return 3 night stay City Club Hotel . book one Grand Duplex Suites , opinion understatement . room beyond word . the hotel locate north - side 44th St. 5th 6th Ave . also sandwich Algonquin Iroquois Hotels , across & quot ; famous & quot ; Royalton . doorman Ray show we room give we brief overview everything work room . walk perfectly dim room smooth jazz Christmas carol play throughout suite . spiral staircase bedroom instantly grab eye . look beyond see giant floor ceiling window door lead private terrace overlook 44th st . leave toward 5th ave , right Times Square , literally 1.5 block 2 - 5 minute walk . get do talking sight , sound , smell city run upstairs check bedroom bathroom . bedroom partition glass rail allow look outside well downstairs . bed extremely comfortable , especially exhausting day walk city . bath lot charm well . not think would like chocolate marble , pleasantly surprised saw person . really bring elegant look bath . shower not wide , could comfortably fit two . there also automate privacy shade cover entire length floor ceiling window . they offer breakfast room service available dine - in db Bistro Moderne $ 13.95 . never get chance check great place door , toward 6th Ave Times Square , call Red Flame , great food , service price ! look place unwind drink sure check O'Lunney 's . 's 45th St. 6th & amp ; 7th Ave . Paul bartender funny keep toe . one night go bar Royalton expect , hipster bar , hipster price . O'Lunney 's 2 1 money compare Royalton . overall , experience City Club amazing . entire staff amazing extremely helpful . my complaint downstair tv not work initially . call front desk immediately send someone fix . find remote not work miss battery , however bellman come battery , remote still not work . bellman must leave come back 3 - 4 time try fix remote finally get frustrated giving . ultimately never get fix , ok would rather enjoy listen soft jazz tv . 
 Dec 20 2006 	 Best Kept secret 	 end Honeymoon take we Grand Cayman Island Miami , wife check City Club . good describe hotel , will describe 's neighbor . across street Royalton , Ian Schreggar property consistent quazi - club feeling lobby , complete ample seating , hip crowd , drink service . door , Sofitel guardian epi - european inspire lodging experience . can not envision feel City Club , make note block also include Harvard Club , Yacht Club , New York Bar Association , Princeton Club . ok .... be get . priveledge little street NY , be requisite understatement . City Club amazingly take account ' . 's non - descript signage ( visit friend could not find walk past entrance twice ) cozy loby front desk accomodate one , always seem hold three - ready accomodate staffer , give feel private place . yet , not think heavy wooden beam shelve , superflous cabinetry . rather design City Club neat , soft , airy . seem cool feel Royalton , space . soon become evident design . book room directly company site , indicate honeymoon . give wonderful room overlook 44th St. easily lodge space ' ve ever experience Manhattan . design efficent actually modern , transitional . cool guy feature include Ipod Docking alarm clock , television show wall mirror , ultimate answer in - room entertainment , complimentary list DVD 's deliver front desk . courtesy bottle wine cookie await we room . quickly feel torn explore city soak unique experience . decide go walk - about , second reason stay . cool thing step ahead . take drink Royalton confirm suspcicion great place cocktail , probably place lie head . attempt hang Sofitel , place seem oover run family , fuddy duddie . course neither group bad except be look kick NY round honeymoon . ok back City Club .... decide go reqroup . see favorite bellman . breif aside explain . drive NY DC White Yukon Denali . upon arrive Hotel , wife remain truck get attention bellman , explain checking , need help baggage , inquire valet parking . however , request seem slight disconnect . ask luggage need collect , informed could park front door . know ny craziest thing ever suggest . show disembarking wife room , manage bag , another staffer say nothing parking street , direct garage , even hold traffic could make manuever . arrive room , wife laugh tear eye . apparently , odd interaction bellman think celebrity driver . apparently , yukon fleet chic , black outfit appear uniform stylish , wait truck sunglasse fur coat communicate something different someone obviously get use different clientle . get big kick , share laugh staff new find celebrity rest visit . achille heel place room service appear come diner door street . winter almost gurantee food pipe hot . although , since adiner seem almost request satisfied . know not traditional hotel review , towel , high speed internet , be traditonal hotel . 's place serve base operation hang city , return quiet , comfortable , upscale environment recharge battery . cheer 
 Dec 2 2006 	 great stay City Club 	 go overnight trip New York know would spend much time room . , look nice , stylish hotel good location good price . manage snag $ 200 rate Quikbook & quot ; petite & quot ; room perfect need . room small - much big double bed - expect . beautifully appoint stylishly decorate . tv , dvd player , mini - bar tuck away . marble - clothe bathroom nice plenty towel Hermes product . even couple fresh chocolate chip cookie end day . NY Times door morning . room might tight 2 people would small staying day . large room nice - look one go hallway . complaint tile hallway echo footstep go door . 's big deal , carpeting would deaden noise . reception doorman friendly helpful . lobby small connect well - rate DB Moderne restaurant , meal take . ' m pretty tough critic hotel , would stayat City Club . 
 Nov 19 2006 	 really disappointing hotel 	 stay three night glad three ! place dark dingy - herme bath product frette linen see . wait hour room arrival really nowhere comfortable sit find twin bed really nothing sort ouf situation end tiny room , despite say would something next day , nothing happen . last morning , hot water go wrong wait hour shower . absolutely terrible . good thing location . 
 Nov 19 2006 	 Booking problem poor staff train City Club 	 problem start early book City Club . wife try book online stay two night Queen Luxe . call book rate available website , tell rate available booking via internet otherwise hundred dollar total . request , visit website make reservation . however surprise , website secure ( read encrypt ) credit card number go open internet . call hotel tell not encryption website ( see padlock bottom browser window ) . ask reservationist take booking telephone , refuse give low rate . 
 Oct 24 2006 	 Loved ! ! 	 recently stay City Club four night . wonderful stay ! upgrade King find room clean comfortable . loved dark color , privacy , cookie pillow every night ! staff curteous . location midtown perfect theatre , proximity Times Square , easy access subway part town . would absolutely stay anytime ! 
 Aug 21 2006 	 Problem Booking Online 	 book stay City Club mid - July 2006 . book reservation hotel 's website think book queen - sized room . arrive , despite email confirmation receive , hotel inform we available room petite room , full bed room would better janitor 's closet small . although bathroom lovely , husband barely fit room together . tv flat screen , rather 19 inch regular old tv . disappointment . tell hotel 's computerized booking system err result we book wrong room . credit , hotel manager try find we room another nearby hotel , apparently sell well . manager discount rate , give we bottle wine free breakfast two morning stay . reason would stay manager keep email contact ( preferred email -- offer call instead ) regard room quite helpful . room , however , small bed uncomfortable , next time , rather take chance type error happen , would probably stay sort big hotel trying avoid first place . 
 Jul 17 2006 	 stylish Little Gem 	 be look stylish small hotel , Armani Versace person , look . husband good fortune stay amazing hotel around world - country house , trendy boutique , spot large hotel like Mandarin Oriental Four Seasons . style City Club low key say compliment . small , unassuming hotel , offer excellent service perfect place rest head chic comfort . location wise fairly quiet street perfect Midtown , 5th Avenue , Central Park Times Square - venturing never minute wait hail cab . make service stand apart many trendy hotel feel personal ....... return long , hot day ( many late evening ! ) explore ever change city , feel unusual uplifting recognise acknowledge guest hotel day enquire staff . guy City Club spot .... happy start , welcoming , courteous , extremely willing offer suggestion recommendation . downside write review mean holiday ' m back ol ' blightly .... could quite easily take residence . 
 Jul 4 2006 	 Nice Small Package 	 enjoy stay City Club Hotel last visit . however , find room small , air condition rather noisy could bright lighting . word reminder planning make reservation ensure print confirmation description room . promise room day bed upon arrival , assign room without say day bed . upon enter , immediately notice noisy air con missing day bed . receptionist kind enough reassign another room accord description confirmation raise concern . new room obviously big ( still small ) aircon little quiter ( still silent type would expect hotel grade ) .Aside Hermes amenity , bath room surprisingly spacious . 
 Jun 20 2006 	 highly Recommend City Club 	 fiance return 3 night stay City Club Hotel . unique alternative mainstream name - brand hotel . quaint , modern decor , although room bit small , really provides need . look quiet , comfortable place lie head night , great place . bed comfortable . 2nd floor provide comfortable , quiet space spread ... internet access . location one good . block two 5th Avenue high end shopping , short cab ride south Greenwich Village area . really central location , remove craziness Times Square . be actually quiet street . staff friendly accomadating provide information go . be small enough actually recognize day greet warm smile upon enter retire night . really nice , something not get large hotel group . continental breakfast provide every morning , also sufficient . would definitely return future . 
 May 31 2006 	 Noisy Design ; Lousy Front Desk Staff 	 check room immediately question whether room one reserve ( pay ) . show bellman ( nice ) print reservation convince wrong room . put another room another guest try enter room little later front desk assign room . the toilet work arrive . remove top reconnecte , make work , although flusher pretty much hang thread whole time . ( not tell desk check since already rigamarole beginning . ) suppose 3 free breakfast 3 room night not tell anything upon check - in . ask front desk clerk later check , realize correct . say would try convince restaurant host charge room breakfast not use charge room . despite try convince restaurant staff put breakfast bill , , work front desk staff check . oh , also , not even breakfast available third morning kitchen close . mention front - desk staff upon check absolutely nothing remedy situation aside remove two breakfast bill . ( not even refund lose breakfast . ) lastly , hotel fundamental design problem term noise mitigation . hotel dormitory - like term way sound carry . due fact carpet anywhere ( sound - abatement tool ) , also door slam loudly . may apply suite room probably set back hall , ( small ) room , bed far loud hallway , anything , deep sleeper , hear late night folk hall return room . in short , trendy design friendly bellman could make otherwise poor experience , front desk seem concerned . 
 May 27 2006 	 never 	 find Boutique Hotels one make wonder forget bh future .... 305 usd get room size ... bed , staff look come different planet complain , nothing say . tough luck Boutique Hotel open suitcase space , work desk . do help much give good name Boutique Hotels , industry standard everybody abuse name . next time Hotel one never 
 Apr 21 2006 	 great one week stay hotel ! 	 spend 7 night last Easter family . family suite consist queen king room end corridor connect door close allow room gain spacious foyer . stay excellent , staff reception door young helpful attentive . we find room decent size family 5 adult , nicely appoint well think detail . double bed room well daybe ( one king bedroom bit tight use one queen room ) ; make everyday , oppose someone say previous post . location 44th 5th 6th , right opposite Royalton ' beat . I strongly recommend would definetly return book similar rate . 
 Mar 14 2006 	 Sophisticated Classy Little Hotel tuck away 	 stay boutique hotel perfect start finish . sleek , cozy room . spacious marble bathroom oversized glass shower beautifully appoint . everything look squeaky clean fresh . bed comfy , staff gracious attentive . though tuck away quiet street , short walk theatre district , convenient travel city . window room even open ! five star restaurant in - house surprise bonus . 
 Mar 12 2006 	 great place stay middle everything ! 	 five ( 40 something ) adult stay family suite one night . queen daybe one room king daybe room . room nice shower combo bath / shower . one bathroom large shower bidet bathroom . nice decor . bed extremely comfortable featherbed topper . guest robe provide , full size hair dryer , Hermes toiletry even little jar cotton ball cotton swabs . 2 room become suite opening room door close common door hallway . room small . walk room around bed , be go New York hang room day . staff extremely attentive respond immediately request . get great price , $ 399 , express - res . room clean good shape . nice sound system room dvd player complementary movie . tv kind odd , place behind mirror . glare light room still pretty viewable . overall satisfied would definitely stay ! 
 Mar 4 2006 	 tiny lovely jewel amazing service 	 usually stay high midtown due crazy price NY day , book City Club Hotel $ 255 / night quikbook . price point good value get consider available rate hotel . remarkably good point service . bell- doormen young - ish man ( much groomed pluck Calvin Klein ad type attitude find , say , Mondrian LA , Gap - ad type -- none immaturity ) floor amazed professional helpful . make people young professional ? ? would really like know . grab cab pre - loaded luggage cab without ask assistance . energetic & quot ; hop - to - it , & quot ; unusual quality city profession 's easy present exhaust weary demeanor . front desk also run professional gentleman . check night staff present Internet password automatically . of course , start good experience , upgrade large king room queen deluxe . would pay $ 250 $ 300 room type , probably $ 300 . Hermes amenity delectable really set City Club apart hotel . first little put thick plastic sheet serve show curtain , subsequently realize functional -- really serve keep steam tub area create lovely little sauna effect . think extremely well - consider design . bathroom king room quite large . free internet lovely . think projection tv behind 2 way mirror also thoughtfully design space save touch ( although could not get thing work gracious bellman Paul demo would ) . true fake cork stick - um tile bit put closet miniature , even king room . elevator smell positively rank / dank . $ 250- $ 300 / night size room , lovely experience would definitely return . 
 Mar 3 2006 	 tiny hotel room ' ve ever see ... seriously 	 small hotel room ' ve ever see U.S . stay business last fall not really impressed price . the upside in - room snack - Dean & amp ; Deluca . 
 Feb 9 2006 	 Mediorcre good 	 quality room size well price . 
 Feb 3 2006 	 pretty good ! 	 ( 3 people ) stay one duplex suite . suite gorgeous .... 2 floor , living room 1/2 bath downstair , bedroom / loft great big full bathroom 2nd floor . problem : temperature control . low level duplex , temperature fine , be thermostat . upstairs , though , swelter hot , like sauna , even though balcony window open 40 degree outside air blow . upstairs not temperature control , bathroom bedroom unbearably hot . $ 1000 night ( tax , etc . ) , would like least temperature room bearable . minibar well stock , toiletry nice , temperature control not . , bit loud , complaint neighboring room .... , could hear not complain . wall bite thin ( , least , thick enough ... would think would well sound proof ) . room service adequate , though over - price . staff friendly helpful . not think would stay . price , would rather get two big room across street royalton . 
 Jan 4 2006 	 BAD ... bit overrate 	 return three night City Club . find difficult believe hotel rank # 74 tripadvisor.com 300 hotel Manhattan . guess City Club mole site voting hotel . the bathroom good size wall wall brown marble . Hermes bath product cheap grade find Marriott Courtyards . shower large enough small orgy level bathroom floor water spillage outside shower room . there touch throughout hotel evoke boutique trendy feel , however do cheap . overall , feel like old building dimestore makeover . laminated cork floor show wear four year , chip paint , peal wallpaper , dim lighting hide flaw . mattress feel old cover nice featherbe decent linen . staff good provide restaurant nightlife recommendation go way . Midtown location good W. 44th street 5th 6th Aves . ' m expert NYC hotel $ 350+/night hotel outside New Years good value Regency SOHO Grand available $ 30- $ 50 per night . 
 Dec 30 2005 	 Terrible Service ! ! ! 	 back 4 day City Club . first , must admit terribly fussy , may wish consider read review . travel extensively New York several time . love feel small property realize amenity extensive large property i.e . swimming pool , spa , etc . have king room bath . nice decor , daybe really nice touch . room cozy , typical New York . great deal room maneuver , suppose product king size bed . storage minimum , come play winter clothing . room nicely equip ; •dvd / cd player , •IPOD audio system ( least room ) , •large bathroom . would give & quot ; Television cleverly hide behind mirror & quot ; miss possible glare lamp make view virtually impossible . like note review , common area room look little worn ; •cork floor big gouge drop item , •tile peel ceiling elevator , •wall paper peel wall minor irritation well , diminish overall look feel property . however , real problem service . Staff seem far interested pose rather real service . upon check , one greet we , bellman find . Taxi driver help luggage rain . front desk really could not bother explain feature property . limited knowledge restaurant city , always seem person speak & quot ; ask someone else & quot ; information . good , final day try flag taxi , extremely difficult rain . finally doorman hotel next door grab umbrella help we , bellman ( real doorman City Club ) stand inside watch whole thing ! guess not feel need get ultra cool City Club toque wet . overall hotel okay ; great location , restaurant , DB Bistro Moderne excellent . generally speak usually set small property apart personalize service , not . make glaringly obvious essentially 4 hotel right next door . next time , will give Sofitel try ! 
 Dec 19 2005 	 great find 	 stay girlfriend Dec 15 - 18 excellent little hotel . stumble onto hotel review option well hotel think . apparently every hotel New York raise nightly price not pay 500 plus night Drake normally stay 200 reigion . go often stay wanted stay close meat packing district ( MPD ) . not mind pay top dollar good hotel New York not hotel staying odd high pricing not equal high quality . hotel happen appear search hotel West Village / MPD ' m glad . 's locate thearter district Time square Fifth Ave . , not get heavy pedestrian traffic either . prior reivews money . hotel clean , staff friendly room comfortable . Luxe Queen great 295 / night . inconvinience closet space work around . restaurant stair DB excellent pallet . will would stay since always eat handout village / tribeca / MPD area , inclined stay close hotel like Maritime . good time , good time . 
 Dec 19 2005 	 Real Dump 	 hotel bill timelessly elegant boutique hotel . reality , poorly - care badly maintain property . negative : - hotel & quot ; cheap & quot ; feel it.- ridiculously small room , even New York standards.- Dirty , stain carpeting.- Lumpy bed feel 20 year old.- & quot ; Cork & quot ; wall floor , actually rubber stick - on & quot ; tile & quot ; -- buy hime depot $ 1.99 . see tile peel room elsewhere hotel.- view room basically alley / brick wall.- central a / c . Lousey , noisey window unit hang dirty alley . - Halls dark unfinished area cover black hanging cloth ... try evoke tendy look , actually look like would see high school gym Halloween carnival.- Price- $ 450 + per night . outrageous crappy little hotel , small dank rooms.- stand bed get & quot ; closet & quot ; .POSITIVES : ( many ) - decent bathroom good Hermes toiletries.- Location- Free internet access.- good on - site restaurant . 
 Nov 21 2005 	 early check - late check 	 Fantastic , Loved hotel . inclined stay Greenwich , Soho etc New York need midtown night last week . they extremely helpful - allow check early allow late checkout next day . hotel gorgeous , room spacious ( upgrade queen king size ) . beautiful large bath room window . large , comfortable bed . book lastminute reasonable enough price New york standard . Front house extremely professional helpful 
 Nov 17 2005 	 Petite well - design room 	 reserve & quot ; Petite one full - bed room & quot ; prepared & quot ; petite & quot ; room brick wall view , get . truly room double bed one bed - side table . ( deep , build - in shelf give storage space also house tv cd player . ) say , love crisp modern design , perversely , enjoy cosiness small well - design space . tan beige , well dark cork floor dark brown marble bathroom , feel like stay little chocolate box . italian sheet comfortable ever encounter hotel . bathroom , , small , nice marble shower ( partner admire large fossilized shell ) Hermes toiletry . think lack natural light would negative long stay , one night negligible . get laugh see New York Post outside door morning . lobby staff friendly unpretentious . would completely balk price last year , 's price NY right . block nice location convenient subway part city . 
 Nov 10 2005 	 great stay 	 great experience . come red - eye could not check right away store bag we come back 11:00am , king room we ( upgrade queen room ) . lovely full bath room right . bed completely comfortable great pillow room nice clean . even turn service night . would highly recommend hotel ! 
 Nov 4 2005 	 Great Hotel 	 impressed city club hotel , plan stay everytime return NYC . room beautiful . location perfect staff accomadating . new Ipod docking station / alarm clock also nice touch listen music high end speaker hotel provide . would highly reccomend city club hotel NYC traveler 
 Sep 14 2005 	 okay problem 	 impressed hotel . common area need refresh . entrance hotel hallway hold unpleasant scent street currently good deal construction create dirt , grime odor . I would imagine hotel quite nice Mr. Klein open 2001.we wish visit & quot ; new & quot ; .Our room second floor tiny clean . decor tailor chic , however evidence wear tear address . would go back . 
 Aug 31 2005 	 ok - not great 	 location good want midtown west busy block & amp ; construction across street . king room face front decent size dresser tiny closet . linen ok bed uncomfortable . good shower & amp ; toiletry smallish bathroom , dark wall & amp ; floor light great woman & amp ; tub . hotel small & amp ; quiet . lobby speak sit guest sit arewaiting . front desk personnel so - so . try charge we money 3rd night stay contract – luckily confirmation booking service . be initially put room floor 2 – ask room high floor – tell none . room 2nd floor 2 inch hang closet space & amp ; front back side side & amp ; bar mini - fridge room hang anything long . also drawer dresser room . tell front desk ridiculous – 2 people NYC 4 day & amp ; need space unpack & amp ; put away clothe . going go another hotel completely unacceptable . miraculously room Floor 5 become available decent size closet build dresser shelf make manageable . allow early check - in / late check - out nice . usually stay Benjamin want & quot ; West & quot ; trip . go back Benjamin next visit . 
 Jun 1 2005 	 amazing chic hotel . 	 return 4 night stay City Club Hotel not bad word say .... fact good hotel ever pleasure staying . entire place ultimate chic trendy live gorgeous room discreat entrance & amp ; lobby last least helpful pleasent staff . location hotel fab look central base NYC . Times Square minute away ( like sort thing ) good , 5th Ave even close . hotel staff great recommend fab bar / club trendy Meatpacking District Soho .... kind place boyfriend look . little extra 's really make feel like star Hemes bath product , City Club umbrella room daily weather forecast chocolate deliver room every evening . forget cool tv behind miror idea . room even well imagine . book king size delux room certainly not disappoint . plenty room 2 people large closet gorgeous sit area . do chic trendy feel hotel . surprisingly chic trendy room also mean comfortable .... uncommon modern hotel . bath room incredible huge plenty lighting mirror . boyfriend absolutly love City Club hotel certainly return next visit NYC . choose hotel will not disappoint . 
 May 27 2005 	 amazing trip City Club . 	 recently friend stay City Club Hotel first trip Big Apple . wonderful time . staff knowlegable show , shopping restaraunt . happy make recommendation make we reservation . 's great midtown location right mix everything go New York City . love entire decor hotel 's trendy chic vibe . room Hermes bath product , feather bed adequate space we two girl lot luggage mention gorgeous bathroom ( love bathtub ) : ) entire hotel staff go way make sure always need put extra effort make stay much well . loved hotel , love staff love whole trip . definetly visit NYC soon reserve room City Club . 
 May 9 2005 	 much love City Club 	 location hotel great , may want stay outside room entire stay . staff courteous helpful also make 's lack hotel - extremely small room ( like Hudson ) , stain bedspread , loose tile bathroom floor , air conditioner run full blast effect despite unusually cool May weekend . many corner seem cut make place sleek chic corner cut charge room . be look cool , funky hotel great lobby lounge , place not . try W. try DB Moderne restaurant connect City Club . great scene great food although carry & quot ; small & quot ; theme . 
 Apr 28 2005 	 small room money ever stay . 	 small room , nice bathroom . warm week NY temperature room never 78 degree air full blast . I guess large room base glow report review , $ 275.00 night ' ve do much well elsewhere -- much less . nice view alley large fan run night . next time New York go back w get twice room less money . 
 Apr 1 2005 	 Good Location OverPriced Room 	 great location . uneven room . price , one would well stay elsewhere . strange combination luxury ( frette bed linen bathrobe , marble shower Hermes product ) shabby ( tiny standard room , old bed blanket , stain carpet , break A / C unit , break shower handle , plywood paint table , creaky scary elevator . ) 
 Mar 17 2005 	 stylish comfort 	 ridiculous hotel . decorate superficial style uncomfortable almost every level . hotel seem luxurious photo , money , well anywhere city . deluxe room good size , dresser , drawer , closet small clothe hang mini - bar get crush door close . prepare live suitcase . hotel old , classic building original window , nice touch cold wind blow garbage truck arrive middle night . curtain paint plywood shutter nothing problem , also ' allow privacy day without lose daylight . room keep clean , carpet bedspread many stain , make place feel dirty . even hotel staff -- friendly eager help -- admit hear complaint constantly . ' imagine anyone stay hotel second time . 
 Jan 1 2005 	 could far well ... 	 ok , location block two Times Square excellent , think hotel go it . on trip , travel son . room big enough two people mention previous reviewer , storage closet space minimal , stay weekend expect living suitcase . bring flashlight - room corridor dimly light , effort trendy think . do not expect soft drink mini bar free mention website - certainly not . do not bother DB Burger ajoine restaurant , waste $ 30.good point location , free dvds er , 's . 
 Oct 25 2004 	 Unexciting 	 normally stay Royalton ( across street W44th ) , , despite misgiving read review site - decide try City Club one - night trip New York . room ther 2nd floor pleasant enough , except gloomy two window face wall 6 ft away ( issue Royalton , sometimes ) . huge bed confortable tv hide behind large paite nice touch . bathroom ok , patch Royalton 's bathroom . note review , wallpaper marked & amp ; slightly peel couple area . the hotel discreet entrance , lobby real bar - basically couple table back db restaurant . meet someone 5 pm , get little early wait one table listen chef brief staff dish day leave lunch want shift ! drink available clock strike 5 pm . soon though , staff attentive place became pack quickly . clearly popular meeting spot . in summary , like small discrete boutique style hotel , City Club would fine least third cheap . , however , revert Royalton next visit New York . 
 Aug 31 2004 	 worth manage discount 	 room small , little closet space drawer . bed large comfortable , good sized couch , bath large impressive Hermes bath product . get good deal work , not think would worth stay pay full price . attach restuarant , Bistro Moderne , worth visit . 
 Jul 29 2004 	 much ado nothing 	 try 2 different room - both peel wallpaper , tiny closet storage space . large room back look brick wall , small room front 1 tiny window street noise . stylish decor need hide serious shortcoming amenity , size , condition , attitude . I move Muse : less money , large room , well condition , decent storage .... 
 May 23 2004 	 whole good experience 	 read number review site stay hotel week begin May 2004 . thing try read line make evaluate judgement booking stay . this third hotel stay , city two Ian Schrager hotel 's , Hudson Paramount . first thing strike size room . front face King Room 2nd floor ( room 203 ) spacious . would estimate least twice three time size room stay before . the decor minimalist without stark . bed enormous exceptionally comfortable . find tv behind mirror real problem light . cd / dvd player nice touch free DVD / CD library available reception real bonus . really like black marble bathroom , excellent shower also large . may find touch masculine taste , love . finish also high standard like Hermes toiletry . frette robe nice would consider buy one space case . it also useful well stock mini bar Dean Deluca goody , mini ironing board / iron safe . like soft furnishing , seat comfortable , book useful . I also surprise quality Maid Service . return room find spare change arrange neat stack , denomination , show someone thorough job . also nice find card weather next day chocolate pillow , something normally get hotel much high price scale . the DB bistro excellent , though visit sell famous burger . find food par many top restaurant city visit evening . hotel serve hot breakfast , excellent old fashioned diner , Red Flame , door excellent breakfast always pack New Yorkers morning visit , also good value money . I find staff front desk helpful knowledgeable , neither stuffyness expect hotel high end scale arrogance find boutique hotel . genuinely helpful . the hotel also excellent location 5th Ave , near shop want visit , close public transport wish go town . close theater Time Square without right top . also share street number nice institution Harvard Penn club . room also look Royalton . also good dry cleaner across street hotel recently award New Yorks Best New York Magazine . on negative side lighting little dark wish apply make - up bathroom . drawer put clothe , altough couple shelf next hang space . find hang space insufficient two people stay week . however adequate business traveller short stay . give hotel probably fall middle price bracket New York , good value money . sure find cheap , cut rest term overall package , location many small touch make enjoyble stay . I look one Suites check final day although exceptionally nice , king size room book well value . would recommend book size room . this definately somewhere would recommend friend first choice next time visit New York . 
 May 15 2004 	 good expect 	 stay ny many time small room anywhere ! staff particularly helpful usual ' trendy boutique attitude ' . room stylish comfortable . annoyed thing like able switch reading light one side bed - awake neither we . 
 Mar 20 2004 	 great location service room 
 Feb 13 2004 	 favorite hotel NY 
 Jan 31 2004 	 would first choice 
 Jan 7 2004 	 Great Location good value Money 
 Jan 4 2004 	 ok ok 
 Dec 4 2003 	 Tremendous 
 May 8 2003 	 stylish hotel nice stay ! 
 Mar 6 2003 	 CC Eval 
 Jan 28 2003 	 Hmmm good could improve 
 Sep 26 2009 	 buon hotel con qualche inconveniente 
 Sep 25 2009 	 Partite con tante carte di credito ! ! 
 Mar 16 2008 	 Alto nivel trato regular 
