great 	 right middle downtown , next metro station , could not ask well location . however room nothing special . king bed pull couch suite ( small kitchen ) . nothing blatantly wrong , little thing show hotel luxury one . appliance date work fine . bathroom tiny need update . little hole bedsheet . one power outlet work . list go , none thing really impact stay . deal staff much can not comment helpfulness . it be convenient place great location good price . work we , not stay expect luxury 
 Sep 20 2008 	 Loved Cantlie ! 	 husband sixty usually visit Paris , Montreal close , . . .Many reviews Cantlie read seem negative , somewhat apprehensive staying . surprise ! - clean , bed new pillow - top mattress duvet , large fluffy towel , free newspaper door daily . kitchen larger expect : full - size fridge stove , though oven bake pan ( bring foil want heat croissant buy street Pain Dore ) , toaster , coffee maker , tea kettle , tea pot , opener corkscrew , 2 ice cube tray freezer . even soap wash dish . pool roof , fantastic view . 3 elevator ( none would call slow ) . Staff speak several language helpful , friendly , arranged tour , tell find Depanneurs ( convenience store ) area buy bread , cheese , egg , milk , fruit .. change $ $ desk , good rate . tv cable . breakfast include price room : $ 12 / person get huge selection bread , fruit , cereal , bagel , butter , cheese , jam , peanut butter , juice , tea , good coffee world . Eggs , bacon hash brown $ 2 extra . eat . location could not well : 1 block metro , 4 block Beaux - Arts Museum , 2 block stair top mountain , 3 block McGill University , 1 block Underground City - souvenir - shopping eat lunch almost every day ( shop food place close around 5 pm , though underground mall corridor stay open - great way get around city bad weather ! ) definitely stay ! ! 
 Aug 13 2008 	 good size room full problem 	 room attach fridge basic kitchen amenity handy . however , air conditioning work , window seal shut open . front desk staff among arrogant , rude kind people ever come across . make perfectly clear exactly lowly think book site like expedia . obstructive unhelpful . specifically put book need parking . get front desk tell we full go park 24hr parking station . , attitude book engine expect much service . check late afternoon get room , properly service . vacuum clean still bed not tuck . housekeeping ask , apologise promptly remove vacuum clean insist room fully service . helpful staff member maintenance gentleman try fix air conditioner . could get work short period time . really not fault unit probably need specialised service . many hotel area , one probably try elsewhere . 
 Aug 4 2008 	 enjoyable stay date hotel 	 3 star hotel ; fussy decor renovate room would ok ( great location ) . however room old , poor circulation ( mold bathroom bad smell bedroom area ) . Windows sealed shut , fresh air possible . front desk staff seem nice property desperate need upgrade . stay Omni Vogue ( Loews ) - Vogue time favorite . good luck . 
 Aug 3 2008 	 great location ! 	 stay two night location ideal . St Catherines Crescent two three block away . Peel Metro block away . everything walk distance ! drive minivan SUV , phone ahead guarantee spot underground parking lot . minivan phone ahead , spot we . recommend park around corner Marriot ( cost $ 25 / day ) . Le Cantlie charge $ 22 / day . end parking block away Mont Royal . total cost leave van two half day - $ 33 ! suite ideal family 5 . however , little disappointed inventory suite . suite hold maximum 6 people ; towel 4 ; 2 dining chair table ; place setting 2 . could not open window paint shut . would still come back hotel location perfect ! 
 Jul 31 2008 	 Roasting alive 26th floor door window glue shut . 	 stay LeCantlie hotel one night ( thank goodness ) . Vermont ( luckily ) could come back home next day . upon check , inform book online ( Hotwire ) zero flexibility reservation . say room would ready 4 even though travel 2 people , room one King bed reserve . enter one we book online . apparently , three individual one bed normal Le Cantlie . ask could pay upgrade big room , tell despite fact & quot ; many & quot ; available room , could change anything ( smoke vs. non - smoking , number bed , floor , etc . ) . & quot ; kindly & quot ; tell sleeper sofa room would stay . see room non - refundable little choice hoof 26th floor ; 26th floor 28 floor . elevator , would likely fit 6 people -- 's small elevator ever see . travel baby , stay . stroller fit well elevator . wheelchair . upon arrival , disappoint date decor ... include wear maroon carpet 80 's style motif . & quot ; kitchen & quot ; small small closet . efficient , date look like belong outdate RV . & quot ; Yardley & quot ; soap promise M.I.A. , & quot ; sofa bed & quot ; encrust crumb lack sheet . course , would think would sent sheet , give know three we one bed sofa bed propose solution . worst worst . unable get thermostat work properly . 26th floor July , warm already , keep get warm . go dinner come back full great Montreal food . exhausted , head bed . 3a.m . awoke ... sweat almost short breath heat . go open window ... -- course , GLUED window shut . would good time mention & quot ; balcony & quot ; door also glue shut . , fib balcony , use . try mess thermostat , avail . call front desk clue even thermostat room . offer call maintenance man morning . wake nice early walk local coffee shop get heck . pay extra 20 buck online stay delta…omni…sheraton….anywhere LeCantlie ! ! 
 Jul 28 2008 	 quirky 	 stay three night executive suite 511.pros:1 . room beautiful : everything good shape.2 . mini kitchen super clean useful : nice oven , refrigerator , utensil , coffee maker.3 . Rooftop terrace pool enjoyable.4 . location nice street.5 . beautiful lobby6 . excellent continental breakfast locate Mezz level view Sherbrooke Street , friendly service7 . friendly hardworke Salvadorian maid floor 5 - much like young woman take time talk . 8 . close Crescent Street activitiesCONS:1 . WIFI work . receive weak signal . give $ 100 deposit borrow WIFI antennae , also work . 2 . receptionist tell use Business center 26th floor , locked.3 . husband ask access Business center , told & quot ; open & quot ; , locked.4 . fourth day hotel , another guest tell we ask key business center . give key allow 30 minute free internet time.5 . three bar soap one shampoo room upon arrival . front desk give husband two hand lotion go ask.6 . lovely room view . valley skyscraper overlook parking entrance . much like view.7 . parking $ 22 per night , go rate neighborhood.8.there ornate bedcover . however , white sheet top quilt make everything seem even cleaner.9 . & quot ; access view firework hotel . & quot ; tell front desk . later , find exercise room , think maybe could see firework there . I & quot ; purchase & quot ; $ 800 package three night three breakfast . say & quot ; purchase & quot ; make donation art fund raiser receive package gift donate Le Cantlie Suites . 
 Jul 27 2008 	 Poor experience 	 arrive hotel find nowhere park , abandon vehicle parking attendant another hotel add charge . notice ahead time . our smoke - free room definite tobacco smell . we pull sofa bed sleep mattress . use comforter bed . after take shower , stand water drain block . access balcony advertise impossible sealed shut paint . the staff reception desk rude haughty attitude . this hotel first visit Montreal . unhappy hotel leave next day . hopefully hotel city high standard , although would not difficult ! 
 Jul 25 2008 	 need complete renovation ! ! ! 	 stay Le Cantlie Suites Montreal July 13 - 15 , 2008 . disappointment ! not fool picture site ! firstly , book non - smoking suite arrive , put smoking room . call front desk , staff apologetic ask we come could switch room . great ! problem ... mistake happen . go get key another suite , go elevator new room .... door open inside maid ..... smoke ! ! ! ! could not believe ! entire room smell like smoke . seem do not expect anyone room snuck quick break . oh yes ... smoking room well . ashtrays room . call front desk tell wait look . call back 10 minute later apologize say would upgrade we executive suite . think generous , change room . executive suite ? ! ? way ! difference room last two french door go bedroom . furniture 70 's 80 's . cold water tap bathroom sink not work . bathtub faucet not work . air conditioner take forever cool room . 75 degree room . warm . air condition common area hotel ie : hallway , elevator ( old scary ) restaurant etc . second night , electricity several hour . electricity working hall lobby , room . hot , dark sticky scary . nice thing hotel people front desk 's convenient downtown location . parking $ 24.00 per day pay internet access , even computer . stay . 
 Jul 23 2008 	 AC horrible 	 ' ve stay twice time not great . air conditioner horrible . barely work keep go ( low ) minute shut . door stick slammed shut pull hard open . water pressure shower bad wallpaper peeling . definitely need facelift big time . next time Montreal , will stay different hotel sure ! ! ! ! ! 
 Jul 19 2008 	 bus trip / weekend get away 	 wife spend 5 day business get away . wife Jewry gps steal room . take look suite case . front desk manager nerve say must left room . check manager tell we staff many year would . manager tell we must left thing else . room old ... dirty need make . staff helpful recommend restaurant sight . would never stay . 
 Jul 8 2008 	 Terrific Hotel ! close everything ! 	 great experience Cantlie Suites ! everything go smoothly can not imagine anyone could find complain . luxurious room separate bedroom could visit comfortably live area . bed comfortable linen lovely . ample sized kitchen every amenity person could wish suite . staff friendly cordial make we feel welcome . be close downtown group spend lot time walk . take bus subway close hotel . find way around Montreal easily way also . suggestion thing would enjoy shop Catherine St. , pub restaurant Cresant St. , beauty Basilica Notre - Dame Old Montreal , underground mall , lastly Mont Royal . destination mostly within walking distance hotel , short subway ride away . easy ! like hearty breakfast less $ 5 find little din Peel St. 2 block Hotel . look grocery room go Sherbrooke 4000 area block east towards downtown . endless restaurant within short walk hotel . try martinis Hotel . real Martini bonus end long day . Montreal full charm offer lot . Cantlie Suites even further impression easy go city . thankyou everyone great vacation ! 
 Jul 7 2008 	 great love fishy smell toenail ! 	 friend go Montreal weekend bachelor party . professional week , opted hope quality hotel . base rate Le Cantlie Hotels.com site , choose , good rating , good price . extremely disappointed . rent two room , one adequate , atrocious . room size great . however , get room , go put food one refrigerator , find old , half eat yougurt container , another & quot ; package & quot ; look like leftover meal . fridge good either , moment open , room smell like every bad fish Lachine Rapids . bring attention hotel , immediately clean . the next morning , upon look floor near bed , realize someone else toenail floor . obvious previous night toenail room adequately clean . bring attention manager , say hotel busy sometimes room clean properly due large turnover . ACCEPTABLE ANSWER . hope sheet rather uncomfortable bed change , glassware porperly wash . due book online , able compensate we . would never recommend hotel , stay . 
 Jul 2 2008 	 Hated . 	 start good thing . pool / deck roof fun clean . get nice view . hotel room clean part , bed pillow acceptable comfy . the bad- explore hotel room . question keep come back mind .. & quot ; would not fix ? ? ? & quot ; thing like wall paper hanging bathroom , rusty shower curtain rod , bent fork , scrape scratch everywhere . sort like hotel donate salvation army . want sell price retail beat ! balcony look nice , locked ! can not go ! vallet parking close like 11 , use damn intercom system let dungeon car . think going get fabulous Delta hotwire , get stick crap house instead . 
 Jun 20 2008 	 great value ! 	 land awesome deal Hotels.com find hotel adequate . confusion find one page web - site address East Sherbrooke , instead West . room 2 queen sized super comfortable bed , kitchenette stove refrigerator ( could use microwave . ) complaint charge wi - fi . staff friendly helpful . location ideal , great restaurant nearby , close Metro ... , great value . definitely recommend . 
 Jun 8 2008 	 well locate clean hotel 	 get pretty good rate hotel cantlie orbitz . furnishing clearly need replacement ( couch -- completely unnecessary room -- strange yellow stain ) , bed clean comfortable , bathroom nice amenity acceptable , hotel quiet homey . hotel -right- downtown two block art museum , would give hotel cantlie thumb recommend tourist , especially get good rate book website . may hotels new hep , price rating think would pretty difficult well short stay montreal . 
 May 21 2008 	 spacious Great ! 	 girl friend arrive hotel prom weekend . needless say stay beautiful . pleased room gorgeous lil kitchen , 2 double bed , tv etc . room spacious smell fresh although smoking room . upgrade make free charge . the bathroom could better fine arrive city remain Hotel . the hotel 's look outside do not justice inside- beautiful . front desk staff helpful . definetly return : ) 
 May 21 2008 	 ok 	 good : hotel clean . location good , walk distance everything downtown . have small kitchen ( stove , utensil fridge ) bad : staff rude we ( although 4 guy 20 ) room hot / stuffy . window open air - conditioning work . : parking $ 22 day lot , behind hotel . 
 May 9 2008 	 efficient hotel 	 husband stay Le Cantlie Suites 5 day , gorgeous 5 star hotel , amenity person would need fun stay Montreal . room clean , even small kitchenette need heat something make coffee . even washer dryer 27th floor use helpful we much much cheap use hotel 's laundry . also 21st floor non smoking , pleased designate floor smoker non smoker . hotel locate right heart Montreal , front desk really helpful point we good restaurant site see . would recommend eat dinner hotel find food good , american breakfast reasonable $ 15 per person . however , lot breakfast place outside hotel really excellent . would definitely stay place hotel provide everything need clean , room date expensive hotel , staff service good . 
 Apr 27 2008 	 fine stay 	 excellent location Cresent St. Saint Catherine Street . room clean comfortable . staff helpful kind . would stay . 
 Apr 27 2008 	 Pretty Nasty 	 impress le Cantlie Suites . travel teen toddler . location fine dining shopping . Montreal several time , visit stay first night Embassy Suites , try save money second night book hotel Hotwire . worth saving . absolutely laughable hotel would get star rating Embassy Suites , spotless , include wonderful breakfast absolutely professional . staff Le Cantlie friendly , room clean good bed . -- - entrance hotel absolutely filthy . carpet entrance look like never sweep clean , dirt foot traffic eat away fiber , water / salt stain along side entrance carpet . realise Spring time fresh tough winter , clean entrance constant priority concern image ... clearly . exterior signage give run - down picture hotel , well . elevator also dirty , spit stain run interior least one elevator door , right next bunch nasty message carve door well raise guest hotel . kitchen area laughable , extremely date appliance ( 1950s ? ) , nice note let know job -as guest - clean kitchen perfectly else charge $ 50 ... dish soap help get job do . though job housekeeping , responsible cleaning kitchen utensil , clean get ? last guest use kitchen go purchase dish soap , like , clean kitchen ? count previous guest sanitary job cleaning fork son go use eat ? ? ? ? guest spit elevator door ? microwave . tiny tv room , tiny bathroom 2 star feel , shampoo , conditioner . must renovation go , maybe work next door , could hear sound construction work come wall . far many great hotel choose Montreal -- truly make sense stay place like . view spit run interior elevator door time go back room truly amazing ... internet service $ 4.95 per night , work , immediately call cancel ... want waste time try fix problem .... young man take call tell would cancel , fail remove bill . able straighten checking .... think , though not receive credit card statement yet . hotel sub - par , even $ 106 pay per night Hotwire .... think 3.5 star rating bit over - reach Hotwire ... not amenity offer , basic cleanliness upkeep expect . hotwire room w/ two queen available Hilton Bonaventure $ 89 per night , get suck & quot ; kitchen & quot ; & quot ; suite & quot ; style room ( suite case , must small hotel room w/ kitchenett build ) Le Cantlie . kitchen turn well trouble worth microwave oven . overall , think Le Cantlie Suites pretty nasty hotel . would stay price . 
 Apr 10 2008 	 Nice Hotel good location 	 Hotel pleasant stay , front desk nice friendly . new one area comfortable close anything want see . wife business find time sight seeing , snow . shop eat walk distance direction . we studio room little kitchen et , small fridge perfect size store drink . little convenience store right across street along internet cafe not bring computer , hotel reasonable wireless charge $ 5 per day . book Expedia terrific rate hotel book flight . 
 Mar 30 2008 	 Le Cantlie 	 spend 3 week , overall okay . be 22 $ day valet garage parking ( $ $ ) , room big , say room get studio suite one queen bed , reserve 2 1/2 week later switch room renovation level 15 end one bedroom suite elegant french door lead private bedroom . nice . staff courteous , valet staff wonderful . obviously pool close ( winter time ) , resto / bar kind quiet due season . 
 Mar 2 2008 	 Nice Boutique Hotel Shopping District 	 well group friend go montreal reading week , review concern . get good deal Expedia stay one night . arrive find staff pleasant attentive . room non - smoking ( smell smoke ) 2 Queen studio suite large enough fit four us baggage . furniture clean well keep bathroom clean well . bed really quite comortable linen clean warm . also free service hold bag go shop day check - out . small draw back kicthen closet , something never see suite . fact even small kicthenette ( microwave , coffeemaker , fridge , stove sink ) plus anyway . also close walk distance metro . 
 Feb 24 2008 	 Hidden Gem Montreal 	 Booked room hotwire.com $ 83 / night night check - in . hotwire rate 3.5 star accurate . review site cause we worry , none come true . start finish , every staff person encounter -- front desk , housekeeping , restaurant , housekeeping , cheerful , helpful chatty want . suspect may room low quality ( possibly set aside priceline hotwire ? ) cause problem . room large , 2 queen bed , nice view ( include recent full lunar eclipse ! ) , little kitchenette , small nice bathroom . furnishing ( except small tv ) date . mezzanine restaurant lovely friendly waitstaff . continental buffet breakfast , $ 10.50 reasonably price large assortment thing eat drink . think wall may bit thin , could hear tv next room one night . comfortable bed linen . great location downtown Montreal . one reason cheap lose 1/2 star pool seasonal ( rooftop ) , exercise room small charge extra internet ; low price get 4 star accommodation few extra . we , perfect . 
 Feb 21 2008 	 Decent Hotel - decent service 	 stay Le Cantlie Suites location great , 2 - 3 block Saint Catherine street right near awesome Indian Restaurant $ 15 cab ride casino . room decent , probably 6.5 10 . 4 guy 2 suite check early friday afternoon , later go pick drink soon walk , harass front desk . claim policy accompany anyone room bring liquor beer . gentleman come room , inspect police officer search drug , make several threat we make noise ( spend total maybe 20mins room point , not make peep ) . understand noise issue standpoint , think rude unnecessary make pre - emptive threat we base appearance young male come liquor / beer . make excessive noise , every right come complain point , then . overall , would recommend hotel old crowd , young crowd look party / drink 
 Feb 19 2008 	 M'eh ..... 	 find incredible deal Hotwire , book Le Cantlie Suites Hotel . bad place , lot little thing could use upgrade make hotel great value . one , flower lobby wilt walk , gentleman working desk less pleasant . room nice , wallpaper peeling / bubble wall , chip tile bathroom , faucet tub leak . also not many towel , always bug . whole & quot ; suite & quot ; concept seem like misnomer - yes fridge , coffee pot , extra sink , , room hotel room thing , suite . room spacious clean , wall paper thin . could hear folk room next we talk , every morning around 7:30 a.m. , could hear shower another room we go . loud . loud sound like pipe burst . all , hotel not bad be look good deal great location ( step away Peel Metro Station shopping St. Catherine Street ) . next visit , would spend extra $ 25 - 50 night stay hotel go extra mile make guest happy . 
 Jan 6 2008 	 great experience 	 alot research hotel area booking find good value , walk distance downtown shop restaurant right next Ritz Carlton ... know great spot well value . pool do not sayopen night unfortunately ... neither bar , clean neat floor ceiling window . overall , cozy pleasant . 
 Nov 30 2007 	 clean pleasant comfy convenient 	 spend 4 night hotel July Montreal Jazz Festival ( see note ) love . encounter rudeness whatsoever , quite opposite fact . every member staff always greet smile . reception indeed busy , someone always time happily answer many question share tip . specifically ask quiet room , ideally floor without big group , get . room quiet spotless whole stay . clean send hotel email compliment housekeeping get home . review say , location great , room spacious kitchen handy , especially $ 1us $ 1ca exchange rate . may find bed soft , find comfy . not try pool breakfast . pay $ 104US per night we d. sun . stay thru Entertainment Book . planning stay next year , too . note : not want mislead anyone , hotel immediate area Jazz Fest . mention make point busy time still get wonderful service ! 
 Nov 9 2007 	 Thanksgiving Le Cantlie Suites 	 much enjoy Thanksgiving stay Le Cantlie Suites Sherbrooke Street Montreal . room large , clean comfortable , nice southern view . staff cordial professional ; hotel 's location ideal . 
 Oct 15 2007 	 CA not Deal issue 	 show hotel everything seem fine great day .... get back hotel actually sleep book we floor pack church go 18yrs old would yell slam door hall ... repeatly ask stop hour get sick happen call receiption area say would take care well think send security guard floor walk hall return downstairs .. .... people continue seeing not seem train security well decide leave 1 am .... speak reception say could refund money time call back next day ( make mistake ) return home call next day get answer sure .. well insult say lieing .... call back next day speak manager much well clare ... get little upset threaten anything hang ... still give answer situation .... even answer question situation . 
 Oct 5 2007 	 Fantastic Hotel Truthful Reviews 	 Booked hotel Expedia get great deal four night stay hotel . upon check ( arrive early ) immediately find available room check quickly efficiently . book studio room give , 14th floor view overlook downtown Montreal . the room spacious queen bed , european kitchenette ( fridge stove / oven , dish , coffee maker , cutlery ) , large sit area sofa , write desk , large armoire hold television drawer put clothe item choose . bathroom also large plenty counter space , towel , toiletry ( replace daily ) .The room clean housekeeping staff maintain entire stay . also ask extra item one occassion provide pleasure ! hotel roof top pool available guest offer great view downtown area well . unfortunately can not comment breakfast meal hotel spend time restaurant area throughout Montreal . the subway / metro approximately 1 block hotel 2 block St Catherines shopping restaurant . Sherbrooke Street also offer fantastic shop restaurant within walk distance also street McGill University within walk distance . overall , can not say one negative thing hotel stay . staff come across five day friendly , professional , go way ask - and also watch guest request assistance . read previous review hotel , find & quot ; shake head & quot ; negative comment experience way experience frequent traveller often picky , think hotel wonderful ! 
 Oct 2 2007 	 horrible experience 	 staff rude , take breath away . hotel noisy hell night , go complain front desk morning , yell call security middle night ! room dusty allergic dust , sneeze night . take PILLS ! room ready 5.00pm ! ! ! upside convenient location , minute away downtown Montreal . not go , find ton nice hotel area . 
 Sep 27 2007 	 HORRIBLE RUDE STAFF ! ! ! 	 stay hotel 7 friend ( young professional ) conveniently locate right Downtown Montreal . spend $ 1300 4 hotel room decide charge we ( beyond Priceline cost ) base & quot ; Security Report & quot ; try pretend & quot ; Police Report & quot ; file ( still try figure ) . try get situation sort civilized manner , Manager odasity threaten call police we request view & quot ; check - in & quot ; document sign check - in time . claimed & quot ; Hotel Document & quot ; could release . let we see document sign , staff check - in would even provide we English , even though request . sign French , speak French , Montreal suppose bilingual city ! overall , staff unfriendly , particular , Hotel Manager , incredibly rude know nothing Customer Service . this hotel definitely 4 - star , even 1 - star . even list option Priceline . would never recommend anyone . 
 Sep 13 2007 	 good price Great Location 	 Stayed Le Cantlie Suites four night month recommendation . work extremely well . one bedroom unusually large , clean well appoint even not care carpet colour - 's thing . view towards downtown spectacular . one large group visitor third night suite never get crowd . Most staff go way helpful restaurant handy . ask extra towel deliverd 15 minute . negociating parking garage little difficult large car one two time not problem . there be zillion restaurant area , many outstanding quality - probably well interesting selection Toronto . Le Cantlie locate classy district Sherbrooke Street . near anything downtown three minute walk subway . art galerie Montreal Museum nearby . 's interesting elegant area walk . all hassle free stay , easy get downtown expressway rate much well major chain check . highly recommend . 
 Aug 25 2007 	 bad - good location - large room 	 reasonnable price hotel good location . room rather large personnel pretty nice friendly . little bit disorganized check in . Clientele medium size budget traveller want clean room good location Montreal . we little bit noise neighbor talk loud , wall seem pretty thin . I would still recommend . 
 Aug 23 2007 	 bad need improvement . 	 price good hotel . nice european kitchen utilize . would stay absolutely need would not pick first choice . location great . right near hot spot . downside , parking expensive , $ 22 day , continental breakfast expensive ( $ 15pp hot ) get . food overcook undercooked . well go restaraunt . every time need make money exchange tell we could not leave sign say would offer exchange money . dissapointe put we bind . not HUGE let will never forget . sometimes receive staff helpful , seem snyde . 
 Aug 18 2007 	 staff ... helpfull ! would go ! 	 parent ' 40th wedding anniversary . sister want everything well plan . after see add tripadvisor website , decide contact directly hotel make sure would communication problem . I tell phone make reservation breakfast include .... find check ... . also tell valet ... perfect since sister want escort parent room organize little & quot ; mise en scene & quot ; tho celebrate event ..... saddly .... valet . lady front desk tell fact valet parking back building .... get ... parking full ! surprise & quot ; mise en scene & quot ; schedule mix delay sister perform & quot ; anniversary surprise & quot ; without cut find parking space ! disturb event lack effort empathy staff front desk . feel beleive recall conversation reservation staff whyle defend themself fault would inquire ! event , problem ... eventualy regular staff would . greatly surprise duty manager ( usually power decision & quot ; happy customer & quot ; orient ) site . desapointe ( non ) consideration guest service concept ! absolutely desire help , understand point , intention find solution problem see happy customer ! 
 Aug 9 2007 	 alright hotel pretty good location friendly staff 	 many positive hotel . 's great location , near Museum Fine Arts , shop Ste . Catherine ( although , think shop well neighborhood . honestly , store downtown area different would find New York , Chicago , Toronto , etc . ) , Metro , good restaurant , Crescent Street nightlife , etc . room large ( judging room , small available room book hotel . ) clean . yes , staff bilingual ( ' m fairly certain everyone Montreal ) , friendly . bartender offer suggestion see city happy hour ( 5 - 7 pm , Martini 's $ 9 ) . room include & quot ; kitchenette , & quot ; case include refrigerator , toaster microwave . hotel simply ask leave kitchenette find . obviously , intend use light meal not want staff spend large amount time clean major culinary undertaking . air conditioning efficient , quiet , nice change pace since window unit home . bathroom large , request room queen size bed couch coffee table . room service menu reasonably price , though never order real food , one North America 's culinary capitol , 's time ' ve look room service menu think would actually willing pay price ( since trip dime , business ) . hotel also feature roof top pool , imagine nice summer since Montreal get pretty hot . not terribly hot , not use , look nice . not expect olympic sized pool - 's roof top pool downtown Montreal afterall ! high floor , not hear noise street . overall though , Rue Sherbrooke not seem one bustle street Montreal , can not imagine bad low floor comparatively speak . however , be downtown Montreal ( Chicago , New York , San Francisco , ever ) , think expect noise ( afterall , think be go collect garbage major commercial district major city ? 5 10 ? ) negative : hotel clean , spacious , nice , really could use update . wallpaper scream 1989 - ugly , date . drape ugly though . , keep light night morning . honestly , not know much negative really unless be look coolest , hip hotel stay . lot nice , old hotel problem . look great 15 year ago , not anymore . time renovate ! another clue hotel need update - still use actual key room , magnetic strip card lock . , kind hate card way - get em close credit card wallet not work - couple glass wine , unfamiliar set key hard use ! another slight annoyance bed right next kitchenette - close , push bed couple inch open door kitchenette every day ( think maid keep push back ) . also bother hotel put card bathroom explain unnecessary washing towel waste water , request want towel replace throw bathtub replace . otherwise , hang back maid leave . well , hung mine back every day , yet still fresh set every single day . also , stopper sink break , notify front desk ask send maintenance person look , one come first day , afterwards think maid pull sink . fair , not complain , not big deal . hotel offer complimentary coffee kitchenette everyday . not bother . make twice ( second time half water ) , brown , hot water time . room service order carafe coffee . also , be 28 floor 3 elevator . sometimes wait bit . also , one ice machine whole hotel . 27th floor . one note praise management . check bit concerned watch two group young people front go hotel case beer . get little nervous , know loud college aged drinking group friend . someone think manager pull aside talk amount noise come room , explain respectful way behavior bother guest , hurt hotel 's reputation , could potentially cost hotel money lose revenue . go explain even one complaint , would force leave hotel . kid seem get , sigh relief ! second nervous check Jersey Shore Senior Week Montreal ! 
 Aug 6 2007 	 stay ! 	 1 . SUITE 4 people charge extra per night . fine , nerve leave one towel per person . leave we 2 towel . speak maid tell 4 we , say could 3 towel give one extra day . leave we 2 day . scavenger maid 's supply closet every day clean towel attend another room . think relax guest ? ? ? ? every day , get 4 dirty towel , clearly not occur get leave one guest . STANDARD leave clean towel guest . unreasonable . charge extra charge going treat we like ? . 2 . one us pregnant . tell hotel ask 2 extra pillow need sleep , hotel say ! two we forfeit pillow could sleep , mean two we not get sleep stay . 3 star hotel , guest ask extra pillow , hotel provide . unreasonable request.3 . almost run toilet paper , maid leave roll clean room . 4 . fridge keep anything cold . 5 . room AC work window not open suffer . 6 . duct tape remote control . 7 . 28 floor one ice machine entire hotel . 8 . 4th person sleep sofabe call front desk 3x get sheet pillow . towel / pillow experience , hide sheet pillow day closet would not beg day . 9 . garbage truck make ton noise early morning hear 6th floor . mention hotel website . 10 . upon checkout , ask speak manager discuss matters desk clerk pause , said & quot ; um & quot ; lot , say manager happen step . convenient . think many people complain avoid hear much hotel stink . we follow afterwards , hotel refuse acknowledge claim true . Montreal wonderful many time , stay somewhere else . stay ! 
 Jul 31 2007 	 Decent Hotel 	 stay brother weekend . centrally locate good walking distance everything . problem pay everything . dollar use phone even local call , not clean stove charge $ 50 . one thing bed comfy . sleep like baby . the restaurant expensive side . rooftop pool ok . expect beautiful pool hear rooftop pool . big pool would find someone backyard wooden deck . Atleast offer nice view . 
 Jul 30 2007 	 well use .. 	 hotel run . carpet , wall , furniture bathroom seem ready renovation . except room good size location good , lot restaurant nearby . 
 Jul 28 2007 	 great location price 	 stay Le Cantlie 4 night . location can not beat . 's central everything would want see ... walk ... Metro ( subway ) superbly easy navigate ... peel station less 5 minute walk . room little dated bathroom could definitely use facelift , functional clean . much big average hotel room great room spread . 14th floor ... room incredibly quiet ... noise whatsoever traffic room .... ' m light sleeper ... use earplug bonus ! air conditioning great ( quiet ... bonus ) definitely need Montreal summer .... not like hot , humid weather , well come Fall cool . elevator little slow busy , 3 . keep mind be rush get somewhere . kitchenette not microwave , kind unusual day age . great view 28th floor deck , pool need clean TLC . staff extremely courteous helpful . would definitely recommend anyone look clean , comfortable accomodation centre great city . 
 Jul 26 2007 	 choose another 	 go would choose another hotel . yes , hotel good location other -- ie . close subway , shopping restaurant . Le Cantlie well location downtown hotel . so - call kitchen really closet wall oven microwave , fridge toaster utensil . old gentleman working desk Friday nite check rude pompous . use swimming pool roof cool . hot tub would appreciate due walk / sightseeing do . montreal great city highly recommend visit city not stay Le Cantlie . make reservation directly hotel , call , think well book online . turn bad idea sure inform time make reserv four people -- bill additional $ 50.00 top original quote give daughter ( 13 15 ) we . seem like take advantage we -- late Friday nite obviously could go anywhere else even , would bill stay 6 pm . choice , tell we would additional $ 100 . would pay . not think right . bad yet , exorbitant charge , additional towel toiletry place room either night -- enough 2 ! would think astute enough charge we additional would astute enough inform Hskgp fact . , two night stay end cost we $ 400.00 despite fact book month advance . beware Le Cantlie ! 
 Jul 13 2007 	 Old ok 	 it´s good hotel great downtown location near subway , restaurant , place interest . service good . internet service terrible 
 Jul 11 2007 	 Great Hotel 	 stay hotel 2 night June 30 2007 long weekend . room large clean . hotel charge $ 22.00 per day park car , soo might want park across street save fund . rooftop pool great although weather favour . eat stay last night decide eat hotel . service restaurant horrible take 45 minute Veggie burger waitress bring order mix every order . one waitress staff disappoint act bartender well . location hotel great , everything within walking distance cheap cab ride . hotel could update interior feature overall well worth price . slow waitress staff friendly would stay eat . well worth price location . 
 Jul 1 2007 	 return 	 fiancé stay four night hotel June 2007 . glad choose hotel ! hotel clean . room quite large comfortable . floor completely non - smoking , nice . room mini - fridge , come quite handy . air conditioning work well quite . bathroom little small showerhead ' favourite , spotlessly clean everyday . hot water nice hot good water pressure . note kitchen offensive rude . state leave place mess charge cleaning fee . hotel staff speak fluently bilingual . speak minimal French yet problem communicate . everyone polite happy point we right direction . valet staff exceptionally helpful ! provide we map tell we cool place visit give we excellent direction get . yes , charge parking , find everywhere downtown Montreal , ' let put . even stay outside city , still pay parking come . car safe valet staff ' care many time day bother they . this hotel excellent location ! ! quick walk lot shopping dining . hotel easy access everything . walk lot place even take subway . subway ( aka Metro ) stop 1 block hotel . actually easy take Metro place take car pay parking . Hotel Le Cantlie Suites safe neighbourhood . we thoroughly enjoy stay hotel stay next trip . great hotel excellent value ! 
