helpful 	 decent location access many part city , breakfast keep full lunch beyond helpful friendly staff . stay extra three night - second room lot nicer first . first little small not outside window . second comfortable , nice view street spacious . nice lobby . 
 Sep 2 2008 	 Absolute Rubbish 	 favour , stay somewhere else . staff rude , whole place badly lay warren corridor . parking tricky get $ 29 per day . Room badly lay , shabby bathroom uninspire say least . Bedlinen grotty . upside location Mel 's Diner next door - otherwise great area . decide skip breakfast hightail asap . never go back . 
 Jun 27 2008 	 Fantastic ! 	 love Opal ! clean . close public transportation . extremely helpful pleasant desk staff . Tea Coffee lobby 24/7 . free internet ! perfectly adequate Continental Breakfast . plenty place nearby eat . we give upgrade king bed , great . room plenty storage . fellow traveler junior Suite really nice . there homeless people area , hey , be big city . grow Philadelphia bother we least . we book Opal website obtain AAA rate $ 96 night . well worth . find Opal really nice experience would stay heartbeat ! 
 Jun 17 2008 	 worth price 	 hotel overcharge room respect reservation indicate . pick phone timely . take several ring and/or try get someone pick . parking expensive ( approx . $ 30 ) difficult get . pet friendly , call ahead confirm get say stay smoking room due dog . know ahead time ( like initially call ) would stay somewhere else . eventually able switch room , fail tell we info ahead time . location fairly close Pier 39 / etc , receive average service . stay worth price . 
 Jun 3 2008 	 Terrible Hotel 	 First , hotel say would not charge card run upon arrival . yet , immediately $ 394 hold show . second night stay , $ 208 hold show card . around $ 600 pende debit throw debit card unexpected tizzy . later find charge $ 250 fee smoking non - smoking room . not smoke ! ! ! ! ! speak manager find housekeeping & quot ; bust & quot ; we . oddly enough , Disturb sign door duration stay housekeeping never even room . finally get manager reverse $ 250 fee quite ordeal . leave bag full souveneir ( spelling ? ) hotel . call see find could send we , say nowhere find . check everywhere else , wonder housekeeping staff enjoy expensive sweatshirt trinket . also , $ 28 night parking fee outrageous . charge $ 25 $ 3 tax . not time research hotel since book hurry do research since hotel outrageous parking fee . , never stay hotel warn everyone listen avoid well . 
 May 13 2008 	 Decent hotel almost shady area 	 base review see , initially bit afraid stay . however , disappointed stay way . first , opal old hotel , not expect stay Hilton anything like that . first impression : airport shuttle drive straight hotel . lobby clean , appear hotel well keep . front desk man help we nice , answer question . give we map tell we get place want go . far , good . the room : walk surprised large bedroom . two queen sized ( think ) bed three we , enough room stretch . room clean , sheet clean , problem there . the bathroom : usually worry , normally place housekeeper neglect clean thoroughly need , ' ve see review . problem either . always look stray hair floor , toilet , sink , not see . clearly old bathroom old tub , old sink ... old , not mean unkept kitsch . old - fashioned . continental breakfast fine . would expect - bagel , danish , orange , cereal . nothing fancy , nothing awful . get we energized day . location : edge Tenderloin district . good part town worst . bum outside area point , harmless ask money . SF big city , homeless people big city , 's risk take be go visit large metropolis like one . walk around bit night , cautious stay lit area . would not recommend walk around much simple fact , be large city , anything happen , especially look like dumb tourist . close attraction : much walk distance . across street Tommy 's , bar look pretty busy every night ( 4 night ) . Mel 's Diner next door part hotel , open 24 hour . 's greasy spoon , be hungry everything else close , 's shabby portion huge . also gym AMC theater block . see restaurant , like persian restaurant , bakery , Quizno 's block Thai restaurant , not go they . transportation : bus line close hotel run north , south , east west ( Van Ness , Geary , O'Farrell ) . trouble get bus . convenient . 5 min Union Square . 10 - 15 tourist attraction . all , bad place . will not exceed expectation value convenient location decent stay , will not disappoint . price not cheap , 's cheap could find close place want go without go dangerous area town . 
 Apr 27 2008 	 would stay 	 book hotel 2 day stay 2 double bed room leave smoking room . book anyway last minute price little $ 100 / night , think quite reasonable . review hotel tripadvisor mix positive negative , doubt hotel would end like . much surprise , really enjoy stay old victorian charm . request nonsmoke room arrive happily arrange . room 2 double bed , television , desk telephone , coffeepot cabinet / closet . not extremely big small either ; good size . coffeepot break first night , call new coffeepot vaccuum , someone within 5 minute . breakfast complimentary every morning 7 am - 9:30am consist sliced bread , bagel , danish pastry , coffee tea , orange cranberry juice , cereal ( Cheerios Raisin Bran ) milk . also business fitness center make use of . the location within walk distance downtown .. 8 short block hill . bus also easy downtown . bus stop across street . also bus right outiside Fishermen 's Wharf . close Tenderloin area know lot homeless people , harmless . ask spare change . hotel lock front door midnight need key open . think good quite safe . I read another person 's comment narrow steep stairway small elevator . turn person refer second set stairway elevator . main one fine walk stair everyday . read another comment slow drainage shower ? problem . toilet old style flush weak . seem like overflow , flush completely . # 2 , might need flush twice . I would recommend hotel would stay again . unfortunately , miss wednesday wine cheese night . : ( 
 Apr 27 2008 	 beyond expectation 	 please one week stay Opal . upon arrive , tell upgrade we suite night charge king bed request first night . find hotel staff friendly , proficient . breakfast good location great , take bus Fisherman 's wharf 1.50 come right front hotel . either take bus walk many location well . really enjoy restaurant locate nearby , Tommy 's Joynt great , Chevy 's mexican block Van Ness $ 3.00 drink appetizer special Mon . - Friday , can not beat ! ! ! ! would definitely go back ! ! 
 Apr 22 2008 	 great location value 	 really enjoy stay Opal . go two night find everything exactly expectation . 1908 hotel everything would expect old hotel : beautiful high ceiling , funky stairway , charm . also almost amenity update modern hotel : business center internet access every room , good workout facility , spacious comfortable contemporary decor , full continental breakfast buffet . even enjoy room service provide famous Mel 's Diner next door . lack pay - per - view movie , could live without . also will not find mini - bar . live without luxury , will really like Opal . staff front desk clearly european collection . believe hear 6 different language spoken desk , enjoy Weds evening free wine cheese night . know reasonably price , clean comfortable hotel see pilot major airline sizeable tour group Germany France coming stay locale . course , be location 1 mile walking distance Union Square $ 7 taxi ride Fisherman 's Wharf add appeal . not expect super - fancy satisfied . 
 Apr 10 2008 	 Great Room Location 	 Opal great . arrive tired irritable hectic flight . staff friendly helpful even though little cranky . room nice clean . contintal breakfast good . complaint parking situation great . pay $ 28 day assign parking number , spot may may available . stay actually people pay parking spot , none available front desk overbooke spot . 
 Mar 25 2008 	 shockingly bad 	 book reservation online two room two double bed per room . get want deposit $ 50.00 per night think ridiculous . work hotel industry hotel charge flat deposit $ 100.00 . well , check go room find give we two room one king size bed rather two double . upon call front desk staff rude we explain reserve explain not reserve give we free & quot ; upgrade & quot ; want two double bed would pay . would pay king size bed & quot ; upgrade & quot ; . accept room inquire could least get rollaway bed . tell want rollaway bed would cost we $ 15.00 day . need less say we sleep floor . the bathtub slow drain make shower uncomfortable . breakfast severly lack . stairwell extemely narrow steep . take week get deposit back . stay motel well poor excuse hotel . work hotel industry Waikiki , Hawaii way treat staff ' m surprised guest all . none we ever stay recommend customer friend go . 
 Mar 19 2008 	 Great Value 	 also book hotel hotwire pleasantly surprised . rate pay , would rate Opal exceptional value . room large clean , front desk staff friendly helpful location fine traveler new City . 
 Mar 8 2008 	 Ok pirce 	 stay 3 night find nice less clean ( WC do not flush correctly ) . staff ok breakfast rather poor . area definitely good walk union square 15 minute ( would not recommend walk night unless be big group ) . overall ok , specially price ( 80 $ /night priceline ) would not stay recommend hotel . checkout sure receive account , charge 130 $ two 5 minute phone call , pretty outrageous ask , not attend express checkout use phone , check bill able complaint later . 
 Mar 1 2008 	 great deal price 	 San Francisco Chinese New Year . book hotel website get good price room . ask quiet room give one face AMC movie theater next door . room well insulate , could barely hear street noise , even hotel face Van Ness . room nice size , clean , nicely decorate . bathroom small , fine single traveler . need well pillow , be soft feel crunchy , though bed comfortable . continental breakfast adequate . access computer lobby tourist brochure would helpful . hotel locate edge Tenderloin , bus system great not need walk area . overall , good value price . 
 Feb 29 2008 	 nice spacious room great value 	 pleasantly surprised Opal San Francisco . staff helpful , friendly , even wine cheese party lobby Wednesdays . room spacious clean bed comfy . bathroom bite tight space , impeccably clean . dining transportation right outside front door . would definitely use hotel . 
 Feb 20 2008 	 good hotel good price 	 book hotel Hotwire kinda worry see bad review . ' m pleasantly surprised . ok , see panhandler outside hotel not see bug people much . ignore , nothing happen . bus stop near hotel bring many place . , location bad all . room clean quite roomy . 's soundproof hear kid scream run hallway sometimes . many family seem stay hotel . breakfast ample . sometimes room get crowd . wake quite early time not face problem . all , ' m happy stay . 's good bargain good hotel . 
 Feb 18 2008 	 good overnight 	 book hotel hotwire , little worried would find . rate 3 star ... definitely would . stay three night . room okay , continental breakfast okay . bed pillow middle age -- like sleep ground straw - stuff pillow . think could put one night , three MUCH . pillow , feather pillow . however , must cheap feather pillow could find . constantly get jabbed face feather spine ( call ) . could feel feather , spine . truly like sleep straw . positive note , staff nice enough . restaurant - Mel 's Drive Diner bottom floor hotel . okay food -- clam chowder Friday good . hotel within 15 min walk Union Square -- hill way . take cab bus back up . I would stay . recommend reservation . sister stay later week price , good value . tell pack pillow . 
 Feb 4 2008 	 great value 	 great find Hotwire $ 64 ! park nearly half room cost , onsite secure . room clean . bed little uncomfortable , okay . bathroom small towel decent . 
 Jan 29 2008 	 good location OK Hotel 	 location price good . room average amenity would expect 2 star hotel . coffee maker heating control work even confusing ( time thermostat ) . Mel 's diner connected hotel . also sandwich sport bar across street . convenient downtown 6 block trolley line ( great walk rain ) . walk distance BART ( mile ) . 3 night business walking distance business location . 
 Jan 8 2008 	 San Francisco Treat 	 stay hotel work stay hotel area one fave . location great ; great walk wharf union square . lot great restaurant one block behind hotel Polk St . staff nice breakfast morning not bad . room old eclectic ; bed comfy bathroom pretty small great water pressure ! always find quiet . hotel attach Mels diner make nice since open 24 hrs . homeless people hang around find place San Francisco not hang around let know ! love city would definately recommend Opal ! 
 Jan 3 2008 	 Good Bargain 	 questioning choice hotel first approach exterior hotel enter , lobby nice , bedroom surprisingly decent . room good size decor remind old english style . feel drink tea eat biscuit room . front desk really helpful upgrade room 2 double bed charge . bed comfortable , plenty pillow , staff friendly , room clean everyday stay , complimentary cheese & amp ; wine nice touch . location little rough hotel seem secure . conveniently locate 38 Geary bus line 47 Van ness line . find easy get tourist location . Downside ppl stay hotel really noisy night . overall really satisfied price pay . would definately recommend hotel budget conscious traveller . 
 Dec 27 2007 	 bad 	 rate overall experience average base value money . stay twice two week california . hotel location excellent , other mention . buy 7 day pass unlimited access sf public transit include cable car , bus , etc . problem bed bug noises room . smell musty though . however , since have pay less $ 60 / night hotwire think great deal good value money . would not pay whole lot hotel though . 
 Dec 2 2007 	 not let Bedbugs Bite ! 	 friend stay Opal . friend book Expedia location decent show plan go . front desk disorganized/ frazzle , room date ( think late ' 80 's furnishing nick , etc . ) likewise , room clean ( hair shower , dust light fixture , etc . ) . would tolerable clincher bed full bedbug , adult baby bedbug . travel companion receive nasty bite ( yes , certain bedbug look online squash one full blood post - biting friend 's arm ) . check , alert front desk bug . gentleman stare we blankly . would not stay place . 
 Nov 25 2007 	 pretty good value - major complaint 	 hotel quite dated , slightly San Francisco centre opinion , wbesites say 1 3 block walk union sq , - 10 . area not nice street behind hotel honest not even need walk issue . its main road great transport link include bus stop right outside go Fishermans Wharf . bus reaslly good efficient - every 7 8 min . cable car - Califorinia line also quite close . hotel give complimentary brekkie we great - bagel , pastry , toast drink good include price . room ok size - look kind central & quot ; atrium & quot ; seem close people room . bathroom date work ok - , decoration everywhere outdate . large tv , 2 double bed - 2 girl stay 3 night overall woukld say yu get good deal good base aware quite far away main attraction , go cold def walkable -however summer may fine ... ! ! ! email wan na ask anything : ) 
 Nov 14 2007 	 fun @ Opal 	 convenient location city bus line stop right front hotel . bus line take directly Fisherman 's Wharf . another busline right across street take directly Union Square . hotel clean staff nice . highly recommend Tommy 's Joynt across street cheap eat drink . 
 Nov 14 2007 	 Wonderful Budget Hotel 	 expense account simple , clean , quiet centrally locate place stay . bed comfortable shower great water pressure heat . continental breakfast sufficient get go take bus right outside Fisherman 's Wharf walk 5 block Union Square . great mix Americans , Europeans , Football Fans Airline crew come go day . staff friendly helpful . need drive hotel short 10 - 15 minute relatively flat walk BART directly connect either SFO OAK . great find . back . 
 Nov 9 2007 	 Nice Decent placegood location 	 Overnight business trip , require take eitherpublic transportation taxi , opt public transportationso get feel local teach daughter thattheres city wizzing taxis . hotel location Van Ness close everything . Staff give good advise take BART system theairport take free transfer 47/49 bus drop rightin front . hotel remind turn century veryquiant comfortable . staff great , continental breakfast donut coffee - we goodselection thing eat . room clean roomy , stay Jr. Suite also work small gym functional . Business Center print departureairline ticket cost . opal good enough even Pilots Airline Stewardess usually make stop over repeatedly . we see alot lobby . famous Mel 's Diner , Roundtable Pizza , sushi place AMC theatre next door . great convenient location - Union Square several block away actually walk - another way see city . overall daughter know get around SF get job . btw , parking garage gate light , plus . would stay . 
 Nov 8 2007 	 Great Hotel Price 	 Room little worn clean maid service great . location great since Van Ness bus right front hotel . easy get around . breakfast fine . overall , clean , safe , enjoyable stay . 
 Nov 8 2007 	 Great Location Great Hotel ! 	 friend stay Opal long weekend . location os great , 's locate corner Van Ness Geary . Union Square 6 block Geary , great place stay want near downtown pay downtown price . room clean ! maid service EXCELLENT . front desk staff helpful attentive need . strongly recommend hotel anyone visit San Francisco ! ! ! ! 
 Nov 6 2007 	 nice room good location 	 spend 5 night vacation SFO . decide stay Opal Hotel beacouse get special discount rate travel agent . arving be not specialy suprise .. bad excelent . location pretty good - 10 block away Union Squere , prety easy acess Market Str Castro District . Room be not big clean fresh . furniture old stylish . bathroom small clean nice big mirror . hotel provide high speed internet acce room . only issue complain breakfast .. bagel coffie . that s . generaly good stay . 
 Nov 5 2007 	 Moldy smell maid come room 	 book 3 room family ( adult ) stay San Francisco 2 night Opal . first , parking pretty ridiculous , drive gate sign say wait operator ask spot suppose parking . never come loud speaker 5 minute sit wait hold traffic put car park , get car press button pedestrian maybe 2 minute finally ask , get drive . spot not take someone else lucky , lucky see other werr strand middle parking lot spot go speak front desk staff . room smell mold musk ( old building , come ) . sound traffic one room loud trouble sleep . put & quot ; disturb & quot ; sign door handle really want maid come room ( stay 2 night need new towel anything , not want anyone touch thing ) ..... day city come back room , notice right away maid come make bed ( touch thing , include blanket bring not like gross hotel blanket never wash ) ... feel disgust maid come room handle thing , especially make perfectly clear not want ...... old apple bed , room leak , plumbing issue , etc ...... horrible area town , going see homeless people city , not something stand .... would stay . 
 Nov 1 2007 	 nice hotel ! ! ! 	 hotel locate district nice close interesting street . instal typical building room also typical . negativ item : - one guy staff wery friendly , use oblige ask one ! ! ! - car park expensive $ 28 per day ! ! ! - breakfast good without choice ! ! ! Positiv item : - nice room ! - Clean - Comfortable 
 Oct 29 2007 	 great ! 	 friend stay place San Francisco Pride . close need go . room nice cheap . staff friendly helful . 
 Oct 28 2007 	 Great Place 	 great place stay . lovely victorian interior . got stay via Priceline 22 - 25 Oct 07 . initially wary location review Tenderloin . turn really nothing . bus stop convienent place SF . afraid Tenderloin , location opal busy road , nothing afraid , homeless people harress . got complimentary upgrade Executive suite , great place stay . 
 Oct 26 2007 	 kink 	 stay couple night Mid - October 2007 ~ hotel centrally locate city make convenient San Francisco offer . People @ front desk helpful friendly , although ask twice nw frequent flyer account credit daytime desk clerk know post credit guy desk @ night accomodate request right away . continental breakfast serve 6:30 - 9:30am . cream cheese serve bagel go bad ( curdle ) item O.K . 
 Oct 18 2007 	 Fire alarm go every 3 hour smoky curtain 	 good : room overall comfortable , location central however safe , example , would not walk alone night , be close tenderloin therefore transient may approach . bad : front desk less indifferent , give terrible direction hotel airport , really not like talk interact people . room comfy , typical hotel room , curtain smell strongly tobacco fire alarm keep go two night , could not get anyone phone tell exit building . 
 Oct 17 2007 	 bad 	 hotel bad review indicate . locate edgy part town , 7 block Union Square major bus route . we come cruise check 12 noon , put we 2 room right away - 2 kid 4 adult . get good info Brad buspasse street avoid . get cab airport $ 45 6 we ask front desk arrange this . the 2 room back hotel , 4th floor . fairly quiet . thing know : watch fine print restaurant menus mandatory tipping , get dinge 18 % party & gt ; 5 people noodle house japan town . also beware price gouging . corner deli hotel , price board charge , question blank price change price ? ? ? ? overall good trip San Fran would stay . 
 Oct 2 2007 	 convenience 	 close bus cable car route . use $ 18 Muni pass forget car . room small comfortable . lot pillow environmentally friendly china coffee cup . breakfast room always crowd could use seat . see one little elevator quick never busy . maybe not find other . enjoy stay . 
 Sep 21 2007 	 Okayfor price 	 stay two week . the thing fear : dirty room ; theft personal property ; tenderloin beggar harass we ; tenderloin violence ; poor service . thing look forward : location ; cheap stay ; convenient restaurant ( Mel 's Diner ) ; convenient movie house ( half block ) .The reality : room clean keep clean , although 2 day request cleaning staff attend room 4 p.m. none cleaning staff speak fluent English . nothing steal . roombeggar territory pretty much stick it . they largely polite . there many ( drunken ? ) nighttime yell match outside hotel room ( Geary Vann Ness ) , double glaze shut noise . often garbage geary side hotel , persistent smell urine area , problem 5th floor room . the immediate area hill Van Ness little rough , nothing fear . immediate area hill Van Ness commercial less tenderloiny . location generally good bus etc . ( rely public transport use Muni pass , get everywhere need get -- includng Muir Woods SF zoo -- easily . ) Golden Gate Transit bus Marin County , Muir Woods etc stop one block Van Ness ( turn right hotel ) Buses Muir Woods limit , call first . ) book package Travelocity five month ahead time get whole two week , accommodation r / t air fare Hartford CT two $ 1,500 . hotel portion $ 700 , accord Travelocity 's money - back gurantee , separate airfare hotel cost . overall , time year ( July 14 -31 ) , think excellent price . Mel 's DIner downstairs serve diner food . screw couple order take & quot ; go & quot ; room upstairs , , generally , okay place eat . Tommy 's Joynt across road overrate per food quality . serve cheap , institutional - type meat - and two - veg food . overall , perfectly content accommodation . ask , receive , room little bit view city . room , hear , face brick wall . ( room ( think ) 516 ) . room not big , not plan hold convention . spend in - house time sit bed . coffee packet etc available replenish random fashion : sometimes none replenish , times three four packet . none room personal refrigerator . excellent Whole Foods Market five block Van Ness half block California St. the bathtub someone 's hair arrive . water drain well shower . toilet get block one day ( nothing ) someone fix short order . the shower head foot low . ( ' m 6 ft tall . ) flow temp fine . the & quot ; king & quot ; bed actually two small bed push together . come apart slightly , really not notice much all . the bed issue -- sleep fine -- five pillow , plenty we . sheet towel change every day , little tardily time . overall , releive not deal negative issue record TripAdvisor reviewer . a couple staff pretty aloof arrogant demeanor , issue . staff member delightful . use hotel 's computer expensive budget traveler -- min . $ 5 20 minute . ( apparently ) free WiFi service . the & quot ; free & quot ; breakfast familiar selection cheap fat , dough sugar . pretty well bagel two coffee breakfast , save we lot breakfast expense . anyone actually like eat real food morning might well eat breakfast somewhere else . we would consider stay Opal , particularly get price . ' ve stay well place SF . ( Holiday Inn Van Ness street ( hotwire book ) much well deal . ) serrano , hand , largely unpleasant experience , include troubling incident clerk try withdraw $ 400 bank account book account & quot ; upgrade & quot ; never ask want . ' ve learn ever use credit card barely hundred dollar credit available secure room , since place like Serrano charge undiscounted rate -- add difference -- guest prepay book discount broker Tavelocity , Hotwire etc . one final warning : opal stock room booklet local business restaurant etc , probably useful . however , chicken noodle meal order deliver Brandy Hos , Hunan Food ( 217 Columbus Avenue ) , recommend restaurant booklet , absolutely disgusting . part gristle raw . soup taste like urine rice nearly break tooth . chicken taste raw like retreive hold Spanish Galleon three month sit salt . one bite gag . $ 50 two meal ( treat allow ) , expensive lesson two budget traveler . on hand , Crepe Vine ( Irving 23rd Streets ) offer excellent food . N - Judah go right Market Street . ) Dottie 's true Blue Cafe ( 552 Jones Street ) overrate per food quality , interesting dining experience per reputation intrigue menu offering . although , prepare line outside harrasse line local beggar etc . 
 Sep 19 2007 	 's decent alternative 	 stay hotel could find decent price . price great get - decent room , decent location , ok service . the Hilton . price , good deal . Van Ness busy street , traffic noise really low . if want pamper , stay somewhere else . 
 Sep 14 2007 	 shabby edge 	 location slightly shabby hotel , advertise , anywhere near Japantown . 's Van Ness , busy traffic corridor . Service , decor amenity markedly 3 - star standard . information parking across street another hotel ( Opal 's small lot full ) offer -- ask , desk clerk volunteer validate ticket discount -- , ask . there short flight step get lobby one help bag . carpet public area stain , room stuffy furnish cutting - edge 1993 style . free internet access plus . miniscule bathroom off - brand toileterie round impression miss mark good deal , may lucky -- wait check , man ahead , register guest , stand line tell desk clerk , second time , toilet room function . 
 Sep 12 2007 	 keep cancellation number 	 make reservation stay August 2007 get charge night cancel . so would recommend reserve room cancel SAVE CANCELATION number ! 
 Aug 26 2007 	 extremely poor service 	 make reservation hotel hotwire.com week advance get Opal hotel tell we overbooke put we really bad motor lodge near . service extremely poor get pay . 
 Aug 25 2007 	 waste valuable time vacation '' 	 family three day guest hotel . however book four night ! ! change reservation four night upon arrival , however host could print confirmation . last night ( come late dinner kid .. ) , someone room .... change reservation go family midnight hotel . pack everything ( stuff miss ) blame we ( unfriendly staff member , say fact maybe germany .... , good experience germany ... ) . find hotel middle night , frontoffice could help , charge late check ! ! + extra parking charge . find two midnight hotel SF airport good ( Holiday Inn express ) . BOOK HOTEL FAMILY ( ! ! ) 200 % agree note Jun 18 , 2007 dawnhare , Minden , NevadaThe good ignore hotel ! ! 
 Aug 15 2007 	 nice surprise 	 hotel convenient price 89 dollar night high season . breakfast adequate would expect . ( i.e . bagel , muffin , danish , cereal , coffee , juice , fruit ) Union Square 5 minute walk away . complain area probably not familiar downtown large city America . panhandler etc . ghetto other describe . room clean , staff helpful , bed comfortable , hotel need provide . lobby area even wine cheese reception one evening nice touch since could talk fellow tourist experience meet interesting people . Mel 's Diner also quite convenient need late night bite . 
 Jul 23 2007 	 real surprise ! 	 really surprised hotel . 's old first appearance not seem lot go . homeless people area , be locate busy noisy street . all fade away get inside . lobby like walk someone living room . room well furnish comfortable . bathroom tiny not care . get great night 's sleep . alley side hotel not hear much noise . staff helpful give direction advice local attraction . fitness room small adequate well stock towel . free street parking night Geary classic Mel 's Dinner locate next door . it not feel like old run hotel . like well keep comfortable old classic . treat lot cheaply build modern hotel . will stay . check web site rate . beat internet rate $ 10.00 call direct ! 
 Jul 4 2007 	 price ok location amenity 	 look look hotel San Francisco choose Opal well price location bad . read review also choose hotel . take , well expect . free internet hookup room great labtop , adjacent bus , walk distance trolley 15 minute Warf . would recommend hotel . clean clearly maintain . parking site $ 30.00 per day other charge . downside room smell bad light scented candle cover odor . 
 Jun 30 2007 	 Great Budget - mind 	 room clean , comfortable , quiet ! personnel desk helpful friendly . continental breakfast every morning three morning , lack variety ( i.e . one kind juice - OJ apple fruit ) . hotel provide free internet access print boarding pass . stay , sure request room window look onto city . room first floor inside building & quot ; lovely & quot ; view ventilation system . could never tell go foggy . 
 Jun 18 2007 	 waste valuable time vacation 	 book reservation one month advance ; arrive , reservation said cancel . try blame we , cancel . calm ask would . stood say sell help , offer additional assistance ever . say find reservation nothing . , stand . never poor experience hotel travel lot . went stay Hilton Wharf happy ! much nice staff nice hotel much well area . Fisherman 's Wharf great fun entire family central take trolley cab place , would never stay place else ! let Opal ruin vacation almost 's skip book someplace else . 
 Jun 18 2007 	 decent place crash 	 book room Opal Hotel Hotwire . excellent value $ 69 per night , plus tax . upon arrival , tell possible get room two bed . give small room one queen bed Hotwire customer . staff friendly knowledgeable . fine , friend could share bed one night , big deal . hotel old character . location good , right Van Ness Geary . lobby nice . room small everything one might need . bed super comfortable pillow great . could figure , strong pervasive smell cigarette smoke come bathroom . floor non - smoking inquire problem front desk , say hotel non - smoking . bad smell quite annoying two non - smoker . try breakfast ( wake late ) eat Mel 's Diner , connected hotel . pretty convenient . parking $ 25 per night garage connect hotel . also convenient relatively affordable , many hotel SF charge upward $ 40 per night parking . would recommend hotel budget traveler look place sleep shower expect want luxurious accomodation . 
 Jun 6 2007 	 good value money 	 book hotel last minute website get good rate . price pay , pleasantly surprised . expect budget accomodation find quaint , victorian look hotel character . room decently size big bathroom . Location OK . exactly central , bus front get Wharf downtown catch side hotel , US $ 1.50 one way remember correctly . complimentary breakfast bonus US ( rare ) , although quite minimal ( bread , cereal , croissant , nothing cook ) . breakfast area fill quite fast .. guest seem french . downside room safe , none lobby either . 
 Jun 5 2007 	 good quality great price ! 	 boyfriend spend two night sf bay area ( drive pacific coast hwy -- must , btw ! ) hotel . choose hotel pretty positive review get website reasonable price per night . disappointed . room clean ; lot pillow comfortable king - sized bed ; free internet access room ( long bring laptop ; otherwise , also business center downstair pay $ 5 access pc / printer ) . opal may fancy area , location pretty convenient public transportation , lot decent local restaurant bar within easy walk distance . opal offer free continental breakfast , not anything brag -- treat meal mel 's din , connected opal -- hangover chili omelette rock . overall , stay opal positive experience would definitely stay . 
 May 28 2007 	 Basic 	 get hotel $ 69 night hotwire.com feel good value price.1 . booking : book hotwire.com hence can not comment hotel 's booking process.2 . location : location hotel 's good feature . 's Japantown area , muni bus direction available within block . lot good eating place around hotel add locational advantage.3 . check - in : check pretty late ( around 9pm ) everything do smoothly . reservation wait check - in process take barely 10 minutes.4 . room : room little small . room 2 double bed , tv , Table & amp ; Chair , little space leave room . view window building next door since almost entire day day , not really matter . the bathroom small functional . much space keep toiletry . toiletry provide hotel pretty good quality shower hot powerful . room 2 bottle drink water not sure complimentary . turn , were.5 . complimentary Breakfast : breakfast good quality litle inadeqaute . bread , bagle , thomas , muffin ( sweet , thankfully ! ) , coffee , tea , cereal , apple , banana etc . add egg oatmeal would great.6 . check - out : since prepaid , check - out smooth quick . additional charge . all great stay . would definitely stay similar rate . 
 may 12 2007 	 get rob 	 maid , another employee , find credit card money hide luggage stole . leave anything valuable hotel room - stand good chance lose . front desk staff friendly helpful otherwise . location not great not seem dangerous either . get around easy catch Muni . room small prison cell , clean bathroom small nice . bed comfortable . 
 May 10 2007 	 great family hotel 	 Booked hotel internet one cheap rate could find family four San Francisco . pleasantly surprised ! arrive late New Years Eve two day fly sleep ! Receptionist inform we non - smoking room available first night . apologetic interested find place sleep . smoking room allocate instead motel style , clean spacious apart predictable smell smoke fine . next morning receptionist upgrade we junior suite cost remainder stay . suite spacious two double bed sit area , bathroom little small functional . breakfast excellent although breakfast room small easily find place sit family . hotel staff extremely friendly helpful . happy answer question give we advise public transport get place interest . Hotel centrally locate public transport right outside front door . city centre walking distance . although hotel right edge Tenderloin , find problem . stick main street night experience problem . would highly recommend hotel family room two double bed spacious plenty room spread . staff tolerant child helpful . if affordable , centrally locate , clean , quiet nice unpretencious hotel , Opal excellent choice ! 
 May 10 2007 	 Good Budget Hotel convenient location 	 stay five night double room third floor . old property quieter room . good standard cleanliness nice bathroom show . bed little hard taste bad.good location right bus stop . good deal get bus pass allow bus tram & amp ; cable car unlimited . nice complimentary breakfast get early get busy later . lot tramp strange people general around San francisco cause problem . can recommend Mels Diner next door great Steak & amp ; Eggs . 
 Apr 28 2007 	 rob opal 	 arrive San Franscisco April 14 raleigh North Carolina . excite vacation . staff opal seem run mill staff , nothing special . go across street get bite eat wait rest family member arrive . wife go back room take shower 2 hour later report coat go , umbrella , sweatshirt , ipod know else . say walk opal employee walk . reason opal employee room , 2 hour . talk front desk say wold send whoever room . wait 20 minute go front desk . take 40 minute find individual room . ask stuff , say show . hide ipod cosmetic bag corner bathroom . find odd . ask clothe ? minute silence respond & quot ; locker & quot ; . go locker pull huge garbage bag clothe pull bag ! ! ! ! ! talk manager phone say meet Monday . ask comp room another hotel way go spend night didi not feel safe . say sorry can not help meet monday ! spend first night San Francisco . hopefully will not happen , would not chance ! ! ! ! ! ! 
 Apr 25 2007 	 Good Hotel kid tow ! 	 read good review people mention really impressed hotel . easy find close everything . able check early ( noon ) drive 7 hour kid . room average size get great deal room online . bed seem short size hard make due . day everyone different allegy problem non feather pillow ! lucky bring mine home , would send near hospital . continental Breakfast ok . website mention famous waffle be not . muni stop ( 47 & amp ; 49 ) right outside door take straight either California street ( cable car ) pier 39 & amp ; Fishermans Wharf . parking hotel $ 25 day parking structure across street $ 20 . park across street , hotel 's parking gate work want . wait 15 minute open . do not like hotel walk night kid . explain thing do not want . daughter see many thing should not alot question . hotel great would definately stay . already plan come back October anniversary , time kid ! 
