quiet 	 spend week Commodore Hotel highly recommend hotel other . stay various hotel London believe hotel good value money . room small sparcely decorate clean cozy . lovely room top floor enjoy peace quiet . breakfast good service . location fantastic Lancaster Gate Bayswater tube station . Hyde Park stone throw be away . room inexpensive like husband , need room within sleep . perfect spot . 
 great location 	 spend last weekend London friend . Stayed Commodore 3 night small clean nice room . friendly staff , great location . arrive Gatwick problem get hotel . quiet area , nice pub ( Mitre ) fantastic lebanese restaurant ( Fontana ) near . would definately stay . 
 Aug 21 2007 	 cute traditinal English hotel 	 live London twice first time go back vacation . go husband good friend husband . choose stay traditional english hotel rather one well know chain hotel . get great deal on - line . hotel nice , clean , staff friendly enough . room small bathroom tiny , expect traditional type hotel much time really spend room anyway ? ! free continental breakfast nice way start day include much food continental breakfast ever get US . hotel nice , safe area London close tot tube . one favorite pub , Mitre , locate nearby- great food drink wonderful atmosphere . would definitely recommend hotel anyone look nice , quaint hotel want taste traditional english accomodation ( private bath room ) . 
 Aug 13 2007 	 one tell small room really 	 first time London , love city . hotel quiet area beautiful Hyde park , 10 minute walk subway ( underground tube ) bus stop one minute walk . take 20 30 minute get destination , ok . onto hotel , room small almost could not breathe . small hallway lead double bed enough walking room either side . across end bed small close table tv ( small ) . bathroom good size experience hot cold water regularly shower . ask big room show one another twin bed foot big . decide take least view back overlook little house . yes hear noises floor . breakfast good staff pleasant helpful . try explain difficulty size room , tell large bedroom , know big , ' m usually fine hotel room one . leave hotel whole staff start laugh we , find slightly funny also discern time . really not care say we north americans not use shrugged shoulder . get use room , view window open . lift / elevator supposably hold 4 people would go husband , 3 3 lift not big , guess common london . thank God London worth . oh yeah get tube bus pass zone 1 2 around $ 23 pound week well worth . would go back London heartbeat hotel . 
 Aug 5 2007 	 Basic problem 	 hello , stay commodore three night . * room nice basic * Personnel friendly . need change one room everything take care handle smooth way , thank . * location good , short walk tube . close Kensington Oxford Street . the problem breakfast room . tiny room eat . either push waitress one sit next . good way start day . anyhow , would stay eat breakfast cafe close hotel . 
 Jul 18 2007 	 good experience 	 stay 2 night ( We d & amp ; Thurs ) . three us - one twin room one single room . room small clean well equipped . single room compact shower bath bit disappointing . flat screen tv though twin room tiny portable . could claustophobic stay long ! visit london stay room ! find hotel quiet yet busy morning breakfast . breakfast great - ( include room rate ( Stg £ 94 twin £ 84 single ) good selection breakfast - usual juice , grapefruit , prune , big bowl natural yoghurt , cereal , bread toasting , roll croissant , mini danish , ham cheese etc cook vbreakfast could order extra charge . staff friendly efficient refilled breakfast supply almost end service . 20 minute walk OXford street , area lot hotel . close kensington Park PAlace short walk ( 20 min bring high street ken . ) overall enjoy stay hotel - find staff efficient hotel clean go long way ! would stay . 
 Jun 20 2007 	 great hotel 	 last three day wonderful trip Great Britain , one great experience . entire hotel staff pleasant , helpful available need . meal ( breakfast evening ) quite good . menu choice quite adequate staff make sure every detail satisfactory . plan another trip United Kingdom upon arrival departure , will stay hotel . wonderful stay ..... close beautiful garden . much time spend walk park . I would highly recommend Commodore Hotel place stay ! 
 Jun 15 2007 	 good value 	 wife work central London need somewhere stay night book base upon review . 's nice hotel , nothing spectacular excellent value money . deserve 2 star rating . location2 min Hyde Park , 10 min Paddington station , 5 min central line tube 20 min walk Marble Arch . major tourist attraction within striking distance hotel small quiet square . plenty restaurant nearby 's area feel comfortable walk around dark . hustle bustle close enough require . Roomsmall clean , show sign wear nothing put . great shower small bath . room sleep room service though . Reception & amp ; barfriendly helpful reception , bar quiet nice decor sensible price . attempt rip like many London hotel . breakfastthe include continental breakfast adequate want cereal toast . cold ham cheese not try . grapefruit prune tin fresh fruit basket . hot food extra attempt really rip something like £ 3.00 hash brown srambled egg £ 8 full breakfast . there restaurant not try . overall hotel seem pitch midmarket do well . would not hesitate stay recommend people want sub £ 100 night room day . would probably need pay nearly twice something next notch - up . 
 Jun 8 2007 	 Hidden Gem Great Location 	 little worried booking seem good true . fact excellent deal . fantastic location accross Kensington Gardens close zone 1 tube stop . Internet Cafe 's Queensway walk Notting Hill Marble Arch make great spot . townhouse part property directly accessable lift able use lift go way . room clean , bright tastefully decorate . include breakfast good get day go . highly reccommended . 
 Apr 28 2007 	 good choice 	 stay hotel week begin March . read reviews hotel trip advisor booking package orbitz . choose hotel base price location tube & amp ; Hyde Park . I please hotel . room unique set . enter bathroom right go 5 stair room king bed . room look street & amp ; Hyde Park . room small european hotel room . room tastefully decorate . complaint room . safe difficult open staff assitance open one occasion ( never problem hotel ) . carpet stained & amp ; need replacement , could dial friend room hotel phone . phone work fine call front desk . we continental breakfast everyday certainly help save money especially give current exchange rate ! tube short distance hotel great . neighborhood around hotel quiet & amp ; safe . would definitely stay commodore next time visit london . also recommend Mitre pub around corner . food great . 
 Apr 1 2007 	 Theatre Trip 	 Theatre trip London , friend , stay Commodore , first time , last ! ! ! Hotel Excellent |Location , close Westend etc , room small side , however immaculately clean & amp ; well equip , hotel staff friendly & amp ; helpful & amp ; hotel facility ie : public area 's etc lovely.the one downside hotel would suitable disabled elderly people unless fit , room accesible Stairs.on whole though Commodore well worth visit 
 Apr 1 2007 	 Great Location 	 return spur moment trip London . depart Amman day decide spend weekend London ! immediately begin research line hotel dismay cost hotel disparage review pricey location ! keep come back Commodore Hotel location mostly positive review . , husband decide take chance book thecommodore . arrive morning prior check time long flight layover Bucharest . pleased able take Express Heathrow Paddington short hop Paddingtonto hotel underground . walk hotel Lancaster Gate thrill ! hear alongside Kensington Gardens , 's tree , flower , fountain , etc . ( must realize Amman , Jordan green ) . arrive hotel staff welcoming , check we room immediately , even though early . lobby , somewhat small inviting confortable . tea dessert serve one desire . room inside room kingsize bed , desk , chair , armoire , tv entertainment center mini bar . bathroom wonderful bath tub shower . , luxury one hate use much water Amman . linen quite nice , bed firm , comfortable pillow soft . large window allow we view weather , check temperature , etc go day . breakfast buffet comprise typical bread , cereal , fruit , juice , meat , cheese , condiment well tea coffee . one desire , could ordera large English Breakfast . neighborhood great walk many nice restaurant nearby . architecture also pleasant , fun walk city view different building site . the negative floor squeak bit , person we move , could hear . not London spend time lie bed generally start move 8:30- 9:00 , really problem . I would hesitate stay hotel . see basement room room compare , quite nice . 
 Mar 31 2007 	 beautiful great value money ! 	 boyfriend stay commodore mid - march go way beyond expectation . room 106 , quite small huge bed wetroom . perfect place come back hard day sightseeing , underground 5 minute hotel ! breakfast well organise good include price . the newspaper door morning lovely touch . the luggage storage corridor worry initially , go pick head airport everything fine . overall excellent stay , would recommend would stay future ! 
 Mar 26 2007 	 pleasantly surprised 	 first trip London Commodore Hotel meet basic need 6 night stay . staff always helpful engaged question . yes , room small clean daily new fresh sheet & amp ; towel everyday . go sight seeing day London anyway room place drop recharge . wife enjoy complimentary breakfast meat , cheese , cereal , tea etc . well worth cost look save pound two . hotel locate directly across Hyde Park full excitement day opportunity purchase local art Sunday . two tube station Central Line assist move sightseeing area . local pub ( Swan , Mitre & amp ; Leinsteir Arms ) area ( walk distance ) offer great ale english food . I hope enjoy stay Commodore great value vacation need . 
 Feb 28 2007 	 Great Weekend Stay 	 stay Commodore Sunday Feb 25 , boyfriend two friend London concert . we book two month advance find great deal ( £ 56 per room inc continental breakfast ) ebooker . both room locate ground floor happy lot . huge bed , wet room . friend nextdoor slightly small room bathroom . breakfast plentiful , croissant , toast , cereal , cheese , ham , bread , yoghurt , juice ... could pay full english , not bother . the location great , couple minute Lancaster Gate tube , central line . be also perfect Hyde Park . so , tell happy stay . it be good hotel ' ve stay equally certainly bad . would visit , especially could get price ! 
 Feb 28 2007 	 perfectly adequate 	 well locate centre London . comfortable room basement . got excellent price discounthotels.com - good continental breakfast include price . well worth money - really nice find . recommend . finnish family group 
 Feb 27 2007 	 Central Tubes / Shops / Hyde Park 	 come back three night stay , pleased hotel , town house room one little complaint shower bath , apart , clean , staff helpful . location great explore London , easy walk Lancaster Gate Queensway . Hyde Park road . would rebook time . 
 Feb 20 2007 	 great find 	 two night stay February . minute walk Lancaster Gate underground station easy find , great place . hotel inviting welcome everything efficiently deal . ground floor , G8 , lovely double room , view ! clean , bright , comfortable bed , amenity good bathroom powerful shower . breakfast steep stair restaurant - include continental , fine first day , good juice coffee - meat second day , towards end breakfast period though ! also cream tea , pleasant . good value money . sure stay would recommend . 
 Feb 11 2007 	 great find 	 stay long weekend ; theatre trip museum . we choose hotel , partly close proximity Hyde Park , love , also proximity Lancaster Gate tube stop , make everything easily accessible . if maybe plan first trip London , nice area safe , even night time . the hotel staff friendly , respond request promptly efficiency . the foyer bar area beautifully decorate , antique , lovely mirror painting - imagine English hotel be . we executive room , large other , ( still huge , capital city remember ! ) look central sort atrium ( quiet evening ) .Decor simple cosy - dark wood furniture , cream white . the bed good comfy , bathroom small well function everything spotlessly clean . there also ice machine grind second floor , great fix drink room get ready night ! breakfast room small , queue table one morning quite late , time seat immediately . a continental buffet lay - bread toasting , bread roll , croissant , butter , jam , honey , ham , cheese , yoghurt , fruit juice cereal . I surprise see cook breakfast option extra - 7.50 GBP full breakfast , think 2.75 two poach egg toast . consequently , not see anyone cook breakfast ! past stay Corus Hotel , hundred yard away , Commodore huge improvement , little money . 
 Feb 8 2007 	 poorly run hotel 	 read review turn one night December get offer room four poster bed small sitting room spiral staircase . one attraction large bathroom tub . room nice hot water bathroom . complain say could send somebody look since evening say expect get fix next morning . follow morning still hot water surprised apparently believe we previous night . turn whole side hotel problem . eventually offer could shower one basement room ( horrible book one ) give we discount room still $ 240 staff poorly train responsive first start complain . tiny breakfast room crowd . with many hotel choose London would recommend . 
 Jan 12 2007 	 lovely hotel - great value money 	 stay second floor stardard double room four night boyfriend , love ! book hotel hotelsclick.com get low price compaire London price . hotel good condition charm athmosphere . everything work well expect . room small beautiful . bathroom good condition , shower new work well . continental breakfast excellent , staff friendly . extra consider vegetarian . location hotel also good . Hyde park also lot 's good restaurant nearby . highly recommend hotel everyone ! great stay quite small budget ! 
 Dec 15 2006 	 Value money 	 Date 13th December 2006hard call 4 * hotel however price , £ 80 good value . room small functional bathroom much big broom cupboard . look short stay good price close west end good choice . unlike review find staff friendly helpful . overall price location would use hotel odd night stay London go theatre . would recommend long stay . 
 Nov 21 2006 	 Noisy Room 	 great hotel , not let put basement room . even though reservation six night , put noisiest room hotel : basement , next restaurant staff preparation area . could hear staff laugh much day , restaurant noise 6:30 closing evening . fortunately room much , annoying . otherwise , clean hotel courteous service . room small , expect 1800 's building . street quaint clean . ' m sure upstairs room hotel quiet . would return , upstairs room . loved location next Hyde Park , make easy access run morning . 
 Nov 17 2006 	 stay Commodore 	 Commodore Hotel locate near Lancaster Gate Bayswater underground station central line London . pretty convenient , also walk distance Paddington Station laden bag . reception staff polite helpful keep room lengthy delay airport ! late ... reception area nice small cozy bar well open late ( noisy ) . room third floor spacious . elevator corridor room small side . bathroom clean well appoint room furnish ok . restaurant basement not use occasion food always surprisingly good visit always serve friendy efficient staff . breakfast area one choose either continental breakfast full cook English ( additional cost ) . staff hotel eager please helpful . return reccommend Commodore , room tad nice . internet access point , free , also internet room . 
 Nov 6 2006 	 good hotel Cemtral London 	 stay Commodore 4 night . hotel comfortable , quiet location clean . staff not overly friendly efficient job . hotel good location - walk distance Queensway underground station . we two room face street small park opposite . room small 's London use sleep ! see couple room face back hotel ( look quiet mew ) definitely roomy ! 
 Jul 16 2006 	 Pleasant Stay Commodore 	 stay Commodore 6/25 - 6/29 find location hotel comfortable . assign room 203 , across remian old church , nice room four poster bed . room clean bed comfortable , heat towel rack nice touch . assume breakfast lodging , hit buffet downstairs not order menu . plenty food . make time nightcap Red Bar , open guest nice cozy nook . sizable martini 's ! ! location directly accross Italian Gardens Hyde Park short walk either Lancaster Gate Queensway tube stattion . Queensway Road interesting hodgepodge resaturant shop , great place buy pain medicine ache knee sundrie . read ton review confuse negative entry property , would problem recommend hotel . 
 May 19 2006 	 Disappointing 	 return two night stay Commodore colleague visit London business . book hotel availability short notice reasonable price ( # 100 per night - ok London ) .First impression good , hotel look lovely outside continue reception lobby . staff pleasant handle booking efficiently , offer help bag though need this . our room 7th floor , serve lift ( stop floor 6 ) , luckily travel light problem would stay long luggage . real disappointment begin , first room small basic . bed creak loudly slight movement though reasonably comfortable . view good back hotel , could see room private deck perhaps basic room . positive note bathroom good everything work . the real disappointment breakfast continental buffet , adequate good quality . orange juice much water make toast . definitely would expect 4 star hotel . 2 week early stay another 4 star hotel london actually cheap far superior every way . unfortunately availability trip . on whole would say hotel ok way , definitely 4 star standard , 2 3 star . breakfast , lack room service , generally basic nature accommodation confirm . good value money would stay . 
 May 19 2006 	 great find ! 	 book hotel internet 4 night stay London . exceed expectation every way . position perfect sightseeing ... close Tube station , tourist bus stop , beautiful Kensington Gardens Hyde Park , restaurant , shop etc . staff pleasant , courteous helpful ... although hamper poor English ! initially problem connect internet help we resolve problem . room smallish ample cupboard drawer space . appreciate safe well . bathroom beautiful ... recently renovate , lot hot water , nice toiletry . bed comfortable although doona ( duvet ) top sheet strange . room thoroughly clean day tea bag , coffee , toiletry replace . outlook onto central well not attractive not really matter we . good thing inclusion continental breakfast price . serve newly refurbish room delicious ... plenty everything , attentive staff food high quality . would happily stay recommend other . 
 Apr 22 2006 	 wonderful need little T.L.C . 	 family memeber , son stay hotel recent visit London home town England , vacation San Diego . leave States , extensive research several website good hotel money , Commodore shortlist . 100 pound night , inluding breakfast , two us 3 4 star hotel seem reasonable . we arrive little early check , twin room ready , go room look see like , pleasantly surprised . yes , room small , that s way house build back , do not expect old house large room , furnish well , dark , clean line , bright white linen ( heavenly soft , do not want get bed morning ) , private deck , overlook residential Mews terrace . T.V. , safe , internet point , telephone , hairdryer , conversion plug , usual stuff expect . beautiful black white marble bathroom , love that . the staff kind , helpful , second day , know name room number , warm fuzzy , friendly enough . breakfast good , plenty choice , enough fill start day . eat restaurant first night , tired venture far , food obviously freshly prepared , arrive steam hot , good , however , would nice waitress know one phrase English . overall , good stay hotel , seem like three star hotel , try four star boutique hotel , quite making , lose detail , like fray towel bathroom , threadbare carpet place , ask small thing reception evening , receive promise , able regulate temperature shower , give ten minute either frozen scald , clean room great , sufficient , four star standard . but overall , great stay , would definitely recommend other stay , good value money . 
 Apr 12 2006 	 Ambivalent feeling 	 quick review head future traveler . stay Commodore two night find somewhat disappointing four star hotel . room identical see web nice view front building towards Hyde Park . bathroom adequate need superficial repair . front window entirely close . carpeting need cleaning charge bar fee use . staff friendly , respond request go way inquire . restaurant downstairs convenient , tad disappointing . get impression staff change go hotel . overall , would probably try another hotel next trip abroad . 
 Mar 28 2006 	 tiny room 	 hotel problem . arrive , elevator not work floor . room tiny , say tiny , mean . enough space . place could clean . the breakfast great , good food include reservation . 2 star hotel , . 
 Jan 28 2006 	 nice place need lot help ! 	 take mom trip Europe . back 30 year , take time find right place . think . arrive Commodore daytime desk help bit put help . want we leave hotel room key , odd Americans . , however , night shift people wonderful . friendly extremely helpful . truly enjoy company level . room & quot ; second & quot ; ( 3rd ) floor . room windows open atrium area center hotel make nice bright . room less okay , carpet dirty enough want walk barefoot , bathroom need good cleaning okay . mom 's room next door , heater work whole week , come numerous time fix never . heat towel rack break , coffee maker break . would seem thing would notice cleaning , seem issue . place livable need help . internet not available room need utilize lobby area feel awkward well impose ask use something pay . bar open minimum hour extra staff run . restaurant basement not bad , actually good deal money . empty time go , service good , one one like . park nearby easy access well tube . would stay , simply staff . wonderful . 
 Jan 4 2006 	 Good Value -- Bit Cleaning / Repair 	 Hyde Park , Commodore look quite elegant outside . enter reception area continue impression , staff helpful , attentive , well - dress . single room order small certainly sufficient , simple tasetful furnishing . bit noise main drag block away , overwhelming . in - room internet connection ( wireless ) seven pound noon noon , nice option . the bathroom disappointment . showerhead crack spray water room , think might notice last cleaning . bathroom could use real cleaning anyway , odor first thing notice enter room . bathroom , small okay , smell not . standard continental breakfast include , access Commodore 's simple fitness room climber / elliptical hybrid , treadmill , free weight . the neighborhood not full restaurant , pub , cafe , decent walk ride Lancaster Gate underground station three block away get lively locale . several hotel around Commodore , security come back dinner show not major problem . 
 Dec 3 2005 	 nice place 	 stay London 3 night Oct think Commodore great deal price . London pricey place visit complaint Commodore . it close tube station walk around Hyde Park easily . would stay . 
 Nov 2 2005 	 good place short stay London 	 hotel convenient , near two tube station , hence go anywhere London need look much around subway . find hotel quite silent . although room near lift , never hear noise . room next , man start talk phone middle night clearly hear , find insonorization room / room insufficient . the bathroom surprisingly wide , shower work 100 % well problem . room big ( acceptable two people ) clean , bit much warm last day high temp London , maybe help this . breakfast average , excellent Greek Yoghurt toast top notch . food type four day stay young staff kind attentive , appreciate help.the price make good spot stay London . 's front Kensington Gardens noise Bayswater . sure place consider short stay consider price . 
 Oct 17 2005 	 nice hotel 	 stay Commodore Hotel England September 19 Septemeber 25 , 2005 . lovely area ( many hotel , across two street Kensington Gardens easily accessible underground many restaurant ) beautiful old building . problem discover room " half floor " , climb one flight stair reach elevator . arrive hotel 11PM porter , take bag . room good size european hotel character . hotel nice little bar good breakfast buffet . staff foreign , polite good job , extremely helpful came ask " tourist " question . I would recommend Commodore , sure room directly accessible elevator . also , careful , laundromat block away laundry problem attendant . one dryer use kind plastic residue ruin clothing . attendance refuse anything , even contact owner . 
 Oct 11 2005 	 never ! 	 stay Commodore April 2004 pleasent stay original victorian style room great location . book May 2005 . get schock see room . expect similiar room , get badly decorate room besides elevator 2 big 1 small bed 5 people could easily stay although book two . heating room order room like sauna . ask could happen completely style room last year price . tell we probably upgrade townhouse room last year standart room ! ask change heating elevator , tell we room available . fact impossible sleep room heating & amp ; noise elevator , middle night go demand another room . move us room attic impssible move & amp ; sleep two . sleepless night & amp ; make big scandal manager , find available room basement . least far away elvator function heat big enough two ! schocke allow sell box room ! bad hotel experience worldwide ! 
 Oct 4 2005 	 cozy home away home .... 	 beyond impressed past summer unexpectedly great fortune spend 7 night Commodore Hotel London . seem every member staff go way . room cozy , bed much like Westin 's benchmark & quot ; Heavenly & quot ; . ' m exaggerate say feel sad leave . will back next summer . 
 Sep 2 2005 	 room small could turn around 	 really like lobby breakfast room hotel . however , room small uncomfortable . corner room bed take entire room . know hotel room generally small London , ridiculous . breakfast good service wonderful . corner room room , broom closet . 
 may 20 2005 	 reasonable hotel 	 stay hotel April 05 . location good quiet square five minute walk Lancaster Gate Tube station central line minute Hyde Park . area round hotel nice quiet night . the room really small particularly bathroom small . bed , however , comfortable . tv , safe minibar . hotel small lift corridor . hotel price include reasonable continental breakfast . much variation meat cheese . secure luggage store ( staff put luggage stair ) . staff polite helpful . overall , bad hotel long price reasonable . ' expect much . 
 Apr 18 2005 	 Great Hotel 	 stay hotel April 05 . book lastminute 5 day travel . book twin room £ 82.the hotel fantastic location Hyde Park 5 min max walk Lancaster Gate Tube Station . the room not big ' ve see perfect need . comfortable bed , tv , safe , minibar private bathroom . bath rather tricky get side high . everything perfectly clean . crisp white bedding . staff friendly able leave luggage checking . price include continental breakfast - perfectly adequate . could pay extra cooked breadfast . comment either restaurant bar , though look bar look cosy . the hotel furniture old style make bit different average hotel look same . would definately recommend would stay . 
 Mar 10 2005 	 nice hotel London area 	 Commodore hotel nice hotel stay London . location great . white buliding tree church near . looby tiny great deco . though service good location . family want another bed family member sleep . well not happen . four we cram full size bed ! bathroom like closet . sightseer hotel would okay would room often ! ! hope find review somewhat helpful . 
 Jan 30 2005 	 Nice Quiet 	 Ok may small lift , corridor dining room bedroom character comfortable far well box type room modern hotel . area round hotel really nice quiet night get wake traffic train . one small point gym could excercise bike . 
 Jan 29 2005 	 excellent value quiet location 	 take advantage late - booking rate day offer directly hotel phone half web site rate . polite request non - smoking , quiet room result we allocate splendid executive room low ground floor . not panic - not basement one four large window door open onto internal terrace . terrace would nice sit outside summer . bathroom shower might suit everyone fine we . everything clean pleasantly surprised find high quality feature like duvet queen size bed good quality , firm mattress . also small mini - bar big enough take fresh milk coffee . hospitality tray tea coffee provide , although decaffinate herb tea offer . probably available request . there small feature could use attention executive standard room , like damage picture frame , everything functional . rate include continental breakfast thing would rate poor . pastry cold meat ( one offer ) good quality cheese unimaginative . not try optional cooked breakfast , might preferable . the hotel staff helpful friendly happy store luggage checkout . note secure luggage store , not leave valuable . location good set away Bayswater Road quiet square two minute walk Lancaster Gate tube station central line , get around easily . conveniently , be tiny general store tube station hotel sell emergency toothpaste , bottled water , etc . overall , recommend excellent value money . use . 
 Jan 28 2005 	 amazing hotel can not find one thing wrong hotel ! 	 excellent location - 1 minute hyde park , 2 minute tube station , main road quiet square next beautiful cathedral . staff friendly helpful , breakfast delicious . although room bit small , clean , tidy well furnish bathroom nice . I definately stay due excellent , safe location . 
 Jan 6 2005 	 convenient location reasonable place stay .... 	 family return stay London . started end visit Great Britain , Commodore . can not say not somewhat disappointed charming room picture internet one assign , initially basement room seem somewhat strange -- however right next door three child , close restarant , therefore conveniently locate , breakfast . room much view , courtyard ( L3 L6 ) , clean comfortable . we prefer size bathroom , second room , last night London ( 403 ) , though still charming antique , extra money pay well room particularly evident . though , Commodore Hotel convenient fairly reasonably price place stay . ( December,2004 ) 
 Jan 4 2005 	 love welcome tray ( tea coffee ... ) 	 nice hotel quiet place . the people desk smile . the room nice cosy , breakfast tempting . may 4 star bit much . the room particularly bathroom small . 
 Dec 26 2004 	 great location 	 husband stay Commodore Nov. 24 - 27th . hotel well locate quiet street close Hyde Park , Lancaster Gate & amp ; Paddington tube station . breakfast include rate good . big drawback terrible shower facility . water not freeze cold scalding hot never anything ! would stay ? probably could get another fantastic rate like last stay . 
 Nov 9 2004 	 Terrible Hotel 	 book hotel Lastminute £ 95 Saturday night . expect 4 star hotel . I show standard double room Townhouse - stay part hotel , room hardly big enough swing cat stunk smoke . show second room awful first end pay another £ 40 upgrade suite - bar stop serve midnight ( meet definition 4 star hotel state food drink available 24 hour ) .Oh , next morning lukewarm water bath shower . lastminute tell rely hotel provide star rating beware - research book . 
 Oct 11 2004 	 stay Commodore 	 wife stay Commodore Hotel Oct. 3 - 9 , 2004 . humble opinion observation : good : nice location across Hyde Park Central Tube Line . well situate main drag quiet street . decent breakfast include optional english breakfast available fee . nice little bar hotel . also , read review mention narrow hallway small lift . observation true , ' ve small lift Europe . still well climb stair . hallway least wide enough negotiate luggage . place decent cost . London expensive , , can not think US term far get price pay . not good : man , will tell , even close light sleeper , will not get much sleep hotel . every conversation adjoin room hall could hear clearly . normal walk hall floor floor we sound like stomp due rickety floor . inevitable door slammer floor wake even sound sleeper . real clincher hotel staff vacuuming hall carpet 8 am every morning . short , ' ve plenty hotel life , noise factor high average hotel . also , bed hard ' ve ever sleep . like Tom Hanks Castaway use sleep ground , bed ok . otherwise , may toss turn alot . shower good pressure , get lot hot cold hot again . in closing , like thing life , Commodore good bad . will probably try another place go back London , hotel bad option overall . cheer ! 
 Jun 21 2004 	 Buckingham Palace would not good enough 	 trip London terrific thank staff lovely Commodore Hotel . room clean ( almost spotless ) , bed comfortable , bit short since ' m 6 ' 3 & quot ; , not even problem ; bathroom terrific . room safe , tv instrument make coffee , supply . room perfect one person . yes , could big , not plan spend long hour room . ' re vacation , SLEEP , SHOWER GET room . oh , amazing view ' OLD ' church / apartment - beautiful . daily breakfast ( include ) excellent well staff . workout room small , perfectly fine excercising . Tube close , well park , people sell beautiful art weekend . listen , ' ve stay Lanesborough , Hempel hotel terrific , money service , great hotel . individual want cry hotel , call Queen see will let stay couple day , since be obviously satisfied anything . P.S . let stay Palace , ask 's purse . 
 Jun 15 2004 	 's good hotel money 	 3 friend , son good stay Commodore Hotel end May .. say good thing hotel , staff service -- friendly , efficient , helpful ! ! stay 6 night . location perfect need , Hyde park 2 min walk hotel area simply quiet , safe , peaceful place stay . Inna 
 Jun 3 2004 	 great hotel 	 get back 4 night stay Commodore hotel May ' 04 wonderful time . got pretty good deal lateroom website ( 69 pound double room per night taxis / breakfast include ) . location good , 5 min walk Lancaster tube station . also 10 min walk Paddington station ( many train depart , also Heathrow express ) . quiet neighborhood . pleasantly surprised well entire hotel decorate victorian setting ( picture Queen Victoria everywhere ) . room 6th floor , despite small yet function lift narrow hallway , room comfortable yet typical small london standard . room bit stuffy since A / c oil exhaust kitchen would rise around dinner time . bed good , cable tv wonderful antique style decor . bathroom amazing well . breakfast self serve buffet cold food cook breakfast @ additional charge . also pre - arranged taxi service pick directly hotel take Heathrow 30 pound flat rate ( great 2 people , since Heathrow Express slightly cheap depart Paddington station ) . overall nice place would stay . 
 May 14 2004 	 Hotel character 	 can not believe negative comment hotel . ' ve stay three time full character . set quiet square five minute walk Lancaster Gate tube station , place wonderful charm ambience . clean , staff pleasant . ok , corridor room quite narrow , lift small , room stay large , well - appoint , clean , comfortable . breakfast average , extra £ 7.50 cook english breakfast - make order - beat usual self - service fare keep hot plate hotel ! always get good rate use internet stay . 
 Apr 28 2004 	 cheap 	 book hotel cheap rate ( 59 GBP double room incl . tax breakfast ) 4 * , hotel bit disappointing ´ : small room , poor breakfast , friendly staff quiet area , good location . year stay St. Giles ( near british museum ) . Altough 3 * , room big beter furnish , breakfast self service . 
 Apr 23 2004 	 stay 	 circumstance stay ! book hotel impression 4 * hotel ... wudnt even give 2 . bed uncomfortable , tiny , could hardly sit couch , tv channel german . room look dirty , fake marble - look bathroom . corridor lift JOKE small . good thing hotel 11oclock check extend 12oclock . amount pay ... bitterly disappointed . I ve stay many hotel , many 4 * hotel well ... however , hotel , would never stay circumstance . 
 Mar 30 2004 	 terrible 	 stay last night european adventure . hallway elevator cartoonishly small , however room comfortable size ( much large room Holiday Inn , stay early trip ) . bathroom beautiful exception shower curtain , bit rust bottom . compliant bedding . pillow mattress make feel though sleep giant marshmallow . handle squishy bed , can not beat price location . 
 Mar 26 2004 	 four star hotel think 	 stay hotel . come high hope view picture hotel internet . suppose luxury accomodation etc . sorely dissapointe . stay double standard , roomy , nice bathroom . good thing end . customer service horrible , especially receptionist front desk , barely give we direction room plop key front we . bed make , call towel blanket several time even come . internet service working - also take several call . prompt service priority people . suppose hotwater maker rusty disgusting , curtain shower mildew ring . room musty people work hotel one thing mind : get money customer . towel bathroom look like fight tazmanian devil . thing genuine , hearfelt customer service . 's hustling buck . terrible hotel staff could care less well long spend money highly overprice minibar $ 15.00 internet access . 
 Mar 8 2004 	 would never stay ! 	 husband stay hotel February ' 04 . room small cold way regulate heat . housekeep minimal . bad , tho , shower burn us morning & quot ; mixer & quot ; cold water not work . complain several time nothing do . speak General Manager desk clerk rate reduction night check , agree reasonable . however go check clerk deny knowledge conversation refuse summon Manager discuss reduction , tell we write letter instead . fellow observe deny every guest request phone converstaion irate previous guest . would never stay ! 
 Mar 3 2004 	 Good Choice 	 stay Commodore ( Feb ' 04 ) , happy room hotel general . conveniently locate tuck back quiet , leafy circle little traffic . room , hall , elevator , public area mostly small , expect price range London . room ( 504 ) immaculate , marble tile bathroom perfect , lovely private patio table two chair overlook mew back . restaurant basement look recently refurbish . many low moderate - price hotel part London . would go back instant , especially room . 
 Feb 28 2004 	 enjoy Commodore Hotel 	 stay Commodore Hotel , 50 Lancaster Gate , London , England four night . sight see , hang around hotel day , sleep enjoy breakfast come cost room . pay $ 124 night tax service fee include , additional $ 100 add . lodge expensive London . room comfortable . problem last day leave one towel two we , housekeeper finish make bed resupply tea service charge mini bar use . little thing bother we deal easily . front desk people friendly helpful . able store bag extra cost hotel since arrive early morning room would available 2:00 p.m . breakfast wonderful , assortment cereal , bun , cheese , yogurt , juice fruit , location hotel great especially like walk run morning - entrance Hyde park across street . also , Tube ( find efficient way get around seven day pass cheap fare even stay four day ) block walk . also bus stop close . would stay . 
