wonderful 	 sore throat hotel bring room carafe microwave make tea . wondeful . 
 Aug 18 2008 	 Love hotel restaurant . 	 Talbott Hotel Chicago favorite hotel City . hotel small european style hotel beautiful room excellent staff . thing not pare restaurant , quality decline lot since last time stay Talbott . fruit fruit plate overripe , yogurt sour , coffee lukewarm breakfast assortment bread stale . service restaurant also poor . restaurant beautiful outside dining area would wonderful food service well . eat breakfast decide find someplace else dinner . hopefully improve , will still stay Talbott find someplace else eat . 
 Aug 7 2008 	 Brilliant position great staff lovely room 	 spend two night Talbott summer vacation . hotel well situate sighseeing , shop ( magnificant mile ) good restaurant . hotel great atmosphere lot character . room massive extremely comfortable . staff helpful accommodate . slight negative building work go next door , work however restrict set hour ( 8 - 5 ) sound insulation good not really bother we . get good rate internet . 
 Aug 6 2008 	 wonderful experience 	 stay 4 night conference husband attend close . member Small Luxury Hotel group make booking via website . not realize have upgrade arrive - end beautiful suite nice consider long trip usual . the service excellent bed extremely comfortable . there be great wine bar across street also little cafe / deli across street convenient pick light breakfast snack . 
 Aug 5 2008 	 great hotel - horrible location 	 nice hotel people great would stay construction around finish . elevator alley attach hotel start early 5:30am go night - include weekend . use dumpster ( fill empty ) constant . bad , , restaurant sidewalk cafe right next construction site rat run around - truly disgusting . 
 Aug 4 2008 	 nothing well ! 	 wife spend one night Talbott Hotel , love it . upon Arrival , greet two hotel staff prior reach front desk . girl desk professional , courteous ; acknowledge special occasion give we complementary upgrade suite nice touch . book AAA , get great deal room rate , include strawberry , wine , breakfast two . we also choose Talbott close proximity Chicago 's famous steakhouse Gibson 's ( less 10 min walk ) . note : make dinner reservation advance , see hotel concierge . funny note : Gibson 's locate heart Viagra Triangle : Google Viagra Triangle info . the suite spacious & quot ; clean . & quot ; live room area 42 & quot ; flat screen tv , 27 & quot ; flat screen bedroom . bathroom ( spotless ) shower large tub could seat two . bedroom comfy , nice king size bed . the drawback whole occasion , $ 48 dollar overnight parking fee .... think go $ 20 , hey , be Chicago , everything expensive day . 
 Jul 29 2008 	 Brilliant - could not fault ! 	 book hotel SLH ( Small Luxury Hotel Group ) . stay hotel impress , thought would trip Chicago . a fantastic location everything , eat drink shopping get tour . 's locate Delaware Place , near famous eating area Rush Street . less 5 minute walk away . the room spacious good ensuite . bed comfortable clean . towel change twice day need . good tv need also . quiet although room near building work next door , rarely hear anything . locate 8th floor overlook front . the Concierge make stay worth every way . friendly , informative approachable willing help advise . worth weight gold . although staff friendly helpful , say concierge , Gene , star member staff . we eat , good restaurant - favourite Le Colonial , Rush Street . french / vietnamese style restaurant . second favourite area gibson . great place fantasic choice steak . Hugo 's next door seafood also outstanding . 's restaurant call Japanais , brilliant review , run time go - next time ! gene book we see Jersey Boys Theatre . although ticket bit pricey , show outstanding worth every penny . learnt lot Frankie Valli Four Seasons thoroughly enjoy music performance everne . would go ! fabulous week Chicago definately return stay Talbott . thank everyone make stay delight . ColeyHampshire , England 
 Jul 28 2008 	 great value great service 	 great find downtown Chicago . price right staff excellent . note , construction go around hotel , not notice issue disturb sleep . ask quiet room upper floor , gladly give one . lobby small , atmosphere small boutique hotel . concierge , Stephanie super job find us restaurant book we reservation ( along complimentary appetizer ) . standard room , spacious , tastefully decorate -- everything need . bathroom nice whirlpool tub soaking -- mp3 compatible radio nice perk . can not say enough nice staff -- every single person meet . would definitely stay . 
 Jul 15 2008 	 great value - middle everything biz relate 	 solid value biz traveler -- -- mean post long ago , , current info ; , post due fact look Tripadvisor see thing sound , plan return Chicago soon , , probably stay Talbott . stay 3 time last year ; first time , never hear , bit hesitant usually stay Hilton similar , pal stay Talbott month travel lot town experience traveler , keep talk . excellent value biz folk pay way . middle meeting site downtown biz , never problem get cab , fairly responsive staff - all 3 time think bit aloof reality think business like - if ask something get , get explanation get , etc , , take warm fuzzy non - performance everytime -- food / bar something go way fine stay room property tired weather bad . well suited business single , would pretty good couple well place travel companion entertain meeting , probably big hit kid teen truly look solid safe downtown value bed bath attend wed similar nearby , great option . take peek bar -- great wood work craftsmanship display , nice element small hotel bar see cool look woodwork cold utility type place . 
 Jul 2 2008 	 fantastic hotel fantastic location 	 fantastic hotel fantastic location . I stay one night June 08 upgrade suite hotel fully book ! suite beautifully decorate well equip . my stay trouble free staff friendly knowledgeable . would recommend business holiday traveller . 
 Jun 28 2008 	 good hotel experience ever . 	 recently decide trip Chicago . previously stay Le Meridien ( site Conrad Hotel ) debate return stay facility since previous exeperience great . I research decide try stay different hotel . use tripadvisor main source , addition Orbitz Expedia , keep notice Talbott Hotel come favorite spot , trepidation ( admit ) book 4 nite stay . arrive hotel , first thing notice small lobby area .... stay mostly Hilton , Hyatt business - type hotel , use large lobby , multiple desk attendant , absorb experience check . upgrade due fact reserve room thru slh.com website ( Small Luxury hotel ) , Talbott member . website encourage person create list pet like , pillow type , food , etc ... create list thing enjoy . the room , spacious , wonderfully appoint , comfortable meet need . minute start uppack luggage , door bell rang , waiter appear , carry large bowl fruit item , surprised order anything . when open letter , type welcome letter , indicate enclose item indicate like ( chocolate , bottled water , etc .... ) anything need contact desk . wonderful way welcome , think . I thing want Chicago , go downstair Concierge meet Stephanie . read back review folk stay Talbott recall many people praise Stephanie wonderful host , Concierge . well , say enough . spend well part 40 minute chat kind restaurant want try ( birthday ) thing want . take note , go online show different restaurant could recommend , call make reservation sit , mae couple reservation time amenable . eat RL restaurant ( yes , Ralph Lauren ) , personally greeted walk . ask know name , reply Stephanie call let know come . overwhelmed ... never experience special attention hotel . compe desert , since Stephanie tell birthday , , wonderful time . tell want go see Jazz Blues show point Backroom , block away hotel . look draw find ticket free entrance show ( normally $ 20 door ) . concert great , nearly 3 hrs , drink enjoy music . place small , intimate , sound great , good place enjoy show . everyone Talbott gracious , smile helpful . feel like stay family .... explain way . every morning would come chat Stephanie minute day , suggest thing might also . like well - choreograph show ! ! ! location perfect , near Rush Street bar , restaurant store , Michigan Avenue block 1/2 away ..... bus , free trolley problem get want go . in stay Chicago purchase item could pack carry - on , ask Stephanie Hotel could arrange stuff send via UPS home . problem , say . give address etc .... arrange . receive item aboout 4 day later . I really sorry leave . wonderful experience . Time time sit Stephanie folk would come thank reservation make , recommendation theatre , restaurant , walking tour , etc .... would turn sit tell always come back Talbott . bring small gift appreciation .... never see hotel stay at . I say initially trepidation book hotel . familiar small , boutique - style hotel , sooo pleasantly surprised would feel betray ever re - visit Chicago stay Talbott . trip special . , safely say , kind experience make easy return time time hotel . I safely recommend Talbott anyone look different type hotel stay .... one revolve around large , business - type place ( Hilton , Hyatt etc ... knock ) . wait return Talbott , move time . 
 May 31 2008 	 great small hotel fabulous location excellent service staff large room 	 enjoy Talbott much . large average room bathroom , comfortable bed , service staff well train without & quot ; snooty . & quot ; fabulous location Delaware , two block Michigan Ave . downstairs Bice Bistro superb every course , morning late night starbuck directly across street . small hotel great charm . definitely stay . 
 May 15 2008 	 nice ! 	 book Talbott via Hotwire good rate . concern read review tripadvisor , particularly construction noise . first , let say staff outstanding , room beautiful would hesitate stay . Stephanie , concierge , , good make huge impact stay . hotel relatively small , upscale . second , find noise hotel big city establishment . 11th floor construction much high objectionable . third , location perfect we could walk sight restaurant . restauant Rush St. 3 block walk . Stephanie get we reservation two marvelous spot . Hancock Tower , enjoy late night drink , also 3 block walk . the negative call room service get ice . one nice hotel . 
 Apr 30 2008 	 Kudos staff -- could not nice 	 boyfriend stay one night tail end trip 3 night Hilton South Michigan . price pay ( approx . $ 160 Hotwire ) , excellent stay would not hesitate recommend property anyone else . compare Hilton , room probably 1.5 2 time large , huge flat panel tv wall . amenitie Aveda product , room clean , location ( Gold Coast , couple block Magnificent Mile probably 4 block close El stop ) excellent . importantly , everyone encounter -- doorman belllman frontdesk clerk housecleaning staff -- genuinely friendly willing accommodate we answer question , one small example : check Hilton 11 take cab Talbott . want stow bag could grab something eat , inform willing wait 20 minute , room would available ! think stay Hilton adequate , highly doubt would able check room 11:30 -- even could , suspect would charge we privilege / convenience ! ( mind , S. Michigan Hilton happy stow bag -- $ 2 per bag convenience . look Tripadvisor review not believe ! ) lastly , many review precede mine complain construction noise , not encounter . ( 15th floor , might something . ) although hellish amount construction go around front Talbott , room seem well insulated caccoone street noise . , highly recommend hotel . thank go especially Jennifer Perry make brief stay pleasant enjoyable . 
 Apr 23 2008 	 great hotel much construction noise . 	 fantastic hotel overall , probably good service ' ve ever experience . huge drawback , however , construction occur side hotel . generally work 8 am - 8 pm Mon - Sat ( stay week ) one building worker present Sunday well . disclose part website time booking . hotel perfect construction be do , though doorman hotel leave estimate have work another 1 - 2 year . 
 Mar 28 2008 	 good value location -- construction area complete 	 book Talbott Hotel two night stay Chicago . choose offer good rate 4 star hotel location look ( convenient shopping dining ) . positive : nice staff , large room , clean well maintain . negative : major construction take place immediately next door hotel -- sleep past 7 a.m. possible needless say , three teen like . book reservation , inquire construction noise tell factor anymore receive comment / complaint guest noise . would hesitate stay construction complete . 's hip , fancy luxurious , charming well - locate price represent fair value -- construction complete . 
 Mar 24 2008 	 second time around 	 stay Talbott February . write review not list . wonder ? fine hotel construction next door run 6 day week - 8am-8pm , noisy consturciton elevator run 12 hour day bright light 24/7 . avoid construction . , nice place stay . 
 Mar 17 2008 	 great place stay 	 get back 3 night stay Talbott hotel Chicago . book Hotwire not know stay purchase Hotwire . great place stay ! know one small room - Deluxe King room . , walk room see spacious regular room . nice update decor , everything extremely clean . first 2 night hardly see guest hotel . seem like place nice relief busy Chicago street . read other ' complaint noise construction next hotel make nervous since ' m light sleeper . see construction , never hear - sleep morning 9:30 . read suites hotel jacuzzi tubs , know not one regular room . however , tub deep great soaking ! ( might add , clean hotel tub ' ve see long time ! ) wonderful time stay staff wonderful friendly . husband one complaint - though bed comfortable , comforter bed not long enough cover foot . extremely tall , 6 ' 0 . , make sleep bit rougher , overall love stay ! 
 Mar 12 2008 	 wonderful get away Chicago 	 return weekend getaway Talbott Hotel . thrilled decision stay Talbott . room comfortable spotless . everything seem recently update . bed especially comfortable comforter . location hotel allow we walk wide variety restaurant easy access shopping Water Tower Michigan Avenue . staff friendly informative . greet warm smile greeting every time . one concern dim lighting bathroom . apply makeup put contact easy however due light makeup mirror swing arm . warn construction next door . 8th floor little noise hear problem . however , construction still ground level . next year , would make sure contact hotel determine side hotel noisy . otherwise , would recommend intimate , well do hotel . sure back future ! 
 Mar 8 2008 	 Sure 's highly rated 	 book room Talbott March , honestly not understand attraction . staff great -- extremely friendly accommodating . however , room small nondescript , neighborhood construction zone , incredibly noisy . would not recommend friend . 
 Mar 6 2008 	 Reliable Hotel Great Location 	 family stay Talbott long weekend visit family Chicago . dark , psuedo English decor taste , find hotel great choice fair price . love location could walk Hancock tower , Michigan Avenue etc . Navy Pier $ 10 cab ride . the staff hotel amazing . help get reservation impossible get . take package . deliver extra bed immediately . the hotel connect restaurant bice room service great price type high end restaurant . Breakfast also deliver 20 minute unusual day . the room large . bathroom tub stand alone shower . importantly , Aveda product . we would stay . 
 Feb 1 2008 	 well ! 	 stay Talbott twice last week . please every facet stay . staff , doorman front desk , concierge , housekeeping , wonderful . room nicely size clean , well stocked . return Talbott anytime ! 
 Jan 19 2008 	 one Best Hotel Staffs will find Chicago 	 reading review several website decide book room Talbott one cold time year . well worth ! second arrive clear entire staff hand pick thoroughly train warm friendly . bellman front desk maintenance man elevator .... take time say good morning great day . type service accident . place really expect price . suite large comfortable . bathroom separate shower bath accessory top notch . hotel offer free morning coffee lobby also starbuck right around corner everything worth see along Mag Mile within short walk . would stay . first review submit Trip Advisor almost year stay . feel obligate give credit credit due ! hotel feel like 5 star hotel several 5 star hotel stay . 
 Jan 4 2008 	 Great Hotel Fantastic Location 	 December 30 31 ( New Year 's eve ) . room rate less $ 140 book hotel 's reservation - good deal Chicago . friendly staff , nicely decorate hotel large size room ( 1409 corner king room ) . arrive around 11:30 morning surprise , room READY ! ! ! ! wow ! never happen hotel . quaint boutique hotel locate close Water Tower Place John Hancock building stone 's throw famous Magnificent Mile ! 5 block river ( terrible walk 's cold ! ) .rooms recently redecorate ( hotel style , nice ) bathroom double sink jacuzzi tub . nice . negative : flat panel tv tv small room size ( since room large , tv 20 foot headboard ! ) mini stereo / CD / Clock radio cheap make funny burp sound music hit low note ( listen jazz ! ) another thing miss boutique hotel little complimentary wine cheese around cocktail hour . I would recommend hotel $ 220 range , anything would disappointed ( see negative point ) . 
 Jan 1 2008 	 Talbott lovely 	 lovely small hotel great location . staff exceptionally gracious helpful . little restaurant - bar ( Bice 's ) exquisite , cocktail , wine , food , service excellent . dark wood paneling throughout common area warm cozy . theme fox - hunt artwork unfortunate , though , ( like ) find & quot ; sport & quot ; barbaric . 
 Dec 14 2007 	 Great experience 	 stay two night , upgrade upon arrival executive suite . room huge little dark , howver huge comfy bed aveda product make it . perfect location however find room service pricey . 
 Dec 4 2007 	 disappoint 	 stay Talbott time always like . time first visit 2 year disappointed . hallway look tired carpet need replace . ask corner room instead give small dark room look onto wall 10 foot away multiple noisy vent immediately outside window . light keep throughout day even day bright . bathroom tiny would difficult manage 2 people room . AC unit rumble permanently background white noise even switch . stay know well room one price other risk get again . other small thing contribute - lobby brownie long , cup lids lobby coffee ( could not walk coffee ) get newspaper last morning 5 - night stay . the construction noise bad start 7.30am go around 8 pm , include weekend . 
 Nov 13 2007 	 Charming plush wonderful location 	 book last minute Talbott Chicago , happy stay service . staff friendly helpful , especially concierge direction recommendation . stay double queen - bed room , huge traditional hotel room standard . carpet plush , bed comfortable , amenity quite thoughtful ( umbrella room case ) . aveda bath product also nice touch . one caution : large construction site next hotel , room face side noisy 8:00 a.m. morning . front desk staff accommodate though offer move noise much . I would highly recommend hotel , definitely would stay . 
 Nov 13 2007 	 good city 	 hotel classic - richly appoint friendliest helpfui staff ' ve ever encounter . can not wait get back . 
 Nov 5 2007 	 Great Hotel 	 Chicago one favorite city visit . friend suggest try Talbott . ' m delighted take . Talbott great & quot ; small & quot ; hotel block half Michigan Avenue near Four Seasons , Drake Westin . the concierge staff helpfull . Gene Stephanie take great care we . the room spacious fresh . elevator could bit slow time . aside construction next door , stay perfect . Bice run hotel restaurant . enjoy breakfast there . we stay . 
 Oct 30 2007 	 Supurb Boutique Hotel AWESOME location authentic connected service 	 ok , love visit friendly , clean , delightful city world , Chicago . hook gem city , wish business would transfer , could not visit wonderful hotel smack center action , like come home , delightful . snidge main beam Michigan Ave . wonderfulness , location quiet yet step everything . doorman ( thank Charles Perry ) concierge ( many thank Gene Stephanie ) front desk housekeeping staff , everyone genuinely care guest . top hotel would give TripAdvisor # 10 rating available . rate synch area , even bit high ( sigh ) , well , whataya go to ? room lovely , amenity deep , bed firm , service top notch . choice . cheerleader pom pom Talbott . Woohoooo ! 
 Oct 24 2007 	 Excellent boutique hotel 	 although Talbott may seem expensive give full value good location . Deluxe Corner King room spacious excellent quality hotel staff welcome , efficient friendly . would certainly stay . 
 Oct 23 2007 	 friendly staff beautiful hotel heart Downtown Chicago 	 reservationist rude phone arrive hotel staff accommodate friendly . room HUGE absolutely beautiful . hotel locate convenient location every restaurant sight walking distance . two thumb ! 
 Oct 13 2007 	 fine choice 	 Talbott boutique hotel Gold Coast part Chicago . block Hancock Tower , Watertower Place , Michigan Avenue . little North point interest , Navy Pier Art Institute , require 20 - 30 min walking get site ~ $ 12 dollar cab ride . the hotel itelf attractive personal . decor traditional , tasteful print furniture . ( reason , Talbott big fox huning theme ) . room large comfortable . stay one room suite , spacious , well - decorate , clean . size layout ideal term privacy , family place 1 - 2 people living room , separate bedroom sizable bathroom suite . feature hotel include free WiFi ( little buggy ) , restaurant . overall , fine , personal hotel make good alternative large hotel area . one possible issue major building construct immediately behind Talbott . work begin 7:30 , noise could problem want sleep - in grab mid - day nap . however , probably short - term issue , recommend Talbott highly . 
 Oct 1 2007 	 Talbott great ! ! ! 	 girlfriend stay 4 night Talbott return home Saturday 9/29 . wonderful time thoroughly enjoy hotel . staff top bottom excellent , accommodate . room roomy ... complaint able cool room fast enough day town . construction next door obstruct sidewalk , oneway street limited difficulty . doorman , Andrew excellent source hotel . arrange transportation night restaurant . enjoy everything hotel city . hotel expensive meet expectation . 
 Oct 1 2007 	 nice room service always 	 room Talbott good , large recently refurbish . WiFi internet good free charge . staff always friendly , overall stay nice . location great , Michigan Ave . 
 Sep 17 2007 	 one bad hotel ' ve stay 	 easily say one bad hotel ' ve stay . receptionist front snooty , sarcastic teenager post teenager . get well service waiter waitress diner . room dirty , stain carpet , showerhead moldy rust , door bathroom main door dent scratch . towel horrible aroma . hotel narrow , near construction zone , would plan wake 6 : choose Talbott . next day , ask another room concierge decent guy move we large comfortable room . room though right elevator torture hearing sound elevator would never stop . ask late checkout 1 pm receptionist refuse state would charge half day , noon . speak manager give we till 1 pm . please stay away hotel , think Holiday Inn would better . Andrew F. Gulli 
 Sep 15 2007 	 Nice Boutique Hotel Gold Coast 	 Talbott real nice boutique hotel right heart Gold Coast , one nice neighborhood Chicago , 1.5 block Magnificent Mile . lobby finish staff friendly , appear accomidate . not really need anything , , could ask anybody , would helped we . room well apointed , bed comfortable . bathroom nice time heater function , use bitter Chicago winter morning . location hotel increadible . two block Red Line & quot ; L & quot ; train run hour day . 2 block bloomingdale building , John Hancock Building , Water Tower , shop Michigan Avenue . great restaurant , shopping , transportation . this hotel good deal location accomidation . would definetly recommend hotel ; however , read WARNING : * * * * * * WARNING * * * * * * * * 3 major construction occur west , north building . construction early stage property , come year ( ) , major construction occur , right next door hotel . 13th floor ( lucky ) , hear faint construction , Tuesday more . big suggestion , would get high floor room , around next year time , warn major construction location . 
 Sep 3 2007 	 2nd time great 1st 	 2nd stay Talbott within year great first time . standard 2 full bed bedroom 3 people . room big size . bathroom nice . desk easy chair well . 4th floor yet bright airy . front desk great , concierge helpful resourceful . great location ; block John Hancock build well miracle mile shopping . price beat . street 4 season charge 500 + room pay 200 night . new restaurant premise ( Bice ) look great . stay Talbott 1 br king suite wonderful couch separate living room pull . certainly make chicago hotel . around corner breakfast El Tempo ( good breakfast ) Eisnstein bagel block away . hotel central . enjoy , 
 Aug 27 2007 	 Perfect Hotel ! ! 	 book double room suite , size like apartment , bathroom huge hotel excellent location , restaurant shop two block away . 
 Aug 26 2007 	 Talbott Treat ! 	 great staff , quiet , well appoint room . walk distance great shopping ! 
 Aug 21 2007 	 Treasure Chicago 	 look delightful , small hotel heart Chicago , Talbott . perfect location true hideaway chaotic city . standard room large . bathroom small , come old hotel . beds awesome maid service . staff excellent ... always helpful attentive ... love bellman ! complaint would bar close early .... sometimes 11PM . 
 Aug 9 2007 	 Best Place turn 30 ! ! ! ! 	 stay Talbott 4th-7th August wonderful . step several street ton . also buy 3 day bus pass jump around town see everything could pack 4 full day . gene concierge desk check we flight get airport way , book we reservation restaurant , give we umbrella start rain , hold bag check late flight wonder around town , give we direction place place . room always clean put flower room arrive birthday friend . love travel go new place try repeat trip know much see , would go back Talbott especially Chicago . everyone super nice super informative . although eat place hotel , way overprice wonderful , waiter wrestle tv . need great place eat , Quartinos State ask Zach awesome , great lunch get really crowded dinner , Devon go late super nice food terrific , Kitchs'n Chicago , way Chicago , soy latte , sooooooooo happy , place Japonaise also wonderful beautiful , go weekend japonaise way crowd . go monday night still get really crowd already crowd roll 7 pm plus beautiful bar downstairs , order appetizer try everything . Giordanos Michigan Superior ( get 1045am walk bar order pizza take 45 min cook sit 11 eat salad something pizza come wait line 2 hour like everyone else , recommene stuff spinach like pizza easy cheese instead overly cheesy ) , want specialty coffee shop one find city Cafe Deluca Damen Wiker Park everything else starbuck . people nice Austin , Texas entire area . hope helpful . check free trolley , stain glass museum ( navy Pier ) , botanical garden zoo ( lincoln Park ) , millienium park , beach , etc . love CHICAGO ! ! ! go August like take extra short , wear jean thinking would lot cool Texas , wrong . : - ) 
 Jul 5 2007 	 great night Talbott 	 girlfriend live Chicago decide play tourist night stay hotel downtown . Talbott wonderful . 's great location -- 2 block John Hancock step Rush Street . room clean . bed comfy . aveda shower product nice touch , free wireless Internet . hotel staff extremely friendly . doorman downstairs inform we could get couple buck parking nearby garage get validation ticket front desk . impressed help we even though decide park car rather use hotel 's valet service . after take shower , discover hair dryer bathroom not work . call downstairs immediately send engineer check problem . upon discover dryer , indeed , broken , immediately fetch another one . entire process -- time phone front desk -- take 15 minute . quick , easy , , friendly . I would absolutely recommend hotel anyone look stay River North / Gold Coast area . 
 Jun 29 2007 	 pleasantly surprised 	 husband attend conference Chicago weekend June 22nd decide tag along shopping ! fly O'Hare take cab hotel , cost $ 30 . everybody doorman reception desk concierge extremely friendly helpful . room 9th floor overlook construction , hardly room not bother we . also never awaken due construction noise husband light sleeper . room clean spacious enough we . bed comfy . eat restaurant downstairs several time breakfast lunch meal great . location hotel perfect . 1 & amp ; 1/2 block Michigan Ave Hancock tower . can not beat ! also adorable pet store call Tails City across hotel ! bring dog back couple toy ! nice well . , complaint . hotel clean beyond expect . staff always friendly location superb . 's safe neighborhood - I walk around feel fine . would definitely return . 
 Jun 17 2007 	 Perfect place stay 	 boyfriend return second stay Talbott . wonderful see friendly staff welcome we kind word , good service , efficient checkin . our room executive king suite ( 701 ) - roomy , great bed bed incredibly large bathroom . bathroom 2 sink large tub separate shower . thing great livingroom chair ( uncomfortable ) outdated television . however , tell new flat screen order . maid service efficient room clean . I try complimentary pass fitness club 5 minute walk hotel . recommend . eat hotel try room service sure would great restaurant always busy food look yummy . the concierge staff extremely helpful make reservation suggestion we , etc . we love hotel location understate elegance among reason mention . 
 Jun 7 2007 	 Classy 	 Mid - May husband stay Talbott Hotel Chicago 3 night . awesome ! hotel 's website reflect beautiful stylish . attach picture understand . room update gorgeous , elegant , sparkle clean . tell front desk update website ! reflect hotel . book regular king room arrive find upgrade suite ! suite huge ! practically size apartment DC ! room newly refurbish . beautiful bedroom european , old world style furnishing , living room , amazing bathroom 2 sink , shower , soak hot tub . even though construction going never hear thing ! really good , thick window . the hotel really fun part Chicago call & quot ; Gold Coast & quot ; . ton cool shop restaurant within block hotel . 10 minute walk Magnificent Mile river . never use give complimentary pass nearby gym . buffet breakfast charming bistro . lobby really warm invite staff fabulous professional . I totally recommend Talbott Hotel ! 
 Jun 3 2007 	 sweet home chicago 	 bookende recent trip Illinois , Wisconsin Michigan two visit Chicago , stay time small elegant Talbott Hotel . have never hear hotel , book follow review site . recommend highly enough . hotel staff friendly welcoming ; accommodation ample , boast top quality bed linen nicely appoint bath throughout . first stay give complimentary upgrade luxurious Executive King ; room 1202 spacious airy , particularly nice bath include light makeup mirror , Aveda toiletry , bathrobe separate bath shower . return stay give Double Queen , large pleasant , slightly less opulent bathroom ( single shower / bath ) delightful nevertheless . construction go next door , never hear bit . everyone staff cheerful gracious , hotel 's Bice Bistro make nice place breakfast lively spot nightcap . not believe will stay anywhere else be town ~ ' ve find home away home . course , cow climb side building . not get Four season . 
 May 30 2007 	 wonderful experience 	 Merritt Island , FloridaMy mother - in - law stay Talbott May 25 - 28 . great location road Hancock building . ton shopping restaurant close . incline walk go block Drake hotel follow underpass lake enjoy beautiful scenery . aware next place cross back Navy Pier . hotel room spacious bed comfortable . staff extremely courteous knowledgable . beware WhiteHall hotel road . will write another review ! ! ! 
 May 29 2007 	 everything could wanted Talbott ! ! 	 husband return fantastic , three night trip Chicago love every minute Talbott ! location fantastic - walk every meal shopping location . staff unsurpasse ! could not helpful . concierge staff secure dinner reservation make many helpful suggestion . hotel well appoint beautiful room bathroom . everything immaculate charming . love little bistro table line street - great relax ' people watch & quot ; venture dinner . we certainly stay Talbott next time visit Chicago . would not change thing experience ! 
 May 19 2007 	 wonderful personalized service Talbott Hotel 	 mother stay Talbott Hotel May 14 - 18 . entire experience extremely enjoyable . hotel staff courteous , friendly helpful . room beautiful spacious lot storage area . quiet , clean comfortable . location Talbott convenient Michigan Ave , boutique , restaurant . return Talbott Hotel whenever visit Chicago hope find wonderful staff . 
 Apr 30 2007 	 Great Choice ! 	 husband stay April 27 April 29th . first trip city . terrific location - close great shopping good restaurant . could choose well . staff helpful - around good choice . would stay . ask GENE conceirge desk - will lucky 's - terrific , real pleasure , helpful . thing however aware - lot construction go opposite hotel room ( clean way comfy bed ) overlook construction site work Saturdays Sundays . not bother head early morning something aware . book online - make sure check rate regularily . book $ 309 per night check week later rate go $ 209 per night cancel rebooke less rate . however - still great hotel would recommend . 
 Apr 17 2007 	 Excellent every way 	 stay fine resort hotel various location throughout United States business pleasure trip . hotel absolutely well overall property . concierge staff , particularly Stephanie , genuinely interested helpful sincere , friendly manner . well inform eager make stay pleasant possible . hotel immaculately maintain . room spacious well appoint . bathroom obviously design woman ! countless little touch make want go home re - do bathroom ! hotel centrally locate incredibly quiet . even provide delicious , really fresh fruit bowl lobby ! can not wait go back . 
 Apr 10 2007 	 upscale quality downscale price 	 stay great review , be true . highly impressed high quality everything , everyone , location . walk distance much Chicago offer . Gibson 's steakhouse Hancock building name couple . hotel really top ten even top five hotel Chicago . also three star . mean three star hilton garden inn marriott courtyard , place far exceed chain hotel like . depend room get , price $ 250 would good deal . 250 - 300 could still worth . 
 Apr 3 2007 	 favorite hotel 	 always delight . stay several time , late past weekend3/21 - 4/2/07 always glad return . look small , personal hotel entire staff treat special place stay . child range 6 - 16 love even 's pool ! ! ! 
 Mar 16 2007 	 Spring Break Base 	 stay 5 night great hotel . update room . clean . use Tim book theater din reservation . provide excellent service . close subway , shopping din . excellent value . free wireless internet access nearby health club nice perk . highly recommend . future concern adjacent construction condo . problem something ask front desk future . 
 Mar 3 2007 	 Great Place Stay 	 wife stay two night Talbott end February . little hotel perfect place we . lobby small also cozy , fireplace go welcome atmosphere come cold . staff friendly efficient . room pretty spacious , king bed extremely comfortable . seventh floor room face delaware st , really view . bathroom good size , include two sink spacious tub / shower . also free wireless internet ... big plus we . perhaps good thing Talbott location . step State , Rush , North Michigan . ton shopping , bar , good food easily within walking distance . make Talbott great place tourist want walk around take everything in . we highly recommend Talbott , gladly stay return trip . 
 Mar 2 2007 	 great surprise Talbott 	 hear second daughter college meeting we Chicago , need roll away suite book another hotel . tell allow one , start look another hotel come across Talbott Orbitz web site . look great good location , must say skeptical price picture show room . really doubt would nice look line . great surprise ! suite beautiful ! large could full living room still room 2 roll - away need . clean , newly do . location could not well staff courteous bent backwards helpful . return Talbott anytime return Chicago . definitely good place Chicago money ! 
 Feb 11 2007 	 Excellent hotel 	 one night Chicago - cold one ! however , Talbott hotel keep warm comfortable . room large nice warm bed excellent - general accomodation superb room service pretty decent . staff extremely helfpul pleasant - force . happily stay next time Chicago 
 Jan 20 2007 	 Europe Chicago 	 pull away taxi head airport trip home wife turn said & quot ; pick right place . & quot ; choose Talbott Trip Advisor review find think term Trip Advisor review arrive . nice entrance , friendly reception , notice everything immediately know Talbott non - corporate warm hotel touch typically see big name hotel chain . smell elevator attention decorative detail strongly remind Europe , simple , overstate elegant . location great , light snow walk Art Institute , Rush Street , Theater District , be California anything 50 degree keep we inside ! say kind traveler want comfort , class somewhere unique , stay Talbott . oh yeah , room look construction , 15th floor could hear sound , quiet . 
 Jan 18 2007 	 Hotel staff wonderful 	 wife three teen age child spend long weekend Talbott great time . room two queen bed nice size able add roll away bed without cramp . conceriege great excellent tip restaurant activity . easy walk shopping also take subway ( short walk away ) bear game . feel reasonably price nice . 
 Jan 8 2007 	 Bring Earplugs . 	 word - NOISY . new hotel construct back . start 8 a.m. sharp not end late night . every Day . would wait be do staying . need one bed , move room front hotel 's bad . need one bed , though , be luck . the hotel nice , restaurant good food otherwise stay fine . 
 Dec 25 2006 	 Superb service 	 nice experience warm friendly staff , comfortable clean room , great bed . even Aveda bath product top shelf . complaint parking pricey Big City real surprise . would absolutely stay ! 
