fabulous 	 stay one night & amp ; great ! complimentary valet parking & amp ; would even allow car park till late evening even check , . location great we couple block great American Music Hall plan see show night town 5:30 wine reception great start evening . staff friendly , helpful , energetic , & amp ; funny check check ! fiance read reviews hand & amp ; know reserve top floor say room room noise issue - none ! room & amp ; bathroom clean & amp ; crisp feeling . love eco - friendliness hotel offer ! ! will definitely stay . already recommend Hotel Carleton everyone speak trip ! 
 A+++++ WO not DISAPPOINTED 	 stay Carlton Hotel 22 November 3 night honest try change booking follow read negative review tripadvisor . could not get booking change hold breath hope well . glad go Carlton . hotel situate Sutter Street 15 minute walk Union Square , know everyone keep go front desk staff see believe helpful friendly , really genuine really go extra mile make sure great stay . room base back hotel massive bed , room bathroom tastefully decorate . hotel near Tenderloin area good area city , staff warn checkin go near , unfortunately wonder feel threaten vulnerable , although one approach even speak we , warn pay attention go . other review also state wall paper thin hotel , categorically state light sleeper hear single sound room entire stay . certainly could hear traffic fire siren hey expect stay middle major city . I really not know negative reviewer talk , glad take chance stay wonderful hotel . 
 Brilliant hotel load character staff match 	 stay 3 night 22 - 25 November 2009 . arrive hotel , greate Theo reception , load character , professional cheery funny . Check- easy instantly ask need direction anywhere tour organise . give we map , point get Fisherman 's wharf number 47 bus Van Ness Av , short 5 min walk stop . also explain within walk distance main shopping area . miss Macy 's Westfield Shopping Centre . only slight grumble room bit noisy could hear guy next dooe cough quite loudly Theo also explain hotel 5.30 Wine reception every night , meet fellow traveller . make every night , Theo provide music play keyboard hotel . meet load people neck wood , cruise previous staying hotel , brilliant time reception everybody make point back this . the breakfast hotel expensive , load cafe 's etc around hotel , hotel recommend Wing Lum chinese dinner , much look inside , food excellent ( 1 portion 2 load ) pass knowledge 2 group also eat . also little Henry lovely italian cafe / diner typical good italian food , run chinese family reasonably price . Alcatraz miss 
 Fabulous Hotel Great location 	 Fabulous Hotel , Great locationI absolutley adore place . feel family run cosy , ideal location town , shopping , cheesecake factory ! never eat restaurant hear good thing it . stay , good hotel ' ve ever stay . 
 Aug 4 2009 	 Hotel Carlton - San Francisco Ca . 	 Loved hotel , stay next time SF . staff great . love wine reception every night lobby music . nice clean spacious room , look newly remodel . close Union Square nice quiet neighborhood . lot small bistro eat nearby restaurant hotel delicious . international clientele . 
 Jul 27 2009 	 would stay winter month 	 stay hotel spell cool , chilly , rainy weather -- cloudy high 50 overnight low 40 -- weather atypical San Francisco month December March . old property , principal heat source consist old - fashioned radiator . heat never come regularly enough long enough room feel really comfortable . hotel able supply space heater supplemental heat , staff indicate unit receive last one available . generally like hotel location , Saha restaurant on - site first - rate . would probably choose stay warm weather month . mention issue hotel management post - stay survey , express view hope would eventually install modern heating system , acknowledge difficulty old building . offer discount subsequent stay stay sub - optimal . offer not alter opinion , though , would willing stay . also mention receive significant discount rack rate stay , influence view value money . way know whether fact discount customer affect room assignment ( possibly less well - heat part building ? ) . 
 Jul 25 2009 	 favorite 	 second stay hotel appreciate even well . room 9th floor top floor hotel . room nice , comfortable well equip . walk - in closet every luggage hidde . feel like home room . noisy come fire truck nothing hotel could prevent . check - in check - out easy fast . love wine reception every day lobby . meet nice people . nice touch . lobby well decorate comfortable . personnal work hotel smille friendly . location favorite area close many place like Union Square , Nob Hill Chinatown . ever stay San Francisco , stay Carlton Hotel sure . 
 Jul 23 2009 	 Brilliant 	 Staff really friendly helpful , area good , hotel clean smart cheap worth would stay come san fran . 
 Jul 22 2009 	 perfect place stay San Francisco 	 jet - lag , take shuttle Hotel Carlton , little way within walking , bus cable car distance place San Francisco . really fabulous old refurbish hotel friendly staff , free wireless internet , comfortable room , even complimentary wine reception lobby live music afternoon . Hotel Carlton also eco - conscious . solar panel roof generate energy eco friendly attribute . room decorate pizzaaz , personal , cookie - cutter interior design . also love walk - in closet electronic safe . 
 Jul 21 2009 	 look forward next stay 	 partially review make decision stay Carlton . great advice . town Animation conference 4 night . ' m student , enjoy night life , food able get around foot . Rode SFO BART . easy walk Powell stop . pass colourful neighbourhood . fine day , could dodgey night 're wuss . staff super friendly helpful . absolutely great entire time . free wine 5:30 - 6:00 everyday excellent . room stylish & amp ; clean . nice view city . hot water demand . location pretty good . bunch good foodie spot hit nearby ( Bang San Thai , Brenda 's Soul Food , Katana - ya , Shalimar ) decent bar Polk . Bev - Mo ( liquor superstore ) 3 block away . breakfast Saha one morning . pretty good . acceptable price . overall , great place ya , ' m look forward next stay . highly recommend . 
 Jul 21 2009 	 Love Love Loved . place soul ! 	 back two week road trip six hotel stay , probably place I ve ever stay place favourite . first , much boutique hotel - nothing place say chain . beautiful retro black white awning awesome vintage sign outside . lobby consist gorgeous piece eclectic furniture give place character make inviting . next guy friendly check we tell we ' we smoke hotel , drink hotel free wine taste every afternoon 5 ' . have not love place already , certainly now . the staff really helpful friendly give we map San Fran highlighted get should not go . next get lift find inside cover giant map well postcard / photo / souvenir provide owner / staff ( presume ) various place around world . make whole hotel seem friendly travel enthusiast really like little touch . our room gorgeous , though massive . remind guesthouse hotel , though mean compliment . Location wise find perfect . find area perfectly safe maybe ten minute walk ( downhill ) Union Square , ( nearly straight hill ) Nob Hill . killer bar near ( love Golddust Union Square ! ) across road nice Ice cream I ve ever taste . to top great location , interesting decor , nice staff free wine also incredibly reasonably price . go back San Fran I d stay heartbeat . Love Love LOVED ! free wine small room mean probably great family , couple like somewhere bit different certainly recommend . 
 Jul 18 2009 	 Quaint Hotel Superb Customer Service 	 Carlton Hotel truly one enjoyable experience long time . every summer make major trip , provide opportunity many hotel experience . far , customer service , cleanliness & amp ; comfort , eclectic styling , great location make Carlton well lodge choice San Francisco . ProsExcellent customer service hotel desk -- willing help question might ( great travel agent ! ) , comfortable bed , bathroom luxurious feel , availability basic toiletry ( shower 3 dispenser shampoo , conditioner soap -- tiny bottle ) , good - sized room boutique hotel , fabulous location -- three major bus line run practically next hotel , get anywhere would want go ; also , be location great , walk distant many major sight . mention customer service ? every time leave come back , personally greet . even ask we find town could help . never see attentive hotel staff . maid even leave we Happy 4th July note room one day . sweet ! additionally , decor asian eclectic Zen feel , make inviting , warm , friendly ; feel like visit friend 's home . welcome place end long sight - see day . thing aware : -- breakfast serve ( single serve coffee pot room ) -- many restaurant choice right near hotel ( willing walk , find something ) -- wall industrially sound - proof . hear noise neighbor tell door open / shut . , princess pea kind sleeper , want give head up . however , brag enough fabulous hotel establishment . comfortable , clean , customer friendly . would highly recommend traveler go San Francisco . -- pretty easy 30 - minute walk wharf hotel , WARNING almost completely UPHILL walk way back -- suggest bus # 19 run Polk , couple block hotel . -- thing Chinatown ; relatively easy walk , walk back many hill -- , take bus . 
 Jul 17 2009 	 bad mixed feeling ! 	 hotel pretty good . be environmentally friendly , will learn stay . 's AC ceiling fan . hotel much reduce carbon footprint . one big draw card wine afternoon , visitor give free glass invite social gathering . staff also friendly knowledgeable area . hotel nice Middle Eastern restaurant close many eat area shop far away . now negative . lift cramp , unless go disabled lift shoulder shoulder guest . 's also noisy 's seedy area near ( 6th 7th street ) take quite get bay area . 
 Jul 13 2009 	 amazing customer service . quaint everyone . 	 great stay Hotel Carlton . hotel everyone . fact would say right fit family . generally crowd old quiet young & quot ; partying & quot ; type . neighborhood bit sketchy , be fine know go surround neighborhood . hotel staff extremely helpful every request ( mostly direction , question attraction , etc . ) great visit would stay ! 
 Jul 13 2009 	 friendly service good location comfortable room 	 enjoy everything hotel , friendly greeting receive upon check - in , comfortable room , nightly free wine reception . hotel rich character attract diverse clientele . be within walking distance everything ( handle hill ) wide variety cafe bar immediate area . must put plug Theo , make we feel immediately welcome upon check - in , provide live music wine reception , give we several good restaurant tip . definitely back Hotel Carlton next trip San Francisco . 
 Jul 12 2009 	 lovely hotel beware siren street noise 	 stay week significant June lovely time , despite room let kind noise street . 8th floor face side - street , sound like fire station right we . window also drafty wind whistle constantly . say , would definitely recommend Carlton ; ask room face street . course ask switch hotel really busy plus thought room pretty decorate pale green yellow eclectic style several place around world ( love photo buddhist silky - like Moroccan ? bedspread ) . room average - sized perfectly comfy two we . bathroom also adequately - sized tub / shower combo lot shelf space ( hotel enough shelf space esp . woman traveler ) .highlight : -favorite highlight : keyboardist accompany wine reception 5 day week ! great original touch , bravo , love it - the lovely lobby , always linger guest here - the friendly staff ; always smile helpful hand - the free wine reception evening - great value money - Zaha restaurant - free internetOn downside : -the hotel close Tenderloin ; bother squeamish book somewhere else - the hotel many block Union sq , China Town , etc . ; love walk problem 
 Jul 12 2009 	 well first time . 	 come back enjoy even open . service exceptional friendly place pack . daily wine taste live music fun . location ideal like walk . visit Fly next door snack will not disappoint . 
 Jul 9 2009 	 WOW ... bargin great place stay 	 always stay visit SF , 2 - 3 time year , always stay . affordable , clean , friendly staff . amost not want say much might find new place one become popular . 
 Jul 8 2009 	 great value service food ! 	 Hotel Carlton continue give great service excellent price . stay twice last year , plan make base operation everytime visit SF . even take dog ! 
 Jul 8 2009 	 Keeper 	 memorable part one night stay staff -- super - friendly helpful , every one . room clean comfortable . public area ' comfortably literary / World vibe include elevator could spend hour examine wall . usually pick whatever hotel 's available reasonable rate weekend stay City , ' m actually go make point return . 
 Jul 7 2009 	 great city place ! 	 great service ! map provide helpful . able check bag stay make possible we use public transportation whole visit . the room nice clean . housekeeping make bed extra blanket realize preference . location short walk cable car bus line . street avoid , not feel unsafe . love filter water staff print airline boarding pass we . 
 Jul 5 2009 	 fantastic service fantastic staff fantastic room ............. fantastic 	 anyone say bad hotel stay ? ? ? cleanliest , friendliest hotel ever . staff , especially concierge Gio receptionist , nothing ever much . room eclectic mix modern minimalistic style New England beach hut ( well that s feel ! ! ) room clean , bit dirt anywhere , nothing place nothing wear away . yes hotel Wharf , let get realistic , hotel San Francisco , city Wharf . ideally locate block cable car route friend actually quite pleased let we take daily part one define moment San Francisco , ride cable car amazing street . also close shop bar / restaurant Union Square . Carlton Hotel hidden gem , tuck away enough touristy accessible enough good city . amazing stay , would not stay anywhere else city . 
 Jul 4 2009 	 friendly clean comfortable hotel 	 spend two night June 2009.we meet friendly helpful front desk , need 11 hour flight . point place eat , public transport one area city avoid ( Tenderloin district ) .The room spacious , clean although woken trash cart around 4 morning , collect trash glass bottle . the hotel pretty good location downtown , 15 - 20 minute walk Union Square . also 10 minute dottie true Blue Cafe , well ever breakfast ( make sure get 10 minute open 7.30 , otherwise will lengthy wait table ) .We not eat restaurant feel bit pricy , can not comment food , plenty good one walk distance . one drawback , hotel not bar , , plenty nearby . 
 Jul 2 2009 	 whirlwind two weeksso much see good taste.r 	 go tour golden west coast california 2007 , use tour bus company . visit , start san.fransisco , do not miss cable car , china town , pier 39 fisherman wharfe .. big sur , 17 mile drive ect , soo much see , carmel , santa barbara , ect , ect , LA , remember film true lie , arnie pool horse ect , stay , cool . next day hollywood , .... except hollywood bowl , 1/2 day universal studio , walk fame .. chinese theater go oscar theater ( backstage ) ok . John Wayne kid foot , .quick tour star mansion .. briefly , las vegas 3 night ... much mention unmissable , grand canyon splash fly , must see , .. yosemite park , ( el capitino ) 1/2 day , enough time ect , california drought condition moment may see water fall advertise ... motel hotel adequate , never ask smoker room , , , may 2nd class smell . book boat trip going want see alcatraze , , worth . ( always fully book ) ....... extra thing i d miss chance go , , , boat trip golden gate bridge , boat alcatraze , bit long ...... hoover dam 1/2 day trip ..... drive ( drive think . ) . famous Hole wall , night time steak house , use slide bar , ect .. minute steak , ( thin ) .crap group , 2 cowboy song open air , can not get back top & quot ; drink & quot ; jug .. encore , escort , believe , save cash.they think favour partner , $ 50.each , .... every one differ taste do not .. i d try famous madonna hotel meal instead.a genuine different hotel ..... weird wonderful ..... would love see california time ... would slow speed preferably motor home ......... yipee hi ay , ........ route 66 ect .. gold rush ghost town .. palm spring ... rodeos ... proper stay grand canyon colorado level .. yosmite park , , , , , go ...... remember , polite local , polite .even beggers Sutter st , san fransisco ....... ( stay hotel Carlton ) .. good luck 
 Jul 1 2009 	 great place stay ! 	 second visit stay hotel 5 year ago . Hotel Carlton well locate near Union Square Sutter near Hyde . Union Square area , cable car theatre district close walk . hotel although quite old well modernized walk closet , safe etc . two elevator although cosy fun ride . good thing Hotel Carlton staff . friendly , courteous knowledgeable respect city . like speak friend . also multi task Theo check we , provide tip restaurant drive San Francisco play keyboard entertain we reception afternoon . wine reception lobby 5:30 6:00 pm always highlight many guest hotel . would certainly recommend Hotel Carlton friend definitely stay travel back San Francisco . negative fire station close busy night siren may distraction . 
 Jul 1 2009 	 Hotel Carlton always make smile . 	 ' ve stay Hotel Carlton 2 time times excellent experiece . Costen Hickman help great deal reservation Theo front desk greet warm smile make laugh . staff always say hello friendly helpful . always recommend hotel anyone visit San Francisco ! 
 Jun 30 2009 	 great hotel despite location 	 2 night ' stay Hotel Carlton early June excellent ! get Powell Street , walk close 20 minute reach hotel . even though be locate & quot ; Lower Nob Hill & quot ; region , couple block away shady & quot ; Tenderloin & quot ; area , feel safe . warm greeting front desk first step hotel nice . entire check - in process take 3 minute . deluxe room 7th floor great lighting , room well lay . even though be air - conditioner room , breeze open window ceiling fan enough . hotel pride environmentally friendly . instead bottled water , place glass pitcher room get filter water either 1st 8th floor . good ideal ! book room directly joie de vivre website , get fantastic deal : $ 99 room / day include daily breakfast two Zaha Restaurant . let tell , french toast world ! ! ! ! ! ! ! lightly batter toast caramelize , crispy outside soft ( mushy ) inside , top fresh blueberry strawberry . writing make drool ..... first time stay JDV hotel , experience ! highly recommend hotel anyone be look clean room , friendly service , great food , unbeatable deal ! thank , Hotel Carlton , wonderful time . 
 Jun 30 2009 	 friendly clean comfortable . 	 environmentally conscious hotel . staff efficient , helpful , friendly . room clean comfortable . great value location service . 
 Jun 26 2009 	 exceptional front desk 	 pro : front desk staff , especially bellhop , attentive guest . go way make sure feel well suffer jetlag . good location , able catch trolley muni bus easily within short walking distance . very clean stylishly decorate . bed comfortable enough . cozy lobby , delicious restaurant site.con : & quot ; green & quot ; hotel . forewarn ! towel scratchy . toilet paper thin scratchy . not get cool little bottle shampoo conditioner hotel provide room . extra . also , note shower curtain . plastic liner , mean neither curtain repel water . end flood bathroom floor get not put shower curtain inside tub shower ! restaurant site open many hour day . fact , close Sun Mon nite . and one final note , continental breakfast . southern girl , ' m use , little disappointed . 
 Jun 24 2009 	 good hotel great location friendly helpful staff 	 stay 3 night well locate hotel . hesitation recommend hotel anyone want close proximity China Town shopping area , without far Fishermans Wharf . the room spacious well equip ( include free WiFi internet access ) staff friendly efficient helpful . very good value money ! btw stay not need car - walk anywhere might need . park downtown , car problem . car take hotel valet parking service work smoothly . 
 Jun 23 2009 	 Awesome hotel great service value money completely worth price 	 really nice hotel staff level service raise bar well . staff friendly helpful , soon arrive give map , inform sightseeing location , place eat tell avoid Tenderloin . feel pretty safe hotel locate Nob Hill ; cool neighborhood , gourmet coffee shop area hotel far city center plus ! review say could hear street noise hotel , experience . room really quite sleep well . staff keep room really clean room service good . every afternoon 6 pm hotel free wine service , great ! long day run around San Fran will return nice glass wine listen music play one staff member . wine hour also great place meet hotel guest . go restaurant Saha breakfast tasty filling . free WI - FI also great plus . will definitely get monie worth ! fun ! 
 Jun 17 2009 	 fabulous stay -LOVED Hotel Staff 	 great 4 night stay ! hotel staff ( Marc , Theo , Lito etc . ) BEST ever ! ! ! room clean , hotel good location good restaurant area ( ask staff go - always right ! ) can not say enough wine reception ! ! ! can not wait go back ! 
 Jun 10 2009 	 friendly staff - Excellent hotel 	 stay 4 night , really enjoy stay . front desk staff make we welcome soon arrive , help we make good short stay s.f . room comfortable clean . book hotel mainly be central location . fairly short walk Union Square Chinatown ( around 15 minute ) - attraction afield , would necessary utilise taxi , local bus service ( seem plentiful ) . one area find interesting enjoyable Fisherman 's Wharf . wife ( 60 's ) walk back - approx . 30 minute way - steep street , 3 occasion , really enjoy walk . enjoyable day great city , great hotel . 
 Jun 9 2009 	 excellent base trip San Francisco 	 stay three night order see San Francisco . find friendly clean ' bit different ' . wine reception every early evening opportunity share idea experience fellow guest - wine good . position allow we walk everywhere want go . 
 Jun 7 2009 	 community - minded hotel great restaurant 	 love Carlton . wife stay two night San Francisco see play ; theater district within walking distance . two outstanding feature outstanding restaurant , Saha , reason enough go City , hotel 's financial support neighboring facility help support kid . place great feel . 
 Jun 1 2009 	 Amazing experience ! quaint cute Clean Comfortable ! 	 Located San Francisco 's Nob Hill neighborhood , Hotel Carlton wonderful place stay affordable price . for $ 147 night , expect something way different , pleasantly surprised find quaint modern hotel . room pretty , ton natural light , clean . front desk always go beyond make sure comfortable happy . always happy help we book taxi find local attraction . plus , always say hi . also arrange complimentary wine reception nice add touch . the downside ? neighborhood little blah . would not recommend walk around alone . however , be great bar around . one , call Fly , right next door great half - price pizza drink , another , Blur , block away . much fun ! parking $ 20 across street . I would highly recommend hotel anyone . 
 may 26 2009 	 Hotel Carlton become home away home San Francisco 	 colleague recommend Hotel Carlton stay travel SF business treat well become home away home business . recommend colleague hotel send staff well recommend Hotel Carlton friend go holiday . make sure enjoy wine reception lobby take advantage location access different area city . reservation , welcome front staff , clean staff take care professional also personalize way . sign Joy Life club recommend repeat client . also important know Hotel Carlton Green business SF would much rather support business operate environmental initiative . ENJOY stay great hotel great city . 
 may 26 2009 	 Great Value Friendly Hotel 	 spend first two night last night trip Carlton . late change choice Chancellor drive collpase Sterling incredibly competitve rate offer Carlton . great service even get offer discount rate three night stay even think night consecutive . hotel comfortable , excellent food Saha restaurant , staff , many reviewer highlight simply first rate . location fine - need go Tenderloin unless choose 10 minute walk downhill Union Square . service value money fault . evening wine reception nice way relax dinner full day . would hesitate stay . 
 May 22 2009 	 completely adequate 	 Carlton okay . decent room , comfortable , clean . affordable , make good choice , thing consider . 
 May 20 2009 	 Great Value 	 one many time stay Carlton Hotel . ' ve always stay near visit . except high cost parking -- valet public -- quaint little hotel super nice employee . room small , particularly bathroom , be quite noisy part San Francisco , ' ve always enjoy stay . staff treat like family guest . even know name accomodate . would highly recommend traveler part town . 
 May 16 2009 	 Excellent hotel - miss 	 stay return SF stay Travelodge begin holiday . book recommendation site , disappointed . staff could we . give late checkout , without ask , 14.30 , could freshen departure SF International . sample wine evening entertainment relax hard day foot . room small compare room stay SF Las Vegas , standard compare room UK . perfectly adequate stay safe , walk closet , bonus . room tastefully decorate modern . bed comfortable . Area seem run , one reviewer state , homeless SF , fact , not see near hotel although look hostel nearby . tip - buy Muni pass . excellent value cover bus , BART cable car . money be worth first day , could pleasant catch California cable car back hotel ? return stop 2 block away downhill Carlton . bus Union Square go door bus Union Square one block away ( downhill ) . book limo service airport hotel desk . $ 45 compare taxi hotel $ 40 ( exc tip ) . much nice shuttle bus £ 11 ( voucher per head ) direct , turn cheap taxi , get stick traffic freeway ! end holiday style . BART $ 5.35 option carry extra luggage family . 
 May 13 2009 	 Great Value Money Hotel 	 Positive point - room reasonable size free wifi , clean hotel , great friendly reception staff great sense humour , good price . less positive point - connect room hear thing next door ( fine next door part party like we ) , bit walk Powell Street Union Sq imagine still within comfortable distance . wine taste event every evening 5.30pm - 6 pm like refill glass ! would stay San Francisco ? - definitely - great value money . 
 may 12 2009 	 ideal choice reasonable price 	 return first visit San Francisco stay 3 night Carlton Hotel . value money , hotel good city far . located block Union Square , might heart city 10 minute walk away . area well ok ; could put first sight problem whatsoever even walk late night . public transport link nearby well infamous tram network 2 block away . the hotel ideal short stay traveller - room standard size , clean tidy although sound insulation within not great . staff excellent happy help . would recommend go daily wine reception hold evening ; good meet visitor wine pretty good ! visit SF first time , Alcatraz city bus tour combo must much cheap book internet rather wait till get here . all , hotel ideal choice short stay visit . 
 may 11 2009 	 great sight see Location clean great staff 	 stay great ! hotel walk distance many thing , China town , Little Italy etc . also provide free tour guide day . staff helpful nice . stay top floor , hear police siren , bad . forget stay hotel nice area , homeless people every . location make everything easy , do not affraid go Tenderloin consider bad area , miss many great restaurant , especially dottie . room slight cat smell tear screen , big deal . recommend hotel couple . would recommend people small child . go back San francisco stay . oh , like restaurant inside hotel Saha , people seem enjoy . 
 May 10 2009 	 wow great place ! 	 book Australia base review site . I say , staff front desk REALLY give hotel edge . enough . offer call transfer , book tour , full great local knowledge really really nice ! ( ' ve never say opener review ! ! ! ) location quite good nearby cafe 's breaky restaurant lunch / dinner - 's 10 minute walk main area town . cable car stop far away either . area hotel - complaint us - Lenny Kravits ( think think see get coffee one morning ) live door seem like nice area . House keep really wonderful job keeping room impeccably clean . room lovely modern biiig . weary traveller - first jet - lag stop , staff understand attentive . not eat restaurant walk past smell GREAT . tired dinner stay several long flight get there . we would stay recommend anyone . 
 May 10 2009 	 feel comfortable excellent value money hotel . 	 choose hotel excellent review . certainly disappoint . find positive review say . we stay twice fortnight , time 3 night . two different room . reviewer say noise adjoining room . however , find room extremely quiet , even though hotel full . when search room San Francisco shock high rate , make bad current poor exchange rate . rate charge Hotel Carlton much cheap Hotels consider . both room large , clean well equip . really like largish walk - in robe room able keep case way . two lift , old look clean functional . the location reasonably central within easy walk Union Square famous cable car . although far fit 20 year old ( ! ) , find walk China Town quite ok . staff lovely . go way friendly , welcome helpful , recommendation prove excellent . successfully manage combine rather jovial approach extreme professionalism . would highly recommend Hotel anyone lucky enough go San Francisco . Jessie & amp ; Michael Goddard , Melbourne , Australia 
 May 10 2009 	 Great Staff Great Value 	 staff Hotel Carlton great ! friendly helpful , great sense humor . give we great restaurant tip advice get around city . & quot ; happy hour & quot ; wine lobby nice way relax explore city . room small side , especially bathroom , nice . main complaint street noise , advise buying earplug be light sleeper - bother we first night two , think exhausted busy day notice night . location work well we . walk Union Square even Chinatown . bus line take Fisherman 's Wharf North Beach couple block away ( North Beach bit hike - ) . bus low - cost way get around . good restaurant internet cafe within easy walk distance , well drug store . 
 Apr 26 2009 	 good value clean . 	 third stay Carlton . sixty walk everywhere location . problem neighborhood even late night . cleanliness main priority choose hotel hotel clean . front desk staff unfailingly helpful , polite funny . seem like do . yes , hear everything go next room since time quiet time want sleep find problematic . I would recommend Carlton friend . thank Tripadvisor . 
 Apr 26 2009 	 Fantastic hotel friendly staff 	 stay Carlton Hotel week begin April . decide try different area second trip San Francisco - first holiday stay Fisherman 's Wharf . hotel well locate many good cafe restaurant nearby . room decent sized clean . lucky enough give room 8th floor magnificent view city . previous reviewer say , wall thin , not find noisy . the wine reception 5.30 pm 6 pm day great way meet guest staff , create friendly atmosphere hotel . we take day trip Yosemite National Park , highlight holiday . long day ( 6.40 10.40 pm ) well worth it . local bus service easy use able visit Golden Gate Bridge , Golden Gate Park , Alamo Square , Grace Cathedral , Civic Centre etc minimal cost . we would hesitation recommend hotel certainly back point future . 
 Apr 23 2009 	 fun stay ! 	 boyfriend stay Hotel Carlton late February year . staff friendly fun , really enjoy complimentary drink 5 pm every evening . the location great walk around San Francisco , far station . the room little tired , blind room close properly . experience noise form guest early hour morning , expect thin wall . extent read review though . it great value would definitely stay . recommend young couple . 
 Apr 22 2009 	 good attitude good servicegood price 	 stay fro 2 week upgrade room top floor . first room offer back onto lift shaft , quickly efficiently change . greeter arrange help we find way around friendly knowledgeable .. tenderloin district issue day . would great 5 min walk nearer Union Square save money pay lot taxis downtown . we would definitely stay . room even view fill survey online offer 25 % reduction next stay . room fine keep clean . thin wall issue floor . quiet . 5star good pay . 
 Apr 21 2009 	 do not sleep 	 husband stay late March anniversary , abit worry prior visit regard review , emailed manager request upgrade 9th floor quiet room . do extra cost $ 40 per night , stay 4 night . yes reception area lovely staff . safe long turn right hotel , never feel unsafe . well room ......... thin wall . keep night could hear next room phone conversation , use toilet , someone even sneeze say bless say thankyou back . ( different room ? ! ? ) main door room corridor warped night glow around outside light corridor hear everyone walk talk corridor . the Bathroom tatty Bath look like replace due hole guess , patch pleasent look also dusty Bathroom . to top thin wall radiator hiss dripping ( leak ) hotel solution turn , room freezing . I disagree comment cheap Hotel . cost we quite abit . if do not need sleep ( maybe one Cullens Twilight ) stay good location . human need sleep like we do not stay . wall far thin another thing close fire station awful siren go well . our visit San Francisco would alot well be not tired . complain reception , say know problem thin wall everyone complain change room would not quieter quiet room . offer refund 1/2 upgrade room cost . if WANT sleep dont stay . 
 Apr 20 2009 	 Excellent staff 	 family group 5 72 & amp ; 40 year old enjoy stay hotel . first visit San Francisco much see whichever location always wrong place something . get around Frisco Carlton cheap & amp ; make easy help staff . also take advantage hotel greeter service offer free stay 3 night ( think ) .The open wine bar nice socializing get tip traveler . room clean comfortable reviewer suggest want pamper stay Ritz Carlton . want good value accommodation friendly feel Carlton . breakfast hotel one day good . 
 Apr 17 2009 	 not sleep 	 beautiful hotel . 's really well design , clean , bright , spacious modern room , fabulously helpful friendly staff . fairly priced . amazing restaurant , good meal week - long trip . butthe wall thin . people next room awake night talk , talk wake we 4 am . may well room . next night , thing , different people , talk watch tv , could not even ask quiet , unreasonably loud . staff great , move we another room , morning . room bad . would gladly stay Carlton quiet floor not . end check midnight luggage , cab take we another hotel . staff could not apologetic , even refunded cost . value sleep go somewhere else . 's shame every aspect hotel outstanding . 
 Apr 15 2009 	 thank another wonderful stay ! 	 second trip San Francisco second stay Hotel Carlton . stay even enjoyable last ( be even possible ) . stumble across wonderful promotion website February could not pass opportunity come back charming city world ! book deluxe room $ 83 / night . hello ? ! say , & quot ; Awesome & quot ; ? deluxe room locate top floor ( 9th ) sort upgrade wall mechanism make room quiet other ( noise slight issue ) . also receive complimentary bottle wine LCD tv room . seriously , $ 83 per night , right mind would complain anything ? one ! , room clean , comfortable totally adorable . staff amazingly friendly attentive . location fine realize not pay Ritz - Carlton price therefore expect Beverly Hills Upper East Side surrounding . safe ? yes . mind business thing . stay Hotel Carlton want save buck two , treat kindness take awesomeness San Francisco ! wonderful time ! 
 Apr 15 2009 	 surprisingly excellent 	 spend two night wish time . decor lobby immediately let know carefully design hotel : warm color enhance comfortable seat arrangement amazing book available perusal coffee table . room spacious clean desing well upkeep superior quality towel bathroom . do miss restaurant delicious variety food well prepare gracefully serve . you definitely get money 's worth hotel . 
 Apr 15 2009 	 Great Value 	 enjoy Hotel Carlton . need bell whistle , San Francisco first time intend spend much time room . thought overall ... , CLEAN . room pitcher would like fill water get downstair restaurant . room small side ( two bed ) , really different city hotel ( one NYC tiny ! ! ) . bed huge comfortable million pillow . bathroom clean , however not much room put stuff ( two girl , bet lot ! ) . put half stuff bathroom , half desk room . big deal something note . oh elevator little scary . hotel 2 , one kind open door get . see woman stand push button repeatedly not realize elevator mention . Kinda weird . one restaurant premise , Saha , arabic fusion restaurant . normally try eat hotel restaurant one night feel lazy thought would interesting try . turn one good meal ! highly recommend ravioli , sauce make unbelievable . I never feel unsafe walk around scare easy , lol . think ' safe ' area make right hotel . everything ( Union Square , Chinatown , etc ) assumption . not turn left leave hotel ! haha . easy get trolley hotel , maybe little would liked make sleep easy quiet area . TIP : plan use trolley least time day , would suggest buy MUNI passport , depend long area . several different option , buy 3 day pass $ 18 front Ghiradelli Square ' m sure get place . one trolley ride cost $ 5 , even take 4 time would already pay . be also great occasionally trolley get stick track . one get stuck , none move . ' m sure money return decide get walk instead passport not problem . muni also good bus 's bargain , since use get Golden Gate Park . front desk helpful , need find get Golden Gate Park , tell we exactly take bus , bus number take , give we map could doubly sure . anything ask make sure help we way could . transportation : take cab airport hotel cost we almost $ 50 ! ( not expect high ) hotel link shuttle service airport , think Lori 's Shuttle ( ? ) , cost $ 15 person ! fly SFO later ( around midnight ) not think shuttle would available anyway , anyone fly normal hour . think shuttle service also pick hotel , Carlton . look pamper hotel . look clean , comfortable place sleep far Union Square / other area , hotel . 
