fantastic 	 28th-30th Nov 2009 . never stay Premier Inn . always favour spend money pricey boutique hotel feature Mr. Mrs. Smith etc . however , moment check immediately notice modern clean hotel . spotless spacious - everything want hotel short break city . unfortunately Sunday night wake feel unwell continue ill throughout night next day food poisoning ( eat outside hotel ) . London pay little hotel apprehensive phone reception ask late check - out . surprise receptionist incredibly kind understanding , allow check two half hour late call doctor . also bring toast room would not take painkiller empty stomach ! overwhelmed sweet forget much help day . great hotel fault , even not ill . 
 Great Hotel Great Location Great Service 	 highly recommend hotel - inexpensive ( London ) , close Tower Bridge many form public transport , be great place stay . clean , nice room friendly helpful staff . not fancy hotel , receive kind service would expect expensive hotel - well do . stay six night , lots Pubs Restaurants walk , coffee bar lobby early morning wake up . want stay Tower Hill section London budget , look , hotel ! : - ) 
 Apr 22 2008 	 wonderful hotel 	 surprise delightful hotel wish book whole week one night en route bruge via Eurostar . as country yokel , husband little scared finding way round London easy - circle line Paddington close tube station . marathon day add bonus load policeman around show we way hotel ( easy find anyway ) - could walk middle road ! room great view gherkin city spread front we . deal include breakfast also good set we next day . hotel location brilliant - almost next tower . first evening walk along river past Globe Tate Modern along millenium bridge St Paul 's . not realise everything close . follow morning walk way Wapping . add bonus hotel late night coffee bar ( license bar ) really comfortable . we shall definitely go back long break explore London . basically hotel conquer fear stay capital city . 
 Apr 14 2008 	 central location great price would book 	 pay £ 50 friday night stay think standard price ( be slightly week ) , breakfast extra . price , absolute bargain London . 's centrally locate , 5 min walk tube pretty much round corner tower london ( spectacular ) Tower bridge . 's business district area pretty deserted weekend . long not mind hop tube evening , covent garden anywhere central 15 min . room not spectacular - think premier travel inn style rather budget chic . be clean , decent size good shower flat screen tv . perfectly adequate city break . the reception staff friendly polite 's cafe bar area lobby . walk borough market breakfast rather pay extra £ 10 . would definitely stay think would difficult find something standard location price . be probably good bet romantic weekend away , be London see sight sample restaurant not need five star luxury great choice . 
 Apr 13 2008 	 good choice budget 	 arrive early not really expect room ready , offer room basement - show around decide take one - quiet room large . good hotel money - get double room £ 70 . basic none luxury expect . great shower bath , tea / coffee minibar . Breakfast include , comfortable bed flat screen tv . prepared get good value London , none frill , hotel good choice . Checkout midday also good compare London hotel . would stay need area . 
 Apr 10 2008 	 Clean recently refurbish bit second - class 	 first impression disappointing , plastic - finish table chair tv lobby / bar area warm greeting receptionist . taste , brown carpet plastic wood - finish room look date . corridor room smell strongly clean agent , possible open window fan bathroom , atmosphere room pleasant . however , bed comfortable , bathroom spotless good tea - make facility lady bar readily supply fresh milk . when area normally prefer Apex City London hotel ; however , price variable accord demand expensive . probably will not stay Purple hotel . 
 Apr 10 2008 	 great location great value 	 find hotel via Expedia book relatively low price excellent review Tripadvisor . the hotel still feel brand new . twin room exceptionally spacious London . bathroom relatively large , , feature large powerful shower . bathroom well room spotlessly clean ; tea coffee make facility available room second pillow . hotel staff always friendly helpful . the hotel 3 - 5 minute walk Tower Hill / Tower Gateway station Tower ( could actually see room 's window ) . Liverpool Street Station ( arrive ) be 10 minute foot two stop Circle Line . the street hotel locate busy weekday relatively quite weekend . apply train track Farringdon station run past back hotel , room situate . window seem pretty good insulated train overly loud ; problem light sleep . the negative point breakfast buffet whopping 9.95gbp per person quite expensive even London . J.D . Wetherspoon pub opposite hotel offer full english breakfast half towards city around Tower Bridge plenty cafe offer reasonably price breakfast . Wifi available hotel reasonable fee ( see hotel website ) pub mention also offer free wifi . 
 Apr 4 2008 	 pleased 	 pleased hotel , staff good . wide choice buffet breakfast include full english . everywhere clean . large bedroom kingsize bed , comfortable.only problem traffic noise overlook prescott st , however london live , certainly stay ( take earplug ) . 
 Mar 29 2008 	 Loved hotel -- clean quiet ! highly recommend ! 	 hotel locate within 5 6 minute walk Tower London Tower Bridge . 's financial district , 's much area entertainment , be nice , quiet location come back busy day tube couple minute away be easy hop get around entire city . staff nice even though seem bit confused time . think could speak English second language . even , trouble get information nice helpful . hotel , clean . get fresh towel bed linen every day bathroom scrub every day . give we plenty shampoo body soap . room also pretty big ! fit two twin bed , desk tv area , another little sit area . bathroom decent size lovely shower stall seat . restaurant ok ... think bit pricey food not fantastic ok . prefer go across street Wetherspoons ( nice restaurant right across street ! ) . hotel really quiet night ( day actually ) never trouble sleep . bed bit firm , trouble fall asleep . wireless internet access ( pay ) want bre laptop , surf web . would definitely recommend hotel anyone long not mind quiet financial district . hope get London one day -- would definitely stay hotel . 
 Mar 27 2008 	 good hotel 	 stay Easter Good friday Easter monday , find executive room large extremely comfortable spotlessly clean . the staff nice helpful . shower amazing , go twice day good experience ! breakfast though poor experience , busy ( Easter ) small space enjoy good meal , people quee number minute get table . area around hotel void much ( bar etc ) wetherspoon across closed easter ? pub past tower hill tube station . all good experience . 
 Mar 25 2008 	 nice hotel 	 return weekend away think ` give review , reason pick hotel.the hotel clean , nicely newly decorate . room small hotel ` use . shower nearly knock foot powerful.the downside would say ` open window use air con , biggy.as state 5 min tower bridge / tower hill tube station , circle line think easiet line get around london on.the wetherspoon road close cheap breakfast , hotel one £ 5.50 ( offer , reason booking want £ 10 person , make sure ` book line ) plenty eat , gripe . staff polite helpful . good stay.would stay ...... definately 
 Mar 24 2008 	 excellent location value money - London 	 family stay Christmas break . hotel well locate , close Tower London , St Katherine Dock - convenient transport ( DLR , tube bus 15 direct central London ) .The room fairly spacious especially London clean . concern noise - hotel situate main road one side DLR / train side - however well build good sound proof barely disturb external noise . breakfast quite expensive include deal - good selection . compare hotel stay London , one good value money find far clean , modern . 
 Mar 19 2008 	 really Good Hotel 	 stay one night close venue business meeting attend . good location - close Towerhill DLR tube . couple good pub close proximity hotel . room clean tidy quiet hotel . staff friendly attentive . would stay . 
 Mar 13 2008 	 not really want recommend hotel 	 stay Purple 3 night ( 7 - 9 March ) could not believe lucky 'd . executive room ( though not ask one total price £ 215 2 us B & amp ; b 3 night not expect ) situate front basement . hear absolutely noise building work across road ( even though work Saturday ) even less & quot ; hurricane & quot ; Sunday night . the room enormous , shower powerful hot , plenty tea / coffee etc . , comfy bed , one pillow enough extra top wardrobe need . Buffet breakfast good though breakfast room get bit crowded , Sunday , not seem much selection available though not say not would shifted get early . bacon really nice scrambled egg . plenty cereal , yoghurt , ham , cheese etc . also lot tea variety , sadly , Earl Grey . one gripe bar . two coffee one evening chap & quot ; could not accept cash & quot ; payment charge room . would pre - pay not expect anything add credit card bit miff need not worry , check , girl happy settle cash . reception staff friendly polite ; breakfast staff little less would start work early . word checking - in / out - painless ! lock luggage room leave luggage checking - out . the Tower less 10 minute walk away , Tower Gateway DLR even less , Petticoat Lane 15 - 20 minute walk , friendly general store / off licence turn right hotel junction cross road ( seem sell everything ! ) . Wetherspoon 's deal Wetherspoon 's staff friendly . all really not want recommend hotel want stay many take notice review may difficulty get . 
 Mar 11 2008 	 practical choice Business Tourist 	 good choice Business traveller tourist not want right heart city . it 5 - 7mins walk aldgate , Aldgate East Tower Hill tude station . 5 min Fenchurch street 10 minute Liverpool Street rail station easy get will West end etc know time . if want visit tower London , Tower Bridge , St Kathrines dock Thames river walk boat good location stay 10 min walk wawy . Checkin poor take 20mins one person front , check ot not much well . little work need do there . room wise good . big room , air con , shower seat nice . I not time try food . there various pub restarunt not night life buzz that s want . hand river not far away want stroll bit eat . opposite hotel large building site warn get front room . ground work underway mo 18 storey building complete . the back room back onto railway . say room back not noisy . pay £ 99 not bad London 
 Mar 3 2008 	 Great Hotel handy City ExCel 	 stay four night whilst attend exhibition ExCel Docklands . very nice room ( big Holiday Inn Express ) gtreat cook breakfastonly minor downside 10 tv channel ( news 24 do not work ) .2 minute walk Tower gateway dlr station . 
 Feb 21 2008 	 Excellent Hotel 	 stay one night teenager , young child grandparent . excellent hotel offer good value money . huge room . clean bathrooms close tube station . we would book 
 Feb 16 2008 	 Loved Purple 	 hotel recently refurbish everything high standard . get bargain rate executive room comfortable spacious . must mention beautiful shower . chain calle & quot ; frill chic & quot ; everything need - tea , coffee , hair dryer , tv , aircon . excellent buffet breakfast , huge choice . staff helpful friendly . definitely stay again . Noel Diane , Chester . 
 Feb 8 2008 	 good value convenient location 	 formerly Sleep Hotel City London change name weekend arrive . it fairly new hotel room spacious large comfortable bed , air conditioning , tea coffee make facility flat screen tv . bathroom clean good power shower soft towel . many hotel , find quilt bed hot thin quilt blanket ask .The room overlook road front hotel despite fairly busy traffic room seem well insulated noise sleep well night . the buffet breakfast include bacon , sausage , egg , plus cereal , bread roll , fresh fruit salad etc . coffee good instant coffee machine . breakfast room hardly large enough size hotel fairly long queue find table Sunday morning busy . the hotel locate near Tower London , Tower Bridge Thames ten minute walk Tower Hill Aldgate underground station handy get rest London . 
 Jan 22 2008 	 Perfect Price 	 stay hotel prior Christmas vacation . first trip London . overall really enjoy staying location . pro - -New Hotel , 2007 - large room - contemporary decor - large , hot , buffett breakfast include - Friendly staff - locate near Tower Hill Tube -Felt SafeCons - locate business district . visit pleasure , might like centrally locate hotel . however , price feel great value location downside we . less 5 minute walk Tube Station Tower London.-Not many & quot ; thing & quot ; within walking distance . however , great pub close . overall enjoy hotel would return price continue bargain . 
 Jan 20 2008 	 Excellent Hotel 	 Booked Sleep Inn £ 50 night 2 night B & amp ; B could not believe quality offer . reception staff friendly helpful check quick easy . room spacious , tastefully furnish , comfortable spotless . buffet breakfast great evening meal bar not bad . wetherspoon across street also breakfast nice pub next door church alternative . the hotel good location - 15 min walk Liverpool St station , handy ' ve fly Stansted - 5 min Tower London Tower Hill tube . area fairly quiet night . I normally use Ibis Travelodge London trip , will continue use first choice London visit - business break . 
 Jan 19 2008 	 good hotel 	 Booked Superbreak . spend one night mid week . room excellent - spacious , fantasically clean , comfortable bed everything could need comfortable stay ( hairdryer , lot towel pillow , efficient hot shower , tea , coffee biscuit , ) . staff helpful friendly hotel short stroll away Tower London Tower Bridge . want comfort cleanliness good price London can not go wrong . number bar pub withe walk distance . 
 Jan 19 2008 	 good value handy o2 arena 	 Stayed go see spice girl o2 arena , short trip dockland express railway nearby towerhill gateway station . easy get o2 here . pay £ 30 per person bed breakfast via superbreak website .Hotel spotless modern , breakfast ok . would recomend hotel would definatley stay again . GIRL POWER .............................. 
 Jan 13 2008 	 great ` ` frill '' Hotel 	 stay one night double room another bed make child . the room clean comfortable modern decor . there tea / coffee / biscuit supplied+hairdryer magazine . the bed comfortable extra bed get approval son also . the bathroom clean , well light good shower bath . the hotel quiet night rowdy stag party & quot ; pleasure & quot ; experiencing & quot ; frill & quot ; hotel . the breakfast pleasant surprise tasty overly crowd . I would problem recommend hotel definitely use next time London . 
 Jan 12 2008 	 Sleep Sleep Inn ... 	 book twin & amp ; double room & amp ; girl go see & quot ; Spice Girls & quot ; , say , stay make we realise need new bed ! comfortable bed sleep hotel EVER . hotel spotlessly clean , bit spartan , functional efficient . staff friendly professional , check , leave luggage do effortlessly smilingly . hotel close Tower Hill Station , Tower London . not eat hotel , Wetherspoons across road fill breakfast three pound ! ! breakfast hotel quote ten pound . nice indian restaurant , pub road - bridge . be peckish stage , room service hotel , late snack facility foyer , little expensive side ( well four we ! ) . , nice little hotel . would recommend friend . 
 Jan 3 2008 	 disappoint 	 stay hotel 2 night read good review . right . staff friendly , room spacious clean . near tube short walk Tower Hill min tube Charing Cross etc get really good rate £ 65 per night per room . would definitely stay . 
 Dec 20 2007 	 great location tubble work next day ... 	 great sized double room everything need . comfortable bed , friendly staff clean . gorgeous hot breakfast morning , would definitely stay . complaint would power point near mirror hairdryer case friend 's room . 
 Dec 18 2007 	 almost brand spank new ! ! ! 	 book hotel via Superbreaks 2 work colleague one night stay . work around £ 73 per room include decent breakfast . hotel locate vicinity many London 's attraction ... tower , Thames , HMS Belfast , Brick Lane market , name suggest , city name . within easy walk distance ( ~500 metre ) Tower Hill tube station ( District & amp ; Circles line ) , Tower Gateway ( Dockland Light Railway ) , circa 700 metre aldgate bus station . surround road busy daytime , really would not worth get cab.no wear tear show yet . build quite & quot ; low rise & quot ; ( 5 floor ) even four elevator , good reception / bar area , small reasonable basement dining room . seem room order menu , though none we try this . the room good - massive - neither cramp , would expect , include kettle tea / coffee making facilite , ( fridge ) . room occupy king size bed , decent sized shower bath - not know room bath . outside hotel area fringe business district meet Tower area London . always seem build work go around , much area process rejeuvenate , albeit many year . food Drink ; be reasonable & quot ; chain & quot ; pub ( JD Weatherspoons ) 1 minute away , several good eatery within easy walk especially , many city , get tourist run dive back street . personally would not hesitate use place weekend break - even long - recommend friend work colleague alike . 
 Dec 17 2007 	 good hotel disappointing location 	 first hotel stay vacation Europe , one two London . think good deal price , completely unaware locate London ' financial district . arrive Saturday afternoon , literally wander hour look restaurant actually open everything area operat business hour close weekend . hotel pleasant nice stay . close Tower London , plus . also nearby access subway . however , think bit far main attraction sightseeing . also , warn – long trip airport avoid take cab . 
 Dec 13 2007 	 clean practical large room 	 book short notice still get good rate low quality hotel available . very close Tower London Tower Bridge , though shop least 5 - 10 minute walk away . Witherspoon 's pub meal across street . located quiet street . whilst frill , good clean modern hotel large room London hotel . would use area . back hotel railway , whilst bother ask front room light sleeper . breakfast simple quality stuff clean environment . staff helpful use they . I notice room Xmas 07 £ 45 . 
 Dec 8 2007 	 comfortable modern good value . 	 stay Sleep Inn , find clean , modern facility -- large room , comfortable bed , quiet location . drive London Saturday traffic congestion fee , arrive hotel 6 pm . time , find fairly easy park street near hotel free , leave car overnight without incident . area near hotel seem safe , location convenient Tower London Sunday stroll . the negative daughter forget iPod bed pillow room , return hotel hour later get , see room clean , nothing ever report lose find . course , daughter bear responsiblity forget iPod , would hope little honesty . anyway , would strongly recommend hotel , would suggest take precaution hiding carry small item might tempt staff access room be away . mean , triple check room belonging check , may regret ! 
 Nov 20 2007 	 nice room room safe though .. 	 nice hotel , room pleasant , clean , although pay exec room , not get , wait check . would get cheap deal , not concern , regular room fine . be also concerned room safe , tell guest & quot ; allow & quot ; use staff safe reception . tell Sleep Inn & quot ; restrict service & quot ; hotel ... good enough location , bus access Liverpool Street/ 5 min walk Fenchurch St / Tower Hill . my room look directly train track , train start 5 am . hugely loud , loud enough wake . AC also loud . if main concern clean , pleasant room , would definately recommend Sleep Inn . would stay , manage get another cheap deal though . 
 Nov 11 2007 	 superb value ! highly recommend ! 	 hotel hide treasure , deliver exceptional value reasonable price . not deceive hotel 's affiliation & quot ; discount & quot ; hotel chain . good . there bad part , let us go directly good point : location : City , 5 minute walk Tower Hill Underground Station . 20 - 25 minute tube ride tourist spot theatre west end , excellent anyone business City 's financial business center . room : spacious , modern , spotless , well - furnish . food : bistro adjacent reception good light meal drink good price London . internet : good wireless service throughout hotel , pricey U.S. standard average slightly low London hotel . Front desk / reception : commentator criticize Reception , find , without exception four night stay , competent , friendly , service orient . arrive two hour check - in time , follow overnight flight , upgrade room order get one right away . checkout flawless . price : would pay twice almost three time comparable room comparable hotel London . how get : take First Capital train Gatwick London Bridge Station ( Gatwick Express Victoria ) , relatively short taxi hotel . 
 Nov 7 2007 	 Fantastic ! Preferred Hotel London 	 arrive early 5 am flight able give access room straight away . the room huge ! king size bed , roll away huge bed sofa lounge . could sleep 6 people quite comfortably . bathroom decent size entire room clean tidy . very close Tower Hill Station Tower London . popular underground line easy get . Tower Hill Station operate , close Aldgate Station . when go London next , definitely book straight back Sleep Inn City London . can not go wrong . 
 Nov 7 2007 	 breakfast complete nightmare 	 stay hotel 2nd Nov 2 night , 4 we . hotel nice clean , Room big bit noisy railway line . bed comfortable , bathroom big shower lovely warm . coffeee make facility always fill everyday . downside long time check even though already book . dining room dingy small . amount room ridiculous size . go breakfast 1st morning big queue , think wait open , people quee table . my husband would'nt queue say demining , go cafe morning , rest we queue , happy . get table good . everybody moan . complain reception , finish open meeting room people take breakfast reception eat , should'nt need do . the drink bar also expensive . location good . overall like hotel breakfast let , shame . 
 Oct 30 2007 	 Wauw ! 	 husband London many time stay lot different hotel . Sleep Inn impress we ! Hotels London usually expensive , old room tiny . one quite different ! spotlessly clean , spacious room ( London ) , qiute new . check quick efficient . Room clean every day . shower exellent easy use . bed big comfortable wiyh nice duvet . breakfast include price review , pub call Wetherspoons across street eat hearty breakfast drink many pint beer . hotel qiute close undergruond . area nice quiet , street noise . many shop restaurant close , problem we . would definitely recommend hotel everyone , family business traveler . would really like stay ! 
 Oct 25 2007 	 excellent value money 	 stay couple hotel around £ 100 mark london well far.lovely , new clean huge bedroom bathroom.very quiet staff friendly.show huge seat ! ! always use hotel london stays.jas 
 Oct 24 2007 	 uncomfortable 	 experience hotel bad start finish . check process slow give non - smoking room request . no attempt apology make mistake . the room cold heating noisy fan ceiling blow hot air face night - choice , freeze keep awake noisy air . tell could buy drink bar deposit £ 20 require , even though drink cost £ 3 . case run without pay morning , till break . still ` understand logic behind . bed comfortable slide least twice night . all , nightmare place sum bad , sloppy , unprofessional dihon UK hotel trade . avoid ! ! ! ! ! ! ! ! 
 Sep 17 2007 	 fab hotel 	 stay long weekend . great hotel could not fault . immac clean friendly staff , excellent breakfast plenty choice . perect tourist attraction . never problem drunk 15 bus . disagree prev comment 15 bus tube get piccadilly circus main shop area time . would strongly recommend hotel , will back . 
 Sep 11 2007 	 perfect short stay 	 Booked hotel basis review tripadvisor disappoint . hotel class general economy ibis / novotel type hotel- feel much clean personal . hotel easy find tower hill tube station close nice quiet tourist area- cross tower bridge find lovely restauant waterfront- close early not go later 9.30pm ! ! also lovely indian restau aldgate- katsuri . the number 15 night bus come across town busy noisy area like picadilly oxford circus , generally full drunk young people , stay downstairs possible . check short simple , complaint staff- friendly . room clean - well clean day . bathroom great shower , really big powerful , fan bathroom unfortunately . breakfast buffet , english continental- good choice , agree person write feel like cafeteria- blue tray seat squash together . cold also , tv blaring sky news- turned ask . dinner hotel one evening- lovely meal , service bit scatter though- need clear waitress . wifi available- special offer unlimited use four day GB17- good value usually GB5 per hour . all perfect short stay- 4 night , would certainly use hotel . 
 Sep 9 2007 	 reasonable value London 	 hotel represent reasonable value London . room seem quite new feature tall ceiling , nice touch . wife find bathroom quite spacious , quite bonus London standard . shower quite new great water flow . the hotel locate business district rather quiet . close railway line ' recall hear much train noise . the buffet breakfast 10 Pounds good London standard warn promptly start pack 9:30 button . the closet Underground station Tower Hill . 
 Sep 2 2007 	 Great Hotel ! 	 stay go London cousin 2 day London . arrival quick check room time . room new modern door breakfast room . room large double bed pull 2 cousin ( 13yr 11yr ) . breakfast great offer variety thing . close also DLR Tube . Great Tower London & amp ; Tower Bridge . also ok area . 
 Sep 1 2007 	 confortable lousy desk service 	 hotel modern , room bed decent size clean . price ok , consider London quite expensive . it center London , close City Tower area . the negative lady service desk . Most try helpful , clearly know anything London . there couple knowledgeable , quite unpleasant snappy . military rather hospitality business . 
 Sep 1 2007 	 bad well 	 read review start think little fussy whilst think hotel ok much well . the room decent size flat screen tv exceptionally clean . air condition tea coffee good size towel . shower bathroom good size bath . bed comfortable pretty quiet . on downside room look small stairwell close behind building get little natural light room ( need put light time ) . drawer quite shelf hang space long stay long space . the location abit way leisure trip , fine day not far tower Hill tube station want go west End reliant tube taxi 's late . the breakfast real complaint , feel cafeteria , self service plastic blue tray , hot choice pretty limit never find item available time end put item plate hang around serve hatch remain one , unless specifically get attention staff behind serve hatch basically ignore ask several time cutlery , bacon , bean , sausage etc not seem routinely replenish . restaurant small table close together . hotel pretty cheap overall ok much well 
 Aug 31 2007 	 Great Hotel 	 return 4 night stay Sleep Inn . hotel good , allow we check early 11 o'clock . hotel clean comfortable friendly . this first trip London , Location excellent Tower London Tower Bridge , ( can not stay close ) . perhaps convenient want go west end show busy Piccadilly circus Leicester square night out . the train track run past hotel , train go slow stop station , never disturb we . 
 Aug 29 2007 	 great hotel ! 	 be back 4days break London hotel convenient locate near Tower London Tower Bridge . 5 minute walk Tower gateway Tube 15 min . centre London underground ! hotel clean nicely decorate . room spacious comfort need short break . breakfast include package buffet wide range food ( croissant , cornflake , fruit , egg , bacon , .. ) . immediate area hotel find pub restaurant , also nice take evening walk see light Tower Tower bridge .. 
 Aug 24 2007 	 Great Value 	 new hotel excellent room rate downtown London . 's close Tower Bridge within easy walk distance numerous good restaurant attraction . elevator work quickly ; whole place clean staff courteous , friendly , efficient service . dining room issue require close part 4 - day stay , use ; main floor coffee shop open staff helpful ; indeed , small tip keep bottle champagne chill special occasion ( , course , refrigerator room ) . charge extra internet access ; internet cafe close find , one must use hotel 's service . much see room window , section City redevelop ; nonetheless , room quiet . room size normal ; however , least three , possibly four , room large , rate : request room 215 , 315 , 415 get extra set window accompany space small item electronic equipment floor space ( stay 415 , look outside , be clear bay - like window group vertically ) . dresser drawer room ; instead use cubicle item , include suitcase . flat - screen tv 's , little choice channel offering ( Bloomberg , 2 BBC , channel 4 , music video ) . bed comfortable ; extra pillow available room . pay attention warning sign use shower , not completely shut bathroom door , smoke alarm go -- loudly . bathroom fine , like many not enough shelf space around sink . housekeeping staff scrub floor every day , even occupant room . taxis travel Prescott street regularly ; even , staff order one . super value hotel London would return heartbeat . 
 Aug 20 2007 	 Great Value ! 	 Sleep inn great surprise ! little bit interesting get ( walk Liverpool Street Station , nearly get lose Petticoat Lane ) , be pretty easy be walk Tower Hill Aldgate , later learn . the hotel new clean , elevator rather small , three . hotel corridor also kind labyrinthine take couple turn reach room . signage good , however . the room nice , clean fresh . LCD tv build - in alarm . bathroom nice , seat shower , everything clean good working order . the phone cheap . cheap payphone , pay one pound , forty pence 4 phone call , one Canada . it incredible value . book hotel website , manage get great rate ( 72 pound / night ) free breakfast ! breakfast nice , not change day day . in , great hotel anyone like value comfortable , clean place stay . not heart London , take care pick Oyster Card take Tube wherever want go . 
 Aug 19 2007 	 great hotel ... okay location 	 great hotel , clean spacious room . first time ever 20 year travel London grant early check - in room ; arrive hotel around 11:00 a.m. , expect dump bag wander around town hour , immediately find clean room we . great breakfast satisfactory cafe ; wake call , rely tv clock . Close Tower Hill tube ; prefer stay close west end . 
 Aug 15 2007 	 Super nice hotel 	 stay 5 night sleep - in hotel positive surprise . the hotel brand new nice room cool lobby . reception friendly helpful . the room nice facility expect - except safe deposit . breakfast include price food fine - although breakfast area get crowd . the location little outside central London , Tower Hill tube station 100 meter away . anyway area around Tower Tower bridge nice . highly recommend . 
 Aug 13 2007 	 Loved 	 Excellent location minute Tower Bridge , Tower London HMS Belfast . staff knowledgable . room comfortable good supply tea coffee milk air - con bonus hot weekend year . plenty hot water although shower . breakfast adequate continental full English available . the dining area small able spill conference room . definately go back try one weekend break staff inform . 
 Aug 12 2007 	 Perfect stay 6 day August 2007 	 write long review somehow never get post , be abbreviate one . tip : put room key card slot door light will not work . pro : -gorgeous fit finish interior - excellent use roughly 216 square feet- * immaculate * room , excellent housekeeping - only 5 min walk Tower Hill Tube station ( good Jack Ripper walk ) -2 min walk bus route 15 stop - safe neighborhood - within 5 min walk Tower Hill bridge - brand new ( Mar07 ) -reasonable coffee / food bar lobby - Walker 's biscuit every day room - coffee tea selection perfectly adequate real milk ( actually give enough , 8 little plastic container per day use ) -Shower awesome , adjustable powerful - door make real wood , plastic junk steel - LCD tv room easy use - pleasant fron desk folk - only 1 pound charge use call card US . -internet speedy * enough * , even distant room - 1.6mp 400kps up.-lobby quite comfy moderncon : -The room wife stay exactly 12 ft x 16 ft . , never feel clautrophobic , material use build place high quality shower incredible.-we could get incoming message . voice mail system set stay ( early August 07 ) . message hand - write delievere via housekeeping.-interenet , get hit 5 pound hour , go front desk get voucher . convenient setup . 
 Jul 21 2007 	 nice ! 	 hotel great place stay . 's new , modern locate close Tower tube station . area undergone gentrification safe wander dark . hotel good bed , good plumbing , friendly staff , wonderful breakfast . critical could find nothing wrong Sleep Inn . great ! 
 Jul 18 2007 	 great stay 	 new budget hotel Central London , Rooms clean quite large compare city hotel . Breakfast include cook continental section . bus . 15 go trafalgar square Piccadilly train , underground dockland railway 5 min walk away hotel . I would recomend hotel anyone travel london pleasure business good value money . 
 Jul 11 2007 	 really good hotel 	 girlfriend stay last week 5 night weekend Live Earth . spend week look right hotel , reasonable price , right location , good review etc trip adviser . eventually decide Sleep inn . right decision ! little worried first arrive look little shabby dull not let side put . hotel new modern nice feel . 24h bar provide drink snack ( sandwich , pinini 's etc ) breakfast £ 10.00 abit pricey side , good lot choice get good deal b+b would probably well option . however clean friendly quick serviced wetherspoon opposite . staff hotel pleasant maid service clean provide new towel everyday . non smoking room book fully book end access room ( non smoking ) . actually really good room huge well decorate . bath instead shower bath shower good really hot powerful . read report shower huge little disapointe .... perfectly locate near 3 underground station ( Algate , Algate East Tower Hill ) find Tower Hill good station acsess circle line distict line . underground station tower hill 5 minuite ( max ) walk service run regularly till reasonably late . hotel also well locate bus service number 15 leave underpass top street seem quite frequent service go towards covent garden leicester square . I would recommend hotel anyone really away centre london great want something middle transport link make perfect sight seeing . enjoy stay would stay visit london future . 
 Jul 11 2007 	 get good deal ok would not pay full price 	 hotel quite distance attraction ( apart Tower Bridge etc ) London feel little way . book one night order go stansted first thing catch Stansted Express ( great service way ) Liverpool Lime St cost £ 15 rush hour taxi . Got seem really good deal website £ 86 per room p / n . room big enough 2 we . great shower . problem shove right back hotel , corner room one window look directly onto multiple railway line onto building site . wake early morning be not problem anyway ! clean room pleasant staff apart . breakfast room bit weird . 
 Jul 9 2007 	 great value highly recommend 	 great ' find ' location value money excellent . check actually put much large room book . one accomodate 4 people , huge . room bathroom spotlessly clean - hotel new housekeeping must pretty good too . all staff polite friendly . we eat breakfast meal fine , amazing adequate price . the hotel minute walk DLR tube station . I would definitely stay recommend highly . 
 Jun 27 2007 	 Great Value 	 stay two night find hotel excellent . clean , friendly quiet . room size vary quite small , really need somewhere get comfortable night sleep long day sight see morethan adequate . specifically require large room would advisable ask book hotel appear popular choice arrival may limited . excellent location , close numerous tourist attraction DLR . quality breakfast outstanding , consider price . fairly new hotel , room still tip top condition everything work . definately return . Tourist Tip , not bother buy ticket tourist bus , instead catch Number 15 LondonTransport bus aroung corner hotel . pass many attraction en - route far cheap , particularly TFL day pass Oyster Card . 
 Jun 22 2007 	 Loved ! 	 Loved hotel . get nice room staff welcome . surprised shower , huge , probably could fit three people ... bed comfy har access extra pillow . breakfast fine , big breakfast buffet , good . like travel bus , near bus stop couple minute hotell , stop Tower hill exellent want take bus towards oxford street , picadilly circus og trafalgar squere . bussin around really cheap , cost 3,5 pound day ticket , compare sightseeng bus charge 22 pound day ticket . tube altso expensive , 4 pound per trip . bus highly recommend : ) hotell var exellent , clean , yo coul get new towel every day want . really reccomend hotell ! 
 Jun 22 2007 	 favourite business hotel London 	 spend quid get executive room . excellent value money . big room , everything new , great ' no frill ' check - in quick check . easy walk City hop nearby DLR Canary Wharf . not really good location tourist business district 's lot around night . say , pub door fine Cafe Spice curry house good bit overprice , 
 Jun 16 2007 	 reasonable 	 stay business whilst use stay expensive , plusher hotel , give price London hotel take chance Sleep Inn . I pleasantly surprise , reception welcome efficient , room decent size hotel clean well run . laundry price scandal 's par course . I ' ve never spend much time London 's East end whilst area little depressing , tube connection good hotel Tower Hill , Aldgate Aldgate East 5 min walk hotel . if be look something evening , would also highly recommend Jack Ripper tour leave Aldgate East tube . 
 May 30 2007 	 good accessible Hotel London 
 May 13 2007 	 Value money 
 May 8 2007 	 lovely 
 May 6 2007 	 clean new spacious modern hotel . 
 May 6 2007 	 Super Hotel günstig gelegen .... 
 May 6 2007 	 Si puo ' fare di piu ' 
 Nov 19 2009 	 fantasticoooooo 
 Oct 22 2009 	 Discreto hotel 3 stelle 
 Oct 7 2009 	 Continentaler Standard London 
 Sep 13 2009 	 Preis - Leistung hat gepasst 
 Aug 25 2009 	 Consigliatissimo 
 Jun 27 2009 	 Schönes zentrale Hotel London 
 Apr 24 2009 	 un séjour sans problème au city Tower Hill 
 Mar 23 2009 	 bien placé et pas cher 
 Mar 23 2009 	 Hotel empfehlenswert 
