excellent 	 attentive staff lovely hotel . upgrade suite luxurious . breakfast great good choice hot & amp ; cold . 
 Aug 4 2009 	 excellent location good hotel 	 year London ' ve stay near Great Russel st . , British Museum , Tottenham Court Road Undeground Station , Soho Fitzrovia . hotel right , main reason choose . hotel good condition . check early 10:30 give room not quite fit expectation ( low floor , big fan & quot ; view & quot ; ) take , nap shower allow change well one . size jut ok , guess fine London hotel . bathroom comfortable . mention change room contact staff . quite unpersonal hotel , not expect greet door open , anyway everything seem work ok . not breakfast ( quite expensive ) plenty place round corner , small coffee shop exactly across street decent breakfast . , good experience . 
 Aug 4 2009 	 hi quality room heart London 	 Edwardian Bloomsbury hotel completely renovate , room fresh , clean , modern especally bathroom design superior kind price level . the hotel value money plus top location . try kitchen . 
 Aug 3 2009 	 convenient location theatre 	 arrive 18 year old daughter upgrade Kumar deluxe room king size bed twin bed available pre - book on - line . Kumar welcome mention note theatre ticket . ( ask hotel could book theatre ticket , receive e - mail reply affirmative fortnight later time purchase require ticket on - line ) . room 4th floor . long passage lead separate wardrobe desk area beyond bedroom en - suite bathroom . bed comfortable , room extremely spacious . many window , open easily room light airy , air conditioning also option . decor subtle add quietness room . bathroom large long bath modern shower head . two way switch end passage ' work . safe top shelf tall wardrobe , tall find cumbersome access . buffet breakfast fantastic : fresh fruit , nuts pastry , cook item , one feel spoilt choice . breakfast room lovely buzz feel warm welcoming , staff attentive . hotel conveniently locate West end theatre , easy stroll away British Museum . Tottenham Court Road tube station minute walk away . wi - fi ' working arrive , tell could use cable connection charge . next morning wi - fi still ' work , tell could use computer business centre , small room , computer use . ask could use cable connection free tell could whilst wi - fi . come check charge cable connection time ( one hour ) whilst wi - fi . also charge two bottle water mini bar ' take . person check we cold aloof seem disinclined believe we , even ask we name person give we permission use cable connection free . ( ' dispute non availability wi - fi ) . fortunately Kumar happen stroll quickly reverse charge . leave sour taste mouth . 
 Aug 1 2009 	 smart comfortable hotel great service 	 travel London regularly business pleasure always try stay Radisson Edwardians stay several . multi million pound refurb , Bloomsbury St hotel ( formally Marlborough ) smart , comfortable tranquil . furnishing linen sumptuous everything clean indeed . acid test always whether hotel feel clean enough walk carpet bare foot certainly . staff extremely efficient friendly reception , restaurant housekeeping . would stay anytime family recommend business colloeague . special thank Mr Mehra sorting room book problem last visit ! 
 Jul 29 2009 	 Fabulous Hotel ! ! ! ! ! ! 	 spend 4 - 5 week London year stay every hotel possible . & quot ; new & quot ; Bloomsbury Hotel well good . newly refurbish stunnning room . great location good staff ' ve encounter . though Radisson hotel generally superior , crown jewel .... siute glamourous room ' ve ever see London . 
 Jul 29 2009 	 another lovely couple day London 	 visit London second time month see show stay Radisson Edwardian Bloomsbury St , reception staff curtious helpful , room immaculate , although little noisey , time room front , siren police / ambulance constant , perhaps triple glazing would well front hotel ... breakfast great , wait plenty everything . the hotel right theatreland , easy walk distance theatre , restaurant , pub Covent Garden , visit head home , stay luxurious hotel , make pleasant stay London . 
 Jul 29 2009 	 ideal central location theatreland 	 Hotel large impersonal , staff friendly polite . whilst room describe cosy ( small ) clean , comfortable stylish . room noisy window open onto one busy street adjacent side hotel . wide range food breakfast fresh cook egg dish . the location perfect British Museum , 200yards ( 230 metre ) good access many Theatres foot . load small restaurant public transport easily access . 
 Jul 29 2009 	 thank another lovely stay . 	 another overnight stay great hotel visit mum brother . Checkin quick soon settle room see family . stay deluxe room good size agree comment room differ experience self move large room ask .... assume would impossible not one available perhaps view hotel could different . say room stay always well maintain beautifully clean . tv wide choice channel good signal choice movie fantastic ...... never wide choice . the staff always find extremely friendly helpful nothing seem much trouble . position hotel fantastic sightseeing everything doorstep ...... something willing pay compare central london hotel feel Bloomsbury good value money . I eat resturant great . always breakfast send room fault ...... little add luxury make feel even special gentleman greet like long lose friend lovely . my brother mum move Gower Street soon continue stay hotel visit London . solo woman traveller like feel safe secure feel Bloomsbury 
 Jul 25 2009 	 great Great great 	 hotel nice one . room quite big , people kind . nice bar behind ( hopefully much pub restaurant around ) . internet free charge breakfast quite ok . much say : nice place stay business ! 
 Jul 24 2009 	 Great Location 	 stay Radisson Bloomsbury 7 night , outstanding location , staff fantastic , bar open till late , internet free & amp ; wickedly fast . 5 minute walk Soho & amp ; Covent Gardens . several restaurant within within 3 min walk , Laundry across road , Museum 200 m road . highly recommend 
 Jul 23 2009 	 Excellent stay 	 excellent stay , clean comfortable , staff lovely friendly , breakfast delicious fresh , definitely go back 
 Jul 23 2009 	 Lovely Hotel ! st Wedding Anniversary 	 stay last weekend 1st wedding Anniversay . room fair size London , clean well price . breakfast fantastic . lot varied choice rather pricey £ 17 per person . location superb perfect we . literally stone throw british museam . see enterence hotel ! also three minute walk Tottenham Court Road Station . overall great hotel . 20 's would thoroughly reccomend hotel return next stay London . 
 Jul 21 2009 	 perfect location - nice hotel 	 frequently stay hotel choose good location well London get quiet spacious room ( compare US - standard ) . staff professional friendly renovation hotel last year feel like home . surely recommend hotel . 
 Jul 20 2009 	 Fantastic Location 	 stay go take Concert Breakfast fantastic Room really lovely book Double end twin hotel fully book stick , say offer refuse certainly go back ; - ) 
 Jul 19 2009 	 beautiful hotel heart London friendly team 	 beautiful hotel set centre London stone throw away Shaftesbury Theatre Oxford street . hotel team extremely friendly helpful stay . the food hotel restaurant stunning . 
 Jul 16 2009 	 room Small 	 stay two night daughter - location good especially theatre . hotel nicely design - modern decor feel room small - end bruise leg hit bed - really cramp . second night ask big room pay extra £ 34 - move room double bed blow bed . overall think hotel okay would not stay . 
 Jul 16 2009 	 beautiful hotel stone throw london famous oxford street . 	 arrive hotel greet warmly special welcome Kumar hotel public relation manager , could do enough we . first wedding aniversary Kumar arrange chocolate strawberrys room beautifully decorate modern mod con would expect radisson hotel ie . plazma tv mini bar room internet access . food hotel amazing well price , sure try combination cook meat seafood platter arrive lovely wooden box . breakfast also amazing . hotel locate five minute main shopping district London famous oxford street hotel also near london underground subway , get anywhere london high speed rapid . downfall hotel bar close way early , try throw irish man pub one clock morning do not go well . well do staff make visit magical . 
 Jul 15 2009 	 could pick well hotel 	 reception / lounge area refreshingly cool hot spell outside . staff well mannered pleasant attentive . room comfortable hearty breakfast morning . not eat restaurant simply excellent choice within minute hotel . also Covent garden less 10 minute walk . the downside morning paper order not arrive , make complimentary daily . 
 Jul 14 2009 	 Nice Hotel good location 	 upon arrival greet efficient professional staff . hotel look new decor tasteful modern . the room assign second floor decent size . bed comfortable , even though room three window , well insulated street noise . location hotel convenient center London . breakfast include rate , GREAT . good service excellent food selection . overall satisfied stay 
 Jul 14 2009 	 Good Days 	 lovely time would definatly soon . 
 Jul 12 2009 	 place make Fawlty tower look 5 star - beware ! ! ! 	 not know start review sooooo bad . firstly arrive Friday evening Salsa party full underage drinker happen lobby ( loudly ) - use complain attendee staff come go room behind reception desk . after struggle taxi several bag - porter service , need manage luggage - 3 people stand behind reception whilst struggle manouvre revolving door bag . the fitout nice , recently refurbish elegant manner - see public room look forward see room . show twin room 3rd floor - ( room 3004 ) - seriously 2 metre square - 2 bed wardrobe room bag 2 adult room time . nicely fit . call reception ensure superior room pay extra superior standard tell enquire room size assure be . the next day shower block flood room . maintenance quick respond say happen regularly would immediately fix dry carpet room . leave day 10 am . return 7 pm - carpet still sodden do dry carpet open window . complain ask move another room staying week . argue room say would check prepared stay wet room - miracously find another room I . my new room 7th floor 4 time size previous room - much room size . next day tell airconditione not work - thermostat say 19 degree would cut 1 2 minute , fact 28 degree . 3 maintenance guy visit say fine not do anything . finally concierge Kumar come help - person hotel sense service ethic . get fix everything could try improve stay . not would check stage . the list complaint go summarise : -trie order room service menu room tell not actually food menu ( pizza etc ) - sandwich . say ' what s point menu ? ' , not care.-aske taxi order take business meeting - take 40 minute understand address , even log onto google maps print take reception . ( supposedly english speak country ! ) -booke meeting room function centre 6 hour supposedly tea , coffee water - not offer tea coffee 6 hour even refill water , staff visible -after nice muesli breakfast first morning , enquire next morning say run - never appear rest week . likewise coffee make machine break Monday not fix remainder week there . all nice look hotel - service level expect 3 star hotel - idea 5 star service , give excess 250 pound night certainly pay . usually stay Charlotte Street hotel , try change big mistake . beware - use good service like anything hotel - amatuer hour every level . 
 Jul 10 2009 	 great value great location 	 stay twice year stay next time london leisure . location great , short walk tottenham court road/ oxford street covent garden/ leicester square - rest easily reach bus tube.hotel room newly refurbish modern trendy style . first time get upgrade without noticing get spacious , quiet room . second time room significantly small , still bad london standard certainly large enough city hotel stay . great thing radisson offer free wifi service - thing hotel chain lag behind make rate great value comparison hotel pay extra it.another plus : staff friendly go way assist customer . 
 Jul 7 2009 	 warm welcome comfortable stay ! 	 stay Radisson hotel USA , interested see London hotel would compare . wife disappoint ! room immaculately clean , comfortable well provide refreshment entertainment facility ( include late - night & quot ; street theatre & quot ; courtesy Met Police agressive scooter rider ! ) . air conditioning guarantee comfortable sleep humid night . hotel restaurant menu look impressive , little pricey , number good restaurant bar within minute ' walk front door . reliant public transport , hotel short walk two London Underground station area well serve cab bus . a short walk also take right heart Covent Garden British Museum also close . 
 Jul 5 2009 	 efficient relax experience ' 	 travel London business least month often discover Radisson th venue meeting attend . sine , substantially refurbish shws ! stay every time come London combine business pleasure stay tehre either business appointment . stay veriety room excelently appoint , great view London start point British Museum across road . significantly , weather permitting , pleasant walk Euston hotel round corner Oxford Street easy access shop theatre . if gripe would room service could well term food keep hot staff good help regard fast efficient deliver fod drink . I always make welcome staff reception treat regular customer actualy appea remember rom last time ! luxury hotel wher feel ' special ' staff ready respond request fro service . always disappointed unable get room book early avoid disappointment ! 
 Jun 30 2009 	 Modern hotel good location 	 helpful attentive staff ; good location impressive decor . room good size ( king deluxe ) bathroom modern & amp ; great rainfall shower . 's central oxford st & amp ; british museum . round corner 's great french restaurant & quot ; Savoir Faire & quot ; food fantastic . 's little quirky decor wise great food competitively price . could recommend high enough . 
 Jun 29 2009 	 Top Class 	 must one good hotel London quality , service value . got to agree other rave place . nicely modernise , every touch include . ask quiet room . nice size , comfortable , well away main road , great double glaze soft carpet dampen noise hallway . like simple touch make hotel much well : free wireless , couple machine availble general user . Ice / water dispenser floor . fresh strawberry , raspberry , quality cream yoghurt breakfast , etc . can not praise staff enough . would anything make stay pleasant experience ; Mercedes check - in arrival Gary concierge help issue even leave . many thank . 
 Jun 29 2009 	 oh yes like ! ! ! 	 hotel seem opulent boutique - y enter , may think 's bit clinical look black marble foyer - trust , place ROCKS ! book hotel original choice unavailable sooo glad ! staff brilliant - welcome professionally friendly . room compact without poky , beautifully decorate , fresh comfortable excellent bathroom . breakfast deliver room reasonable charge - leave next morning helpful staff charming concierge give map find meeting take place , direction quick , safe route . warmth helpfulness surprise , glad book instead original choice ! want go back ! ! ! 
 Jun 27 2009 	 beautifully completely remodel modern ideally locate . 	 , nice property appear completely refurbish ( simply remodel ! ) room really perfect need . bathroom , rain - style shower head marble granite construction definately highlight . British Museum less block away . small convenience store across street . bus stop 1/2 block away Tottenham Court Road subway station 2 block away . theater within walking distance , major ymca health club , many restaurant , shopping , retail store . St. Pancras international rail station nearby . London business pleasure , really can not go wrong stay . 
 Jun 27 2009 	 cramp 	 room small , get well hotel price .. avg 
 Jun 27 2009 	 one good london hotel stay . 	 fantastic experience Radisson begin soon arrive .After early flight Belfast allow room arrival 1100 . staff friendly , hotel immaculate , room well appoint superior view excellent bathroom . right centre theatre , underground station short walk away regret stay long . highly recommend would certainly stay visit London . 
 Jun 26 2009 	 Excellent service Radisson Edwardian Bloomsbury 	 stay Radisson Edwardian Bloomsbury Street hotel London plaisant due extraordinary friendliness , service attention entire staff . restaurant excellent . hotel also situate probably pleasant area London , close British Museum , Russell Square , Bloomsbury square , walk distance Covent Garden . real winner plaisant rewarding stay London . 
 Jun 26 2009 	 nice modern hotel 	 centrally locate modern . good service . food average . 
 Jun 22 2009 	 Luxury service reliable friendly 	 HiI like try stay london . lady travel - place safe , friendly cool . room lovely nice smellie - bathroom disappoint . clean bed great room service . I arrive late sunday evening need print bit event next day . two chap reception brilliant - sorted emailed doc even think format wrong - sort lot copy . breakfast coffee great also get porridge request . I stay soon . L 
 Jun 19 2009 	 Felt like Boutique Hotel ...... sterile chain ! ! ! ! 	 walk feel different normal chain hotel immediately . chique overly . bar area great check staff concierge particularly helpful polite . my room one good stay room enormous lovely furnishing wonderful bathroom ...... need PLUS massive flatscreen tv ! ! ! ! ! bar staff really attentive atmosphere relaxed . Didnt experience restaurant like rest experience would worth visit 
 Jun 19 2009 	 Excellent service well locate 	 use hotel many time several year tell high regard service consistently receive . disruption major refurbishment long pass , confirm concerned seek maintain service quality previous high level manage exceed . find front - of - house reception always welcome helpful , without become overbearingly obsequious , query request without fail receive necessary attention . room spacious well equip ( include air conditioning ) , suitable sound - proofing keep traffic noise minimum . the hotel ideally situate allow walk access varied delight Theatreland , Oxford Street , Covent Garden Soho proximity ( 5 min ) Tottenham Court Road station allow easy entry underground system . finally , give general excellence service , must nevertheless make special mention Kumar , Guest Relations Manager , Aaron breakfast room , helpfulness willingness engage guest , thereby set exceptional standard customer care colleague match . 
 Jun 16 2009 	 nice hotel poor management 	 arrival give room match reservation - small dark room one small window end deep alcove open directly onto noisy installation ( ventilation system ? ) . phone reception another room quickly offer another well room . tell also upgrade seem like standard reserve first place . within 15 minute knock door two man say maintenance staff response report leak . hear trickster say maintenance staff come room , say would call reception check . meanwhile manager come confirm genuine one man make quick check bathroom find nothing amiss . next day return room 2 pm find key - card not work pass maid could not make work either , go reception get new one , get room find not make . apparently , housekeeping not inform room occupy ( although switch green light indicate room ready cleaning ) .next day thing happen - key - card not work manager bring third set . time room make cup replace phone . not bother complain tv work properly ( channel would suddenly cut and/or picture break ) .On departure tell email apology would sent we , one never come ( 9 day ago ) . hotel otherwise good standard good location , staff friendly helpful manner , experience expect 4 star hotel West end . 
 Jun 15 2009 	 lovely upgrade hotel ! 	 stay 2 night way back St. Petersburg - prepay internet rate 345 pound 2 night inclusive taxis , complimentary newspaper exclude breakfast include complimentary internet room . hotel recently undergo major refurbishment really nice well furnish separate walk closet area . room spacious adequate . location excellent access Covent Garden West End . love West end show restaurant Covent Garden Chinatown - within 10 min walk . 
 Jun 15 2009 	 comfortable stay 	 stay 2 night superior room , although little small , comfortable clean . the bathroom spacious , clean excellent shower . the breakfast reasonable enough , include room rate . cook English breakfast could little warm , would disappoint pay £ 17 menu price . however , try pancake option next morning , nice . however , good choice additional breakfast option , service quick attentive . as mention , convenient British Museum Covent Garden , short taxi drive St Pancras station Train Euro Tunnel link . we find staff pleasant indeed , credit barstaff whip mean Mojito . not try restaurant bar meal agreeable . will London hotel choice future visit 
 Jun 12 2009 	 great service ideal spot 	 Excellent service friendly knowledgable team . definately use 
 Jun 12 2009 	 ideal location exellent help Hotel staff 	 come freind Westend show arrive early room vacant check Staff helpful , room modern need ( quiet hard find hotel day ) meal hotel good choice breakfast & amp ; dinner departure leave luggage whole day train time home excellent experience round stay . 
 Jun 7 2009 	 excellent hotel cool design like boutique hotel . pricey London 	 excellent stay , hotel staff excellent , design reception area bar fantastic . give smoking room instead non smoking , staff delightful manager attend problem . the bar super , even one person could go sit , sumptuous . fabulous location , near oxford st , covent garden many place . make sure book early get good price expensive . although bad London . 
 Jun 4 2009 	 perfect weekend ! 	 trip London see Rock ( brilliant show one would definitely recommend ) meet friend . arrival hotel room not quite ready immediately tea coffee appear compliment hotel . absolutely love little cast iron teapot . staff helpful friendly nothing much trouble . room , upgrade , spacious extremely comfortable walk rain shower huge . Bliss ! someone MS , space move around easily essential later realise have move much nice room owe reception manager ( think 's title ) huge thank . appreciate extra effort go to . the breakfast exceptionally good breakfast manager ( think title ) serve we tea coffee previous day obviously remember conversation porridge appear almost without order . scrumptious . cook buffet hot , fresh excellent selection . husband say good breakfast would hotel long time . cold buffet good plenty different freshly cut fruit choose . excellent start day . the hotel walk distance , even someone MS , Covent Garden West End location brilliant lot see nearby . can not walk far lot bike could hire take wherever need go be fun taxi . British Museum across road garden really nice place sit people watch experience beautiful building artefact . it perfect weekend already plan another theatre trip . definitely go back hotel hopefully soon . thank staff make stay perfect ! 
 Jun 3 2009 	 good service room really 2 	 great service room suitable 2 cleangreat location 
 Jun 2 2009 	 Outstanding Service 	 stay Hotel part two day meeting impressed level service , standard set fantastic faciltie hotel offer . the staff polite helpful put help anyway could . room superb , clean , spacious mod con ( internet , Wireless Access , Large LCD tv etc ) one good part meal serve restaurant , prepare high standard food caterre everyone taste . overall top mark , certainly use hotel near future . 
 May 31 2009 	 stylish comfortable friendly efficient staff 	 hotel situatre heart theatre land . clean stylish . staff helpful , friendly efficient . enjoy stay hotel would definitely advise other go . 
 May 25 2009 	 great location 	 friendly , clean central hotel comfortable small good bathroom 
 May 23 2009 	 comfortable new hotel good location 	 stay night March . hotel newly refurbish modern decor . room quite small , sure compare London . bathroom enormous fantastic ( except hairdryer - bizarrely - power draw wardrobe bedroom ! ) . hotel walk distance British Museum , Covent Garden , Oxford Street etc . 's good base explore foot . internet not work , could use internet sister hotel across street . checked charge wrong rate - say rate fluctuate daily ! minute check rate check - in form book confirmation fix overcharge refunded - major drama - suggest guest keep eye checking . 
 May 22 2009 	 Perfect Location 	 shopping theatre land ? hotel . minute easy walk shops/ theatres./museum . fact could walk almost London attraction bus underground hand . totally renovate high standard , staff really helpfull . full Breakfast everything could want . good value money 
 May 20 2009 	 nice hotel - much well anticipate 	 originally book Radisson Edwardian Kenilworth , arrival , redirect Bloomsbury Street hotel across road . the hotel refurbish recently first class condition room public area . room reasonable size short stay ( slightly large many stay ) modern , clean well equip . reception staff efficient helpful staff friendly . the hotel conveniently locate Covent Garden West end theatre . 
 may 19 2009 	 ' ve get absolutely right 	 book hotel romantic birthday treat wife . pay bit deluxe room , boy worth . room reasonable size , much large ' m use London . decor modern fresh room spotlessly clean . wife always fussy bathroom even could not find anything complain ! ! ! cup room make tea / coffee , mention reception rectify time get back , really problem . go afternoon tea theatre not get chance sample restaurant gutted saw menu think miss great opportunity , menu sound great reasonable , head chef , Redmond Hayward excellent reputation would urge try menu think would worth . not book yet , ? ? ? ? ? 
 May 18 2009 	 much much well 	 stay hotel March disappoint . persuade hotel manager give second chance . this time hotel faultless . check quick painless , 15 min room room service arrive bowl fruit bottle wine . nice touch . room comfortable quiet . bar . friendly staff overprice West End bar . fact everytime walk member staff greet smile cheery hello . the location hotel excellent . short walk Soho always great time . I definately go back soon . 
 may 17 2009 	 Superb Hotel Great Staff 	 arrive overnight flight US Heathrow head central London pleasantly surprise 9.30am front desk team room ready I . the receptionist helpful gracious check speedily completed.2nd pleasant surprise room - newly refurbish , well lay clean . after quick unpack shower well appoint bathroom hit mattress sound 3 hour sleep . room facility excellent in - room directory informative . quiet ambiance lounge bar perfect way pre- sleep tipplechecke follow day , able leave luggage securely around 4 hour shopping . can praise staff highly enough - make feel welcome hopefully back near future . 
 May 16 2009 	 good stay London ever ! 	 hotel dream , stay long weekend 3 girlfriend make memorable quality room friendly efficient service receive . location ideal , within easy walk distance top London attraction hot shopping spot . enjoy day aid concierge give we load tip go get , know would end day comfort beautifully decorate comfortable lounge , bar bedroom hotel . thank everyone make good trip London ever ! 
 May 13 2009 	 great hotel within walk distance Covent Garden 	 recently stay modern hotel totally refurbish last year standard room service first class . large selection breakfast tasty fresh food . staff friendly courteous . superb location take 10 -15 minute walk Covent Garden Leicester Square . overall thoroughily enjoy stay definitely visit . 
 may 11 2009 	 Jersey boy trip 	 book hotel proximity Prince Edwards theatre . hotel excellent , staff lovely location great . would recommend it . Jersey Boys also amazing . Woudl use Hotel , go show again . also want British Museum , could not close - cross road , 200yards along , be . 
 May 10 2009 	 superb hotel lady business travel alone 	 team hotel excellent . professional , polite polished . lovely hotel , excellent cuisine beatifully furnish highly clean comfortable room . would love stay family holiday trip city . 
 May 2 2009 	 Great London choice 	 Near Tottenham Court Road Subway Station . 100 british Museum.50 Oxford Street . great continental breackfast . 
 Apr 24 2009 	 everything want not expect London Hotel 	 arrive 11.00 welcomed & amp ; tell room ready , ' m use . staff extremely polite & amp ; efficient . everything Hotel brand new & amp ; show . breakfast one good , hot & amp ; fresh , egg cook order & amp ; correctly ( welcome change ) location ideal , 2 min Tottenham Court Road Tube . London , worth pay quality hotel & amp ; caser , exactly get ! 
 Apr 8 2009 	 comfortable beautifully refurbish great location 	 Radisoon Bloomsbury excellent hotel London . beautifully refurbish , room gorgeous , staff attentive breakfast lovely . close theatre district take show stay ! 
 Apr 6 2009 	 friendly comfortable convenient 	 hotel situate slight walk away Tottenham Court Road , although difficult find initially , staff welcome pleasant . stay two different occasion , book Queen Suite , offer upgrade king Suite . visit extremely friendly , reception room service staff delightful offer advice surround area , management quick help problem . for people travel partner , room ideal cosy , quiet comfortable . hotel become ideal break hectic city life , yet everything remain close distance need . 
 Apr 3 2009 	 solid comfort . 	 emerge major refurbishment , Radisson 's fresh Bloomsbury Street Hotel ( former Marlborough ) offer comfortable accommodation , great breakfast , fine restaurant , attentive courteous staff , convenient central London location . Size , comfort , work area , storage space individual room vary . 
 Mar 31 2009 	 welcome hotel excellent position value money 	 stay week hotel . young staff incredibly welcome helpfull ( special thank Monika front desk help many issue face long term stay hotel ) . beside hotel 2 minute walk Oxford Streed . definately recomend place . 
 Mar 30 2009 	 great experience 	 one good city centre hotel ever stay . never stay London travel many european north american city . room big , good . tastefully decorate furnish everything need short city break , iron , hairdrier , mirror useful place , good lighting etc . bathroom also excellent , good shower plenty room toiletry . location also great theatre , transport place interest . pick proximity Royal Opera House . staff friendly helpful . would use hotel would recommend without hesitation . 
 Mar 30 2009 	 Excellent hotel perfect location 	 husband stay recent trip London see show dissapointe . hotel easily find travel Tottenham Court Road tube station perfectly locate Theatreland - 5 - 10mins Shaftesbury Ave . arrive early booking problem - room nice little small everything need could tell recently refurbish . eat hotel evening reasonably price meal - even ensure serve quickly ensure get plently time show . slight problem make reservation advance record - however problem get us table quickly . excellent hotel great location reasonable price . definately stay ! 
 Mar 28 2009 	 bad service 	 Nice hotel . great location . nothing quite work . stay 8 night ... room upgrade give we extra long hallway bed room , ask everything . case point ( ) : coffee provide first day , haggle , business centre consist two old ( er ) pc shelf , printing , internet room work wander around get signal constantly shut , room cleaning consist clean glass / cup one use make bed , finally , order room service , prepared wait come YORKSHIRE . say , bathroom really nice size gym much usable . concierge decidedly absent . 
 Mar 27 2009 	 Great Location - wonderful accomodation 	 first trip London first encounter european hotel ( room - size ! ) travel 15 year old son request twin room . offer upgrade arrival - ok . grant early check - in great . fly night , ride tube Heathrow , walk station , need rest hour two . room small , nice . bed nice firm . son like pillow - reason get pillow feather keep poke face . bathroom lovely ! problem water pressure . opt include breakfast room - good decision . never wait staff pleasant . could choose buffet special order wish . good supply fruit , cereal , etc . room service 2 evening food delicious . wish though would large size soda use ice ! hotel great location . one block British Museum , 10 minute Covent Garden , 5 - 10 minute Soho . lot restaurant shop around . stop double - decker tour bus right street . the staff friendly . Gary , concierge , extremely helpful information tour , exchange money , general information . must construction going - wake every morning bang drilling . good thing early riser . room overlook apartment building - street noise . , much view . likely could switch room - not see point . the hotel & quot ; business center & quot ; - 2 computer alcove ; , easily accessible . wireless internet free hotel - plus . many hotel charge around 20 pound day . overall , wonderful hotel would definitely stay . 
 Mar 26 2009 	 nice surprise 	 concerned expect , nicely surprised modern hotel , decent room size ( especially London ) good service . likely rechecke , especially good location Covent Gardens 
 Mar 22 2009 	 enjoy stay immensely . 	 Canada stay eight day . previously old hotel totally beautifully renovate . room bright ( lot window ) , spacious ( London standard ) well - appoint include bathroom 's contemporary fixture , marble glass feature . hotel staff attentive , cheerful , hard work accommodate , even promptly hail cab we time tight . concierge helpful arranging tour , dinner reservation general advice London . morning host dining room we seat promptly easily attend dietary difference . breakfast great .... fresh , tasty appealing . nice morning 2 London newspaper plus Wall Street Journal available we . housekeeping staff efficient however lot corridor noise morning especially try sleep late ! front desk staff , pleasant , appear somewhat disorganized internet / computer business centre largely inoperative stay quite inconvenient since travel without laptop ( nb : ' ve since contact management housekeeping / corridor noise front desk / business centre issue promptly reassure control ) . location easy walk distance almost anything central London ... Brit Museum one block away , Covent Garden , Leicester , Trafalgar , & quot ; Tate & quot ; , multitude great shop , restaurant theatre . look forward return visit London stay hotel . 
 Mar 21 2009 	 one blip expertly remedied ; back 	 book direct Radisson website rate reasonable hotel standard great location . anniversary blip concierge supply flower partner order advance arrival disappointment desk staff handle expertly complimentary treat room service . hotel refurbish beautifully room wee bit tight huge bathroom . one niggle might put light sleeper almost constant drone air vent bathroom ; seem controllable might part central air conditioning system . staff appear expertly train charming young man deliver treat testament professional young woman front desk deal complaint . the location great secure sort deal ( well ) certainly happy use base London weekend business . 
 Mar 19 2009 	 great location price quality ! 	 though room small ( expect London ) , well decorate , clean , include emenitie . 
 Mar 19 2009 	 excellent place stay 	 well look arrival departure stylishly furnish though still comfortable hotel . the food high standard service . 
 Mar 16 2009 	 great hotel Location 	 stay one night choose hotel offer good value location minute walk Oxford Street & amp ; Covent Garden . staff efficient , especially concierge . bar stay open 2a.m . drink pricey norm hotel Central London . not eat Breakfast can not comment food . sleek modern room . great shower etc . would definately stay ! 
 Mar 12 2009 	 ideal location trip theatre close covent garden . 	 choose hotel location theatre find five mintue away ! ! also close Covent Garden othertheatre , I m sure stay reason . hotel room comfortable clean . 
 Mar 8 2009 	 Great Hotel Good Location 	 Excellent Hotel good location , great theatre break . the hotel recently renovate excellent standard , bright airy . check procedure nice simple pleasant staff , although one member staff struggle understand simple English , annoying par course London . Faulty tower moment plenty . the room stay ( deluxe queen ) first floor nicely decorate , ample sized equip everything would need , except ... mirror near power point really frustrated half need use GHD 's face world . however ingenious ( desperate ) manage unscrew shaving mirror bathroom use nothing bare hand take bedroom ... would rang concierge ' m sure would find one somewhere ! wall mount flat screen tv ok limit channel could not even get news people might find annoying . bed really comfy big enough queen fact ... bathroom room enormous lot hang space . unfortunately though , bath flow become lose meaning water would leak onto granite floor . fortunately Radisson fix prior use fantastic shower could stayed day ... time would ! bath tiny shallow real shame bathroom large opulent small bath kind let down . we do not bother pay breakfast think £ 17 per head day worth . instead pop around corner onto Oxford Street full breakfast drinks £ 7 each . the bar average London price wise , £ 9 2 small bottle magner service would expect splendid surrounding . we use room service one night 11 pm menu bit limited . we chicken salad baguette chip £ 10 , do ... go see Chicago 10 min walk away south easy find foot , Euston Station round corner £ 8.0 cab . near tube around corner , Tottenham court road . all excellent stay hotel would hesitate recommend friend , doubt would stay . 
 Mar 7 2009 	 London Hotel Personality ! 	 London hotel often overprice poor barely adequate service whilst one not cheap , not leave nasty taste mouth check out . the hotel completely refurbish whilst room ( like London hotel room ) not large , really stylish , public area . it be also fantastic location - ten minute walk Leicester Square literally two minute British Museum . check friendly professional . offer upgrade ' discount ' rate , take - sure would bother next time carmen front desk quite persuasive effectively earnt hotel extra £ 60 . : - ) ask change room , first room allocate front hotel have ask quiet room make original booking . do immediately without attitude phone later ensure happy room . ' deluxe ' room nice king size bed large bathroom . although probably not warrant extra cost ( not include separate shower cubicle , example ) come lot ' nicety ' include king size bed , bath robe , mini bar safe . we dine restaurant , ( London ) thought offer good value money . cost £ 50.00 per head three course wine , food excellent interesting . lamb , comprise beautifully cook lamb fillet mini Moussaka - without doubt one top three dish ' ve eat year . ( eat lot ! ) although breakfast standard buffet affair , well most . the second night book theatre ticket way back business meeting , leave we 60 minute change . order room service explain predicament , promise , arrive within 20 minute . exceptional service again . as ' ve hint , thing really set hotel apart other ' ve stay London last 10 year fact hotel seem work hard find train staff polite , professional friendly ! fact everyone contact within hotel excellent work hard make stay enjoyable problem free . Julia act Maitre day fun personable . gentleman look we dinner friendly bar staff . not usual anonymous customer service get large hotel - people ask question , engaged conversation show interest customer . short service personality , sadly rare . this definitely first hotel consider future trip London . 
