thanksgiving 	 hotel perfect location : 2 minute walk Pier 39 . great price / quality ratio , nice design make feel really vacation - business . free internet room - lobby , food drink pricy - plenty place outside - 's problem . 
 almost ! 	 recent trip SF , stay Fisherman 's Wharf Sheraton could close attraction pay arm leg . room clean bright call towel , barely hang phone someone door towel . great , friendly service time check time check . be close really great restaurant ( old neighborhood italian place , Ceasars , within walk distance wonderful food ! ) still remove crowd . complaint pretty light sleeper , road noise bothersome . 's four story hotel 3rd floor , ( i- boyfriend could sleep tornado ) hear bus come go homeless people yell night long . get use 3rd night , still ... , great place great bargain ! 
 great location value money 	 book hotel priceline get great rate . stay hotel 4 night late November . arrive little early noon tell room ready 3PM . big deal leave luggage bit look around . great positive hotel , location , location , location . stone throw pier 39 cable car terminal . the hotel hundred room obviously comment relation room check - 2121 western side . noise outside apart air cond noise other talk . air cond particularly noisy fact go time - even thermostat kick still blow air hence noise . free room safe use . also gym fit nicely modern . think part building rennovate recently . staff helpful pleasant odd occasion speak . use lobby free wifi .. worry . ipass etc , able log wifi room discover later : - ) starbuck coffee complimentary . give hotel rate , would recommend great value money would hesitate stay . also buy citypass Pier 33 swap boat ride Alcatraz tour additional cost . great value $ 59 ! 
 family holiday 	 dissapointe food breakfast.we stay sheraton LA week restuarant open 11 pm . nothing tell we arrive would able eat there . be prepared . 
 Jun 14 2009 	 great hotel Fisherman ` Wharf 	 great hotel Fisherman 's Wharf San Francisco . close every attraction tourist . aware come car , parking fee expensive . also , pay attetion room give , sun hit direct window end day room become warm . location first grade . service cleanliness also . internet charge 15.00 / daynice table fire outside . 
 Jun 11 2009 	 Average 	 actually stay hotel Nov / Dec 2003 could go back date stay option want write review . the hotel okay nothing special , actually bit disappointed hoping would nicer . mum 's 50th arrive San Francisco , stay three night hire car head Napa Valley . head back route 1 way San Diego , stop Cambria , Carmel , LA location en - route . Fisherman 's Wharf poor part town go hotel night nice feel safe enough , perhaps alert possible danger . the hotel touch dull thrill clean enough still fun . nice meal nearby restaurant Fisherman 's Wharf Bubba Gumps next time return San Francisco , stay Union Square . 
 Jun 5 2009 	 Odd motel smell like pet store 	 taxi ride San Francisco International Airport Sheraton Fisherman 's Wharf cost $ 42 plus tip meter cab . hotel locate block block half away Pier 39 lot touristy restaurant ( eat outdoor stall ) . ' m assume must local law restrict hotel area three four story look like motel something 's hotel look like ( even Hyatt nearby ) . be really ugly . interior hotel kind colorful beach aquarium - theme . hallways beach ball blue white stripe . strange tacky . room smell like pet store . ask move another room smell . amount air freshener opening balcony door would alleviate stench dog hair fish tank . front desk staff say could clean agent use think right hallway smell like , , less room . can not imagine need use stinky cleaning agent . want immediately move another hotel , choice room pre - pay . room look clean , interior design furnishing style . word , look cheap . bathroom divide two compartment ( sink / closet toilet / bathtub ) , not big felt cramp . bathroom toiletry average quality one bar soap provide alternate one bar soap bathtub sink first day housekeeper bring another bar soap . water pressure showerhead weak . no slipper robe provide . carpet smell bad not want walk around barefoot . instead , use flip flop . refrigerator room . could four - star establishment refrigerator room ? interesting anyone could rate hotel refrigerator room four star ? ! ! hotel list four star everywhere . four star ! ! ! ask quiet room give room view airconditione system . funny thing block view hallway frost window , room . change room , get view courtyard room balcony . much well . can not imagine staying room view like former . hotel three four story high , wide take long time get one room another . could literally take five minute get room room another floor . whole time , course , will smell dog / fish carpet hallway . the guest primarily middle - class american european tourist . also see small tour group elderly japanese people . room service , use . think restaurant , see cafe $ 4 croissant . parking $ 50 day . use parking , would feel totally rip consider cheap right pier . summary : way hotel four star . like two star . thing acceptable front desk staff . seem alright actually try helpful polite . . like place . feel like semi - cheap motel Northern Florida smell like one , . amount money , think will try hotel Union Square rather Fisherman 's Wharf . would never stay . 
 May 30 2009 	 good location low price 	 daughter stay Sheraton 6 night , 5/12 - 5/18 . staff great - emailed asking need anything week leave . check noon offer we room immediately , wait 3 4 pm . request fridge ( extra cost ) , one room 15 minute later . change mind fridge night 9 pm , take , charge bill . place clean teh staff terrific . bathroom small , problem . food expensive , grocer drugstore across street . conveniently locate near cable car right f line . get muni pass . close wharf , far enough away get catch evening craziness . try Beach Street Grill Breakfast - wait - homemade food , good price staff take time give advice towner . eat everyday . $ 150.00 night happy hotel . 
 May 28 2009 	 frill 	 really another Sheraton , nice room , super service , waaaaaay expensive ..... 
 May 27 2009 	 Nice Hotel Fishermans Wharf 	 return 3 night Sheraton Fishermans Wharf . nice facility heart Fishermans Wharf . double room overlook a / c unit roof ( not think room much view ) . room well appoint & amp ; clean great bed . bathroom extremely small stated reviewer , contain tub commode . complaint free wifi room ridiculous price coffee bar lobby . 
 may 22 2009 	 cool little hotel 	 place neat . fun decor ( beachy ) , nice room . location touristy ( two block Fisherman 's Wharf ) , good be look . 
 May 20 2009 	 great position - love decor 	 Excellent position attraction . good impression arrival - fire pit outside seat area . room overlook courtyard quiet . good sized room - love furnishing decor lean towards boutique style . loved shaky blue stripe corridor . hotel sense fun . friendly staff helpful . loved fish chip informal restaurant - trouble us Brits price . many dollar pound . Buffet Brreakfast expensive good . one evening tired go price share sandwich plate chip . plate chip enormous big enough 3 ! do not need car local transport good . open top bus across Golden Gate Bridge must . crab stall nearby great not much cash ! would come back . 
 May 15 2009 	 beautiful room view . excellent location tourist . 	 excellent value consider location room . one drawback $ 43.00 per day parking ( tax $ 6.50 per day ) . full service hotel plenty amenity site . 
 May 15 2009 	 great location 	 spend 3 night . location fantastic . find staff friendly helpful . bed comfy . room rather warm put air con night noisy ! yes bathroom small care , wash ! ! Breakfast not include package heap food place nearby . loved fire pit idea . 
 May 13 2009 	 newly remodel already look date 	 book hotel couple month ago would read special Travel Zoo . room $ 109 per night , tax , $ 125 think good deal week Easter . read finish multi - million dollar remodel location seem good , ? plus , ' m Starwood Preferred Guest , figure would get point hopefully decent room . normally , would try Priceline , want stay hotel friend could guarantee Priceline would arrive two day later we . because have arrive early day ( around 11 ) , people still check desk clerk hard time find room ready we . finally , 4th floor ( top ) say 's SPG room . the good : hotel good location 's right wharf , walk distance Little Italy , F tram / bus line . also numerous bus line close cable car terminus within block . across street Wallgreens , Safeway , small mall two Trader Joe 's block away . the room decent size King bed , large flat screen tv sofa . safe large enough small laptop closet offer free WiFi lobby . the bad : none room view ; & quot ; not sell view & quot ; say guy behind front desk . starwood property & quot ; heavenly bed & quot ; . one absolutely . give remodel , think mattress would new and/or comfortable . not think either . bathroom minuscule . hard close door shower / toilet room stand . room not minibar / refrigerator . finally , idea make room & quot ; SPG & quot ; room not seem anything different special . hotel newly remodel decor suppose & quot ; nautical & quot ; theme . bright color decor look loud short year look date . would stay ? probably . not horrible , think would try get something well Priceline next time . 
 May 11 2009 	 nice thought would nice fire pit though . 	 arrive hotel , airport transfer hell . not particularly mood greet abruptly hotel reception staff . hello welcome , male receptionist scream & quot ; name ? & quot ; . hotel ok first sight , nothing special . room clean tidy decent size . bed comfortable . however , notice day corridor hardly clean , room service tray leave outside hotel room nearly full day . the location good fisherman wharf transport would main reason stay here . Business Center expensive , parking extortionate . for Sheraton hotel , leave disappointed wonder get Sheraton poor customer service little grotty . advice , stay get good deal want handy location , otherwise try elsewhere . 
 May 3 2009 	 great location . 	 stay 4 day end holiday . hotel clean tidy staff polite . room nicely decorate bed comfy ! problem bathroom small , fridge ( luckly cold ) air con large box corner room . layout also bite maze take find room . shop also expensive $ 2.50 banana restaurant buffet breakfast would cost $ 50 morning . San Francisco fab location great walk distance pier cable car . definately come would stay Sheraton . 
 May 1 2009 	 Beach Streetgrill / San francisco / Sheraton Hotel 	 Hotel fine enjoy room , convienent close everything . try find Restaurant serve breakfast day . good homemade cooking besides Ihop food ( gross ) .finally , stumbele upon Beach Streetgrill restaurant food fantastic . homemade biscuit W / sausage gravy , homemade fresh blackberry pancacke . place resonably price food great . homemade clamchowder good around wharf . certainly tell friend place . serve charbroile ribeye steak dinner too . next time visit San Francisco stay Sheraton . restaurant one block towards cable car . 
 Apr 26 2009 	 great location lot 	 enjoy stay hotel much . be great location ... close Fisherman 's Wharf public transportation . lobby modern clean , room spacious bed extremely comfortable . staff courteous helpful . nice bonus fire pit outside lobby bar sit glass wine evening . unfortunately , complaint . bathroom way small even one person , let alone two people try get ready time . also , get unexpected wake call every morning six could hear people room walk around . plan stay , highly recommend try get room top floor . 
 Apr 22 2009 	 Perfect Smurfs 	 fault hotel location . Situated Fisherman 's Wharf right next supermarket hotel great people want well connected civilization . great transport link also mean well connected part city well . the actual room fine . bed amazingly comfortable , annoying feature . big ridiculous aspect room abnormally small bathroom . small , can not even 360 without give concussion . may fine little people 's simply uncomfortable anyone 5 ft tall . clothing hook bathroom also small hang anything without fall instantly . may seem petty , believe , annoying . another point worth mention Air Con ... 's size range cooker , earth shatteringly loud . also , hotel layout like maze , find way room elevator expedition . still , young , healthy consider vertically challenge , may well perfect place ! 
 Apr 21 2009 	 nice stay 	 stay 3 night wonderful time due central location . easy walk pier , Ghiradelli square , catch Muni F Car cinch . clerk concierge helpful polite . overall , hotel clean , nice bed , good value money . 's nearby IHOP much well place breakfast hotel 's restaurant ( much well value ) . not drive due parking cost , well worth since public transit pretty easy doable , save $ 50 / night ! would definitely stay , price right . 
 Apr 21 2009 	 Decent stay hidden cost nice location 	 stay hotel several time many year vacation SF , find location access major roadway easy . , change notice recent stay . room price competitive . lobby nice , clean modern appearance , probably recently renovate . room , however . reasonably sized bathroom divide sink washing area open sleep area without door . washing awaken other bedroom might sleep . toilet bath separate room adjoining wash area strangely light switch control area . want shower , light switch control lighting wash area . arrive hotel , surprised ( shock ? ) discover parking would set back $ 43 day . bad yet , unless use valet service , will need get parking stub certify valet hut order leave parking lot . , will take elevator main floor , leave main building , go valet hut , get parking stub certify , go back inside main building , take elevator basement parking level drive away . , pay $ 43 & quot ; service & quot ; ! ok , ok , use valet service avoid nonsense will need add tip wait time . WiFi also cost hotel -- $ 14.95 day although free hot spot lobby . way figure , hotel not figure identity -- tourist hotel business hotel . everyone see tourist last check business hub downtown Fisherman 's Wharf . summary : nice lobby , decent room , good location tourist hide cost could significantly add final bill . 
 Apr 18 2009 	 Great Location 	 stay 6 night September 2008 . first impression modern , clean hotel . check fast . room locate ground floor . bright decor pretty . room two double bed ... comfortable . bathroom small clean supply nice toiletry . room locate ground floor hear movement room overhead frustrating 5 ' c morning try sleep . happen every night stay . breakfast one morning nice overprice . internet really expensive use . also would seriously advise use telephone room . make two extremely quick phone call Europe charge $ 125 needless say refuse pay . end pay $ 60 still happy . hotel excellent location Fishermans Wharf , near Pier 39 , lot really good restaurant , tram cable car ferry Alcatraz . nice hotel extra make expensive stay . 
 Apr 16 2009 	 Good Location ... take ear plug ! 	 stay first 5 night holiday . hotel excellent location , within close walking distance Fisherman 's Wharf attraction . hotel clean modern staff friendly helpful . bad point .... breakfast far expensive $ 19 per person + taxis , car parking $ 40 per day + taxis , internet access expensive . warn print - rapidly use credit ! bad part stay noise room ( maybe pack ear plug ? ! ! ! ) also reception / parking lobby outside . summary , noisy room let standard hotel . 
 Apr 16 2009 	 beware place ! 	 Upfront - cancel reservation contact Sheriton Headquarters . hotel disclose $ 43.00 ( almost $ 50 tax ) nightly rate parking . speak numerous people include General Manager hang ask name number supervisor Sheraton . in opinion , tease good rate , hit parking fee make . nearby hotel charge $ 20 - 30 per night sure facter park 15 % tax rate determine cost . when call Sheraton New York , offer reduce parking rate slightly , upset seem like bait switch practice , cancel reservation stay another nearby hotel - charge $ 20 per night ! word warning - will get little sympathy accomodation complain anything place . 
 Apr 12 2009 	 ok stay 	 stay brief - 9:00 p.m. 9:00 a.m . room adequate size . clean quiet . half we like room color - half really dislike . breakfast $ 25.00 person - could not report ! parking tax , yes , parking fee tax , whop $ 50.00 . 
 Apr 12 2009 	 feel - good - place 	 stay 03/09 pay 99 $ per night ( hotwire ) . staff friendly get immediate service require . room clean comfortable . definitely would come back lovely place . 
 Apr 12 2009 	 do not get room overlook Bus Depot ! 	 stay June 2008 part multi stop honeymoon America . this final stop spend 2 week Las Vegas Hawaii amazing hotel . hotel ok near Fishermans Wharf it . the room look like recently decorate hotel nice small bar area outside seat heater . also small outside pool although cold we go in . we arrive around 6 pm say good room go ! room overlook bus depot ugly , noisy 5 am onwards . Fishermans Wharf round corner spend nice day watch street performer , shop sea food dinner . also leave pier go Alcatraz ( enjoyable ) .We get tram centre town shopping ( cable car great experience ) .We go China Town Little Italy evening . we stay 3 day think enough time see San Fransisco . I stay well sheraton around worldtip - check weather report go . spend previous 2 week Las Vegas Hawaii temperature reach 114 degree . get San Fran quite chilly do not appropriate clothe ! 
 Apr 11 2009 	 perfectly locate short 3 day stay San Francisco . 	 14 hour plane ride great find clean , comfortable bed well need rest . room 2 double bed 2 adult 2 chidren . although room cosy 4 , travel economically spend time enjoy city SF room . this great location , walk cable car terminal , local eatery , Alcatraz ferry , sea lion pier 39 much . also local supermarket ( Safeway ) across road incase need supply even cheap easy dinner . we get 2 day ticket hop hop bus would highly recommend . first use bus travel entire route see get know San Fran offer . second time around use hop popular sight Union Square , City Hall , Lombard Street Painted Sisters . also discover many eatery within city stop , SFSoup Company favourite . also use bus get city side Golden Gate Bridge , walk across bridge catch bus back . great way see bridge . also lucky enough see dolphin frolic bay . we wonderful time San Fran thing would change 4nights instead 3 . Mark , Angela , Georgia SophieAustralia . 
 Apr 7 2009 	 loud hotel ' ve ever stayed 	 stay Sheraton Fisherman 's Wharf three night March . get hotel via priceline , good thing pay full price would disgusted . the hotel clean , pool area great - warm . room two double bed , suit we fine . one small bathroom ' ve ever see . ' ve stay tiny hotel Europe . impossible shut bathroom door without kind little dance almost climb shower . half firepit not work , be locate middle main driveway hotel . good idea , horrible location . I could eal not thin wall ' ve ever see . whenever neighbour come home feel like conversation room we . couple elephant floor we , traffic road outside ... ' ve never thankful earplug . 
 Apr 6 2009 	 Great Time Sheraton Fisherman 's Wharf 	 excellent stay pleased hotel . receive good price room ( around $ 169 / night weekend ) , feel good value . modern decor , flat screen tv , light airy feel entire hotel , comfy bed pillow . convenient Fisherman 's Wharf . know lot people say 's touristy , ' m tourist love wharf . great food attraction . echo complaint early bathroom light room . one light switch turn light bathroom / shower area vanity area , make whole room go bright someone use facility middle night . stay Sheraton , one block wharf , 1/2 block 7 - 11 convenience store 1/2 block Safeway store . , although hotel offer complimentary breakfast , able run get breakfast coffee quick cheap location . car rental location right site decide rent car drive . drive , instead pick open top sightseeing bus one block away see town . also block Ghiradelli Square cable car stop . there nice open fireplace outside hotel , , unfortunately , become like smoker pit high school . wish smoke free area close entry hotel . favorite part hotel fitness center . brand new equipment build tv 's include elliptical , treadmill , bike weight . nice clean . my one recommendation stay request interior facing room . street San Fran noisy night . garbage area pick 10 pm since traffic way ... noisy experience face road , . also could hear truck go wharf throughout night . second night use , first night little sleep . some early review say Wi - Fi , think , downstair martini bar . see lot people use laptop . think Wi - Fi room . use business center charge per minute internet access . would nice Wi - Fi access room , even small chain motel offer standard . all , though , would highly recommend hotel definitely return . location convenient us area great casual traveler . 
 Apr 6 2009 	 great base close public transit Fisherman 's Wharf 	 hotel block away Fisherman 's Wharf Pier 39 case name give away . find clean staff friendly efficient . hotel close Bus , Cable Car , Street Car line easy access part get sick cheesy knick knack , store , crowd Wharf . Safeway , Trader Joes , Walgreens within couple block need supply . parking limit expensive . 
 Apr 2 2009 	 Great Location 	 recently stay husband six year old daughter . location wonderful ! 4th ( top ) floor room overlook parking lot bus . course look look straight window see Pier 39 Bay Bridge . glance leave give picture perfect view skyline , include Coit Tower Transamerican ( Pyramid ) building right allow view Golden Gate Bridge . never expect view visit large city , grateful view . spend little time room , see much nearby . cable car turn around block away F - line pass hotel . car , price parking problem . FYI , parking line similar location near Fisherman ' Wharf . décor , enjoy nautical theme ( think IKEA great , anyways . ) find blue yellow compatible awesome view water . complaint lack free computer access business center . leave laptop home need pay check email one time . 
 Mar 29 2009 	 great location ; helpful staff ! 	 excellent location close many tourist attraction like Pier 39 , Alcatraz , Ghiradelli Square , etc - easy walk place hotel . helpful friendly concierge . close trolley line want go uptown shopping theatre . location everything big city - feel safe walking around night sister ! not need car ( parking expensive city ) , ready venture city , Dollar car rental office right premise - convenient ! 
 Mar 26 2009 	 extra cost not make stay worthwhile 	 able get room Sheraton Fisherman 's Wharf fourth normal rate special deal . however , even wonderful discount , stay mar outrageous extra fee cause seek less convenient , cheap mean . example , park hotel $ 49 day . instead , park warehouse near port 20 minute away save $ 34 day . second , need cot friend sleep , find would $ 15 night . cot always free entire life hotel stay . third , free continental breakfast , could instead purchase $ 6 muffin $ 4 carton milk choose . understand eat breakfast city probably well , need free piece toast get go morning , able , like hotel offer ? finally , hotel decor seem nice , upon inspection rather shabby . carpet stain wallpaper mottle certain area . place normally rate $ 325 night , price simply unacceptable . positive , staff helpful . however , sort serious discount room , prepared front desk helpful come usual free amenity associate hotel . 
 Mar 26 2009 	 Nice hotel expensive without free WiFi breakfast etc 	 find motel California far well value friendliness . location ok public transport etc would not stay Fisherman 's Wharf actually little ! 
 Mar 15 2009 	 great location nicely update drawback 	 hotel locate fabulous location near Fisherman 's wharf . walkable pier 39 , Ghiradelli Square step old f - line trolley . fire pit locate right adjacent driveway often & quot ; order & quot ; sign post remainder surround patron cigarette . room spacious strange rectangular & quot ; pillow & quot ; bed create nuisance lack separate light switch room toilet ( separate space sink ) light entire room nighttime use . hotel nicely update modern decor . front desk staff accommodate wile help sightseeing plan . overall nice hotel , good value great location . would stay despite comment . 
 Mar 15 2009 	 Cute room Clean ! 	 preface review state clean freak . : ) enter hotel room bed bug check make sure bathroom clean . Sheraton pass check fly colour ! room adorable- fun bright . extremely clean , roomy comfortable . location ideal central everything Wharf . check - in breeze breakfast buffet delicious . staff pleasant eager assist . would definitely stay ! ! ! ! : ) 
 Mar 11 2009 	 Excellent Location Wonderful Stay 	 stay hotel one week . room spotless , bed comfy room roomy . bathroom bite small separate sink area ideal two people get ready time . hotel lobby nice coffee / liquor bar . convenient morning espressos . outside door sofas chair surround fire pit coffee table . great place cup coffee chilly morning drink night . location well . , one block Pier 39 , right lazy sea lion lie . enjoy location wharf quiet morning feel like San Fran , away hustle bustle Union Square . ok gym plenty cardio machine , free weight one stationery solo - flex type machine . comment hotel restaurant not try . many great spot eat within walking distance not miss Scomas crabs clam chowder great water view , Crabhouse Pier 39 killer cioppino garlic crab . North Beach Chinatown 15 minute walk -- Cafe Greco pastry coffee , L'Osteria delicious lunch , Tomasso nice family style italian meal . totally enjoy stay employee Sheraton could acommdate . would definitely stay second . btw , anyone laundry travel , coin laudromat 3 block away Mason fantasic little coffee shop wonderful breakfast / pastry across street . 
 Mar 8 2009 	 clean comfortable hotel - room need double glazing ! 	 stay 4 night skiing Lake Tahoe . happy choice . room large , bright , modern clean . staff always helpful . bathroom bite odd - small bath toilet actually , washbasin separate , opposite wardrobe . real complaint traffic noise - window look like old keep sound - need replace proper insulate / double glaze window . location hotel fine , Fishermans Wharf bit touristy plenty place eat nearby good transport SF available easily . 
 Mar 7 2009 	 Afforable clean convenient location 	 really like location . be couple block away cable car . f line trolley near hotel . 
 Mar 1 2009 	 comfortable bed great location expensive parking 	 return overnight stay Sheraton 's Fisherman 's Wharf . sad learn long offer Club Level room . Gold Starwood Preferred member enjoy perk free breakfast , etc . hotel apparently remodel recently . lobby ordinary would expect Sheraton . Valet self - parking available $ 43.00 per night . price general public pay park lot . seem discount hotel guest . concierge staff helpful friendly . can not beat location visit Fisherman 's Wharf . 
 Feb 28 2009 	 rip 	 stay hotel day sight see ski Lake Tahoe . location convenient room clean much small room Harveys Tahoe . decor rather strange make bad hotel . what however , Sheraton 's policy charge extortionate rate use underground car parking facility . warn , robber charge $ 43 plus tax PER DAY privilege leave car hotel already pay . whilst obvious parking area money make racket Sheraton easily expensive saw . concessionary rate guest . complain staff dismissive unhelpful . would return hotel . 
 Feb 27 2009 	 nice surprise ! 	 stay room 4520 . room small , remind boutique hotel Manhattan . clean , cheerful , trendy decor kingsize bed , couch , desk run across window wall . service excellent . location fabulous -- short walk cable car turnaround , wharf , shopping . park Imperial Parking across street avoid hotel 's $ 50 . per diem . unfortunately , could get 6:00 machine would take cash take credit card . attendant fail show use call button . call tow service 800 number get connect office , one answer . call tow service 45 minute , someone show take $ 25.00 cash manually open gate . almost miss flight . pay $ 50 . smile ! 
 Feb 15 2009 	 Perfect location San Fran sightseeing ! 	 stay 1st leg honeymoon . hotel recommend we travel agent book spot choice ! hotel situate hundred yard Pier 39 , variety shop restaurant . also famous sea lion be . the hotel modern nautical theme throughout . nice bar lobby really nice outdoor pool ( not try bit chilly ! ) . beware bar - little expensive compare bar / restaurant area . breakfast also expensive side , iHop restaurant nearby offer full breakfast pancake next nothing - set we well day sightseeing ! room trendy flat screen tv 's ( hd ) huge bed ! bathroom little bit small side , not bother we . little noise outside room hotel . overall pleased hotel would definitely recommend ! 
 Feb 2 2009 	 good hotel great staff 	 wife 4year old son stay hotel twice use stop gap UK Hawaii really well appoint . hotel room adequate average facility . room size okay decor okay . see review someone state like Ikea throw room . fair observation bad thing entirely . the location ideal , close attraction wharf offer . staff excellent bend backwards help request . bit room mix initially end room good first room put case , much bellboy embarrassment . rectify letter honest explanation apology manager follow plate chocolate cover strawberry 's bottle champagne . would go back time stay ... 
 Feb 1 2009 	 cute decor . great location . 	 hotel 's location can not beat . within short walk Pier 33 ( catch boat Alcatraz ) , Pier 39 also Fisherman 's Wharf , perfect . hotel newly remodel brand new flat screen modern - yet- retro decor . bed comfortable , furnishing unique lighting bathroom perfect makeup . concierge front desk staff friendly helpful . also business center print free airline boarding pass . downside : free internet , ridiculous parking price ( rec park across street public lot , max $ 30 day ) also wall thin . people next room come back apparently crazy night partying could hear every word . light sleeper even wake . little frustrating . , would defintely stay . 
 Jan 30 2009 	 good tourist 	 hotel smack middle Fisherman 's Wharf - fantastic area tourist , though seem many aound there . find reasonable rate priceline $ 75 / night . I think someone say decor hotel look like budget makeover . be right . look like come Ikea 's child 's department . bright primary color , picture wall look like frame wrapping paper match color schemethere two building driveway inbetween . also car rental place building . room ground floor face driveway , hear car door slam valet whistle taxi every morning . parking expensive , unlike review read , difficulty find free overnight parking street right front hotel . ton empty spot - maybe due time year economy . not near BART , close cable car stop , maybe 45 minute walk BART station . also , grocery store next block Trader Joe 's ( yay ) 2 block away , certainly save $ buying water , snack etc . there . I would recommend hotel family vacation . 
 Jan 29 2009 	 Nice parking cost fortune 	 motel nice , newly renovate room plasma TV . park $ 43 , plus tax $ 6.00 parking , addition normal room tax . internet cost $ 15 per day plus tax internet another $ 1 . TheRaddison , across street cheap parking free internet . also sure ask room near elevator . motel large end room long walk elevator.the motel . hallway unheate chilly . bathtub uncomfortable ( slope lean back ) . location outstanding , block Fisherman 's Wharf . staff friendly helpful . 
 Jan 28 2009 	 enjoy Sheraton 	 stay 4 night anniversary trip . never San Francisco ( us ) , stay Fisherman 's Wharf great need car . walk wharf area , take trolley downtown around sightseeing . sheraton staff fabulous . rent car one day drive coast Rt . 1 , trouble find car , keep search one find we . one night driver pick we luxury car take we dinner , call pick tell we good place go Buenivista Cafe good irish type coffee ever live , walk distance do back Sheraton . the Sheraton newly redecorate , clean . drawback seem cater business trip lot meeting room eat area allocate them.they one eat / bar area lobby , many time type vacation really want eat hotel ? good part firepit light 24/7 right outside hotel . drink overstuffed wicker furniture around pit foggy / damp day cool evening relax romantic . 
 Jan 27 2009 	 great stay ! 	 Sheraton perfect location couple minute walk Pier 39 . high quality , modern hotel , often use conference , equally welcome tourist . we beautiful , big room amazingly comfy bed , well equip bathroom , flat screen hdtv lovely view . staff meet pleasant polite , concierge particularly helpful . pool look invite . fire pit simply gorgeous enjoy drink dinner . try hotel breakfast plenty option close . would recommend breakfast Eagle Cafe Pier 39 - building not look inspiring , food wonderful ! , great stay reasonable price . 
 Jan 26 2009 	 Location Location Location 	 decent experience . room not great hotel Ikea throw vibe . enjoy bottle champagne next fire pit . able walk touristy place one would ever want super close type transportation . we also close enough walk Blazing Saddles rent bike ride across Golden Gate . room service bit much . $ 60 glass wine 10 inch pizza ? luckily find local place deliver right room fraction price late nice awesome since believe room service stop 11:30 . not bother breakfast sit - down / buffet thing go either . total rip off . overall decent place since romantic getaway decide check night early head Palace . recommendable base location . 
 Jan 19 2009 	 great place stay minor shortcoming 	 review give accurate flavor hotel thing add . people state , location outstanding room clean attractive , accessory expense excessive avoidable . service good excellent . the location outstanding long minimal amount walk . Fisherman 's Wharf block two away . edge North Beach ( Italian Area ) reach ten minute walk . twenty minute walk take Chinatown Broadway . pier 39 less two block away . get financial district Union Square walk doable , would strenuous . short , 75 % visitor come San Francisco within walk distance hotel . and not want walk , F streetcar line , go along Embarcadero Market Street Market past Civic Center Castro District , go front hotel . Taylor cable car line , use go Chinatown , Union Square financial district , start two block away . the outdoor sit area , gas fireplace , pleasant attractive . the cost parking ( $ 43 plus tax ) unreasonable . however , use two story parking structure across street south . thirty yard hotel , cost $ 25 24 hour , $ 20 twelve hour . think privilege , people go need go multiple time day . I also like pay use hotel computer get internet , especially $ .59 per minute . but thing consider , happy Sheraton . 
 Jan 10 2009 	 Christmas 	 really like hotel . first time ' ve family great stay . decor bit touristy nautical theme fine bright . the location great Fishermans Wharf boat trip . cycle Golden Gate fun half day age . far walk Lombard Street catch trolley Union Square . tram cheap easy way get around station corner hotel . the staff hare always friendly helpful would expect . not eat hotel can not comment . when return might try Embarcadero change , seem quite lively market . for first time visit not think could get much well . 
 Jan 4 2009 	 good stay Sheraton 	 return day Sheraton Fisherman 's Wharf . hotel renovate room bright clean . convenient location , though quite touristy . hotel also huge- though 4 story , seem hundred room floor take several minute walk elevator room . big deal , travel someone can not walk far , would ask room close elevator . reason not give 4 star cost parking ( $ 50 / day ) wall bit thin- could hear people room we walk around . 
 Dec 30 2008 	 great location ! ! 	 stay Sheraton 4 night together 2 kid ( 13 11 year old ) .The people hotel friendly helpfull great help we give we direction touristic thing do . we tour toad tour book we , really enjoy that . the room nice bed great . kid also like pool fireplace terrace pool ... cosy night . the good thing location . five minute walk fisherman wharf Pier 39 .. al great location within walking distance . next year definitally go back hotel . 
 Dec 27 2008 	 Business Beach 	 30th visit San Francisco initially business trip . later trip , family come two room . review three room two different aspect . as business hotel , little downtown usually stay area . SF place car , $ 24 Muni week pass far well deal parking charge . also advise take BART town ca . $ 5 , guess shuttle SFO $ 20 . get downtown , one take cable car , neat , seem unreliable rather cold week . tram , surprisingly , schedule much either . block away # 30 Stockton bus , fast reliable . look nice bun lobby morning usually make coffee room , dash . another ' business ' aspect free wireless available lobby . room portion ' annex ' face street quiet . my next room king - bed unit face pool , also quite good quiet . adjoin double unit end kid use . although close street , little traffic noise hear . the pool cool temprature although see one family use seem enjoy . location great touristic side trip . even well deal Muni Pass $ 59 City pass , plan visit one attraction use cable car . 
 Dec 19 2008 	 lovely hotel ideal location ! 	 hotel gorgeous ! recent refurb accord website prompt we book . comfortable bed , plasma tv , tastefully decorate , glad book . also ideal location . minute away pier 39 . 10 minute walk Chinatown & amp ; Little Italy ( recommend go meal ! ) & amp ; 10 minute stroll pier 35 go boat Alcatraz . last stop fly drive trip start LA find do not need car get also get trolley car close Union Square ( great shopping ! ) & amp ; Nob Hill . car use hotel car park , charge $ 50 night parking ! ridiculous ! hence another reason get rid car early . keep car secure car park half price . ( leave lobby , turn leave & amp ; across road ) . another side charge telephone room . use & amp ; even though call international , last 1 minute & amp ; charge $ 24 ! second call charge & amp ; $ 40 3 minute . rang reception query charge tell & quot ; that s price & quot ; . upon check mention & amp ; charge reduce $ 20 total & amp ; do not even query ! would stay without doubt ! 
