luxury 	 stay couple month open . beautiful suite great layout . love everything incredible bathroom , comfortable bed remote control shade curtain . casino connect venetian lively fun . phantom incredible . 
 amazing stay one Las Vegas ' good suite hotel 	 Palazzo quiet serene oasis midst Vegas strip activity . twin tower Venetian , huge Palazzo suite amazing view Strip - directly across Treasure Island Fashion Show Mall . location great . never leave Venetian / Palazzo complex , , be close Wynn Encore Mirage . 
 Great Stay 	 second stay would stay anywhere else . service room always excede expectation . room huge always clean . service great always happy help . everyone work maid taxi line people always say good morning , afternoon , ect . would recomend hotel anyone . 
 Mature clientele 	 stay Palazzo right Thanksgiving . find hotel mature clientele , without much party scene , fine . think be hipster look big party scene , may right hotel . hotel nicely appoint clean . room nice , impressive , consider pay . certain area , & quot ; aroma therapy & quot ; pump , combine usual cigarette smoke , bit hard swallow . staff service average . one waitress make positive impression tip accordingly . desk personnel friendly , agenda sell pay upgrade . logistically , Palazzo good jumping place want within close walking distance either Wynn , Mirage , TI Harrahs . hotel large , combined sister property , Venetian , slight orientation challenge . two join property , be pretty much something everyone . overall , not big issue hotel , expect , give price pay room additional service . 
 vastly overrate 	 unfortunately big disappointment , except bright spot ( server Grand Lux , comfortable / spacious room ) . service nowhere near would expect five diamond hotel ( receive ) -- multiple call priority service get equipment room working order , surprise fee , unknowledgeable concierge multiple occasion , room service meal sit hall almost 24 hour . be prepared pay fitness center ( despite note website ) . tell additional charge use whirlpool ( ask multiple people ) , find one outside free charge -- not staff know property ? back Bellagio next time 
 oct 4 2009 	 Fantastic 	 second time Palazzo agian fantastic . worth pay little bit extra get room overlook strip . despite room beautiful feel compare last year get bit tatty . drawer break , handle fall . Despte reporting ( not want think we ) repair stay . 
 oct 4 2009 	 Palazzo spoil us- will never stay anywhere else Las Vegas 	 boyfriend originally book four night Venetian . check , woman behind desk offer we suite Palazzo , promise would view plus extra 100 square foot , extra cost $ 39 per night . get fabulous rate Venetian ( literally half average ) , agree upgrade . we regret . fact , not think will ever stay another hotel Vegas . ever . even pay regular room rate . Palazzo opulent without ostentatious ( Vegas standard ! ) , room sumptuous , comfy , large . obssessed room could get view . could see mountain distance , strip way Ceasars ( Trump side ) , directly we Palazzo 's gorgeous pool . attention good design comfort Palazzo suite beyond compare- enormous marble bath soft couch ottoman sit area . never experience lack attentive service reviewer complain , find Venetian/ Palazzo staff nothing professional accomodate . room make little hour ( three hour early check ) , bag bring venetian room half hour . girl front desk Palazzo even call apologize make we wait bag . feel , hotel 3,000 room , wait time quite reasonable , courteous service forgive whatever minimal inconvenience may cause . we enjoy casino . , believe another reviewer descibe , bit & quot ; mature & quot ; other strip , great evening town want close room not ready room . be young couple , be long dinner ( sit outside Bouchon Venezia tower order great wine- guarantee perfect evening ) cocktail club , Lavo nightclub let Friday , crowd casino mess kind ruin vibe . ' m sure Lavo place Vegas like club , though . not see single unattractive person walk place . shop Palazzo scale New York Rodeo Drive . bring credit card . we plan come back Vegas year , experience , may make next trip Palazzo little soon . 
 Oct 3 2009 	 Fantastic hotel 	 go vegas two week September stay second week Palazzo hotel . watch hotel build year go vegas , treat stay . hotel utter elegance class . impressive reception area second none .... well maybe apart Wynn ! check fast room huge . seperate living area go couple step , relax watch one three tv . massive window remote control blind curtain beautiful bathroom also dress table tv watch tub . we , however get smell cannibis come air vent bathroom couple day room either side we ... sleep well two day ! pool area lovely , warn , main pool get sun 1.30pm . however , walk around venetian pool get sun early . busy time vegas , busy ever see , surprising , well september . busy around pool weekend . to truly appreciate hotel , need go bottomless pit money spend , holiday budget like normal people . hotel use conference business meeting , conduct breakfast sit eat next table , do not like much . think business meeting somewhere private , egg bacon . the Grand Lux restaurant fab , huge selection menu huge portion match ! ! time , could move try eat dinner still leave normal sized amount still plate ! security good no - one get anywhere near lift area room without show room key . beautiful hotel , enjoy every minute , do not much like part strip , far . walk Peppermill restaurant , near Riviera hotel , worth visit nice local feel . 
 oct 1 2009 	 Liked lot - book another stay 	 stay Palazzo couple day business trip . got great deal suite excellent . comfortable bed ; three flat screen tv ; great bathroom . check - in quick . check - out look slow long line form three people behind desk - five turn line disappear . nicely do . dinner Charlie 's restaurant . pricey really great food . fact , like hotel much ' ve book go back next month wife child . thing not like First Food Bar . go mid - morning work colleague quick coffee pastry . cup properly wash . colleague ask latte waiter turn regular black coffee . point mistake stand though expect drink . get message take away return 30 second cup look slightly frothy . clearly throw milk top . hopeless . 
 Oct 1 2009 	 love . 	 3rd stay Palazzo . room open plan suite . sunken living room large sectional flat screen 12 people room sit comfortably without bed ! another flat screen front bed . large marble bathroom seperate room toilet convenient get ready makeup mirror bench area . really love fax / copi / printer room perfect check print boarding pass . love semi - smoke free casino ! Love & quot ; green & quot ; attitude . also really like mexican restaurant Grand Lux late night eat . spa pool right elevator , walk across casino . stuffy atmosphere . 
 Sep 30 2009 	 honest truth 	 service great Palazzo , front desk security round floor . complaint unnecessary attitude cashier . cash slot winning redemption machine multiple ticket ; get quarter want decide exchange bill . cashier ask get quarter say , ticket redemption machine spit . says & quot ; be true , slot machine not give quarter & quot ; . someone not listen say ticket redemption machine . 1000 camera sky , 's reason lie quarter . attitude really make think & quot ; never come back & quot ; hot young lady front desk balance top fact room change right away complain odd smell bathroom time turn air conditioning . like Palazzo oddly , love Venetian , either way , quality room service remain well , defintiely returnig back winning . honest truth , be one good hotel . ( well Oakwood Shinjuku ...... 's Japan ) 
 Sep 29 2009 	 great facility non - existent service 	 stay weekend conference . nice room ' ve ever stay . ' m sorry not Las Vegas long could enjoy time room . check fast , room available right away even though arrive early . elevator , different bank serve different floor , fast . not think ever wait minute elevator . however , request evening turndown service night stay , never get . know 's big deal . hotel large , be possible miss detail . something specifically request , stay away room specify time would not way . price pay , caliber hotel , expect well . 
 Sep 29 2009 	 Palazzo WestJet Vacations Package 	 one notable experience stay Palazzo Resort Hotel Casino unfortunate plight get sick ( food poisoning ) in - suite food eat ( spoonful , food question extremely salty ) . right dinner , bout diarrhea , stomach pain , feel bit warm night . follow day , request paramedic come see suite . Security E.M.T. , Ms. Jeanee Martins , come see 3:00 p.m. take blood pressure , ask couple question food , complete sign report she . for information , husband complete & quot ; check - out process & quot ; Saturday morning , notice despite fact get sick & quot ; Beef Stir Fry & quot ; in - suite item order & quot ; in - Suite Menu & quot ; , manager well aware , still charge say item ! unfortunate incident happen also Palazzo Resort Hotel Casino fact part WestJet Vacations Package call , & quot ; Added Value & quot ; , present we upon check . interested find we willing upgrade stay $ 100.00 / day five ( 5 ) day , i.e. , $ 500.00 , total . may already guess , reject offer . ( imagine accept offer , suffer & quot ; ill - fate Beef Stir Fry & quot ; boot ? ! ) lesson , think , ' ve derive particular vacation , two - fold:1 ) stay away & quot ; package & quot ; , case & quot ; WestJet Package & quot ; , and2 ) not & quot ; swayed & quot ; hotel rating , , & quot ; Palazzo & quot ; 5 - star hotel , not mean suite totally nice good order , & quot ; test safe good food & quot ; , ( irony hotel supposedly own Wolfgang Puck , famous Chef ? ! ) , & quot ; customer - friendly & quot ; hotel . believe , genuinely good ? -star hotel ' ve experience past survive & quot ; test time & quot ; . Bellagio , Caesar 's , Mirage , Wynn , name , would still rank favorite hotel Las Vegas . particular , & quot ; customer relation / satisfaction & quot ; receive Bellagio Hotel & quot ; food department & quot ; unforgettable , truly superb dining experience , throughout ! friend relative ( friend relative ) please stay ( never mind In - Suite Menu ) Palazzo Vegas . P.S.I talk girlfriend morning stay husband Palazzo ( 3 week ) , book suite directly Palazzo Hotel , part westjet package . find husband provide slipper suite , plus , furniture good order , unlike suite , slipper ; one handle miss one chest drawer - toward middle week , another handle fall try open one drawer ; lamp switch side bed turn , therefore plug unplug cord order use ; soap holder washroom sitting & quot ; lopsided & quot ; sink one & quot ; leg & quot ; miss . think supposedly & quot ; lovely hotel throughout & quot ; , two year old ! 
 Sep 27 2009 	 good part Vegas hotel never leave ! 	 book room Venetian , check - in surprised place Palazzo , adjoining property . specifically ask room view strip . unfortunately , face strip , apparently room Palazzo . instead view mountain fashion mall , well Pirate hotel ( think name Treasure Island ) Wynn resort . we pay $ 400 per night 2 night convention . stay lot nice place , must say suite truly live expectation , even though not face strip . pit living area comfortable , great since IDEA gamble not care learn . able watch college football really opulent room ! linen gorgeous , bathroom spacious beautiful , complete sit - down vanity . see musical Jersey Boys fantastic . even skeptical husband love ! room service timely tasty . course expensive ! restaurant selection astound we ! Dos Caminos incredibly tasty lunch . eat lounge area ( reservation ) Cut Wolfgang Puck , favorite dining experience . also try Restaurant Charlie Charlie Trotter . not favorite cuisine , although service good . fine restaurant visit , expect dining experience . rush . expect dine hour , therefore service may seem slow normal . ample shopping abound . really type buy $ 2000 Dior bag , really not partake . lamborghini store , going pay $ 10 enter car showroom . I probably return Las Vegas unless absolutely must . however love Vegas , Palazzo great hotel . 
 Sep 27 2009 	 hotel sink low level 	 stay exclusively Palazzo conference pleasure past 4 year . start stay outstanding hotel , service fantastic , hotel beautiful , room outstanding etc .... spend week hotel might well stay strip . room run , paint chip , vent filthy , call day room service housekeeping , wait staff WOO 's abrupt rude . bring dissatisfaction frustration attention hotel manager would offer schedule time housekeeping service room food / drink voucher $ 25 , , loyalty hotel worth scheduling time housekeeping job 2 cocktail . never stay hotel recommend consider hotel take panorama suite Planet Hollywood nice room Mirage . 
 Sep 25 2009 	 Beautiful Hotel 	 trip relax . conveniently locate strip . room large great view Wynn Hotel golf course next door . staff great well . problem encounter come back room 4 am lock . call front desk let we take 25 minute get find could use key call maintenance let we . 20 minute later mainenance team come let we know problem door could open go another room night , frustrate we even luggage clothe inside would leave next morning . another 25 minute later finally let wait hour . experience , overall enjoy first half trip hotel ! 
 Sep 25 2009 	 wow ! ! 	 beautiful hotel . room / suite huge , large flat screen tv 's , gigantic bathroom . comfy bed . complaint hotel room . but , 2 coffee 's 2 danish come $ 18.00 bit shock . felt secure plenty security . 
 Sep 21 2009 	 good HOTEL must try ! 	 appreciate good smell lobby especially compare otherhotel strip even Bellagio Wynn . bad smoke smell leave clothe evenwalk thru Casio . good shopping atmosphere compare other 5 star hotel strip . comfort room even standard room approximate 700 sq . ft . no buffet lot restaurant food court Venetian . friendly checkin staff security guy hotel suit entrance job ( check everybodyof get elevator . ) floor quite . minor thing : 1 ) elevator lack ventination . 2 ) bit dust dance alarmclock . 
 Sep 21 2009 	 good option . 	 concierge level reccomendable , breakfast , snack drink , valet parking include . room comfortable quiet . room service minibar expensive , , know ... Las Vegas . overall , reccomendable . 
 Sep 19 2009 	 Excellent let tell concierge level pool area 	 oh , one beautiful top notch hotel Vegas , right next connect Wynn / Encore bridge part venician . take advantage mid - week summer 2009 internet deal find get & quot ; suite & quot ; ( basic room ) $ 99 ; lowest see . include two - for - one ticket see Phantom , $ 25 slot credit , two - for - one Madame Tusaud 's Wax Museum ( much well expect ! ) $ 30 dinner WOO stuff . get upgrade Concierge Level ( later ) $ 100 per night big 950 sq ft Fortuna Suite $ 75 per night . heck , get hospital , birthday want splurge . not want dwell good stuff becuase know want know everything go wrong , much , hotel simply beautiful well lay . valet parking luggage handilng free . see several tacky people wheel luggage casino . use free service not make look like redneck . 5 - star hotel . act like belong people ! room incredible marble bathroom could hosted ball . huge walk - in closet , remote control drape air conditioning , dvd player , three hd wide screen tv ( even one bath ) , three telephone ( even one separate toilet room ... speak phone pot ? ) . room extremely quiet . could hear outside noise room . service staff impecable everyone always say hello . particulatly like , 50 - story hotel overshadow other , 4 different bank elevator , dedicate different scection floor , not stop every floor pickup drop people wait long one come . fast . ' ve never see big pool area hotel . 7 pool plus jacuzzi semi - private little nook , never fight place lounge . warning : little shade seem big drawback 100 - plus - degree desert sun . think want rent one many poolside cabana want shade . the concierge level get private checkin area , someone ask question make reservation time , access private pool area call AZURE Thur - Sunday , access DVD library , free soft drink , water , lemonade great fresh - bake chocolate - chip cookie day , free continental breakfast hot oatmeal one hot item , snacktime , evening open bar appetizer time evening dessert time 23rd floor spectacular view . 4 room livingroom type seating enjoy plenty room , lot jockye window seat . bad stuff ... feel concierge level worth $ 100 extra per day . hot item breakfast rotate every 4 - day always seem like sit long time get crusty . blintze one day , mini quiche another . night mostly cold appitizer always empty hot appitizer chafing dish , never enough would put tray like cattle call peolple rush beat everyone else get . rude people would take one two know not enough go around , fill plate . not forget people bring 5 kid pretend free dinner . 's people ! show class . parent think unsupervise playground area kid . however , waiter would bring drink want much want . nice . complaint beautiful pool music . arrive early Sunday get room right away suggest go pool wait . loud & quot ; thump - thump & quot ; music everywhere pool . speaker strategically place landscaping every foot designate quiet area . tell , age personal music device like iPods headphone , need play loud music ? ask several staff member go want nice quiet area read sunning say way get away music . ask several question like , & quot ; decide music play ? & quot ; & quot ; decide volume ? & quot ; none pool staff could answer . ask speak manager say pool manager & quot ; Ms. Ivy & quot ; Tuesday . frustrating time see lack staff helpfullness . also try go private & quot ; fee & quot ; pool AZURE find although & quot ; free access & quot ; require purchase least $ 25 per person food drink want sit . huh ? area seem crowded young adult music even louder ( DJ ) stay . pool wait staff attentive , abundant fast , however wife order small pina colada , come plastic cup charge $ 13 , though little steep . good deal 6 Coronas bucket $ 25.all - in - all wonderful time would recommend anyone . 
 Sep 18 2009 	 Bed Bugs Palazzo 	 stay Palazzo Resort 4 night start last Sunday . wake first morning 25 bed bug bite torso . immediately call front desk 3 people talk , include front desk manager , apologize occurrence . disgusting , actually see bed bug crawl around white sheet . ask vacate room say would send EMT check bite , vip team move belonging . half hour later still sign . call 3 time see come room . later afternoon call front desk ask would spray luggage would not travel bed bug , talk front desk manager , put hold never come back . finally go front desk evening get new room assignment talk manager upgrade large suite , would comp room b / c upgrading . say least compe first night refuse . think way handle well do . business , pleasure , itch way rest trip . compassionate compensation even close fair . 
 Sep 18 2009 	 Luxury ! ( beware scent allergic though ) 	 husband enjoy 3 night stay Palazzo Labor day weekend . nice hotel ! locate bit North center strip , still excellent location . check bit slow Saturday , expect . line long . service actually efficient . check around 1:00pm , room ready little 3:00 ( advertised check - in time ) . room fabulous . regular suite , view airport , part Wynn golf course , part Palazzo pool . true pool shade much day ( other venetian well sun ) . love three tv 's decent selection channel ( lot sport channel be watch bet game ) . large sofa comfy bed awesome ! not normally spend lot time room , trip , . comfortable inviting ( plus , room good 100 yard elevator -- kind make want stay ! ) .The casino crowd bad smoke problem ( high ceiling ) . want low table limit well slot payout , may wish gamble elsewhere . Palazzo / venetian complex everything within . would not ever leave not want . aware , though extremely large complex ! need comfortable walk shoe walk p shop food court v back , take long time . walgreen right outside great nearby snack , soft drink , small purchase . everything else price would expect 5 star hotel Las Vegas -- overprice . the problem allergic bath product scent pump air casino lobby . really bum actually not mind scent , love bath product . even , probably would go back someday . 
 Sep 18 2009 	 Palazzo Luxury Hotel ? ? ? 	 Labor Day Weekend book supposedly Luxury Hotel , Palazzo Las Vegas Nevada . Palazzo website picture beautiful . arrive , give room break lock therefore ask & quot ; DISTURB & quot ; sign front desk , concierge desk , call front desk ( 3 time total 1 request task ) . never receive & quot ; DISTURB & quot ; sign . there hair ball rest room , hair shower drainage , bathroom lack toiletry . check refrigerator miss item , take picture proof , contact front desk . charge item use . check , go front desk look bill . make sure charge water type item refrigerator use . charge water bottle drink . take picture refrigerator first enter room . Yep , charge $ 6.00 usd water bottle already miss prior arrival room . I enclose picture hair debris fraudulence charge miss water bottle never present refrigerator first place . Traveler beware . Palazzo seem . 
 Sep 17 2009 	 Quality way 	 never stay smart hotel - Palazzo top draw - want Vegas bit class - try here . room great - everything modern 
 Sep 16 2009 	 want much .... 	 book Palazzo huge amount research high hope read Tripadvisor review would not happen . experience .... valet check ... PerfectChecked ' Concierge & quot ; first floor Concierge Level SuiteConcierge fail forward request luggage deliverywaite well hour luggage call request againonce room ... realized not receive discount coupon include stayreturne Concierge Concierge Level Floor receive couponsreturne room truly look roomrealize really unclean ; crumbs / food carpet couch , unknown ' something ' stair ' level ' ... yuck ! Returned Concierge Level communicate need clean roomleave room hoursreturn find carpet clean , couch REALLY gross ' something ' still stair go back concierge complain vocally , tell & quot ; full service cleaning & quot ; would request not something do PRIOR guest 's check ? ? ? ask speak manager supervisor tell nobody duty ( find hard believe little 5 pm Concierge Lounge Las Vegas hotel ... ) ask want manager call follow dayi say definitely want call .. receive call three night staythe room finally clean within acceptable standard ( great ) Turndown service occur three night stayupon checkout , request direct email address manager give illegible note ask clarification three time eventually rewrite ... send email complain , come back ' undeliverable ' lead believe give incorrect informationI send email link connect third party ' survey ' hotel send checkout get connect helpful customer service rep offerre complimentary night Concierge Level Suite . go long way restore faith Palazzo 's customer service , ... certificate arrive mail , regular room ! ( difference $ 100 ) . email point ' mistake ' order correct . receive correct certificate , surely shoud not take long .The positive thing say stay Palazzo bathroom lovely ! customer service cleanliness room unacceptable hotel price range . I would never stay Palazzo . 
 Sep 16 2009 	 get print sign terminal check 	 love hotel 4 time year . hate people check counter . tell could upgrade suite special show rate $ 129 $ 200 . even ask , & quot ; $ 200 right ? & quot ; yes , come fine $ 229 night . check not fall scam . know guy swarmy . take attorney well yet print little tiny print chincy little check terminal read . also charge one day even though tell 3 night . 
 Sep 16 2009 	 amazing hotel 	 amazing hotel first class head shoulder everything else vegasthe small flaw water pressure suitesthe bar amazing good player club slot loose good dealer amazing room fantastic poolgood show good restaurant first class vallet 
 Sep 15 2009 	 New Favorite 	 stay Palazzo September . I find close perfection . in past stay several hotel Strip , include Mirage Venetian . room perfect , food choice plentiful staff mostly great . I love casino much well venetian Mirage due relative abscence smoke odor due high ceiling , great casino layout much mature crowd Venetian . I plan make hotel ny home base future trip Vegas . 
 Sep 15 2009 	 Palazzo Outstanding 	 wife stay Palazzo 4 day end August fully enjoy stay . wife bit apprehensive see number review comment cleanliness room , happy say issue whatsoever , outside room . ROOM : lot room suite , enjoy seperate sunken sit area plush spacious sectional . furniture , fixture accent wonderful . king size bed comfy , bathroom spacious well . complaint lack shower pressure late morning shower ( much well later day ) . guess everyone sleep take late shower time . the room allow we easily comfortably entertain guest room pre show cocktail . much well standard room everyone squeeze around little table edge bed . check : without issue , quick easy . check well . pool : quite nice , busy , Vegas day hang pool heat drink hand nice sight see . enjoy pool 's energy . food : late riser still like good breakfast , happy food , service atmosphere morning buffett Grand Lux restaurant . for dinner , Delmonico Steakhouse ( Venetian ) , Palm ( Caesar 's ) Mon Ami Gabi ( Paris ) serve outstanding meal , service fantastic , notably Delmonico . show : Love Mirage disappointment . enjoy , whole group find dancing costume usual acrobatic accustom C du Sol . Le Reve Wynn provide latter , amazing feat theatre quite impressive . Peepshow Holly Madison surprisingly entertaining . wife enjoy , quite funny , catchy tune , good dancing , course beautiful scantily clothe woman always bonus . actually upgrade vip front row table seat , end , would prefer bit back find table close stage -- continously swivel around completely chair show progress one three catwalk , well look almost straight instance . admit , close give great view well . : ) outings : drive Hoover Dam time round , amazing structure . recommend stop little town park , instead drive right Dam . quick outside tour take guide tour , enjoy . gambling : bag , table packed weekend night smoke much issue pass , unlike casino low ceiling . shopping : can not say enough Premium Outlet Mall , $ 15 cab ride way Strip . one hate shop , price outstanding ( clothe , shoe , accessory ) . much , hardly notice almost 5 hour . golf : not partake time temp 105 F ( 40 + Celsius ) , hot play . ran other wish not heat . could see Wynn GC suite . look quite nice , believe see less 10 group course entire stay . PALAZZO : would definetely stay . 
 Sep 13 2009 	 excellent choice 	 first two visit Vegas August choose Palazzo great choice turn becheck - in queue little long arrive mid - afternoon well attend give strip - view luxury suite 28th floor great view TI , pool beyondthe suite great every amenity could need . very comfortable bed large luxury bathroom spotlessly clean throughout . hallways suite remind BellagioService level throughout stay top class ; problem housekeep alllove bright , airy casino - slot bit ' tight ' - comment table not playwould not hesitate stay 
 Sep 12 2009 	 LOVED Palazzo . LOVED ! 5 Star way ! 	 WOW ! wow ! WOW ! place heaven earth . start ? first amazing beauty hotel . smell sooooooo good inside ! extremely friendly helpful check staff , quick - move check procedure 's first come / first serve , magnificent room , AWESOME ! room clean return pool every day - never wait ! employee smile greet . elevator never crowd plenty elevator choose . room HUGE truly comfortable elegant . see picture website truly get . truly 5 star resort . love staff walk around pool give complimentary frozen towlel , cold cucumber orange slice guest . kid ! pool build long narrow . everyone hang around edge , pool design perfect . chair abundant could choose sun shade time day often would switch seat much sun . lot excellent restaurant choice , clean hotel , wonderful experience . find new home Vegas ! downside : huge , unfinished hulking structure behind hotel . upside : construction noise . 
 Sep 12 2009 	 Palazzo might edge good Vegas 	 frequent visitor vegas , ' ve become accustomed consistently high standard top end hotel , Palazzo stand high comparison strip , round beautiful hotel . yes , prestige Wynn / Encore possibly edge , Bellagio still beautiful , must visit hotel , , factor consider , be hard top Palazzo . stay Fortuna suite , absolutely stunning ( even basic room suite ) . fault room would light system , 6 night , never master . light , many , seem work independantly , hard master . surely universal control could introdue ? Petty ? perhaps . 's annoying 2 am want light go bed , able turn bed . facility wise , hotel everything would expect , nice . part venetian great dining shopping option almost unlimited . able breakfast different cafe example something do not really get isolated , similarly luxurious Mandalay Wynn complex , definitely give Palazzo edge . pool wise , number bathing area , main pool not seem get sun afternoon , due design hotel , wise get early grab good seat small pool , main pool th Venetian . essentially , Palazzo refined extension Venetian , withouth hussle bustle . 's hard find somewhere else strip tick many box will therefore recommend perfect Vegas hotel . 
 Sep 11 2009 	 Great Hotel 	 agree alot write last post . great hotel plenty option food etc . check Grand Lux Cafe excellent . extremely helpful / friendly waiter excellent variety food reasonable price unlike restaurant . the pool area get crowded pool not seem heated , not problem may people . all great hotel although pay . 
 Sep 10 2009 	 verry nice room pool area crowd 	 check inn mean wait long time cue . room nice , could see airport noise problem . the pool area extremely crowded , make lot less pleasant relax pool . hotel nice restaurant , problem get table . 
 Sep 9 2009 	 luxury afford concierge lounge ! 	 room amazing - pay strip view would recommend . also pay concierge facility first timer Vegas want make sure somewhere relax come back end day relax . 100 dollar night concierge guess person decide worth - we , enjoy pre - dinner cocktail wine use skill concierge make plan . also use business centre etc facility useful we . pool lovely always lot bed available . staff professional pleasant , problem whilst quickly efficiently sort out . so want luxury strip much cheesy vegas hotel would recommend hotel . cheap worth treat , disappointment pay want access gym facility amount pay really think include . 
 Sep 9 2009 	 concierge level worth money 	 get back two day concierge level , $ 100 night worth every penny . room offer breakfast afternoon snack include jars candy , cookie free drink appitizer 5 - 9 . bartenders c. level friendly . large lounge relax , read escape Vegas hustle awhile . I disappoint receive turn service , slipper either night . stay Venitian alway svery nice , slipper yoru bed , bottele water chocolate . even request second night happen . the main thing look plan trip nice pool . choose Palazzo web site say custom chair make pool . picture lounge chair shallow end main Palazzo pool . get , chair . ask employee say & quot ; last year chair rust . pool like Venitian & quot ; walk venitian pool since use , find look like small child wade pool chair . chair horrible condition ! ( must one Palazzo use last year ) fabric fall , unsafe sit . need update web site . over , would stay concierge level take advantage amenity lounge , want great pool , would stay Wynn . 
 Sep 7 2009 	 Palazzo ` ` suite '' affordable 	 note : family travel Las Vegas least four time year ' ve stay Bellagio , MGM , Mirage , Planet Hollywood , Treasure Island , etc . I not hear much Palazzo decide stay Sept 3 Sep 7 try something new . stay Luxury Bella View Suite 700 sf separate sunken living room ( sofabe living room also convert sleeper ) . three LCD HD tv ( bedroom , bath , living room ) marble bathroom dual vanity , roman tub , glass enclose shower . bed super comfy ( egyptian cotton ) Euro decor theme . room overlook Strip pool -- include magnificent view Treasure Island & quot ; Sirens & quot ; show . hotel several pool ( 4 ft max ) server provide complimentary orange slice cucumber pool patron . service pool personnel inconsistent & quot ; ok & quot ; one instance , go obtain towel family , attendant not bother inquire whether need assistance set lounge chair . hello ...... family five , yes would like help please tip appreciate help ! guess ' ve spoil hotel offer service w / out ask . lifeguard site masseuse available chair massage ( $ 2 / minute ) . masseuse not go lounge chair , go massage ( unlike four Seasons ) . hotel security guard super helpful , Location central -- walk Wynn , Fashion Mall , TI , Mirage . husband kids able walk fairly easily Bellagio Planet Hollywood hotel . bring comfortable shoe water ( will glad ) . lot escalator pathway move along safely . extra careful pick pocket -- hear often folk getting rip . good part Palazzo air hotel / casino / pool / etc smoke - fill casino like Mirage Bellagio . high ceiling Casino also not make feel cramp . cocktail server well -- always around need drink ( perhaps hotel not crowd ? ) Maid service good , although couple occassion notice junk food bag elevator litter along hallway . room phone operator service always greet we name , 's norm LV hotel . also in - room fax / printer / separate phone line conduct business necessary . Grande Lux Cafe ( Palazzo ) great deal serve great food reasonable price . kid , ask 's available kid menu ( will not volunteer do not print menu ) . kid item include chicken strip , pasta marinara parmesan , hot dog , mac cheese , etc . son 's grill cheese sandwich fry $ 5.95 order chili dog next day ( fry ) $ 3.95 . steal . offer global cuisine ( chicken jambalaya , shake beef , etc ) affiliate Cheesecake Factory restaurant chain . must -- make order dessert require 30 minute cooking time order specialty creation time order entree . LOVED beignet ( french pastry fry ) three dip sauce ( chocolate , strawberry , vanilla ) husband kid love chocolate lava cake . morning buffet not bad , would probably order menu next time ( buffet make order omelette , pastry , fruit , yogurt , hash brown , scramble egg , bacon , sausage ) . Buffet Adult price $ 15.95 kid $ 9.95 . Skip First Food Bar ... wait staff friendly service super slow food not appetizing ( entree & quot ; small & quot ; $ 20 ) , except complimentary cinnamon donut . restaurant not full seat imediately , sure wait time could due . advise restaurant music blaring speaker much seat actually vibrate bass . interestingly enough , family actually enjoy loud music -- DJ onsite . also kid item available dinner , although could not try ' offer Sunday & quot ; brunch period & quot ; . Noodles Asia ( venetian ) nice change , also reasonably price , prefer Noodles ( Bellagio ) be willing spend / splurge $ . notice hotel , among other , offer discount certain meal ( prix fixe meal $ 34.95 / zine , buy one get one free palazzo room service , etc ) . economy seem driver change . parking nicely situate next guest elevator make convenient hop car explore Vegas . ample parking wait minute score good spot time . also security guard bike roam garage add security . the spa $ 40 / day independently operate Palazzo ( get discount rate registration , sometimes will coupon buy one / get one day pass ) . spa complimentary class , exercise facility , sauna , steam room ( will advise room co - end / clothing optional ) . hotel also in - room view option select compimentary tv video improve golf skill , tone abs , greening ( conservation ) tip . 's thing , Palazzo / venetian lot high - end ( J Choo ) suburbia type shop ( Banana Republic ) window shopper . not buy bottled water $ 5 Palazzo store hotel , simply go Walgreens venetian incidental . be bring kid ( mine 5 - 10 yrs ) , want watch show , prepared find rule / age restriction . deal , check hotel safe side . good buffet ( adult ) bellagio opinion ( expensive / no long line come right start service ) , kid prefer Mirage Treasure Island ( less unusual gourmet dish ) . lot bargin find nowadays , either ask watch . Wynn Resort , place , special angus slider / fry not enough time try . relax trip vacation , enjoy pool morning walk along strip could enjoy sight / sound Bellagio Fountains lot people watch . decide show trip probably next time . 
 Sep 7 2009 	 Wonderful Vegas Strip Hotel 	 stay Palazzo one night love . classy quiet , esp . vegas standard , great service . room exactly describe . immaculate comfortable . order room service right time . feel like hotel safe teenage son explore . would def . stay . 
 Sep 7 2009 	 great place stay 	 attend fashion market recently give incredible rate $ 129 . per nite . book king bed give 2 double request check w/ extra charge . suite oversized plenty room two we . the pool area fabulous multiple pool attentive staff . complaint not coffee pot room take 15 - 30 minute stand line morning coffee either coffee shop hotel . 
 Sep 7 2009 	 Beautiful Place however rotten cucumber fridge ! 	 place absolutely beautiful . casino clean service alright . like fact front desk locate far away guest elevator , walk entire casino suitcase hand get elevator . room absolutely beautiful , include sunken living room tv bathroom . however , rotten , old cucumber sitting refridgerator ! staff call apologetic remove mess , however offer sort compensation mistake . try get courtesy one - hour late checkout say mention cucumber allow extra one hour . watch use soap room , give two people party rash ( must bben allergic lemongrass scent soap , strong ) . would stay hotel price right , however choice recommend stay venetian next door . 
