Kimberly 	 two bedroom suite outside deck limit nice view 19th floor . full compact kitchen , two bath , really nice old hotel . lot action lobby street . 
 May 2 2008 	 Brilliant stay ! great hotel . 	 mom , sister aunt decide go new york . look around hotel big room one bed ! kimberly suit ! arrive hotel greet friendly door man ! get reception decide upgrade we one bed suite one duplex room ! pleased ! get room , god smack ! amazing ! 2 floor , 2 bath 2 balcony . floor king size bed wide screen tv . fancy spiral stair case well ! pleased . ment sister could leave mom aunt rest go upstairs . location great ! 5th avenue . 's subway couple block . walk distance central park , 5th avenue , rockerfella center , empire state building , times square ! right smack bang middle . we give voucher resturant use morning . 's lovely buffet morning lot fresh fruit , pancake , waffel , french toast , omlete , cereal . weekend , breakfast free ! staff also friendly . if not want eat 's food shop around corner big deli type bar load fruit , hot food , pasta , salad . there be concierge reception also , helpful . all brilliant stay would def go back ! 
 May 1 2008 	 Kimberly 29/4/08 	 return NY definately go back will not stay kimberly . nothing wrong staff room room ( 5J ) view next nightclub . spend lot money taxi 's back forth Meat Packing District Greenwich Village . 7/10 . 
 Apr 12 2008 	 great room location lack friendliness 	 arrive hotel much delay flight greet friendly doorman say reception greeting . reception area small reception staff quite unfriendly . the one bedroom suite large , clean comfy bed . refurbishment work go hotel aware booking . whilst major disturbance workman use lift number occasion resort resort stair . give money voucher use restaurant use think well dining experience elsewhere . location great give good size suite room facility would consider stay . hope next time reception staff bite friendly - New York ! 
 Apr 12 2008 	 Fantastic ! 	 husband spend weekend Kimberly 10th year anniversary . first time either us New York City . hotel great ! suite provide plenty space within easy access great site Rockefellar Center Times Square . kitchen market within walk distance snack drink . staff friendly helpful . absolute good feature bed . wow ! mattresse comfortable ! nice come relax spend day .... night town . would definitely recommend place couple familile . 
 Apr 10 2008 	 great location homey place 	 Kimberly Hotel great midtown location lot hotel place eat , humble elegant . agree past reviewer , lobby small pretty , antique , room bit tired . midst rehabbing , bet new room spiffy suite 4th floor . comfortable , clean full kitchen treat . tired full day , happy take - out eat & quot ; home & quot ; .The bed really nice remind Switzerland . duvet cover fine linen , tuck . street noise loud , NYC expect . staff congenial . would stay . 
 Mar 31 2008 	 get one chance first impression 	 ' almost tear tell experience hotel initial problem absolutely fantastic stay . arrive tired flight London , really disappoint discover instead one bedroom apartment two double bed ' book , one bed room . real issue , think quick trip back reception would sort problem . honestly say hotel stay , lady reception rude unhelpful ' ever come across . say hotel full ' move we , fault . quite really ' know want crash couple hour attitude horrific . bark away find read thank letter wall Jimmy Carter , say great stay ' courteous staff . clearly chick ' work day … anyway , ask manager turn 10 minute later say ' put rollaway bed room , three we would share bed . luckily ' tallest girl world , must say bed huge ! fact move 3e 29 g next day ( boy ' high ! ) nice bottle wine wait us apology letter manager . later learn behaviour one individual standard rest hotel staff ; lovely capital L. ok , good bit . girlie holiday ( age 22 - 28 ) mission celebrate St Patrick ' Day go shop . second room excellent well equip kitchenette , dish washer , iron board , drink , snack , bath robe wow view ! problem sink block one day rang Hotel Maintenance , arrive five minute fix . ' say , staff attentive ( apart one awful receptionist ) doorman Harry deserve mention . ' real star take complete care we . small gripe speed elevator . ' high floor , prepared wait stop floor way down . the location Kimberly superb , 10 minute walk shop 5th Avenue , plenty restaurant nearby ( like Houston ' 3rd ) . also spend way much time Pig & amp ; Whistle , also 3rd ( go say hi Pete Liam ) pj clarke across street , interesting oyster bar middle pub . area residential feel never feel unsafe , even walk alone night . , fantastic hotel ' recommend highly enough . lucky enough hotel pay we , would imagine ' worth every single penny . watch one miserable check clerk ! 
 Mar 13 2008 	 good value nice hotel 	 stay several time . time stay Diplomat 2bdr suite . bed comfortable , room nice comfortable furnishing . flat screen lcd tv 's bdr regular tv living area . terrace / balcony sit , go check weather . hotel little old . heater room issue , staff respond immediately fix problem , even first night get 2130 . come right away . the staff nice . buffet breakfast pretty good coupon give we , bargin $ 6 per person + tip , way , tip maid $ 5 day , people ? location great . Lex Ave subway 50th . 
 Mar 5 2008 	 wonderful ! 	 daughter currently contemplate college . misguided attempt dissuade go far away scary ( mom ) New York , take long weekend Big Apple . Kimberly Hotel great location , staff could helpful room large enough accommodate crabby teenager mother without fuss . highly recommend hotel anyone wish avoid giant impersonal hotel , amenity none hassle . Awesome experience ! 
 Feb 11 2008 	 make sure get refurbed room ! 	 stay Kimberly November 2006 , family get together Thanksgiving . choose hotel location apparent quality room , show website . when arrive strike location , excellent , rear Waldorf , short stroll Park Avenue . public area promise , do quite stylish manner , glitzy . our room big disappointment . book suite give we bedroom wife bed - sofa two child . room small balcony , though view not fabulous . main problem room look tired indeed , loose fitting bathroom kitchen area general heel feel . phone reception ask deal room like one book , tell room rennovate , one not . ask see another available room , tell one could accomodate we , identical one already , two floor high building . grudgingly accept room give . spending time room allow we see poor really . bad thing room whatever , seem generate enormous amount static electricity , whenever touch anything , shock ensue . gave kiss th child , time leave sting lip ! one evening get bed ready lounge area , unroll blanket dark , late want get bed . let blanket open , could see show small spark ! fortunately wonderful city NYC , spend great deal time room . however , well , well poor . I would rate public area hotel strong 3 - star , room weak 2 - Star , similar cheap hotel room France example . the hotel 's restaurant dark uninvite area main lobby . eat one eveine good meal indeed . also try lunch day departure , find good . in summary , make sure not get put stable , gret time Kimberley . can not help feel let though , wife careful check room book , disappointed arrival plain unacceptable . 
 Jan 30 2008 	 wow ... 	 book 10 day 30th birthday treat New York , want something special expensive . hotel catch eye immediately seduce traveller photo tripadvisor . however , although cheap seem offering , little expensive hotel exact area , money would justify really special look ( tripadvisor review vouch great amount space , travellee alone , charm fantasy much important ) . decide much expensive gamble go safe cheap bet well know chain hotel area , rave review . upon arrive New York , even though satisfied hotel , curious see ' the Kimberly ' ( also since have fall love New York , want check future trip ! ) staff without exception immediately welcome , show around several different type room ! lady show around obviously proud hotel work ( be always good sign ! ) . post review tripadvisor think hotel ' too good true ' see pics hotel website , like , opt safe option never discover beauty rare place . room even beautiful , spacious , luxurious look website . gorgeous fluffy bed luxrious carpet foot sink enter room . calm sunny . think appartment hotel would full noisy kid , actually ' couple ' feel ' family ' feel . would certainly spoil feel place noisy kid run around , not seem design kid mind . word advice - mixture date renovated room . personally , prefer date one ( be well keep , prefer charm character ) , know people would hate decor , not forget request modern renovated room 's case ( look one , pic hotel website ) . say , not stay . fall love hotel soon see , think maybe someone read review , look something really unique special trip New York , think like , look good true ... go safe option , lucky choice hotel , not regret , think place deserve special mention , since really special place wonderful location . hopefully , someday soon , will back , able write another review ... 
 Jan 22 2008 	 Awesome 	 outstanding hotel . location excellent staff good world . friendly take time get know we . 2 bedroom 2 bath suite spacious apartment live . staff sooo helpful recommend restaurant we delicious . would definately recommend hotel everyone stay ! 
 Jan 2 2008 	 kimberly : Best keep secret NYC 	 second time ' ve stay little can not imagine ever stay anyplace else . quiet , conveniently locate major attraction , away commotion large hotel attract . suite not designer furnishing , everything spotless . staff attentive , without & quot ; attitude & quot ; . 
 Dec 30 2007 	 Great Hotel Alternative NYC 	 really like Kimberly . great location mid - town right street Rock . friendly staff . excellent value : 1 bdrm suite really comfortable king bed , queen pull - out sofabe , balcony , kitchenette . Perfect family kid . go . 
 Dec 30 2007 	 great suite - location - concierge - balcony ! ! good hotel . 	 stay Kimberly Suite 8 4 night weekend Christmas . 3 generation & quot ; girl & quot ; trip include ( 30 something mom ) , 10 year old daughter , 60ish mother . arrive Octavio , great concierge , extremelely helpful planning & amp ; arrange transportation . duplex suite perfect we . duplexes & quot ; Kimberly Townhouses & quot ; elevator 8 floor not experience delay . upon enter bottom floor bedroom room king bed , dining table , fridge , large flat screen tv , closet safe ( nicely do - customize w / lot shelf ) , spiral staircase , bathroom , 3 window , & amp ; patio door . downstair patio especially great cool weather protect wind 2 half 2 full wall . umbrella table w/2 chair . stair enclose landing microwave & amp ; coffee maker . entrance upstairs bath bedroom doorway privacy good stair . upstairs bathroom identical downstairs - mostly marble , good tub ( actually bathe ! ) , great robe , & amp ; floor heater . upstairs bedroom fantastic ! king bed , sofa , flat screen , great closet , large desk area w / fax , & amp ; 2 door amazing balcony . open great view 50th St. E . & amp ; umbrella table w/2 chair - lot room downstairs . downside Kimberly ..... problem water pressure ( water go hot cold intermittently ) , problem upstairs get hot middle night ( winter although heater turn ) , room service food not consistent - one night amazing pizza 2 night later horrible . good thing besides room detail .... location block Waldorf think get well value . octavio arrange car service airport we good ( around $ 110 LGA ) private tour city along restaurant reservation & amp ; vip pass . not affect hotel construction noise , street noise . restaurant , Ferro 's construction . treat daughter great 1st time NYC - Wicked , Xanadu ( highly recommend stage Seating - it amazing ! ) , American Girl Place , Tavern Green , Met . Museum Art , Radio City , Top Rock , Sardi 's , Mars 2112 ( amazing experience esp . kid - not great food though ) , & amp ; View Restaurant @ Marriott Marquis . happy come back Kimberly night ! 
 Dec 26 2007 	 Great Service Location 	 stay Dec. 20 23 . glad say elevator work . never issue . location great staff helpful except last morning could get anyone answer phone send bellman luggage . room 5c could use update . chair backs table break seem dated . girl excite entered lobby disappointed saw room . bed however one comfortable ever sleep . would definitely stay extra room , location friendly staff . 
 Dec 21 2007 	 love hotel 	 long weekend New York celebrate son 18th birthday . pick 2 bed suite kimberly cheap booking 2 twin room . room size excellent plenty room move . bed comfortable , bathroom small functional . I think other say place could re - fit . guess true , certainly not detract charm place . the massive lcd tellie little incongruous could argue money spend would well spend new curtain , , think would harsh . simple fact comfortable , friendly hotel , great location reasonable price . want ? 
 Dec 19 2007 	 Great Value Prime Location Mid - Manhattan 	 second visit Kimberly , all - suite hotel . bring child two bedroom suite , great view . location wonderful price reasonable consider location . obviously , Waldorf ( one block away ) 's great family want kitchen lot room . 
 Nov 27 2007 	 Great Rooms Good Location Pricey 	 nice 1 bedroom suite great location near shopping subway . staff friendly . business junket , not pick tab . think around $ 400 / night . could never afford stay , fun one time . 
 Nov 23 2007 	 Great Location Comfortable Hotel 	 3 lady stay Kimberly 4 night sight - see shopping trip . share one bed suite huge bed bedroom pull bed sit room . suite also kitchen facility although gas supply disconnect security reason , want make tea , coffee toast not care . feel extremely comfortable . bar hotel not worry we restaurant not use like try restaurant different area city night . however next door great little diner breakfast brunch , snack ! staff excellent , obliging , nothing much trouble . room clean daily fresh sheet towel , bathroom adequate rather large make bedroom & amp ; sit room . the location brilliant , short walk St Patricks Cathedral , Rockerfella Centre Fith Ave . ( nothing else New York go Top Rock ) ! ! prepare travel decent , reasonably price restaurant mainly expense account dining area quite pricey , great fun try different place eat mixed fortune that s part & amp ; parcel . not use subway taxi problem feel good value . watch 5 - 6pm change shift hard find . would definately recommend Kimberly want comfortable hotel frill centre action ! 
 Nov 15 2007 	 delightful stay ! 	 husband spend three night Kimberly Hotel wonderful . room living area bedroom plenty room stretch unlike hotel room stay New York . clean lots closet drawer space . two tv set solve every problematic fight remote control ! comfortable bed every try enough fluffy pillow feel like queen . impressed , however , service . superb . always address name enter leave hotel moment check . good , two week leave , discover leave two shopping bag clothe purchase Bloomingdales one closet . call hotel mail we next day one thing miss . problem one elevator work get quite slow service comfort Kimberly hotel make glitch . 
 Oct 28 2007 	 fantastic hotel 	 back stay NYC stay hotel six fantastic night . one good thing staff , friendly special memtion Harry door man true gent always happy helpfull . the hotel great location Smith Wolenskys around corner Mint resturant right across street , fantastic eat place . four we stay hotel , husband 17 year old daughter 14 year old son , one bed suit , thing request two pull bed living room sofa bed uncormftable , however certainly problem plenly room . bed bedroom cormfortable . I would throughly recommend hotel go back NYC def stay . 's location fantastic safe night , room clean perfection . 
 Oct 28 2007 	 Excellent hotel - would return . 	 stay 5 night happy overall . hitch friend get stick elevator scary , take lightly hotel . the elevator seem old seem break frequently . believe replace . other pleased hotel . 's great location . Laura 
 Oct 19 2007 	 Favorite NYC 	 ' ve stay Kimberly couple dozen time last 15 year . 's first choice hotel NYC stay whenever . price 5 star hotel room get full suite comfortable bed lovely living room , like apartment . ( actually build apartment building . ) staff excellent ( include Kevin , doorman ) since started stay early 1990 . the drawback : elevator slow , 's bit tough catch cab front hotel ( usuall walk two door third ave ) get bit pricey high season . but be luxurious , update , clean comfortable , perfect location . 
 Oct 8 2007 	 love location 	 hotel exactly look . 2 teenaged daughter , need two bedroom w/ 2 bath . bonus living area small kitchen use snack breakfast . price well gettte two hotel room similar property . subway 1.5 block away covenient everything NYC offer . 29th floor view Chrysler building - hear traffic noise high . staff ( especially bellman ) friendly helpful . the negative agree review room bath need refurbish . thing update thus far flat screen tv 's . fancy hotel , suit need space requirement . 
 Oct 8 2007 	 great hotel ...... 	 recently book two suite long weekend . room update , bed comfortable , large , bathroom average . one suite air conditioning either a / c unit two night . suite lose a / c unit bedroom one night . everything else look nice , a / c unit look ( sound ) old unreliable . staff accommodate . 
 Oct 5 2007 	 patchy experience 	 location convenient , staff helpful courteous hotel definitely need upgrading . room 18th floor large would great except feel not maintain refurbish year . also not feel clean well . bathroom especially need work . modern air conditioner let sleep would not go amiss . 
 Sep 17 2007 	 Awesome bed ! 	 look central , comfortable hotel midtown ? ' much well kimberly . room large average , staff accommodate , bed awesome ! huge comfortable . little noisy night traffic , even though 8th floor NY ' ? ' eat place surround great restaurant cafe ' go hungry . 5 min main shopping area 10 min walk Bloomingdales . will definitely stay ! 
 Sep 6 2007 	 home away home 	 Loved hotel ! apt . suite could hope . make many trip N.Y. city stay quite 4 star hotel . far good . every day return suite feel like come home apt . instead plain hotel room . livingroom combo kitchen big enough small party . bedroom big 4 star hotel enough room feel cramp . room window take entire wall . great open feeling . balcony die . really nice able morning coffee sit balcony look sky . maid service excellent . clean . resturant good italian food ever New york . find home away home . 
 Aug 24 2007 	 room nice elevator performance bad 	 Suite nice bed extremely comfortable . good location within walk distance Rockefeller Center , Times Square , central park etc . nice dinner Fretto 's next door good buffet breakfast . doorman pleasant helpful concierge . only 2 complaint . room noisy air conditioning unit roof we . bad situation lift . typically one work use 29 floor room . last day wait 30 minute lift stop floor take case etc check . major rehaul lift sorely need 
 Aug 4 2007 	 Wonderful Hotel 	 refer Kimberley Hotel good fiend say location great kitchen nice addition snack , drink anything else could want stay hotel . right . location awesome . almost everything need within walking distance . pick fresh produce grocery item 2 block away , liquor store across street . bar , restaurant , shop , everything imagine nearby . but good part stay bed ! never sleep comfortable bed life ! two bedroom suite one king bed one queen heaven sleep in . the staff friendly helpful . would highly recommend hotel . 
 Jul 6 2007 	 great Hotel lovely staff 	 family 5 , 2 adult 3 child . choose Kimberly read reaviews trip advisor . hotel great . suite 1 bedroom . room spotless , conciege staff fab especially ralph kid love . find New York whelm busy . hotel great location . 
 Jul 5 2007 	 great stay Kimberly 	 one nice hotel ' ve stay . staff accomodate attentive . room lovely , bed wonderful . town daughter 's wedding book several room . upon last check - in slight miscommunication , however immediately take care . location convenient , yet quiet . absolutely return Kimberly . 
 Jun 25 2007 	 Small Lovely Hotel 	 sister stay Kimberly one night . lovely . bed room ultra comfortable . room equip w/ safe even room alarm , feel safe . staff professional nice , especially doorman . all , satisfied Kimberly would stay . ( way , Jimmy Carter continue stay Kimberly go NYC . post front desk frame letter write Carter laud hotel ) . 
 Jun 23 2007 	 wonderful hotel safe walk time 	 stay 20 anniversary find location fantastic . love walk locate less 20 minute walk Time Square , Central Park Grand Central Station around corner Rockerfeller Center lot shopppe . matter time day walk always feel safe compare area Manhattan . door man every hotel area well alot extra security due diplomat staying area . room 6I large dressing area bathroom plus sit area 2 queen size bed . bed nice nice cozy feather comforter . umberlla room nice touch bad not take one us one walk . concierge knowledgable helpful Rolph doorman great recomende little pub get taxi limo . 
 Jun 1 2007 	 Good Boutique Hotel 	 recently return 4 night stay Kimberly . short hotel slightly date need refurbishment . however detract staying . reception staff efficient hotel come doormen concierge . absolutely fantastic . lucky work travel industry get see many country stay beautiful hotel say guy door courteous concierge knowledgable pleasure greet come back hotel busy day . suite clean tidy state little date . area complaint bad attitude one bar staff restaurant one young girl particular . really let hotel poor customer service . keep rest Kimberly staff ! excellent location area close subway . walk hotel block find excellent restaurant italian , Seafood French reasonably price . 
 May 15 2007 	 would recommend Kimberly Hotel 	 great 3 night stay Kimberly Hotel May 2006 book 4 night stay October 2006 time request luxury suite 4 night - staff outstanding unfortunately luxury suite meet standard anticipating . stay suite 23 g . bathroom much small one past stay , plug Jacuzzi tub work , one main reason get luxury suite . faucet mini bar come hand sink unusable , problem safe , drape living room would close leave open 8 foot , problem wall mount tv . return home write letter manager whose name give front desk receive response Kimberly Hotel . would stay woudl recommend hotel anyone . why wait long place - find Trip advisor - stay Benjamin Hotel end May time book two suite , one friend . 
 Apr 15 2007 	 really Good Location Wonderful service 	 first visit NYC husband kimberly look location , ambiance service . want huge hotel impersonal . size room fantastic , especially read much small size room NYC . full kitchen terriffic breakfast sometimes dinner . feel apartment midtown large living room separate bedroom . gas cook stove turn entire building due & quot ; safety concern & quot ; really not necessary enjoyment . the hotel obviously old little date fashion - wise well maintain clean . service reservation front desk bell staff doorman could well . friendlyness kind recommendation consistant helpful . the location great walk many place well near subway . we love walk two block 2nd street 50th & amp ; 51st Ave great reasonably price resturant well good market . Jamison provide simple good meal clean cozy ambiance one nite . two evening eat Pasta Presto & amp ; Grill really good meal incredably well price . could believe people would wait hour overprice mediocure food chain could get city America instead walk block wonderful little neighborhood really special meal , great ambiance reasonable price . recommend hotel highly friend family look forward go . 
 Apr 3 2007 	 really great Hotel 	 go girl week October 2006 please 2 bedroom , 2 bath suite $ 635 per night . five we stay feel cramp way . nice refrigerator microwave light breakfast set day late evening dessert . small complaint 1 ) sofa bed uncomfortable 2 ) stove work . however , hotel quick offer 30 % discount restaurant locate dowstair bring roll - away replace sofa bed . hotel locate near subway entrance within walk distance many sight . room quiet , clean furnish nicely . would recommend highly . 
 Mar 2 2007 	 large room heart midtown 	 although ' m fan midtown , much prefer stay downtown , travel teenage son , need two bed , plenty room , privacy other . downtown hotel extremely expensive , gear toward couple ( mom & amp ; son variety ! ) . force look midtown choose Kimberly wide variety room , decent price . I book directly hotel December February 17 - 19 , repeat requirement , include date , call back confirm , say show January 17 - 19 . outraged , pretty much first thing reservation clerk get right date . price go considerably since originally book , honor original price one - bedroom suite . screw , make . can not fault there . Valet parking swift seamless , way like . midtown particularly busy , particularly important . arrive early ( 10:00 a.m. ) suite already available we . another plus . I open door , first thing notice Absence Cigarette Smoke . another plus . many hotel say room smoking , consider smoking not smoke . suite fresh smelling , clean , huge . large kitchen , fully stock cookware could ever need , large livingroom pull - out queen sofa bed ( son say bit uncomfortable , teenager , not mind rough ) , master bedroom huge nicely appoint . linen high quality , matress comfortable , load pillow , comforter high quality . quite nice . bathroom small , stay many NYC hotel , ' ve become use . shower pressure okay , nothing great , real complaint . unfortunately , although suite smoking , Floor smoking , hallway reeked cigarette . anybody smoke hallway -- - not . people suit across mine smoker , fume creep hallway . wait elevator , outside Mr. & amp ; Mrs. Tobacco 's suite , brutal . hey Kimberly Hotel -- - take hint neighbor Benjamin : make entire hotel smoking . beyond , glorious stay . activity downtown , either walk take bus , bus stop frequently Lexington Ave . ( downtown bind ) Third Ave . ( uptown bind ) , many stop along way . People behind lobby desk bit aloof , get job do . bellhop attendant open door help Fantastic . extremely well - mannere cheery , without intrusive . if Kimberly downtown , would definitely stay . be look midtown hotel large , clean room , competitively price , comfortable accommodation , would recommend . 
 Feb 9 2007 	 great Room Great Location Great Value 	 stay Kimberly business early week . first time please aspect stay . check - in fast efficient . room good size although could tell hotel bit old side thing , room clean , large . furnishing good good quality , room quiet ( 15th floor ) . king - sized bed comfortable plenty light complement large window living room bedroom area . true , room flat - screen television , tv work fine , NYC , watch tv avoid . reviewer may whine fact , tv still work fine , waste resource new one trendy ? ( want trendy , stay somewhere else ) . breakfast restaurant ok , nothing special bad either ... good value include room rate stay . staff friendly efficient . location half block away subway . value - for - money perspective , one good deal New York . spend twice much room half size location , probably noiser . handful room floor , bedroom offset main hallway , next noise interior building night disturb slumber . overall , would give place big endorsement stay . 
 Feb 5 2007 	 disappointing stay kimberly 	 choose stay Kimberly excellent review . unfortunately , horribly disappointed . Hotel Manager nice , Assistant Hotel Manager / Concierge argumentative rude . additionally , gentleman front desk technically work check we , helpful question act like 'd rather anywhere else work front desk . the linen towel room beautiful top - class . unfortunately , room quite shabby run - down . obvious property convert apartment build one bother renovate room ( 4th floor ) . quite nice suite , , , furniture old wear , tvs definitely old ( compare state - of - the - art tv ' ve experience hotel ) , room look terribly old run - down . huge disappointment anticipate read reader ' review . at front desk , display letter Jimmy Carter . ' m sure much nice room . 
 Jan 5 2007 	 Excellent stay ' the Kimberley ' 	 wife stay Kimberley Hotel six day Christmas period . the Hotel meet expectation : although foyer small side staff polite efficient . our room large contain numerous storage cupbord , large wardrobe , two tv 's , bed wider long ( & amp ; comfortable ) , lounge area three peice suite coffee table , Kitchen aea neccesary appliance , balcony . the minor disapointment bath small , huge shower tray shower really powerful . finally more breakfast something look forward . basically buffet every style breakfast food available include designate egg man . fantastic pleasure tipping service . 
 Dec 28 2006 	 Family still rave Kimberly Hotel 	 trip New York 2 daughter 's ( age 6 8 ) & quot ; birthday extravaganza & quot ; weekend . travel NYC December 2 3rd american Girl , Rockefeller Center , Radio City Music Hall , Central Park activity blast . kimberly perfect family 4 friend travel we 3 kid . hotel clean nicely appoint . location fabulous staff , amazing . Harry , doorman , kind child , speak , play make feel like really welcome hotel . definitely go back stay Kimberly . 
 Dec 23 2006 	 lovely stay 	 stay 3 night form oct 19th , find hotel staff excellent , wedding anniversary 20th bottle wine room return afternoon lovely touch , 17th floor face street , although noisey 24/7 overly expect NYC , location great , walker use subway , everything within distance , book hotel website well advance able get suite site could offer room price worth check booking , great place stay certainly stay town . 
 Dec 13 2006 	 Splendid ! ! ! ! ! ! ! ! 	 hotel Great ! brilliant location close three subway line helpful want visit attraction . staff friendly helpful especially Raulph doorman give we lot resteraunt recommendation . thee room clean comfortable addedextras e.g . robe , free internet access etc great . the room large NYC standard never feel bed like one Kimberley - Think goose / duck lot ! ! fabulous ! capacity afford Kimberley location ( 10mins walk rockerfeller central park ) great hotel atmosphere especially Christmas well worth . picture follow ! 
 Dec 5 2006 	 fantastic Stay Kimberly 	 return holiday weekend New York . stay Kimberly Hotel fantastic . location fit need well . locate right around corner Waldorf . walk Rockafeller Center , St. Patrick 's , American Girl Place ( two young girl ... must ) , famed store - front window Broadway / Times Square . $ 10 cab ride Macy 's . one - bedroom suite 28th floor perfect ( ask high floor ) . room clean linen remarkable ! bed extremely comfortable perfect long day walk around Manhattan . view balcony incredible . take Breakfast Buffet hotel restaurant Sunday morning . make - to - order omelet great several selection fruit , meat more . the Bellman , Concierge , Valet , Front Desk people polite helpful ... without exception . treat we , well . the perfect place stay visit Manhattan family ! 
 Nov 23 2006 	 lovely hotel great location 	 stay one bedroomed suite 4 night room date clean . Doormen helpful , deli close breakfast .Did not find new york lunchonette great . bed comfortable sofa bed ok 
 Nov 23 2006 	 great space 5 adult Kimberly 	 comfortable suite good rate 5 adult . convenient location shop / transport etc . staff friendly . room clean great view 30th . minor wear tear room nothing significant . 
 Nov 6 2006 	 love kimberly 	 stay Kimberly weekend NYC Marathon . location convenient- corner Lexington E.50th , one block subway stop . room immaculate bed wonderfully comfortable . staff friendly anxious please . definitely stay Kimberly future trip NY . 
 Oct 26 2006 	 great location large room decent price 	 per recommendation one colleague , stay recent business trip . NYC standard , room bathroom large . clean little worn around edge -- small chip furniture , stain grout tub , etc . however , everything need : two comfortable luxuriously dress bed , iron / ironing board , hairdryer , bathrobe , small fridge , good sized closet , lobby , staff member polite eager please . staff quickly get cab need , Lexington/51st Street subway stop literally around corner . pay $ 255 night , although be cheap mean , competitive price NYC right . give convenient midtown lcoation -- Rockefeller Center couple block away -- kimberly perfect trip . 
 Oct 23 2006 	 okay place great location 	 book trip 6 month ago get good price $ 255 / nite comparable place $ 300 time book . think 's worth money pay , nothing . front desk staff nice terribly knowledgable seasoned . check late ( 11 pm ) give room 2 double bed instead queen / king have request . ( anniversary ) . say never & quot ; guarantee & quot ; request , say would check morning . sure enough , move we next day ( repack ! ! ) room front build w/ king bed . double pan window reduce street noise fine ( be use little urban noise ) . size decent NYC hotel room ; bed linen really nice , 2 dresser small closet . bathroom okay , counterspace place put toiletry . ( first room actually lot counterspace separate dressing room counter . ) overall , place need spruce - chip surface , dusty fixture ( include coffeemaker ! ) , show age . 3 hotel block , time , competitve price . look nicer . restaurant next hotel look okay ( & quot ; food snob ) ; bar fun , impromptu opera jazz singer take mike . good bagel world around corner Third Ave . great location Midtown East , easy get up- downtown walking . subway stop close get anywhere . bad experience price location . 
 Oct 18 2006 	 Excellent Choice Familes 	 family four return lovely 4 - night stay Kimberly . one - bedroom suite spacious well appoint , although son prefer sleep sofa rather sofa bed . bed linen , robe towel high quality . kitchen godsend travel child expensive city . low floor back , mean street noise ( welcome change last stay different NYC hotel ) , proximity air - conditioning unit mean could not use balcony . plenty closet space . bell staff doorman could well . location - fairly quiet hotel - laden street - excellent well . we enjoy stay would hestitate return minute . moreover , consider price even modest hotel room NYC & quot ; peak & quot ; month October , think receive excellent value money/ 
 Oct 14 2006 	 Cozy Little Place 	 Kimberly wonderful . full yet never hear noise hallway . bed extremely comfortable ; rarely sleep well visit . staff professional . air handler little noisy everything else great . even Neutrogena product room ; nice ! 
 oct 9 2006 	 PERFECT hotel family vacation 	 husband take 14 16 - year old daughter NYC 10 day , CA not RECOMMEND HOTEL HIGHLY ENOUGH ! use travel NYC business every week , find spacious hotel room price challenge . really want girl see New York , dread sharing cramp space stuff ... thought would climb 30 pair shoe . stay Executive one Bedroom Suite Kimberly $ 420 / night , huge ... king bedroom nice masterbath , second 1/2 bath ( godsend ! ) , large living room / dining room combination pull - out sofa bed ( queen size , think ) , fully - equip kitchen ( nice way save little money expensive city ! ) , dining room seat 6 , balcony view Chrysler building , 5 closet . compare accomodation 4 Times Square -- even apartment rental -- will see incredible deal . ( Book early ... think one second half bath ) . also luxury suite upgrade bathroom , nice perfect family . great location mid - town get anywhere want go easily . highly recommend hotel , especially family teenager ( btw : not think possible , spend 10 day vacation daughter never hear & quot ; ' m BORED & quot ; ! .... worth every penny ! ) 
 Sep 17 2006 	 good great option need suite . 	 stay Kimberly Sept 11 - 15 . stay Waldorf previously need two bedroom suite kitchenette fit bill . location superb ; easily within walk distance midtown adventure would want . staff : accommodate , especially doorman . although arrival , check person ( blonde ) keep we wait finish personal call . departure doorman tough time get taxi walk street Lexington ( rain ) flag one go south get way . room service generally good ; however , call twice one request . facility : know advance converted apartment house . thus lobby small congestion around elevator ( run ) unusual . elevator old unreliable post . one two service entire stay . one remain elevator challenge support client hotel staff need . first day , every time leave room start make bet : 1 ) long would take get one floor ( 24th ) , 2 ) many time would stop way . hotel management try make amend inconvenience offer free breakfast Ferro ' restaurant client . bedroom nicely size linen superior . bathroom nicely appoint ; however small . blow - dryer must use stand up….my wife appreciate feature . two room suite need really good cleaning paint job ( breakfast bar touch paint ' match ) . screen upholstery condition leave something desire . discover one sofa pillow appear vomit one corner part one sofa cushion … .. ' fresh . nice balcony great open view . face Chrysler building fun watch light disappear lower fog . kitchenette offer necessary item ( include corkscrew ) make quick trip Food Emporium 52nd 2nd Beekman Liquors store 500 Lexington stock . note Beekman carry high end wine liquor commensurate price . deal . doorman later suggest Diplomat Liquors second , also two block away . refrigerator / freezer two ice tray take every opportunity keep fill ( check whether freezer set full cold otherwise ' take ice form ) . ice machine available except one basement accessible room service . would go back ? probably couple . another couple travel want suite option ' consider . 
