still 	 second time one night stay : think excellent value London like location . walk king Cross Euston get number 73 bus . local Goodge Street tube handy northern Line take embankment heart city . Goodge Street also many eat place choose inevitable Tescos mini supermarket . free wifi appreciate , pay small fortune previous hotel one hour ! room small comfy get need , use space great , attention detail evident . yes , road noise , problem winter window close . think could summer though window remain open . also find staff welcome friendly think inclusive breakkfast brilliant value ( day another London hotel want £ 23 cooked breakfast ! ) link John Everett Millais intrigue business visual art . 
 excellent all - round would definitely stay ! 	 hotel perfect , great location - minute ' walk road near Tube station handy travel Euston Railway Station . staff friendly helpful room well - appoint comfortable nice rear outlook . Breakfast also include price great all - round value money . would definitely stay next London trip . 
 Nov 4 2008 	 Cosy Place 	 get back last Friday London ten day stay Arosfa Hotel . first experience B & amp ; b totally positve experience . purpose visit two - fold : visit daughter spending fall semester study abroad London , take sight sound London unable detail previous three day visit several year ago . well stay Arosfa enable plenty comfort safety . full english breakfast come handy keep go way late afternoon evening . room adequate purpose : stay room twin bed provide bed daughter whenever choose stay instead dorm room . bed make everyday room leave meticulously clean . cleaner would also leave room packet tea , coffee , sugar , cookie , avail long day sightseeing . would always come handy . staff general excellent pleasant quality . would certainly return B & amp ; B ever return London . 
 Nov 1 2008 	 Great Place Great Hosts 	 love hotel . staff pleasant helpful breakfast delicious . stay area close son go school London . hotel block incredible subway system London location issue . room clean , hotel well maintain tastefully decorate . bathroom extemely small , barely turn around issue . would recommend hotel anyone . 
 Oct 19 2008 	 Great Hotel 	 friend return spending week Arosfa Hotel , can not say enough . location wonderful , block Goodge Street underground station ( Northern Line ) , heart Bloomsbury . staff helpful friendly . hotel ' lift , however , staff bring bag room we . room small ( twin ) , world ' small bathroom , ' phase we least . ' London stay hotel , bathroom small , contain functional shower water hot enough enjoy shower . offer full english breakfast morning , honest , food could eat . full breakfast include 2 egg , bacon , sausage , tomato , bean , toast , yogurt , cereal , fresh fruit , juice coffee tea . hotel offer wi - fi , also computer guest use desire . access internet wonderful plus . good , hotel immaculately clean . concern room front hotel ( Room 12 ) , noise street definitely noticeable ( window open since weather perfect ) . overall , ' say enough Arosfa . 
 Sep 22 2008 	 Great Value Money ! 	 stay four night September . hotel incredible value money . staff friendly , facility clean , location could not well breakfast good . double room en - suite small use place base sightseeing not spend huge amount time anyway never uncomfortable . front hotel traffic noisy never ruin good night 's sleep ! would not recommend hotel people like stay luxurious place , be clean , friendly situated really fantastic location . would definitely stay , question . 
 Aug 27 2008 	 good value London 	 agree mostly reviewsgood location , room clean , quiet room face backyard , standard breakfast . we however small room tiny bathroom , suitable big person , dificult however find big , clean room good location price London . Staff could friendly . 
 Aug 8 2008 	 marvellous little hotel 	 compact , clean reasonably price hotel great part London . close proximity numerous historic site museum well far Brunswick Centre close Russell Square tube . staff friendly , good local knowledge . choice breakfast include wide range cereal , juice fruit well option ' full English ' . can not speak highly enough stay . 
 Aug 7 2008 	 Mmm ... 	 think good thing list positive negative ! positive - clean ; good location ; pleasant decor ; adequate breakfast ( cook English , yogurt , juice , cereal , fruit ) . negative - male staff friendly ( especially breakfast ! ) ; twin room incredibly small ( pack light ! ) ; en - suite minute ( anyone tall large build would struggle shower ) ; uncomfortably warm ( noisy window open ) .All can not really fault place price , can not rave either . serve purpose ! would not hurry go back stay twin room ( although double single may cramp ) . 
 Jul 21 2008 	 average 	 staff fine hotel average opinion . room ( # 15 ) top tire lift luggage + breakfast exceptionnal 
 Jul 6 2008 	 keep get well 	 last stay Arosfa December 2007 own hospitable couple run excellently . always clean , always tidy , good service . £ 60 central London location , free wi - fi etc , could not beaten . however since take young couple run well , slowly modern style . example room flat screen tv , , lounge pretty funky . I look forward go back another 6 month see transformation complete . I think quite b & amp ; Bs like London ( well run , cheap clean ) reason keep go back Arosfa unlike many online booking facility not re wait reply email . 
 Jul 3 2008 	 well cheap hotel London 	 try Arosfa base good review . one - night business trip Arosfa ingredient : be close Euston Station walk distance many Camden surround ' amenity include two meeting venue Birkbeck College London . cheap . recently take nice couple decorate beautifully . everything would want- cook continental breakfast , tea & amp ; coffee room ( hot chocolate sachet- yum ! ) , toiletry bathroom , decent hairdryer , moveable flatscreen tv FreeView digital channel , comfy bed , fan room hot weather , free wifi room , free internet lovely lounge downstairs , nice garden back , double - glaze window help reduce London traffic noise , friendly staff . tiny downside : en suite tiny pod shower virtually top toilet big person might find bit cramped- work fine clean . 's Gower Street , road - face room traffic noise ( although double glazing help ) . oh , wifi set allow SMTP email , always slight irritant bit risk - averse opinion . room tiny ( often London ) - twin room like single room extra bed squeeze in- ' ve stay small cozy- not mind one bit . 
 Jun 23 2008 	 good location great service 	 one night London way Dublin want stay Soho / Bloomsbury area love Museums bar part London . pick Arosfa base past review complete agreement reviewer . location great : close multiple tube station , close British Museum , close Soho , close Oxford Street . price definitely right . en suite room , nice tv bed , $ 12o Canadian include full english breakfast morning . finally , service great . woman work desk super friendly . make Arosfa new hotel London . 
 Jun 21 2008 	 Clean Safe Hotel 	 recently stay Arosfa , perfect hotel . female travel alone must clean safe place stay . room small , bathroom even small , comfortable clean . room 17 top floor face garden . sleep window open , nice quiet . although room small , everything need . nice tv , desk , closet , nice mirror shelf underneath makeup morning , nice toiletry bathroom . also coffee / tea maker . the breakfast delicious . typical English breakfast toast , egg , tomato , bean , meat . could also get cereal , roll , etc . want . the location excellent , right middle everything . neighborhood also feel safe . also , computer lobby guest use free , really appreciate . the important thing would stay . great value . highly recommend , especially single traveler . 
 Jun 12 2008 	 imaculate friendly affordable 	 upon arrival greet owner lovely wife . make sure check quickly settle we & quot ; & quot ; room . coffee tea offer . the hotel squeaky clean , bed comfortable room super quiet . the Goodge underground station within two block hotel Euston Rail Station 3 blk away . British Museum short walk away Oxford Street . several coffee / sandwich shop close several good cafe . I stay hotel several time past consistienly clean , affordable make feel home . the & quot ; full English & quot ; breakfast top quailty second offer . piece fruit take mid - morning snack . do not miss visit book store directly across street ! 
 Jun 12 2008 	 nice price 	 direct AA flight London land Heathrow instead Gatwick , stay Bloomsbury ( could take Piccadilly line Russell Square Heathrow ) instead near Victoria . great move ! stay Bloomsbury get much nice B & amp ; B Victoria area , almost price . single Arosfa big horrible room last Victoria hotel , style prefab bathroom cubicle , bathroom little big , carpet clean , tv new , flat screen model , , good , window open onto tree back garden . breakfast cook instead continental . the owner friendly , take phone message . sit room comfortable , really appreciate internet access . great find price . 
 Jun 2 2008 	 nice place great location 	 place nice - fantastic , still nice . location fabulous - heart Bloomsbury , easy walk distance British Museum Welcome collection . enjoy stay , would happily try somewhere else next time . breakfast pretty good , internet access great , bathroom small ( clean ! ) . like . 
 may 28 2008 	 Great Choice 	 stay 5/16/08 5/24/08what great find ! book review suggestion Trip Advisor Trip Advisor London Forum . first , yes , place clean meticulously . first view place upon arrival -- staff outside clean painting inside . cleanliness important make book first place . room # 2 ground floor face private garden . cute room . also next lounge nice feel like extension room . convenient use computer lounge . room small small . efficiently set . Looked remodel recently . flat screen television mount wall corner ( would say 32 & quot ; ) , desk directly beneath tea hot water warmer , tea bag instant coffee couple cookie every day . also nice blow dryer room . television get 10 15 channel clearly . enough want watch news a.m. get ready relax watch little bed evening . iron ironing board would basement level ( breakfast room ) . hallway anyone use convenient . the bathroom small . like prefabricated & quot ; pod & quot ; everything . like , though . cute spotless . everything work fine get job do . husband petite people mean problem move around . sure people say amenity bathroom unless change stocked time . small bar soap hand washing sink . , shower gel , shampoo , conditioner , lotion shower cap . , everything . skin condition bring stuff need . someone tell stock washcloth bring true , washcloth -- biggy . dresser stay long stay ( stay 8 day ) wardrobe lot hanger able unpack pretty much everything hang use shelf wardrobe undergarment etc . bed equivalent full size bed would U.S . ok . really comfy bed home would hard beat fine enough . , end day , would exhaust could slept floor would care . really nice sheet duvet cover bed . white . like fact scratchy sheet . like stay hotel sheet seem really stiff scratchy laundry soap low thread count . nice soft . breakfast -- overslept first day screw time go breakfast late unbeknownst we . , staff catch we tell we come anyway since far would least get we toast , coffee / tea , juice cereal . nice . make breakfast one time . really early morning person morning eater good plenty make one time . Eggs , bean , ham , sausage , cereal , toast , fresh fruit bakery . could really need breakfast . correspondence Jacqueline hotel stay , mention honeymoon trip . arrive room bottle champagne ice , bowl fruit card congratulate we . nice ? ! ? ! ? also , loan voltage converter nice not purchase one big traveler would probably need / use one year . there Tesco Grocery store close -- 5 - 10 minute walk . boot pharmacy 5 minute away Goodge St . Goodge St Station 5 minute well able get everywhere without problem . plenty restaurant nearby food option . room refrigerator know bring small cooler one check bag . normally would 8 day nice snack beverage room length time . my one con ( small ) room alarm clock radio . would nice clock radio listen music set alarm need . neighborhood -- Bloomsbury . nice . young college crowd . Felt safe . pub area open 11:00 p.m. , love . would stay recommend ! pay 620 ish pound 8 night ( total fee , taxis vat ) . good price ! 
 May 22 2008 	 small powerful ! 	 Arosfa House one affordable place stay London . personlly stay four time ! room bathroom small also clean . bed little uncomfortable reasonable . elevator 5 floor . room 5th floor back room much quieter . proprietor carry luggage stair great help . the breakfast amazing . make full english breakfast , choose , ' vegetarian fix breakfast fit lifestyle . staff excessively friendly willing help time fix whatever want breakfast . in common room tv book read ( kind take - and - leave book ) plus computer internet access guest may use . tea coffee machine available hour room well . the B & amp ; b locate near Goodge Street tube stop two block walk road . along way little convenience store get tube / bus pass goody . along road Goodge Street stop , nice restaurant shop . Lester Square 10 - 15 minute walk road . end Arosfa House economical , great location terrific proprietor . ' stay anytime ! 
 May 15 2008 	 Tourist London ? place stay ! 	 spend six night Arosfa together grandma sister like little hotel centre London , near British Museum . clean small room top floor , breakfast good ( English ) people friendly . also , Arosfa conviniently locate ( easy access Heathrow Picadilly line ; Mme Tussauds , Soho , Covent Garden walking distance , two tube station close ) . budget price ! anything criticize ? well , mention elevator old people ( carry brick suitcase ) 70 step top floor quite lot . plus could open window crack ( safety reason ? ) night three people one room pretty warm . overall - great place ! 
 May 8 2008 	 great little hotel 	 stay Arosfa Hotel London April 2008 , base read website . the hotel disappoint . great location , immaculately clean , seemingly soundproof room , small bathroom clean everything need , coffee tea room , great sitting room downstair free computer / internet , lovely staff great big breakfast . I would recommend hotel anyone except maybe 5 star traveller type , would use large facility room service , etc . 
 May 4 2008 	 great small b 	 attend conference UCL need quiet , close , budget place sleep . know would get small room , not surprise . surprise immaculately clean . staff friendly accommodate , breakfast - although huge - always prompt , hot , make order . other comment noise - window open find bit loud weekend , loud one would expect area town . other also comment size bathroom - tiny , , sparklingly clean . would much rather ensuite ' shower pod ' communal loo . steep stairs lift , staff insist bring bag room ( even great heavy one ) . also appreciate free wireless , free access computer communal lounge . I ' ve stay b & amp ; bs general area meeting Arosfa first choice . 
 Apr 25 2008 	 great experience ! ! 	 start hotel Southbank area London find contemporary , high tech , unfriendly , sterile environment . one night cancel rest reservation find Arosfa guide book . ( read guide book first instead wait get ) . guide book correct say impeccably clean reasonable rate not say warm welcome staff . Jacqueline Richard welcome make feel right home . even bring tea lounge afternoon break sight seeing . lounge expose lot natural light even high definition television computer free internet access . hotel locate right charming Gower Street within couple block three tube station . sure , room small bathroom even small hey , go London spend entire time bathroom ? breakfast include full english breakfast delicious . great experience Arosfa Hotel even hate leave . highly recommend Asrofa Hotel everyone hope experience great mine . 
 Apr 21 2008 	 Wonderful Bed 	 first thing first ... cautious reading negative review hotel reviewer 's benchmark swanky , ultra - expensive city hotel . Arosfa charming , spotless , convenient bed breakfast provide excellent , guess ! , bed breakfast ! family four overjoyed accomodation offer , even well hope . room immaculate high ceiling , new digital widescreen television gleam bathroom new fixture . water always hot plentiful , soap shampoo sample terrific . yes , bathroom bit small compare high end London hotel cost 5 time much per night , honestly compare two ? back bed breakfast ! bed comfortable comforter plenty big , thick pillow . breakfast pipe hot , make order offer choice egg , bacon , bean ( ! ) , different cereal . tea , coffee , juice , toast ... get picture . food outrageously expensive London , hearty breakfast save family four $ 40 $ 50 per day meal expense . oh , love room kettle stock tea coffee . staff Arosfa top drawer , well . Richard Jackie honest , friendly people always offer help bag , advice , whatever else one might need . newly remodelle sitting room exceptional huge digital television , high speed internet access plenty comfortable furniture . build marvellous piece architecture locate beautful Bloomsbury section London . could imagine safe , clean neighbourhood stay . several tube station close hotel , bus stop right across street go anywhere one could want go London . love listen hustle bustle London room always fun visitor want blend culture . sure , folk like boxy , sterile , soundproof , cookie cutter hotel room , true lover british life ! Arosfa offer chance blend comfortably without wall erect modern hotel visitor city . London like good friend - treat well return favour ten fold . could easily go treasure place , think make point . choose place full character , value friendly face . huge favour reward stay Arosfa . Schulz Family , USA 
 Apr 14 2008 	 Great Hotel 	 stay Arosfa Hotel mid March three night . 's convenient Euston station ; walk hotel ten minute . Richard greet we arrive , take bag room whilst cup tea comfortable lounge equip flat screen T.V . free internet access , also tea coffee facility . room recently receive face lift spotless , bathroom ( small adequate ) . breakfast excellent housekeeping . Richard , Jackie staff tremendous job , nothing much trouble . shall certainly stay next time London . 
 Apr 9 2008 	 ready Shock ! 	 follow commitment say 5 good thing say 1 bad want commend welcome , carry heavy bag upstairs ( lift / elevator ) , spotless hotel , great lounge good breakfast . real shock appalling room ! twin , thin bed place head head straight line . measure 6 ft X 14 ft . ' bathroom ' capsule cupboard 4 ft x 3 ft dangerous high ledge get . similar BA loo economy . decor room shabby home make cupboard unfinished scruffy . noise road terrible open window , tiny room airless otherwise . claustrophobia , wife enquire change room say full case room similar . 
 Mar 31 2008 	 great place stay ! 	 last week can not say enough nice thing . yes , room small bathroom . lovely view garden . owner helpful kind . travel alone first time really make easy I . the place spotless breakfast good filling . Asosfa centrally locate nice neighborhood near several Tube entrance . also good pub around corner serve good food frequent student local university . definitely stay . 
 Mar 27 2008 	 small clean convenient 	 return trip London stay two night triple room husband friend . triple room full size bed we twin friend . staff friendly although interact minimally . able check right away arrive around noon . room top floor face front street . quite hike stairs bag , man show we room help mine . room clean small three people . forget sort privacy close quarter ! shower dress challenge bathroom really small dress , often challenge turn around . we work ok mostly place crash end day . noise problem even window open . the breakfast include standard nice be willing get 8 . living room ground floor seem always available , offer computer internet access , large tv couch chair , coffee tea . able leave bag hour upon check - out . pay 95 pound per night triple . location good thought , within easy walk distance ( 10 minute ) wonderful British Museum . many good pub area meal drink . use Goodge Street tube station often sight seeing probably 5 minute walk lively Tottenham Court Road . long luggage wheel walk Warren Street tube station bad 10 minute . would definately return little b & amp ; B , although triple room . three people size room make claustrophobic . 
 Mar 18 2008 	 definitely Return 	 stay Arosfa four night 7 11 January , 2008 absolutely love it . I stay single room top floor gentleman own place kind enough carry bag right door - something quite unheard London . my room spotless , yes bathroom small , ' m 5 ft 4 in not problem ! location great , easy access bus tube . next time London definitely stay Arosfa ! 
 Mar 10 2008 	 Basic good 	 come back stay Arosfa 7th March 9th . stay single room ( room nr . 3 ) face back building pay £ 55 / night . yes everything say site true ; room ( ) small bathroom even small big person like space move around - do not stay like be not go much ok . room clean , bed well average english breakfast good . other state staff pleasant accommadating , make feel welcome . location hotel good , 5 min walk Goodge Str Underground Station , 7min walk Euston Sq St 10 min Russel Sq St 20 -25 min walk Picadilly Circus . there two thing do not appreciate much : reception tv lousy get bit cold night probably due big window room . other pleased stay would go back 
 Feb 29 2008 	 great place stay ... 	 host Arosfa outstanding , location room determine quality experience . spend total four night course 2 week . first night stay Room 6 , locate front hotel , overlook Gower Street . room clean small en suite bathroom , spotless . bed comfortable ( hard pillow ! ) aware sound traffic night . imagine would like without benefit storm window , happily , muffled , mute , rumble lorry car . our travel take we away London week , book room return . Management kindly allow we leave luggage care . return Arosfa , Feb. 12 , place room next lounge ( get fresh coat paint new furniture -- include flat screened T.V. ! ) , face back yard . difference ! traffic sound disturbed sleep time ( pillow ? perfect ! ) . room also spotless ( housekeeping staff outstanding -- get heart shape soap fresh towel Valentine 's Day ! ) . sample Gilchrist & amp ; Soames bath gel , shampoo , lotion bath . the Arosfa serve full english Breakfast . Jackie Richard take good care guest -- feel quite pampered ! would stay strength staff . 
 Feb 25 2008 	 Great Value London 	 husband please stay Arosfa . hotel good location , minute walk Euston Square tube stop , price 75 pound / night ensuite double room great value London . room bathroom small , be expect London . not plan spend much time room not , size issue . breakfast great really set we day full sightseeing . staff extremely courteous helpful . blister foot walk around city day , inquire band - aids promptly find . also happy let we leave luggage hotel checkout since late evening flight . , happy stay would definitely return Arosfa ! 
 Feb 25 2008 	 expect 	 Hotel Arosfa londonwe select hotel , base review , Tripadvisor . I must say , expect , nice little hotel , friendly atmosphere , nice staff cosy . every day return city whole day , come home clean room day , feel much & quot ; home & quot ; .We already recommend friend , stay next time London . 
 Feb 11 2008 	 Disappointing 	 read previous review , hard believe stay hotel . room incredibly small - even though have book double room , bed small standard double bed ( i.e . less 4 ' 6 & quot ; ) push wall - pay double room , expect double bed . pillow feel like pillowcase fill brick . topic noise ... oh , dear . avoid front hotel , be busy junction , not provide steady flow traffic , instead noise rapidly accelerate traffic away traffic light . ( jam windows shut toiurist guide not great either ! ) wall paper - thin , able hear everything next room , hotel one next door ! ! beware minute late breafast ... door breakfast room lock ! plus side , bathroom small clean , location good , 's . 
 Feb 5 2008 	 little gem 	 great find ! beautifully keep small hotel great location.everybody friendly helpful . know bathroom room tiny everything else make . clean sparkle . great people run corridor . really enjoy stay here.lovely breakfast 
 Jan 30 2008 	 safety issue 	 although much commended hotel , also safety issue . particular , shower wc facility Room 9 entirely unsuitable elderly , way immobile , simply rather large . single room tiny & amp ; quite basic , clean also quiet . however , problem access shower W.C. mean extremely high step deeply offputting . owner tell room extreme problem , ensuite shower & amp ; bathroom facility room must also extremely cramp . potential visitor not mislead many positive review hotel expect anything offer . 
 Dec 7 2007 	 Perfect ! 	 Arosfa perfect hotel us London . room bathroom simple small , clean . nice garden view large lounge make small room . good thing Arosfa value ! free Wi - fi guest computer save we lot time trouble . free breakfast also save we fortune . day freshly make egg , bacon sausage , cereal , grill tomato , toast coffee juice . always stuff leave save we lot money since rarely eat much lunch . also love Bloomsbury area , always feel safe , proximity british museum 2 different tube line make convenient . definetly stay return London . 
 Dec 4 2007 	 Excellent 	 London expensive city . hard find decent room bathroom inside without spend much money . Arosfa could answer . my evaluation : location : excellent . 100 meter tub . room : ok . clean small . bathroom really small ! price : good , London standard . 50 pound / night , full bathroom . staff : excellent . Mr. Hipolito Mrs. Elza everything could make stay perfect . breakfast : excellent . average . general opinion : recommend . 
 Dec 4 2007 	 great 	 hotel need five sleepless night france . room spare cozy staff friendly . be nice common room downstair computer check email . hotel central walk west end . great single traveler . 
 Nov 14 2007 	 get expect : ) 	 stay Arosfa hotel 27 oct till 30 Oct 2007 really good experience - exellent location , great price , tidy room , good breakfast cheerful owner . ' ve get experience stay London budget hotel say would definitely stay Arosfa . 
 Nov 11 2007 	 Loved Arosfa 	 wife book hotel directly website receive prompt reply inquiry owner Mr. Mrs. Dorta . upon 8:30 arrival promptly show room room # 2 main floor . room immaculately clean look onto anstne fence garden area . room adjacent hotel 's lounge equip free internet access , travel center load brochure , comfortable sofas loveseat relax . almost like suite lounge right outside room door . yes , bathroom small compact ; sparkle clean efficient . room contain individually - control heating unit like like cool side night sleep . full English Breakfast serve morning Mrs. Dorta begin choice cereal , orange juice , coffee , follow egg , bacon , sausage , baked bean , tomato , toast jelly - wanted . superb . Mr. Mrs. Dorta make we feel welcome accomodate every need . hotel locate Bloomsbury Area fill history around . 's short walk British Library , British Museum , many antiquarian bookstore area . fine pub good deal dinner close . feel safe walking around area dark . stay first three night London would highly recommend b b anyone travel London . & quot ; A+ . & quot ; 
 Oct 30 2007 	 lovely hotel 	 lovely hotel . location great - block away underground station , 5 min walk british museum , easy find quick bite around , nice neighborhood . owner friendly . room common area well maintain , clean , comfortable . ask extra pillow hair dryer , already room arrive . breakfast excellent , much well would expect . room little bit small , especially bathroom . still manageable , skill ( pack accordingly - take travel size ) . way , accord european standard , room probably small . similar size room Paris , clean one . definitely come back one visit London ... highly recommend . 
 Oct 22 2007 	 wonderful place stay ! 	 Arosfa all - around great place stay . spend 3 night , along members family . room clean well care , breakfast morning expect ( thought would rolls orange juice , full breakfast choice egg bacon , cereal toast ) , staff wonderful . owner helped arrange early morning cab airport , go downstairs 5 meet cab , owner . wait ensure make safely . location also great . 5 minute walk near Underground station . also 10 - 15 minute walk Euston train station , 15 - 20 minute walk king cross station . would stay heartbeat , know family member feel way . 
 Oct 1 2007 	 little gem central London 	 review right - hotel wonderful find . pay 55 pound slightly large single room , absolutely quiet room top floor back . hotel immaculately clean , owner friendly helpful . though bathroom small ( pointed ) low price ( London ) , good situation , friendliness , cleanliness much make . great breakfast include ( though stop 9 ) . hotel right University College London ( important ) . certainly highly recommend . 
 Sep 8 2007 	 great hotel try arosfa 	 recently return 14 night accomodation Arosfa , whilst holiday London . thoroughly recommend , owner friendly helpful . cheerful place stay . room small ensuite small , one need somewhere sleep shower , one go past hotel . appearance neat tidy , inside . quiet strict no - smoking policy . impressed , would stay travel lead we london way . traveller europe states . breakfast central dining room cheerful atmosphere plenty eat . would highly recommend . Mark Dianne Richards , Australia . 
 Sep 2 2007 	 recommend ! 	 agree review say : great location , homey welcoming , breakfast nice touch . arosfa one affordable place family could find room hold four people ensuite bathroom ( size closet , hey , ensuite ! ) . free internet sitting room helpful , owner accommodate let we store luggage check since almost full day need get next destination . also , could tell take great pride place , staff constantly clean - front step , rail , doorstep windowsill literally sparkle . 
 Aug 30 2007 	 highly recommend 	 decide stay Arosfa hotel recommend travel guide would read prior visit London . wonderful place welcome staff real home home atmosphere . quad room stay truly spotless ample room 3 adult . en - suite small adequate cleanliness first rate . location Arosfa hotel excellent , near Goodge St underground station Euston St. thoroughly enjoyable stay . 
 Aug 17 2007 	 highly recommend ! 	 stay Arosfa nine year old daughter , three night . hotel excellent value money every area clean high standard . owner staff friendly make we feel welcome . our room compact comfortable , overlook wall garden rear property . garden real bonus , somewhere sit enjoy complimentary coffee . breakfast serve basement dining room . food serve carefully select quality cook breakfast perfect . I ' ve recommend Arosfa friend visit London certainly stay . 
 Aug 3 2007 	 great location clean 	 Arosfa great location across street University College London 5 minute walk Goodge street Euston tube stop British Museum . room average size London . one bonus extra twin bed room able store luggage . breakfast typical English breakfast quite good . negative bathroom truly miniscule . however , like everything else , completely spotless small inconvenience give plus . would stay Arosfa highly recommend . 
 Jul 27 2007 	 good experience would recommend 	 choose Arofsa base solely good review Trip Advisor . thought return favor give honest assessment fellow traveler . pro : 5 minute walk British Museum5 minute walk Goodge stationwalking distant many pub / shop – college sceneclean ( bathroom spotless ) good water pressure ( believe , important ! ) fair / honest / friendly ownershigh - speed internet loungefree instant coffee / tea loungelot travel book lounge referencenegative : definitely page Elle Décor , hey , ' 75 pound per night . en - suite bathroom size size airplane bathroom , ' cleanNo elevator ( owner Dorta lend hand heavy luggage ) mattress small North - american twin sizebre shampoo ( give soap ) everything recent review say true . fun London ! ! ! 
 Jun 30 2007 	 English Charm good price 	 stay 5 night Arosfa enjoy stay . think good value location , short walk Goodge St. Tube station , manageable walk Soho Theatre District . breakfast hearty give good start day . nice common area help hot coffee tea , use computer check e - mail access internet , browse excellent collection travel book , chat guest . lucky meet nice traveler hotel stay . room small , expect prior review read . bathroom also small , efficient design . mattress room comfortable sleep , probably bad either ... able sleep important . think owner could generous soap , small bar bathroom check , glad bring soap shampoo ! room top long flight stair ( lift ) , rather exhaust get , especially luggage , assistance owner check . also know policy allow bring guest room , honest , room small entertain anyways . 
 Jun 22 2007 	 really Happy Choice 	 choose Arosfa Hotel base review post TripAdvisor . look Arosfa 's website nervous choice remember positive review stick ' m glad do . I stay single room overlook garden , be pretty garden give hotel busy street request room side ensure quite night sleep . room small comfortable . imagine bathroom incredibly tiny , not bother . shower close door otherwise steam set alarm 's real inconvenience . the room colour tv , telephone heater 's air condition . spot small desk fan sit top cupboard available use ! everyday room clean , bed make fresh towel provide . sit room tea coffee facility , free internet lot brochure thing see whilst visit London . hotel not make booking go see show tour , be organise yourself . breakfast bit event , sit serve . 's menu everyday 's lot look quite well . staff prompt clearing table continue offer endless serving food say more . the hotel situate great area , woman travel feel quite safe wandering back late night . 's two minute walk Goodge St Station , five minute British Museum , 20 minute convent Garden great west End Productions . bus also run Gower St , never catch one be easily available . lot restaurant , ATM 's , chemist , supermarket ask staff will point near laundromat 10 minute away . staff friendly , owner quite welcoming . not feel like stay hotel , feel like guest someone 's home , definantly place use . strict smoking policy also incentive , nothing bad stinky room pillow reek smoke . I pay 50 pound night , reasonable expensive city . Hope note help . enjoy holiday : ) 
 Jun 7 2007 	 Value money 	 spend 5 night Arosfa May 2007 . small family run hotel simple , clean safe offer real value money 50 pound per night , include hot breakfast . room tiny , ensuite bathroom also tiny . ensuite bathroom like caravan bathroom drop corner hotel room - step perhaps one foot enter bathroom . hotel lift . one odd thing little hotel allow guest visitor room ! want base sleep breakfast explore London good hotel . want friend call need find somewhere else . 
 Jun 4 2007 	 not really want stay 	 stay three night Arosfa May / June 2007 ( room 6 first floor ) . temperature outside pleasant : around 20 degree . room , however , furnace . can not imagine poor people visit London heat wave manage survive Arosfa . think would heart attack stay room really hot weather . open window not option either , loud traffic noise outside Gower Street . the room en suite bathroom clean , though seriously tiny . double bed wall -- - comfortable arrangement . think proprietor put double bed room mean single . bathroom small bent tiny sink wash face , bottom would right door . another problem high step lead bathroom . one step two . come bathroom room , remind bathroom floor quite bit high room floor , would not stumble headlong room . there hairdryer , could borrow one return leave . now real problem : hospitality tray room . like drink coffee first thing morning , shower start day . chance : either go basement breakfast ground floor guest lounge instant coffee machine paper cup . pay £ 75 per night tiny teeny double room . surely would entitle we coffee tea bag kettle ? top , lock lounge 10:30 pm . come back late night want relax lounge tea coffee , instead return hot cubby hole upstairs , could not . earth lock guest lounge , especially not provide hospitality tray room ? good thing Arosfa couple run place polite pleasant . arrive , help we carry luggage upstairs , instead hand we key tell we go , custom price range hotel London . 
 Apr 29 2007 	 touch home busy London 	 hotel need conceirge expreience travel . dorta provide comfort home , safe environment value . my stay 5 night return 4 night . different room stay . course , want stay rear light sleeper due traffic . big blessing lift . unfortunate get room near lift make horrible sleep . dito ice machine make night sleep even bad . tea coffee available lovely lounge free WIFI use pc . lounge close 10:30 p.m. 7:00 a.m . noise low level room . the Dortas know guest greet warmly lovely english breakfast morning . loved hotel agree ensuite bathroom tiny suit everyone . smallish bed bring toiletry . small detail stay lovely guest house charming owner . 
 Apr 21 2007 	 Home Away home 	 great place stay . family four stay week . owner , Dortas , kind wonderful . make we feel welcome . be also great location - easy get everything bus , train foot . would go heartbeat . 
 Apr 20 2007 	 Outstanding Value 	 three us adult stay hotel . tell thatwe would arrive early would appreciate extra pillowsand hairdrier . arrive 9:30 room ready . people room early leave early morning catcha plane , owner clean room make ready we whenwe arrive . sure enough , extra pillow hairdrier room . everyone talk small bathroom ... , small . 6 foot weight 195 Lbs bathroom tight , much wife daughter . Enough say . full english breakfast include morning good ... toast , egg , coffee , tea , bacon , sausage , english bean , tomato , cereal . always ask want . location excellent good section London , near Regents park . Goodge Street station two block away . hotel isprobably clean hotel ever stay , stay Marriotts , Hiltons , Hyatt , Conrad Hilton , etc . hotel unbeatable price London great location . around corner , buy tube ticket , oyster card , ATM two block away , good pub within two block . owner extremely friendly helpful . picture upload return States . look safe , clean Hotel outstanding value , look . 
 Mar 14 2007 	 Great Hotel ! 	 stay hotel 8 day visit London love ! owner friendly helpful make hotel feel like home stay . hotel great location far several tube stop British Museum . room small cozy clean room ever see hotel ! definitely stay Arosfa next time visit London ! 
 Nov 7 2006 	 lovely place ! 	 stay Arosfa week August 2006 ... 's lovely b & amp ; b owner absolutely friendly kind ! wonderful english breakfast every morning , milk , cereal , egg , bacon , toast ! ! ! room bite small clean facility ! location good sightseeing underground station nearby . absolutely recommend . surely stay . 
