good 	 get back England trip stay last night Premier Hotel . 's second stay be even well last trip . much improve dining area . great food Bar . room compact well appoint exceptionally clean . location great , lively Earls Court road 2 minute walk tube . close also Holland Park Hyde Park . parking always expensive 's close short term long term parking . staff excellent always helpful . will look stay next family visit . definitely good family value around . 
 look futherthis ! ! ! 	 recently stay Premier Inn , Kensington Earls Court pleased service decide write experience other go see . front desk restaurant refit want difference ! ! reception slick self check still traditional reception desk . restaurant really nice , relax spacious . hide gem team customer service . feel team member , one person pass bye without ask " stay " " well " . thrill , clean hotel , good . 
 Aug 5 2008 	 Great Location Good Value 	 part package British Air inexpensive . can not afford stay right heart Leicester Square Picadilly Circus , great place stay . 1 long block Earl 's Court Tube Station Picadilly Line Circle / District Lines , mean get anywhere quickly . convenient Heathrow Picadilly Line . also walk distance Kensington Garden , Hyde Park , Royal Albert Hall , Natural History Museum V & amp ; - mention Harrods ! ! room bathroom average , clean comfortable . ' m London , room much , really not look amenity ( none ) . breakfast good bit expensive , kid eat free , daughter start day good breakfast reasonable cost . note many tourist hotel nearby , subway station ticket line long morning . plan ahead purchase ticket night get multi - day pass . in past ' ve stay Premier Inn - County Court House ( next London Eye ) . would recommend place first - get room . otherwise , convenient , clean hotel , right subway . 
 Aug 4 2008 	 Fantastic Location 	 hotel short walk Earl 's Court tube station . able take train easily back Heathrow . trip center London also easily accessible . room clean comfortable . book two room tell we ability put cot four person room late . probably make comfortable accomodation since not crowd . full english breakfast morning . kid eat free . quite good filling allow we snack day eat another dinner . accomodate allow keep luggage site checkin check . allow we see site lug everything around . staff nice helpful . place look nearly twice price . can not beat value . 
 Aug 2 2008 	 Ideal Location 	 Ideal base short walk Earls Court tube station allow quick access central London usual must see place . hotel clean . staff great pleasant . service resturant good food good value money . room stay air conditioning welcome . room clean day towel replace . certainly use . hotel also store luggage check need get bag early first come first serve basis due space available . 
 Jul 27 2008 	 Good Value 	 Stayed time become first choice trip London . say price go fairly significantly past couple year get room around 80 quid still pretty good part London . we book room month advance check availability night due stay room £ 40 cheap ! cancel original booking make cheap one . it say really , usual Premier Inn room facility , handy Underground good link handy fancy walk . reasonably quiet location much street noise . last time stay room first floor overlook roof machinery , possibly air conditioning unit , fairly noisy might bother people check . hotel split two one half across road reception reckon quiet part . plenty place eat nearby evening meal good breakfast couple decent boozer . one thing though , honest , not really Kensington ? 
 Jul 25 2008 	 despite problem still good deal 	 second time stay Premier Inn Kensington . ( find British Airways website . ) location price draw we back . Earl 's Court Tube station link via Picadilly Line Heathrow ! convenience ! ( step negotiate -- Tube map , look disabled logo identify handicap - friendly station . ) nearby Tube station , Gloucester Road , surround somewhat upscale store near Earl 's Court . though hotel decidedly budget ambience , neighborhood ( Kensington ) one expensive London , enjoy surrounding . the Museum Natural History Victoria Albert within walk distance . be aware part Premier Inn locate across street , link main hotel enclose bridge . 's hassle lug bag long hallway change elevator twice . annex side quiet . main section , room directly overlook track . sound insulation good enough not bother you . quarter cramp , facility . internet access via phone line expensive . be much cheap internet cafe street ( walk toward Earl 's Court Tube station ) .The staff strike overwork underpaid . tend grumpy unhelpful . price location ' m willing put bit bad service -- 's really fault . 
 Jul 24 2008 	 Great Location Kensington Explore London 	 stay 2 night ( June 29 - 30 ) EF Tours group . like reviewer find , hotel quiet neighborhood little block Earls Court Tube station , make convenient London . nice little bar drink long day traipse around London . Kensington also provide nice area get stroll -- Harrod be far away . room clean comfortable , breakfast group good . return individual tourist , would certainly consider make base visit London . 
 Jul 22 2008 	 basic clean quiet accommodation close pub Earls Court Tube 	 go run nearby Derby Hotel spend two night post cruise tour London . fact actually sleep three time since good people front desk let we check 6 am flee dreadful room Derby block away . thank god not wink sleep hotel thankful snooze hour Premier Inn begin tour late morning . the hotel clean basic , room safe refrigerator place quiet bed comfortable . it be nice area , shop pub , Subway sandwhich joint , fast food restaurant within block Earls Court Subway station . convienient tour around London . one thing location , two area may housed , case accross street lobby accessable via Street sky walk . bit confusing , wrong turn get good finding room way around hotel . room nice quiet , sleep well . oh ya , pay £ 84.00 per night , cheap , London standard clean comfy room relitive bargain . I would recommend Premier Inn Kensington , excellent professional staff . 
 Jul 2 2008 	 great wimbledon 	 stay 2 night last week - book short notice unable stay friend near Wimbledon plan . decent look hotel price bracket West London book . pleasantly surprise good . room , breakfast service excellent price . location great tube Wimbledon tennis 
 Jun 29 2008 	 good value great location ! 	 boyfriend stay 2 night whilst go see day 's play Queen 's tournament . arrive Sunday afternoon despite little trouble find hotel ( due forget print direction ) arrive much trouble . this hotel one street away Earls Court tube station easy access central london . 20 minute walk Queens Club ok lovely day . evening meal hotel good expensive considering . not eat breakfast price seem reasonable - aware several option hotel oppose 1 offer booking online ! room good size , clean tidy complete flat screen tv . a final positive requirement room key access lift - nice touch add security ! 
 Jun 24 2008 	 Fantastic Hotel ! 	 decide stay hotel see great review tripadvisor . want decent accommodation good value . booked & amp ; pay 3 night stay Premier Inn webpage – also opt full ' eat breakfast ' extra cost seem worth . pay room online great meant ' need pay anything arrive / leave hotel – bill take care month get ! get hotel – LOVED ! room clean spacious . bed amazing – Premier Inn even good night sleep guarantee ! see – ' even want leave bed sightsee ! bathroom good size , even bath relax soak long day . Tea & amp ; Coffee restock room make kettle clean regularly . breakfast – WOW – would recommend book full breakfast part stay – service fantastic restaurant , staff always check food fine etc . food – BEST breakfast ' ever eat ! abundance cereal , egg , Heinz bake bean , meat , bread , yoghurt , fruit juice , museli , even porridge ( make order ) plus much ! also eat restaurant dinner night – also exceptional experience . hotel within walk distance Earls Court tube station find handy . would recommend hotel anyone plan stay London – reasonably price , food tasty , staff friendly helpful perfect position . must say , really good night sleep ' ever hotel – could take bed home ! can not wait stay ! 
 Jun 20 2008 	 simple Clean Good Value . one Word - Excellent . 	 stay October 2007 mother sister 4 night . book directly Chain 's reservation line get excellent price 80 Pounds night family room . hotel entrance 24hr man reception chair lobby ( make difference we ) . small pub visit . breakfast include price 2 child eat free pay adult . define child anyone 16 sister able eat free . breakfast good quality varied choose continental full . breakfast room pleasant staff friendly visit . room get situate opposite side street ( hotel divide two building side road ) . get part hotel cross over - road walkway . impossible exit enter hotel directly second building door lock necessary use walkway . make way build long provide sense security ( main entrance always man ) . not mind bit walk walkway poorly insulate . night October quite cold pleasant walk without coat . perhaps ( minor ) issue stay . read complaint train noise review experience problem , might want ask room side . the room satisfactory . roomy one double bed additional sofa / single bed . optional third mattress floor use . bed comfortable sheet clean . even like purple theme & quot ; Premier Inn & quot ; design . window face directly side hotel mean keep curtain closed time avoid stare people 's room . bathroom functional good shape . entire room , include bathroom , clean well take care . housekeep good ( daily ) job well . child otherwise need use tv , note small selection channel . location even well anticipate . short walk underground feel safe walk area dark . for low price ( London term ) get well locate , clean even pleasant room . definitely good find would highly recommend anyone . 
 Jun 19 2008 	 Excellent Stay 	 stay hotel 16th 18th June 2008 . hotel easy find , 5 minute walk , tube station . the hotel : check breeze , arrive 2 pm ( check time ) room ready we wait around . room 5th floor , main block say , wonder bad review site come . room newly refurbish - seemed - huge bed , flat screen tv , seat area , dress table kettle etc . bathroom big mine home , new white suite shower great , high enough bonus 6 ft tall hotel room shower head come shoulder , make hard wash hair ! ! could find one thing wrong room . fridge vend machine reception ask bar bucket ice , get . room air condition too . we sleep well disturbed train road , like people complain site . end trip , check 12 hotel luggage room could still enjoy site without cart stuff around train . keep luggage untill 8pm . the Bar Restaurant : eat restaurant , glanced menu price seem bad . drink bar would expect London . overall : hotel fantastic hotel , clean modern , friendly staff great location . £ 95 per night , get anything complain ! definatley would stay ! ! ! 
 Jun 10 2008 	 great family 	 hotel great family . look european charm like storybook , not stay . look good location include clean , comfortable , spacious room family ( 4 people ) look . stay 2 child ( 8 9 ) delight . full english breakfast ( free kid ) great ... get we go day . service respect great , . room clean , large bathroom comfortable beds- perfect whole day sightseeing . area safe , many , expensive restaurant . even hotel meal night good inexpensive even though service little slow , pleased . ok yes , walk little way inside hotel get room , really problem . yes , hear train times night , subway close night - really problem ( light sleeper problem ) - overall fantastic place , especially family kid highly recommend . one word caution , hotel rather Earl 's court subway- rush hour crazy hard get train . go problem - station great piccadilly line well circle district line - also direct heathrow - could ask anything ? ? ? 
 Jun 2 2008 	 great location 	 husband stay four night end three - week vacation . stay Premier Inns , familiar accommoation . pick particular hotel close one favorite restaurant . the location not disappoint . block Earls Court Road tube station Piccadilly line , extremely easy get major attraction . unfortunately holiday weekend many central London line completely partially service , experienced delay detour , overall tube access terrific . Earls Court also lot great restaurant , grocery convenience store , pub , internet cafe , shop right . eat dinner sometimes lunch area every day . nice crowded central London area ; feel like relief come back peace quiet long day . the room spacious comfortable , although could use little facelift furnishing ( example , king cross location nice dark blue tile bathroom , whereas one fade ivory tile dark grout spot strange wooden siding tub ) . reasonable budget hotel , consider pay less 100 GBP per night . internet access ridiculous 12 GBP per day . hallway noise housekeeping morning door shut hour , generally not bother we much . we not eat restaurant many great choice nearby . hope kind laundry facility , unfortunately none onsite . generally would give hotel decent mark not expect anything spectacular . location good thing reason would stay . 
 May 27 2008 	 highly recommend 	 get back couple night PI Kensington would thoroughly recommend visitor want safe , convenient hotel , comfortable room decent price helpful staff . room spacious , clean comfortable , quiet despite fact hotel close Earl 's Court tube station . bathroom facility good , though toiletry basic , seem norm day ( foam soap basin combine Lux shampoo / shower gel bath ) . half dozen coathanger , might need long stay . museum pleasant 20 minute walk away , ( not whatever miss stunning Victoria Albert ! ) , around 35 minute good area Royal Albert Hall Hyde Park , plenty eat place neighbourhood , well Sainsburys Waitrose need . breakfast all - encompass tray keep well - stock . 's treat breakfast serve 11 Sundays , also reasonable check - out time 12 noon . can not praise young staff enough - really friendly helpful . can not imagine recent & quot ; puce plastic & quot ; review sprang - bit puce saw face poor old Leeds United fan have lose crucial Wembley play - off ! 
 May 13 2008 	 Budget price everything matter 	 despite overuse purple decor , great hotel . comfortable bed , huge room London , big bathroom , , clean . good , actually table chair , tea , coffee . ever hear european budget hotel ? weather awful week London spend time expect room , pleasant place be . the hotel restaurant prove extremely popular , not interested . many excellent restaurant near Earl 's Court station 1 - 2 block away . large supermarket 3 block away well . the hotel lobby always full people , include tourist group large family , room hallway quiet . hotel function , comfort , cleanliness actually quiet . great bargain compare typical London price . 
 May 9 2008 	 suitable family 	 stay hotel three night , family ( ' ve two child 9 12 year ) .position great . 3 minute Earl 's Court Underground ( zone 1 ) .full Breakfast ( free child ) great , even clear possible full selection Costa Coffee menu , son enjoy much ( eat lot ) .room clean , also bathroom clean , dispenser Shampoo Soap . room spacious 2 adult 1 child , 2'nd bed child leave space , however short stay perfect . all staff gentle . the restaurant menu simple , kid menu , lunch hotel three evening . any bad thing ? water bottle distributor break . 
 May 3 2008 	 Premier Inn - clean comfortable inexpensive lack charm 	 previous review get right hotel . search lot inexpensive hotel London ( inexpensive ? thing relative ! ) find one glow review . hotel large modern . everything look new clean , though cheap construction distinctly charmless . bed comfortable room quiet , amenity usually find . see shower gel / shampoo hairdryer bar soap , lotion , shower cap usual toiletry although hot water pot tea . channel available tv . internet available WiFi , though fairly costly . husband , native Londoner , hog heaven breakfast . full breakfast reasonably price ( £ 7.50 ) though not tell we check pay breakfast advance less expensive version available would preferred . full breakfast include egg , back bacon , broiled tomato , baked bean , toast , juice , bad coffee , assorted cereal , slice fruit , yogurt , croissant ... cheap continental version available include everything except hot dish . altogether , though thing not like ( coffee particular ) , think whole acceptable . husband absolutely delighted ! first night late tired eat dinner hotel . bad mistake ! avoid . several good look ethnic restaurant around corner Hogarth Road . eat good indian restaurant also spot Thai ( think ) chinese . also couple English pub Earl 's Court Road near underground station . try one instead . one point beware hotel come two large section . contrary common sense , quiet room room face street . use mapping program satellite picture ( Google example ) look 11 Knaresborough Ct , London , see District Line underground track go right building . appear north - eastern two building shield track room overlook might noisy . however , south - western building ( main one reception dining room ) directly overlook track back side . accept room side . bet be really noisy . room 4th floor overlook street quiet even though , last night , window open . some people grumble cross street main building get north - eastern one . find particularly onerous , though odd . I would definitely stay hotel , though would prefer one charm . however , charm either pay money pay lack elevator . people limit mobility ( husband ) , well choice . elevator , also handicap ramp wheel - chair accessible . 
 Apr 22 2008 	 Great Location Friendly Staff Large Clean Quiet Rooms 	 opportunity travel London time year wife , actually prefer Earls Court Kensington , neighborhood great transportation option , full type resturant non - expense account type folk enjoy eat various resturant ( yes favorite ) generally book via Hotwire Priceline time get deal BA ( British Air ) although budget orient place , room large well take care . drawback downside liquid pump bottle bath shampoo hand soap . simply buy bar soap store fine . room clean quiet ( always case Priceline 4 star ' ) sell location ..... ride London tube less 5 minute walk Earl 's Court Station . anyone interested walking tour look & quot ; London Walks & quot ; find last trip wait go back . this far well place stay & quot ; tour orient & quot ; hotel . its small almost hear pin drop , quiet . it bite plain , modern clean . type trip shop price location fantastic find . without british Air deal bit pricier would like , would still check - prior hit purchase button Hotwier Priceline . 
 Apr 21 2008 	 Basic friendly ok location 	 stay Premier Inn Kensington one night April . hotel basic , frill , good value money . would expect fridge safe room though . staff friendly . location ok , depend schedule . museum ( science , natural history , v & amp ; ) be great , 10 min walk . Knightsbridge hyde park another 10 - 15 min . westminster , tower , british museum etc . be quite far away . 
 Apr 20 2008 	 good location frill 	 stay three year old son bed room , make room little crammed would fine 2 people . room adequate little tatty , bathroom show age liquid soap provide not nice . breakfast staff absolutely wonderful - obliging helpful - excellent food ! dinner staff food mediocre poor . wait 40 minute dinner mash potato cold lumpy . restaurant Earl 's Court Road great - recommend Gourmet Burger place . clean staff nice , son wet bed one night request fresh bed linen bed beautifully make next day .. excellent proximity Earl 's Court Tube station make trip Heathrow easy . 
 Apr 20 2008 	 Excellent value location 	 hotel excellent value excellent location . stay twice , business pleasure stay first class . if visitor want hotel stay part english cultural architectural experience , hotel . high ceiling , fireplace chandelier , room service doorman . clean functional well locate hotel ( part chain ) offer extremely good value London . the hotel two minute walk Earls Court tube station really easy find . Earls Court tube ten minute ride Oxford Circus Earls Court area pleasant area stay . really baffle one reviewer site say could find tube station ask direction . room large , clean big clean bathroom comfortable king size bed , triple glaze blackout curtain peaceful night 's sleep . hotel chain even offer Good Night Guarantee , offer money back not get good night 's sleep . breakfast extra , around £ 7.95 not book , great sure want eat first thing morning . eat much like set price sort deal kid eat free . I usually like treat stay four star - plus hotel hotel really compete top place stay comfort service . the key hotel lot deal family room , eat trip out . I live hour London could jump train come home comfort , book hotel fancy stay late city want guarantee clean , good value location . 
 Apr 9 2008 	 cheap nasty 	 word advice : not stay here . booked order get early meeting , reason well get 4.30am . bad call . ask quiet room back – give noisy one front . puce plastic much evidence , throw bed grubby , bathroom cramp seedy , bed hard lumpy . final straw ask direction tube morning send totally wrong direction , almost miss meeting arrive hot fluster well tired cross . yes , be cheap . be also nasty . would rather get 4.30am stay . 
 Apr 5 2008 	 great value great location ! 	 like previous reviewer purchase hotel great deal British Airways website glow review site ! location excellent , minute walk Earl 's Court Tube many great restaurant , cafe shop , include supermarket open till midnight . easy get get around - could ask ! hotel great , big room price , lovely bed tv . view fantastic , since spend little time hotel not matter . first floor front get disturbed noise , either fellow guest traffic . breakfast not great , many place nearby choose problem . I would certainly stay hesitation recommend everyone ! 
 Apr 1 2008 	 Great Deal Perfect Location 	 come back 3 - night stay . Booked British Airways Holidays . clean , modern . room large ' ve stay London . 1 block Earl 's Court tube station , conveniently , Piccadilly line come directly Heathrow . hotel 1 hour landing Heathrow . not deal taxi price express train faraway station . Heathrow Earl 's Court exactly 1/2 hour . district line also stop Earl 's Court , easy get anywhere minimal transferring . gloucester station little , give access Circle line . hotel conveniently locate . the staff nice . one morning hot water side hotel , quickly come room key another room work hot water , use shower . hold luggage hour check out . the shower tremendous water pressure - big plus ! hot water pot tea room . separate reading light side bed ( unfortunately rare hotel ! ) big minus hotel computer facility guest . impossible print boarding pass night . however , 2 internet cafe around corner . want spend extra money ? , wonderful place day London . 
 Mar 13 2008 	 great value London 	 Booked hotel see lot great review not disappoint . hotel overly flash look , modern clean . staff friendly location excellent easy transport connection . only downside hotel would not store luggage four day go Rome cite security issue - can not see issue would . see come back another six day could accomodate . overall hotel great value london 
 Mar 5 2008 	 comfy bed good neighbourhood 	 choose PI Kensington base positive experience PI Kings Cross past . main consideration , , proximity Piccadilly line tube station ( come directly Heathrow ) , cleanliness , comfortable bed reasonable price . hotel literally around corner Marriott Kensington , also stay 3 night , move holiday 's remainder due much reasonable price . ask room high floor ( due previous comment low floor noisy thank underground run ) , management able accommodate give room building across street - hotel make two building face join enclose bridge . might consider hassle walk way one 's room back bridge main building ( entrance & amp ; exit ) , think nice walk ! check - in easy , room clean bed nearly comfortable home . apparently , PI chain know great bed , second PI ' ve stay , find true . otherwise , real frill - much space store hang clothe , lot tv channel choice real amenity ( bring soap ! ) , kettle supply day much appreciated . neighbourhood favourite stay London , safe , pricey close several good grocery store ( include Waitrose 24 - hour Sainsbury 's ) restaurant ( garfunkel great ) . Breakfast ok , reason great , quality - wise , remember stay PI king Cross 2006 . 
 Feb 27 2008 	 good standard value - for - money accommodation 	 one nicer PTI property - centrally locate close Tube station near high street . friendly helpful staff . usual buffet breakfast , always good & quot ; healthy option & quot ; . reduce rate access health club available guest . room face road loud . 
 Feb 24 2008 	 Great Value Location 	 get back stay 4 night hotel . stay family room two son age 17 11 . price pay value can not beat . room clean , quiet , comfortable location Earl 's Court great Picaddily District line give we easy access London . would nice channel television , picky . staff helpful hard working . think restaurant fine , understaffed . however , staff move mile minute accomodate everyone . would certainly stay again . note come Earl 's Court via tube , can not see Premier inn exit station . cross street , make slight left head corner , turn right walk end block ( two minute ) , make right see it . note tip wireless internet access . access FON network get 24 hour 3 pound , much cheap network hotel use . & quot ; view available wireless network & quot ; connect FON . also give 15 minute free try out . also , bakery across Earl 's Court station great food great price . 
 Feb 19 2008 	 get back LOVED . 	 hotel exactly everyone say , great book base review . decent clean room .. small . perfectly close Earl 's Court tube station great shop restaurant nearby . GBK ( Gourmet Burger Kitchen ) Earl 's Court Road fantastic . kid stay many type hotel , include fancy one , love one well . keep say & quot ; give place 5 star & quot ; . 's luxurious value money unbeatable . full Breakfast buffet free 16s 7 1/2 pound adult . staff friendly helpful time day night . PERFECT place family . 
 Feb 18 2008 	 second stay would stay 	 stay mid January three night girlfriend , also second stay hotel . Booked BA.com holiday unbeatable price , get everything pay for . room always clean . comfy , large bed . clean bathroom tub . get room 5th floor look tube - line , problem . really light sleeper wake train . hotel good restaurant bar ground floor staff quite helpful . hotel 5 minute slow walk Earl 's Court underground station , Earl 's Court Road plenty restaurant , shop , pub . would definitely stay . thing set - back unable early check - in . 
 Jan 20 2008 	 premium premier inn 	 good sized room London , especially money . super close Tube , grocer , internet cafe , . plenty hot water never run ! ! ! winter room nice warm . good view room , need . everything neat clean . restuarant hotel average . good nearby restaurant Greek . 
 Jan 5 2008 	 definitely place go ! 	 decide try luck visit hotel website read comment tripadvisor.com not deceive ! well - situate hotel friendly area full local , load shop stop ( boot , & amp ; , chemist , post - office , good pub eat , indian Chines restaurant , laundrette , bank ... ) 3 - minute walk tube station . hotel nice room three spacious , bed comfortable room well - isolate ( never hear anything come next - door room street ) ! waiter exceedingly nice helpful . feel home ! breakfast perfect never lack anything . never wait either seat . try restaurant service good , food . the clean lady discreet efficient . could even leave lugage luggage room final day luggage carefully label staff place secured room never fear disappear damage . take luggage back , member staff personally get we check label twice make sure mistake . Premier Inn Kensington Hotel definitely place go want stay clean comfortable place well - situate part London within easy access London Top Ten place see ! be use spend time Paris quality french hotel base budget extremely poor compare Premier Inn ... even mentionne cold welcome get ! will not mention hygiene Paris either ! Mrs Souesme , France . 
 Dec 24 2007 	 Great Hotel 	 follow various stay hotel London , Premier Travel Inn Kensington breath fresh air . great staff , large room decent bathroom . extremely clean hotel great location . I definitely look another hotel visit London . 
 Dec 19 2007 	 good bang buck London ! 	 wife stay Premier Kensington visit London end October . compare London hotel price range , place real gem . clean well maintain . spacious clean room nice furniture London standard . attentive helpful staff / front desk . request promptly cheerfully handle . location could well . nice quiet neighborhood close tube . plenty shopping , dining , pub , grocery store , pharmacy nearby anything may need . make we feel right home around neighborhood . hotel mean luxurious . price pay , could not ask . definitely would stay recommend anyone look great budget hotel London . 
 Nov 30 2007 	 little disappointed 	 regular customer Premier Inn ; although clearly budget chain , quality standard usually dependable i.e . know expect . however , think Kensington hotel let down . in defence , hotel currently refurbish possible month time , improvement see . stay last week though impress standard room . minimalist - typical Premier Inn - not even shelf space place clothe belonging .... hang rail six hanger . usually get floor ceiling storage unit 3 4 shelf . ceiling tile old - fashioned discolour , much need replacement . similarly , bathroom fitting appear tired ready rip out . the room clean everything working order . shower extremely powerful hot .... make change sometimes ! also , seal double - glaze window wear slight gap window close . enough let London traffic noise ! jam toilet roll window catch window , get peaceful night 's sleep . finally , always check exact location hotel book . familiar London , please note & quot ; Kensington Premier Inn & quot ; actually Kensington Earls Court ! problem want right Kensington ' ve extra 10 minute walk . 
 Nov 23 2007 	 safe option 	 positives:1 . great location2 . close Subway stop3 . CLEAN ! 4 . offer free stay child ( free pullout sofa bed ) negative think chain hotel , be look ambiance English B B , will not find . however , hotel offer safe , clean , comfortable stay not risk ruin vacation stay dodgy hotel . would definitely stay ! 
 Nov 23 2007 	 great alternative use Heathrow Airport hotel ! 	 add reviewer comment .. want hassle - free reasonable - cost night London great hotel . use en - route Heathrow , less 5 minute form Earls Court tube station Picadilly line . tube easy , 40 minute heathrow , well airport hotels hassle airport hoppa bus etc . the room spotless , quiet - always case london - restaurant excellent . friendly staff , course ' full satisaction guarantee' . a good hotel . 
 Nov 22 2007 	 Northerner London 	 stay hotel one night , good location , 5 min walk tube station . clean comfy room , staff helpful friendly . exactly would expect travel inn . breakfast nice , complaint . 
 Nov 18 2007 	 drawer ! 	 oh provide drawer space ? know pile sock etc open plan wardrobe shelf , be hardly alternative . room ok , bathroom adequate , breakfast barely adequate ... never . 
 Nov 7 2007 	 Superb ! 	 hotel great . simply .... lovely , recently refurbish , modern clean .. thing look stay hotel ! ... ' m fussy ! definately stay ! location good , literally 2 min Earls Court tube station Earls Court , 20 min tube ride hotel Leicester Square / Oxford Street , not even notice journey . bed comfy , feel really relaxed room ... room feel like hotel room .. kind feel like home little bit . clean modern bonus . not breakfast 7.50 could eat much like . hotel London get dodgy review , trust one great . front reception friendly helpful . 
 Nov 7 2007 	 Perfect ! 	 stay 3 night Halloween break good thing say place . staff exceptionally friendly , even housekeeping lady would pop head room say hello would pass hall ( can not say ever see ) .The room little small fit we fine clean . bbcbeebie channel perfect end every day kid unwind bed . complaint take elevator next level walk cold hall ( street ) next elevator next floor room . bit maze really bit annoying . really need put entrance side street save people hassle . 
 Nov 5 2007 	 good location 	 room clean , although slightly small , stay family room ( 2 adult 2 child ) . .Location good 2 minute walk Earls Court Tube . nice breakfast next morning , staff helpful polite , young eastern european gentleman show we table fab . I think name Aisia . value money . 
 Nov 2 2007 	 reasonably price hotel great location 	 stay 2 client weekend ago . location great : handy Earls Court tube load shop pub / restaurant nearby . room standard Pti fayre pretty good . client complain lack ( shower , bath ) water pressure mine ( room annexe freeze cold bridge ) fine . Pti store lugagge checkin / free , bonus dependent space imagine . make sure keep luggage tag though . niggle breakfast area get full peak time end wait quite long time seat . 
 Oct 31 2007 	 great location value 	 two free night London part British Airways promotion choose hotel base TripAdvisor review . happy room location felt choose well . hotel within easy walk distance Earls Court Tube , conveniently Piccadilly Line Heathrow . Earls Court Road busy loud naresborough Place bad traffic drop 11 pm . room clean fairly large . quiet . end hallway hear almost noise guest , always surprising big city . complaint dresser something similar keep suitcase handy . the breakfast buffet seem okay not buy , opt instead cafe area . especially recommend Mor - ish Cafe Earls Court Road , outstanding coffee , pastrie English fry - up . King 's Head pub Hogarth Place also worth visit . you will hard press find combination value location elsewhere London . highly recommend . 
 Oct 15 2007 	 GREAT location ! 	 hotel fantastic location ! literally 2 minute walk Earl 's Court tube station place eat within walking distance . room large UK standard comfortable . thing third floor face train line could hear train time even despite , really enjoy stay go back day . oh another thing , hotel GREAT value money London ! ! ! breakfast great eat one day convenient . can not wait go back . 
 Sep 19 2007 	 pretty good deal expensive London 	 stay Premier Travel Inn two year ago come back week early month . be clean , convenient Earl 's Court Underground station , kind American - style . side ( notice first time , ) ( 1 ) drawer room ( 2 ) tv reception fuzzy , though be share cable many place . 's closet plenty hanger shirt , pant dress , drawer anywhere . either keep underwear sock luggage put table . ask , tell matter & quot ; policy . & quot ; Weird , be clean , quiet place good service . U.S. dollar pretty much tank right , , include tax , pay $ 180 per night . be cheap , London , be bad . 
 Sep 1 2007 	 Great Family excellent location 	 thank review tripadvisor , fantastic 5 night hotel . manage book room £ 70 night bargin 3 we . firstly location - 2 minute walk tube station , lovely selection local shop immediate area . concerned evening meal husband daughter fussy see Subway , KFC , Burgerking , bakery , sommerfield supermarket Marks Spencer foodstore close hotel new would happy . hotel - love breakfast especially 2 child eat free 1 pay adult . breakfast person see selection food offer make sense eat well keep go dinner . room comfortable sofa bed large enough husband 6 ' 2 good night sleep . bed pillow comfortable never hear noises room next we great light sleeper . we definitly come back hotel again . tip - take double plug socket need two single socket room , always pack one time charge camera , mobile , hairstraightener etc never enough . 
 Aug 21 2007 	 clean room 	 great location Earls Court tube end Zone 1 . family room clean & amp ; comfortable little cramp 2 teenage child . stay room 304 Hotel front seem quiet side underground line rear Hotel . staff friendly helpful . would stay . 
 Aug 19 2007 	 great location lovely hotel 	 fiance stay hotel , one good night sleep ! ! room nice large , comfy bed . clean . we do not notice noise traffic outside , find hotel easy find get tube . we do not eat restaurant miss breakfast . 
 Aug 11 2007 	 love breakfast 	 please everything hotel . the location good near underground . the room triple nice clean . the special deal breakfast good travel party , granddaughter friend breakfast free child . no complaint would definitely book chain hotel 
 Aug 8 2007 	 comfortable economical 	 book three day trip London lodge thru British Air upgrade hotel Premier Travel Inn , Kensington base review Trip Advisor . spend three night travel visit son Mildenhall RAF several day return home . room clean , wear be expect . location superb . food restaurant average . staff helpful although never deliver newspaper offer . would stay . 
 Aug 6 2007 	 Terrific Place 	 let us get bad way . room immaculate - 's wear tear bathroom , chip paint wear wood paneling . need & quot ; jiggle & quot ; toilet would flush ( figure time . would ' ve really embarrass go front desk ask , & quot ; hi ! ' m yokel America can not seem figure flush toilet fine country here . & quot ; ) . internet expensive . wireless internet access in - room Swisscom - low cost 3 pound 30 minute , well deal 5 pound 120 minute . let us deal good , everything else . FAMILY roomone place could find full family room - one double - sized bed parent two twin bed kid . room clearly triple twin bed floor , not matter - perfect need . room full bathtub / shower . plan watch television , dozen channel - BBC1 , BBC2 , Channel 4 , ITV , BBC News , CBBC ( kid ) , Men & amp ; Motors . staffvery young , friendly go - getter . front desk restaurant , everybody upbeat smile . LOCATIONEarls Court fantastic location . hotel one block away Earl 's Court Tube stop - connection Circle line , District Line , Piccadilly Lines . three line get almost anywhere . neighborhood feel safe - 's good mix nice flat hotel . find easy - exit tube station , cross street , walk one block see purple Premier Travel Inn sign . lot great eatery within two block hotel . nice place like Wagamama , Masala Zone , Gourmet Burger Kitchen , fast food like McDonald 's , KFC , Burger King , Subway . plus be several chinese restaurant , indian , korean , . save money , shop market - two right , grab pre - package sandwich ( tip - skip sandwich , go fresh bread pastry back . need protein , grab pack luncheon meat eat fresh bread ) . get tired market , try filipino market russian market . 's post office across street Tube station , least two internet Cafes , Barclay 's bank ( TIP - use Bank America , use Barclay 's atm without extra fee ) , newsstand , couple laundromat ( TIP - use laundromat Hogarth 's , not change machine . day , get change next door tailor - night , must exact change ) . STUFF HOTELRestaurant serve good breakfast . excellent security , since need room key operate elevator . room face street not issue street noise . SUMMARYGreat great experience . definitely stay . 
