Exceptional 	 stay 12 year love hotel . great room amenity . excellent English breakfast many choice . location near tube , restaurant , theater many interesting sight see . friendly atmosphere . would recommend age . 
 Nice renovate hotel good location 	 work 5 min away use overnight stay London . recently renovate , nice hotel , pretty good service door reception . room king , internal facing , fine arrive 5 not really look , probably worth check view get . bathroom really really small spotless modern great . room decent size , desk , seat , LCD tv decent sized wardrobe . hotel overnight shoe shine service not use not aware lead sign aspire good hotel . overall would say good hotel frankly price good . hotel London generally hit miss sometimes , pay £ 200 would stay , central everything , modern clean . however cost £ 190 get Claridges £ 250 ... mmm formal / stuffy fo get overall well hotel Royal H. overnight stay stay . tourist stay long , fair bad choice , although good 15min walk Covent Garden 5 - 10 Trafalger square . 
 Jan 28 2009 	 elegant stylish hotel . 	 stylish elegant hotel well locate , situated central convenient position , 3 - 4 min walk Trafalgar Square . on arrival , immediately impressed warm , professional courteous service front desk concierge staff . we stay executive room elegant , large furnished high standard . room two french window overlook Thames London Eye . well appoint , addition normal amenity , two leather reclining armchair , large build - in LCD television Ipod docking station . bathroom spotless equally well appoint large shower cubicle , bath , washbasin , underfloor heating build - in tv . nice touch Elemis toiletry ! request ice extra milk result polite prompt delivery Housekeeping . dining room high standard set elegant surrounding . buffet breakfast comprise full hot cold choice . all great stay complaint . definitely hotel would recommend without hesitation hotel would like stay . 
 Jan 21 2009 	 one Best Hotels ever 	 ten year ago stay Thistle Charing Cross London ( Guoman ) , meet british couple dinner recommend Horseguards . well - ten year later stay boyfriend complete refurbishment hotel . lovely ! room eave hotel : 8th floor , room 838 , king bed , view Big Ben one direction , London Eye , Charing Cross / bankside other ; 3 view . believe hotel nearly full booked month non - executive room available . understand room generous view french door etc , however - room charming , full character love ! interior design classy , inviting , room well - appoint . french Press coffee room , Royal Doulton china nice responsive housekeeping staff . also mention hotel guest also nice , polite ( eavesdropping breakfast ) content choice . breakfast super filling ; power we day till dinner . want leave definitely stay . hotel historic , would like all - access tour building would pay . locate close Embankment Tube Westminster also ! 
 Jan 4 2009 	 beautiful hotel 	 beautiful building . the location great , couple minute walk train station close enough attraction . the hotel wonderful mix traditional modern feature . we pay last minute rate expect bad room , get one river view . have problem night ' noisy neighbour ' , big surprise hotel full , maybe everyone courteous . lie bed Sunday morning look London Eye , sun shine window hearing Big Ben chime bliss . the niggle breakfast , seat area quite small , may need wait seat . tell 20 minute wait , end 5 minute . good selection food though . I look forward go back . 
 Jan 1 2009 	 Amazing Room ! 	 return stay newly refurbish Royal Horseguards hotel , really great time . book four river view room get exactly , together , fourth floor . hotel immaculate staff attentive . leave car home rely concierge arange taxis transport , efficeintly organise party 6.the room luxurious , heated bathroom floor , lcd tv bath , ipod dock good in - room in - headboard speaker system . one room bath separate shower other double shower tv ! room tv poor tuning hotel seem unable retune request . the housekeeping excellent fresh linen daily . Elemis bathroom product use get feel value hotel . location excellent walk 2 - 3 minute Royal Horse guard . also within 5 minute opposie direction trafalgar square teh National Gallery Big Ben Westmnster , Houses Parliament Westminster Cathedral . breakfast good , serve affair , be not easy father walk stick . staff fail spot offer assistance , could well . however hot food good , often wait tray dish refill , especially pastrie fruit , grab see . la carte option £ 5 extra cook freshly order egg florentine superb perfectly cook . would definitely recommend hotel would definitely return . party age range 19 75 great time . 
 Dec 28 2008 	 excellent hotel 	 excellent hotel go major renovation absolutely fantastic high tech room , tv bathroom , free wifi room , nicely decorate excellent location Brilliant staff fantastic breakfast problem : parking ( really difficult hotel next Ministry Defence major government Buildings ) hotel energy inefficient well insulate 
 Dec 26 2008 	 perfect balance traditiional modern 	 gorgeous hotel , brilliantly remade 's feel modern new without lose history classic feeling building demand . room smallish neverthelss perfect - minus , one find , light control system sophisticate good . location coulnd't well , literally two minute walk Tralfalgar five Picadilly . excellent service , breakfast - , do not get wrong , good - perhaps less rewarding experience , personnel nice courteous slightly stress , tad long wait time toast . minor detail however - Horseguards beat hotel style , history , service comfort . most definitely recommendable , certainly come back . 
 Dec 17 2008 	 Fantastic 	 want good location good service romantic weekend . Got Horseguards . fantastic location , 5 min walk Leicester square onto nightlife nice quiet get back . absolutely stunning view river , look straight onto Eye . room huge well appoint , get king size bed oh comfortable . staff pleasant attentive . bit building work go entrance nothing worry noise wise . get pay say be not expensive . 
 Dec 14 2008 	 Fantastic ! look 	 fantastic place stay . everything perfect . room , facility , frienly staff . breakfast could expect , everything need . good place town , good quality ever see England . room 545 ( King room river view ) , think might good hotel , room appear high standard around . will . 
 Dec 14 2008 	 Excellent 	 Excellent service throughout , ideal central location , good link transport , site see attraction . Hotel Staff professional , strive meet every need . 
 Dec 9 2008 	 secret gem ! l 	 hotel recently renovate see excellent quality finish .. think everything ! upgrade Executive Royal room space extra seating area view London eye nice treat . bed comfy luxurious .. tv bathtub i - pod docking station surround sound , decent hairdryer , room superb . last time April , prior refurbishment wow difference . get comfortable feel hotel , staff warm friendly good presence manager around hotel lobby restaurant area . smoker , love outside terrace , enjoy glass wine outdoor heater . perfect business traveller woman traveller , hotel locate one road behind Charing cross Strand Trafalgar Square , away road street noise peaceful . only 10 minute blackfriar much less expensive luxury comparible hotel area . 
 Nov 30 2008 	 Great Location 	 two night stay weekend . location superb , close tube . short walk decent pub resturant . 10 min . walk Strand another 5 10 min . Covent Garden everything offer . easy walk along Houses Parliament across river London Eye . really can not praise location enough . room basic deluxe room view nice . well furnished , everything could want , excellent flat screen T.V . build unit also dock station i - pod . bathroom also t. V . build wall bath . first time see . first time shower whilst watch T.V . really anice hotel look return time price right . AuroraUK 
 Oct 30 2008 	 great ! hotel . courteous Staff 	 great hotel . we stay 7 day everything perfect . friend recommend hotel we . hotel business district not expect much night life . however , pub & amp ; tube close by . the staff professional & amp ; courteous except 2 person . two exception deal breaker way would definately return . : ( 1 ) evening bartender - ok not get warm , fuzzy feeling . ( 2 ) morning breakfast woman - too loud . majority reserve , quiet & amp ; quick respond . if get confused try research perfect London hotel , stop right , choose Royal Horseguards enjoy . 
 Oct 27 2008 	 enjoyable experience fabulous location 	 stay Royal Horseguards two night , book last minute executive room rate go 160 pound night . stay great , negative thing happen arrival receptionist claim pay twice amount . talk relationship manager ( nice lady ) promise take care next day morning ( arrive quite late ' call anyone verify booking ) , check - in . next day , call we morning inform we book information correct , opposed . happen somebody take care booking enter total amount charge one night . as actual accommodation , room spotless , go bathroom flat - screen tv bathtub , separate shower heated floor , seem brand new . get room , find tray chocolate - dip strawberry welcome we , nice detail ! room large enough intimate lighting face calm street , quiet . chambermaid knock door shortly arrival give we evening newspaper mint chocolate ask we whether want bed turn – bit surprised never even hear service – , without . breakfast nice full English give high expectation one may see one room 5 * , probably worth pay include price , though seem true quite hotel London . overall though , enjoyable experience ! 
 Oct 24 2008 	 Great Location 	 arrive Election Day ( 5/1/08 ) begin Bank Holiday weekend . front desk say totally book even though make reservation back March . let we stay egyptian Suite ( extra charge ) til room ready next day . move room 832 good size room king - sized bed . downside room view fire escape could not turn heat . outdoor temperature entire 8 day upper 70 's ....... room like oven even though give we fan . second stay Royal Horseguards definitely return future . place immaculate , restaurant staff nice location perfect . 
 Oct 14 2008 	 Excellent hotel great location 	 stay hotel previously ( many occasion ) , recommend highly . room renovate , good plumbing ( know old british hotel , will recognise significance ) , great room temperature control , excellent bathroom heated floor , flat screen tv wall overlook tub , separate shower stall quite large . nice comfortable expensive towel , bathrobe , slipper ... umbrella closet . the good room overlook Thames London Eye - follow overlook street . least desirable room face interior courtyard ( be ) nonetheless still plush comfortable . breakfast buffet excellent , especially like & quot ; full English & quot ; . sausage , egg , hash brown , black pudding , bacon ( real stuff , cheap streaky variety ) , bean , mushroom , cook tomato , assortment fruit , bread , cheese cold cut superb - sufficient quantity ( wish ) last till dinner . side , price , London expect . everything else , include superb location ( doorsteps west end Theatres , Covent Garden , Trafalgar Square , Strand , Soho Oxford Street ) make great hotel , 
 Oct 7 2008 	 Fantastic Hotel 	 Gorgeous hotel , refurb brilliant . room fantastic , gorgeous big high bed , plasma t.v , surround sound , bathroom also t.v shower , ipod docking station , underfloor heating bathroom ( great long day ) , fab power shower huge complimentary towel ( change everyday ) , dress gown slipper duration stay , tea / coffe maker view onto Thames London Eye - perfect night light ! ! little complaint breakfast , much choice sit still choice hot / cold cereal , fruit etc . do not eat anything else hotel . great location - 5 minute walk Trafalgar Square , 10 min Leicester Sqauare 15 min piccadily Circus , Madame Tussauds Euston 30 - 40 min walk , Oxford St 20 min . do not use tube - claustrophobic ! ! walk everywhere well way see everything - do not mind walk i d reccommend tube ! ! Westminster & amp ; embankment 2 minute walk Waterloo 10 min . next hotel Ministry Defence , 2 min walk Downing Street Houses Parliment . great hotel aspect , perfect couple business traveller . any question please ask . 
 Oct 6 2008 	 disappointment ! 	 book one night Horseguards see promotion . enter indeed seem special . room ready arrive afternoon eventually reach room ful disappointment . stick old attic room . dark , dingy , furniture damage tatty bed cover plain white sheet make look hospitalise cold . felt make feel like second class citizen maybe book promotion . disgustd room write email complaint arrival home . reply offer free room upgrade book certain date . good enough . want pay top price top room feel may treat otherwise not bother . certainly stay . 
 Sep 30 2008 	 stay anywhere else ? 	 hotel amazing ! ! ' m sure get great rate , star must align right moment . room large european standard . bathroom huge heated floor , towel warmer , tv shower / tub ! flat screen lcd room . issue noise night . hotel excellent location close everything ! two Underground stop close well . I absolutely nothing negative say stay free internet connectivity , seem trend London . highly recommend everyone hope stay future . 
 Sep 15 2008 	 never 	 stay one night , book delux Queen size , bed indeed queen size , trouble room marginally big . Dark , dingy , old fashioned , dirty carpet , curtain & quot ; net & quot ; ! bathroom almost big room , shower cold lack pressure ! expect £ 280 + night ! breakfast buffet , well hygine appauling , cover food thus open dry gather dust , saute would mushroom fresh frozen , back dry , snoker also dry , egg , rubbery solid , bean nice crust ! 4Star hotel heaven help we , entrance hotel expect something much much well . dissapointe ! 
 Sep 5 2008 	 mildew towel 	 good- sweet look exterior , look like castle . feel kinda proud couple use background photo ride London Eye . gorgeous look build lot character . - great location , walk distance major attraction except Tower Bridge . Accross street Embankment tube stop . really close London Eye . - Lobby area look classy . piano player nice touch . - none outlet work room . problem switch new room . let concierge know left day , problem fix get back surprise . service plus . Bad- Mildew shower towel . quarter one - side towel black stuff around stunk mildew . not know 4 - star hotel manage yuck towel ? - tiny room . small room whole trip . reserve Deluxe double room . might need upgrade big / well room . - WiFi internet costly L0.50 minute . 's L30.00 hour ! thank sign internet service want use minute . horseguard tack whatever minute use bill rather sign service will never use . - find small , slow elevator annoying . numerous time tease elevator open custodial woker inside say , & quot ; sorry , ' m go basement . & quot ; would smurk look face like get kick . final verdict , will not back . room small price pay . 
 Sep 3 2008 	 Perfect Location 	 book two night Royal Horseguards visit National Portrait Gallery Trafalgar Square theatre visit Haymarket . hotel list Laterooms.com get price book hotel quote website summer offer . pay £ 150 deluxe room include vat breakfast fraction standard rate . I tell helpful booking advisor ( email ) could ask upgrade arrival want river view . reward junior suite river view 8th floor additional £ 50 per night man check seem bit surprised good value upgrade assure we would never want stay anywhere else London . not far wrong room large , furnish traditional , smart comortable way bathroom , marble , big normal hotel room London . shower cleverly water come direction could shower without get hair wet . hotel staff friendly helpful polite without stuffy . breakfast extensive cold hot buffet helpful staff . we able walk everywhere take boat trip nearby Waterloo pier Greenwich lovely . also walk St James Park Buckingham Palace Mews ( recommend level opulence usually see UK ) around Covent Garden . lovely two day would not hesitate again . our theatre trip Brief Encounter , great show , exhibition Wyndham Lewis portrait . also excellent . one early reviewer mention noise front room - could certainly hear train bridge not bother we view make little importance . certainly not keep we awake . not need air conditioning weather cool effective try . 
 Aug 12 2008 	 well place attentive staff great bed ! 	 book hotel two night theatre break , take advantage special offer room upgrade executive free breakfast . the hotel near perfect position Thames opposite London Eye , close Charing Cross mainline Embankment Tube station . main tourist area within easy walk distance ( Covent Garden 15 min , Oxford Street 25 min , Trafalger Square 5 min ) , result never use tube . public area hotel impressive clean , staff friendly attentive . room ( executive ) quite large London standard , air condition extremely clean large bathroom contain walk shower full sized bath ( tv ! ) bed probably one comfortable ever sleep , much morning check strip sheet try discover make mattress view buy one . breakfast fine , mainly include room rate , otherwise pay £ 17.50 head might spoil appitite . usual drink snack pricey , good quality serve impecably . would use . 
 Aug 6 2008 	 really nice stay 	 stay Saturday night see show west end . could not fault hotel . staff friendly helpful . building work front hotel not hear noise Sunday morning wake . stayed 3rd floor one newly refurbish room . room fantastic . flat screen tv 's bedroom bathroom . modern clean . £ 160 B & amp ; b room excellent value location quality . stroll along southbank Eye , later walk Covent Garden meal Drury Lane show . nearest carpark Trafalgar Square . £ 40 parking fee rather steep . breakfast hot cold buffet , excellent quality , pile plate ! . advice , ask refurb room whilst building work go , stick Saturday night . 
 Jul 20 2008 	 good hotel business 	 stay business week ago , hotel good . room bit small ( single ) , stay corporate rate , expect . room comfortable enough , couple minor issue bathroom lighting:1 ) light not work ; one switch turn light , bathroom entrance.2 ) shower head break , water spray onto floor ; nearly slip floor thrice3 ) paint peel bathroom wallI would stay business . location excellent , close Embankment near Strand . staff friendly . regularly price room may bigger update . 
 Jul 16 2008 	 lovely hotel location people 	 long time search settle horseguard hotel get really good deal booking directly . half price compare lot third party agent . bit worried reading review , need . stay royal room think one newly renovate . fourth floor look tree . double window partial view london eye park . lovely . ask view two room quibble . room stay 419 clean , fairly spacious lovely light . fourth floor . comfortable bed , everything could need . room service prompt discreet . really find real fault . staff friendly , ready smile . make stay comfortable feel utterly spoil . without hesitation would recommend . renovating , bit noise last morning , early noticed packing , room later normal . room shower bath , think bath . tho shower huge tv . make sure look drawer tea etc . thing moan health safety aspect able open window fully . fault cotton wool society , hotel . quit noisy area - constant background noise traffic , think expect , use ear plug trouble sleep . overall would , back soon possibly . thank lovely break . 
 Jul 2 2008 	 super high - class hotel ! 	 luxury hotel ! stay Royal Horseguards 3 day middle May 2008 . staff really kind , room stay elegant , beautiful forniture , fantastic view river London eye . con bed , mattress quite unconfortable . breakfast memorable ! last point : location really strategic ! 
 Jun 4 2008 	 relax weekend 	 read range review hotel , quite critical , not really know expect almost cancel book special occasion not want glitch . need worried . upgrade executive room fine , albeit back view . room quiet comfortable staff come contact helpful pleasant . breakfast nothing special good value money , seem par course London . Lunch however bar area rather nice expensive . surround area also quiet weekend convenient Covent Garden head evening . overall pleasant stay . 
 Jun 3 2008 	 hotel = good base fab loaction 	 stay overnight Royal Horseguards 1night Theatre / sightseeing break . fab location , min walk embankment tube station . 5min walk Strand one direction , 5min walk Trafalagr Sq direction . directly back hotel River Thames & amp ; London Eye . have good view room . hotel nice quiet peaceful area good sleep guarantee . our room stunning view would say maybe look bit tired & amp ; poss need wee re - fresh . although fairly regal room appearance chandelier , quaint antique furniture etc jst need wee spruce . room room 519 & amp ; believe hotel recently refurbe room 1st 4 floor be poss work way upwards . having say room adequte , good facility etc would definitely stay . Breakfast sunday morning delish ...... stuff gunnel ! ! ! ! ! ! great hotel access area London ...... enjoy trip be stay ! 
 May 28 2008 	 Excellent Location Nice Hotel Priced Well 	 stay two night mid May 2008 . hotel typical city hotel try maintain regal atmosphere . room surprisingly large city room ( use live NYC , ' m use cramp city quarter ) .amenitie room nice - heat towel rack ( take figure switch outside bathroom , chilly London , nice - to - have ) , tea / coffee / hot cocoa maker , hair dryer , etc . able get breakfast include rate . buffet great way start day . hotel great location sightseeing , nearby tube stop ( one block away ) get anywhere . Parliament , park , Big Ben , Westminster , etc . , block away . head direction , , walk get theater , restaurant , etc . there two bridge side Thames , afford beautiful picture - take opportunity . if determined ride London Eye ( ) , right across bridge convenient hotel . the negative hotel HVAC unit seem either make room hot cold . otherwise , everything fine . front desk staff helpful efficient . 
 may 28 2008 	 New rip price 	 many year stay Royal Horseguards hotel love , although room looking bit date . price always fair good value money recently . appear Thistle Hotels upgrade website hike price least 33 % one sweep . unless hotel renovate completely since December 2007 last stay , see justification huge hike . know Thistle renovating hotel , surely price change modestly complete . well alternative money charging . still lovely hotel location perfect . 
 May 27 2008 	 great hotel great location near attraction ! 	 stay two night second leg european trip quite pleased . location excellent within easy walk distance several major attraction . first room receive small view vacant hotel across street . request upgrade ( 25 pound ) move much large room view Eye . staff excellent answer question give direction . also , provide we transformer / converter use duration stay need curl iron . would definitely recommend hotel ! ! 
 May 2 2008 	 great location ! 	 stay lovely historical hotel April 26th - 29th post cruise venture London . although , Royal Horseguards completely refurbish hotel first 4 floor , impact stay . the hotel look like picture describe website , however , room # 645 show need repair place , , overall excellent room clean . room look like Deluxe room show website ( decor red ) exception two twin bed instead 1 dbl bed . include huge bathroom would make 2 home state . also , entry room dbl . closet locate , door actual bedroom . room include 2 free bottle water ( daily ) , coffee ( instant little tube stick ) , cookie , hot chocolate , tea , tea pot fast pot heat water fast not time open coffee packet .. hehe . also mini - bar , alcohol coke , water , juice nut . our maid tell we come back next year see totally new decor update complete . guess old thing wear , problem except one . warm room check seem a / c not work . be antiquated . since french door open , demand unlock could get air outside room . oblige we fabulous cool air love . need a / c . matter fact reason keep french door lock , say , not want anyone jump balcony . hummmm ~ the view room overlook Thames awesome . not think Deluxe twin room large , friend six door we view , , much small room sofa french door , window small bathroom . would stay ? betcha , heartbeat ! ! round corner ( 5 min . walk ) embankment tube station , ½ mile Parliament , Big Ben Westminister Abbey . Trafalgar Sq . 8 minute walk depend fast walk . Leichester Sq . 2 min . beyond Trafalgar Buckingham Palace mile hotel pleasant walk St. James Park make even delightful . Breakfast not include stay trip . however , £ 17.50 GBP pp not think worth price . could walk toward Trafalgar get full breakfast little 4.99gbppp . we find great little restaurant cross street Trafalgar call & quot ; Frankies & quot ; . italian pizza place price really cheap .... GBP , . fine dining , cute well worth nostalgia picture wall italian entertainer good menu boot . cute clean place . another nice pub & quot ; Clarance & quot ; . be also street Trafalgar . will like one . one last thing ! must London Eye . afraid height , believe husband one , go say , can not believe bother one bit . one ask one cubicle swung like ferris wheel . stationary freely walk around sit bench middle cube . Hope take opportunity stay Royal Horseguards .... next year even grandeur . hard beat . 
 Apr 19 2008 	 right Good Time Royal Horseguards 	 recently stay Royal Horseguards Hotel , London share wonderful experience fantastic hotel ! moment arrive treat like royalty ! concierge absolutely 1st class although room not quite ready invite complimentary refreshment exquisite lounge bar . well worth wait delighted room . furnishing nice room spotlessly clean . bed linen , wife particular , high standard bed cover sumptuous cushion ( welcome tiring day sightseeing ! ! ) .The location hotel excellent . 5 - 10 minute walk Strand ideal ticket Adelphi Theatre . straight opposite Thames stand London Eye literally road stand Westminster Big Ben ( friend stay another room could even hear chime ! ! ) .The small disappointment hotel swimming pool pack speedo option take dip Thames ! ! ! .We fantastic weekend Royal Horseguards already plan return trip . 
 Apr 19 2008 	 Outstanding hotel perfect location 	 check Royal Horseguards 9 April 15 April 2008 . fast check upgrade we Jr suite . cool ! mansard portion roof ceiling slant place . look three rather small window see 1 ) thame , 2 ) London Eye , 3 ) roof , 4 ) ' egg ' score bldgs light night 5 ) river traffic 6 ) train approach Charing Cross train cross important , want check time : BIG BEN & gt ; yes , see window . cool ? 8th floor . room small alcove w/ seat area bathroom marble . tub skinny , 3 width foot , approx . 9 " wide . certainly make today ' girth good soak . 6 foot length . bed comfy nice duvet . kind room . get online purchase 5 days/2000 min BTopenzone . loo right smack behind BR door watch knee hope one open onto . brass plate button light , heat , volume ? , please disturb light light red PLEASE service ROOM green , outside door . button thing past day radio system . also heat wand ' anything . radiator loo heat bathroom . purchase Guoman chain - an upscale one- begin remodel . room quite large UK standard . quiet . ' bit shabby , remodel soon . room great ' notice minute . front desk staff exceptional . stay lot hotel London rate one good . certainly stay highly recommend . 
 Apr 7 2008 	 Time renew mattress 	 matter good rest service , bed uncomfy one uncomfortable , not go away good impression . niggle issue . valence bed rather stain divan base , middle toilet roll holder keep floor , could either mini bar kettle plug time . addition book 2 room request together travel 2 child give one different floor . telephone old button keep stick make difficult use ( although second phone alternative ) none latter problem enough make fuss together bed issue mean would not use hotel again . the plus point great breakfast , helpful restaurant staff central location . 
 Apr 7 2008 	 pretty nice hotel 	 stay London 4 night hotel nice ; big room , big bathroom , friendly front desk amazing breakfast . hallway date smelled smoke stay pleasant location amazing . little pricey relative season not bad . trouble dial US ( first time try ) front desk extremely helpful end let use phone free . hotel 1 block Thames 2 block Trafalgar square 1/2 block Tube . breakfast amazing ! room service exceptional overall stay nice would . 
 Apr 5 2008 	 Perfect stay London City 	 stay Royal Horse Guards Hotel 2 night - book via Superbreaks - special offer include theatre ticket Mouse trap St. Martins Theatre . well locate hotel- next Embankment Underground station . lovely view Thames - although room side street 5th floor . good offer include special double room river view . neverthe less pleasant stay . complaint cleanliness . mattress good well , old lumpy could do large full pillow ! breakfast super ; buffet everything full english healthy fruitsalad different youhurt lovely bread roll . ameican funny ; fill plate enlish breakfast fruit salad cinnamon swirls -all plate ! ! play & quot ; Mouse trap & quot ; superb , theatre lovely , build 1907 . beautiful decor , wood . small cosy - got feel sit livingroom private performance . good story good actor . pleasant stay 3 day stay . by way , lovely food Bertorelli 's Restaurant St Martins Lane theatre . also visit Gordon Ramsey 's Boxwood Cafe -beautiful food , well cook taste world . book table 3 week advance though . restaurant bill 2 person £ 120.00 , worth every penny ! Anna Wales 
 Apr 2 2008 	 Comfort Service Capital 	 birthday surprise daughter lead experience forget . arrival elegant hotel courteous welcome . room , overlook river 7th floor , simply take breath away - room spacious elegant although decor little tired admit not really notice have walk window catch sight amazing view . wow - river , London Eye , bridge , barge , buzz embankment finally city St Pauls Cathedral distance - awesome ! night 's light ..... well wow . hotel refurbish year floor floor 's complete will gorgeous . dine hotel - breakfast great . dinner unhurrie food sensational , service die - we like rash discreet necessary ! professional - joy ! make feel special . many hotel London one 's creme de la creme . top list sure . go - will not disappoint , oh , pay extra river view - draggng away window every morning evening tough guess ? room service pretty good ! enjoy ! certainly ! : - ) 
 Mar 19 2008 	 Lovely Hotel 	 two couple stay 13th 14th March . we room 806 , 807 810 . husband upgrade 807 executive suite extra £ 25 per night feel well worth . Kingsize bed small sit area great pre - dinner drink . friend room . we use Tesco Clubcard voucher great deal breakfast include . we one two gripe - , suite one towel bathrobe slipper ( two ? ! ! ) two room executive double not robe know hotel 4 * none we bring dressing gown . also shower cap replacement product second day . small detail know want lady know full deal ! ! hotel extremely handy tube stationsand also close enough walk back restaurant around Covent Garden . I would definitely stay maybe upgrade river view suite . any query please contact . 
 Mar 18 2008 	 good quiet hotel easy walk many attraction 	 stay Royal Horseguards 5 day way home Mauritius . room large king size ( actually 2 twin put together ) . weakness room small bathroom need update . upgrade room view THames London eye -- nice . there many sight within walk distance hotel -- Trafalgar square , National Gallery , Buckingham Palace , Royal Horseguards , Big Ben , parliament building , Westminister Abbey , Covent Garden , strand , char Cross station etc , etc . great location ! staff accomodate curteous . morning full breakfast downstairs want . last night dinner dining room -- excellent ( quiet ) . find general hard find quiet place eat London . city never stop . would recommend hotel give location , hotel price . 
 Mar 17 2008 	 Wonderful Hotel 	 Friend stay weekend lovely hotel . great location see site , include Eye across river hotel . beautiful public area , immaculate warm . nothing much trouble polite helpful staff . room clean comfortable , twin room , spacious enough two we . room view , important would well pay extra booking - plan spend much time room , prefer explore sight hotel . breakfast plentiful varied , something suit everyone 's taste . take advantage special rate 3 course meal hotel restaurant evening . glad food service wonderful . fault hotel . would definitely stay . 
 Mar 14 2008 	 pleasant experience 	 nice 4star hotel . not pretend 5star hotel 's . however , service generally good room well expect one exception . thing need improvement bed . rather old soft wake back ache morning . would suspect room quite different get good bed could quite hit miss . reason , would inspect room carefully settle . bathroom quite large separate shower quite modern clean . breakfast food rather mediocre ' m glad come room would paid regular basis . concierge front desk staff helpful possible . hotel location great . easy walk major sight . would stay would need sure could see room inspect bed know choice unsatisfactory . 
 Mar 12 2008 	 Lovely Hotel 	 stay family 1 night see show . use Tesco Clubcard Vouchers . book executive room river view get one ! fantastic . move people around give we room . two room separate floor not problem . room lovely , noise . downside go breakfast morning wait nearly half hour seat . ask table 4 wait long decide ask 2 table 2.we would definately go back use voucher make good value ! 
 Mar 1 2008 	 first time last time stay 	 book 2 night stay hotel Tesco / Thistle booking , say promise keep statement , Booking room wrong stick back room request riverside veiw room order . room dirty , mouldy poor standard , picture share ask phone . highligthe poor additude front house staff , delivery paper two day , service breakfast like road side cafe , 4/5star hotel . when move correct room find loud noisey / party unit 1 am Sunday morning tell function next door find wedding tribe hell residence . a great location stag hen party / dirty weekend top class stay capital city . I hope well let ! ! ! ! .Next time back Marriott County Hall . 
 Feb 23 2008 	 Nice ! 	 stay hotel husband son 12 . check - in efficient staff smile . ( unusual day .... ) room little bit worn , like . think something atmosphere hotel like . the breakfast nice . although continental breakfast , great . the location good , close embankment tube station . however would like stay hotel single woman travel alone , hotel small , quite street . 
 Feb 13 2008 	 aware building work 	 first visit usually lovely hotel , staff accomodate friendly . one tell we book building work go , first 4 floor , builder begin work 8 am ( ok business man want relax break . ) one three lift work go floor 5 lift go top floor first door open chance get , get wise press button go get go 9th floor way ground fun ride little cramp . would usually highly recommend hotel check first builder go book . go request high floor do not get disturb much . 
 Feb 4 2008 	 Excellent Location 	 stay 2 night Aug 07 . clean well present hallway lobby . arrival partner give free upgrade Junior Suite , unfortunately without view . amazing location sight seeing , lot attraction within walking distance . 
 Jan 28 2008 	 disappoint 	 spend one night Royal Horseguards disappoint ' five star deluxe room ' live expectation - hotel website . room lovely bathroom wear - crack shower floor , limescale cover shower head , loose bath panel ! chip cup , bird - poo cover window pretty uncomfortable bed add disappointment . a good location good breakfast - do not expect 5 star luxury use selling point . 
 Jan 27 2008 	 worth view alone 	 front room overlook Thames view make stay Royal Horseguards special experience . however , room river view carry supplement - worth pay . staff generally friendly helpful . room large adequately equip . second stay occasion note bed particularly comfortable . our room , occasion , seventh floor . decor begin show tiredness cleaning standard good . the hotel 's location convenient many West end theatre close walk distance Trafalgar Square , Leicester Square , Piccadilly Circus Covent Garden . embankment tube easy 5 minute walk . breakfast satisfactory . sometimes wait table . buffet service reasonable selection . niggle quality coffee tea ( obviously make advance keep warm insulated flask serve table ) toast serve flat plate go soggy quickly - invest toast rack . on plus side breakfast serve 11.00am . all tell Royal Horseguards different 4 * London Hotels save location reason return . 
 Jan 21 2008 	 view ? 	 use Tesco clubcard voucher get night away , leave son grandparent ( would cost 125 GBP ) . location fantastic although try might could not find view Thames / London Eye , guess reserve poshest room . hotel smart , efficiently run buffet breakfast good although people wait seat become available . bed comfortable ; not often find hotel . 
 Jan 21 2008 	 Fantastic Hotel ( problem Honeymoon ) 	 arrive hotel straight overnight flight JFK request early check phone airport . arrive give junior suite pay although view poor everything else first CLASS . porter door reception housekeeping staff everyone excellent . we dine restaurant although pricey ( £ 115 2 ) could not find fault meal , although head waiter bit offhand . we return honeymoon aboard Queen Mary 2 say service food give hotel par even well legendary Cunard White Star experience . brillaint ! thank . 
 Jan 21 2008 	 Great Service 	 return 2 night hotel . never experience good friendly service hotel particularly London hoteleveryone seem smile face nothing much troublei recomend hotel highlythe location excellent sght see theatre breakfast also excellent 
 Jan 11 2008 	 location 	 stay Horseguards couple night , book late deal pay nowhere near advertised price ( would well shop around ) . bowl size place 's location excellent , stone 's throw river excellent base visit Westminster London Eye foot ( decent walk shoe , be brisk walk winter lovely alongside river ) . alternatively not want walk , be helpfully locate close tube . room large expect . view ; window overlook ' tradesman ' end hotel , fairness not book room view certainly not disturb noise anywhere . clean , enough towel pillow , nice warm room Winter . overall stay good base rate pay ( approx £ 100 per night ) - pay £ 300 , would rate average . 
 Jan 10 2008 	 Excellent location 	 Overall - happy stay hotel . common area stunning . upon enter hotel greet beautiful fresh flower display - every square inch lobby / common area spotless beautiful . I stay 2 night - 1 start 1 end business trip . first night see terrible cramp , room state disrepair . luckily need sleep arrival late . the second night much well assign great room view nice courtyard . room spacious king size bed , along large bathroom . the service front desk average . breakfast excellent - large buffet style breakfast . I would stay - particularly convenient location . 
