cleancomfyperfect 	 second stay travel inn 42nd street . even knee damage find location theatre shop ( time square ) within comfortable walk distance . I book single get double double , near lift request . forgot hair dryer uk USA adapter provide ( hair dryer room , plug request ) handy later check 12 pm , still get run last min errand last day . easy walk subway port authority . also across street drug store food nearby . fridge microwave room nice touch warm . can not fault place price location . small cozy , well look helpful staff . will return def . reccomend NYC traveller want comfort budget location ' the thick ' ! 
 Apr 16 2008 	 good value money 	 hotel absolutely renew property , present new carpet , painting , faucet , courtain etecetera . it great decoration honest clean . it locate three block Times Square , seem somewhat desert night , locate front police station , safe . the low floor face 43th Street pretty noisy , well stay back room . it plushy place offer good value money . 
 Apr 16 2008 	 would not stay 	 wow , would come back . work make stay try save couple buck since place touch cheap Marriott -- BAD IDEA . 1 ) room right next elevator , ridiculously loud . could hear clearly every time someone use -- NIGHT LONG 2 ) Stains sheet . wash , nasty stain nonetheless . 3 ) small room , could barely walk bed get side room 4 ) use way much pledge . everything room heavy coat , smell overbear 5 ) staff not friendly 6 ) free Wifi , , mine would not even work room pay ; go lobby ( can not even drink soda food beverage allow -- lame ) hour work . go Marriott somewhere else advice ! 
 Apr 15 2008 	 good family hotel 	 family ( husband 2 boy , age 14 12 ) spend 3 night early April spring break . satisfied hotel overall . choose hotel lot ( ! ) research , base location , price , benefit on - site parking include room charge . already book room find hotel list Frommer ' guide recommend family hotel , reassure bit make good choice . check - in quick room clean , good repair large enough 4 we . mini - fridge microwave nice extra feature . full - size grocery store block away , able buy fresh fruit keep fridge . location hotel excellent - close Times Square subway station . also , drive city west , easy ( relatively speak ) get hotel Lincoln Tunnel . although use public transportation city , take car garage much like . use NYC traffic , would recommend method get around drive car . negative give bit noisy sometimes due police station across street ( siren ) , none us trouble sleep . would bring earplug light sleeper . coffee shop next door hotel ok , preferred Westway Diner , couple block away ( 9th Ave , 43rd 44th street ) . hot breakfast 4 we less $ 20.If look reasonably price hotel clean , safe , near Times Square , good bet . look luxurious romantic place great view , go somewhere else . 
 Apr 9 2008 	 Loud rude 	 stay Travel Inn 4 night first week April horrible experience . first 2 night okay except room unbearably hot , even heat control turn . open window day cool room . also , shower constantly adjust keep burn frozen . would let child shower hotel sure . the noise start third aftenoon stay return room rest awhile go dinner . could child run back forth constantly time jump something floor . hour , call front desk see could anything rudely tell idea check child could nothing . run last 2 hour abruptly stop . Liitle know begin come someone upstairs prepare event next day bring child along run play hotel . the next afternoon return room around 4p.m . soon step elevator onto 5th floor , hear loud thumping music . enter room sound even loud wall room actually vibrate form sound . trace sound sixth floor large conference room sit directly west interior room face pool . ( place request quiet room ! ) obvious large party amplify music go conference room someone also yell microphone inside room . go desk ask aware loud party music go conference room clerk say yes party would 8 P.M .. explain music thump loud room actually vibrate room wall looked rudely say well 8 . ask could least ask turn look finally slightly nod head . go back room instead decrease , noise actually escalate next 3 hour till felt attend indoor concert ! try call extension list hotel manager recording say . leave room 7:15 P.M. , stop front desk tell clerk noise increase say 8 , respond ridiculous hotel allow loud party disturb 's guest say well meeting room ! tell party get back dinner would call police station across street report disturb peace say well fine would call ! whatever mean ! return 10:00 P.M. music could clean move furniture around . also constantly run child back room . noise subside finally 11 p.m.bottom line , hotel could care less guest , interested money bring whatever source get . staff arrogant rude approach problem . would nevel recommend hotet anyone . 
 Apr 9 2008 	 hide gem ! ! ! 	 hour endless search read review good friend decide would take chance book . thrilled ! drive ease get hotel great ! two block West Side Highway mean not fight traffic heart city . pull greate nice parking attendant direct we check . accomodate we say would like quiet room . * note : always ask room overlook pool * 's quiet 's nice view Empire State Building . check drive car nice clean secured parking garage ( hotel property , something never FIND NYC ) go right garage room . also might mention able enjoy service car , mean take car day return , something never find NYC . room clean quiet comfortable . mini fridge micro make well . say room bit warm leave window open nice breeze blow . * note , be NYC folk . close lock window leave day . Times Square short ( 3 ) block away well great irish pub , right around corner ( Landsdowne ) . great deli site well liquor store grocery store within 2 walk minute . also excellent flea market 39th 10th ( , short 3 block away ) .We stay 2 night upon check let we leave car could walk around bit . can not say enough good thing place . review staff rude , not personable , quite nice . 
 Apr 6 2008 	 love 	 love place . three block time square . staff friendly enough . sister stay Mar 30- apr 1 . room clean affordable . would definitely stay . 
 Mar 30 2008 	 Robbed hotel room ! ! 	 would suggest stay hotel due security . 3 other girl stay hotel 3 night 2nd night hotel break . stole laptop mp3 player . contact night manager right away . nothing make we feel safe . not suggest change room anything . night manager advise we contact police manager talk we morning . advise would call we 7:30 8 am . manager never contact we . go lobby next morning know nothing . file police report inform contact manager receive case # could file claim hotel insurance . try contact 4 time not return phone call . not safe 's room . would suggest stay somewhere else safety . 
 Mar 27 2008 	 recommend hotel + + + 	 went New York Easter stay 3 night . request special room via email receive answer get room request extra cost . clean room , ear neighbor next door overall quiet . good cheap restaurant breakfast beside hotel , staff pleasant.10 min walk Time Square Bus Terminal . will return . recommend hotel anyone look budget hotel fairly cheap price New York . find cheap price book directly Hotel web site . 
 Feb 23 2008 	 good location 	 back nyc.staye Travel Inn , approx 3 block Time Sq , nice deli next door , supermarket 2 min away , pharmacy across road . room clean 2 x double bed microwave fridge t.v . Reception stf personality , quite rude . mind find new yorker misserable.shoppe good , taxi frm jfk airport $ 45 set fare tip top taffic bump price . NYPD dept across road hotel siren frequent.our room 531 overlook railway bridge noisey train pass toot horns.not sure would stay better.enjoy shop till drop ! ! ! windy cold way . 
 Feb 17 2008 	 great location 	 4 person ( 2adult + 2 boy ) stay exelent hotel 5 day february . share quad ( 2 dbl . bed ) 6 floor . big room clean nice good big tv , fridge microoven . bathroom small good equipte . reception friendly help we ask . minus check pay extra small boy play game tv . place say service free . hotel free wireless internet - security reason must pick new code reception 24 hour . location perfect 800 meter Time Square neer big bus therminal take anywhere . 
 Jan 11 2008 	 can not fault hotel 	 reading review leave , apprehensive staying hotel need not worry . greet lovely lobby decorate decoration Christmas tree . staff absolutely fine , rude like review say . hotel extremely clean . room lovely , clean bed make every day . location great , get little tedious walk stretch road time square every day walk expect visit New York City . would highly recommend hotel , great value money visit New York , stay . 
 Jan 10 2008 	 great location cheap 	 stay travel inn new year period . little worried reading review site however pleasantly surprised . the location simply great ... ten minute walk Times Square .. three block along 42nd street , that s . walk , will pass madam tussard , theatre , diner etc ... use subway , get one end manhattan ( i.e get southern part go Liberty island ) hotel clean , frindly , ven new year guess thehy would rather elsewhere - helpful.the concierge shop bit useless - advise ervryone place clsoe new year day - -when go find natural history museum open.do not bother eat hotel - across street , one block towards times square , gp Theatre row diner - excellent french toast.other eatery - , not bother expense Times Square ... try anywhere along 9th 10th avenue , walk north towards central park . 
 Dec 30 2007 	 Great Location Rude Staff 	 must say hotel good location Times Square . walk everywhere ( be still feel ) . good price location , nothing spectacular . , however , disgusted hotel staff . every day access code internet change make we get code lobby . three four night , code work say never problem . become bit joke us b / c say exact word : & quot ; never problem . bring computer see 's wrong it . & quot ; first night try try finally work . second night tell hotel staff next morning give wrong code night . third time , go bed give . night staff , rude time . would come lobby hotel go elevator , stare whole way . even hello smile give throughout entire stay . treat way throughout NYC , would expect courtesy hotel . would possibly stay , search long hard courteous hotel . a word caution : ; allow child search bed anything , may find mouse trap mine do . try take show evening , find lukewarm water well . also , take film 1 - hour photo CVS across street . spend $ 66 throw pic away get home , $ 500 camera shot look like disposable camera shot . color horrible ! ! ! cry like baby ... 
 Dec 14 2007 	 shocking service 	 recently stay night Travel Inn Hotel W 42nd Street & amp ; 10th Ave . felt price poor service . 
 Dec 6 2007 	 great place - great price ! 	 spend several hour pour review hotel Manhattan , decide stay Travel Inn , corner 10th & amp ; 42nd . location excellent , ten minute walk get right heart Times Square . although Travel Inn company Travel Inn UK standard ( well ) . room well maintain staff friendly helpful . might want take set earplug . room overlook police station every get wake sound NYPD . would definately stay recommend friend . 
 Nov 13 2007 	 Great Location 	 return 5 night break . upon arrival check breeze staff friendly . room fair size 2 double bed comfy , fridge microwave also good addition ( kettle would nice also ) hotel ritz want cheap clean would recommend . location great couple block Broadway Times Square . planning trip Liberty Island would try go early ferry later ferry horrendous queue . 
 Nov 9 2007 	 excellent value - great staff ! 	 4 we stay first trip New York - mum , , sister friend . book 2 double - double pleasantly surprised , hear small hotel room NY . room good size , really comfortable bed , tv , microwave , fridge , iron ironing board ... fact , everything except kettle ! luckily , would bring travel kettle Brits love morning cuppa . view room ( railway track ) bit disappointing , not plan look window much ! staff hotel fantastic - nothing much trouble small need attend immediately . also luggage store last day real boon - mean able enjoy holiday right last minute ( - arrive pick bag 2 minute shuttle bus collect we ! ) .As other say , deli next door great breakfast - must recommend Westway deli 9th avenue - near 43rd st . even well value one next door , hot oatmeal brill 's cold ! also unlimited coffee . really substantial breakfast 4 come $ 27 include taxis . fantastic . we end get Citysights bus tour accost we first day . can not recommend Grayline frequency much less . guide hilarious , though ! proper NY sarcasm . 
 Nov 3 2007 	 great choice great price 	 first time visitor new York , 2 adult ( mum , sister ) a13 year daughter concerned location , safety cost . Travel Inn ideal count . room great view Empire State Building , great deli next door breakfast lady little gift shop mine useful information . also arrange transfer back JFK . hotel roomsare not luxurious clean believe shopping sightseeing 13 hour day firm matress need . complaint shower temperature control erratic . young child use bath . out hotel door turn leave walk 2 block Time Square . Grey Line sightseeing tour stop town Uptown Times Square ( tour guide excellent ! ) . subway station block Time Square direct line South Ferry Statue liberty- get first five coach though ! turn right hotel door two / three block new waterfront development also terminal river cruise . love New York think Travel Inn represent great valuefor money great location feel perfectly safe walk fro even late evening . PS Blue Man Group still Astor Place Theatre definitely worth visit- great show ! 
 Oct 25 2007 	 not tell everyone will never get back ! 	 second time stay hotel . first time good , time even well ! room ( 4th floor ) spacious overlook 42nd St , though would not know minimal street noise . ideally locate Times Sq virtually everything else Manhatten ( not walk back Battery Park like ! ) . Hells Kitchen around corner fantastic selection eatery . good irish pub round corner 10th . of course , big bonus fact get complimentary , on - site parking . ok , be Ritz , clean tidy pleasant , helpful staff . would much rather spend cash enjoy contemplate wall paper ! New York ! 
 Oct 18 2007 	 Broadway Broadway 	 wife NYC ( first time ) second half nine day vacation . first four half day spend inWashington D.C . NYC stay Travel Inn Hotel , 42nd 10th ave . recommend Travel Inn way average every catagory , location , front desk , tobee extremely clean , large room . ( hearre small hotel room NYC ) room size asany hotel motel room stay anywhere . walkedalmost everywhere , except sight seeing bus ( Greyline ) andone cab train station ( take train D.C. NYC ) Travel Inn van hotel Laguardia airport . wife ( 63 54 ) walk Empire State Building CentralPark back Travel Inn . anyway NYCthey Broadway Broadway ( Times Square ) every Broadway show one number song dance whatever . end confetti fall roof top like New Years Eve . WOW 
 Sep 22 2007 	 Budget Hotel ... much well 	 book Travel Inn direct telephone need 2 room 5 people 6 night stay . search web budget hotel Travel Inn fall catagory . would class place budget hotel . fab stay . first contact telephone reservation staff , various e - mail change date room request , arrive great welcome desk staff . double double room overlook pool clean fresh . room inc TV , fridge microwave , iron board iron hairdryer . maid hand full 3 lad one room room clean every day matter time emerge . pool great place relax day change night town . manager arrange Limo take we airport ... good price . the hotel locate West 42nd Street plenty deli bar around . & quot ; Theater Diner & quot ; across way deliver room Deli next door hotel ideal nip grab coffee . great location easy walk Times Sq sight . this 1st trip New York lad wait 21 .... love make Fab holiday stay Travel Inn . rec . friend family def stay next trip.ps .. last stay New York Crown Plazza Times Sq . 
 Sep 7 2007 	 Nice hotel inconvenient location 	 mom spend one night travel inn go Rachael Ray Hairspray . hotel great price find expedia . stay year ago new safe choice . first room get literally train track . fridge micro miss ( would not know unless read review prior ) . immediately ask another room . good thing train come blow horn twice go room ! ! second room not clean yet , ask housekeeper clean . , know clean ( see old sheet take , etc ) . tip quick . the room pretty clean . tv extremely small , not need . right next elevator pool , stuff ear steep ! bed pillow fine ( little hard , hard ) . extra pillow , towel super small . water pressure fine . mostly walk , would say location not stellar , yes 42nd street , close hudson . take M42 cross town bus though right hotel . could not not $ 2 coin . real pain ! ! ! taxi strike , mostly walk . love walk ny , mom knee replacement surgery . I would recommend hotel want free parking ( choose ) . otherwise , try stay little close broadway 's head . 
 Sep 3 2007 	 wonderful Stay ! 	 party 4 stay Travel Inn 8/31 - 9/2 2007 . read review religiously try decide expect hotel . base mixed review , seem like 50/50 chance would either positive negative experience . arrive 9 am Friday morning . check - in not 2 pm , hope able park car hotel could check - in later . walk lobby , desk staff friendly & amp ; another staff wash window . could park 9 am , say room vacant & amp ; let we go right ! ! ! huge plus - 8hr drive & amp ; bed right away fantastic . check - in literally take 30 second - completely hassle - free . parking bite tight Crown Victoria , husband pull without much effort whatsoever . 7th floor , room 733 outside elevator . pretty standard room far size & amp ; furnishing go . bathroom Tight . make work , compare room space , bathroom disproportionately small . room overlook train track & amp ; small side street without much traffic . actually request street view - specify street want view 42nd ! nonetheless , view lovely & amp ; perhaps amazing & amp ; unexpected bonus breeze come . room , aside sleep , leave hotel door open entire time & amp ; cross breeze incredible . occassional train & amp ; little street traffic welcome sound disturb - enjoy sound city . bed like concrete - hard , matter none . night come long day sightseeing , etc . sleep like rock ( pun intend ) . typically wake bed least 1x per night . never stir bed . housekeeping fine & amp ; everything clean . honest , not pay attention many detail NY . love city & amp ; be ' m , have happy stay hostile bench park . , mom , brother , & amp ; husband prefer hotel . eat Theater Row Diner . close , quite lovely inside , strong contrast be outside appearance . also eat Broadway Diner next door - also good . hotel 's location good , pretty central everything would want . short walk & amp ; be Times Square - definitely way recommend Pax Whole Foods ( chain deli w/ delicious sandwich also get uptown 2 location ) & amp ; Madame Tussaud . 's wax museum - entertaining . plan make repeat trip city , recommend avoid tourist trap around bus terminal & amp ; Times Square . head upper west side find Buttercup Bake Shop w.72nd Amsterdam . , head village eat Magnolia Bakery . bakery make basic cupcake ( 2 lady use friend & amp ; cupcake create instant mania & amp ; boom business , fought & amp ; split , thus 2 different store ) delicious bake good ever put inside mouth - get - $ 1.98 - terribly underpriced ! ! ! know get maximum 12 per person / party Magnolia Bakery - plan get lot - go one 72nd . upon checkout , also take 30 second , allow leave car garage 5 pm late . overall fantastic stay , real complaint hotel bathroom tight . although , impressed toiletry vegetable base , rather animal base , something important husband & amp ; . early check - in , fantastic breeze , location , & amp ; late parking please we Traveler Inn 
 Sep 2 2007 	 great place car 	 hotel situate mid - town , 5 - 10 minute walk Times Square , great want close enough downtown without spend fortune . room clean , comfortable . room open corridor view swimming pool courtyard . also fridge food purchase outside . not mini - bar ice & amp ; vend machine situate 3rd Floor , room . staff friendly helpful . one computer lobby pay access internet . room service available hamburger soup order good . hotel mean luxurious , be nice one not wish spend $ 400 / night downtown hotel , value commodity proximity downtown without cost require safe spot park car , valet parking property free ! 
 Aug 27 2007 	 Loved stay 	 stay hotel 23 till 26 August ! second stay NYC , stay NYC 2005 Hotel price catagory . upon arrival expect hotel similar , could wrong ! although pay approx . price nothing comparre previous , would even say luxurious hotel , consider ny pay cheap price ! staff friendly room spacious clean ! also big advantage noise , close action barely noise ! first hotel sleep 3 day stay ! would recommend Travel Inn hotel first timer go city never sleep ! ! 
 Aug 21 2007 	 could not ask anything . 	 hotel meet expectation ( price ) .Yes , stay fancy hotel also pay much . room clean , staff excellent . the lady work boutique pleasant helpful . as like guest , feel safe walk back hotel evening . deli next door great well grocery store one block away . we also vehicle parked garage week . I really not know people expect . want 5 star hotel stay five star hotel . keep mind , budget hotel . to sum perspective hotel : clean room , large room , fridge , microwave , pleasant staff ( lobby , chamber maid , boutique , maintenance staff ) , pool , deli next door , close Times Square , supermarket one block away , secure parking ( extra charge ) , police station across street . yes , wall thin room face 42 street traffic noise , hey New York ! know stay next visit back New York . 
 Aug 20 2007 	 great ! well deal expect ! 	 family 4 stay hotel . fridge microwave room -- surprised see coffee pot . little restaurant next door great food , great service . Police station across street . room clean , people friendly . got amazingly great deal ! enjoy stay much . wish make time go pool -- look fun . 2 long block subway , close food place grocery . probably well deal will ever find . would definitely stay . 
 Aug 20 2007 	 great hotel price ! 	 8 we stay June ' 07 one complaint ! great hotel , staff fantastic free parking , go wrong ? ! bed clean , little small comfortable stay hotel room long NYC ? ! clean staff friendly accomodate . 's 10 min walk Times Square great little restuaurant stree explore . would encourage anyone want deal not mind little Times Square stay ! 
 Aug 13 2007 	 avoid like plague 	 last minute booking ( son break wrist vacation cancel horseride holiday upstate opt city break ) little choice availability . request ( promise ) two room near ( one husband , kid ) yet offer room separate floor rude check manager refuse even look sort thing . absolutely attempt form customer service . room overlook railway line - many train run per night thank goodness noisy . room actually not bad - new carpet new large fridge . tiny bathroom , however , shower go freeze scald second . , be massive , bed dirty . pillowcase hair . apology housekeeping ask fresh one . bathroom sink also major crack harbour dirt - first thing buy antiseptic wipe drugstore across road scrub bathroom . good start holiday . cope bad view / service bad hygiene . the hotel frankly grim depressing . not see one smile face whole 3 day . elderly couple storm see dirty room . yes pool , yes 's handy Times Square ( asset ? ! ) wire fence round balcony walkway prompt daughter christen Prison Cell Block H. especially first visit NYC , not stay . put black cloud whole trip . ( one point - not buy Circle Line ticket shop outlet . will get voucher get line ferry swap proper ticket . ) 
 Aug 9 2007 	 never ! 	 work arrange short trip social club travel New York 19 t April - 23rd April . share male colleague good friend although partner . book trip request twin room . arrival hotel check give room key . nightmare begin ! room notice one double bed . go reception way dinner ask room move . ask could & quot ; favour & quot ; stay busy ! explain not want sleep friend male partner do not seem work rule & quot ; customer always right ! & quot ; . go dinner return call room insist move . receptionist advise go collect another key . get reception advise difficult behaviour make live difficult request incorrect room time booking ! ! ! ! ! ! ! ! ! ! stage tired become quite upset . give another room think finally awful day , arrival new room seem one bed not even sheet change since last guest use . sheet crumple pubic hair ( invite ..... ! ) time enough end share male colleague stress deal reception staff much . trip general fab love New York much always think would staff hotel put dark cloud stay amazing city . 
 Aug 7 2007 	 's good deal 	 stay five night Travel Inn find good value . sure , be luxurious , room fine three people ( two adult teenager . ) stay room face 42nd St , street noise . might want ask one room overlook pool -- seem peaceful . location pretty good -- three long block Times Square near incredible collection restaurant line 9th Avenue 42nd Street north many block . also , be nice little deli right next door grocery store block away . parking free -- deal -- attach garage , be tight . struggle jam car space . course , never move , really not big problem . would stay Travel Inn . 
 Aug 3 2007 	 Wow - Loved it - why neg . post - what expect NEW YORK 	 , family 4 ( 2 adult , 2 kid 19yoa 12yoa ) love hotel . read review can not figure people expect budget hotel New York City . wife mine third time New York City kid first . need place would fit four two bed , budget hotel sleep two cost way high ( 200/400 $ nightly ) excellent budget hotel ( pay $ 150.00 ) , room always clean maid go extra mile replenish soap , shampoo conditioner daily always speak us hall . hotel lobby always clean , always doorman security lobby matter time come even parking garage security . 12 yo daughter always go get ice " see ' pool " even go deli , always feel safe . pool clean extra - add bonus New York cause hotel ' . location could beat , 42nd st three block walk right ( west ) front door ' river , nice marina , several " go fast " " tour boat " operate , nice restaurant outdoor concert . turn leave front door ( east ) ' three - block walk bus station / subway . next block 9th ave , full grocery store . next door hotel nice little wine store side attach own hotel Deli / Coffee shop open breakfast lunch , dinner . side ' safe area police station right across street 4 block Time Square . take train white plain Grand Central ten walk 9 looong block hotel , would suggest unless good shape . side- front room face 42nd noisy , wall extremely thin conversation hear , vent bathroom lead bathroom room next door , joke could talk people like stand next . also three temp setting air front room , high , low . keep high time " white noise " loud , obnoxious neighbor . – LITTLE SIDE NOTE – travel tourist path , take subway every walk , suggest see time square avoid rest trip . go Coney Island Queens . son walk whole width city UN , lady go pool . one block hotel spot man talk cell phone , voice sound familiar notice , try sneak picture notice we . motion we , first think go angry demand film , instead stick conversation we ASKED US could take picture we . ( yes ' Martin Sheen ) observant , also see Robin Williams , Kelly Preston daughter make movie Central Park . oh back hotel , every hotel problem ; ' let negative comment poster keep try hotel . fit we perfect . staff go way make we feel welcome . 
 Jul 31 2007 	 lot positive ... 	 take chance choose Travel Inn base mainly 2 thing : price free parking . lucke whole experience good one . leary drive NYC , get hotel could not much easy . Lincoln Tunnel , be 2 left turn , 2 block be . parking lot attendant helpful get van describe tight parking garage . hey , free parking free parking , not plan drive town . check - in breeze , staff & quot ; New York & quot ; courteous . room high enough hear traffic , view train track snaking building ( 3 - year old son love train run window every time one pass ) . could definitely hear train pass , near would call loud . hotel 's location fine we . 2 kid 10 - minute walk Times Square area fine . subway right , mention close station Travel Inn sell MetroCards . need walk little bit close Times Square . 2 extra minute , big deal . feel safe walk street , even late night . street always fairly active . room clean well maintain . wife concern first enter room , open Coke bottle use soap otherwise clean bathroom . check bit early imagine get room quickly prepare cleaning staff . never problem cleanliness room rest 3 - night stay . pool half indoor half outdoors . water bit chilly , kid not mind much . pool clean towel provide . fitness room tight . room rather small , be quite piece equipment . however , equipment work fine , tv appreciate . love small diner right next lobby hotel . food service excellent , eat . complaint minor : WiFi $ 6.95 per day walk back lobby get new code every day . code distribute phone . day , charge extra WiFi bit greedy . stay several hotel vacation , offer free WiFi . not charge tv , internet ? imagine couple year road everyone offer free . bottom line : would definitely book Travel Inn . 
 Jul 10 2007 	 great 	 girl week NYC . hotel pick we price . talk many traveller find stay Travel Inn worth price . perfect location , walk distance Time Sqare Subway . room clean large thought would . staff great , 24hour security awsome lucke great view . pay 200.00usd night stay perfect . sleep hotel NYC hour night . save money , stay buy shoe . overall , would reccomend Travel Inn people , great hotel great price . 
 Jul 2 2007 	 would stay - price location 	 location motor inn near theatre district restaurant row , well ferry line quite close Times Square . use stay well hotel want reasonable stay parking couple night mid - week . Travel Inn $ 225 include parking well hotel easily $ 400 - 500 night . room clean simply decorate . area seem safe , next police station grocery store . downside location - car exit police station across street sometimes siren go ( constant intermittent start kind ) perhaps ugly view old building construction site could imagine . bed short ( 6 ' husband son sleep little side - way ) hard like sleep stone cover mattress cover sheet . overall , would go back short vacation want economize hotel splurge shoppiong , show food . 
 Jun 11 2007 	 great stay travel inn 	 new york first week june . stay travel inn . pick hotel parking garage great security guard . room great clean . bed comfortable . 3 block time square . till midnight feel safe walk back hotel . would definately recommend hotel . price parking can not beat . 
 Jun 9 2007 	 can not beat price 	 something June 6th make impossible find room NYC $ 500 . $ 700 ? maybe $ 1,000 ? ? consider fairly adept find good room price , even NY , one push limit ! finally decide book Travel Inn , even though seem iffy . $ 250 plus taxis , good deal . fact Trip Advisor member say clean helped decide give try . while be typical mid - town , large lobby NY hotel , perfectly serviceable . Travel Inn part chain budget - minded hotel NY call Empire Group . go less expensive . room large clean , shower plenty hot water good pressure , bath product actually qutie nice , call Essential Elements , company Australia . lucky get inside room ( street , pool view ) - husband say have never quieter hotel ny . free parking ( yes , free ) good front desk manager - could ask ? 
 Jun 8 2007 	 agree poster 	 follow review , stay 4 night February 07 . agree number poster comment . strike write though taxi back JFK . thing happen we . except get sting $ 70 . really do not know go reception staff cab company . leave bitter taste fantastic holiday . return Feb 08 , Travel Inn . 
 Jun 6 2007 	 mixed feeling 	 two teenage daughter stay 4 night May 2007 bit disappointed . firstly good thing . location good . 2/3 mile west Times Square ( past 10th Avenue ) half distance east Hudson River . take 42 bus , stop outside door , 5th Avenue usually breakfast Theatre Row Diner ( 2 min walk east ) walk Times Square . even 11 pm feel safe lot people around – police station opposite . sometimes take cab , cost $ 8 , include tip . shower & amp ; bath plenty hot water maid good job keeping room clean . massive cobwebs ceiling whole stay ! also large fridge microwave . would prefer room safe . use deposit box reception narrow could get spare wallet – although long . inconvenient keep disturb staff access . seem New York hotel expensive , price pay probably good . our first problem staff . elderly asian man uncommunicative good rude aggressive bad . bedside light ' work ask repair leave 8 . still ' work 10.30 pm ( really tired ) ask receptionist really aggressive . need new bulb – could do . also book said take yellow cab JFK flat rate $ 45 . tell we return trip meter 4 pm rushhour would expensive . persuade we use one cab fix rate $ 60 , . cab driver demand $ 65 get ( tip go ! ) . true meter fare would costly ( take 80 minute 15 mile ) find fix $ 45 fare JFK Manhattan . like lie ! second problem room . see photo . email ahead ask 3 single bed quiet room away road lift . get curt acknowledgment book number arrival date . get two double bed ( annoyed daughter bit ! ) 3rd floor room away 42nd street . problem swimming pool floor – directly outside window . chair immediately next window . net curtain close curtain every time want get change . also heat control room . large old air - conditioning unit , cover partly pull . pump lot cold air 24 hour day . since minimum temperature 62 degree maximum 90 ' much problem , although wear extra clothe bed sound like gale night . ' leave window open pool outside . also , door stick builder Duck tape ! receptionist say could turn fan . last night find panel open ( presumably maid ) fan control , temperature control . we sleep wash room ' much problem staff helpful would ask room back 4 - 7 floor . would worry temperature like winter , although no - one seem complain . hotel part Empire Hotel Group , own Lucerne , Belvedere , Newton , Carnegie , Riverside Americana Inn . summary – good location price . clean sheet . staff need Customer Service training . ask room back 5 - 7 floor spending time room . 
 May 27 2007 	 Nice 	 say 4 night May 2007 . hotel locate 5 minute walk bus station bus Newark Airport leave arrive , 5 minute walk subway , 5 minute walk pier catch ferry 10 minute walk Times Square font desk staff fine helpfull . room large , clean date . bed seem small maybe double . pool water far cold swim . pay US $ 300 night not think cheap , sure could got cheap net instead travel agent . location great would stay price right . 
 May 5 2007 	 Great Hotel . Great Price 	 stay hotel friend 5 night December 2006 . room spacious clean . fortunate room overlook pool , room quiet remove sound 42nd street . hotel wonderful location less 10 minute walk away Times Square , 5 minute nearest subway station ( take subway map route poorly mark ) .We breakfast Diner next door hotel , holiday able order banana pancake without usual guilt . also enjoy meal Theatre Row Diner conveniently locate close hotel ( across road leave ) . drink head Lansdowne Road ( hotel - leave 10th Avenue 43rd 44th street ) , friendly pub , fabulous staff , minute hotel . enjoy trip New York . though think difficult . 
 May 2 2007 	 good location ... overprice like NYC hotel 	 think location great ... 3 long block Times Square ... business center need use internet 5 minute . 's bus stop right front 42nd 10th .... great . room decent ... 2 bed , fridge , table , tv , small , decent bathroom , ruin last night see huge roach go behind fridge tv area ! clinch .... , provide major extermination year , recommend stay . 
 May 2 2007 	 Fantastic Price 	 family four drive NYC Florida Summer 2005 . choose hotel due review like one writing . NYC expensive trip Travel Inn make far affordable could expect . free PARKING definately major plus hotel . pull Manhatten 10 pm , garage door open parking spot right front side entrance door . park never drive use city transportation walk whole trip . vehicle right able see every day go . staff nice room clean basic . nothing special , sleep long clean roomy enough , meet need . location convenient within walking distance Times Square Hudson take one night time cruise ( BEAUTIFUL ) . go back NYC Travel Inn home away home . 
 Apr 25 2007 	 Great 	 stay second time April 21 - 24 2007 good experience again . it free parking easy access tjhe Lincoln Tunnel 4 block Times Square . it also close Hells Kitchen really coollocal haunt great you re tired tourist trap 
 Apr 25 2007 	 Great Base Hotel near Action Times Sq . 	 boyfriend stay hotel 3 night December last year . 1st trip NYC love it . the hotel nice clean bed make we every day . reception staff reasonable local knowledge eat Theatre Row Diner every morning Breakfast across road . boyfriend walk almost everywhere hotel , take we 10 minute get heart time sqaure , 15 minute get Minskoff Theatre ( Lion King show ) , 30 minute 5th Avenue 25 minute Macy 's . ( walk quite fast however ! ) .We also eat little Chinese take away side hotel serve good food reasonable price . also great CVS Pharmacy right across road seem open hour everything drink , food , make - up , magazne medical supply . I would definately stay hotel . 
 Apr 9 2007 	 Visit NY 	 return 6 day Holiday Inn New York . like other want reasonable hotel near Time Square - ideal . people agreeable intrusive . double double room 3 people - plenty big enough . disappoint drink make facility rooom soon learn get diner join hotel . Time Square matter minute away short walk feel totally safe night . walk ideal meal . our stay really good round - apart long wait Empire State Building . go early even buy ticket online etc . the main feature Travel Inn great value - release money shop sight etc 
 Apr 4 2007 	 great place see New York 	 want hotel safe , clean somewhat near Times Square . place fit bill perfectly . 6 block ts across street police substation , walk great feel safe even night . room clean plenty large enough family 4 . nothing fancy perfect base venture explore . free parking , unheard NYC , quite plus . property let we check leave car day last day sightseeing . staff polite . definitely stay next trip NYC . 
